English Word	Emotion	Emotion-Intensity-Score	Vietnamese Word
outdo	anticipation	0.406	làm giỏi hơn
prophylactic	anticipation	0.406	dự phòng
proud	anticipation	0.406	hãnh diện
midwife	anticipation	0.406	nữ hộ sinh
wizard	anticipation	0.406	Thuật sĩ
headlight	anticipation	0.406	đèn pha
long	anticipation	0.406	Dài
banquet	anticipation	0.406	yến tiệc
comfort	anticipation	0.406	an ủi
navigable	anticipation	0.406	điều hướng được
subscribe	anticipation	0.406	đặt mua
opponent	anticipation	0.406	phản đối
debenture	anticipation	0.406	giấy ghi nợ
deal	anticipation	0.402	thỏa thuận
symphony	anticipation	0.398	giao hưởng
saintly	anticipation	0.398	thánh thiện
judiciary	anticipation	0.398	cơ quan tư pháp
lettered	anticipation	0.398	chữ
vigil	anticipation	0.398	cảnh giác
reliance	anticipation	0.398	dựa dẫm
distracting	anticipation	0.398	mất tập trung
mortification	anticipation	0.398	hành xác
balm	anticipation	0.398	dầu dưỡng
simmer	anticipation	0.398	ninh
top	anticipation	0.398	đứng đầu
obliging	anticipation	0.398	nghĩa vụ
efficient	anticipation	0.398	Có hiệu quả
guillotine	anticipation	0.398	máy chém
representing	anticipation	0.398	đại diện
death	anticipation	0.398	cái chết
assurance	anticipation	0.391	đảm bảo
familiarity	anticipation	0.391	sự quen thuộc
depraved	anticipation	0.391	đồi trụy
condemnation	anticipation	0.391	sự lên án
undoubted	anticipation	0.391	chắc chắn
sanctify	anticipation	0.391	thánh hóa
diplomacy	anticipation	0.391	ngoại giao
antidote	anticipation	0.391	thuốc giải độc
trust	anticipation	0.391	Lòng tin
linger	anticipation	0.391	nán lại
objective	anticipation	0.391	khách quan
chuckle	anticipation	0.391	cười thầm
poke	anticipation	0.391	xô
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	mẫu thân
art	anticipation	0.391	Mỹ thuật
unfulfilled	anticipation	0.391	chưa hoàn thành
inoculation	anticipation	0.384	sự cấy
simplify	anticipation	0.383	đơn giản hóa
depend	anticipation	0.383	tùy theo
chant	anticipation	0.383	tụng kinh
ram	anticipation	0.383	đập
banger	anticipation	0.383	cái đập
playground	anticipation	0.383	sân chơi
labor	anticipation	0.383	nhân công
scientist	anticipation	0.383	nhà khoa học
good	anticipation	0.383	tốt
humanitarian	anticipation	0.383	nhân đạo
failing	anticipation	0.383	thất bại
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	ngoan ngoãn
hymn	anticipation	0.383	Thánh ca
ship	anticipation	0.383	vận chuyển
discretion	anticipation	0.383	sự tùy ý
undecided	anticipation	0.383	chưa quyết định
gradual	anticipation	0.375	dần dần
navigator	anticipation	0.375	hoa tiêu
track	anticipation	0.375	theo dõi
cradle	anticipation	0.375	giá đỡ
sterling	anticipation	0.375	bảng Anh
interim	anticipation	0.375	tạm thời
clock	anticipation	0.375	cái đồng hồ
mountain	anticipation	0.375	núi
interminable	anticipation	0.375	xen vào
public	anticipation	0.375	công cộng
recurrent	anticipation	0.375	lặp lại
savor	anticipation	0.375	hương thơm
abide	anticipation	0.367	chịu đựng
concealed	anticipation	0.367	giấu
spear	anticipation	0.367	thương
lesson	anticipation	0.367	bài học
instructions	anticipation	0.367	hướng dẫn
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	hai năm
convince	anticipation	0.367	thuyết phục
whim	anticipation	0.367	ý thích
shiver	anticipation	0.367	rùng mình
towering	anticipation	0.367	cao chót vót
musical	anticipation	0.367	âm nhạc
offset	anticipation	0.359	bù lại
theory	anticipation	0.359	học thuyết
theology	anticipation	0.359	thần học
undying	anticipation	0.359	bất diệt
timidity	anticipation	0.359	rụt rè
plump	anticipation	0.359	đầy đặn
atone	anticipation	0.359	chuộc lỗi
audience	anticipation	0.357	sự tiếp kiến
dietary	anticipation	0.352	ăn kiêng
consecration	anticipation	0.352	dâng hiến
localize	anticipation	0.352	bản địa hóa
paragon	anticipation	0.352	paragon
store	anticipation	0.352	cửa hàng
farm	anticipation	0.352	nông trại
daily	anticipation	0.352	hằng ngày
cramp	anticipation	0.352	chuột rút
nobility	anticipation	0.352	quý tộc
closure	anticipation	0.352	Khép kín
edition	anticipation	0.352	phiên bản
kindred	anticipation	0.352	tốt bụng
stripped	anticipation	0.344	tước
errand	anticipation	0.344	việc vặt
archaeology	anticipation	0.344	khảo cổ học
mutable	anticipation	0.344	có thể thay đổi
wireless	anticipation	0.344	không dây
meditate	anticipation	0.344	suy nghĩ
mobile	anticipation	0.344	di động
germ	anticipation	0.336	mầm
brotherly	anticipation	0.336	như anh em
lessen	anticipation	0.336	bớt đi
unbeaten	anticipation	0.336	bất bại
pare	anticipation	0.336	bóc vỏ
buddy	anticipation	0.336	Bạn bè
unaccountable	anticipation	0.336	không thể đếm được
dove	anticipation	0.328	chim bồ câu
patient	anticipation	0.328	bệnh nhân
secular	anticipation	0.328	thế tục
digress	anticipation	0.328	lạc đề
chastity	anticipation	0.328	trinh tiết
council	anticipation	0.328	hội đồng
olfactory	anticipation	0.328	khứu giác
ribbon	anticipation	0.328	ruy-băng
possess	anticipation	0.328	sở hữu
disposed	anticipation	0.320	xử lý
scrutinize	anticipation	0.320	xem xét kỹ lưỡng
immature	anticipation	0.320	chưa trưởng thành
mediator	anticipation	0.320	người hòa giải
regularity	anticipation	0.320	đều đặn
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	kẻ giết người
paddle	anticipation	0.320	chèo thuyền
heft	anticipation	0.320	gánh nặng
fancy	anticipation	0.320	si mê
preservative	anticipation	0.320	chất bảo quản
unpublished	anticipation	0.312	chưa xuất bản
church	anticipation	0.312	nhà thờ
bugle	anticipation	0.312	tiếng kêu réo rắt
grim	anticipation	0.312	nghiệt ngã
denying	anticipation	0.312	từ chối
analyst	anticipation	0.312	nhà phân tích
judicial	anticipation	0.305	tư pháp
priesthood	anticipation	0.305	chức tư tế
broadside	anticipation	0.305	mặt rộng
mill	anticipation	0.305	cối xay
dismay	anticipation	0.297	mất tinh thần
cap	anticipation	0.297	mũ lưỡi trai
thermocouple	anticipation	0.297	cặp nhiệt điện
tributary	anticipation	0.297	phụ lưu
instructor	anticipation	0.297	người hướng dẫn
exhaustion	anticipation	0.297	kiệt sức
saliva	anticipation	0.297	nước miếng
cataract	anticipation	0.289	đục thủy tinh thể
network	anticipation	0.289	mạng
visor	anticipation	0.289	tấm che mặt
shackle	anticipation	0.289	cùm
wont	anticipation	0.289	sẽ không
addresses	anticipation	0.289	địa chỉ
discreet	anticipation	0.289	kín đáo
noncompliance	anticipation	0.289	không tuân thủ
bruise	anticipation	0.289	vết bầm tím
homeless	anticipation	0.289	Vô gia cư
astronomer	anticipation	0.281	nhà thiên văn học
skewed	anticipation	0.281	lệch
neighbor	anticipation	0.281	láng giềng
holiness	anticipation	0.273	sự thánh thiện
devil	anticipation	0.273	ác quỷ
picket	anticipation	0.273	cái cuốc
sentence	anticipation	0.273	kết án
latent	anticipation	0.273	ngầm
cream	anticipation	0.273	kem
immaturity	anticipation	0.273	sự non nớt
habitual	anticipation	0.266	thói quen
morals	anticipation	0.266	luân lý
neighborhood	anticipation	0.266	khu vực lân cận
lull	anticipation	0.266	ru ngủ
bye	anticipation	0.258	từ biệt
weight	anticipation	0.258	trọng lượng
organ	anticipation	0.250	đàn organ
clown	anticipation	0.250	thằng hề
forearm	anticipation	0.250	cánh tay
commonplace	anticipation	0.242	bình thường
quote	anticipation	0.242	Trích dẫn
rail	anticipation	0.234	đường sắt
dictatorship	anticipation	0.234	chế độ độc tài
treadmill	anticipation	0.234	máy chạy bộ
board	anticipation	0.234	Cái bảng
tree	anticipation	0.227	cây
sundial	anticipation	0.227	đồng hồ mặt trời
paralysis	anticipation	0.211	tê liệt
cement	anticipation	0.203	xi măng
worm	anticipation	0.203	sâu
organization	anticipation	0.203	cơ quan
lagging	anticipation	0.180	tụt hậu
neutral	anticipation	0.148	Trung tính
cannibalism	disgust	0.953	ăn thịt người
mutilation	disgust	0.930	sự cắt xén
molestation	disgust	0.914	lạm dụng tình dục
incest	disgust	0.914	loạn luân
rape	disgust	0.906	hiếp dâm
gonorrhea	disgust	0.906	bệnh da liểu
cannibal	disgust	0.898	người ăn thịt người
rot	disgust	0.891	thúi
corpse	disgust	0.883	tử thi
massacre	disgust	0.883	tàn sát
excrement	disgust	0.883	phân
barf	disgust	0.875	barf
slaughter	disgust	0.875	sự tàn sát
slaughterhouse	disgust	0.867	lò mổ
incestuous	disgust	0.859	loạn luân
sewerage	disgust	0.859	cống rãnh
filth	disgust	0.859	rác rưởi
bigot	disgust	0.859	cố chấp
rancid	disgust	0.859	ôi thiu
infestation	disgust	0.852	phá hoại
plague	disgust	0.852	tai họa
holocaust	disgust	0.852	tàn sát
bloodthirsty	disgust	0.852	khát máu
rotting	disgust	0.844	thối rữa
fecal	disgust	0.844	phân
maggot	disgust	0.844	sâu non
feces	disgust	0.844	phân
murder	disgust	0.839	giết người
asshole	disgust	0.836	lỗ đít
homicide	disgust	0.836	tội giết người
enslaved	disgust	0.836	làm nô lệ
infanticide	disgust	0.836	kẻ giết người
perverted	disgust	0.828	biến thái
excretion	disgust	0.828	bài tiết
gore	disgust	0.828	máu me
slaughtering	disgust	0.828	giết mổ
torture	disgust	0.828	tra tấn
contaminate	disgust	0.821	làm ô uế
revolting	disgust	0.820	nổi loạn
gory	disgust	0.820	máu me
shit	disgust	0.820	Chết tiệt
terrorist	disgust	0.820	khủng bố
murderer	disgust	0.820	kẻ giết người
repugnant	disgust	0.820	sự quở trách
manure	disgust	0.820	phân
pervert	disgust	0.820	kẻ biến thái
diarrhoea	disgust	0.820	bệnh tiêu chảy
grotesque	disgust	0.820	kỳ cục
desecration	disgust	0.820	sự mạo phạm
faeces	disgust	0.812	phân
slavery	disgust	0.812	chế độ nô lệ
sewer	disgust	0.812	cống
cadaver	disgust	0.812	tử thi
manslaughter	disgust	0.812	ngộ sát
dismemberment	disgust	0.812	phân chia
vomit	disgust	0.812	nôn mửa
perverse	disgust	0.805	gian trá
repulsive	disgust	0.805	ghê tởm
hemorrhage	disgust	0.805	xuất huyết
sewage	disgust	0.797	nước thải
filthy	disgust	0.797	bẩn thỉu
diseased	disgust	0.797	bị bệnh
depravity	disgust	0.797	sa đọa
carcass	disgust	0.795	xác thịt
decompose	disgust	0.789	phân hủy
gruesome	disgust	0.789	kinh khủng
mutilated	disgust	0.789	cắt xén
puke	disgust	0.789	nôn mửa
herpes	disgust	0.789	mụn rộp
decayed	disgust	0.789	suy tàn
dung	disgust	0.789	phân
vermin	disgust	0.789	sâu bọ
murderous	disgust	0.789	giết người
parasite	disgust	0.789	ký sinh trùng
horrific	disgust	0.789	kinh khủng
carnage	disgust	0.781	sự tàn sát
malaria	disgust	0.781	bệnh sốt rét
slime	disgust	0.781	chất nhờn
flatulence	disgust	0.781	đầy hơi
pestilence	disgust	0.781	ôn dịch
crap	disgust	0.781	tào lao
monstrosity	disgust	0.781	quái dị
loathsome	disgust	0.773	không ưa
toxic	disgust	0.773	chất độc hại
morgue	disgust	0.773	nhà xác
pus	disgust	0.773	mủ
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	bệnh phong cùi
insidious	disgust	0.773	xảo quyệt
cruel	disgust	0.766	tàn ác
regurgitation	disgust	0.766	trào ngược
anthrax	disgust	0.766	bệnh than
xenophobia	disgust	0.766	bài ngoại
repugnance	disgust	0.766	sự quở trách
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	sự xua đuổi
whore	disgust	0.766	con điếm
dissection	disgust	0.759	mổ xẻ
mucous	disgust	0.758	chất nhầy
canker	disgust	0.758	tai ương
slum	disgust	0.758	khu ổ chuột
infectious	disgust	0.758	lây nhiễm
evil	disgust	0.758	độc ác
phlegm	disgust	0.758	đờm dãi
cruelty	disgust	0.758	độc ác
perversion	disgust	0.758	sự đồi bại
sinister	disgust	0.750	nham hiểm
leeches	disgust	0.750	đỉa
corrupting	disgust	0.750	làm hỏng
decomposition	disgust	0.750	phân hủy
abomination	disgust	0.742	sự ghê tởm
stinking	disgust	0.742	hôi thối
bile	disgust	0.742	mật
demonic	disgust	0.742	ma quỷ
deranged	disgust	0.742	loạn trí
abhorrence	disgust	0.742	sự ghê tởm
soiled	disgust	0.742	bẩn thỉu
mucus	disgust	0.742	chất nhầy
septic	disgust	0.742	bể phốt
sickening	disgust	0.742	ốm yếu
demon	disgust	0.742	con quỷ
cancer	disgust	0.734	ung thư
obese	disgust	0.734	Béo phì
degeneracy	disgust	0.734	thoái hóa
despicable	disgust	0.734	đáng khinh
atrocity	disgust	0.734	sự tàn bạo
foul	disgust	0.734	Hôi
sicken	disgust	0.734	ốm yếu
crucifixion	disgust	0.734	sự đóng đinh
terrorism	disgust	0.734	khủng bố
repulsion	disgust	0.727	mối thù ghét
morbidity	disgust	0.727	bệnh tật
dysentery	disgust	0.727	bệnh kiết lỵ
enema	disgust	0.727	thuốc xổ
bacterium	disgust	0.727	vi trùng
dirty	disgust	0.727	bẩn thỉu
adultery	disgust	0.727	ngoại tình
contamination	disgust	0.727	ô nhiễm
grisly	disgust	0.727	ghê rợn
diabolical	disgust	0.727	quỷ quyệt
autopsy	disgust	0.719	khám nghiệm tử thi
barbaric	disgust	0.719	dã man
vulgar	disgust	0.719	thô tục
entrails	disgust	0.719	lối vào
disgust	disgust	0.719	ghê tởm
lewd	disgust	0.719	dâm dục
muck	disgust	0.719	vấy bẩn
bowels	disgust	0.719	ruột
garbage	disgust	0.719	rác
deterioration	disgust	0.719	giảm giá trị
contagion	disgust	0.719	sự lây lan
vicious	disgust	0.719	luẩn quẩn
disfigured	disgust	0.719	biến dạng
pungent	disgust	0.719	hăng
gross	disgust	0.719	Tổng
bloodshed	disgust	0.714	đổ máu
gag	disgust	0.711	bịt miệng
pollute	disgust	0.711	ô nhiễm
nausea	disgust	0.711	buồn nôn
tyrant	disgust	0.711	bạo chúa
wretched	disgust	0.711	không may
mortification	disgust	0.711	hành xác
violent	disgust	0.711	hung bạo
poisoned	disgust	0.711	bị nhiễm độc
nauseate	disgust	0.703	buồn nôn
slimy	disgust	0.703	nhầy nhụa
grope	disgust	0.703	dò dẫm
slut	disgust	0.703	con đĩ
nasty	disgust	0.703	bẩn thỉu
disgusting	disgust	0.703	kinh tởm
depraved	disgust	0.703	đồi trụy
porn	disgust	0.703	khiêu dâm
hateful	disgust	0.703	đáng ghét
vulgarity	disgust	0.703	thô tục
noxious	disgust	0.703	độc hại
grime	disgust	0.703	cáu bẩn
constipation	disgust	0.703	táo bón
secretion	disgust	0.703	tiết
poisoning	disgust	0.703	đầu độc
despotism	disgust	0.703	chế độ chuyên quyền
measles	disgust	0.696	bệnh sởi
contagious	disgust	0.695	dễ lây lan
obesity	disgust	0.695	béo phì
wart	disgust	0.695	mụn cơm
hate	disgust	0.695	ghét bỏ
hellish	disgust	0.695	quái quỷ
scum	disgust	0.695	cặn bã
suicidal	disgust	0.695	tự sát
wretch	disgust	0.695	khốn nạn
abuse	disgust	0.695	lạm dụng
waste	disgust	0.695	chất thải
intestinal	disgust	0.695	ruột
heartworm	disgust	0.688	sâu tim
ooze	disgust	0.688	lông
treason	disgust	0.688	phản quốc
contaminated	disgust	0.688	bị ô nhiễm
smut	disgust	0.688	nói bậy
disease	disgust	0.688	dịch bệnh
rabid	disgust	0.688	dại dột
deformed	disgust	0.680	biến dạng
hell	disgust	0.680	Địa ngục
soulless	disgust	0.680	vô hồn
cholera	disgust	0.680	bệnh dịch tả
bestial	disgust	0.680	thiên phú
antichrist	disgust	0.680	antichrist
freakish	disgust	0.680	quái đản
germ	disgust	0.680	mầm
detest	disgust	0.680	ghê tởm
pollution	disgust	0.680	sự ô nhiễm
grimy	disgust	0.680	đen
abhorrent	disgust	0.680	ghê tởm
hatred	disgust	0.680	sự thù ghét
abominate	disgust	0.680	ghê tởm
sickness	disgust	0.680	bệnh tật
hideous	disgust	0.672	gớm ghiếc
dictatorship	disgust	0.672	chế độ độc tài
loathful	disgust	0.672	ghê tởm
greasy	disgust	0.672	bóng nhờn
dilapidated	disgust	0.672	đổ nát
inhuman	disgust	0.672	vô nhân đạo
loathing	disgust	0.672	ghê tởm
obscene	disgust	0.672	tục tĩu
cess	disgust	0.670	cess
devil	disgust	0.664	ác quỷ
deformity	disgust	0.664	dị dạng
nauseous	disgust	0.664	buồn nôn
deadly	disgust	0.664	chết người
swine	disgust	0.664	heo
discrimination	disgust	0.664	phân biệt
abominable	disgust	0.664	gớm ghiếc
masochism	disgust	0.664	khổ dâm
heretic	disgust	0.664	dị giáo
latrines	disgust	0.656	hố xí
corruption	disgust	0.656	tham nhũng
poisonous	disgust	0.656	độc
horror	disgust	0.656	rùng rợn
nefarious	disgust	0.656	bất chính
bacteria	disgust	0.656	vi khuẩn
horrible	disgust	0.656	tệ hại
trash	disgust	0.656	rác
abortion	disgust	0.656	sự phá thai
death	disgust	0.656	cái chết
prejudiced	disgust	0.656	thành kiến
poison	disgust	0.656	thuốc độc
oppression	disgust	0.656	sự áp bức
goo	disgust	0.656	goo
victimized	disgust	0.656	nạn nhân
mange	disgust	0.656	mange
sludge	disgust	0.648	bùn
trashy	disgust	0.648	rác rưởi
vindictive	disgust	0.648	thù hằn
horrid	disgust	0.648	kinh khủng
ugly	disgust	0.648	xấu xí
immoral	disgust	0.648	vô luân
bitch	disgust	0.648	chó cái
outhouse	disgust	0.648	nhà ngoài
detestation	disgust	0.648	sự gièm pha
horrifying	disgust	0.641	kinh hoàng
laxative	disgust	0.641	nhuận tràng
unsightly	disgust	0.641	khó coi
derogatory	disgust	0.641	xúc phạm
slop	disgust	0.641	luộm thuộm
malfeasance	disgust	0.641	bất cẩn
spew	disgust	0.641	phun ra
pimple	disgust	0.641	mụn nhọt
criminality	disgust	0.641	tội ác
indecency	disgust	0.641	khiếm nhã
cystic	disgust	0.641	nang
villainous	disgust	0.641	phản diện
queasy	disgust	0.633	buồn nôn
mildew	disgust	0.633	nấm mốc
oppressive	disgust	0.633	áp bức
prostitution	disgust	0.633	mại dâm
secrete	disgust	0.633	tiết ra
ulcer	disgust	0.633	vết loét
rat	disgust	0.633	con chuột
bigoted	disgust	0.633	cố chấp
perpetrator	disgust	0.633	thủ phạm
doomsday	disgust	0.633	ngày tận thế
sinful	disgust	0.633	tội lỗi
degrading	disgust	0.625	suy thoái
ghastly	disgust	0.625	kinh khủng
suffering	disgust	0.625	đau khổ
obscenity	disgust	0.625	tục tĩu
devilish	disgust	0.625	quỷ quái
disgraceful	disgust	0.625	hổ thẹn
persecution	disgust	0.625	áp bức
contemptible	disgust	0.625	khinh thường
cuckold	disgust	0.625	mọc sừng
stools	disgust	0.625	ghế đẩu
dastardly	disgust	0.625	hèn hạ
sin	disgust	0.625	tội
gluttony	disgust	0.625	ham ăn
bloated	disgust	0.625	đầy hơi
fungus	disgust	0.625	nấm
aghast	disgust	0.625	kinh hoàng
diaper	disgust	0.617	tã lót
malicious	disgust	0.617	độc hại
polygamy	disgust	0.617	đa thê
dying	disgust	0.617	sắp chết
termite	disgust	0.617	mối mọt
fat	disgust	0.617	mập mạp
deceit	disgust	0.617	lừa dối
atrocious	disgust	0.617	gớm ghiếc
guillotine	disgust	0.617	máy chém
tetanus	disgust	0.617	uốn ván
spoil	disgust	0.617	chiều hư
crusty	disgust	0.617	khô cứng
sickly	disgust	0.617	ốm yếu
louse	disgust	0.617	con rận
strangle	disgust	0.617	bóp cổ
betrayal	disgust	0.617	sự phản bội
loathe	disgust	0.617	không ưa
wench	disgust	0.617	wench
infect	disgust	0.617	lây nhiễm
violently	disgust	0.609	bạo lực
brothel	disgust	0.609	nhà chứa
drool	disgust	0.609	nước dãi
bleeding	disgust	0.609	sự chảy máu
deform	disgust	0.609	biến dạng
ghetto	disgust	0.609	khu ổ chuột
sabotage	disgust	0.609	sự phá hoại
venomous	disgust	0.609	có nọc độc
abhor	disgust	0.609	ghê tởm
slander	disgust	0.609	vu khống
hostile	disgust	0.609	thù địch
musty	disgust	0.602	meo
illicit	disgust	0.602	bất hợp pháp
ugliness	disgust	0.602	xấu xí
unwashed	disgust	0.602	chưa rửa
swampy	disgust	0.602	đầm lầy
deprivation	disgust	0.602	tước đoạt
poaching	disgust	0.602	săn trộm
hag	disgust	0.602	hag
infidel	disgust	0.602	không chung thủy
imprisonment	disgust	0.602	giam cầm
traitor	disgust	0.602	kẻ phản bội
lunacy	disgust	0.602	mất trí nhớ
queasiness	disgust	0.594	buồn nôn
hostility	disgust	0.594	thù địch
repelling	disgust	0.594	đẩy lùi
intoxicated	disgust	0.594	say
thug	disgust	0.594	du côn
catastrophe	disgust	0.594	Thảm khốc
lunatic	disgust	0.594	người mất trí
misery	disgust	0.594	khốn khổ
venom	disgust	0.594	nọc độc
butcher	disgust	0.594	người bán thịt
toilet	disgust	0.594	phòng vệ sinh
blister	disgust	0.594	mụn rộp
lurid	disgust	0.594	buồn tẻ
slug	disgust	0.594	con sên
gut	disgust	0.594	ruột
sinner	disgust	0.594	Người phạm tội
deceitful	disgust	0.594	lừa dối
epidemic	disgust	0.594	bệnh dịch
deteriorated	disgust	0.586	xấu đi
lavatory	disgust	0.586	nhà vệ sinh
unclean	disgust	0.586	ô uế
prostitute	disgust	0.586	gái điếm
incubus	disgust	0.586	ấp trứng
appalling	disgust	0.586	kinh khủng
dreadful	disgust	0.586	ghê gớm
pornography	disgust	0.586	nội dung khiêu dâm
harass	disgust	0.586	quấy rối
squeamish	disgust	0.578	lấm lem
expulsion	disgust	0.578	trục xuất
unfaithful	disgust	0.578	không chung thủy
offensive	disgust	0.578	phản cảm
hypocrite	disgust	0.578	đạo đức giả
humiliating	disgust	0.578	làm nhục
larceny	disgust	0.578	ăn cắp vặt
ruinous	disgust	0.578	hư hỏng
retard	disgust	0.578	chậm phát triển
rash	disgust	0.578	phát ban
flea	disgust	0.578	bọ chét
debauchery	disgust	0.578	đồi truỵ
fiend	disgust	0.578	quái vật
quagmire	disgust	0.578	vũng lầy
conspirator	disgust	0.578	kẻ chủ mưu
sick	disgust	0.578	bị ốm
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	bịnh chó
egregious	disgust	0.570	nghiêm trọng
flog	disgust	0.570	đánh bông
despise	disgust	0.570	khinh thường
treacherous	disgust	0.570	gian trá
oppress	disgust	0.570	đàn áp
swamp	disgust	0.570	đầm lầy
messy	disgust	0.570	lộn xộn
spit	disgust	0.570	khạc nhổ
dank	disgust	0.570	chết chìm
bastard	disgust	0.570	đồ khốn
devastating	disgust	0.570	tàn phá
serpent	disgust	0.570	con rắn
loo	disgust	0.562	loo
indecent	disgust	0.562	không đứng đắn
insanity	disgust	0.562	chứng điên cuồng
stealing	disgust	0.562	ăn trộm
terrible	disgust	0.562	kinh khủng
tyrannical	disgust	0.562	chuyên chế
humiliation	disgust	0.562	sự sỉ nhục
snake	disgust	0.562	con rắn
sloppy	disgust	0.562	luộm thuộm
sinning	disgust	0.562	phạm tội
harmful	disgust	0.562	có hại
harlot	disgust	0.562	đàn bà dâm ô
sordid	disgust	0.562	bẩn thỉu
enemy	disgust	0.562	kẻ thù
alcoholism	disgust	0.562	nghiện rượu
awful	disgust	0.562	kinh khủng
ruthless	disgust	0.562	tàn nhẫn
scoundrel	disgust	0.562	kẻ vô lại
bloody	disgust	0.555	dính máu
flabby	disgust	0.555	mềm nhũn
odious	disgust	0.555	ghê tởm
beastly	disgust	0.555	dã thú
collusion	disgust	0.555	thông đồng
ridicule	disgust	0.555	chế giễu
discriminating	disgust	0.555	phân biệt đối xử
unattractive	disgust	0.555	không hấp dẫn
insufferable	disgust	0.555	không thể chịu đựng được
segregate	disgust	0.555	tách biệt
arsenic	disgust	0.555	thạch tín
threatening	disgust	0.555	đe dọa
atrophy	disgust	0.555	teo
varicella	disgust	0.555	varicella
slayer	disgust	0.555	kẻ giết người
distaste	disgust	0.555	không ưa
coward	disgust	0.555	nhát gan
robbery	disgust	0.555	ăn cướp
wickedness	disgust	0.555	sự gian ác
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	ác tâm
sty	disgust	0.547	chuồng bò
pillage	disgust	0.547	cướp bóc
thief	disgust	0.547	kẻ trộm
suffocating	disgust	0.547	nghẹt thở
condemnation	disgust	0.547	sự lên án
deleterious	disgust	0.547	có hại
slur	disgust	0.547	nước lèo
purgatory	disgust	0.547	luyện ngục
attacking	disgust	0.547	tấn công
burglar	disgust	0.547	ăn trộm
ogre	disgust	0.547	yêu tinh
coercion	disgust	0.547	sự ép buộc
vesicular	disgust	0.547	mụn nước
miserable	disgust	0.547	khổ sở
bitterly	disgust	0.547	cay đắng
sneer	disgust	0.539	chế nhạo
greedy	disgust	0.539	tham
gob	disgust	0.539	ngấu nghiến
repellant	disgust	0.539	chất đẩy lùi
jealous	disgust	0.539	ghen tuông
drunken	disgust	0.539	say rượu
shame	disgust	0.539	xấu hổ
thrash	disgust	0.539	thrash
fatty	disgust	0.539	béo
liar	disgust	0.539	người nói dối
imprisoned	disgust	0.539	bị bỏ tù
sloth	disgust	0.539	Sự lười biếng
repudiation	disgust	0.539	sự thoái thác
disgrace	disgust	0.539	Ghét bỏ
infidelity	disgust	0.539	không chung thủy
pig	disgust	0.539	lợn
lethal	disgust	0.536	gây chết người
burnt	disgust	0.531	cháy
brawl	disgust	0.531	ẩu đả
withered	disgust	0.531	khô héo
blemish	disgust	0.531	tì vết
hydrocephalus	disgust	0.531	não úng thủy
aberration	disgust	0.531	quang sai
smuggler	disgust	0.531	người buôn lậu
painful	disgust	0.531	đau đớn
condescension	disgust	0.531	sự trịch thượng
intolerant	disgust	0.531	không khoan dung
blasphemous	disgust	0.531	phạm thượng
lying	disgust	0.531	nằm
hanging	disgust	0.531	treo cổ
travesty	disgust	0.531	phản bội
ruined	disgust	0.531	tàn tạ
intrusive	disgust	0.531	xâm nhập
disintegrate	disgust	0.531	tan rã
destructive	disgust	0.531	phá hoại
neurotic	disgust	0.531	loạn thần kinh
disparaging	disgust	0.523	chê bai
blighted	disgust	0.523	tàn lụi
intolerance	disgust	0.523	không khoan dung
mistress	disgust	0.523	tình nhân
avarice	disgust	0.523	hám lợi
disgraced	disgust	0.523	thất sủng
derogation	disgust	0.523	sự phủ định
rubbish	disgust	0.523	rác
accusation	disgust	0.523	lời buộc tội
incarceration	disgust	0.523	sự giam giữ
tortious	disgust	0.516	hảo hạng
dishonor	disgust	0.516	làm nhục
stink	disgust	0.516	mùi hôi
grim	disgust	0.516	nghiệt ngã
rob	disgust	0.516	cướp
defraud	disgust	0.516	ăn gian
sump	disgust	0.516	bể phốt
cringe	disgust	0.516	co rúm lại
vulture	disgust	0.516	con kền kền
deplorable	disgust	0.516	thương tâm
mite	disgust	0.516	con ve
eradication	disgust	0.516	diệt trừ
degrade	disgust	0.516	làm suy thoái
gutter	disgust	0.516	mương nước
convict	disgust	0.516	kết tội
remains	disgust	0.516	còn lại
betray	disgust	0.516	phản bội
daemon	disgust	0.516	daemon
sham	disgust	0.509	giả tạo
distasteful	disgust	0.508	khó chịu
prisoner	disgust	0.508	Tù nhân
dreadfully	disgust	0.508	kinh khủng
worthless	disgust	0.508	vô giá trị
crude	disgust	0.508	thô thiển
delirium	disgust	0.508	mê sảng
incurable	disgust	0.508	không thể chữa khỏi
smelling	disgust	0.508	ngửi
idiocy	disgust	0.508	ngu ngốc
resentment	disgust	0.508	phẫn nộ
bombed	disgust	0.508	bị đánh bom
blob	disgust	0.508	bãi
cheat	disgust	0.508	lừa đảo
schizophrenia	disgust	0.508	tâm thần phân liệt
rejection	disgust	0.508	sự từ chối
belittle	disgust	0.508	chê
glut	disgust	0.508	dư thừa
disaster	disgust	0.508	thảm họa
distress	disgust	0.508	phiền muộn
pest	disgust	0.508	côn trùng
endemic	disgust	0.508	đặc hữu
