English Word	Emotion	Emotion-Intensity-Score	Basque Word
plague	disgust	0.852	izurritea
holocaust	disgust	0.852	holokaustoa
bloodthirsty	disgust	0.852	odolzalea
rotting	disgust	0.844	usteltzen
fecal	disgust	0.844	fekalak
maggot	disgust	0.844	larderia
feces	disgust	0.844	gorotzak
murder	disgust	0.839	hilketa
asshole	disgust	0.836	ipurdia
homicide	disgust	0.836	hilketa
enslaved	disgust	0.836	esklabo
infanticide	disgust	0.836	infantizidioa
perverted	disgust	0.828	perbertitua
excretion	disgust	0.828	iraizketa
gore	disgust	0.828	gore
slaughtering	disgust	0.828	sarraskia
torture	disgust	0.828	tortura
contaminate	disgust	0.821	kutsatu
revolting	disgust	0.820	matxinada
gory	disgust	0.820	goria
shit	disgust	0.820	kaka
terrorist	disgust	0.820	terrorista
murderer	disgust	0.820	hiltzaile
repugnant	disgust	0.820	gaitzesgarria
manure	disgust	0.820	simaurra
pervert	disgust	0.820	perbertsoa
diarrhoea	disgust	0.820	beherakoa
grotesque	disgust	0.820	groteskoa
desecration	disgust	0.820	profanazioa
faeces	disgust	0.812	gorotzak
slavery	disgust	0.812	esklabotza
sewer	disgust	0.812	estolda
cadaver	disgust	0.812	hilotza
manslaughter	disgust	0.812	hilketa
dismemberment	disgust	0.812	zatiketa
vomit	disgust	0.812	oka
perverse	disgust	0.805	perbertsoa
repulsive	disgust	0.805	aldakor
hemorrhage	disgust	0.805	hemorragia
sewage	disgust	0.797	ur zikinak
filthy	disgust	0.797	zikin
diseased	disgust	0.797	gaixorik
depravity	disgust	0.797	depravation
carcass	disgust	0.795	karkaxa
decompose	disgust	0.789	deskonposatu
gruesome	disgust	0.789	ikaragarria
mutilated	disgust	0.789	mutilatu
puke	disgust	0.789	puztu
herpes	disgust	0.789	herpesa
decayed	disgust	0.789	ustelduta
dung	disgust	0.789	gorotza
vermin	disgust	0.789	bitxiak
murderous	disgust	0.789	hiltzailea
parasite	disgust	0.789	bizkarroia
horrific	disgust	0.789	izugarria
carnage	disgust	0.781	sarraskia
malaria	disgust	0.781	malaria
slime	disgust	0.781	lohi
flatulence	disgust	0.781	flatulentzia
pestilence	disgust	0.781	izurritea
crap	disgust	0.781	kaskarra
monstrosity	disgust	0.781	munstrokeria
loathsome	disgust	0.773	higuingarria
toxic	disgust	0.773	toxikoa
morgue	disgust	0.773	tanatorioa
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesbirusa
leprosy	disgust	0.773	legenarra
insidious	disgust	0.773	maltzurra
cruel	disgust	0.766	krudela
regurgitation	disgust	0.766	erregurtzia
anthrax	disgust	0.766	antraxa
xenophobia	disgust	0.766	xenofobia
repugnance	disgust	0.766	gaitzespena
lynch	disgust	0.766	lintxa
revulsion	disgust	0.766	errefusa
whore	disgust	0.766	puta
dissection	disgust	0.759	disekzioa
mucous	disgust	0.758	mukitsua
canker	disgust	0.758	txankroa
slum	disgust	0.758	txabola
infectious	disgust	0.758	infekziosoak
evil	disgust	0.758	gaiztoa
phlegm	disgust	0.758	flema
cruelty	disgust	0.758	krudelkeria
perversion	disgust	0.758	perbertsioa
sinister	disgust	0.750	maltzurra
leeches	disgust	0.750	lixiak
corrupting	disgust	0.750	usteltzen
decomposition	disgust	0.750	deskonposizioa
abomination	disgust	0.742	higuingarria
stinking	disgust	0.742	kiratsa
bile	disgust	0.742	behazun
demonic	disgust	0.742	deabruzkoa
deranged	disgust	0.742	desorekatua
abhorrence	disgust	0.742	higuina
soiled	disgust	0.742	zikinduta
mucus	disgust	0.742	mukiak
septic	disgust	0.742	septikoa
sickening	disgust	0.742	gaiztoa
demon	disgust	0.742	Deabru
cancer	disgust	0.734	minbizia
obese	disgust	0.734	gizena
degeneracy	disgust	0.734	endekapena
despicable	disgust	0.734	arbuiagarria
atrocity	disgust	0.734	ankerkeria
foul	disgust	0.734	nazka
sicken	disgust	0.734	gaixotu
crucifixion	disgust	0.734	gurutziltzatzea
terrorism	disgust	0.734	terrorismoa
repulsion	disgust	0.727	errefusa
morbidity	disgust	0.727	erikortasuna
dysentery	disgust	0.727	disenteria
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakterioa
dirty	disgust	0.727	zikina
adultery	disgust	0.727	adulterioa
contamination	disgust	0.727	kutsadura
grisly	disgust	0.727	ikaragarria
diabolical	disgust	0.727	diabolikoa
autopsy	disgust	0.719	autopsia
barbaric	disgust	0.719	barbaroa
vulgar	disgust	0.719	arrotz
entrails	disgust	0.719	erraiak
disgust	disgust	0.719	nazka
lewd	disgust	0.719	lizun
muck	disgust	0.719	muck
bowels	disgust	0.719	erraiak
garbage	disgust	0.719	zaborra
deterioration	disgust	0.719	hondatzea
contagion	disgust	0.719	kutsadura
vicious	disgust	0.719	zital
disfigured	disgust	0.719	itxuragabetua
pungent	disgust	0.719	garratza
gross	disgust	0.719	gordina
bloodshed	disgust	0.714	odol isurketa
gag	disgust	0.711	gag
pollute	disgust	0.711	kutsatu
nausea	disgust	0.711	goragalea
tyrant	disgust	0.711	tiranoa
wretched	disgust	0.711	dohakabea
mortification	disgust	0.711	mortifikazioa
violent	disgust	0.711	bortitza
poisoned	disgust	0.711	pozoitua
nauseate	disgust	0.703	goragalea
slimy	disgust	0.703	likatsua
grope	disgust	0.703	haztapatu
slut	disgust	0.703	puta
nasty	disgust	0.703	gaiztoa
disgusting	disgust	0.703	nazkagarria
depraved	disgust	0.703	deprabatua
porn	disgust	0.703	pornoa
hateful	disgust	0.703	gorrotagarria
vulgarity	disgust	0.703	zakarkeria
noxious	disgust	0.703	kaltegarria
grime	disgust	0.703	zikinkeria
constipation	disgust	0.703	idorreria
secretion	disgust	0.703	jariapena
poisoning	disgust	0.703	pozoitzea
despotism	disgust	0.703	despotismoa
measles	disgust	0.696	elgorria
contagious	disgust	0.695	kutsakorra
obesity	disgust	0.695	gizentasuna
wart	disgust	0.695	garatxoa
hate	disgust	0.695	gorrotoa
hellish	disgust	0.695	infernua
scum	disgust	0.695	eskoria
suicidal	disgust	0.695	suizida
wretch	disgust	0.695	dohakabea
abuse	disgust	0.695	tratu txarrak
waste	disgust	0.695	hondakinak
intestinal	disgust	0.695	hesteetakoa
heartworm	disgust	0.688	bihotzeko zizare
ooze	disgust	0.688	lehortu
treason	disgust	0.688	traizioa
contaminated	disgust	0.688	kutsatuta
smut	disgust	0.688	smut
disease	disgust	0.688	gaixotasuna
rabid	disgust	0.688	amorratua
deformed	disgust	0.680	deformatu
hell	disgust	0.680	infernua
soulless	disgust	0.680	arimarik gabe
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestiala
antichrist	disgust	0.680	antikristo
freakish	disgust	0.680	friki
germ	disgust	0.680	germen
detest	disgust	0.680	gaitzetsi
pollution	disgust	0.680	kutsadura
grimy	disgust	0.680	zikintsua
abhorrent	disgust	0.680	higuingarria
hatred	disgust	0.680	gorrotoa
abominate	disgust	0.680	higuingarria
sickness	disgust	0.680	gaixotasun
hideous	disgust	0.672	ikaragarria
dictatorship	disgust	0.672	diktadura
loathful	disgust	0.672	higuingarria
greasy	disgust	0.672	koipetsua
dilapidated	disgust	0.672	hondatuta
inhuman	disgust	0.672	gizagabea
loathing	disgust	0.672	higuingarria
obscene	disgust	0.672	lizun
cess	disgust	0.670	cess
devil	disgust	0.664	deabrua
deformity	disgust	0.664	deformazioa
nauseous	disgust	0.664	goragalea
deadly	disgust	0.664	hilgarria
swine	disgust	0.664	txerri
discrimination	disgust	0.664	diskriminazioa
abominable	disgust	0.664	higuingarria
masochism	disgust	0.664	masokismoa
heretic	disgust	0.664	herejea
latrines	disgust	0.656	letrinak
corruption	disgust	0.656	ustelkeria
poisonous	disgust	0.656	pozoitsu
horror	disgust	0.656	izua
nefarious	disgust	0.656	gaiztoa
bacteria	disgust	0.656	bakterioak
horrible	disgust	0.656	izugarria
trash	disgust	0.656	zabor
abortion	disgust	0.656	abortua
death	disgust	0.656	heriotza
prejudiced	disgust	0.656	aurreiritziak
poison	disgust	0.656	pozoia
oppression	disgust	0.656	zapalkuntza
goo	disgust	0.656	goo
victimized	disgust	0.656	biktimizatuta
mange	disgust	0.656	sarria
sludge	disgust	0.648	lohiak
trashy	disgust	0.648	zaborra
vindictive	disgust	0.648	mendekua
horrid	disgust	0.648	izugarria
ugly	disgust	0.648	itsusia
immoral	disgust	0.648	inmorala
bitch	disgust	0.648	puta
outhouse	disgust	0.648	aterpea
detestation	disgust	0.648	higuina
horrifying	disgust	0.641	ikaragarria
laxative	disgust	0.641	laxantea
unsightly	disgust	0.641	itxuragabea
derogatory	disgust	0.641	gutxiesgarria
slop	disgust	0.641	malda
malfeasance	disgust	0.641	maltzurkeria
spew	disgust	0.641	bota
pimple	disgust	0.641	garaua
criminality	disgust	0.641	kriminaltasuna
indecency	disgust	0.641	lotsagabekeria
cystic	disgust	0.641	kistikoa
villainous	disgust	0.641	gaiztoa
queasy	disgust	0.633	nazkagarri
mildew	disgust	0.633	lizuna
oppressive	disgust	0.633	zapaltzailea
prostitution	disgust	0.633	prostituzioa
secrete	disgust	0.633	jariatu
ulcer	disgust	0.633	ultzera
rat	disgust	0.633	arratoia
bigoted	disgust	0.633	potoloa
perpetrator	disgust	0.633	egile
doomsday	disgust	0.633	azken eguna
sinful	disgust	0.633	bekatari
degrading	disgust	0.625	degradatzen
ghastly	disgust	0.625	ikaragarri
suffering	disgust	0.625	sufrimendua
obscenity	disgust	0.625	lizunkeria
devilish	disgust	0.625	deabrua
disgraceful	disgust	0.625	lotsagarri
persecution	disgust	0.625	jazarpena
contemptible	disgust	0.625	mespretxagarria
cuckold	disgust	0.625	kukurrukua
stools	disgust	0.625	tabureteak
dastardly	disgust	0.625	zitala
sin	disgust	0.625	bekatua
gluttony	disgust	0.625	jalkikeria
bloated	disgust	0.625	puztuta
fungus	disgust	0.625	onddoa
aghast	disgust	0.625	ikaratuta
diaper	disgust	0.617	pixoihal
malicious	disgust	0.617	gaiztoa
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	hiltzen
termite	disgust	0.617	termita
fat	disgust	0.617	potolo
deceit	disgust	0.617	iruzurra
atrocious	disgust	0.617	ikaragarria
guillotine	disgust	0.617	gillotina
tetanus	disgust	0.617	tetanoa
spoil	disgust	0.617	hondatu
crusty	disgust	0.617	lurrazala
sickly	disgust	0.617	eritsu
louse	disgust	0.617	zorria
strangle	disgust	0.617	itotzea
betrayal	disgust	0.617	traizioa
loathe	disgust	0.617	gaitzetsi
wench	disgust	0.617	neskatxa
infect	disgust	0.617	kutsatu
violently	disgust	0.609	bortizki
brothel	disgust	0.609	burdel
drool	disgust	0.609	limar
bleeding	disgust	0.609	odoljarioa
deform	disgust	0.609	deformatu
ghetto	disgust	0.609	ghettoa
sabotage	disgust	0.609	sabotajea
venomous	disgust	0.609	pozoitsua
abhor	disgust	0.609	gaitzetsi
slander	disgust	0.609	kalumnia
hostile	disgust	0.609	etsai
musty	disgust	0.602	lizun
illicit	disgust	0.602	legez kanpokoa
ugliness	disgust	0.602	itsuskeria
unwashed	disgust	0.602	garbitu gabe
swampy	disgust	0.602	zingiratsu
deprivation	disgust	0.602	gabezia
poaching	disgust	0.602	ekusketa
hag	disgust	0.602	hag
infidel	disgust	0.602	infidel
imprisonment	disgust	0.602	espetxeratzea
traitor	disgust	0.602	traidore
lunacy	disgust	0.602	erokeria
queasiness	disgust	0.594	ezinegona
hostility	disgust	0.594	etsaitasuna
repelling	disgust	0.594	uxatzen
intoxicated	disgust	0.594	mozkortuta
thug	disgust	0.594	matxura
catastrophe	disgust	0.594	hondamendia
lunatic	disgust	0.594	zoro
misery	disgust	0.594	miseria
venom	disgust	0.594	pozoia
butcher	disgust	0.594	harakina
toilet	disgust	0.594	komuna
blister	disgust	0.594	baba
lurid	disgust	0.594	xelebrea
slug	disgust	0.594	bareak
gut	disgust	0.594	tripa
sinner	disgust	0.594	bekataria
deceitful	disgust	0.594	engainagarria
epidemic	disgust	0.594	epidemikoa
deteriorated	disgust	0.586	hondatuta
lavatory	disgust	0.586	komuna
unclean	disgust	0.586	zikinak
prostitute	disgust	0.586	prostituta
incubus	disgust	0.586	inkuboa
appalling	disgust	0.586	ikaragarria
dreadful	disgust	0.586	ikaragarria
pornography	disgust	0.586	pornografia
harass	disgust	0.586	jazarri
squeamish	disgust	0.578	zirraragarri
expulsion	disgust	0.578	kanporatzea
unfaithful	disgust	0.578	desleial
offensive	disgust	0.578	iraingarria
hypocrite	disgust	0.578	hipokrita
humiliating	disgust	0.578	umiliagarria
larceny	disgust	0.578	lapurreta
ruinous	disgust	0.578	hondagarria
retard	disgust	0.578	atzeratu
rash	disgust	0.578	erupzioa
flea	disgust	0.578	arkakuso
debauchery	disgust	0.578	liskarkeria
fiend	disgust	0.578	demonio
quagmire	disgust	0.578	lurrikara
conspirator	disgust	0.578	konspiratzaile
sick	disgust	0.578	gaixo
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	txakurra
egregious	disgust	0.570	ikaragarria
flog	disgust	0.570	azotea
despise	disgust	0.570	mespretxatu
treacherous	disgust	0.570	traidore
oppress	disgust	0.570	zapaldu
swamp	disgust	0.570	padura
messy	disgust	0.570	nahasia
spit	disgust	0.570	tu
dank	disgust	0.570	umila
bastard	disgust	0.570	sasikume
devastating	disgust	0.570	suntsitzailea
serpent	disgust	0.570	sugea
loo	disgust	0.562	loo
indecent	disgust	0.562	lotsagabea
insanity	disgust	0.562	erokeria
stealing	disgust	0.562	lapurtzen
terrible	disgust	0.562	izugarria
tyrannical	disgust	0.562	tiranikoa
humiliation	disgust	0.562	umiliazioa
snake	disgust	0.562	sugea
sloppy	disgust	0.562	lohiak
sinning	disgust	0.562	bekatu egiten
harmful	disgust	0.562	kaltegarria
harlot	disgust	0.562	puta
sordid	disgust	0.562	sordidoa
enemy	disgust	0.562	etsaia
alcoholism	disgust	0.562	alkoholismoa
awful	disgust	0.562	izugarria
ruthless	disgust	0.562	gupidagabea
scoundrel	disgust	0.562	zitala
bloody	disgust	0.555	odoltsua
flabby	disgust	0.555	flaska
odious	disgust	0.555	higuingarria
beastly	disgust	0.555	piztia
collusion	disgust	0.555	elkartasun
ridicule	disgust	0.555	iseka
discriminating	disgust	0.555	diskriminatzailea
unattractive	disgust	0.555	ez erakargarria
insufferable	disgust	0.555	jasanezina
segregate	disgust	0.555	bereizi
arsenic	disgust	0.555	artsenikoa
threatening	disgust	0.555	mehatxatzen
atrophy	disgust	0.555	atrofia
varicella	disgust	0.555	barizela
slayer	disgust	0.555	hiltzailea
distaste	disgust	0.555	gaitzespena
coward	disgust	0.555	koldar
robbery	disgust	0.555	lapurreta
wickedness	disgust	0.555	gaiztakeria
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	gaiztoa
sty	disgust	0.547	ortza
pillage	disgust	0.547	lapurreta
thief	disgust	0.547	lapurra
suffocating	disgust	0.547	itogarria
condemnation	disgust	0.547	gaitzespena
deleterious	disgust	0.547	kaltegarria
slur	disgust	0.547	irinkeria
purgatory	disgust	0.547	purgatorioa
attacking	disgust	0.547	erasotzen
burglar	disgust	0.547	lapurra
ogre	disgust	0.547	ogroa
coercion	disgust	0.547	hertsadura
vesicular	disgust	0.547	besikularrak
miserable	disgust	0.547	miserable
bitterly	disgust	0.547	mingotsez
sneer	disgust	0.539	iseka
greedy	disgust	0.539	gutizia
gob	disgust	0.539	gob
repellant	disgust	0.539	aldarazlea
jealous	disgust	0.539	jeloskor
drunken	disgust	0.539	mozkortuta
shame	disgust	0.539	lotsa
thrash	disgust	0.539	sarraski
fatty	disgust	0.539	gantz
liar	disgust	0.539	gezurtia
imprisoned	disgust	0.539	espetxeratua
sloth	disgust	0.539	alferra
repudiation	disgust	0.539	arbuioa
disgrace	disgust	0.539	lotsagarri
infidelity	disgust	0.539	desleialtasuna
pig	disgust	0.539	txerria
lethal	disgust	0.536	hilgarria
burnt	disgust	0.531	erreta
brawl	disgust	0.531	liskarra
withered	disgust	0.531	ihartu
blemish	disgust	0.531	akatsa
hydrocephalus	disgust	0.531	hidrozefalia
aberration	disgust	0.531	aberrazioa
smuggler	disgust	0.531	kontrabandista
painful	disgust	0.531	mingarria
condescension	disgust	0.531	adeitasuna
intolerant	disgust	0.531	intolerantea
blasphemous	disgust	0.531	blasfemo
lying	disgust	0.531	etzanda
hanging	disgust	0.531	zintzilik
travesty	disgust	0.531	parodia
ruined	disgust	0.531	hondatuta
intrusive	disgust	0.531	intrusiboa
disintegrate	disgust	0.531	desegin
destructive	disgust	0.531	suntsitzailea
neurotic	disgust	0.531	neurotiko
disparaging	disgust	0.523	gutxiesgarria
blighted	disgust	0.523	zikindu
intolerance	disgust	0.523	intolerantzia
mistress	disgust	0.523	andrea
avarice	disgust	0.523	zitalkeria
disgraced	disgust	0.523	lotsatuta
derogation	disgust	0.523	salbuespena
rubbish	disgust	0.523	zaborra
accusation	disgust	0.523	salaketa
incarceration	disgust	0.523	espetxeratzea
tortious	disgust	0.516	tortious
dishonor	disgust	0.516	desohore
stink	disgust	0.516	kiratsa
grim	disgust	0.516	latz
rob	disgust	0.516	lapurtu
defraud	disgust	0.516	iruzurra
sump	disgust	0.516	putzua
cringe	disgust	0.516	kikildu
vulture	disgust	0.516	saia
deplorable	disgust	0.516	tamalgarria
mite	disgust	0.516	akaroa
eradication	disgust	0.516	desagerraraztea
degrade	disgust	0.516	degradatu
gutter	disgust	0.516	erretena
convict	disgust	0.516	kondenatu
remains	disgust	0.516	hondarrak
betray	disgust	0.516	saldu
daemon	disgust	0.516	deabru
sham	disgust	0.509	itxurakeria
distasteful	disgust	0.508	nazkagarria
prisoner	disgust	0.508	preso
dreadfully	disgust	0.508	ikaragarri
worthless	disgust	0.508	ezertarako balio ez duena
crude	disgust	0.508	gordina
delirium	disgust	0.508	eldarnioa
incurable	disgust	0.508	sendaezina
smelling	disgust	0.508	usaintzen
idiocy	disgust	0.508	ergelkeria
resentment	disgust	0.508	erresumina
bombed	disgust	0.508	bonbardatu
blob	disgust	0.508	bolada
cheat	disgust	0.508	iruzurra
schizophrenia	disgust	0.508	eskizofrenia
rejection	disgust	0.508	errefusa
belittle	disgust	0.508	gutxietsi
glut	disgust	0.508	gehiegikeria
disaster	disgust	0.508	hondamendia
distress	disgust	0.508	atsekabea
pest	disgust	0.508	izurri
endemic	disgust	0.508	endemikoa
theft	disgust	0.500	lapurreta
banish	disgust	0.500	erbesteratu
mire	disgust	0.500	lohi
flagrant	disgust	0.500	nabarmena
derision	disgust	0.500	iseka
dirt	disgust	0.500	zikinkeria
screaming	disgust	0.500	garrasika
offense	disgust	0.500	iraina
jealousy	disgust	0.500	jelosia
bribery	disgust	0.500	eroskeria
polemic	disgust	0.500	polemika
blight	disgust	0.500	zirriborroa
impeach	disgust	0.500	inputatu
bitterness	disgust	0.500	mingostasuna
taboo	disgust	0.500	tabua
duress	disgust	0.500	estutasuna
goblin	disgust	0.500	iratxoa
shackle	disgust	0.500	giltza
idolatry	disgust	0.500	idolatria
greed	disgust	0.500	gutizia
impurity	disgust	0.500	ezpurutasuna
tirade	disgust	0.500	tirada
idiot	disgust	0.492	idiota
boil	disgust	0.492	irakiten
unconscionable	disgust	0.492	zentzugabea
disreputable	disgust	0.492	txarrekoa
robber	disgust	0.492	lapurra
malign	disgust	0.492	gaiztoa
wreck	disgust	0.492	hondamendia
recession	disgust	0.492	atzeraldia
gorge	disgust	0.492	arroila
leer	disgust	0.492	leer
ill	disgust	0.492	gaixorik
squirm	disgust	0.492	zirrikitu
raging	disgust	0.484	amorruz
servile	disgust	0.484	zerbitzatu
mess	disgust	0.484	nahastea
nappy	disgust	0.484	pixoihal
possessed	disgust	0.484	jabetu
unbearable	disgust	0.484	jasanezina
occult	disgust	0.484	ezkutua
contraband	disgust	0.484	kontrabandoa
snarl	disgust	0.484	irrintzi
mutiny	disgust	0.484	matxinada
mad	disgust	0.484	erotu
affliction	disgust	0.484	gaitz
stain	disgust	0.484	orban
animosity	disgust	0.484	etsaitasuna
contempt	disgust	0.484	mespretxua
tramp	disgust	0.484	tranpa
nepotism	disgust	0.484	nepotismoa
disrespectful	disgust	0.484	errespetu falta
defamation	disgust	0.484	difamazioa
inexcusable	disgust	0.484	barkaezina
aversation	disgust	0.484	gaitzespena
wasteful	disgust	0.484	xahutzailea
offender	disgust	0.484	delitugilea
subjugation	disgust	0.484	menderatzea
illegality	disgust	0.477	ilegalizazioa
dismal	disgust	0.477	tristea
criminal	disgust	0.477	kriminal
unpleasant	disgust	0.477	desatsegina
palsy	disgust	0.477	paralisia
antagonistic	disgust	0.477	antagonista
pathetic	disgust	0.477	patetikoa
uncaring	disgust	0.477	arduragabea
suppression	disgust	0.477	zapalkuntza
immorality	disgust	0.477	moralgabetasuna
mockery	disgust	0.477	iseka
outrage	disgust	0.469	haserrea
mocking	disgust	0.469	iseka
wallow	disgust	0.469	urratu
cough	disgust	0.469	eztula
arrogant	disgust	0.469	harroputz
angry	disgust	0.469	haserre
poverty	disgust	0.469	pobrezia
grating	disgust	0.469	sarekada
livid	disgust	0.469	lizun
aggravation	disgust	0.469	larritasuna
repellent	disgust	0.469	uxatzeko
perspiration	disgust	0.469	izerdia
banishment	disgust	0.469	erbesteratzea
furious	disgust	0.469	haserre
shoddy	disgust	0.469	eskasa
banshee	disgust	0.469	banshee
deceive	disgust	0.461	engainatu
fool	disgust	0.461	ergela
quack	disgust	0.461	karraro
distorted	disgust	0.461	desitxuratua
spider	disgust	0.461	armiarma
unjustifiable	disgust	0.461	justifikaezina
deplore	disgust	0.461	deitoratu
spurious	disgust	0.461	faltsuak
perdition	disgust	0.461	galtzea
muddy	disgust	0.461	lokaztua
fraudulent	disgust	0.461	iruzurrezkoa
scar	disgust	0.461	orbaina
prick	disgust	0.461	pikatu
insulting	disgust	0.461	iraingarria
plunder	disgust	0.461	arpilatu
recklessness	disgust	0.461	arduragabekeria
stigma	disgust	0.453	estigma
disparage	disgust	0.453	gutxiesten
unthinkable	disgust	0.453	pentsaezina
disingenuous	disgust	0.453	gaiztoa
bane	disgust	0.453	zoritxarra
dishonest	disgust	0.453	petrala
aphid	disgust	0.453	afidoa
elimination	disgust	0.453	eliminazioa
cur	disgust	0.453	kur
selfish	disgust	0.453	berekoia
eschew	disgust	0.453	ihes egin
dire	disgust	0.453	dire
indignation	disgust	0.453	sumindura
antipathy	disgust	0.453	antipatia
alienate	disgust	0.453	alienatu
mosquito	disgust	0.445	eltxoa
piles	disgust	0.445	pilak
pious	disgust	0.445	jainkozalea
lie	disgust	0.445	gezurra
opium	disgust	0.445	opioa
smell	disgust	0.445	usaina
iniquity	disgust	0.445	gaiztakeria
caries	disgust	0.445	txantxarra
despair	disgust	0.445	etsipena
recalcitrant	disgust	0.445	errezitratzailea
egotistical	disgust	0.445	egoista
wasted	disgust	0.445	alferrik galdu
vacuous	disgust	0.445	hutsean
bankruptcy	disgust	0.445	porrot
garish	disgust	0.445	xelebrea
obnoxious	disgust	0.438	nazkagarria
ashamed	disgust	0.438	lotsatuta
abject	disgust	0.438	ikaragarria
sticky	disgust	0.438	itsaskor
scream	disgust	0.438	garrasi egin
hopelessness	disgust	0.438	esperantzagabetasuna
homeless	disgust	0.438	etxerik gabe
shun	disgust	0.438	baztertu
inmate	disgust	0.438	preso
alien	disgust	0.438	arrotza
hog	disgust	0.438	txerria
aversion	disgust	0.438	abertsioa
abnormal	disgust	0.438	anormala
cursing	disgust	0.430	madarikatuz
undesirable	disgust	0.430	desiragarria
denounce	disgust	0.430	salatu
witch	disgust	0.430	sorgina
creature	disgust	0.430	izaki
lusty	disgust	0.430	lizunkeria
illegal	disgust	0.430	legez kanpokoa
debris	disgust	0.430	hondakinak
callous	disgust	0.430	kaskarra
reflux	disgust	0.430	errefluxua
adverse	disgust	0.430	kontrakoa
shameless	disgust	0.430	lotsagabea
separatist	disgust	0.430	separatista
trickery	disgust	0.430	trikimailu
falsity	disgust	0.430	faltsutasuna
pall	disgust	0.430	pall
defiance	disgust	0.430	desafioa
incredulous	disgust	0.430	sinesgaitza
curse	disgust	0.430	madarikatu
pompous	disgust	0.422	ponpoxoa
socialist	disgust	0.422	sozialista
mistrust	disgust	0.422	mesfidantza
infantile	disgust	0.422	infantila
wasting	disgust	0.422	xahutzen
hairy	disgust	0.422	iletsua
nicotine	disgust	0.422	nikotina
denunciation	disgust	0.422	salaketa
collapse	disgust	0.422	kolapsatu
untidy	disgust	0.422	desordenatu
ferocious	disgust	0.422	ferotza
ammonia	disgust	0.422	amoniakoa
carelessness	disgust	0.422	arduragabekeria
impure	disgust	0.422	ezpurua
contentious	disgust	0.422	gatazkatsua
bum	disgust	0.422	bum
affront	disgust	0.422	afronta
offend	disgust	0.422	mindu
tarnish	disgust	0.422	zikindu
idiotic	disgust	0.422	idiota
badness	disgust	0.422	gaiztakeria
delinquent	disgust	0.422	delinkuente
swarm	disgust	0.422	zalaparta
hypertrophy	disgust	0.422	hipertrofia
gush	disgust	0.422	urratu
tasteless	disgust	0.422	zaporerik gabekoa
bovine	disgust	0.422	behi
slush	disgust	0.422	loria
litigious	disgust	0.414	auzibidezkoak
dishonesty	disgust	0.414	zintzotasuna
vegetative	disgust	0.414	begetatiboa
unfavorable	disgust	0.414	desegokia
displacency	disgust	0.414	lekualdaketa
illegitimate	disgust	0.414	legez kanpokoa
sour	disgust	0.414	garratza
socialism	disgust	0.414	sozialismoa
disobey	disgust	0.414	desobeditu
drivel	disgust	0.414	zitalkeria
vampire	disgust	0.414	banpiroa
neglected	disgust	0.414	alde batera utzita
murky	disgust	0.414	iluna
ignorant	disgust	0.406	ezjakin
disgruntled	disgust	0.406	atsekabetuta
discontinuity	disgust	0.406	etena
dislike	disgust	0.406	ez gustatzen
unlawful	disgust	0.406	legez kanpokoa
wrongdoing	disgust	0.406	gaizki-egitea
shoplifting	disgust	0.406	dendetan lapurreta
recidivism	disgust	0.406	berrerortzea
outcast	disgust	0.406	baztertua
bogus	disgust	0.406	faltsu
displeasure	disgust	0.406	atsekabea
repel	disgust	0.406	uxatu
falsify	disgust	0.406	faltsutu
ungrateful	disgust	0.406	eskergabea
unkind	disgust	0.406	adeigabea
phony	disgust	0.406	faltsu
prosecution	disgust	0.406	akusazioa
woe	disgust	0.398	ai
averse	disgust	0.398	kontrakoa
loon	disgust	0.398	txirrindula
worsening	disgust	0.398	okerrera egiten
paucity	disgust	0.398	eskasia
unnatural	disgust	0.398	ez-naturala
amphetamines	disgust	0.398	anfetaminak
senseless	disgust	0.398	zentzugabea
rigor	disgust	0.398	zorroztasuna
subvert	disgust	0.398	irauli
failure	disgust	0.398	porrota
lick	disgust	0.398	miazkatu
unruly	disgust	0.398	intsumisoak
woefully	disgust	0.398	zoritxarrez
stingy	disgust	0.398	zikorrak
crushing	disgust	0.398	birrintzea
disdain	disgust	0.398	mespretxua
insult	disgust	0.393	iraina
averseness	disgust	0.391	gaitzespena
disrelish	disgust	0.391	deseroso
punished	disgust	0.391	zigortu
critter	disgust	0.391	bitxikeria
damage	disgust	0.391	kalteak
scorpion	disgust	0.391	eskorpioia
diatribe	disgust	0.391	diatriba
muff	disgust	0.391	muff
farcical	disgust	0.391	fartsa
antisocial	disgust	0.391	antisoziala
hardened	disgust	0.391	gogortu
punishment	disgust	0.391	zigorra
bad	disgust	0.391	txarra
expel	disgust	0.391	kanporatu
surly	disgust	0.383	maltzurra
lament	disgust	0.383	deitoratu
illiterate	disgust	0.383	analfabetoa
divorce	disgust	0.383	dibortzioa
teeming	disgust	0.383	bete-betean
plagiarism	disgust	0.383	plagioa
eviction	disgust	0.383	desalojoa
orc	disgust	0.383	orkoa
disappoint	disgust	0.383	huts egin
shabby	disgust	0.383	zakarra
presumptuous	disgust	0.383	presuntziozkoa
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	desadostasuna
