English Word	Emotion	Emotion-Intensity-Score	Corsican Word
soulless	disgust	0.680	senza anima
cholera	disgust	0.680	colera
bestial	disgust	0.680	bestiale
antichrist	disgust	0.680	anticristu
freakish	disgust	0.680	freakish
germ	disgust	0.680	germe
detest	disgust	0.680	detesta
pollution	disgust	0.680	a contaminazione
grimy	disgust	0.680	bruttu
abhorrent	disgust	0.680	abominevole
hatred	disgust	0.680	odiu
abominate	disgust	0.680	abominà
sickness	disgust	0.680	malatie
hideous	disgust	0.672	terribili
dictatorship	disgust	0.672	dittatura
loathful	disgust	0.672	disprezzu
greasy	disgust	0.672	grassu
dilapidated	disgust	0.672	dilapidatu
inhuman	disgust	0.672	inumanu
loathing	disgust	0.672	disprezzu
obscene	disgust	0.672	obscenu
cess	disgust	0.670	cess
devil	disgust	0.664	diavulu
deformity	disgust	0.664	deformità
nauseous	disgust	0.664	nauseous
deadly	disgust	0.664	mortali
swine	disgust	0.664	porcu
discrimination	disgust	0.664	discriminazione
abominable	disgust	0.664	abominable
masochism	disgust	0.664	masochismu
heretic	disgust	0.664	ereticu
latrines	disgust	0.656	latrine
corruption	disgust	0.656	corruzzione
poisonous	disgust	0.656	velenosa
horror	disgust	0.656	orrore
nefarious	disgust	0.656	nefaste
bacteria	disgust	0.656	batteri
horrible	disgust	0.656	orribile
trash	disgust	0.656	basura
abortion	disgust	0.656	abortu
death	disgust	0.656	morte
prejudiced	disgust	0.656	preghjudiziu
poison	disgust	0.656	velenu
oppression	disgust	0.656	oppressione
goo	disgust	0.656	bè
victimized	disgust	0.656	vittime
mange	disgust	0.656	rogna
sludge	disgust	0.648	fangu
trashy	disgust	0.648	trash
vindictive	disgust	0.648	vindictive
horrid	disgust	0.648	orribile
ugly	disgust	0.648	bruttu
immoral	disgust	0.648	immurali
bitch	disgust	0.648	cagna
outhouse	disgust	0.648	outhouse
detestation	disgust	0.648	detestazione
horrifying	disgust	0.641	terribili
laxative	disgust	0.641	lassativu
unsightly	disgust	0.641	sgradevoli
derogatory	disgust	0.641	disprezzu
slop	disgust	0.641	slop
malfeasance	disgust	0.641	malversazione
spew	disgust	0.641	sputa
pimple	disgust	0.641	pimple
criminality	disgust	0.641	criminalità
indecency	disgust	0.641	indecenza
cystic	disgust	0.641	cisticu
villainous	disgust	0.641	villanu
queasy	disgust	0.633	malatu
mildew	disgust	0.633	muffa
oppressive	disgust	0.633	oppressive
prostitution	disgust	0.633	prustituzioni
secrete	disgust	0.633	secrete
ulcer	disgust	0.633	ulcera
rat	disgust	0.633	ratu
bigoted	disgust	0.633	bigotti
perpetrator	disgust	0.633	autore
doomsday	disgust	0.633	ghjudiziu
sinful	disgust	0.633	piccatu
degrading	disgust	0.625	degradante
ghastly	disgust	0.625	terribili
suffering	disgust	0.625	soffrenu
obscenity	disgust	0.625	oscenità
devilish	disgust	0.625	diavulu
disgraceful	disgust	0.625	disgraziatu
persecution	disgust	0.625	persecuzione
contemptible	disgust	0.625	disprezzu
cuckold	disgust	0.625	cornutu
stools	disgust	0.625	sgabelli
dastardly	disgust	0.625	disgraziatu
sin	disgust	0.625	peccatu
gluttony	disgust	0.625	gola
bloated	disgust	0.625	gonfiatu
fungus	disgust	0.625	fungus
aghast	disgust	0.625	spaventatu
diaper	disgust	0.617	pannolu
malicious	disgust	0.617	malicious
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	morendu
termite	disgust	0.617	termite
fat	disgust	0.617	grassu
deceit	disgust	0.617	ingannu
atrocious	disgust	0.617	atroce
guillotine	disgust	0.617	ghigliottina
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	sguassate
crusty	disgust	0.617	crosta
sickly	disgust	0.617	malati
louse	disgust	0.617	pidocchio
strangle	disgust	0.617	strangulà
betrayal	disgust	0.617	tradimentu
loathe	disgust	0.617	disprezzu
wench	disgust	0.617	fanciulla
infect	disgust	0.617	infettà
violently	disgust	0.609	viulente
brothel	disgust	0.609	bordellu
drool	disgust	0.609	bava
bleeding	disgust	0.609	sanguinante
deform	disgust	0.609	deformà
ghetto	disgust	0.609	ghettu
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	velenoso
abhor	disgust	0.609	detesta
slander	disgust	0.609	calunnia
hostile	disgust	0.609	ostili
musty	disgust	0.602	muffa
illicit	disgust	0.602	illecite
ugliness	disgust	0.602	bruttura
unwashed	disgust	0.602	senza lavare
swampy	disgust	0.602	paludosa
deprivation	disgust	0.602	privazione
poaching	disgust	0.602	braconnage
hag	disgust	0.602	hag
infidel	disgust	0.602	infidèle
imprisonment	disgust	0.602	prigiò
traitor	disgust	0.602	traditore
lunacy	disgust	0.602	pazzia
queasiness	disgust	0.594	nazza
hostility	disgust	0.594	ostilità
repelling	disgust	0.594	repellendu
intoxicated	disgust	0.594	intossicatu
thug	disgust	0.594	thug
catastrophe	disgust	0.594	catastrophe
lunatic	disgust	0.594	lunaticu
misery	disgust	0.594	miseria
venom	disgust	0.594	velenu
butcher	disgust	0.594	macellaio
toilet	disgust	0.594	toilette
blister	disgust	0.594	blister
lurid	disgust	0.594	luridu
slug	disgust	0.594	lumaca
gut	disgust	0.594	gut
sinner	disgust	0.594	peccatore
deceitful	disgust	0.594	ingannu
epidemic	disgust	0.594	epidemia
deteriorated	disgust	0.586	deterioratu
lavatory	disgust	0.586	lavatori
unclean	disgust	0.586	impuru
prostitute	disgust	0.586	prostituta
incubus	disgust	0.586	incubus
appalling	disgust	0.586	spaventoso
dreadful	disgust	0.586	terribili
pornography	disgust	0.586	pornografia
harass	disgust	0.586	fastidiu
squeamish	disgust	0.578	stridulu
expulsion	disgust	0.578	espulsione
unfaithful	disgust	0.578	infideli
offensive	disgust	0.578	offensiva
hypocrite	disgust	0.578	ipocrita
humiliating	disgust	0.578	umiliante
larceny	disgust	0.578	furtu
ruinous	disgust	0.578	ruinoso
retard	disgust	0.578	ritardu
rash	disgust	0.578	rash
flea	disgust	0.578	pulce
debauchery	disgust	0.578	disgrazia
fiend	disgust	0.578	diabolicu
quagmire	disgust	0.578	pantano
conspirator	disgust	0.578	cuspiratore
sick	disgust	0.578	malatu
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	ghjacaru
egregious	disgust	0.570	flagrante
flog	disgust	0.570	frusta
despise	disgust	0.570	disprezzu
treacherous	disgust	0.570	traditore
oppress	disgust	0.570	oppressà
swamp	disgust	0.570	palude
messy	disgust	0.570	disordinatu
spit	disgust	0.570	sputa
dank	disgust	0.570	umida
bastard	disgust	0.570	bastarda
devastating	disgust	0.570	devastanti
serpent	disgust	0.570	serpente
loo	disgust	0.562	lu
indecent	disgust	0.562	indecente
insanity	disgust	0.562	pazzia
stealing	disgust	0.562	arrubà
terrible	disgust	0.562	terribili
tyrannical	disgust	0.562	tirannicu
humiliation	disgust	0.562	umiliazione
snake	disgust	0.562	serpente
sloppy	disgust	0.562	sciaccatu
sinning	disgust	0.562	peccatu
harmful	disgust	0.562	dannosu
harlot	disgust	0.562	prostituta
sordid	disgust	0.562	sordidu
enemy	disgust	0.562	nemicu
alcoholism	disgust	0.562	alcoholismu
awful	disgust	0.562	terribili
ruthless	disgust	0.562	senza pietà
scoundrel	disgust	0.562	canaglia
bloody	disgust	0.555	sanguinosa
flabby	disgust	0.555	flaccida
odious	disgust	0.555	odiosa
beastly	disgust	0.555	bestiale
collusion	disgust	0.555	collusione
ridicule	disgust	0.555	ridicule
discriminating	disgust	0.555	discriminante
unattractive	disgust	0.555	pocu attraente
insufferable	disgust	0.555	insufribile
segregate	disgust	0.555	segregate
arsenic	disgust	0.555	arsenicu
threatening	disgust	0.555	minaccia
atrophy	disgust	0.555	atrofia
varicella	disgust	0.555	varicella
slayer	disgust	0.555	uccisore
distaste	disgust	0.555	disprezzu
coward	disgust	0.555	codardo
robbery	disgust	0.555	robba
wickedness	disgust	0.555	gattivezza
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	malevolente
sty	disgust	0.547	sty
pillage	disgust	0.547	pillage
thief	disgust	0.547	latru
suffocating	disgust	0.547	suffocante
condemnation	disgust	0.547	cundanna
deleterious	disgust	0.547	deleteriu
slur	disgust	0.547	slur
purgatory	disgust	0.547	purgatoriu
attacking	disgust	0.547	attaccà
burglar	disgust	0.547	ladrone
ogre	disgust	0.547	orcu
coercion	disgust	0.547	coercizione
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	miserable
bitterly	disgust	0.547	amaramente
sneer	disgust	0.539	schernu
greedy	disgust	0.539	avidità
gob	disgust	0.539	gob
repellant	disgust	0.539	repellent
jealous	disgust	0.539	ghjilosu
drunken	disgust	0.539	ubriacu
shame	disgust	0.539	vergogna
thrash	disgust	0.539	thrash
fatty	disgust	0.539	grassu
liar	disgust	0.539	bugiarda
imprisoned	disgust	0.539	incarceratu
sloth	disgust	0.539	bradicciu
repudiation	disgust	0.539	repudia
disgrace	disgust	0.539	disgrazia
infidelity	disgust	0.539	infideltà
pig	disgust	0.539	porcu
lethal	disgust	0.536	letale
burnt	disgust	0.531	brusgiatu
brawl	disgust	0.531	rissa
withered	disgust	0.531	secca
blemish	disgust	0.531	difettu
hydrocephalus	disgust	0.531	idrocefalia
aberration	disgust	0.531	aberrazione
smuggler	disgust	0.531	contrabandista
painful	disgust	0.531	doloroso
condescension	disgust	0.531	cundescendenza
intolerant	disgust	0.531	intolleranti
blasphemous	disgust	0.531	blasfemu
lying	disgust	0.531	menti
hanging	disgust	0.531	impiccatu
travesty	disgust	0.531	parodia
ruined	disgust	0.531	ruvinatu
intrusive	disgust	0.531	intrusiva
disintegrate	disgust	0.531	disintegrate
destructive	disgust	0.531	distruttivu
neurotic	disgust	0.531	nevrosi
disparaging	disgust	0.523	disprezzu
blighted	disgust	0.523	arruffatu
intolerance	disgust	0.523	intolleranza
mistress	disgust	0.523	padrona
avarice	disgust	0.523	avarizia
disgraced	disgust	0.523	disgraziatu
derogation	disgust	0.523	derogazione
rubbish	disgust	0.523	spazzatura
accusation	disgust	0.523	accusa
incarceration	disgust	0.523	incarcerazione
tortious	disgust	0.516	tortuosa
dishonor	disgust	0.516	disonore
stink	disgust	0.516	puzza
grim	disgust	0.516	tristu
rob	disgust	0.516	robba
defraud	disgust	0.516	frode
sump	disgust	0.516	sump
cringe	disgust	0.516	cringe
vulture	disgust	0.516	vulturu
deplorable	disgust	0.516	deplorable
mite	disgust	0.516	acaru
eradication	disgust	0.516	eradicazione
degrade	disgust	0.516	degrada
gutter	disgust	0.516	cantina
convict	disgust	0.516	cundannatu
remains	disgust	0.516	resta
betray	disgust	0.516	tradisce
daemon	disgust	0.516	demone
sham	disgust	0.509	farsa
distasteful	disgust	0.508	disgustatu
prisoner	disgust	0.508	prigiuneru
dreadfully	disgust	0.508	terribilmente
worthless	disgust	0.508	senza valore
crude	disgust	0.508	crudu
delirium	disgust	0.508	diliriu
incurable	disgust	0.508	incurable
smelling	disgust	0.508	odore
idiocy	disgust	0.508	idiozia
resentment	disgust	0.508	risentimentu
bombed	disgust	0.508	bombardatu
blob	disgust	0.508	blob
cheat	disgust	0.508	ingannà
schizophrenia	disgust	0.508	schizofrenia
rejection	disgust	0.508	rigettu
belittle	disgust	0.508	sminuisce
glut	disgust	0.508	glut
disaster	disgust	0.508	disastru
distress	disgust	0.508	distress
pest	disgust	0.508	peste
endemic	disgust	0.508	endemicu
theft	disgust	0.500	furtu
banish	disgust	0.500	scacciate
mire	disgust	0.500	fango
flagrant	disgust	0.500	flagrante
derision	disgust	0.500	derisione
dirt	disgust	0.500	terra
screaming	disgust	0.500	gridandu
offense	disgust	0.500	offense
jealousy	disgust	0.500	ghjilosia
bribery	disgust	0.500	corruzzione
polemic	disgust	0.500	polemica
blight	disgust	0.500	torcia
impeach	disgust	0.500	impeach
bitterness	disgust	0.500	amarezza
taboo	disgust	0.500	tabù
duress	disgust	0.500	costrizzioni
goblin	disgust	0.500	goblin
shackle	disgust	0.500	catene
idolatry	disgust	0.500	idolatria
greed	disgust	0.500	avidità
impurity	disgust	0.500	impurità
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idiotu
boil	disgust	0.492	bollire
unconscionable	disgust	0.492	inconsciente
disreputable	disgust	0.492	disprezzu
robber	disgust	0.492	ladrone
malign	disgust	0.492	malignu
wreck	disgust	0.492	naufragiu
recession	disgust	0.492	ricessione
gorge	disgust	0.492	gola
leer	disgust	0.492	leer
ill	disgust	0.492	malatu
squirm	disgust	0.492	sbucciate
raging	disgust	0.484	furiosa
servile	disgust	0.484	servile
mess	disgust	0.484	mess
nappy	disgust	0.484	pannolino
possessed	disgust	0.484	pusessu
unbearable	disgust	0.484	insopportabile
occult	disgust	0.484	occulte
contraband	disgust	0.484	cuntrabandu
snarl	disgust	0.484	strincà
mutiny	disgust	0.484	ammutinamentu
mad	disgust	0.484	pazza
affliction	disgust	0.484	afflizzioni
stain	disgust	0.484	macchia
animosity	disgust	0.484	animosità
contempt	disgust	0.484	disprezzu
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	nepotismu
disrespectful	disgust	0.484	senza rispettu
defamation	disgust	0.484	diffamazione
inexcusable	disgust	0.484	inscusable
aversation	disgust	0.484	avversione
wasteful	disgust	0.484	sprecu
offender	disgust	0.484	delinquente
subjugation	disgust	0.484	sottumissione
illegality	disgust	0.477	illegalità
dismal	disgust	0.477	disgraziatu
criminal	disgust	0.477	criminali
unpleasant	disgust	0.477	dispiacevule
palsy	disgust	0.477	paralisi
antagonistic	disgust	0.477	antagonistu
pathetic	disgust	0.477	pateticu
uncaring	disgust	0.477	senza cura
suppression	disgust	0.477	suppressione
immorality	disgust	0.477	immoralità
mockery	disgust	0.477	burla
outrage	disgust	0.469	indignazione
mocking	disgust	0.469	burla
wallow	disgust	0.469	chjappà
cough	disgust	0.469	tosse
arrogant	disgust	0.469	arroganti
angry	disgust	0.469	arrabbiatu
poverty	disgust	0.469	miseria
grating	disgust	0.469	griglia
livid	disgust	0.469	livid
aggravation	disgust	0.469	aggravazione
repellent	disgust	0.469	repellent
perspiration	disgust	0.469	sudorazione
banishment	disgust	0.469	esiliu
furious	disgust	0.469	furiosa
shoddy	disgust	0.469	scarsu
banshee	disgust	0.469	banshee
deceive	disgust	0.461	ingannà
fool	disgust	0.461	stupidu
quack	disgust	0.461	cucu
distorted	disgust	0.461	distortu
spider	disgust	0.461	spider
unjustifiable	disgust	0.461	inghjustificabile
deplore	disgust	0.461	deplore
spurious	disgust	0.461	spuria
perdition	disgust	0.461	perdizioni
muddy	disgust	0.461	fangosa
fraudulent	disgust	0.461	fraudulent
scar	disgust	0.461	cicatrice
prick	disgust	0.461	picca
insulting	disgust	0.461	insultante
plunder	disgust	0.461	saccheghju
recklessness	disgust	0.461	imprudenza
stigma	disgust	0.453	stigma
disparage	disgust	0.453	disprezzu
unthinkable	disgust	0.453	impensable
disingenuous	disgust	0.453	disingenu
bane	disgust	0.453	bane
dishonest	disgust	0.453	disonesti
aphid	disgust	0.453	afide
elimination	disgust	0.453	eliminazione
cur	disgust	0.453	cur
selfish	disgust	0.453	egoista
eschew	disgust	0.453	scappà
dire	disgust	0.453	dire
indignation	disgust	0.453	indignazione
antipathy	disgust	0.453	antipatia
alienate	disgust	0.453	alienà
mosquito	disgust	0.445	mosquito
piles	disgust	0.445	pile
pious	disgust	0.445	piu
lie	disgust	0.445	bugia
opium	disgust	0.445	oppiu
smell	disgust	0.445	odore
iniquity	disgust	0.445	iniquità
caries	disgust	0.445	carie
despair	disgust	0.445	disperazione
recalcitrant	disgust	0.445	recalcitrante
egotistical	disgust	0.445	egoista
wasted	disgust	0.445	persu
vacuous	disgust	0.445	vacu
bankruptcy	disgust	0.445	fallimentu
garish	disgust	0.445	stridulu
obnoxious	disgust	0.438	odiosa
ashamed	disgust	0.438	vergogna
abject	disgust	0.438	abject
sticky	disgust	0.438	appiccicosa
scream	disgust	0.438	urla
hopelessness	disgust	0.438	disperazione
homeless	disgust	0.438	senza casa
shun	disgust	0.438	scappà
inmate	disgust	0.438	detenu
alien	disgust	0.438	alien
hog	disgust	0.438	porcu
aversion	disgust	0.438	aversione
abnormal	disgust	0.438	anormali
cursing	disgust	0.430	maledicà
undesirable	disgust	0.430	indesevule
denounce	disgust	0.430	denunzià
witch	disgust	0.430	strega
creature	disgust	0.430	criatura
lusty	disgust	0.430	lusty
illegal	disgust	0.430	illegale
debris	disgust	0.430	detriti
callous	disgust	0.430	callu
reflux	disgust	0.430	riflussu
adverse	disgust	0.430	avversu
shameless	disgust	0.430	senza vergogna
separatist	disgust	0.430	separatista
trickery	disgust	0.430	inganni
falsity	disgust	0.430	falsità
pall	disgust	0.430	palla
defiance	disgust	0.430	sfida
incredulous	disgust	0.430	increduli
curse	disgust	0.430	maledizzione
pompous	disgust	0.422	pomposo
socialist	disgust	0.422	sucialistu
mistrust	disgust	0.422	sfiducia
infantile	disgust	0.422	infantile
wasting	disgust	0.422	perdu
hairy	disgust	0.422	peloso
nicotine	disgust	0.422	nicotina
denunciation	disgust	0.422	denunzia
collapse	disgust	0.422	colapsu
untidy	disgust	0.422	disordinatu
ferocious	disgust	0.422	feroce
ammonia	disgust	0.422	ammonia
carelessness	disgust	0.422	trascuranza
impure	disgust	0.422	impuru
contentious	disgust	0.422	cuntinciosa
bum	disgust	0.422	bum
affront	disgust	0.422	affront
offend	disgust	0.422	offend
tarnish	disgust	0.422	appannare
idiotic	disgust	0.422	idiotu
badness	disgust	0.422	male
delinquent	disgust	0.422	delinquente
swarm	disgust	0.422	sciame
hypertrophy	disgust	0.422	ipertrofia
gush	disgust	0.422	sbuccà
tasteless	disgust	0.422	senza gustu
bovine	disgust	0.422	bovinu
slush	disgust	0.422	slush
litigious	disgust	0.414	litigiosa
dishonesty	disgust	0.414	disonestà
vegetative	disgust	0.414	vegetativu
unfavorable	disgust	0.414	sfavorevoli
displacency	disgust	0.414	spustamentu
illegitimate	disgust	0.414	illegittimu
sour	disgust	0.414	aceru
socialism	disgust	0.414	sucialismu
disobey	disgust	0.414	disubbidì
drivel	disgust	0.414	burla
vampire	disgust	0.414	vampire
neglected	disgust	0.414	trascurata
murky	disgust	0.414	torbu
ignorant	disgust	0.406	ignorante
disgruntled	disgust	0.406	scontenti
discontinuity	disgust	0.406	discontinuità
dislike	disgust	0.406	dispiace
unlawful	disgust	0.406	illegale
wrongdoing	disgust	0.406	sbagliatu
shoplifting	disgust	0.406	furtellu
recidivism	disgust	0.406	recidivismu
outcast	disgust	0.406	emarginatu
bogus	disgust	0.406	falsu
displeasure	disgust	0.406	dispiacere
repel	disgust	0.406	ripiglià
falsify	disgust	0.406	falsificà
ungrateful	disgust	0.406	ingrati
unkind	disgust	0.406	sgradu
phony	disgust	0.406	falsu
prosecution	disgust	0.406	persecuzione
woe	disgust	0.398	guai
averse	disgust	0.398	avversu
loon	disgust	0.398	luttu
worsening	disgust	0.398	peghju
paucity	disgust	0.398	miseria
unnatural	disgust	0.398	innaturale
amphetamines	disgust	0.398	anfetamine
senseless	disgust	0.398	senza sensu
rigor	disgust	0.398	rigore
subvert	disgust	0.398	subverti
failure	disgust	0.398	fallimentu
lick	disgust	0.398	leccare
unruly	disgust	0.398	indisciplinatu
woefully	disgust	0.398	disgraziatamente
stingy	disgust	0.398	avara
crushing	disgust	0.398	sfracicà
disdain	disgust	0.398	disprezzu
insult	disgust	0.393	insultu
averseness	disgust	0.391	avversità
disrelish	disgust	0.391	disrelish
punished	disgust	0.391	punitu
critter	disgust	0.391	crittera
damage	disgust	0.391	danni
scorpion	disgust	0.391	scorpione
diatribe	disgust	0.391	diatriba
muff	disgust	0.391	muffa
farcical	disgust	0.391	farsa
antisocial	disgust	0.391	antisociale
hardened	disgust	0.391	indurita
punishment	disgust	0.391	punizioni
bad	disgust	0.391	male
expel	disgust	0.391	caccià
surly	disgust	0.383	burla
lament	disgust	0.383	lamentu
illiterate	disgust	0.383	analfabeta
divorce	disgust	0.383	divorziu
teeming	disgust	0.383	brusgiate
plagiarism	disgust	0.383	plagiu
eviction	disgust	0.383	scacciamentu
orc	disgust	0.383	orcu
disappoint	disgust	0.383	delusione
shabby	disgust	0.383	sciaccatu
presumptuous	disgust	0.383	presuntuoso
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	discordia
guilt	disgust	0.383	culpèvule
fugitive	disgust	0.383	fuggitivu
irrational	disgust	0.383	irrazionale
adder	disgust	0.383	sommatore
fulsome	disgust	0.383	piena
sacrifices	disgust	0.383	sacrifici
hypocritical	disgust	0.383	ipocrita
shock	disgust	0.375	scossa
alienation	disgust	0.375	alienazione
scoff	disgust	0.375	scherni
plight	disgust	0.375	situazione
irritation	disgust	0.375	irritazione
unworthy	disgust	0.375	indegnu
misconduct	disgust	0.375	mala conducta
defective	disgust	0.375	difettu
blame	disgust	0.375	culpè
depressing	disgust	0.375	deprimente
dislocated	disgust	0.375	dislocatu
irritating	disgust	0.375	irritante
vainly	disgust	0.367	vanamente
toad	disgust	0.367	roppu
powerless	disgust	0.367	impotente
coerce	disgust	0.367	coercizione
shuddering	disgust	0.367	fremendu
stripped	disgust	0.367	spogliatu
revoke	disgust	0.367	revocà
wimpy	disgust	0.367	sciacca
unhealthy	disgust	0.367	malsana
exclusion	disgust	0.367	esclusione
disillusionment	disgust	0.367	disillusione
blatant	disgust	0.367	sfacciata
hurtful	disgust	0.367	feritu
hoax	disgust	0.367	ingannu
wimp	disgust	0.367	sciacca
cad	disgust	0.367	cad
pitfall	disgust	0.367	trappula
squelch	disgust	0.367	squelch
deserted	disgust	0.359	desertu
damn	disgust	0.359	maledetta
incompatible	disgust	0.359	incompatibile
dispose	disgust	0.359	disposti
oddity	disgust	0.359	stranezza
rebellion	disgust	0.359	ribellione
ineptitude	disgust	0.359	ineptitude
bug	disgust	0.359	bug
disobedience	disgust	0.359	disubbidienza
inept	disgust	0.352	inettu
litigate	disgust	0.352	litigà
dismissal	disgust	0.352	licenziamentu
cutting	disgust	0.352	tagliu
untoward	disgust	0.352	disprezzu
displeased	disgust	0.352	dispiaciuta
censor	disgust	0.352	censore
ridiculous	disgust	0.352	ridiculu
compost	disgust	0.352	compost
frustrate	disgust	0.352	frustà
misbehavior	disgust	0.352	mala cumpurtamentu
lawyer	disgust	0.352	avvucatu
crushed	disgust	0.352	schiacciatu
flesh	disgust	0.352	carne
uncertain	disgust	0.352	incertu
obi	disgust	0.352	obi
flinch	disgust	0.352	sbulicà
fierce	disgust	0.352	feroce
wrongful	disgust	0.352	sbagliatu
depreciate	disgust	0.344	deprezzà
disapprove	disgust	0.344	disappruvà
tearful	disgust	0.344	in lacrime
grumble	disgust	0.336	murmurà
unsettled	disgust	0.336	inseme
annoy	disgust	0.336	fastidiu
exigent	disgust	0.336	esigente
heartsick	disgust	0.336	mal di cori
lawsuit	disgust	0.336	prucessu
discoloration	disgust	0.336	decolorazione
lumpy	disgust	0.336	grumosu
daft	disgust	0.336	stupidu
blunder	disgust	0.336	gaffa
discontent	disgust	0.336	scuntentu
bickering	disgust	0.336	litigazione
thoughtless	disgust	0.336	senza penseru
disliked	disgust	0.336	dispiaciu
disinclination	disgust	0.336	disinclinazione
distrust	disgust	0.336	sfiducia
disallowed	disgust	0.336	disattivatu
instability	disgust	0.328	inestabilità
hydrophobia	disgust	0.328	idrofobia
whine	disgust	0.328	piagnu
inhibit	disgust	0.328	inibisce
excluded	disgust	0.328	esclusi
provoking	disgust	0.328	pruvucannu
grievance	disgust	0.328	lagnanza
unmanageable	disgust	0.328	ingestibile
sly	disgust	0.328	astutu
exasperation	disgust	0.328	esasperazione
cacophony	disgust	0.328	cacofonia
unsatisfactory	disgust	0.328	insatisfactoriu
disappointed	disgust	0.328	disappuntu
materialist	disgust	0.328	materialista
misleading	disgust	0.321	ingannevole
mishap	disgust	0.320	disgrazia
soot	disgust	0.320	fuliggine
humbug	disgust	0.320	schernu
disclaim	disgust	0.320	ricusà
annoyance	disgust	0.320	fastidiu
disapproving	disgust	0.320	disappruvà
disservice	disgust	0.320	disserviziu
reproach	disgust	0.320	rimproveru
confined	disgust	0.320	cunfinatu
unequal	disgust	0.320	ineguali
rags	disgust	0.320	stracci
groan	disgust	0.320	geminu
soil	disgust	0.312	terra
inappropriate	disgust	0.312	inappropriatu
criticize	disgust	0.312	criticà
disincline	disgust	0.312	disinclinà
theism	disgust	0.312	teismu
depreciated	disgust	0.312	deprezzatu
inconsiderate	disgust	0.312	inconsideratu
overpriced	disgust	0.312	overpriced
stomach	disgust	0.312	stomacu
burke	disgust	0.312	burke
sneeze	disgust	0.312	starnutu
gall	disgust	0.305	gall
bang	disgust	0.305	bang
inadmissible	disgust	0.305	inadmissibile
unfriendly	disgust	0.305	amichevule
unaccountable	disgust	0.305	inaccountable
disparity	disgust	0.305	disparità
latent	disgust	0.305	latente
disliking	disgust	0.305	disgrazia
shack	disgust	0.305	baracca
grumpy	disgust	0.305	grumpy
coop	disgust	0.304	coop
disappointment	disgust	0.297	delusione
scold	disgust	0.297	rimpruverà
delay	disgust	0.297	ritardu
congress	disgust	0.297	cungressu
growling	disgust	0.297	ringhiannu
backwards	disgust	0.297	in daretu
soreness	disgust	0.297	dolore
disregarded	disgust	0.297	ignoratu
rogue	disgust	0.297	canaglia
lonely	disgust	0.297	sulitariu
notoriety	disgust	0.289	notorietà
catechism	disgust	0.289	catechismu
flop	disgust	0.289	flop
infamous	disgust	0.289	infame
janitor	disgust	0.289	guardianu
nettle	disgust	0.289	ortica
saturated	disgust	0.281	saturatu
prohibited	disgust	0.281	pruibitu
gaby	disgust	0.281	Gaby
wince	disgust	0.281	strincà
desist	disgust	0.281	desiste
unfair	disgust	0.281	inghjustu
aftermath	disgust	0.281	dopu
remiss	disgust	0.281	rimissu
tribunal	disgust	0.273	tribunale
discolored	disgust	0.273	scoloritu
wrangling	disgust	0.273	litigazione
uneasy	disgust	0.273	inquietu
huff	disgust	0.273	huff
weird	disgust	0.266	stranu
impolite	disgust	0.266	impolite
swig	disgust	0.266	sciacca
crawl	disgust	0.266	arrampicà
unsatisfied	disgust	0.266	insoddisfattu
inefficiency	disgust	0.266	inefficienza
frantic	disgust	0.266	frenetica
bureaucrat	disgust	0.266	burocrate
politic	disgust	0.266	puliticu
coldness	disgust	0.266	friddizza
gruff	disgust	0.258	gruffu
octopus	disgust	0.258	polpo
chagrin	disgust	0.258	disgrazia
barrow	disgust	0.258	tumula
copycat	disgust	0.258	imitatore
incase	disgust	0.258	in casu
rascal	disgust	0.258	furtuna
sarcasm	disgust	0.258	sarcasmu
instinctive	disgust	0.258	istintivu
misconception	disgust	0.250	misconception
disinclined	disgust	0.250	disprezzatu
john	disgust	0.250	Ghjuvanni
hulk	disgust	0.250	hulk
baboon	disgust	0.250	babbu
shanghai	disgust	0.250	shanghai
cupping	disgust	0.250	cupping
lose	disgust	0.250	perde
rook	disgust	0.242	toru
entangled	disgust	0.242	intricatu
gratuitous	disgust	0.242	gratuitu
scrub	disgust	0.242	machja
opponent	disgust	0.242	avversu
tariff	disgust	0.242	tariffa
questionable	disgust	0.234	dubbitu
prolong	disgust	0.234	prolongà
reluctance	disgust	0.234	riluttanza
lagging	disgust	0.234	lagging
misstatement	disgust	0.234	misturazione
resign	disgust	0.234	dimissioni
unlucky	disgust	0.234	sfurtunatu
backwardness	disgust	0.234	arretratu
ineffectual	disgust	0.227	inefficace
disqualified	disgust	0.227	squalificati
subsidy	disgust	0.227	subsidiu
reversal	disgust	0.227	inversione
default	disgust	0.227	predeterminatu
fussy	disgust	0.227	pignolu
unpopular	disgust	0.227	impopulare
petroleum	disgust	0.219	pitroliu
intense	disgust	0.219	intensu
evade	disgust	0.219	evade
frowning	disgust	0.219	aggrottando la fronte
weight	disgust	0.219	pesu
dame	disgust	0.219	dama
donkey	disgust	0.211	sumere
actionable	disgust	0.211	azzione
