English Word	Emotion	Emotion-Intensity-Score	Luxembourgish Word
mail	anticipation	0.461	mail
unexpected	anticipation	0.453	onerwaart
basketball	anticipation	0.453	Basketball
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	Iwwerhand
rehabilitation	anticipation	0.453	Rehabilitatioun
intimately	anticipation	0.453	intim
career	anticipation	0.453	Carrière
prevention	anticipation	0.453	Präventioun
renovate	anticipation	0.453	renovéieren
compliment	anticipation	0.453	kompliment
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	Eleganz
complement	anticipation	0.453	ergänzen
flinch	anticipation	0.453	flécken
infinity	anticipation	0.453	Onendlechkeet
perpetuity	anticipation	0.453	Éiwegkeet
sunset	anticipation	0.453	Sonnenënnergang
improve	anticipation	0.453	verbesseren
fitting	anticipation	0.445	passend
confidence	anticipation	0.445	Vertrauen
concealment	anticipation	0.445	verstoppen
sweet	anticipation	0.445	séiss
perfect	anticipation	0.445	perfekt
epidemic	anticipation	0.445	ustiechend
fain	anticipation	0.445	fein
volunteer	anticipation	0.445	fräiwëlleg
share	anticipation	0.445	deelen
surround	anticipation	0.445	ëmginn
conjecture	anticipation	0.445	Viraussetzung
sun	anticipation	0.445	Sonn
veracity	anticipation	0.445	Richtegkeet
serial	anticipation	0.438	serial
angel	anticipation	0.438	engel
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	Saint
tickle	anticipation	0.438	tickelen
superstitious	anticipation	0.438	superstious
ferment	anticipation	0.438	fermentéieren
conservation	anticipation	0.438	Conservatioun
devout	anticipation	0.438	devout
respect	anticipation	0.438	respektéieren
reconstruction	anticipation	0.438	Rekonstruktioun
goodness	anticipation	0.438	Guttheet
reconstruct	anticipation	0.438	rekonstruéieren
faith	anticipation	0.438	Glawen
recombination	anticipation	0.438	Rekombinatioun
prepared	anticipation	0.438	virbereet
rabid	anticipation	0.438	rabid
plea	anticipation	0.438	plädéieren
medical	anticipation	0.438	medezinesch
passenger	anticipation	0.438	Passagéier
charitable	anticipation	0.430	karitativ
tabulate	anticipation	0.430	tabuléieren
peace	anticipation	0.430	Fridden
install	anticipation	0.430	installéieren
serenity	anticipation	0.430	Rou
venerable	anticipation	0.430	éierlech
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	lëschteg
perpetuate	anticipation	0.430	perpetuéieren
strategist	anticipation	0.430	strategesch
unverified	anticipation	0.430	net verifizéiert
tribunal	anticipation	0.430	Tribunal
clap	anticipation	0.430	klapp
peaceful	anticipation	0.422	friddlech
patience	anticipation	0.422	Gedold
unresolved	anticipation	0.422	ongeléist
worship	anticipation	0.422	Gottesdéngscht
edification	anticipation	0.422	Opbau
oasis	anticipation	0.422	Oasis
grin	anticipation	0.422	grinsen
revere	anticipation	0.422	veruechten
candid	anticipation	0.422	éierlech
vista	anticipation	0.422	Vue
conspirator	anticipation	0.422	Verschwörer
adrift	anticipation	0.422	oflafen
recognizable	anticipation	0.422	erkennbar
volatility	anticipation	0.422	volatility
forestall	anticipation	0.422	virausgoen
laughter	anticipation	0.422	laachen
continue	anticipation	0.414	weider
ongoing	anticipation	0.414	lafend
astrologer	anticipation	0.414	astrolog
mediate	anticipation	0.414	vermëttelen
punctual	anticipation	0.414	pénktlech
grant	anticipation	0.414	ginn
morn	anticipation	0.414	moien
pretty	anticipation	0.414	flott
withstand	anticipation	0.414	widderstoen
frisky	anticipation	0.414	fresch
thought	anticipation	0.414	geduecht
probation	anticipation	0.414	Prouf
ordination	anticipation	0.414	Ordinatioun
calls	anticipation	0.414	rifft
detainee	anticipation	0.414	Gefaangenen
craps	anticipation	0.414	craps
weigh	anticipation	0.414	weien
proficiency	anticipation	0.414	Fäegkeet
sing	anticipation	0.411	sangen
continuation	anticipation	0.406	Fortsetzung
university	anticipation	0.406	Universitéit
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	ernären
mother	anticipation	0.406	Mamm
punished	anticipation	0.406	bestrooft
twinkle	anticipation	0.406	blénken
confession	anticipation	0.406	Beicht
outdo	anticipation	0.406	iwwerflësseg
prophylactic	anticipation	0.406	prophylaktesch
proud	anticipation	0.406	houfreg
midwife	anticipation	0.406	midwife
wizard	anticipation	0.406	Zauberer
headlight	anticipation	0.406	Scheinwerfer
long	anticipation	0.406	laang
banquet	anticipation	0.406	bankett
comfort	anticipation	0.406	Confort
navigable	anticipation	0.406	navigéierbar
subscribe	anticipation	0.406	abonnéieren
opponent	anticipation	0.406	Géigespiller
debenture	anticipation	0.406	Obligatioun
deal	anticipation	0.402	deal
symphony	anticipation	0.398	Symphonie
saintly	anticipation	0.398	helleg
judiciary	anticipation	0.398	Justiz
lettered	anticipation	0.398	geschriwwen
vigil	anticipation	0.398	wach
reliance	anticipation	0.398	Vertrauen
distracting	anticipation	0.398	oflenken
mortification	anticipation	0.398	Mortifikatioun
balm	anticipation	0.398	balsam
simmer	anticipation	0.398	simmer
top	anticipation	0.398	erop
obliging	anticipation	0.398	verflichtend
efficient	anticipation	0.398	effikass
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	representéieren
death	anticipation	0.398	Doud
assurance	anticipation	0.391	Assurance
familiarity	anticipation	0.391	Bekanntheet
depraved	anticipation	0.391	verduerwe
condemnation	anticipation	0.391	Veruerteelung
undoubted	anticipation	0.391	ouni Zweiwel
sanctify	anticipation	0.391	hellege
diplomacy	anticipation	0.391	Diplomatie
antidote	anticipation	0.391	Géigewier
trust	anticipation	0.391	vertrauen
linger	anticipation	0.391	bleiwen
objective	anticipation	0.391	objektiv
chuckle	anticipation	0.391	lachen
poke	anticipation	0.391	pochen
abeyance	anticipation	0.391	Abeijung
maternal	anticipation	0.391	maternal
art	anticipation	0.391	Konscht
unfulfilled	anticipation	0.391	net erfëllt
inoculation	anticipation	0.384	Impfung
simplify	anticipation	0.383	vereinfachen
depend	anticipation	0.383	hänkt
chant	anticipation	0.383	gesongen
ram	anticipation	0.383	Ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	Spillplaz
labor	anticipation	0.383	Aarbecht
scientist	anticipation	0.383	Wëssenschaftler
good	anticipation	0.383	gutt
humanitarian	anticipation	0.383	humanitär
failing	anticipation	0.383	ausgefall
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	pflichteg
hymn	anticipation	0.383	hymn
ship	anticipation	0.383	Schëff
discretion	anticipation	0.383	Diskretioun
undecided	anticipation	0.383	entscheedend
gradual	anticipation	0.375	graduell
navigator	anticipation	0.375	navigator
track	anticipation	0.375	Streck
cradle	anticipation	0.375	wieg
sterling	anticipation	0.375	Sterling
interim	anticipation	0.375	interim
clock	anticipation	0.375	Auer
mountain	anticipation	0.375	Bierg
interminable	anticipation	0.375	onendlech
public	anticipation	0.375	ëffentlech
recurrent	anticipation	0.375	widderhuelend
savor	anticipation	0.375	schmaachen
abide	anticipation	0.367	bleiwen
concealed	anticipation	0.367	verstoppt
spear	anticipation	0.367	späicher
lesson	anticipation	0.367	Lektioun
instructions	anticipation	0.367	Uweisungen
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	iwwerzeegen
whim	anticipation	0.367	geckeg
shiver	anticipation	0.367	zidderen
towering	anticipation	0.367	tierkesch
musical	anticipation	0.367	musikalesch
offset	anticipation	0.359	offset
theory	anticipation	0.359	Theorie
theology	anticipation	0.359	theologie
undying	anticipation	0.359	onstierflech
timidity	anticipation	0.359	Angscht
plump	anticipation	0.359	plump
atone	anticipation	0.359	ofsoen
audience	anticipation	0.357	Publikum
dietary	anticipation	0.352	Diät
consecration	anticipation	0.352	Weihung
localize	anticipation	0.352	lokaliséieren
paragon	anticipation	0.352	paragon
store	anticipation	0.352	Buttek
farm	anticipation	0.352	Bauerenhaff
daily	anticipation	0.352	deeglech
cramp	anticipation	0.352	krampen
nobility	anticipation	0.352	Adel
closure	anticipation	0.352	Ofschloss
edition	anticipation	0.352	Editioun
kindred	anticipation	0.352	Famill
stripped	anticipation	0.344	ofgerappt
errand	anticipation	0.344	eran
archaeology	anticipation	0.344	archeologie
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	drahtlos
meditate	anticipation	0.344	meditéieren
mobile	anticipation	0.344	mobil
germ	anticipation	0.336	Keim
brotherly	anticipation	0.336	bridderlech
lessen	anticipation	0.336	reduzéieren
unbeaten	anticipation	0.336	ongeschloen
pare	anticipation	0.336	paréieren
buddy	anticipation	0.336	Frënd
unaccountable	anticipation	0.336	onverantwortlech
dove	anticipation	0.328	dauf
patient	anticipation	0.328	Patient
secular	anticipation	0.328	weltleche
digress	anticipation	0.328	digress
chastity	anticipation	0.328	Kënschtlechkeet
council	anticipation	0.328	Conseil
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	Bändchen
possess	anticipation	0.328	besëtzen
disposed	anticipation	0.320	entsuergt
scrutinize	anticipation	0.320	ënnersicht
immature	anticipation	0.320	onreift
mediator	anticipation	0.320	Vermëttler
regularity	anticipation	0.320	Regularitéit
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	infanticide
paddle	anticipation	0.320	paddelen
heft	anticipation	0.320	heft
fancy	anticipation	0.320	ausgefalene
preservative	anticipation	0.320	Konservéierungsmëttel
unpublished	anticipation	0.312	net publizéiert
church	anticipation	0.312	Kierch
bugle	anticipation	0.312	bugel
grim	anticipation	0.312	grim
denying	anticipation	0.312	verleegnen
analyst	anticipation	0.312	Analyst
judicial	anticipation	0.305	geriichtlech
priesthood	anticipation	0.305	Paschtouer
broadside	anticipation	0.305	breet Säit
mill	anticipation	0.305	mill
dismay	anticipation	0.297	enttäuscht
cap	anticipation	0.297	kap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	Niewefloss
instructor	anticipation	0.297	Instruktor
exhaustion	anticipation	0.297	Ausschöpfung
saliva	anticipation	0.297	Spaut
cataract	anticipation	0.289	Katarakt
network	anticipation	0.289	Reseau
visor	anticipation	0.289	vizier
shackle	anticipation	0.289	schackel
wont	anticipation	0.289	gewinnt
addresses	anticipation	0.289	Adressen
discreet	anticipation	0.289	dezent
noncompliance	anticipation	0.289	Noncompliance
bruise	anticipation	0.289	Plooschter
homeless	anticipation	0.289	heemlos
astronomer	anticipation	0.281	Astronom
skewed	anticipation	0.281	schief geht
neighbor	anticipation	0.281	Noper
holiness	anticipation	0.273	Hellegkeet
devil	anticipation	0.273	Däiwel
picket	anticipation	0.273	piket
sentence	anticipation	0.273	Saz
latent	anticipation	0.273	latent
cream	anticipation	0.273	Crème
immaturity	anticipation	0.273	Ongerechtegkeet
habitual	anticipation	0.266	gewéinlech
morals	anticipation	0.266	Moral
neighborhood	anticipation	0.266	Quartier
lull	anticipation	0.266	lued
bye	anticipation	0.258	Äddi
weight	anticipation	0.258	Gewiicht
organ	anticipation	0.250	organ
clown	anticipation	0.250	clown
forearm	anticipation	0.250	Ënneraarm
commonplace	anticipation	0.242	allgemeng
quote	anticipation	0.242	Zitat
rail	anticipation	0.234	Eisebunn
dictatorship	anticipation	0.234	Diktatur
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	Verwaltungsrot
tree	anticipation	0.227	Bam
sundial	anticipation	0.227	Sonneluucht
paralysis	anticipation	0.211	Lähmung
cement	anticipation	0.203	Zement
worm	anticipation	0.203	Wuerm
organization	anticipation	0.203	Organisatioun
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	neutral
cannibalism	disgust	0.953	Kannibalismus
mutilation	disgust	0.930	Mutilatioun
molestation	disgust	0.914	belästegt
incest	disgust	0.914	Inzest
rape	disgust	0.906	vergewaltegt
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	Kannibal
rot	disgust	0.891	verrotten
corpse	disgust	0.883	Läich
massacre	disgust	0.883	Massaker
excrement	disgust	0.883	Exkrementer
barf	disgust	0.875	barf
slaughter	disgust	0.875	Schluechten
slaughterhouse	disgust	0.867	Schluechthaus
incestuous	disgust	0.859	incestuous
sewerage	disgust	0.859	Kanalisatioun
filth	disgust	0.859	Dreck
bigot	disgust	0.859	groussaarteg
rancid	disgust	0.859	rauschen
infestation	disgust	0.852	infestation
plague	disgust	0.852	Plo
holocaust	disgust	0.852	Holocaust
bloodthirsty	disgust	0.852	bluddeg
rotting	disgust	0.844	verrotten
fecal	disgust	0.844	fecal
maggot	disgust	0.844	mager
feces	disgust	0.844	feces
murder	disgust	0.839	Mord
asshole	disgust	0.836	Arsch
homicide	disgust	0.836	Mord
enslaved	disgust	0.836	versklavt
infanticide	disgust	0.836	infanticide
perverted	disgust	0.828	pervertéiert
excretion	disgust	0.828	Ausscheedung
gore	disgust	0.828	goer
slaughtering	disgust	0.828	Schluechten
torture	disgust	0.828	Folter
contaminate	disgust	0.821	kontaminéieren
revolting	disgust	0.820	revoltéierend
gory	disgust	0.820	gory
shit	disgust	0.820	scheiss
terrorist	disgust	0.820	terroristesch
murderer	disgust	0.820	Mäerder
repugnant	disgust	0.820	widderspréchlech
manure	disgust	0.820	Dünger
pervert	disgust	0.820	pervert
diarrhoea	disgust	0.820	Diarrho
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	Verweigerung
faeces	disgust	0.812	feces
slavery	disgust	0.812	Sklaverei
sewer	disgust	0.812	Kanalisatioun
cadaver	disgust	0.812	Kadaver
manslaughter	disgust	0.812	Mord
dismemberment	disgust	0.812	Ofbau
vomit	disgust	0.812	iwelzeg
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	repulsiv
hemorrhage	disgust	0.805	Blutungen
sewage	disgust	0.797	Kläranlag
filthy	disgust	0.797	knaschteg
diseased	disgust	0.797	krank
depravity	disgust	0.797	Depravitéit
carcass	disgust	0.795	Kadaver
decompose	disgust	0.789	ofbauen
gruesome	disgust	0.789	grujeleg
mutilated	disgust	0.789	vermësst
puke	disgust	0.789	kuck
herpes	disgust	0.789	herpes
decayed	disgust	0.789	verfall
dung	disgust	0.789	Dung
vermin	disgust	0.789	vermin
murderous	disgust	0.789	mäerderesch
parasite	disgust	0.789	parasit
horrific	disgust	0.789	schrecklech
carnage	disgust	0.781	bluddeg
malaria	disgust	0.781	malaria
slime	disgust	0.781	schläim
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	Pest
crap	disgust	0.781	Schäiss
monstrosity	disgust	0.781	Monstrositéit
loathsome	disgust	0.773	schrecklech
toxic	disgust	0.773	gëfteg
morgue	disgust	0.773	Morgue
pus	disgust	0.773	puss
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	lächerlech
cruel	disgust	0.766	grausam
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	Xenophobie
repugnance	disgust	0.766	widderstoen
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	Revulsioun
whore	disgust	0.766	hoer
dissection	disgust	0.759	dissection
mucous	disgust	0.758	Schleimhaut
canker	disgust	0.758	Kriibs
slum	disgust	0.758	slum
infectious	disgust	0.758	ustiechend
evil	disgust	0.758	béis
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	Grausamkeet
perversion	disgust	0.758	perversioun
sinister	disgust	0.750	béis
leeches	disgust	0.750	leeë
corrupting	disgust	0.750	korruptéieren
decomposition	disgust	0.750	Zersetzung
abomination	disgust	0.742	abomination
stinking	disgust	0.742	sténkt
bile	disgust	0.742	bile
demonic	disgust	0.742	demonesch
deranged	disgust	0.742	derangéiert
abhorrence	disgust	0.742	Abhorrence
soiled	disgust	0.742	verschmutzt
mucus	disgust	0.742	Schleim
septic	disgust	0.742	septesch
sickening	disgust	0.742	krank
demon	disgust	0.742	demon
cancer	disgust	0.734	Kriibs
obese	disgust	0.734	fettleibeg
degeneracy	disgust	0.734	Degeneratioun
despicable	disgust	0.734	veruechtend
atrocity	disgust	0.734	grujeleg
foul	disgust	0.734	foul
sicken	disgust	0.734	krank
crucifixion	disgust	0.734	Kräizegung
terrorism	disgust	0.734	Terrorismus
repulsion	disgust	0.727	Repulsioun
morbidity	disgust	0.727	Morbiditéit
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	Bakterie
dirty	disgust	0.727	dreckeg
adultery	disgust	0.727	Erhuelung
contamination	disgust	0.727	Kontaminatioun
grisly	disgust	0.727	grujeleg
diabolical	disgust	0.727	diabolesch
autopsy	disgust	0.719	Autopsie
barbaric	disgust	0.719	barbaresch
vulgar	disgust	0.719	vulgär
entrails	disgust	0.719	Entreeën
disgust	disgust	0.719	Eekleges
lewd	disgust	0.719	leiw
muck	disgust	0.719	muck
bowels	disgust	0.719	bowels
garbage	disgust	0.719	Gerempels
deterioration	disgust	0.719	Verschlechterung
contagion	disgust	0.719	Contagioun
vicious	disgust	0.719	béis
disfigured	disgust	0.719	disfiguréiert
pungent	disgust	0.719	schaarf
gross	disgust	0.719	brutto
bloodshed	disgust	0.714	bluddeg
gag	disgust	0.711	gag
pollute	disgust	0.711	verschmotzen
nausea	disgust	0.711	Iwwelzegkeet
tyrant	disgust	0.711	Tyrann
wretched	disgust	0.711	traureg
mortification	disgust	0.711	Mortifikatioun
violent	disgust	0.711	gewaltsam
poisoned	disgust	0.711	vergëft
nauseate	disgust	0.703	iwelzeg
slimy	disgust	0.703	schläimeg
grope	disgust	0.703	gräifen
slut	disgust	0.703	schluss
nasty	disgust	0.703	béis
disgusting	disgust	0.703	Eekleges
depraved	disgust	0.703	verduerwe
porn	disgust	0.703	porno
hateful	disgust	0.703	haass
vulgarity	disgust	0.703	vulgaritéit
noxious	disgust	0.703	schiedlech
grime	disgust	0.703	grime
constipation	disgust	0.703	Verstopfung
secretion	disgust	0.703	secretion
poisoning	disgust	0.703	Vergëftung
despotism	disgust	0.703	Despotismus
measles	disgust	0.696	Maselen
contagious	disgust	0.695	ustiechend
obesity	disgust	0.695	Adipositas
wart	disgust	0.695	wart
hate	disgust	0.695	haassen
hellish	disgust	0.695	hellesch
scum	disgust	0.695	schumm
suicidal	disgust	0.695	Suizid
wretch	disgust	0.695	schlëmm
abuse	disgust	0.695	Mëssbrauch
waste	disgust	0.695	Offall
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	Häerzwuerm
ooze	disgust	0.688	uerg
treason	disgust	0.688	Verrot
contaminated	disgust	0.688	kontaminéiert
smut	disgust	0.688	schmutz
disease	disgust	0.688	Krankheet
rabid	disgust	0.688	rabid
deformed	disgust	0.680	deforméiert
hell	disgust	0.680	hell
soulless	disgust	0.680	seelenlos
cholera	disgust	0.680	cholera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antichrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	Keim
detest	disgust	0.680	veruechten
pollution	disgust	0.680	Verschmotzung
grimy	disgust	0.680	dreckeg
abhorrent	disgust	0.680	abschreckend
hatred	disgust	0.680	haassen
abominate	disgust	0.680	abominéiert
sickness	disgust	0.680	Krankheet
hideous	disgust	0.672	schrecklech
dictatorship	disgust	0.672	Diktatur
loathful	disgust	0.672	traureg
greasy	disgust	0.672	fetteg
dilapidated	disgust	0.672	baufälleg
inhuman	disgust	0.672	onmënschlech
loathing	disgust	0.672	leeden
obscene	disgust	0.672	obszön
cess	disgust	0.670	cess
devil	disgust	0.664	Däiwel
deformity	disgust	0.664	deformity
nauseous	disgust	0.664	nauseous
deadly	disgust	0.664	déidlech
swine	disgust	0.664	Schwäin
discrimination	disgust	0.664	Diskriminatioun
abominable	disgust	0.664	abominabel
masochism	disgust	0.664	Masochismus
heretic	disgust	0.664	heretic
latrines	disgust	0.656	latrinen
corruption	disgust	0.656	Korruptioun
poisonous	disgust	0.656	gëfteg
horror	disgust	0.656	Schrecken
nefarious	disgust	0.656	nefaresch
bacteria	disgust	0.656	Bakterien
horrible	disgust	0.656	schrecklech
trash	disgust	0.656	Dreck
abortion	disgust	0.656	Ofdreiwung
death	disgust	0.656	Doud
prejudiced	disgust	0.656	Viruerteeler
poison	disgust	0.656	Gëft
oppression	disgust	0.656	Ënnerdréckung
goo	disgust	0.656	goe
victimized	disgust	0.656	Affer
mange	disgust	0.656	vill
sludge	disgust	0.648	Schlamm
trashy	disgust	0.648	dreckeg
vindictive	disgust	0.648	vindictive
horrid	disgust	0.648	schrecklech
ugly	disgust	0.648	ellen
immoral	disgust	0.648	onmoralesch
bitch	disgust	0.648	béis
outhouse	disgust	0.648	baussecht
detestation	disgust	0.648	Veruechtung
horrifying	disgust	0.641	schrecklech
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	onsiichtlech
derogatory	disgust	0.641	derogatory
slop	disgust	0.641	schlof
malfeasance	disgust	0.641	Mëssbrauch
spew	disgust	0.641	spuen
pimple	disgust	0.641	pimpel
criminality	disgust	0.641	Kriminalitéit
indecency	disgust	0.641	Ongerechtegkeet
cystic	disgust	0.641	zystesch
villainous	disgust	0.641	béiswëlleg
queasy	disgust	0.633	queesch
mildew	disgust	0.633	Mehltau
oppressive	disgust	0.633	oppressiv
prostitution	disgust	0.633	Prostituéiert ronderëm
secrete	disgust	0.633	secrete
ulcer	disgust	0.633	ulcer
rat	disgust	0.633	rat
bigoted	disgust	0.633	groussaarteg
perpetrator	disgust	0.633	Täter
doomsday	disgust	0.633	Doudesfäll
sinful	disgust	0.633	sënnlech
degrading	disgust	0.625	degradéierend
ghastly	disgust	0.625	schrecklech
suffering	disgust	0.625	leiden
obscenity	disgust	0.625	Obszönitéit
devilish	disgust	0.625	däiwel
disgraceful	disgust	0.625	schued
persecution	disgust	0.625	Verfolgung
contemptible	disgust	0.625	verachtlech
cuckold	disgust	0.625	kuckold
stools	disgust	0.625	Hocker
dastardly	disgust	0.625	schrecklech
sin	disgust	0.625	sin
gluttony	disgust	0.625	frësst
bloated	disgust	0.625	opgeblosen
fungus	disgust	0.625	Pilz
aghast	disgust	0.625	entsat
diaper	disgust	0.617	diaper
malicious	disgust	0.617	béiswëlleg
polygamy	disgust	0.617	polygamie
dying	disgust	0.617	stierwen
termite	disgust	0.617	termite
fat	disgust	0.617	fett
deceit	disgust	0.617	Bedruch
atrocious	disgust	0.617	grausam
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	verduerwen
crusty	disgust	0.617	krusteg
sickly	disgust	0.617	krank
louse	disgust	0.617	lous
strangle	disgust	0.617	erstécken
betrayal	disgust	0.617	Verrot
loathe	disgust	0.617	leeden
wench	disgust	0.617	wench
infect	disgust	0.617	infizéieren
violently	disgust	0.609	gewalteg
brothel	disgust	0.609	bordell
drool	disgust	0.609	dreschen
bleeding	disgust	0.609	Blutungen
deform	disgust	0.609	deforméieren
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	gëfteg
abhor	disgust	0.609	ofzeschafen
slander	disgust	0.609	Verleumdung
hostile	disgust	0.609	feindlech
musty	disgust	0.602	moufeg
illicit	disgust	0.602	illegal
ugliness	disgust	0.602	ugliness
unwashed	disgust	0.602	ongewäsch
swampy	disgust	0.602	sumpfeg
deprivation	disgust	0.602	Entzuch
poaching	disgust	0.602	pochen
hag	disgust	0.602	haag
infidel	disgust	0.602	infidel
imprisonment	disgust	0.602	Prisongsstrof
traitor	disgust	0.602	verréider
lunacy	disgust	0.602	Wahnsinn
queasiness	disgust	0.594	queasiness
hostility	disgust	0.594	Feindlechkeet
repelling	disgust	0.594	repelléieren
intoxicated	disgust	0.594	alkoholiséiert
thug	disgust	0.594	béis
catastrophe	disgust	0.594	Katastroph
lunatic	disgust	0.594	geckeg
misery	disgust	0.594	Misär
venom	disgust	0.594	Gëft
butcher	disgust	0.594	Metzler
toilet	disgust	0.594	Toilette
blister	disgust	0.594	Bléiser
lurid	disgust	0.594	grujeleg
slug	disgust	0.594	schlemm
gut	disgust	0.594	gut
sinner	disgust	0.594	Sënner
deceitful	disgust	0.594	täuschend
epidemic	disgust	0.594	ustiechend
deteriorated	disgust	0.586	verschlechtert
lavatory	disgust	0.586	Toilette
unclean	disgust	0.586	onrein
prostitute	disgust	0.586	Prostituéiert
incubus	disgust	0.586	incubus
appalling	disgust	0.586	erschreckend
dreadful	disgust	0.586	schrecklech
pornography	disgust	0.586	pornographie
harass	disgust	0.586	belästegt
squeamish	disgust	0.578	schwaach
expulsion	disgust	0.578	Auswee
unfaithful	disgust	0.578	ontrou
offensive	disgust	0.578	offensiv
hypocrite	disgust	0.578	hypokritesch
humiliating	disgust	0.578	humiliant
larceny	disgust	0.578	Lachung
ruinous	disgust	0.578	ruinös
retard	disgust	0.578	retard
rash	disgust	0.578	Ausschlag
flea	disgust	0.578	flou
debauchery	disgust	0.578	Ausbau
fiend	disgust	0.578	feind
quagmire	disgust	0.578	quagmir
conspirator	disgust	0.578	Verschwörer
sick	disgust	0.578	krank
mangle	disgust	0.578	mangel
dogsick	disgust	0.570	hondekrank
egregious	disgust	0.570	éierlech
flog	disgust	0.570	fléissen
despise	disgust	0.570	veruechten
treacherous	disgust	0.570	verrot
oppress	disgust	0.570	ënnerdrécken
swamp	disgust	0.570	Sumpf
messy	disgust	0.570	onuerdentlech
spit	disgust	0.570	späiz
dank	disgust	0.570	dank
bastard	disgust	0.570	bastard
devastating	disgust	0.570	zerstéierend
serpent	disgust	0.570	Schlange
loo	disgust	0.562	loo
indecent	disgust	0.562	indecent
insanity	disgust	0.562	Wahnsinn
stealing	disgust	0.562	klauen
terrible	disgust	0.562	schrecklech
tyrannical	disgust	0.562	tyrannesch
humiliation	disgust	0.562	Humiliatioun
snake	disgust	0.562	Schlaang
sloppy	disgust	0.562	schlau
sinning	disgust	0.562	sënnegt
harmful	disgust	0.562	schiedlech
harlot	disgust	0.562	harlot
sordid	disgust	0.562	sordid
enemy	disgust	0.562	Feind
alcoholism	disgust	0.562	Alkoholismus
awful	disgust	0.562	schrecklech
ruthless	disgust	0.562	routlos
scoundrel	disgust	0.562	Schäiss
bloody	disgust	0.555	bluddeg
flabby	disgust	0.555	flou
odious	disgust	0.555	odious
beastly	disgust	0.555	beastesch
collusion	disgust	0.555	Zesummenaarbecht
ridicule	disgust	0.555	lächerlech
discriminating	disgust	0.555	diskriminéierend
unattractive	disgust	0.555	onattraktiv
insufferable	disgust	0.555	onendlech
segregate	disgust	0.555	trennen
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	menacéiert
atrophy	disgust	0.555	atrophie
varicella	disgust	0.555	varicella
slayer	disgust	0.555	slayer
distaste	disgust	0.555	enttäuscht
coward	disgust	0.555	feig
robbery	disgust	0.555	Iwwerfall
wickedness	disgust	0.555	Béisheet
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	béiswëlleg
sty	disgust	0.547	sty
pillage	disgust	0.547	geplënnert
thief	disgust	0.547	déif
suffocating	disgust	0.547	erstécken
condemnation	disgust	0.547	Veruerteelung
deleterious	disgust	0.547	schiedlech
slur	disgust	0.547	schlemm
purgatory	disgust	0.547	Feegfeier
attacking	disgust	0.547	attackéieren
burglar	disgust	0.547	Abriecher
ogre	disgust	0.547	oger
coercion	disgust	0.547	Zwang
vesicular	disgust	0.547	vesikulär
miserable	disgust	0.547	miserabel
bitterly	disgust	0.547	batter
sneer	disgust	0.539	schlemm
greedy	disgust	0.539	giereg
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	jalous
drunken	disgust	0.539	gedronk
shame	disgust	0.539	schued
thrash	disgust	0.539	dreschen
fatty	disgust	0.539	fetteg
liar	disgust	0.539	Ligener
imprisoned	disgust	0.539	agespaart
sloth	disgust	0.539	Fauldéier
repudiation	disgust	0.539	Oflehnung
disgrace	disgust	0.539	schued
infidelity	disgust	0.539	infidelity
pig	disgust	0.539	Schwäin
lethal	disgust	0.536	fatal
burnt	disgust	0.531	verbrannt
brawl	disgust	0.531	kräischen
