English Word	Emotion	Emotion-Intensity-Score	Icelandic Word
massacre	disgust	0.883	fjöldamorð
excrement	disgust	0.883	saur
barf	disgust	0.875	barf
slaughter	disgust	0.875	slátrun
slaughterhouse	disgust	0.867	sláturhús
incestuous	disgust	0.859	sifjaspell
sewerage	disgust	0.859	fráveitu
filth	disgust	0.859	óþverri
bigot	disgust	0.859	stórmenni
rancid	disgust	0.859	harðskeyttur
infestation	disgust	0.852	sýkingu
plague	disgust	0.852	plága
holocaust	disgust	0.852	helför
bloodthirsty	disgust	0.852	blóðþyrsta
rotting	disgust	0.844	rotnandi
fecal	disgust	0.844	saur
maggot	disgust	0.844	maðkur
feces	disgust	0.844	saur
murder	disgust	0.839	morð
asshole	disgust	0.836	rassgat
homicide	disgust	0.836	manndráp
enslaved	disgust	0.836	þrælaður
infanticide	disgust	0.836	barnamorð
perverted	disgust	0.828	pervert
excretion	disgust	0.828	útskilnaður
gore	disgust	0.828	gore
slaughtering	disgust	0.828	slátrun
torture	disgust	0.828	pyntingar
contaminate	disgust	0.821	menga
revolting	disgust	0.820	uppreisn æru
gory	disgust	0.820	geggjað
shit	disgust	0.820	skítur
terrorist	disgust	0.820	hryðjuverkamaður
murderer	disgust	0.820	morðingja
repugnant	disgust	0.820	fráhrindandi
manure	disgust	0.820	áburð
pervert	disgust	0.820	öfuguggi
diarrhoea	disgust	0.820	niðurgangur
grotesque	disgust	0.820	gróteskur
desecration	disgust	0.820	afhelgun
faeces	disgust	0.812	saur
slavery	disgust	0.812	þrælahald
sewer	disgust	0.812	fráveitu
cadaver	disgust	0.812	lík
manslaughter	disgust	0.812	manndráp af gáleysi
dismemberment	disgust	0.812	sundurliðun
vomit	disgust	0.812	æla
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	fráhrindandi
hemorrhage	disgust	0.805	blæðing
sewage	disgust	0.797	skólp
filthy	disgust	0.797	skítugt
diseased	disgust	0.797	sjúkur
depravity	disgust	0.797	hrörnun
carcass	disgust	0.795	hræ
decompose	disgust	0.789	brotna niður
gruesome	disgust	0.789	hryllilegt
mutilated	disgust	0.789	limlest
puke	disgust	0.789	æla
herpes	disgust	0.789	herpes
decayed	disgust	0.789	rotnaði
dung	disgust	0.789	saur
vermin	disgust	0.789	meindýr
murderous	disgust	0.789	morðrænt
parasite	disgust	0.789	sníkjudýr
horrific	disgust	0.789	hræðilegt
carnage	disgust	0.781	blóðbað
malaria	disgust	0.781	malaríu
slime	disgust	0.781	slím
flatulence	disgust	0.781	vindgangur
pestilence	disgust	0.781	drepsótt
crap	disgust	0.781	vitleysa
monstrosity	disgust	0.781	voðaverk
loathsome	disgust	0.773	ömurlegt
toxic	disgust	0.773	eitrað
morgue	disgust	0.773	líkhús
pus	disgust	0.773	gröftur
herpesvirus	disgust	0.773	herpesveiru
leprosy	disgust	0.773	holdsveiki
insidious	disgust	0.773	lúmsk
cruel	disgust	0.766	grimmur
regurgitation	disgust	0.766	uppköst
anthrax	disgust	0.766	miltisbrandur
xenophobia	disgust	0.766	útlendingahatur
repugnance	disgust	0.766	andóf
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	andstyggð
whore	disgust	0.766	hóra
dissection	disgust	0.759	krufning
mucous	disgust	0.758	slímhúð
canker	disgust	0.758	krabbamein
slum	disgust	0.758	fátækrahverfi
infectious	disgust	0.758	smitandi
evil	disgust	0.758	illt
phlegm	disgust	0.758	slím
cruelty	disgust	0.758	grimmd
perversion	disgust	0.758	öfugmæli
sinister	disgust	0.750	óheillavænlegt
leeches	disgust	0.750	blóðsugur
corrupting	disgust	0.750	spillandi
decomposition	disgust	0.750	niðurbrot
abomination	disgust	0.742	viðurstyggð
stinking	disgust	0.742	lyktandi
bile	disgust	0.742	galli
demonic	disgust	0.742	djöfullegur
deranged	disgust	0.742	brjálaður
abhorrence	disgust	0.742	andstyggð
soiled	disgust	0.742	óhreint
mucus	disgust	0.742	slím
septic	disgust	0.742	rotþró
sickening	disgust	0.742	veikindi
demon	disgust	0.742	púki
cancer	disgust	0.734	krabbamein
obese	disgust	0.734	offitu
degeneracy	disgust	0.734	hrörnun
despicable	disgust	0.734	fyrirlitlegur
atrocity	disgust	0.734	voðaverk
foul	disgust	0.734	rangt
sicken	disgust	0.734	veikur
crucifixion	disgust	0.734	krossfestingu
terrorism	disgust	0.734	hryðjuverk
repulsion	disgust	0.727	fráhrindingu
morbidity	disgust	0.727	veikindi
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakteríu
dirty	disgust	0.727	skítugur
adultery	disgust	0.727	framhjáhald
contamination	disgust	0.727	mengun
grisly	disgust	0.727	ömurlegt
diabolical	disgust	0.727	djöfullegur
autopsy	disgust	0.719	Krufning
barbaric	disgust	0.719	villimannlegur
vulgar	disgust	0.719	dónalegur
entrails	disgust	0.719	innyflum
disgust	disgust	0.719	viðbjóð
lewd	disgust	0.719	svívirðilegt
muck	disgust	0.719	drullu
bowels	disgust	0.719	þörmum
garbage	disgust	0.719	rusl
deterioration	disgust	0.719	hnignun
contagion	disgust	0.719	smit
vicious	disgust	0.719	grimmur
disfigured	disgust	0.719	afmyndaður
pungent	disgust	0.719	bitur
gross	disgust	0.719	brúttó
bloodshed	disgust	0.714	blóðsúthellingar
gag	disgust	0.711	kúgast
pollute	disgust	0.711	menga
nausea	disgust	0.711	ógleði
tyrant	disgust	0.711	harðstjóri
wretched	disgust	0.711	ömurlegur
mortification	disgust	0.711	dánartíðni
violent	disgust	0.711	ofbeldisfullur
poisoned	disgust	0.711	eitrað
nauseate	disgust	0.703	ógleði
slimy	disgust	0.703	slímugur
grope	disgust	0.703	þreifa
slut	disgust	0.703	drusla
nasty	disgust	0.703	viðbjóðslegur
disgusting	disgust	0.703	ógeðslegt
depraved	disgust	0.703	siðspilltur
porn	disgust	0.703	klám
hateful	disgust	0.703	hatursfullur
vulgarity	disgust	0.703	dónaskapur
noxious	disgust	0.703	skaðlegt
grime	disgust	0.703	óhreinindi
constipation	disgust	0.703	hægðatregða
secretion	disgust	0.703	seytingu
poisoning	disgust	0.703	eitrun
despotism	disgust	0.703	despotism
measles	disgust	0.696	mislingum
contagious	disgust	0.695	smitandi
obesity	disgust	0.695	offita
wart	disgust	0.695	vörta
hate	disgust	0.695	hata
hellish	disgust	0.695	helvítis
scum	disgust	0.695	skítur
suicidal	disgust	0.695	sjálfsvíg
wretch	disgust	0.695	aumingi
abuse	disgust	0.695	misnotkun
waste	disgust	0.695	sóun
intestinal	disgust	0.695	þarma
heartworm	disgust	0.688	hjartaormur
ooze	disgust	0.688	eysa
treason	disgust	0.688	landráð
contaminated	disgust	0.688	mengað
smut	disgust	0.688	skítkast
disease	disgust	0.688	sjúkdómur
rabid	disgust	0.688	ofsafenginn
deformed	disgust	0.680	vansköpuð
hell	disgust	0.680	helvíti
soulless	disgust	0.680	andlaus
cholera	disgust	0.680	kóleru
bestial	disgust	0.680	dýralegur
antichrist	disgust	0.680	andkristur
freakish	disgust	0.680	æðislegt
germ	disgust	0.680	sýkill
detest	disgust	0.680	hata
pollution	disgust	0.680	mengun
grimy	disgust	0.680	ljótt
abhorrent	disgust	0.680	viðbjóðslegur
hatred	disgust	0.680	hatri
abominate	disgust	0.680	viðurstyggð
sickness	disgust	0.680	veikindi
hideous	disgust	0.672	forljótur
dictatorship	disgust	0.672	einræði
loathful	disgust	0.672	viðbjóðslegur
greasy	disgust	0.672	feitur
dilapidated	disgust	0.672	niðurnídd
inhuman	disgust	0.672	ómanneskjulegt
loathing	disgust	0.672	andstyggð
obscene	disgust	0.672	ruddalegur
cess	disgust	0.670	cess
devil	disgust	0.664	djöfull
deformity	disgust	0.664	vansköpun
nauseous	disgust	0.664	ógleði
deadly	disgust	0.664	banvænn
swine	disgust	0.664	svínum
discrimination	disgust	0.664	mismunun
abominable	disgust	0.664	viðurstyggilegur
masochism	disgust	0.664	masókismi
heretic	disgust	0.664	villutrúarmaður
latrines	disgust	0.656	salerni
corruption	disgust	0.656	spillingu
poisonous	disgust	0.656	eitrað
horror	disgust	0.656	hryllingur
nefarious	disgust	0.656	illgjarn
bacteria	disgust	0.656	bakteríur
horrible	disgust	0.656	hræðilegt
trash	disgust	0.656	rusl
abortion	disgust	0.656	fóstureyðingu
death	disgust	0.656	dauða
prejudiced	disgust	0.656	fordómafullur
poison	disgust	0.656	eitur
oppression	disgust	0.656	kúgun
goo	disgust	0.656	gúff
victimized	disgust	0.656	fórnarlamb
mange	disgust	0.656	marga
sludge	disgust	0.648	seyru
trashy	disgust	0.648	rusl
vindictive	disgust	0.648	hefndarlaus
horrid	disgust	0.648	hræðilegt
ugly	disgust	0.648	ljótt
immoral	disgust	0.648	siðlaus
bitch	disgust	0.648	tík
outhouse	disgust	0.648	útihús
detestation	disgust	0.648	andstyggð
horrifying	disgust	0.641	skelfilegt
laxative	disgust	0.641	hægðalyf
unsightly	disgust	0.641	óásættanlegt
derogatory	disgust	0.641	niðrandi
slop	disgust	0.641	sleppi
malfeasance	disgust	0.641	afglöp
spew	disgust	0.641	spúa
pimple	disgust	0.641	bóla
criminality	disgust	0.641	glæpastarfsemi
indecency	disgust	0.641	ósvífni
cystic	disgust	0.641	blöðruhálskirtli
villainous	disgust	0.641	illmenni
queasy	disgust	0.633	ömurlegur
mildew	disgust	0.633	mildew
oppressive	disgust	0.633	þrúgandi
prostitution	disgust	0.633	vændi
secrete	disgust	0.633	leyna
ulcer	disgust	0.633	sár
rat	disgust	0.633	rotta
bigoted	disgust	0.633	stórhuga
perpetrator	disgust	0.633	geranda
doomsday	disgust	0.633	dómsdag
sinful	disgust	0.633	syndugt
degrading	disgust	0.625	niðrandi
ghastly	disgust	0.625	hræðilegt
suffering	disgust	0.625	þjáningu
obscenity	disgust	0.625	ruddaskapur
devilish	disgust	0.625	djöfullegt
disgraceful	disgust	0.625	svívirðilegt
persecution	disgust	0.625	ofsóknum
contemptible	disgust	0.625	fyrirlitleg
cuckold	disgust	0.625	hökull
stools	disgust	0.625	hægðir
dastardly	disgust	0.625	ömurlegt
sin	disgust	0.625	synd
gluttony	disgust	0.625	mathált
bloated	disgust	0.625	uppblásinn
fungus	disgust	0.625	sveppur
aghast	disgust	0.625	agndofa
diaper	disgust	0.617	bleiu
malicious	disgust	0.617	illgjarn
polygamy	disgust	0.617	fjölkvæni
dying	disgust	0.617	deyja
termite	disgust	0.617	termít
fat	disgust	0.617	feitur
deceit	disgust	0.617	svik
atrocious	disgust	0.617	grimmur
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	stífkrampa
spoil	disgust	0.617	spilla
crusty	disgust	0.617	skorpu
sickly	disgust	0.617	sjúklega
louse	disgust	0.617	lús
strangle	disgust	0.617	kyrkja
betrayal	disgust	0.617	svik
loathe	disgust	0.617	hata
wench	disgust	0.617	kerling
infect	disgust	0.617	smita
violently	disgust	0.609	ofbeldisfullt
brothel	disgust	0.609	hóruhús
drool	disgust	0.609	slefa
bleeding	disgust	0.609	blæðingar
deform	disgust	0.609	aflaga
ghetto	disgust	0.609	gettó
sabotage	disgust	0.609	skemmdarverk
venomous	disgust	0.609	eitrað
abhor	disgust	0.609	andstyggð
slander	disgust	0.609	rógburður
hostile	disgust	0.609	fjandsamlegur
musty	disgust	0.602	mýkt
illicit	disgust	0.602	ólöglegt
ugliness	disgust	0.602	ljótleiki
unwashed	disgust	0.602	óþvegið
swampy	disgust	0.602	mýri
deprivation	disgust	0.602	sviptingu
poaching	disgust	0.602	rjúpnaveiðar
hag	disgust	0.602	hag
infidel	disgust	0.602	vantrúaður
imprisonment	disgust	0.602	fangelsi
traitor	disgust	0.602	svikari
lunacy	disgust	0.602	brjálæði
queasiness	disgust	0.594	ógleði
hostility	disgust	0.594	fjandskapur
repelling	disgust	0.594	fráhrindandi
intoxicated	disgust	0.594	ölvaður
thug	disgust	0.594	þrjótur
catastrophe	disgust	0.594	stórslys
lunatic	disgust	0.594	brjálæðingur
misery	disgust	0.594	eymd
venom	disgust	0.594	eitri
butcher	disgust	0.594	slátrari
toilet	disgust	0.594	salerni
blister	disgust	0.594	blaðra
lurid	disgust	0.594	hræðilegt
slug	disgust	0.594	snigl
gut	disgust	0.594	þörmum
sinner	disgust	0.594	syndari
deceitful	disgust	0.594	svikul
epidemic	disgust	0.594	faraldur
deteriorated	disgust	0.586	versnað
lavatory	disgust	0.586	salerni
unclean	disgust	0.586	óhreint
prostitute	disgust	0.586	vændiskona
incubus	disgust	0.586	incubus
appalling	disgust	0.586	skelfilegt
dreadful	disgust	0.586	hræðilegt
pornography	disgust	0.586	klám
harass	disgust	0.586	áreita
squeamish	disgust	0.578	svekktur
expulsion	disgust	0.578	brottvísun
unfaithful	disgust	0.578	ótrú
offensive	disgust	0.578	móðgandi
hypocrite	disgust	0.578	hræsnari
humiliating	disgust	0.578	niðurlægjandi
larceny	disgust	0.578	þjófnað
ruinous	disgust	0.578	eyðileggjandi
retard	disgust	0.578	þroskaheftur
rash	disgust	0.578	útbrot
flea	disgust	0.578	Fló
debauchery	disgust	0.578	lauslæti
fiend	disgust	0.578	djöfull
quagmire	disgust	0.578	mýri
conspirator	disgust	0.578	samsærismaður
sick	disgust	0.578	veikur
mangle	disgust	0.578	mögla
dogsick	disgust	0.570	hundaveikur
egregious	disgust	0.570	hrikalegt
flog	disgust	0.570	flogið
despise	disgust	0.570	fyrirlíta
treacherous	disgust	0.570	svikul
oppress	disgust	0.570	kúga
swamp	disgust	0.570	mýri
messy	disgust	0.570	sóðalegur
spit	disgust	0.570	spýta
dank	disgust	0.570	þakklátur
bastard	disgust	0.570	bastarður
devastating	disgust	0.570	hrikalegt
serpent	disgust	0.570	höggormur
loo	disgust	0.562	loo
indecent	disgust	0.562	ósæmilegt
insanity	disgust	0.562	geðveiki
stealing	disgust	0.562	stela
terrible	disgust	0.562	hræðilegt
tyrannical	disgust	0.562	harðstjórnandi
humiliation	disgust	0.562	niðurlægingu
snake	disgust	0.562	snákur
sloppy	disgust	0.562	slöpp
sinning	disgust	0.562	syndga
harmful	disgust	0.562	skaðlegt
harlot	disgust	0.562	skækju
sordid	disgust	0.562	asnalegt
enemy	disgust	0.562	óvinur
alcoholism	disgust	0.562	alkóhólismi
awful	disgust	0.562	hræðilegt
ruthless	disgust	0.562	miskunnarlaus
scoundrel	disgust	0.562	skúrkur
bloody	disgust	0.555	blóðug
flabby	disgust	0.555	slappur
odious	disgust	0.555	viðbjóðslegur
beastly	disgust	0.555	skepnulegur
collusion	disgust	0.555	samráð
ridicule	disgust	0.555	háði
discriminating	disgust	0.555	mismunun
unattractive	disgust	0.555	óaðlaðandi
insufferable	disgust	0.555	óþolandi
segregate	disgust	0.555	aðskilja
arsenic	disgust	0.555	arsenik
threatening	disgust	0.555	ógnandi
atrophy	disgust	0.555	rýrnun
varicella	disgust	0.555	hlaupabólu
slayer	disgust	0.555	vígamaður
distaste	disgust	0.555	ósmekklegt
coward	disgust	0.555	huglaus
robbery	disgust	0.555	rán
wickedness	disgust	0.555	illsku
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	illgjarn
sty	disgust	0.547	sty
pillage	disgust	0.547	ræna
thief	disgust	0.547	þjófur
suffocating	disgust	0.547	kæfandi
condemnation	disgust	0.547	fordæming
deleterious	disgust	0.547	skaðlegt
slur	disgust	0.547	slúður
purgatory	disgust	0.547	hreinsunareldinum
attacking	disgust	0.547	ráðast á
burglar	disgust	0.547	innbrotsþjófur
ogre	disgust	0.547	ogre
coercion	disgust	0.547	þvingun
vesicular	disgust	0.547	blöðrulaga
miserable	disgust	0.547	ömurlegt
bitterly	disgust	0.547	biturlega
sneer	disgust	0.539	hláturskast
greedy	disgust	0.539	gráðugur
gob	disgust	0.539	gubba
repellant	disgust	0.539	fráhrindandi
jealous	disgust	0.539	öfundsjúkur
drunken	disgust	0.539	drukkinn
shame	disgust	0.539	skömm
thrash	disgust	0.539	þras
fatty	disgust	0.539	feitur
liar	disgust	0.539	lygari
imprisoned	disgust	0.539	fangelsaðir
sloth	disgust	0.539	letidýr
repudiation	disgust	0.539	afneitun
disgrace	disgust	0.539	svívirðing
infidelity	disgust	0.539	óheilindi
pig	disgust	0.539	svín
lethal	disgust	0.536	banvænn
burnt	disgust	0.531	brenndur
brawl	disgust	0.531	slagsmál
withered	disgust	0.531	visnað
blemish	disgust	0.531	lýti
hydrocephalus	disgust	0.531	vatnshöfuð
aberration	disgust	0.531	frávik
smuggler	disgust	0.531	smyglari
painful	disgust	0.531	sársaukafullt
condescension	disgust	0.531	hógværð
intolerant	disgust	0.531	óþolandi
blasphemous	disgust	0.531	guðlast
lying	disgust	0.531	ljúga
hanging	disgust	0.531	hangandi
travesty	disgust	0.531	svik
ruined	disgust	0.531	eyðilagður
intrusive	disgust	0.531	uppáþrengjandi
disintegrate	disgust	0.531	sundrast
destructive	disgust	0.531	eyðileggjandi
neurotic	disgust	0.531	taugaveiklun
disparaging	disgust	0.523	niðrandi
blighted	disgust	0.523	eydd
intolerance	disgust	0.523	óþol
mistress	disgust	0.523	húsfreyja
avarice	disgust	0.523	græðgi
disgraced	disgust	0.523	til skammar
derogation	disgust	0.523	undanþágu
rubbish	disgust	0.523	rusl
accusation	disgust	0.523	ásökun
incarceration	disgust	0.523	fangelsun
tortious	disgust	0.516	skaðabótaskyldur
dishonor	disgust	0.516	vanvirðu
stink	disgust	0.516	lykta
grim	disgust	0.516	grimmur
rob	disgust	0.516	ræna
defraud	disgust	0.516	svíkja
sump	disgust	0.516	sump
cringe	disgust	0.516	hrylla við
vulture	disgust	0.516	geirfugl
deplorable	disgust	0.516	ömurlegt
mite	disgust	0.516	maur
eradication	disgust	0.516	útrýming
degrade	disgust	0.516	niðurbrot
gutter	disgust	0.516	þakrennu
convict	disgust	0.516	sakfella
remains	disgust	0.516	eftir
betray	disgust	0.516	svíkja
daemon	disgust	0.516	púkinn
sham	disgust	0.509	sýndarmennska
distasteful	disgust	0.508	ósmekklegt
prisoner	disgust	0.508	fangi
dreadfully	disgust	0.508	hræðilega
worthless	disgust	0.508	verðlaus
crude	disgust	0.508	gróft
delirium	disgust	0.508	óráð
incurable	disgust	0.508	ólæknandi
smelling	disgust	0.508	lyktandi
idiocy	disgust	0.508	fávitaskapur
resentment	disgust	0.508	gremju
bombed	disgust	0.508	sprengd
blob	disgust	0.508	blöbb
cheat	disgust	0.508	svindla
schizophrenia	disgust	0.508	geðklofa
rejection	disgust	0.508	höfnun
belittle	disgust	0.508	gera lítið úr
glut	disgust	0.508	glaumur
disaster	disgust	0.508	hörmung
distress	disgust	0.508	neyð
pest	disgust	0.508	meindýr
endemic	disgust	0.508	landlæg
theft	disgust	0.500	þjófnaði
banish	disgust	0.500	reka út
mire	disgust	0.500	mýri
flagrant	disgust	0.500	fáránlegt
derision	disgust	0.500	háði
dirt	disgust	0.500	óhreinindi
screaming	disgust	0.500	öskrandi
offense	disgust	0.500	móðgun
jealousy	disgust	0.500	öfund
bribery	disgust	0.500	mútur
polemic	disgust	0.500	pæling
blight	disgust	0.500	korndrepi
impeach	disgust	0.500	ákæra
bitterness	disgust	0.500	biturð
taboo	disgust	0.500	tabú
duress	disgust	0.500	þvingun
goblin	disgust	0.500	goblin
shackle	disgust	0.500	fjötur
idolatry	disgust	0.500	skurðgoðadýrkun
greed	disgust	0.500	græðgi
impurity	disgust	0.500	óhreinindi
tirade	disgust	0.500	tirade
idiot	disgust	0.492	hálfviti
boil	disgust	0.492	sjóða
unconscionable	disgust	0.492	samviskulaus
disreputable	disgust	0.492	óvirtur
robber	disgust	0.492	ræningi
malign	disgust	0.492	illkynja
wreck	disgust	0.492	flak
recession	disgust	0.492	kreppa
gorge	disgust	0.492	gili
leer	disgust	0.492	leer
ill	disgust	0.492	veikur
squirm	disgust	0.492	þvælast
raging	disgust	0.484	ofsafenginn
servile	disgust	0.484	þjónandi
mess	disgust	0.484	Drasl
nappy	disgust	0.484	bleyju
possessed	disgust	0.484	andsetinn
unbearable	disgust	0.484	óþolandi
occult	disgust	0.484	dulspeki
contraband	disgust	0.484	smygl
snarl	disgust	0.484	nöldur
mutiny	disgust	0.484	uppreisn
mad	disgust	0.484	vitlaus
affliction	disgust	0.484	þjáning
stain	disgust	0.484	blettur
animosity	disgust	0.484	fjandskapur
contempt	disgust	0.484	fyrirlitningu
tramp	disgust	0.484	flakkari
nepotism	disgust	0.484	frændhyggja
disrespectful	disgust	0.484	virðingarleysi
defamation	disgust	0.484	ærumeiðingar
inexcusable	disgust	0.484	óafsakanlegt
aversation	disgust	0.484	andúð
wasteful	disgust	0.484	eyðslusamur
offender	disgust	0.484	brotamaður
subjugation	disgust	0.484	undirgefni
illegality	disgust	0.477	ólögmæti
dismal	disgust	0.477	dapurlegt
criminal	disgust	0.477	glæpamaður
unpleasant	disgust	0.477	óþægilegt
palsy	disgust	0.477	lömun
antagonistic	disgust	0.477	andstæðingur
pathetic	disgust	0.477	aumkunarverður
uncaring	disgust	0.477	umhyggjulaus
suppression	disgust	0.477	bælingu
immorality	disgust	0.477	siðleysi
mockery	disgust	0.477	háði
outrage	disgust	0.469	hneykslan
mocking	disgust	0.469	háði
wallow	disgust	0.469	velta sér
cough	disgust	0.469	hósti
arrogant	disgust	0.469	hrokafullur
angry	disgust	0.469	reiður
poverty	disgust	0.469	fátækt
grating	disgust	0.469	rist
livid	disgust	0.469	hræddur
aggravation	disgust	0.469	versnun
repellent	disgust	0.469	fráhrindandi
perspiration	disgust	0.469	svitamyndun
banishment	disgust	0.469	brottvísun
furious	disgust	0.469	trylltur
shoddy	disgust	0.469	ljótt
banshee	disgust	0.469	banshee
deceive	disgust	0.461	blekkja
fool	disgust	0.461	fífl
quack	disgust	0.461	kvakk
distorted	disgust	0.461	brenglast
spider	disgust	0.461	kónguló
unjustifiable	disgust	0.461	óafsakanlegt
deplore	disgust	0.461	harma
spurious	disgust	0.461	svikinn
perdition	disgust	0.461	glötun
muddy	disgust	0.461	drullugott
fraudulent	disgust	0.461	sviksamlega
scar	disgust	0.461	ör
prick	disgust	0.461	stinga
insulting	disgust	0.461	móðgandi
plunder	disgust	0.461	ræna
recklessness	disgust	0.461	kæruleysi
stigma	disgust	0.453	stigma
disparage	disgust	0.453	lítilsvirðing
unthinkable	disgust	0.453	óhugsandi
disingenuous	disgust	0.453	ósanngjarnt
bane	disgust	0.453	bann
dishonest	disgust	0.453	óheiðarlegur
aphid	disgust	0.453	blaðlús
elimination	disgust	0.453	brotthvarf
cur	disgust	0.453	cur
selfish	disgust	0.453	eigingirni
eschew	disgust	0.453	forðast
dire	disgust	0.453	skelfilegt
indignation	disgust	0.453	reiði
antipathy	disgust	0.453	andúð
alienate	disgust	0.453	fjarlæga
mosquito	disgust	0.445	fluga
piles	disgust	0.445	hrúgur
pious	disgust	0.445	guðrækinn
lie	disgust	0.445	ljúga
opium	disgust	0.445	ópíum
smell	disgust	0.445	lykt
iniquity	disgust	0.445	ranglæti
caries	disgust	0.445	tannáta
despair	disgust	0.445	örvæntingu
recalcitrant	disgust	0.445	óþrjótandi
egotistical	disgust	0.445	sjálfhverf
wasted	disgust	0.445	sóað
vacuous	disgust	0.445	tómlegt
bankruptcy	disgust	0.445	gjaldþrot
garish	disgust	0.445	skrautlegur
obnoxious	disgust	0.438	viðbjóðslegur
ashamed	disgust	0.438	skammast sín
abject	disgust	0.438	ömurlegt
sticky	disgust	0.438	klístur
scream	disgust	0.438	öskra
hopelessness	disgust	0.438	vonleysi
homeless	disgust	0.438	heimilislaus
shun	disgust	0.438	forðast
inmate	disgust	0.438	fangi
alien	disgust	0.438	geimvera
hog	disgust	0.438	göltur
aversion	disgust	0.438	andúð
abnormal	disgust	0.438	óeðlilegt
cursing	disgust	0.430	bölvun
undesirable	disgust	0.430	óæskilegt
denounce	disgust	0.430	fordæma
witch	disgust	0.430	norn
creature	disgust	0.430	skepna
lusty	disgust	0.430	lostafullur
illegal	disgust	0.430	ólöglegt
debris	disgust	0.430	rusl
callous	disgust	0.430	kvíðalaus
reflux	disgust	0.430	bakflæði
adverse	disgust	0.430	skaðleg
shameless	disgust	0.430	blygðunarlaus
separatist	disgust	0.430	aðskilnaðarsinna
trickery	disgust	0.430	brögð
falsity	disgust	0.430	ranglæti
pall	disgust	0.430	pall
defiance	disgust	0.430	ögrun
incredulous	disgust	0.430	vantrúaður
curse	disgust	0.430	bölvun
pompous	disgust	0.422	pompous
socialist	disgust	0.422	sósíalista
mistrust	disgust	0.422	vantraust
infantile	disgust	0.422	ungmenni
wasting	disgust	0.422	eyða
hairy	disgust	0.422	loðinn
nicotine	disgust	0.422	nikótín
denunciation	disgust	0.422	uppsögn
collapse	disgust	0.422	hrynja
untidy	disgust	0.422	ósnyrtilegt
ferocious	disgust	0.422	grimmur
ammonia	disgust	0.422	ammoníak
carelessness	disgust	0.422	kæruleysi
impure	disgust	0.422	óhreint
contentious	disgust	0.422	umdeildur
bum	disgust	0.422	rassinn
affront	disgust	0.422	níðingur
offend	disgust	0.422	móðga
tarnish	disgust	0.422	sverta
idiotic	disgust	0.422	fávitalegt
badness	disgust	0.422	illsku
delinquent	disgust	0.422	afbrotamaður
swarm	disgust	0.422	kvik
hypertrophy	disgust	0.422	ofstækkun
gush	disgust	0.422	gusa
tasteless	disgust	0.422	bragðlaus
bovine	disgust	0.422	nautgripi
slush	disgust	0.422	krapi
litigious	disgust	0.414	málaferli
dishonesty	disgust	0.414	óheiðarleika
vegetative	disgust	0.414	gróðursæld
unfavorable	disgust	0.414	óhagstæð
displacency	disgust	0.414	tilfærslu
illegitimate	disgust	0.414	ólögmætt
sour	disgust	0.414	súr
socialism	disgust	0.414	sósíalismi
disobey	disgust	0.414	óhlýðnast
drivel	disgust	0.414	drif
vampire	disgust	0.414	vampíru
neglected	disgust	0.414	vanrækt
murky	disgust	0.414	gruggugt
ignorant	disgust	0.406	fáfróð
disgruntled	disgust	0.406	óánægður
discontinuity	disgust	0.406	ósamfellu
dislike	disgust	0.406	mislíkar
unlawful	disgust	0.406	ólöglegt
wrongdoing	disgust	0.406	ranglæti
shoplifting	disgust	0.406	búðarþjófnaður
recidivism	disgust	0.406	ítrekun
outcast	disgust	0.406	útskúfaður
bogus	disgust	0.406	svikinn
displeasure	disgust	0.406	óánægju
repel	disgust	0.406	hrinda frá sér
falsify	disgust	0.406	falsa
ungrateful	disgust	0.406	vanþakklátur
unkind	disgust	0.406	óvingjarnlegur
phony	disgust	0.406	lygi
prosecution	disgust	0.406	saksókn
woe	disgust	0.398	vei
averse	disgust	0.398	andstyggilegur
loon	disgust	0.398	lón
worsening	disgust	0.398	versnandi
paucity	disgust	0.398	fámenni
unnatural	disgust	0.398	óeðlilegt
amphetamines	disgust	0.398	amfetamín
senseless	disgust	0.398	vitlaus
rigor	disgust	0.398	strangleiki
subvert	disgust	0.398	grafa undan
failure	disgust	0.398	bilun
lick	disgust	0.398	sleikja
unruly	disgust	0.398	óstýrilátur
woefully	disgust	0.398	ömurlega
stingy	disgust	0.398	snjall
crushing	disgust	0.398	myljandi
disdain	disgust	0.398	fyrirlitningu
insult	disgust	0.393	móðgun
averseness	disgust	0.391	andúð
disrelish	disgust	0.391	ógleði
punished	disgust	0.391	refsað
critter	disgust	0.391	skepna
damage	disgust	0.391	skemmdir
scorpion	disgust	0.391	sporðdreki
diatribe	disgust	0.391	svívirðing
muff	disgust	0.391	múffu
farcical	disgust	0.391	farsalegur
antisocial	disgust	0.391	andfélagslegur
hardened	disgust	0.391	harðnað
punishment	disgust	0.391	refsing
bad	disgust	0.391	slæmt
expel	disgust	0.391	reka út
surly	disgust	0.383	surly
lament	disgust	0.383	harma
illiterate	disgust	0.383	ólæs
divorce	disgust	0.383	skilnað
teeming	disgust	0.383	iðandi
plagiarism	disgust	0.383	ritstuldur
