English Word	Emotion	Emotion-Intensity-Score	Serbian Word
clock	anticipation	0.375	сат
mountain	anticipation	0.375	планина
interminable	anticipation	0.375	бескрајно
public	anticipation	0.375	јавности
recurrent	anticipation	0.375	повратан
savor	anticipation	0.375	савор
abide	anticipation	0.367	остати
concealed	anticipation	0.367	прикривен
spear	anticipation	0.367	копље
lesson	anticipation	0.367	лекција
instructions	anticipation	0.367	упутства
sonar	anticipation	0.367	сонар
biennial	anticipation	0.367	двогодишње
convince	anticipation	0.367	убедити
whim	anticipation	0.367	ћеф
shiver	anticipation	0.367	дрхтати
towering	anticipation	0.367	товеринг
musical	anticipation	0.367	музички
offset	anticipation	0.359	офсет
theory	anticipation	0.359	теорија
theology	anticipation	0.359	теологија
undying	anticipation	0.359	бесконачан
timidity	anticipation	0.359	плашљивост
plump	anticipation	0.359	дебео
atone	anticipation	0.359	искупити
audience	anticipation	0.357	публике
dietary	anticipation	0.352	дијететски
consecration	anticipation	0.352	освећење
localize	anticipation	0.352	локализовати
paragon	anticipation	0.352	парагон
store	anticipation	0.352	продавница
farm	anticipation	0.352	фарма
daily	anticipation	0.352	дневно
cramp	anticipation	0.352	грч
nobility	anticipation	0.352	племство
closure	anticipation	0.352	затварање
edition	anticipation	0.352	издање
kindred	anticipation	0.352	родбински
stripped	anticipation	0.344	огољен
errand	anticipation	0.344	ерранд
archaeology	anticipation	0.344	археологија
mutable	anticipation	0.344	променљиво
wireless	anticipation	0.344	бежични
meditate	anticipation	0.344	медитирати
mobile	anticipation	0.344	мобилни
germ	anticipation	0.336	клица
brotherly	anticipation	0.336	братски
lessen	anticipation	0.336	смањити
unbeaten	anticipation	0.336	непоражен
pare	anticipation	0.336	паре
buddy	anticipation	0.336	друже
unaccountable	anticipation	0.336	неурачунљив
dove	anticipation	0.328	голубица
patient	anticipation	0.328	пацијент
secular	anticipation	0.328	секуларни
digress	anticipation	0.328	дигресија
chastity	anticipation	0.328	чедност
council	anticipation	0.328	савет
olfactory	anticipation	0.328	мирисна
ribbon	anticipation	0.328	трака
possess	anticipation	0.328	поседовати
disposed	anticipation	0.320	располагао
scrutinize	anticipation	0.320	испитати
immature	anticipation	0.320	незрео
mediator	anticipation	0.320	посредник
regularity	anticipation	0.320	правилност
cove	anticipation	0.320	увала
infanticide	anticipation	0.320	чедоморство
paddle	anticipation	0.320	веслати
heft	anticipation	0.320	хефт
fancy	anticipation	0.320	фенси
preservative	anticipation	0.320	конзерванс
unpublished	anticipation	0.312	необјављено
church	anticipation	0.312	црква
bugle	anticipation	0.312	бугле
grim	anticipation	0.312	мрачан
denying	anticipation	0.312	поричући
analyst	anticipation	0.312	аналитичар
judicial	anticipation	0.305	судски
priesthood	anticipation	0.305	свештенство
broadside	anticipation	0.305	постранце
mill	anticipation	0.305	млин
dismay	anticipation	0.297	ужаснутост
cap	anticipation	0.297	капа
thermocouple	anticipation	0.297	термоелемент
tributary	anticipation	0.297	притока
instructor	anticipation	0.297	инструктор
exhaustion	anticipation	0.297	исцрпљеност
saliva	anticipation	0.297	пљувачке
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	мреже
visor	anticipation	0.289	визир
shackle	anticipation	0.289	окова
wont	anticipation	0.289	обичај
addresses	anticipation	0.289	адресе
discreet	anticipation	0.289	дискретан
noncompliance	anticipation	0.289	неусаглашеност
bruise	anticipation	0.289	модрица
homeless	anticipation	0.289	бескућници
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	искривљено
neighbor	anticipation	0.281	комшија
holiness	anticipation	0.273	светост
devil	anticipation	0.273	ђавола
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	реченица
latent	anticipation	0.273	скривен
cream	anticipation	0.273	крем
immaturity	anticipation	0.273	незрелости
habitual	anticipation	0.266	хабитуал
morals	anticipation	0.266	морал
neighborhood	anticipation	0.266	комшилук
lull	anticipation	0.266	затишје
bye	anticipation	0.258	здраво
weight	anticipation	0.258	тежина
organ	anticipation	0.250	орган
clown	anticipation	0.250	кловн
forearm	anticipation	0.250	подлактица
commonplace	anticipation	0.242	уобичајено
quote	anticipation	0.242	цитат
rail	anticipation	0.234	шина
dictatorship	anticipation	0.234	диктатуре
treadmill	anticipation	0.234	трака за трчање
board	anticipation	0.234	одбор, табла
tree	anticipation	0.227	дрво
sundial	anticipation	0.227	сунчани сат
paralysis	anticipation	0.211	парализа
cement	anticipation	0.203	цемента
worm	anticipation	0.203	црв
organization	anticipation	0.203	организација
lagging	anticipation	0.180	заостајање
neutral	anticipation	0.148	неутралан
cannibalism	disgust	0.953	канибализам
mutilation	disgust	0.930	сакаћење
molestation	disgust	0.914	злостављање
incest	disgust	0.914	инцест
rape	disgust	0.906	силовање
gonorrhea	disgust	0.906	гонореја
cannibal	disgust	0.898	канибал
rot	disgust	0.891	трулеж
corpse	disgust	0.883	леш
massacre	disgust	0.883	масакра
excrement	disgust	0.883	измет
barf	disgust	0.875	барф
slaughter	disgust	0.875	клање
slaughterhouse	disgust	0.867	кланица
incestuous	disgust	0.859	инцестуозан
sewerage	disgust	0.859	канализација
filth	disgust	0.859	прљавштина
bigot	disgust	0.859	затуцана особа
rancid	disgust	0.859	ужегло
infestation	disgust	0.852	Инфестација
plague	disgust	0.852	куга
holocaust	disgust	0.852	холокауста
bloodthirsty	disgust	0.852	крволочан
rotting	disgust	0.844	труљење
fecal	disgust	0.844	фекалне
maggot	disgust	0.844	црва
feces	disgust	0.844	измет
murder	disgust	0.839	убиство
asshole	disgust	0.836	сероња
homicide	disgust	0.836	убиство
enslaved	disgust	0.836	поробљен
infanticide	disgust	0.836	чедоморство
perverted	disgust	0.828	изопачени
excretion	disgust	0.828	излучивање
gore	disgust	0.828	горе
slaughtering	disgust	0.828	клање
torture	disgust	0.828	мучење
contaminate	disgust	0.821	контаминирати
revolting	disgust	0.820	револтиран
gory	disgust	0.820	гори
shit	disgust	0.820	срање
terrorist	disgust	0.820	терориста
murderer	disgust	0.820	убица
repugnant	disgust	0.820	одвратан
manure	disgust	0.820	ђубриво
pervert	disgust	0.820	перверзњак
diarrhoea	disgust	0.820	дијареја
grotesque	disgust	0.820	гротескно
desecration	disgust	0.820	скрнављење
faeces	disgust	0.812	фекалије
slavery	disgust	0.812	ропство
sewer	disgust	0.812	канализација
cadaver	disgust	0.812	цадавер
manslaughter	disgust	0.812	убиство из нехата
dismemberment	disgust	0.812	распарчавање
vomit	disgust	0.812	повраћати
perverse	disgust	0.805	перверзно
repulsive	disgust	0.805	одбојан
hemorrhage	disgust	0.805	хеморагија
sewage	disgust	0.797	канализација
filthy	disgust	0.797	прљаво
diseased	disgust	0.797	оболели
depravity	disgust	0.797	изопаченост
carcass	disgust	0.795	лешина
decompose	disgust	0.789	разложити
gruesome	disgust	0.789	језиво
mutilated	disgust	0.789	унакажена
puke	disgust	0.789	пуке
herpes	disgust	0.789	херпес
decayed	disgust	0.789	распао
dung	disgust	0.789	измет
vermin	disgust	0.789	гамад
murderous	disgust	0.789	убилачки
parasite	disgust	0.789	паразит
horrific	disgust	0.789	страшно
carnage	disgust	0.781	царнаге
malaria	disgust	0.781	маларије
slime	disgust	0.781	слузи
flatulence	disgust	0.781	надутост
pestilence	disgust	0.781	помор
crap	disgust	0.781	срање
monstrosity	disgust	0.781	монструозност
loathsome	disgust	0.773	одвратан
toxic	disgust	0.773	токсично
morgue	disgust	0.773	мртвачница
pus	disgust	0.773	гнојни
herpesvirus	disgust	0.773	херпесвирус
leprosy	disgust	0.773	лепре
insidious	disgust	0.773	подмукао
cruel	disgust	0.766	сурово
regurgitation	disgust	0.766	регургитација
anthrax	disgust	0.766	антракс
xenophobia	disgust	0.766	ксенофобија
repugnance	disgust	0.766	одвратност
lynch	disgust	0.766	линч
revulsion	disgust	0.766	одбојност
whore	disgust	0.766	курва
dissection	disgust	0.759	дисекција
mucous	disgust	0.758	слузокоже
canker	disgust	0.758	рак
slum	disgust	0.758	слам
infectious	disgust	0.758	заразна
evil	disgust	0.758	зла
phlegm	disgust	0.758	слузи
cruelty	disgust	0.758	окрутност
perversion	disgust	0.758	изопаченост
sinister	disgust	0.750	злокобно
leeches	disgust	0.750	пијавице
corrupting	disgust	0.750	кварећи
decomposition	disgust	0.750	разлагање
abomination	disgust	0.742	одвратност
stinking	disgust	0.742	смрдљиви
bile	disgust	0.742	жучи
demonic	disgust	0.742	демонски
deranged	disgust	0.742	поремећен
abhorrence	disgust	0.742	гађење
soiled	disgust	0.742	упрљан
mucus	disgust	0.742	слуз
septic	disgust	0.742	септичка
sickening	disgust	0.742	мучно
demon	disgust	0.742	демон
cancer	disgust	0.734	рак
obese	disgust	0.734	гојазни
degeneracy	disgust	0.734	дегенерација
despicable	disgust	0.734	презира
atrocity	disgust	0.734	зверство
foul	disgust	0.734	фаул
sicken	disgust	0.734	болестан
crucifixion	disgust	0.734	распеће
terrorism	disgust	0.734	тероризам
repulsion	disgust	0.727	одбојност
morbidity	disgust	0.727	морбидитета
dysentery	disgust	0.727	дизентерија
enema	disgust	0.727	клистир
bacterium	disgust	0.727	бактерија
dirty	disgust	0.727	прљаво
adultery	disgust	0.727	прељуба
contamination	disgust	0.727	контаминација
grisly	disgust	0.727	језиво
diabolical	disgust	0.727	ђаволски
autopsy	disgust	0.719	обдукција
barbaric	disgust	0.719	варварски
vulgar	disgust	0.719	вулгарно
entrails	disgust	0.719	изнутрице
disgust	disgust	0.719	гађење
lewd	disgust	0.719	развратни
muck	disgust	0.719	муцк
bowels	disgust	0.719	цревима
garbage	disgust	0.719	смеће
deterioration	disgust	0.719	погоршање стања
contagion	disgust	0.719	зараза
vicious	disgust	0.719	злобни
disfigured	disgust	0.719	унакажена
pungent	disgust	0.719	опор
gross	disgust	0.719	бруто
bloodshed	disgust	0.714	крвопролиће
gag	disgust	0.711	гег
pollute	disgust	0.711	загађивати
nausea	disgust	0.711	мучнина
tyrant	disgust	0.711	тиранин
wretched	disgust	0.711	јадан
mortification	disgust	0.711	мрћење
violent	disgust	0.711	насилан
poisoned	disgust	0.711	отрован
nauseate	disgust	0.703	мучнина
slimy	disgust	0.703	љигав
grope	disgust	0.703	опипати
slut	disgust	0.703	дроља
nasty	disgust	0.703	гадно
disgusting	disgust	0.703	одвратан
depraved	disgust	0.703	развратни
porn	disgust	0.703	порно
hateful	disgust	0.703	мрски
vulgarity	disgust	0.703	вулгарност
noxious	disgust	0.703	штетно
grime	disgust	0.703	прљавштина
constipation	disgust	0.703	затвор
secretion	disgust	0.703	секреција
poisoning	disgust	0.703	тровања
despotism	disgust	0.703	деспотизам
measles	disgust	0.696	морбила
contagious	disgust	0.695	заразан
obesity	disgust	0.695	гојазност
wart	disgust	0.695	брадавица
hate	disgust	0.695	мржња
hellish	disgust	0.695	паклено
scum	disgust	0.695	олош
suicidal	disgust	0.695	самоубилачки
wretch	disgust	0.695	бедник
abuse	disgust	0.695	злоупотреба
waste	disgust	0.695	губљење
intestinal	disgust	0.695	цревне
heartworm	disgust	0.688	срчани црв
ooze	disgust	0.688	оозе
treason	disgust	0.688	издаја
contaminated	disgust	0.688	контаминиран
smut	disgust	0.688	смут
disease	disgust	0.688	болест
rabid	disgust	0.688	бесни
deformed	disgust	0.680	деформисана
hell	disgust	0.680	пакао
soulless	disgust	0.680	бездушни
cholera	disgust	0.680	колера
bestial	disgust	0.680	зверски
antichrist	disgust	0.680	антихрист
freakish	disgust	0.680	фреакисх
germ	disgust	0.680	клица
detest	disgust	0.680	мрзити
pollution	disgust	0.680	загађења
grimy	disgust	0.680	прљав
abhorrent	disgust	0.680	одвратан
hatred	disgust	0.680	мржње
abominate	disgust	0.680	одвратан
sickness	disgust	0.680	болест
hideous	disgust	0.672	одвратан
dictatorship	disgust	0.672	диктатуре
loathful	disgust	0.672	мрски
greasy	disgust	0.672	масно
dilapidated	disgust	0.672	оронуло
inhuman	disgust	0.672	нељудски
loathing	disgust	0.672	гнушање
obscene	disgust	0.672	непристојан
cess	disgust	0.670	цесс
devil	disgust	0.664	ђавола
deformity	disgust	0.664	деформитет
nauseous	disgust	0.664	мучнина
deadly	disgust	0.664	смртоносна
swine	disgust	0.664	свиња
discrimination	disgust	0.664	дискриминација
abominable	disgust	0.664	одвратан
masochism	disgust	0.664	мазохизам
heretic	disgust	0.664	јеретик
latrines	disgust	0.656	латрине
corruption	disgust	0.656	корупција
poisonous	disgust	0.656	отрован
horror	disgust	0.656	хорор
nefarious	disgust	0.656	подло
bacteria	disgust	0.656	бактерије
horrible	disgust	0.656	страшно
trash	disgust	0.656	смеће
abortion	disgust	0.656	абортус
death	disgust	0.656	смрти
prejudiced	disgust	0.656	предрасуде
poison	disgust	0.656	отров
oppression	disgust	0.656	угњетавање
goo	disgust	0.656	гоо
victimized	disgust	0.656	жртвама
mange	disgust	0.656	шуга
sludge	disgust	0.648	муљ
trashy	disgust	0.648	смеће
vindictive	disgust	0.648	осветољубив
horrid	disgust	0.648	страшно
ugly	disgust	0.648	ружна
immoral	disgust	0.648	неморално
bitch	disgust	0.648	кучко
outhouse	disgust	0.648	помоћни објекат
detestation	disgust	0.648	одвратност
horrifying	disgust	0.641	ужасавајуће
laxative	disgust	0.641	лаксатив
unsightly	disgust	0.641	неугледно
derogatory	disgust	0.641	погрдно
slop	disgust	0.641	слоп
malfeasance	disgust	0.641	малверзације
spew	disgust	0.641	спв
pimple	disgust	0.641	бубуљица
criminality	disgust	0.641	криминалитет
indecency	disgust	0.641	непристојност
cystic	disgust	0.641	цистична
villainous	disgust	0.641	зликовац
queasy	disgust	0.633	узнемирен
mildew	disgust	0.633	плесни
oppressive	disgust	0.633	угњетавајући
prostitution	disgust	0.633	проституција
secrete	disgust	0.633	тајити
ulcer	disgust	0.633	чир
rat	disgust	0.633	пацов
bigoted	disgust	0.633	фанатичан
perpetrator	disgust	0.633	извршилац
doomsday	disgust	0.633	судњи дан
sinful	disgust	0.633	грешни
degrading	disgust	0.625	понижавајуће
ghastly	disgust	0.625	језиво
suffering	disgust	0.625	патња
obscenity	disgust	0.625	опсцености
devilish	disgust	0.625	ђаволски
disgraceful	disgust	0.625	срамотно
persecution	disgust	0.625	прогон
contemptible	disgust	0.625	презира
cuckold	disgust	0.625	рогоња
stools	disgust	0.625	столице
dastardly	disgust	0.625	подло
sin	disgust	0.625	грех
gluttony	disgust	0.625	прождрљивост
bloated	disgust	0.625	надувена
fungus	disgust	0.625	гљива
aghast	disgust	0.625	згрожен
diaper	disgust	0.617	пелена
malicious	disgust	0.617	злонамерно
polygamy	disgust	0.617	полигамија
dying	disgust	0.617	умирући
termite	disgust	0.617	термит
fat	disgust	0.617	дебео
deceit	disgust	0.617	превара
atrocious	disgust	0.617	грозан
guillotine	disgust	0.617	гиљотина
tetanus	disgust	0.617	тетанус
spoil	disgust	0.617	покварити
crusty	disgust	0.617	хрскава
sickly	disgust	0.617	болесно
louse	disgust	0.617	уш
strangle	disgust	0.617	задавити
betrayal	disgust	0.617	издаја
loathe	disgust	0.617	гнушати се
wench	disgust	0.617	венцх
infect	disgust	0.617	заразити
violently	disgust	0.609	насилно
brothel	disgust	0.609	јавна кућа
drool	disgust	0.609	балавити
bleeding	disgust	0.609	крварења
deform	disgust	0.609	деформисати
ghetto	disgust	0.609	гето
sabotage	disgust	0.609	саботаже
venomous	disgust	0.609	отрован
abhor	disgust	0.609	гнушати се
slander	disgust	0.609	клевета
hostile	disgust	0.609	непријатељски
musty	disgust	0.602	пљеснив
illicit	disgust	0.602	недозвољеним
ugliness	disgust	0.602	ружноћа
unwashed	disgust	0.602	неопран
swampy	disgust	0.602	мочварно
deprivation	disgust	0.602	лишавање
poaching	disgust	0.602	криволов
hag	disgust	0.602	хаг
infidel	disgust	0.602	неверник
imprisonment	disgust	0.602	лишавање слободе
traitor	disgust	0.602	издајник
lunacy	disgust	0.602	лудило
queasiness	disgust	0.594	мучнина
hostility	disgust	0.594	непријатељство
repelling	disgust	0.594	одбијајући
intoxicated	disgust	0.594	опијен
thug	disgust	0.594	насилник
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	лудак
misery	disgust	0.594	беда
venom	disgust	0.594	отров
butcher	disgust	0.594	месар
toilet	disgust	0.594	тоалет
blister	disgust	0.594	блистер
lurid	disgust	0.594	лурид
slug	disgust	0.594	пуж
gut	disgust	0.594	гут
sinner	disgust	0.594	грешник
deceitful	disgust	0.594	лажљив
epidemic	disgust	0.594	епидемија
deteriorated	disgust	0.586	погоршала
lavatory	disgust	0.586	тоалет
unclean	disgust	0.586	нечисти
prostitute	disgust	0.586	проститутка
incubus	disgust	0.586	инцубус
appalling	disgust	0.586	ужасавајуће
dreadful	disgust	0.586	страшно
pornography	disgust	0.586	порнографија
harass	disgust	0.586	узнемиравати
squeamish	disgust	0.578	гадљив
expulsion	disgust	0.578	протеривање
unfaithful	disgust	0.578	неверни
offensive	disgust	0.578	офанзивно
hypocrite	disgust	0.578	лицемер
humiliating	disgust	0.578	понижавајући
larceny	disgust	0.578	крађа
ruinous	disgust	0.578	погубан
retard	disgust	0.578	ретард
rash	disgust	0.578	осип
flea	disgust	0.578	бува
debauchery	disgust	0.578	разврат
fiend	disgust	0.578	фиенд
quagmire	disgust	0.578	мочвара
conspirator	disgust	0.578	завереника
sick	disgust	0.578	болестан
mangle	disgust	0.578	мангле
dogsick	disgust	0.570	догсицк
egregious	disgust	0.570	егрегиоус
flog	disgust	0.570	бичевати
despise	disgust	0.570	презирати
treacherous	disgust	0.570	издајнички
oppress	disgust	0.570	тлачити
swamp	disgust	0.570	мочвара
messy	disgust	0.570	у нереду
spit	disgust	0.570	пљунути
dank	disgust	0.570	данк
bastard	disgust	0.570	копиле
devastating	disgust	0.570	поражавајуће
serpent	disgust	0.570	змија
loo	disgust	0.562	лоо
indecent	disgust	0.562	непристојан
insanity	disgust	0.562	безумље
stealing	disgust	0.562	крађа
terrible	disgust	0.562	страшно
tyrannical	disgust	0.562	тирански
humiliation	disgust	0.562	понижење
snake	disgust	0.562	змија
sloppy	disgust	0.562	траљаво
sinning	disgust	0.562	грешећи
harmful	disgust	0.562	штетно
harlot	disgust	0.562	блудница
sordid	disgust	0.562	покварен
enemy	disgust	0.562	непријатељ
alcoholism	disgust	0.562	алкохолизам
awful	disgust	0.562	грозно
ruthless	disgust	0.562	немилосрдни
scoundrel	disgust	0.562	нитков
bloody	disgust	0.555	крваво
flabby	disgust	0.555	млохав
odious	disgust	0.555	одиозан
beastly	disgust	0.555	зверски
collusion	disgust	0.555	дослух
ridicule	disgust	0.555	исмевање
discriminating	disgust	0.555	дискриминишући
unattractive	disgust	0.555	непривлачан
insufferable	disgust	0.555	неподношљив
segregate	disgust	0.555	сегрегирати
arsenic	disgust	0.555	арсеник
threatening	disgust	0.555	претећи
atrophy	disgust	0.555	атрофија
varicella	disgust	0.555	варичела
slayer	disgust	0.555	убица
distaste	disgust	0.555	одвратност
coward	disgust	0.555	кукавица
robbery	disgust	0.555	пљачка
wickedness	disgust	0.555	опачина
anathema	disgust	0.547	анатема
malevolent	disgust	0.547	злонамерни
sty	disgust	0.547	сти
pillage	disgust	0.547	пљачкање
thief	disgust	0.547	лопов
suffocating	disgust	0.547	гушећи се
condemnation	disgust	0.547	осуда
deleterious	disgust	0.547	штетан
slur	disgust	0.547	увреда
purgatory	disgust	0.547	чистилиште
attacking	disgust	0.547	нападајући
burglar	disgust	0.547	провалник
ogre	disgust	0.547	огре
coercion	disgust	0.547	принуда
vesicular	disgust	0.547	везикуларно
miserable	disgust	0.547	јадан
bitterly	disgust	0.547	горко
sneer	disgust	0.539	подсмевати се
greedy	disgust	0.539	похлепан
gob	disgust	0.539	гоб
repellant	disgust	0.539	репелент
jealous	disgust	0.539	љубоморан
drunken	disgust	0.539	пијани
shame	disgust	0.539	срамота
thrash	disgust	0.539	тхрасх
fatty	disgust	0.539	масна
liar	disgust	0.539	лажов
imprisoned	disgust	0.539	затворен
sloth	disgust	0.539	лењивост
repudiation	disgust	0.539	одбацивање
disgrace	disgust	0.539	срамота
infidelity	disgust	0.539	неверство
pig	disgust	0.539	свиња
lethal	disgust	0.536	смртоносна
burnt	disgust	0.531	изгорео
brawl	disgust	0.531	туча
withered	disgust	0.531	увенуо
blemish	disgust	0.531	мана
hydrocephalus	disgust	0.531	хидроцефалус
aberration	disgust	0.531	аберација
smuggler	disgust	0.531	шверцер
painful	disgust	0.531	болно
condescension	disgust	0.531	снисходљивост
intolerant	disgust	0.531	нетолерантни
blasphemous	disgust	0.531	богохулни
lying	disgust	0.531	лежећи
hanging	disgust	0.531	висећи
travesty	disgust	0.531	лакрдија
ruined	disgust	0.531	разорен
intrusive	disgust	0.531	наметљив
disintegrate	disgust	0.531	распасти се
destructive	disgust	0.531	деструктивни
neurotic	disgust	0.531	неуротичан
disparaging	disgust	0.523	потцењивачки
blighted	disgust	0.523	блигхтед
intolerance	disgust	0.523	нетолеранција
mistress	disgust	0.523	љубавница
avarice	disgust	0.523	среброљубље
disgraced	disgust	0.523	обешчашћени
derogation	disgust	0.523	дерогација
rubbish	disgust	0.523	глупости
accusation	disgust	0.523	оптужба
incarceration	disgust	0.523	затварање
tortious	disgust	0.516	деликтно
dishonor	disgust	0.516	обешчашћење
stink	disgust	0.516	смрад
grim	disgust	0.516	мрачан
rob	disgust	0.516	пљачкати
defraud	disgust	0.516	превара
sump	disgust	0.516	сумп
cringe	disgust	0.516	најежити се
vulture	disgust	0.516	лешинар
deplorable	disgust	0.516	жалосно
mite	disgust	0.516	гриња
eradication	disgust	0.516	искорењивање
degrade	disgust	0.516	деградирати
gutter	disgust	0.516	дно
convict	disgust	0.516	осуђеник
remains	disgust	0.516	остаје
betray	disgust	0.516	издати
daemon	disgust	0.516	демон
sham	disgust	0.509	лажно
distasteful	disgust	0.508	неукусно
prisoner	disgust	0.508	затвореник
dreadfully	disgust	0.508	страшно
worthless	disgust	0.508	безвредан
crude	disgust	0.508	сирово
delirium	disgust	0.508	бунило
incurable	disgust	0.508	неизлечиво
smelling	disgust	0.508	миришући
idiocy	disgust	0.508	идиотизам
resentment	disgust	0.508	озлојеђеност
bombed	disgust	0.508	бомбардован
blob	disgust	0.508	блоб
cheat	disgust	0.508	варати
schizophrenia	disgust	0.508	шизофренија
rejection	disgust	0.508	одбацивање
belittle	disgust	0.508	омаловажавати
glut	disgust	0.508	презасићеност
disaster	disgust	0.508	катастрофа
distress	disgust	0.508	невоља
pest	disgust	0.508	штеточина
endemic	disgust	0.508	ендемски
theft	disgust	0.500	крађа
banish	disgust	0.500	протерати
mire	disgust	0.500	мире
flagrant	disgust	0.500	флагрантно
derision	disgust	0.500	подсмех
dirt	disgust	0.500	прљавштина
screaming	disgust	0.500	вриштећи
offense	disgust	0.500	прекршај
jealousy	disgust	0.500	љубомора
bribery	disgust	0.500	подмићивање
polemic	disgust	0.500	полемички
blight	disgust	0.500	мрља
impeach	disgust	0.500	опозив
bitterness	disgust	0.500	горчина
taboo	disgust	0.500	табу
duress	disgust	0.500	принуда
goblin	disgust	0.500	гоблин
shackle	disgust	0.500	окова
idolatry	disgust	0.500	идолопоклонство
greed	disgust	0.500	похлепа
impurity	disgust	0.500	нечистоће
tirade	disgust	0.500	тирада
idiot	disgust	0.492	идиот
boil	disgust	0.492	чир
unconscionable	disgust	0.492	несавесно
disreputable	disgust	0.492	неугледни
robber	disgust	0.492	разбојник
malign	disgust	0.492	малигни
wreck	disgust	0.492	олупина
recession	disgust	0.492	рецесија
gorge	disgust	0.492	клисура
leer	disgust	0.492	леер
ill	disgust	0.492	болестан
squirm	disgust	0.492	мигољити се
raging	disgust	0.484	бесни
servile	disgust	0.484	слугански
mess	disgust	0.484	неред
nappy	disgust	0.484	пелена
possessed	disgust	0.484	поседнут
unbearable	disgust	0.484	неподношљиво
occult	disgust	0.484	окултно
contraband	disgust	0.484	кријумчарење
snarl	disgust	0.484	режати
mutiny	disgust	0.484	побуна
mad	disgust	0.484	луд
affliction	disgust	0.484	невоља
stain	disgust	0.484	мрља
animosity	disgust	0.484	анимозитет
contempt	disgust	0.484	презир
tramp	disgust	0.484	скитница
nepotism	disgust	0.484	непотизам
disrespectful	disgust	0.484	непоштовање
defamation	disgust	0.484	клевета
inexcusable	disgust	0.484	неопростиво
aversation	disgust	0.484	одбојност
wasteful	disgust	0.484	расипнички
offender	disgust	0.484	преступник
subjugation	disgust	0.484	потчињавање
illegality	disgust	0.477	незаконитости
dismal	disgust	0.477	туробно
criminal	disgust	0.477	злочиначки
unpleasant	disgust	0.477	непријатан
palsy	disgust	0.477	парализа
antagonistic	disgust	0.477	антагонистички
pathetic	disgust	0.477	патетичан
uncaring	disgust	0.477	безбрижан
suppression	disgust	0.477	потискивање
immorality	disgust	0.477	неморал
mockery	disgust	0.477	ругање
outrage	disgust	0.469	згражавање
mocking	disgust	0.469	подругљив
wallow	disgust	0.469	ваљати се
cough	disgust	0.469	кашаљ
arrogant	disgust	0.469	арогантан
angry	disgust	0.469	љут
poverty	disgust	0.469	сиромаштво
grating	disgust	0.469	рибање
livid	disgust	0.469	ливид
aggravation	disgust	0.469	погоршање
repellent	disgust	0.469	одбијајући
perspiration	disgust	0.469	знојење
banishment	disgust	0.469	прогонство
furious	disgust	0.469	бесан
shoddy	disgust	0.469	лош
banshee	disgust	0.469	бансхее
deceive	disgust	0.461	преварити
fool	disgust	0.461	будала
quack	disgust	0.461	куацк
distorted	disgust	0.461	искривљена
spider	disgust	0.461	паук
unjustifiable	disgust	0.461	неоправдано
deplore	disgust	0.461	жалити
spurious	disgust	0.461	лажно
perdition	disgust	0.461	пропаст
muddy	disgust	0.461	блатњави
fraudulent	disgust	0.461	преварљив
scar	disgust	0.461	ожиљак
prick	disgust	0.461	прицк
insulting	disgust	0.461	увреда
plunder	disgust	0.461	пљачкати
recklessness	disgust	0.461	безобзирност
stigma	disgust	0.453	предрасуда
disparage	disgust	0.453	омаловажавање
unthinkable	disgust	0.453	незамисливо
disingenuous	disgust	0.453	неискрен
bane	disgust	0.453	бане
dishonest	disgust	0.453	непоштен
aphid	disgust	0.453	лисне уши
elimination	disgust	0.453	елиминација
cur	disgust	0.453	цур
selfish	disgust	0.453	себичан
eschew	disgust	0.453	есцхев
dire	disgust	0.453	страшно
indignation	disgust	0.453	негодовање
antipathy	disgust	0.453	антипатија
alienate	disgust	0.453	отуђити
mosquito	disgust	0.445	комарац
piles	disgust	0.445	гомиле
pious	disgust	0.445	побожан
lie	disgust	0.445	лаж
opium	disgust	0.445	опијум
smell	disgust	0.445	мирис
iniquity	disgust	0.445	безакоње
caries	disgust	0.445	каријес
despair	disgust	0.445	очајање
recalcitrant	disgust	0.445	непослушан
egotistical	disgust	0.445	егоистичан
wasted	disgust	0.445	потрошено
vacuous	disgust	0.445	празан
bankruptcy	disgust	0.445	банкрота
garish	disgust	0.445	сјајан
obnoxious	disgust	0.438	одвратан
ashamed	disgust	0.438	стиди се
abject	disgust	0.438	одвратан
sticky	disgust	0.438	лепљив
scream	disgust	0.438	вриштати
hopelessness	disgust	0.438	безнађе
homeless	disgust	0.438	бескућници
shun	disgust	0.438	клонити се
inmate	disgust	0.438	затвореник
alien	disgust	0.438	ванземаљац
hog	disgust	0.438	свиња
aversion	disgust	0.438	одбојност
abnormal	disgust	0.438	абнормално
cursing	disgust	0.430	псујући
undesirable	disgust	0.430	непожељан
denounce	disgust	0.430	денунцирати
witch	disgust	0.430	вештица
creature	disgust	0.430	створење
lusty	disgust	0.430	лусти
illegal	disgust	0.430	незаконито
debris	disgust	0.430	рушевине
callous	disgust	0.430	бешћутан
reflux	disgust	0.430	рефлукс
adverse	disgust	0.430	штетан
shameless	disgust	0.430	бестидан
separatist	disgust	0.430	сепаратистички
trickery	disgust	0.430	лукавство
falsity	disgust	0.430	лажност
pall	disgust	0.430	палл
defiance	disgust	0.430	пркос
