English Word	Emotion	Emotion-Intensity-Score	Tatar Word
imtryingtosleep	anger	0.234	йоклау
tariff	anger	0.234	тариф
undesirable	anger	0.231	теләмәгән
darkness	anger	0.227	караңгылык
versus	anger	0.227	каршы
copycat	anger	0.227	күчермә
resign	anger	0.227	отставкага китү
soaked	anger	0.226	чыланган
unfulfilled	anger	0.225	үтәлмәгән
abandoned	anger	0.222	ташланган
unattainable	anger	0.221	ирешеп булмый
owing	anger	0.221	бурычлы
bankruptcy	anger	0.221	банкротлык
misconception	anger	0.219	ялгыш караш
tool	anger	0.219	корал
warden	anger	0.219	инспектор
compress	anger	0.219	кысу
mosquito	anger	0.219	чикерткә
whiny	anger	0.219	нечкә
somethingigetalot	anger	0.219	берәр нәрсә
confusion	anger	0.219	буталчык
unhelpful	anger	0.219	ярдәмсез
twitching	anger	0.219	селкенү
nosey	anger	0.213	борын
overpriced	anger	0.212	артык бәяләнгән
adder	anger	0.212	реклама
harry	anger	0.212	Гарри
shortage	anger	0.212	кытлык
melodrama	anger	0.212	мелодрама
possession	anger	0.206	ия булу
desert	anger	0.206	чүл
overplayed	anger	0.206	.әр сүзнең
unpaid	anger	0.203	түләнмәгән
powerless	anger	0.203	көчсез
sentence	anger	0.203	җөмлә
inefficient	anger	0.203	нәтиҗәсез
arraignment	anger	0.203	армия
pout	anger	0.203	пут
unlucky	anger	0.203	бәхетсез
rook	anger	0.203	.әр сүзнең
backbone	anger	0.203	арка
uninvited	anger	0.203	чакырылмаган
court	anger	0.199	суд
endless	anger	0.198	чиксез
adverts	anger	0.197	реклама
distracted	anger	0.197	читкә юнәлтелгән
delay	anger	0.197	тоткарлау
misstatement	anger	0.197	дөрес булмаган мәгълүмат
misunderstanding	anger	0.195	аңлашылмаучанлык
inadmissible	anger	0.191	рөхсәт ителмәгән
excite	anger	0.191	дулкынландыр
lightning	anger	0.189	яшен
preclude	anger	0.188	тыю
mournful	anger	0.188	моңлы
insecure	anger	0.188	куркынычсыз
incase	anger	0.188	очракта
mutter	anger	0.182	мыгырдану
pare	anger	0.182	пар
rating	anger	0.182	рейтингы
claimant	anger	0.182	дәгъвачы
insist	anger	0.182	торыгыз
mistress	anger	0.182	хуҗабикә
distracting	anger	0.182	читкә юнәлтү
opium	anger	0.180	әфьюн
deserve	anger	0.176	лаек
willful	anger	0.176	белә
treat	anger	0.175	дәвалау
insists	anger	0.175	дип әйтә
excitation	anger	0.172	дулкынлану
mighty	anger	0.172	көчле
liberate	anger	0.172	азат итү
indecisive	anger	0.172	карарсыз
hormonal	anger	0.172	гормональ
peice	anger	0.172	peice
gibberish	anger	0.172	гайбәт
misplace	anger	0.172	урынсыз
fee	anger	0.172	түләү
thanksalot	anger	0.172	зур рәхмәт
fleece	anger	0.172	флэш
yelp	anger	0.168	елп
mule	anger	0.167	качыр
unequal	anger	0.167	тигез түгел
hamstring	anger	0.167	гастроль
bargaining	anger	0.167	сәүдә итү
insufficiency	anger	0.167	җитмәү
insignificant	anger	0.167	әһәмиятсез
attentionseekers	anger	0.163	игътибарлы кешеләр
coop	anger	0.156	кооперация
rheumatism	anger	0.156	ревматизм
forearm	anger	0.156	беләк
indifference	anger	0.156	битарафлык
underpaid	anger	0.152	түләнмәгән
involvement	anger	0.152	катнашу
justthebeginning	anger	0.152	justәр сүзнең
disinformation	anger	0.152	дезинформация
uncertain	anger	0.152	билгесез
bee	anger	0.152	умарта
attorney	anger	0.152	адвокат
pretending	anger	0.152	күрсәтү
campaigning	anger	0.151	кампания
hopelessness	anger	0.149	өметсезлек
feeling	anger	0.147	хис
legalized	anger	0.145	легальләштерелгән
caution	anger	0.145	сак
sterling	anger	0.141	стерлинг
morals	anger	0.141	әхлак
subsidy	anger	0.141	субсидия
obliging	anger	0.141	бурычлы
wimpy	anger	0.140	усал
bummer	anger	0.139	баммер
saloon	anger	0.136	салон
blemish	anger	0.136	кимчелек
misspell	anger	0.136	хаталы
repay	anger	0.136	кайтару
surcharge	anger	0.136	өстәмә түләү
geez	anger	0.136	геез
birch	anger	0.135	каен
noob	anger	0.133	Яңа кеше
honk	anger	0.133	honk
orchestra	anger	0.132	оркестр
wireless	anger	0.125	чыбыксыз
competitive	anger	0.125	көндәшлеккә сәләтле
standstill	anger	0.125	туктау
inattention	anger	0.121	игътибарсызлык
reversal	anger	0.121	кире
lace	anger	0.118	бау
elbow	anger	0.117	терсәк
instinctive	anger	0.112	инстинктив
chant	anger	0.111	җырла
gnome	anger	0.109	гном
lonely	anger	0.109	ялгызлык
tolerate	anger	0.106	түзегез
management	anger	0.102	идарә итү
advocacy	anger	0.100	яклау
moral	anger	0.094	әхлакый
roadworks	anger	0.091	юл эшләре
honest	anger	0.087	намуслы
gent	anger	0.076	йомшак
forgetful	anger	0.076	онытучан
liquor	anger	0.075	эчемлек
money	anger	0.074	акча
hood	anger	0.071	капот
curriculum	anger	0.063	укыту планы
words	anger	0.062	сүзләр
smell	anger	0.061	ис
playful	anger	0.061	уйный
opera	anger	0.061	опера
elf	anger	0.061	elf
nurture	anger	0.059	тәрбияләү
trumpet	anger	0.059	быргы
counsellor	anger	0.059	киңәшче
asleeep	anger	0.059	asleeep
birthplace	anger	0.051	туган урын
ribbon	anger	0.047	тасма
youth	anger	0.045	яшьлек
vote	anger	0.045	тавыш бирү
cash	anger	0.039	акча
wannasleep	anger	0.031	йокы
waffle	anger	0.030	вафль
dame	anger	0.030	dame
buffet	anger	0.029	буфет
celebrity	anger	0.026	танылган шәхес
sisterhood	anger	0.015	кардәшлек
autocorrect	anger	0.015	автокрек
musical	anger	0.011	музыкаль
tree	anger	0.000	агач
anticipation	anticipation	0.859	көтү
excited	anticipation	0.859	дулкынланган
excitement	anticipation	0.820	дулкынлану
anticipate	anticipation	0.820	көтегез
eagerness	anticipation	0.812	ашкыну
exciting	anticipation	0.797	дулкынландыргыч
expectant	anticipation	0.789	көтүче
thrilling	anticipation	0.781	дулкынландыргыч
hope	anticipation	0.773	өмет
quest	anticipation	0.766	эзләү
countdown	anticipation	0.750	санау
start	anticipation	0.750	башлау
anticipatory	anticipation	0.750	көтү
adventure	anticipation	0.750	маҗаралар
expectance	anticipation	0.750	көтү
climax	anticipation	0.742	кульминация
prophecy	anticipation	0.742	пәйгамбәрлек
expect	anticipation	0.742	көтегез
excite	anticipation	0.742	дулкынландыр
arouse	anticipation	0.742	уяту
eager	anticipation	0.742	ашкынып
ejaculation	anticipation	0.734	эакуляция
birth	anticipation	0.734	туу
announcement	anticipation	0.734	игълан
expectancy	anticipation	0.727	көтү
expecting	anticipation	0.727	көтү
imminent	anticipation	0.727	якын
liberation	anticipation	0.727	азатлык
urgent	anticipation	0.727	ашыгыч
trepidation	anticipation	0.719	тетрәнү
reunion	anticipation	0.719	очрашу
prospection	anticipation	0.719	перспектива
voyage	anticipation	0.719	сәяхәт
prospect	anticipation	0.719	перспектива
aspire	anticipation	0.719	омтылыш
rapture	anticipation	0.711	күтәрелү
suspense	anticipation	0.711	шикләнү
journey	anticipation	0.711	сәяхәт
kiss	anticipation	0.711	үбү
enthusiasm	anticipation	0.711	дәрт
yearning	anticipation	0.711	сагыну
ecstasy	anticipation	0.711	дулкынлану
mystery	anticipation	0.711	сер
prospective	anticipation	0.703	перспективалы
frantic	anticipation	0.703	усал
destination	anticipation	0.703	бара торган урын
excitation	anticipation	0.703	дулкынлану
lottery	anticipation	0.703	лотерея
hopeful	anticipation	0.703	өметле
thrill	anticipation	0.703	дулкынлану
progress	anticipation	0.703	алгарыш
urgency	anticipation	0.703	ашыгычлык
tantalizing	anticipation	0.703	тантализация
liberate	anticipation	0.695	азат итү
hurry	anticipation	0.695	ашык
explore	anticipation	0.695	тикшерү
advance	anticipation	0.695	алга
vacation	anticipation	0.695	ял
sex	anticipation	0.695	секс
achievement	anticipation	0.695	казаныш
readiness	anticipation	0.695	әзерлек
expectation	anticipation	0.695	көтү
prediction	anticipation	0.695	фаразлау
arrival	anticipation	0.695	килү
allure	anticipation	0.688	allәр сүзнең
ecstatic	anticipation	0.688	экстатик
approaching	anticipation	0.688	якынлаша
honeymoon	anticipation	0.680	бал кортлары
roulette	anticipation	0.680	рулетка
uprising	anticipation	0.680	күтәрелеш
holiday	anticipation	0.672	бәйрәм
crescendo	anticipation	0.672	крессендо
celebrating	anticipation	0.672	бәйрәм итү
wishful	anticipation	0.672	теләк
waiting	anticipation	0.664	көтү
invitation	anticipation	0.664	чакыру
rescue	anticipation	0.664	коткару
impending	anticipation	0.664	алда
winning	anticipation	0.664	җиңү
craving	anticipation	0.664	теләк
winnings	anticipation	0.664	җиңүләр
triumph	anticipation	0.664	җиңү
orgasm	anticipation	0.664	оргазм
marriage	anticipation	0.656	никах
bridal	anticipation	0.656	кәләш
victory	anticipation	0.656	җиңү
courtship	anticipation	0.656	йөрешү
gain	anticipation	0.656	табыш
aspiring	anticipation	0.656	омтылышлы
strive	anticipation	0.656	тырыш
reward	anticipation	0.656	бүләк
celebration	anticipation	0.656	бәйрәм
jackpot	anticipation	0.656	джекпот
bridegroom	anticipation	0.656	кияү
fortune	anticipation	0.656	бәхет
tomorrow	anticipation	0.648	иртәгә
rising	anticipation	0.648	күтәрелә
inheritance	anticipation	0.648	мирас
alertness	anticipation	0.648	уяулык
crowning	anticipation	0.648	таҗ
aspiration	anticipation	0.648	омтылыш
delivery	anticipation	0.648	тапшыру
opportunity	anticipation	0.648	мөмкинлек
intrigue	anticipation	0.648	интрига
prescient	anticipation	0.648	.әр сүзнең
treasure	anticipation	0.648	хәзинә
erotic	anticipation	0.641	эротик
revolution	anticipation	0.641	революция
launch	anticipation	0.641	җибәрү
reckoning	anticipation	0.641	исәпләү
prognosis	anticipation	0.641	прогноз
happiness	anticipation	0.641	бәхет
celebrated	anticipation	0.641	бәйрәм иттеләр
receiving	anticipation	0.641	алу
possibility	anticipation	0.641	мөмкинлек
expedition	anticipation	0.641	экспедиция
bride	anticipation	0.641	кәләш
engaged	anticipation	0.641	мәшгуль
anxious	anticipation	0.641	борчыла
hype	anticipation	0.641	хип
spectacular	anticipation	0.641	искиткеч
award	anticipation	0.641	премия
prepare	anticipation	0.633	әзерлән
coming	anticipation	0.633	килә
graduation	anticipation	0.633	чыгарылыш
destiny	anticipation	0.633	язмыш
miracle	anticipation	0.633	могҗиза
beware	anticipation	0.633	сак булыгыз
succeed	anticipation	0.633	уңышка ирешү
passionate	anticipation	0.633	дәртле
birthday	anticipation	0.633	туган көн
passion	anticipation	0.633	дәрт
ominous	anticipation	0.633	коточкыч
captivate	anticipation	0.633	әсир итү
vision	anticipation	0.633	күренеш
delight	anticipation	0.633	ләззәт
curious	anticipation	0.633	кызык
firstborn	anticipation	0.633	беренче туган
await	anticipation	0.633	көт
triumphant	anticipation	0.625	җиңү
escape	anticipation	0.625	качу
optimism	anticipation	0.625	оптимизм
retirement	anticipation	0.625	пенсия
foresee	anticipation	0.625	алдан күрү
inspiration	anticipation	0.625	илһам
ripen	anticipation	0.625	өлгерә
gift	anticipation	0.625	бүләк
revival	anticipation	0.625	яңарыш
lust	anticipation	0.625	нәфес
risky	anticipation	0.617	куркыныч
foreboding	anticipation	0.617	алдан әйтү
bloom	anticipation	0.617	чәчәк ата
verge	anticipation	0.617	кыр
embrace	anticipation	0.617	кочаклау
destined	anticipation	0.617	билгеләнгән
surprisingly	anticipation	0.617	гаҗәп
ambition	anticipation	0.617	амбиция
simmering	anticipation	0.617	кайнау
enchanting	anticipation	0.617	сихер
foresight	anticipation	0.617	алдан күрү
lookout	anticipation	0.609	игътибар
anxiety	anticipation	0.609	борчылу
forecast	anticipation	0.609	фаразлау
seductive	anticipation	0.609	җәлеп итүче
bonus	anticipation	0.609	бонус
succeeding	anticipation	0.609	уңышка ирешү
matrimony	anticipation	0.609	никах
magical	anticipation	0.609	тылсымлы
alerts	anticipation	0.609	хәбәрләр
winner	anticipation	0.602	җиңүче
applicant	anticipation	0.602	гариза бирүче
fulfillment	anticipation	0.602	үтәлеше
deserve	anticipation	0.602	лаек
inspire	anticipation	0.602	илһам бирү
foreseen	anticipation	0.602	алдан каралган
intended	anticipation	0.602	ниятләнгән
boomerang	anticipation	0.602	бумеранг
picnic	anticipation	0.602	пикник
longing	anticipation	0.602	сагыну
revenge	anticipation	0.602	үч алу
success	anticipation	0.602	уңыш
diagnosis	anticipation	0.602	диагноз
visionary	anticipation	0.602	күрүчән
prophetic	anticipation	0.602	пәйгамбәрлек
entertaining	anticipation	0.602	мавыктыргыч
nervous	anticipation	0.602	нерв
illuminate	anticipation	0.594	яктырту
accelerate	anticipation	0.594	тизләтү
advent	anticipation	0.594	килү
romance	anticipation	0.594	романтика
result	anticipation	0.594	Нәтиҗә
arrive	anticipation	0.594	килеп җит
momentum	anticipation	0.594	момент
buzz	anticipation	0.594	тавыш
rekindle	anticipation	0.594	яңарту
preparedness	anticipation	0.594	әзерлек
acquiring	anticipation	0.594	алу
luck	anticipation	0.594	уңыш
marry	anticipation	0.594	өйләнеш
predict	anticipation	0.589	фаразлау
money	anticipation	0.586	акча
auspices	anticipation	0.586	ярдәм
uplift	anticipation	0.586	күтәрү
fiesta	anticipation	0.586	фиеста
enjoying	anticipation	0.586	ләззәтләнү
preparation	anticipation	0.586	әзерлек
raffle	anticipation	0.586	раффл
investigation	anticipation	0.586	тикшерү
progression	anticipation	0.586	алгарыш
overdue	anticipation	0.586	узган
crave	anticipation	0.586	теләк
impatient	anticipation	0.586	түземсезлек
enthusiast	anticipation	0.586	энтузиаст
flirt	anticipation	0.586	флирт
seek	anticipation	0.586	эзләү
sequel	anticipation	0.586	дәвамы
presumption	anticipation	0.586	презумпция
delightful	anticipation	0.586	рәхәт
gambling	anticipation	0.586	комарлы уеннар
immerse	anticipation	0.586	чуму
endeavor	anticipation	0.586	тырыш
experiment	anticipation	0.580	эксперимент
enjoy	anticipation	0.578	ләззәтләнегез
completing	anticipation	0.578	тәмамлау
clamor	anticipation	0.578	кычкыру
angling	anticipation	0.578	почмак
majestic	anticipation	0.578	мәһабәт
divination	anticipation	0.578	күрәзәлек
transcendence	anticipation	0.578	трансценденция
thriving	anticipation	0.578	чәчәк ата
excavation	anticipation	0.578	казу
thirst	anticipation	0.578	сусау
remedy	anticipation	0.578	дару
harvest	anticipation	0.578	урып-җыю
risk	anticipation	0.578	риск
healing	anticipation	0.578	дәвалау
heavenly	anticipation	0.578	күктә
inviting	anticipation	0.578	чакыру
precarious	anticipation	0.578	куркыныч
attainable	anticipation	0.578	ирешеп була
blessing	anticipation	0.578	фатиха
prosper	anticipation	0.578	уңышлар
tease	anticipation	0.570	мыскыллау
plan	anticipation	0.570	план
sweetheart	anticipation	0.570	сөеклем
zest	anticipation	0.570	зест
magnificence	anticipation	0.570	мәһабәтлек
ultimate	anticipation	0.570	ахыргы
emancipation	anticipation	0.570	азат итү
restlessness	anticipation	0.570	тынгысызлык
finally	anticipation	0.570	ниһаять
intimate	anticipation	0.570	интим
omen	anticipation	0.570	омен
matchmaker	anticipation	0.570	матч ясаучы
gambler	anticipation	0.570	комарлы уенчы
prospectively	anticipation	0.570	перспективада
dare	anticipation	0.570	батырлык
warned	anticipation	0.570	кисәтте
invite	anticipation	0.570	чакыр
mysterious	anticipation	0.562	серле
accolade	anticipation	0.562	мактау
lover	anticipation	0.562	гашыйк
expose	anticipation	0.562	фаш итү
enchant	anticipation	0.562	сихерче
attempt	anticipation	0.562	омтылыш
festival	anticipation	0.562	фестиваль
exalt	anticipation	0.562	күтәрү
rejoice	anticipation	0.562	шатланыгыз
independence	anticipation	0.562	бәйсезлек
expected	anticipation	0.562	көтелгән
fanfare	anticipation	0.562	җанатар
immortality	anticipation	0.562	үлемсезлек
quicken	anticipation	0.562	тизлә
parade	anticipation	0.562	парад
fun	anticipation	0.562	күңелле
predilection	anticipation	0.562	куркыныч
champion	anticipation	0.562	чемпион
forewarned	anticipation	0.562	алдан кисәтелгән
hypothesis	anticipation	0.562	гипотеза
trophy	anticipation	0.562	кубок
shopping	anticipation	0.555	кибет
salvation	anticipation	0.555	котылу
feeling	anticipation	0.555	хис
speculative	anticipation	0.555	спекулятив
oracle	anticipation	0.555	оракаль
heroism	anticipation	0.555	батырлык
boisterous	anticipation	0.555	шау-шу
grasping	anticipation	0.555	тотып алу
uneasiness	anticipation	0.555	борчылу
curiosity	anticipation	0.555	кызыксыну
happy	anticipation	0.555	бәхетле
rejoicing	anticipation	0.555	шатлану
fate	anticipation	0.555	язмыш
liberty	anticipation	0.555	азатлык
unfold	anticipation	0.555	ачылу
amour	anticipation	0.555	амур
lovely	anticipation	0.555	матур
splendor	anticipation	0.555	матурлык
grow	anticipation	0.555	үсә
glimmer	anticipation	0.547	ялтыравык
incite	anticipation	0.547	котырту
abundance	anticipation	0.547	муллык
resultant	anticipation	0.547	Нәтиҗә
probability	anticipation	0.547	ихтимал
recreational	anticipation	0.547	ял итү
glory	anticipation	0.547	дан
agape	anticipation	0.547	агапе
delighted	anticipation	0.547	Шатланган
changeable	anticipation	0.547	үзгәртелә
convergence	anticipation	0.547	конвергенция
bountiful	anticipation	0.547	мул
warn	anticipation	0.547	кисәт
monetary	anticipation	0.547	акча
sorcery	anticipation	0.547	сихер
morrow	anticipation	0.547	иртәгә
apprehensive	anticipation	0.547	курку
hungry	anticipation	0.547	ач
vote	anticipation	0.547	тавыш бирү
suspicious	anticipation	0.547	шикле
pray	anticipation	0.547	дога кыл
leisure	anticipation	0.547	ял
hunting	anticipation	0.539	ау
sensual	anticipation	0.539	сенсуаль
tempest	anticipation	0.539	давыл
auction	anticipation	0.539	аукцион
ballot	anticipation	0.539	бюллетень
grandchildren	anticipation	0.539	оныклары
hankering	anticipation	0.539	ханкеринг
entertainment	anticipation	0.539	күңел ачу
merge	anticipation	0.539	кушылу
exceed	anticipation	0.539	артык
vindication	anticipation	0.539	аклау
blessings	anticipation	0.539	фатихалар
inquiry	anticipation	0.539	сорау
bounty	anticipation	0.539	юмартлык
worrying	anticipation	0.539	борчулы
contingent	anticipation	0.539	контингент
glad	anticipation	0.536	шат
harbinger	anticipation	0.531	гарбингер
magnificent	anticipation	0.531	искиткеч
virginity	anticipation	0.531	кызлык
stealthy	anticipation	0.531	яшерен
appeal	anticipation	0.531	мөрәҗәгать итү
forming	anticipation	0.531	формалаштыру
celestial	anticipation	0.531	күк
raving	anticipation	0.531	селкенү
deliverance	anticipation	0.531	коткару
feat	anticipation	0.531	feat
cheer	anticipation	0.531	шатлан
responsive	anticipation	0.531	җаваплы
hurried	anticipation	0.531	ашыкты
betrothed	anticipation	0.531	кияүгә чыккан
overthrow	anticipation	0.531	җимерү
spirits	anticipation	0.531	рухлар
dread	anticipation	0.531	курку
visitor	anticipation	0.531	кунак
wait	anticipation	0.523	көт
revive	anticipation	0.523	торгызу
watch	anticipation	0.523	карау
hunter	anticipation	0.523	аучы
radiance	anticipation	0.523	нур
planning	anticipation	0.523	планлаштыру
germination	anticipation	0.523	үсемлек
competition	anticipation	0.523	конкуренция
preparatory	anticipation	0.523	әзерлек
prognostic	anticipation	0.523	прогноз
beaming	anticipation	0.523	яктырту
cheery	anticipation	0.523	шат
prevail	anticipation	0.523	өстенлек итә
importance	anticipation	0.523	мөһимлеге
notification	anticipation	0.523	хәбәр итү
explosive	anticipation	0.523	шартлаткыч
pleasant	anticipation	0.523	рәхәт
ultimately	anticipation	0.523	Ахырда
child	anticipation	0.523	бала
haste	anticipation	0.523	ашыга
prophet	anticipation	0.523	пәйгамбәр
recreation	anticipation	0.516	ял итү
present	anticipation	0.516	хәзерге
time	anticipation	0.516	вакыт
sensuality	anticipation	0.516	сизгерлек
owing	anticipation	0.516	бурычлы
loom	anticipation	0.516	туку
begun	anticipation	0.516	башланды
salary	anticipation	0.516	хезмәт хакы
celebrity	anticipation	0.516	танылган шәхес
treat	anticipation	0.516	дәвалау
chocolate	anticipation	0.516	шоколад
caution	anticipation	0.516	сак
fermentation	anticipation	0.516	ферментация
uncontrollable	anticipation	0.516	контрольсез
precious	anticipation	0.516	кадерле
compensate	anticipation	0.516	компенсация
endanger	anticipation	0.516	куркыныч астында
renovation	anticipation	0.516	яңарту
signify	anticipation	0.508	белдерү
vigilance	anticipation	0.508	уяулык
prerequisite	anticipation	0.508	алшарт
perfection	anticipation	0.508	камиллек
cultivate	anticipation	0.508	үстерү
develop	anticipation	0.508	үсеш
cue	anticipation	0.508	cue
exigent	anticipation	0.508	.әр сүзнең
transitional	anticipation	0.508	күчү
commemoration	anticipation	0.508	искә алу
intermission	anticipation	0.508	тәнәфес
elevation	anticipation	0.508	биеклек
infant	anticipation	0.508	сабый
practise	anticipation	0.508	практика
contemplation	anticipation	0.508	уйлану
dreadful	anticipation	0.508	куркыныч
wilderness	anticipation	0.508	чүл
horizon	anticipation	0.508	офык
sneaking	anticipation	0.500	урлау
uphill	anticipation	0.500	өскә
puppy	anticipation	0.500	көчек
blindfold	anticipation	0.500	күз ябу
unbridled	anticipation	0.500	идарә ителмәгән
horoscope	anticipation	0.500	гороскоп
airport	anticipation	0.500	аэропорт
reconciliation	anticipation	0.500	татулашу
advocacy	anticipation	0.500	яклау
litigate	anticipation	0.500	суд
sunny	anticipation	0.500	кояшлы
intuitively	anticipation	0.500	интуитив
hero	anticipation	0.500	герой
ardent	anticipation	0.500	ардент
commemorate	anticipation	0.500	искә алу
romantic	anticipation	0.500	романтик
doomsday	anticipation	0.500	Кыямәт
ready	anticipation	0.500	әзер
nascent	anticipation	0.500	барлыкка килгән
invocation	anticipation	0.500	чакыру
depart	anticipation	0.500	китү
undisclosed	anticipation	0.500	ачылмаган
attendance	anticipation	0.500	катнашу
peril	anticipation	0.500	куркыныч
income	anticipation	0.500	керем
calculation	anticipation	0.500	исәпләү
zeal	anticipation	0.500	ашкыну
eventuality	anticipation	0.500	ахыргы
favorable	anticipation	0.500	уңайлы
utopian	anticipation	0.500	утопия
swim	anticipation	0.500	йөзү
proceeding	anticipation	0.492	дәвам итү
eventual	anticipation	0.492	ахырда
heyday	anticipation	0.492	эйдай
undertaking	anticipation	0.492	.әр сүзнең
improvise	anticipation	0.492	импровизация
inauguration	anticipation	0.492	инаугурация
consequent	anticipation	0.492	Нәтиҗә
perspective	anticipation	0.492	перспектива
defense	anticipation	0.492	оборона
repay	anticipation	0.492	кайтару
gaping	anticipation	0.492	аерма
youth	anticipation	0.492	яшьлек
parole	anticipation	0.492	шартлы рәвештә
worry	anticipation	0.492	борчыл
bless	anticipation	0.492	фатихала
restorative	anticipation	0.492	реставратор
court	anticipation	0.492	суд
highest	anticipation	0.491	иң югары
shortly	anticipation	0.484	тиздән
auspicious	anticipation	0.484	хәерле
princely	anticipation	0.484	принц
correspondence	anticipation	0.484	корреспонденция
generosity	anticipation	0.484	юмартлык
sparkle	anticipation	0.484	ялтыравык
voluptuous	anticipation	0.484	volәр сүзнең
happen	anticipation	0.484	була
tremor	anticipation	0.484	тетрәү
letter	anticipation	0.484	хат
vow	anticipation	0.484	ант
sharpen	anticipation	0.484	кискенләштерү
duel	anticipation	0.484	дуэль
conjure	anticipation	0.484	конфигурация
threaten	anticipation	0.484	куркыт
god	anticipation	0.484	алла
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	аңлатылмаган
contagion	anticipation	0.484	зарар
glorify	anticipation	0.477	данлагыз
submit	anticipation	0.477	тапшыр
enroll	anticipation	0.477	язылу
unification	anticipation	0.477	берләштерү
gravitate	anticipation	0.477	тарту
glide	anticipation	0.477	сикерү
accompaniment	anticipation	0.477	озату
cherish	anticipation	0.477	кадерләгез
adore	anticipation	0.477	табыну
powerful	anticipation	0.477	көчле
clue	anticipation	0.477	аңлатма
medal	anticipation	0.477	медаль
contemplate	anticipation	0.477	уйланыгыз
perilous	anticipation	0.477	куркыныч
determinate	anticipation	0.477	билгеләү
arbitration	anticipation	0.477	арбитраж
recipient	anticipation	0.477	алучы
onset	anticipation	0.477	башлану
predispose	anticipation	0.477	.әр сүзнең
score	anticipation	0.477	Хисап
torture	anticipation	0.477	җәфалау
glow	anticipation	0.477	ялтыравык
praiseworthy	anticipation	0.473	мактауга лаек
football	anticipation	0.469	футбол
scare	anticipation	0.469	куркыту
elite	anticipation	0.469	элита
unknown	anticipation	0.469	билгесез
precursor	anticipation	0.469	прекурсор
pry	anticipation	0.469	пр
providing	anticipation	0.469	тәэмин итү
sweets	anticipation	0.469	татлы ризыклар
cautious	anticipation	0.469	сак
opera	anticipation	0.469	опера
motion	anticipation	0.469	хәрәкәт
cash	anticipation	0.469	акча
creeping	anticipation	0.469	селкенү
invoke	anticipation	0.469	чакырыгыз
star	anticipation	0.469	йолдыз
shaky	anticipation	0.469	калтырану
production	anticipation	0.469	җитештерү
successful	anticipation	0.469	уңышлы
immediately	anticipation	0.469	шунда ук
dawn	anticipation	0.469	таң
starry	anticipation	0.469	йолдызлы
unsurpassed	anticipation	0.469	.әр сүзнең
completion	anticipation	0.469	тәмамлау
hire	anticipation	0.469	яллау
fete	anticipation	0.469	фете
commemorative	anticipation	0.461	истәлекле
shining	anticipation	0.461	балкып тора
testament	anticipation	0.461	васыять
pay	anticipation	0.461	түләү
alive	anticipation	0.461	тере
plight	anticipation	0.461	авыр
preliminary	anticipation	0.461	башлангыч
overture	anticipation	0.461	омтылыш
sanctuary	anticipation	0.461	изге урын
regatta	anticipation	0.461	регата
draft	anticipation	0.461	проект
synchronize	anticipation	0.461	синхронлаштыру
soundness	anticipation	0.461	сафлык
extricate	anticipation	0.461	чыгару
excel	anticipation	0.461	Excel
punt	anticipation	0.461	пунт
untold	anticipation	0.461	әйтелмәгән
brilliant	anticipation	0.461	якты
cheerfulness	anticipation	0.461	шатлык
jeopardy	anticipation	0.461	куркыныч
friendly	anticipation	0.461	дус
mail	anticipation	0.461	почта
unexpected	anticipation	0.453	көтелмәгән
basketball	anticipation	0.453	баскетбол
inaugural	anticipation	0.453	инаугурация
supremacy	anticipation	0.453	өстенлек
rehabilitation	anticipation	0.453	реабилитация
intimately	anticipation	0.453	тыгыз
career	anticipation	0.453	карьера
prevention	anticipation	0.453	профилактикасы
renovate	anticipation	0.453	яңарту
compliment	anticipation	0.453	мактау
prologue	anticipation	0.453	пролог
elegance	anticipation	0.453	нәфислек
complement	anticipation	0.453	тулыландыру
flinch	anticipation	0.453	флинч
infinity	anticipation	0.453	чиксезлек
perpetuity	anticipation	0.453	мәңгелек
sunset	anticipation	0.453	кояш баеу
improve	anticipation	0.453	яхшырту
fitting	anticipation	0.445	урнаштыру
confidence	anticipation	0.445	ышаныч
concealment	anticipation	0.445	яшерү
sweet	anticipation	0.445	татлы
perfect	anticipation	0.445	камил
epidemic	anticipation	0.445	эпидемия
fain	anticipation	0.445	хәлсезләнү
volunteer	anticipation	0.445	волонтер
share	anticipation	0.445	бүлешү
surround	anticipation	0.445	әйләндереп алу
conjecture	anticipation	0.445	фараз
sun	anticipation	0.445	кояш
veracity	anticipation	0.445	дөреслек
serial	anticipation	0.438	серия
angel	anticipation	0.438	фәрештә
aloha	anticipation	0.438	алоха
saint	anticipation	0.438	изгеләр
tickle	anticipation	0.438	кычкыру
superstitious	anticipation	0.438	хорафат
ferment	anticipation	0.438	фермент
conservation	anticipation	0.438	саклау
devout	anticipation	0.438	диндар
respect	anticipation	0.438	хөрмәт
reconstruction	anticipation	0.438	реконструкция
goodness	anticipation	0.438	яхшылык
reconstruct	anticipation	0.438	реконструкция
faith	anticipation	0.438	иман
recombination	anticipation	0.438	рекомбинация
prepared	anticipation	0.438	әзерләнгән
rabid	anticipation	0.438	котыру
plea	anticipation	0.438	үтенеч
medical	anticipation	0.438	медицина
passenger	anticipation	0.438	пассажир
charitable	anticipation	0.430	хәйрия
tabulate	anticipation	0.430	таблицасы
peace	anticipation	0.430	тынычлык
install	anticipation	0.430	урнаштыру
