English Word	Emotion	Emotion-Intensity-Score	Telugu Word
attainable	anticipation	0.578	సాధించదగినది
blessing	anticipation	0.578	ఆశీర్వాదం
prosper	anticipation	0.578	అభివృద్ధి చెందుతాయి
tease	anticipation	0.570	ఆటపట్టించు
plan	anticipation	0.570	ప్రణాళిక
sweetheart	anticipation	0.570	ప్రియురాలు
zest	anticipation	0.570	అభిరుచి
magnificence	anticipation	0.570	వైభవం
ultimate	anticipation	0.570	అంతిమ
emancipation	anticipation	0.570	విముక్తి
restlessness	anticipation	0.570	చంచలత్వం
finally	anticipation	0.570	చివరకు
intimate	anticipation	0.570	సన్నిహితుడు
omen	anticipation	0.570	శకునము
matchmaker	anticipation	0.570	మ్యాచ్ మేకర్
gambler	anticipation	0.570	జూదగాడు
prospectively	anticipation	0.570	భావి
dare	anticipation	0.570	ధైర్యం
warned	anticipation	0.570	హెచ్చరించారు
invite	anticipation	0.570	ఆహ్వానించండి
mysterious	anticipation	0.562	రహస్యమైన
accolade	anticipation	0.562	ప్రశంసలు
lover	anticipation	0.562	ప్రేమికుడు
expose	anticipation	0.562	బహిర్గతం చేయండి
enchant	anticipation	0.562	మంత్రముగ్ధులను చేయండి
attempt	anticipation	0.562	ప్రయత్నం
festival	anticipation	0.562	పండుగ
exalt	anticipation	0.562	ఔన్నత్యం
rejoice	anticipation	0.562	సంతోషించు
independence	anticipation	0.562	స్వాతంత్ర్యం
expected	anticipation	0.562	ఊహించబడింది
fanfare	anticipation	0.562	కోలాహలం
immortality	anticipation	0.562	అమరత్వం
quicken	anticipation	0.562	వేగవంతం
parade	anticipation	0.562	కవాతు
fun	anticipation	0.562	సరదాగా
predilection	anticipation	0.562	అభిరుచి
champion	anticipation	0.562	ఛాంపియన్
forewarned	anticipation	0.562	ముందే హెచ్చరించింది
hypothesis	anticipation	0.562	పరికల్పన
trophy	anticipation	0.562	ట్రోఫీ
shopping	anticipation	0.555	షాపింగ్
salvation	anticipation	0.555	మోక్షం
feeling	anticipation	0.555	భావన
speculative	anticipation	0.555	ఊహాజనిత
oracle	anticipation	0.555	ఒరాకిల్
heroism	anticipation	0.555	వీరత్వం
boisterous	anticipation	0.555	సందడిగల
grasping	anticipation	0.555	పట్టుకోవడం
uneasiness	anticipation	0.555	అశాంతి
curiosity	anticipation	0.555	ఉత్సుకత
happy	anticipation	0.555	సంతోషంగా
rejoicing	anticipation	0.555	సంతోషిస్తున్నారు
fate	anticipation	0.555	విధి
liberty	anticipation	0.555	స్వేచ్ఛ
unfold	anticipation	0.555	విప్పు
amour	anticipation	0.555	రసిక
lovely	anticipation	0.555	సుందరమైన
splendor	anticipation	0.555	శోభ
grow	anticipation	0.555	పెరుగు
glimmer	anticipation	0.547	మెరుపు
incite	anticipation	0.547	ప్రేరేపించు
abundance	anticipation	0.547	సమృద్ధి
resultant	anticipation	0.547	ఫలితంగా
probability	anticipation	0.547	సంభావ్యత
recreational	anticipation	0.547	వినోదభరితమైన
glory	anticipation	0.547	కీర్తి
agape	anticipation	0.547	అగాపే
delighted	anticipation	0.547	సంతోషించారు
changeable	anticipation	0.547	మార్చదగిన
convergence	anticipation	0.547	కలయిక
bountiful	anticipation	0.547	ఔదార్యమైన
warn	anticipation	0.547	హెచ్చరిస్తారు
monetary	anticipation	0.547	ద్రవ్య
sorcery	anticipation	0.547	చేతబడి
morrow	anticipation	0.547	రేపు
apprehensive	anticipation	0.547	భయపడే
hungry	anticipation	0.547	ఆకలితో
vote	anticipation	0.547	ఓటు
suspicious	anticipation	0.547	అనుమానాస్పదమైన
pray	anticipation	0.547	ప్రార్థించండి
leisure	anticipation	0.547	విశ్రాంతి
hunting	anticipation	0.539	వేటాడు
sensual	anticipation	0.539	ఇంద్రియ సంబంధమైన
tempest	anticipation	0.539	తుఫాను
auction	anticipation	0.539	వేలం
ballot	anticipation	0.539	బ్యాలెట్
grandchildren	anticipation	0.539	మనవాళ్ళు
hankering	anticipation	0.539	కోరికతో
entertainment	anticipation	0.539	వినోదం
merge	anticipation	0.539	విలీనం
exceed	anticipation	0.539	మించిపోతాయి
vindication	anticipation	0.539	నిరూపణ
blessings	anticipation	0.539	దీవెనలు
inquiry	anticipation	0.539	విచారణ
bounty	anticipation	0.539	అనుగ్రహం
worrying	anticipation	0.539	చింతిస్తూ
contingent	anticipation	0.539	ఆగంతుక
glad	anticipation	0.536	సంతోషం
harbinger	anticipation	0.531	హర్బింగర్
magnificent	anticipation	0.531	అద్భుతమైన
virginity	anticipation	0.531	కన్యత్వం
stealthy	anticipation	0.531	దొంగతనంగా
appeal	anticipation	0.531	విజ్ఞప్తి
forming	anticipation	0.531	ఏర్పడుతోంది
celestial	anticipation	0.531	ఖగోళ సంబంధమైన
raving	anticipation	0.531	ఆవేశం
deliverance	anticipation	0.531	విముక్తి
feat	anticipation	0.531	ఫీట్
cheer	anticipation	0.531	ఉల్లాసమైన
responsive	anticipation	0.531	ప్రతిస్పందించే
hurried	anticipation	0.531	తొందరపడ్డాడు
betrothed	anticipation	0.531	నిశ్చితార్థం చేసుకున్నాడు
overthrow	anticipation	0.531	పడగొట్టు
spirits	anticipation	0.531	ఆత్మలు
dread	anticipation	0.531	భయం
visitor	anticipation	0.531	సందర్శకుడు
wait	anticipation	0.523	వేచి ఉండండి
revive	anticipation	0.523	పునరుద్ధరించాలని
watch	anticipation	0.523	వాచ్
hunter	anticipation	0.523	వేటగాడు
radiance	anticipation	0.523	ప్రకాశము
planning	anticipation	0.523	ప్రణాళిక
germination	anticipation	0.523	అంకురోత్పత్తి
competition	anticipation	0.523	పోటీ
preparatory	anticipation	0.523	సన్నాహక
prognostic	anticipation	0.523	రోగనిర్ధారణ
beaming	anticipation	0.523	ప్రకాశించే
cheery	anticipation	0.523	ఉల్లాసంగా
prevail	anticipation	0.523	వ్యాప్తి చెందడం
importance	anticipation	0.523	ప్రాముఖ్యత
notification	anticipation	0.523	నోటిఫికేషన్
explosive	anticipation	0.523	పేలుడు
pleasant	anticipation	0.523	ఆహ్లాదకరమైన
ultimately	anticipation	0.523	చివరికి
child	anticipation	0.523	బిడ్డ
haste	anticipation	0.523	తొందరపాటు
prophet	anticipation	0.523	ప్రవక్త
recreation	anticipation	0.516	వినోదం
present	anticipation	0.516	ప్రస్తుతం
time	anticipation	0.516	సమయం
sensuality	anticipation	0.516	ఇంద్రియ సంబంధము
owing	anticipation	0.516	రుణపడి
loom	anticipation	0.516	మగ్గం
begun	anticipation	0.516	ప్రారంభమైన
salary	anticipation	0.516	జీతం
celebrity	anticipation	0.516	ప్రముఖ
treat	anticipation	0.516	చికిత్స
chocolate	anticipation	0.516	చాక్లెట్
caution	anticipation	0.516	జాగ్రత్త
fermentation	anticipation	0.516	కిణ్వ ప్రక్రియ
uncontrollable	anticipation	0.516	నియంత్రించలేని
precious	anticipation	0.516	విలువైన
compensate	anticipation	0.516	పరిహారం
endanger	anticipation	0.516	ప్రమాదం
renovation	anticipation	0.516	పునర్నిర్మాణం
signify	anticipation	0.508	సూచిస్తాయి
vigilance	anticipation	0.508	అప్రమత్తత
prerequisite	anticipation	0.508	ముందస్తు అవసరం
perfection	anticipation	0.508	పరిపూర్ణత
cultivate	anticipation	0.508	పండించండి
develop	anticipation	0.508	అభివృద్ధి
cue	anticipation	0.508	క్యూ
exigent	anticipation	0.508	అత్యవసరమైన
transitional	anticipation	0.508	పరివర్తన
commemoration	anticipation	0.508	జ్ఞాపకార్థం
intermission	anticipation	0.508	విరామం
elevation	anticipation	0.508	ఎత్తు
infant	anticipation	0.508	శిశువు
practise	anticipation	0.508	సాధన
contemplation	anticipation	0.508	చింతన
dreadful	anticipation	0.508	భయంకరమైన
wilderness	anticipation	0.508	అరణ్యం
horizon	anticipation	0.508	హోరిజోన్
sneaking	anticipation	0.500	దొంగచాటుగా
uphill	anticipation	0.500	ఎత్తుపైకి
puppy	anticipation	0.500	కుక్కపిల్ల
blindfold	anticipation	0.500	కళ్లజోడు
unbridled	anticipation	0.500	హద్దులేని
horoscope	anticipation	0.500	జాతకం
airport	anticipation	0.500	విమానాశ్రయం
reconciliation	anticipation	0.500	సయోధ్య
advocacy	anticipation	0.500	న్యాయవాదం
litigate	anticipation	0.500	న్యాయపోరాటం
sunny	anticipation	0.500	ఎండ
intuitively	anticipation	0.500	అకారణంగా
hero	anticipation	0.500	హీరో
ardent	anticipation	0.500	ఉగ్రమైన
commemorate	anticipation	0.500	స్మరించుకుంటారు
romantic	anticipation	0.500	శృంగార
doomsday	anticipation	0.500	ప్రళయకాలము
ready	anticipation	0.500	సిద్ధంగా
nascent	anticipation	0.500	పుట్టిన
invocation	anticipation	0.500	ఆవాహన
depart	anticipation	0.500	బయలుదేరు
undisclosed	anticipation	0.500	బహిర్గతం చేయబడలేదు
attendance	anticipation	0.500	హాజరు
peril	anticipation	0.500	ప్రమాదం
income	anticipation	0.500	ఆదాయం
calculation	anticipation	0.500	లెక్కింపు
zeal	anticipation	0.500	ఉత్సాహం
eventuality	anticipation	0.500	సంఘటన
favorable	anticipation	0.500	అనుకూలమైన
utopian	anticipation	0.500	ఆదర్శధామ
swim	anticipation	0.500	ఈత కొట్టండి
proceeding	anticipation	0.492	కొనసాగుతోంది
eventual	anticipation	0.492	చివరికి
heyday	anticipation	0.492	ఉచ్ఛస్థితి
undertaking	anticipation	0.492	చేపట్టడం
improvise	anticipation	0.492	మెరుగుపరుస్తాయి
inauguration	anticipation	0.492	ప్రారంభోత్సవం
consequent	anticipation	0.492	పర్యవసానంగా
perspective	anticipation	0.492	దృష్టికోణం
defense	anticipation	0.492	రక్షణ
repay	anticipation	0.492	తిరిగి చెల్లించు
gaping	anticipation	0.492	గ్యాపింగ్
youth	anticipation	0.492	యువత
parole	anticipation	0.492	పెరోల్
worry	anticipation	0.492	ఆందోళన
bless	anticipation	0.492	అనుగ్రహించు
restorative	anticipation	0.492	పునరుద్ధరణ
court	anticipation	0.492	కోర్టు
highest	anticipation	0.491	అత్యధిక
shortly	anticipation	0.484	త్వరలో
auspicious	anticipation	0.484	శుభప్రదమైనది
princely	anticipation	0.484	రాచరికం
correspondence	anticipation	0.484	ఉత్తరప్రత్యుత్తరాలు
generosity	anticipation	0.484	దాతృత్వం
sparkle	anticipation	0.484	మెరుపు
voluptuous	anticipation	0.484	విలాసవంతమైన
happen	anticipation	0.484	జరుగుతాయి
tremor	anticipation	0.484	వణుకు
letter	anticipation	0.484	లేఖ
vow	anticipation	0.484	ప్రతిజ్ఞ
sharpen	anticipation	0.484	పదును పెట్టు
duel	anticipation	0.484	బాకీలు
conjure	anticipation	0.484	మాయాజాలం
threaten	anticipation	0.484	బెదిరించే
god	anticipation	0.484	దేవుడు
engulf	anticipation	0.484	చుట్టుముట్టండి
unexplained	anticipation	0.484	వివరించలేని
contagion	anticipation	0.484	అంటువ్యాధి
glorify	anticipation	0.477	కీర్తించండి
submit	anticipation	0.477	సమర్పించండి
enroll	anticipation	0.477	నమోదు చేయండి
unification	anticipation	0.477	ఏకీకరణ
gravitate	anticipation	0.477	గురుత్వాకర్షణ
glide	anticipation	0.477	గ్లైడ్
accompaniment	anticipation	0.477	తోడుగా
cherish	anticipation	0.477	ఆదరించు
adore	anticipation	0.477	ఆరాధించు
powerful	anticipation	0.477	శక్తివంతమైన
clue	anticipation	0.477	క్లూ
medal	anticipation	0.477	పతకం
contemplate	anticipation	0.477	ఆలోచించు
perilous	anticipation	0.477	ప్రమాదకరమైన
determinate	anticipation	0.477	నిర్ణయించు
arbitration	anticipation	0.477	మధ్యవర్తిత్వ
recipient	anticipation	0.477	గ్రహీత
onset	anticipation	0.477	ప్రారంభం
predispose	anticipation	0.477	సిద్ధించు
score	anticipation	0.477	స్కోర్
torture	anticipation	0.477	చిత్రహింసలు
glow	anticipation	0.477	మెరుస్తుంది
praiseworthy	anticipation	0.473	ప్రశంసనీయమైనది
football	anticipation	0.469	ఫుట్బాల్
scare	anticipation	0.469	భయ పెట్టు
elite	anticipation	0.469	ఉన్నతవర్గం
unknown	anticipation	0.469	తెలియని
precursor	anticipation	0.469	పూర్వగామి
pry	anticipation	0.469	pry
providing	anticipation	0.469	అందించడం
sweets	anticipation	0.469	స్వీట్లు
cautious	anticipation	0.469	జాగ్రత్తగా
opera	anticipation	0.469	ఒపేరా
motion	anticipation	0.469	చలనం
cash	anticipation	0.469	నగదు
creeping	anticipation	0.469	పాకుతోంది
invoke	anticipation	0.469	సహాయం కోరు
star	anticipation	0.469	నక్షత్రం
shaky	anticipation	0.469	వణుకుతున్న
production	anticipation	0.469	ఉత్పత్తి
successful	anticipation	0.469	విజయవంతమైంది
immediately	anticipation	0.469	తక్షణమే
dawn	anticipation	0.469	తెల్లవారుజాము
starry	anticipation	0.469	నక్షత్రాలతో కూడిన
unsurpassed	anticipation	0.469	అధిగమించలేని
completion	anticipation	0.469	పూర్తి
hire	anticipation	0.469	కిరాయి
fete	anticipation	0.469	పండు
commemorative	anticipation	0.461	స్మారకార్థం
shining	anticipation	0.461	మెరుస్తున్నది
testament	anticipation	0.461	నిబంధన
pay	anticipation	0.461	చెల్లించాలి
alive	anticipation	0.461	సజీవంగా
plight	anticipation	0.461	దుస్థితి
preliminary	anticipation	0.461	ప్రాథమిక
overture	anticipation	0.461	ప్రస్తావన
sanctuary	anticipation	0.461	అభయారణ్యం
regatta	anticipation	0.461	రెగట్టా
draft	anticipation	0.461	డ్రాఫ్ట్
synchronize	anticipation	0.461	సమకాలీకరించు
soundness	anticipation	0.461	దృఢత్వం
extricate	anticipation	0.461	నిర్మూలించు
excel	anticipation	0.461	ఎక్సెల్
punt	anticipation	0.461	పంట్
untold	anticipation	0.461	చెప్పలేదు
brilliant	anticipation	0.461	తెలివైన
cheerfulness	anticipation	0.461	ఉల్లాసం
jeopardy	anticipation	0.461	ప్రమాదం
friendly	anticipation	0.461	స్నేహపూర్వక
mail	anticipation	0.461	మెయిల్
unexpected	anticipation	0.453	ఊహించని
basketball	anticipation	0.453	బాస్కెట్‌బాల్
inaugural	anticipation	0.453	ప్రారంభోత్సవం
supremacy	anticipation	0.453	ఆధిపత్యం
rehabilitation	anticipation	0.453	పునరావాసం
intimately	anticipation	0.453	సన్నిహితంగా
career	anticipation	0.453	వృత్తి
prevention	anticipation	0.453	నివారణ
renovate	anticipation	0.453	పునరుద్ధరించు
compliment	anticipation	0.453	పొగడ్త
prologue	anticipation	0.453	నాంది
elegance	anticipation	0.453	గాంభీర్యం
complement	anticipation	0.453	పూరకంగా
flinch	anticipation	0.453	విదిలించు
infinity	anticipation	0.453	అనంతం
perpetuity	anticipation	0.453	శాశ్వతత్వం
sunset	anticipation	0.453	సూర్యాస్తమయం
improve	anticipation	0.453	మెరుగు
fitting	anticipation	0.445	యుక్తమైనది
confidence	anticipation	0.445	విశ్వాసం
concealment	anticipation	0.445	దాచడం
sweet	anticipation	0.445	తీపి
perfect	anticipation	0.445	పరిపూర్ణమైనది
epidemic	anticipation	0.445	అంటువ్యాధి
fain	anticipation	0.445	మూర్ఛ
volunteer	anticipation	0.445	స్వచ్ఛంద సేవకుడు
share	anticipation	0.445	వాటా
surround	anticipation	0.445	చుట్టుముట్టండి
conjecture	anticipation	0.445	ఊహ
sun	anticipation	0.445	సూర్యుడు
veracity	anticipation	0.445	యథార్థత
serial	anticipation	0.438	క్రమ
angel	anticipation	0.438	దేవదూత
aloha	anticipation	0.438	అలోహా
saint	anticipation	0.438	సాధువు
tickle	anticipation	0.438	చక్కిలిగింత
superstitious	anticipation	0.438	మూఢనమ్మకం
ferment	anticipation	0.438	పులియబెట్టుట
conservation	anticipation	0.438	పరిరక్షణ
devout	anticipation	0.438	భక్తిపరుడు
respect	anticipation	0.438	గౌరవం
reconstruction	anticipation	0.438	పునర్నిర్మాణం
goodness	anticipation	0.438	మంచితనం
reconstruct	anticipation	0.438	పునర్నిర్మాణం
faith	anticipation	0.438	విశ్వాసం
recombination	anticipation	0.438	పునఃసంయోగం
prepared	anticipation	0.438	సిద్ధం
rabid	anticipation	0.438	క్రూరమైన
plea	anticipation	0.438	మనవి
medical	anticipation	0.438	వైద్య
passenger	anticipation	0.438	ప్రయాణీకుడు
charitable	anticipation	0.430	ధార్మికమైనది
tabulate	anticipation	0.430	పట్టిక
peace	anticipation	0.430	శాంతి
install	anticipation	0.430	ఇన్స్టాల్
serenity	anticipation	0.430	ప్రశాంతత
venerable	anticipation	0.430	పూజనీయమైనది
spa	anticipation	0.430	స్పా
labyrinth	anticipation	0.430	చిక్కైన
luscious	anticipation	0.430	తియ్యని
perpetuate	anticipation	0.430	శాశ్వతం
strategist	anticipation	0.430	వ్యూహకర్త
unverified	anticipation	0.430	ధృవీకరించబడలేదు
tribunal	anticipation	0.430	ట్రిబ్యునల్
clap	anticipation	0.430	చప్పట్లు కొట్టండి
peaceful	anticipation	0.422	శాంతియుతమైనది
patience	anticipation	0.422	సహనం
unresolved	anticipation	0.422	పరిష్కరించబడలేదు
worship	anticipation	0.422	ఆరాధన
edification	anticipation	0.422	సవరణ
oasis	anticipation	0.422	ఒయాసిస్
grin	anticipation	0.422	నవ్వు
revere	anticipation	0.422	గౌరవించేవారు
candid	anticipation	0.422	దాపరికం
vista	anticipation	0.422	విస్టా
conspirator	anticipation	0.422	కుట్రదారుడు
adrift	anticipation	0.422	కొట్టుకుపోతారు
recognizable	anticipation	0.422	గుర్తించదగినది
volatility	anticipation	0.422	అస్థిరత
forestall	anticipation	0.422	అడవి
laughter	anticipation	0.422	నవ్వు
continue	anticipation	0.414	కొనసాగుతుంది
ongoing	anticipation	0.414	కొనసాగుతున్న
astrologer	anticipation	0.414	జ్యోతిష్యుడు
mediate	anticipation	0.414	మధ్యవర్తిత్వం చేయండి
punctual	anticipation	0.414	ఆలస్యము కానట్టి
grant	anticipation	0.414	మంజూరు
morn	anticipation	0.414	ఉదయం
pretty	anticipation	0.414	చక్కని
withstand	anticipation	0.414	తట్టుకోగలవు
frisky	anticipation	0.414	చురుకైన
thought	anticipation	0.414	అనుకున్నాడు
probation	anticipation	0.414	పరిశీలన
ordination	anticipation	0.414	సన్యాసం
calls	anticipation	0.414	కాల్స్
detainee	anticipation	0.414	నిర్బంధించబడిన
craps	anticipation	0.414	చెత్త
weigh	anticipation	0.414	బరువు
proficiency	anticipation	0.414	ప్రావీణ్యం
sing	anticipation	0.411	పాడతారు
continuation	anticipation	0.406	కొనసాగింపు
university	anticipation	0.406	విశ్వవిద్యాలయ
chicane	anticipation	0.406	చికేన్
nurture	anticipation	0.406	పోషణ
mother	anticipation	0.406	తల్లి
punished	anticipation	0.406	శిక్షించబడింది
twinkle	anticipation	0.406	మెరుపు
confession	anticipation	0.406	ఒప్పుకోలు
outdo	anticipation	0.406	అధిగమించు
prophylactic	anticipation	0.406	రోగనిరోధక
proud	anticipation	0.406	గర్వంగా ఉంది
midwife	anticipation	0.406	మంత్రసాని
wizard	anticipation	0.406	తాంత్రికుడు
headlight	anticipation	0.406	హెడ్లైట్
long	anticipation	0.406	పొడవు
banquet	anticipation	0.406	విందు
comfort	anticipation	0.406	సౌకర్యం
navigable	anticipation	0.406	నౌకాయానము
subscribe	anticipation	0.406	చందా చేయండి
opponent	anticipation	0.406	ప్రత్యర్థి
debenture	anticipation	0.406	డిబెంచర్
deal	anticipation	0.402	ఒప్పందం
symphony	anticipation	0.398	సింఫొనీ
saintly	anticipation	0.398	సాధువు
judiciary	anticipation	0.398	న్యాయవ్యవస్థ
lettered	anticipation	0.398	అక్షరం
vigil	anticipation	0.398	జాగరణ
reliance	anticipation	0.398	ఆధారపడటం
distracting	anticipation	0.398	దృష్టి మరల్చడం
mortification	anticipation	0.398	మృత్యువు
balm	anticipation	0.398	ఔషధతైలం
simmer	anticipation	0.398	ఆవేశమును అణిచిపెట్టుకొను
top	anticipation	0.398	టాప్
obliging	anticipation	0.398	విధిగా
efficient	anticipation	0.398	సమర్థవంతమైన
guillotine	anticipation	0.398	గిలెటిన్
representing	anticipation	0.398	ప్రాతినిధ్యం వహిస్తోంది
death	anticipation	0.398	మరణం
assurance	anticipation	0.391	భరోసా
familiarity	anticipation	0.391	పరిచయము
depraved	anticipation	0.391	చెడిపోయిన
condemnation	anticipation	0.391	ఖండించడం
undoubted	anticipation	0.391	నిస్సందేహంగా
sanctify	anticipation	0.391	పవిత్రం
diplomacy	anticipation	0.391	దౌత్యం
antidote	anticipation	0.391	విరుగుడు
trust	anticipation	0.391	నమ్మకం
linger	anticipation	0.391	ఆలస్యము చేయుము
objective	anticipation	0.391	లక్ష్యం
chuckle	anticipation	0.391	నవ్వు
poke	anticipation	0.391	దూర్చు
abeyance	anticipation	0.391	నిలుపుదల
maternal	anticipation	0.391	మాతృసంబంధమైన
art	anticipation	0.391	కళ
unfulfilled	anticipation	0.391	నెరవేరలేదు
inoculation	anticipation	0.384	టీకాలు వేయుట
simplify	anticipation	0.383	సరళీకృతం
depend	anticipation	0.383	ఆధారపడి ఉంటాయి
chant	anticipation	0.383	జపం
ram	anticipation	0.383	పొట్టేలు
banger	anticipation	0.383	బంగర్
playground	anticipation	0.383	ఆటస్థలం
labor	anticipation	0.383	శ్రమ
scientist	anticipation	0.383	శాస్త్రవేత్త
good	anticipation	0.383	మంచిది
humanitarian	anticipation	0.383	మానవతావాది
failing	anticipation	0.383	విఫలమవుతున్నారు
hap	anticipation	0.383	సంతోషం
dutiful	anticipation	0.383	విధిగా
hymn	anticipation	0.383	శ్లోకం
ship	anticipation	0.383	ఓడ
discretion	anticipation	0.383	విచక్షణ
undecided	anticipation	0.383	నిర్ణయించలేదు
gradual	anticipation	0.375	క్రమంగా
navigator	anticipation	0.375	నావికుడు
track	anticipation	0.375	ట్రాక్
cradle	anticipation	0.375	ఊయల
sterling	anticipation	0.375	స్టెర్లింగ్
interim	anticipation	0.375	మధ్యంతర
clock	anticipation	0.375	గడియారం
mountain	anticipation	0.375	పర్వతం
interminable	anticipation	0.375	అంతరాయమైన
public	anticipation	0.375	ప్రజా
recurrent	anticipation	0.375	పునరావృతం
savor	anticipation	0.375	రుచి చూడు
abide	anticipation	0.367	కట్టుబడి
concealed	anticipation	0.367	దాచిపెట్టాడు
spear	anticipation	0.367	ఈటె
lesson	anticipation	0.367	పాఠం
instructions	anticipation	0.367	సూచనలు
sonar	anticipation	0.367	సోనార్
biennial	anticipation	0.367	ద్వైవార్షిక
convince	anticipation	0.367	ఒప్పించండి
whim	anticipation	0.367	ఇష్టానుసారం
shiver	anticipation	0.367	వణుకు
towering	anticipation	0.367	మహోన్నతమైనది
musical	anticipation	0.367	సంగీతపరమైన
offset	anticipation	0.359	ఆఫ్సెట్
theory	anticipation	0.359	సిద్ధాంతం
theology	anticipation	0.359	వేదాంతశాస్త్రం
undying	anticipation	0.359	మరణించని
timidity	anticipation	0.359	పిరికితనం
plump	anticipation	0.359	బొద్దుగా
atone	anticipation	0.359	ప్రాయశ్చిత్తం
audience	anticipation	0.357	ప్రేక్షకులు
dietary	anticipation	0.352	ఆహారసంబంధమైన
consecration	anticipation	0.352	ముడుపు
localize	anticipation	0.352	స్థానికీకరించండి
paragon	anticipation	0.352	పారగాన్
store	anticipation	0.352	స్టోర్
farm	anticipation	0.352	పొలం
daily	anticipation	0.352	రోజువారీ
cramp	anticipation	0.352	తిమ్మిరి
nobility	anticipation	0.352	ప్రభువులు
closure	anticipation	0.352	మూసివేత
edition	anticipation	0.352	ఎడిషన్
kindred	anticipation	0.352	బంధువులు
stripped	anticipation	0.344	తీసివేసిన
errand	anticipation	0.344	పని
archaeology	anticipation	0.344	పురావస్తు శాస్త్రం
mutable	anticipation	0.344	మార్చగల
wireless	anticipation	0.344	వైర్లెస్
meditate	anticipation	0.344	ధ్యానం చేయండి
mobile	anticipation	0.344	మొబైల్
germ	anticipation	0.336	సూక్ష్మక్రిమి
brotherly	anticipation	0.336	సోదరసంబంధమైన
lessen	anticipation	0.336	తగ్గించు
unbeaten	anticipation	0.336	అజేయంగా
pare	anticipation	0.336	పారే
buddy	anticipation	0.336	మిత్రుడు
unaccountable	anticipation	0.336	జవాబుదారీతనం లేని
dove	anticipation	0.328	పావురం
patient	anticipation	0.328	రోగి
secular	anticipation	0.328	సెక్యులర్
digress	anticipation	0.328	డైగ్రెస్
chastity	anticipation	0.328	పవిత్రత
council	anticipation	0.328	కౌన్సిల్
olfactory	anticipation	0.328	ఘ్రాణ
ribbon	anticipation	0.328	రిబ్బన్
possess	anticipation	0.328	కలిగి ఉంటాయి
disposed	anticipation	0.320	పారవేసారు
scrutinize	anticipation	0.320	నిశితంగా పరిశీలించండి
immature	anticipation	0.320	పరిపక్వత లేని
mediator	anticipation	0.320	మధ్యవర్తి
regularity	anticipation	0.320	క్రమబద్ధత
cove	anticipation	0.320	కోవ్
infanticide	anticipation	0.320	శిశుహత్య
paddle	anticipation	0.320	తెడ్డు
heft	anticipation	0.320	ఎత్తు
fancy	anticipation	0.320	ఫాన్సీ
preservative	anticipation	0.320	సంరక్షక
unpublished	anticipation	0.312	ప్రచురించబడలేదు
church	anticipation	0.312	చర్చి
bugle	anticipation	0.312	బుగల్
grim	anticipation	0.312	భయంకరమైన
denying	anticipation	0.312	తిరస్కరిస్తున్నారు
analyst	anticipation	0.312	విశ్లేషకుడు
judicial	anticipation	0.305	న్యాయపరమైన
priesthood	anticipation	0.305	అర్చకత్వం
broadside	anticipation	0.305	విశాలమైన
mill	anticipation	0.305	మిల్లు
dismay	anticipation	0.297	నిస్పృహ
cap	anticipation	0.297	టోపీ
thermocouple	anticipation	0.297	థర్మోకపుల్
tributary	anticipation	0.297	ఉపనది
instructor	anticipation	0.297	బోధకుడు
exhaustion	anticipation	0.297	ఆయాసం
saliva	anticipation	0.297	లాలాజలం
cataract	anticipation	0.289	కంటి శుక్లాలు
network	anticipation	0.289	నెట్వర్క్
visor	anticipation	0.289	visor
shackle	anticipation	0.289	సంకెళ్ళు
wont	anticipation	0.289	కాదు
addresses	anticipation	0.289	చిరునామాలు
discreet	anticipation	0.289	వివేకవంతుడు
noncompliance	anticipation	0.289	పాటించకపోవడం
bruise	anticipation	0.289	గాయము
homeless	anticipation	0.289	నిరాశ్రయుడు
astronomer	anticipation	0.281	ఖగోళ శాస్త్రవేత్త
skewed	anticipation	0.281	వక్రంగా
neighbor	anticipation	0.281	పొరుగు
holiness	anticipation	0.273	పవిత్రత
devil	anticipation	0.273	దెయ్యం
picket	anticipation	0.273	పికెట్
sentence	anticipation	0.273	వాక్యం
latent	anticipation	0.273	గుప్తమైన
cream	anticipation	0.273	క్రీమ్
immaturity	anticipation	0.273	అపరిపక్వత
habitual	anticipation	0.266	అలవాటు
morals	anticipation	0.266	నీతులు
neighborhood	anticipation	0.266	పొరుగు
lull	anticipation	0.266	ప్రశాంతత
bye	anticipation	0.258	బై
weight	anticipation	0.258	బరువు
organ	anticipation	0.250	అవయవం
clown	anticipation	0.250	విదూషకుడు
forearm	anticipation	0.250	ముంజేయి
commonplace	anticipation	0.242	సామాన్యమైన
quote	anticipation	0.242	కోట్
rail	anticipation	0.234	రైలు
dictatorship	anticipation	0.234	నియంతృత్వం
treadmill	anticipation	0.234	ట్రెడ్మిల్
board	anticipation	0.234	బోర్డు
tree	anticipation	0.227	చెట్టు
sundial	anticipation	0.227	సన్డియల్
paralysis	anticipation	0.211	పక్షవాతం
cement	anticipation	0.203	సిమెంట్
worm	anticipation	0.203	పురుగు
organization	anticipation	0.203	సంస్థ
lagging	anticipation	0.180	వెనుకబడి ఉంది
neutral	anticipation	0.148	తటస్థ
cannibalism	disgust	0.953	నరమాంస భక్షణ
mutilation	disgust	0.930	వికృతీకరణ
molestation	disgust	0.914	వేధింపులు
incest	disgust	0.914	అక్రమ సంబంధం
rape	disgust	0.906	అత్యాచారం
gonorrhea	disgust	0.906	గోనేరియా
