English Word	Emotion	Emotion-Intensity-Score	Yoruba Word
soundness	anticipation	0.461	didara
extricate	anticipation	0.461	jade
excel	anticipation	0.461	tayọ
punt	anticipation	0.461	punt
untold	anticipation	0.461	aimọ
brilliant	anticipation	0.461	o wuyi
cheerfulness	anticipation	0.461	inu didun
jeopardy	anticipation	0.461	ewu
friendly	anticipation	0.461	ore
mail	anticipation	0.461	meeli
unexpected	anticipation	0.453	airotẹlẹ
basketball	anticipation	0.453	agbọn
inaugural	anticipation	0.453	ibẹrẹ
supremacy	anticipation	0.453	aseju
rehabilitation	anticipation	0.453	isodi titun
intimately	anticipation	0.453	timotimo
career	anticipation	0.453	iṣẹ
prevention	anticipation	0.453	idena
renovate	anticipation	0.453	tunse
compliment	anticipation	0.453	iyin
prologue	anticipation	0.453	asọtẹlẹ
elegance	anticipation	0.453	didara
complement	anticipation	0.453	iranlowo
flinch	anticipation	0.453	fọnka
infinity	anticipation	0.453	ailopin
perpetuity	anticipation	0.453	ayeraye
sunset	anticipation	0.453	Iwọoorun
improve	anticipation	0.453	mu dara
fitting	anticipation	0.445	ibamu
confidence	anticipation	0.445	igbekele
concealment	anticipation	0.445	ipamo
sweet	anticipation	0.445	dun
perfect	anticipation	0.445	pipe
epidemic	anticipation	0.445	àjàkálẹ̀ àrùn
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	iyọọda
share	anticipation	0.445	pin
surround	anticipation	0.445	yika
conjecture	anticipation	0.445	arosọ
sun	anticipation	0.445	oorun
veracity	anticipation	0.445	otitọ
serial	anticipation	0.438	tẹlentẹle
angel	anticipation	0.438	angẹli
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	mimọ
tickle	anticipation	0.438	tickle
superstitious	anticipation	0.438	onigbagbọ
ferment	anticipation	0.438	ferment
conservation	anticipation	0.438	itoju
devout	anticipation	0.438	olufokansin
respect	anticipation	0.438	ọwọ
reconstruction	anticipation	0.438	atunkọ
goodness	anticipation	0.438	oore
reconstruct	anticipation	0.438	atunkọ
faith	anticipation	0.438	igbagbọ
recombination	anticipation	0.438	atundapọ
prepared	anticipation	0.438	pese sile
rabid	anticipation	0.438	aburu
plea	anticipation	0.438	ẹbẹ
medical	anticipation	0.438	oogun
passenger	anticipation	0.438	ero
charitable	anticipation	0.430	alanu
tabulate	anticipation	0.430	tabulate
peace	anticipation	0.430	alafia
install	anticipation	0.430	fi sori ẹrọ
serenity	anticipation	0.430	ifokanbale
venerable	anticipation	0.430	oloyinbo
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	alarinrin
perpetuate	anticipation	0.430	tesiwaju
strategist	anticipation	0.430	strategist
unverified	anticipation	0.430	unverified
tribunal	anticipation	0.430	ile ejo
clap	anticipation	0.430	pàtẹ́wọ́
peaceful	anticipation	0.422	alaafia
patience	anticipation	0.422	suuru
unresolved	anticipation	0.422	ti ko yanju
worship	anticipation	0.422	ijosin
edification	anticipation	0.422	atunse
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	ẹrin
revere	anticipation	0.422	ibowo
candid	anticipation	0.422	olooto
vista	anticipation	0.422	Vista
conspirator	anticipation	0.422	rikisi
adrift	anticipation	0.422	yiyọ kuro
recognizable	anticipation	0.422	ti idanimọ
volatility	anticipation	0.422	iyipada
forestall	anticipation	0.422	forestall
laughter	anticipation	0.422	ẹrín
continue	anticipation	0.414	tesiwaju
ongoing	anticipation	0.414	ti nlọ lọwọ
astrologer	anticipation	0.414	awòràwọ
mediate	anticipation	0.414	laja
punctual	anticipation	0.414	asiko
grant	anticipation	0.414	fifunni
morn	anticipation	0.414	owurọ
pretty	anticipation	0.414	lẹwa
withstand	anticipation	0.414	koju
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	ero
probation	anticipation	0.414	igba idanwo
ordination	anticipation	0.414	isọdibilẹ
calls	anticipation	0.414	awọn ipe
detainee	anticipation	0.414	atimole
craps	anticipation	0.414	craps
weigh	anticipation	0.414	òṣuwọn
proficiency	anticipation	0.414	pipe
sing	anticipation	0.411	kọrin
continuation	anticipation	0.406	itesiwaju
university	anticipation	0.406	ile-ẹkọ giga
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	tọ́jú
mother	anticipation	0.406	iya
punished	anticipation	0.406	jiya
twinkle	anticipation	0.406	twinkle
confession	anticipation	0.406	ijewo
outdo	anticipation	0.406	jade
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	igberaga
midwife	anticipation	0.406	agbẹbi
wizard	anticipation	0.406	oluṣeto
headlight	anticipation	0.406	ina iwaju
long	anticipation	0.406	gun
banquet	anticipation	0.406	àsè
comfort	anticipation	0.406	itunu
navigable	anticipation	0.406	lilọ kiri
subscribe	anticipation	0.406	alabapin
opponent	anticipation	0.406	alatako
debenture	anticipation	0.406	iwe adehun
deal	anticipation	0.402	idunadura
symphony	anticipation	0.398	simfoni
saintly	anticipation	0.398	mimọ
judiciary	anticipation	0.398	adajo
lettered	anticipation	0.398	lẹta
vigil	anticipation	0.398	gbigbọn
reliance	anticipation	0.398	igbẹkẹle
distracting	anticipation	0.398	idamu
mortification	anticipation	0.398	Mortification
balm	anticipation	0.398	balm
simmer	anticipation	0.398	simmer
top	anticipation	0.398	oke
obliging	anticipation	0.398	ọranyan
efficient	anticipation	0.398	daradara
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	nsoju
death	anticipation	0.398	iku
assurance	anticipation	0.391	idaniloju
familiarity	anticipation	0.391	faramọ
depraved	anticipation	0.391	ibajẹ
condemnation	anticipation	0.391	ìdálẹ́bi
undoubted	anticipation	0.391	laiseaniani
sanctify	anticipation	0.391	sọ di mímọ́
diplomacy	anticipation	0.391	diplomacy
antidote	anticipation	0.391	oogun oogun
trust	anticipation	0.391	igbekele
linger	anticipation	0.391	duro
objective	anticipation	0.391	afojusun
chuckle	anticipation	0.391	ẹrin
poke	anticipation	0.391	poki
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	ìyá
art	anticipation	0.391	aworan
unfulfilled	anticipation	0.391	ti ko ṣẹ
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	rọrun
depend	anticipation	0.383	gbarale
chant	anticipation	0.383	kọrin
ram	anticipation	0.383	Àgbo
banger	anticipation	0.383	banger
playground	anticipation	0.383	ibi isereile
labor	anticipation	0.383	laala
scientist	anticipation	0.383	onimọ ijinle sayensi
good	anticipation	0.383	dara
humanitarian	anticipation	0.383	omoniyan
failing	anticipation	0.383	kuna
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	ojuse
hymn	anticipation	0.383	orin iyin
ship	anticipation	0.383	ọkọ oju omi
discretion	anticipation	0.383	lakaye
undecided	anticipation	0.383	aipinnu
gradual	anticipation	0.375	diėdiė
navigator	anticipation	0.375	atukọ
track	anticipation	0.375	orin
cradle	anticipation	0.375	jojolo
sterling	anticipation	0.375	meta o
interim	anticipation	0.375	adele
clock	anticipation	0.375	aago
mountain	anticipation	0.375	òkè
interminable	anticipation	0.375	interminable
public	anticipation	0.375	gbangba
recurrent	anticipation	0.375	loorekoore
savor	anticipation	0.375	adun
abide	anticipation	0.367	duro
concealed	anticipation	0.367	pamọ
spear	anticipation	0.367	ọkọ
lesson	anticipation	0.367	ẹkọ
instructions	anticipation	0.367	ilana
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	parowa
whim	anticipation	0.367	wère
shiver	anticipation	0.367	gbigbọn
towering	anticipation	0.367	ga soke
musical	anticipation	0.367	orin
offset	anticipation	0.359	aiṣedeede
theory	anticipation	0.359	ẹkọ
theology	anticipation	0.359	eko nipa esin
undying	anticipation	0.359	aiku
timidity	anticipation	0.359	itiju
plump	anticipation	0.359	plump
atone	anticipation	0.359	ètùtù
audience	anticipation	0.357	olugbo
dietary	anticipation	0.352	onje
consecration	anticipation	0.352	ìyàsọ́tọ̀
localize	anticipation	0.352	agbegbe
paragon	anticipation	0.352	paragon
store	anticipation	0.352	itaja
farm	anticipation	0.352	oko
daily	anticipation	0.352	ojoojumo
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	ọlọla
closure	anticipation	0.352	bíbo
edition	anticipation	0.352	àtúnse
kindred	anticipation	0.352	ebi
stripped	anticipation	0.344	ṣi kuro
errand	anticipation	0.344	ise
archaeology	anticipation	0.344	archeology
mutable	anticipation	0.344	iyipada
wireless	anticipation	0.344	alailowaya
meditate	anticipation	0.344	ṣe àṣàrò
mobile	anticipation	0.344	alagbeka
germ	anticipation	0.336	kokoro
brotherly	anticipation	0.336	ará
lessen	anticipation	0.336	din
unbeaten	anticipation	0.336	unbeaten
pare	anticipation	0.336	pare
buddy	anticipation	0.336	ore
unaccountable	anticipation	0.336	aiṣiro
dove	anticipation	0.328	àdàbà
patient	anticipation	0.328	alaisan
secular	anticipation	0.328	alailesin
digress	anticipation	0.328	digress
chastity	anticipation	0.328	iwa mimọ
council	anticipation	0.328	igbimọ
olfactory	anticipation	0.328	olfato
ribbon	anticipation	0.328	tẹẹrẹ
possess	anticipation	0.328	gbà
disposed	anticipation	0.320	sọnu
scrutinize	anticipation	0.320	ṣayẹwo
immature	anticipation	0.320	ti ko dagba
mediator	anticipation	0.320	alarina
regularity	anticipation	0.320	deede
cove	anticipation	0.320	ibora
infanticide	anticipation	0.320	ìkókó
paddle	anticipation	0.320	paddle
heft	anticipation	0.320	heft
fancy	anticipation	0.320	alafẹfẹ
preservative	anticipation	0.320	olutọju
unpublished	anticipation	0.312	aitẹjade
church	anticipation	0.312	ijo
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	koro
denying	anticipation	0.312	sẹ
analyst	anticipation	0.312	oluyanju
judicial	anticipation	0.305	idajọ
priesthood	anticipation	0.305	oyè alufa
broadside	anticipation	0.305	igboro
mill	anticipation	0.305	ọlọ
dismay	anticipation	0.297	ibanuje
cap	anticipation	0.297	fila
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributari
instructor	anticipation	0.297	oluko
exhaustion	anticipation	0.297	irẹwẹsi
saliva	anticipation	0.297	itọ
cataract	anticipation	0.289	cataract
network	anticipation	0.289	nẹtiwọki
visor	anticipation	0.289	visor
shackle	anticipation	0.289	dè
wont	anticipation	0.289	ko ni
addresses	anticipation	0.289	awọn adirẹsi
discreet	anticipation	0.289	olóye
noncompliance	anticipation	0.289	aibamu
bruise	anticipation	0.289	ọgbẹ
homeless	anticipation	0.289	aini ile
astronomer	anticipation	0.281	awòràwọ
skewed	anticipation	0.281	skewed
neighbor	anticipation	0.281	aládùúgbò
holiness	anticipation	0.273	mimọ
devil	anticipation	0.273	bìlísì
picket	anticipation	0.273	yiyan
sentence	anticipation	0.273	gbolohun ọrọ
latent	anticipation	0.273	wiwaba
cream	anticipation	0.273	ipara
immaturity	anticipation	0.273	àìpé
habitual	anticipation	0.266	aṣa
morals	anticipation	0.266	iwa
neighborhood	anticipation	0.266	adugbo
lull	anticipation	0.266	lull
bye	anticipation	0.258	bye
weight	anticipation	0.258	iwuwo
organ	anticipation	0.250	ẹya ara
clown	anticipation	0.250	apanilerin
forearm	anticipation	0.250	iwaju apa
commonplace	anticipation	0.242	ibi ti o wọpọ
quote	anticipation	0.242	agbasọ
rail	anticipation	0.234	iṣinipopada
dictatorship	anticipation	0.234	ijọba olominira
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	ọkọ
tree	anticipation	0.227	igi
sundial	anticipation	0.227	oorun
paralysis	anticipation	0.211	paralysis
cement	anticipation	0.203	simenti
worm	anticipation	0.203	kòkoro
organization	anticipation	0.203	ajo
lagging	anticipation	0.180	aisun
neutral	anticipation	0.148	didoju
cannibalism	disgust	0.953	ajẹnijẹ
mutilation	disgust	0.930	ìpakúpa
molestation	disgust	0.914	ifipabanilopo
incest	disgust	0.914	ìbálòpọ̀
rape	disgust	0.906	ifipabanilopo
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	ẹlẹjẹ
rot	disgust	0.891	jijẹ
corpse	disgust	0.883	òkú
massacre	disgust	0.883	ipakupa
excrement	disgust	0.883	excrement
barf	disgust	0.875	barf
slaughter	disgust	0.875	ipaniyan
slaughterhouse	disgust	0.867	ile ipaniyan
incestuous	disgust	0.859	alaigbagbọ
sewerage	disgust	0.859	omi idoti
filth	disgust	0.859	idoti
bigot	disgust	0.859	nlanla
rancid	disgust	0.859	rancid
infestation	disgust	0.852	infestation
plague	disgust	0.852	ajakale-arun
holocaust	disgust	0.852	iparun
bloodthirsty	disgust	0.852	òùngbẹ ẹ̀jẹ̀
rotting	disgust	0.844	jijo
fecal	disgust	0.844	fekal
maggot	disgust	0.844	ìdin
feces	disgust	0.844	feces
murder	disgust	0.839	ipaniyan
asshole	disgust	0.836	Iwoomusu
homicide	disgust	0.836	ipaniyan
enslaved	disgust	0.836	ẹrú
infanticide	disgust	0.836	ìkókó
perverted	disgust	0.828	yiyi
excretion	disgust	0.828	itujade
gore	disgust	0.828	gore
slaughtering	disgust	0.828	pipa
torture	disgust	0.828	ijiya
contaminate	disgust	0.821	baje
revolting	disgust	0.820	sote
gory	disgust	0.820	gori
shit	disgust	0.820	nik
terrorist	disgust	0.820	onijagidijagan
murderer	disgust	0.820	apaniyan
repugnant	disgust	0.820	ẹlẹgàn
manure	disgust	0.820	maalu
pervert	disgust	0.820	oniyi
diarrhoea	disgust	0.820	gbuuru
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	ibajẹ
faeces	disgust	0.812	ìgbẹ́
slavery	disgust	0.812	ẹrú
sewer	disgust	0.812	koto
cadaver	disgust	0.812	ologbo
manslaughter	disgust	0.812	ipaniyan
dismemberment	disgust	0.812	dismemberment
vomit	disgust	0.812	eebi
perverse	disgust	0.805	oniyida
repulsive	disgust	0.805	irira
hemorrhage	disgust	0.805	isun ẹjẹ
sewage	disgust	0.797	omi idoti
filthy	disgust	0.797	ẹlẹgbin
diseased	disgust	0.797	arun
depravity	disgust	0.797	ibajẹ
carcass	disgust	0.795	òkú
decompose	disgust	0.789	decompose
gruesome	disgust	0.789	ẹru
mutilated	disgust	0.789	ti bajẹ
puke	disgust	0.789	puke
herpes	disgust	0.789	Herpes
decayed	disgust	0.789	ibajẹ
dung	disgust	0.789	igbe
vermin	disgust	0.789	kokoro
murderous	disgust	0.789	apaniyan
parasite	disgust	0.789	parasite
horrific	disgust	0.789	jayi
carnage	disgust	0.781	ipaniyan
malaria	disgust	0.781	iba
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	ajakale-arun
crap	disgust	0.781	inira
monstrosity	disgust	0.781	ibanilẹru
loathsome	disgust	0.773	irira
toxic	disgust	0.773	majele ti
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	ẹ̀tẹ̀
insidious	disgust	0.773	arekereke
cruel	disgust	0.766	ìkà
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	ikorira
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	revulsion
whore	disgust	0.766	àgbere
dissection	disgust	0.759	pipinka
mucous	disgust	0.758	muu
canker	disgust	0.758	canker
slum	disgust	0.758	slum
infectious	disgust	0.758	àkóràn
evil	disgust	0.758	ibi
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	iwa ika
perversion	disgust	0.758	ìdàrúdàpọ̀
sinister	disgust	0.750	alaburuku
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	ibaje
decomposition	disgust	0.750	jijera
abomination	disgust	0.742	irira
stinking	disgust	0.742	n run
bile	disgust	0.742	bile
demonic	disgust	0.742	èṣu
deranged	disgust	0.742	ti bajẹ
abhorrence	disgust	0.742	ikorira
soiled	disgust	0.742	ẹlẹgbin
mucus	disgust	0.742	ikun
septic	disgust	0.742	septic
sickening	disgust	0.742	aláìsàn
demon	disgust	0.742	ànjọ̀nú
cancer	disgust	0.734	akàn
obese	disgust	0.734	sanra
degeneracy	disgust	0.734	ibajẹ
despicable	disgust	0.734	ẹlẹgàn
atrocity	disgust	0.734	iwa ika
foul	disgust	0.734	ahon
sicken	disgust	0.734	aláìsàn
crucifixion	disgust	0.734	agbelebu
terrorism	disgust	0.734	ipanilaya
repulsion	disgust	0.727	ifarapa
morbidity	disgust	0.727	arun
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	kokoro arun
dirty	disgust	0.727	idọti
adultery	disgust	0.727	agbere
contamination	disgust	0.727	idoti
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbaric
vulgar	disgust	0.719	onibaje
entrails	disgust	0.719	awọn inu inu
disgust	disgust	0.719	ikorira
lewd	disgust	0.719	onifẹkufẹ
muck	disgust	0.719	muki
bowels	disgust	0.719	ifun
garbage	disgust	0.719	idoti
deterioration	disgust	0.719	ibajẹ
contagion	disgust	0.719	arun
vicious	disgust	0.719	buburu
disfigured	disgust	0.719	ti bajẹ
pungent	disgust	0.719	pungent
gross	disgust	0.719	gross
bloodshed	disgust	0.714	itajesile
gag	disgust	0.711	gag
pollute	disgust	0.711	idoti
nausea	disgust	0.711	ríru
tyrant	disgust	0.711	aladede
wretched	disgust	0.711	aburu
mortification	disgust	0.711	Mortification
violent	disgust	0.711	iwa-ipa
poisoned	disgust	0.711	oloro
nauseate	disgust	0.703	ríru
slimy	disgust	0.703	tẹẹrẹ
grope	disgust	0.703	kórè
slut	disgust	0.703	panṣaga
nasty	disgust	0.703	ẹgbin
disgusting	disgust	0.703	ìríra
depraved	disgust	0.703	ibajẹ
porn	disgust	0.703	onihoho
hateful	disgust	0.703	ikorira
vulgarity	disgust	0.703	ìwà àgbèrè
noxious	disgust	0.703	oloro
grime	disgust	0.703	ikorira
constipation	disgust	0.703	àìrígbẹyà
secretion	disgust	0.703	ikoko
poisoning	disgust	0.703	oloro
despotism	disgust	0.703	aibikita
measles	disgust	0.696	measles
contagious	disgust	0.695	tó leè ranni
obesity	disgust	0.695	isanraju
wart	disgust	0.695	ogun
hate	disgust	0.695	ikorira
hellish	disgust	0.695	apaadi
scum	disgust	0.695	itanjẹ
suicidal	disgust	0.695	suicidal
wretch	disgust	0.695	aburu
abuse	disgust	0.695	ilokulo
waste	disgust	0.695	egbin
intestinal	disgust	0.695	oporoku
heartworm	disgust	0.688	ikun okan
ooze	disgust	0.688	yọ
treason	disgust	0.688	iṣọtẹ
contaminated	disgust	0.688	ti doti
smut	disgust	0.688	smut
disease	disgust	0.688	aisan
rabid	disgust	0.688	aburu
deformed	disgust	0.680	dibajẹ
hell	disgust	0.680	apaadi
soulless	disgust	0.680	ti ko ni ẹmi
cholera	disgust	0.680	kolera
bestial	disgust	0.680	ẹranko
antichrist	disgust	0.680	Aṣodisi-Kristi
freakish	disgust	0.680	onijagidijagan
germ	disgust	0.680	kokoro
detest	disgust	0.680	ikorira
pollution	disgust	0.680	idoti
grimy	disgust	0.680	ibinu
abhorrent	disgust	0.680	irira
hatred	disgust	0.680	ikorira
abominate	disgust	0.680	irira
sickness	disgust	0.680	aisan
hideous	disgust	0.672	hideous
dictatorship	disgust	0.672	ijọba olominira
loathful	disgust	0.672	irira
greasy	disgust	0.672	ọra
dilapidated	disgust	0.672	dilapidated
inhuman	disgust	0.672	aiṣedeede
loathing	disgust	0.672	ikorira
obscene	disgust	0.672	alaimọkan
cess	disgust	0.670	cess
devil	disgust	0.664	bìlísì
deformity	disgust	0.664	idibajẹ
nauseous	disgust	0.664	ríru
deadly	disgust	0.664	oloro
swine	disgust	0.664	elede
discrimination	disgust	0.664	iyasoto
abominable	disgust	0.664	irira
masochism	disgust	0.664	masochism
heretic	disgust	0.664	eke
latrines	disgust	0.656	ìgbọnsẹ
corruption	disgust	0.656	ibaje
poisonous	disgust	0.656	oloro
horror	disgust	0.656	ẹru
nefarious	disgust	0.656	aburu
bacteria	disgust	0.656	kokoro arun
horrible	disgust	0.656	oburewa
trash	disgust	0.656	idọti
abortion	disgust	0.656	iṣẹyun
death	disgust	0.656	iku
prejudiced	disgust	0.656	ẹ̀tanú
poison	disgust	0.656	majele
oppression	disgust	0.656	irẹjẹ
goo	disgust	0.656	goo
victimized	disgust	0.656	olufaragba
mange	disgust	0.656	mange
sludge	disgust	0.648	sludge
trashy	disgust	0.648	idọti
vindictive	disgust	0.648	olugbẹsan
horrid	disgust	0.648	ibanuje
ugly	disgust	0.648	ilosiwaju
immoral	disgust	0.648	alaimoye
bitch	disgust	0.648	bishi
outhouse	disgust	0.648	ita gbangba
detestation	disgust	0.648	ikorira
horrifying	disgust	0.641	ẹru
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	aibikita
derogatory	disgust	0.641	àbùkù
slop	disgust	0.641	slop
malfeasance	disgust	0.641	aiṣedeede
spew	disgust	0.641	tutọ
pimple	disgust	0.641	pimple
criminality	disgust	0.641	odaran
indecency	disgust	0.641	aiṣedeede
cystic	disgust	0.641	cystic
villainous	disgust	0.641	buburu
queasy	disgust	0.633	queasy
mildew	disgust	0.633	imuwodu
oppressive	disgust	0.633	aninilara
prostitution	disgust	0.633	panṣaga
secrete	disgust	0.633	asiri
ulcer	disgust	0.633	ọgbẹ
rat	disgust	0.633	eku
bigoted	disgust	0.633	nlanla
perpetrator	disgust	0.633	ẹlẹṣẹ
doomsday	disgust	0.633	ojo idajo
sinful	disgust	0.633	elese
degrading	disgust	0.625	abuku
ghastly	disgust	0.625	ẹgan
suffering	disgust	0.625	ijiya
obscenity	disgust	0.625	àgbèrè
devilish	disgust	0.625	esu
disgraceful	disgust	0.625	itiju
persecution	disgust	0.625	inunibini
contemptible	disgust	0.625	ẹgan
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	ìgbẹ́
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	ese
gluttony	disgust	0.625	alajẹun
bloated	disgust	0.625	bloated
fungus	disgust	0.625	fungus
aghast	disgust	0.625	ijafafa
diaper	disgust	0.617	iledìí
malicious	disgust	0.617	irira
polygamy	disgust	0.617	ilobirin pupọ
dying	disgust	0.617	nku
termite	disgust	0.617	ìpele
fat	disgust	0.617	sanra
deceit	disgust	0.617	etan
atrocious	disgust	0.617	atrocious
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	Bàjẹ
crusty	disgust	0.617	erunrun
sickly	disgust	0.617	aláìsàn
louse	disgust	0.617	egbin
strangle	disgust	0.617	strangle
betrayal	disgust	0.617	betrayal
loathe	disgust	0.617	korira
wench	disgust	0.617	wench
infect	disgust	0.617	akoran
violently	disgust	0.609	ni agbara
brothel	disgust	0.609	panṣaga
drool	disgust	0.609	silẹ
bleeding	disgust	0.609	ẹjẹ
deform	disgust	0.609	dibajẹ
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	oloro
abhor	disgust	0.609	korira
slander	disgust	0.609	egan
hostile	disgust	0.609	ṣodi si
musty	disgust	0.602	musty
illicit	disgust	0.602	arufin
ugliness	disgust	0.602	ilosiwaju
unwashed	disgust	0.602	aifofo
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	aini
poaching	disgust	0.602	ọdẹ
hag	disgust	0.602	hag
infidel	disgust	0.602	alaigbagbọ
imprisonment	disgust	0.602	ewon
traitor	disgust	0.602	ẹlẹtan
lunacy	disgust	0.602	were
queasiness	disgust	0.594	aibalẹ
hostility	disgust	0.594	igbogunti
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	mu yó
thug	disgust	0.594	onijagidijagan
catastrophe	disgust	0.594	ajalu
lunatic	disgust	0.594	aṣiwere
misery	disgust	0.594	ìbànújẹ́
venom	disgust	0.594	majele
butcher	disgust	0.594	alapata
toilet	disgust	0.594	igbonse
blister	disgust	0.594	roro
lurid	disgust	0.594	lurid
slug	disgust	0.594	onilọra
gut	disgust	0.594	ikun
sinner	disgust	0.594	elese
deceitful	disgust	0.594	ẹlẹtan
epidemic	disgust	0.594	àjàkálẹ̀ àrùn
deteriorated	disgust	0.586	ti bajẹ
lavatory	disgust	0.586	ile-iwẹwẹ
unclean	disgust	0.586	alaimọ́
prostitute	disgust	0.586	aṣẹwó
incubus	disgust	0.586	incubus
appalling	disgust	0.586	yanilenu
dreadful	disgust	0.586	ẹru
pornography	disgust	0.586	aworan iwokuwo
harass	disgust	0.586	wahala
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	itusilẹ
unfaithful	disgust	0.578	aláìṣòótọ́
offensive	disgust	0.578	ibinu
hypocrite	disgust	0.578	agabagebe
humiliating	disgust	0.578	itiju mọlẹ
larceny	disgust	0.578	larceny
ruinous	disgust	0.578	apanirun
retard	disgust	0.578	idaduro
rash	disgust	0.578	sisu
flea	disgust	0.578	eegbọn
debauchery	disgust	0.578	iwa ibaje
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	ìpayà
conspirator	disgust	0.578	rikisi
sick	disgust	0.578	aisan
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	aja aja
egregious	disgust	0.570	nla
flog	disgust	0.570	pàṣán
despise	disgust	0.570	kẹgàn
treacherous	disgust	0.570	arekereke
oppress	disgust	0.570	inilara
swamp	disgust	0.570	swamp
messy	disgust	0.570	idoti
spit	disgust	0.570	tutọ
dank	disgust	0.570	ṣoki
bastard	disgust	0.570	Ọmọ ale
devastating	disgust	0.570	apanirun
serpent	disgust	0.570	ejo
loo	disgust	0.562	loo
indecent	disgust	0.562	aiṣedeede
insanity	disgust	0.562	were
stealing	disgust	0.562	ole jija
terrible	disgust	0.562	ẹru
tyrannical	disgust	0.562	apanilaya
humiliation	disgust	0.562	idojutini
snake	disgust	0.562	ejo
sloppy	disgust	0.562	onilọra
sinning	disgust	0.562	ese
harmful	disgust	0.562	ipalara
harlot	disgust	0.562	aṣẹwó
sordid	disgust	0.562	sordid
enemy	disgust	0.562	ọtá
alcoholism	disgust	0.562	ọti-lile
awful	disgust	0.562	buruju
ruthless	disgust	0.562	aláìláàánú
scoundrel	disgust	0.562	onirekọja
bloody	disgust	0.555	itajesile
flabby	disgust	0.555	flabby
odious	disgust	0.555	irira
beastly	disgust	0.555	ẹranko
collusion	disgust	0.555	ijumọsọrọpọ
ridicule	disgust	0.555	ẹgan
discriminating	disgust	0.555	iyasoto
unattractive	disgust	0.555	ti ko wuni
insufferable	disgust	0.555	alailegbe
segregate	disgust	0.555	ya sọtọ
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	idẹruba
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	apaniyan
distaste	disgust	0.555	ikorira
coward	disgust	0.555	ojo
robbery	disgust	0.555	ole jija
wickedness	disgust	0.555	iwa buburu
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	malevolent
sty	disgust	0.547	sty
pillage	disgust	0.547	ikogun
thief	disgust	0.547	ole
suffocating	disgust	0.547	imunibinu
condemnation	disgust	0.547	ìdálẹ́bi
deleterious	disgust	0.547	deleterious
slur	disgust	0.547	slur
purgatory	disgust	0.547	pọgatori
attacking	disgust	0.547	ikọlu
burglar	disgust	0.547	onijagidijagan
ogre	disgust	0.547	agba
coercion	disgust	0.547	ifipabanilopo
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	ibanuje
bitterly	disgust	0.547	kikoro
sneer	disgust	0.539	ẹlẹgàn
greedy	disgust	0.539	olojukokoro
gob	disgust	0.539	gob
repellant	disgust	0.539	apanirun
jealous	disgust	0.539	jowú
drunken	disgust	0.539	ọmuti
shame	disgust	0.539	itiju
thrash	disgust	0.539	paṣan
fatty	disgust	0.539	sanra
liar	disgust	0.539	eke
