English Word	Emotion	Emotion-Intensity-Score	Swedish Word
nauseate	disgust	0.703	äckla
slimy	disgust	0.703	slemmig
grope	disgust	0.703	famla
slut	disgust	0.703	slampa
nasty	disgust	0.703	otäck
disgusting	disgust	0.703	äcklig
depraved	disgust	0.703	depraverad
porn	disgust	0.703	porr
hateful	disgust	0.703	förhatlig
vulgarity	disgust	0.703	vulgaritet
noxious	disgust	0.703	skadlig
grime	disgust	0.703	smuts
constipation	disgust	0.703	förstoppning
secretion	disgust	0.703	utsöndring
poisoning	disgust	0.703	förgiftning
despotism	disgust	0.703	despotism
measles	disgust	0.696	mässling
contagious	disgust	0.695	smittosam
obesity	disgust	0.695	fetma
wart	disgust	0.695	vårta
hate	disgust	0.695	hata
hellish	disgust	0.695	helvetisk
scum	disgust	0.695	avskum
suicidal	disgust	0.695	självmordsbenägen
wretch	disgust	0.695	usling
abuse	disgust	0.695	missbruk
waste	disgust	0.695	avfall
intestinal	disgust	0.695	tarm-
heartworm	disgust	0.688	hjärtmask
ooze	disgust	0.688	sippra
treason	disgust	0.688	förräderi
contaminated	disgust	0.688	förorenade
smut	disgust	0.688	smuts
disease	disgust	0.688	sjukdom
rabid	disgust	0.688	fanatisk
deformed	disgust	0.680	deformerad
hell	disgust	0.680	Helvete
soulless	disgust	0.680	själlös
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestialisk
antichrist	disgust	0.680	antikrist
freakish	disgust	0.680	underlig
germ	disgust	0.680	bakterie
detest	disgust	0.680	avsky
pollution	disgust	0.680	förorening
grimy	disgust	0.680	smutsig
abhorrent	disgust	0.680	motbjudande
hatred	disgust	0.680	hat
abominate	disgust	0.680	hata
sickness	disgust	0.680	sjukdom
hideous	disgust	0.672	otäck
dictatorship	disgust	0.672	diktatur
loathful	disgust	0.672	avskyvärda
greasy	disgust	0.672	oljig
dilapidated	disgust	0.672	förfallen
inhuman	disgust	0.672	omänsklig
loathing	disgust	0.672	avsky
obscene	disgust	0.672	obscen
cess	disgust	0.670	cess
devil	disgust	0.664	jäkel
deformity	disgust	0.664	deformitet
nauseous	disgust	0.664	äcklig
deadly	disgust	0.664	dödligt
swine	disgust	0.664	svin
discrimination	disgust	0.664	diskriminering
abominable	disgust	0.664	avskyvärd
masochism	disgust	0.664	masochism
heretic	disgust	0.664	kättare
latrines	disgust	0.656	latriner
corruption	disgust	0.656	korruption
poisonous	disgust	0.656	giftig
horror	disgust	0.656	Skräck
nefarious	disgust	0.656	skändlig
bacteria	disgust	0.656	bakterie
horrible	disgust	0.656	fruktansvärd
trash	disgust	0.656	skräp
abortion	disgust	0.656	abort
death	disgust	0.656	död
prejudiced	disgust	0.656	fördomsfull
poison	disgust	0.656	förgifta
oppression	disgust	0.656	förtryck
goo	disgust	0.656	gegga
victimized	disgust	0.656	offer
mange	disgust	0.656	skabb
sludge	disgust	0.648	slam
trashy	disgust	0.648	trasigt
vindictive	disgust	0.648	hämndlysten
horrid	disgust	0.648	otäck
ugly	disgust	0.648	ful
immoral	disgust	0.648	omoralisk
bitch	disgust	0.648	tik
outhouse	disgust	0.648	uthus
detestation	disgust	0.648	avsky
horrifying	disgust	0.641	skräckinjagande
laxative	disgust	0.641	laxativ
unsightly	disgust	0.641	ful
derogatory	disgust	0.641	nedsättande
slop	disgust	0.641	slask
malfeasance	disgust	0.641	ämbetsbrott
spew	disgust	0.641	spy
pimple	disgust	0.641	finne
criminality	disgust	0.641	brottslighet
indecency	disgust	0.641	oanständighet
cystic	disgust	0.641	cystisk
villainous	disgust	0.641	skurkaktig
queasy	disgust	0.633	obehaglig
mildew	disgust	0.633	mögel
oppressive	disgust	0.633	förtryckande
prostitution	disgust	0.633	prostitution
secrete	disgust	0.633	utsöndra
ulcer	disgust	0.633	ulcus
rat	disgust	0.633	råtta
bigoted	disgust	0.633	bigott
perpetrator	disgust	0.633	förövare
doomsday	disgust	0.633	domedag
sinful	disgust	0.633	syndig
degrading	disgust	0.625	förnedrande
ghastly	disgust	0.625	hemskt
suffering	disgust	0.625	lidande
obscenity	disgust	0.625	obscenitet
devilish	disgust	0.625	djävulsk
disgraceful	disgust	0.625	vanhedrande
persecution	disgust	0.625	förföljelse
contemptible	disgust	0.625	föraktlig
cuckold	disgust	0.625	hanrej
stools	disgust	0.625	avföring
dastardly	disgust	0.625	usel
sin	disgust	0.625	synd
gluttony	disgust	0.625	frosseri
bloated	disgust	0.625	uppsvälld
fungus	disgust	0.625	svamp
aghast	disgust	0.625	bestört
diaper	disgust	0.617	blöja
malicious	disgust	0.617	illvillig
polygamy	disgust	0.617	månggifte
dying	disgust	0.617	döende
termite	disgust	0.617	termit
fat	disgust	0.617	fett
deceit	disgust	0.617	svek
atrocious	disgust	0.617	grymt
guillotine	disgust	0.617	giljotin
tetanus	disgust	0.617	stelkramp
spoil	disgust	0.617	skämma bort
crusty	disgust	0.617	vresig
sickly	disgust	0.617	sjuklig
louse	disgust	0.617	lus
strangle	disgust	0.617	strypa
betrayal	disgust	0.617	svek
loathe	disgust	0.617	avsky
wench	disgust	0.617	jänta
infect	disgust	0.617	infektera
violently	disgust	0.609	våldsamt
brothel	disgust	0.609	bordell
drool	disgust	0.609	dregla
bleeding	disgust	0.609	blödning
deform	disgust	0.609	deformera
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	giftig
abhor	disgust	0.609	avsky
slander	disgust	0.609	förtal
hostile	disgust	0.609	fientlig
musty	disgust	0.602	unken
illicit	disgust	0.602	olaglig
ugliness	disgust	0.602	fulhet
unwashed	disgust	0.602	otvättad
swampy	disgust	0.602	sumpig
deprivation	disgust	0.602	berövande
poaching	disgust	0.602	tjuvjakt
hag	disgust	0.602	hagga
infidel	disgust	0.602	otrogen
imprisonment	disgust	0.602	fängelse
traitor	disgust	0.602	förrädare
lunacy	disgust	0.602	vansinne
queasiness	disgust	0.594	kväljningar
hostility	disgust	0.594	fientlighet
repelling	disgust	0.594	avvisande
intoxicated	disgust	0.594	berusade
thug	disgust	0.594	gangster
catastrophe	disgust	0.594	katastrof
lunatic	disgust	0.594	galning
misery	disgust	0.594	elände
venom	disgust	0.594	gift
butcher	disgust	0.594	slaktare
toilet	disgust	0.594	toalett
blister	disgust	0.594	blåsa
lurid	disgust	0.594	spöklik
slug	disgust	0.594	snigel
gut	disgust	0.594	mage
sinner	disgust	0.594	syndare
deceitful	disgust	0.594	bedräglig
epidemic	disgust	0.594	epidemi
deteriorated	disgust	0.586	försämrats
lavatory	disgust	0.586	toalett
unclean	disgust	0.586	oren
prostitute	disgust	0.586	prostituerad
incubus	disgust	0.586	mara
appalling	disgust	0.586	skrämmande
dreadful	disgust	0.586	hemsk
pornography	disgust	0.586	pornografi
harass	disgust	0.586	plåga
squeamish	disgust	0.578	kinkig
expulsion	disgust	0.578	uteslutning
unfaithful	disgust	0.578	otrogen
offensive	disgust	0.578	offensiv
hypocrite	disgust	0.578	hycklare
humiliating	disgust	0.578	förnedrande
larceny	disgust	0.578	stöld
ruinous	disgust	0.578	ödeläggande
retard	disgust	0.578	hämma
rash	disgust	0.578	utslag
flea	disgust	0.578	loppa
debauchery	disgust	0.578	utsvävningar
fiend	disgust	0.578	djävul
quagmire	disgust	0.578	gungfly
conspirator	disgust	0.578	konspiratör
sick	disgust	0.578	sjuk
mangle	disgust	0.578	mangel
dogsick	disgust	0.570	hundsjuk
egregious	disgust	0.570	oerhörd
flog	disgust	0.570	prygla
despise	disgust	0.570	förakta
treacherous	disgust	0.570	förrädisk
oppress	disgust	0.570	förtrycka
swamp	disgust	0.570	träsk
messy	disgust	0.570	rörig
spit	disgust	0.570	spotta
dank	disgust	0.570	fuktig
bastard	disgust	0.570	bastard
devastating	disgust	0.570	förödande
serpent	disgust	0.570	orm
loo	disgust	0.562	toa
indecent	disgust	0.562	oanständig
insanity	disgust	0.562	vansinne
stealing	disgust	0.562	stjäla
terrible	disgust	0.562	fruktansvärd
tyrannical	disgust	0.562	tyrannisk
humiliation	disgust	0.562	förnedring
snake	disgust	0.562	orm
sloppy	disgust	0.562	slarvig
sinning	disgust	0.562	synda
harmful	disgust	0.562	skadlig
harlot	disgust	0.562	sköka
sordid	disgust	0.562	smutsig
enemy	disgust	0.562	fiende
alcoholism	disgust	0.562	alkoholism
awful	disgust	0.562	förfärlig
ruthless	disgust	0.562	hänsynslös
scoundrel	disgust	0.562	skurk
bloody	disgust	0.555	blodig
flabby	disgust	0.555	slapp
odious	disgust	0.555	motbjudande
beastly	disgust	0.555	djurisk
collusion	disgust	0.555	maskopi
ridicule	disgust	0.555	förlöjliga
discriminating	disgust	0.555	särskiljande
unattractive	disgust	0.555	oattraktiv
insufferable	disgust	0.555	olidlig
segregate	disgust	0.555	segregera
arsenic	disgust	0.555	arsenik
threatening	disgust	0.555	hotfull
atrophy	disgust	0.555	atrofi
varicella	disgust	0.555	vattkoppor
slayer	disgust	0.555	baneman
distaste	disgust	0.555	avsmak
coward	disgust	0.555	feg
robbery	disgust	0.555	rån
wickedness	disgust	0.555	ondska
anathema	disgust	0.547	förbannelse
malevolent	disgust	0.547	illvillig
sty	disgust	0.547	vagel
pillage	disgust	0.547	plundring
thief	disgust	0.547	tjuv
suffocating	disgust	0.547	kvävande
condemnation	disgust	0.547	fördömelse
deleterious	disgust	0.547	skadlig
slur	disgust	0.547	slurring
purgatory	disgust	0.547	skärseld
attacking	disgust	0.547	attackera
burglar	disgust	0.547	rånare
ogre	disgust	0.547	troll
coercion	disgust	0.547	tvång
vesicular	disgust	0.547	vesikulär
miserable	disgust	0.547	eländig
bitterly	disgust	0.547	bittert
sneer	disgust	0.539	håna
greedy	disgust	0.539	girig
gob	disgust	0.539	gob
repellant	disgust	0.539	repellerande medel
jealous	disgust	0.539	svartsjuk
drunken	disgust	0.539	berusad
shame	disgust	0.539	skam
thrash	disgust	0.539	tröska
fatty	disgust	0.539	fet
liar	disgust	0.539	lögnare
imprisoned	disgust	0.539	fången
sloth	disgust	0.539	lättja
repudiation	disgust	0.539	förkastande
disgrace	disgust	0.539	skam
infidelity	disgust	0.539	otrohet
pig	disgust	0.539	gris
lethal	disgust	0.536	dödlig
burnt	disgust	0.531	bränt
brawl	disgust	0.531	bråk
withered	disgust	0.531	vissnat
blemish	disgust	0.531	fläck
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	avvikelse
smuggler	disgust	0.531	smugglare
painful	disgust	0.531	smärtsam
condescension	disgust	0.531	nedlåtenhet
intolerant	disgust	0.531	intolerant
blasphemous	disgust	0.531	hädisk
lying	disgust	0.531	liggande
hanging	disgust	0.531	hängande
travesty	disgust	0.531	travesti
ruined	disgust	0.531	förstörd
intrusive	disgust	0.531	påträngande
disintegrate	disgust	0.531	desintegrera
destructive	disgust	0.531	destruktiv
neurotic	disgust	0.531	neurotisk
disparaging	disgust	0.523	nedsättande
blighted	disgust	0.523	fördärvad
intolerance	disgust	0.523	intolerans
mistress	disgust	0.523	husmor
avarice	disgust	0.523	girighet
disgraced	disgust	0.523	vanärat
derogation	disgust	0.523	undantag
rubbish	disgust	0.523	skräp
accusation	disgust	0.523	anklagelse
incarceration	disgust	0.523	fängslande
tortious	disgust	0.516	skadeståndsgrundande
dishonor	disgust	0.516	vanära
stink	disgust	0.516	stank
grim	disgust	0.516	dyster
rob	disgust	0.516	råna
defraud	disgust	0.516	bedra
sump	disgust	0.516	sump
cringe	disgust	0.516	pinsamt
vulture	disgust	0.516	gam
deplorable	disgust	0.516	beklaglig
mite	disgust	0.516	kvalster
eradication	disgust	0.516	utrotning
degrade	disgust	0.516	degradera
gutter	disgust	0.516	ränna
convict	disgust	0.516	fånge
remains	disgust	0.516	resterna
betray	disgust	0.516	förråda
daemon	disgust	0.516	demon
sham	disgust	0.509	bluff
distasteful	disgust	0.508	motbjudande
prisoner	disgust	0.508	fånge
dreadfully	disgust	0.508	fruktansvärt
worthless	disgust	0.508	värdelös
crude	disgust	0.508	rå
delirium	disgust	0.508	delirium
incurable	disgust	0.508	obotlig
smelling	disgust	0.508	luktar
idiocy	disgust	0.508	idioti
resentment	disgust	0.508	förbittring
bombed	disgust	0.508	bombade
blob	disgust	0.508	klick
cheat	disgust	0.508	fuska
schizophrenia	disgust	0.508	schizofreni
rejection	disgust	0.508	avslag
belittle	disgust	0.508	förringa
glut	disgust	0.508	överflöd
disaster	disgust	0.508	katastrof
distress	disgust	0.508	ångest
pest	disgust	0.508	skadedjur
endemic	disgust	0.508	endemisk
theft	disgust	0.500	stöld
banish	disgust	0.500	förvisa
mire	disgust	0.500	myr
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	hån
dirt	disgust	0.500	smuts
screaming	disgust	0.500	skrikande
offense	disgust	0.500	anfall
jealousy	disgust	0.500	svartsjuka
bribery	disgust	0.500	bestickning
polemic	disgust	0.500	polemisk
blight	disgust	0.500	fördärv
impeach	disgust	0.500	anklaga
bitterness	disgust	0.500	bitterhet
taboo	disgust	0.500	tabu
duress	disgust	0.500	tvång
goblin	disgust	0.500	troll
shackle	disgust	0.500	schackel
idolatry	disgust	0.500	avgudadyrkan
greed	disgust	0.500	girighet
impurity	disgust	0.500	förorening
tirade	disgust	0.500	tirad
idiot	disgust	0.492	idiot
boil	disgust	0.492	koka upp
unconscionable	disgust	0.492	samvetslös
disreputable	disgust	0.492	vanhedrande
robber	disgust	0.492	rånare
malign	disgust	0.492	baktala
wreck	disgust	0.492	förstöra
recession	disgust	0.492	lågkonjunktur
gorge	disgust	0.492	klyfta
leer	disgust	0.492	leer
ill	disgust	0.492	sjuk
squirm	disgust	0.492	våndas
raging	disgust	0.484	rasande
servile	disgust	0.484	underdånig
mess	disgust	0.484	röra
nappy	disgust	0.484	blöja
possessed	disgust	0.484	besatt
unbearable	disgust	0.484	outhärdlig
occult	disgust	0.484	ockult
contraband	disgust	0.484	smuggelgods
snarl	disgust	0.484	morra
mutiny	disgust	0.484	myteri
mad	disgust	0.484	galen
affliction	disgust	0.484	lidande
stain	disgust	0.484	fläck
animosity	disgust	0.484	fientlighet
contempt	disgust	0.484	förakt
tramp	disgust	0.484	luffare
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	respektlös
defamation	disgust	0.484	ärekränkning
inexcusable	disgust	0.484	oursäktlig
aversation	disgust	0.484	aversion
wasteful	disgust	0.484	slösaktig
offender	disgust	0.484	lagbrytare
subjugation	disgust	0.484	underkastelse
illegality	disgust	0.477	olaglighet
dismal	disgust	0.477	dyster
criminal	disgust	0.477	kriminell
unpleasant	disgust	0.477	obehaglig
palsy	disgust	0.477	förlamning
antagonistic	disgust	0.477	antagonistisk
pathetic	disgust	0.477	patetisk
uncaring	disgust	0.477	vårdslös
suppression	disgust	0.477	undertryckande
immorality	disgust	0.477	omoral
mockery	disgust	0.477	hån
outrage	disgust	0.469	upprördhet
mocking	disgust	0.469	hånfull
wallow	disgust	0.469	vältra sig
cough	disgust	0.469	hosta
arrogant	disgust	0.469	arrogant
angry	disgust	0.469	arg
poverty	disgust	0.469	fattigdom
grating	disgust	0.469	galler
livid	disgust	0.469	askgrå
aggravation	disgust	0.469	förvärrande
repellent	disgust	0.469	frånstötande
perspiration	disgust	0.469	svett
banishment	disgust	0.469	förvisning
furious	disgust	0.469	rasande
shoddy	disgust	0.469	usel
banshee	disgust	0.469	banshee
deceive	disgust	0.461	lura
fool	disgust	0.461	lura
quack	disgust	0.461	kvacksalvare
distorted	disgust	0.461	förvrängd
spider	disgust	0.461	Spindel
unjustifiable	disgust	0.461	oförsvarligt
deplore	disgust	0.461	djupt beklaga
spurious	disgust	0.461	oäkta
perdition	disgust	0.461	fördärv
muddy	disgust	0.461	grumlig
fraudulent	disgust	0.461	bedräglig
scar	disgust	0.461	ärr
prick	disgust	0.461	sticka
insulting	disgust	0.461	förolämpande
plunder	disgust	0.461	plundra
recklessness	disgust	0.461	övermod
stigma	disgust	0.453	stigma
disparage	disgust	0.453	nedvärdera
unthinkable	disgust	0.453	otänkbar
disingenuous	disgust	0.453	oseriöst
bane	disgust	0.453	fördärv
dishonest	disgust	0.453	oärlig
aphid	disgust	0.453	bladlus
elimination	disgust	0.453	eliminering
cur	disgust	0.453	byracka
selfish	disgust	0.453	självisk
eschew	disgust	0.453	undvika
dire	disgust	0.453	förfärligt
indignation	disgust	0.453	indignation
antipathy	disgust	0.453	antipati
alienate	disgust	0.453	fjärma
mosquito	disgust	0.445	mygga
piles	disgust	0.445	högar
pious	disgust	0.445	from
lie	disgust	0.445	lögn
opium	disgust	0.445	opium
smell	disgust	0.445	lukt
iniquity	disgust	0.445	orättfärdighet
caries	disgust	0.445	karies
despair	disgust	0.445	förtvivlan
recalcitrant	disgust	0.445	motsträvig
egotistical	disgust	0.445	egoistisk
wasted	disgust	0.445	förlorad
vacuous	disgust	0.445	vakuum
bankruptcy	disgust	0.445	konkurs
garish	disgust	0.445	skrikig
obnoxious	disgust	0.438	motbjudande
ashamed	disgust	0.438	skamsen
abject	disgust	0.438	absurt
sticky	disgust	0.438	klibbig
scream	disgust	0.438	skrika
hopelessness	disgust	0.438	hopplöshet
homeless	disgust	0.438	hemlös
shun	disgust	0.438	sky
inmate	disgust	0.438	intagen
alien	disgust	0.438	utomjording
hog	disgust	0.438	gris
aversion	disgust	0.438	motvilja
abnormal	disgust	0.438	onormal
cursing	disgust	0.430	förbannelse
undesirable	disgust	0.430	oönskad
denounce	disgust	0.430	fördöma
witch	disgust	0.430	häxa
creature	disgust	0.430	varelse
lusty	disgust	0.430	frisk
illegal	disgust	0.430	olaglig
debris	disgust	0.430	skräp
callous	disgust	0.430	okänslig
reflux	disgust	0.430	återflöde
adverse	disgust	0.430	ogynnsam
shameless	disgust	0.430	skamlös
separatist	disgust	0.430	separatist
trickery	disgust	0.430	knep
falsity	disgust	0.430	falskhet
pall	disgust	0.430	bårtäcke
defiance	disgust	0.430	trots
incredulous	disgust	0.430	skeptisk
curse	disgust	0.430	förbanna
pompous	disgust	0.422	pompös
socialist	disgust	0.422	socialistisk
mistrust	disgust	0.422	misstro
infantile	disgust	0.422	infantil
wasting	disgust	0.422	slöseri
hairy	disgust	0.422	hårig
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	uppsägning
collapse	disgust	0.422	kollaps
untidy	disgust	0.422	ovårdad
ferocious	disgust	0.422	våldsam
ammonia	disgust	0.422	ammoniak
carelessness	disgust	0.422	slarv
impure	disgust	0.422	oren
contentious	disgust	0.422	omtvistad
bum	disgust	0.422	luffare
affront	disgust	0.422	skymf
offend	disgust	0.422	förolämpa
tarnish	disgust	0.422	missfärgning
idiotic	disgust	0.422	idiotisk
badness	disgust	0.422	dålighet
delinquent	disgust	0.422	brottsling
swarm	disgust	0.422	svärm
hypertrophy	disgust	0.422	hypertrofi
gush	disgust	0.422	välla
tasteless	disgust	0.422	smaklös
bovine	disgust	0.422	nötkreatur
slush	disgust	0.422	slask
litigious	disgust	0.414	stridslysten
dishonesty	disgust	0.414	oärlighet
vegetative	disgust	0.414	vegetativ
unfavorable	disgust	0.414	ogynnsam
displacency	disgust	0.414	förskjutning
illegitimate	disgust	0.414	illegitim
sour	disgust	0.414	sur
socialism	disgust	0.414	socialism
disobey	disgust	0.414	inte lyda
drivel	disgust	0.414	dravel
vampire	disgust	0.414	vampyr
neglected	disgust	0.414	försummad
murky	disgust	0.414	mulen
ignorant	disgust	0.406	okunnig
disgruntled	disgust	0.406	missnöjd
discontinuity	disgust	0.406	avbrott
dislike	disgust	0.406	motvilja
unlawful	disgust	0.406	olaglig
wrongdoing	disgust	0.406	förseelse
shoplifting	disgust	0.406	snatteri
recidivism	disgust	0.406	återfall i brott
outcast	disgust	0.406	utstött
bogus	disgust	0.406	falsk
displeasure	disgust	0.406	missnöje
repel	disgust	0.406	slå tillbaka
falsify	disgust	0.406	förfalska
ungrateful	disgust	0.406	otacksam
unkind	disgust	0.406	ovänlig
phony	disgust	0.406	falska
prosecution	disgust	0.406	åtal
woe	disgust	0.398	ve
averse	disgust	0.398	motvillig
loon	disgust	0.398	lom
worsening	disgust	0.398	förvärras
paucity	disgust	0.398	brist
unnatural	disgust	0.398	onaturlig
amphetamines	disgust	0.398	amfetamin
senseless	disgust	0.398	meningslös
rigor	disgust	0.398	stränghet
subvert	disgust	0.398	omstörta
failure	disgust	0.398	fel
lick	disgust	0.398	slicka
unruly	disgust	0.398	ostyrig
woefully	disgust	0.398	bedrövligt
stingy	disgust	0.398	snål
crushing	disgust	0.398	förkrossande
disdain	disgust	0.398	förakt
insult	disgust	0.393	förolämpning
averseness	disgust	0.391	avoghet
disrelish	disgust	0.391	disrelish
punished	disgust	0.391	straffad
critter	disgust	0.391	smådjur
damage	disgust	0.391	skada
scorpion	disgust	0.391	skorpion
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muff
farcical	disgust	0.391	farsartad
antisocial	disgust	0.391	asocial
hardened	disgust	0.391	härdad
punishment	disgust	0.391	bestraffning
bad	disgust	0.391	dålig
expel	disgust	0.391	utvisa
surly	disgust	0.383	buttre
lament	disgust	0.383	beklaga
illiterate	disgust	0.383	analfabet
divorce	disgust	0.383	äktenskapsskillnad
teeming	disgust	0.383	myllrande
plagiarism	disgust	0.383	plagiat
eviction	disgust	0.383	vräkning
orc	disgust	0.383	orc
disappoint	disgust	0.383	svika
shabby	disgust	0.383	sjaskig
presumptuous	disgust	0.383	förmäten
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	disharmoni
guilt	disgust	0.383	skuld
fugitive	disgust	0.383	flykting
irrational	disgust	0.383	irrationell
adder	disgust	0.383	huggorm
fulsome	disgust	0.383	fylligt
sacrifices	disgust	0.383	uppoffringar
hypocritical	disgust	0.383	hycklande
shock	disgust	0.375	chock
alienation	disgust	0.375	alienation
scoff	disgust	0.375	håna
plight	disgust	0.375	svår situation
irritation	disgust	0.375	irritation
unworthy	disgust	0.375	ovärdig
misconduct	disgust	0.375	tjänstefel
defective	disgust	0.375	defekta
blame	disgust	0.375	skylla
depressing	disgust	0.375	deprimerande
dislocated	disgust	0.375	ur led
irritating	disgust	0.375	irriterande
vainly	disgust	0.367	förgäves
toad	disgust	0.367	padda
powerless	disgust	0.367	maktlös
coerce	disgust	0.367	tvinga
shuddering	disgust	0.367	ryser
stripped	disgust	0.367	avskalad
revoke	disgust	0.367	återkalla
wimpy	disgust	0.367	pigg
unhealthy	disgust	0.367	ohälsosam
exclusion	disgust	0.367	uteslutning
disillusionment	disgust	0.367	desillusion
blatant	disgust	0.367	flagrant
hurtful	disgust	0.367	sårande
hoax	disgust	0.367	bluff
wimp	disgust	0.367	mes
cad	disgust	0.367	cad
pitfall	disgust	0.367	fälla
squelch	disgust	0.367	krossa
deserted	disgust	0.359	folktom
damn	disgust	0.359	attans
incompatible	disgust	0.359	oförenlig
dispose	disgust	0.359	kassera
oddity	disgust	0.359	underlighet
rebellion	disgust	0.359	uppror
ineptitude	disgust	0.359	inkompetens
bug	disgust	0.359	insekt
disobedience	disgust	0.359	olydnad
inept	disgust	0.352	olämplig
litigate	disgust	0.352	processa
dismissal	disgust	0.352	uppsägning
cutting	disgust	0.352	skärande
untoward	disgust	0.352	olämplig
displeased	disgust	0.352	missnöjd
censor	disgust	0.352	censurera
ridiculous	disgust	0.352	löjlig
compost	disgust	0.352	kompost
frustrate	disgust	0.352	omintetgöra
misbehavior	disgust	0.352	dåligt uppförande
lawyer	disgust	0.352	advokat
crushed	disgust	0.352	krossad
flesh	disgust	0.352	kött
uncertain	disgust	0.352	osäker
obi	disgust	0.352	obi
flinch	disgust	0.352	rygga tillbaka
fierce	disgust	0.352	våldsam
wrongful	disgust	0.352	felaktigt
depreciate	disgust	0.344	minska i värde
disapprove	disgust	0.344	ogilla
tearful	disgust	0.344	tårfylld
grumble	disgust	0.336	klaga
unsettled	disgust	0.336	orolig
annoy	disgust	0.336	irritera
exigent	disgust	0.336	krävande
heartsick	disgust	0.336	hjärtsjuka
lawsuit	disgust	0.336	rättegång
discoloration	disgust	0.336	missfärgning
lumpy	disgust	0.336	klimpig
daft	disgust	0.336	dum
blunder	disgust	0.336	blunder
discontent	disgust	0.336	missnöje
bickering	disgust	0.336	gnabb
thoughtless	disgust	0.336	tanklös
disliked	disgust	0.336	ogillade
disinclination	disgust	0.336	obenägenhet
distrust	disgust	0.336	misstro
disallowed	disgust	0.336	otillåten
instability	disgust	0.328	instabilitet
hydrophobia	disgust	0.328	hydrofobi
whine	disgust	0.328	gnälla
inhibit	disgust	0.328	hämma
excluded	disgust	0.328	utesluten
provoking	disgust	0.328	provocerande
grievance	disgust	0.328	klagomål
unmanageable	disgust	0.328	ohanterlig
sly	disgust	0.328	slug
exasperation	disgust	0.328	förbittring
cacophony	disgust	0.328	kakofoni
unsatisfactory	disgust	0.328	otillfredsställande
disappointed	disgust	0.328	besviken
materialist	disgust	0.328	materialist
misleading	disgust	0.321	vilseledande
mishap	disgust	0.320	missöde
soot	disgust	0.320	sot
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	friskrivning
annoyance	disgust	0.320	irritation
disapproving	disgust	0.320	ogillar
disservice	disgust	0.320	otjänst
reproach	disgust	0.320	förebrå
confined	disgust	0.320	instängd
unequal	disgust	0.320	olika
rags	disgust	0.320	trasor
groan	disgust	0.320	stön
soil	disgust	0.312	jord
inappropriate	disgust	0.312	olämplig
criticize	disgust	0.312	klandra
disincline	disgust	0.312	oinställd
theism	disgust	0.312	teism
depreciated	disgust	0.312	avskrivna
inconsiderate	disgust	0.312	hänsynslöst
overpriced	disgust	0.312	för dyrt
stomach	disgust	0.312	mage
burke	disgust	0.312	burke
sneeze	disgust	0.312	nysa
gall	disgust	0.305	galla
bang	disgust	0.305	smäll
inadmissible	disgust	0.305	otillåtet
unfriendly	disgust	0.305	ovänlig
unaccountable	disgust	0.305	oansvarig
disparity	disgust	0.305	skillnad
latent	disgust	0.305	latent
disliking	disgust	0.305	ogillar
shack	disgust	0.305	hydda
grumpy	disgust	0.305	vresig
coop	disgust	0.304	coop
disappointment	disgust	0.297	besvikelse
scold	disgust	0.297	skälla
delay	disgust	0.297	dröjsmål
congress	disgust	0.297	kongressen
growling	disgust	0.297	morrande
backwards	disgust	0.297	bakåt
soreness	disgust	0.297	ömhet
disregarded	disgust	0.297	bortses från
rogue	disgust	0.297	skurk
lonely	disgust	0.297	ensam
notoriety	disgust	0.289	ökändhet
catechism	disgust	0.289	katekes
flop	disgust	0.289	flop
infamous	disgust	0.289	ökänd
janitor	disgust	0.289	vaktmästare
nettle	disgust	0.289	nässla
saturated	disgust	0.281	mättad
prohibited	disgust	0.281	förbjuden
gaby	disgust	0.281	gaby
wince	disgust	0.281	rygga tillbaka
desist	disgust	0.281	avstå
unfair	disgust	0.281	orättvis
aftermath	disgust	0.281	verkningarna
remiss	disgust	0.281	försumlig
tribunal	disgust	0.273	domstol
discolored	disgust	0.273	missfärgad
wrangling	disgust	0.273	gräl
uneasy	disgust	0.273	illa till mods
huff	disgust	0.273	huff
weird	disgust	0.266	konstig
impolite	disgust	0.266	oartig
swig	disgust	0.266	slurk
crawl	disgust	0.266	krypa
unsatisfied	disgust	0.266	otillfredsställd
inefficiency	disgust	0.266	ineffektivitet
frantic	disgust	0.266	utom sig
bureaucrat	disgust	0.266	byråkrat
politic	disgust	0.266	klok
coldness	disgust	0.266	kyla
gruff	disgust	0.258	barsk
octopus	disgust	0.258	bläckfisk
chagrin	disgust	0.258	förtret
barrow	disgust	0.258	kärra
copycat	disgust	0.258	härmapa
incase	disgust	0.258	om
rascal	disgust	0.258	skojare
sarcasm	disgust	0.258	sarkasm
instinctive	disgust	0.258	instinktiv
misconception	disgust	0.250	missuppfattning
disinclined	disgust	0.250	ovillig
john	disgust	0.250	john
hulk	disgust	0.250	holk
baboon	disgust	0.250	babian
