English Word	Emotion	Emotion-Intensity-Score	Hmong Word
slavery	disgust	0.812	kev ua qhev
sewer	disgust	0.812	dej phwj
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	kev tua neeg
dismemberment	disgust	0.812	kev puas tsuaj
vomit	disgust	0.812	ntuav
perverse	disgust	0.805	tsis ncaj ncees lawm
repulsive	disgust	0.805	xav tsis thoob
hemorrhage	disgust	0.805	hemorrhage
sewage	disgust	0.797	dej phwj
filthy	disgust	0.797	qias neeg
diseased	disgust	0.797	mob
depravity	disgust	0.797	kev ua phem
carcass	disgust	0.795	cev nqaij daim tawv
decompose	disgust	0.789	decompose
gruesome	disgust	0.789	txaus ntshai
mutilated	disgust	0.789	ua tsis taus pa
puke	disgust	0.789	puv
herpes	disgust	0.789	kab mob herpes
decayed	disgust	0.789	lwj
dung	disgust	0.789	dung
vermin	disgust	0.789	vaj tse
murderous	disgust	0.789	tua neeg
parasite	disgust	0.789	kab mob
horrific	disgust	0.789	txaus ntshai
carnage	disgust	0.781	kev tua neeg
malaria	disgust	0.781	mob malaria
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	kab mob
crap	disgust	0.781	crap
monstrosity	disgust	0.781	kev tsis ncaj ncees
loathsome	disgust	0.773	mob siab
toxic	disgust	0.773	tshuaj lom
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	kab mob herpes
leprosy	disgust	0.773	mob ruas
insidious	disgust	0.773	insidious
cruel	disgust	0.766	siab phem
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	kab mob anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	kev ntxub ntxaug
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	kev ntxeev siab
whore	disgust	0.766	poj niam
dissection	disgust	0.759	kev txiav txim
mucous	disgust	0.758	mucous
canker	disgust	0.758	Canker
slum	disgust	0.758	lub tsev pheeb suab
infectious	disgust	0.758	kis tau
evil	disgust	0.758	phem
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	kev ua phem
perversion	disgust	0.758	kev ntxeev siab
sinister	disgust	0.750	siab phem
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	ua tsis ncaj
decomposition	disgust	0.750	decomposition
abomination	disgust	0.742	kev qias
stinking	disgust	0.742	qias neeg
bile	disgust	0.742	kua tsib
demonic	disgust	0.742	dab phem
deranged	disgust	0.742	ua tsis taus pa
abhorrence	disgust	0.742	kev ntxub ntxaug
soiled	disgust	0.742	ua qias neeg
mucus	disgust	0.742	qog
septic	disgust	0.742	septic
sickening	disgust	0.742	mob
demon	disgust	0.742	dab
cancer	disgust	0.734	mob qog noj ntshav
obese	disgust	0.734	rog
degeneracy	disgust	0.734	degeneracy
despicable	disgust	0.734	saib tsis taus
atrocity	disgust	0.734	kev ua phem
foul	disgust	0.734	foul
sicken	disgust	0.734	mob
crucifixion	disgust	0.734	kev ntsia saum ntoo Khaublig
terrorism	disgust	0.734	kev ua phem
repulsion	disgust	0.727	kev ntxub ntxaug
morbidity	disgust	0.727	mob mob
dysentery	disgust	0.727	kab mob plab
enema	disgust	0.727	enema
bacterium	disgust	0.727	kab mob
dirty	disgust	0.727	qias neeg
adultery	disgust	0.727	kev deev luag poj luag txiv
contamination	disgust	0.727	kev kis kab mob
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbaric
vulgar	disgust	0.719	lus phem
entrails	disgust	0.719	entrails
disgust	disgust	0.719	qias neeg
lewd	disgust	0.719	lewd
muck	disgust	0.719	muck
bowels	disgust	0.719	plab
garbage	disgust	0.719	khib nyiab
deterioration	disgust	0.719	kev puas tsuaj
contagion	disgust	0.719	kev sib kis
vicious	disgust	0.719	siab phem
disfigured	disgust	0.719	ua tsis taus pa
pungent	disgust	0.719	pungent
gross	disgust	0.719	tag nrho
bloodshed	disgust	0.714	ntshav
gag	disgust	0.711	gag
pollute	disgust	0.711	ua paug
nausea	disgust	0.711	xeev siab
tyrant	disgust	0.711	tyrant
wretched	disgust	0.711	siab phem
mortification	disgust	0.711	kev tuag
violent	disgust	0.711	nruj
poisoned	disgust	0.711	raug lom
nauseate	disgust	0.703	xeev siab
slimy	disgust	0.703	slimy
grope	disgust	0.703	grope
slut	disgust	0.703	slut
nasty	disgust	0.703	phem
disgusting	disgust	0.703	qias neeg
depraved	disgust	0.703	ua phem
porn	disgust	0.703	liab qab
hateful	disgust	0.703	ntxub
vulgarity	disgust	0.703	lus dag
noxious	disgust	0.703	mob ntshav siab
grime	disgust	0.703	grime
constipation	disgust	0.703	cem quav
secretion	disgust	0.703	zais cia
poisoning	disgust	0.703	lom
despotism	disgust	0.703	kev despotism
measles	disgust	0.696	qhua pias
contagious	disgust	0.695	kab mob sib kis
obesity	disgust	0.695	rog rog
wart	disgust	0.695	wart
hate	disgust	0.695	ntxub
hellish	disgust	0.695	ntuj raug txim
scum	disgust	0.695	scum
suicidal	disgust	0.695	tua tus kheej
wretch	disgust	0.695	siab phem
abuse	disgust	0.695	tsim txom
waste	disgust	0.695	pov tseg
intestinal	disgust	0.695	plab hnyuv
heartworm	disgust	0.688	mob plawv
ooze	disgust	0.688	ua ooze
treason	disgust	0.688	kev ntxeev siab
contaminated	disgust	0.688	paug
smut	disgust	0.688	smut
disease	disgust	0.688	kab mob
rabid	disgust	0.688	vwm
deformed	disgust	0.680	deformed
hell	disgust	0.680	ntuj raug txim
soulless	disgust	0.680	sab ntsuj plig
cholera	disgust	0.680	cholera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antichrist
freakish	disgust	0.680	tsis ntseeg
germ	disgust	0.680	kab mob
detest	disgust	0.680	ntxub
pollution	disgust	0.680	ua paug
grimy	disgust	0.680	grimy
abhorrent	disgust	0.680	ntxub
hatred	disgust	0.680	kev ntxub ntxaug
abominate	disgust	0.680	qias neeg
sickness	disgust	0.680	mob
hideous	disgust	0.672	qias neeg
dictatorship	disgust	0.672	dictatorship
loathful	disgust	0.672	siab phem
greasy	disgust	0.672	roj
dilapidated	disgust	0.672	poob siab
inhuman	disgust	0.672	ua tsis ncaj ncees
loathing	disgust	0.672	ntxub
obscene	disgust	0.672	qias neeg
cess	disgust	0.670	ua cess
devil	disgust	0.664	dab ntxwg nyoog
deformity	disgust	0.664	deformity
nauseous	disgust	0.664	xeev siab
deadly	disgust	0.664	tuag taus
swine	disgust	0.664	npua
discrimination	disgust	0.664	kev ntxub ntxaug
abominable	disgust	0.664	qias neeg
masochism	disgust	0.664	masochism
heretic	disgust	0.664	heretic
latrines	disgust	0.656	cov chav dej
corruption	disgust	0.656	kev noj nyiaj txiag
poisonous	disgust	0.656	lom
horror	disgust	0.656	ntshai heev
nefarious	disgust	0.656	tsis ncaj ncees
bacteria	disgust	0.656	kab mob
horrible	disgust	0.656	txaus ntshai
trash	disgust	0.656	thoob khib nyiab
abortion	disgust	0.656	rho menyuam
death	disgust	0.656	tuag
prejudiced	disgust	0.656	prejudiced
poison	disgust	0.656	tshuaj lom
oppression	disgust	0.656	kev tsim txom
goo	disgust	0.656	ua goo
victimized	disgust	0.656	raug tsim txom
mange	disgust	0.656	noj
sludge	disgust	0.648	sludge
trashy	disgust	0.648	pov tseg
vindictive	disgust	0.648	kev ua phem
horrid	disgust	0.648	txaus ntshai
ugly	disgust	0.648	dab tuag
immoral	disgust	0.648	kev tsis ncaj ncees
bitch	disgust	0.648	qev
outhouse	disgust	0.648	sab nraum zoov
detestation	disgust	0.648	kev ntxub ntxaug
horrifying	disgust	0.641	txaus ntshai
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	tsis pom kev
derogatory	disgust	0.641	ua phem
slop	disgust	0.641	plam
malfeasance	disgust	0.641	kev ua phem
spew	disgust	0.641	spew
pimple	disgust	0.641	pob khaus
criminality	disgust	0.641	txhaum cai
indecency	disgust	0.641	kev ua tsis ncaj ncees
cystic	disgust	0.641	cystic
villainous	disgust	0.641	neeg phem
queasy	disgust	0.633	ntxhov siab
mildew	disgust	0.633	kab mob
oppressive	disgust	0.633	tsim txom
prostitution	disgust	0.633	niam ntiav
secrete	disgust	0.633	zais cia
ulcer	disgust	0.633	mob plab
rat	disgust	0.633	nas
bigoted	disgust	0.633	ua siab loj
perpetrator	disgust	0.633	tus ua txhaum
doomsday	disgust	0.633	hnub poob
sinful	disgust	0.633	kev txhaum
degrading	disgust	0.625	degrading
ghastly	disgust	0.625	ua ghastly
suffering	disgust	0.625	kev txom nyem
obscenity	disgust	0.625	kev qias neeg
devilish	disgust	0.625	dab ntxwg nyoog
disgraceful	disgust	0.625	kev txaj muag
persecution	disgust	0.625	kev tsim txom
contemptible	disgust	0.625	saib tsis taus
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	cov quav
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	kev txhaum
gluttony	disgust	0.625	gluttony
bloated	disgust	0.625	plab
fungus	disgust	0.625	kab mob
aghast	disgust	0.625	siab
diaper	disgust	0.617	daim pam
malicious	disgust	0.617	siab phem
polygamy	disgust	0.617	kev sib deev
dying	disgust	0.617	tuag
termite	disgust	0.617	kab ntsig
fat	disgust	0.617	rog
deceit	disgust	0.617	kev dag
atrocious	disgust	0.617	siab phem
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	kab mob tetanus
spoil	disgust	0.617	lwj
crusty	disgust	0.617	crusty
sickly	disgust	0.617	mob mob
louse	disgust	0.617	lus
strangle	disgust	0.617	tshum
betrayal	disgust	0.617	kev ntxeev siab
loathe	disgust	0.617	ntxub
wench	disgust	0.617	wench
infect	disgust	0.617	kis tau
violently	disgust	0.609	ua nruj ua tsiv
brothel	disgust	0.609	tsev kho mob
drool	disgust	0.609	drool
bleeding	disgust	0.609	los ntshav
deform	disgust	0.609	deform
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	venom
abhor	disgust	0.609	ntxub
slander	disgust	0.609	kev hais lus phem
hostile	disgust	0.609	ua phem
musty	disgust	0.602	musty
illicit	disgust	0.602	txhaum cai
ugliness	disgust	0.602	kev phem
unwashed	disgust	0.602	tsis ntxuav
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	kev poob qis
poaching	disgust	0.602	kev yos hav zoov
hag	disgust	0.602	hag
infidel	disgust	0.602	tsis ntseeg
imprisonment	disgust	0.602	raug kaw
traitor	disgust	0.602	tus neeg ntxeev siab
lunacy	disgust	0.602	kev plam
queasiness	disgust	0.594	kev ntxhov siab
hostility	disgust	0.594	kev ua phem
repelling	disgust	0.594	tshuaj tiv thaiv
intoxicated	disgust	0.594	qaug cawv
thug	disgust	0.594	thug
catastrophe	disgust	0.594	kev puas tsuaj
lunatic	disgust	0.594	ruam
misery	disgust	0.594	kev nyuaj siab
venom	disgust	0.594	venom
butcher	disgust	0.594	neeg tua tsiaj
toilet	disgust	0.594	chav dej
blister	disgust	0.594	hlwv
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	plab
sinner	disgust	0.594	neeg txhaum
deceitful	disgust	0.594	dag
epidemic	disgust	0.594	sib kis mus
deteriorated	disgust	0.586	tsis zoo lawm
lavatory	disgust	0.586	chav dej
unclean	disgust	0.586	tsis huv
prostitute	disgust	0.586	poj niam ntiav
incubus	disgust	0.586	incubus
appalling	disgust	0.586	txaus ntshai
dreadful	disgust	0.586	txaus ntshai
pornography	disgust	0.586	duab liab qab
harass	disgust	0.586	ua phem
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	kev ntiab tawm
unfaithful	disgust	0.578	tsis ncaj ncees
offensive	disgust	0.578	ua phem
hypocrite	disgust	0.578	neeg siab phem
humiliating	disgust	0.578	kev txaj muag
larceny	disgust	0.578	kev dag
ruinous	disgust	0.578	kev puas tsuaj
retard	disgust	0.578	rov qab
rash	disgust	0.578	ua pob liab liab
flea	disgust	0.578	flea
debauchery	disgust	0.578	kev phem kev qias
fiend	disgust	0.578	neeg phem
quagmire	disgust	0.578	quagmire
conspirator	disgust	0.578	tus neeg koom siab
sick	disgust	0.578	mob
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	mob dev
egregious	disgust	0.570	egregious
flog	disgust	0.570	flog
despise	disgust	0.570	saib tsis taus
treacherous	disgust	0.570	neeg ntxeev siab
oppress	disgust	0.570	tsim txom
swamp	disgust	0.570	pas dej
messy	disgust	0.570	ntxhov
spit	disgust	0.570	ntov
dank	disgust	0.570	dank
bastard	disgust	0.570	neeg ruam
devastating	disgust	0.570	kev puas tsuaj
serpent	disgust	0.570	nab
loo	disgust	0.562	loo
indecent	disgust	0.562	tsis ncaj ncees lawm
insanity	disgust	0.562	kev vwm
stealing	disgust	0.562	nyiag
terrible	disgust	0.562	txaus ntshai
tyrannical	disgust	0.562	kev ua phem
humiliation	disgust	0.562	kev txaj muag
snake	disgust	0.562	nab
sloppy	disgust	0.562	ruam
sinning	disgust	0.562	kev txhaum
harmful	disgust	0.562	phom sij
harlot	disgust	0.562	poj niam
sordid	disgust	0.562	sordid
enemy	disgust	0.562	yeeb ncuab
alcoholism	disgust	0.562	cawv
awful	disgust	0.562	txaus ntshai
ruthless	disgust	0.562	siab tsis ncaj
scoundrel	disgust	0.562	neeg vwm
bloody	disgust	0.555	ntshav
flabby	disgust	0.555	flabby
odious	disgust	0.555	lus phem
beastly	disgust	0.555	tsiaj nyaum
collusion	disgust	0.555	kev sib tham
ridicule	disgust	0.555	thuam
discriminating	disgust	0.555	kev ntxub ntxaug
unattractive	disgust	0.555	tsis ntxim nyiam
insufferable	disgust	0.555	ua tsis taus pa
segregate	disgust	0.555	cais
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	hem
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	tus tua neeg
distaste	disgust	0.555	siab
coward	disgust	0.555	neeg siab phem
robbery	disgust	0.555	tub sab
wickedness	disgust	0.555	kev phem
anathema	disgust	0.547	ua tsis taus pa
malevolent	disgust	0.547	siab phem
sty	disgust	0.547	sty
pillage	disgust	0.547	pillage
thief	disgust	0.547	tub sab
suffocating	disgust	0.547	ua tsis taus pa
condemnation	disgust	0.547	kev rau txim
deleterious	disgust	0.547	deleterious
slur	disgust	0.547	lus
purgatory	disgust	0.547	purgatory
attacking	disgust	0.547	ntaus
burglar	disgust	0.547	tub sab
ogre	disgust	0.547	ogre
coercion	disgust	0.547	kev quab yuam
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	txom nyem
bitterly	disgust	0.547	iab
sneer	disgust	0.539	yws
greedy	disgust	0.539	siab ntshaw
gob	disgust	0.539	gob
repellant	disgust	0.539	tshuaj tua kab mob
jealous	disgust	0.539	khib
drunken	disgust	0.539	qaug cawv
shame	disgust	0.539	txaj muag
thrash	disgust	0.539	thrash
fatty	disgust	0.539	rog
liar	disgust	0.539	neeg dag
imprisoned	disgust	0.539	raug kaw
sloth	disgust	0.539	ruam
repudiation	disgust	0.539	kev lees paub
disgrace	disgust	0.539	kev txaj muag
infidelity	disgust	0.539	kev tsis ncaj ncees
pig	disgust	0.539	npua
lethal	disgust	0.536	tuag
burnt	disgust	0.531	hlawv
brawl	disgust	0.531	kev sib cav
withered	disgust	0.531	qhuav
blemish	disgust	0.531	ua txhaum
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	aberration
smuggler	disgust	0.531	tus neeg nyiag khoom
painful	disgust	0.531	mob
condescension	disgust	0.531	kev txiav txim siab
intolerant	disgust	0.531	tsis kam
blasphemous	disgust	0.531	thuam
lying	disgust	0.531	dag
hanging	disgust	0.531	dai
travesty	disgust	0.531	kev taug kev
ruined	disgust	0.531	puas lawm
intrusive	disgust	0.531	cuam tshuam
disintegrate	disgust	0.531	tawg
destructive	disgust	0.531	puas tsuaj
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	kev ntxub ntxaug
blighted	disgust	0.523	ua siab loj
intolerance	disgust	0.523	intolerance
mistress	disgust	0.523	poj niam
avarice	disgust	0.523	avarice
disgraced	disgust	0.523	kev txaj muag
derogation	disgust	0.523	derogation
rubbish	disgust	0.523	khib nyiab
accusation	disgust	0.523	kev liam
incarceration	disgust	0.523	raug kaw
tortious	disgust	0.516	tsim txom
dishonor	disgust	0.516	txaj muag
stink	disgust	0.516	qias neeg
grim	disgust	0.516	grim
rob	disgust	0.516	rob
defraud	disgust	0.516	dag
sump	disgust	0.516	sump
cringe	disgust	0.516	quaj
vulture	disgust	0.516	vaub kib
deplorable	disgust	0.516	zoo siab
mite	disgust	0.516	mite
eradication	disgust	0.516	kev tshem tawm
degrade	disgust	0.516	degrade
gutter	disgust	0.516	gutter
convict	disgust	0.516	txim
remains	disgust	0.516	seem
betray	disgust	0.516	ntxeev siab
daemon	disgust	0.516	dab
sham	disgust	0.509	txaj muag
distasteful	disgust	0.508	kev poob siab
prisoner	disgust	0.508	neeg raug kaw
dreadfully	disgust	0.508	txaus ntshai
worthless	disgust	0.508	tsis muaj nqis
crude	disgust	0.508	nyoos
delirium	disgust	0.508	delirium
incurable	disgust	0.508	kho tsis tau
smelling	disgust	0.508	ntxhiab tsw
idiocy	disgust	0.508	idiocy
resentment	disgust	0.508	kev chim siab
bombed	disgust	0.508	foob pob
blob	disgust	0.508	blob
cheat	disgust	0.508	dag
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	kev tsis lees paub
belittle	disgust	0.508	saib tsis taus
glut	disgust	0.508	glut
disaster	disgust	0.508	kev puas tsuaj
distress	disgust	0.508	kev nyuaj siab
pest	disgust	0.508	kab tsuag
endemic	disgust	0.508	kab mob
theft	disgust	0.500	tub sab
banish	disgust	0.500	banish
mire	disgust	0.500	mire
flagrant	disgust	0.500	chij
derision	disgust	0.500	kev thuam
dirt	disgust	0.500	av
screaming	disgust	0.500	qw
offense	disgust	0.500	ua txhaum
jealousy	disgust	0.500	kev khib
bribery	disgust	0.500	nyiaj xiab
polemic	disgust	0.500	Polemic
blight	disgust	0.500	mob siab
impeach	disgust	0.500	impeach
bitterness	disgust	0.500	iab
taboo	disgust	0.500	taboo
duress	disgust	0.500	raug quab yuam
goblin	disgust	0.500	goblin
shackle	disgust	0.500	shackle
idolatry	disgust	0.500	kev pe mlom
greed	disgust	0.500	kev ntshaw
impurity	disgust	0.500	impurity
tirade	disgust	0.500	xav
idiot	disgust	0.492	neeg ruam
boil	disgust	0.492	boil
unconscionable	disgust	0.492	tsis nco qab
disreputable	disgust	0.492	tsis muaj npe
robber	disgust	0.492	tub sab
malign	disgust	0.492	phem
wreck	disgust	0.492	kev puas tsuaj
recession	disgust	0.492	kev txom nyem
gorge	disgust	0.492	qab
leer	disgust	0.492	leer
ill	disgust	0.492	mob
squirm	disgust	0.492	squirm
raging	disgust	0.484	npau taws
servile	disgust	0.484	ua haujlwm
mess	disgust	0.484	mess
nappy	disgust	0.484	noj qab haus huv
possessed	disgust	0.484	muaj
unbearable	disgust	0.484	mob tsis taus
occult	disgust	0.484	occult
contraband	disgust	0.484	kev tsis ncaj ncees
snarl	disgust	0.484	snarl
mutiny	disgust	0.484	kev tawm tsam
mad	disgust	0.484	chim
affliction	disgust	0.484	kev txom nyem
stain	disgust	0.484	stain
animosity	disgust	0.484	kev ntxub ntxaug
contempt	disgust	0.484	saib tsis taus
tramp	disgust	0.484	traum
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	saib tsis taus
defamation	disgust	0.484	kev dag
inexcusable	disgust	0.484	zam txim tsis tau
aversation	disgust	0.484	kev ntxub ntxaug
wasteful	disgust	0.484	khib nyiab
offender	disgust	0.484	tus neeg ua txhaum
subjugation	disgust	0.484	subjugation
illegality	disgust	0.477	txhaum cai
dismal	disgust	0.477	ntxhov siab
criminal	disgust	0.477	txhaum cai
unpleasant	disgust	0.477	tsis kaj siab
palsy	disgust	0.477	tuag tes tuag taw
antagonistic	disgust	0.477	tiv thaiv
pathetic	disgust	0.477	mob siab
uncaring	disgust	0.477	tsis quav ntsej
suppression	disgust	0.477	kev quab yuam
immorality	disgust	0.477	kev tsis ncaj ncees
mockery	disgust	0.477	kev thuam
outrage	disgust	0.469	npau taws
mocking	disgust	0.469	thuam
wallow	disgust	0.469	valo
cough	disgust	0.469	hnoos
arrogant	disgust	0.469	khav theeb
angry	disgust	0.469	npau taws
poverty	disgust	0.469	kev txom nyem
grating	disgust	0.469	grating
livid	disgust	0.469	livid
aggravation	disgust	0.469	hnyav dua
repellent	disgust	0.469	tshuaj tiv thaiv
perspiration	disgust	0.469	ua pa
banishment	disgust	0.469	kev txiav txim
furious	disgust	0.469	npau taws
shoddy	disgust	0.469	txaj muag
banshee	disgust	0.469	banshee
deceive	disgust	0.461	dag
fool	disgust	0.461	neeg ruam
quack	disgust	0.461	quack
distorted	disgust	0.461	distorted
spider	disgust	0.461	kab laug sab
unjustifiable	disgust	0.461	tsis ncaj ncees lawm
deplore	disgust	0.461	deplore
spurious	disgust	0.461	spurious
perdition	disgust	0.461	kev puas tsuaj
muddy	disgust	0.461	av nkos
fraudulent	disgust	0.461	neeg dag
scar	disgust	0.461	caws pliav
prick	disgust	0.461	prick
insulting	disgust	0.461	thuam
plunder	disgust	0.461	plunder
recklessness	disgust	0.461	kev ua phem
stigma	disgust	0.453	qias neeg
disparage	disgust	0.453	kev ntxub ntxaug
unthinkable	disgust	0.453	xav tsis txog
disingenuous	disgust	0.453	tsis ncaj ncees lawm
bane	disgust	0.453	bane
dishonest	disgust	0.453	tsis ncaj ncees
aphid	disgust	0.453	aphid
elimination	disgust	0.453	tshem tawm
cur	disgust	0.453	ua cur
selfish	disgust	0.453	tus kheej
eschew	disgust	0.453	eschew
dire	disgust	0.453	mob siab heev
indignation	disgust	0.453	kev npau taws
antipathy	disgust	0.453	kev tawm tsam
alienate	disgust	0.453	txawv txawv
mosquito	disgust	0.445	yoov tshaj cum
piles	disgust	0.445	pawg
pious	disgust	0.445	pious
lie	disgust	0.445	dag
opium	disgust	0.445	tshuaj yeeb
smell	disgust	0.445	tsw
iniquity	disgust	0.445	kev tsis ncaj ncees
caries	disgust	0.445	kab mob
despair	disgust	0.445	kev poob siab
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	egotistical
wasted	disgust	0.445	khib
vacuous	disgust	0.445	nqus
bankruptcy	disgust	0.445	kev lag luam
garish	disgust	0.445	garish
obnoxious	disgust	0.438	ua qias neeg
ashamed	disgust	0.438	txaj muag
abject	disgust	0.438	ua tsis ncaj
sticky	disgust	0.438	nplaum
scream	disgust	0.438	qw
hopelessness	disgust	0.438	kev cia siab
homeless	disgust	0.438	tsis muaj tsev nyob
shun	disgust	0.438	shun
inmate	disgust	0.438	neeg raug kaw
alien	disgust	0.438	neeg txawv teb chaws
hog	disgust	0.438	hog
aversion	disgust	0.438	kev ntxub ntxaug
abnormal	disgust	0.438	txawv txav
cursing	disgust	0.430	foom
undesirable	disgust	0.430	tsis xav tau
denounce	disgust	0.430	tsis hais
witch	disgust	0.430	poj niam
creature	disgust	0.430	tus tsiaj
lusty	disgust	0.430	lusy
illegal	disgust	0.430	txhaum cai
debris	disgust	0.430	cov khib nyiab
callous	disgust	0.430	siab
reflux	disgust	0.430	reflux
adverse	disgust	0.430	phem
shameless	disgust	0.430	tsis txaj muag
separatist	disgust	0.430	cais tawm
trickery	disgust	0.430	kev dag
falsity	disgust	0.430	kev dag
pall	disgust	0.430	pall
defiance	disgust	0.430	tiv thaiv
incredulous	disgust	0.430	ntseeg tsis tau
curse	disgust	0.430	foom
pompous	disgust	0.422	pompous
socialist	disgust	0.422	socialist
mistrust	disgust	0.422	tsis ntseeg
infantile	disgust	0.422	menyuam mos
wasting	disgust	0.422	khib
hairy	disgust	0.422	plaub hau
nicotine	disgust	0.422	nicotine
denunciation	disgust	0.422	kev denunciation
collapse	disgust	0.422	vaum
untidy	disgust	0.422	tsis huv
ferocious	disgust	0.422	siab phem
ammonia	disgust	0.422	ammonia
carelessness	disgust	0.422	kev tsis saib xyuas
impure	disgust	0.422	tsis huv
contentious	disgust	0.422	tsis sib haum xeeb
bum	disgust	0.422	bum
affront	disgust	0.422	tawm tsam
offend	disgust	0.422	ua txhaum
tarnish	disgust	0.422	ua kua muag
idiotic	disgust	0.422	ruam
badness	disgust	0.422	kev phem
delinquent	disgust	0.422	ua phem
swarm	disgust	0.422	swarm
hypertrophy	disgust	0.422	hypertrophy
gush	disgust	0.422	gush
tasteless	disgust	0.422	tsis qab
bovine	disgust	0.422	bovine
slush	disgust	0.422	slush
litigious	disgust	0.414	teeb meem
dishonesty	disgust	0.414	kev tsis ncaj ncees
vegetative	disgust	0.414	zaub
unfavorable	disgust	0.414	tsis zoo
displacency	disgust	0.414	poob chaw
illegitimate	disgust	0.414	txhaum cai
sour	disgust	0.414	qaub
socialism	disgust	0.414	socialism
disobey	disgust	0.414	tsis mloog lus
drivel	disgust	0.414	tsav tsheb
vampire	disgust	0.414	vampire
neglected	disgust	0.414	tsis saib xyuas
murky	disgust	0.414	dheev
ignorant	disgust	0.406	tsis paub
disgruntled	disgust	0.406	tsis txaus siab
discontinuity	disgust	0.406	kev tsis sib haum xeeb
dislike	disgust	0.406	tsis nyiam
unlawful	disgust	0.406	tsis raug cai
wrongdoing	disgust	0.406	ua txhaum
shoplifting	disgust	0.406	khw muag khoom
recidivism	disgust	0.406	recidivism
outcast	disgust	0.406	tawm tsam
bogus	disgust	0.406	cuav
displeasure	disgust	0.406	kev tsis txaus siab
repel	disgust	0.406	repel
falsify	disgust	0.406	cuav
ungrateful	disgust	0.406	ua tsis ncaj ncees
unkind	disgust	0.406	ua siab phem
phony	disgust	0.406	lus dag
prosecution	disgust	0.406	kev foob
woe	disgust	0.398	kev txom nyem
averse	disgust	0.398	averse
loon	disgust	0.398	loon
worsening	disgust	0.398	hnyav zuj zus
paucity	disgust	0.398	paucity
unnatural	disgust	0.398	tsis ncaj ncees lawm
amphetamines	disgust	0.398	tshuaj amphetamines
senseless	disgust	0.398	tsis nkag siab
rigor	disgust	0.398	nruj
subvert	disgust	0.398	subvert
failure	disgust	0.398	ua tsis tiav
lick	disgust	0.398	lick
unruly	disgust	0.398	tsis ncaj ncees
woefully	disgust	0.398	kev txom nyem
stingy	disgust	0.398	qias neeg
crushing	disgust	0.398	crushing
disdain	disgust	0.398	saib tsis taus
insult	disgust	0.393	thuam
averseness	disgust	0.391	kev ntxub ntxaug
disrelish	disgust	0.391	tsis nyiam
punished	disgust	0.391	rau txim
critter	disgust	0.391	criter
damage	disgust	0.391	kev puas tsuaj
scorpion	disgust	0.391	kab laug sab
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muf
farcical	disgust	0.391	farcical
antisocial	disgust	0.391	antisocial
hardened	disgust	0.391	tawv
punishment	disgust	0.391	rau txim
bad	disgust	0.391	phem
expel	disgust	0.391	ntiab tawm
surly	disgust	0.383	surly
lament	disgust	0.383	quaj
illiterate	disgust	0.383	tsis paub ntawv
divorce	disgust	0.383	kev sib nrauj
teeming	disgust	0.383	teem caij
plagiarism	disgust	0.383	plagiarism
eviction	disgust	0.383	kev ntiab tawm
orc	disgust	0.383	orc
disappoint	disgust	0.383	poob siab
shabby	disgust	0.383	txaj muag
presumptuous	disgust	0.383	hwm
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	kev tsis sib haum xeeb
guilt	disgust	0.383	ua txhaum
fugitive	disgust	0.383	khiav tawm
irrational	disgust	0.383	irrational
adder	disgust	0.383	adder
fulsome	disgust	0.383	fulsome
sacrifices	disgust	0.383	kev txi
hypocritical	disgust	0.383	neeg siab phem
shock	disgust	0.375	poob siab
alienation	disgust	0.375	kev cais
scoff	disgust	0.375	thuam
