English Word	Emotion	Emotion-Intensity-Score	Greek Word
ambition	anticipation	0.617	φιλοδοξία
simmering	anticipation	0.617	σιγοβράζοντας
enchanting	anticipation	0.617	μαγευτικός
foresight	anticipation	0.617	πρόβλεψη
lookout	anticipation	0.609	επιφυλακή
anxiety	anticipation	0.609	ανησυχία
forecast	anticipation	0.609	πρόβλεψη
seductive	anticipation	0.609	αποπλανητικός
bonus	anticipation	0.609	δώρο
succeeding	anticipation	0.609	πετυχαίνοντας
matrimony	anticipation	0.609	γάμος
magical	anticipation	0.609	μαγικός
alerts	anticipation	0.609	ειδοποιήσεις
winner	anticipation	0.602	νικητής
applicant	anticipation	0.602	αιτών
fulfillment	anticipation	0.602	εκπλήρωση
deserve	anticipation	0.602	αξίζω
inspire	anticipation	0.602	εμπνέω
foreseen	anticipation	0.602	που προβλέπεται
intended	anticipation	0.602	προορίζονται
boomerang	anticipation	0.602	μπούμερανγκ
picnic	anticipation	0.602	πικνίκ
longing	anticipation	0.602	λαχτάρα
revenge	anticipation	0.602	εκδίκηση
success	anticipation	0.602	επιτυχία
diagnosis	anticipation	0.602	διάγνωση
visionary	anticipation	0.602	ονειροπόλος
prophetic	anticipation	0.602	προφητικός
entertaining	anticipation	0.602	διασκεδαστικο
nervous	anticipation	0.602	νευρικός
illuminate	anticipation	0.594	διαφωτίζω
accelerate	anticipation	0.594	επιταχύνω
advent	anticipation	0.594	έλευση
romance	anticipation	0.594	ειδύλλιο
result	anticipation	0.594	αποτέλεσμα
arrive	anticipation	0.594	φθάνω
momentum	anticipation	0.594	ορμή
buzz	anticipation	0.594	βόμβος
rekindle	anticipation	0.594	ξανανάβω
preparedness	anticipation	0.594	ετοιμότητα
acquiring	anticipation	0.594	αποκτώντας
luck	anticipation	0.594	τυχη
marry	anticipation	0.594	παντρεύω
predict	anticipation	0.589	προλέγω
money	anticipation	0.586	χρήματα
auspices	anticipation	0.586	αιγίδα
uplift	anticipation	0.586	ανύψωση
fiesta	anticipation	0.586	γιορτή
enjoying	anticipation	0.586	απολαμβάνοντας
preparation	anticipation	0.586	παρασκευή
raffle	anticipation	0.586	λοταρία
investigation	anticipation	0.586	έρευνα
progression	anticipation	0.586	προχώρηση
overdue	anticipation	0.586	εκπρόθεσμος
crave	anticipation	0.586	εκλιπαρώ
impatient	anticipation	0.586	ανυπόμονος
enthusiast	anticipation	0.586	θιασώτης
flirt	anticipation	0.586	φλερτάρω
seek	anticipation	0.586	ψάχνω
sequel	anticipation	0.586	η συνέχεια
presumption	anticipation	0.586	τεκμήριο
delightful	anticipation	0.586	γοητευτικός
gambling	anticipation	0.586	ΤΥΧΕΡΑ ΠΑΙΧΝΙΔΙΑ
immerse	anticipation	0.586	βυθίζω
endeavor	anticipation	0.586	προσπαθώ
experiment	anticipation	0.580	πείραμα
enjoy	anticipation	0.578	απολαμβάνω
completing	anticipation	0.578	ολοκληρώνοντας
clamor	anticipation	0.578	κραυγή
angling	anticipation	0.578	αγκιστεία
majestic	anticipation	0.578	μεγαλοπρεπής
divination	anticipation	0.578	μαντεία
transcendence	anticipation	0.578	υπέρβαση
thriving	anticipation	0.578	ακμάζουσα
excavation	anticipation	0.578	ανασκαφή
thirst	anticipation	0.578	δίψα
remedy	anticipation	0.578	θεραπεία
harvest	anticipation	0.578	συγκομιδή
risk	anticipation	0.578	κίνδυνος
healing	anticipation	0.578	φαρμακευτικός
heavenly	anticipation	0.578	ουράνιος
inviting	anticipation	0.578	ελκυστικός
precarious	anticipation	0.578	αβέβαιος
attainable	anticipation	0.578	εφικτός
blessing	anticipation	0.578	ευλογία
prosper	anticipation	0.578	ευημερώ
tease	anticipation	0.570	πειράζω
plan	anticipation	0.570	σχέδιο
sweetheart	anticipation	0.570	Αγαπημένος
zest	anticipation	0.570	ζέση
magnificence	anticipation	0.570	μεγαλοπρέπεια
ultimate	anticipation	0.570	τελικός
emancipation	anticipation	0.570	χειραφέτηση
restlessness	anticipation	0.570	ανησυχία
finally	anticipation	0.570	τελικά
intimate	anticipation	0.570	οικείος
omen	anticipation	0.570	οιωνός
matchmaker	anticipation	0.570	προξενιτής
gambler	anticipation	0.570	χαρτοπαίχτης
prospectively	anticipation	0.570	μελλοντικά
dare	anticipation	0.570	τολμώ
warned	anticipation	0.570	προειδοποίησε
invite	anticipation	0.570	καλώ
mysterious	anticipation	0.562	μυστηριώδης
accolade	anticipation	0.562	χειροτονία ιππότου
lover	anticipation	0.562	εραστής
expose	anticipation	0.562	εκθέτω
enchant	anticipation	0.562	θέλγω
attempt	anticipation	0.562	απόπειρα
festival	anticipation	0.562	Φεστιβάλ
exalt	anticipation	0.562	εκθειάζω
rejoice	anticipation	0.562	χαίρομαι
independence	anticipation	0.562	ανεξαρτησία
expected	anticipation	0.562	αναμενόμενος
fanfare	anticipation	0.562	σαλπίσματα
immortality	anticipation	0.562	αθανασία
quicken	anticipation	0.562	ζωογονώ
parade	anticipation	0.562	παρέλαση
fun	anticipation	0.562	διασκεδαστικο
predilection	anticipation	0.562	προτίμηση
champion	anticipation	0.562	πρωταθλητής
forewarned	anticipation	0.562	προειδοποιημένος
hypothesis	anticipation	0.562	υπόθεση
trophy	anticipation	0.562	τρόπαιο
shopping	anticipation	0.555	ψώνια
salvation	anticipation	0.555	σωτηρία
feeling	anticipation	0.555	συναισθημα
speculative	anticipation	0.555	κερδοσκοπικός
oracle	anticipation	0.555	μαντείο
heroism	anticipation	0.555	ηρωϊσμός
boisterous	anticipation	0.555	θορυβώδης
grasping	anticipation	0.555	αρπακτικός
uneasiness	anticipation	0.555	ανησυχία
curiosity	anticipation	0.555	περιέργεια
happy	anticipation	0.555	χαρούμενος
rejoicing	anticipation	0.555	χαρά
fate	anticipation	0.555	μοίρα
liberty	anticipation	0.555	ελευθερία
unfold	anticipation	0.555	ξεδιπλωθεί
amour	anticipation	0.555	ερωτοδουλιά
lovely	anticipation	0.555	ωραίος
splendor	anticipation	0.555	μεγαλείο
grow	anticipation	0.555	καλλιεργώ
glimmer	anticipation	0.547	φέγγω
incite	anticipation	0.547	ερεθίζω
abundance	anticipation	0.547	αφθονία
resultant	anticipation	0.547	επακόλουθο
probability	anticipation	0.547	πιθανότητα
recreational	anticipation	0.547	ψυχαγωγικός
glory	anticipation	0.547	δόξα
agape	anticipation	0.547	με ανοικτό στόμα
delighted	anticipation	0.547	ευχαριστημένος
changeable	anticipation	0.547	μεταβλητός
convergence	anticipation	0.547	σύγκλιση
bountiful	anticipation	0.547	γενναιόδωρος
warn	anticipation	0.547	προειδοποιώ
monetary	anticipation	0.547	νομισματικός
sorcery	anticipation	0.547	μαγεία
morrow	anticipation	0.547	αύριο
apprehensive	anticipation	0.547	φοβισμένος
hungry	anticipation	0.547	πεινασμένος
vote	anticipation	0.547	ψήφος
suspicious	anticipation	0.547	ύποπτος
pray	anticipation	0.547	προσεύχομαι
leisure	anticipation	0.547	ελεύθερος χρόνος
hunting	anticipation	0.539	κυνήγι
sensual	anticipation	0.539	αισθησιακός
tempest	anticipation	0.539	θύελλα
auction	anticipation	0.539	δημοπρασία
ballot	anticipation	0.539	ψηφοφορία
grandchildren	anticipation	0.539	εγγονια
hankering	anticipation	0.539	μεγάλη επιθυμία
entertainment	anticipation	0.539	ψυχαγωγία
merge	anticipation	0.539	συγχώνευση
exceed	anticipation	0.539	υπερβαίνω
vindication	anticipation	0.539	δικαίωση
blessings	anticipation	0.539	ευλογίες
inquiry	anticipation	0.539	έρευνα
bounty	anticipation	0.539	γενναιοδωρία
worrying	anticipation	0.539	ανησυχητικό
contingent	anticipation	0.539	ενδεχόμενος
glad	anticipation	0.536	χαρούμενος
harbinger	anticipation	0.531	προάγγελος
magnificent	anticipation	0.531	μεγαλοπρεπής
virginity	anticipation	0.531	παρθενιά
stealthy	anticipation	0.531	κρύφιος
appeal	anticipation	0.531	έφεση
forming	anticipation	0.531	σχηματίζοντας
celestial	anticipation	0.531	ουράνιος
raving	anticipation	0.531	έξαλλος
deliverance	anticipation	0.531	απελευθέρωση
feat	anticipation	0.531	κατόρθωμα
cheer	anticipation	0.531	κέφι
responsive	anticipation	0.531	ευαίσθητος
hurried	anticipation	0.531	βιαστικός
betrothed	anticipation	0.531	μνηστή
overthrow	anticipation	0.531	ανατροπή
spirits	anticipation	0.531	οινοπνευματώδη
dread	anticipation	0.531	φόβος
visitor	anticipation	0.531	επισκέπτης
wait	anticipation	0.523	Περίμενε
revive	anticipation	0.523	ανασταίνω
watch	anticipation	0.523	παρακολουθώ
hunter	anticipation	0.523	κυνηγός
radiance	anticipation	0.523	ακτινοβολία
planning	anticipation	0.523	σχεδίαση
germination	anticipation	0.523	βλάστηση
competition	anticipation	0.523	ανταγωνισμός
preparatory	anticipation	0.523	προετοιμασία
prognostic	anticipation	0.523	προγνωστικός
beaming	anticipation	0.523	ακτινοβολώντας
cheery	anticipation	0.523	χαρωπός
prevail	anticipation	0.523	επικρατώ
importance	anticipation	0.523	σημασια
notification	anticipation	0.523	Γνωστοποίηση
explosive	anticipation	0.523	εκρηκτικός
pleasant	anticipation	0.523	ευχάριστος
ultimately	anticipation	0.523	τελικά
child	anticipation	0.523	παιδί
haste	anticipation	0.523	βιασύνη
prophet	anticipation	0.523	προφήτης
recreation	anticipation	0.516	αναψυχή
present	anticipation	0.516	παρόν
time	anticipation	0.516	χρόνος
sensuality	anticipation	0.516	φιληδονία
owing	anticipation	0.516	οφειλόμενος
loom	anticipation	0.516	αργαλειός
begun	anticipation	0.516	άρχισε
salary	anticipation	0.516	Μισθός
celebrity	anticipation	0.516	διασημότητα
treat	anticipation	0.516	θεραπεύω
chocolate	anticipation	0.516	σοκολάτα
caution	anticipation	0.516	Προσοχή
fermentation	anticipation	0.516	ζύμωση
uncontrollable	anticipation	0.516	αχαλίνωτος
precious	anticipation	0.516	πολύτιμος
compensate	anticipation	0.516	αποζημιώνω
endanger	anticipation	0.516	διακινδυνεύω
renovation	anticipation	0.516	ανακαίνιση
signify	anticipation	0.508	δηλώ
vigilance	anticipation	0.508	επαγρύπνηση
prerequisite	anticipation	0.508	προαπαιτούμενο
perfection	anticipation	0.508	τελειότητα
cultivate	anticipation	0.508	καλλιεργώ
develop	anticipation	0.508	αναπτύσσω
cue	anticipation	0.508	σύνθημα
exigent	anticipation	0.508	απαιτητικός
transitional	anticipation	0.508	μεταβατικός
commemoration	anticipation	0.508	εορτασμός
intermission	anticipation	0.508	διάλειμμα
elevation	anticipation	0.508	ανύψωση
infant	anticipation	0.508	βρέφος
practise	anticipation	0.508	πρακτική
contemplation	anticipation	0.508	ενατένιση
dreadful	anticipation	0.508	φοβερός
wilderness	anticipation	0.508	ερημιά
horizon	anticipation	0.508	ορίζοντας
sneaking	anticipation	0.500	κρυφός
uphill	anticipation	0.500	ανηφορικος ΔΡΟΜΟΣ
puppy	anticipation	0.500	κουτάβι
blindfold	anticipation	0.500	με δεμένα μάτια
unbridled	anticipation	0.500	αχαλίνωτος
horoscope	anticipation	0.500	ωροσκόπιο
airport	anticipation	0.500	αεροδρόμιο
reconciliation	anticipation	0.500	συμφιλίωση
advocacy	anticipation	0.500	υπεράσπιση
litigate	anticipation	0.500	έρχομαι εις δίκη
sunny	anticipation	0.500	ηλιόλουστος
intuitively	anticipation	0.500	διαισθητικά
hero	anticipation	0.500	ήρωας
ardent	anticipation	0.500	διακαής
commemorate	anticipation	0.500	εορτάζω την μνήμη
romantic	anticipation	0.500	ρομαντικός
doomsday	anticipation	0.500	ημέρα της κρίσης
ready	anticipation	0.500	έτοιμος
nascent	anticipation	0.500	γεννημένος
invocation	anticipation	0.500	επίκληση
depart	anticipation	0.500	παρεκκλίνω
undisclosed	anticipation	0.500	μυστικός
attendance	anticipation	0.500	παρουσία
peril	anticipation	0.500	κίνδυνος
income	anticipation	0.500	εισόδημα
calculation	anticipation	0.500	υπολογισμός
zeal	anticipation	0.500	ζήλος
eventuality	anticipation	0.500	ενδεχόμενο
favorable	anticipation	0.500	ευνοϊκός
utopian	anticipation	0.500	ουτοπικός
swim	anticipation	0.500	ζάλη
proceeding	anticipation	0.492	ενέργεια
eventual	anticipation	0.492	ενδεχόμενος
heyday	anticipation	0.492	ακμή
undertaking	anticipation	0.492	επιχείρηση
improvise	anticipation	0.492	αυτοσχεδιάζω
inauguration	anticipation	0.492	εγκαίνια
consequent	anticipation	0.492	συνεπής
perspective	anticipation	0.492	προοπτική
defense	anticipation	0.492	άμυνα
repay	anticipation	0.492	ανταποδίδω
gaping	anticipation	0.492	κενό
youth	anticipation	0.492	νεολαία
parole	anticipation	0.492	λόγος τιμής
worry	anticipation	0.492	ανησυχία
bless	anticipation	0.492	ευλογώ
restorative	anticipation	0.492	τονωτικό
court	anticipation	0.492	δικαστήριο
highest	anticipation	0.491	ύψιστος
shortly	anticipation	0.484	σύντομα
auspicious	anticipation	0.484	ευοίωνος
princely	anticipation	0.484	ηγεμονικός
correspondence	anticipation	0.484	αλληλογραφία
generosity	anticipation	0.484	γενναιοδωρία
sparkle	anticipation	0.484	λάμπω
voluptuous	anticipation	0.484	ηδονικός
happen	anticipation	0.484	συμβεί
tremor	anticipation	0.484	τρόμος
letter	anticipation	0.484	γράμμα
vow	anticipation	0.484	όρκος
sharpen	anticipation	0.484	ακονίζω
duel	anticipation	0.484	μονομαχία
conjure	anticipation	0.484	εξορκίζω
threaten	anticipation	0.484	απειλώ
god	anticipation	0.484	θεός
engulf	anticipation	0.484	καταπίνω
unexplained	anticipation	0.484	ανεξήγητο
contagion	anticipation	0.484	μετάδοση
glorify	anticipation	0.477	δοξάζω
submit	anticipation	0.477	υποβάλλουν
enroll	anticipation	0.477	εγγράφω
unification	anticipation	0.477	ενοποίηση
gravitate	anticipation	0.477	έλκομαι
glide	anticipation	0.477	γλιστρώ
accompaniment	anticipation	0.477	συνοδεία
cherish	anticipation	0.477	διατηρώ
adore	anticipation	0.477	λατρεύω
powerful	anticipation	0.477	ισχυρός
clue	anticipation	0.477	ένδειξη
medal	anticipation	0.477	μετάλλιο
contemplate	anticipation	0.477	ατενίζω
perilous	anticipation	0.477	επικίνδυνος
determinate	anticipation	0.477	καθορισμένος
arbitration	anticipation	0.477	διαιτησία
recipient	anticipation	0.477	παραλήπτης
onset	anticipation	0.477	επίθεση
predispose	anticipation	0.477	προιδεάζω
score	anticipation	0.477	σκορ
torture	anticipation	0.477	βασανιστήριο
glow	anticipation	0.477	λάμψη
praiseworthy	anticipation	0.473	αξιέπαινος
football	anticipation	0.469	ποδόσφαιρο
scare	anticipation	0.469	φόβος
elite	anticipation	0.469	αφρόκρεμα
unknown	anticipation	0.469	άγνωστος
precursor	anticipation	0.469	πρόδρομος
pry	anticipation	0.469	εξετάζω
providing	anticipation	0.469	χορήγηση
sweets	anticipation	0.469	γλυκα
cautious	anticipation	0.469	προσεκτικός
opera	anticipation	0.469	ΛΥΡΙΚΗ ΣΚΗΝΗ
motion	anticipation	0.469	κίνηση
cash	anticipation	0.469	μετρητά
creeping	anticipation	0.469	έρπουσα
invoke	anticipation	0.469	επικαλούμαι
star	anticipation	0.469	αστέρι
shaky	anticipation	0.469	επισφαλής
production	anticipation	0.469	παραγωγή
successful	anticipation	0.469	επιτυχής
immediately	anticipation	0.469	αμέσως
dawn	anticipation	0.469	αυγή
starry	anticipation	0.469	έναστρος
unsurpassed	anticipation	0.469	ανυπέρβατος
completion	anticipation	0.469	ολοκλήρωση
hire	anticipation	0.469	ενοικίαση
fete	anticipation	0.469	πανηγύρι
commemorative	anticipation	0.461	αναμνηστικός
shining	anticipation	0.461	λάμψη
testament	anticipation	0.461	διαθήκη
pay	anticipation	0.461	πληρωμή
alive	anticipation	0.461	ζωντανός
plight	anticipation	0.461	κατάσταση
preliminary	anticipation	0.461	προκαταρκτικός
overture	anticipation	0.461	εισαγωγή
sanctuary	anticipation	0.461	άσυλο
regatta	anticipation	0.461	ρεγκάτα
draft	anticipation	0.461	προσχέδιο
synchronize	anticipation	0.461	συγχρονίζω
soundness	anticipation	0.461	ορθότητα
extricate	anticipation	0.461	απαλλάσσω
excel	anticipation	0.461	προέχω
punt	anticipation	0.461	ποντάρω
untold	anticipation	0.461	ανομολόγητος
brilliant	anticipation	0.461	λαμπρός
cheerfulness	anticipation	0.461	φαιδρότητα
jeopardy	anticipation	0.461	διακινδύνευση
friendly	anticipation	0.461	φιλικός
mail	anticipation	0.461	ταχυδρομείο
unexpected	anticipation	0.453	απροσδόκητος
basketball	anticipation	0.453	μπάσκετ
inaugural	anticipation	0.453	εναρκτήριος
supremacy	anticipation	0.453	υπεροχή
rehabilitation	anticipation	0.453	Αναμόρφωση
intimately	anticipation	0.453	από κοντά
career	anticipation	0.453	καριέρα
prevention	anticipation	0.453	πρόληψη
renovate	anticipation	0.453	ανακαινίζω
compliment	anticipation	0.453	φιλοφρόνηση
prologue	anticipation	0.453	πρόλογος
elegance	anticipation	0.453	κομψότητα
complement	anticipation	0.453	συμπλήρωμα
flinch	anticipation	0.453	δειλιάζω
infinity	anticipation	0.453	άπειρο
perpetuity	anticipation	0.453	αιωνιότης
sunset	anticipation	0.453	η δυση του ηλιου
improve	anticipation	0.453	βελτιώσει
fitting	anticipation	0.445	προσαρμογή
confidence	anticipation	0.445	αυτοπεποίθηση
concealment	anticipation	0.445	απόκρυψη
sweet	anticipation	0.445	γλυκός
perfect	anticipation	0.445	τέλειος
epidemic	anticipation	0.445	επιδημία
fain	anticipation	0.445	προθυμώς
volunteer	anticipation	0.445	εθελοντής
share	anticipation	0.445	μερίδιο
surround	anticipation	0.445	περιβάλλω
conjecture	anticipation	0.445	εικασία
sun	anticipation	0.445	ήλιος
veracity	anticipation	0.445	φιλαλήθεια
serial	anticipation	0.438	κατα συρροη
angel	anticipation	0.438	άγγελος
aloha	anticipation	0.438	αλόχα
saint	anticipation	0.438	άγιος
tickle	anticipation	0.438	γαργαλάω
superstitious	anticipation	0.438	προληπτικός
ferment	anticipation	0.438	ένζυμο
conservation	anticipation	0.438	διατήρηση
devout	anticipation	0.438	ευσεβής
respect	anticipation	0.438	Σεβασμός
reconstruction	anticipation	0.438	ανοικοδόμηση
goodness	anticipation	0.438	καλοσύνη
reconstruct	anticipation	0.438	επανακτίζω
faith	anticipation	0.438	πίστη
recombination	anticipation	0.438	ανασυνδυασμός
prepared	anticipation	0.438	έτοιμος
rabid	anticipation	0.438	φανατικός
plea	anticipation	0.438	έκκληση
medical	anticipation	0.438	ιατρικός
passenger	anticipation	0.438	επιβάτης
charitable	anticipation	0.430	φιλάνθρωπος
tabulate	anticipation	0.430	συνοψίζω
peace	anticipation	0.430	ειρήνη
install	anticipation	0.430	εγκαθιστώ
serenity	anticipation	0.430	ηρεμία
venerable	anticipation	0.430	σεβάσμιος
spa	anticipation	0.430	ιαματική πηγή
labyrinth	anticipation	0.430	λαβύρινθος
luscious	anticipation	0.430	γλυκύτατος
perpetuate	anticipation	0.430	διαιωνίζω
strategist	anticipation	0.430	στρατηγός
unverified	anticipation	0.430	ανεπιβεβαίωτος
tribunal	anticipation	0.430	δικαστήριο
clap	anticipation	0.430	χειροκρότημα
peaceful	anticipation	0.422	ειρηνικός
patience	anticipation	0.422	υπομονή
unresolved	anticipation	0.422	άλυτος
worship	anticipation	0.422	λατρεία
edification	anticipation	0.422	διαπαιδαγώγηση
oasis	anticipation	0.422	όαση
grin	anticipation	0.422	γκριμάτσα
revere	anticipation	0.422	τιμώ
candid	anticipation	0.422	ειλικρινής
vista	anticipation	0.422	μακρινή θέα
conspirator	anticipation	0.422	συνωμότης
adrift	anticipation	0.422	ανεμοδαρμένος
recognizable	anticipation	0.422	ευκολογνώριστος
volatility	anticipation	0.422	αστάθεια
forestall	anticipation	0.422	προλαμβάνω
laughter	anticipation	0.422	γέλιο
continue	anticipation	0.414	να συνεχίσει
ongoing	anticipation	0.414	σε εξέλιξη
astrologer	anticipation	0.414	αστρολόγος
mediate	anticipation	0.414	μεσιτεύω
punctual	anticipation	0.414	ακριβής
grant	anticipation	0.414	χορήγηση
morn	anticipation	0.414	αυγή
pretty	anticipation	0.414	αρκετά
withstand	anticipation	0.414	αντέχω
frisky	anticipation	0.414	ζωηρός
thought	anticipation	0.414	σκέψη
probation	anticipation	0.414	δοκιμασία
ordination	anticipation	0.414	χειροτονία
calls	anticipation	0.414	κλήσεις
detainee	anticipation	0.414	κρατούμενος
craps	anticipation	0.414	ζάρια
weigh	anticipation	0.414	ζυγίζω
proficiency	anticipation	0.414	ικανότητα
sing	anticipation	0.411	τραγουδώ
continuation	anticipation	0.406	συνέχιση
university	anticipation	0.406	πανεπιστήμιο
chicane	anticipation	0.406	σικάν
nurture	anticipation	0.406	ανατροφή
mother	anticipation	0.406	μητέρα
punished	anticipation	0.406	τιμωρούνται
twinkle	anticipation	0.406	ανοιγοκλείω τα βλέφαρα
confession	anticipation	0.406	ομολογία
outdo	anticipation	0.406	υπερβαίνω
prophylactic	anticipation	0.406	προφυλακτικό
proud	anticipation	0.406	υπερήφανος
midwife	anticipation	0.406	μαία
wizard	anticipation	0.406	μάγος
headlight	anticipation	0.406	προβολέας
long	anticipation	0.406	μακρύς
banquet	anticipation	0.406	συμπόσιο
comfort	anticipation	0.406	άνεση
navigable	anticipation	0.406	πλωτός
subscribe	anticipation	0.406	Εγγραφείτε
opponent	anticipation	0.406	αντίπαλος
debenture	anticipation	0.406	ομόλογο
deal	anticipation	0.402	συμφωνία
symphony	anticipation	0.398	συμφωνία
saintly	anticipation	0.398	άγιος
judiciary	anticipation	0.398	δικαστήρια
lettered	anticipation	0.398	λόγιος
vigil	anticipation	0.398	αγρυπνία
reliance	anticipation	0.398	εξάρτηση
distracting	anticipation	0.398	αποσπώντας την προσοχή
mortification	anticipation	0.398	ταπείνωση
balm	anticipation	0.398	βάλσαμο
simmer	anticipation	0.398	σιγοβράζω
top	anticipation	0.398	μπλουζα
obliging	anticipation	0.398	περιποιητικός
efficient	anticipation	0.398	αποτελεσματικός
guillotine	anticipation	0.398	καρμανιόλα
representing	anticipation	0.398	αντιπροσωπεύοντας
death	anticipation	0.398	θάνατος
assurance	anticipation	0.391	ασφάλεια
familiarity	anticipation	0.391	εξοικείωση
depraved	anticipation	0.391	διεφθαρμένος
condemnation	anticipation	0.391	καταδίκη
undoubted	anticipation	0.391	αναμφίβολος
sanctify	anticipation	0.391	αγιάζω
diplomacy	anticipation	0.391	διπλωματία
antidote	anticipation	0.391	αντίδοτο
trust	anticipation	0.391	εμπιστοσύνη
linger	anticipation	0.391	παραμένω
objective	anticipation	0.391	σκοπός
chuckle	anticipation	0.391	συγκρατημένο γέλιο
poke	anticipation	0.391	σακί
abeyance	anticipation	0.391	αναστολή
maternal	anticipation	0.391	μητρικός
art	anticipation	0.391	τέχνη
unfulfilled	anticipation	0.391	ανεκπλήρωτος
inoculation	anticipation	0.384	εμβολιασμός
simplify	anticipation	0.383	απλοποιώ
depend	anticipation	0.383	εξαρτώμαι
chant	anticipation	0.383	άσμα
ram	anticipation	0.383	έμβολο
banger	anticipation	0.383	μπαντέρ
playground	anticipation	0.383	παιδική χαρά
labor	anticipation	0.383	εργασία
scientist	anticipation	0.383	επιστήμονας
good	anticipation	0.383	Καλός
humanitarian	anticipation	0.383	φιλάνθρωπος
failing	anticipation	0.383	έλλειψη
hap	anticipation	0.383	τύχη
dutiful	anticipation	0.383	υπάκουος
hymn	anticipation	0.383	ύμνος
ship	anticipation	0.383	πλοίο
discretion	anticipation	0.383	διακριτικότητα
undecided	anticipation	0.383	αναποφάσιστος
gradual	anticipation	0.375	βαθμιαίος
navigator	anticipation	0.375	πλοηγός
track	anticipation	0.375	πίστα
cradle	anticipation	0.375	κούνια
sterling	anticipation	0.375	γνήσιος
interim	anticipation	0.375	προσωρινός
clock	anticipation	0.375	ρολόι
mountain	anticipation	0.375	βουνό
interminable	anticipation	0.375	ατελεύτητος
public	anticipation	0.375	δημόσιο
recurrent	anticipation	0.375	επαναλαμβανόμενος
savor	anticipation	0.375	γεύση
abide	anticipation	0.367	συμμορφώνομαι
concealed	anticipation	0.367	κρυμμένο
spear	anticipation	0.367	δόρυ
lesson	anticipation	0.367	μάθημα
instructions	anticipation	0.367	οδηγίες
sonar	anticipation	0.367	υποβρύχιο ραντάρ
biennial	anticipation	0.367	διετής
convince	anticipation	0.367	πείθω
whim	anticipation	0.367	ιδιοτροπία
shiver	anticipation	0.367	ρίγος
towering	anticipation	0.367	πανυψηλός
musical	anticipation	0.367	μιούζικαλ
offset	anticipation	0.359	αντισταθμίζεται
theory	anticipation	0.359	θεωρία
theology	anticipation	0.359	θεολογία
undying	anticipation	0.359	αθάνατος
timidity	anticipation	0.359	δειλία
plump	anticipation	0.359	παχουλός
atone	anticipation	0.359	εξιλεώ
audience	anticipation	0.357	κοινό
dietary	anticipation	0.352	διαίτης
consecration	anticipation	0.352	καθαγίαση
localize	anticipation	0.352	εντοπίζω
paragon	anticipation	0.352	υπόδειγμα
store	anticipation	0.352	κατάστημα
farm	anticipation	0.352	αγρόκτημα
daily	anticipation	0.352	καθημερινά
cramp	anticipation	0.352	κράμπα
nobility	anticipation	0.352	αρχοντιά
closure	anticipation	0.352	κλείσιμο
edition	anticipation	0.352	έκδοση
kindred	anticipation	0.352	συγγενείς
stripped	anticipation	0.344	γυμνός
errand	anticipation	0.344	θέλημα
archaeology	anticipation	0.344	αρχαιολογία
mutable	anticipation	0.344	ευμετάβλητος
wireless	anticipation	0.344	ασύρματος
meditate	anticipation	0.344	σκέπτομαι
mobile	anticipation	0.344	κινητό
germ	anticipation	0.336	φύτρο
brotherly	anticipation	0.336	αδελφικός
lessen	anticipation	0.336	ελαττώνω
unbeaten	anticipation	0.336	ανίκητος
pare	anticipation	0.336	ξεφλουδίζω
buddy	anticipation	0.336	φίλε
unaccountable	anticipation	0.336	ανεξήγητος
dove	anticipation	0.328	περιστέρι
patient	anticipation	0.328	υπομονετικος
secular	anticipation	0.328	κοσμικός
digress	anticipation	0.328	εκτρέπομαι
chastity	anticipation	0.328	αγνότητα
council	anticipation	0.328	συμβούλιο
olfactory	anticipation	0.328	οσφρητικός
ribbon	anticipation	0.328	ταινία
possess	anticipation	0.328	κατέχω
disposed	anticipation	0.320	διατεθειμένος
scrutinize	anticipation	0.320	διερευνώ
immature	anticipation	0.320	ανώριμος
mediator	anticipation	0.320	μεσολαβητής
regularity	anticipation	0.320	κανονικότητα
cove	anticipation	0.320	λιμανάκι
infanticide	anticipation	0.320	βρεφοκτονία
paddle	anticipation	0.320	κουπί
heft	anticipation	0.320	σηκώνω
fancy	anticipation	0.320	φαντασία
preservative	anticipation	0.320	συντηρητικό
unpublished	anticipation	0.312	αδημοσίευτος
church	anticipation	0.312	Εκκλησία
bugle	anticipation	0.312	σάλπιγγα
grim	anticipation	0.312	βλοσυρός
denying	anticipation	0.312	αρνούμενος
analyst	anticipation	0.312	αναλυτής
judicial	anticipation	0.305	δικαστικός
priesthood	anticipation	0.305	ιερατείο
broadside	anticipation	0.305	ομοβροντία
mill	anticipation	0.305	μύλος
dismay	anticipation	0.297	φόβος
cap	anticipation	0.297	καπάκι
thermocouple	anticipation	0.297	θερμοστοιχείο
tributary	anticipation	0.297	παραπόταμος
instructor	anticipation	0.297	εκπαιδευτής
exhaustion	anticipation	0.297	εξάντληση
saliva	anticipation	0.297	σάλιο
cataract	anticipation	0.289	καταρράκτης
network	anticipation	0.289	δίκτυο
visor	anticipation	0.289	προσωπίδα
shackle	anticipation	0.289	δεσμεύω
wont	anticipation	0.289	συνηθισμένος
addresses	anticipation	0.289	διευθύνσεις
discreet	anticipation	0.289	διακριτικός
noncompliance	anticipation	0.289	μη συμμόρφωση
bruise	anticipation	0.289	μώλωπας
homeless	anticipation	0.289	άστεγος
astronomer	anticipation	0.281	αστρονόμος
skewed	anticipation	0.281	λοξά
