English Word	Emotion	Emotion-Intensity-Score	Odia Word
lesson	anticipation	0.367	ଶିକ୍ଷା
instructions	anticipation	0.367	ନିର୍ଦ୍ଦେଶାବଳୀ
sonar	anticipation	0.367	ସୋନାର |
biennial	anticipation	0.367	ଦ୍ୱି ବର୍ଷୀୟ
convince	anticipation	0.367	ବିଶ୍ୱାସ କର
whim	anticipation	0.367	ଇଚ୍ଛା
shiver	anticipation	0.367	କମ୍ପନ
towering	anticipation	0.367	ଦୁର୍ଗ
musical	anticipation	0.367	ବାଦ୍ୟଯନ୍ତ୍ର
offset	anticipation	0.359	ଅଫସେଟ
theory	anticipation	0.359	ସିଦ୍ଧାନ୍ତ
theology	anticipation	0.359	ଧର୍ମଶାସ୍ତ୍ର
undying	anticipation	0.359	ଅନାବଶ୍ୟକ |
timidity	anticipation	0.359	ଭୟଭୀତତା |
plump	anticipation	0.359	ump ୁଲା |
atone	anticipation	0.359	ପ୍ରାୟଶ୍ଚିତ କର
audience	anticipation	0.357	ଦର୍ଶକ |
dietary	anticipation	0.352	ଖାଦ୍ୟପେୟ
consecration	anticipation	0.352	ସମର୍ପଣ
localize	anticipation	0.352	ଲୋକାଲାଇଜ୍ କରନ୍ତୁ |
paragon	anticipation	0.352	ପାରାଗନ୍ |
store	anticipation	0.352	ଷ୍ଟୋର୍‌ କରନ୍ତୁ |
farm	anticipation	0.352	ଚାଷ
daily	anticipation	0.352	ପ୍ରତିଦିନ |
cramp	anticipation	0.352	କ୍ରମ୍ପ
nobility	anticipation	0.352	ସମ୍ଭ୍ରାନ୍ତ
closure	anticipation	0.352	ବନ୍ଦ
edition	anticipation	0.352	ସଂସ୍କରଣ
kindred	anticipation	0.352	ସମ୍ପର୍କୀୟ
stripped	anticipation	0.344	ଛଡ଼ାଯାଇଛି
errand	anticipation	0.344	errand
archaeology	anticipation	0.344	ପ୍ରତ୍ନତତ୍ତ୍ୱ
mutable	anticipation	0.344	ପରିବର୍ତ୍ତନଶୀଳ |
wireless	anticipation	0.344	ବେତାର
meditate	anticipation	0.344	ଧ୍ୟାନ କର
mobile	anticipation	0.344	ମୋବାଇଲ୍ |
germ	anticipation	0.336	ଜୀବାଣୁ
brotherly	anticipation	0.336	ଭାଇଚାରା |
lessen	anticipation	0.336	କମ କର |
unbeaten	anticipation	0.336	ଅପରାଜିତ |
pare	anticipation	0.336	ପାରେ
buddy	anticipation	0.336	ସାଙ୍ଗ
unaccountable	anticipation	0.336	ଅସଂଖ୍ୟ
dove	anticipation	0.328	କପୋତ
patient	anticipation	0.328	ରୋଗୀ
secular	anticipation	0.328	ଧର୍ମନିରପେକ୍ଷ
digress	anticipation	0.328	ଡିଗ୍ରେସ୍
chastity	anticipation	0.328	ସଠିକତା
council	anticipation	0.328	ପରିଷଦ
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	ରିବନ୍
possess	anticipation	0.328	ଅଧିକାର
disposed	anticipation	0.320	ନିଷ୍କ୍ରିୟ
scrutinize	anticipation	0.320	ଯାଞ୍ଚ କରନ୍ତୁ |
immature	anticipation	0.320	ଅପରିପକ୍ୱ |
mediator	anticipation	0.320	ମଧ୍ୟସ୍ଥି
regularity	anticipation	0.320	ନିୟମିତତା |
cove	anticipation	0.320	ଲୋଭ
infanticide	anticipation	0.320	ଶିଶୁକନ୍ୟା
paddle	anticipation	0.320	ପ୍ୟାଡଲ୍ |
heft	anticipation	0.320	ହେଫ୍ଟ
fancy	anticipation	0.320	କଳ୍ପନା
preservative	anticipation	0.320	ସଂରକ୍ଷଣକାରୀ |
unpublished	anticipation	0.312	ପ୍ରକାଶିତ ନୁହେଁ
church	anticipation	0.312	ଚର୍ଚ୍ଚ
bugle	anticipation	0.312	ତ୍ରୁଟି
grim	anticipation	0.312	ଦୁ im ଖ
denying	anticipation	0.312	ଅସ୍ୱୀକାର
analyst	anticipation	0.312	ବିଶ୍ଳେଷକ |
judicial	anticipation	0.305	ନ୍ୟାୟିକ
priesthood	anticipation	0.305	ପୁରୋହିତ
broadside	anticipation	0.305	ବ୍ରଡସାଇଡ୍ |
mill	anticipation	0.305	ମିଲ୍
dismay	anticipation	0.297	ହତାଶ |
cap	anticipation	0.297	କ୍ୟାପ୍
thermocouple	anticipation	0.297	ଥର୍ମୋକୁଲ୍ |
tributary	anticipation	0.297	ଉପନଦୀ
instructor	anticipation	0.297	ନିର୍ଦ୍ଦେଶକ
exhaustion	anticipation	0.297	କ୍ଲାନ୍ତ
saliva	anticipation	0.297	ଲାଳ
cataract	anticipation	0.289	ମୋତିଆବିନ୍ଦୁ |
network	anticipation	0.289	ନେଟୱର୍କ
visor	anticipation	0.289	ଭିଜର୍ |
shackle	anticipation	0.289	ଶିକୁଳି
wont	anticipation	0.289	wont
addresses	anticipation	0.289	ଠିକଣା
discreet	anticipation	0.289	ଚତୁର
noncompliance	anticipation	0.289	ଅସମ୍ପୂର୍ଣ୍ଣତା |
bruise	anticipation	0.289	କ୍ଷତ
homeless	anticipation	0.289	ଭୂମିହୀନ |
astronomer	anticipation	0.281	ଜ୍ୟୋତିଷ
skewed	anticipation	0.281	skewed
neighbor	anticipation	0.281	ପଡୋଶୀ
holiness	anticipation	0.273	ପବିତ୍ରତା
devil	anticipation	0.273	ଶୟତାନ
picket	anticipation	0.273	ପିକେଟ୍
sentence	anticipation	0.273	ବାକ୍ୟ
latent	anticipation	0.273	ଲୁକ୍କାୟିତ |
cream	anticipation	0.273	କ୍ରିମ୍
immaturity	anticipation	0.273	ଅପରିପକ୍ୱତା
habitual	anticipation	0.266	ଅଭ୍ୟାସ
morals	anticipation	0.266	ନ als ତିକତା
neighborhood	anticipation	0.266	ପଡୋଶୀ
lull	anticipation	0.266	ଲାଲ୍
bye	anticipation	0.258	ବିଦାୟ
weight	anticipation	0.258	ଓଜନ
organ	anticipation	0.250	ଅଙ୍ଗ
clown	anticipation	0.250	କ୍ଲାଉନ୍
forearm	anticipation	0.250	ଅଗ୍ରଭାଗ
commonplace	anticipation	0.242	ସାଧାରଣ ସ୍ଥାନ |
quote	anticipation	0.242	ଉଦ୍ଧୃତ
rail	anticipation	0.234	ରେଳ
dictatorship	anticipation	0.234	ଏକଛତ୍ରବାଦୀ ଶାସନ
treadmill	anticipation	0.234	ଟ୍ରାଡମିଲ୍ |
board	anticipation	0.234	ବୋର୍ଡ
tree	anticipation	0.227	ଗଛ
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	ପକ୍ଷାଘାତ
cement	anticipation	0.203	ସିମେଣ୍ଟ |
worm	anticipation	0.203	ପୋକ
organization	anticipation	0.203	ସଂଗଠନ
lagging	anticipation	0.180	ପଛରେ
neutral	anticipation	0.148	ନିରପେକ୍ଷ |
cannibalism	disgust	0.953	କ୍ୟାନିବ୍ୟାଲିଜିମ୍ |
mutilation	disgust	0.930	ପରିବର୍ତ୍ତନ
molestation	disgust	0.914	ନିର୍ଯାତନା
incest	disgust	0.914	ଯ est ନ ସମ୍ପର୍କ
rape	disgust	0.906	ବଳାତ୍କାର
gonorrhea	disgust	0.906	ଗୋନୋରିଆ
cannibal	disgust	0.898	କ୍ୟାନିବଲ୍ |
rot	disgust	0.891	ପୋକ |
corpse	disgust	0.883	ଶବ
massacre	disgust	0.883	ହତ୍ୟା
excrement	disgust	0.883	ବହିଷ୍କାର
barf	disgust	0.875	ବାର୍
slaughter	disgust	0.875	ହତ୍ୟା
slaughterhouse	disgust	0.867	ହତ୍ୟା
incestuous	disgust	0.859	ଅବିନାଶ
sewerage	disgust	0.859	ଜଳ ନିଷ୍କାସନ
filth	disgust	0.859	ଅଶୁଚି
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	ସଂକ୍ରମଣ
plague	disgust	0.852	ମହାମାରୀ
holocaust	disgust	0.852	ହୋଲକୋଷ୍ଟ
bloodthirsty	disgust	0.852	ରକ୍ତହୀନ
rotting	disgust	0.844	ଘୂର୍ଣ୍ଣନ
fecal	disgust	0.844	fecal
maggot	disgust	0.844	ମାଗଟ୍
feces	disgust	0.844	ମଳ
murder	disgust	0.839	ହତ୍ୟା
asshole	disgust	0.836	ପାଉଁଶ
homicide	disgust	0.836	ହତ୍ୟା
enslaved	disgust	0.836	ଦାସ
infanticide	disgust	0.836	ଶିଶୁକନ୍ୟା
perverted	disgust	0.828	ବିକୃତ
excretion	disgust	0.828	ବହିଷ୍କାର
gore	disgust	0.828	ଗୋରେ
slaughtering	disgust	0.828	ବଧ
torture	disgust	0.828	ନିର୍ଯାତନା
contaminate	disgust	0.821	ଦୂଷିତ କରନ୍ତୁ |
revolting	disgust	0.820	ବିଦ୍ରୋହ
gory	disgust	0.820	ଗୋରୀ
shit	disgust	0.820	ଚିଟ୍
terrorist	disgust	0.820	ଆତଙ୍କବାଦୀ
murderer	disgust	0.820	ହତ୍ୟାକାରୀ
repugnant	disgust	0.820	ଘୃଣ୍ୟ
manure	disgust	0.820	ଖତ
pervert	disgust	0.820	ବିକୃତ
diarrhoea	disgust	0.820	arr ାଡ଼ା
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	ଅପମାନ
faeces	disgust	0.812	ମଳ
slavery	disgust	0.812	ଦାସତ୍ୱ
sewer	disgust	0.812	ସ୍ୱେରେଜ୍
cadaver	disgust	0.812	କ୍ୟାଡର
manslaughter	disgust	0.812	ହତ୍ୟା
dismemberment	disgust	0.812	ବିଛିନ୍ନତା |
vomit	disgust	0.812	ବାନ୍ତି
perverse	disgust	0.805	ବିକୃତ
repulsive	disgust	0.805	ଘୃଣ୍ୟ
hemorrhage	disgust	0.805	ରକ୍ତସ୍ରାବ
sewage	disgust	0.797	ଜଳ ନିଷ୍କାସନ
filthy	disgust	0.797	ଅଶୁଚି
diseased	disgust	0.797	ରୋଗଗ୍ରସ୍ତ
depravity	disgust	0.797	ଅପବିତ୍ରତା |
carcass	disgust	0.795	ଶବ
decompose	disgust	0.789	କ୍ଷୟ କର |
gruesome	disgust	0.789	ଭୟଙ୍କର
mutilated	disgust	0.789	ବିକୃତ
puke	disgust	0.789	puke
herpes	disgust	0.789	ହର୍ପସ୍
decayed	disgust	0.789	କ୍ଷୟ
dung	disgust	0.789	ଗୋବର
vermin	disgust	0.789	ଶବ୍ଦ
murderous	disgust	0.789	ହତ୍ୟାକାରୀ
parasite	disgust	0.789	ପରଜୀବୀ
horrific	disgust	0.789	ଭୟଙ୍କର
carnage	disgust	0.781	ହତ୍ୟା
malaria	disgust	0.781	ମ୍ୟାଲେରିଆ
slime	disgust	0.781	ସ୍ଲିମ୍
flatulence	disgust	0.781	ଫ୍ଲାଟୁଲେନ୍ସ
pestilence	disgust	0.781	ମହାମାରୀ
crap	disgust	0.781	ଖରାପ
monstrosity	disgust	0.781	ରାକ୍ଷସ
loathsome	disgust	0.773	ଘୃଣ୍ୟ
toxic	disgust	0.773	ବିଷାକ୍ତ
morgue	disgust	0.773	ମର୍ଗ
pus	disgust	0.773	ପୁସ୍
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	କୁଷ୍ଠରୋଗ
insidious	disgust	0.773	ଗୁପ୍ତ
cruel	disgust	0.766	ନିଷ୍ଠୁର
regurgitation	disgust	0.766	ପୁନର୍ଗଠନ
anthrax	disgust	0.766	ଆନ୍ଥ୍ରାକ୍ସ
xenophobia	disgust	0.766	ଜେନୋଫୋବିୟା |
repugnance	disgust	0.766	ଘୃଣ୍ୟତା
lynch	disgust	0.766	ଲିଞ୍ଚ୍ |
revulsion	disgust	0.766	ପ୍ରତ୍ୟାହାର
whore	disgust	0.766	ବେଶ୍ୟା
dissection	disgust	0.759	ବିଚ୍ଛେଦ |
mucous	disgust	0.758	ଶବ୍ଦ
canker	disgust	0.758	କର୍କଟ
slum	disgust	0.758	ବସ୍ତି
infectious	disgust	0.758	ସଂକ୍ରାମକ
evil	disgust	0.758	ମନ୍ଦ
phlegm	disgust	0.758	ଫ୍ଲେଗମ୍ |
cruelty	disgust	0.758	ନିଷ୍ଠୁରତା
perversion	disgust	0.758	ବିକୃତି
sinister	disgust	0.750	ପାପୀ
leeches	disgust	0.750	କୁଣ୍ଡ
corrupting	disgust	0.750	ଦୁର୍ନୀତି
decomposition	disgust	0.750	କ୍ଷୟ
abomination	disgust	0.742	ଘୃଣ୍ୟ
stinking	disgust	0.742	ଦୁର୍ଗନ୍ଧ
bile	disgust	0.742	ପିତ୍ତ
demonic	disgust	0.742	ଭୂତ
deranged	disgust	0.742	ବିଚଳିତ |
abhorrence	disgust	0.742	ଘୃଣ୍ୟତା
soiled	disgust	0.742	ମୃତ୍ତିକା
mucus	disgust	0.742	ଶବ୍ଦ
septic	disgust	0.742	ସେପ୍ଟିକ୍ |
sickening	disgust	0.742	ଅସୁସ୍ଥ
demon	disgust	0.742	ଭୂତ
cancer	disgust	0.734	କର୍କଟ
obese	disgust	0.734	ମୋଟାପଣ
degeneracy	disgust	0.734	ଅବନତି
despicable	disgust	0.734	ଘୃଣ୍ୟ
atrocity	disgust	0.734	ଅତ୍ୟାଚାର
foul	disgust	0.734	ଖରାପ
sicken	disgust	0.734	ଅସୁସ୍ଥ
crucifixion	disgust	0.734	କ୍ରୁଶବିଦ୍ଧ
terrorism	disgust	0.734	ଆତଙ୍କବାଦ
repulsion	disgust	0.727	ଘୃଣା
morbidity	disgust	0.727	ଅସୁସ୍ଥତା
dysentery	disgust	0.727	ଡିଜେଣ୍ଟେରୀ |
enema	disgust	0.727	ଏନାମା
bacterium	disgust	0.727	ଜୀବାଣୁ
dirty	disgust	0.727	ମଇଳା
adultery	disgust	0.727	ବ୍ୟଭିଚାର
contamination	disgust	0.727	ପ୍ରଦୂଷଣ
grisly	disgust	0.727	ଦୁ is ଖରେ
diabolical	disgust	0.727	ମଧୁମେହ
autopsy	disgust	0.719	ଶବ ବ୍ୟବଚ୍ଛେଦ
barbaric	disgust	0.719	ବର୍ବର
vulgar	disgust	0.719	ଅଶ୍ଳୀଳ
entrails	disgust	0.719	ଭିତର
disgust	disgust	0.719	ଘୃଣ୍ୟ
lewd	disgust	0.719	ଲଜ୍ଜା |
muck	disgust	0.719	ମାକ
bowels	disgust	0.719	ଅନ୍ତନଳୀ
garbage	disgust	0.719	ଅଳିଆ
deterioration	disgust	0.719	ଖରାପ
contagion	disgust	0.719	ସଂକ୍ରମଣ
vicious	disgust	0.719	ଦୁଷ୍ଟ
disfigured	disgust	0.719	ବିକୃତ
pungent	disgust	0.719	ଘୋର
gross	disgust	0.719	ମୋଟ
bloodshed	disgust	0.714	ରକ୍ତପାତ
gag	disgust	0.711	gag
pollute	disgust	0.711	ପ୍ରଦୂଷଣ
nausea	disgust	0.711	ବାନ୍ତି
tyrant	disgust	0.711	ଅତ୍ୟାଚାରୀ
wretched	disgust	0.711	ଦୁର୍ଭାଗ୍ୟ
mortification	disgust	0.711	ବନ୍ଧକ
violent	disgust	0.711	ହିଂସାତ୍ମକ
poisoned	disgust	0.711	ବିଷାକ୍ତ
nauseate	disgust	0.703	ବାନ୍ତି
slimy	disgust	0.703	ପତଳା
grope	disgust	0.703	ଗ୍ରୋପ୍ |
slut	disgust	0.703	ସ୍ଲଟ୍
nasty	disgust	0.703	ଖରାପ
disgusting	disgust	0.703	ଘୃଣ୍ୟ
depraved	disgust	0.703	ଖରାପ
porn	disgust	0.703	ଅଶ୍ଳୀଳତା |
hateful	disgust	0.703	ଘୃଣ୍ୟ
vulgarity	disgust	0.703	ଅଶ୍ଳୀଳତା
noxious	disgust	0.703	ବିଷାକ୍ତ
grime	disgust	0.703	ଦୁ ime ଖ
constipation	disgust	0.703	କୋଷ୍ଠକାଠିନ୍ୟ
secretion	disgust	0.703	ଗୁପ୍ତ
poisoning	disgust	0.703	ବିଷାକ୍ତ
despotism	disgust	0.703	ଦେଶପ୍ରେମ
measles	disgust	0.696	ମିଳିମିଳା
contagious	disgust	0.695	ସଂକ୍ରାମକ
obesity	disgust	0.695	ମେଦବହୁଳତା |
wart	disgust	0.695	ୱାର୍ଟ |
hate	disgust	0.695	ଘୃଣା
hellish	disgust	0.695	ନର୍କ
scum	disgust	0.695	ସ୍କାମ |
suicidal	disgust	0.695	ଆତ୍ମହତ୍ୟା
wretch	disgust	0.695	ଦୁ ret ଖ
abuse	disgust	0.695	ଅପବ୍ୟବହାର |
waste	disgust	0.695	ବର୍ଜ୍ୟବସ୍ତୁ
intestinal	disgust	0.695	ଅନ୍ତନଳୀ
heartworm	disgust	0.688	ହୃଦୟ କୀଟ
ooze	disgust	0.688	ooze
treason	disgust	0.688	ଦେଶଦ୍ରୋହ
contaminated	disgust	0.688	ଦୂଷିତ
smut	disgust	0.688	ସ୍ମଟ୍
disease	disgust	0.688	ରୋଗ
rabid	disgust	0.688	ରାଗି
deformed	disgust	0.680	ବିକଳାଙ୍ଗ
hell	disgust	0.680	ନର୍କ
soulless	disgust	0.680	ପ୍ରାଣହୀନ
cholera	disgust	0.680	କଲେରା
bestial	disgust	0.680	ବେଷ୍ଟିଆଲ୍ |
antichrist	disgust	0.680	ଖ୍ରୀଷ୍ଟଧର୍ମ
freakish	disgust	0.680	ଅବାଧ
germ	disgust	0.680	ଜୀବାଣୁ
detest	disgust	0.680	ଘୃଣା
pollution	disgust	0.680	ପ୍ରଦୂଷଣ
grimy	disgust	0.680	ଦୁ im ଖଦାୟକ
abhorrent	disgust	0.680	ଘୃଣ୍ୟ
hatred	disgust	0.680	ଘୃଣା
abominate	disgust	0.680	ଘୃଣ୍ୟ
sickness	disgust	0.680	ଅସୁସ୍ଥତା
hideous	disgust	0.672	ଘୃଣ୍ୟ
dictatorship	disgust	0.672	ଏକଛତ୍ରବାଦୀ ଶାସନ
loathful	disgust	0.672	ଘୃଣ୍ୟ
greasy	disgust	0.672	ତେଲିଆ
dilapidated	disgust	0.672	ଜରାଜୀର୍ଣ୍ଣ
inhuman	disgust	0.672	ଅମାନୁଷିକ |
loathing	disgust	0.672	ଘୃଣା
obscene	disgust	0.672	ଅଶ୍ଳୀଳ
cess	disgust	0.670	ସେସ୍
devil	disgust	0.664	ଶୟତାନ
deformity	disgust	0.664	ବିକଳାଙ୍ଗତା |
nauseous	disgust	0.664	ବାନ୍ତି
deadly	disgust	0.664	ସାଂଘାତିକ
swine	disgust	0.664	ଘୁଷୁରି
discrimination	disgust	0.664	ଭେଦଭାବ
abominable	disgust	0.664	ଘୃଣ୍ୟ
masochism	disgust	0.664	ମାସୋକ୍ଜିମ୍ |
heretic	disgust	0.664	ଧର୍ମବାଦୀ
latrines	disgust	0.656	ଶ r ଚାଳୟ
corruption	disgust	0.656	ଦୁର୍ନୀତି
poisonous	disgust	0.656	ବିଷାକ୍ତ
horror	disgust	0.656	ଭୟ
nefarious	disgust	0.656	nefarious
bacteria	disgust	0.656	ଜୀବାଣୁ
horrible	disgust	0.656	ଭୟଙ୍କର
trash	disgust	0.656	ଆବର୍ଜନା
abortion	disgust	0.656	ଗର୍ଭପାତ
death	disgust	0.656	ମୃତ୍ୟୁ
prejudiced	disgust	0.656	କୁସଂସ୍କାର
poison	disgust	0.656	ବିଷ
oppression	disgust	0.656	ଅତ୍ୟାଚାର
goo	disgust	0.656	goo
victimized	disgust	0.656	ଶିକାର
mange	disgust	0.656	mange
sludge	disgust	0.648	କାଦୁଅ
trashy	disgust	0.648	ଚମତ୍କାର
vindictive	disgust	0.648	ପ୍ରତିଶୋଧ ପରାୟଣ |
horrid	disgust	0.648	ଭୟଙ୍କର
ugly	disgust	0.648	ଅସୁନ୍ଦର
immoral	disgust	0.648	ଅନ mo ତିକ |
bitch	disgust	0.648	ବିଚ୍
outhouse	disgust	0.648	ବାହାଘର
detestation	disgust	0.648	ଘୃଣ୍ୟ
horrifying	disgust	0.641	ଭୟଙ୍କର
laxative	disgust	0.641	ଲକ୍ସାଟିଭ୍ |
unsightly	disgust	0.641	ଅଜାଣତରେ |
derogatory	disgust	0.641	ଅପମାନ
slop	disgust	0.641	op ୁଲା
malfeasance	disgust	0.641	ଦୁଷ୍କର୍ମ
spew	disgust	0.641	spw
pimple	disgust	0.641	ପିମ୍ପଲ୍ |
criminality	disgust	0.641	ଅପରାଧ
indecency	disgust	0.641	ଅଶ୍ଳୀଳତା
cystic	disgust	0.641	ସିଷ୍ଟିକ୍ |
villainous	disgust	0.641	ଖରାପ
queasy	disgust	0.633	queasy
mildew	disgust	0.633	ମୃଦୁ
oppressive	disgust	0.633	ଦଳିତ
prostitution	disgust	0.633	ଗଣଦୁଷ୍କର୍ମ
secrete	disgust	0.633	ଗୁପ୍ତ
ulcer	disgust	0.633	ଅଲସର
rat	disgust	0.633	ମୂଷା
bigoted	disgust	0.633	ବଡ
perpetrator	disgust	0.633	ଅପରାଧୀ
doomsday	disgust	0.633	ଶେଷ ଦିନ
sinful	disgust	0.633	ପାପୀ
degrading	disgust	0.625	ଅପମାନଜନକ
ghastly	disgust	0.625	ଭୟଙ୍କର
suffering	disgust	0.625	ଦୁ suffering ଖ
obscenity	disgust	0.625	ଅଶ୍ଳୀଳତା |
devilish	disgust	0.625	ଶୟତାନ
disgraceful	disgust	0.625	ଅପମାନଜନକ
persecution	disgust	0.625	ନିର୍ଯ୍ୟାତନା
contemptible	disgust	0.625	ଅବମାନନା
cuckold	disgust	0.625	କୁକୁଡ଼ା
stools	disgust	0.625	ଷ୍ଟୁଲ
dastardly	disgust	0.625	ଦୁ ast ଖଦାୟକ |
sin	disgust	0.625	ପାପ
gluttony	disgust	0.625	ଭୋକ
bloated	disgust	0.625	ଫୁଲିଲା |
fungus	disgust	0.625	କବକ
aghast	disgust	0.625	aghast
diaper	disgust	0.617	ଡାଏପର
malicious	disgust	0.617	ଦୁଷ୍ଟ
polygamy	disgust	0.617	ବହୁବିବାହ
dying	disgust	0.617	ମରୁଥିବା
termite	disgust	0.617	ଟର୍ମାଇଟ୍ |
fat	disgust	0.617	ଚର୍ବି |
deceit	disgust	0.617	ପ୍ରତାରଣା
atrocious	disgust	0.617	ଅତ୍ୟାଚାର
guillotine	disgust	0.617	ଗିଲୋଟିନ୍ |
tetanus	disgust	0.617	ଟିଟାନସ୍ |
spoil	disgust	0.617	ଲୁଣ୍ଠନ
crusty	disgust	0.617	କଞ୍ଚା
sickly	disgust	0.617	ଅସୁସ୍ଥ
louse	disgust	0.617	ଲାଉସ୍
strangle	disgust	0.617	ଗଳାବାଟ
betrayal	disgust	0.617	ବିଶ୍ୱାସଘାତକତା
loathe	disgust	0.617	ଘୃଣା
wench	disgust	0.617	ୱେଚ୍
infect	disgust	0.617	ସଂକ୍ରମଣ
violently	disgust	0.609	ହିଂସାତ୍ମକ ଭାବରେ
brothel	disgust	0.609	ବେଶ୍ୟା
drool	disgust	0.609	ଡ୍ରୋଲ୍ |
bleeding	disgust	0.609	ରକ୍ତସ୍ରାବ
deform	disgust	0.609	ବିକଳାଙ୍ଗ
ghetto	disgust	0.609	ଘେଟୋ |
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	ବିଷାକ୍ତ
abhor	disgust	0.609	ଘୃଣ୍ୟ
slander	disgust	0.609	ନିନ୍ଦା
hostile	disgust	0.609	ଶତ୍ରୁ
musty	disgust	0.602	musty
illicit	disgust	0.602	ଅବ icit ଧ |
ugliness	disgust	0.602	ଅଶୁଭତା
unwashed	disgust	0.602	ଧୋଇବା
swampy	disgust	0.602	ଜଳାଶୟ
deprivation	disgust	0.602	ବ iv ୍ଚିତ
poaching	disgust	0.602	ମତ୍ସ୍ୟଚାଷ
hag	disgust	0.602	ହଗ୍
infidel	disgust	0.602	ଅବିଶ୍ୱାସୀ |
imprisonment	disgust	0.602	କାରାଗାର
traitor	disgust	0.602	ଦେଶଦ୍ରୋହୀ
lunacy	disgust	0.602	lunacy
queasiness	disgust	0.594	ଧାଡ଼ି
hostility	disgust	0.594	ଶତ୍ରୁତା |
repelling	disgust	0.594	ପ୍ରତ୍ୟାହାର
intoxicated	disgust	0.594	ମଦ୍ୟପାନ
thug	disgust	0.594	ଥଗ୍
catastrophe	disgust	0.594	ବିପର୍ଯ୍ୟୟ |
lunatic	disgust	0.594	lunatic
misery	disgust	0.594	ଦୁ y ଖ
venom	disgust	0.594	ବିଷ
butcher	disgust	0.594	ବୁଟର୍
toilet	disgust	0.594	ଶୌଚାଳୟ
blister	disgust	0.594	ଫୁଲା
lurid	disgust	0.594	lurid
slug	disgust	0.594	ସ୍ଲଗ୍
gut	disgust	0.594	ଗୁପ୍ତ
sinner	disgust	0.594	ପାପୀ
deceitful	disgust	0.594	ପ୍ରତାରଣାକାରୀ
epidemic	disgust	0.594	ମହାମାରୀ
deteriorated	disgust	0.586	ଖରାପ
lavatory	disgust	0.586	ଶ v ଚାଳୟ
unclean	disgust	0.586	ଅଶୁଚି
prostitute	disgust	0.586	ବେଶ୍ୟା
incubus	disgust	0.586	ଇନକ୍ୟୁବସ୍
appalling	disgust	0.586	ଭୟଭୀତ
dreadful	disgust	0.586	ଭୟଭୀତ
pornography	disgust	0.586	ଅଶ୍ଳୀଳତା |
harass	disgust	0.586	ହଇରାଣ |
squeamish	disgust	0.578	ଚିତ୍କାର
expulsion	disgust	0.578	ବହିଷ୍କାର
unfaithful	disgust	0.578	ଅବିଶ୍ୱାସୀ
offensive	disgust	0.578	ଆପତ୍ତିଜନକ |
hypocrite	disgust	0.578	କପଟୀ
humiliating	disgust	0.578	ଅପମାନଜନକ
larceny	disgust	0.578	larceny
ruinous	disgust	0.578	ବିନାଶକାରୀ
retard	disgust	0.578	retard
rash	disgust	0.578	ଦାଗ
flea	disgust	0.578	ପୋକ
debauchery	disgust	0.578	ଦୁଷ୍କର୍ମ
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	quagmire
conspirator	disgust	0.578	ଷଡଯନ୍ତ୍ରକାରୀ
sick	disgust	0.578	ଅସୁସ୍ଥ
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	କୁକୁର
egregious	disgust	0.570	ଉଦାହରଣ
flog	disgust	0.570	ଚାପ
despise	disgust	0.570	ତୁଚ୍ଛ
treacherous	disgust	0.570	ବିଶ୍ୱାସଘାତକ
oppress	disgust	0.570	ଅତ୍ୟାଚାର
swamp	disgust	0.570	ଜଳାଶୟ
messy	disgust	0.570	ବିଶୃଙ୍ଖଳିତ |
spit	disgust	0.570	ଛେପ ପକାନ୍ତୁ |
dank	disgust	0.570	ଡଙ୍କ୍
bastard	disgust	0.570	ଦୁଷ୍ଟ
devastating	disgust	0.570	ବିନାଶକାରୀ |
serpent	disgust	0.570	ସର୍ପ
loo	disgust	0.562	loo
indecent	disgust	0.562	ଅଶ୍ଳୀଳ
insanity	disgust	0.562	ପାଗଳାମି |
stealing	disgust	0.562	ଚୋରି
terrible	disgust	0.562	ଭୟଙ୍କର
tyrannical	disgust	0.562	ଅତ୍ୟାଚାର
humiliation	disgust	0.562	ଅପମାନ
snake	disgust	0.562	ସାପ
sloppy	disgust	0.562	ସ୍ଲିପି
sinning	disgust	0.562	ପାପ
harmful	disgust	0.562	କ୍ଷତିକାରକ
harlot	disgust	0.562	ବେଶ୍ୟା
sordid	disgust	0.562	ସର୍ଡିଡ୍ |
enemy	disgust	0.562	ଶତ୍ରୁ
alcoholism	disgust	0.562	ମଦ୍ୟପାନ
awful	disgust	0.562	ଭୟଙ୍କର
ruthless	disgust	0.562	ନିର୍ଦ୍ଦୟ
scoundrel	disgust	0.562	ଘୃଣ୍ୟ
bloody	disgust	0.555	ରକ୍ତାକ୍ତ
flabby	disgust	0.555	ଫ୍ଲାବି |
odious	disgust	0.555	ଖରାପ
beastly	disgust	0.555	ପଶୁ
collusion	disgust	0.555	ମିଳନ
ridicule	disgust	0.555	ପରିହାସ
discriminating	disgust	0.555	ଭେଦଭାବ
unattractive	disgust	0.555	ଅପ୍ରାକୃତିକ |
