English Word	Emotion	Emotion-Intensity-Score	Igbo Word
nascent	anticipation	0.500	nwa ọhụrụ
invocation	anticipation	0.500	okuku
depart	anticipation	0.500	pụọ
undisclosed	anticipation	0.500	ekwuputaghi
attendance	anticipation	0.500	ọbịbịa
peril	anticipation	0.500	ihe egwu
income	anticipation	0.500	ego
calculation	anticipation	0.500	ngụkọta oge
zeal	anticipation	0.500	ịnụ ọkụ n'obi
eventuality	anticipation	0.500	n'ikpeazụ
favorable	anticipation	0.500	mma
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	igwu mmiri
proceeding	anticipation	0.492	na-aga n'ihu
eventual	anticipation	0.492	emechaa
heyday	anticipation	0.492	heyday
undertaking	anticipation	0.492	ime ihe
improvise	anticipation	0.492	imeziwanye
inauguration	anticipation	0.492	nraranye
consequent	anticipation	0.492	N'ihi ya
perspective	anticipation	0.492	echiche
defense	anticipation	0.492	agbachitere
repay	anticipation	0.492	kwụọ ụgwọ
gaping	anticipation	0.492	gaping
youth	anticipation	0.492	ntorobịa
parole	anticipation	0.492	nkwuwa okwu
worry	anticipation	0.492	ichegbu onwe
bless	anticipation	0.492	gọzie
restorative	anticipation	0.492	mweghachi
court	anticipation	0.492	ụlọ ikpe
highest	anticipation	0.491	kacha elu
shortly	anticipation	0.484	n'oge na-adịghị anya
auspicious	anticipation	0.484	dị mma
princely	anticipation	0.484	eze
correspondence	anticipation	0.484	akwụkwọ ozi
generosity	anticipation	0.484	mmesapụ aka
sparkle	anticipation	0.484	na-egbuke egbuke
voluptuous	anticipation	0.484	nke olu
happen	anticipation	0.484	mee
tremor	anticipation	0.484	ịma jijiji
letter	anticipation	0.484	leta
vow	anticipation	0.484	nkwa
sharpen	anticipation	0.484	mụchaa
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	iyi egwu
god	anticipation	0.484	chi
engulf	anticipation	0.484	ikpu
unexplained	anticipation	0.484	na-akọwaghị
contagion	anticipation	0.484	ofufe
glorify	anticipation	0.477	inye otuto
submit	anticipation	0.477	nyefee
enroll	anticipation	0.477	debanye aha
unification	anticipation	0.477	ịdị n'otu
gravitate	anticipation	0.477	gravitate
glide	anticipation	0.477	ije
accompaniment	anticipation	0.477	nsoro
cherish	anticipation	0.477	hụrụ n'anya
adore	anticipation	0.477	hụrụ n'anya
powerful	anticipation	0.477	ike
clue	anticipation	0.477	akara
medal	anticipation	0.477	nrite
contemplate	anticipation	0.477	tụgharịa uche
perilous	anticipation	0.477	dị ize ndụ
determinate	anticipation	0.477	kpebisie ike
arbitration	anticipation	0.477	ikpe ikpe
recipient	anticipation	0.477	onye nnata
onset	anticipation	0.477	mmalite
predispose	anticipation	0.477	buru amụma
score	anticipation	0.477	Akara
torture	anticipation	0.477	ịta ahụhụ
glow	anticipation	0.477	na-egbuke egbuke
praiseworthy	anticipation	0.473	kwesịrị otuto
football	anticipation	0.469	bọọlụ
scare	anticipation	0.469	egwu
elite	anticipation	0.469	ndị isi
unknown	anticipation	0.469	amaghị
precursor	anticipation	0.469	precursor
pry	anticipation	0.469	pry
providing	anticipation	0.469	inye
sweets	anticipation	0.469	sweets
cautious	anticipation	0.469	kpachara anya
opera	anticipation	0.469	opera
motion	anticipation	0.469	ngagharị
cash	anticipation	0.469	ego
creeping	anticipation	0.469	na-akpụ akpụ
invoke	anticipation	0.469	kpọkuo
star	anticipation	0.469	kpakpando
shaky	anticipation	0.469	maa jijiji
production	anticipation	0.469	mmepụta
successful	anticipation	0.469	aga nke ọma
immediately	anticipation	0.469	ozugbo
dawn	anticipation	0.469	chi ọbụbọ
starry	anticipation	0.469	kpakpando
unsurpassed	anticipation	0.469	enweghị atụ
completion	anticipation	0.469	mmecha
hire	anticipation	0.469	goro
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	ncheta
shining	anticipation	0.461	na-egbuke egbuke
testament	anticipation	0.461	ọgbụgba ndụ
pay	anticipation	0.461	kwụọ ụgwọ
alive	anticipation	0.461	dị ndụ
plight	anticipation	0.461	nsogbu
preliminary	anticipation	0.461	nke mbido
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	ebe nsọ
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	akwukwo
synchronize	anticipation	0.461	mekọrịta
soundness	anticipation	0.461	ịdị mma
extricate	anticipation	0.461	wepụ
excel	anticipation	0.461	excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	ekwughi
brilliant	anticipation	0.461	amamiihe
cheerfulness	anticipation	0.461	obi ụtọ
jeopardy	anticipation	0.461	ihe egwu
friendly	anticipation	0.461	enyi na enyi
mail	anticipation	0.461	ozi
unexpected	anticipation	0.453	na-atụghị anya ya
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	mmalite
supremacy	anticipation	0.453	elu
rehabilitation	anticipation	0.453	mmezigharị
intimately	anticipation	0.453	na-akpachi anya
career	anticipation	0.453	ọrụ
prevention	anticipation	0.453	mgbochi
renovate	anticipation	0.453	imeghari ohuru
compliment	anticipation	0.453	otuto
prologue	anticipation	0.453	okwu mmalite
elegance	anticipation	0.453	ịdị mma
complement	anticipation	0.453	imeju
flinch	anticipation	0.453	tụfuo
infinity	anticipation	0.453	enweghi ngwụcha
perpetuity	anticipation	0.453	ebighi ebi
sunset	anticipation	0.453	ọdịda anyanwụ
improve	anticipation	0.453	kwalite
fitting	anticipation	0.445	dabara adaba
confidence	anticipation	0.445	obi ike
concealment	anticipation	0.445	nzuzo
sweet	anticipation	0.445	ụtọ
perfect	anticipation	0.445	zuru oke
epidemic	anticipation	0.445	ntiwapụ ọrịa
fain	anticipation	0.445	mfe
volunteer	anticipation	0.445	afọ ofufo
share	anticipation	0.445	òkè
surround	anticipation	0.445	gbara ya gburugburu
conjecture	anticipation	0.445	ntule
sun	anticipation	0.445	anyanwụ
veracity	anticipation	0.445	eziokwu
serial	anticipation	0.438	Oghere Usoro
angel	anticipation	0.438	mmụọ ozi
aloha	anticipation	0.438	udo
saint	anticipation	0.438	senti
tickle	anticipation	0.438	tikuo
superstitious	anticipation	0.438	nkwenkwe ụgha
ferment	anticipation	0.438	gbaa ụka
conservation	anticipation	0.438	nchekwa
devout	anticipation	0.438	di nsọ
respect	anticipation	0.438	nkwanye ùgwù
reconstruction	anticipation	0.438	nwughari
goodness	anticipation	0.438	ịdị mma
reconstruct	anticipation	0.438	wugharia
faith	anticipation	0.438	okwukwe
recombination	anticipation	0.438	nchikota
prepared	anticipation	0.438	kwadebere
rabid	anticipation	0.438	obi ojoo
plea	anticipation	0.438	arịrịọ
medical	anticipation	0.438	ọgwụ
passenger	anticipation	0.438	onye njem
charitable	anticipation	0.430	ọrụ ebere
tabulate	anticipation	0.430	tabulate
peace	anticipation	0.430	udo
install	anticipation	0.430	tinye
serenity	anticipation	0.430	obi iru ala
venerable	anticipation	0.430	kwesịrị nsọpụrụ
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	na-atọ ụtọ
perpetuate	anticipation	0.430	adigide
strategist	anticipation	0.430	strategist
unverified	anticipation	0.430	ekwuputaghi
tribunal	anticipation	0.430	ụlọ ikpe
clap	anticipation	0.430	kụọ aka
peaceful	anticipation	0.422	udo
patience	anticipation	0.422	ndidi
unresolved	anticipation	0.422	edozighi ya
worship	anticipation	0.422	ife ofufe
edification	anticipation	0.422	iwuli elu
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	ọchị
revere	anticipation	0.422	nkwanye ugwu
candid	anticipation	0.422	eziokwu
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	onye na-agba izu
adrift	anticipation	0.422	iduhie
recognizable	anticipation	0.422	amata
volatility	anticipation	0.422	mgbanwe
forestall	anticipation	0.422	igbochi
laughter	anticipation	0.422	ochi
continue	anticipation	0.414	gaa n'ihu
ongoing	anticipation	0.414	na-aga n'ihu
astrologer	anticipation	0.414	onye na-agụ kpakpando
mediate	anticipation	0.414	ogbugbo
punctual	anticipation	0.414	n'oge
grant	anticipation	0.414	inye
morn	anticipation	0.414	ututu
pretty	anticipation	0.414	mara mma
withstand	anticipation	0.414	iguzogide
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	echiche
probation	anticipation	0.414	nnwale
ordination	anticipation	0.414	echichi
calls	anticipation	0.414	oku
detainee	anticipation	0.414	onye ejidere
craps	anticipation	0.414	craps
weigh	anticipation	0.414	tụọ
proficiency	anticipation	0.414	nka
sing	anticipation	0.411	bụọ
continuation	anticipation	0.406	n'ihu
university	anticipation	0.406	mahadum
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	zụlite
mother	anticipation	0.406	nne
punished	anticipation	0.406	tara ahụhụ
twinkle	anticipation	0.406	nwughari
confession	anticipation	0.406	nkwuputa
outdo	anticipation	0.406	pụọ
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	mpako
midwife	anticipation	0.406	midwife
wizard	anticipation	0.406	ọkachamara
headlight	anticipation	0.406	ọkụ ihu
long	anticipation	0.406	ogologo
banquet	anticipation	0.406	oriri
comfort	anticipation	0.406	nkasi obi
navigable	anticipation	0.406	navigable
subscribe	anticipation	0.406	denye aha
opponent	anticipation	0.406	onye mmegide
debenture	anticipation	0.406	mpempe akwụkwọ
deal	anticipation	0.402	nkwekọrịta
symphony	anticipation	0.398	Symphony
saintly	anticipation	0.398	dị nsọ
judiciary	anticipation	0.398	ikpe
lettered	anticipation	0.398	edeputara
vigil	anticipation	0.398	nche
reliance	anticipation	0.398	ịdabere
distracting	anticipation	0.398	na-adọpụ uche
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	balm
simmer	anticipation	0.398	simmer
top	anticipation	0.398	n'elu
obliging	anticipation	0.398	na-amanye
efficient	anticipation	0.398	oru oma
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	na-anọchi anya
death	anticipation	0.398	ọnwụ
assurance	anticipation	0.391	mmesi obi ike
familiarity	anticipation	0.391	amara
depraved	anticipation	0.391	rụrụ arụ
condemnation	anticipation	0.391	ikpe
undoubted	anticipation	0.391	obi abụọ adịghị ya
sanctify	anticipation	0.391	do nsọ
diplomacy	anticipation	0.391	diplomacy
antidote	anticipation	0.391	ọgwụ mgbochi
trust	anticipation	0.391	ntụkwasị obi
linger	anticipation	0.391	na-adịte aka
objective	anticipation	0.391	ebumnobi
chuckle	anticipation	0.391	chịrị ọchị
poke	anticipation	0.391	kpagbuo
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	nne
art	anticipation	0.391	nka
unfulfilled	anticipation	0.391	emezughi
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	mee ka ọ dị mfe
depend	anticipation	0.383	dabere
chant	anticipation	0.383	gwuo egwu
ram	anticipation	0.383	ebule
banger	anticipation	0.383	banger
playground	anticipation	0.383	ogige egwuregwu
labor	anticipation	0.383	arụ ọrụ
scientist	anticipation	0.383	ọkà mmụta sayensị
good	anticipation	0.383	nke ọma
humanitarian	anticipation	0.383	ndi mmadu
failing	anticipation	0.383	na-ada ada
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	na-arụ ọrụ
hymn	anticipation	0.383	ukwe
ship	anticipation	0.383	ụgbọ mmiri
discretion	anticipation	0.383	ezi uche
undecided	anticipation	0.383	ekpebiela
gradual	anticipation	0.375	nke nta nke nta
navigator	anticipation	0.375	onye navigator
track	anticipation	0.375	egwu
cradle	anticipation	0.375	nwatakiri
sterling	anticipation	0.375	magburu onwe ya
interim	anticipation	0.375	nwa oge
clock	anticipation	0.375	elekere
mountain	anticipation	0.375	ugwu
interminable	anticipation	0.375	interminable
public	anticipation	0.375	ọha
recurrent	anticipation	0.375	ugboro ugboro
savor	anticipation	0.375	ụtọ
abide	anticipation	0.367	rube isi
concealed	anticipation	0.367	zoro ezo
spear	anticipation	0.367	ube
lesson	anticipation	0.367	nkuzi
instructions	anticipation	0.367	ntuziaka
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	kwenye
whim	anticipation	0.367	ihie
shiver	anticipation	0.367	ịma jijiji
towering	anticipation	0.367	elu
musical	anticipation	0.367	egwu
offset	anticipation	0.359	nkwụsị
theory	anticipation	0.359	tiori
theology	anticipation	0.359	nkà mmụta okpukpe
undying	anticipation	0.359	na-anwụ anwụ
timidity	anticipation	0.359	ihere
plump	anticipation	0.359	juputara
atone	anticipation	0.359	mgbaghara
audience	anticipation	0.357	ndị na-ege ntị
dietary	anticipation	0.352	nri
consecration	anticipation	0.352	nchuaja
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	ụlọ ahịa
farm	anticipation	0.352	ugbo
daily	anticipation	0.352	kwa ụbọchị
cramp	anticipation	0.352	mgbakasị ahụ
nobility	anticipation	0.352	onye isi
closure	anticipation	0.352	mmechi
edition	anticipation	0.352	mbipụta
kindred	anticipation	0.352	ndị ikwu
stripped	anticipation	0.344	yipu
errand	anticipation	0.344	ozi
archaeology	anticipation	0.344	nkà mmụta ihe ochie
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	ikuku
meditate	anticipation	0.344	tụgharịa uche
mobile	anticipation	0.344	mkpanaka
germ	anticipation	0.336	nje
brotherly	anticipation	0.336	ụmụnna
lessen	anticipation	0.336	belata
unbeaten	anticipation	0.336	emerieghị
pare	anticipation	0.336	oke
buddy	anticipation	0.336	enyi
unaccountable	anticipation	0.336	enweghị atụ
dove	anticipation	0.328	nduru
patient	anticipation	0.328	ndidi
secular	anticipation	0.328	ego ụwa
digress	anticipation	0.328	digress
chastity	anticipation	0.328	ịdị ọcha n'anya
council	anticipation	0.328	kansul
olfactory	anticipation	0.328	isi ísì
ribbon	anticipation	0.328	rịbọn
possess	anticipation	0.328	nweta
disposed	anticipation	0.320	tụfuru
scrutinize	anticipation	0.320	inyocha
immature	anticipation	0.320	akabeghị aka
mediator	anticipation	0.320	onye ogbugbo
regularity	anticipation	0.320	oge niile
cove	anticipation	0.320	anya
infanticide	anticipation	0.320	igbu nwa ọhụrụ
paddle	anticipation	0.320	paddle
heft	anticipation	0.320	heft
fancy	anticipation	0.320	mara mma
preservative	anticipation	0.320	ihe nchekwa
unpublished	anticipation	0.312	ebipụtaghị
church	anticipation	0.312	ụka
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	njo
denying	anticipation	0.312	ịgọnarị
analyst	anticipation	0.312	nyocha
judicial	anticipation	0.305	ikpe
priesthood	anticipation	0.305	ọkwa nchụ-aja
broadside	anticipation	0.305	sara mbara
mill	anticipation	0.305	igwe nri
dismay	anticipation	0.297	itujo
cap	anticipation	0.297	okpu
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributary
instructor	anticipation	0.297	onye nkuzi
exhaustion	anticipation	0.297	ike ọgwụgwụ
saliva	anticipation	0.297	asu
cataract	anticipation	0.289	cataract
network	anticipation	0.289	netwọk
visor	anticipation	0.289	visor
shackle	anticipation	0.289	njigide
wont	anticipation	0.289	agaghị
addresses	anticipation	0.289	adreesị
discreet	anticipation	0.289	nwere uche
noncompliance	anticipation	0.289	ekweghiekwe
bruise	anticipation	0.289	ọnya
homeless	anticipation	0.289	enweghị ebe obibi
astronomer	anticipation	0.281	onye na-enyocha mbara igwe
skewed	anticipation	0.281	skewed
neighbor	anticipation	0.281	onye agbata obi
holiness	anticipation	0.273	ịdị nsọ
devil	anticipation	0.273	ekwensu
picket	anticipation	0.273	picket
sentence	anticipation	0.273	ahiriokwu
latent	anticipation	0.273	latent
cream	anticipation	0.273	ude
immaturity	anticipation	0.273	etozughi oke
habitual	anticipation	0.266	emebu
morals	anticipation	0.266	omume ọma
neighborhood	anticipation	0.266	agbataobi
lull	anticipation	0.266	lull
bye	anticipation	0.258	bye
weight	anticipation	0.258	ibu
organ	anticipation	0.250	ngwa
clown	anticipation	0.250	ome ochi
forearm	anticipation	0.250	ogwe aka
commonplace	anticipation	0.242	nkịtị
quote	anticipation	0.242	see okwu
rail	anticipation	0.234	ụgbọ okporo ígwè
dictatorship	anticipation	0.234	ọchịchị aka ike
treadmill	anticipation	0.234	igwe kwụ otu ebe
board	anticipation	0.234	osisi
tree	anticipation	0.227	osisi
sundial	anticipation	0.227	anwụ anwụ
paralysis	anticipation	0.211	ahụ mkpọnwụ
cement	anticipation	0.203	simenti
worm	anticipation	0.203	ikpuru
organization	anticipation	0.203	nhazi
lagging	anticipation	0.180	na-egbu oge
neutral	anticipation	0.148	na-anọpụ iche
cannibalism	disgust	0.953	anụ oriri
mutilation	disgust	0.930	ibibi
molestation	disgust	0.914	mmetọ
incest	disgust	0.914	idina nwoke
rape	disgust	0.906	idina mmadụ n'ike
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	anụ anụ mmadụ
rot	disgust	0.891	ire ere
corpse	disgust	0.883	ozu
massacre	disgust	0.883	ogbugbu
excrement	disgust	0.883	excretion
barf	disgust	0.875	barf
slaughter	disgust	0.875	igbummadu
slaughterhouse	disgust	0.867	ụlọ anụ ọhịa
incestuous	disgust	0.859	onye ikwu
sewerage	disgust	0.859	ọwa mmiri
filth	disgust	0.859	unyi
bigot	disgust	0.859	nnukwu
rancid	disgust	0.859	rancid
infestation	disgust	0.852	ofufe
plague	disgust	0.852	ọrịa
holocaust	disgust	0.852	oke mbibi
bloodthirsty	disgust	0.852	ọbara-ọbara
rotting	disgust	0.844	ire ere
fecal	disgust	0.844	fekal
maggot	disgust	0.844	ikpuru
feces	disgust	0.844	nsị
murder	disgust	0.839	igbu mmadụ
asshole	disgust	0.836	Ike
homicide	disgust	0.836	igbu mmadụ
enslaved	disgust	0.836	agba ohu
infanticide	disgust	0.836	igbu nwa ọhụrụ
perverted	disgust	0.828	agbagọ
excretion	disgust	0.828	mkpoputa
gore	disgust	0.828	agba
slaughtering	disgust	0.828	na-egbu anụ
torture	disgust	0.828	ịta ahụhụ
contaminate	disgust	0.821	merụọ ahụ
revolting	disgust	0.820	na-enupụ isi
gory	disgust	0.820	gori
shit	disgust	0.820	shit
terrorist	disgust	0.820	onye na-eyi ọha egwu
murderer	disgust	0.820	ogbugbu
repugnant	disgust	0.820	na-asọ oyi
manure	disgust	0.820	nri
pervert	disgust	0.820	agbagọ
diarrhoea	disgust	0.820	afọ ọsịsa
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	mmetọ
faeces	disgust	0.812	nsị
slavery	disgust	0.812	ịgba ohu
sewer	disgust	0.812	ọwa mmiri
cadaver	disgust	0.812	agba aja aja
manslaughter	disgust	0.812	ogbugbu
dismemberment	disgust	0.812	nkewa
vomit	disgust	0.812	ịgbọ agbọ
perverse	disgust	0.805	agbagọ
repulsive	disgust	0.805	na-asọ oyi
hemorrhage	disgust	0.805	ọbara ọgbụgba
sewage	disgust	0.797	nsị
filthy	disgust	0.797	ruru unyi
diseased	disgust	0.797	ọrịa
depravity	disgust	0.797	mmebi iwu
carcass	disgust	0.795	azu
decompose	disgust	0.789	ire ere
gruesome	disgust	0.789	di egwu
mutilated	disgust	0.789	ebibie
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	rere ure
dung	disgust	0.789	nsị
vermin	disgust	0.789	anụ ọhịa
murderous	disgust	0.789	egbu egbu
parasite	disgust	0.789	parasaiti
horrific	disgust	0.789	egwu
carnage	disgust	0.781	igbu egbu
malaria	disgust	0.781	ịba
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	ọrịa na-efe efe
crap	disgust	0.781	ihe ojoo
monstrosity	disgust	0.781	monstrosity
loathsome	disgust	0.773	na-asọ oyi
toxic	disgust	0.773	nsi
morgue	disgust	0.773	ozu
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	ekpenta
insidious	disgust	0.773	aghụghọ
cruel	disgust	0.766	obi ọjọọ
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	ịsọ oyi
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	mkparị
whore	disgust	0.766	akwụna
dissection	disgust	0.759	nkesa
mucous	disgust	0.758	mucosa
canker	disgust	0.758	canker
slum	disgust	0.758	mkpọkpọkpọ
infectious	disgust	0.758	na-efe efe
evil	disgust	0.758	ihe ojoo
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	obi ọjọọ
perversion	disgust	0.758	agbagọ
sinister	disgust	0.750	ajọ omume
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	na-emebi emebi
decomposition	disgust	0.750	ire ere
abomination	disgust	0.742	ihe arụ
stinking	disgust	0.742	na-esi ísì
bile	disgust	0.742	bile
demonic	disgust	0.742	mmụọ ọjọọ
deranged	disgust	0.742	mebiri emebi
abhorrence	disgust	0.742	ịkpọasị
soiled	disgust	0.742	emerughi ihe
mucus	disgust	0.742	imi
septic	disgust	0.742	septik
sickening	disgust	0.742	na-arịa ọrịa
demon	disgust	0.742	mmụọ ọjọọ
cancer	disgust	0.734	ọrịa kansa
obese	disgust	0.734	oke ibu
degeneracy	disgust	0.734	mmebi
despicable	disgust	0.734	ihe nleda anya
atrocity	disgust	0.734	arụrụ arụ
foul	disgust	0.734	ihe ojoo
sicken	disgust	0.734	arịa ọrịa
crucifixion	disgust	0.734	nkpogide n'obe
terrorism	disgust	0.734	iyi ọha egwu
repulsion	disgust	0.727	nchupu
morbidity	disgust	0.727	ọrịa na-efe efe
dysentery	disgust	0.727	ọnyụnyụ ọbara
enema	disgust	0.727	enema
bacterium	disgust	0.727	nje bacteria
dirty	disgust	0.727	ruru unyi
adultery	disgust	0.727	ịkwa iko
contamination	disgust	0.727	mmetọ
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	nyocha anya
barbaric	disgust	0.719	onye obi ebere
vulgar	disgust	0.719	okwu rụrụ arụ
entrails	disgust	0.719	ntinye aka
disgust	disgust	0.719	ịkpọasị
lewd	disgust	0.719	rụrụ arụ
muck	disgust	0.719	imi
bowels	disgust	0.719	eriri afọ
garbage	disgust	0.719	ihe mkpofu
deterioration	disgust	0.719	mmebi
contagion	disgust	0.719	ofufe
vicious	disgust	0.719	obi ojoo
disfigured	disgust	0.719	emeruru
pungent	disgust	0.719	na-eti mkpu
gross	disgust	0.719	oke
bloodshed	disgust	0.714	mkwafu ọbara
gag	disgust	0.711	gag
pollute	disgust	0.711	mmetọ
nausea	disgust	0.711	ọgbụgbọ
tyrant	disgust	0.711	onye ọchịchị aka ike
wretched	disgust	0.711	jọrọ njọ
mortification	disgust	0.711	mortification
violent	disgust	0.711	ime ihe ike
poisoned	disgust	0.711	nsi
nauseate	disgust	0.703	ọgbụgbọ
slimy	disgust	0.703	slimi
grope	disgust	0.703	ikpokọta
slut	disgust	0.703	slut
nasty	disgust	0.703	obi ojoo
disgusting	disgust	0.703	na-asọ oyi
depraved	disgust	0.703	rụrụ arụ
porn	disgust	0.703	porn
hateful	disgust	0.703	asị
vulgarity	disgust	0.703	okwu rụrụ arụ
noxious	disgust	0.703	na-egbu egbu
grime	disgust	0.703	ihe ojoo
constipation	disgust	0.703	afọ ntachi
secretion	disgust	0.703	nzuzo
poisoning	disgust	0.703	nsị
despotism	disgust	0.703	enweghị mmasị
measles	disgust	0.696	measles
contagious	disgust	0.695	na efe efe
obesity	disgust	0.695	oke ibu
wart	disgust	0.695	wart
hate	disgust	0.695	ịkpọ asị
hellish	disgust	0.695	hell
scum	disgust	0.695	afuo
suicidal	disgust	0.695	igbu onwe ya
wretch	disgust	0.695	jọrọ njọ
abuse	disgust	0.695	mmegbu
waste	disgust	0.695	imefusị ihe
intestinal	disgust	0.695	eriri afọ
heartworm	disgust	0.688	obi worm
ooze	disgust	0.688	ooze
treason	disgust	0.688	aghụghọ
contaminated	disgust	0.688	emeru
smut	disgust	0.688	smut
disease	disgust	0.688	ọrịa
rabid	disgust	0.688	obi ojoo
deformed	disgust	0.680	oruru
hell	disgust	0.680	hell
soulless	disgust	0.680	enweghị mkpụrụ obi
cholera	disgust	0.680	ọgbụgbọ ọgbụgbọ
bestial	disgust	0.680	anụ ọhịa
antichrist	disgust	0.680	onye na-emegide Kraịst
freakish	disgust	0.680	nke ọhụrụ
germ	disgust	0.680	nje
detest	disgust	0.680	ịkpọasị
pollution	disgust	0.680	mmetọ
grimy	disgust	0.680	dị nro
abhorrent	disgust	0.680	na-asọ oyi
hatred	disgust	0.680	ịkpọasị
abominate	disgust	0.680	na-asọ oyi
sickness	disgust	0.680	ọrịa
hideous	disgust	0.672	egwu
dictatorship	disgust	0.672	ọchịchị aka ike
loathful	disgust	0.672	na-asọ oyi
greasy	disgust	0.672	kegriiz
dilapidated	disgust	0.672	dara ada
inhuman	disgust	0.672	emegbu mmadu
loathing	disgust	0.672	ịkpọasị
obscene	disgust	0.672	rụrụ arụ
cess	disgust	0.670	cess
devil	disgust	0.664	ekwensu
deformity	disgust	0.664	nrụrụ
nauseous	disgust	0.664	ọgbụgbọ
deadly	disgust	0.664	na-egbu egbu
swine	disgust	0.664	ezì
discrimination	disgust	0.664	ịkpa oke
abominable	disgust	0.664	ihe arụ
masochism	disgust	0.664	masochism
heretic	disgust	0.664	onye jụrụ okwukwe
latrines	disgust	0.656	ụlọ mposi
corruption	disgust	0.656	nrụrụ aka
poisonous	disgust	0.656	nsi
horror	disgust	0.656	egwu
nefarious	disgust	0.656	dị njọ
bacteria	disgust	0.656	nje bacteria
horrible	disgust	0.656	jọgburu onwe ya
trash	disgust	0.656	ahịhịa
abortion	disgust	0.656	ime ime
death	disgust	0.656	ọnwụ
prejudiced	disgust	0.656	ajọ mbunobi
poison	disgust	0.656	nsi
oppression	disgust	0.656	mmegbu
goo	disgust	0.656	goo
victimized	disgust	0.656	emegbu
mange	disgust	0.656	mange
sludge	disgust	0.648	sludge
trashy	disgust	0.648	ihe mkpofu
vindictive	disgust	0.648	na-abọ ọbọ
horrid	disgust	0.648	egwu
ugly	disgust	0.648	jọrọ njọ
immoral	disgust	0.648	omume rụrụ arụ
bitch	disgust	0.648	Anụ ọhịa
outhouse	disgust	0.648	ụlọ
detestation	disgust	0.648	ịkpọasị
horrifying	disgust	0.641	na-atụ egwu
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	na-adịghị mma
derogatory	disgust	0.641	mkparị
slop	disgust	0.641	slop
malfeasance	disgust	0.641	mmebi iwu
spew	disgust	0.641	ịsụ
pimple	disgust	0.641	pimple
criminality	disgust	0.641	mpụ
indecency	disgust	0.641	akwụghị ọtọ
cystic	disgust	0.641	cystic
villainous	disgust	0.641	ajọ omume
queasy	disgust	0.633	dị nro
mildew	disgust	0.633	mildew
oppressive	disgust	0.633	emegbu
prostitution	disgust	0.633	ịgba akwụna
secrete	disgust	0.633	zoo
ulcer	disgust	0.633	ọnyá afọ
rat	disgust	0.633	oke
bigoted	disgust	0.633	onye ukwu
perpetrator	disgust	0.633	onye na-eme ihe
doomsday	disgust	0.633	ụbọchị ikpe
sinful	disgust	0.633	nmehie
degrading	disgust	0.625	na-eweda ala
ghastly	disgust	0.625	jọgburu onwe ya
suffering	disgust	0.625	nhụjuanya
obscenity	disgust	0.625	okwu rụrụ arụ
devilish	disgust	0.625	ekwensu
disgraceful	disgust	0.625	ihere
persecution	disgust	0.625	mkpagbu
contemptible	disgust	0.625	ihe nleda anya
cuckold	disgust	0.625	nchikota
stools	disgust	0.625	stool
dastardly	disgust	0.625	dastard
sin	disgust	0.625	mmehie
gluttony	disgust	0.625	iribiga nri ókè
bloated	disgust	0.625	ikekfụ
fungus	disgust	0.625	ero
aghast	disgust	0.625	egwu
diaper	disgust	0.617	akwa akwa
malicious	disgust	0.617	obi ojoo
