English Word	Emotion	Emotion-Intensity-Score	Punjabi Word
hulk	anger	0.329	hulk
prohibited	anger	0.328	ਮਨਾਹੀ ਹੈ
dashed	anger	0.328	ਡੈਸ਼ਡ
brrr	anger	0.328	brrr
fib	anger	0.328	fib
disqualified	anger	0.328	ਅਯੋਗ
spammers	anger	0.328	ਸਪੈਮਰ
phony	anger	0.328	ਜਾਅਲੀ
tighten	anger	0.328	ਕੱਸਣਾ
dislocated	anger	0.328	dislocated
scapegoat	anger	0.328	ਬਲੀ ਦਾ ਬੱਕਰਾ
victim	anger	0.328	ਪੀੜਤ
opponent	anger	0.328	ਵਿਰੋਧੀ
hiss	anger	0.328	ਹਿਸ
crusade	anger	0.328	ਧਰਮ ਯੁੱਧ
grumpy	anger	0.328	ਉਦਾਸੀ
resisting	anger	0.328	ਵਿਰੋਧ
inappropriate	anger	0.324	ਅਣਉਚਿਤ
haye	anger	0.324	ਹਾਏ
loss	anger	0.324	ਨੁਕਸਾਨ
trickery	anger	0.324	ਚਲਾਕੀ
eschew	anger	0.324	ਬਚਣਾ
neglected	anger	0.324	ਅਣਗੌਲਿਆ
canker	anger	0.323	ਕੈਂਕਰ
muff	anger	0.318	muff
crunch	anger	0.318	ਕਰੰਚ
duplicity	anger	0.318	ਡੁਪਲੀਸੀਟੀ
criticism	anger	0.318	ਆਲੋਚਨਾ
queues	anger	0.318	ਕਤਾਰਾਂ
shriek	anger	0.316	ਚੀਕਣਾ
depreciate	anger	0.315	ਘਟਾਓ
dismissal	anger	0.312	ਬਰਖਾਸਤਗੀ
chaff	anger	0.312	ਤੂੜੀ
dramaqueen	anger	0.312	ਡਰਾਮਾਕੁਈਨ
poverty	anger	0.312	ਗਰੀਬੀ
carelessness	anger	0.312	ਲਾਪਰਵਾਹੀ
deflate	anger	0.312	deflate
dumps	anger	0.312	ਡੰਪ
dupe	anger	0.312	ਧੋਖਾ
mortality	anger	0.312	ਮੌਤ ਦਰ
revving	anger	0.309	revving
disallowed	anger	0.308	ਦੀ ਇਜਾਜ਼ਤ ਨਹੀਂ ਦਿੱਤੀ ਗਈ
boisterous	anger	0.307	ਹੁਸ਼ਿਆਰ
thoughtless	anger	0.307	ਬੇਸਮਝ
burial	anger	0.304	ਦਫ਼ਨਾਉਣ
wince	anger	0.303	wince
theocratic	anger	0.303	ਧਰਮ ਸ਼ਾਸਤਰੀ
sullen	anger	0.303	ਉਦਾਸ
involution	anger	0.300	ਸ਼ਮੂਲੀਅਤ
misuse	anger	0.297	ਦੁਰਵਰਤੋਂ
taxed	anger	0.297	ਟੈਕਸ ਲਗਾਇਆ
senseless	anger	0.297	ਬੇਸਮਝ
talons	anger	0.297	ਟੈਲੋਨ
stalemate	anger	0.297	ਖੜੋਤ
getyourown	anger	0.297	ਆਪਣੇ ਆਪ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰੋ
hoax	anger	0.297	ਧੋਖਾ
depreciated	anger	0.297	ਘਟਾਇਆ ਗਿਆ
depressed	anger	0.297	ਉਦਾਸ
wasteful	anger	0.297	ਫਾਲਤੂ
paralysis	anger	0.295	ਅਧਰੰਗ
displaced	anger	0.294	ਵਿਸਥਾਪਿਤ
limited	anger	0.292	ਸੀਮਿਤ
disapointment	anger	0.290	ਨਿਰਾਸ਼ਾ
orc	anger	0.289	orc
ridiculous	anger	0.289	ਹਾਸੋਹੀਣਾ
homeless	anger	0.288	ਬੇਘਰ
spine	anger	0.288	ਰੀੜ੍ਹ ਦੀ ਹੱਡੀ
teasing	anger	0.288	ਛੇੜਛਾੜ
presumptuous	anger	0.288	ਗੁਸਤਾਖੀ
react	anger	0.288	ਪ੍ਰਤੀਕਰਮ
sharpen	anger	0.288	ਤਿੱਖਾ ਕਰੋ
barrier	anger	0.287	ਰੁਕਾਵਟ
hoot	anger	0.287	ਹੂਟ
twitchy	anger	0.287	ਮਰੋੜਿਆ
myopia	anger	0.283	myopia
flexin	anger	0.281	flexin
lagging	anger	0.281	ਪਛੜ ਰਿਹਾ ਹੈ
contraband	anger	0.281	ਪਾਬੰਦੀ
incompatible	anger	0.281	ਅਸੰਗਤ
shiver	anger	0.281	ਕੰਬਣਾ
spam	anger	0.281	ਸਪੈਮ
agh	anger	0.281	agh
disconnects	anger	0.281	ਡਿਸਕਨੈਕਟ ਕਰਦਾ ਹੈ
delinquent	anger	0.281	ਗੁਨਾਹਗਾਰ
restitution	anger	0.281	ਬਹਾਲੀ
foray	anger	0.279	ਹਮਲਾ
troll	anger	0.279	ਟ੍ਰੋਲ
unfairness	anger	0.279	ਬੇਇਨਸਾਫ਼ੀ
buffering	anger	0.279	ਬਫਰਿੰਗ
noncompliance	anger	0.279	ਗੈਰ ਪਾਲਣਾ
nether	anger	0.278	ਨੇਤਰ
bogus	anger	0.273	ਜਾਅਲੀ
immaturity	anger	0.273	ਅਪਰਿਪੱਕਤਾ
uncaring	anger	0.273	ਬੇਪਰਵਾਹ
bugaboo	anger	0.273	ਬੱਗਾਬੂ
feisty	anger	0.269	ਭੜਕਾਊ
shock	anger	0.269	ਸਦਮਾ
humbug	anger	0.266	humbug
notamorningperson	anger	0.266	ਯਾਦ ਰੱਖਣ ਵਾਲਾ ਵਿਅਕਤੀ
feminism	anger	0.266	ਨਾਰੀਵਾਦ
inoperative	anger	0.266	ਅਯੋਗ
bear	anger	0.266	ਰਿੱਛ
inconvenient	anger	0.266	ਅਸੁਵਿਧਾਜਨਕ
latent	anger	0.266	ਗੁਪਤ
defendant	anger	0.266	ਬਚਾਓ ਪੱਖ
nopoint	anger	0.266	ਕੋਈ ਬਿੰਦੂ
rapping	anger	0.266	ਰੈਪਿੰਗ
pry	anger	0.266	pry
quandary	anger	0.266	ਝਗੜਾ
interrupts	anger	0.265	ਰੁਕਾਵਟ
fluctuation	anger	0.265	ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
exaggerate	anger	0.263	ਅਤਿਕਥਨੀ
lose	anger	0.261	ਗੁਆਉਣਾ
patter	anger	0.258	ਪੈਟਰ
furnace	anger	0.258	ਭੱਠੀ
stone	anger	0.258	ਪੱਥਰ
tease	anger	0.258	ਛੇੜਛਾੜ
shoplifting	anger	0.258	ਦੁਕਾਨਦਾਰੀ
soldier	anger	0.258	ਸਿਪਾਹੀ
incompetent	anger	0.257	ਅਯੋਗ
indoctrination	anger	0.255	ਸਿੱਖਿਆ
rocket	anger	0.250	ਰਾਕੇਟ
skid	anger	0.250	ਸਕਿਡ
noisy	anger	0.250	ਰੌਲਾ
notoriety	anger	0.250	ਬਦਨਾਮੀ
cane	anger	0.250	ਗੰਨਾ
unfollow	anger	0.250	ਦਾ ਅਨੁਸਰਣ ਕਰਨਾ ਬੰਦ ਕਰੋ
tripping	anger	0.250	ਟ੍ਰਿਪਿੰਗ
attentionseeker	anger	0.250	ਧਿਆਨ ਦੇਣ ਵਾਲਾ
mastery	anger	0.250	ਮੁਹਾਰਤ
socialist	anger	0.250	ਸਮਾਜਵਾਦੀ
falsehood	anger	0.250	ਝੂਠ
complicate	anger	0.250	ਗੁੰਝਲਦਾਰ
lawyer	anger	0.250	ਵਕੀਲ
untrue	anger	0.250	ਝੂਠ
nonsense	anger	0.250	ਬਕਵਾਸ
pouting	anger	0.250	ਪਾਉਟਿੰਗ
witch	anger	0.242	ਡੈਣ
detract	anger	0.242	ਘਟਾਓ
obstacle	anger	0.242	ਰੁਕਾਵਟ
halter	anger	0.242	ਰੁਕਣਾ
fenced	anger	0.242	ਵਾੜ
capslock	anger	0.242	ਕੈਪਸ ਲਾਕ
dontunderstand	anger	0.242	ਸਮਝ ਨਾ
vampire	anger	0.242	ਪਿਸ਼ਾਚ
ringer	anger	0.242	ਰਿੰਗਰ
frowning	anger	0.239	ਝੁਕਣਾ
saber	anger	0.238	ਸਬਰ
hunger	anger	0.235	ਭੁੱਖ
shell	anger	0.234	ਸ਼ੈੱਲ
wokemeup	anger	0.234	ਵੇਕਮਅੱਪ
recession	anger	0.234	ਮੰਦੀ
failing	anger	0.234	ਅਸਫਲ
dabbling	anger	0.234	ਡਬਲਿੰਗ
politics	anger	0.234	ਰਾਜਨੀਤੀ
lava	anger	0.234	ਲਾਵਾ
rascal	anger	0.234	ਬਦਮਾਸ਼
imtryingtosleep	anger	0.234	ਸੌਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰ ਰਿਹਾ ਹੈ
tariff	anger	0.234	ਟੈਰਿਫ
undesirable	anger	0.231	ਅਣਚਾਹੇ
darkness	anger	0.227	ਹਨੇਰਾ
versus	anger	0.227	ਬਨਾਮ
copycat	anger	0.227	ਕਾਪੀ ਕੈਟ
resign	anger	0.227	ਅਸਤੀਫਾ
soaked	anger	0.226	ਭਿੱਜ
unfulfilled	anger	0.225	ਅਧੂਰਾ
abandoned	anger	0.222	ਛੱਡ ਦਿੱਤਾ
unattainable	anger	0.221	ਅਪ੍ਰਾਪਤ
owing	anger	0.221	ਬਕਾਇਆ
bankruptcy	anger	0.221	ਦੀਵਾਲੀਆਪਨ
misconception	anger	0.219	ਗਲਤ ਧਾਰਨਾ
tool	anger	0.219	ਸੰਦ
warden	anger	0.219	ਵਾਰਡਨ
compress	anger	0.219	ਕੰਪਰੈੱਸ
mosquito	anger	0.219	ਮੱਛਰ
whiny	anger	0.219	whiny
somethingigetalot	anger	0.219	ਬਹੁਤ ਕੁਝ
confusion	anger	0.219	ਉਲਝਣ
unhelpful	anger	0.219	ਲਾਹੇਵੰਦ
twitching	anger	0.219	ਹਿਲਾਉਣਾ
nosey	anger	0.213	nosy
overpriced	anger	0.212	ਵੱਧ ਕੀਮਤ ਵਾਲਾ
adder	anger	0.212	ਜੋੜਨ ਵਾਲਾ
harry	anger	0.212	ਹੈਰੀ
shortage	anger	0.212	ਕਮੀ
melodrama	anger	0.212	ਮੇਲੋਡਰਾਮਾ
possession	anger	0.206	ਕਬਜ਼ਾ
desert	anger	0.206	ਮਾਰੂਥਲ
overplayed	anger	0.206	ਓਵਰਪਲੇ ਕੀਤਾ
unpaid	anger	0.203	ਅਦਾਇਗੀਸ਼ੁਦਾ
powerless	anger	0.203	ਸ਼ਕਤੀਹੀਣ
sentence	anger	0.203	ਵਾਕ
inefficient	anger	0.203	ਅਕੁਸ਼ਲ
arraignment	anger	0.203	ਮੁਕੱਦਮਾ
pout	anger	0.203	ਪਾਉਟ
unlucky	anger	0.203	ਬਦਕਿਸਮਤ
rook	anger	0.203	rook
backbone	anger	0.203	ਰੀੜ੍ਹ ਦੀ ਹੱਡੀ
uninvited	anger	0.203	ਬਿਨਾਂ ਬੁਲਾਏ
court	anger	0.199	ਅਦਾਲਤ
endless	anger	0.198	ਬੇਅੰਤ
adverts	anger	0.197	ਇਸ਼ਤਿਹਾਰ
distracted	anger	0.197	ਵਿਚਲਿਤ
delay	anger	0.197	ਦੇਰੀ
misstatement	anger	0.197	ਗਲਤ ਬਿਆਨ
misunderstanding	anger	0.195	ਗਲਤਫਹਿਮੀ
inadmissible	anger	0.191	ਅਯੋਗ
excite	anger	0.191	ਉਤੇਜਿਤ
lightning	anger	0.189	ਬਿਜਲੀ
preclude	anger	0.188	ਰੋਕੋ
mournful	anger	0.188	ਸੋਗਮਈ
insecure	anger	0.188	ਅਸੁਰੱਖਿਅਤ
incase	anger	0.188	ਜੇਕਰ
mutter	anger	0.182	ਬੁੜਬੁੜ
pare	anger	0.182	pare
rating	anger	0.182	ਰੇਟਿੰਗ
claimant	anger	0.182	ਦਾਅਵੇਦਾਰ
insist	anger	0.182	ਜ਼ੋਰ
mistress	anger	0.182	ਮਾਲਕਣ
distracting	anger	0.182	ਧਿਆਨ ਭਟਕਾਉਣ ਵਾਲਾ
opium	anger	0.180	ਅਫੀਮ
deserve	anger	0.176	ਹੱਕਦਾਰ
willful	anger	0.176	ਜਾਣ-ਬੁੱਝ ਕੇ
treat	anger	0.175	ਇਲਾਜ
insists	anger	0.175	ਜ਼ੋਰ ਦਿੰਦਾ ਹੈ
excitation	anger	0.172	ਉਤੇਜਨਾ
mighty	anger	0.172	ਸ਼ਕਤੀਸ਼ਾਲੀ
liberate	anger	0.172	ਆਜ਼ਾਦ ਕਰਨਾ
indecisive	anger	0.172	ਨਿਰਣਾਇਕ
hormonal	anger	0.172	ਹਾਰਮੋਨਲ
peice	anger	0.172	peice
gibberish	anger	0.172	ਬਕਵਾਸ
misplace	anger	0.172	ਗਲਤ ਥਾਂ
fee	anger	0.172	ਫੀਸ
thanksalot	anger	0.172	ਬਹੁਤ ਸਾਰਾ ਧੰਨਵਾਦ
fleece	anger	0.172	ਉੱਨ
yelp	anger	0.168	yelp
mule	anger	0.167	ਖੱਚਰ
unequal	anger	0.167	ਅਸਮਾਨ
hamstring	anger	0.167	ਹੈਮਸਟ੍ਰਿੰਗ
bargaining	anger	0.167	ਸੌਦੇਬਾਜ਼ੀ
insufficiency	anger	0.167	ਨਾਕਾਫ਼ੀ
insignificant	anger	0.167	ਮਾਮੂਲੀ
attentionseekers	anger	0.163	ਧਿਆਨ ਦੇਣ ਵਾਲੇ
coop	anger	0.156	coop
rheumatism	anger	0.156	ਗਠੀਏ
forearm	anger	0.156	ਬਾਂਹ
indifference	anger	0.156	ਉਦਾਸੀਨਤਾ
underpaid	anger	0.152	ਘੱਟ ਭੁਗਤਾਨ ਕੀਤਾ
involvement	anger	0.152	ਸ਼ਮੂਲੀਅਤ
justthebeginning	anger	0.152	ਬਸ ਸ਼ੁਰੂਆਤ
disinformation	anger	0.152	ਗਲਤ ਜਾਣਕਾਰੀ
uncertain	anger	0.152	ਅਨਿਸ਼ਚਿਤ
bee	anger	0.152	ਮੱਖੀ
attorney	anger	0.152	ਅਟਾਰਨੀ
pretending	anger	0.152	ਦਿਖਾਵਾ
campaigning	anger	0.151	ਪ੍ਰਚਾਰ
hopelessness	anger	0.149	ਨਿਰਾਸ਼ਾ
feeling	anger	0.147	ਭਾਵਨਾ
legalized	anger	0.145	ਨੂੰ ਕਾਨੂੰਨੀ
caution	anger	0.145	ਸਾਵਧਾਨੀ
sterling	anger	0.141	ਸਟਰਲਿੰਗ
morals	anger	0.141	ਨੈਤਿਕਤਾ
subsidy	anger	0.141	ਸਬਸਿਡੀ
obliging	anger	0.141	ਮਜਬੂਰ
wimpy	anger	0.140	wimpy
bummer	anger	0.139	ਪਰੇਸ਼ਾਨ
saloon	anger	0.136	ਸੈਲੂਨ
blemish	anger	0.136	ਦਾਗ
misspell	anger	0.136	ਗਲਤ ਸ਼ਬਦ-ਜੋੜ
repay	anger	0.136	ਮੁੜ ਭੁਗਤਾਨ
surcharge	anger	0.136	ਸਰਚਾਰਜ
geez	anger	0.136	ਗੀਜ਼
birch	anger	0.135	ਬਿਰਚ
noob	anger	0.133	noob
honk	anger	0.133	ਹਾਨਕ
orchestra	anger	0.132	ਆਰਕੈਸਟਰਾ
wireless	anger	0.125	ਵਾਇਰਲੈੱਸ
competitive	anger	0.125	ਪ੍ਰਤੀਯੋਗੀ
standstill	anger	0.125	ਰੁਕਣਾ
inattention	anger	0.121	ਅਣਗਹਿਲੀ
reversal	anger	0.121	ਉਲਟਾ
lace	anger	0.118	ਕਿਨਾਰੀ
elbow	anger	0.117	ਕੂਹਣੀ
instinctive	anger	0.112	ਸੁਭਾਵਕ
chant	anger	0.111	ਜਾਪ
gnome	anger	0.109	ਗਨੋਮ
lonely	anger	0.109	ਇਕੱਲਾ
tolerate	anger	0.106	ਬਰਦਾਸ਼ਤ
management	anger	0.102	ਪ੍ਰਬੰਧਨ
advocacy	anger	0.100	ਵਕਾਲਤ
moral	anger	0.094	ਨੈਤਿਕ
roadworks	anger	0.091	ਸੜਕ ਦੇ ਕੰਮ
honest	anger	0.087	ਇਮਾਨਦਾਰ
gent	anger	0.076	ਕੋਮਲ
forgetful	anger	0.076	ਭੁੱਲਣ ਵਾਲਾ
liquor	anger	0.075	ਸ਼ਰਾਬ
money	anger	0.074	ਪੈਸਾ
hood	anger	0.071	ਹੁੱਡ
curriculum	anger	0.063	ਪਾਠਕ੍ਰਮ
words	anger	0.062	ਸ਼ਬਦ
smell	anger	0.061	ਗੰਧ
playful	anger	0.061	ਖਿਲੰਦੜਾ
opera	anger	0.061	ਓਪੇਰਾ
elf	anger	0.061	elf
nurture	anger	0.059	ਪਾਲਣ ਪੋਸ਼ਣ
trumpet	anger	0.059	ਤੁਰ੍ਹੀ
counsellor	anger	0.059	ਸਲਾਹਕਾਰ
asleeep	anger	0.059	ਸੁੱਤੇ ਹੋਏ
birthplace	anger	0.051	ਜਨਮ ਸਥਾਨ
ribbon	anger	0.047	ਰਿਬਨ
youth	anger	0.045	ਨੌਜਵਾਨ
vote	anger	0.045	ਵੋਟ
cash	anger	0.039	ਨਕਦ
wannasleep	anger	0.031	ਸੌਣਾ ਚਾਹੁੰਦੇ ਹੋ
waffle	anger	0.030	ਵਫ਼ਲ
dame	anger	0.030	ਡੈਮ
buffet	anger	0.029	ਬੁਫੇ
celebrity	anger	0.026	ਸੇਲਿਬ੍ਰਿਟੀ
sisterhood	anger	0.015	ਭੈਣ-ਭਰਾ
autocorrect	anger	0.015	ਸਵੈ-ਸਹੀ
musical	anger	0.011	ਸੰਗੀਤਕ
tree	anger	0.000	ਰੁੱਖ
anticipation	anticipation	0.859	ਉਮੀਦ
excited	anticipation	0.859	ਉਤਸ਼ਾਹਿਤ
excitement	anticipation	0.820	ਉਤੇਜਨਾ
anticipate	anticipation	0.820	ਅਨੁਮਾਨ
eagerness	anticipation	0.812	ਉਤਸੁਕਤਾ
exciting	anticipation	0.797	ਰੋਮਾਂਚਕ
expectant	anticipation	0.789	ਉਮੀਦ
thrilling	anticipation	0.781	ਰੋਮਾਂਚਕ
hope	anticipation	0.773	ਉਮੀਦ
quest	anticipation	0.766	ਖੋਜ
countdown	anticipation	0.750	ਕਾਊਂਟਡਾਊਨ
start	anticipation	0.750	ਸ਼ੁਰੂ ਕਰੋ
anticipatory	anticipation	0.750	ਅਗਾਊਂ
adventure	anticipation	0.750	ਸਾਹਸ
expectance	anticipation	0.750	ਉਮੀਦ
climax	anticipation	0.742	ਕਲਾਈਮੈਕਸ
prophecy	anticipation	0.742	ਭਵਿੱਖਬਾਣੀ
expect	anticipation	0.742	ਉਮੀਦ
excite	anticipation	0.742	ਉਤੇਜਿਤ
arouse	anticipation	0.742	ਜਗਾਉਣਾ
eager	anticipation	0.742	ਉਤਸੁਕ
ejaculation	anticipation	0.734	ejaculation
birth	anticipation	0.734	ਜਨਮ
announcement	anticipation	0.734	ਘੋਸ਼ਣਾ
expectancy	anticipation	0.727	ਉਮੀਦ
expecting	anticipation	0.727	ਉਮੀਦ
imminent	anticipation	0.727	ਆਉਣ ਵਾਲਾ
liberation	anticipation	0.727	ਮੁਕਤੀ
urgent	anticipation	0.727	ਜ਼ਰੂਰੀ
trepidation	anticipation	0.719	ਘਬਰਾਹਟ
reunion	anticipation	0.719	ਰੀਯੂਨੀਅਨ
prospection	anticipation	0.719	ਸੰਭਾਵਨਾ
voyage	anticipation	0.719	ਸਫ਼ਰ
prospect	anticipation	0.719	ਸੰਭਾਵਨਾ
aspire	anticipation	0.719	ਇੱਛਾ
rapture	anticipation	0.711	ਅਨੰਦ
suspense	anticipation	0.711	ਸਸਪੈਂਸ
journey	anticipation	0.711	ਯਾਤਰਾ
kiss	anticipation	0.711	ਚੁੰਮਣਾ
enthusiasm	anticipation	0.711	ਉਤਸ਼ਾਹ
yearning	anticipation	0.711	ਤਰਸ
ecstasy	anticipation	0.711	ਖੁਸ਼ੀ
mystery	anticipation	0.711	ਰਹੱਸ
prospective	anticipation	0.703	ਸੰਭਾਵੀ
frantic	anticipation	0.703	ਪਾਗਲ
destination	anticipation	0.703	ਮੰਜ਼ਿਲ
excitation	anticipation	0.703	ਉਤੇਜਨਾ
lottery	anticipation	0.703	ਲਾਟਰੀ
hopeful	anticipation	0.703	ਆਸਵੰਦ
thrill	anticipation	0.703	ਰੋਮਾਂਚ
progress	anticipation	0.703	ਤਰੱਕੀ
urgency	anticipation	0.703	ਜ਼ਰੂਰੀ
tantalizing	anticipation	0.703	ਟੈਂਟਲਾਈਜ਼ਿੰਗ
liberate	anticipation	0.695	ਆਜ਼ਾਦ ਕਰਨਾ
hurry	anticipation	0.695	ਜਲਦੀ
explore	anticipation	0.695	ਪੜਚੋਲ ਕਰੋ
advance	anticipation	0.695	ਪੇਸ਼ਗੀ
vacation	anticipation	0.695	ਛੁੱਟੀ
sex	anticipation	0.695	ਸੈਕਸ
achievement	anticipation	0.695	ਪ੍ਰਾਪਤੀ
readiness	anticipation	0.695	ਤਿਆਰੀ
expectation	anticipation	0.695	ਉਮੀਦ
prediction	anticipation	0.695	ਭਵਿੱਖਬਾਣੀ
arrival	anticipation	0.695	ਆਗਮਨ
allure	anticipation	0.688	ਲੁਭਾਉਣਾ
ecstatic	anticipation	0.688	ਖੁਸ਼ਹਾਲ
approaching	anticipation	0.688	ਨੇੜੇ ਆ ਰਿਹਾ ਹੈ
honeymoon	anticipation	0.680	ਹਨੀਮੂਨ
roulette	anticipation	0.680	Roulette
uprising	anticipation	0.680	ਬਗਾਵਤ
holiday	anticipation	0.672	ਛੁੱਟੀ
crescendo	anticipation	0.672	ਕ੍ਰੇਸੈਂਡੋ
celebrating	anticipation	0.672	ਜਸ਼ਨ ਮਨਾ ਰਿਹਾ ਹੈ
wishful	anticipation	0.672	ਇੱਛਾਵਾਨ
waiting	anticipation	0.664	ਉਡੀਕ
invitation	anticipation	0.664	ਸੱਦਾ
rescue	anticipation	0.664	ਬਚਾਅ
impending	anticipation	0.664	ਆਉਣ ਵਾਲਾ
winning	anticipation	0.664	ਜਿੱਤ
craving	anticipation	0.664	ਲਾਲਸਾ
winnings	anticipation	0.664	ਜਿੱਤਾਂ
triumph	anticipation	0.664	ਜਿੱਤ
orgasm	anticipation	0.664	orgasm
marriage	anticipation	0.656	ਵਿਆਹ
bridal	anticipation	0.656	ਵਿਆਹ
victory	anticipation	0.656	ਜਿੱਤ
courtship	anticipation	0.656	ਵਿਆਹ
gain	anticipation	0.656	ਲਾਭ
aspiring	anticipation	0.656	ਚਾਹਵਾਨ
strive	anticipation	0.656	ਕੋਸ਼ਿਸ਼
reward	anticipation	0.656	ਇਨਾਮ
celebration	anticipation	0.656	ਜਸ਼ਨ
jackpot	anticipation	0.656	ਜੈਕਪਾਟ
bridegroom	anticipation	0.656	ਲਾੜਾ
fortune	anticipation	0.656	ਕਿਸਮਤ
tomorrow	anticipation	0.648	ਕੱਲ੍ਹ
rising	anticipation	0.648	ਵਧ ਰਿਹਾ ਹੈ
inheritance	anticipation	0.648	ਵਿਰਾਸਤ
alertness	anticipation	0.648	ਚੌਕਸੀ
crowning	anticipation	0.648	ਤਾਜ
aspiration	anticipation	0.648	ਇੱਛਾ
delivery	anticipation	0.648	ਡਿਲੀਵਰੀ
opportunity	anticipation	0.648	ਮੌਕਾ
intrigue	anticipation	0.648	ਸਾਜ਼ਿਸ਼
prescient	anticipation	0.648	prescient
treasure	anticipation	0.648	ਖਜ਼ਾਨਾ
erotic	anticipation	0.641	ਕਾਮੁਕ
revolution	anticipation	0.641	ਇਨਕਲਾਬ
launch	anticipation	0.641	ਲਾਂਚ ਕਰੋ
reckoning	anticipation	0.641	ਹਿਸਾਬ
prognosis	anticipation	0.641	ਪੂਰਵ-ਅਨੁਮਾਨ
happiness	anticipation	0.641	ਖੁਸ਼ੀ
celebrated	anticipation	0.641	ਮਨਾਇਆ
receiving	anticipation	0.641	ਪ੍ਰਾਪਤ ਕਰਨਾ
possibility	anticipation	0.641	ਸੰਭਾਵਨਾ
expedition	anticipation	0.641	ਮੁਹਿੰਮ
bride	anticipation	0.641	ਲਾੜੀ
engaged	anticipation	0.641	ਲੱਗੇ
anxious	anticipation	0.641	ਚਿੰਤਾਜਨਕ
hype	anticipation	0.641	ਪ੍ਰਚਾਰ
spectacular	anticipation	0.641	ਸ਼ਾਨਦਾਰ
award	anticipation	0.641	ਪੁਰਸਕਾਰ
prepare	anticipation	0.633	ਤਿਆਰ
coming	anticipation	0.633	ਆ ਰਿਹਾ ਹੈ
graduation	anticipation	0.633	ਗ੍ਰੈਜੂਏਸ਼ਨ
destiny	anticipation	0.633	ਕਿਸਮਤ
miracle	anticipation	0.633	ਚਮਤਕਾਰ
beware	anticipation	0.633	ਸਾਵਧਾਨ
succeed	anticipation	0.633	ਸਫਲ
passionate	anticipation	0.633	ਭਾਵੁਕ
birthday	anticipation	0.633	ਜਨਮਦਿਨ
passion	anticipation	0.633	ਜਨੂੰਨ
ominous	anticipation	0.633	ਅਸ਼ੁਭ
captivate	anticipation	0.633	ਮਨਮੋਹਕ
vision	anticipation	0.633	ਦਰਸ਼ਨ
delight	anticipation	0.633	ਖੁਸ਼ੀ
curious	anticipation	0.633	ਉਤਸੁਕ
firstborn	anticipation	0.633	ਜੇਠਾ
await	anticipation	0.633	ਉਡੀਕ ਕਰੋ
triumphant	anticipation	0.625	ਜੇਤੂ
escape	anticipation	0.625	ਬਚਣਾ
optimism	anticipation	0.625	ਆਸ਼ਾਵਾਦ
retirement	anticipation	0.625	ਸੇਵਾਮੁਕਤੀ
foresee	anticipation	0.625	ਭਵਿੱਖਬਾਣੀ
inspiration	anticipation	0.625	ਪ੍ਰੇਰਨਾ
ripen	anticipation	0.625	ਪੱਕਣਾ
gift	anticipation	0.625	ਤੋਹਫ਼ਾ
revival	anticipation	0.625	ਬੇਦਾਰੀ
lust	anticipation	0.625	ਵਾਸਨਾ
risky	anticipation	0.617	ਖ਼ਤਰਨਾਕ
foreboding	anticipation	0.617	ਭਵਿੱਖਬਾਣੀ
bloom	anticipation	0.617	ਖਿੜ
verge	anticipation	0.617	ਕਿਨਾਰੇ
embrace	anticipation	0.617	ਗਲੇ ਲਗਾਓ
destined	anticipation	0.617	ਕਿਸਮਤ
surprisingly	anticipation	0.617	ਹੈਰਾਨੀ ਦੀ ਗੱਲ ਹੈ
ambition	anticipation	0.617	ਅਭਿਲਾਸ਼ਾ
simmering	anticipation	0.617	ਉਬਾਲਣਾ
enchanting	anticipation	0.617	ਮਨਮੋਹਕ
foresight	anticipation	0.617	ਦੂਰਦਰਸ਼ਿਤਾ
lookout	anticipation	0.609	ਬਁਚ ਕੇ
anxiety	anticipation	0.609	ਚਿੰਤਾ
forecast	anticipation	0.609	ਪੂਰਵ ਅਨੁਮਾਨ
seductive	anticipation	0.609	ਭਰਮਾਉਣ ਵਾਲਾ
bonus	anticipation	0.609	ਬੋਨਸ
succeeding	anticipation	0.609	ਸਫਲ ਹੋ ਰਿਹਾ ਹੈ
matrimony	anticipation	0.609	ਵਿਆਹ
magical	anticipation	0.609	ਜਾਦੂਈ
alerts	anticipation	0.609	ਚੇਤਾਵਨੀਆਂ
winner	anticipation	0.602	ਜੇਤੂ
applicant	anticipation	0.602	ਬਿਨੈਕਾਰ
fulfillment	anticipation	0.602	ਪੂਰਤੀ
deserve	anticipation	0.602	ਹੱਕਦਾਰ
inspire	anticipation	0.602	ਪ੍ਰੇਰਿਤ ਕਰੋ
foreseen	anticipation	0.602	ਭਵਿੱਖਬਾਣੀ
intended	anticipation	0.602	ਇਰਾਦਾ
boomerang	anticipation	0.602	ਬੂਮਰੈਂਗ
picnic	anticipation	0.602	ਪਿਕਨਿਕ
longing	anticipation	0.602	ਤਾਂਘ
revenge	anticipation	0.602	ਬਦਲਾ
success	anticipation	0.602	ਸਫਲਤਾ
diagnosis	anticipation	0.602	ਨਿਦਾਨ
visionary	anticipation	0.602	ਦੂਰਦਰਸ਼ੀ
prophetic	anticipation	0.602	ਭਵਿੱਖਬਾਣੀ
entertaining	anticipation	0.602	ਮਨੋਰੰਜਕ
nervous	anticipation	0.602	ਘਬਰਾਹਟ
