English Word	Emotion	Emotion-Intensity-Score	Japanese Word
queasy	disgust	0.633	吐き気
mildew	disgust	0.633	カビ
oppressive	disgust	0.633	抑圧的な
prostitution	disgust	0.633	売春
secrete	disgust	0.633	分泌する
ulcer	disgust	0.633	潰瘍
rat	disgust	0.633	ねずみ
bigoted	disgust	0.633	偏見のある
perpetrator	disgust	0.633	加害者
doomsday	disgust	0.633	終末
sinful	disgust	0.633	罪深い
degrading	disgust	0.625	劣化している
ghastly	disgust	0.625	恐ろしい
suffering	disgust	0.625	苦しむ
obscenity	disgust	0.625	猥褻
devilish	disgust	0.625	悪魔的な
disgraceful	disgust	0.625	恥ずべき
persecution	disgust	0.625	迫害
contemptible	disgust	0.625	卑劣な
cuckold	disgust	0.625	寝取られ
stools	disgust	0.625	便
dastardly	disgust	0.625	卑劣に
sin	disgust	0.625	罪
gluttony	disgust	0.625	大食い
bloated	disgust	0.625	むくんだ
fungus	disgust	0.625	菌類
aghast	disgust	0.625	びっくり
diaper	disgust	0.617	おむつ
malicious	disgust	0.617	悪意のある
polygamy	disgust	0.617	一夫多妻
dying	disgust	0.617	死んでいる
termite	disgust	0.617	シロアリ
fat	disgust	0.617	太い
deceit	disgust	0.617	欺瞞
atrocious	disgust	0.617	凶悪な
guillotine	disgust	0.617	ギロチン
tetanus	disgust	0.617	破傷風
spoil	disgust	0.617	甘やかす
crusty	disgust	0.617	無愛想な
sickly	disgust	0.617	病弱
louse	disgust	0.617	シラミ
strangle	disgust	0.617	絞め殺す
betrayal	disgust	0.617	裏切り
loathe	disgust	0.617	嫌い
wench	disgust	0.617	田舎娘
infect	disgust	0.617	感染する
violently	disgust	0.609	激しく
brothel	disgust	0.609	売春宿
drool	disgust	0.609	よだれ
bleeding	disgust	0.609	出血
deform	disgust	0.609	変形する
ghetto	disgust	0.609	ゲットー
sabotage	disgust	0.609	破壊工作
venomous	disgust	0.609	有毒な
abhor	disgust	0.609	嫌う
slander	disgust	0.609	中傷
hostile	disgust	0.609	敵対的
musty	disgust	0.602	かび臭い
illicit	disgust	0.602	違法
ugliness	disgust	0.602	醜さ
unwashed	disgust	0.602	洗っていない
swampy	disgust	0.602	沼地
deprivation	disgust	0.602	剥奪
poaching	disgust	0.602	密猟
hag	disgust	0.602	ハグ
infidel	disgust	0.602	異教徒
imprisonment	disgust	0.602	投獄
traitor	disgust	0.602	裏切り者
lunacy	disgust	0.602	狂気
queasiness	disgust	0.594	吐き気
hostility	disgust	0.594	敵意
repelling	disgust	0.594	反発
intoxicated	disgust	0.594	酔った
thug	disgust	0.594	凶悪犯
catastrophe	disgust	0.594	大惨事
lunatic	disgust	0.594	狂人
misery	disgust	0.594	悲惨
venom	disgust	0.594	毒
butcher	disgust	0.594	肉屋
toilet	disgust	0.594	トイレ
blister	disgust	0.594	ブリスター
lurid	disgust	0.594	ばかげた
slug	disgust	0.594	ナメクジ
gut	disgust	0.594	腸
sinner	disgust	0.594	罪人
deceitful	disgust	0.594	欺瞞的な
epidemic	disgust	0.594	伝染病
deteriorated	disgust	0.586	劣化した
lavatory	disgust	0.586	トイレ
unclean	disgust	0.586	不潔
prostitute	disgust	0.586	売春婦
incubus	disgust	0.586	インキュバス
appalling	disgust	0.586	恐ろしい
dreadful	disgust	0.586	恐ろしい
pornography	disgust	0.586	ポルノ
harass	disgust	0.586	嫌がらせ
squeamish	disgust	0.578	きしむ
expulsion	disgust	0.578	追放
unfaithful	disgust	0.578	不誠実な
offensive	disgust	0.578	攻撃
hypocrite	disgust	0.578	偽善者
humiliating	disgust	0.578	屈辱的な
larceny	disgust	0.578	窃盗
ruinous	disgust	0.578	破滅的な
retard	disgust	0.578	遅らせる
rash	disgust	0.578	発疹
flea	disgust	0.578	ノミ
debauchery	disgust	0.578	放蕩
fiend	disgust	0.578	悪魔
quagmire	disgust	0.578	泥沼
conspirator	disgust	0.578	共謀者
sick	disgust	0.578	病気
mangle	disgust	0.578	マングル
dogsick	disgust	0.570	犬酔い
egregious	disgust	0.570	ひどい
flog	disgust	0.570	フロッグ
despise	disgust	0.570	軽蔑する
treacherous	disgust	0.570	危険な
oppress	disgust	0.570	抑圧する
swamp	disgust	0.570	沼地
messy	disgust	0.570	混雑
spit	disgust	0.570	唾を吐く
dank	disgust	0.570	じめじめ
bastard	disgust	0.570	子なし
devastating	disgust	0.570	壊滅的な
serpent	disgust	0.570	蛇
loo	disgust	0.562	トイレ
indecent	disgust	0.562	下品な
insanity	disgust	0.562	狂気
stealing	disgust	0.562	窃盗
terrible	disgust	0.562	ひどい
tyrannical	disgust	0.562	横暴な
humiliation	disgust	0.562	屈辱
snake	disgust	0.562	ヘビ
sloppy	disgust	0.562	ずさんな
sinning	disgust	0.562	罪を犯している
harmful	disgust	0.562	危害を与える
harlot	disgust	0.562	遊女
sordid	disgust	0.562	汚い
enemy	disgust	0.562	敵
alcoholism	disgust	0.562	アルコール依存症
awful	disgust	0.562	最悪
ruthless	disgust	0.562	無慈悲な
scoundrel	disgust	0.562	悪党
bloody	disgust	0.555	流血
flabby	disgust	0.555	たるんだ
odious	disgust	0.555	いやらしい
beastly	disgust	0.555	野獣的な
collusion	disgust	0.555	共謀
ridicule	disgust	0.555	嘲笑
discriminating	disgust	0.555	差別的な
unattractive	disgust	0.555	魅力的でない
insufferable	disgust	0.555	耐え難い
segregate	disgust	0.555	分離する
arsenic	disgust	0.555	砒素
threatening	disgust	0.555	脅迫
atrophy	disgust	0.555	萎縮
varicella	disgust	0.555	水痘
slayer	disgust	0.555	スレイヤー
distaste	disgust	0.555	嫌悪感
coward	disgust	0.555	腰抜け
robbery	disgust	0.555	強盗
wickedness	disgust	0.555	邪悪さ
anathema	disgust	0.547	アナテマ
malevolent	disgust	0.547	悪意のある
sty	disgust	0.547	ものもらい
pillage	disgust	0.547	略奪
thief	disgust	0.547	泥棒
suffocating	disgust	0.547	息苦しい
condemnation	disgust	0.547	非難
deleterious	disgust	0.547	有害な
slur	disgust	0.547	スラー
purgatory	disgust	0.547	煉獄
attacking	disgust	0.547	攻撃
burglar	disgust	0.547	泥棒
ogre	disgust	0.547	鬼
coercion	disgust	0.547	強要
vesicular	disgust	0.547	小胞
miserable	disgust	0.547	惨め
bitterly	disgust	0.547	激しく
sneer	disgust	0.539	冷笑する
greedy	disgust	0.539	よく深い
gob	disgust	0.539	ゴブ
repellant	disgust	0.539	忌避剤
jealous	disgust	0.539	嫉妬
drunken	disgust	0.539	酔った
shame	disgust	0.539	恥
thrash	disgust	0.539	スラッシュ
fatty	disgust	0.539	脂肪質
liar	disgust	0.539	うそつき
imprisoned	disgust	0.539	投獄された
sloth	disgust	0.539	怠惰
repudiation	disgust	0.539	否認
disgrace	disgust	0.539	不名誉
infidelity	disgust	0.539	不貞
pig	disgust	0.539	豚
lethal	disgust	0.536	致死
burnt	disgust	0.531	焼けた
brawl	disgust	0.531	喧嘩
withered	disgust	0.531	枯れた
blemish	disgust	0.531	傷
hydrocephalus	disgust	0.531	水頭症
aberration	disgust	0.531	収差
smuggler	disgust	0.531	密輸業者
painful	disgust	0.531	痛い
condescension	disgust	0.531	軽蔑
intolerant	disgust	0.531	不寛容
blasphemous	disgust	0.531	冒涜的な
lying	disgust	0.531	横たわっている
hanging	disgust	0.531	ぶら下げ
travesty	disgust	0.531	茶番
ruined	disgust	0.531	台無しにされた
intrusive	disgust	0.531	押し付けがましい
disintegrate	disgust	0.531	崩壊する
destructive	disgust	0.531	破壊的な
neurotic	disgust	0.531	神経症
disparaging	disgust	0.523	軽蔑する
blighted	disgust	0.523	荒廃した
intolerance	disgust	0.523	不寛容
mistress	disgust	0.523	愛人
avarice	disgust	0.523	貪欲
disgraced	disgust	0.523	不名誉な
derogation	disgust	0.523	特例
rubbish	disgust	0.523	ごみ
accusation	disgust	0.523	告発
incarceration	disgust	0.523	投獄
tortious	disgust	0.516	曲がりくねった
dishonor	disgust	0.516	不名誉
stink	disgust	0.516	悪臭
grim	disgust	0.516	厳しい
rob	disgust	0.516	奪う
defraud	disgust	0.516	だまし取る
sump	disgust	0.516	サンプ
cringe	disgust	0.516	うんざりする
vulture	disgust	0.516	ハゲタカ
deplorable	disgust	0.516	嘆かわしい
mite	disgust	0.516	ダニ
eradication	disgust	0.516	根絶
degrade	disgust	0.516	劣化する
gutter	disgust	0.516	ガター
convict	disgust	0.516	有罪判決を下す
remains	disgust	0.516	遺跡
betray	disgust	0.516	裏切る
daemon	disgust	0.516	デーモン
sham	disgust	0.509	偽物
distasteful	disgust	0.508	不愉快な
prisoner	disgust	0.508	囚人
dreadfully	disgust	0.508	ひどく
worthless	disgust	0.508	価値のない
crude	disgust	0.508	原油
delirium	disgust	0.508	せん妄
incurable	disgust	0.508	不治の病
smelling	disgust	0.508	臭い
idiocy	disgust	0.508	白痴
resentment	disgust	0.508	恨み
bombed	disgust	0.508	爆撃された
blob	disgust	0.508	ブロブ
cheat	disgust	0.508	浮気
schizophrenia	disgust	0.508	統合失調症
rejection	disgust	0.508	拒絶
belittle	disgust	0.508	見くびる
glut	disgust	0.508	大食い
disaster	disgust	0.508	災害
distress	disgust	0.508	苦痛
pest	disgust	0.508	害虫
endemic	disgust	0.508	固有の
theft	disgust	0.500	盗難
banish	disgust	0.500	追放する
mire	disgust	0.500	ぬかるみ
flagrant	disgust	0.500	目に余る
derision	disgust	0.500	嘲笑
dirt	disgust	0.500	泥
screaming	disgust	0.500	絶叫
offense	disgust	0.500	犯罪
jealousy	disgust	0.500	嫉妬
bribery	disgust	0.500	贈収賄
polemic	disgust	0.500	論争
blight	disgust	0.500	枯死
impeach	disgust	0.500	弾劾
bitterness	disgust	0.500	苦味
taboo	disgust	0.500	タブー
duress	disgust	0.500	強要
goblin	disgust	0.500	ゴブリン
shackle	disgust	0.500	シャックル
idolatry	disgust	0.500	偶像崇拝
greed	disgust	0.500	貪欲
impurity	disgust	0.500	不純物
tirade	disgust	0.500	ティレード
idiot	disgust	0.492	愚か者
boil	disgust	0.492	沸騰させる
unconscionable	disgust	0.492	良心的でない
disreputable	disgust	0.492	評判の悪い
robber	disgust	0.492	強盗
malign	disgust	0.492	悪性
wreck	disgust	0.492	大破
recession	disgust	0.492	不況
gorge	disgust	0.492	峡谷
leer	disgust	0.492	横目で
ill	disgust	0.492	病気
squirm	disgust	0.492	もがく
raging	disgust	0.484	荒れ狂う
servile	disgust	0.484	卑屈な
mess	disgust	0.484	混乱
nappy	disgust	0.484	おむつ
possessed	disgust	0.484	憑依した
unbearable	disgust	0.484	耐えられない
occult	disgust	0.484	オカルト
contraband	disgust	0.484	密輸品
snarl	disgust	0.484	うなる
mutiny	disgust	0.484	反乱
mad	disgust	0.484	狂った
affliction	disgust	0.484	苦悩
stain	disgust	0.484	染色
animosity	disgust	0.484	敵意
contempt	disgust	0.484	軽蔑
tramp	disgust	0.484	浮浪者
nepotism	disgust	0.484	縁故主義
disrespectful	disgust	0.484	無礼な
defamation	disgust	0.484	名誉毀損
inexcusable	disgust	0.484	許しがたい
aversation	disgust	0.484	回避
wasteful	disgust	0.484	もったいない
offender	disgust	0.484	違反者
subjugation	disgust	0.484	征服
illegality	disgust	0.477	違法
dismal	disgust	0.477	陰気な
criminal	disgust	0.477	犯罪的
unpleasant	disgust	0.477	不快
palsy	disgust	0.477	麻痺
antagonistic	disgust	0.477	敵対的
pathetic	disgust	0.477	哀れな
uncaring	disgust	0.477	無関心
suppression	disgust	0.477	抑制
immorality	disgust	0.477	不道徳
mockery	disgust	0.477	あざけり
outrage	disgust	0.469	怒り
mocking	disgust	0.469	あざける
wallow	disgust	0.469	もがく
cough	disgust	0.469	咳
arrogant	disgust	0.469	傲慢
angry	disgust	0.469	怒り
poverty	disgust	0.469	貧困
grating	disgust	0.469	格子
livid	disgust	0.469	激怒
aggravation	disgust	0.469	悪化
repellent	disgust	0.469	忌避剤
perspiration	disgust	0.469	汗
banishment	disgust	0.469	追放
furious	disgust	0.469	激怒
shoddy	disgust	0.469	見掛け倒し
banshee	disgust	0.469	バンシー
deceive	disgust	0.461	欺く
fool	disgust	0.461	バカ
quack	disgust	0.461	いんちき
distorted	disgust	0.461	歪
spider	disgust	0.461	クモ
unjustifiable	disgust	0.461	不当な
deplore	disgust	0.461	嘆く
spurious	disgust	0.461	スプリアス
perdition	disgust	0.461	破滅
muddy	disgust	0.461	泥だらけ
fraudulent	disgust	0.461	詐欺的な
scar	disgust	0.461	傷跡
prick	disgust	0.461	刺します
insulting	disgust	0.461	侮辱
plunder	disgust	0.461	略奪
recklessness	disgust	0.461	無謀
stigma	disgust	0.453	スティグマ
disparage	disgust	0.453	軽蔑する
unthinkable	disgust	0.453	考えられない
disingenuous	disgust	0.453	不誠実な
bane	disgust	0.453	悩みの種
dishonest	disgust	0.453	不誠実
aphid	disgust	0.453	アブラムシ
elimination	disgust	0.453	排除
cur	disgust	0.453	現在
selfish	disgust	0.453	自己中
eschew	disgust	0.453	避ける
dire	disgust	0.453	悲惨な
indignation	disgust	0.453	憤慨
antipathy	disgust	0.453	反感
alienate	disgust	0.453	疎外する
mosquito	disgust	0.445	蚊
piles	disgust	0.445	杭
pious	disgust	0.445	敬虔な
lie	disgust	0.445	嘘
opium	disgust	0.445	あへん
smell	disgust	0.445	匂い
iniquity	disgust	0.445	不法行為
caries	disgust	0.445	う蝕
despair	disgust	0.445	絶望
recalcitrant	disgust	0.445	反抗的な
egotistical	disgust	0.445	自慢の
wasted	disgust	0.445	無駄な
vacuous	disgust	0.445	空虚な
bankruptcy	disgust	0.445	倒産
garish	disgust	0.445	派手な
obnoxious	disgust	0.438	不快な
ashamed	disgust	0.438	恥ずかしかった
abject	disgust	0.438	卑劣な
sticky	disgust	0.438	スティッキー
scream	disgust	0.438	悲鳴
hopelessness	disgust	0.438	絶望
homeless	disgust	0.438	ホームレス
shun	disgust	0.438	避ける
inmate	disgust	0.438	受刑者
alien	disgust	0.438	エイリアン
hog	disgust	0.438	豚
aversion	disgust	0.438	嫌悪
abnormal	disgust	0.438	異常な
cursing	disgust	0.430	のろい
undesirable	disgust	0.430	望ましくない
denounce	disgust	0.430	非難する
witch	disgust	0.430	魔女
creature	disgust	0.430	生き物
lusty	disgust	0.430	元気な
illegal	disgust	0.430	違法
debris	disgust	0.430	デブリ
callous	disgust	0.430	無神経
reflux	disgust	0.430	還流
adverse	disgust	0.430	不利な
shameless	disgust	0.430	恥知らず
separatist	disgust	0.430	分離主義者
trickery	disgust	0.430	策略
falsity	disgust	0.430	虚偽
pall	disgust	0.430	ポール
defiance	disgust	0.430	反抗
incredulous	disgust	0.430	信じられない
curse	disgust	0.430	呪い
pompous	disgust	0.422	尊大な
socialist	disgust	0.422	社会主義者
mistrust	disgust	0.422	不信
infantile	disgust	0.422	乳児
wasting	disgust	0.422	浪費
hairy	disgust	0.422	毛深い
nicotine	disgust	0.422	ニコチン
denunciation	disgust	0.422	非難
collapse	disgust	0.422	崩壊
untidy	disgust	0.422	だらしない
ferocious	disgust	0.422	猛烈な
ammonia	disgust	0.422	アンモニア
carelessness	disgust	0.422	不注意
impure	disgust	0.422	不純
contentious	disgust	0.422	物議をかもす
bum	disgust	0.422	お尻
affront	disgust	0.422	侮辱
offend	disgust	0.422	気分を害する
tarnish	disgust	0.422	変色させる
idiotic	disgust	0.422	ばかげた
badness	disgust	0.422	不良
delinquent	disgust	0.422	滞納者
swarm	disgust	0.422	群れ
hypertrophy	disgust	0.422	肥大
gush	disgust	0.422	噴出
tasteless	disgust	0.422	無味
bovine	disgust	0.422	ウシ
slush	disgust	0.422	スラッシュ
litigious	disgust	0.414	訴訟的な
dishonesty	disgust	0.414	不正
vegetative	disgust	0.414	植物性の
unfavorable	disgust	0.414	不利
displacency	disgust	0.414	変位
illegitimate	disgust	0.414	違法な
sour	disgust	0.414	酸っぱい
socialism	disgust	0.414	社会主義
disobey	disgust	0.414	従わない
drivel	disgust	0.414	ドライブル
vampire	disgust	0.414	吸血鬼
neglected	disgust	0.414	無視された
murky	disgust	0.414	濁った
ignorant	disgust	0.406	無知な
disgruntled	disgust	0.406	不機嫌な
discontinuity	disgust	0.406	不連続
dislike	disgust	0.406	嫌い
unlawful	disgust	0.406	違法
wrongdoing	disgust	0.406	不正行為
shoplifting	disgust	0.406	万引き
recidivism	disgust	0.406	再犯
outcast	disgust	0.406	のけ者
bogus	disgust	0.406	偽物
displeasure	disgust	0.406	不快
repel	disgust	0.406	反発する
falsify	disgust	0.406	改ざんする
ungrateful	disgust	0.406	恩知らず
unkind	disgust	0.406	不親切
phony	disgust	0.406	偽物
prosecution	disgust	0.406	基礎
woe	disgust	0.398	悲惨
averse	disgust	0.398	嫌悪
loon	disgust	0.398	ルーン
worsening	disgust	0.398	悪化する
paucity	disgust	0.398	不足
unnatural	disgust	0.398	不自然
amphetamines	disgust	0.398	アンフェタミン
senseless	disgust	0.398	無意味
rigor	disgust	0.398	厳しさ
subvert	disgust	0.398	覆す
failure	disgust	0.398	失敗
lick	disgust	0.398	なめる
unruly	disgust	0.398	手に負えない
woefully	disgust	0.398	ひどく
stingy	disgust	0.398	ケチな
crushing	disgust	0.398	破砕
disdain	disgust	0.398	軽蔑
insult	disgust	0.393	侮辱
averseness	disgust	0.391	嫌悪
disrelish	disgust	0.391	軽んじる
punished	disgust	0.391	罰せられた
critter	disgust	0.391	生き物
damage	disgust	0.391	ダメージ
scorpion	disgust	0.391	サソリ
diatribe	disgust	0.391	ディアトライブ
muff	disgust	0.391	マフ
farcical	disgust	0.391	茶番
antisocial	disgust	0.391	反社会的
hardened	disgust	0.391	硬化した
punishment	disgust	0.391	罰
bad	disgust	0.391	悪い
expel	disgust	0.391	追放する
surly	disgust	0.383	無愛想
lament	disgust	0.383	嘆く
illiterate	disgust	0.383	文盲
divorce	disgust	0.383	離婚
teeming	disgust	0.383	にぎやか
plagiarism	disgust	0.383	盗作
eviction	disgust	0.383	立ち退き
orc	disgust	0.383	オーク
disappoint	disgust	0.383	がっかりする
shabby	disgust	0.383	みすぼらしい
presumptuous	disgust	0.383	おこがましい
anaconda	disgust	0.383	アナコンダ
discord	disgust	0.383	不和
guilt	disgust	0.383	罪悪感
fugitive	disgust	0.383	逃亡者
irrational	disgust	0.383	不合理な
adder	disgust	0.383	加算器
fulsome	disgust	0.383	フルサム
sacrifices	disgust	0.383	犠牲
hypocritical	disgust	0.383	偽善的
shock	disgust	0.375	ショック
alienation	disgust	0.375	疎外
scoff	disgust	0.375	嘲笑する
plight	disgust	0.375	苦境
irritation	disgust	0.375	刺激
unworthy	disgust	0.375	ふさわしくない
misconduct	disgust	0.375	不正行為
defective	disgust	0.375	不良品
blame	disgust	0.375	非難
depressing	disgust	0.375	憂鬱な
dislocated	disgust	0.375	脱臼
irritating	disgust	0.375	イライラする
vainly	disgust	0.367	無駄に
toad	disgust	0.367	ヒキガエル
powerless	disgust	0.367	無力
coerce	disgust	0.367	強制する
shuddering	disgust	0.367	身震い
stripped	disgust	0.367	剥ぎ取られた
revoke	disgust	0.367	取り消す
wimpy	disgust	0.367	弱虫
unhealthy	disgust	0.367	不健康
exclusion	disgust	0.367	除外
disillusionment	disgust	0.367	幻滅
blatant	disgust	0.367	露骨な
hurtful	disgust	0.367	人を傷つける
hoax	disgust	0.367	でっち上げ
wimp	disgust	0.367	弱虫
cad	disgust	0.367	CAD
pitfall	disgust	0.367	落とし穴
squelch	disgust	0.367	スケルチ
deserted	disgust	0.359	さびれた
damn	disgust	0.359	くそ
incompatible	disgust	0.359	非互換
dispose	disgust	0.359	廃棄
oddity	disgust	0.359	奇妙さ
rebellion	disgust	0.359	反乱
ineptitude	disgust	0.359	無能
bug	disgust	0.359	バグ
disobedience	disgust	0.359	不従順
inept	disgust	0.352	不器用
litigate	disgust	0.352	訴訟を起こす
dismissal	disgust	0.352	解任
cutting	disgust	0.352	切断
untoward	disgust	0.352	不都合な
displeased	disgust	0.352	不機嫌な
censor	disgust	0.352	検閲
ridiculous	disgust	0.352	ばかげている
compost	disgust	0.352	堆肥
frustrate	disgust	0.352	欲求不満
misbehavior	disgust	0.352	不正行為
lawyer	disgust	0.352	法律家
crushed	disgust	0.352	破砕されました
flesh	disgust	0.352	肉
uncertain	disgust	0.352	不確実
obi	disgust	0.352	帯
flinch	disgust	0.352	ひるむ
fierce	disgust	0.352	激しい
wrongful	disgust	0.352	不当な
depreciate	disgust	0.344	減価償却する
disapprove	disgust	0.344	不承認
tearful	disgust	0.344	涙ぐむ
grumble	disgust	0.336	不平を言う
unsettled	disgust	0.336	未定
annoy	disgust	0.336	迷惑
exigent	disgust	0.336	緊急
heartsick	disgust	0.336	心の病
lawsuit	disgust	0.336	訴訟
discoloration	disgust	0.336	変色
lumpy	disgust	0.336	ゴツゴツした
daft	disgust	0.336	ダフト
blunder	disgust	0.336	大失敗
discontent	disgust	0.336	不満
bickering	disgust	0.336	口論
thoughtless	disgust	0.336	思慮のない
disliked	disgust	0.336	嫌い
disinclination	disgust	0.336	嫌悪感
distrust	disgust	0.336	不信
disallowed	disgust	0.336	許可されていない
instability	disgust	0.328	不安定
hydrophobia	disgust	0.328	疎水症
whine	disgust	0.328	泣き声
inhibit	disgust	0.328	阻害する
excluded	disgust	0.328	除外
provoking	disgust	0.328	挑発する
grievance	disgust	0.328	苦情
unmanageable	disgust	0.328	手に負えない
sly	disgust	0.328	ずるい
exasperation	disgust	0.328	激怒
cacophony	disgust	0.328	不協和音
unsatisfactory	disgust	0.328	不十分な
disappointed	disgust	0.328	残念だった
materialist	disgust	0.328	唯物論者
misleading	disgust	0.321	誤解を招く
mishap	disgust	0.320	事故
soot	disgust	0.320	すす
humbug	disgust	0.320	詐欺師
disclaim	disgust	0.320	免責
annoyance	disgust	0.320	迷惑
disapproving	disgust	0.320	不承認
disservice	disgust	0.320	不利益
reproach	disgust	0.320	非難する
confined	disgust	0.320	閉じ込められた
unequal	disgust	0.320	不平等
rags	disgust	0.320	ぼろ
groan	disgust	0.320	うめき声
soil	disgust	0.312	土
inappropriate	disgust	0.312	不適切
criticize	disgust	0.312	批判
disincline	disgust	0.312	傾倒する
theism	disgust	0.312	有神論
depreciated	disgust	0.312	減価償却した
inconsiderate	disgust	0.312	思いやりがない
overpriced	disgust	0.312	高値
stomach	disgust	0.312	お腹
burke	disgust	0.312	バーク
sneeze	disgust	0.312	くしゃみ
gall	disgust	0.305	胆汁
bang	disgust	0.305	強打
inadmissible	disgust	0.305	容認できない
unfriendly	disgust	0.305	不親切な
unaccountable	disgust	0.305	説明のつかない
disparity	disgust	0.305	格差
latent	disgust	0.305	潜在
disliking	disgust	0.305	嫌い
shack	disgust	0.305	小屋
grumpy	disgust	0.305	不機嫌な
coop	disgust	0.304	コープ
disappointment	disgust	0.297	失望
scold	disgust	0.297	叱る
delay	disgust	0.297	遅れ
congress	disgust	0.297	会議
growling	disgust	0.297	うなる
backwards	disgust	0.297	後ろ向き
soreness	disgust	0.297	痛み
disregarded	disgust	0.297	無視された
rogue	disgust	0.297	ローグ
lonely	disgust	0.297	さみしい
notoriety	disgust	0.289	悪評
catechism	disgust	0.289	カテキズム
flop	disgust	0.289	フロップ
infamous	disgust	0.289	悪名高い
janitor	disgust	0.289	管理人
nettle	disgust	0.289	イラクサ
saturated	disgust	0.281	飽和
prohibited	disgust	0.281	禁止
gaby	disgust	0.281	ギャビー
wince	disgust	0.281	ひるむ
desist	disgust	0.281	やめる
unfair	disgust	0.281	不公平
aftermath	disgust	0.281	余波
remiss	disgust	0.281	怠ける
tribunal	disgust	0.273	法廷
discolored	disgust	0.273	変色
wrangling	disgust	0.273	口論
uneasy	disgust	0.273	不安
huff	disgust	0.273	ハフ
weird	disgust	0.266	変
impolite	disgust	0.266	失礼な
swig	disgust	0.266	小枝
crawl	disgust	0.266	クロール
unsatisfied	disgust	0.266	不満
inefficiency	disgust	0.266	非効率
frantic	disgust	0.266	必死の
bureaucrat	disgust	0.266	官僚
politic	disgust	0.266	政治的な
coldness	disgust	0.266	冷たさ
gruff	disgust	0.258	がぶがぶ
octopus	disgust	0.258	たこ
chagrin	disgust	0.258	無念
barrow	disgust	0.258	手押し車
copycat	disgust	0.258	模倣者
incase	disgust	0.258	万一に備えて
rascal	disgust	0.258	ラスカル
sarcasm	disgust	0.258	皮肉
instinctive	disgust	0.258	本能的な
misconception	disgust	0.250	誤解
disinclined	disgust	0.250	不機嫌な
john	disgust	0.250	ジョン
hulk	disgust	0.250	ハルク
baboon	disgust	0.250	ヒヒ
shanghai	disgust	0.250	上海
cupping	disgust	0.250	カッピング
lose	disgust	0.250	失う
rook	disgust	0.242	ルーク
entangled	disgust	0.242	もつれた
gratuitous	disgust	0.242	無償の
scrub	disgust	0.242	スクラブ
opponent	disgust	0.242	相手
tariff	disgust	0.242	関税
questionable	disgust	0.234	疑わしい
prolong	disgust	0.234	延ばす
reluctance	disgust	0.234	気が進まない
lagging	disgust	0.234	遅れている
misstatement	disgust	0.234	虚偽表示
resign	disgust	0.234	辞任
unlucky	disgust	0.234	不運
backwardness	disgust	0.234	後進性
ineffectual	disgust	0.227	効果がない
disqualified	disgust	0.227	失格
subsidy	disgust	0.227	補助金
reversal	disgust	0.227	反転
default	disgust	0.227	デフォルト
fussy	disgust	0.227	うるさい
unpopular	disgust	0.227	不人気
petroleum	disgust	0.219	石油
intense	disgust	0.219	集中
evade	disgust	0.219	回避
frowning	disgust	0.219	しかめっ面
weight	disgust	0.219	重さ
dame	disgust	0.219	貴婦人
donkey	disgust	0.211	ロバ
actionable	disgust	0.211	実行可能
tawny	disgust	0.211	黄褐色
unhappy	disgust	0.211	不幸
dandy	disgust	0.203	ダンディ
birch	disgust	0.203	白樺
speck	disgust	0.203	斑点
hood	disgust	0.203	フード
owing	disgust	0.203	借りている
desert	disgust	0.203	荒野
indifference	disgust	0.203	無関心
awkwardness	disgust	0.203	ぎこちなさ
rave	disgust	0.203	絶賛
gnome	disgust	0.203	ノーム
inconvenient	disgust	0.203	不便
howl	disgust	0.195	遠吠え
dabbling	disgust	0.195	手を出す
morals	disgust	0.195	道徳
misguided	disgust	0.195	見当違い
airs	disgust	0.195	放映
gelatin	disgust	0.195	ゼラチン
fleece	disgust	0.195	フリース
monochrome	disgust	0.195	モノクロ
lush	disgust	0.188	青々とした
celebrity	disgust	0.188	有名人
avoid	disgust	0.188	避ける
gent	disgust	0.188	紳士
stalemate	disgust	0.188	膠着状態
lesser	disgust	0.188	より少ない
sunk	disgust	0.180	沈んだ
nose	disgust	0.180	鼻
laughable	disgust	0.180	ばかばかしい
claimant	disgust	0.180	請求者
possession	disgust	0.180	所持
larger	disgust	0.164	大きい
pregnancy	disgust	0.164	妊娠
thrift	disgust	0.164	倹約
undoubted	disgust	0.164	間違いない
mouthful	disgust	0.164	一口
hoot	disgust	0.164	やじる
sentence	disgust	0.156	文
misplace	disgust	0.156	置き忘れ
clamor	disgust	0.156	喧騒
parrot	disgust	0.156	オウム
obliging	disgust	0.156	義務付け
nameless	disgust	0.148	名無し
bummer	disgust	0.148	残念
elf	disgust	0.141	妖精
feeling	disgust	0.141	フィーリング
excellence	disgust	0.141	優秀
gray	disgust	0.133	グレー
asymmetry	disgust	0.133	非対称
turn	disgust	0.133	順番
clumsy	disgust	0.133	不器用
stall	disgust	0.133	ストール
bran	disgust	0.125	ぬか
finally	disgust	0.125	最後に
lord	disgust	0.125	主
nurture	disgust	0.117	育成
savor	disgust	0.117	味わう
cove	disgust	0.117	入り江
winning	disgust	0.109	勝利
lemon	disgust	0.109	レモン
powerful	disgust	0.102	パワフル
glitter	disgust	0.094	キラキラ
interior	disgust	0.086	インテリア
mind	disgust	0.086	マインド
interested	disgust	0.078	興味がある
treat	disgust	0.078	扱う
abundance	disgust	0.078	豊富
honest	disgust	0.055	本音
kite	disgust	0.055	凧
humble	disgust	0.047	謙虚
