English Word	Emotion	Emotion-Intensity-Score	Haitian-Creole Word
football	anticipation	0.469	foutbòl
scare	anticipation	0.469	fè pè
elite	anticipation	0.469	elit
unknown	anticipation	0.469	enkoni
precursor	anticipation	0.469	précurseur
pry	anticipation	0.469	pry
providing	anticipation	0.469	bay
sweets	anticipation	0.469	bagay dous
cautious	anticipation	0.469	pridan
opera	anticipation	0.469	opera
motion	anticipation	0.469	mouvman
cash	anticipation	0.469	lajan kach
creeping	anticipation	0.469	trennen sou vant
invoke	anticipation	0.469	envoke
star	anticipation	0.469	zetwal
shaky	anticipation	0.469	tranble
production	anticipation	0.469	pwodiksyon
successful	anticipation	0.469	siksè
immediately	anticipation	0.469	imedyatman
dawn	anticipation	0.469	douvanjou
starry	anticipation	0.469	zetwal
unsurpassed	anticipation	0.469	san parèy
completion	anticipation	0.469	fini
hire	anticipation	0.469	anboche
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	komemoratif
shining	anticipation	0.461	klere
testament	anticipation	0.461	testaman
pay	anticipation	0.461	peye
alive	anticipation	0.461	vivan
plight	anticipation	0.461	sitiyasyon
preliminary	anticipation	0.461	preliminè
overture	anticipation	0.461	ouverture
sanctuary	anticipation	0.461	sanctuaire
regatta	anticipation	0.461	regat
draft	anticipation	0.461	bouyon
synchronize	anticipation	0.461	senkronize
soundness	anticipation	0.461	sonite
extricate	anticipation	0.461	degaje
excel	anticipation	0.461	briye
punt	anticipation	0.461	punt
untold	anticipation	0.461	enkoni
brilliant	anticipation	0.461	briyan
cheerfulness	anticipation	0.461	kè kontan
jeopardy	anticipation	0.461	an danje
friendly	anticipation	0.461	zanmitay
mail	anticipation	0.461	lapòs
unexpected	anticipation	0.453	inatandi
basketball	anticipation	0.453	baskètbòl
inaugural	anticipation	0.453	inogirasyon
supremacy	anticipation	0.453	sipremasi
rehabilitation	anticipation	0.453	reyabilitasyon
intimately	anticipation	0.453	intimman
career	anticipation	0.453	karyè
prevention	anticipation	0.453	prevansyon
renovate	anticipation	0.453	renove
compliment	anticipation	0.453	konpliman
prologue	anticipation	0.453	prològ
elegance	anticipation	0.453	distenksyon
complement	anticipation	0.453	konpleman
flinch	anticipation	0.453	tranble
infinity	anticipation	0.453	enfinite
perpetuity	anticipation	0.453	perpetuite
sunset	anticipation	0.453	solèy kouche
improve	anticipation	0.453	amelyore
fitting	anticipation	0.445	sere
confidence	anticipation	0.445	konfyans
concealment	anticipation	0.445	kache
sweet	anticipation	0.445	dous
perfect	anticipation	0.445	pafè
epidemic	anticipation	0.445	trapan
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	volontè
share	anticipation	0.445	pataje
surround	anticipation	0.445	antoure
conjecture	anticipation	0.445	konjekti
sun	anticipation	0.445	solèy
veracity	anticipation	0.445	verasite
serial	anticipation	0.438	seri
angel	anticipation	0.438	anj
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	sen
tickle	anticipation	0.438	chatouye
superstitious	anticipation	0.438	sipèstisye
ferment	anticipation	0.438	fèmante
conservation	anticipation	0.438	konsèvasyon
devout	anticipation	0.438	devwe
respect	anticipation	0.438	respè
reconstruction	anticipation	0.438	rekonstriksyon
goodness	anticipation	0.438	bonte
reconstruct	anticipation	0.438	rekonstwi
faith	anticipation	0.438	lafwa
recombination	anticipation	0.438	rekonbinasyon
prepared	anticipation	0.438	prepare
rabid	anticipation	0.438	anraje
plea	anticipation	0.438	lapriyè
medical	anticipation	0.438	medikal
passenger	anticipation	0.438	pasaje
charitable	anticipation	0.430	charitab
tabulate	anticipation	0.430	tabulasyon
peace	anticipation	0.430	lapè
install	anticipation	0.430	enstale
serenity	anticipation	0.430	trankilite
venerable	anticipation	0.430	venere
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirent
luscious	anticipation	0.430	apetisan
perpetuate	anticipation	0.430	perpétuer
strategist	anticipation	0.430	stratèj
unverified	anticipation	0.430	poko verifye
tribunal	anticipation	0.430	tribinal
clap	anticipation	0.430	bat bravo
peaceful	anticipation	0.422	lapè
patience	anticipation	0.422	pasyans
unresolved	anticipation	0.422	ki pako rezoud
worship	anticipation	0.422	adore
edification	anticipation	0.422	edifikasyon
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	griyen
revere	anticipation	0.422	revere
candid	anticipation	0.422	fran
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	konspiratè
adrift	anticipation	0.422	derive
recognizable	anticipation	0.422	rekonèt
volatility	anticipation	0.422	volatilité
forestall	anticipation	0.422	devan
laughter	anticipation	0.422	ri
continue	anticipation	0.414	kontinye
ongoing	anticipation	0.414	kontinyèl
astrologer	anticipation	0.414	astrològ
mediate	anticipation	0.414	medyatè
punctual	anticipation	0.414	ponktyèl
grant	anticipation	0.414	sibvansyon
morn	anticipation	0.414	maten
pretty	anticipation	0.414	bèl
withstand	anticipation	0.414	kenbe tèt ak
frisky	anticipation	0.414	friyan
thought	anticipation	0.414	te panse
probation	anticipation	0.414	pwobasyon
ordination	anticipation	0.414	òdinasyon
calls	anticipation	0.414	apèl
detainee	anticipation	0.414	prizonye
craps	anticipation	0.414	krap
weigh	anticipation	0.414	peze
proficiency	anticipation	0.414	konpetans
sing	anticipation	0.411	chante
continuation	anticipation	0.406	kontinyasyon
university	anticipation	0.406	inivèsite
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nouri
mother	anticipation	0.406	manman
punished	anticipation	0.406	pini
twinkle	anticipation	0.406	twinkle
confession	anticipation	0.406	konfesyon
outdo	anticipation	0.406	depase
prophylactic	anticipation	0.406	pwofilaktik
proud	anticipation	0.406	fyè
midwife	anticipation	0.406	fanmsaj
wizard	anticipation	0.406	sòsye
headlight	anticipation	0.406	limyè devan
long	anticipation	0.406	lontan
banquet	anticipation	0.406	bankè
comfort	anticipation	0.406	konfò
navigable	anticipation	0.406	navigab
subscribe	anticipation	0.406	abònman
opponent	anticipation	0.406	advèsè
debenture	anticipation	0.406	obligasyon
deal	anticipation	0.402	kontra
symphony	anticipation	0.398	senfoni
saintly	anticipation	0.398	sen
judiciary	anticipation	0.398	sistèm jidisyè
lettered	anticipation	0.398	lèt
vigil	anticipation	0.398	veye
reliance	anticipation	0.398	depandans
distracting	anticipation	0.398	distrè
mortification	anticipation	0.398	mortifikasyon
balm	anticipation	0.398	balm
simmer	anticipation	0.398	mitone
top	anticipation	0.398	tèt
obliging	anticipation	0.398	obliyan
efficient	anticipation	0.398	efikas
guillotine	anticipation	0.398	guillotin
representing	anticipation	0.398	reprezante
death	anticipation	0.398	lanmò
assurance	anticipation	0.391	asirans
familiarity	anticipation	0.391	abitye
depraved	anticipation	0.391	deprave
condemnation	anticipation	0.391	kondanasyon
undoubted	anticipation	0.391	san dout
sanctify	anticipation	0.391	sanktifye
diplomacy	anticipation	0.391	diplomasi
antidote	anticipation	0.391	antidot
trust	anticipation	0.391	fè konfyans
linger	anticipation	0.391	retade
objective	anticipation	0.391	objektif
chuckle	anticipation	0.391	ri
poke	anticipation	0.391	pike
abeyance	anticipation	0.391	rete
maternal	anticipation	0.391	matènèl
art	anticipation	0.391	atizay
unfulfilled	anticipation	0.391	pa ranpli
inoculation	anticipation	0.384	inokulasyon
simplify	anticipation	0.383	senplifye
depend	anticipation	0.383	depann de
chant	anticipation	0.383	chante
ram	anticipation	0.383	belye mouton
banger	anticipation	0.383	banger
playground	anticipation	0.383	lakou rekreyasyon
labor	anticipation	0.383	travay
scientist	anticipation	0.383	syantis
good	anticipation	0.383	bon
humanitarian	anticipation	0.383	imanitè
failing	anticipation	0.383	echwe
hap	anticipation	0.383	kontan
dutiful	anticipation	0.383	devwale
hymn	anticipation	0.383	kantik
ship	anticipation	0.383	bato
discretion	anticipation	0.383	diskresyon
undecided	anticipation	0.383	deside
gradual	anticipation	0.375	gradyèl
navigator	anticipation	0.375	navigatè
track	anticipation	0.375	tras
cradle	anticipation	0.375	bèso
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	pwovizwa
clock	anticipation	0.375	revèy
mountain	anticipation	0.375	montay
interminable	anticipation	0.375	entèminab
public	anticipation	0.375	piblik
recurrent	anticipation	0.375	frekan
savor	anticipation	0.375	gou
abide	anticipation	0.367	rete
concealed	anticipation	0.367	kache
spear	anticipation	0.367	frenn
lesson	anticipation	0.367	leson
instructions	anticipation	0.367	enstriksyon yo
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennyèl
convince	anticipation	0.367	konvenk
whim	anticipation	0.367	kapris
shiver	anticipation	0.367	tranble
towering	anticipation	0.367	imans
musical	anticipation	0.367	mizikal
offset	anticipation	0.359	konpanse
theory	anticipation	0.359	teyori
theology	anticipation	0.359	teyoloji
undying	anticipation	0.359	p'ap mouri
timidity	anticipation	0.359	timidite
plump	anticipation	0.359	gra
atone	anticipation	0.359	ekspye
audience	anticipation	0.357	odyans lan
dietary	anticipation	0.352	dyetetik
consecration	anticipation	0.352	konsekrasyon
localize	anticipation	0.352	lokalize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	magazen
farm	anticipation	0.352	fèm
daily	anticipation	0.352	chak jou
cramp	anticipation	0.352	kranp
nobility	anticipation	0.352	noblès
closure	anticipation	0.352	fèmti
edition	anticipation	0.352	edisyon
kindred	anticipation	0.352	fanmi
stripped	anticipation	0.344	dezabiye
errand	anticipation	0.344	Komisyon
archaeology	anticipation	0.344	akeyoloji
mutable	anticipation	0.344	mitab
wireless	anticipation	0.344	san fil
meditate	anticipation	0.344	medite
mobile	anticipation	0.344	mobil
germ	anticipation	0.336	jèm
brotherly	anticipation	0.336	fratènèl
lessen	anticipation	0.336	diminye
unbeaten	anticipation	0.336	envenku
pare	anticipation	0.336	pare
buddy	anticipation	0.336	zanmi
unaccountable	anticipation	0.336	san kont
dove	anticipation	0.328	pijon
patient	anticipation	0.328	pasyan
secular	anticipation	0.328	eksklizyon
digress	anticipation	0.328	digress
chastity	anticipation	0.328	chastete
council	anticipation	0.328	konsèy
olfactory	anticipation	0.328	olfactif
ribbon	anticipation	0.328	riban
possess	anticipation	0.328	posede
disposed	anticipation	0.320	dispoze
scrutinize	anticipation	0.320	egzamine
immature	anticipation	0.320	frelikè
mediator	anticipation	0.320	medyatè
regularity	anticipation	0.320	regilarite
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	enfantisid
paddle	anticipation	0.320	pagay
heft	anticipation	0.320	pwa
fancy	anticipation	0.320	anpenpan
preservative	anticipation	0.320	konsèvasyon
unpublished	anticipation	0.312	ki pa pibliye
church	anticipation	0.312	legliz
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	sombre
denying	anticipation	0.312	nye
analyst	anticipation	0.312	analis
judicial	anticipation	0.305	jidisyè
priesthood	anticipation	0.305	prètriz
broadside	anticipation	0.305	laj
mill	anticipation	0.305	moulen
dismay	anticipation	0.297	dekouraje
cap	anticipation	0.297	bouchon
thermocouple	anticipation	0.297	tèrmokapteur
tributary	anticipation	0.297	afliyan
instructor	anticipation	0.297	enstriktè
exhaustion	anticipation	0.297	fatig
saliva	anticipation	0.297	krache
cataract	anticipation	0.289	katarak
network	anticipation	0.289	rezo
visor	anticipation	0.289	vizyèr
shackle	anticipation	0.289	chenn
wont	anticipation	0.289	pa pral
addresses	anticipation	0.289	adrès
discreet	anticipation	0.289	diskrè
noncompliance	anticipation	0.289	non-konpliyans
bruise	anticipation	0.289	ematom
homeless	anticipation	0.289	san kay
astronomer	anticipation	0.281	astwonòm
skewed	anticipation	0.281	dekonpoze
neighbor	anticipation	0.281	vwazen
holiness	anticipation	0.273	sentete
devil	anticipation	0.273	dyab
picket	anticipation	0.273	pikèt
sentence	anticipation	0.273	fraz
latent	anticipation	0.273	inaktif
cream	anticipation	0.273	krèm
immaturity	anticipation	0.273	immaturite
habitual	anticipation	0.266	abitye
morals	anticipation	0.266	moralite
neighborhood	anticipation	0.266	katye
lull	anticipation	0.266	kalme
bye	anticipation	0.258	bye
weight	anticipation	0.258	pwa
organ	anticipation	0.250	ògàn
clown	anticipation	0.250	kloun
forearm	anticipation	0.250	avanbra
commonplace	anticipation	0.242	komen
quote	anticipation	0.242	quote
rail	anticipation	0.234	ray
dictatorship	anticipation	0.234	diktati
treadmill	anticipation	0.234	tapi
board	anticipation	0.234	tablo
tree	anticipation	0.227	pye bwa
sundial	anticipation	0.227	epòk solèy
paralysis	anticipation	0.211	paralizi
cement	anticipation	0.203	siman
worm	anticipation	0.203	vè k'ap manje kadav
organization	anticipation	0.203	òganizasyon
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	net
cannibalism	disgust	0.953	kanibalis
mutilation	disgust	0.930	mutilasyon
molestation	disgust	0.914	molestasyon
incest	disgust	0.914	ensès
rape	disgust	0.906	vyòl
gonorrhea	disgust	0.906	gonore
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	pouri
corpse	disgust	0.883	kadav
massacre	disgust	0.883	Masak
excrement	disgust	0.883	ekskreman
barf	disgust	0.875	barf
slaughter	disgust	0.875	labatwa
slaughterhouse	disgust	0.867	labatwa
incestuous	disgust	0.859	ensès
sewerage	disgust	0.859	egou
filth	disgust	0.859	salte
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rans
infestation	disgust	0.852	enfeksyon
plague	disgust	0.852	epidemi
holocaust	disgust	0.852	olokòs
bloodthirsty	disgust	0.852	asasen
rotting	disgust	0.844	pouri
fecal	disgust	0.844	fekal
maggot	disgust	0.844	magot
feces	disgust	0.844	poupou
murder	disgust	0.839	touye moun
asshole	disgust	0.836	bourik
homicide	disgust	0.836	omisid
enslaved	disgust	0.836	esklav
infanticide	disgust	0.836	enfantisid
perverted	disgust	0.828	perverti
excretion	disgust	0.828	eskresyon
gore	disgust	0.828	gore
slaughtering	disgust	0.828	abataj
torture	disgust	0.828	tòti
contaminate	disgust	0.821	kontamine
revolting	disgust	0.820	revòlte
gory	disgust	0.820	goy
shit	disgust	0.820	kaka
terrorist	disgust	0.820	teworis
murderer	disgust	0.820	ansasen
repugnant	disgust	0.820	repiyan
manure	disgust	0.820	fimye
pervert	disgust	0.820	perverti
diarrhoea	disgust	0.820	dyare
grotesque	disgust	0.820	grotèsk
desecration	disgust	0.820	profanasyon
faeces	disgust	0.812	poupou
slavery	disgust	0.812	esklavaj
sewer	disgust	0.812	egou
cadaver	disgust	0.812	kadav
manslaughter	disgust	0.812	touye moun
dismemberment	disgust	0.812	demantelman
vomit	disgust	0.812	vomi
perverse	disgust	0.805	perverse
repulsive	disgust	0.805	repouse
hemorrhage	disgust	0.805	emoraji
sewage	disgust	0.797	dlo egou
filthy	disgust	0.797	sal
diseased	disgust	0.797	malad
depravity	disgust	0.797	depravasyon
carcass	disgust	0.795	kadav
decompose	disgust	0.789	dekonpoze
gruesome	disgust	0.789	orib
mutilated	disgust	0.789	mutile
puke	disgust	0.789	vomi
herpes	disgust	0.789	èpès
decayed	disgust	0.789	pouri
dung	disgust	0.789	fimye
vermin	disgust	0.789	vèmin
murderous	disgust	0.789	ansasen
parasite	disgust	0.789	parazit
horrific	disgust	0.789	terib
carnage	disgust	0.781	masnay
malaria	disgust	0.781	malarya
slime	disgust	0.781	limon
flatulence	disgust	0.781	flatulans
pestilence	disgust	0.781	epidemi
crap	disgust	0.781	krap
monstrosity	disgust	0.781	monstruozite
loathsome	disgust	0.773	degoutan
toxic	disgust	0.773	toksik
morgue	disgust	0.773	mòg
pus	disgust	0.773	pi
herpesvirus	disgust	0.773	viris èpès
leprosy	disgust	0.773	lalèp
insidious	disgust	0.773	trètr
cruel	disgust	0.766	mechan
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	antraks
xenophobia	disgust	0.766	ksenofobi
repugnance	disgust	0.766	repiyans
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	repiyans
whore	disgust	0.766	bouzen
dissection	disgust	0.759	diseksyon
mucous	disgust	0.758	mikez
canker	disgust	0.758	chank
slum	disgust	0.758	bidonvil
infectious	disgust	0.758	enfektye
evil	disgust	0.758	sa ki mal
phlegm	disgust	0.758	flèm
cruelty	disgust	0.758	mechanste
perversion	disgust	0.758	pèvèsyon
sinister	disgust	0.750	dezas
leeches	disgust	0.750	sangsi
corrupting	disgust	0.750	koripsyon
decomposition	disgust	0.750	dekonpozisyon
abomination	disgust	0.742	abominasyon
stinking	disgust	0.742	stinking
bile	disgust	0.742	kòlè
demonic	disgust	0.742	dyabolik
deranged	disgust	0.742	deranje
abhorrence	disgust	0.742	degoutans
soiled	disgust	0.742	sal
mucus	disgust	0.742	larim
septic	disgust	0.742	septik
sickening	disgust	0.742	malad
demon	disgust	0.742	demon
cancer	disgust	0.734	kansè
obese	disgust	0.734	obèz
degeneracy	disgust	0.734	koripsyon
despicable	disgust	0.734	embesil
atrocity	disgust	0.734	atrosite
foul	disgust	0.734	move
sicken	disgust	0.734	malad
crucifixion	disgust	0.734	krisifikasyon
terrorism	disgust	0.734	teworis
repulsion	disgust	0.727	repouse
morbidity	disgust	0.727	morbidite
dysentery	disgust	0.727	disantri
enema	disgust	0.727	lavman
bacterium	disgust	0.727	bakteri
dirty	disgust	0.727	sal
adultery	disgust	0.727	adiltè
contamination	disgust	0.727	kontaminasyon
grisly	disgust	0.727	makabre
diabolical	disgust	0.727	dyabolik
autopsy	disgust	0.719	otopsi
barbaric	disgust	0.719	barbare
vulgar	disgust	0.719	vilgè
entrails	disgust	0.719	zantray
disgust	disgust	0.719	degou
lewd	disgust	0.719	debòde
muck	disgust	0.719	muck
bowels	disgust	0.719	zantray
garbage	disgust	0.719	fatra
deterioration	disgust	0.719	deteryorasyon
contagion	disgust	0.719	kontajye
vicious	disgust	0.719	visye
disfigured	disgust	0.719	defigire
pungent	disgust	0.719	pike
gross	disgust	0.719	brit
bloodshed	disgust	0.714	san koule
gag	disgust	0.711	gag
pollute	disgust	0.711	polye
nausea	disgust	0.711	kè plen
tyrant	disgust	0.711	tiran
wretched	disgust	0.711	mizerab
mortification	disgust	0.711	mortifikasyon
violent	disgust	0.711	vyolan
poisoned	disgust	0.711	anpwazonnen
nauseate	disgust	0.703	kè plen
slimy	disgust	0.703	limon
grope	disgust	0.703	taton
slut	disgust	0.703	salope
nasty	disgust	0.703	degoutan
disgusting	disgust	0.703	degoutan
depraved	disgust	0.703	deprave
porn	disgust	0.703	pònografi
hateful	disgust	0.703	rayisab
vulgarity	disgust	0.703	vilgarite
noxious	disgust	0.703	danjere
grime	disgust	0.703	salte
constipation	disgust	0.703	konstipasyon
secretion	disgust	0.703	sekresyon
poisoning	disgust	0.703	anpwazònman
despotism	disgust	0.703	despotism
measles	disgust	0.696	lawoujòl
contagious	disgust	0.695	trapan
obesity	disgust	0.695	obezite
wart	disgust	0.695	veri
hate	disgust	0.695	rayi
hellish	disgust	0.695	infernal
scum	disgust	0.695	krache
suicidal	disgust	0.695	swisid
wretch	disgust	0.695	mizè
abuse	disgust	0.695	abi
waste	disgust	0.695	fatra
intestinal	disgust	0.695	entesten
heartworm	disgust	0.688	heartworm
ooze	disgust	0.688	oze
treason	disgust	0.688	trayizon
contaminated	disgust	0.688	kontamine
smut	disgust	0.688	chabon
disease	disgust	0.688	maladi
rabid	disgust	0.688	anraje
deformed	disgust	0.680	defòme
hell	disgust	0.680	lanfè
soulless	disgust	0.680	san nanm
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antikristyanism
freakish	disgust	0.680	freakish
germ	disgust	0.680	jèm
detest	disgust	0.680	deteste
pollution	disgust	0.680	polisyon
grimy	disgust	0.680	sal
abhorrent	disgust	0.680	degoutan
hatred	disgust	0.680	rayisman
abominate	disgust	0.680	abomine
sickness	disgust	0.680	maladi
hideous	disgust	0.672	efreyan
dictatorship	disgust	0.672	diktati
loathful	disgust	0.672	degoutan
greasy	disgust	0.672	gra
dilapidated	disgust	0.672	delambre
inhuman	disgust	0.672	inimen
loathing	disgust	0.672	degoutans
obscene	disgust	0.672	obsèn
cess	disgust	0.670	cess
devil	disgust	0.664	dyab
deformity	disgust	0.664	defòmite
nauseous	disgust	0.664	kè plen
deadly	disgust	0.664	mòtèl
swine	disgust	0.664	kochon
discrimination	disgust	0.664	diskriminasyon
abominable	disgust	0.664	abominab
masochism	disgust	0.664	masochis
heretic	disgust	0.664	eretik
latrines	disgust	0.656	latrin
corruption	disgust	0.656	koripsyon
poisonous	disgust	0.656	pwazon
horror	disgust	0.656	laterè
nefarious	disgust	0.656	malfezan
bacteria	disgust	0.656	bakteri
horrible	disgust	0.656	terib
trash	disgust	0.656	fatra
abortion	disgust	0.656	avòtman
death	disgust	0.656	lanmò
prejudiced	disgust	0.656	prejije
poison	disgust	0.656	pwazon
oppression	disgust	0.656	opresyon
goo	disgust	0.656	goo
victimized	disgust	0.656	viktimize
mange	disgust	0.656	mange
sludge	disgust	0.648	boue
trashy	disgust	0.648	fatra
vindictive	disgust	0.648	vanjans
horrid	disgust	0.648	terib
ugly	disgust	0.648	lèd
immoral	disgust	0.648	imoral
bitch	disgust	0.648	chen
outhouse	disgust	0.648	anvwaye
detestation	disgust	0.648	deteste
horrifying	disgust	0.641	terib
laxative	disgust	0.641	laksatif
unsightly	disgust	0.641	disgrasyeu
derogatory	disgust	0.641	denigre
slop	disgust	0.641	pant
malfeasance	disgust	0.641	malfezans
spew	disgust	0.641	krache
pimple	disgust	0.641	bouton
criminality	disgust	0.641	kriminèl
indecency	disgust	0.641	endesans
cystic	disgust	0.641	sistik
villainous	disgust	0.641	mechan
queasy	disgust	0.633	malèz
mildew	disgust	0.633	kanni
oppressive	disgust	0.633	opresyon
prostitution	disgust	0.633	pwostitisyon
secrete	disgust	0.633	sekrete
ulcer	disgust	0.633	ilsè
rat	disgust	0.633	rat
bigoted	disgust	0.633	fanatik
perpetrator	disgust	0.633	otè krim
doomsday	disgust	0.633	doomsday
sinful	disgust	0.633	peche
degrading	disgust	0.625	degrade
ghastly	disgust	0.625	efreyan
suffering	disgust	0.625	soufrans
obscenity	disgust	0.625	obscenite
devilish	disgust	0.625	dyabolik
disgraceful	disgust	0.625	wont
persecution	disgust	0.625	pèsekisyon
contemptible	disgust	0.625	meprizab
cuckold	disgust	0.625	koko
stools	disgust	0.625	poupou
dastardly	disgust	0.625	dezagreyab
sin	disgust	0.625	peche
gluttony	disgust	0.625	safrete
bloated	disgust	0.625	gonfle
fungus	disgust	0.625	chanpiyon
aghast	disgust	0.625	sezi
diaper	disgust	0.617	kouchèt
malicious	disgust	0.617	move
polygamy	disgust	0.617	poligami
dying	disgust	0.617	mouri
termite	disgust	0.617	termite
fat	disgust	0.617	grès
deceit	disgust	0.617	twonpe
atrocious	disgust	0.617	atros
guillotine	disgust	0.617	guillotin
tetanus	disgust	0.617	tetanòs
spoil	disgust	0.617	gate
crusty	disgust	0.617	kroustiyan
sickly	disgust	0.617	malad
louse	disgust	0.617	pou
strangle	disgust	0.617	trangle
betrayal	disgust	0.617	trayizon
loathe	disgust	0.617	degoute
wench	disgust	0.617	jenn gason
infect	disgust	0.617	enfekte
violently	disgust	0.609	vyolans
brothel	disgust	0.609	bouzen
drool	disgust	0.609	bave
bleeding	disgust	0.609	senyen
deform	disgust	0.609	defòme
ghetto	disgust	0.609	geto
sabotage	disgust	0.609	sabotaj
venomous	disgust	0.609	pwazon
abhor	disgust	0.609	degoute
slander	disgust	0.609	kalomnye
hostile	disgust	0.609	ostil
musty	disgust	0.602	mouye
illicit	disgust	0.602	ilegal
ugliness	disgust	0.602	lèd
unwashed	disgust	0.602	non lave
swampy	disgust	0.602	marekaj
deprivation	disgust	0.602	privasyon
poaching	disgust	0.602	poche
hag	disgust	0.602	hag
infidel	disgust	0.602	enfidel
imprisonment	disgust	0.602	prizon
traitor	disgust	0.602	trèt
lunacy	disgust	0.602	foli
queasiness	disgust	0.594	malèz
hostility	disgust	0.594	ostilite
repelling	disgust	0.594	repouse
intoxicated	disgust	0.594	entoksike
thug	disgust	0.594	bandi
catastrophe	disgust	0.594	katastwòf
lunatic	disgust	0.594	fou
misery	disgust	0.594	mizè
venom	disgust	0.594	venen
butcher	disgust	0.594	bouche
toilet	disgust	0.594	twalèt
blister	disgust	0.594	ti anpoul
lurid	disgust	0.594	debòde
slug	disgust	0.594	paresseux
gut	disgust	0.594	zantray
sinner	disgust	0.594	pechè
deceitful	disgust	0.594	twonpe
epidemic	disgust	0.594	trapan
deteriorated	disgust	0.586	deteryore
lavatory	disgust	0.586	twalèt
unclean	disgust	0.586	sal
prostitute	disgust	0.586	jennès
incubus	disgust	0.586	enkib
appalling	disgust	0.586	terib
dreadful	disgust	0.586	terib
pornography	disgust	0.586	pònografi
harass	disgust	0.586	anmède
squeamish	disgust	0.578	sweamish
expulsion	disgust	0.578	ekspilsyon
unfaithful	disgust	0.578	enfidèl
offensive	disgust	0.578	ofansif
hypocrite	disgust	0.578	ipokrit
humiliating	disgust	0.578	imilyan
larceny	disgust	0.578	vòlè
ruinous	disgust	0.578	kraze brize
retard	disgust	0.578	retade
rash	disgust	0.578	gratèl
flea	disgust	0.578	pis
debauchery	disgust	0.578	debòde
fiend	disgust	0.578	dyab
quagmire	disgust	0.578	boure
conspirator	disgust	0.578	konspiratè
sick	disgust	0.578	malad
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	chyen
egregious	disgust	0.570	flagran
flog	disgust	0.570	bate
despise	disgust	0.570	meprize
treacherous	disgust	0.570	trèt
oppress	disgust	0.570	toupizi
swamp	disgust	0.570	marekaj
messy	disgust	0.570	dezòdone
spit	disgust	0.570	krache
dank	disgust	0.570	dank
bastard	disgust	0.570	bastard
devastating	disgust	0.570	devaste
serpent	disgust	0.570	sèpan
loo	disgust	0.562	loo
indecent	disgust	0.562	endesan
insanity	disgust	0.562	foli
stealing	disgust	0.562	vòlè
terrible	disgust	0.562	terib
tyrannical	disgust	0.562	tiranik
humiliation	disgust	0.562	imilyasyon
snake	disgust	0.562	koulèv
sloppy	disgust	0.562	dezagreyab
sinning	disgust	0.562	peche
harmful	disgust	0.562	danjere
harlot	disgust	0.562	jennès
sordid	disgust	0.562	sordid
enemy	disgust	0.562	lènmi
alcoholism	disgust	0.562	alkòl
awful	disgust	0.562	terib
ruthless	disgust	0.562	san pitye
scoundrel	disgust	0.562	kannay
bloody	disgust	0.555	san
flabby	disgust	0.555	flask
odious	disgust	0.555	odiyan
beastly	disgust	0.555	bèt
collusion	disgust	0.555	konplisite
ridicule	disgust	0.555	betiz
discriminating	disgust	0.555	diskriminasyon
unattractive	disgust	0.555	dezagreyab
insufferable	disgust	0.555	ensipòtab
segregate	disgust	0.555	separe
arsenic	disgust	0.555	asenik
threatening	disgust	0.555	menase
atrophy	disgust	0.555	atrofi
varicella	disgust	0.555	varisèl
slayer	disgust	0.555	tuye
distaste	disgust	0.555	degoute
coward	disgust	0.555	lach
robbery	disgust	0.555	vòlè
wickedness	disgust	0.555	mechanste
anathema	disgust	0.547	anatem
malevolent	disgust	0.547	malveyan
sty	disgust	0.547	sty
pillage	disgust	0.547	pilye
thief	disgust	0.547	vòlè
suffocating	disgust	0.547	toufe
condemnation	disgust	0.547	kondanasyon
deleterious	disgust	0.547	danjere
slur	disgust	0.547	sal
purgatory	disgust	0.547	purgatwar
attacking	disgust	0.547	atake
burglar	disgust	0.547	kanbriyolè
ogre	disgust	0.547	ogr
coercion	disgust	0.547	fòse
vesicular	disgust	0.547	vesikulèr
miserable	disgust	0.547	mizerab
bitterly	disgust	0.547	anmè
sneer	disgust	0.539	betiz
greedy	disgust	0.539	visye
gob	disgust	0.539	gob
repellant	disgust	0.539	repouse
jealous	disgust	0.539	jalouzi
drunken	disgust	0.539	sou
shame	disgust	0.539	wont
thrash	disgust	0.539	thrash
fatty	disgust	0.539	gra
liar	disgust	0.539	mantè
imprisoned	disgust	0.539	nan prizon
sloth	disgust	0.539	paresseux
