English Word	Emotion	Emotion-Intensity-Score	Urdu Word
mediate	anticipation	0.414	ثالثی
punctual	anticipation	0.414	وقت کی پابند
grant	anticipation	0.414	عطا
morn	anticipation	0.414	صبح
pretty	anticipation	0.414	خوبصورت
withstand	anticipation	0.414	برداشت کرنا
frisky	anticipation	0.414	تیز
thought	anticipation	0.414	سوچا
probation	anticipation	0.414	پروبیشن
ordination	anticipation	0.414	ترتیب
calls	anticipation	0.414	کالز
detainee	anticipation	0.414	زیر حراست
craps	anticipation	0.414	گھٹیا
weigh	anticipation	0.414	وزن
proficiency	anticipation	0.414	مہارت
sing	anticipation	0.411	گانا
continuation	anticipation	0.406	تسلسل
university	anticipation	0.406	جامع درس گاہ
chicane	anticipation	0.406	چکنی
nurture	anticipation	0.406	پرورش
mother	anticipation	0.406	ماں
punished	anticipation	0.406	سزا دی
twinkle	anticipation	0.406	چمکنا
confession	anticipation	0.406	اعتراف
outdo	anticipation	0.406	باہر
prophylactic	anticipation	0.406	پروفیلیکٹک
proud	anticipation	0.406	فخر
midwife	anticipation	0.406	دائی
wizard	anticipation	0.406	جادوگر
headlight	anticipation	0.406	ہیڈلائٹ
long	anticipation	0.406	طویل
banquet	anticipation	0.406	ضیافت
comfort	anticipation	0.406	آرام
navigable	anticipation	0.406	نیویگیبل
subscribe	anticipation	0.406	سبسکرائب
opponent	anticipation	0.406	مخالف
debenture	anticipation	0.406	ڈیبینچر
deal	anticipation	0.402	سودا
symphony	anticipation	0.398	سمفنی
saintly	anticipation	0.398	مقدس
judiciary	anticipation	0.398	عدلیہ
lettered	anticipation	0.398	خط لکھا
vigil	anticipation	0.398	نگرانی
reliance	anticipation	0.398	انحصار
distracting	anticipation	0.398	پریشان کن
mortification	anticipation	0.398	موت
balm	anticipation	0.398	بام
simmer	anticipation	0.398	ابالنا
top	anticipation	0.398	سب سے اوپر
obliging	anticipation	0.398	پابند
efficient	anticipation	0.398	موثر
guillotine	anticipation	0.398	گیلوٹین
representing	anticipation	0.398	نمائندگی
death	anticipation	0.398	موت
assurance	anticipation	0.391	یقین دہانی
familiarity	anticipation	0.391	واقفیت
depraved	anticipation	0.391	محروم
condemnation	anticipation	0.391	مذمت
undoubted	anticipation	0.391	بلاشبہ
sanctify	anticipation	0.391	مقدس کرنا
diplomacy	anticipation	0.391	سفارت کاری
antidote	anticipation	0.391	تریاق
trust	anticipation	0.391	اعتماد
linger	anticipation	0.391	دیر
objective	anticipation	0.391	مقصد
chuckle	anticipation	0.391	منہ دبا ہنسنا
poke	anticipation	0.391	پرہیز
abeyance	anticipation	0.391	تعطل
maternal	anticipation	0.391	زچگی
art	anticipation	0.391	فن
unfulfilled	anticipation	0.391	ادھورا
inoculation	anticipation	0.384	ٹیکہ لگانا
simplify	anticipation	0.383	آسان بنانا
depend	anticipation	0.383	انحصار
chant	anticipation	0.383	نعرہ لگانا
ram	anticipation	0.383	رام
banger	anticipation	0.383	بینجر
playground	anticipation	0.383	کھیل کا میدان
labor	anticipation	0.383	مزدور
scientist	anticipation	0.383	سائنسدان
good	anticipation	0.383	اچھی
humanitarian	anticipation	0.383	انسانی
failing	anticipation	0.383	ناکام
hap	anticipation	0.383	ہاپ
dutiful	anticipation	0.383	فرض شناس
hymn	anticipation	0.383	تسبیح
ship	anticipation	0.383	جہاز
discretion	anticipation	0.383	صوابدید
undecided	anticipation	0.383	غیر فیصلہ کن
gradual	anticipation	0.375	بتدریج
navigator	anticipation	0.375	نیویگیٹر
track	anticipation	0.375	ٹریک
cradle	anticipation	0.375	جھولا
sterling	anticipation	0.375	سٹرلنگ
interim	anticipation	0.375	عبوری
clock	anticipation	0.375	گھڑی
mountain	anticipation	0.375	پہاڑ
interminable	anticipation	0.375	لامتناہی
public	anticipation	0.375	عوام
recurrent	anticipation	0.375	بار بار
savor	anticipation	0.375	ذائقہ
abide	anticipation	0.367	رہنا
concealed	anticipation	0.367	چھپا ہوا
spear	anticipation	0.367	نیزہ
lesson	anticipation	0.367	سبق
instructions	anticipation	0.367	ہدایات
sonar	anticipation	0.367	سونار
biennial	anticipation	0.367	دو سالہ
convince	anticipation	0.367	قائل
whim	anticipation	0.367	وہم
shiver	anticipation	0.367	کاںپنا
towering	anticipation	0.367	بلند
musical	anticipation	0.367	میوزیکل
offset	anticipation	0.359	آفسیٹ
theory	anticipation	0.359	نظریہ
theology	anticipation	0.359	دینیات
undying	anticipation	0.359	لامتناہی
timidity	anticipation	0.359	ڈرپوک
plump	anticipation	0.359	بولڈ
atone	anticipation	0.359	کفارہ
audience	anticipation	0.357	سامعین
dietary	anticipation	0.352	غذائی
consecration	anticipation	0.352	تقدیس
localize	anticipation	0.352	مقامی بنانا
paragon	anticipation	0.352	پیراگون
store	anticipation	0.352	اسٹور
farm	anticipation	0.352	فارم
daily	anticipation	0.352	روزانہ
cramp	anticipation	0.352	درد
nobility	anticipation	0.352	شرافت
closure	anticipation	0.352	بندش
edition	anticipation	0.352	ایڈیشن
kindred	anticipation	0.352	رشتہ دار
stripped	anticipation	0.344	چھین لیا
errand	anticipation	0.344	کام
archaeology	anticipation	0.344	آثار قدیمہ
mutable	anticipation	0.344	تغیر پذیر
wireless	anticipation	0.344	وائرلیس
meditate	anticipation	0.344	مراقبہ
mobile	anticipation	0.344	موبائل
germ	anticipation	0.336	جراثیم
brotherly	anticipation	0.336	برادرانہ
lessen	anticipation	0.336	کم
unbeaten	anticipation	0.336	ناقابل شکست
pare	anticipation	0.336	pare
buddy	anticipation	0.336	دوست
unaccountable	anticipation	0.336	بے حساب
dove	anticipation	0.328	کبوتر
patient	anticipation	0.328	صبر
secular	anticipation	0.328	دنیاوی
digress	anticipation	0.328	ہٹانا
chastity	anticipation	0.328	عفت
council	anticipation	0.328	کونسل
olfactory	anticipation	0.328	ولفیکٹری
ribbon	anticipation	0.328	ربن
possess	anticipation	0.328	مالک
disposed	anticipation	0.320	ڈسپوزل
scrutinize	anticipation	0.320	چھان بین
immature	anticipation	0.320	نادان
mediator	anticipation	0.320	ثالث
regularity	anticipation	0.320	باقاعدگی
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	بچے کا قتل
paddle	anticipation	0.320	پیڈل
heft	anticipation	0.320	heft
fancy	anticipation	0.320	پسند
preservative	anticipation	0.320	محافظ
unpublished	anticipation	0.312	غیر مطبوعہ
church	anticipation	0.312	چرچ
bugle	anticipation	0.312	بگل
grim	anticipation	0.312	سنگین
denying	anticipation	0.312	انکار
analyst	anticipation	0.312	تجزیہ کار
judicial	anticipation	0.305	عدالتی
priesthood	anticipation	0.305	کہانت
broadside	anticipation	0.305	چوڑائی
mill	anticipation	0.305	چکی
dismay	anticipation	0.297	مایوسی
cap	anticipation	0.297	ٹوپی
thermocouple	anticipation	0.297	تھرموکوپل
tributary	anticipation	0.297	معاون ندی
instructor	anticipation	0.297	انسٹرکٹر
exhaustion	anticipation	0.297	تھکن
saliva	anticipation	0.297	تھوک
cataract	anticipation	0.289	موتیابند
network	anticipation	0.289	نیٹ ورک
visor	anticipation	0.289	ویزر
shackle	anticipation	0.289	بیڑی
wont	anticipation	0.289	نہیں
addresses	anticipation	0.289	پتے
discreet	anticipation	0.289	سمجھدار
noncompliance	anticipation	0.289	عدم تعمیل
bruise	anticipation	0.289	زخم
homeless	anticipation	0.289	بے گھر
astronomer	anticipation	0.281	ماہر فلکیات
skewed	anticipation	0.281	ترچھا
neighbor	anticipation	0.281	پڑوسی
holiness	anticipation	0.273	تقدس
devil	anticipation	0.273	شیطان
picket	anticipation	0.273	دھرنا
sentence	anticipation	0.273	جملہ
latent	anticipation	0.273	اویکت
cream	anticipation	0.273	کریم
immaturity	anticipation	0.273	ناپختگی
habitual	anticipation	0.266	عادت
morals	anticipation	0.266	اخلاقیات
neighborhood	anticipation	0.266	پڑوس
lull	anticipation	0.266	خاموشی
bye	anticipation	0.258	الوداع
weight	anticipation	0.258	وزن
organ	anticipation	0.250	عضو
clown	anticipation	0.250	مسخرہ
forearm	anticipation	0.250	بازو
commonplace	anticipation	0.242	عام
quote	anticipation	0.242	اقتباس
rail	anticipation	0.234	ریل
dictatorship	anticipation	0.234	آمریت
treadmill	anticipation	0.234	ٹریڈمل
board	anticipation	0.234	بورڈ
tree	anticipation	0.227	درخت
sundial	anticipation	0.227	دھوپ والا
paralysis	anticipation	0.211	فالج
cement	anticipation	0.203	سیمنٹ
worm	anticipation	0.203	کیڑا
organization	anticipation	0.203	تنظیم
lagging	anticipation	0.180	پیچھے رہنا
neutral	anticipation	0.148	غیر جانبدار
cannibalism	disgust	0.953	کینبالزم
mutilation	disgust	0.930	مسخ کرنا
molestation	disgust	0.914	چھیڑ چھاڑ
incest	disgust	0.914	بے حیائی
rape	disgust	0.906	عصمت دری
gonorrhea	disgust	0.906	سوزاک
cannibal	disgust	0.898	کینبل
rot	disgust	0.891	سڑنا
corpse	disgust	0.883	لاش
massacre	disgust	0.883	قتل عام
excrement	disgust	0.883	اخراج
barf	disgust	0.875	barf
slaughter	disgust	0.875	ذبح
slaughterhouse	disgust	0.867	مذبح خانہ
incestuous	disgust	0.859	بے حیائی کرنے والا
sewerage	disgust	0.859	سیوریج
filth	disgust	0.859	گندگی
bigot	disgust	0.859	مکروہ، بدترین شخص
rancid	disgust	0.859	گندا
infestation	disgust	0.852	انفیکشن
plague	disgust	0.852	طاعون
holocaust	disgust	0.852	ہولوکاسٹ
bloodthirsty	disgust	0.852	خون کے پیاسے
rotting	disgust	0.844	سڑنا
fecal	disgust	0.844	پاخانہ
maggot	disgust	0.844	میگٹ
feces	disgust	0.844	پاخانہ
murder	disgust	0.839	قتل
asshole	disgust	0.836	گدی
homicide	disgust	0.836	قتل عام
enslaved	disgust	0.836	غلامی
infanticide	disgust	0.836	بچے کا قتل
perverted	disgust	0.828	بگاڑ
excretion	disgust	0.828	اخراج
gore	disgust	0.828	گور
slaughtering	disgust	0.828	ذبح
torture	disgust	0.828	تشدد
contaminate	disgust	0.821	آلودہ کرنا
revolting	disgust	0.820	بغاوت
gory	disgust	0.820	گوری
shit	disgust	0.820	گندگی
terrorist	disgust	0.820	دہشت گرد
murderer	disgust	0.820	قاتل
repugnant	disgust	0.820	نفرت انگیز
manure	disgust	0.820	کھاد
pervert	disgust	0.820	بیہودہ
diarrhoea	disgust	0.820	اسہال
grotesque	disgust	0.820	عجیب
desecration	disgust	0.820	بے حرمتی
faeces	disgust	0.812	پاخانہ
slavery	disgust	0.812	غلامی
sewer	disgust	0.812	گٹر
cadaver	disgust	0.812	لاش
manslaughter	disgust	0.812	قتل عام
dismemberment	disgust	0.812	تقسیم
vomit	disgust	0.812	قے
perverse	disgust	0.805	ٹیڑھا
repulsive	disgust	0.805	مکروہ
hemorrhage	disgust	0.805	نکسیر
sewage	disgust	0.797	سیوریج
filthy	disgust	0.797	گندی
diseased	disgust	0.797	بیمار
depravity	disgust	0.797	بدحالی
carcass	disgust	0.795	لاش
decompose	disgust	0.789	گلنا
gruesome	disgust	0.789	بھیانک
mutilated	disgust	0.789	مسخ شدہ
puke	disgust	0.789	پکی
herpes	disgust	0.789	ہرپس
decayed	disgust	0.789	بوسیدہ
dung	disgust	0.789	گوبر
vermin	disgust	0.789	کیڑے
murderous	disgust	0.789	قاتل
parasite	disgust	0.789	طفیلی
horrific	disgust	0.789	خوفناک
carnage	disgust	0.781	قتل عام
malaria	disgust	0.781	ملیریا
slime	disgust	0.781	کیچڑ
flatulence	disgust	0.781	پیٹ پھولنا
pestilence	disgust	0.781	وبا
crap	disgust	0.781	گھٹیا
monstrosity	disgust	0.781	شیطانیت
loathsome	disgust	0.773	نفرت انگیز
toxic	disgust	0.773	زہریلا
morgue	disgust	0.773	مردہ خانہ
pus	disgust	0.773	پیپ
herpesvirus	disgust	0.773	ہرپیس وائرس
leprosy	disgust	0.773	جذام
insidious	disgust	0.773	کپٹی
cruel	disgust	0.766	ظالمانہ
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	اینتھراکس
xenophobia	disgust	0.766	زینو فوبیا
repugnance	disgust	0.766	نفرت
lynch	disgust	0.766	لنچ
revulsion	disgust	0.766	بغاوت
whore	disgust	0.766	کسبی
dissection	disgust	0.759	جدا کرنا
mucous	disgust	0.758	بلغم
canker	disgust	0.758	ناسور
slum	disgust	0.758	کچی آبادی
infectious	disgust	0.758	متعدی
evil	disgust	0.758	برائی
phlegm	disgust	0.758	بلغم
cruelty	disgust	0.758	ظلم
perversion	disgust	0.758	بگاڑ
sinister	disgust	0.750	منحوس
leeches	disgust	0.750	جونک
corrupting	disgust	0.750	خراب کرنے والا
decomposition	disgust	0.750	گلنا
abomination	disgust	0.742	مکروہ
stinking	disgust	0.742	بدبودار
bile	disgust	0.742	پت
demonic	disgust	0.742	شیطانی
deranged	disgust	0.742	پریشان
abhorrence	disgust	0.742	نفرت
soiled	disgust	0.742	گندا
mucus	disgust	0.742	بلغم
septic	disgust	0.742	سیپٹک
sickening	disgust	0.742	بیمار
demon	disgust	0.742	شیطان
cancer	disgust	0.734	کینسر
obese	disgust	0.734	موٹے
degeneracy	disgust	0.734	تنزلی
despicable	disgust	0.734	حقیر
atrocity	disgust	0.734	ظلم
foul	disgust	0.734	گندے
sicken	disgust	0.734	بیمار
crucifixion	disgust	0.734	مصلوب
terrorism	disgust	0.734	دہشت گردی
repulsion	disgust	0.727	پسپائی
morbidity	disgust	0.727	بیماری
dysentery	disgust	0.727	پیچش
enema	disgust	0.727	انیما
bacterium	disgust	0.727	بیکٹیریم
dirty	disgust	0.727	گندا
adultery	disgust	0.727	زنا
contamination	disgust	0.727	آلودگی
grisly	disgust	0.727	بھیانک
diabolical	disgust	0.727	شیطانی
autopsy	disgust	0.719	پوسٹ مارٹم
barbaric	disgust	0.719	وحشیانہ
vulgar	disgust	0.719	بیہودہ
entrails	disgust	0.719	انتڑیوں
disgust	disgust	0.719	نفرت
lewd	disgust	0.719	فحش
muck	disgust	0.719	گوبر
bowels	disgust	0.719	آنتیں
garbage	disgust	0.719	ردی کی ٹوکری
deterioration	disgust	0.719	بگاڑ
contagion	disgust	0.719	متعدی
vicious	disgust	0.719	شیطانی
disfigured	disgust	0.719	بگاڑ
pungent	disgust	0.719	تیکھی
gross	disgust	0.719	مجموعی
bloodshed	disgust	0.714	خونریزی
gag	disgust	0.711	چپ چاپ
pollute	disgust	0.711	آلودہ
nausea	disgust	0.711	متلی
tyrant	disgust	0.711	ظالم
wretched	disgust	0.711	بدبخت
mortification	disgust	0.711	موت
violent	disgust	0.711	پرتشدد
poisoned	disgust	0.711	زہر
nauseate	disgust	0.703	متلی
slimy	disgust	0.703	پتلا
grope	disgust	0.703	ٹٹولنا
slut	disgust	0.703	slut
nasty	disgust	0.703	گندی
disgusting	disgust	0.703	ناگوار
depraved	disgust	0.703	محروم
porn	disgust	0.703	فحش
hateful	disgust	0.703	نفرت انگیز
vulgarity	disgust	0.703	فحاشی
noxious	disgust	0.703	نقصان دہ
grime	disgust	0.703	گندگی
constipation	disgust	0.703	قبض
secretion	disgust	0.703	سراو
poisoning	disgust	0.703	زہر
despotism	disgust	0.703	آمریت
measles	disgust	0.696	خسرہ
contagious	disgust	0.695	متعدی
obesity	disgust	0.695	موٹاپا
wart	disgust	0.695	مسسا
hate	disgust	0.695	سے نفرت
hellish	disgust	0.695	جہنمی
scum	disgust	0.695	گندگی
suicidal	disgust	0.695	خودکشی
wretch	disgust	0.695	بدبخت
abuse	disgust	0.695	بدسلوکی
waste	disgust	0.695	فضلہ
intestinal	disgust	0.695	آنتوں
heartworm	disgust	0.688	دل کا کیڑا
ooze	disgust	0.688	بہنا
treason	disgust	0.688	غداری
contaminated	disgust	0.688	آلودہ
smut	disgust	0.688	smut
disease	disgust	0.688	بیماری
rabid	disgust	0.688	پاگل
deformed	disgust	0.680	مسخ شدہ
hell	disgust	0.680	جہنم
soulless	disgust	0.680	بے روح
cholera	disgust	0.680	ہیضہ
bestial	disgust	0.680	جانور
antichrist	disgust	0.680	دجال
freakish	disgust	0.680	عجیب
germ	disgust	0.680	جراثیم
detest	disgust	0.680	نفرت
pollution	disgust	0.680	آلودگی
grimy	disgust	0.680	گندا
abhorrent	disgust	0.680	مکروہ
hatred	disgust	0.680	نفرت
abominate	disgust	0.680	مکروہ
sickness	disgust	0.680	بیماری
hideous	disgust	0.672	گھناؤنا
dictatorship	disgust	0.672	آمریت
loathful	disgust	0.672	نفرت انگیز
greasy	disgust	0.672	چکنائی
dilapidated	disgust	0.672	خستہ حال
inhuman	disgust	0.672	غیر انسانی
loathing	disgust	0.672	نفرت
obscene	disgust	0.672	فحش
cess	disgust	0.670	سیس
devil	disgust	0.664	شیطان
deformity	disgust	0.664	اخترتی
nauseous	disgust	0.664	متلی
deadly	disgust	0.664	مہلک
swine	disgust	0.664	سوائن
discrimination	disgust	0.664	امتیاز
abominable	disgust	0.664	مکروہ
masochism	disgust	0.664	masochism
heretic	disgust	0.664	بدعتی
latrines	disgust	0.656	لیٹرین
corruption	disgust	0.656	بدعنوانی
poisonous	disgust	0.656	زہریلا
horror	disgust	0.656	وحشت
nefarious	disgust	0.656	ناپاک
bacteria	disgust	0.656	بیکٹیریا
horrible	disgust	0.656	خوفناک
trash	disgust	0.656	ردی کی ٹوکری
abortion	disgust	0.656	اسقاط حمل
death	disgust	0.656	موت
prejudiced	disgust	0.656	متعصب
poison	disgust	0.656	زہر
oppression	disgust	0.656	جبر
goo	disgust	0.656	goo
victimized	disgust	0.656	شکار
mange	disgust	0.656	مانج
sludge	disgust	0.648	کیچڑ
trashy	disgust	0.648	ردی کی ٹوکری
vindictive	disgust	0.648	انتقامی
horrid	disgust	0.648	خوفناک
ugly	disgust	0.648	بدصورت
immoral	disgust	0.648	غیر اخلاقی
bitch	disgust	0.648	کتیا
outhouse	disgust	0.648	آؤٹ ہاؤس
detestation	disgust	0.648	نفرت
horrifying	disgust	0.641	خوفناک
laxative	disgust	0.641	جلاب
unsightly	disgust	0.641	بدصورت
derogatory	disgust	0.641	توہین آمیز
slop	disgust	0.641	ڈھلوان
malfeasance	disgust	0.641	خرابی
spew	disgust	0.641	سپو
pimple	disgust	0.641	پمپل
criminality	disgust	0.641	جرم
indecency	disgust	0.641	بے حیائی
cystic	disgust	0.641	سسٹک
villainous	disgust	0.641	بدمعاش
queasy	disgust	0.633	پریشان
mildew	disgust	0.633	پھپھوندی
oppressive	disgust	0.633	جابرانہ
prostitution	disgust	0.633	جسم فروشی
secrete	disgust	0.633	چھپنا
ulcer	disgust	0.633	السر
rat	disgust	0.633	چوہا
bigoted	disgust	0.633	متعصب
perpetrator	disgust	0.633	مجرم
doomsday	disgust	0.633	قیامت کا دن
sinful	disgust	0.633	گناہگار
degrading	disgust	0.625	ذلت آمیز
ghastly	disgust	0.625	خوفناک
suffering	disgust	0.625	تکلیف
obscenity	disgust	0.625	فحاشی
devilish	disgust	0.625	شیطانی
disgraceful	disgust	0.625	ذلت آمیز
persecution	disgust	0.625	ظلم و ستم
contemptible	disgust	0.625	حقیر
cuckold	disgust	0.625	ککلڈ
stools	disgust	0.625	پاخانہ
dastardly	disgust	0.625	بزدلانہ
sin	disgust	0.625	گناہ
gluttony	disgust	0.625	پیٹو
bloated	disgust	0.625	پھولا ہوا
fungus	disgust	0.625	فنگس
aghast	disgust	0.625	پریشان
diaper	disgust	0.617	ڈایپر
malicious	disgust	0.617	بدنیتی پر مبنی
polygamy	disgust	0.617	کثرت ازواج
dying	disgust	0.617	مر رہا ہے
termite	disgust	0.617	دیمک
fat	disgust	0.617	چربی
deceit	disgust	0.617	دھوکہ
atrocious	disgust	0.617	ظالمانہ
guillotine	disgust	0.617	گیلوٹین
tetanus	disgust	0.617	تشنج
spoil	disgust	0.617	خراب
crusty	disgust	0.617	کچا
sickly	disgust	0.617	بیمار
louse	disgust	0.617	لوز
strangle	disgust	0.617	گلا گھونٹنا
betrayal	disgust	0.617	دھوکہ
loathe	disgust	0.617	نفرت
wench	disgust	0.617	وینچ
infect	disgust	0.617	متاثر
violently	disgust	0.609	تشدد سے
brothel	disgust	0.609	کوٹھے
drool	disgust	0.609	drool
bleeding	disgust	0.609	خون بہنا
deform	disgust	0.609	بگاڑنا
ghetto	disgust	0.609	یہودی بستی
sabotage	disgust	0.609	تخریب کاری
venomous	disgust	0.609	زہریلا
abhor	disgust	0.609	نفرت
slander	disgust	0.609	بہتان
hostile	disgust	0.609	دشمنی
musty	disgust	0.602	ٹھوس
illicit	disgust	0.602	غیر قانونی
ugliness	disgust	0.602	بدصورتی
unwashed	disgust	0.602	بغیر دھوئے
swampy	disgust	0.602	دلدلی
deprivation	disgust	0.602	محرومی
poaching	disgust	0.602	غیر قانونی شکار
hag	disgust	0.602	ہاگ
infidel	disgust	0.602	کافر
imprisonment	disgust	0.602	قید
traitor	disgust	0.602	غدار
lunacy	disgust	0.602	پاگل پن
queasiness	disgust	0.594	بے چینی
hostility	disgust	0.594	دشمنی
repelling	disgust	0.594	پیچھے ہٹانا
intoxicated	disgust	0.594	نشے میں
thug	disgust	0.594	ٹھگ
catastrophe	disgust	0.594	تباہی
lunatic	disgust	0.594	پاگل
misery	disgust	0.594	مصیبت
venom	disgust	0.594	زہر
butcher	disgust	0.594	قصاب
toilet	disgust	0.594	بیت الخلاء
blister	disgust	0.594	آبلہ
lurid	disgust	0.594	لالچ
slug	disgust	0.594	سلگ
gut	disgust	0.594	آنت
sinner	disgust	0.594	گنہگار
deceitful	disgust	0.594	دھوکے باز
epidemic	disgust	0.594	وبا
deteriorated	disgust	0.586	خراب
lavatory	disgust	0.586	غسل خانہ
unclean	disgust	0.586	ناپاک
prostitute	disgust	0.586	طوائف
incubus	disgust	0.586	انکیوبس
appalling	disgust	0.586	خوفناک
dreadful	disgust	0.586	خوفناک
pornography	disgust	0.586	فحش نگاری
harass	disgust	0.586	ہراساں کرنا
squeamish	disgust	0.578	چیخنے والا
expulsion	disgust	0.578	اخراج
unfaithful	disgust	0.578	بے وفا
offensive	disgust	0.578	جارحانہ
hypocrite	disgust	0.578	منافق
humiliating	disgust	0.578	ذلت آمیز
larceny	disgust	0.578	چوری
ruinous	disgust	0.578	تباہ کن
retard	disgust	0.578	روکنا
rash	disgust	0.578	ددورا
flea	disgust	0.578	پسو
debauchery	disgust	0.578	بے حیائی
fiend	disgust	0.578	شیطان
quagmire	disgust	0.578	دلدل
conspirator	disgust	0.578	سازش کرنے والا
sick	disgust	0.578	بیمار
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	کتے کا شکار
egregious	disgust	0.570	زبردست
flog	disgust	0.570	کوڑے مارنا
despise	disgust	0.570	حقارت
treacherous	disgust	0.570	غدار
oppress	disgust	0.570	ظلم
swamp	disgust	0.570	دلدل
messy	disgust	0.570	گندا
spit	disgust	0.570	تھوکنا
dank	disgust	0.570	گہرا
bastard	disgust	0.570	حرامزادہ
devastating	disgust	0.570	تباہ کن
serpent	disgust	0.570	سانپ
loo	disgust	0.562	لو
indecent	disgust	0.562	بے حیائی
insanity	disgust	0.562	جنون
stealing	disgust	0.562	چوری
terrible	disgust	0.562	خوفناک
tyrannical	disgust	0.562	ظالم
humiliation	disgust	0.562	ذلت
snake	disgust	0.562	سانپ
sloppy	disgust	0.562	میلا
sinning	disgust	0.562	گناہ کرنا
harmful	disgust	0.562	نقصان دہ
harlot	disgust	0.562	فاحشہ
sordid	disgust	0.562	بدتمیز
enemy	disgust	0.562	دشمن
alcoholism	disgust	0.562	شراب نوشی
awful	disgust	0.562	خوفناک
ruthless	disgust	0.562	بے رحم
scoundrel	disgust	0.562	بدمعاش
bloody	disgust	0.555	خونی
flabby	disgust	0.555	بے چین
odious	disgust	0.555	ناگوار
beastly	disgust	0.555	حیوانیت سے
collusion	disgust	0.555	ملی بھگت
ridicule	disgust	0.555	طنز
discriminating	disgust	0.555	امتیازی
unattractive	disgust	0.555	غیر کشش
insufferable	disgust	0.555	ناقابل برداشت
segregate	disgust	0.555	الگ کرنا
arsenic	disgust	0.555	سنکھیا
threatening	disgust	0.555	دھمکی دینے والا
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	ویریلا
slayer	disgust	0.555	قاتل
distaste	disgust	0.555	ناپسندیدگی
coward	disgust	0.555	بزدل
robbery	disgust	0.555	ڈکیتی
wickedness	disgust	0.555	شرارت
anathema	disgust	0.547	بے حسی
malevolent	disgust	0.547	بدتمیز
sty	disgust	0.547	اسٹائل
pillage	disgust	0.547	لوٹنا
thief	disgust	0.547	چور
suffocating	disgust	0.547	دم گھٹنے والا
condemnation	disgust	0.547	مذمت
deleterious	disgust	0.547	نقصان دہ
slur	disgust	0.547	گندگی
purgatory	disgust	0.547	صاف کرنے والا
attacking	disgust	0.547	حملہ کرنا
burglar	disgust	0.547	چور
ogre	disgust	0.547	راکشس
coercion	disgust	0.547	جبر
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	دکھی
bitterly	disgust	0.547	تلخی سے
sneer	disgust	0.539	طنز
greedy	disgust	0.539	لالچی
gob	disgust	0.539	گوب
repellant	disgust	0.539	بھگانے والا
jealous	disgust	0.539	غیرت مند
drunken	disgust	0.539	شرابی
shame	disgust	0.539	شرمندگی
thrash	disgust	0.539	مارنا
fatty	disgust	0.539	فربہ
liar	disgust	0.539	جھوٹا
imprisoned	disgust	0.539	قید
sloth	disgust	0.539	کاہلی
repudiation	disgust	0.539	انکار
disgrace	disgust	0.539	بے عزتی
infidelity	disgust	0.539	بے وفائی
pig	disgust	0.539	سور
lethal	disgust	0.536	مہلک
burnt	disgust	0.531	جل گیا
brawl	disgust	0.531	جھگڑا
withered	disgust	0.531	مرجھا ہوا
blemish	disgust	0.531	داغ
hydrocephalus	disgust	0.531	ہائیڈروسیفالس
aberration	disgust	0.531	خرابی
smuggler	disgust	0.531	سمگلر
painful	disgust	0.531	تکلیف دہ
condescension	disgust	0.531	تعزیت
intolerant	disgust	0.531	عدم برداشت
blasphemous	disgust	0.531	توہین آمیز
lying	disgust	0.531	جھوٹ بولنا
hanging	disgust	0.531	پھانسی
travesty	disgust	0.531	دھوکہ دہی
ruined	disgust	0.531	تباہ شدہ
intrusive	disgust	0.531	دخل اندازی کرنے والا
disintegrate	disgust	0.531	ٹوٹ جانا
destructive	disgust	0.531	تباہ کن
neurotic	disgust	0.531	اعصابی
disparaging	disgust	0.523	توہین آمیز
blighted	disgust	0.523	دکھی
intolerance	disgust	0.523	عدم برداشت
mistress	disgust	0.523	مالکن
avarice	disgust	0.523	لالچ
disgraced	disgust	0.523	رسوا
derogation	disgust	0.523	توہین
rubbish	disgust	0.523	کوڑا کرکٹ
accusation	disgust	0.523	الزام
incarceration	disgust	0.523	قید
tortious	disgust	0.516	تکلیف دہ
dishonor	disgust	0.516	بے عزتی
stink	disgust	0.516	بدبو
grim	disgust	0.516	سنگین
rob	disgust	0.516	لوٹنا
defraud	disgust	0.516	دھوکہ دہی
sump	disgust	0.516	سمپ
cringe	disgust	0.516	کرج
vulture	disgust	0.516	گدھ
deplorable	disgust	0.516	افسوسناک
mite	disgust	0.516	چھوٹا سککا
eradication	disgust	0.516	خاتمہ
degrade	disgust	0.516	نیچا
gutter	disgust	0.516	گٹر
convict	disgust	0.516	مجرم
remains	disgust	0.516	باقی
betray	disgust	0.516	دھوکہ دینا
daemon	disgust	0.516	ڈیمون
sham	disgust	0.509	شرم
distasteful	disgust	0.508	ناگوار
prisoner	disgust	0.508	قیدی
dreadfully	disgust	0.508	خوفناک طور پر
worthless	disgust	0.508	بیکار
crude	disgust	0.508	خام
delirium	disgust	0.508	ڈیلیریم
incurable	disgust	0.508	لاعلاج
smelling	disgust	0.508	مہک
idiocy	disgust	0.508	بیوقوفی
resentment	disgust	0.508	ناراضگی
bombed	disgust	0.508	بمباری
blob	disgust	0.508	بلاب
