English Word	Emotion	Emotion-Intensity-Score	Uzbek Word
gradual	anticipation	0.375	asta-sekin
navigator	anticipation	0.375	navigator
track	anticipation	0.375	trek
cradle	anticipation	0.375	beshik
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	vaqtinchalik
clock	anticipation	0.375	soat
mountain	anticipation	0.375	tog
interminable	anticipation	0.375	cheksiz
public	anticipation	0.375	ommaviy
recurrent	anticipation	0.375	takrorlanuvchi
savor	anticipation	0.375	tatib ko'ring
abide	anticipation	0.367	turish
concealed	anticipation	0.367	yashiringan
spear	anticipation	0.367	nayza
lesson	anticipation	0.367	dars
instructions	anticipation	0.367	ko'rsatmalar
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	ikki yillik
convince	anticipation	0.367	ishontirish
whim	anticipation	0.367	injiqlik
shiver	anticipation	0.367	titramoq
towering	anticipation	0.367	balandparvoz
musical	anticipation	0.367	musiqiy
offset	anticipation	0.359	ofset
theory	anticipation	0.359	nazariya
theology	anticipation	0.359	ilohiyot
undying	anticipation	0.359	abadiy
timidity	anticipation	0.359	qo'rqoqlik
plump	anticipation	0.359	do'mboq
atone	anticipation	0.359	to'lash
audience	anticipation	0.357	tomoshabinlar
dietary	anticipation	0.352	dietali
consecration	anticipation	0.352	bag'ishlash
localize	anticipation	0.352	mahalliylashtirish
paragon	anticipation	0.352	namuna
store	anticipation	0.352	do'kon
farm	anticipation	0.352	ferma
daily	anticipation	0.352	har kuni
cramp	anticipation	0.352	kramp
nobility	anticipation	0.352	zodagonlik
closure	anticipation	0.352	yopilish
edition	anticipation	0.352	nashr
kindred	anticipation	0.352	qarindosh
stripped	anticipation	0.344	yechib olingan
errand	anticipation	0.344	topshiriq
archaeology	anticipation	0.344	arxeologiya
mutable	anticipation	0.344	o'zgaruvchan
wireless	anticipation	0.344	simsiz
meditate	anticipation	0.344	meditatsiya qiling
mobile	anticipation	0.344	mobil
germ	anticipation	0.336	mikrob
brotherly	anticipation	0.336	birodarlik
lessen	anticipation	0.336	kamaytirish
unbeaten	anticipation	0.336	mag'lubiyatsiz
pare	anticipation	0.336	par
buddy	anticipation	0.336	do'stim
unaccountable	anticipation	0.336	hisobsiz
dove	anticipation	0.328	kaptar
patient	anticipation	0.328	sabr
secular	anticipation	0.328	dunyoviy
digress	anticipation	0.328	chekinish
chastity	anticipation	0.328	iffat
council	anticipation	0.328	kengash
olfactory	anticipation	0.328	hidlash
ribbon	anticipation	0.328	lenta
possess	anticipation	0.328	egalik qilish
disposed	anticipation	0.320	tasarruf qilingan
scrutinize	anticipation	0.320	sinchiklab ko'rib chiqish
immature	anticipation	0.320	etuk emas
mediator	anticipation	0.320	vositachi
regularity	anticipation	0.320	muntazamlik
cove	anticipation	0.320	koy
infanticide	anticipation	0.320	go'dak o'ldirish
paddle	anticipation	0.320	eshkak eshish
heft	anticipation	0.320	og'ir
fancy	anticipation	0.320	xayoliy
preservative	anticipation	0.320	konservant
unpublished	anticipation	0.312	nashr etilmagan
church	anticipation	0.312	cherkov
bugle	anticipation	0.312	bug'lamoq
grim	anticipation	0.312	dahshatli
denying	anticipation	0.312	inkor qilish
analyst	anticipation	0.312	tahlilchi
judicial	anticipation	0.305	sud
priesthood	anticipation	0.305	ruhoniylik
broadside	anticipation	0.305	keng tomoni
mill	anticipation	0.305	tegirmon
dismay	anticipation	0.297	vahima
cap	anticipation	0.297	qopqoq
thermocouple	anticipation	0.297	termojuft
tributary	anticipation	0.297	irmoq
instructor	anticipation	0.297	instruktor
exhaustion	anticipation	0.297	charchoq
saliva	anticipation	0.297	tupurik
cataract	anticipation	0.289	katarakt
network	anticipation	0.289	tarmoq
visor	anticipation	0.289	visor
shackle	anticipation	0.289	kishan
wont	anticipation	0.289	bo'lmaydi
addresses	anticipation	0.289	manzillar
discreet	anticipation	0.289	ehtiyotkor
noncompliance	anticipation	0.289	mos kelmaslik
bruise	anticipation	0.289	ko'karish
homeless	anticipation	0.289	uysiz
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	qiyshiq
neighbor	anticipation	0.281	qo'shni
holiness	anticipation	0.273	muqaddaslik
devil	anticipation	0.273	shayton
picket	anticipation	0.273	piket
sentence	anticipation	0.273	jumla
latent	anticipation	0.273	yashirin
cream	anticipation	0.273	krem
immaturity	anticipation	0.273	etuklik
habitual	anticipation	0.266	odatiy
morals	anticipation	0.266	axloq
neighborhood	anticipation	0.266	Turar joy dahasi
lull	anticipation	0.266	sukunat
bye	anticipation	0.258	xayr
weight	anticipation	0.258	vazn
organ	anticipation	0.250	organ
clown	anticipation	0.250	masxaraboz
forearm	anticipation	0.250	bilak
commonplace	anticipation	0.242	oddiy
quote	anticipation	0.242	iqtibos
rail	anticipation	0.234	temir yo'l
dictatorship	anticipation	0.234	diktatura
treadmill	anticipation	0.234	yugurish yo'lakchasi
board	anticipation	0.234	taxta
tree	anticipation	0.227	daraxt
sundial	anticipation	0.227	quyosh soati
paralysis	anticipation	0.211	falaj
cement	anticipation	0.203	sement
worm	anticipation	0.203	qurt
organization	anticipation	0.203	tashkilot
lagging	anticipation	0.180	orqada qolish
neutral	anticipation	0.148	neytral
cannibalism	disgust	0.953	kannibalizm
mutilation	disgust	0.930	jarohatlanish
molestation	disgust	0.914	zo'ravonlik
incest	disgust	0.914	insest
rape	disgust	0.906	zo'rlash
gonorrhea	disgust	0.906	gonoreya
cannibal	disgust	0.898	kannibal
rot	disgust	0.891	chirigan
corpse	disgust	0.883	murda
massacre	disgust	0.883	qirg'in
excrement	disgust	0.883	najas
barf	disgust	0.875	barf
slaughter	disgust	0.875	so'yish
slaughterhouse	disgust	0.867	qassobxona
incestuous	disgust	0.859	qarindoshlik
sewerage	disgust	0.859	kanalizatsiya
filth	disgust	0.859	iflos
bigot	disgust	0.859	mutaassib
rancid	disgust	0.859	xiralashgan
infestation	disgust	0.852	infestatsiya
plague	disgust	0.852	vabo
holocaust	disgust	0.852	holokost
bloodthirsty	disgust	0.852	qonxo'r
rotting	disgust	0.844	chirish
fecal	disgust	0.844	najas
maggot	disgust	0.844	qurt
feces	disgust	0.844	najas
murder	disgust	0.839	qotillik
asshole	disgust	0.836	Tentak
homicide	disgust	0.836	qotillik
enslaved	disgust	0.836	qul qilingan
infanticide	disgust	0.836	go'dak o'ldirish
perverted	disgust	0.828	buzuq
excretion	disgust	0.828	chiqarish
gore	disgust	0.828	qon
slaughtering	disgust	0.828	so'yish
torture	disgust	0.828	qiynoqlar
contaminate	disgust	0.821	ifloslantirmoq
revolting	disgust	0.820	isyonkor
gory	disgust	0.820	qonli
shit	disgust	0.820	axir
terrorist	disgust	0.820	terrorchi
murderer	disgust	0.820	qotil
repugnant	disgust	0.820	jirkanch
manure	disgust	0.820	go'ng
pervert	disgust	0.820	buzuq
diarrhoea	disgust	0.820	diareya
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	tahqirlash
faeces	disgust	0.812	najas
slavery	disgust	0.812	qullik
sewer	disgust	0.812	kanalizatsiya
cadaver	disgust	0.812	jasad
manslaughter	disgust	0.812	qotillik
dismemberment	disgust	0.812	parchalanish
vomit	disgust	0.812	qusish
perverse	disgust	0.805	buzuq
repulsive	disgust	0.805	jirkanch
hemorrhage	disgust	0.805	qon ketishi
sewage	disgust	0.797	kanalizatsiya
filthy	disgust	0.797	iflos
diseased	disgust	0.797	kasal
depravity	disgust	0.797	buzuqlik
carcass	disgust	0.795	tana go'shti
decompose	disgust	0.789	parchalanish
gruesome	disgust	0.789	dahshatli
mutilated	disgust	0.789	shikastlangan
puke	disgust	0.789	qusish
herpes	disgust	0.789	gerpes
decayed	disgust	0.789	chirigan
dung	disgust	0.789	go'ng
vermin	disgust	0.789	zararkunanda
murderous	disgust	0.789	qotil
parasite	disgust	0.789	parazit
horrific	disgust	0.789	dahshatli
carnage	disgust	0.781	qirg'in
malaria	disgust	0.781	bezgak
slime	disgust	0.781	shilimshiq
flatulence	disgust	0.781	meteorizm
pestilence	disgust	0.781	o'lat
crap	disgust	0.781	ahmoq
monstrosity	disgust	0.781	dahshatlilik
loathsome	disgust	0.773	jirkanch
toxic	disgust	0.773	zaharli
morgue	disgust	0.773	o'likxona
pus	disgust	0.773	yiring
herpesvirus	disgust	0.773	herpes virusi
leprosy	disgust	0.773	moxov
insidious	disgust	0.773	makkor
cruel	disgust	0.766	shafqatsiz
regurgitation	disgust	0.766	regurgitatsiya
anthrax	disgust	0.766	kuydirgi
xenophobia	disgust	0.766	ksenofobiya
repugnance	disgust	0.766	jirkanchlik
lynch	disgust	0.766	linch
revulsion	disgust	0.766	nafratlanish
whore	disgust	0.766	fohisha
dissection	disgust	0.759	parchalanish
mucous	disgust	0.758	shilliq
canker	disgust	0.758	saraton
slum	disgust	0.758	xaroba
infectious	disgust	0.758	yuqumli
evil	disgust	0.758	yomon
phlegm	disgust	0.758	balg'am
cruelty	disgust	0.758	shafqatsizlik
perversion	disgust	0.758	buzuqlik
sinister	disgust	0.750	dahshatli
leeches	disgust	0.750	zuluklar
corrupting	disgust	0.750	buzuvchi
decomposition	disgust	0.750	parchalanish
abomination	disgust	0.742	jirkanchlik
stinking	disgust	0.742	badbo'y
bile	disgust	0.742	safro
demonic	disgust	0.742	iblis
deranged	disgust	0.742	aqldan ozgan
abhorrence	disgust	0.742	nafrat
soiled	disgust	0.742	ifloslangan
mucus	disgust	0.742	shilimshiq
septic	disgust	0.742	septik
sickening	disgust	0.742	og'riqli
demon	disgust	0.742	jin
cancer	disgust	0.734	saraton
obese	disgust	0.734	semiz
degeneracy	disgust	0.734	degeneratsiya
despicable	disgust	0.734	jirkanch
atrocity	disgust	0.734	vahshiylik
foul	disgust	0.734	yomon
sicken	disgust	0.734	kasal
crucifixion	disgust	0.734	xochga mixlanish
terrorism	disgust	0.734	terrorizm
repulsion	disgust	0.727	itarish
morbidity	disgust	0.727	kasallanish
dysentery	disgust	0.727	dizenteriya
enema	disgust	0.727	ho'qna
bacterium	disgust	0.727	bakteriya
dirty	disgust	0.727	iflos
adultery	disgust	0.727	zino
contamination	disgust	0.727	ifloslanish
grisly	disgust	0.727	dahshatli
diabolical	disgust	0.727	shaytoniy
autopsy	disgust	0.719	otopsiya
barbaric	disgust	0.719	vahshiylik
vulgar	disgust	0.719	qo'pol
entrails	disgust	0.719	ichaklar
disgust	disgust	0.719	jirkanish
lewd	disgust	0.719	behayo
muck	disgust	0.719	loy
bowels	disgust	0.719	ichaklar
garbage	disgust	0.719	axlat
deterioration	disgust	0.719	buzilish
contagion	disgust	0.719	yuqumli kasallik
vicious	disgust	0.719	shafqatsiz
disfigured	disgust	0.719	buzilgan
pungent	disgust	0.719	o'tkir
gross	disgust	0.719	yalpi
bloodshed	disgust	0.714	qon to'kish
gag	disgust	0.711	gag
pollute	disgust	0.711	ifloslantirish
nausea	disgust	0.711	ko'ngil aynishi
tyrant	disgust	0.711	zolim
wretched	disgust	0.711	bechora
mortification	disgust	0.711	ozor berish
violent	disgust	0.711	zo'ravon
poisoned	disgust	0.711	zaharlangan
nauseate	disgust	0.703	ko'ngil aynishi
slimy	disgust	0.703	shilimshiq
grope	disgust	0.703	paypaslash
slut	disgust	0.703	fohisha
nasty	disgust	0.703	jirkanch
disgusting	disgust	0.703	jirkanch
depraved	disgust	0.703	buzuq
porn	disgust	0.703	porno
hateful	disgust	0.703	nafratli
vulgarity	disgust	0.703	qo'pollik
noxious	disgust	0.703	zararli
grime	disgust	0.703	kir
constipation	disgust	0.703	ich qotishi
secretion	disgust	0.703	sekretsiya
poisoning	disgust	0.703	zaharlanish
despotism	disgust	0.703	despotizm
measles	disgust	0.696	qizamiq
contagious	disgust	0.695	yuqumli
obesity	disgust	0.695	semizlik
wart	disgust	0.695	siğil
hate	disgust	0.695	nafrat
hellish	disgust	0.695	jahannam
scum	disgust	0.695	axlat
suicidal	disgust	0.695	o'z joniga qasd qilish
wretch	disgust	0.695	bechora
abuse	disgust	0.695	suiiste'mol qilish
waste	disgust	0.695	chiqindilar
intestinal	disgust	0.695	ichak
heartworm	disgust	0.688	yurak qurti
ooze	disgust	0.688	oqish
treason	disgust	0.688	xiyonat
contaminated	disgust	0.688	ifloslangan
smut	disgust	0.688	ahmoq
disease	disgust	0.688	kasallik
rabid	disgust	0.688	quturgan
deformed	disgust	0.680	deformatsiyalangan
hell	disgust	0.680	jahannam
soulless	disgust	0.680	ruhsiz
cholera	disgust	0.680	vabo
bestial	disgust	0.680	hayvoniy
antichrist	disgust	0.680	dajjol
freakish	disgust	0.680	g'alati
germ	disgust	0.680	mikrob
detest	disgust	0.680	nafrat
pollution	disgust	0.680	ifloslanish
grimy	disgust	0.680	iflos
abhorrent	disgust	0.680	jirkanch
hatred	disgust	0.680	nafrat
abominate	disgust	0.680	jirkanch
sickness	disgust	0.680	kasallik
hideous	disgust	0.672	yoqimsiz
dictatorship	disgust	0.672	diktatura
loathful	disgust	0.672	jirkanch
greasy	disgust	0.672	yog'li
dilapidated	disgust	0.672	eskirgan
inhuman	disgust	0.672	g'ayriinsoniy
loathing	disgust	0.672	jirkanish
obscene	disgust	0.672	odobsiz
cess	disgust	0.670	cess
devil	disgust	0.664	shayton
deformity	disgust	0.664	deformatsiya
nauseous	disgust	0.664	ko'ngil aynishi
deadly	disgust	0.664	halokatli
swine	disgust	0.664	cho'chqa
discrimination	disgust	0.664	diskriminatsiya
abominable	disgust	0.664	jirkanch
masochism	disgust	0.664	mazoxizm
heretic	disgust	0.664	bid'atchi
latrines	disgust	0.656	hojatxonalar
corruption	disgust	0.656	korruptsiya
poisonous	disgust	0.656	zaharli
horror	disgust	0.656	dahshat
nefarious	disgust	0.656	yomon
bacteria	disgust	0.656	bakteriyalar
horrible	disgust	0.656	dahshatli
trash	disgust	0.656	axlat
abortion	disgust	0.656	abort
death	disgust	0.656	o'lim
prejudiced	disgust	0.656	noto'g'ri
poison	disgust	0.656	zahar
oppression	disgust	0.656	zulm
goo	disgust	0.656	goo
victimized	disgust	0.656	qurbon bo'ldi
mange	disgust	0.656	manga
sludge	disgust	0.648	loy
trashy	disgust	0.648	axlat
vindictive	disgust	0.648	qasoskor
horrid	disgust	0.648	dahshatli
ugly	disgust	0.648	xunuk
immoral	disgust	0.648	axloqsiz
bitch	disgust	0.648	kaltak
outhouse	disgust	0.648	tashqarida
detestation	disgust	0.648	nafrat
horrifying	disgust	0.641	dahshatli
laxative	disgust	0.641	laksatif
unsightly	disgust	0.641	yoqimsiz
derogatory	disgust	0.641	kamsituvchi
slop	disgust	0.641	egilish
malfeasance	disgust	0.641	xizmatni buzganlik
spew	disgust	0.641	puflash
pimple	disgust	0.641	sivilce
criminality	disgust	0.641	jinoyatchilik
indecency	disgust	0.641	odobsizlik
cystic	disgust	0.641	kistli
villainous	disgust	0.641	yovuz
queasy	disgust	0.633	bezovta
mildew	disgust	0.633	chiriyotgan
oppressive	disgust	0.633	zolim
prostitution	disgust	0.633	fohishalik
secrete	disgust	0.633	sirlash
ulcer	disgust	0.633	yara
rat	disgust	0.633	kalamush
bigoted	disgust	0.633	mutaassib
perpetrator	disgust	0.633	jinoyatchi
doomsday	disgust	0.633	qiyomat kuni
sinful	disgust	0.633	gunohkor
degrading	disgust	0.625	kamsituvchi
ghastly	disgust	0.625	dahshatli
suffering	disgust	0.625	azob chekish
obscenity	disgust	0.625	odobsizlik
devilish	disgust	0.625	shaytoniy
disgraceful	disgust	0.625	sharmandali
persecution	disgust	0.625	ta'qiblar
contemptible	disgust	0.625	xor
cuckold	disgust	0.625	boyvachcha
stools	disgust	0.625	najaslar
dastardly	disgust	0.625	g'alati
sin	disgust	0.625	gunoh
gluttony	disgust	0.625	ochko'zlik
bloated	disgust	0.625	shishgan
fungus	disgust	0.625	qo'ziqorin
aghast	disgust	0.625	vahima
diaper	disgust	0.617	taglik
malicious	disgust	0.617	zararli
polygamy	disgust	0.617	ko'pxotinlilik
dying	disgust	0.617	o'lish
termite	disgust	0.617	termit
fat	disgust	0.617	semiz
deceit	disgust	0.617	yolg'on
atrocious	disgust	0.617	vahshiy
guillotine	disgust	0.617	gilyotin
tetanus	disgust	0.617	qoqshol
spoil	disgust	0.617	buzmoq
crusty	disgust	0.617	qisqichbaqasimon
sickly	disgust	0.617	kasal
louse	disgust	0.617	bit
strangle	disgust	0.617	bo'g'moq
betrayal	disgust	0.617	xiyonat
loathe	disgust	0.617	nafratlanmoq
wench	disgust	0.617	qandolatchi
infect	disgust	0.617	yuqtirish
violently	disgust	0.609	zo'ravonlik bilan
brothel	disgust	0.609	fohishaxona
drool	disgust	0.609	oqizmoq
bleeding	disgust	0.609	qon ketishi
deform	disgust	0.609	deformatsiya
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotaj
venomous	disgust	0.609	zaharli
abhor	disgust	0.609	nafrat
slander	disgust	0.609	tuhmat
hostile	disgust	0.609	dushman
musty	disgust	0.602	chiriyotgan
illicit	disgust	0.602	noqonuniy
ugliness	disgust	0.602	xunuklik
unwashed	disgust	0.602	yuvilmagan
swampy	disgust	0.602	botqoqli
deprivation	disgust	0.602	mahrumlik
poaching	disgust	0.602	brakonerlik
hag	disgust	0.602	xag
infidel	disgust	0.602	kofir
imprisonment	disgust	0.602	qamoq
traitor	disgust	0.602	xoin
lunacy	disgust	0.602	telbalik
queasiness	disgust	0.594	holsizlik
hostility	disgust	0.594	dushmanlik
repelling	disgust	0.594	qaytaruvchi
intoxicated	disgust	0.594	mast
thug	disgust	0.594	bezori
catastrophe	disgust	0.594	falokat
lunatic	disgust	0.594	telba
misery	disgust	0.594	baxtsizlik
venom	disgust	0.594	zahar
butcher	disgust	0.594	qassob
toilet	disgust	0.594	hojatxona
blister	disgust	0.594	blister
lurid	disgust	0.594	dahshatli
slug	disgust	0.594	shilimshiq
gut	disgust	0.594	ichak
sinner	disgust	0.594	gunohkor
deceitful	disgust	0.594	yolg'onchi
epidemic	disgust	0.594	epidemiya
deteriorated	disgust	0.586	yomonlashgan
lavatory	disgust	0.586	hojatxona
unclean	disgust	0.586	harom
prostitute	disgust	0.586	fohisha
incubus	disgust	0.586	inkubus
appalling	disgust	0.586	dahshatli
dreadful	disgust	0.586	dahshatli
pornography	disgust	0.586	pornografiya
harass	disgust	0.586	bezovta qilmoq
squeamish	disgust	0.578	jirkanch
expulsion	disgust	0.578	chiqarib yuborish
unfaithful	disgust	0.578	bevafo
offensive	disgust	0.578	hujumkor
hypocrite	disgust	0.578	ikkiyuzlamachi
humiliating	disgust	0.578	kamsituvchi
larceny	disgust	0.578	o'g'irlik
ruinous	disgust	0.578	halokatli
retard	disgust	0.578	kechikish
rash	disgust	0.578	toshma
flea	disgust	0.578	burga
debauchery	disgust	0.578	buzuqlik
fiend	disgust	0.578	shayton
quagmire	disgust	0.578	botqoq
conspirator	disgust	0.578	fitnachi
sick	disgust	0.578	kasal
mangle	disgust	0.578	manglay
dogsick	disgust	0.570	it kasali
egregious	disgust	0.570	dahshatli
flog	disgust	0.570	kaltak
despise	disgust	0.570	mensimaslik
treacherous	disgust	0.570	xoin
oppress	disgust	0.570	zulm qilish
swamp	disgust	0.570	botqoq
messy	disgust	0.570	tartibsiz
spit	disgust	0.570	tupurmoq
dank	disgust	0.570	nam
bastard	disgust	0.570	Ablah
devastating	disgust	0.570	halokatli
serpent	disgust	0.570	ilon
loo	disgust	0.562	hojatxona
indecent	disgust	0.562	odobsiz
insanity	disgust	0.562	jinnilik
stealing	disgust	0.562	o'g'irlik
terrible	disgust	0.562	qo'rqinchli
tyrannical	disgust	0.562	zolim
humiliation	disgust	0.562	xo'rlash
snake	disgust	0.562	ilon
sloppy	disgust	0.562	beparvo
sinning	disgust	0.562	gunoh qilish
harmful	disgust	0.562	zararli
harlot	disgust	0.562	fohisha
sordid	disgust	0.562	jirkanch
enemy	disgust	0.562	dushman
alcoholism	disgust	0.562	alkogolizm
awful	disgust	0.562	dahshatli
ruthless	disgust	0.562	shafqatsiz
scoundrel	disgust	0.562	harom
bloody	disgust	0.555	qonli
flabby	disgust	0.555	xira
odious	disgust	0.555	jirkanch
beastly	disgust	0.555	yirtqich
collusion	disgust	0.555	til biriktirish
ridicule	disgust	0.555	masxara qilish
discriminating	disgust	0.555	kamsituvchi
unattractive	disgust	0.555	yoqimsiz
insufferable	disgust	0.555	chidab bo'lmas
segregate	disgust	0.555	ajratish
arsenic	disgust	0.555	mishyak
threatening	disgust	0.555	tahdid qilish
atrophy	disgust	0.555	atrofiya
varicella	disgust	0.555	suvchechak
slayer	disgust	0.555	qotil
distaste	disgust	0.555	norozilik
coward	disgust	0.555	qo'rqoq
robbery	disgust	0.555	talonchilik
wickedness	disgust	0.555	yovuzlik
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	yomon niyatli
sty	disgust	0.547	atirgul
pillage	disgust	0.547	talon-taroj qilish
thief	disgust	0.547	o'g'ri
suffocating	disgust	0.547	bo'g'uvchi
condemnation	disgust	0.547	qoralash
deleterious	disgust	0.547	zararli
slur	disgust	0.547	tuhmat
purgatory	disgust	0.547	tozalovchi
attacking	disgust	0.547	hujum qilish
burglar	disgust	0.547	o'g'ri
ogre	disgust	0.547	ogre
coercion	disgust	0.547	majburlash
vesicular	disgust	0.547	vesikulyar
miserable	disgust	0.547	baxtsiz
bitterly	disgust	0.547	achchiq
sneer	disgust	0.539	masxara qilish
greedy	disgust	0.539	ochko'z
gob	disgust	0.539	gob
repellant	disgust	0.539	qaytaruvchi
jealous	disgust	0.539	rashkchi
drunken	disgust	0.539	mast
shame	disgust	0.539	uyat
thrash	disgust	0.539	urish
fatty	disgust	0.539	yog'li
liar	disgust	0.539	yolg'onchi
imprisoned	disgust	0.539	qamoqqa olingan
sloth	disgust	0.539	dangasa
repudiation	disgust	0.539	rad etish
disgrace	disgust	0.539	sharmandalik
infidelity	disgust	0.539	xiyonat
pig	disgust	0.539	cho'chqa
lethal	disgust	0.536	halokatli
burnt	disgust	0.531	kuygan
brawl	disgust	0.531	mushtlashuv
withered	disgust	0.531	qurib qolgan
blemish	disgust	0.531	dog'
hydrocephalus	disgust	0.531	gidrosefali
aberration	disgust	0.531	aberatsiya
smuggler	disgust	0.531	kontrabandachi
painful	disgust	0.531	alamli
condescension	disgust	0.531	kamsitish
intolerant	disgust	0.531	murosasizlik
blasphemous	disgust	0.531	kufr
lying	disgust	0.531	yolg'on
hanging	disgust	0.531	osilgan
travesty	disgust	0.531	travesti
ruined	disgust	0.531	vayron bo'lgan
intrusive	disgust	0.531	intruziv
disintegrate	disgust	0.531	parchalanish
destructive	disgust	0.531	halokatli
neurotic	disgust	0.531	nevrotik
disparaging	disgust	0.523	kamsituvchi
blighted	disgust	0.523	xiralashgan
intolerance	disgust	0.523	murosasizlik
mistress	disgust	0.523	bekasi
avarice	disgust	0.523	ochko'zlik
disgraced	disgust	0.523	sharmanda qilingan
derogation	disgust	0.523	derogatsiya
rubbish	disgust	0.523	axlat
accusation	disgust	0.523	ayblov
incarceration	disgust	0.523	qamoqqa olish
tortious	disgust	0.516	azobli
dishonor	disgust	0.516	nomussizlik
stink	disgust	0.516	hidlash
grim	disgust	0.516	dahshatli
rob	disgust	0.516	talon-taroj qilish
defraud	disgust	0.516	aldash
sump	disgust	0.516	quyqa
cringe	disgust	0.516	siqilish
vulture	disgust	0.516	kalxat
deplorable	disgust	0.516	achinarli
mite	disgust	0.516	kana
eradication	disgust	0.516	yo'q qilish
degrade	disgust	0.516	buzilish
gutter	disgust	0.516	oluk
convict	disgust	0.516	mahkum
remains	disgust	0.516	qoladi
betray	disgust	0.516	xiyonat qilish
daemon	disgust	0.516	demon
sham	disgust	0.509	soxta
distasteful	disgust	0.508	yoqimsiz
prisoner	disgust	0.508	mahbus
dreadfully	disgust	0.508	dahshatli
worthless	disgust	0.508	qadrsiz
crude	disgust	0.508	xom
delirium	disgust	0.508	deliryum
incurable	disgust	0.508	davolab bo'lmaydigan
smelling	disgust	0.508	hidlash
idiocy	disgust	0.508	ahmoqlik
resentment	disgust	0.508	norozilik
bombed	disgust	0.508	bombalangan
blob	disgust	0.508	blob
cheat	disgust	0.508	aldash
schizophrenia	disgust	0.508	shizofreniya
rejection	disgust	0.508	rad etish
belittle	disgust	0.508	kamsitish
glut	disgust	0.508	ochlik
disaster	disgust	0.508	falokat
distress	disgust	0.508	qayg'u
pest	disgust	0.508	zararkunanda
endemic	disgust	0.508	endemik
theft	disgust	0.500	o'g'irlik
banish	disgust	0.500	haydab chiqarish
mire	disgust	0.500	botqoq
flagrant	disgust	0.500	ochiqchasiga
derision	disgust	0.500	masxara
dirt	disgust	0.500	axloqsizlik
screaming	disgust	0.500	qichqiriq
offense	disgust	0.500	jinoyat
jealousy	disgust	0.500	hasad
bribery	disgust	0.500	poraxo'rlik
polemic	disgust	0.500	polemik
blight	disgust	0.500	xastalik
impeach	disgust	0.500	impichment
bitterness	disgust	0.500	achchiqlik
taboo	disgust	0.500	tabu
duress	disgust	0.500	majburlash
goblin	disgust	0.500	goblin
shackle	disgust	0.500	kishan
idolatry	disgust	0.500	butparastlik
greed	disgust	0.500	ochko'zlik
impurity	disgust	0.500	nopoklik
tirade	disgust	0.500	tirad
idiot	disgust	0.492	ahmoq
boil	disgust	0.492	qaynatib oling
unconscionable	disgust	0.492	aqlsiz
disreputable	disgust	0.492	obro'siz
robber	disgust	0.492	qaroqchi
malign	disgust	0.492	yomon
wreck	disgust	0.492	halokat
recession	disgust	0.492	turg'unlik
gorge	disgust	0.492	dara
leer	disgust	0.492	ogoh
ill	disgust	0.492	kasal
squirm	disgust	0.492	chayqalish
raging	disgust	0.484	g'azablangan
servile	disgust	0.484	xizmatkor
mess	disgust	0.484	tartibsizlik
nappy	disgust	0.484	bezi
possessed	disgust	0.484	egalik qilgan
unbearable	disgust	0.484	chidab bo'lmas
occult	disgust	0.484	okkultiv
contraband	disgust	0.484	kontrabanda
snarl	disgust	0.484	qichqirmoq
mutiny	disgust	0.484	isyon
mad	disgust	0.484	Telba
affliction	disgust	0.484	musibat
stain	disgust	0.484	dog '
animosity	disgust	0.484	adovat
contempt	disgust	0.484	nafrat
tramp	disgust	0.484	sershovqin
nepotism	disgust	0.484	nepotizm
disrespectful	disgust	0.484	hurmatsizlik
defamation	disgust	0.484	tuhmat
inexcusable	disgust	0.484	kechirib bo'lmaydigan
aversation	disgust	0.484	nafratlanish
wasteful	disgust	0.484	isrofgar
offender	disgust	0.484	jinoyatchi
subjugation	disgust	0.484	bo'ysunish
illegality	disgust	0.477	noqonuniylik
dismal	disgust	0.477	ma'yus
criminal	disgust	0.477	jinoyatchi
unpleasant	disgust	0.477	yoqimsiz
palsy	disgust	0.477	falaj
antagonistic	disgust	0.477	antagonistik
pathetic	disgust	0.477	achinarli
uncaring	disgust	0.477	beparvo
suppression	disgust	0.477	bostirish
immorality	disgust	0.477	axloqsizlik
mockery	disgust	0.477	masxara
outrage	disgust	0.469	g'azab
mocking	disgust	0.469	masxara qilish
wallow	disgust	0.469	chayqalish
cough	disgust	0.469	yo'tal
arrogant	disgust	0.469	dimog'dor
angry	disgust	0.469	badjahl
poverty	disgust	0.469	qashshoqlik
grating	disgust	0.469	panjara
livid	disgust	0.469	jonli
aggravation	disgust	0.469	kuchayishi
repellent	disgust	0.469	qaytaruvchi
perspiration	disgust	0.469	terlash
banishment	disgust	0.469	surgun
furious	disgust	0.469	g'azablangan
shoddy	disgust	0.469	sifatsiz
banshee	disgust	0.469	banshi
deceive	disgust	0.461	aldamoq
fool	disgust	0.461	ahmoq
quack	disgust	0.461	chayqalish
distorted	disgust	0.461	buzilgan
spider	disgust	0.461	o'rgimchak
unjustifiable	disgust	0.461	asoslab bo'lmaydigan
deplore	disgust	0.461	xafa qilish
spurious	disgust	0.461	soxta
perdition	disgust	0.461	halokat
muddy	disgust	0.461	loyqa
