English Word	Emotion	Emotion-Intensity-Score	Chichewa Word
marriage	anticipation	0.656	ukwati
bridal	anticipation	0.656	mkwatibwi
victory	anticipation	0.656	chigonjetso
courtship	anticipation	0.656	chibwenzi
gain	anticipation	0.656	phindu
aspiring	anticipation	0.656	kufuna
strive	anticipation	0.656	limbikira
reward	anticipation	0.656	mphotho
celebration	anticipation	0.656	chikondwerero
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	mkwati
fortune	anticipation	0.656	mwayi
tomorrow	anticipation	0.648	mawa
rising	anticipation	0.648	kuwuka
inheritance	anticipation	0.648	cholowa
alertness	anticipation	0.648	tcheru
crowning	anticipation	0.648	kuvala korona
aspiration	anticipation	0.648	chilakolako
delivery	anticipation	0.648	kutumiza
opportunity	anticipation	0.648	mwayi
intrigue	anticipation	0.648	chiwembu
prescient	anticipation	0.648	wodziwa
treasure	anticipation	0.648	chuma
erotic	anticipation	0.641	zokopa
revolution	anticipation	0.641	kusintha
launch	anticipation	0.641	kuyambitsa
reckoning	anticipation	0.641	kuwerengera
prognosis	anticipation	0.641	kuneneratu
happiness	anticipation	0.641	chisangalalo
celebrated	anticipation	0.641	kukondwerera
receiving	anticipation	0.641	kulandira
possibility	anticipation	0.641	kuthekera
expedition	anticipation	0.641	ulendo
bride	anticipation	0.641	mkwatibwi
engaged	anticipation	0.641	chinkhoswe
anxious	anticipation	0.641	kuda nkhawa
hype	anticipation	0.641	hype
spectacular	anticipation	0.641	zochititsa chidwi
award	anticipation	0.641	mphoto
prepare	anticipation	0.633	konzekerani
coming	anticipation	0.633	akubwera
graduation	anticipation	0.633	kumaliza maphunziro
destiny	anticipation	0.633	tsogolo
miracle	anticipation	0.633	chozizwitsa
beware	anticipation	0.633	Chenjerani
succeed	anticipation	0.633	kupambana
passionate	anticipation	0.633	wokonda
birthday	anticipation	0.633	tsiku lobadwa
passion	anticipation	0.633	chilakolako
ominous	anticipation	0.633	zoopsa
captivate	anticipation	0.633	gwira
vision	anticipation	0.633	masomphenya
delight	anticipation	0.633	chisangalalo
curious	anticipation	0.633	chidwi
firstborn	anticipation	0.633	woyamba kubadwa
await	anticipation	0.633	dikirani
triumphant	anticipation	0.625	wopambana
escape	anticipation	0.625	kuthawa
optimism	anticipation	0.625	chiyembekezo
retirement	anticipation	0.625	kupuma pantchito
foresee	anticipation	0.625	oneratu
inspiration	anticipation	0.625	kudzoza
ripen	anticipation	0.625	kucha
gift	anticipation	0.625	mphatso
revival	anticipation	0.625	chitsitsimutso
lust	anticipation	0.625	chilakolako
risky	anticipation	0.617	zowopsa
foreboding	anticipation	0.617	zochititsa mantha
bloom	anticipation	0.617	pachimake
verge	anticipation	0.617	kumapeto
embrace	anticipation	0.617	kukumbatira
destined	anticipation	0.617	zoikidwiratu
surprisingly	anticipation	0.617	modabwitsa
ambition	anticipation	0.617	chilakolako
simmering	anticipation	0.617	kuyimilira
enchanting	anticipation	0.617	zochititsa chidwi
foresight	anticipation	0.617	kuoneratu zam'tsogolo
lookout	anticipation	0.609	Chenjerani
anxiety	anticipation	0.609	nkhawa
forecast	anticipation	0.609	kulosera
seductive	anticipation	0.609	wokopa
bonus	anticipation	0.609	bonasi
succeeding	anticipation	0.609	kupambana
matrimony	anticipation	0.609	ukwati
magical	anticipation	0.609	zamatsenga
alerts	anticipation	0.609	zidziwitso
winner	anticipation	0.602	wopambana
applicant	anticipation	0.602	wofunsira
fulfillment	anticipation	0.602	kukwaniritsidwa
deserve	anticipation	0.602	oyenera
inspire	anticipation	0.602	limbikitsa
foreseen	anticipation	0.602	zowoneratu
intended	anticipation	0.602	anafuna
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	pikiniki
longing	anticipation	0.602	kukhumba
revenge	anticipation	0.602	kubwezera
success	anticipation	0.602	kupambana
diagnosis	anticipation	0.602	matenda
visionary	anticipation	0.602	wamasomphenya
prophetic	anticipation	0.602	aulosi
entertaining	anticipation	0.602	zosangalatsa
nervous	anticipation	0.602	wamanjenje
illuminate	anticipation	0.594	aunikire
accelerate	anticipation	0.594	fulumira
advent	anticipation	0.594	kubwera
romance	anticipation	0.594	chikondi
result	anticipation	0.594	zotsatira
arrive	anticipation	0.594	kufika
momentum	anticipation	0.594	mphamvu
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	kuyatsanso
preparedness	anticipation	0.594	kukonzekera
acquiring	anticipation	0.594	kupeza
luck	anticipation	0.594	mwayi
marry	anticipation	0.594	kukwatira
predict	anticipation	0.589	neneratu
money	anticipation	0.586	ndalama
auspices	anticipation	0.586	auspices
uplift	anticipation	0.586	kweza
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	kusangalala
preparation	anticipation	0.586	kukonzekera
raffle	anticipation	0.586	raffle
investigation	anticipation	0.586	kufufuza
progression	anticipation	0.586	kupita patsogolo
overdue	anticipation	0.586	mochedwa
crave	anticipation	0.586	khumba
impatient	anticipation	0.586	wosaleza mtima
enthusiast	anticipation	0.586	wokonda
flirt	anticipation	0.586	kukopana
seek	anticipation	0.586	funa
sequel	anticipation	0.586	tsatirani
presumption	anticipation	0.586	kulingalira
delightful	anticipation	0.586	zokondweretsa
gambling	anticipation	0.586	njuga
immerse	anticipation	0.586	kumiza
endeavor	anticipation	0.586	yesetsani
experiment	anticipation	0.580	kuyesa
enjoy	anticipation	0.578	sangalalani
completing	anticipation	0.578	kumaliza
clamor	anticipation	0.578	phokoso
angling	anticipation	0.578	kusaka
majestic	anticipation	0.578	zazikulu
divination	anticipation	0.578	kuwombeza
transcendence	anticipation	0.578	kudutsa
thriving	anticipation	0.578	akuyenda bwino
excavation	anticipation	0.578	kukumba
thirst	anticipation	0.578	ludzu
remedy	anticipation	0.578	mankhwala
harvest	anticipation	0.578	kukolola
risk	anticipation	0.578	chiopsezo
healing	anticipation	0.578	machiritso
heavenly	anticipation	0.578	wakumwamba
inviting	anticipation	0.578	kuitana
precarious	anticipation	0.578	woopsa
attainable	anticipation	0.578	chotheka
blessing	anticipation	0.578	madalitso
prosper	anticipation	0.578	bwino
tease	anticipation	0.570	kuseka
plan	anticipation	0.570	dongosolo
sweetheart	anticipation	0.570	wokondedwa
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	ukulu
ultimate	anticipation	0.570	chomaliza
emancipation	anticipation	0.570	kumasulidwa
restlessness	anticipation	0.570	kusakhazikika
finally	anticipation	0.570	potsiriza
intimate	anticipation	0.570	wapamtima
omen	anticipation	0.570	mbiri
matchmaker	anticipation	0.570	mpikisano
gambler	anticipation	0.570	wotchova njuga
prospectively	anticipation	0.570	mwachiyembekezo
dare	anticipation	0.570	yesetsani
warned	anticipation	0.570	anachenjeza
invite	anticipation	0.570	kuitana
mysterious	anticipation	0.562	zachinsinsi
accolade	anticipation	0.562	kuyamikira
lover	anticipation	0.562	wokonda
expose	anticipation	0.562	sonyeza
enchant	anticipation	0.562	matsenga
attempt	anticipation	0.562	kuyesa
festival	anticipation	0.562	chikondwerero
exalt	anticipation	0.562	kwezani
rejoice	anticipation	0.562	kondwerani
independence	anticipation	0.562	kudziimira
expected	anticipation	0.562	kuyembekezera
fanfare	anticipation	0.562	fani
immortality	anticipation	0.562	moyo wosafa
quicken	anticipation	0.562	fulumizitsa
parade	anticipation	0.562	parade
fun	anticipation	0.562	zosangalatsa
predilection	anticipation	0.562	kusakonda
champion	anticipation	0.562	ngwazi
forewarned	anticipation	0.562	anachenjezeratu
hypothesis	anticipation	0.562	malingaliro
trophy	anticipation	0.562	chikho
shopping	anticipation	0.555	kugula
salvation	anticipation	0.555	chipulumutso
feeling	anticipation	0.555	kumva
speculative	anticipation	0.555	zongopeka
oracle	anticipation	0.555	oracle
heroism	anticipation	0.555	ngwazi
boisterous	anticipation	0.555	zaphokoso
grasping	anticipation	0.555	kugwira
uneasiness	anticipation	0.555	kusakhazikika
curiosity	anticipation	0.555	chidwi
happy	anticipation	0.555	wokondwa
rejoicing	anticipation	0.555	kusangalala
fate	anticipation	0.555	tsoka
liberty	anticipation	0.555	ufulu
unfold	anticipation	0.555	tsegulani
amour	anticipation	0.555	chikondi
lovely	anticipation	0.555	okondeka
splendor	anticipation	0.555	ulemerero
grow	anticipation	0.555	kukula
glimmer	anticipation	0.547	chonyezimira
incite	anticipation	0.547	yambitsa
abundance	anticipation	0.547	kuchuluka
resultant	anticipation	0.547	chotsatira
probability	anticipation	0.547	mwayi
recreational	anticipation	0.547	zosangalatsa
glory	anticipation	0.547	ulemerero
agape	anticipation	0.547	agape
delighted	anticipation	0.547	Wokondwa
changeable	anticipation	0.547	zosinthika
convergence	anticipation	0.547	kulumikizana
bountiful	anticipation	0.547	zambiri
warn	anticipation	0.547	chenjeza
monetary	anticipation	0.547	ndalama
sorcery	anticipation	0.547	matsenga
morrow	anticipation	0.547	mawa
apprehensive	anticipation	0.547	wamantha
hungry	anticipation	0.547	wanjala
vote	anticipation	0.547	kuvota
suspicious	anticipation	0.547	wokayikira
pray	anticipation	0.547	pempherani
leisure	anticipation	0.547	nthawi yopuma
hunting	anticipation	0.539	kusaka
sensual	anticipation	0.539	zathupi
tempest	anticipation	0.539	mphepo yamkuntho
auction	anticipation	0.539	kugulitsa
ballot	anticipation	0.539	voti
grandchildren	anticipation	0.539	adzukulu
hankering	anticipation	0.539	kuseka
entertainment	anticipation	0.539	zosangalatsa
merge	anticipation	0.539	kuphatikiza
exceed	anticipation	0.539	pitirira
vindication	anticipation	0.539	kutsimikizira
blessings	anticipation	0.539	madalitso
inquiry	anticipation	0.539	kufunsa
bounty	anticipation	0.539	ubwino
worrying	anticipation	0.539	kuda nkhawa
contingent	anticipation	0.539	zongotengera
glad	anticipation	0.536	wokondwa
harbinger	anticipation	0.531	mbiri
magnificent	anticipation	0.531	zodabwitsa
virginity	anticipation	0.531	unamwali
stealthy	anticipation	0.531	zachabechabe
appeal	anticipation	0.531	pempho
forming	anticipation	0.531	kupanga
celestial	anticipation	0.531	wakumwamba
raving	anticipation	0.531	raving
deliverance	anticipation	0.531	kuwomboledwa
feat	anticipation	0.531	feat
cheer	anticipation	0.531	chisangalalo
responsive	anticipation	0.531	womvera
hurried	anticipation	0.531	mwachangu
betrothed	anticipation	0.531	wokwatiwa
overthrow	anticipation	0.531	kugwetsa
spirits	anticipation	0.531	mizimu
dread	anticipation	0.531	mantha
visitor	anticipation	0.531	mlendo
wait	anticipation	0.523	dikirani
revive	anticipation	0.523	tsitsimutsa
watch	anticipation	0.523	penyani
hunter	anticipation	0.523	mlenje
radiance	anticipation	0.523	kuwala
planning	anticipation	0.523	kukonzekera
germination	anticipation	0.523	kumera
competition	anticipation	0.523	mpikisano
preparatory	anticipation	0.523	kukonzekera
prognostic	anticipation	0.523	zam'tsogolo
beaming	anticipation	0.523	kuwala
cheery	anticipation	0.523	chisangalalo
prevail	anticipation	0.523	kupambana
importance	anticipation	0.523	kufunika
notification	anticipation	0.523	chidziwitso
explosive	anticipation	0.523	zophulika
pleasant	anticipation	0.523	zosangalatsa
ultimately	anticipation	0.523	pamapeto pake
child	anticipation	0.523	mwana
haste	anticipation	0.523	changu
prophet	anticipation	0.523	mneneri
recreation	anticipation	0.516	zosangalatsa
present	anticipation	0.516	kupezeka
time	anticipation	0.516	nthawi
sensuality	anticipation	0.516	chiwerewere
owing	anticipation	0.516	chifukwa
loom	anticipation	0.516	nsalu
begun	anticipation	0.516	anayamba
salary	anticipation	0.516	malipiro
celebrity	anticipation	0.516	wotchuka
treat	anticipation	0.516	chithandizo
chocolate	anticipation	0.516	chokoleti
caution	anticipation	0.516	chenjezo
fermentation	anticipation	0.516	kuwira
uncontrollable	anticipation	0.516	osalamulirika
precious	anticipation	0.516	zamtengo wapatali
compensate	anticipation	0.516	bwezerani
endanger	anticipation	0.516	kuyika pangozi
renovation	anticipation	0.516	kukonzanso
signify	anticipation	0.508	sonyeza
vigilance	anticipation	0.508	kukhala maso
prerequisite	anticipation	0.508	chofunikira
perfection	anticipation	0.508	ungwiro
cultivate	anticipation	0.508	lima
develop	anticipation	0.508	kulitsa
cue	anticipation	0.508	mawu
exigent	anticipation	0.508	exigent
transitional	anticipation	0.508	zosintha
commemoration	anticipation	0.508	chikumbutso
intermission	anticipation	0.508	kupuma
elevation	anticipation	0.508	kukwera
infant	anticipation	0.508	khanda
practise	anticipation	0.508	kuchita
contemplation	anticipation	0.508	kulingalira
dreadful	anticipation	0.508	zowopsya
wilderness	anticipation	0.508	chipululu
horizon	anticipation	0.508	m'maso
sneaking	anticipation	0.500	kuzembera
uphill	anticipation	0.500	kukwera
puppy	anticipation	0.500	mwana wagalu
blindfold	anticipation	0.500	chophimba m'maso
unbridled	anticipation	0.500	wosalamulirika
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	eyapoti
reconciliation	anticipation	0.500	chiyanjanitso
advocacy	anticipation	0.500	kulimbikitsa
litigate	anticipation	0.500	milandu
sunny	anticipation	0.500	dzuwa
intuitively	anticipation	0.500	mwachidziwitso
hero	anticipation	0.500	ngwazi
ardent	anticipation	0.500	wachangu
commemorate	anticipation	0.500	chikumbutso
romantic	anticipation	0.500	zachikondi
doomsday	anticipation	0.500	tsiku lachiweruzo
ready	anticipation	0.500	okonzeka
nascent	anticipation	0.500	kubadwa
invocation	anticipation	0.500	kupempha
depart	anticipation	0.500	kuchoka
undisclosed	anticipation	0.500	zosadziwika
attendance	anticipation	0.500	kupezekapo
peril	anticipation	0.500	ngozi
income	anticipation	0.500	ndalama
calculation	anticipation	0.500	kuwerengera
zeal	anticipation	0.500	changu
eventuality	anticipation	0.500	zochitika
favorable	anticipation	0.500	zabwino
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	kusambira
proceeding	anticipation	0.492	kupitiriza
eventual	anticipation	0.492	potsirizira pake
heyday	anticipation	0.492	tsiku labwino
undertaking	anticipation	0.492	kuchita
improvise	anticipation	0.492	konza
inauguration	anticipation	0.492	kutsegulira
consequent	anticipation	0.492	zotsatira
perspective	anticipation	0.492	kaonedwe
defense	anticipation	0.492	chitetezo
repay	anticipation	0.492	kubweza
gaping	anticipation	0.492	kusiyana
youth	anticipation	0.492	unyamata
parole	anticipation	0.492	parole
worry	anticipation	0.492	nkhawa
bless	anticipation	0.492	dalitsani
restorative	anticipation	0.492	zobwezeretsa
court	anticipation	0.492	khoti
highest	anticipation	0.491	apamwamba
shortly	anticipation	0.484	posachedwa
auspicious	anticipation	0.484	zabwino
princely	anticipation	0.484	mwachifumu
correspondence	anticipation	0.484	makalata
generosity	anticipation	0.484	kuwolowa manja
sparkle	anticipation	0.484	kunyezimira
voluptuous	anticipation	0.484	wodzipereka
happen	anticipation	0.484	kuchitika
tremor	anticipation	0.484	kunjenjemera
letter	anticipation	0.484	kalata
vow	anticipation	0.484	lumbiro
sharpen	anticipation	0.484	nola
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	kuwopseza
god	anticipation	0.484	mulungu
engulf	anticipation	0.484	kumeza
unexplained	anticipation	0.484	zosafotokozedwa
contagion	anticipation	0.484	kupatsirana
glorify	anticipation	0.477	lemekezani
submit	anticipation	0.477	pereka
enroll	anticipation	0.477	lembetsani
unification	anticipation	0.477	mgwirizano
gravitate	anticipation	0.477	mphamvu yokoka
glide	anticipation	0.477	yenda
accompaniment	anticipation	0.477	kutsagana
cherish	anticipation	0.477	samalira
adore	anticipation	0.477	kupembedza
powerful	anticipation	0.477	wamphamvu
clue	anticipation	0.477	chidziwitso
medal	anticipation	0.477	mendulo
contemplate	anticipation	0.477	lingalira
perilous	anticipation	0.477	zowopsa
determinate	anticipation	0.477	tsimikiza
arbitration	anticipation	0.477	kutsutsana
recipient	anticipation	0.477	wolandira
onset	anticipation	0.477	chiyambi
predispose	anticipation	0.477	predispose
score	anticipation	0.477	Chogoli
torture	anticipation	0.477	kuzunza
glow	anticipation	0.477	kuwala
praiseworthy	anticipation	0.473	kuyamikiridwa
football	anticipation	0.469	mpira
scare	anticipation	0.469	mantha
elite	anticipation	0.469	osankhika
unknown	anticipation	0.469	osadziwika
precursor	anticipation	0.469	kalambulabwalo
pry	anticipation	0.469	pry
providing	anticipation	0.469	kupereka
sweets	anticipation	0.469	maswiti
cautious	anticipation	0.469	wochenjera
opera	anticipation	0.469	opera
motion	anticipation	0.469	kuyenda
cash	anticipation	0.469	ndalama
creeping	anticipation	0.469	zokwawa
invoke	anticipation	0.469	pempha
star	anticipation	0.469	nyenyezi
shaky	anticipation	0.469	zogwedezeka
production	anticipation	0.469	kupanga
successful	anticipation	0.469	wopambana
immediately	anticipation	0.469	nthawi yomweyo
dawn	anticipation	0.469	mbandakucha
starry	anticipation	0.469	nyenyezi
unsurpassed	anticipation	0.469	osapambana
completion	anticipation	0.469	kumaliza
hire	anticipation	0.469	ganyu
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	chikumbutso
shining	anticipation	0.461	kuwala
testament	anticipation	0.461	pangano
pay	anticipation	0.461	kulipira
alive	anticipation	0.461	moyo
plight	anticipation	0.461	mavuto
preliminary	anticipation	0.461	choyambirira
overture	anticipation	0.461	kusintha
sanctuary	anticipation	0.461	malo opatulika
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	kulemba
synchronize	anticipation	0.461	kulunzanitsa
soundness	anticipation	0.461	zabwino
extricate	anticipation	0.461	extricate
excel	anticipation	0.461	kupambana
punt	anticipation	0.461	punti
untold	anticipation	0.461	osaneneka
brilliant	anticipation	0.461	wanzeru
cheerfulness	anticipation	0.461	chisangalalo
jeopardy	anticipation	0.461	pachiwopsezo
friendly	anticipation	0.461	waubwenzi
mail	anticipation	0.461	makalata
unexpected	anticipation	0.453	mosayembekezereka
basketball	anticipation	0.453	mpira wa basketball
inaugural	anticipation	0.453	kuyambitsa
supremacy	anticipation	0.453	ukulu
rehabilitation	anticipation	0.453	kukonzanso
intimately	anticipation	0.453	mwachikondi
career	anticipation	0.453	ntchito
prevention	anticipation	0.453	kupewa
renovate	anticipation	0.453	konzanso
compliment	anticipation	0.453	kuyamika
prologue	anticipation	0.453	mawu oyamba
elegance	anticipation	0.453	kukongola
complement	anticipation	0.453	wowonjezera
flinch	anticipation	0.453	njenjemera
infinity	anticipation	0.453	zopanda malire
perpetuity	anticipation	0.453	muyaya
sunset	anticipation	0.453	kulowa kwa dzuwa
improve	anticipation	0.453	kusintha
fitting	anticipation	0.445	zoyenera
confidence	anticipation	0.445	chidaliro
concealment	anticipation	0.445	kubisa
sweet	anticipation	0.445	okoma
perfect	anticipation	0.445	wangwiro
epidemic	anticipation	0.445	mliri
fain	anticipation	0.445	kukomoka
volunteer	anticipation	0.445	wodzipereka
share	anticipation	0.445	kugawana
surround	anticipation	0.445	kuzungulira
conjecture	anticipation	0.445	kulingalira
sun	anticipation	0.445	dzuwa
veracity	anticipation	0.445	zoona
serial	anticipation	0.438	mndandanda
angel	anticipation	0.438	mngelo
aloha	anticipation	0.438	lowa
saint	anticipation	0.438	woyera
tickle	anticipation	0.438	kuseketsa
superstitious	anticipation	0.438	zamatsenga
ferment	anticipation	0.438	kupesa
conservation	anticipation	0.438	kusamalira
devout	anticipation	0.438	wodzipereka
respect	anticipation	0.438	ulemu
reconstruction	anticipation	0.438	kumanganso
goodness	anticipation	0.438	ubwino
reconstruct	anticipation	0.438	kumanganso
faith	anticipation	0.438	chikhulupiriro
recombination	anticipation	0.438	recombination
prepared	anticipation	0.438	kukonzekera
rabid	anticipation	0.438	wachikali
plea	anticipation	0.438	pempho
medical	anticipation	0.438	zachipatala
passenger	anticipation	0.438	wokwera
charitable	anticipation	0.430	wachifundo
tabulate	anticipation	0.430	tebulo
peace	anticipation	0.430	mtendere
install	anticipation	0.430	kukhazikitsa
serenity	anticipation	0.430	bata
venerable	anticipation	0.430	wolemekezeka
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	zokonda
perpetuate	anticipation	0.430	pitiliza
strategist	anticipation	0.430	katswiri
unverified	anticipation	0.430	zosatsimikiziridwa
tribunal	anticipation	0.430	khoti
clap	anticipation	0.430	kuwomba m'manja
peaceful	anticipation	0.422	wamtendere
patience	anticipation	0.422	kuleza mtima
unresolved	anticipation	0.422	zosathetsedwa
worship	anticipation	0.422	kulambira
edification	anticipation	0.422	kumangiriza
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	kulira
revere	anticipation	0.422	ulemu
candid	anticipation	0.422	zoona
vista	anticipation	0.422	mawonekedwe
conspirator	anticipation	0.422	wochitira chiwembu
adrift	anticipation	0.422	kuthamangitsidwa
recognizable	anticipation	0.422	ozindikirika
volatility	anticipation	0.422	kusakhazikika
forestall	anticipation	0.422	Forestal
laughter	anticipation	0.422	kuseka
continue	anticipation	0.414	pitilizani
ongoing	anticipation	0.414	zikupitilira
astrologer	anticipation	0.414	wokhulupirira nyenyezi
mediate	anticipation	0.414	khala pakati
punctual	anticipation	0.414	wosunga nthawi
grant	anticipation	0.414	perekani
morn	anticipation	0.414	m'mawa
pretty	anticipation	0.414	wokongola
withstand	anticipation	0.414	kupirira
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	ndinaganiza
probation	anticipation	0.414	mayeso
ordination	anticipation	0.414	kudzoza
calls	anticipation	0.414	mafoni
detainee	anticipation	0.414	womangidwa
craps	anticipation	0.414	zolakwa
weigh	anticipation	0.414	kulemera
proficiency	anticipation	0.414	luso
sing	anticipation	0.411	yimba
continuation	anticipation	0.406	kupitiriza
university	anticipation	0.406	yunivesite
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	kulera
mother	anticipation	0.406	amayi
punished	anticipation	0.406	kulangidwa
twinkle	anticipation	0.406	kuthwanima
confession	anticipation	0.406	kuvomereza
outdo	anticipation	0.406	kunja
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	wonyada
midwife	anticipation	0.406	mzamba
wizard	anticipation	0.406	mfiti
headlight	anticipation	0.406	nyali yakutsogolo
long	anticipation	0.406	yaitali
banquet	anticipation	0.406	phwando
comfort	anticipation	0.406	chitonthozo
navigable	anticipation	0.406	kuyenda
subscribe	anticipation	0.406	lembetsani
opponent	anticipation	0.406	wotsutsa
debenture	anticipation	0.406	chinyengo
deal	anticipation	0.402	malonda
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	woyera
judiciary	anticipation	0.398	oweruza
lettered	anticipation	0.398	zolemba
vigil	anticipation	0.398	kudikira
reliance	anticipation	0.398	kudalira
distracting	anticipation	0.398	kusokoneza
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	mankhwala
simmer	anticipation	0.398	simmer
top	anticipation	0.398	pamwamba
obliging	anticipation	0.398	kukakamiza
efficient	anticipation	0.398	ogwira ntchito
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	kuyimira
death	anticipation	0.398	imfa
assurance	anticipation	0.391	chitsimikizo
familiarity	anticipation	0.391	kudziwa bwino
depraved	anticipation	0.391	woipa
condemnation	anticipation	0.391	kutsutsidwa
undoubted	anticipation	0.391	mosakayikira
sanctify	anticipation	0.391	yeretsani
diplomacy	anticipation	0.391	zokambirana
antidote	anticipation	0.391	mankhwala
trust	anticipation	0.391	kudalira
linger	anticipation	0.391	dikirani
objective	anticipation	0.391	cholinga
chuckle	anticipation	0.391	seka
poke	anticipation	0.391	poka
abeyance	anticipation	0.391	kusiya
maternal	anticipation	0.391	amayi
art	anticipation	0.391	luso
unfulfilled	anticipation	0.391	zosakwaniritsidwa
inoculation	anticipation	0.384	katemera
simplify	anticipation	0.383	chepetsa
depend	anticipation	0.383	kudalira
chant	anticipation	0.383	nyimbo
ram	anticipation	0.383	Ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	bwalo lamasewera
labor	anticipation	0.383	ntchito
scientist	anticipation	0.383	wasayansi
good	anticipation	0.383	zabwino
humanitarian	anticipation	0.383	wothandiza anthu
failing	anticipation	0.383	kulephera
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	omvera
hymn	anticipation	0.383	nyimbo
ship	anticipation	0.383	sitima
discretion	anticipation	0.383	nzeru
undecided	anticipation	0.383	osatsimikiza
gradual	anticipation	0.375	mwapang'onopang'ono
navigator	anticipation	0.375	navigator
track	anticipation	0.375	njira
cradle	anticipation	0.375	kamba
sterling	anticipation	0.375	wokongola
interim	anticipation	0.375	pakanthawi
clock	anticipation	0.375	koloko
mountain	anticipation	0.375	phiri
interminable	anticipation	0.375	chosalekeza
public	anticipation	0.375	anthu onse
recurrent	anticipation	0.375	mobwerezabwereza
savor	anticipation	0.375	fungo
abide	anticipation	0.367	khalani
concealed	anticipation	0.367	zobisika
spear	anticipation	0.367	mkondo
lesson	anticipation	0.367	phunziro
instructions	anticipation	0.367	malangizo
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	zaka ziwiri
convince	anticipation	0.367	tsimikizirani
whim	anticipation	0.367	kulira
shiver	anticipation	0.367	kunjenjemera
towering	anticipation	0.367	lalitali
musical	anticipation	0.367	zanyimbo
offset	anticipation	0.359	kuchepetsa
theory	anticipation	0.359	chiphunzitso
theology	anticipation	0.359	zamulungu
undying	anticipation	0.359	osafa
timidity	anticipation	0.359	mantha
plump	anticipation	0.359	wamphumphu
atone	anticipation	0.359	perekani
audience	anticipation	0.357	omvera
dietary	anticipation	0.352	zakudya
consecration	anticipation	0.352	kudzipereka
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	sitolo
farm	anticipation	0.352	munda
daily	anticipation	0.352	tsiku ndi tsiku
cramp	anticipation	0.352	chifuwa
nobility	anticipation	0.352	ulemu
closure	anticipation	0.352	kutseka
edition	anticipation	0.352	kope
kindred	anticipation	0.352	achibale
stripped	anticipation	0.344	kuvula
errand	anticipation	0.344	ntchito
archaeology	anticipation	0.344	zofukulidwa pansi
mutable	anticipation	0.344	chosinthika
wireless	anticipation	0.344	opanda zingwe
meditate	anticipation	0.344	sinkhasinkha
mobile	anticipation	0.344	mafoni
germ	anticipation	0.336	nyongolosi
brotherly	anticipation	0.336	abale
lessen	anticipation	0.336	chepetsa
unbeaten	anticipation	0.336	wosagonja
pare	anticipation	0.336	pare
buddy	anticipation	0.336	bwanawe
unaccountable	anticipation	0.336	wosawerengeka
dove	anticipation	0.328	nkhunda
patient	anticipation	0.328	wodwala
secular	anticipation	0.328	zadziko
digress	anticipation	0.328	digress
chastity	anticipation	0.328	kudzisunga
council	anticipation	0.328	bungwe
olfactory	anticipation	0.328	kununkhiza
ribbon	anticipation	0.328	riboni
possess	anticipation	0.328	kukhala nacho
disposed	anticipation	0.320	kutayidwa
scrutinize	anticipation	0.320	santhula
immature	anticipation	0.320	osakhwima
mediator	anticipation	0.320	mkhalapakati
regularity	anticipation	0.320	nthawi zonse
cove	anticipation	0.320	pansi
infanticide	anticipation	0.320	kupha ana
paddle	anticipation	0.320	kukwera
heft	anticipation	0.320	heft
fancy	anticipation	0.320	wapamwamba
preservative	anticipation	0.320	chosungira
unpublished	anticipation	0.312	zosasindikizidwa
church	anticipation	0.312	mpingo
bugle	anticipation	0.312	vuto
grim	anticipation	0.312	zachisoni
denying	anticipation	0.312	kukana
analyst	anticipation	0.312	katswiri
judicial	anticipation	0.305	woweruza
priesthood	anticipation	0.305	unsembe
broadside	anticipation	0.305	m'mbali
mill	anticipation	0.305	mphero
dismay	anticipation	0.297	kukhumudwa
cap	anticipation	0.297	kapu
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributary
instructor	anticipation	0.297	mphunzitsi
exhaustion	anticipation	0.297	kutopa
saliva	anticipation	0.297	malovu
cataract	anticipation	0.289	ng'ala
network	anticipation	0.289	network
visor	anticipation	0.289	visor
shackle	anticipation	0.289	unyolo
wont	anticipation	0.289	sindikudziwa
addresses	anticipation	0.289	ma adilesi
