English Word	Emotion	Emotion-Intensity-Score	Lithuanian Word
distracting	anticipation	0.398	blaško dėmesį
mortification	anticipation	0.398	marinimas
balm	anticipation	0.398	balzamas
simmer	anticipation	0.398	troškinti
top	anticipation	0.398	viršuje
obliging	anticipation	0.398	įpareigojantis
efficient	anticipation	0.398	efektyvus
guillotine	anticipation	0.398	giljotina
representing	anticipation	0.398	atstovaujantis
death	anticipation	0.398	mirtis
assurance	anticipation	0.391	užtikrinimas
familiarity	anticipation	0.391	susipažinimas
depraved	anticipation	0.391	ištvirkęs
condemnation	anticipation	0.391	pasmerkimą
undoubted	anticipation	0.391	neabejotina
sanctify	anticipation	0.391	pašventinti
diplomacy	anticipation	0.391	diplomatija
antidote	anticipation	0.391	priešnuodis
trust	anticipation	0.391	pasitikėti
linger	anticipation	0.391	pasilikti
objective	anticipation	0.391	objektyvus
chuckle	anticipation	0.391	kikenu
poke	anticipation	0.391	kišti
abeyance	anticipation	0.391	atidėjimas
maternal	anticipation	0.391	motiniškas
art	anticipation	0.391	str
unfulfilled	anticipation	0.391	neįvykdytas
inoculation	anticipation	0.384	skiepijimas
simplify	anticipation	0.383	supaprastinti
depend	anticipation	0.383	priklauso
chant	anticipation	0.383	giedoti
ram	anticipation	0.383	avinas
banger	anticipation	0.383	bangeris
playground	anticipation	0.383	žaidimų aikštelė
labor	anticipation	0.383	darbo
scientist	anticipation	0.383	mokslininkas
good	anticipation	0.383	Gerai
humanitarian	anticipation	0.383	humanitarinis
failing	anticipation	0.383	nepavyksta
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	pareigingas
hymn	anticipation	0.383	himnas
ship	anticipation	0.383	laivas
discretion	anticipation	0.383	diskrecija
undecided	anticipation	0.383	neapsisprendęs
gradual	anticipation	0.375	laipsniškas
navigator	anticipation	0.375	navigatorius
track	anticipation	0.375	takelį
cradle	anticipation	0.375	lopšys
sterling	anticipation	0.375	sterlingų
interim	anticipation	0.375	tarpinis
clock	anticipation	0.375	laikrodis
mountain	anticipation	0.375	kalnas
interminable	anticipation	0.375	nesibaigiantis
public	anticipation	0.375	viešas
recurrent	anticipation	0.375	pasikartojantis
savor	anticipation	0.375	pasimėgauti
abide	anticipation	0.367	laikytis
concealed	anticipation	0.367	paslėptas
spear	anticipation	0.367	ietis
lesson	anticipation	0.367	pamoka
instructions	anticipation	0.367	nurodymus
sonar	anticipation	0.367	sonaras
biennial	anticipation	0.367	kas dvejus metus
convince	anticipation	0.367	įtikinti
whim	anticipation	0.367	užgaida
shiver	anticipation	0.367	drebulys
towering	anticipation	0.367	iškilęs
musical	anticipation	0.367	muzikinis
offset	anticipation	0.359	kompensuoti
theory	anticipation	0.359	teorija
theology	anticipation	0.359	teologija
undying	anticipation	0.359	nemirštantis
timidity	anticipation	0.359	nedrąsumas
plump	anticipation	0.359	apkunus
atone	anticipation	0.359	išpirkti
audience	anticipation	0.357	auditoriją
dietary	anticipation	0.352	dietinis
consecration	anticipation	0.352	pašventinimas
localize	anticipation	0.352	lokalizuoti
paragon	anticipation	0.352	paragonas
store	anticipation	0.352	parduotuvė
farm	anticipation	0.352	ūkis
daily	anticipation	0.352	kasdien
cramp	anticipation	0.352	mėšlungis
nobility	anticipation	0.352	bajorai
closure	anticipation	0.352	uždarymas
edition	anticipation	0.352	leidimas
kindred	anticipation	0.352	giminės
stripped	anticipation	0.344	nurengtas
errand	anticipation	0.344	pavedimas
archaeology	anticipation	0.344	archeologija
mutable	anticipation	0.344	kintamas
wireless	anticipation	0.344	bevielis
meditate	anticipation	0.344	medituoti
mobile	anticipation	0.344	mobilusis
germ	anticipation	0.336	gemalas
brotherly	anticipation	0.336	broliškas
lessen	anticipation	0.336	sumažinti
unbeaten	anticipation	0.336	nenugalimas
pare	anticipation	0.336	pare
buddy	anticipation	0.336	bičiulis
unaccountable	anticipation	0.336	neatskaitingas
dove	anticipation	0.328	balandis
patient	anticipation	0.328	kantrus
secular	anticipation	0.328	pasaulietinis
digress	anticipation	0.328	nukrypti
chastity	anticipation	0.328	skaistumas
council	anticipation	0.328	taryba
olfactory	anticipation	0.328	uoslės
ribbon	anticipation	0.328	juostele
possess	anticipation	0.328	turėti
disposed	anticipation	0.320	disponuoti
scrutinize	anticipation	0.320	kruopščiai išnagrinėti
immature	anticipation	0.320	nesubrendęs
mediator	anticipation	0.320	tarpininkas
regularity	anticipation	0.320	reguliarumas
cove	anticipation	0.320	įlanka
infanticide	anticipation	0.320	kūdikių nužudymas
paddle	anticipation	0.320	irklas
heft	anticipation	0.320	Heft
fancy	anticipation	0.320	išgalvotas
preservative	anticipation	0.320	konservantas
unpublished	anticipation	0.312	nepaskelbtas
church	anticipation	0.312	bažnyčia
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	niūrūs
denying	anticipation	0.312	neigiantis
analyst	anticipation	0.312	analitikas
judicial	anticipation	0.305	teisminis
priesthood	anticipation	0.305	kunigystė
broadside	anticipation	0.305	plačiapusis
mill	anticipation	0.305	malūnas
dismay	anticipation	0.297	pasibaisėjimą
cap	anticipation	0.297	dangtelis
thermocouple	anticipation	0.297	termopora
tributary	anticipation	0.297	intakas
instructor	anticipation	0.297	instruktorius
exhaustion	anticipation	0.297	išsekimas
saliva	anticipation	0.297	seilės
cataract	anticipation	0.289	katarakta
network	anticipation	0.289	tinklą
visor	anticipation	0.289	skydelis
shackle	anticipation	0.289	pančius
wont	anticipation	0.289	neįprato
addresses	anticipation	0.289	adresus
discreet	anticipation	0.289	diskretiškas
noncompliance	anticipation	0.289	neatitikimas
bruise	anticipation	0.289	mėlynė
homeless	anticipation	0.289	benamiai
astronomer	anticipation	0.281	astronomas
skewed	anticipation	0.281	iškreiptas
neighbor	anticipation	0.281	kaimynas
holiness	anticipation	0.273	šventumas
devil	anticipation	0.273	velnias
picket	anticipation	0.273	piketas
sentence	anticipation	0.273	sakinys
latent	anticipation	0.273	latentinis
cream	anticipation	0.273	kremas
immaturity	anticipation	0.273	nebrandumas
habitual	anticipation	0.266	įprastas
morals	anticipation	0.266	moralės
neighborhood	anticipation	0.266	kaimynystėje
lull	anticipation	0.266	užliūliuoti
bye	anticipation	0.258	Ate
weight	anticipation	0.258	svorio
organ	anticipation	0.250	organas
clown	anticipation	0.250	klounas
forearm	anticipation	0.250	dilbis
commonplace	anticipation	0.242	įprastas dalykas
quote	anticipation	0.242	citata
rail	anticipation	0.234	bėgis
dictatorship	anticipation	0.234	diktatūra
treadmill	anticipation	0.234	Bėgimo takelis
board	anticipation	0.234	lenta
tree	anticipation	0.227	medis
sundial	anticipation	0.227	saulės laikrodis
paralysis	anticipation	0.211	paralyžius
cement	anticipation	0.203	cementas
worm	anticipation	0.203	kirminas
organization	anticipation	0.203	organizacija
lagging	anticipation	0.180	atsilieka
neutral	anticipation	0.148	neutralus
cannibalism	disgust	0.953	kanibalizmas
mutilation	disgust	0.930	suluošinimas
molestation	disgust	0.914	tvirkinimą
incest	disgust	0.914	kraujomaiša
rape	disgust	0.906	išprievartavimas
gonorrhea	disgust	0.906	gonorėja
cannibal	disgust	0.898	kanibalas
rot	disgust	0.891	pūti
corpse	disgust	0.883	lavonas
massacre	disgust	0.883	žudynės
excrement	disgust	0.883	ekskrementų
barf	disgust	0.875	barf
slaughter	disgust	0.875	skerdimas
slaughterhouse	disgust	0.867	skerdykla
incestuous	disgust	0.859	kraujomaiša
sewerage	disgust	0.859	kanalizacija
filth	disgust	0.859	nešvarumai
bigot	disgust	0.859	bigot
rancid	disgust	0.859	apkarstęs
infestation	disgust	0.852	užkrėtimas
plague	disgust	0.852	maras
holocaust	disgust	0.852	holokaustas
bloodthirsty	disgust	0.852	kraujo ištroškęs
rotting	disgust	0.844	pūvantis
fecal	disgust	0.844	išmatų
maggot	disgust	0.844	lerva
feces	disgust	0.844	išmatos
murder	disgust	0.839	nužudymas
asshole	disgust	0.836	asile
homicide	disgust	0.836	žmogžudystė
enslaved	disgust	0.836	pavergtas
infanticide	disgust	0.836	kūdikių nužudymas
perverted	disgust	0.828	iškrypęs
excretion	disgust	0.828	išskyrimas
gore	disgust	0.828	įsiuvas
slaughtering	disgust	0.828	skerdimas
torture	disgust	0.828	kankinimas
contaminate	disgust	0.821	užteršti
revolting	disgust	0.820	maištaujantis
gory	disgust	0.820	kruvinas
shit	disgust	0.820	šūdas
terrorist	disgust	0.820	teroristas
murderer	disgust	0.820	žudikas
repugnant	disgust	0.820	atstumiantis
manure	disgust	0.820	mėšlas
pervert	disgust	0.820	iškrypėlis
diarrhoea	disgust	0.820	viduriavimas
grotesque	disgust	0.820	groteskas
desecration	disgust	0.820	išniekinimas
faeces	disgust	0.812	išmatos
slavery	disgust	0.812	vergija
sewer	disgust	0.812	kanalizacija
cadaver	disgust	0.812	lavonas
manslaughter	disgust	0.812	žmogžudystė
dismemberment	disgust	0.812	išskaidymas
vomit	disgust	0.812	vemti
perverse	disgust	0.805	iškrypėlis
repulsive	disgust	0.805	atstumiantis
hemorrhage	disgust	0.805	kraujavimas
sewage	disgust	0.797	nuotekų
filthy	disgust	0.797	purvinas
diseased	disgust	0.797	sergantys
depravity	disgust	0.797	ištvirkimas
carcass	disgust	0.795	skerdena
decompose	disgust	0.789	suirti
gruesome	disgust	0.789	baisu
mutilated	disgust	0.789	sugadintas
puke	disgust	0.789	vėmimas
herpes	disgust	0.789	pūslelinė
decayed	disgust	0.789	sunyko
dung	disgust	0.789	mėšlas
vermin	disgust	0.789	kenkėjai
murderous	disgust	0.789	žudikiškas
parasite	disgust	0.789	parazitas
horrific	disgust	0.789	siaubinga
carnage	disgust	0.781	skerdynės
malaria	disgust	0.781	maliarija
slime	disgust	0.781	gleivės
flatulence	disgust	0.781	vidurių pūtimas
pestilence	disgust	0.781	maras
crap	disgust	0.781	šūdas
monstrosity	disgust	0.781	monstriškumas
loathsome	disgust	0.773	bjaurus
toxic	disgust	0.773	toksiškas
morgue	disgust	0.773	morgas
pus	disgust	0.773	pūliai
herpesvirus	disgust	0.773	herpes virusas
leprosy	disgust	0.773	raupsai
insidious	disgust	0.773	klastingas
cruel	disgust	0.766	žiaurus
regurgitation	disgust	0.766	regurgitacija
anthrax	disgust	0.766	juodligė
xenophobia	disgust	0.766	ksenofobija
repugnance	disgust	0.766	pasibjaurėjimas
lynch	disgust	0.766	linčas
revulsion	disgust	0.766	pasibjaurėjimas
whore	disgust	0.766	paleistuve
dissection	disgust	0.759	skrodimas
mucous	disgust	0.758	gleivinės
canker	disgust	0.758	vėžys
slum	disgust	0.758	lūšnynas
infectious	disgust	0.758	užkrečiamas
evil	disgust	0.758	velnias
phlegm	disgust	0.758	skreplių
cruelty	disgust	0.758	žiaurumas
perversion	disgust	0.758	iškrypimas
sinister	disgust	0.750	grėsmingas
leeches	disgust	0.750	dėlės
corrupting	disgust	0.750	gadinantis
decomposition	disgust	0.750	skilimas
abomination	disgust	0.742	bjaurybė
stinking	disgust	0.742	dvokiantis
bile	disgust	0.742	tulžis
demonic	disgust	0.742	demoniškas
deranged	disgust	0.742	sutrikęs
abhorrence	disgust	0.742	pasibjaurėjimas
soiled	disgust	0.742	suteptas
mucus	disgust	0.742	gleivių
septic	disgust	0.742	septikas
sickening	disgust	0.742	liguistas
demon	disgust	0.742	demonas
cancer	disgust	0.734	vėžys
obese	disgust	0.734	nutukę
degeneracy	disgust	0.734	degeneracija
despicable	disgust	0.734	niekingas
atrocity	disgust	0.734	žiaurumas
foul	disgust	0.734	pražanga
sicken	disgust	0.734	susirgti
crucifixion	disgust	0.734	nukryžiavimas
terrorism	disgust	0.734	terorizmas
repulsion	disgust	0.727	atstūmimas
morbidity	disgust	0.727	sergamumas
dysentery	disgust	0.727	dizenterija
enema	disgust	0.727	klizma
bacterium	disgust	0.727	bakterija
dirty	disgust	0.727	purvinas
adultery	disgust	0.727	svetimavimas
contamination	disgust	0.727	užteršimas
grisly	disgust	0.727	siaubingai
diabolical	disgust	0.727	velniškas
autopsy	disgust	0.719	skrodimas
barbaric	disgust	0.719	barbariškas
vulgar	disgust	0.719	vulgarus
entrails	disgust	0.719	vidurius
disgust	disgust	0.719	pasibjaurėjimas
lewd	disgust	0.719	niekingas
muck	disgust	0.719	mėšlas
bowels	disgust	0.719	viduriai
garbage	disgust	0.719	šiukšlių
deterioration	disgust	0.719	pablogėjimas
contagion	disgust	0.719	užkratas
vicious	disgust	0.719	žiaurus
disfigured	disgust	0.719	subjaurotas
pungent	disgust	0.719	aštrus
gross	disgust	0.719	grubus
bloodshed	disgust	0.714	kraujo praliejimas
gag	disgust	0.711	kamštis
pollute	disgust	0.711	teršti
nausea	disgust	0.711	pykinimas
tyrant	disgust	0.711	tironas
wretched	disgust	0.711	apgailėtinas
mortification	disgust	0.711	marinimas
violent	disgust	0.711	smurtinis
poisoned	disgust	0.711	apsinuodijęs
nauseate	disgust	0.703	pykina
slimy	disgust	0.703	gleivėtas
grope	disgust	0.703	apčiuopti
slut	disgust	0.703	apskretėlė
nasty	disgust	0.703	bjaurus
disgusting	disgust	0.703	šlykštus
depraved	disgust	0.703	ištvirkęs
porn	disgust	0.703	porno
hateful	disgust	0.703	neapykantos
vulgarity	disgust	0.703	vulgarumas
noxious	disgust	0.703	kenksmingas
grime	disgust	0.703	nešvarumai
constipation	disgust	0.703	vidurių užkietėjimas
secretion	disgust	0.703	sekrecija
poisoning	disgust	0.703	apsinuodijimas
despotism	disgust	0.703	despotizmas
measles	disgust	0.696	tymų
contagious	disgust	0.695	užkrečiama
obesity	disgust	0.695	nutukimas
wart	disgust	0.695	karpa
hate	disgust	0.695	neapykanta
hellish	disgust	0.695	pragariškas
scum	disgust	0.695	šiukšlės
suicidal	disgust	0.695	savižudiškas
wretch	disgust	0.695	vargšas
abuse	disgust	0.695	piktnaudžiavimas
waste	disgust	0.695	atliekų
intestinal	disgust	0.695	žarnyno
heartworm	disgust	0.688	širdies kirmėlė
ooze	disgust	0.688	tekėti
treason	disgust	0.688	išdavystė
contaminated	disgust	0.688	užteršta
smut	disgust	0.688	dėmė
disease	disgust	0.688	liga
rabid	disgust	0.688	pasiutęs
deformed	disgust	0.680	deformuota
hell	disgust	0.680	pragaras
soulless	disgust	0.680	bedvasis
cholera	disgust	0.680	cholera
bestial	disgust	0.680	žvėriškas
antichrist	disgust	0.680	antikristas
freakish	disgust	0.680	beprotiškas
germ	disgust	0.680	gemalas
detest	disgust	0.680	nekenčia
pollution	disgust	0.680	tarša
grimy	disgust	0.680	purvinas
abhorrent	disgust	0.680	pasibjaurėtina
hatred	disgust	0.680	neapykanta
abominate	disgust	0.680	šlykštus
sickness	disgust	0.680	liga
hideous	disgust	0.672	baisu
dictatorship	disgust	0.672	diktatūra
loathful	disgust	0.672	šlykštus
greasy	disgust	0.672	riebus
dilapidated	disgust	0.672	apgriuvęs
inhuman	disgust	0.672	nežmoniškas
loathing	disgust	0.672	bjaurėjimasis
obscene	disgust	0.672	nepadoru
cess	disgust	0.670	cess
devil	disgust	0.664	velnias
deformity	disgust	0.664	deformacija
nauseous	disgust	0.664	pykina
deadly	disgust	0.664	mirtinas
swine	disgust	0.664	kiaulių
discrimination	disgust	0.664	diskriminacija
abominable	disgust	0.664	šlykštus
masochism	disgust	0.664	mazochizmas
heretic	disgust	0.664	eretikas
latrines	disgust	0.656	tualetai
corruption	disgust	0.656	korupcija
poisonous	disgust	0.656	nuodingas
horror	disgust	0.656	siaubas
nefarious	disgust	0.656	niekšiškas
bacteria	disgust	0.656	bakterijos
horrible	disgust	0.656	siaubinga
trash	disgust	0.656	šiukšlių
abortion	disgust	0.656	abortas
death	disgust	0.656	mirtis
prejudiced	disgust	0.656	išankstinis nusistatymas
poison	disgust	0.656	nuodų
oppression	disgust	0.656	priespauda
goo	disgust	0.656	goo
victimized	disgust	0.656	nukentėjo
mange	disgust	0.656	mėšlungis
sludge	disgust	0.648	dumblas
trashy	disgust	0.648	šiukšlinas
vindictive	disgust	0.648	kerštingas
horrid	disgust	0.648	baisu
ugly	disgust	0.648	bjaurus
immoral	disgust	0.648	amoralus
bitch	disgust	0.648	kalyte
outhouse	disgust	0.648	lauko namas
detestation	disgust	0.648	pasibjaurėjimas
horrifying	disgust	0.641	siaubingą
laxative	disgust	0.641	vidurius laisvinantis
unsightly	disgust	0.641	neišvaizdus
derogatory	disgust	0.641	menkinantis
slop	disgust	0.641	šlaitas
malfeasance	disgust	0.641	nusižengimas
spew	disgust	0.641	spjaudyti
pimple	disgust	0.641	spuogas
criminality	disgust	0.641	nusikalstamumas
indecency	disgust	0.641	nepadorumas
cystic	disgust	0.641	cistinė
villainous	disgust	0.641	piktadaris
queasy	disgust	0.633	varginantis
mildew	disgust	0.633	miltligė
oppressive	disgust	0.633	slegiantis
prostitution	disgust	0.633	prostitucija
secrete	disgust	0.633	išskirti
ulcer	disgust	0.633	opa
rat	disgust	0.633	žiurkė
bigoted	disgust	0.633	fanatiškas
perpetrator	disgust	0.633	nusikaltėlis
doomsday	disgust	0.633	pabaigos diena
sinful	disgust	0.633	nuodėmingas
degrading	disgust	0.625	žeminantis
ghastly	disgust	0.625	klaikus
suffering	disgust	0.625	kančia
obscenity	disgust	0.625	nepadorumas
devilish	disgust	0.625	velniškas
disgraceful	disgust	0.625	gėdinga
persecution	disgust	0.625	persekiojimas
contemptible	disgust	0.625	niekingas
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	išmatos
dastardly	disgust	0.625	šlykštus
sin	disgust	0.625	nuodėmė
gluttony	disgust	0.625	rijingumas
bloated	disgust	0.625	išsipūtęs
fungus	disgust	0.625	grybelis
aghast	disgust	0.625	pasibaisėjęs
diaper	disgust	0.617	sauskelnės
malicious	disgust	0.617	piktybinis
polygamy	disgust	0.617	poligamija
dying	disgust	0.617	miršta
termite	disgust	0.617	termitas
fat	disgust	0.617	riebalų
deceit	disgust	0.617	apgaulė
atrocious	disgust	0.617	žiaurus
guillotine	disgust	0.617	giljotina
tetanus	disgust	0.617	stabligė
spoil	disgust	0.617	sugadinti
crusty	disgust	0.617	pluta
sickly	disgust	0.617	liguistas
louse	disgust	0.617	utėlė
strangle	disgust	0.617	pasmaugti
betrayal	disgust	0.617	išdavystė
loathe	disgust	0.617	bjaurėtis
wench	disgust	0.617	kiaunė
infect	disgust	0.617	užkrėsti
violently	disgust	0.609	žiauriai
brothel	disgust	0.609	viešnamyje
drool	disgust	0.609	seiles
bleeding	disgust	0.609	kraujavimas
deform	disgust	0.609	deformuotis
ghetto	disgust	0.609	getas
sabotage	disgust	0.609	sabotažas
venomous	disgust	0.609	nuodingas
abhor	disgust	0.609	bjaurėtis
slander	disgust	0.609	šmeižtas
hostile	disgust	0.609	priešiškas
musty	disgust	0.602	sušlapęs
illicit	disgust	0.602	neteisėtas
ugliness	disgust	0.602	bjaurumas
unwashed	disgust	0.602	neplautas
swampy	disgust	0.602	pelkėtas
deprivation	disgust	0.602	nepriteklius
poaching	disgust	0.602	brakonieriavimas
hag	disgust	0.602	hag
infidel	disgust	0.602	neištikimas
imprisonment	disgust	0.602	įkalinimas
traitor	disgust	0.602	išdavikas
lunacy	disgust	0.602	beprotybė
queasiness	disgust	0.594	šleikštulys
hostility	disgust	0.594	priešiškumas
repelling	disgust	0.594	atstumiantis
intoxicated	disgust	0.594	neblaivus
thug	disgust	0.594	banditas
catastrophe	disgust	0.594	katastrofa
lunatic	disgust	0.594	pamišėlis
misery	disgust	0.594	vargas
venom	disgust	0.594	nuodai
butcher	disgust	0.594	mėsininkas
toilet	disgust	0.594	tualetas
blister	disgust	0.594	pūslelė
lurid	disgust	0.594	šlykštus
slug	disgust	0.594	šliužas
gut	disgust	0.594	žarnynas
sinner	disgust	0.594	nusidėjėlis
deceitful	disgust	0.594	apgaulinga
epidemic	disgust	0.594	epidemija
deteriorated	disgust	0.586	pablogėjo
lavatory	disgust	0.586	tualetas
unclean	disgust	0.586	nešvarus
prostitute	disgust	0.586	prostitutė
incubus	disgust	0.586	inkubas
appalling	disgust	0.586	pasibaisėtinas
dreadful	disgust	0.586	baisu
pornography	disgust	0.586	pornografija
harass	disgust	0.586	priekabiauti
squeamish	disgust	0.578	svirduliuojantis
expulsion	disgust	0.578	išsiuntimas
unfaithful	disgust	0.578	neištikimas
offensive	disgust	0.578	agresyvus
hypocrite	disgust	0.578	veidmainis
humiliating	disgust	0.578	žeminantis
larceny	disgust	0.578	vagystės
ruinous	disgust	0.578	pražūtingas
retard	disgust	0.578	atsilikti
rash	disgust	0.578	bėrimas
flea	disgust	0.578	blusa
debauchery	disgust	0.578	ištvirkimas
fiend	disgust	0.578	velnias
quagmire	disgust	0.578	pelkė
conspirator	disgust	0.578	sąmokslininkas
sick	disgust	0.578	serga
mangle	disgust	0.578	mėšlungis
dogsick	disgust	0.570	serga šunimi
egregious	disgust	0.570	žiaurus
flog	disgust	0.570	plakti
despise	disgust	0.570	niekinti
treacherous	disgust	0.570	klastingas
oppress	disgust	0.570	engti
swamp	disgust	0.570	pelkė
messy	disgust	0.570	netvarkingas
spit	disgust	0.570	spjaudytis
dank	disgust	0.570	dank
bastard	disgust	0.570	niekšas
devastating	disgust	0.570	pražūtingas
serpent	disgust	0.570	gyvatė
loo	disgust	0.562	loo
indecent	disgust	0.562	nepadoru
insanity	disgust	0.562	beprotybė
stealing	disgust	0.562	vagystės
terrible	disgust	0.562	baisu
tyrannical	disgust	0.562	tironiškas
humiliation	disgust	0.562	pažeminimas
snake	disgust	0.562	gyvatė
sloppy	disgust	0.562	apleistas
sinning	disgust	0.562	nusideda
harmful	disgust	0.562	kenksmingas
harlot	disgust	0.562	paleistuve
sordid	disgust	0.562	niūrus
enemy	disgust	0.562	priešas
alcoholism	disgust	0.562	alkoholizmas
awful	disgust	0.562	baisus
ruthless	disgust	0.562	negailestingas
scoundrel	disgust	0.562	niekšas
bloody	disgust	0.555	kruvinas
flabby	disgust	0.555	suglebęs
odious	disgust	0.555	šlykštus
beastly	disgust	0.555	žvėriškas
collusion	disgust	0.555	susitarimas
ridicule	disgust	0.555	pajuoka
discriminating	disgust	0.555	diskriminuojantis
unattractive	disgust	0.555	nepatrauklus
insufferable	disgust	0.555	nepakenčiamas
segregate	disgust	0.555	atskirti
arsenic	disgust	0.555	arseno
threatening	disgust	0.555	grėsmingas
atrophy	disgust	0.555	atrofija
varicella	disgust	0.555	vėjaraupių
slayer	disgust	0.555	žudikas
distaste	disgust	0.555	pasibjaurėjimas
coward	disgust	0.555	bailys
robbery	disgust	0.555	apiplėšimas
wickedness	disgust	0.555	nedorybė
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	piktavališkas
sty	disgust	0.547	sty
pillage	disgust	0.547	apiplėšimas
thief	disgust	0.547	vagis
suffocating	disgust	0.547	dusinantis
condemnation	disgust	0.547	pasmerkimą
deleterious	disgust	0.547	žalingas
slur	disgust	0.547	šlamštas
purgatory	disgust	0.547	skaistykla
attacking	disgust	0.547	puola
burglar	disgust	0.547	įsilaužėlis
ogre	disgust	0.547	ogre
coercion	disgust	0.547	prievarta
vesicular	disgust	0.547	vezikulinis
miserable	disgust	0.547	apgailėtinas
bitterly	disgust	0.547	karčiai
sneer	disgust	0.539	pašaipiai
greedy	disgust	0.539	gobšus
gob	disgust	0.539	gob
repellant	disgust	0.539	repelentas
jealous	disgust	0.539	pavydus
drunken	disgust	0.539	girtas
shame	disgust	0.539	gėda
thrash	disgust	0.539	thrash
fatty	disgust	0.539	riebus
liar	disgust	0.539	melagis
imprisoned	disgust	0.539	įkalintas
sloth	disgust	0.539	tinginys
repudiation	disgust	0.539	atsisakymas
disgrace	disgust	0.539	gėda
infidelity	disgust	0.539	neištikimybė
pig	disgust	0.539	kiaulė
lethal	disgust	0.536	mirtinas
burnt	disgust	0.531	apdegė
brawl	disgust	0.531	muštynės
withered	disgust	0.531	nudžiūvo
blemish	disgust	0.531	dėmė
hydrocephalus	disgust	0.531	hidrocefalija
aberration	disgust	0.531	aberacija
smuggler	disgust	0.531	kontrabandininkas
painful	disgust	0.531	skausmingas
condescension	disgust	0.531	nuolaidumas
intolerant	disgust	0.531	netolerantiškas
blasphemous	disgust	0.531	šventvagiška
lying	disgust	0.531	meluoja
hanging	disgust	0.531	kabantis
travesty	disgust	0.531	travestija
ruined	disgust	0.531	sugriautas
intrusive	disgust	0.531	įkyrus
disintegrate	disgust	0.531	suirti
destructive	disgust	0.531	destruktyvus
neurotic	disgust	0.531	neurotiškas
disparaging	disgust	0.523	menkinantis
blighted	disgust	0.523	sugedęs
intolerance	disgust	0.523	netolerancija
mistress	disgust	0.523	meilužė
avarice	disgust	0.523	gobšumas
disgraced	disgust	0.523	sugėdintas
derogation	disgust	0.523	leidžianti nukrypti nuostata
rubbish	disgust	0.523	šiukšlės
accusation	disgust	0.523	kaltinimas
incarceration	disgust	0.523	įkalinimas
tortious	disgust	0.516	kankinantis
dishonor	disgust	0.516	negarbė
stink	disgust	0.516	smirdėti
grim	disgust	0.516	niūrūs
rob	disgust	0.516	apiplėšti
defraud	disgust	0.516	apgauti
sump	disgust	0.516	karteris
cringe	disgust	0.516	susiraukti
vulture	disgust	0.516	grifas
deplorable	disgust	0.516	apgailėtinas
mite	disgust	0.516	erkė
eradication	disgust	0.516	išnaikinimas
degrade	disgust	0.516	degraduoti
gutter	disgust	0.516	latakas
convict	disgust	0.516	nuteistasis
remains	disgust	0.516	lieka
betray	disgust	0.516	išduoti
daemon	disgust	0.516	demonas
sham	disgust	0.509	apgaulė
distasteful	disgust	0.508	neskanus
prisoner	disgust	0.508	kalinys
dreadfully	disgust	0.508	siaubingai
worthless	disgust	0.508	bevertis
crude	disgust	0.508	neapdorotas
delirium	disgust	0.508	delyras
incurable	disgust	0.508	nepagydomas
smelling	disgust	0.508	kvepiantis
idiocy	disgust	0.508	idiotizmas
resentment	disgust	0.508	apmaudas
bombed	disgust	0.508	subombarduotas
blob	disgust	0.508	dėmė
cheat	disgust	0.508	apgauti
schizophrenia	disgust	0.508	šizofrenija
rejection	disgust	0.508	atmetimas
belittle	disgust	0.508	menkinti
glut	disgust	0.508	perteklius
disaster	disgust	0.508	nelaimė
distress	disgust	0.508	kančia
pest	disgust	0.508	kenkėjas
endemic	disgust	0.508	endeminis
theft	disgust	0.500	vagystė
banish	disgust	0.500	ištremti
mire	disgust	0.500	purvas
flagrant	disgust	0.500	šlykštus
derision	disgust	0.500	pasityčiojimas
dirt	disgust	0.500	purvas
screaming	disgust	0.500	rėkdamas
offense	disgust	0.500	nusikaltimas
jealousy	disgust	0.500	pavydas
bribery	disgust	0.500	kyšininkavimas
polemic	disgust	0.500	polemika
blight	disgust	0.500	maras
impeach	disgust	0.500	apkaltą
bitterness	disgust	0.500	kartumas
taboo	disgust	0.500	tabu
duress	disgust	0.500	prievarta
goblin	disgust	0.500	goblinas
shackle	disgust	0.500	pančius
idolatry	disgust	0.500	stabmeldystė
greed	disgust	0.500	godumas
impurity	disgust	0.500	priemaiša
tirade	disgust	0.500	tirada
idiot	disgust	0.492	idiotas
boil	disgust	0.492	virti
unconscionable	disgust	0.492	nesąžininga
disreputable	disgust	0.492	nepalankios reputacijos
robber	disgust	0.492	plėšikas
malign	disgust	0.492	piktybinis
wreck	disgust	0.492	nuolaužos
recession	disgust	0.492	nuosmukis
gorge	disgust	0.492	tarpeklis
leer	disgust	0.492	laiškas
ill	disgust	0.492	nesveikas
squirm	disgust	0.492	svirduliuoti
raging	disgust	0.484	siautėjantis
servile	disgust	0.484	vergiškas
mess	disgust	0.484	netvarka
nappy	disgust	0.484	vystyklai
possessed	disgust	0.484	apsėstas
unbearable	disgust	0.484	nepakeliamas
occult	disgust	0.484	okultinis
contraband	disgust	0.484	kontrabanda
snarl	disgust	0.484	niurzgėti
mutiny	disgust	0.484	maištas
mad	disgust	0.484	piktas
affliction	disgust	0.484	vargas
