English Word	Emotion	Emotion-Intensity-Score	Azerbaijani Word
neighborhood	anticipation	0.266	məhəllə
lull	anticipation	0.266	susmaq
bye	anticipation	0.258	sağol
weight	anticipation	0.258	çəki
organ	anticipation	0.250	orqan
clown	anticipation	0.250	təlxək
forearm	anticipation	0.250	ön kol
commonplace	anticipation	0.242	adi
quote	anticipation	0.242	sitat
rail	anticipation	0.234	dəmir yolu
dictatorship	anticipation	0.234	diktatura
treadmill	anticipation	0.234	qaçış yolu
board	anticipation	0.234	lövhə
tree	anticipation	0.227	ağac
sundial	anticipation	0.227	günəş saatı
paralysis	anticipation	0.211	iflic
cement	anticipation	0.203	sement
worm	anticipation	0.203	qurd
organization	anticipation	0.203	təşkilat
lagging	anticipation	0.180	geriləmə
neutral	anticipation	0.148	neytral
cannibalism	disgust	0.953	kannibalizm
mutilation	disgust	0.930	şikəstlik
molestation	disgust	0.914	təcavüz
incest	disgust	0.914	insest
rape	disgust	0.906	zorlama
gonorrhea	disgust	0.906	qonoreya
cannibal	disgust	0.898	adamyeyən
rot	disgust	0.891	çürük
corpse	disgust	0.883	cəsəd
massacre	disgust	0.883	qırğın
excrement	disgust	0.883	nəcis
barf	disgust	0.875	barf
slaughter	disgust	0.875	qırğın
slaughterhouse	disgust	0.867	kəsimxana
incestuous	disgust	0.859	qohumluq
sewerage	disgust	0.859	kanalizasiya
filth	disgust	0.859	murdarlıq
bigot	disgust	0.859	fanat
rancid	disgust	0.859	qoxulu
infestation	disgust	0.852	invaziya
plague	disgust	0.852	vəba
holocaust	disgust	0.852	holokost
bloodthirsty	disgust	0.852	qaniçən
rotting	disgust	0.844	çürüyən
fecal	disgust	0.844	nəcis
maggot	disgust	0.844	qurd
feces	disgust	0.844	nəcis
murder	disgust	0.839	qətl
asshole	disgust	0.836	göt
homicide	disgust	0.836	cinayət
enslaved	disgust	0.836	əsarət altına alındı
infanticide	disgust	0.836	körpə qətli
perverted	disgust	0.828	azğın
excretion	disgust	0.828	ifrazat
gore	disgust	0.828	qan
slaughtering	disgust	0.828	kəsim
torture	disgust	0.828	işgəncə
contaminate	disgust	0.821	çirkləndirmək
revolting	disgust	0.820	üsyankar
gory	disgust	0.820	qanlı
shit	disgust	0.820	bok
terrorist	disgust	0.820	terrorçu
murderer	disgust	0.820	qatil
repugnant	disgust	0.820	iyrənc
manure	disgust	0.820	peyin
pervert	disgust	0.820	pozğun
diarrhoea	disgust	0.820	ishal
grotesque	disgust	0.820	qrotesk
desecration	disgust	0.820	təhqir
faeces	disgust	0.812	nəcis
slavery	disgust	0.812	köləlik
sewer	disgust	0.812	kanalizasiya
cadaver	disgust	0.812	kadavra
manslaughter	disgust	0.812	adam öldürmə
dismemberment	disgust	0.812	parçalanma
vomit	disgust	0.812	Qusma
perverse	disgust	0.805	azğın
repulsive	disgust	0.805	iyrənc
hemorrhage	disgust	0.805	qanaxma
sewage	disgust	0.797	kanalizasiya
filthy	disgust	0.797	çirkli
diseased	disgust	0.797	xəstə
depravity	disgust	0.797	pozğunluq
carcass	disgust	0.795	karkas
decompose	disgust	0.789	parçalamaq
gruesome	disgust	0.789	dəhşətli
mutilated	disgust	0.789	şikəst
puke	disgust	0.789	qusmaq
herpes	disgust	0.789	herpes
decayed	disgust	0.789	çürümüş
dung	disgust	0.789	peyin
vermin	disgust	0.789	həşərat
murderous	disgust	0.789	qatil
parasite	disgust	0.789	parazit
horrific	disgust	0.789	dəhşətli
carnage	disgust	0.781	qırğın
malaria	disgust	0.781	malyariya
slime	disgust	0.781	lil
flatulence	disgust	0.781	meteorizm
pestilence	disgust	0.781	vəba
crap	disgust	0.781	axmaq
monstrosity	disgust	0.781	vəhşilik
loathsome	disgust	0.773	iyrənc
toxic	disgust	0.773	Toksik
morgue	disgust	0.773	meyitxana
pus	disgust	0.773	irin
herpesvirus	disgust	0.773	herpes virusu
leprosy	disgust	0.773	cüzam
insidious	disgust	0.773	məkrli
cruel	disgust	0.766	qəddar
regurgitation	disgust	0.766	regurgitasiya
anthrax	disgust	0.766	qarayara
xenophobia	disgust	0.766	ksenofobiya
repugnance	disgust	0.766	iyrənclik
lynch	disgust	0.766	linç
revulsion	disgust	0.766	nifrət
whore	disgust	0.766	fahişə
dissection	disgust	0.759	parçalanma
mucous	disgust	0.758	selikli
canker	disgust	0.758	xərçəng
slum	disgust	0.758	gecəqondu
infectious	disgust	0.758	yoluxucu
evil	disgust	0.758	pis
phlegm	disgust	0.758	bəlğəm
cruelty	disgust	0.758	qəddarlıq
perversion	disgust	0.758	pozğunluq
sinister	disgust	0.750	pis
leeches	disgust	0.750	zəlilər
corrupting	disgust	0.750	korlayan
decomposition	disgust	0.750	parçalanma
abomination	disgust	0.742	iyrənclik
stinking	disgust	0.742	qoxuyan
bile	disgust	0.742	öd
demonic	disgust	0.742	şeytan
deranged	disgust	0.742	pozulmuş
abhorrence	disgust	0.742	nifrət
soiled	disgust	0.742	çirklənmiş
mucus	disgust	0.742	selik
septic	disgust	0.742	septik
sickening	disgust	0.742	xəstələndirici
demon	disgust	0.742	Şeytan
cancer	disgust	0.734	xərçəng
obese	disgust	0.734	şişman
degeneracy	disgust	0.734	degenerasiya
despicable	disgust	0.734	alçaq
atrocity	disgust	0.734	vəhşilik
foul	disgust	0.734	faul
sicken	disgust	0.734	xəstələnmək
crucifixion	disgust	0.734	çarmıxa çəkilmə
terrorism	disgust	0.734	terrorizm
repulsion	disgust	0.727	itələmə
morbidity	disgust	0.727	xəstələnmə
dysentery	disgust	0.727	dizenteriya
enema	disgust	0.727	lavman
bacterium	disgust	0.727	bakteriya
dirty	disgust	0.727	çirkli
adultery	disgust	0.727	zina
contamination	disgust	0.727	çirklənmə
grisly	disgust	0.727	qorxunc
diabolical	disgust	0.727	şeytani
autopsy	disgust	0.719	yarılma
barbaric	disgust	0.719	barbar
vulgar	disgust	0.719	vulqar
entrails	disgust	0.719	bağırsaqlar
disgust	disgust	0.719	ikrah
lewd	disgust	0.719	əxlaqsız
muck	disgust	0.719	axmaq
bowels	disgust	0.719	bağırsaqlar
garbage	disgust	0.719	zibil
deterioration	disgust	0.719	pisləşməsi
contagion	disgust	0.719	yoluxma
vicious	disgust	0.719	qəddar
disfigured	disgust	0.719	eybəcərləşdi
pungent	disgust	0.719	kəskin
gross	disgust	0.719	kobud
bloodshed	disgust	0.714	qan tökülməsi
gag	disgust	0.711	tıxac
pollute	disgust	0.711	çirkləndirmək
nausea	disgust	0.711	ürəkbulanma
tyrant	disgust	0.711	tiran
wretched	disgust	0.711	yazıq
mortification	disgust	0.711	inciklik
violent	disgust	0.711	şiddətli
poisoned	disgust	0.711	zəhərləndi
nauseate	disgust	0.703	ürəkbulanma
slimy	disgust	0.703	selikli
grope	disgust	0.703	ovlamaq
slut	disgust	0.703	fahişə
nasty	disgust	0.703	pis
disgusting	disgust	0.703	iyrənc
depraved	disgust	0.703	pozğun
porn	disgust	0.703	porno
hateful	disgust	0.703	nifrət dolu
vulgarity	disgust	0.703	vulqarlıq
noxious	disgust	0.703	zərərli
grime	disgust	0.703	kir
constipation	disgust	0.703	qəbizlik
secretion	disgust	0.703	sekresiya
poisoning	disgust	0.703	zəhərlənmə
despotism	disgust	0.703	despotizm
measles	disgust	0.696	qızılca
contagious	disgust	0.695	yoluxucu
obesity	disgust	0.695	piylənmə
wart	disgust	0.695	ziyil
hate	disgust	0.695	nifrət
hellish	disgust	0.695	cəhənnəm
scum	disgust	0.695	pis
suicidal	disgust	0.695	intihara meylli
wretch	disgust	0.695	yazıq
abuse	disgust	0.695	sui-istifadə
waste	disgust	0.695	tullantı
intestinal	disgust	0.695	bağırsaq
heartworm	disgust	0.688	ürək qurdu
ooze	disgust	0.688	sızma
treason	disgust	0.688	xəyanət
contaminated	disgust	0.688	çirklənmiş
smut	disgust	0.688	pis
disease	disgust	0.688	xəstəlik
rabid	disgust	0.688	quduz
deformed	disgust	0.680	deformasiyaya uğramışdır
hell	disgust	0.680	cəhənnəm
soulless	disgust	0.680	ruhsuz
cholera	disgust	0.680	vəba
bestial	disgust	0.680	heyvani
antichrist	disgust	0.680	dəccal
freakish	disgust	0.680	qəribə
germ	disgust	0.680	mikrob
detest	disgust	0.680	nifrət
pollution	disgust	0.680	çirklənmə
grimy	disgust	0.680	kirli
abhorrent	disgust	0.680	iyrənc
hatred	disgust	0.680	nifrət
abominate	disgust	0.680	iyrənc
sickness	disgust	0.680	xəstəlik
hideous	disgust	0.672	iyrənc
dictatorship	disgust	0.672	diktatura
loathful	disgust	0.672	iyrənc
greasy	disgust	0.672	yağlı
dilapidated	disgust	0.672	xarab olub
inhuman	disgust	0.672	qeyri-insani
loathing	disgust	0.672	nifrət
obscene	disgust	0.672	ədəbsiz
cess	disgust	0.670	cess
devil	disgust	0.664	şeytan
deformity	disgust	0.664	deformasiya
nauseous	disgust	0.664	ürək bulanması
deadly	disgust	0.664	ölümcül
swine	disgust	0.664	donuz
discrimination	disgust	0.664	ayrı-seçkilik
abominable	disgust	0.664	iyrənc
masochism	disgust	0.664	mazoxizm
heretic	disgust	0.664	bidətçi
latrines	disgust	0.656	tualetlər
corruption	disgust	0.656	korrupsiya
poisonous	disgust	0.656	zəhərli
horror	disgust	0.656	dəhşət
nefarious	disgust	0.656	mənfur
bacteria	disgust	0.656	bakteriya
horrible	disgust	0.656	dəhşətli
trash	disgust	0.656	zibil
abortion	disgust	0.656	abort
death	disgust	0.656	ölüm
prejudiced	disgust	0.656	qərəzli
poison	disgust	0.656	zəhər
oppression	disgust	0.656	zülm
goo	disgust	0.656	goo
victimized	disgust	0.656	qurban
mange	disgust	0.656	qotur
sludge	disgust	0.648	çamur
trashy	disgust	0.648	zibil
vindictive	disgust	0.648	qisasçı
horrid	disgust	0.648	dəhşətli
ugly	disgust	0.648	çirkin
immoral	disgust	0.648	əxlaqsız
bitch	disgust	0.648	qancıq
outhouse	disgust	0.648	xaricdə
detestation	disgust	0.648	nifrət
horrifying	disgust	0.641	dəhşətli
laxative	disgust	0.641	laksatif
unsightly	disgust	0.641	yaramaz
derogatory	disgust	0.641	alçaldıcı
slop	disgust	0.641	yamac
malfeasance	disgust	0.641	sui-istifadə
spew	disgust	0.641	püskürtmək
pimple	disgust	0.641	sızanaq
criminality	disgust	0.641	cinayətkarlıq
indecency	disgust	0.641	ədəbsizlik
cystic	disgust	0.641	kistik
villainous	disgust	0.641	əclaf
queasy	disgust	0.633	halsız
mildew	disgust	0.633	kif
oppressive	disgust	0.633	zülmkar
prostitution	disgust	0.633	fahişəlik
secrete	disgust	0.633	ifraz etmək
ulcer	disgust	0.633	xora
rat	disgust	0.633	siçovul
bigoted	disgust	0.633	fanat
perpetrator	disgust	0.633	cinayətkar
doomsday	disgust	0.633	qiyamət
sinful	disgust	0.633	günahkar
degrading	disgust	0.625	alçaldıcı
ghastly	disgust	0.625	dəhşətli
suffering	disgust	0.625	əziyyət
obscenity	disgust	0.625	ədəbsizlik
devilish	disgust	0.625	şeytan
disgraceful	disgust	0.625	biabırçı
persecution	disgust	0.625	təqib
contemptible	disgust	0.625	alçaldıcı
cuckold	disgust	0.625	boynuzlu
stools	disgust	0.625	nəcis
dastardly	disgust	0.625	qorxaqcasına
sin	disgust	0.625	günah
gluttony	disgust	0.625	acgözlük
bloated	disgust	0.625	şişmiş
fungus	disgust	0.625	göbələk
aghast	disgust	0.625	hirsli
diaper	disgust	0.617	uşaq bezi
malicious	disgust	0.617	pis niyyətli
polygamy	disgust	0.617	çoxarvadlılıq
dying	disgust	0.617	ölür
termite	disgust	0.617	termit
fat	disgust	0.617	yağ
deceit	disgust	0.617	hiylə
atrocious	disgust	0.617	vəhşi
guillotine	disgust	0.617	gilyotin
tetanus	disgust	0.617	tetanoz
spoil	disgust	0.617	korlamaq
crusty	disgust	0.617	qabıqlı
sickly	disgust	0.617	xəstə
louse	disgust	0.617	bit
strangle	disgust	0.617	boğmaq
betrayal	disgust	0.617	xəyanət
loathe	disgust	0.617	nifrət etmək
wench	disgust	0.617	cadugər
infect	disgust	0.617	yoluxdurmaq
violently	disgust	0.609	şiddətlə
brothel	disgust	0.609	fahişəxana
drool	disgust	0.609	axmaq
bleeding	disgust	0.609	qanaxma
deform	disgust	0.609	deformasiya etmək
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	təxribat
venomous	disgust	0.609	zəhərli
abhor	disgust	0.609	nifrət etmək
slander	disgust	0.609	böhtan
hostile	disgust	0.609	düşmən
musty	disgust	0.602	kif
illicit	disgust	0.602	qanunsuz
ugliness	disgust	0.602	çirkinlik
unwashed	disgust	0.602	yuyulmamış
swampy	disgust	0.602	bataqlıq
deprivation	disgust	0.602	məhrumiyyət
poaching	disgust	0.602	brakonyerlik
hag	disgust	0.602	cadugər
infidel	disgust	0.602	kafir
imprisonment	disgust	0.602	həbs
traitor	disgust	0.602	satqın
lunacy	disgust	0.602	dəlilik
queasiness	disgust	0.594	halsızlıq
hostility	disgust	0.594	düşmənçilik
repelling	disgust	0.594	dəf edən
intoxicated	disgust	0.594	sərxoş
thug	disgust	0.594	quldur
catastrophe	disgust	0.594	fəlakət
lunatic	disgust	0.594	dəli
misery	disgust	0.594	səfalət
venom	disgust	0.594	zəhər
butcher	disgust	0.594	qəssab
toilet	disgust	0.594	tualet
blister	disgust	0.594	blister
lurid	disgust	0.594	qorxulu
slug	disgust	0.594	ilbiz
gut	disgust	0.594	bağırsaq
sinner	disgust	0.594	günahkar
deceitful	disgust	0.594	aldadıcı
epidemic	disgust	0.594	epidemiya
deteriorated	disgust	0.586	pisləşdi
lavatory	disgust	0.586	tualet
unclean	disgust	0.586	natəmiz
prostitute	disgust	0.586	fahişə
incubus	disgust	0.586	inkubus
appalling	disgust	0.586	dəhşətli
dreadful	disgust	0.586	qorxulu
pornography	disgust	0.586	pornoqrafiya
harass	disgust	0.586	bezdirmək
squeamish	disgust	0.578	cılız
expulsion	disgust	0.578	qovulma
unfaithful	disgust	0.578	vəfasız
offensive	disgust	0.578	hücumçu
hypocrite	disgust	0.578	ikiüzlü
humiliating	disgust	0.578	alçaldıcı
larceny	disgust	0.578	oğurluq
ruinous	disgust	0.578	xaraba
retard	disgust	0.578	ləngimək
rash	disgust	0.578	səfeh
flea	disgust	0.578	birə
debauchery	disgust	0.578	pozğunluq
fiend	disgust	0.578	şeytan
quagmire	disgust	0.578	bataqlıq
conspirator	disgust	0.578	sui-qəsdçi
sick	disgust	0.578	xəstə
mangle	disgust	0.578	manqurt
dogsick	disgust	0.570	it xəstəsi
egregious	disgust	0.570	dəhşətli
flog	disgust	0.570	şallaq
despise	disgust	0.570	xorlamaq
treacherous	disgust	0.570	xain
oppress	disgust	0.570	zülm etmək
swamp	disgust	0.570	bataqlıq
messy	disgust	0.570	dağınıq
spit	disgust	0.570	tüpürmək
dank	disgust	0.570	rütubətli
bastard	disgust	0.570	piç
devastating	disgust	0.570	dağıdıcı
serpent	disgust	0.570	ilan
loo	disgust	0.562	tualet
indecent	disgust	0.562	nalayiq
insanity	disgust	0.562	dəlilik
stealing	disgust	0.562	oğurluq
terrible	disgust	0.562	dəhşətli
tyrannical	disgust	0.562	tiran
humiliation	disgust	0.562	alçaldılma
snake	disgust	0.562	ilan
sloppy	disgust	0.562	səliqəsiz
sinning	disgust	0.562	günah etmək
harmful	disgust	0.562	zərərli
harlot	disgust	0.562	fahişə
sordid	disgust	0.562	pis
enemy	disgust	0.562	düşmən
alcoholism	disgust	0.562	alkoqolizm
awful	disgust	0.562	dəhşətli
ruthless	disgust	0.562	amansız
scoundrel	disgust	0.562	əclaf
bloody	disgust	0.555	qanlı
flabby	disgust	0.555	yaltaq
odious	disgust	0.555	iyrənc
beastly	disgust	0.555	vəhşicəsinə
collusion	disgust	0.555	sövdələşmə
ridicule	disgust	0.555	istehza
discriminating	disgust	0.555	ayrı-seçkilik
unattractive	disgust	0.555	cəlbedici deyil
insufferable	disgust	0.555	dözülməz
segregate	disgust	0.555	ayırmaq
arsenic	disgust	0.555	arsen
threatening	disgust	0.555	təhdid edən
atrophy	disgust	0.555	atrofiya
varicella	disgust	0.555	suçiçəyi
slayer	disgust	0.555	qatil
distaste	disgust	0.555	iyrənclik
coward	disgust	0.555	qorxaq
robbery	disgust	0.555	soyğunçuluq
wickedness	disgust	0.555	pislik
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	bədxah
sty	disgust	0.547	arpacık
pillage	disgust	0.547	talan
thief	disgust	0.547	oğru
suffocating	disgust	0.547	boğucu
condemnation	disgust	0.547	qınama
deleterious	disgust	0.547	zərərli
slur	disgust	0.547	qaralama
purgatory	disgust	0.547	təmizləyici
attacking	disgust	0.547	hücum edir
burglar	disgust	0.547	soyğunçu
ogre	disgust	0.547	div
coercion	disgust	0.547	məcburiyyət
vesicular	disgust	0.547	vezikulyar
miserable	disgust	0.547	bədbəxt
bitterly	disgust	0.547	acı
sneer	disgust	0.539	istehza
greedy	disgust	0.539	acgöz
gob	disgust	0.539	gob
repellant	disgust	0.539	itələyici
jealous	disgust	0.539	qısqanc
drunken	disgust	0.539	sərxoş
shame	disgust	0.539	ayıb
thrash	disgust	0.539	döymək
fatty	disgust	0.539	yağlı
liar	disgust	0.539	yalançı
imprisoned	disgust	0.539	həbs edildi
sloth	disgust	0.539	tənbəllik
repudiation	disgust	0.539	inkar
disgrace	disgust	0.539	biabırçılıq
infidelity	disgust	0.539	vəfasızlıq
pig	disgust	0.539	donuz
lethal	disgust	0.536	öldürücü
burnt	disgust	0.531	yandı
brawl	disgust	0.531	dava
withered	disgust	0.531	qurudu
blemish	disgust	0.531	ləkə
hydrocephalus	disgust	0.531	hidrosefali
aberration	disgust	0.531	aberasiya
smuggler	disgust	0.531	qaçaqmalçı
painful	disgust	0.531	ağrılı
condescension	disgust	0.531	təvazökarlıq
intolerant	disgust	0.531	dözümsüz
blasphemous	disgust	0.531	küfr edən
lying	disgust	0.531	yalan
hanging	disgust	0.531	asmaq
travesty	disgust	0.531	travesti
ruined	disgust	0.531	dağılmış
intrusive	disgust	0.531	müdaxilə
disintegrate	disgust	0.531	parçalanmaq
destructive	disgust	0.531	dağıdıcı
neurotic	disgust	0.531	nevrotik
disparaging	disgust	0.523	aşağılayan
blighted	disgust	0.523	bədbəxt
intolerance	disgust	0.523	dözümsüzlük
mistress	disgust	0.523	xanım
avarice	disgust	0.523	xəsislik
disgraced	disgust	0.523	rüsvay oldu
derogation	disgust	0.523	istisna
rubbish	disgust	0.523	zibil
accusation	disgust	0.523	ittiham
incarceration	disgust	0.523	həbs
tortious	disgust	0.516	əzablı
dishonor	disgust	0.516	şərəfsizlik
stink	disgust	0.516	üfunət
grim	disgust	0.516	əzazil
rob	disgust	0.516	soymaq
defraud	disgust	0.516	aldatmaq
sump	disgust	0.516	çəngəl
cringe	disgust	0.516	büzülmək
vulture	disgust	0.516	qarğa
deplorable	disgust	0.516	acınacaqlı
mite	disgust	0.516	gənə
eradication	disgust	0.516	aradan qaldırılması
degrade	disgust	0.516	alçaltmaq
gutter	disgust	0.516	oluk
convict	disgust	0.516	məhkum
remains	disgust	0.516	qalır
betray	disgust	0.516	xəyanət etmək
daemon	disgust	0.516	demon
sham	disgust	0.509	saxta
distasteful	disgust	0.508	zövqsüz
prisoner	disgust	0.508	məhbus
dreadfully	disgust	0.508	qorxunc
worthless	disgust	0.508	dəyərsiz
crude	disgust	0.508	xam
delirium	disgust	0.508	delirium
incurable	disgust	0.508	sağalmaz
smelling	disgust	0.508	qoxulu
idiocy	disgust	0.508	axmaqlıq
resentment	disgust	0.508	inciklik
bombed	disgust	0.508	bombalandı
blob	disgust	0.508	damla
cheat	disgust	0.508	aldatmaq
schizophrenia	disgust	0.508	şizofreniya
rejection	disgust	0.508	imtina
belittle	disgust	0.508	alçaltmaq
glut	disgust	0.508	aclıq
disaster	disgust	0.508	fəlakət
distress	disgust	0.508	sıxıntı
pest	disgust	0.508	zərərverici
endemic	disgust	0.508	endemik
theft	disgust	0.500	oğurluq
banish	disgust	0.500	qovmaq
mire	disgust	0.500	bataqlıq
flagrant	disgust	0.500	açıq-saçıq
derision	disgust	0.500	istehza
dirt	disgust	0.500	kir
screaming	disgust	0.500	qışqıraraq
offense	disgust	0.500	cinayət
jealousy	disgust	0.500	qısqanclıq
bribery	disgust	0.500	rüşvətxorluq
polemic	disgust	0.500	polemik
blight	disgust	0.500	pislik
impeach	disgust	0.500	impiçment
bitterness	disgust	0.500	acılıq
taboo	disgust	0.500	tabu
duress	disgust	0.500	məcbur etmək
goblin	disgust	0.500	goblin
shackle	disgust	0.500	qandal
idolatry	disgust	0.500	bütpərəstlik
greed	disgust	0.500	acgözlük
impurity	disgust	0.500	murdarlıq
tirade	disgust	0.500	tirad
idiot	disgust	0.492	axmaq
boil	disgust	0.492	Qaynamaq
unconscionable	disgust	0.492	vicdansız
disreputable	disgust	0.492	nüfuzsuz
robber	disgust	0.492	quldur
malign	disgust	0.492	bədxassəli
wreck	disgust	0.492	qəza
recession	disgust	0.492	tənəzzül
gorge	disgust	0.492	dərə
leer	disgust	0.492	laqeyd
ill	disgust	0.492	xəstə
squirm	disgust	0.492	qıvrılmaq
raging	disgust	0.484	qəzəbli
servile	disgust	0.484	qulluqçu
mess	disgust	0.484	qarışıqlıq
nappy	disgust	0.484	uşaq bezi
possessed	disgust	0.484	sahib oldu
unbearable	disgust	0.484	dözülməz
occult	disgust	0.484	gizli
contraband	disgust	0.484	qaçaqmalçılıq
snarl	disgust	0.484	qışqırmaq
mutiny	disgust	0.484	qiyam
mad	disgust	0.484	dəli
affliction	disgust	0.484	əziyyət
stain	disgust	0.484	ləkə
animosity	disgust	0.484	düşmənçilik
contempt	disgust	0.484	hörmətsizlik
tramp	disgust	0.484	avara
nepotism	disgust	0.484	qohumbazlıq
disrespectful	disgust	0.484	hörmətsiz
defamation	disgust	0.484	böhtan
inexcusable	disgust	0.484	bağışlanmaz
aversation	disgust	0.484	ikrah
wasteful	disgust	0.484	israfçı
offender	disgust	0.484	cinayətkar
subjugation	disgust	0.484	tabeçilik
illegality	disgust	0.477	qanunsuzluq
dismal	disgust	0.477	məyus
criminal	disgust	0.477	cinayətkar
unpleasant	disgust	0.477	xoşagəlməz
palsy	disgust	0.477	iflic
antagonistic	disgust	0.477	antaqonist
pathetic	disgust	0.477	acınacaqlı
uncaring	disgust	0.477	qayğısız
suppression	disgust	0.477	bastırma
immorality	disgust	0.477	əxlaqsızlıq
mockery	disgust	0.477	istehza
outrage	disgust	0.469	qəzəb
mocking	disgust	0.469	istehza
wallow	disgust	0.469	yelləmək
cough	disgust	0.469	öskürək
arrogant	disgust	0.469	təkəbbürlü
angry	disgust	0.469	qəzəbli
poverty	disgust	0.469	yoxsulluq
grating	disgust	0.469	ızgara
livid	disgust	0.469	cansıxıcı
aggravation	disgust	0.469	ağırlaşma
repellent	disgust	0.469	kovucu
perspiration	disgust	0.469	tərləmə
banishment	disgust	0.469	sürgün
furious	disgust	0.469	qəzəbli
shoddy	disgust	0.469	keyfiyyətsiz
banshee	disgust	0.469	banshee
deceive	disgust	0.461	aldatmaq
fool	disgust	0.461	axmaq
quack	disgust	0.461	şarlatan
distorted	disgust	0.461	təhrif edilmişdir
spider	disgust	0.461	hörümçək
unjustifiable	disgust	0.461	əsassız
deplore	disgust	0.461	təəssüflənmək
spurious	disgust	0.461	saxta
perdition	disgust	0.461	məhv olmaq
muddy	disgust	0.461	palçıqlı
fraudulent	disgust	0.461	saxtakar
scar	disgust	0.461	çapıq
prick	disgust	0.461	bizləmək
insulting	disgust	0.461	təhqir edən
plunder	disgust	0.461	talan etmək
recklessness	disgust	0.461	ehtiyatsızlıq
stigma	disgust	0.453	stiqma
disparage	disgust	0.453	aşağılamaq
unthinkable	disgust	0.453	ağlasığmaz
disingenuous	disgust	0.453	vicdansız
bane	disgust	0.453	bəla
dishonest	disgust	0.453	vicdansız
aphid	disgust	0.453	aphid
elimination	disgust	0.453	aradan qaldırılması
cur	disgust	0.453	cur
selfish	disgust	0.453	eqoist
eschew	disgust	0.453	qaçmaq
dire	disgust	0.453	dəhşətli
indignation	disgust	0.453	qəzəb
antipathy	disgust	0.453	antipatiya
alienate	disgust	0.453	özgələşdirmək
mosquito	disgust	0.445	ağcaqanad
piles	disgust	0.445	qalaqlar
pious	disgust	0.445	dindar
lie	disgust	0.445	yalan
opium	disgust	0.445	tiryək
smell	disgust	0.445	qoxu
iniquity	disgust	0.445	haqsızlıq
caries	disgust	0.445	kariyes
despair	disgust	0.445	ümidsizlik
recalcitrant	disgust	0.445	inadkar
egotistical	disgust	0.445	eqoist
wasted	disgust	0.445	boşa çıxdı
vacuous	disgust	0.445	boş
bankruptcy	disgust	0.445	iflas
garish	disgust	0.445	qəşəng
obnoxious	disgust	0.438	iyrənc
ashamed	disgust	0.438	utandım
abject	disgust	0.438	alçaq
sticky	disgust	0.438	yapışqan
scream	disgust	0.438	qışqırmaq
hopelessness	disgust	0.438	ümidsizlik
homeless	disgust	0.438	evsiz
shun	disgust	0.438	çəkinmək
inmate	disgust	0.438	məhbus
alien	disgust	0.438	yadplanetli
hog	disgust	0.438	donuz
aversion	disgust	0.438	ikrah
abnormal	disgust	0.438	anormal
cursing	disgust	0.430	qarğış
undesirable	disgust	0.430	arzuolunmaz
denounce	disgust	0.430	qınamaq
witch	disgust	0.430	ifritə
creature	disgust	0.430	məxluq
lusty	disgust	0.430	şəhvətli
illegal	disgust	0.430	qanunsuz
debris	disgust	0.430	dağıntı
callous	disgust	0.430	qəddar
reflux	disgust	0.430	reflü
adverse	disgust	0.430	mənfi
shameless	disgust	0.430	utanmaz
separatist	disgust	0.430	separatçı
trickery	disgust	0.430	hiylə
falsity	disgust	0.430	saxtakarlıq
pall	disgust	0.430	solğun
defiance	disgust	0.430	itaətsizlik
incredulous	disgust	0.430	inanılmaz
curse	disgust	0.430	lənət
pompous	disgust	0.422	təmtəraqlı
socialist	disgust	0.422	sosialist
mistrust	disgust	0.422	inamsızlıq
infantile	disgust	0.422	uşaqlıq
wasting	disgust	0.422	israf
hairy	disgust	0.422	tüklü
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	danonsasiya
collapse	disgust	0.422	çökmək
untidy	disgust	0.422	səliqəsiz
ferocious	disgust	0.422	vəhşi
ammonia	disgust	0.422	ammonyak
carelessness	disgust	0.422	diqqətsizlik
impure	disgust	0.422	natəmiz
contentious	disgust	0.422	mübahisəli
bum	disgust	0.422	bum
affront	disgust	0.422	təhqir etmək
offend	disgust	0.422	incitmək
tarnish	disgust	0.422	ləkələmək
idiotic	disgust	0.422	axmaq
badness	disgust	0.422	pislik
delinquent	disgust	0.422	cinayətkar
swarm	disgust	0.422	sürü
hypertrophy	disgust	0.422	hipertrofiya
gush	disgust	0.422	fışqırmaq
tasteless	disgust	0.422	dadsız
bovine	disgust	0.422	iribuynuzlu
slush	disgust	0.422	lil
litigious	disgust	0.414	davalı
dishonesty	disgust	0.414	vicdansızlıq
vegetative	disgust	0.414	vegetativ
unfavorable	disgust	0.414	əlverişsiz
displacency	disgust	0.414	yerdəyişmə
illegitimate	disgust	0.414	qeyri-qanuni
sour	disgust	0.414	turş
socialism	disgust	0.414	sosializm
disobey	disgust	0.414	tabe olmamaq
drivel	disgust	0.414	sürmək
vampire	disgust	0.414	vampir
neglected	disgust	0.414	baxımsız
murky	disgust	0.414	bulanıq
ignorant	disgust	0.406	cahil
disgruntled	disgust	0.406	narazı
discontinuity	disgust	0.406	fasiləsizlik
dislike	disgust	0.406	bəyənməmək
unlawful	disgust	0.406	qanunsuz
wrongdoing	disgust	0.406	yanlışlıq
shoplifting	disgust	0.406	mağaza oğurluğu
recidivism	disgust	0.406	residiv
outcast	disgust	0.406	qovulmuş
bogus	disgust	0.406	saxta
displeasure	disgust	0.406	narazılıq
