English Word	Emotion	Emotion-Intensity-Score	Hawaiian Word
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	hoʻomaka
supremacy	anticipation	0.453	kūlana kiʻekiʻe
rehabilitation	anticipation	0.453	hoʻoponopono hou
intimately	anticipation	0.453	pili loa
career	anticipation	0.453	ʻoihana
prevention	anticipation	0.453	pale ʻana
renovate	anticipation	0.453	hana hou
compliment	anticipation	0.453	hoʻomaikaʻi
prologue	anticipation	0.453	olelo mua
elegance	anticipation	0.453	ka nani
complement	anticipation	0.453	hoʻokō
flinch	anticipation	0.453	wiliwili
infinity	anticipation	0.453	pau ʻole
perpetuity	anticipation	0.453	mau loa
sunset	anticipation	0.453	napoo ana o ka la
improve	anticipation	0.453	hoʻomaikaʻi
fitting	anticipation	0.445	kūpono
confidence	anticipation	0.445	hilinaʻi
concealment	anticipation	0.445	huna
sweet	anticipation	0.445	ʻono
perfect	anticipation	0.445	hemolele
epidemic	anticipation	0.445	ahulau
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	manawaleʻa
share	anticipation	0.445	kaʻana like
surround	anticipation	0.445	hoʻopuni
conjecture	anticipation	0.445	hoʻopaʻapaʻa
sun	anticipation	0.445	lā
veracity	anticipation	0.445	ʻoiaʻiʻo
serial	anticipation	0.438	serial
angel	anticipation	0.438	ʻānela
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	haipule
tickle	anticipation	0.438	ʻōniʻoniʻo
superstitious	anticipation	0.438	hoomanamana
ferment	anticipation	0.438	hoʻohuehu
conservation	anticipation	0.438	ka mālama ʻana
devout	anticipation	0.438	haipule
respect	anticipation	0.438	mahalo
reconstruction	anticipation	0.438	hana hou
goodness	anticipation	0.438	maikaʻi
reconstruct	anticipation	0.438	hana hou
faith	anticipation	0.438	ka manaoio
recombination	anticipation	0.438	hui hou
prepared	anticipation	0.438	hoomakaukauia
rabid	anticipation	0.438	huhū
plea	anticipation	0.438	hoʻopiʻi
medical	anticipation	0.438	lāʻau lapaʻau
passenger	anticipation	0.438	kaʻahele
charitable	anticipation	0.430	aloha
tabulate	anticipation	0.430	papa helu
peace	anticipation	0.430	maluhia
install	anticipation	0.430	hoʻokomo
serenity	anticipation	0.430	ʻoluʻolu
venerable	anticipation	0.430	hanohano
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	ʻoluʻolu
perpetuate	anticipation	0.430	hoʻomau
strategist	anticipation	0.430	mea hoʻolālā
unverified	anticipation	0.430	hōʻoia ʻole ʻia
tribunal	anticipation	0.430	ʻaha hoʻokolokolo
clap	anticipation	0.430	paʻipaʻi
peaceful	anticipation	0.422	maluhia
patience	anticipation	0.422	hoomanawanui
unresolved	anticipation	0.422	hoʻoholo ʻole ʻia
worship	anticipation	0.422	hoomana
edification	anticipation	0.422	hoʻonaʻauao
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	ʻakaʻaka
revere	anticipation	0.422	mahalo
candid	anticipation	0.422	pololei
vista	anticipation	0.422	hiʻohiʻona
conspirator	anticipation	0.422	mea kipi
adrift	anticipation	0.422	holo aku
recognizable	anticipation	0.422	ʻike ʻia
volatility	anticipation	0.422	volatility
forestall	anticipation	0.422	pale aku
laughter	anticipation	0.422	ʻakaʻaka
continue	anticipation	0.414	hoʻomau
ongoing	anticipation	0.414	e mau ana
astrologer	anticipation	0.414	kilo kilo
mediate	anticipation	0.414	uwao
punctual	anticipation	0.414	manawa manawa
grant	anticipation	0.414	hāʻawi
morn	anticipation	0.414	kakahiaka
pretty	anticipation	0.414	nani
withstand	anticipation	0.414	pale aku
frisky	anticipation	0.414	liʻiliʻi
thought	anticipation	0.414	manao
probation	anticipation	0.414	ka hoao ana
ordination	anticipation	0.414	ka poni ana
calls	anticipation	0.414	kelepona
detainee	anticipation	0.414	mea paʻa
craps	anticipation	0.414	pāpaʻi
weigh	anticipation	0.414	kaupaona
proficiency	anticipation	0.414	akamai
sing	anticipation	0.411	mele
continuation	anticipation	0.406	hoʻomau
university	anticipation	0.406	kulanui
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	hanai
mother	anticipation	0.406	makuahine
punished	anticipation	0.406	hoopaiia
twinkle	anticipation	0.406	ʻōlinolino
confession	anticipation	0.406	hai aku
outdo	anticipation	0.406	ma waho
prophylactic	anticipation	0.406	pale ʻana
proud	anticipation	0.406	haaheo
midwife	anticipation	0.406	pale keiki
wizard	anticipation	0.406	kupua
headlight	anticipation	0.406	kukui poʻo
long	anticipation	0.406	lōʻihi
banquet	anticipation	0.406	ahaaina
comfort	anticipation	0.406	hōʻoluʻolu
navigable	anticipation	0.406	hiki ke hoʻokele
subscribe	anticipation	0.406	kau inoa
opponent	anticipation	0.406	hoa paio
debenture	anticipation	0.406	hōʻaiʻē
deal	anticipation	0.402	ʻaelike
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	hemolele
judiciary	anticipation	0.398	luna hookolokolo
lettered	anticipation	0.398	palapala
vigil	anticipation	0.398	makaʻala
reliance	anticipation	0.398	hilinaʻi
distracting	anticipation	0.398	hoonanea
mortification	anticipation	0.398	hoʻomāʻewaʻewa
balm	anticipation	0.398	balsama
simmer	anticipation	0.398	hoʻomoʻa
top	anticipation	0.398	luna
obliging	anticipation	0.398	ʻo ka ʻae ʻana
efficient	anticipation	0.398	pono
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	e hoike ana
death	anticipation	0.398	make
assurance	anticipation	0.391	hōʻoiaʻiʻo
familiarity	anticipation	0.391	kamaʻāina
depraved	anticipation	0.391	ino
condemnation	anticipation	0.391	ka hoohewa ana
undoubted	anticipation	0.391	kanalua ole
sanctify	anticipation	0.391	e hoano
diplomacy	anticipation	0.391	diplomacy
antidote	anticipation	0.391	lāʻau lapaʻau
trust	anticipation	0.391	hilinaʻi
linger	anticipation	0.391	hoʻomau
objective	anticipation	0.391	pahuhopu
chuckle	anticipation	0.391	ʻakaʻaka
poke	anticipation	0.391	poke
abeyance	anticipation	0.391	hoʻohalahala
maternal	anticipation	0.391	makuahine
art	anticipation	0.391	noʻeau
unfulfilled	anticipation	0.391	hoʻokō ʻole ʻia
inoculation	anticipation	0.384	hoʻopaʻa ʻana
simplify	anticipation	0.383	hoʻomāmā
depend	anticipation	0.383	hilinaʻi
chant	anticipation	0.383	oli
ram	anticipation	0.383	hipa kāne
banger	anticipation	0.383	hoʻopaʻapaʻa
playground	anticipation	0.383	kahua pāʻani
labor	anticipation	0.383	hana
scientist	anticipation	0.383	ʻepekema
good	anticipation	0.383	maikaʻi loa
humanitarian	anticipation	0.383	kōkua kanaka
failing	anticipation	0.383	hāʻule
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	hana pono
hymn	anticipation	0.383	himeni
ship	anticipation	0.383	moku
discretion	anticipation	0.383	naauao
undecided	anticipation	0.383	manao ole
gradual	anticipation	0.375	mālie
navigator	anticipation	0.375	mea hoʻokele
track	anticipation	0.375	alahele
cradle	anticipation	0.375	moi
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	manawa
clock	anticipation	0.375	uaki
mountain	anticipation	0.375	mauna
interminable	anticipation	0.375	pau ole
public	anticipation	0.375	lehulehu
recurrent	anticipation	0.375	hou
savor	anticipation	0.375	ʻono
abide	anticipation	0.367	noho
concealed	anticipation	0.367	hunaia
spear	anticipation	0.367	ihe
lesson	anticipation	0.367	haʻawina
instructions	anticipation	0.367	kuhikuhi
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	ʻelua makahiki
convince	anticipation	0.367	e hoohuli
whim	anticipation	0.367	ʻimi
shiver	anticipation	0.367	haalulu
towering	anticipation	0.367	kiʻekiʻe
musical	anticipation	0.367	mele
offset	anticipation	0.359	offset
theory	anticipation	0.359	manaʻo
theology	anticipation	0.359	hoomanamana
undying	anticipation	0.359	make ole
timidity	anticipation	0.359	ka makaʻu
plump	anticipation	0.359	pulupulu
atone	anticipation	0.359	kalahala
audience	anticipation	0.357	anaina
dietary	anticipation	0.352	meaʻai
consecration	anticipation	0.352	ka hoolaa ana
localize	anticipation	0.352	localize
paragon	anticipation	0.352	hoʻohālike
store	anticipation	0.352	hale kūʻai
farm	anticipation	0.352	mahiʻai
daily	anticipation	0.352	i kēlā me kēia lā
cramp	anticipation	0.352	ʻūhā
nobility	anticipation	0.352	hanohano
closure	anticipation	0.352	pani ana
edition	anticipation	0.352	hoʻopuka
kindred	anticipation	0.352	ʻohana
stripped	anticipation	0.344	wehe ʻia
errand	anticipation	0.344	ʻoihana
archaeology	anticipation	0.344	kālaihonua
mutable	anticipation	0.344	hiki ke loli
wireless	anticipation	0.344	uwea ole
meditate	anticipation	0.344	e noonoo
mobile	anticipation	0.344	lawe lima
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	hoahanau
lessen	anticipation	0.336	hoemi
unbeaten	anticipation	0.336	lanakila ole
pare	anticipation	0.336	pare
buddy	anticipation	0.336	hoa
unaccountable	anticipation	0.336	ʻaʻole hiki ke hoʻopaʻa ʻia
dove	anticipation	0.328	manu nūnū
patient	anticipation	0.328	hoomanawanui
secular	anticipation	0.328	pili honua
digress	anticipation	0.328	kaawale
chastity	anticipation	0.328	ka maemae
council	anticipation	0.328	ʻaha kūkā
olfactory	anticipation	0.328	mea ʻala
ribbon	anticipation	0.328	lipine
possess	anticipation	0.328	loaa
disposed	anticipation	0.320	hoʻolei ʻia
scrutinize	anticipation	0.320	e nana pono
immature	anticipation	0.320	oo ole
mediator	anticipation	0.320	mea uwao
regularity	anticipation	0.320	maʻamau
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	pepehi keiki
paddle	anticipation	0.320	hoe
heft	anticipation	0.320	heft
fancy	anticipation	0.320	nani
preservative	anticipation	0.320	mea mālama
unpublished	anticipation	0.312	paʻi ʻole ʻia
church	anticipation	0.312	halepule
bugle	anticipation	0.312	puolo
grim	anticipation	0.312	ʻinoʻino
denying	anticipation	0.312	hoole ana
analyst	anticipation	0.312	kanaka kālailai
judicial	anticipation	0.305	hookolokolo
priesthood	anticipation	0.305	kahunapule
broadside	anticipation	0.305	ʻaoʻao ākea
mill	anticipation	0.305	wili
dismay	anticipation	0.297	pilikia
cap	anticipation	0.297	pāpale
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	hoʻokupu
instructor	anticipation	0.297	kumu aʻo
exhaustion	anticipation	0.297	paupauaho
saliva	anticipation	0.297	kohu
cataract	anticipation	0.289	ʻāpalapala
network	anticipation	0.289	pūnaewele
visor	anticipation	0.289	makaʻala
shackle	anticipation	0.289	kaulahao
wont	anticipation	0.289	ʻaʻole
addresses	anticipation	0.289	mau helu wahi
discreet	anticipation	0.289	naʻauao
noncompliance	anticipation	0.289	hoʻokō ʻole
bruise	anticipation	0.289	ʻehaʻeha
homeless	anticipation	0.289	home ole
astronomer	anticipation	0.281	kilo kilo
skewed	anticipation	0.281	lihilihi
neighbor	anticipation	0.281	hoalauna
holiness	anticipation	0.273	hemolele
devil	anticipation	0.273	diabolo
picket	anticipation	0.273	picket
sentence	anticipation	0.273	ʻōlelo ʻōlelo
latent	anticipation	0.273	huna
cream	anticipation	0.273	holika
immaturity	anticipation	0.273	oo ole
habitual	anticipation	0.266	maʻa mau
morals	anticipation	0.266	ka pono
neighborhood	anticipation	0.266	kaiāulu
lull	anticipation	0.266	lull
bye	anticipation	0.258	aloha
weight	anticipation	0.258	kaumaha
organ	anticipation	0.250	kinona
clown	anticipation	0.250	clown
forearm	anticipation	0.250	lima lima
commonplace	anticipation	0.242	wahi maʻamau
quote	anticipation	0.242	ʻōlelo ʻōlelo
rail	anticipation	0.234	kaʻaahi
dictatorship	anticipation	0.234	aupuni diktaturia
treadmill	anticipation	0.234	kaʻa wāwae
board	anticipation	0.234	papa
tree	anticipation	0.227	kumulāʻau
sundial	anticipation	0.227	ka lā
paralysis	anticipation	0.211	maʻi lolo
cement	anticipation	0.203	sima
worm	anticipation	0.203	ilo
organization	anticipation	0.203	hui
lagging	anticipation	0.180	lohi ana
neutral	anticipation	0.148	kūʻokoʻa
cannibalism	disgust	0.953	ʻai ʻai kanaka
mutilation	disgust	0.930	ʻoki ʻana
molestation	disgust	0.914	hoʻomāinoino
incest	disgust	0.914	moe kolohe
rape	disgust	0.906	hoopalau
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	ʻai kanaka
rot	disgust	0.891	popopo
corpse	disgust	0.883	kupapau
massacre	disgust	0.883	pepehi kanaka
excrement	disgust	0.883	ʻili
barf	disgust	0.875	pāʻani
slaughter	disgust	0.875	pepehi kanaka
slaughterhouse	disgust	0.867	hale pepehi kanaka
incestuous	disgust	0.859	moe kolohe
sewerage	disgust	0.859	ʻauwai
filth	disgust	0.859	paumaele
bigot	disgust	0.859	manaʻo nui
rancid	disgust	0.859	rancid
infestation	disgust	0.852	hoʻopio
plague	disgust	0.852	mai ahulau
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	hookahe koko
rotting	disgust	0.844	popopo
fecal	disgust	0.844	fecal
maggot	disgust	0.844	iʻo
feces	disgust	0.844	feces
murder	disgust	0.839	pepehi kanaka
asshole	disgust	0.836	puʻukū
homicide	disgust	0.836	pepehi kanaka
enslaved	disgust	0.836	hookauwa
infanticide	disgust	0.836	pepehi keiki
perverted	disgust	0.828	kolohe
excretion	disgust	0.828	excretion
gore	disgust	0.828	ʻeha
slaughtering	disgust	0.828	ka pepehi ana
torture	disgust	0.828	hoehaeha
contaminate	disgust	0.821	hoʻohaumia
revolting	disgust	0.820	kipi
gory	disgust	0.820	ʻehaʻeha
shit	disgust	0.820	ʻūhā
terrorist	disgust	0.820	mea hooweliweli
murderer	disgust	0.820	pepehi kanaka
repugnant	disgust	0.820	hoʻopailua
manure	disgust	0.820	ʻōpala
pervert	disgust	0.820	hookahuli
diarrhoea	disgust	0.820	ka maʻi pā
grotesque	disgust	0.820	hoʻopaʻapaʻa
desecration	disgust	0.820	hoʻohaumia
faeces	disgust	0.812	feces
slavery	disgust	0.812	hookauwa
sewer	disgust	0.812	ʻili wai
cadaver	disgust	0.812	kino make
manslaughter	disgust	0.812	pepehi kanaka
dismemberment	disgust	0.812	ʻoki ʻana
vomit	disgust	0.812	luaʻi
perverse	disgust	0.805	kolohe
repulsive	disgust	0.805	hoʻopailua
hemorrhage	disgust	0.805	kahe koko
sewage	disgust	0.797	waiʻawaʻawa
filthy	disgust	0.797	pelapela
diseased	disgust	0.797	ma'i
depravity	disgust	0.797	ka hewa
carcass	disgust	0.795	kupapaʻu
decompose	disgust	0.789	decompose
gruesome	disgust	0.789	weliweli
mutilated	disgust	0.789	ʻoki ʻia
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	popopo
dung	disgust	0.789	lepo
vermin	disgust	0.789	ʻinoʻino
murderous	disgust	0.789	pepehi kanaka
parasite	disgust	0.789	pāpaʻi
horrific	disgust	0.789	weliweli
carnage	disgust	0.781	pepehi kanaka
malaria	disgust	0.781	malaria
slime	disgust	0.781	ʻūhā
flatulence	disgust	0.781	ʻūhā
pestilence	disgust	0.781	mai ahulau
crap	disgust	0.781	palaka
monstrosity	disgust	0.781	ʻinoʻino
loathsome	disgust	0.773	hoʻopailua
toxic	disgust	0.773	ʻona
morgue	disgust	0.773	morgue
pus	disgust	0.773	pulu
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lepera
insidious	disgust	0.773	hoopunipuni
cruel	disgust	0.766	lokoino
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	hoʻopailua
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	hoohuoi
whore	disgust	0.766	hookamakama
dissection	disgust	0.759	ka wehe ʻana
mucous	disgust	0.758	mucous
canker	disgust	0.758	maʻi ʻaʻai
slum	disgust	0.758	slum
infectious	disgust	0.758	ma'i lele
evil	disgust	0.758	ino
phlegm	disgust	0.758	ʻūhā
cruelty	disgust	0.758	lokoino
perversion	disgust	0.758	kolohe
sinister	disgust	0.750	hewa
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	hana ino
decomposition	disgust	0.750	palaho
abomination	disgust	0.742	hoʻopailua
stinking	disgust	0.742	pilau
bile	disgust	0.742	bile
demonic	disgust	0.742	daimonio
deranged	disgust	0.742	pupule
abhorrence	disgust	0.742	hoowahawaha
soiled	disgust	0.742	haumia
mucus	disgust	0.742	ʻūhū
septic	disgust	0.742	septic
sickening	disgust	0.742	ʻehaʻeha
demon	disgust	0.742	daimonio
cancer	disgust	0.734	ma'i 'a'ai
obese	disgust	0.734	momona
degeneracy	disgust	0.734	degeneracy
despicable	disgust	0.734	hoowahawaha
atrocity	disgust	0.734	hana ʻino
foul	disgust	0.734	ino
sicken	disgust	0.734	maʻi
crucifixion	disgust	0.734	kau ma ke kea
terrorism	disgust	0.734	hooweliweli
repulsion	disgust	0.727	kipaku ʻana
morbidity	disgust	0.727	maʻi maʻi
dysentery	disgust	0.727	ka maʻi ʻaʻai
enema	disgust	0.727	enema
bacterium	disgust	0.727	bacteria
dirty	disgust	0.727	lepo
adultery	disgust	0.727	moe kolohe
contamination	disgust	0.727	haumia
grisly	disgust	0.727	ʻinoʻino
diabolical	disgust	0.727	diabolo
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	pāʻani
vulgar	disgust	0.719	ʻinoʻino
entrails	disgust	0.719	nā ʻōpū
disgust	disgust	0.719	hoʻopailua
lewd	disgust	0.719	kolohe
muck	disgust	0.719	ʻōpala
bowels	disgust	0.719	ʻōpū
garbage	disgust	0.719	ōpala
deterioration	disgust	0.719	ʻinoʻino
contagion	disgust	0.719	maʻi lele
vicious	disgust	0.719	ino
disfigured	disgust	0.719	ino
pungent	disgust	0.719	hoʻopaʻapaʻa
gross	disgust	0.719	nui loa
bloodshed	disgust	0.714	hookahe koko
gag	disgust	0.711	ʻakaʻaka
pollute	disgust	0.711	hoʻohaumia
nausea	disgust	0.711	nausea
tyrant	disgust	0.711	lokoino
wretched	disgust	0.711	poino
mortification	disgust	0.711	hoʻomāʻewaʻewa
violent	disgust	0.711	hana ino
poisoned	disgust	0.711	ʻona
nauseate	disgust	0.703	nausea
slimy	disgust	0.703	ʻāwīwī
grope	disgust	0.703	hāhā
slut	disgust	0.703	wahine hoʻokamakama
nasty	disgust	0.703	ʻinoʻino
disgusting	disgust	0.703	hoʻopailua
depraved	disgust	0.703	ino
porn	disgust	0.703	porn
hateful	disgust	0.703	inaina
vulgarity	disgust	0.703	hoʻomāʻewaʻewa
noxious	disgust	0.703	mea ino
grime	disgust	0.703	lepo lepo
constipation	disgust	0.703	constipation
secretion	disgust	0.703	huna huna
poisoning	disgust	0.703	ʻawaʻawa
despotism	disgust	0.703	hoʻomāinoino
measles	disgust	0.696	ʻāʻī
contagious	disgust	0.695	lele lele
obesity	disgust	0.695	obesity
wart	disgust	0.695	wart
hate	disgust	0.695	inaina
hellish	disgust	0.695	pōʻino
scum	disgust	0.695	ʻōpala
suicidal	disgust	0.695	pepehi kanaka
wretch	disgust	0.695	poino
abuse	disgust	0.695	hana ino
waste	disgust	0.695	ʻōpala
intestinal	disgust	0.695	ʻōpū
heartworm	disgust	0.688	ʻōpū puʻuwai
ooze	disgust	0.688	ooze
treason	disgust	0.688	kipi
contaminated	disgust	0.688	haumia
smut	disgust	0.688	smut
disease	disgust	0.688	maʻi maʻi
rabid	disgust	0.688	huhū
deformed	disgust	0.680	deformed
hell	disgust	0.680	Gehena
soulless	disgust	0.680	ʻuhane ʻole
cholera	disgust	0.680	Kolera
bestial	disgust	0.680	holoholona
antichrist	disgust	0.680	antikristo
freakish	disgust	0.680	puʻupuʻu
germ	disgust	0.680	germ
detest	disgust	0.680	hoowahawaha
pollution	disgust	0.680	haumia
grimy	disgust	0.680	ʻinoʻino
abhorrent	disgust	0.680	hoʻopailua
hatred	disgust	0.680	inaina
abominate	disgust	0.680	hoʻopailua
sickness	disgust	0.680	ka mai
hideous	disgust	0.672	weliweli
dictatorship	disgust	0.672	aupuni diktaturia
loathful	disgust	0.672	inaina
greasy	disgust	0.672	momona
dilapidated	disgust	0.672	palaka
inhuman	disgust	0.672	kino kanaka
loathing	disgust	0.672	inaina
obscene	disgust	0.672	haumia
cess	disgust	0.670	cess
devil	disgust	0.664	diabolo
deformity	disgust	0.664	deformity
nauseous	disgust	0.664	nausea
deadly	disgust	0.664	mea make
swine	disgust	0.664	puaʻa
discrimination	disgust	0.664	hoowahawaha
abominable	disgust	0.664	hoowahawaha
masochism	disgust	0.664	masochism
heretic	disgust	0.664	heretic
latrines	disgust	0.656	hale lole
corruption	disgust	0.656	palaho
poisonous	disgust	0.656	ʻawaʻawa
horror	disgust	0.656	weliweli
nefarious	disgust	0.656	ʻinoʻino
bacteria	disgust	0.656	bacteria
horrible	disgust	0.656	weliweli
trash	disgust	0.656	ʻōpala
abortion	disgust	0.656	hoʻopaʻa keiki
death	disgust	0.656	make
prejudiced	disgust	0.656	manao ino
poison	disgust	0.656	ʻawaʻawa
oppression	disgust	0.656	hookaumaha
goo	disgust	0.656	goo
victimized	disgust	0.656	hoʻopilikia ʻia
mange	disgust	0.656	mange
sludge	disgust	0.648	lepo lepo
trashy	disgust	0.648	ʻōpala
vindictive	disgust	0.648	hoʻopaʻi
horrid	disgust	0.648	weliweli
ugly	disgust	0.648	ʻinoʻino
immoral	disgust	0.648	moe kolohe
bitch	disgust	0.648	ʻūhā
outhouse	disgust	0.648	hale waho
detestation	disgust	0.648	hoowahawaha
horrifying	disgust	0.641	weliweli
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	maikai ole
derogatory	disgust	0.641	hoʻomāʻewaʻewa
slop	disgust	0.641	slop
malfeasance	disgust	0.641	hewahewa
spew	disgust	0.641	luaʻi
pimple	disgust	0.641	pimple
criminality	disgust	0.641	ka hewa
indecency	disgust	0.641	hana ino
cystic	disgust	0.641	ʻāpiki
villainous	disgust	0.641	kolohe
queasy	disgust	0.633	hoonanea
mildew	disgust	0.633	pulupulu
oppressive	disgust	0.633	hookaumaha
prostitution	disgust	0.633	hookamakama
secrete	disgust	0.633	huna
ulcer	disgust	0.633	ʻūhā
rat	disgust	0.633	ʻiole
bigoted	disgust	0.633	pilihua
perpetrator	disgust	0.633	mea hana hewa
doomsday	disgust	0.633	lā make
sinful	disgust	0.633	hewa
degrading	disgust	0.625	hoʻohaʻahaʻa
ghastly	disgust	0.625	weliweli
suffering	disgust	0.625	ehaeha
obscenity	disgust	0.625	ka olelo ino
devilish	disgust	0.625	diabolo
disgraceful	disgust	0.625	hoohilahila
persecution	disgust	0.625	ka hoomaau ana
contemptible	disgust	0.625	hoowahawaha
cuckold	disgust	0.625	uʻi kūʻokoʻa
stools	disgust	0.625	stools
dastardly	disgust	0.625	hoʻomāʻewaʻewa
sin	disgust	0.625	hewa
gluttony	disgust	0.625	pakela ai
bloated	disgust	0.625	pehu
fungus	disgust	0.625	haʻahuʻa
aghast	disgust	0.625	weliweli
diaper	disgust	0.617	diaper
malicious	disgust	0.617	ino
polygamy	disgust	0.617	ka male kāne ʻana
dying	disgust	0.617	e make ana
termite	disgust	0.617	anana
fat	disgust	0.617	momona
deceit	disgust	0.617	hoopunipuni
atrocious	disgust	0.617	ʻinoʻino
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	maʻi maʻi maʻi
spoil	disgust	0.617	hao wale
crusty	disgust	0.617	ʻāʻī
sickly	disgust	0.617	ma'i
louse	disgust	0.617	louse
strangle	disgust	0.617	ʻumi ʻumi
betrayal	disgust	0.617	kumakaia
loathe	disgust	0.617	inaina
wench	disgust	0.617	wahine wahine
infect	disgust	0.617	hoʻopili
violently	disgust	0.609	hana ino
brothel	disgust	0.609	hale hoʻokamakama
drool	disgust	0.609	drool
bleeding	disgust	0.609	kahe koko
deform	disgust	0.609	deform
ghetto	disgust	0.609	ʻo ka ghetto
sabotage	disgust	0.609	kāʻili ʻana
venomous	disgust	0.609	mea ʻawaʻawa
abhor	disgust	0.609	hoʻopailua
slander	disgust	0.609	ʻōlelo hōʻino
hostile	disgust	0.609	inaina
musty	disgust	0.602	pulupulu
illicit	disgust	0.602	kapu
ugliness	disgust	0.602	ʻinoʻino
unwashed	disgust	0.602	holoi ʻole ʻia
swampy	disgust	0.602	pohopoho
deprivation	disgust	0.602	nele
poaching	disgust	0.602	poaching
hag	disgust	0.602	hag
infidel	disgust	0.602	hoomaloka
imprisonment	disgust	0.602	paʻahao
traitor	disgust	0.602	kumakaia
lunacy	disgust	0.602	pupule
queasiness	disgust	0.594	hoʻonanea
hostility	disgust	0.594	ka inaina
repelling	disgust	0.594	kipaku ana
intoxicated	disgust	0.594	ʻona
thug	disgust	0.594	pōā
catastrophe	disgust	0.594	pōʻino
lunatic	disgust	0.594	pupule
misery	disgust	0.594	poino
venom	disgust	0.594	mea ʻawaʻawa
butcher	disgust	0.594	kahu hānai
toilet	disgust	0.594	hale lua
blister	disgust	0.594	ʻōhū
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	ʻōpū
sinner	disgust	0.594	kanaka hewa
deceitful	disgust	0.594	hoopunipuni
epidemic	disgust	0.594	ahulau
deteriorated	disgust	0.586	deteriorated
lavatory	disgust	0.586	lumi holoi
unclean	disgust	0.586	haumia
prostitute	disgust	0.586	wahine hookamakama
incubus	disgust	0.586	incubus
appalling	disgust	0.586	weliweli
dreadful	disgust	0.586	weliweli
pornography	disgust	0.586	kiʻi ponoʻī
harass	disgust	0.586	hoopilikia
squeamish	disgust	0.578	ʻōniʻoniʻo
expulsion	disgust	0.578	kipaku
unfaithful	disgust	0.578	hoopunipuni
offensive	disgust	0.578	hōʻeha
hypocrite	disgust	0.578	hookamani
humiliating	disgust	0.578	hoʻohaʻahaʻa
larceny	disgust	0.578	ʻaihue
ruinous	disgust	0.578	poino
retard	disgust	0.578	hoʻopaneʻe
rash	disgust	0.578	ʻūhū
flea	disgust	0.578	ʻauʻau
debauchery	disgust	0.578	kolohe
fiend	disgust	0.578	kupua
quagmire	disgust	0.578	quagmire
conspirator	disgust	0.578	mea kipi
sick	disgust	0.578	maʻi
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	ʻīlio ʻīlio
egregious	disgust	0.570	ʻinoʻino
flog	disgust	0.570	hahau
despise	disgust	0.570	hoowahawaha
treacherous	disgust	0.570	hoopunipuni
oppress	disgust	0.570	hookaumaha
swamp	disgust	0.570	poho
messy	disgust	0.570	huikau
spit	disgust	0.570	kuha
dank	disgust	0.570	dank
bastard	disgust	0.570	ʻūhā
devastating	disgust	0.570	e hoopoino ana
serpent	disgust	0.570	nahesa
loo	disgust	0.562	loo
indecent	disgust	0.562	pono ole
insanity	disgust	0.562	pupule
stealing	disgust	0.562	ʻaihue
terrible	disgust	0.562	weliweli
tyrannical	disgust	0.562	lokoino
humiliation	disgust	0.562	hoʻohaʻahaʻa
snake	disgust	0.562	nahesa
sloppy	disgust	0.562	hūpō
sinning	disgust	0.562	hana hewa
harmful	disgust	0.562	mea ino
harlot	disgust	0.562	wahine hoʻokamakama
sordid	disgust	0.562	ʻinoʻino
enemy	disgust	0.562	enemi
alcoholism	disgust	0.562	ʻona ʻona
awful	disgust	0.562	weliweli
ruthless	disgust	0.562	lokoino
scoundrel	disgust	0.562	mea ʻinoʻino
bloody	disgust	0.555	koko
flabby	disgust	0.555	paʻapū
odious	disgust	0.555	ʻinoʻino
beastly	disgust	0.555	holoholona
collusion	disgust	0.555	huikau
ridicule	disgust	0.555	hoohenehene
discriminating	disgust	0.555	hoʻokae
unattractive	disgust	0.555	nani ole
insufferable	disgust	0.555	hiki ole ke hoomanawanui
segregate	disgust	0.555	hoʻokaʻawale
