English Word	Emotion	Emotion-Intensity-Score	Hungarian Word
council	anticipation	0.328	tanács
olfactory	anticipation	0.328	szaglószervi
ribbon	anticipation	0.328	szalag
possess	anticipation	0.328	birtokolni
disposed	anticipation	0.320	rendelkezett
scrutinize	anticipation	0.320	górcső alá venni
immature	anticipation	0.320	éretlen
mediator	anticipation	0.320	közvetítő
regularity	anticipation	0.320	rendszeresség
cove	anticipation	0.320	öbölben
infanticide	anticipation	0.320	csecsemőgyilkosság
paddle	anticipation	0.320	lapát
heft	anticipation	0.320	súly
fancy	anticipation	0.320	díszes
preservative	anticipation	0.320	konzerváló
unpublished	anticipation	0.312	kiadatlan
church	anticipation	0.312	templom
bugle	anticipation	0.312	kürt
grim	anticipation	0.312	zord
denying	anticipation	0.312	tagadva
analyst	anticipation	0.312	elemző
judicial	anticipation	0.305	bírósági
priesthood	anticipation	0.305	papság
broadside	anticipation	0.305	rágalomhadjárat
mill	anticipation	0.305	malom
dismay	anticipation	0.297	döbbenet
cap	anticipation	0.297	sapka
thermocouple	anticipation	0.297	hőelem
tributary	anticipation	0.297	adófizető
instructor	anticipation	0.297	oktató
exhaustion	anticipation	0.297	kimerültség
saliva	anticipation	0.297	nyál
cataract	anticipation	0.289	szürkehályog
network	anticipation	0.289	hálózat
visor	anticipation	0.289	napellenző
shackle	anticipation	0.289	bilincs
wont	anticipation	0.289	szokás
addresses	anticipation	0.289	címek
discreet	anticipation	0.289	diszkrét
noncompliance	anticipation	0.289	meg nem felelés
bruise	anticipation	0.289	zúzódás
homeless	anticipation	0.289	hajléktalan
astronomer	anticipation	0.281	csillagász
skewed	anticipation	0.281	ferde
neighbor	anticipation	0.281	szomszéd
holiness	anticipation	0.273	szentség
devil	anticipation	0.273	ördög
picket	anticipation	0.273	karó
sentence	anticipation	0.273	mondat
latent	anticipation	0.273	rejtett
cream	anticipation	0.273	krém
immaturity	anticipation	0.273	éretlenség
habitual	anticipation	0.266	szokásos
morals	anticipation	0.266	erkölcsök
neighborhood	anticipation	0.266	szomszédság
lull	anticipation	0.266	szünet
bye	anticipation	0.258	Viszlát
weight	anticipation	0.258	súly
organ	anticipation	0.250	szerv
clown	anticipation	0.250	bohóc
forearm	anticipation	0.250	alkar
commonplace	anticipation	0.242	közhely
quote	anticipation	0.242	idézet
rail	anticipation	0.234	vasút
dictatorship	anticipation	0.234	diktatúra
treadmill	anticipation	0.234	futópad
board	anticipation	0.234	tábla
tree	anticipation	0.227	fa
sundial	anticipation	0.227	napóra
paralysis	anticipation	0.211	bénulás
cement	anticipation	0.203	cement
worm	anticipation	0.203	féreg
organization	anticipation	0.203	szervezet
lagging	anticipation	0.180	lemaradva
neutral	anticipation	0.148	semleges
cannibalism	disgust	0.953	emberevés
mutilation	disgust	0.930	csonkítás
molestation	disgust	0.914	molesztálás
incest	disgust	0.914	vérfertőzés
rape	disgust	0.906	erőszak
gonorrhea	disgust	0.906	gonorrea
cannibal	disgust	0.898	kannibál
rot	disgust	0.891	rothadás
corpse	disgust	0.883	hulla
massacre	disgust	0.883	mészárlás
excrement	disgust	0.883	ürülék
barf	disgust	0.875	barf
slaughter	disgust	0.875	levágás
slaughterhouse	disgust	0.867	vágóhíd
incestuous	disgust	0.859	vérfertőző
sewerage	disgust	0.859	szennyvíz
filth	disgust	0.859	piszok
bigot	disgust	0.859	bigott
rancid	disgust	0.859	avas
infestation	disgust	0.852	fertőzöttség
plague	disgust	0.852	pestis
holocaust	disgust	0.852	Holocaust
bloodthirsty	disgust	0.852	vérszomjas
rotting	disgust	0.844	rothadó
fecal	disgust	0.844	széklet
maggot	disgust	0.844	kukac
feces	disgust	0.844	ürülék
murder	disgust	0.839	gyilkosság
asshole	disgust	0.836	seggfej
homicide	disgust	0.836	emberölés
enslaved	disgust	0.836	leigázott
infanticide	disgust	0.836	csecsemőgyilkosság
perverted	disgust	0.828	elvetemült
excretion	disgust	0.828	kiválasztás
gore	disgust	0.828	alvadt vér
slaughtering	disgust	0.828	vágás
torture	disgust	0.828	kínzás
contaminate	disgust	0.821	beszennyezni
revolting	disgust	0.820	lázadó
gory	disgust	0.820	véres
shit	disgust	0.820	szar
terrorist	disgust	0.820	terrorista
murderer	disgust	0.820	gyilkos
repugnant	disgust	0.820	visszataszító
manure	disgust	0.820	trágya
pervert	disgust	0.820	perverz
diarrhoea	disgust	0.820	hasmenés
grotesque	disgust	0.820	groteszk
desecration	disgust	0.820	megszentségtelenítés
faeces	disgust	0.812	ürülék
slavery	disgust	0.812	rabszolgaság
sewer	disgust	0.812	szennyvízcsatorna
cadaver	disgust	0.812	hulla
manslaughter	disgust	0.812	emberölés
dismemberment	disgust	0.812	feldarabolás
vomit	disgust	0.812	hányás
perverse	disgust	0.805	perverz
repulsive	disgust	0.805	taszító
hemorrhage	disgust	0.805	vérzés
sewage	disgust	0.797	szennyvíz
filthy	disgust	0.797	mocskos
diseased	disgust	0.797	beteg
depravity	disgust	0.797	romlottság
carcass	disgust	0.795	tetem
decompose	disgust	0.789	bomlik le
gruesome	disgust	0.789	hátborzongató
mutilated	disgust	0.789	megcsonkított
puke	disgust	0.789	hányás
herpes	disgust	0.789	herpesz
decayed	disgust	0.789	elromlott
dung	disgust	0.789	trágya
vermin	disgust	0.789	féreg
murderous	disgust	0.789	gyilkos
parasite	disgust	0.789	élősködő
horrific	disgust	0.789	rettenetes
carnage	disgust	0.781	vérontás
malaria	disgust	0.781	malária
slime	disgust	0.781	iszap
flatulence	disgust	0.781	puffadás
pestilence	disgust	0.781	dögvész
crap	disgust	0.781	szar
monstrosity	disgust	0.781	szörnyűség
loathsome	disgust	0.773	utálatos
toxic	disgust	0.773	mérgező
morgue	disgust	0.773	hullaház
pus	disgust	0.773	genny
herpesvirus	disgust	0.773	herpeszvírus
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	alattomos
cruel	disgust	0.766	kegyetlen
regurgitation	disgust	0.766	regurgitáció
anthrax	disgust	0.766	lépfene
xenophobia	disgust	0.766	idegengyűlölet
repugnance	disgust	0.766	undor
lynch	disgust	0.766	lincsel
revulsion	disgust	0.766	ellenérzés
whore	disgust	0.766	kurva
dissection	disgust	0.759	boncolás
mucous	disgust	0.758	nyálkás
canker	disgust	0.758	féreg
slum	disgust	0.758	nyomornegyed
infectious	disgust	0.758	fertőző
evil	disgust	0.758	gonosz
phlegm	disgust	0.758	váladék
cruelty	disgust	0.758	kegyetlenség
perversion	disgust	0.758	perverzió
sinister	disgust	0.750	baljós
leeches	disgust	0.750	piócák
corrupting	disgust	0.750	korrumpáló
decomposition	disgust	0.750	bomlás
abomination	disgust	0.742	utálatos
stinking	disgust	0.742	büdös
bile	disgust	0.742	epe
demonic	disgust	0.742	démoni
deranged	disgust	0.742	megzavarodott
abhorrence	disgust	0.742	gyűlölet
soiled	disgust	0.742	szennyezett
mucus	disgust	0.742	nyálka
septic	disgust	0.742	szeptikus
sickening	disgust	0.742	émelyítő
demon	disgust	0.742	démon
cancer	disgust	0.734	rák
obese	disgust	0.734	elhízott
degeneracy	disgust	0.734	degeneráltság
despicable	disgust	0.734	megvetendő
atrocity	disgust	0.734	kegyetlenség
foul	disgust	0.734	szabálytalan
sicken	disgust	0.734	megbetegszik
crucifixion	disgust	0.734	keresztre feszítés
terrorism	disgust	0.734	terrorizmus
repulsion	disgust	0.727	taszítás
morbidity	disgust	0.727	morbiditás
dysentery	disgust	0.727	vérhas
enema	disgust	0.727	beöntés
bacterium	disgust	0.727	baktérium
dirty	disgust	0.727	piszkos
adultery	disgust	0.727	házasságtörés
contamination	disgust	0.727	szennyeződés
grisly	disgust	0.727	szörnyű
diabolical	disgust	0.727	ördögi
autopsy	disgust	0.719	boncolás
barbaric	disgust	0.719	barbár
vulgar	disgust	0.719	vulgáris
entrails	disgust	0.719	zsigerek
disgust	disgust	0.719	undor
lewd	disgust	0.719	erkölcstelen
muck	disgust	0.719	szar
bowels	disgust	0.719	belek
garbage	disgust	0.719	szemét
deterioration	disgust	0.719	romlása
contagion	disgust	0.719	fertőzés
vicious	disgust	0.719	gonosz
disfigured	disgust	0.719	eltorzított
pungent	disgust	0.719	csípős
gross	disgust	0.719	bruttó
bloodshed	disgust	0.714	vérontás
gag	disgust	0.711	geg
pollute	disgust	0.711	szennyezni
nausea	disgust	0.711	hányinger
tyrant	disgust	0.711	zsarnok
wretched	disgust	0.711	nyomorult
mortification	disgust	0.711	sanyargatás
violent	disgust	0.711	erőszakos
poisoned	disgust	0.711	megmérgezve
nauseate	disgust	0.703	émelyít
slimy	disgust	0.703	iszapos
grope	disgust	0.703	tapogatózva keres
slut	disgust	0.703	kurva
nasty	disgust	0.703	csúnya
disgusting	disgust	0.703	undorító
depraved	disgust	0.703	romlott
porn	disgust	0.703	pornó
hateful	disgust	0.703	utálatos
vulgarity	disgust	0.703	közönségesség
noxious	disgust	0.703	ártalmas
grime	disgust	0.703	korom
constipation	disgust	0.703	székrekedés
secretion	disgust	0.703	kiválasztás
poisoning	disgust	0.703	mérgezés
despotism	disgust	0.703	zsarnokság
measles	disgust	0.696	kanyaró
contagious	disgust	0.695	fertőző
obesity	disgust	0.695	elhízottság
wart	disgust	0.695	szemölcs
hate	disgust	0.695	gyűlöl
hellish	disgust	0.695	pokoli
scum	disgust	0.695	hab
suicidal	disgust	0.695	öngyilkos
wretch	disgust	0.695	nyomorult
abuse	disgust	0.695	visszaélés
waste	disgust	0.695	Pazarlás
intestinal	disgust	0.695	bél-
heartworm	disgust	0.688	szívféreg
ooze	disgust	0.688	szivárog
treason	disgust	0.688	árulás
contaminated	disgust	0.688	szennyezett
smut	disgust	0.688	korom
disease	disgust	0.688	betegség
rabid	disgust	0.688	fanatikus
deformed	disgust	0.680	deformált
hell	disgust	0.680	pokol
soulless	disgust	0.680	lelketlen
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestiális
antichrist	disgust	0.680	Antikrisztus
freakish	disgust	0.680	szeszélyes
germ	disgust	0.680	csíra
detest	disgust	0.680	utálni
pollution	disgust	0.680	környezetszennyezés
grimy	disgust	0.680	mocskos
abhorrent	disgust	0.680	utálatos
hatred	disgust	0.680	gyűlölet
abominate	disgust	0.680	utál
sickness	disgust	0.680	betegség
hideous	disgust	0.672	förtelmes
dictatorship	disgust	0.672	diktatúra
loathful	disgust	0.672	undorító
greasy	disgust	0.672	zsíros
dilapidated	disgust	0.672	rozoga
inhuman	disgust	0.672	embertelen
loathing	disgust	0.672	undor
obscene	disgust	0.672	obszcén
cess	disgust	0.670	cess
devil	disgust	0.664	ördög
deformity	disgust	0.664	deformitás
nauseous	disgust	0.664	undorító
deadly	disgust	0.664	halálos
swine	disgust	0.664	sertés
discrimination	disgust	0.664	megkülönböztetés
abominable	disgust	0.664	utálatos
masochism	disgust	0.664	mazochizmus
heretic	disgust	0.664	eretnek
latrines	disgust	0.656	latrinák
corruption	disgust	0.656	korrupció
poisonous	disgust	0.656	mérgező
horror	disgust	0.656	borzalom
nefarious	disgust	0.656	aljas
bacteria	disgust	0.656	baktériumok
horrible	disgust	0.656	szörnyű
trash	disgust	0.656	szemét
abortion	disgust	0.656	abortusz
death	disgust	0.656	halál
prejudiced	disgust	0.656	előítéletes
poison	disgust	0.656	méreg
oppression	disgust	0.656	elnyomás
goo	disgust	0.656	ragacs
victimized	disgust	0.656	áldozatul esett
mange	disgust	0.656	rüh
sludge	disgust	0.648	iszap
trashy	disgust	0.648	vacak
vindictive	disgust	0.648	bosszúszomjas
horrid	disgust	0.648	borzalmas
ugly	disgust	0.648	csúnya
immoral	disgust	0.648	erkölcstelen
bitch	disgust	0.648	kurva
outhouse	disgust	0.648	melléképület
detestation	disgust	0.648	utálat
horrifying	disgust	0.641	borzasztó
laxative	disgust	0.641	hashajtó
unsightly	disgust	0.641	csúnya
derogatory	disgust	0.641	méltatlan
slop	disgust	0.641	tócsa
malfeasance	disgust	0.641	gonosztett
spew	disgust	0.641	köp
pimple	disgust	0.641	pattanás
criminality	disgust	0.641	bűnözés
indecency	disgust	0.641	illetlenség
cystic	disgust	0.641	cisztás
villainous	disgust	0.641	aljas
queasy	disgust	0.633	finnyás
mildew	disgust	0.633	penész
oppressive	disgust	0.633	elnyomó
prostitution	disgust	0.633	prostitúció
secrete	disgust	0.633	kiválaszt
ulcer	disgust	0.633	fekély
rat	disgust	0.633	patkány
bigoted	disgust	0.633	nagyképű
perpetrator	disgust	0.633	elkövető
doomsday	disgust	0.633	utolsó ítélet
sinful	disgust	0.633	bűnös
degrading	disgust	0.625	megalázó
ghastly	disgust	0.625	kísérteties
suffering	disgust	0.625	szenvedő
obscenity	disgust	0.625	trágárság
devilish	disgust	0.625	ördögi
disgraceful	disgust	0.625	szégyenletes
persecution	disgust	0.625	üldözés
contemptible	disgust	0.625	megvetendő
cuckold	disgust	0.625	felszarvazott
stools	disgust	0.625	széklet
dastardly	disgust	0.625	hitvány
sin	disgust	0.625	bűn
gluttony	disgust	0.625	torkosság
bloated	disgust	0.625	dagadt
fungus	disgust	0.625	gomba
aghast	disgust	0.625	megdöbbent
diaper	disgust	0.617	pelenka
malicious	disgust	0.617	rosszindulatú
polygamy	disgust	0.617	poligámia
dying	disgust	0.617	haldoklik
termite	disgust	0.617	termesz
fat	disgust	0.617	zsír
deceit	disgust	0.617	csalás
atrocious	disgust	0.617	kegyetlen
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanusz
spoil	disgust	0.617	zsákmány
crusty	disgust	0.617	kérges
sickly	disgust	0.617	beteges
louse	disgust	0.617	tetű
strangle	disgust	0.617	megfojtani
betrayal	disgust	0.617	árulás
loathe	disgust	0.617	gyűlöl
wench	disgust	0.617	némber
infect	disgust	0.617	megfertőzni
violently	disgust	0.609	erőszakosan
brothel	disgust	0.609	bordélyház
drool	disgust	0.609	nyáladzik
bleeding	disgust	0.609	vérzés
deform	disgust	0.609	deformálódik
ghetto	disgust	0.609	gettó
sabotage	disgust	0.609	szabotázs
venomous	disgust	0.609	mérges
abhor	disgust	0.609	gyűlöl
slander	disgust	0.609	rágalom
hostile	disgust	0.609	ellenséges
musty	disgust	0.602	dohos
illicit	disgust	0.602	tiltott
ugliness	disgust	0.602	csúnyaság
unwashed	disgust	0.602	mosdatlan
swampy	disgust	0.602	mocsaras
deprivation	disgust	0.602	hiány
poaching	disgust	0.602	orvvadászat
hag	disgust	0.602	boszorkány
infidel	disgust	0.602	hitetlen
imprisonment	disgust	0.602	bebörtönzés
traitor	disgust	0.602	áruló
lunacy	disgust	0.602	elmebaj
queasiness	disgust	0.594	émelygés
hostility	disgust	0.594	ellenségeskedés
repelling	disgust	0.594	taszító
intoxicated	disgust	0.594	mámoros
thug	disgust	0.594	orgyilkos
catastrophe	disgust	0.594	katasztrófa
lunatic	disgust	0.594	őrült
misery	disgust	0.594	szenvedés
venom	disgust	0.594	méreg
butcher	disgust	0.594	hentes
toilet	disgust	0.594	WC
blister	disgust	0.594	hólyag
lurid	disgust	0.594	undorító
slug	disgust	0.594	meztelen csiga
gut	disgust	0.594	belek
sinner	disgust	0.594	bűnös
deceitful	disgust	0.594	csaló
epidemic	disgust	0.594	járvány
deteriorated	disgust	0.586	romlott
lavatory	disgust	0.586	vécé
unclean	disgust	0.586	tisztátalan
prostitute	disgust	0.586	prostituált
incubus	disgust	0.586	lidérc
appalling	disgust	0.586	megdöbbentő
dreadful	disgust	0.586	szörnyű
pornography	disgust	0.586	pornográfia
harass	disgust	0.586	zaklat
squeamish	disgust	0.578	finnyás
expulsion	disgust	0.578	kiutasítás
unfaithful	disgust	0.578	hűtlen
offensive	disgust	0.578	támadó
hypocrite	disgust	0.578	képmutató
humiliating	disgust	0.578	megalázó
larceny	disgust	0.578	lopás
ruinous	disgust	0.578	romboló
retard	disgust	0.578	retard
rash	disgust	0.578	kiütés
flea	disgust	0.578	bolha
debauchery	disgust	0.578	kicsapongás
fiend	disgust	0.578	ördög
quagmire	disgust	0.578	ingovány
conspirator	disgust	0.578	összeesküvő
sick	disgust	0.578	beteg
mangle	disgust	0.578	mángorló
dogsick	disgust	0.570	kutyabeteg
egregious	disgust	0.570	hallatlan
flog	disgust	0.570	ostoroz
despise	disgust	0.570	megvet
treacherous	disgust	0.570	áruló
oppress	disgust	0.570	elnyomni
swamp	disgust	0.570	ingovány
messy	disgust	0.570	rendetlen
spit	disgust	0.570	nyárs
dank	disgust	0.570	nyirkos
bastard	disgust	0.570	fattyú
devastating	disgust	0.570	pusztító
serpent	disgust	0.570	kígyó
loo	disgust	0.562	vécé
indecent	disgust	0.562	illetlen
insanity	disgust	0.562	őrület
stealing	disgust	0.562	lopás
terrible	disgust	0.562	szörnyű
tyrannical	disgust	0.562	zsarnoki
humiliation	disgust	0.562	megaláztatás
snake	disgust	0.562	kígyó
sloppy	disgust	0.562	lucskos
sinning	disgust	0.562	vétkezik
harmful	disgust	0.562	káros
harlot	disgust	0.562	szajha
sordid	disgust	0.562	mocskos
enemy	disgust	0.562	ellenség
alcoholism	disgust	0.562	alkoholizmus
awful	disgust	0.562	szörnyű
ruthless	disgust	0.562	könyörtelen
scoundrel	disgust	0.562	gazember
bloody	disgust	0.555	véres
flabby	disgust	0.555	petyhüdt
odious	disgust	0.555	utálatos
beastly	disgust	0.555	állatias
collusion	disgust	0.555	összejátszás
ridicule	disgust	0.555	gúny
discriminating	disgust	0.555	megkülönböztető
unattractive	disgust	0.555	nem vonzó
insufferable	disgust	0.555	kibírhatatlan
segregate	disgust	0.555	elkülöníteni
arsenic	disgust	0.555	arzén
threatening	disgust	0.555	fenyegető
atrophy	disgust	0.555	sorvadás
varicella	disgust	0.555	bárányhimlő
slayer	disgust	0.555	Mészáros
distaste	disgust	0.555	ellenszenv
coward	disgust	0.555	gyáva
robbery	disgust	0.555	rablás
wickedness	disgust	0.555	gonoszság
anathema	disgust	0.547	átok
malevolent	disgust	0.547	rosszindulatú
sty	disgust	0.547	disznóól
pillage	disgust	0.547	fosztogatás
thief	disgust	0.547	tolvaj
suffocating	disgust	0.547	fullasztó
condemnation	disgust	0.547	kárhoztatás
deleterious	disgust	0.547	káros
slur	disgust	0.547	elmosódik
purgatory	disgust	0.547	purgatórium
attacking	disgust	0.547	támadó
burglar	disgust	0.547	betörő
ogre	disgust	0.547	emberevő óriás
coercion	disgust	0.547	kényszerítés
vesicular	disgust	0.547	hólyagos
miserable	disgust	0.547	nyomorult
bitterly	disgust	0.547	keserűen
sneer	disgust	0.539	gúnymosoly
greedy	disgust	0.539	kapzsi
gob	disgust	0.539	nyál
repellant	disgust	0.539	taszító
jealous	disgust	0.539	irigy
drunken	disgust	0.539	ittas
shame	disgust	0.539	szégyen
thrash	disgust	0.539	thrash
fatty	disgust	0.539	zsíros
liar	disgust	0.539	hazug
imprisoned	disgust	0.539	bebörtönzött
sloth	disgust	0.539	lajhár
repudiation	disgust	0.539	megtagadás
disgrace	disgust	0.539	szégyen
infidelity	disgust	0.539	hűtlenség
pig	disgust	0.539	malac
lethal	disgust	0.536	halálos
burnt	disgust	0.531	megégett
brawl	disgust	0.531	bunyó
withered	disgust	0.531	fonnyadt
blemish	disgust	0.531	hiba
hydrocephalus	disgust	0.531	vízfejűség
aberration	disgust	0.531	aberráció
smuggler	disgust	0.531	csempész
painful	disgust	0.531	fájdalmas
condescension	disgust	0.531	leereszkedés
intolerant	disgust	0.531	türelmetlen
blasphemous	disgust	0.531	istenkáromló
lying	disgust	0.531	fekvő
hanging	disgust	0.531	függő
travesty	disgust	0.531	paródia
ruined	disgust	0.531	romos
intrusive	disgust	0.531	tolakodó
disintegrate	disgust	0.531	szétesik
destructive	disgust	0.531	romboló
neurotic	disgust	0.531	neurotikus
disparaging	disgust	0.523	becsmérlő
blighted	disgust	0.523	elfertőződött
intolerance	disgust	0.523	intolerancia
mistress	disgust	0.523	úrnő
avarice	disgust	0.523	kapzsiság
disgraced	disgust	0.523	megszégyenült
derogation	disgust	0.523	eltérést
rubbish	disgust	0.523	szemét
accusation	disgust	0.523	vád
incarceration	disgust	0.523	bebörtönzés
tortious	disgust	0.516	kínzó
dishonor	disgust	0.516	becstelenség
stink	disgust	0.516	bűz
grim	disgust	0.516	zord
rob	disgust	0.516	rabolni
defraud	disgust	0.516	csalás
sump	disgust	0.516	tócsa
cringe	disgust	0.516	kínos
vulture	disgust	0.516	keselyű
deplorable	disgust	0.516	siralmas
mite	disgust	0.516	atka
eradication	disgust	0.516	felszámolása
degrade	disgust	0.516	lefokozni
gutter	disgust	0.516	esővízcsatorna
convict	disgust	0.516	elítélt
remains	disgust	0.516	maradványok
betray	disgust	0.516	elárul
daemon	disgust	0.516	démon
sham	disgust	0.509	ál
distasteful	disgust	0.508	undorító
prisoner	disgust	0.508	Rab
dreadfully	disgust	0.508	rettenetesen
worthless	disgust	0.508	értéktelen
crude	disgust	0.508	nyers
delirium	disgust	0.508	delírium
incurable	disgust	0.508	gyógyíthatatlan
smelling	disgust	0.508	szaglás
idiocy	disgust	0.508	hülyeség
resentment	disgust	0.508	neheztelés
bombed	disgust	0.508	bombázták
blob	disgust	0.508	folt
cheat	disgust	0.508	csal
schizophrenia	disgust	0.508	skizofrénia
rejection	disgust	0.508	elutasítás
belittle	disgust	0.508	lekicsinyelni
glut	disgust	0.508	jóllakottság
disaster	disgust	0.508	katasztrófa
distress	disgust	0.508	szorongás
pest	disgust	0.508	kártevő
endemic	disgust	0.508	helyi
theft	disgust	0.500	lopás
banish	disgust	0.500	száműzni
mire	disgust	0.500	sár
flagrant	disgust	0.500	botrányos
derision	disgust	0.500	gúny
dirt	disgust	0.500	piszok
screaming	disgust	0.500	sikoltozva
offense	disgust	0.500	vétség
jealousy	disgust	0.500	féltékenység
bribery	disgust	0.500	megvesztegetés
polemic	disgust	0.500	polemikus
blight	disgust	0.500	penész
impeach	disgust	0.500	felelősségre von
bitterness	disgust	0.500	keserűség
taboo	disgust	0.500	tabu
duress	disgust	0.500	kényszer
goblin	disgust	0.500	kobold
shackle	disgust	0.500	bilincs
idolatry	disgust	0.500	bálványimádás
greed	disgust	0.500	kapzsiság
impurity	disgust	0.500	szennyeződés
tirade	disgust	0.500	beszéd
idiot	disgust	0.492	idióta
boil	disgust	0.492	felforraljuk
unconscionable	disgust	0.492	lelkiismeretlen
disreputable	disgust	0.492	rosszhírű
robber	disgust	0.492	rabló
malign	disgust	0.492	rosszindulatú
wreck	disgust	0.492	roncs
recession	disgust	0.492	recesszió
gorge	disgust	0.492	szurdok
leer	disgust	0.492	rábámul
ill	disgust	0.492	beteg
squirm	disgust	0.492	fészkelődik
raging	disgust	0.484	tomboló
servile	disgust	0.484	szolgai
mess	disgust	0.484	rendetlenség
nappy	disgust	0.484	pelenka
possessed	disgust	0.484	megszállott
unbearable	disgust	0.484	kibírhatatlan
occult	disgust	0.484	okkult
contraband	disgust	0.484	csempészet
snarl	disgust	0.484	vicsorog
mutiny	disgust	0.484	lázadás
mad	disgust	0.484	őrült
affliction	disgust	0.484	szenvedés
stain	disgust	0.484	folt
animosity	disgust	0.484	ellenségeskedés
contempt	disgust	0.484	megvetés
tramp	disgust	0.484	csavargó
nepotism	disgust	0.484	nepotizmus
disrespectful	disgust	0.484	tiszteletlen
defamation	disgust	0.484	rágalmazás
inexcusable	disgust	0.484	megbocsáthatatlan
aversation	disgust	0.484	idegenkedés
wasteful	disgust	0.484	pazarló
offender	disgust	0.484	szabálysértő
subjugation	disgust	0.484	leigázás
illegality	disgust	0.477	jogellenesség
dismal	disgust	0.477	komor
criminal	disgust	0.477	Bűnügyi
unpleasant	disgust	0.477	kellemetlen
palsy	disgust	0.477	bénulás
antagonistic	disgust	0.477	ellentétes
pathetic	disgust	0.477	szánalmas
uncaring	disgust	0.477	nemtörődöm
suppression	disgust	0.477	elnyomás
immorality	disgust	0.477	erkölcstelenség
mockery	disgust	0.477	csúfolódás
outrage	disgust	0.469	merénylet
mocking	disgust	0.469	gúnyolódni
wallow	disgust	0.469	fetrengés
cough	disgust	0.469	köhögés
arrogant	disgust	0.469	arrogáns
angry	disgust	0.469	mérges
poverty	disgust	0.469	szegénység
grating	disgust	0.469	rács
livid	disgust	0.469	fakó
aggravation	disgust	0.469	súlyosbodás
repellent	disgust	0.469	visszataszító
perspiration	disgust	0.469	izzadás
banishment	disgust	0.469	száműzetés
furious	disgust	0.469	dühös
shoddy	disgust	0.469	selejtes
banshee	disgust	0.469	banshee
deceive	disgust	0.461	megtéveszteni
fool	disgust	0.461	bolond
quack	disgust	0.461	kuruzsló
distorted	disgust	0.461	eltorzult
spider	disgust	0.461	pók
unjustifiable	disgust	0.461	nem igazolható
deplore	disgust	0.461	sajnálja
spurious	disgust	0.461	hamis
perdition	disgust	0.461	kárhozat
muddy	disgust	0.461	sáros
fraudulent	disgust	0.461	csaló
scar	disgust	0.461	sebhely
prick	disgust	0.461	pöcs
insulting	disgust	0.461	sértő
plunder	disgust	0.461	zsákmány
recklessness	disgust	0.461	vakmerőség
stigma	disgust	0.453	megbélyegzés
disparage	disgust	0.453	becsmérel
unthinkable	disgust	0.453	elképzelhetetlen
disingenuous	disgust	0.453	hamis
bane	disgust	0.453	csapás
dishonest	disgust	0.453	tisztességtelen
aphid	disgust	0.453	levéltetvek
elimination	disgust	0.453	megszüntetése
cur	disgust	0.453	korcs
selfish	disgust	0.453	önző
eschew	disgust	0.453	kikerül
dire	disgust	0.453	szörnyű
indignation	disgust	0.453	felháborodás
antipathy	disgust	0.453	ellenszenv
alienate	disgust	0.453	elidegeníteni
mosquito	disgust	0.445	szúnyog
piles	disgust	0.445	aranyér
pious	disgust	0.445	jámbor
lie	disgust	0.445	hazugság
opium	disgust	0.445	ópium
smell	disgust	0.445	szag
iniquity	disgust	0.445	gonoszság
caries	disgust	0.445	fogszuvasodás
despair	disgust	0.445	kétségbeesés
recalcitrant	disgust	0.445	makacs
egotistical	disgust	0.445	egoista
wasted	disgust	0.445	elpazarolt
vacuous	disgust	0.445	üres
bankruptcy	disgust	0.445	csőd
garish	disgust	0.445	rikító
obnoxious	disgust	0.438	kellemetlen
ashamed	disgust	0.438	megszégyenülve
abject	disgust	0.438	siralmas
sticky	disgust	0.438	ragadós
scream	disgust	0.438	sikoly
hopelessness	disgust	0.438	reménytelenség
homeless	disgust	0.438	hajléktalan
shun	disgust	0.438	kitér
inmate	disgust	0.438	fogvatartott
alien	disgust	0.438	idegen
hog	disgust	0.438	disznó
aversion	disgust	0.438	idegenkedés
abnormal	disgust	0.438	rendellenes
cursing	disgust	0.430	káromkodva
undesirable	disgust	0.430	nem kívánatos
denounce	disgust	0.430	felmondani
witch	disgust	0.430	boszorkány
creature	disgust	0.430	teremtmény
lusty	disgust	0.430	buja
illegal	disgust	0.430	illegális
debris	disgust	0.430	törmelék
callous	disgust	0.430	érzéketlen
reflux	disgust	0.430	reflux
adverse	disgust	0.430	kedvezőtlen
shameless	disgust	0.430	szemtelen
separatist	disgust	0.430	szeparatista
trickery	disgust	0.430	trükk
falsity	disgust	0.430	hamisság
pall	disgust	0.430	takaró
defiance	disgust	0.430	ellenszegülés
incredulous	disgust	0.430	hitetlen
curse	disgust	0.430	átok
pompous	disgust	0.422	nagyképű
socialist	disgust	0.422	szocialista
mistrust	disgust	0.422	bizalmatlanság
infantile	disgust	0.422	gyerekes
wasting	disgust	0.422	pazarlás
hairy	disgust	0.422	szőrös
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	felmondás
collapse	disgust	0.422	összeomlás
untidy	disgust	0.422	rendetlen
ferocious	disgust	0.422	kegyetlen
ammonia	disgust	0.422	ammónia
carelessness	disgust	0.422	figyelmetlenség
impure	disgust	0.422	tisztátlan
contentious	disgust	0.422	vitás
bum	disgust	0.422	ingyenélő
affront	disgust	0.422	sértés
offend	disgust	0.422	megbántani
tarnish	disgust	0.422	homályosság
