English Word	Emotion	Emotion-Intensity-Score	Hindi Word
clock	anticipation	0.375	घड़ी
mountain	anticipation	0.375	पहाड़
interminable	anticipation	0.375	अनंत
public	anticipation	0.375	जनता
recurrent	anticipation	0.375	आवर्तक
savor	anticipation	0.375	स्वाद
abide	anticipation	0.367	पालन करना
concealed	anticipation	0.367	गुप्त
spear	anticipation	0.367	भाला
lesson	anticipation	0.367	पाठ
instructions	anticipation	0.367	निर्देश
sonar	anticipation	0.367	सोनार
biennial	anticipation	0.367	द्विवाषिक
convince	anticipation	0.367	मनवाना
whim	anticipation	0.367	रंग
shiver	anticipation	0.367	कंपकंपी
towering	anticipation	0.367	ऊंचा
musical	anticipation	0.367	संगीत
offset	anticipation	0.359	ओफ़्सेट
theory	anticipation	0.359	लिखित
theology	anticipation	0.359	धर्मशास्र
undying	anticipation	0.359	अमर
timidity	anticipation	0.359	कातरता
plump	anticipation	0.359	मोटा
atone	anticipation	0.359	मेल करना
audience	anticipation	0.357	श्रोता
dietary	anticipation	0.352	पथ्य
consecration	anticipation	0.352	अभिषेक
localize	anticipation	0.352	स्थानीयकरण
paragon	anticipation	0.352	प्रतिद्वंद्वी
store	anticipation	0.352	दुकान
farm	anticipation	0.352	खेत
daily	anticipation	0.352	रोज
cramp	anticipation	0.352	ऐंठन
nobility	anticipation	0.352	कुलीनता
closure	anticipation	0.352	समापन
edition	anticipation	0.352	संस्करण
kindred	anticipation	0.352	आत्मीय
stripped	anticipation	0.344	छीन
errand	anticipation	0.344	दूतकर्म
archaeology	anticipation	0.344	पुरातत्व
mutable	anticipation	0.344	परिवर्तनशील
wireless	anticipation	0.344	तार रहित
meditate	anticipation	0.344	ध्यान
mobile	anticipation	0.344	गतिमान
germ	anticipation	0.336	रोगाणु
brotherly	anticipation	0.336	भाई
lessen	anticipation	0.336	कम
unbeaten	anticipation	0.336	अजेय
pare	anticipation	0.336	पारे
buddy	anticipation	0.336	साथी
unaccountable	anticipation	0.336	अकथनीय
dove	anticipation	0.328	डव
patient	anticipation	0.328	रोगी
secular	anticipation	0.328	धर्मनिरपेक्ष
digress	anticipation	0.328	पीछे हटना
chastity	anticipation	0.328	शुद्धता
council	anticipation	0.328	परिषद
olfactory	anticipation	0.328	सूंघनेवाला
ribbon	anticipation	0.328	फीता
possess	anticipation	0.328	धारण करना
disposed	anticipation	0.320	उतारू
scrutinize	anticipation	0.320	ताकना
immature	anticipation	0.320	अपरिपक्व
mediator	anticipation	0.320	मध्यस्थ
regularity	anticipation	0.320	नियमितता
cove	anticipation	0.320	कोव
infanticide	anticipation	0.320	भ्रूण हत्या
paddle	anticipation	0.320	चप्पू
heft	anticipation	0.320	वज़न
fancy	anticipation	0.320	कल्पना
preservative	anticipation	0.320	परिरक्षक
unpublished	anticipation	0.312	अप्रकाशित
church	anticipation	0.312	गिरजाघर
bugle	anticipation	0.312	बिगुल
grim	anticipation	0.312	विकट
denying	anticipation	0.312	इस बात का खंडन
analyst	anticipation	0.312	विश्लेषक
judicial	anticipation	0.305	अदालती
priesthood	anticipation	0.305	पुजारी
broadside	anticipation	0.305	नाव का पहलू
mill	anticipation	0.305	चक्की
dismay	anticipation	0.297	बेचैनी
cap	anticipation	0.297	टोपी
thermocouple	anticipation	0.297	थर्मोकपल
tributary	anticipation	0.297	सहायक नदी
instructor	anticipation	0.297	प्रशिक्षक
exhaustion	anticipation	0.297	थकावट
saliva	anticipation	0.297	लार
cataract	anticipation	0.289	मोतियाबिंद
network	anticipation	0.289	नेटवर्क
visor	anticipation	0.289	टोपी का छज्जा
shackle	anticipation	0.289	बेड़ी
wont	anticipation	0.289	नहीं होगा
addresses	anticipation	0.289	पतों
discreet	anticipation	0.289	विचारशील
noncompliance	anticipation	0.289	गैर अनुपालन
bruise	anticipation	0.289	चोट
homeless	anticipation	0.289	बेघर
astronomer	anticipation	0.281	खगोल विज्ञानी
skewed	anticipation	0.281	विषम
neighbor	anticipation	0.281	पड़ोसी
holiness	anticipation	0.273	परम पूज्य
devil	anticipation	0.273	शैतान
picket	anticipation	0.273	पहरे पर तैनात करना
sentence	anticipation	0.273	वाक्य
latent	anticipation	0.273	अव्यक्त
cream	anticipation	0.273	मलाई
immaturity	anticipation	0.273	अपरिपक्वता
habitual	anticipation	0.266	अभ्यस्त
morals	anticipation	0.266	नैतिकता
neighborhood	anticipation	0.266	अड़ोस-पड़ोस
lull	anticipation	0.266	शांति काल
bye	anticipation	0.258	अलविदा
weight	anticipation	0.258	वजन
organ	anticipation	0.250	अंग
clown	anticipation	0.250	विदूषक
forearm	anticipation	0.250	बांह की कलाई
commonplace	anticipation	0.242	सामान्य
quote	anticipation	0.242	उद्धरण
rail	anticipation	0.234	रेल
dictatorship	anticipation	0.234	अधिनायकत्व
treadmill	anticipation	0.234	TREADMILL
board	anticipation	0.234	मंडल
tree	anticipation	0.227	पेड़
sundial	anticipation	0.227	धूपघड़ी
paralysis	anticipation	0.211	पक्षाघात
cement	anticipation	0.203	सीमेंट
worm	anticipation	0.203	कीड़ा
organization	anticipation	0.203	संगठन
lagging	anticipation	0.180	ठंड
neutral	anticipation	0.148	तटस्थ
cannibalism	disgust	0.953	नरमांस-भक्षण
mutilation	disgust	0.930	विकृति
molestation	disgust	0.914	छेड़छाड़
incest	disgust	0.914	कौटुम्बिक व्यभिचार
rape	disgust	0.906	बलात्कार
gonorrhea	disgust	0.906	सूजाक
cannibal	disgust	0.898	नरभक्षक
rot	disgust	0.891	सड़ांध
corpse	disgust	0.883	लाश
massacre	disgust	0.883	हत्याकांड
excrement	disgust	0.883	मलमूत्र
barf	disgust	0.875	बर्फ़
slaughter	disgust	0.875	वध
slaughterhouse	disgust	0.867	क़साईख़ाना
incestuous	disgust	0.859	ईन्सेस्त का
sewerage	disgust	0.859	मल
filth	disgust	0.859	गंदगी
bigot	disgust	0.859	कट्टर व्यक्रित
rancid	disgust	0.859	बासी
infestation	disgust	0.852	संक्रमण
plague	disgust	0.852	प्लेग
holocaust	disgust	0.852	प्रलय
bloodthirsty	disgust	0.852	bloodthirsty
rotting	disgust	0.844	सड़
fecal	disgust	0.844	मल
maggot	disgust	0.844	मन की मौज
feces	disgust	0.844	मल
murder	disgust	0.839	हत्या
asshole	disgust	0.836	गधे
homicide	disgust	0.836	मानव हत्या
enslaved	disgust	0.836	गुलाम
infanticide	disgust	0.836	भ्रूण हत्या
perverted	disgust	0.828	विकृत
excretion	disgust	0.828	मलत्याग
gore	disgust	0.828	तिकोना कपड़ा
slaughtering	disgust	0.828	नरसंहार
torture	disgust	0.828	कष्ट पहुंचाना
contaminate	disgust	0.821	दूषित
revolting	disgust	0.820	विप्लव करनेवाला
gory	disgust	0.820	रक्तमय
shit	disgust	0.820	मल
terrorist	disgust	0.820	आतंकवादी
murderer	disgust	0.820	मार डालनेवाला
repugnant	disgust	0.820	प्रतिकूल
manure	disgust	0.820	खाद
pervert	disgust	0.820	विकृत
diarrhoea	disgust	0.820	दस्त
grotesque	disgust	0.820	विचित्र
desecration	disgust	0.820	अपवित्रता
faeces	disgust	0.812	मल
slavery	disgust	0.812	गुलामी
sewer	disgust	0.812	गंदा नाला
cadaver	disgust	0.812	शव
manslaughter	disgust	0.812	हत्या
dismemberment	disgust	0.812	बहिष्कार
vomit	disgust	0.812	उल्टी करना
perverse	disgust	0.805	विकृत
repulsive	disgust	0.805	प्रतिकारक
hemorrhage	disgust	0.805	नकसीर
sewage	disgust	0.797	मल
filthy	disgust	0.797	गंदा
diseased	disgust	0.797	रोगी
depravity	disgust	0.797	भ्रष्टता
carcass	disgust	0.795	शव
decompose	disgust	0.789	घुलना
gruesome	disgust	0.789	भीषण
mutilated	disgust	0.789	विकृत
puke	disgust	0.789	उलटी
herpes	disgust	0.789	हरपीज
decayed	disgust	0.789	सड़ा हुआ
dung	disgust	0.789	गोबर
vermin	disgust	0.789	दरिंदा
murderous	disgust	0.789	घातक
parasite	disgust	0.789	परजीवी
horrific	disgust	0.789	भीषण
carnage	disgust	0.781	नरसंहार
malaria	disgust	0.781	मलेरिया
slime	disgust	0.781	कीचड़
flatulence	disgust	0.781	पेट फूलना
pestilence	disgust	0.781	ताऊन
crap	disgust	0.781	बकवास
monstrosity	disgust	0.781	कुरूपता
loathsome	disgust	0.773	वीभत्स
toxic	disgust	0.773	विषाक्त
morgue	disgust	0.773	मुर्दा घर
pus	disgust	0.773	मवाद
herpesvirus	disgust	0.773	दाद
leprosy	disgust	0.773	कुष्ठ रोग
insidious	disgust	0.773	कपटी
cruel	disgust	0.766	निर्दयी
regurgitation	disgust	0.766	ऊर्ध्वनिक्षेप
anthrax	disgust	0.766	बिसहरिया
xenophobia	disgust	0.766	विदेशी लोगों को न पसन्द करना
repugnance	disgust	0.766	घृणा
lynch	disgust	0.766	वध करना
revulsion	disgust	0.766	तबदीली
whore	disgust	0.766	वेश्या
dissection	disgust	0.759	विच्छेदन
mucous	disgust	0.758	चिपचिपा
canker	disgust	0.758	नासूर
slum	disgust	0.758	गंदी बस्ती
infectious	disgust	0.758	संक्रामक
evil	disgust	0.758	बुराई
phlegm	disgust	0.758	कफ
cruelty	disgust	0.758	क्रूरता
perversion	disgust	0.758	विकृति
sinister	disgust	0.750	भयावह
leeches	disgust	0.750	जोंक
corrupting	disgust	0.750	भ्रष्ट
decomposition	disgust	0.750	सड़न
abomination	disgust	0.742	नफरत
stinking	disgust	0.742	बदबूदार
bile	disgust	0.742	पित्त
demonic	disgust	0.742	राक्षसी
deranged	disgust	0.742	विक्षिप्त
abhorrence	disgust	0.742	घृणा
soiled	disgust	0.742	गंदे
mucus	disgust	0.742	बलगम
septic	disgust	0.742	विषाक्त
sickening	disgust	0.742	कुत्सित
demon	disgust	0.742	दानव
cancer	disgust	0.734	कैंसर
obese	disgust	0.734	मोटा
degeneracy	disgust	0.734	पतन
despicable	disgust	0.734	नाली का कीड़ा
atrocity	disgust	0.734	क्रूरता
foul	disgust	0.734	बेईमानी से
sicken	disgust	0.734	घृणा का अनुभव करना
crucifixion	disgust	0.734	सूली पर चढ़ाये जाने
terrorism	disgust	0.734	आतंक
repulsion	disgust	0.727	घृणा
morbidity	disgust	0.727	रोगों की संख्या
dysentery	disgust	0.727	पेचिश
enema	disgust	0.727	एनीमा
bacterium	disgust	0.727	जीवाणु
dirty	disgust	0.727	गंदा
adultery	disgust	0.727	व्यभिचार
contamination	disgust	0.727	दूषण
grisly	disgust	0.727	भयानक
diabolical	disgust	0.727	पैशाचिक
autopsy	disgust	0.719	शव परीक्षण
barbaric	disgust	0.719	असभ्य
vulgar	disgust	0.719	अशिष्ट
entrails	disgust	0.719	अंतड़ियों
disgust	disgust	0.719	घृणा
lewd	disgust	0.719	अशिष्ट
muck	disgust	0.719	कूड़ा-कर्कट
bowels	disgust	0.719	आंत
garbage	disgust	0.719	कचरा
deterioration	disgust	0.719	बिगड़ना
contagion	disgust	0.719	छूत
vicious	disgust	0.719	दुष्ट
disfigured	disgust	0.719	विकृत
pungent	disgust	0.719	कटु
gross	disgust	0.719	कुल
bloodshed	disgust	0.714	रक्तपात
gag	disgust	0.711	झूठ
pollute	disgust	0.711	नापाक
nausea	disgust	0.711	जी मिचलाना
tyrant	disgust	0.711	तानाशाह
wretched	disgust	0.711	मनहूस
mortification	disgust	0.711	वैराग्य
violent	disgust	0.711	हिंसक
poisoned	disgust	0.711	जहर
nauseate	disgust	0.703	घृणा करना
slimy	disgust	0.703	घिनौना
grope	disgust	0.703	अंधे की तरह खोजना
slut	disgust	0.703	फूहड़
nasty	disgust	0.703	बहुत खराब
disgusting	disgust	0.703	घिनौना
depraved	disgust	0.703	भ्रष्ट
porn	disgust	0.703	पॉर्न
hateful	disgust	0.703	घृणित
vulgarity	disgust	0.703	असभ्यता
noxious	disgust	0.703	हानिकारक
grime	disgust	0.703	जमी हुई कीट
constipation	disgust	0.703	कब्ज
secretion	disgust	0.703	स्राव
poisoning	disgust	0.703	जहर
despotism	disgust	0.703	तानाशाही
measles	disgust	0.696	खसरा
contagious	disgust	0.695	संक्रामक
obesity	disgust	0.695	मोटापा
wart	disgust	0.695	मस्सा
hate	disgust	0.695	नफ़रत करना
hellish	disgust	0.695	नारकीय
scum	disgust	0.695	मैल
suicidal	disgust	0.695	आत्मघात
wretch	disgust	0.695	नीच
abuse	disgust	0.695	गाली देना
waste	disgust	0.695	बरबाद करना
intestinal	disgust	0.695	आंतों
heartworm	disgust	0.688	दिल का कीड़ा
ooze	disgust	0.688	रसना
treason	disgust	0.688	राज-द्रोह
contaminated	disgust	0.688	दूषित
smut	disgust	0.688	मैल
disease	disgust	0.688	बीमारी
rabid	disgust	0.688	विक्षिप्त
deformed	disgust	0.680	विकृत
hell	disgust	0.680	नरक
soulless	disgust	0.680	संगदिल
cholera	disgust	0.680	हैज़ा
bestial	disgust	0.680	वहशी
antichrist	disgust	0.680	ईसा मसीह का शत्रु
freakish	disgust	0.680	झक्की
germ	disgust	0.680	रोगाणु
detest	disgust	0.680	घृणा
pollution	disgust	0.680	प्रदूषण
grimy	disgust	0.680	साँवला
abhorrent	disgust	0.680	घिनौना
hatred	disgust	0.680	घृणा
abominate	disgust	0.680	घिनौना
sickness	disgust	0.680	रोग
hideous	disgust	0.672	भयंकर
dictatorship	disgust	0.672	अधिनायकत्व
loathful	disgust	0.672	घिनौना
greasy	disgust	0.672	चिकनी
dilapidated	disgust	0.672	उबड खाबड
inhuman	disgust	0.672	अमानवीय
loathing	disgust	0.672	घृणा
obscene	disgust	0.672	गंदा
cess	disgust	0.670	उपकर
devil	disgust	0.664	शैतान
deformity	disgust	0.664	कुरूपता
nauseous	disgust	0.664	वमनजनक
deadly	disgust	0.664	घातक
swine	disgust	0.664	सुअर
discrimination	disgust	0.664	भेदभाव
abominable	disgust	0.664	घिनौना
masochism	disgust	0.664	स्वपीड़न
heretic	disgust	0.664	विधर्मी
latrines	disgust	0.656	शौचालयों
corruption	disgust	0.656	भ्रष्टाचार
poisonous	disgust	0.656	विषैला
horror	disgust	0.656	डरावना
nefarious	disgust	0.656	कुटिल
bacteria	disgust	0.656	जीवाणु
horrible	disgust	0.656	भयंकर
trash	disgust	0.656	कचरा
abortion	disgust	0.656	गर्भपात
death	disgust	0.656	मौत
prejudiced	disgust	0.656	पक्षपातपूर्ण
poison	disgust	0.656	ज़हर
oppression	disgust	0.656	उत्पीड़न
goo	disgust	0.656	चिपचिपा पदार्थ
victimized	disgust	0.656	सताया हुआ
mange	disgust	0.656	मांगे
sludge	disgust	0.648	कीचड़
trashy	disgust	0.648	तुच्छ
vindictive	disgust	0.648	प्रतिशोधी
horrid	disgust	0.648	भयंकर
ugly	disgust	0.648	कुरूप
immoral	disgust	0.648	अनैतिक
bitch	disgust	0.648	कुतिया
outhouse	disgust	0.648	इमारत का बाज़ू
detestation	disgust	0.648	नक़रत
horrifying	disgust	0.641	भयानक
laxative	disgust	0.641	रेचक
unsightly	disgust	0.641	भद्दा
derogatory	disgust	0.641	अपमानजनक
slop	disgust	0.641	डबरा
malfeasance	disgust	0.641	दुराचार
spew	disgust	0.641	वमन
pimple	disgust	0.641	फुंसी
criminality	disgust	0.641	अपराधिता
indecency	disgust	0.641	अभद्रता
cystic	disgust	0.641	सिस्टिक
villainous	disgust	0.641	शरारतपूर्ण
queasy	disgust	0.633	कोमल
mildew	disgust	0.633	फफूंदी
oppressive	disgust	0.633	दमनकारी
prostitution	disgust	0.633	वेश्यावृत्ति
secrete	disgust	0.633	छिपाना
ulcer	disgust	0.633	व्रण
rat	disgust	0.633	चूहा
bigoted	disgust	0.633	धर्माध
perpetrator	disgust	0.633	अपराधी
doomsday	disgust	0.633	कयामत का दिन
sinful	disgust	0.633	पापी
degrading	disgust	0.625	अपमानजनक
ghastly	disgust	0.625	भयंकर
suffering	disgust	0.625	कष्ट
obscenity	disgust	0.625	बेहूदापन
devilish	disgust	0.625	शैतानी
disgraceful	disgust	0.625	शर्मनाक
persecution	disgust	0.625	उत्पीड़न
contemptible	disgust	0.625	घिनौना
cuckold	disgust	0.625	व्यभिचारी
stools	disgust	0.625	दस्त
dastardly	disgust	0.625	डरपोक
sin	disgust	0.625	पाप
gluttony	disgust	0.625	लोलुपता
bloated	disgust	0.625	फूला हुआ
fungus	disgust	0.625	कुकुरमुत्ता
aghast	disgust	0.625	भौचक्का
diaper	disgust	0.617	डायपर
malicious	disgust	0.617	दुर्भावनापूर्ण
polygamy	disgust	0.617	बहुविवाह
dying	disgust	0.617	मरना
termite	disgust	0.617	दीमक
fat	disgust	0.617	मोटा
deceit	disgust	0.617	छल
atrocious	disgust	0.617	नृशंस
guillotine	disgust	0.617	गिलोटिन
tetanus	disgust	0.617	धनुस्तंभ
spoil	disgust	0.617	बिगाड़ना
crusty	disgust	0.617	क्रस्टी
sickly	disgust	0.617	बीमार
louse	disgust	0.617	जूं
strangle	disgust	0.617	दबाना
betrayal	disgust	0.617	विश्वासघात
loathe	disgust	0.617	घृणा करना
wench	disgust	0.617	लड़की
infect	disgust	0.617	संक्रमित
violently	disgust	0.609	बलपूर्वक
brothel	disgust	0.609	वेश्यालय
drool	disgust	0.609	लार
bleeding	disgust	0.609	खून बह रहा है
deform	disgust	0.609	ख़राब
ghetto	disgust	0.609	यहूदी बस्ती
sabotage	disgust	0.609	तोड़-फोड़
venomous	disgust	0.609	विषैला
abhor	disgust	0.609	घृणा करना
slander	disgust	0.609	बदनामी
hostile	disgust	0.609	विरोधी
musty	disgust	0.602	बासी
illicit	disgust	0.602	अवैध
ugliness	disgust	0.602	कुरूपता
unwashed	disgust	0.602	मैला
swampy	disgust	0.602	दलदल से भरा
deprivation	disgust	0.602	हानि
poaching	disgust	0.602	अवैध शिकार
hag	disgust	0.602	डायन
infidel	disgust	0.602	बेवफ़ा
imprisonment	disgust	0.602	कैद होना
traitor	disgust	0.602	गद्दार
lunacy	disgust	0.602	पागलपन
queasiness	disgust	0.594	नज़ाकत
hostility	disgust	0.594	शत्रुता
repelling	disgust	0.594	पीछे धकेलने
intoxicated	disgust	0.594	नशे में चूर
thug	disgust	0.594	हत्यारा
catastrophe	disgust	0.594	तबाही
lunatic	disgust	0.594	पागल मनुष्य
misery	disgust	0.594	कष्ट
venom	disgust	0.594	ज़हर
butcher	disgust	0.594	कसाई
toilet	disgust	0.594	शौचालय
blister	disgust	0.594	छाला
lurid	disgust	0.594	भयंकर
slug	disgust	0.594	काउंटर
gut	disgust	0.594	आंत
sinner	disgust	0.594	पाप करनेवाला
deceitful	disgust	0.594	छल से
epidemic	disgust	0.594	महामारी
deteriorated	disgust	0.586	बिगड़ी
lavatory	disgust	0.586	शौचालय
unclean	disgust	0.586	अशुद्ध
prostitute	disgust	0.586	रंडी
incubus	disgust	0.586	ईन्कुबुस
appalling	disgust	0.586	भय उत्पन्न करनेवाला
dreadful	disgust	0.586	भयानक
pornography	disgust	0.586	कामोद्दीपक चित्र
harass	disgust	0.586	परेशान
squeamish	disgust	0.578	नकचढ़ा
expulsion	disgust	0.578	निष्कासन
unfaithful	disgust	0.578	विश्वासघाती
offensive	disgust	0.578	आक्रामक
hypocrite	disgust	0.578	पाखंडी
humiliating	disgust	0.578	अपमानजनक
larceny	disgust	0.578	चोरी
ruinous	disgust	0.578	खंडहर वाला
retard	disgust	0.578	काम करना
rash	disgust	0.578	खरोंच
flea	disgust	0.578	देहिका
debauchery	disgust	0.578	ऐयाशी
fiend	disgust	0.578	राक्षस
quagmire	disgust	0.578	दलदल
conspirator	disgust	0.578	षड्यंत्रकारी
sick	disgust	0.578	बीमार
mangle	disgust	0.578	वध करना
dogsick	disgust	0.570	कुत्ते की बीमारी
egregious	disgust	0.570	प्रबल
flog	disgust	0.570	चाबुक से मारना
despise	disgust	0.570	घृणा
treacherous	disgust	0.570	नमक हराम
oppress	disgust	0.570	अन्धेर
swamp	disgust	0.570	दलदल
messy	disgust	0.570	गंदा
spit	disgust	0.570	थूकना
dank	disgust	0.570	नम
bastard	disgust	0.570	हरामी
devastating	disgust	0.570	भयानक
serpent	disgust	0.570	साँप
loo	disgust	0.562	अस्तर
indecent	disgust	0.562	अभद्र
insanity	disgust	0.562	पागलपन
stealing	disgust	0.562	चोरी
terrible	disgust	0.562	भयानक
tyrannical	disgust	0.562	अत्याचारी
humiliation	disgust	0.562	निरादर
snake	disgust	0.562	साँप
sloppy	disgust	0.562	मैला
sinning	disgust	0.562	पाप
harmful	disgust	0.562	हानिकारक
harlot	disgust	0.562	रंडी
sordid	disgust	0.562	घिनौना
enemy	disgust	0.562	शत्रु
alcoholism	disgust	0.562	शराब
awful	disgust	0.562	भयंकर
ruthless	disgust	0.562	क्रूर
scoundrel	disgust	0.562	दुष्ट
bloody	disgust	0.555	रक्तरंजित
flabby	disgust	0.555	मृदु
odious	disgust	0.555	घिनौना
beastly	disgust	0.555	क्रूरतापूर्ण
collusion	disgust	0.555	आपसी साँठ - गाँठ
ridicule	disgust	0.555	उपहास
discriminating	disgust	0.555	भेदभाव
unattractive	disgust	0.555	बदसूरत
insufferable	disgust	0.555	दम्भी
segregate	disgust	0.555	अलग
arsenic	disgust	0.555	हरताल
threatening	disgust	0.555	धमकी
atrophy	disgust	0.555	शोष
varicella	disgust	0.555	छोटी चेचक
slayer	disgust	0.555	बध करनेवाला
distaste	disgust	0.555	वैमनस्य
coward	disgust	0.555	कायर
robbery	disgust	0.555	डकैती
wickedness	disgust	0.555	दुष्टता
anathema	disgust	0.547	अभिशाप
malevolent	disgust	0.547	द्रोही
sty	disgust	0.547	शूकरशाला
pillage	disgust	0.547	लूट का माल
thief	disgust	0.547	चोर
suffocating	disgust	0.547	घुटना-संबंधी
condemnation	disgust	0.547	निंदा
deleterious	disgust	0.547	हानिकारक
slur	disgust	0.547	कलंक
purgatory	disgust	0.547	यातना
attacking	disgust	0.547	पर हमला
burglar	disgust	0.547	सेंधमार
ogre	disgust	0.547	आदमख़ोर
coercion	disgust	0.547	दबाव
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	दुखी
bitterly	disgust	0.547	कटु
sneer	disgust	0.539	उपहास
greedy	disgust	0.539	लालची
gob	disgust	0.539	खखार
repellant	disgust	0.539	प्रतिकारक
jealous	disgust	0.539	ईर्ष्यालु
drunken	disgust	0.539	शराबी
shame	disgust	0.539	शर्म
thrash	disgust	0.539	पीटना
fatty	disgust	0.539	मोटे
liar	disgust	0.539	झूठा
imprisoned	disgust	0.539	बन्दी
sloth	disgust	0.539	आलस
repudiation	disgust	0.539	परित्याग
disgrace	disgust	0.539	अपमान
infidelity	disgust	0.539	बेवफ़ाई
pig	disgust	0.539	सुअर
lethal	disgust	0.536	जानलेवा
burnt	disgust	0.531	जला हुआ
brawl	disgust	0.531	विवाद
withered	disgust	0.531	मुरझाया हुआ
blemish	disgust	0.531	दोष
hydrocephalus	disgust	0.531	जलशीर्ष
aberration	disgust	0.531	विपथन
smuggler	disgust	0.531	तस्कर
painful	disgust	0.531	दर्दनाक
condescension	disgust	0.531	रिआयत
intolerant	disgust	0.531	असहिष्णु
blasphemous	disgust	0.531	तिरस्कारी
lying	disgust	0.531	लेटा हुआ
hanging	disgust	0.531	फांसी
travesty	disgust	0.531	भड़ौआ
ruined	disgust	0.531	बर्बाद होगया
intrusive	disgust	0.531	दखल
disintegrate	disgust	0.531	बिखर
destructive	disgust	0.531	हानिकारक
neurotic	disgust	0.531	न्युरोटिक
disparaging	disgust	0.523	उपेक्षा करनेवाला
blighted	disgust	0.523	अभिशप्त
intolerance	disgust	0.523	असहिष्णुता
mistress	disgust	0.523	स्वामिनी
avarice	disgust	0.523	लोभ
disgraced	disgust	0.523	बदनाम
derogation	disgust	0.523	मानमर्दन
rubbish	disgust	0.523	बकवास
accusation	disgust	0.523	आरोप
incarceration	disgust	0.523	क़ैद कर देना
tortious	disgust	0.516	अत्याचारी
dishonor	disgust	0.516	अपमान
stink	disgust	0.516	बदबू
grim	disgust	0.516	विकट
rob	disgust	0.516	लूटना
defraud	disgust	0.516	छल
sump	disgust	0.516	नाबदान
cringe	disgust	0.516	झेंप जाना
vulture	disgust	0.516	गिद्ध
deplorable	disgust	0.516	खेदजनक
mite	disgust	0.516	घुन
eradication	disgust	0.516	नाश
degrade	disgust	0.516	नीचा
gutter	disgust	0.516	नाली
convict	disgust	0.516	मिद्धदोष अपराधी
remains	disgust	0.516	खंडहर
betray	disgust	0.516	धोखा देना
daemon	disgust	0.516	डेमॉन
sham	disgust	0.509	दिखावा
distasteful	disgust	0.508	अप्रिय
prisoner	disgust	0.508	बंदी
dreadfully	disgust	0.508	भयानक रूप से
worthless	disgust	0.508	बेकार
crude	disgust	0.508	अपरिष्कृत
delirium	disgust	0.508	प्रलाप
incurable	disgust	0.508	असाध्य
smelling	disgust	0.508	सुगंधित
idiocy	disgust	0.508	मूर्खता
resentment	disgust	0.508	क्रोध
bombed	disgust	0.508	पर बमबारी
blob	disgust	0.508	ब्लॉब
cheat	disgust	0.508	धोखा
schizophrenia	disgust	0.508	एक प्रकार का मानसिक विकार
rejection	disgust	0.508	अस्वीकार
belittle	disgust	0.508	कम हो जाना
glut	disgust	0.508	भरमार
disaster	disgust	0.508	आपदा
distress	disgust	0.508	संकट
pest	disgust	0.508	पीड़क
endemic	disgust	0.508	स्थानिक
theft	disgust	0.500	चोरी
banish	disgust	0.500	निर्वासित
mire	disgust	0.500	कीचड़
flagrant	disgust	0.500	खुला
derision	disgust	0.500	उपहास
dirt	disgust	0.500	गंध
screaming	disgust	0.500	चिल्ला
offense	disgust	0.500	अपराध
jealousy	disgust	0.500	डाह करना
bribery	disgust	0.500	रिश्वत
polemic	disgust	0.500	विवादात्मक
blight	disgust	0.500	नुक़सान
impeach	disgust	0.500	महाभियोग चलाने
bitterness	disgust	0.500	अप्रसन्नता
taboo	disgust	0.500	निषेध
duress	disgust	0.500	अवरोध
goblin	disgust	0.500	भूत
shackle	disgust	0.500	बेड़ी
idolatry	disgust	0.500	मूर्ति पूजा
greed	disgust	0.500	लालच
impurity	disgust	0.500	अपवित्रता
tirade	disgust	0.500	टाइरैड
idiot	disgust	0.492	मति - मंद
boil	disgust	0.492	उबलना
unconscionable	disgust	0.492	बेशरम
disreputable	disgust	0.492	जर्जर
robber	disgust	0.492	लूटेरा
malign	disgust	0.492	दुष्ट
wreck	disgust	0.492	जहाज के मलबे
recession	disgust	0.492	मंदी
gorge	disgust	0.492	कण्ठ
leer	disgust	0.492	छली
ill	disgust	0.492	बीमार
squirm	disgust	0.492	ऐंठना
raging	disgust	0.484	प्रकोप
servile	disgust	0.484	ग़ुलामी का
mess	disgust	0.484	गड़बड़
nappy	disgust	0.484	रूमाल
possessed	disgust	0.484	अधीन
unbearable	disgust	0.484	असहनीय
occult	disgust	0.484	रहस्यमय
contraband	disgust	0.484	वर्जित
snarl	disgust	0.484	गिरह
mutiny	disgust	0.484	गदर
mad	disgust	0.484	पागल
affliction	disgust	0.484	यातना
stain	disgust	0.484	धब्बा
animosity	disgust	0.484	बैर
contempt	disgust	0.484	अवमानना
tramp	disgust	0.484	आवारा
nepotism	disgust	0.484	भाई-भतीजावाद
disrespectful	disgust	0.484	अनुचित
defamation	disgust	0.484	मानहानि
inexcusable	disgust	0.484	अक्षम्य
aversation	disgust	0.484	टाल-मटोल
wasteful	disgust	0.484	अपव्ययी
offender	disgust	0.484	अपराधी
subjugation	disgust	0.484	दमन
illegality	disgust	0.477	अवैधता
dismal	disgust	0.477	निराशाजनक
criminal	disgust	0.477	आपराधिक
unpleasant	disgust	0.477	अप्रिय
palsy	disgust	0.477	पाल्सी
antagonistic	disgust	0.477	विरोधी
pathetic	disgust	0.477	दयनीय
uncaring	disgust	0.477	बेपरवाह
suppression	disgust	0.477	दमन
immorality	disgust	0.477	अनैतिकता
mockery	disgust	0.477	मज़ाक
outrage	disgust	0.469	उल्लंघन
