English Word	Emotion	Emotion-Intensity-Score	Dutch Word
violent	disgust	0.711	gewelddadig
poisoned	disgust	0.711	vergiftigd
nauseate	disgust	0.703	misselijk
slimy	disgust	0.703	slijmerig
grope	disgust	0.703	tasten
slut	disgust	0.703	slet
nasty	disgust	0.703	vervelend
disgusting	disgust	0.703	afschuwelijk
depraved	disgust	0.703	verdorven
porn	disgust	0.703	porno
hateful	disgust	0.703	haatdragend
vulgarity	disgust	0.703	vulgariteit
noxious	disgust	0.703	schadelijk
grime	disgust	0.703	vuil
constipation	disgust	0.703	constipatie
secretion	disgust	0.703	afscheiding
poisoning	disgust	0.703	vergiftiging
despotism	disgust	0.703	despotisme
measles	disgust	0.696	mazelen
contagious	disgust	0.695	besmettelijk
obesity	disgust	0.695	zwaarlijvigheid
wart	disgust	0.695	wrat
hate	disgust	0.695	een hekel hebben aan
hellish	disgust	0.695	hels
scum	disgust	0.695	uitschot
suicidal	disgust	0.695	suïcidaal
wretch	disgust	0.695	ellendeling
abuse	disgust	0.695	misbruik
waste	disgust	0.695	afval
intestinal	disgust	0.695	intestinaal
heartworm	disgust	0.688	hartworm
ooze	disgust	0.688	sijpelen
treason	disgust	0.688	landverraad
contaminated	disgust	0.688	vervuild
smut	disgust	0.688	vuiligheid
disease	disgust	0.688	ziekte
rabid	disgust	0.688	hondsdolheid
deformed	disgust	0.680	misvormd
hell	disgust	0.680	hel
soulless	disgust	0.680	zielloos
cholera	disgust	0.680	cholera
bestial	disgust	0.680	beestachtig
antichrist	disgust	0.680	antichrist
freakish	disgust	0.680	grillig
germ	disgust	0.680	kiem
detest	disgust	0.680	verafschuwen
pollution	disgust	0.680	vervuiling
grimy	disgust	0.680	groezelig
abhorrent	disgust	0.680	weerzinwekkend
hatred	disgust	0.680	haat
abominate	disgust	0.680	verafschuwen
sickness	disgust	0.680	ziekte
hideous	disgust	0.672	afschuwelijk
dictatorship	disgust	0.672	dictatuur
loathful	disgust	0.672	walgelijk
greasy	disgust	0.672	vettig
dilapidated	disgust	0.672	vervallen
inhuman	disgust	0.672	onmenselijk
loathing	disgust	0.672	afkeer
obscene	disgust	0.672	obsceen
cess	disgust	0.670	ophouden
devil	disgust	0.664	duivel
deformity	disgust	0.664	misvorming
nauseous	disgust	0.664	misselijk
deadly	disgust	0.664	dodelijk
swine	disgust	0.664	zwijnen
discrimination	disgust	0.664	discriminatie
abominable	disgust	0.664	afschuwelijk
masochism	disgust	0.664	masochisme
heretic	disgust	0.664	ketter
latrines	disgust	0.656	latrines
corruption	disgust	0.656	corruptie
poisonous	disgust	0.656	giftig
horror	disgust	0.656	verschrikking
nefarious	disgust	0.656	schandelijk
bacteria	disgust	0.656	bacteriën
horrible	disgust	0.656	vreselijk
trash	disgust	0.656	afval
abortion	disgust	0.656	abortus
death	disgust	0.656	dood
prejudiced	disgust	0.656	bevooroordeeld
poison	disgust	0.656	vergif
oppression	disgust	0.656	onderdrukking
goo	disgust	0.656	smurrie
victimized	disgust	0.656	slachtoffer
mange	disgust	0.656	schurft
sludge	disgust	0.648	slib
trashy	disgust	0.648	rotzooi
vindictive	disgust	0.648	wraakzuchtig
horrid	disgust	0.648	afschuwelijk
ugly	disgust	0.648	lelijk
immoral	disgust	0.648	immoreel
bitch	disgust	0.648	teef
outhouse	disgust	0.648	bijgebouw
detestation	disgust	0.648	afkeer
horrifying	disgust	0.641	afschuwelijk
laxative	disgust	0.641	laxeermiddel
unsightly	disgust	0.641	lelijk
derogatory	disgust	0.641	denigrerend
slop	disgust	0.641	slordig
malfeasance	disgust	0.641	misdrijf
spew	disgust	0.641	spuwen
pimple	disgust	0.641	puistje
criminality	disgust	0.641	criminaliteit
indecency	disgust	0.641	onfatsoenlijkheid
cystic	disgust	0.641	cystisch
villainous	disgust	0.641	schurkachtig
queasy	disgust	0.633	misselijk
mildew	disgust	0.633	meeldauw
oppressive	disgust	0.633	benauwend
prostitution	disgust	0.633	prostitutie
secrete	disgust	0.633	afscheiden
ulcer	disgust	0.633	zweer
rat	disgust	0.633	Rat
bigoted	disgust	0.633	onverdraagzaam
perpetrator	disgust	0.633	dader
doomsday	disgust	0.633	dag des oordeels
sinful	disgust	0.633	zondig
degrading	disgust	0.625	vernederend
ghastly	disgust	0.625	afschuwelijk
suffering	disgust	0.625	lijden
obscenity	disgust	0.625	obsceniteit
devilish	disgust	0.625	duivels
disgraceful	disgust	0.625	schandelijk
persecution	disgust	0.625	vervolging
contemptible	disgust	0.625	verachtelijk
cuckold	disgust	0.625	hoorndrager
stools	disgust	0.625	ontlasting
dastardly	disgust	0.625	lafhartig
sin	disgust	0.625	zonde
gluttony	disgust	0.625	vraatzucht
bloated	disgust	0.625	opgezwollen
fungus	disgust	0.625	schimmel
aghast	disgust	0.625	verbijsterd
diaper	disgust	0.617	luier
malicious	disgust	0.617	kwaadwillend
polygamy	disgust	0.617	polygamie
dying	disgust	0.617	stervende
termite	disgust	0.617	termiet
fat	disgust	0.617	dik
deceit	disgust	0.617	bedrog
atrocious	disgust	0.617	afschuwelijk
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	Bederven
crusty	disgust	0.617	knapperig
sickly	disgust	0.617	ziekelijk
louse	disgust	0.617	luis
strangle	disgust	0.617	wurgen
betrayal	disgust	0.617	bedrog
loathe	disgust	0.617	verafschuwen
wench	disgust	0.617	deern
infect	disgust	0.617	infecteren
violently	disgust	0.609	met geweld
brothel	disgust	0.609	bordeel
drool	disgust	0.609	kwijlen
bleeding	disgust	0.609	bloeden
deform	disgust	0.609	vervormen
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	giftig
abhor	disgust	0.609	verafschuwen
slander	disgust	0.609	laster
hostile	disgust	0.609	gewelddadig
musty	disgust	0.602	muf
illicit	disgust	0.602	onwettig
ugliness	disgust	0.602	lelijkheid
unwashed	disgust	0.602	ongewassen
swampy	disgust	0.602	moerassig
deprivation	disgust	0.602	ontbering
poaching	disgust	0.602	stroperij
hag	disgust	0.602	hag
infidel	disgust	0.602	ongelovige
imprisonment	disgust	0.602	gevangenisstraf
traitor	disgust	0.602	verrader
lunacy	disgust	0.602	waanzin
queasiness	disgust	0.594	misselijkheid
hostility	disgust	0.594	vijandigheid
repelling	disgust	0.594	afstotend
intoxicated	disgust	0.594	dronken
thug	disgust	0.594	misdadiger
catastrophe	disgust	0.594	catastrofe
lunatic	disgust	0.594	gek
misery	disgust	0.594	ellende
venom	disgust	0.594	venijn
butcher	disgust	0.594	slager
toilet	disgust	0.594	toilet
blister	disgust	0.594	blaar
lurid	disgust	0.594	luguber
slug	disgust	0.594	naaktslak
gut	disgust	0.594	darm
sinner	disgust	0.594	zondaar
deceitful	disgust	0.594	bedrieglijk
epidemic	disgust	0.594	epidemie
deteriorated	disgust	0.586	verslechterd
lavatory	disgust	0.586	toilet
unclean	disgust	0.586	onrein
prostitute	disgust	0.586	prostitueren
incubus	disgust	0.586	incubus
appalling	disgust	0.586	vreselijk
dreadful	disgust	0.586	vreselijk
pornography	disgust	0.586	pornografie
harass	disgust	0.586	kwellen
squeamish	disgust	0.578	preuts
expulsion	disgust	0.578	uitzetting
unfaithful	disgust	0.578	ontrouw
offensive	disgust	0.578	offensief
hypocrite	disgust	0.578	huichelaar
humiliating	disgust	0.578	vernederend
larceny	disgust	0.578	diefstal
ruinous	disgust	0.578	verwoestend
retard	disgust	0.578	vertragen
rash	disgust	0.578	uitslag
flea	disgust	0.578	vlo
debauchery	disgust	0.578	losbandigheid
fiend	disgust	0.578	duivel
quagmire	disgust	0.578	moeras
conspirator	disgust	0.578	samenzweerder
sick	disgust	0.578	ziek
mangle	disgust	0.578	mangel
dogsick	disgust	0.570	hondsziek
egregious	disgust	0.570	ongehoord
flog	disgust	0.570	geseling
despise	disgust	0.570	verachten
treacherous	disgust	0.570	verraderlijk
oppress	disgust	0.570	onderdrukken
swamp	disgust	0.570	moeras
messy	disgust	0.570	rommelig
spit	disgust	0.570	spit
dank	disgust	0.570	dank u
bastard	disgust	0.570	bastaard-
devastating	disgust	0.570	verwoestend
serpent	disgust	0.570	slang
loo	disgust	0.562	wc
indecent	disgust	0.562	onfatsoenlijk
insanity	disgust	0.562	krankzinnigheid
stealing	disgust	0.562	stelen
terrible	disgust	0.562	verschrikkelijk
tyrannical	disgust	0.562	tiranniek
humiliation	disgust	0.562	vernedering
snake	disgust	0.562	slang
sloppy	disgust	0.562	slordig
sinning	disgust	0.562	zondigen
harmful	disgust	0.562	schadelijk
harlot	disgust	0.562	hoer
sordid	disgust	0.562	smerig
enemy	disgust	0.562	vijand
alcoholism	disgust	0.562	alcoholisme
awful	disgust	0.562	vreselijk
ruthless	disgust	0.562	meedogenloos
scoundrel	disgust	0.562	schurk
bloody	disgust	0.555	verdomd
flabby	disgust	0.555	slap
odious	disgust	0.555	verfoeilijk
beastly	disgust	0.555	beestachtig
collusion	disgust	0.555	samenzwering
ridicule	disgust	0.555	spot
discriminating	disgust	0.555	discriminerend
unattractive	disgust	0.555	onaantrekkelijk
insufferable	disgust	0.555	onuitstaanbaar
segregate	disgust	0.555	scheiden
arsenic	disgust	0.555	arseen-
threatening	disgust	0.555	dreigend
atrophy	disgust	0.555	atrofie
varicella	disgust	0.555	varicella
slayer	disgust	0.555	moordenaar
distaste	disgust	0.555	afkeer
coward	disgust	0.555	lafaard
robbery	disgust	0.555	beroving
wickedness	disgust	0.555	slechtheid
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	kwaadaardig
sty	disgust	0.547	stal
pillage	disgust	0.547	plundering
thief	disgust	0.547	dief
suffocating	disgust	0.547	verstikkend
condemnation	disgust	0.547	veroordeling
deleterious	disgust	0.547	schadelijk
slur	disgust	0.547	belediging
purgatory	disgust	0.547	vagevuur
attacking	disgust	0.547	aanvallend
burglar	disgust	0.547	inbreker
ogre	disgust	0.547	boeman
coercion	disgust	0.547	dwang
vesicular	disgust	0.547	blaasjes
miserable	disgust	0.547	miserabel
bitterly	disgust	0.547	bitter
sneer	disgust	0.539	spottend
greedy	disgust	0.539	hebberig
gob	disgust	0.539	gob
repellant	disgust	0.539	afstotend
jealous	disgust	0.539	jaloers
drunken	disgust	0.539	dronken
shame	disgust	0.539	schaamte
thrash	disgust	0.539	thrash
fatty	disgust	0.539	vettig
liar	disgust	0.539	leugenaar
imprisoned	disgust	0.539	gevangen gezet
sloth	disgust	0.539	luiaard
repudiation	disgust	0.539	afwijzing
disgrace	disgust	0.539	schande
infidelity	disgust	0.539	ontrouw
pig	disgust	0.539	varken
lethal	disgust	0.536	dodelijk
burnt	disgust	0.531	verbrand
brawl	disgust	0.531	vechtpartij
withered	disgust	0.531	verdord
blemish	disgust	0.531	smet
hydrocephalus	disgust	0.531	waterhoofd
aberration	disgust	0.531	aberratie
smuggler	disgust	0.531	smokkelaar
painful	disgust	0.531	pijnlijk
condescension	disgust	0.531	neerbuigendheid
intolerant	disgust	0.531	onverdraagzaam
blasphemous	disgust	0.531	godslasterlijk
lying	disgust	0.531	liegen
hanging	disgust	0.531	hangend
travesty	disgust	0.531	travestie
ruined	disgust	0.531	geruïneerd
intrusive	disgust	0.531	opdringerig
disintegrate	disgust	0.531	uiteenvallen
destructive	disgust	0.531	destructief
neurotic	disgust	0.531	neurotisch
disparaging	disgust	0.523	minachtend
blighted	disgust	0.523	verwoest
intolerance	disgust	0.523	onverdraagzaamheid
mistress	disgust	0.523	meesteres
avarice	disgust	0.523	gierigheid
disgraced	disgust	0.523	in ongenade gevallen
derogation	disgust	0.523	afwijking
rubbish	disgust	0.523	onzin
accusation	disgust	0.523	beschuldiging
incarceration	disgust	0.523	opsluiting
tortious	disgust	0.516	onrechtmatig
dishonor	disgust	0.516	onteren
stink	disgust	0.516	stinken
grim	disgust	0.516	grimmig
rob	disgust	0.516	beroven
defraud	disgust	0.516	bedriegen
sump	disgust	0.516	opvangbak
cringe	disgust	0.516	in elkaar krimpen
vulture	disgust	0.516	gier
deplorable	disgust	0.516	betreurenswaardig
mite	disgust	0.516	mijt
eradication	disgust	0.516	uitroeiing
degrade	disgust	0.516	degraderen
gutter	disgust	0.516	goot
convict	disgust	0.516	veroordelen
remains	disgust	0.516	stoffelijk overschot
betray	disgust	0.516	verraden
daemon	disgust	0.516	demon
sham	disgust	0.509	schijnvertoning
distasteful	disgust	0.508	onsmakelijk
prisoner	disgust	0.508	gevangene
dreadfully	disgust	0.508	vreselijk
worthless	disgust	0.508	waardeloos
crude	disgust	0.508	ruw
delirium	disgust	0.508	delirium
incurable	disgust	0.508	ongeneeslijke
smelling	disgust	0.508	ruikend
idiocy	disgust	0.508	idiotie
resentment	disgust	0.508	rancune
bombed	disgust	0.508	gebombardeerd
blob	disgust	0.508	klodder
cheat	disgust	0.508	bedriegen
schizophrenia	disgust	0.508	schizofrenie
rejection	disgust	0.508	afwijzing
belittle	disgust	0.508	kleineren
glut	disgust	0.508	gulzig
disaster	disgust	0.508	ramp
distress	disgust	0.508	angst
pest	disgust	0.508	plaag
endemic	disgust	0.508	endemisch
theft	disgust	0.500	diefstal
banish	disgust	0.500	verbannen
mire	disgust	0.500	slijk
flagrant	disgust	0.500	flagrante
derision	disgust	0.500	spot
dirt	disgust	0.500	aarde
screaming	disgust	0.500	schreeuwen
offense	disgust	0.500	belediging
jealousy	disgust	0.500	jaloezie
bribery	disgust	0.500	omkoping
polemic	disgust	0.500	polemiek
blight	disgust	0.500	vloek
impeach	disgust	0.500	afzetten
bitterness	disgust	0.500	bitterheid
taboo	disgust	0.500	taboe
duress	disgust	0.500	dwang
goblin	disgust	0.500	kobold
shackle	disgust	0.500	sluiting
idolatry	disgust	0.500	afgoderij
greed	disgust	0.500	hebzucht
impurity	disgust	0.500	onzuiverheid
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idioot
boil	disgust	0.492	B' olie
unconscionable	disgust	0.492	gewetenloos
disreputable	disgust	0.492	berucht
robber	disgust	0.492	rover
malign	disgust	0.492	kwaadaardig
wreck	disgust	0.492	wrak
recession	disgust	0.492	recessie
gorge	disgust	0.492	kloof
leer	disgust	0.492	koeloven
ill	disgust	0.492	ziek
squirm	disgust	0.492	kronkelen
raging	disgust	0.484	woedend
servile	disgust	0.484	slaafs-
mess	disgust	0.484	troep
nappy	disgust	0.484	luier
possessed	disgust	0.484	bezeten
unbearable	disgust	0.484	ondraaglijk
occult	disgust	0.484	occult
contraband	disgust	0.484	smokkelwaar
snarl	disgust	0.484	grauwen
mutiny	disgust	0.484	muiterij
mad	disgust	0.484	boos
affliction	disgust	0.484	kwelling
stain	disgust	0.484	vlek
animosity	disgust	0.484	vijandigheid
contempt	disgust	0.484	minachting
tramp	disgust	0.484	zwerver
nepotism	disgust	0.484	nepotisme
disrespectful	disgust	0.484	respectloos
defamation	disgust	0.484	geroddel
inexcusable	disgust	0.484	onvergeeflijk
aversation	disgust	0.484	afkeer
wasteful	disgust	0.484	verspillend
offender	disgust	0.484	overtreder
subjugation	disgust	0.484	onderwerping
illegality	disgust	0.477	onwettigheid
dismal	disgust	0.477	somber
criminal	disgust	0.477	crimineel
unpleasant	disgust	0.477	onaangenaam
palsy	disgust	0.477	verlamming
antagonistic	disgust	0.477	antagonistisch
pathetic	disgust	0.477	ellendig
uncaring	disgust	0.477	onverschillig
suppression	disgust	0.477	onderdrukking
immorality	disgust	0.477	immoraliteit
mockery	disgust	0.477	spot
outrage	disgust	0.469	verontwaardiging
mocking	disgust	0.469	bespotten
wallow	disgust	0.469	wentelen
cough	disgust	0.469	hoesten
arrogant	disgust	0.469	arrogant
angry	disgust	0.469	boos
poverty	disgust	0.469	armoede
grating	disgust	0.469	rooster
livid	disgust	0.469	boos
aggravation	disgust	0.469	verergering
repellent	disgust	0.469	afstotend
perspiration	disgust	0.469	transpiratie
banishment	disgust	0.469	verbanning
furious	disgust	0.469	woest
shoddy	disgust	0.469	slordig
banshee	disgust	0.469	banshee
deceive	disgust	0.461	bedriegen
fool	disgust	0.461	gek
quack	disgust	0.461	kwakzalvers-
distorted	disgust	0.461	vervormd
spider	disgust	0.461	spin
unjustifiable	disgust	0.461	niet te rechtvaardigen
deplore	disgust	0.461	betreuren
spurious	disgust	0.461	onecht
perdition	disgust	0.461	verderf
muddy	disgust	0.461	modderig
fraudulent	disgust	0.461	frauduleus
scar	disgust	0.461	litteken
prick	disgust	0.461	prik
insulting	disgust	0.461	beledigend
plunder	disgust	0.461	plunderen
recklessness	disgust	0.461	roekeloosheid
stigma	disgust	0.453	stigma
disparage	disgust	0.453	kleineren
unthinkable	disgust	0.453	ondenkbaar
disingenuous	disgust	0.453	oneerlijk
bane	disgust	0.453	vloek
dishonest	disgust	0.453	oneerlijk
aphid	disgust	0.453	bladluis
elimination	disgust	0.453	eliminatie
cur	disgust	0.453	cur
selfish	disgust	0.453	egoïstisch
eschew	disgust	0.453	mijden
dire	disgust	0.453	verschrikkelijk
indignation	disgust	0.453	verontwaardiging
antipathy	disgust	0.453	antipathie
alienate	disgust	0.453	vervreemden
mosquito	disgust	0.445	mug
piles	disgust	0.445	stapels
pious	disgust	0.445	vroom
lie	disgust	0.445	leugen
opium	disgust	0.445	opium
smell	disgust	0.445	geur
iniquity	disgust	0.445	ongerechtigheid
caries	disgust	0.445	cariës
despair	disgust	0.445	wanhoop
recalcitrant	disgust	0.445	weerspannige
egotistical	disgust	0.445	egoïstisch
wasted	disgust	0.445	stomdronken
vacuous	disgust	0.445	leeg
bankruptcy	disgust	0.445	faillissement
garish	disgust	0.445	opzichtig
obnoxious	disgust	0.438	weerzinwekkend
ashamed	disgust	0.438	beschaamd
abject	disgust	0.438	abject
sticky	disgust	0.438	kleverig
scream	disgust	0.438	schreeuw
hopelessness	disgust	0.438	hopeloosheid
homeless	disgust	0.438	dakloos
shun	disgust	0.438	vermijden
inmate	disgust	0.438	gevangene
alien	disgust	0.438	buitenaards wezen
hog	disgust	0.438	varken
aversion	disgust	0.438	afkeer
abnormal	disgust	0.438	abnormaal
cursing	disgust	0.430	vloeken
undesirable	disgust	0.430	ongewenst
denounce	disgust	0.430	aangeven
witch	disgust	0.430	heks
creature	disgust	0.430	schepsel
lusty	disgust	0.430	wellustige
illegal	disgust	0.430	onwettig
debris	disgust	0.430	brokstukken
callous	disgust	0.430	gevoelloos
reflux	disgust	0.430	reflux
adverse	disgust	0.430	nadelig
shameless	disgust	0.430	schaamteloos
separatist	disgust	0.430	separatist
trickery	disgust	0.430	bedrog
falsity	disgust	0.430	valsheid
pall	disgust	0.430	bleek
defiance	disgust	0.430	trotsering
incredulous	disgust	0.430	ongelovig
curse	disgust	0.430	vloek
pompous	disgust	0.422	pompeus
socialist	disgust	0.422	socialistisch
mistrust	disgust	0.422	wantrouwen
infantile	disgust	0.422	infantiel
wasting	disgust	0.422	verspillen
hairy	disgust	0.422	harig
nicotine	disgust	0.422	nicotine
denunciation	disgust	0.422	opzegging
collapse	disgust	0.422	instorten
untidy	disgust	0.422	slordig
ferocious	disgust	0.422	woest
ammonia	disgust	0.422	ammoniak
carelessness	disgust	0.422	onzorgvuldigheid
impure	disgust	0.422	onzuiver
contentious	disgust	0.422	omstreden
bum	disgust	0.422	zitvlak
affront	disgust	0.422	belediging
offend	disgust	0.422	beledigen
tarnish	disgust	0.422	aanslag
idiotic	disgust	0.422	idioot
badness	disgust	0.422	slechtheid
delinquent	disgust	0.422	delinquent
swarm	disgust	0.422	zwerm
hypertrophy	disgust	0.422	hypertrofie
gush	disgust	0.422	gutsen
tasteless	disgust	0.422	smaakloos
bovine	disgust	0.422	runderen
slush	disgust	0.422	sneeuwbrij
litigious	disgust	0.414	litigieuze
dishonesty	disgust	0.414	oneerlijkheid
vegetative	disgust	0.414	vegetatief
unfavorable	disgust	0.414	ongunstig
displacency	disgust	0.414	verplaatsing
illegitimate	disgust	0.414	onwettig
sour	disgust	0.414	zuur
socialism	disgust	0.414	socialisme
disobey	disgust	0.414	ongehoorzaam zijn
drivel	disgust	0.414	geklets
vampire	disgust	0.414	vampier
neglected	disgust	0.414	verwaarloosd
murky	disgust	0.414	troebel
ignorant	disgust	0.406	onwetend
disgruntled	disgust	0.406	ontevreden
discontinuity	disgust	0.406	discontinuïteit
dislike	disgust	0.406	afkeer
unlawful	disgust	0.406	onwettig
wrongdoing	disgust	0.406	wangedrag
shoplifting	disgust	0.406	winkeldiefstal
recidivism	disgust	0.406	recidive
outcast	disgust	0.406	verschoppeling
bogus	disgust	0.406	nep
displeasure	disgust	0.406	ongenoegen
repel	disgust	0.406	afstoten
falsify	disgust	0.406	vervalsen
ungrateful	disgust	0.406	ondankbaar
unkind	disgust	0.406	onaardig
phony	disgust	0.406	nep
prosecution	disgust	0.406	vervolging
woe	disgust	0.398	wee
averse	disgust	0.398	afkerig
loon	disgust	0.398	gek
worsening	disgust	0.398	verslechtering
paucity	disgust	0.398	gebrek
unnatural	disgust	0.398	onnatuurlijk
amphetamines	disgust	0.398	amfetaminen
senseless	disgust	0.398	zinloos
rigor	disgust	0.398	strengheid
subvert	disgust	0.398	ondermijnen
failure	disgust	0.398	mislukking
lick	disgust	0.398	likken
unruly	disgust	0.398	onhandelbaar
woefully	disgust	0.398	jammerlijk
stingy	disgust	0.398	gierig
crushing	disgust	0.398	verpletteren
disdain	disgust	0.398	ongenoegen
insult	disgust	0.393	belediging
averseness	disgust	0.391	afkeer
disrelish	disgust	0.391	niet lekker vinden
punished	disgust	0.391	gestraft
critter	disgust	0.391	beestje
damage	disgust	0.391	schade
scorpion	disgust	0.391	schorpioen
diatribe	disgust	0.391	tirade
muff	disgust	0.391	mof
farcical	disgust	0.391	kluchtig
antisocial	disgust	0.391	antisociaal
hardened	disgust	0.391	gehard
punishment	disgust	0.391	straf
bad	disgust	0.391	slechte
expel	disgust	0.391	verdrijven
surly	disgust	0.383	nors
lament	disgust	0.383	jammeren
illiterate	disgust	0.383	analfabeet
divorce	disgust	0.383	scheiding
teeming	disgust	0.383	krioelt van
plagiarism	disgust	0.383	plagiaat
eviction	disgust	0.383	ontzetting
orc	disgust	0.383	orc
disappoint	disgust	0.383	teleurstellen
shabby	disgust	0.383	armoedig
presumptuous	disgust	0.383	aanmatigend
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	meningsverschil
guilt	disgust	0.383	schuld
fugitive	disgust	0.383	voortvluchtig
irrational	disgust	0.383	irrationeel
adder	disgust	0.383	adder
fulsome	disgust	0.383	druk
sacrifices	disgust	0.383	opofferingen
hypocritical	disgust	0.383	hypocriet
shock	disgust	0.375	schok
alienation	disgust	0.375	vervreemding
scoff	disgust	0.375	spotten
plight	disgust	0.375	benarde toestand
irritation	disgust	0.375	irritatie
unworthy	disgust	0.375	onwaardig
misconduct	disgust	0.375	wangedrag
defective	disgust	0.375	defecte
blame	disgust	0.375	schuld geven
depressing	disgust	0.375	deprimerend
dislocated	disgust	0.375	uit de kom
irritating	disgust	0.375	irritante
vainly	disgust	0.367	tevergeefs
toad	disgust	0.367	pad
powerless	disgust	0.367	machteloos
coerce	disgust	0.367	dwingen
shuddering	disgust	0.367	huiveringwekkend
stripped	disgust	0.367	gestript
revoke	disgust	0.367	herroepen
wimpy	disgust	0.367	watje
unhealthy	disgust	0.367	ongezond
exclusion	disgust	0.367	uitsluiting
disillusionment	disgust	0.367	ontgoocheling
blatant	disgust	0.367	schaamteloos
hurtful	disgust	0.367	kwetsend
hoax	disgust	0.367	hoax
wimp	disgust	0.367	watje
cad	disgust	0.367	cad
pitfall	disgust	0.367	valkuil
squelch	disgust	0.367	squelch
deserted	disgust	0.359	uitgestorven
damn	disgust	0.359	verdomd
incompatible	disgust	0.359	onverenigbaar
dispose	disgust	0.359	weggooien
oddity	disgust	0.359	eigenaardigheid
rebellion	disgust	0.359	opstand
ineptitude	disgust	0.359	onbekwaamheid
bug	disgust	0.359	beestje
disobedience	disgust	0.359	ongehoorzaamheid
inept	disgust	0.352	klungelig
litigate	disgust	0.352	procederen
dismissal	disgust	0.352	ontslag
cutting	disgust	0.352	snijden
untoward	disgust	0.352	ongewenst
displeased	disgust	0.352	niet tevreden
censor	disgust	0.352	censor
ridiculous	disgust	0.352	belachelijk
compost	disgust	0.352	compost
frustrate	disgust	0.352	frustreren
misbehavior	disgust	0.352	wangedrag
lawyer	disgust	0.352	advocaat
crushed	disgust	0.352	verpletterd
flesh	disgust	0.352	vlees
uncertain	disgust	0.352	onzeker
obi	disgust	0.352	obi
flinch	disgust	0.352	terugdeinzen
fierce	disgust	0.352	krachtig
wrongful	disgust	0.352	onrechtmatig
depreciate	disgust	0.344	afschrijven
disapprove	disgust	0.344	afkeuren
tearful	disgust	0.344	betraand
grumble	disgust	0.336	mopperen
unsettled	disgust	0.336	onrustig
annoy	disgust	0.336	ergeren
exigent	disgust	0.336	dringend
heartsick	disgust	0.336	hartverscheurend
lawsuit	disgust	0.336	rechtszaak
discoloration	disgust	0.336	verkleuring
lumpy	disgust	0.336	klonterig
daft	disgust	0.336	gek
blunder	disgust	0.336	blunder
discontent	disgust	0.336	ontevredenheid
bickering	disgust	0.336	gekibbel
thoughtless	disgust	0.336	gedachteloos
disliked	disgust	0.336	niet leuk gevonden
disinclination	disgust	0.336	afkeer
distrust	disgust	0.336	wantrouwen
disallowed	disgust	0.336	niet toegestaan
instability	disgust	0.328	instabiliteit
hydrophobia	disgust	0.328	watervrees
whine	disgust	0.328	zeuren
inhibit	disgust	0.328	verbieden
excluded	disgust	0.328	uitgesloten
provoking	disgust	0.328	provoceren
grievance	disgust	0.328	klacht
unmanageable	disgust	0.328	onhandelbaar
sly	disgust	0.328	sluw
exasperation	disgust	0.328	ergernis
cacophony	disgust	0.328	kakofonie
unsatisfactory	disgust	0.328	onbevredigend
disappointed	disgust	0.328	teleurgesteld
materialist	disgust	0.328	materialist
misleading	disgust	0.321	misleidend
mishap	disgust	0.320	ongeluk
soot	disgust	0.320	roet
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	afwijzen
annoyance	disgust	0.320	ergernis
disapproving	disgust	0.320	afkeurend
disservice	disgust	0.320	slechte dienst
reproach	disgust	0.320	verwijt
confined	disgust	0.320	burgelijk
unequal	disgust	0.320	ongelijke
rags	disgust	0.320	vodden
groan	disgust	0.320	kreunen
soil	disgust	0.312	bodem
inappropriate	disgust	0.312	ongepast
criticize	disgust	0.312	bekritiseren
disincline	disgust	0.312	afkeer
theism	disgust	0.312	theïsme
depreciated	disgust	0.312	afgeschreven
inconsiderate	disgust	0.312	onattent
overpriced	disgust	0.312	te duur
stomach	disgust	0.312	maag
burke	disgust	0.312	burke
sneeze	disgust	0.312	niezen
gall	disgust	0.305	gal
bang	disgust	0.305	knal
inadmissible	disgust	0.305	ontoelaatbaar
unfriendly	disgust	0.305	onvriendelijk
unaccountable	disgust	0.305	onverklaarbaar
disparity	disgust	0.305	ongelijkheid
latent	disgust	0.305	latent
disliking	disgust	0.305	niet leuk vinden
shack	disgust	0.305	keet
grumpy	disgust	0.305	nors
coop	disgust	0.304	coop
disappointment	disgust	0.297	teleurstelling
scold	disgust	0.297	uitschelden
delay	disgust	0.297	vertraging
congress	disgust	0.297	congres
growling	disgust	0.297	grommen
backwards	disgust	0.297	achteruit
soreness	disgust	0.297	pijn
disregarded	disgust	0.297	buiten beschouwing
rogue	disgust	0.297	schurk
lonely	disgust	0.297	alleen
notoriety	disgust	0.289	bekendheid
catechism	disgust	0.289	catechismus
flop	disgust	0.289	flop
infamous	disgust	0.289	berucht
janitor	disgust	0.289	congiërge
nettle	disgust	0.289	brandnetel
saturated	disgust	0.281	verzadigd
prohibited	disgust	0.281	verboden
gaby	disgust	0.281	gaby
wince	disgust	0.281	huiveren
desist	disgust	0.281	ophouden
unfair	disgust	0.281	oneerlijk
aftermath	disgust	0.281	nasleep
