English Word	Emotion	Emotion-Intensity-Score	Afrikaans Word
discretion	anticipation	0.383	diskresie
undecided	anticipation	0.383	besluiteloos
gradual	anticipation	0.375	geleidelik
navigator	anticipation	0.375	navigator
track	anticipation	0.375	spoor
cradle	anticipation	0.375	wieg
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	tussentyds
clock	anticipation	0.375	horlosie
mountain	anticipation	0.375	berg
interminable	anticipation	0.375	eindeloos
public	anticipation	0.375	publiek
recurrent	anticipation	0.375	herhalende
savor	anticipation	0.375	smul
abide	anticipation	0.367	bly
concealed	anticipation	0.367	versteek
spear	anticipation	0.367	spies
lesson	anticipation	0.367	les
instructions	anticipation	0.367	instruksies
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	tweejaarliks
convince	anticipation	0.367	oortuig
whim	anticipation	0.367	gril
shiver	anticipation	0.367	ril
towering	anticipation	0.367	toring
musical	anticipation	0.367	musiekblyspel
offset	anticipation	0.359	verreken
theory	anticipation	0.359	teorie
theology	anticipation	0.359	teologie
undying	anticipation	0.359	onsterflik
timidity	anticipation	0.359	skugterheid
plump	anticipation	0.359	mollig
atone	anticipation	0.359	versoening
audience	anticipation	0.357	gehoor
dietary	anticipation	0.352	dieet
consecration	anticipation	0.352	toewyding
localize	anticipation	0.352	lokaliseer
paragon	anticipation	0.352	toonbeeld
store	anticipation	0.352	winkel
farm	anticipation	0.352	plaas
daily	anticipation	0.352	daagliks
cramp	anticipation	0.352	kramp
nobility	anticipation	0.352	adel
closure	anticipation	0.352	sluiting
edition	anticipation	0.352	uitgawe
kindred	anticipation	0.352	verwante
stripped	anticipation	0.344	gestroop
errand	anticipation	0.344	taak
archaeology	anticipation	0.344	argeologie
mutable	anticipation	0.344	veranderlik
wireless	anticipation	0.344	draadloos
meditate	anticipation	0.344	mediteer
mobile	anticipation	0.344	selfoon
germ	anticipation	0.336	kiem
brotherly	anticipation	0.336	broederlik
lessen	anticipation	0.336	verminder
unbeaten	anticipation	0.336	onoorwonne
pare	anticipation	0.336	pare
buddy	anticipation	0.336	maatjie
unaccountable	anticipation	0.336	ontoerekeningsvatbaar
dove	anticipation	0.328	duif
patient	anticipation	0.328	pasiënt
secular	anticipation	0.328	sekulêre
digress	anticipation	0.328	afwyk
chastity	anticipation	0.328	kuisheid
council	anticipation	0.328	raad
olfactory	anticipation	0.328	reuk
ribbon	anticipation	0.328	lint
possess	anticipation	0.328	besit
disposed	anticipation	0.320	ontslae geraak
scrutinize	anticipation	0.320	ondersoek
immature	anticipation	0.320	onvolwasse
mediator	anticipation	0.320	bemiddelaar
regularity	anticipation	0.320	reëlmaat
cove	anticipation	0.320	inham
infanticide	anticipation	0.320	kindermoord
paddle	anticipation	0.320	roei
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	preserveermiddel
unpublished	anticipation	0.312	ongepubliseer
church	anticipation	0.312	kerk
bugle	anticipation	0.312	bugel
grim	anticipation	0.312	grimmig
denying	anticipation	0.312	ontken
analyst	anticipation	0.312	ontleder
judicial	anticipation	0.305	geregtelik
priesthood	anticipation	0.305	priesterskap
broadside	anticipation	0.305	breëkant
mill	anticipation	0.305	meul
dismay	anticipation	0.297	ontsteltenis
cap	anticipation	0.297	kappie
thermocouple	anticipation	0.297	termokoppel
tributary	anticipation	0.297	sytak
instructor	anticipation	0.297	instrukteur
exhaustion	anticipation	0.297	uitputting
saliva	anticipation	0.297	speeksel
cataract	anticipation	0.289	katarak
network	anticipation	0.289	netwerk
visor	anticipation	0.289	visor
shackle	anticipation	0.289	boei
wont	anticipation	0.289	gewoond is
addresses	anticipation	0.289	adresse
discreet	anticipation	0.289	diskreet
noncompliance	anticipation	0.289	nie-nakoming
bruise	anticipation	0.289	kneusplek
homeless	anticipation	0.289	haweloos
astronomer	anticipation	0.281	sterrekundige
skewed	anticipation	0.281	skeef
neighbor	anticipation	0.281	buurman
holiness	anticipation	0.273	heiligheid
devil	anticipation	0.273	duiwel
picket	anticipation	0.273	plakkaat
sentence	anticipation	0.273	vonnis
latent	anticipation	0.273	latente
cream	anticipation	0.273	room
immaturity	anticipation	0.273	onvolwassenheid
habitual	anticipation	0.266	gewoonte
morals	anticipation	0.266	sedes
neighborhood	anticipation	0.266	buurt
lull	anticipation	0.266	stilte
bye	anticipation	0.258	totsiens
weight	anticipation	0.258	gewig
organ	anticipation	0.250	orrel
clown	anticipation	0.250	nar
forearm	anticipation	0.250	voorarm
commonplace	anticipation	0.242	alledaags
quote	anticipation	0.242	kwotasie
rail	anticipation	0.234	spoor
dictatorship	anticipation	0.234	diktatuur
treadmill	anticipation	0.234	trapmeul
board	anticipation	0.234	bord
tree	anticipation	0.227	boom
sundial	anticipation	0.227	sonwyser
paralysis	anticipation	0.211	verlamming
cement	anticipation	0.203	sement
worm	anticipation	0.203	wurm
organization	anticipation	0.203	organisasie
lagging	anticipation	0.180	agterbly
neutral	anticipation	0.148	neutraal
cannibalism	disgust	0.953	kannibalisme
mutilation	disgust	0.930	verminking
molestation	disgust	0.914	molestering
incest	disgust	0.914	bloedskande
rape	disgust	0.906	verkragting
gonorrhea	disgust	0.906	gonorree
cannibal	disgust	0.898	kannibaal
rot	disgust	0.891	vrot
corpse	disgust	0.883	lyk
massacre	disgust	0.883	bloedbad
excrement	disgust	0.883	ontlasting
barf	disgust	0.875	barf
slaughter	disgust	0.875	slagting
slaughterhouse	disgust	0.867	slaghuis
incestuous	disgust	0.859	bloedskande
sewerage	disgust	0.859	riool
filth	disgust	0.859	vuilheid
bigot	disgust	0.859	grootmens
rancid	disgust	0.859	galsterig
infestation	disgust	0.852	besmetting
plague	disgust	0.852	plaag
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	bloeddorstig
rotting	disgust	0.844	verrotting
fecal	disgust	0.844	fekale
maggot	disgust	0.844	maaier
feces	disgust	0.844	ontlasting
murder	disgust	0.839	moord
asshole	disgust	0.836	gat
homicide	disgust	0.836	moord
enslaved	disgust	0.836	verslaaf
infanticide	disgust	0.836	kindermoord
perverted	disgust	0.828	verdraaid
excretion	disgust	0.828	uitskeiding
gore	disgust	0.828	goor
slaughtering	disgust	0.828	slagting
torture	disgust	0.828	marteling
contaminate	disgust	0.821	besoedel
revolting	disgust	0.820	opstandig
gory	disgust	0.820	bloederig
shit	disgust	0.820	kak
terrorist	disgust	0.820	terroris
murderer	disgust	0.820	moordenaar
repugnant	disgust	0.820	weersinwekkend
manure	disgust	0.820	mis
pervert	disgust	0.820	verdraai
diarrhoea	disgust	0.820	diarree
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	ontheiliging
faeces	disgust	0.812	ontlasting
slavery	disgust	0.812	slawerny
sewer	disgust	0.812	riool
cadaver	disgust	0.812	kadawer
manslaughter	disgust	0.812	manslag
dismemberment	disgust	0.812	verbrokkeling
vomit	disgust	0.812	braak
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	afstootlik
hemorrhage	disgust	0.805	bloeding
sewage	disgust	0.797	riool
filthy	disgust	0.797	vieslik
diseased	disgust	0.797	siek
depravity	disgust	0.797	verdorwenheid
carcass	disgust	0.795	karkas
decompose	disgust	0.789	ontbind
gruesome	disgust	0.789	grusaam
mutilated	disgust	0.789	vermink
puke	disgust	0.789	opgooi
herpes	disgust	0.789	herpes
decayed	disgust	0.789	verval
dung	disgust	0.789	mis
vermin	disgust	0.789	ongediertes
murderous	disgust	0.789	moorddadig
parasite	disgust	0.789	parasiet
horrific	disgust	0.789	gruwelik
carnage	disgust	0.781	bloedbad
malaria	disgust	0.781	malaria
slime	disgust	0.781	slym
flatulence	disgust	0.781	winderigheid
pestilence	disgust	0.781	pes
crap	disgust	0.781	kak
monstrosity	disgust	0.781	monstrositeit
loathsome	disgust	0.773	afskuwelik
toxic	disgust	0.773	giftig
morgue	disgust	0.773	lykshuis
pus	disgust	0.773	etter
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	melaatsheid
insidious	disgust	0.773	verraderlik
cruel	disgust	0.766	wreed
regurgitation	disgust	0.766	regurgitasie
anthrax	disgust	0.766	miltsiekte
xenophobia	disgust	0.766	xenofobie
repugnance	disgust	0.766	weersin
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	weersin
whore	disgust	0.766	hoer
dissection	disgust	0.759	disseksie
mucous	disgust	0.758	slym
canker	disgust	0.758	kanker
slum	disgust	0.758	krotbuurt
infectious	disgust	0.758	aansteeklik
evil	disgust	0.758	kwaad
phlegm	disgust	0.758	slym
cruelty	disgust	0.758	wreedheid
perversion	disgust	0.758	perversie
sinister	disgust	0.750	sinister
leeches	disgust	0.750	bloedsuiers
corrupting	disgust	0.750	korrupteer
decomposition	disgust	0.750	ontbinding
abomination	disgust	0.742	gruwel
stinking	disgust	0.742	stink
bile	disgust	0.742	gal
demonic	disgust	0.742	demonies
deranged	disgust	0.742	versteurd
abhorrence	disgust	0.742	afsku
soiled	disgust	0.742	vuil
mucus	disgust	0.742	slym
septic	disgust	0.742	septies
sickening	disgust	0.742	sieklik
demon	disgust	0.742	demoon
cancer	disgust	0.734	Kanker
obese	disgust	0.734	vetsugtig
degeneracy	disgust	0.734	degenerasie
despicable	disgust	0.734	veragtelik
atrocity	disgust	0.734	gruweldaad
foul	disgust	0.734	vieslik
sicken	disgust	0.734	siek
crucifixion	disgust	0.734	kruisiging
terrorism	disgust	0.734	terrorisme
repulsion	disgust	0.727	afstoot
morbidity	disgust	0.727	morbiditeit
dysentery	disgust	0.727	disenterie
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakterie
dirty	disgust	0.727	vuil
adultery	disgust	0.727	owerspel
contamination	disgust	0.727	kontaminasie
grisly	disgust	0.727	gruwelik
diabolical	disgust	0.727	diaboliese
autopsy	disgust	0.719	lykskouing
barbaric	disgust	0.719	barbaars
vulgar	disgust	0.719	vulgêr
entrails	disgust	0.719	ingewande
disgust	disgust	0.719	walging
lewd	disgust	0.719	onsedelike
muck	disgust	0.719	mop
bowels	disgust	0.719	ingewande
garbage	disgust	0.719	vullis
deterioration	disgust	0.719	agteruitgang
contagion	disgust	0.719	besmetting
vicious	disgust	0.719	boosaardig
disfigured	disgust	0.719	ontsier
pungent	disgust	0.719	skerp
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	bloedvergieting
gag	disgust	0.711	gag
pollute	disgust	0.711	besoedel
nausea	disgust	0.711	naarheid
tyrant	disgust	0.711	tiran
wretched	disgust	0.711	ellendig
mortification	disgust	0.711	mortifikasie
violent	disgust	0.711	gewelddadig
poisoned	disgust	0.711	vergiftig
nauseate	disgust	0.703	naar word
slimy	disgust	0.703	slymerig
grope	disgust	0.703	tas
slut	disgust	0.703	slet
nasty	disgust	0.703	vieslik
disgusting	disgust	0.703	walglik
depraved	disgust	0.703	verdorwe
porn	disgust	0.703	pornografie
hateful	disgust	0.703	haatlik
vulgarity	disgust	0.703	vulgariteit
noxious	disgust	0.703	skadelik
grime	disgust	0.703	vuil
constipation	disgust	0.703	hardlywigheid
secretion	disgust	0.703	afskeiding
poisoning	disgust	0.703	vergiftiging
despotism	disgust	0.703	despotisme
measles	disgust	0.696	masels
contagious	disgust	0.695	aansteeklik
obesity	disgust	0.695	vetsug
wart	disgust	0.695	vrat
hate	disgust	0.695	haat
hellish	disgust	0.695	helse
scum	disgust	0.695	skuim
suicidal	disgust	0.695	selfmoord
wretch	disgust	0.695	ellendig
abuse	disgust	0.695	misbruik
waste	disgust	0.695	afval
intestinal	disgust	0.695	derm
heartworm	disgust	0.688	hartwurm
ooze	disgust	0.688	spoel
treason	disgust	0.688	verraad
contaminated	disgust	0.688	besmet
smut	disgust	0.688	moer
disease	disgust	0.688	siekte
rabid	disgust	0.688	hondsdol
deformed	disgust	0.680	vervorm
hell	disgust	0.680	hel
soulless	disgust	0.680	sielloos
cholera	disgust	0.680	cholera
bestial	disgust	0.680	dierlike
antichrist	disgust	0.680	antichris
freakish	disgust	0.680	freakish
germ	disgust	0.680	kiem
detest	disgust	0.680	verafsku
pollution	disgust	0.680	besoedeling
grimy	disgust	0.680	vuil
abhorrent	disgust	0.680	afskuwelik
hatred	disgust	0.680	haat
abominate	disgust	0.680	gruwel
sickness	disgust	0.680	siekte
hideous	disgust	0.672	afskuwelik
dictatorship	disgust	0.672	diktatuur
loathful	disgust	0.672	walglik
greasy	disgust	0.672	vetterig
dilapidated	disgust	0.672	vervalle
inhuman	disgust	0.672	onmenslik
loathing	disgust	0.672	afsku
obscene	disgust	0.672	obseen
cess	disgust	0.670	cess
devil	disgust	0.664	duiwel
deformity	disgust	0.664	misvorming
nauseous	disgust	0.664	naar
deadly	disgust	0.664	dodelik
swine	disgust	0.664	varke
discrimination	disgust	0.664	diskriminasie
abominable	disgust	0.664	afskuwelik
masochism	disgust	0.664	masochisme
heretic	disgust	0.664	ketter
latrines	disgust	0.656	latrines
corruption	disgust	0.656	korrupsie
poisonous	disgust	0.656	giftig
horror	disgust	0.656	gruwel
nefarious	disgust	0.656	onheilspellend
bacteria	disgust	0.656	bakterieë
horrible	disgust	0.656	aaklig
trash	disgust	0.656	asblik
abortion	disgust	0.656	aborsie
death	disgust	0.656	dood
prejudiced	disgust	0.656	bevooroordeeld
poison	disgust	0.656	gif
oppression	disgust	0.656	onderdrukking
goo	disgust	0.656	goo
victimized	disgust	0.656	geviktimiseer
mange	disgust	0.656	mang
sludge	disgust	0.648	slyk
trashy	disgust	0.648	gemors
vindictive	disgust	0.648	wraaksugtig
horrid	disgust	0.648	verskriklik
ugly	disgust	0.648	lelik
immoral	disgust	0.648	immoreel
bitch	disgust	0.648	teef
outhouse	disgust	0.648	buitehuis
detestation	disgust	0.648	afkeer
horrifying	disgust	0.641	afgryslik
laxative	disgust	0.641	lakseermiddel
unsightly	disgust	0.641	onooglik
derogatory	disgust	0.641	neerhalend
slop	disgust	0.641	slop
malfeasance	disgust	0.641	wangedrag
spew	disgust	0.641	spoeg
pimple	disgust	0.641	puisie
criminality	disgust	0.641	misdadigheid
indecency	disgust	0.641	onsedelikheid
cystic	disgust	0.641	sistiese
villainous	disgust	0.641	skurkagtig
queasy	disgust	0.633	ongemaklik
mildew	disgust	0.633	skimmel
oppressive	disgust	0.633	onderdrukkend
prostitution	disgust	0.633	prostitusie
secrete	disgust	0.633	afskei
ulcer	disgust	0.633	ulkus
rat	disgust	0.633	rot
bigoted	disgust	0.633	grootmoedig
perpetrator	disgust	0.633	oortreder
doomsday	disgust	0.633	oordeelsdag
sinful	disgust	0.633	sondig
degrading	disgust	0.625	afbrekend
ghastly	disgust	0.625	aaklig
suffering	disgust	0.625	lyding
obscenity	disgust	0.625	obseniteit
devilish	disgust	0.625	duiwels
disgraceful	disgust	0.625	skandelik
persecution	disgust	0.625	vervolging
contemptible	disgust	0.625	veragtelik
cuckold	disgust	0.625	koekie
stools	disgust	0.625	stoelgange
dastardly	disgust	0.625	lelik
sin	disgust	0.625	sonde
gluttony	disgust	0.625	vraatsug
bloated	disgust	0.625	opgeblase
fungus	disgust	0.625	swam
aghast	disgust	0.625	ontsteld
diaper	disgust	0.617	luier
malicious	disgust	0.617	kwaadwillig
polygamy	disgust	0.617	poligamie
dying	disgust	0.617	sterf
termite	disgust	0.617	termiet
fat	disgust	0.617	vet
deceit	disgust	0.617	bedrog
atrocious	disgust	0.617	gruwelik
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	bederf
crusty	disgust	0.617	korserig
sickly	disgust	0.617	sieklik
louse	disgust	0.617	luis
strangle	disgust	0.617	wurg
betrayal	disgust	0.617	verraad
loathe	disgust	0.617	verafsku
wench	disgust	0.617	deertjie
infect	disgust	0.617	besmet
violently	disgust	0.609	gewelddadig
brothel	disgust	0.609	bordeel
drool	disgust	0.609	kwyl
bleeding	disgust	0.609	bloeding
deform	disgust	0.609	vervorm
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotasie
venomous	disgust	0.609	giftig
abhor	disgust	0.609	verafsku
slander	disgust	0.609	laster
hostile	disgust	0.609	vyandiggesind
musty	disgust	0.602	muf
illicit	disgust	0.602	onwettig
ugliness	disgust	0.602	lelik
unwashed	disgust	0.602	ongewaste
swampy	disgust	0.602	moerasagtig
deprivation	disgust	0.602	ontneming
poaching	disgust	0.602	stropery
hag	disgust	0.602	hag
infidel	disgust	0.602	ongelowige
imprisonment	disgust	0.602	gevangenisstraf
traitor	disgust	0.602	verraaier
lunacy	disgust	0.602	waansin
queasiness	disgust	0.594	ongemaklikheid
hostility	disgust	0.594	vyandigheid
repelling	disgust	0.594	afstoot
intoxicated	disgust	0.594	besope
thug	disgust	0.594	boef
catastrophe	disgust	0.594	katastrofe
lunatic	disgust	0.594	gek
misery	disgust	0.594	ellende
venom	disgust	0.594	gif
butcher	disgust	0.594	slagter
toilet	disgust	0.594	toilet
blister	disgust	0.594	blaas
lurid	disgust	0.594	onheilspellend
slug	disgust	0.594	slak
gut	disgust	0.594	ingewande
sinner	disgust	0.594	sondaar
deceitful	disgust	0.594	bedrieglik
epidemic	disgust	0.594	epidemie
deteriorated	disgust	0.586	versleg
lavatory	disgust	0.586	toilet
unclean	disgust	0.586	onrein
prostitute	disgust	0.586	prostituut
incubus	disgust	0.586	broeikas
appalling	disgust	0.586	verskriklik
dreadful	disgust	0.586	verskriklik
pornography	disgust	0.586	pornografie
harass	disgust	0.586	teister
squeamish	disgust	0.578	skelm
expulsion	disgust	0.578	uitsetting
unfaithful	disgust	0.578	ontrou
offensive	disgust	0.578	aanstootlik
hypocrite	disgust	0.578	skynheilig
humiliating	disgust	0.578	vernederend
larceny	disgust	0.578	diefstal
ruinous	disgust	0.578	verwoestend
retard	disgust	0.578	vertraag
rash	disgust	0.578	uitslag
flea	disgust	0.578	vlooi
debauchery	disgust	0.578	losbandigheid
fiend	disgust	0.578	duiwel
quagmire	disgust	0.578	moeras
conspirator	disgust	0.578	samesweerder
sick	disgust	0.578	siek
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	hondesiek
egregious	disgust	0.570	verskriklik
flog	disgust	0.570	gesel
despise	disgust	0.570	verag
treacherous	disgust	0.570	verraderlik
oppress	disgust	0.570	onderdruk
swamp	disgust	0.570	moeras
messy	disgust	0.570	morsig
spit	disgust	0.570	spoeg
dank	disgust	0.570	dank
bastard	disgust	0.570	bliksem
devastating	disgust	0.570	verwoestend
serpent	disgust	0.570	slang
loo	disgust	0.562	loo
indecent	disgust	0.562	onwelvoeglik
insanity	disgust	0.562	waansin
stealing	disgust	0.562	steel
terrible	disgust	0.562	verskriklik
tyrannical	disgust	0.562	tirannies
humiliation	disgust	0.562	vernedering
snake	disgust	0.562	slang
sloppy	disgust	0.562	slordig
sinning	disgust	0.562	sondig
harmful	disgust	0.562	skadelik
harlot	disgust	0.562	hoer
sordid	disgust	0.562	vieslik
enemy	disgust	0.562	vyand
alcoholism	disgust	0.562	alkoholisme
awful	disgust	0.562	aaklig
ruthless	disgust	0.562	genadeloos
scoundrel	disgust	0.562	skelm
bloody	disgust	0.555	bloederig
flabby	disgust	0.555	slap
odious	disgust	0.555	afskuwelik
beastly	disgust	0.555	dierbaar
collusion	disgust	0.555	Samespanning
ridicule	disgust	0.555	bespotting
discriminating	disgust	0.555	diskriminerend
unattractive	disgust	0.555	onaantreklik
insufferable	disgust	0.555	ondraaglik
segregate	disgust	0.555	skei
arsenic	disgust	0.555	arseen
threatening	disgust	0.555	dreigend
atrophy	disgust	0.555	atrofie
varicella	disgust	0.555	varicella
slayer	disgust	0.555	moordenaar
distaste	disgust	0.555	afkeer
coward	disgust	0.555	lafhartig
robbery	disgust	0.555	roof
wickedness	disgust	0.555	goddeloosheid
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	kwaadwillig
sty	disgust	0.547	stal
pillage	disgust	0.547	plundering
thief	disgust	0.547	dief
suffocating	disgust	0.547	verstikkend
condemnation	disgust	0.547	veroordeling
deleterious	disgust	0.547	skadelik
slur	disgust	0.547	slenter
purgatory	disgust	0.547	vagevuur
attacking	disgust	0.547	aanval
burglar	disgust	0.547	inbreker
ogre	disgust	0.547	ogre
coercion	disgust	0.547	dwang
vesicular	disgust	0.547	vesikulêre
miserable	disgust	0.547	ellendig
bitterly	disgust	0.547	bitterlik
sneer	disgust	0.539	spot
greedy	disgust	0.539	gierig
gob	disgust	0.539	gob
repellant	disgust	0.539	afweermiddel
jealous	disgust	0.539	jaloers
drunken	disgust	0.539	dronk
shame	disgust	0.539	skande
thrash	disgust	0.539	slaan
fatty	disgust	0.539	vetterig
liar	disgust	0.539	leuenaar
imprisoned	disgust	0.539	gevange geneem
sloth	disgust	0.539	luiaard
repudiation	disgust	0.539	repudiasie
disgrace	disgust	0.539	skande
infidelity	disgust	0.539	ontrouheid
pig	disgust	0.539	vark
lethal	disgust	0.536	dodelik
burnt	disgust	0.531	verbrand
brawl	disgust	0.531	baklei
withered	disgust	0.531	verdor
blemish	disgust	0.531	gebrek
hydrocephalus	disgust	0.531	hidrokefalie
aberration	disgust	0.531	aberrasie
smuggler	disgust	0.531	smokkelaar
painful	disgust	0.531	pynlike
condescension	disgust	0.531	neerbuigend
intolerant	disgust	0.531	onverdraagsaam
blasphemous	disgust	0.531	godslasterlik
lying	disgust	0.531	lieg
hanging	disgust	0.531	hang
travesty	disgust	0.531	travestie
ruined	disgust	0.531	verwoes
intrusive	disgust	0.531	opdringerig
disintegrate	disgust	0.531	disintegreer
destructive	disgust	0.531	vernietigende
neurotic	disgust	0.531	neuroties
disparaging	disgust	0.523	neerhalend
blighted	disgust	0.523	verswak
intolerance	disgust	0.523	onverdraagsaamheid
mistress	disgust	0.523	minnares
avarice	disgust	0.523	gierigheid
disgraced	disgust	0.523	onteer
derogation	disgust	0.523	afwyking
rubbish	disgust	0.523	gemors
accusation	disgust	0.523	beskuldiging
incarceration	disgust	0.523	opsluiting
tortious	disgust	0.516	onregmatige
dishonor	disgust	0.516	oneer
stink	disgust	0.516	stink
grim	disgust	0.516	grimmig
rob	disgust	0.516	beroof
defraud	disgust	0.516	bedrieg
sump	disgust	0.516	opvangbak
cringe	disgust	0.516	ineenkrimp
vulture	disgust	0.516	aasvoël
deplorable	disgust	0.516	betreurenswaardig
mite	disgust	0.516	myt
eradication	disgust	0.516	uitwissing
degrade	disgust	0.516	afbreek
gutter	disgust	0.516	geut
convict	disgust	0.516	skuldig bevind
remains	disgust	0.516	oorbly
betray	disgust	0.516	verraai
daemon	disgust	0.516	daemoon
sham	disgust	0.509	skyn
distasteful	disgust	0.508	onsmaaklik
prisoner	disgust	0.508	gevangene
dreadfully	disgust	0.508	vreeslik
worthless	disgust	0.508	waardeloos
crude	disgust	0.508	ru
delirium	disgust	0.508	delirium
incurable	disgust	0.508	ongeneeslik
smelling	disgust	0.508	ruik
idiocy	disgust	0.508	idiosie
resentment	disgust	0.508	wrok
bombed	disgust	0.508	gebombardeer
blob	disgust	0.508	blob
cheat	disgust	0.508	bedrieg
schizophrenia	disgust	0.508	skisofrenie
rejection	disgust	0.508	verwerping
belittle	disgust	0.508	verkleineer
glut	disgust	0.508	oorvloed
disaster	disgust	0.508	ramp
distress	disgust	0.508	nood
pest	disgust	0.508	plaag
endemic	disgust	0.508	endemies
theft	disgust	0.500	diefstal
banish	disgust	0.500	verban
mire	disgust	0.500	moeras
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	bespotting
dirt	disgust	0.500	vuilheid
screaming	disgust	0.500	skree
offense	disgust	0.500	aanstoot
jealousy	disgust	0.500	jaloesie
bribery	disgust	0.500	omkopery
polemic	disgust	0.500	polemiek
blight	disgust	0.500	roes
impeach	disgust	0.500	beskuldig
bitterness	disgust	0.500	bitterheid
taboo	disgust	0.500	taboe
duress	disgust	0.500	dwang
goblin	disgust	0.500	kabouter
shackle	disgust	0.500	boei
idolatry	disgust	0.500	afgodery
greed	disgust	0.500	gierigheid
impurity	disgust	0.500	onreinheid
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idioot
boil	disgust	0.492	kook
unconscionable	disgust	0.492	gewetenloos
disreputable	disgust	0.492	onbetroubaar
robber	disgust	0.492	rower
malign	disgust	0.492	kwaadaardig
wreck	disgust	0.492	wrak
recession	disgust	0.492	resessie
gorge	disgust	0.492	kloof
leer	disgust	0.492	leer
ill	disgust	0.492	siek
squirm	disgust	0.492	kronkel
raging	disgust	0.484	woed
servile	disgust	0.484	diensbaar
mess	disgust	0.484	gemors
nappy	disgust	0.484	doek
possessed	disgust	0.484	besit
unbearable	disgust	0.484	ondraaglik
occult	disgust	0.484	okkulties
contraband	disgust	0.484	smokkelary
snarl	disgust	0.484	snerp
mutiny	disgust	0.484	muitery
mad	disgust	0.484	mal
affliction	disgust	0.484	ellende
stain	disgust	0.484	vlek
animosity	disgust	0.484	vyandigheid
contempt	disgust	0.484	minagting
tramp	disgust	0.484	boemelaar
nepotism	disgust	0.484	nepotisme
disrespectful	disgust	0.484	oneerbiedig
defamation	disgust	0.484	laster
inexcusable	disgust	0.484	onverskoonbaar
aversation	disgust	0.484	afkeer
wasteful	disgust	0.484	verkwistend
offender	disgust	0.484	oortreder
subjugation	disgust	0.484	onderwerping
illegality	disgust	0.477	onwettigheid
dismal	disgust	0.477	somber
criminal	disgust	0.477	krimineel
unpleasant	disgust	0.477	onaangenaam
palsy	disgust	0.477	verlamming
antagonistic	disgust	0.477	antagonisties
pathetic	disgust	0.477	pateties
uncaring	disgust	0.477	onverskillig
suppression	disgust	0.477	onderdrukking
immorality	disgust	0.477	onsedelikheid
mockery	disgust	0.477	bespotting
outrage	disgust	0.469	verontwaardiging
mocking	disgust	0.469	spottend
wallow	disgust	0.469	wentel
cough	disgust	0.469	Hoes
arrogant	disgust	0.469	arrogant
angry	disgust	0.469	kwaad
poverty	disgust	0.469	armoede
grating	disgust	0.469	rasper
livid	disgust	0.469	woedend
aggravation	disgust	0.469	verergering
repellent	disgust	0.469	afweermiddel
perspiration	disgust	0.469	sweet
banishment	disgust	0.469	verbanning
furious	disgust	0.469	woedend
shoddy	disgust	0.469	slordig
banshee	disgust	0.469	banshee
deceive	disgust	0.461	bedrieg
fool	disgust	0.461	flous
quack	disgust	0.461	kwak
distorted	disgust	0.461	verwronge
spider	disgust	0.461	spinnekop
unjustifiable	disgust	0.461	onregverdigbaar
deplore	disgust	0.461	betreur
spurious	disgust	0.461	vals
perdition	disgust	0.461	verderf
muddy	disgust	0.461	modderig
fraudulent	disgust	0.461	bedrieglik
scar	disgust	0.461	litteken
prick	disgust	0.461	prik
insulting	disgust	0.461	beledigend
plunder	disgust	0.461	plunder
recklessness	disgust	0.461	roekeloosheid
stigma	disgust	0.453	stigma
disparage	disgust	0.453	afkraak
unthinkable	disgust	0.453	ondenkbaar
disingenuous	disgust	0.453	oneerlik
bane	disgust	0.453	vloek
dishonest	disgust	0.453	oneerlik
aphid	disgust	0.453	plantluis
elimination	disgust	0.453	uitskakeling
cur	disgust	0.453	cur
selfish	disgust	0.453	selfsugtig
eschew	disgust	0.453	vermy
dire	disgust	0.453	erg
indignation	disgust	0.453	verontwaardiging
antipathy	disgust	0.453	antipatie
alienate	disgust	0.453	vervreem
mosquito	disgust	0.445	muskiet
piles	disgust	0.445	stapels
pious	disgust	0.445	vroom
lie	disgust	0.445	lieg
opium	disgust	0.445	opium
smell	disgust	0.445	reuk
iniquity	disgust	0.445	ongeregtigheid
caries	disgust	0.445	karies
despair	disgust	0.445	wanhoop
recalcitrant	disgust	0.445	weerbarstig
egotistical	disgust	0.445	egoïsties
wasted	disgust	0.445	vermors
vacuous	disgust	0.445	leeg
bankruptcy	disgust	0.445	bankrotskap
garish	disgust	0.445	glansryk
obnoxious	disgust	0.438	onaangenaam
ashamed	disgust	0.438	skaam
abject	disgust	0.438	afskuwelik
