English Word	Emotion	Emotion-Intensity-Score	Spanish Word
cramp	anticipation	0.352	calambre
nobility	anticipation	0.352	nobleza
closure	anticipation	0.352	cierre
edition	anticipation	0.352	edición
kindred	anticipation	0.352	parientes
stripped	anticipation	0.344	despojado
errand	anticipation	0.344	recado
archaeology	anticipation	0.344	arqueología
mutable	anticipation	0.344	mudable
wireless	anticipation	0.344	inalámbrica
meditate	anticipation	0.344	meditar
mobile	anticipation	0.344	móvil
germ	anticipation	0.336	germen
brotherly	anticipation	0.336	fraternal
lessen	anticipation	0.336	Minimizar
unbeaten	anticipation	0.336	invicto
pare	anticipation	0.336	cortar
buddy	anticipation	0.336	amigo
unaccountable	anticipation	0.336	inexplicable
dove	anticipation	0.328	paloma
patient	anticipation	0.328	paciente
secular	anticipation	0.328	secular
digress	anticipation	0.328	divagar
chastity	anticipation	0.328	castidad
council	anticipation	0.328	Consejo
olfactory	anticipation	0.328	olfativo
ribbon	anticipation	0.328	cinta
possess	anticipation	0.328	poseer
disposed	anticipation	0.320	dispuesto
scrutinize	anticipation	0.320	escudriñar
immature	anticipation	0.320	inmaduro
mediator	anticipation	0.320	mediador
regularity	anticipation	0.320	regularidad
cove	anticipation	0.320	ensenada
infanticide	anticipation	0.320	infanticidio
paddle	anticipation	0.320	paleta
heft	anticipation	0.320	peso
fancy	anticipation	0.320	lujoso
preservative	anticipation	0.320	preservativo
unpublished	anticipation	0.312	inédito
church	anticipation	0.312	iglesia
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	severo
denying	anticipation	0.312	negando
analyst	anticipation	0.312	analista
judicial	anticipation	0.305	judicial
priesthood	anticipation	0.305	sacerdocio
broadside	anticipation	0.305	costado
mill	anticipation	0.305	molino
dismay	anticipation	0.297	consternación
cap	anticipation	0.297	gorra
thermocouple	anticipation	0.297	par termoeléctrico
tributary	anticipation	0.297	afluente
instructor	anticipation	0.297	instructor
exhaustion	anticipation	0.297	agotamiento
saliva	anticipation	0.297	saliva
cataract	anticipation	0.289	catarata
network	anticipation	0.289	la red
visor	anticipation	0.289	visera
shackle	anticipation	0.289	encadenar
wont	anticipation	0.289	no
addresses	anticipation	0.289	direcciones
discreet	anticipation	0.289	discreto
noncompliance	anticipation	0.289	incumplimiento
bruise	anticipation	0.289	moretón
homeless	anticipation	0.289	Vagabundo
astronomer	anticipation	0.281	astrónomo
skewed	anticipation	0.281	sesgado
neighbor	anticipation	0.281	Vecino
holiness	anticipation	0.273	santidad
devil	anticipation	0.273	demonio
picket	anticipation	0.273	piquete
sentence	anticipation	0.273	frase
latent	anticipation	0.273	latente
cream	anticipation	0.273	crema
immaturity	anticipation	0.273	inmadurez
habitual	anticipation	0.266	habitual
morals	anticipation	0.266	moralidad
neighborhood	anticipation	0.266	vecindario
lull	anticipation	0.266	calma
bye	anticipation	0.258	adiós
weight	anticipation	0.258	peso
organ	anticipation	0.250	Organo
clown	anticipation	0.250	payaso
forearm	anticipation	0.250	antebrazo
commonplace	anticipation	0.242	vulgar
quote	anticipation	0.242	cotizar
rail	anticipation	0.234	carril
dictatorship	anticipation	0.234	dictadura
treadmill	anticipation	0.234	rueda de andar
board	anticipation	0.234	junta
tree	anticipation	0.227	árbol
sundial	anticipation	0.227	reloj de sol
paralysis	anticipation	0.211	parálisis
cement	anticipation	0.203	cemento
worm	anticipation	0.203	gusano
organization	anticipation	0.203	organización
lagging	anticipation	0.180	rezagado
neutral	anticipation	0.148	neutral
cannibalism	disgust	0.953	canibalismo
mutilation	disgust	0.930	mutilación
molestation	disgust	0.914	acoso
incest	disgust	0.914	incesto
rape	disgust	0.906	violación
gonorrhea	disgust	0.906	gonorrea
cannibal	disgust	0.898	caníbal
rot	disgust	0.891	putrefacción
corpse	disgust	0.883	cadáver
massacre	disgust	0.883	masacre
excrement	disgust	0.883	excremento
barf	disgust	0.875	vomitar
slaughter	disgust	0.875	sacrificio
slaughterhouse	disgust	0.867	matadero
incestuous	disgust	0.859	incestuoso
sewerage	disgust	0.859	alcantarillado
filth	disgust	0.859	inmundicia
bigot	disgust	0.859	fanático
rancid	disgust	0.859	rancio
infestation	disgust	0.852	infestación
plague	disgust	0.852	Plaga
holocaust	disgust	0.852	holocausto
bloodthirsty	disgust	0.852	sanguinario
rotting	disgust	0.844	podrido
fecal	disgust	0.844	fecal
maggot	disgust	0.844	gusano
feces	disgust	0.844	heces
murder	disgust	0.839	asesinato
asshole	disgust	0.836	Estúpido
homicide	disgust	0.836	homicidio
enslaved	disgust	0.836	esclavizado
infanticide	disgust	0.836	infanticidio
perverted	disgust	0.828	pervertido
excretion	disgust	0.828	excreción
gore	disgust	0.828	sangre
slaughtering	disgust	0.828	matanza
torture	disgust	0.828	tortura
contaminate	disgust	0.821	contaminar
revolting	disgust	0.820	repugnante
gory	disgust	0.820	sangriento
shit	disgust	0.820	mierda
terrorist	disgust	0.820	terrorista
murderer	disgust	0.820	asesino
repugnant	disgust	0.820	repugnante
manure	disgust	0.820	estiércol
pervert	disgust	0.820	pervertido
diarrhoea	disgust	0.820	Diarrea
grotesque	disgust	0.820	grotesco
desecration	disgust	0.820	profanación
faeces	disgust	0.812	excrementos
slavery	disgust	0.812	esclavitud
sewer	disgust	0.812	alcantarillado
cadaver	disgust	0.812	cadáver
manslaughter	disgust	0.812	homicidio involuntario
dismemberment	disgust	0.812	desmembramiento
vomit	disgust	0.812	vómito
perverse	disgust	0.805	perverso
repulsive	disgust	0.805	repulsivo
hemorrhage	disgust	0.805	hemorragia
sewage	disgust	0.797	aguas residuales
filthy	disgust	0.797	sucio
diseased	disgust	0.797	enfermo
depravity	disgust	0.797	depravación
carcass	disgust	0.795	cuerpo
decompose	disgust	0.789	descomponer
gruesome	disgust	0.789	horrible
mutilated	disgust	0.789	mutilado
puke	disgust	0.789	vómito
herpes	disgust	0.789	herpes
decayed	disgust	0.789	decaido
dung	disgust	0.789	estiércol
vermin	disgust	0.789	alimañas
murderous	disgust	0.789	asesino
parasite	disgust	0.789	parásito
horrific	disgust	0.789	horrendo
carnage	disgust	0.781	carnicería
malaria	disgust	0.781	malaria
slime	disgust	0.781	limo
flatulence	disgust	0.781	flatulencia
pestilence	disgust	0.781	pestilencia
crap	disgust	0.781	tonterías
monstrosity	disgust	0.781	monstruosidad
loathsome	disgust	0.773	repugnante
toxic	disgust	0.773	tóxico
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	virus del herpes
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	insidioso
cruel	disgust	0.766	cruel
regurgitation	disgust	0.766	regurgitación
anthrax	disgust	0.766	ántrax
xenophobia	disgust	0.766	xenofobia
repugnance	disgust	0.766	repugnancia
lynch	disgust	0.766	linchar
revulsion	disgust	0.766	repugnancia
whore	disgust	0.766	puta
dissection	disgust	0.759	disección
mucous	disgust	0.758	mucoso
canker	disgust	0.758	llaga gangrenosa
slum	disgust	0.758	barrio bajo
infectious	disgust	0.758	infeccioso
evil	disgust	0.758	demonio
phlegm	disgust	0.758	flema
cruelty	disgust	0.758	crueldad
perversion	disgust	0.758	perversión
sinister	disgust	0.750	siniestro
leeches	disgust	0.750	sanguijuelas
corrupting	disgust	0.750	corrompiendo
decomposition	disgust	0.750	descomposición
abomination	disgust	0.742	abominación
stinking	disgust	0.742	maloliente
bile	disgust	0.742	bilis
demonic	disgust	0.742	demoníaco
deranged	disgust	0.742	trastornado
abhorrence	disgust	0.742	aborrecimiento
soiled	disgust	0.742	sucio
mucus	disgust	0.742	moco
septic	disgust	0.742	séptico
sickening	disgust	0.742	nauseabundo
demon	disgust	0.742	demonio
cancer	disgust	0.734	cáncer
obese	disgust	0.734	obeso
degeneracy	disgust	0.734	degeneración
despicable	disgust	0.734	despreciable
atrocity	disgust	0.734	atrocidad
foul	disgust	0.734	falta
sicken	disgust	0.734	enfermar
crucifixion	disgust	0.734	crucifixión
terrorism	disgust	0.734	terrorismo
repulsion	disgust	0.727	repulsión
morbidity	disgust	0.727	morbosidad
dysentery	disgust	0.727	disentería
enema	disgust	0.727	enema
bacterium	disgust	0.727	bacteria
dirty	disgust	0.727	sucio
adultery	disgust	0.727	adulterio
contamination	disgust	0.727	contaminación
grisly	disgust	0.727	espeluznante
diabolical	disgust	0.727	diabólico
autopsy	disgust	0.719	autopsia
barbaric	disgust	0.719	bárbaro
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	entrañas
disgust	disgust	0.719	asco
lewd	disgust	0.719	lascivo
muck	disgust	0.719	estiércol
bowels	disgust	0.719	intestinos
garbage	disgust	0.719	basura
deterioration	disgust	0.719	deterioro
contagion	disgust	0.719	contagio
vicious	disgust	0.719	vicioso
disfigured	disgust	0.719	desfigurado
pungent	disgust	0.719	acre
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	matanza
gag	disgust	0.711	mordaza
pollute	disgust	0.711	contaminar
nausea	disgust	0.711	náuseas
tyrant	disgust	0.711	tirano
wretched	disgust	0.711	miserable
mortification	disgust	0.711	mortificación
violent	disgust	0.711	violento
poisoned	disgust	0.711	envenenado
nauseate	disgust	0.703	repugnar
slimy	disgust	0.703	baboso
grope	disgust	0.703	ir a tientas
slut	disgust	0.703	puta
nasty	disgust	0.703	asqueroso
disgusting	disgust	0.703	desagradable
depraved	disgust	0.703	depravado
porn	disgust	0.703	pornografía
hateful	disgust	0.703	odioso
vulgarity	disgust	0.703	vulgaridad
noxious	disgust	0.703	nocivo
grime	disgust	0.703	mugre
constipation	disgust	0.703	estreñimiento
secretion	disgust	0.703	secreción
poisoning	disgust	0.703	envenenamiento
despotism	disgust	0.703	despotismo
measles	disgust	0.696	sarampión
contagious	disgust	0.695	contagioso
obesity	disgust	0.695	obesidad
wart	disgust	0.695	verruga
hate	disgust	0.695	odio
hellish	disgust	0.695	infernal
scum	disgust	0.695	escoria
suicidal	disgust	0.695	suicida
wretch	disgust	0.695	desgraciado
abuse	disgust	0.695	abuso
waste	disgust	0.695	desperdicio
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	gusano del corazón
ooze	disgust	0.688	rezumar
treason	disgust	0.688	traición
contaminated	disgust	0.688	contaminado
smut	disgust	0.688	tizón
disease	disgust	0.688	enfermedad
rabid	disgust	0.688	rabioso
deformed	disgust	0.680	deformado
hell	disgust	0.680	infierno
soulless	disgust	0.680	desalmado
cholera	disgust	0.680	cólera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antecristo
freakish	disgust	0.680	monstruoso
germ	disgust	0.680	germen
detest	disgust	0.680	detestar
pollution	disgust	0.680	contaminación
grimy	disgust	0.680	mugriento
abhorrent	disgust	0.680	aborrecible
hatred	disgust	0.680	odio
abominate	disgust	0.680	abominar
sickness	disgust	0.680	enfermedad
hideous	disgust	0.672	horrible
dictatorship	disgust	0.672	dictadura
loathful	disgust	0.672	detestable
greasy	disgust	0.672	grasiento
dilapidated	disgust	0.672	arruinado
inhuman	disgust	0.672	inhumano
loathing	disgust	0.672	aversión
obscene	disgust	0.672	obsceno
cess	disgust	0.670	impuesto
devil	disgust	0.664	demonio
deformity	disgust	0.664	deformidad
nauseous	disgust	0.664	nauseabundo
deadly	disgust	0.664	mortal
swine	disgust	0.664	cerdo
discrimination	disgust	0.664	discriminación
abominable	disgust	0.664	abominable
masochism	disgust	0.664	masoquismo
heretic	disgust	0.664	hereje
latrines	disgust	0.656	letrinas
corruption	disgust	0.656	corrupción
poisonous	disgust	0.656	venenoso
horror	disgust	0.656	horror
nefarious	disgust	0.656	vil
bacteria	disgust	0.656	bacterias
horrible	disgust	0.656	horrible
trash	disgust	0.656	basura
abortion	disgust	0.656	aborto
death	disgust	0.656	muerte
prejudiced	disgust	0.656	parcial
poison	disgust	0.656	veneno
oppression	disgust	0.656	opresión
goo	disgust	0.656	viscosidad
victimized	disgust	0.656	victimizado
mange	disgust	0.656	sarna
sludge	disgust	0.648	lodo
trashy	disgust	0.648	baja calidad
vindictive	disgust	0.648	vengativo
horrid	disgust	0.648	horrible
ugly	disgust	0.648	feo
immoral	disgust	0.648	inmoral
bitch	disgust	0.648	perra
outhouse	disgust	0.648	anexo
detestation	disgust	0.648	detestación
horrifying	disgust	0.641	horripilante
laxative	disgust	0.641	laxante
unsightly	disgust	0.641	feo
derogatory	disgust	0.641	despectivo
slop	disgust	0.641	agua sucia
malfeasance	disgust	0.641	crimen
spew	disgust	0.641	arrojar
pimple	disgust	0.641	espinilla
criminality	disgust	0.641	criminalidad
indecency	disgust	0.641	indecencia
cystic	disgust	0.641	cístico
villainous	disgust	0.641	villano
queasy	disgust	0.633	mareado
mildew	disgust	0.633	moho
oppressive	disgust	0.633	opresivo
prostitution	disgust	0.633	prostitución
secrete	disgust	0.633	secretar
ulcer	disgust	0.633	úlcera
rat	disgust	0.633	rata
bigoted	disgust	0.633	fanático
perpetrator	disgust	0.633	autor
doomsday	disgust	0.633	Día del Juicio Final
sinful	disgust	0.633	pecaminoso
degrading	disgust	0.625	degradante
ghastly	disgust	0.625	horrible
suffering	disgust	0.625	sufrimiento
obscenity	disgust	0.625	obscenidad
devilish	disgust	0.625	diabólico
disgraceful	disgust	0.625	vergonzoso
persecution	disgust	0.625	persecucion
contemptible	disgust	0.625	despreciable
cuckold	disgust	0.625	cornudo
stools	disgust	0.625	taburetes
dastardly	disgust	0.625	ruin
sin	disgust	0.625	pecado
gluttony	disgust	0.625	glotonería
bloated	disgust	0.625	hinchado
fungus	disgust	0.625	hongo
aghast	disgust	0.625	espantado
diaper	disgust	0.617	pañal
malicious	disgust	0.617	malicioso
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	muriendo
termite	disgust	0.617	termita
fat	disgust	0.617	grasa
deceit	disgust	0.617	engaño
atrocious	disgust	0.617	atroz
guillotine	disgust	0.617	guillotina
tetanus	disgust	0.617	tétanos
spoil	disgust	0.617	arruinar
crusty	disgust	0.617	crujiente
sickly	disgust	0.617	enfermizo
louse	disgust	0.617	piojo
strangle	disgust	0.617	estrangular
betrayal	disgust	0.617	traición
loathe	disgust	0.617	detestar
wench	disgust	0.617	moza
infect	disgust	0.617	infectar
violently	disgust	0.609	violentamente
brothel	disgust	0.609	burdel
drool	disgust	0.609	babear
bleeding	disgust	0.609	sangrado
deform	disgust	0.609	deformar
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotaje
venomous	disgust	0.609	venenoso
abhor	disgust	0.609	aborrecer
slander	disgust	0.609	calumnia
hostile	disgust	0.609	hostil
musty	disgust	0.602	rancio
illicit	disgust	0.602	ilícito
ugliness	disgust	0.602	fealdad
unwashed	disgust	0.602	sucio
swampy	disgust	0.602	pantanoso
deprivation	disgust	0.602	privación
poaching	disgust	0.602	caza furtiva
hag	disgust	0.602	bruja
infidel	disgust	0.602	infiel
imprisonment	disgust	0.602	prisión
traitor	disgust	0.602	traidor
lunacy	disgust	0.602	locura
queasiness	disgust	0.594	náuseas
hostility	disgust	0.594	hostilidad
repelling	disgust	0.594	repeliendo
intoxicated	disgust	0.594	embriagado
thug	disgust	0.594	matón
catastrophe	disgust	0.594	catástrofe
lunatic	disgust	0.594	lunático
misery	disgust	0.594	miseria
venom	disgust	0.594	veneno
butcher	disgust	0.594	carnicero
toilet	disgust	0.594	inodoro
blister	disgust	0.594	ampolla
lurid	disgust	0.594	espeluznante
slug	disgust	0.594	babosa
gut	disgust	0.594	intestino
sinner	disgust	0.594	pecador
deceitful	disgust	0.594	engañoso
epidemic	disgust	0.594	epidemia
deteriorated	disgust	0.586	deteriorado
lavatory	disgust	0.586	lavabo
unclean	disgust	0.586	inmundo
prostitute	disgust	0.586	prostituta
incubus	disgust	0.586	íncubo
appalling	disgust	0.586	pésimo
dreadful	disgust	0.586	terrible
pornography	disgust	0.586	pornografía
harass	disgust	0.586	acosar
squeamish	disgust	0.578	delicado
expulsion	disgust	0.578	expulsión
unfaithful	disgust	0.578	infiel
offensive	disgust	0.578	ofensivo
hypocrite	disgust	0.578	hipócrita
humiliating	disgust	0.578	humillante
larceny	disgust	0.578	hurto
ruinous	disgust	0.578	ruinoso
retard	disgust	0.578	retardar
rash	disgust	0.578	sarpullido
flea	disgust	0.578	pulga
debauchery	disgust	0.578	libertinaje
fiend	disgust	0.578	demonio
quagmire	disgust	0.578	cenagal
conspirator	disgust	0.578	conspirador
sick	disgust	0.578	enfermo
mangle	disgust	0.578	mutilar
dogsick	disgust	0.570	perro enfermo
egregious	disgust	0.570	enorme
flog	disgust	0.570	azotar
despise	disgust	0.570	despreciar
treacherous	disgust	0.570	traicionero
oppress	disgust	0.570	oprimir
swamp	disgust	0.570	pantano
messy	disgust	0.570	desordenado
spit	disgust	0.570	escupir
dank	disgust	0.570	húmedo
bastard	disgust	0.570	bastardo
devastating	disgust	0.570	devastador
serpent	disgust	0.570	serpiente
loo	disgust	0.562	lavabo
indecent	disgust	0.562	indecente
insanity	disgust	0.562	locura
stealing	disgust	0.562	robando
terrible	disgust	0.562	horrible
tyrannical	disgust	0.562	tiránico
humiliation	disgust	0.562	humillación
snake	disgust	0.562	serpiente
sloppy	disgust	0.562	descuidado
sinning	disgust	0.562	pecando
harmful	disgust	0.562	dañino
harlot	disgust	0.562	ramera
sordid	disgust	0.562	sórdido
enemy	disgust	0.562	enemigo
alcoholism	disgust	0.562	alcoholismo
awful	disgust	0.562	horrible
ruthless	disgust	0.562	implacable
scoundrel	disgust	0.562	sinvergüenza
bloody	disgust	0.555	sangriento
flabby	disgust	0.555	flácido
odious	disgust	0.555	odioso
beastly	disgust	0.555	bestial
collusion	disgust	0.555	colusión
ridicule	disgust	0.555	ridículo
discriminating	disgust	0.555	discriminante
unattractive	disgust	0.555	no atractivo
insufferable	disgust	0.555	insufrible
segregate	disgust	0.555	segregar
arsenic	disgust	0.555	arsénico
threatening	disgust	0.555	amenazante
atrophy	disgust	0.555	atrofia
varicella	disgust	0.555	varicela
slayer	disgust	0.555	asesino
distaste	disgust	0.555	disgusto
coward	disgust	0.555	cobarde
robbery	disgust	0.555	robo
wickedness	disgust	0.555	malicia
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	malévolo
sty	disgust	0.547	orzuelo
pillage	disgust	0.547	pillaje
thief	disgust	0.547	ladrón
suffocating	disgust	0.547	sofocante
condemnation	disgust	0.547	condenación
deleterious	disgust	0.547	perjudicial
slur	disgust	0.547	calumnia
purgatory	disgust	0.547	purgatorio
attacking	disgust	0.547	agresor
burglar	disgust	0.547	ladrón
ogre	disgust	0.547	ogro
coercion	disgust	0.547	coerción
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	miserable
bitterly	disgust	0.547	amargamente
sneer	disgust	0.539	burla
greedy	disgust	0.539	codicioso
gob	disgust	0.539	trozo
repellant	disgust	0.539	repelente
jealous	disgust	0.539	celoso
drunken	disgust	0.539	borracho
shame	disgust	0.539	verguenza
thrash	disgust	0.539	movimiento de piernas
fatty	disgust	0.539	graso
liar	disgust	0.539	mentiroso
imprisoned	disgust	0.539	encarcelado
sloth	disgust	0.539	ranura
repudiation	disgust	0.539	repudio
disgrace	disgust	0.539	desgracia
infidelity	disgust	0.539	infidelidad
pig	disgust	0.539	cerdo
lethal	disgust	0.536	letal
burnt	disgust	0.531	quemado
brawl	disgust	0.531	pelearse
withered	disgust	0.531	marchito
blemish	disgust	0.531	defecto
hydrocephalus	disgust	0.531	hidrocefalia
aberration	disgust	0.531	aberración
smuggler	disgust	0.531	contrabandista
painful	disgust	0.531	doloroso
condescension	disgust	0.531	condescendencia
intolerant	disgust	0.531	intolerante
blasphemous	disgust	0.531	blasfemo
lying	disgust	0.531	mintiendo
hanging	disgust	0.531	colgando
travesty	disgust	0.531	parodia
ruined	disgust	0.531	arruinado
intrusive	disgust	0.531	intruso
disintegrate	disgust	0.531	desintegrarse
destructive	disgust	0.531	destructivo
neurotic	disgust	0.531	neurótico
disparaging	disgust	0.523	despectivo
blighted	disgust	0.523	arruinado
intolerance	disgust	0.523	intolerancia
mistress	disgust	0.523	amante
avarice	disgust	0.523	avaricia
disgraced	disgust	0.523	deshonrado
derogation	disgust	0.523	humillación
rubbish	disgust	0.523	basura
accusation	disgust	0.523	acusación
incarceration	disgust	0.523	encarcelamiento
tortious	disgust	0.516	tortuoso
dishonor	disgust	0.516	deshonra
stink	disgust	0.516	hedor
grim	disgust	0.516	severo
rob	disgust	0.516	robar
defraud	disgust	0.516	defraudar
sump	disgust	0.516	sumidero
cringe	disgust	0.516	morir de vergüenza
vulture	disgust	0.516	buitre
deplorable	disgust	0.516	deplorable
mite	disgust	0.516	Pizca
eradication	disgust	0.516	erradicación
degrade	disgust	0.516	degradar
gutter	disgust	0.516	canal
convict	disgust	0.516	condenar
remains	disgust	0.516	restos
betray	disgust	0.516	traicionar
daemon	disgust	0.516	demonio
sham	disgust	0.509	impostor
distasteful	disgust	0.508	desagradable
prisoner	disgust	0.508	prisionero
dreadfully	disgust	0.508	horrorosamente
worthless	disgust	0.508	sin valor
crude	disgust	0.508	crudo
delirium	disgust	0.508	delirio
incurable	disgust	0.508	incurable
smelling	disgust	0.508	oliendo
idiocy	disgust	0.508	idiotez
resentment	disgust	0.508	resentimiento
bombed	disgust	0.508	bombardeado
blob	disgust	0.508	gota
cheat	disgust	0.508	hacer trampa
schizophrenia	disgust	0.508	esquizofrenia
rejection	disgust	0.508	rechazo
belittle	disgust	0.508	empequeñecer
glut	disgust	0.508	exceso
disaster	disgust	0.508	desastre
distress	disgust	0.508	angustia
pest	disgust	0.508	parásito
endemic	disgust	0.508	endémico
theft	disgust	0.500	robo
banish	disgust	0.500	desterrar
mire	disgust	0.500	fango
flagrant	disgust	0.500	flagrante
derision	disgust	0.500	burla
dirt	disgust	0.500	suciedad
screaming	disgust	0.500	gritando
offense	disgust	0.500	ofensa
jealousy	disgust	0.500	celos
bribery	disgust	0.500	soborno
polemic	disgust	0.500	polémica
blight	disgust	0.500	plaga
impeach	disgust	0.500	procesar
bitterness	disgust	0.500	amargura
taboo	disgust	0.500	tabú
duress	disgust	0.500	coacción
goblin	disgust	0.500	duende
shackle	disgust	0.500	encadenar
idolatry	disgust	0.500	idolatría
greed	disgust	0.500	codicia
impurity	disgust	0.500	impureza
tirade	disgust	0.500	diatriba
idiot	disgust	0.492	estúpido
boil	disgust	0.492	hervir
unconscionable	disgust	0.492	excesivo
disreputable	disgust	0.492	de mala fama
robber	disgust	0.492	ladrón
malign	disgust	0.492	maligno
wreck	disgust	0.492	naufragio
recession	disgust	0.492	recesión
gorge	disgust	0.492	garganta
leer	disgust	0.492	mirada lasciva
ill	disgust	0.492	enfermo
squirm	disgust	0.492	retorcerse
raging	disgust	0.484	furioso
servile	disgust	0.484	servil
mess	disgust	0.484	desorden
nappy	disgust	0.484	pañal
possessed	disgust	0.484	poseído
unbearable	disgust	0.484	inaguantable
occult	disgust	0.484	oculto
contraband	disgust	0.484	contrabando
snarl	disgust	0.484	gruñido
mutiny	disgust	0.484	motín
mad	disgust	0.484	enojado
affliction	disgust	0.484	aflicción
stain	disgust	0.484	mancha
animosity	disgust	0.484	animosidad
contempt	disgust	0.484	desprecio
tramp	disgust	0.484	vagabundo
nepotism	disgust	0.484	nepotismo
disrespectful	disgust	0.484	irrespetuoso
defamation	disgust	0.484	difamación
inexcusable	disgust	0.484	inexcusable
aversation	disgust	0.484	aversión
wasteful	disgust	0.484	antieconómico
offender	disgust	0.484	delincuente
subjugation	disgust	0.484	subyugación
illegality	disgust	0.477	ilegalidad
dismal	disgust	0.477	triste
criminal	disgust	0.477	delincuente
unpleasant	disgust	0.477	desagradable
palsy	disgust	0.477	parálisis
antagonistic	disgust	0.477	antagonista
pathetic	disgust	0.477	patético
uncaring	disgust	0.477	indiferente
suppression	disgust	0.477	supresión
immorality	disgust	0.477	inmoralidad
mockery	disgust	0.477	mofa
outrage	disgust	0.469	Indignacion
mocking	disgust	0.469	burlón
wallow	disgust	0.469	revolcarse por
cough	disgust	0.469	tos
arrogant	disgust	0.469	arrogante
angry	disgust	0.469	enfadado
poverty	disgust	0.469	pobreza
grating	disgust	0.469	rejilla
livid	disgust	0.469	lívido
aggravation	disgust	0.469	agravación
repellent	disgust	0.469	repelente
perspiration	disgust	0.469	transpiración
banishment	disgust	0.469	destierro
furious	disgust	0.469	furioso
shoddy	disgust	0.469	pacotilla
banshee	disgust	0.469	alma en pena
deceive	disgust	0.461	engañar
fool	disgust	0.461	engañar
quack	disgust	0.461	curandero
distorted	disgust	0.461	distorsionado
spider	disgust	0.461	araña
unjustifiable	disgust	0.461	injustificable
deplore	disgust	0.461	deplorar
spurious	disgust	0.461	espurio
perdition	disgust	0.461	perdición
muddy	disgust	0.461	lodoso
fraudulent	disgust	0.461	fraudulento
scar	disgust	0.461	cicatriz
prick	disgust	0.461	pinchazo
insulting	disgust	0.461	insultante
plunder	disgust	0.461	saquear
recklessness	disgust	0.461	imprudencia
stigma	disgust	0.453	estigma
disparage	disgust	0.453	menospreciar
unthinkable	disgust	0.453	inconcebible
disingenuous	disgust	0.453	falso
bane	disgust	0.453	perdición
dishonest	disgust	0.453	deshonesto
aphid	disgust	0.453	áfido
elimination	disgust	0.453	eliminación
cur	disgust	0.453	canalla
selfish	disgust	0.453	egoísta
eschew	disgust	0.453	evitar
dire	disgust	0.453	terrible
indignation	disgust	0.453	indignación
antipathy	disgust	0.453	antipatía
alienate	disgust	0.453	enajenar
mosquito	disgust	0.445	mosquito
piles	disgust	0.445	pila de algo
pious	disgust	0.445	piadoso
lie	disgust	0.445	mentir
opium	disgust	0.445	opio
smell	disgust	0.445	oler
iniquity	disgust	0.445	iniquidad
caries	disgust	0.445	caries
despair	disgust	0.445	desesperación
recalcitrant	disgust	0.445	recalcitrante
egotistical	disgust	0.445	ególatra
wasted	disgust	0.445	desperdiciado
vacuous	disgust	0.445	vacío
bankruptcy	disgust	0.445	bancarrota
garish	disgust	0.445	llamativo
obnoxious	disgust	0.438	desagradable
ashamed	disgust	0.438	avergonzado
abject	disgust	0.438	abyecto
sticky	disgust	0.438	pegajoso
scream	disgust	0.438	grito
hopelessness	disgust	0.438	desesperación
homeless	disgust	0.438	Vagabundo
shun	disgust	0.438	rehuir
inmate	disgust	0.438	preso
alien	disgust	0.438	extraterrestre
hog	disgust	0.438	cerdo
aversion	disgust	0.438	aversión
abnormal	disgust	0.438	anormal
cursing	disgust	0.430	maldiciendo
undesirable	disgust	0.430	indeseable
denounce	disgust	0.430	denunciar
witch	disgust	0.430	bruja
creature	disgust	0.430	criatura
lusty	disgust	0.430	fuerte
illegal	disgust	0.430	ilegal
debris	disgust	0.430	escombros
callous	disgust	0.430	calloso
reflux	disgust	0.430	reflujo
adverse	disgust	0.430	adverso
shameless	disgust	0.430	desvergonzado
separatist	disgust	0.430	separatista
trickery	disgust	0.430	astucia
falsity	disgust	0.430	falsedad
pall	disgust	0.430	féretro
defiance	disgust	0.430	desafío
incredulous	disgust	0.430	incrédulo
curse	disgust	0.430	maldición
pompous	disgust	0.422	pomposo
socialist	disgust	0.422	socialista
mistrust	disgust	0.422	desconfianza
infantile	disgust	0.422	infantil
wasting	disgust	0.422	debilitante
hairy	disgust	0.422	peludo
nicotine	disgust	0.422	nicotina
denunciation	disgust	0.422	denuncia
collapse	disgust	0.422	colapsar
untidy	disgust	0.422	desordenado
ferocious	disgust	0.422	feroz
ammonia	disgust	0.422	amoníaco
carelessness	disgust	0.422	descuido
impure	disgust	0.422	impuro
contentious	disgust	0.422	contencioso
bum	disgust	0.422	culo
affront	disgust	0.422	afrenta
offend	disgust	0.422	ofender
tarnish	disgust	0.422	deslustre
idiotic	disgust	0.422	idiota
badness	disgust	0.422	maldad
delinquent	disgust	0.422	delincuente
swarm	disgust	0.422	enjambre
hypertrophy	disgust	0.422	hipertrofia
gush	disgust	0.422	chorro
tasteless	disgust	0.422	insípido
