English Word	Emotion	Emotion-Intensity-Score	Frisian Word
healing	anticipation	0.578	healing
heavenly	anticipation	0.578	himelske
inviting	anticipation	0.578	útnoegjend
precarious	anticipation	0.578	prekerich
attainable	anticipation	0.578	berikber
blessing	anticipation	0.578	segen
prosper	anticipation	0.578	bloeie
tease	anticipation	0.570	pleage
plan	anticipation	0.570	plan
sweetheart	anticipation	0.570	leafste
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	pracht
ultimate	anticipation	0.570	ultimate
emancipation	anticipation	0.570	emansipaasje
restlessness	anticipation	0.570	ûnrêst
finally	anticipation	0.570	úteinlik
intimate	anticipation	0.570	yntym
omen	anticipation	0.570	omen
matchmaker	anticipation	0.570	matchmaker
gambler	anticipation	0.570	gokken
prospectively	anticipation	0.570	prospectyf
dare	anticipation	0.570	doarst
warned	anticipation	0.570	warskôge
invite	anticipation	0.570	noegje
mysterious	anticipation	0.562	mysterieuze
accolade	anticipation	0.562	lof
lover	anticipation	0.562	leafhawwer
expose	anticipation	0.562	bleatstelle
enchant	anticipation	0.562	betoverje
attempt	anticipation	0.562	besykjen
festival	anticipation	0.562	festival
exalt	anticipation	0.562	ferheven
rejoice	anticipation	0.562	bliid
independence	anticipation	0.562	selsstannigens
expected	anticipation	0.562	ferwachtsje
fanfare	anticipation	0.562	fanfare
immortality	anticipation	0.562	ûnstjerlikens
quicken	anticipation	0.562	flugger
parade	anticipation	0.562	parade
fun	anticipation	0.562	wille
predilection	anticipation	0.562	foarleafde
champion	anticipation	0.562	kampioen
forewarned	anticipation	0.562	warskôge
hypothesis	anticipation	0.562	hypoteze
trophy	anticipation	0.562	trofee
shopping	anticipation	0.555	winkeljen
salvation	anticipation	0.555	heil
feeling	anticipation	0.555	gefoel
speculative	anticipation	0.555	spekulatyf
oracle	anticipation	0.555	orakel
heroism	anticipation	0.555	heroïsme
boisterous	anticipation	0.555	boisterous
grasping	anticipation	0.555	gripe
uneasiness	anticipation	0.555	ûnrêst
curiosity	anticipation	0.555	nijsgjirrigens
happy	anticipation	0.555	lokkich
rejoicing	anticipation	0.555	blide
fate	anticipation	0.555	lot
liberty	anticipation	0.555	frijheid
unfold	anticipation	0.555	unfold
amour	anticipation	0.555	amour
lovely	anticipation	0.555	moai
splendor	anticipation	0.555	pracht
grow	anticipation	0.555	groeie
glimmer	anticipation	0.547	glimmer
incite	anticipation	0.547	stimulearje
abundance	anticipation	0.547	oerfloed
resultant	anticipation	0.547	resultant
probability	anticipation	0.547	kâns
recreational	anticipation	0.547	rekreatyf
glory	anticipation	0.547	gloarje
agape	anticipation	0.547	agape
delighted	anticipation	0.547	bliid
changeable	anticipation	0.547	feroare
convergence	anticipation	0.547	konverginsje
bountiful	anticipation	0.547	oerfloedich
warn	anticipation	0.547	warskôgje
monetary	anticipation	0.547	monetêre
sorcery	anticipation	0.547	tsjoenderij
morrow	anticipation	0.547	moarn
apprehensive	anticipation	0.547	benaud
hungry	anticipation	0.547	hongerich
vote	anticipation	0.547	stim
suspicious	anticipation	0.547	fertocht
pray	anticipation	0.547	bidde
leisure	anticipation	0.547	frije tiid
hunting	anticipation	0.539	jacht
sensual	anticipation	0.539	sensueel
tempest	anticipation	0.539	stoarm
auction	anticipation	0.539	feiling
ballot	anticipation	0.539	stimbriefke
grandchildren	anticipation	0.539	bernsbern
hankering	anticipation	0.539	hankering
entertainment	anticipation	0.539	entertainment
merge	anticipation	0.539	fusearje
exceed	anticipation	0.539	boppe
vindication	anticipation	0.539	befêstiging
blessings	anticipation	0.539	segeningen
inquiry	anticipation	0.539	enkête
bounty	anticipation	0.539	bounty
worrying	anticipation	0.539	soargen
contingent	anticipation	0.539	kontingint
glad	anticipation	0.536	bliid
harbinger	anticipation	0.531	harbringer
magnificent	anticipation	0.531	manjefyk
virginity	anticipation	0.531	jongfammesteat
stealthy	anticipation	0.531	stealthy
appeal	anticipation	0.531	berop
forming	anticipation	0.531	foarmje
celestial	anticipation	0.531	himelske
raving	anticipation	0.531	raving
deliverance	anticipation	0.531	befrijing
feat	anticipation	0.531	feat
cheer	anticipation	0.531	cheer
responsive	anticipation	0.531	responsive
hurried	anticipation	0.531	hastich
betrothed	anticipation	0.531	ferloofd
overthrow	anticipation	0.531	omkeare
spirits	anticipation	0.531	geasten
dread	anticipation	0.531	eangst
visitor	anticipation	0.531	besiker
wait	anticipation	0.523	wachtsje
revive	anticipation	0.523	oplibje
watch	anticipation	0.523	horloazje
hunter	anticipation	0.523	jager
radiance	anticipation	0.523	útstrieling
planning	anticipation	0.523	planning
germination	anticipation	0.523	germination
competition	anticipation	0.523	kompetysje
preparatory	anticipation	0.523	tariedend
prognostic	anticipation	0.523	prognostyk
beaming	anticipation	0.523	beaming
cheery	anticipation	0.523	fleurich
prevail	anticipation	0.523	oerhearskje
importance	anticipation	0.523	belang
notification	anticipation	0.523	notifikaasje
explosive	anticipation	0.523	eksplosyf
pleasant	anticipation	0.523	noflik
ultimately	anticipation	0.523	úteinlik
child	anticipation	0.523	bern
haste	anticipation	0.523	hastich
prophet	anticipation	0.523	profeet
recreation	anticipation	0.516	rekreaasje
present	anticipation	0.516	oanwêzich
time	anticipation	0.516	tiid
sensuality	anticipation	0.516	sensualiteit
owing	anticipation	0.516	skuldich
loom	anticipation	0.516	loom
begun	anticipation	0.516	begjinne
salary	anticipation	0.516	salaris
celebrity	anticipation	0.516	celebrity
treat	anticipation	0.516	behannelje
chocolate	anticipation	0.516	sûkelade
caution	anticipation	0.516	foarsichtigens
fermentation	anticipation	0.516	fermentaasje
uncontrollable	anticipation	0.516	net te kontrolearjen
precious	anticipation	0.516	kostber
compensate	anticipation	0.516	kompensearje
endanger	anticipation	0.516	bedrige
renovation	anticipation	0.516	renovaasje
signify	anticipation	0.508	oantsjutte
vigilance	anticipation	0.508	waakzaamheid
prerequisite	anticipation	0.508	betingst
perfection	anticipation	0.508	perfeksje
cultivate	anticipation	0.508	kultivearje
develop	anticipation	0.508	ûntwikkelje
cue	anticipation	0.508	cue
exigent	anticipation	0.508	fereaske
transitional	anticipation	0.508	transitional
commemoration	anticipation	0.508	betinking
intermission	anticipation	0.508	tuskenskoft
elevation	anticipation	0.508	ferheging
infant	anticipation	0.508	infant
practise	anticipation	0.508	oefenje
contemplation	anticipation	0.508	besinning
dreadful	anticipation	0.508	ferskriklik
wilderness	anticipation	0.508	wyldernis
horizon	anticipation	0.508	hoarizon
sneaking	anticipation	0.500	sneaking
uphill	anticipation	0.500	omheech
puppy	anticipation	0.500	puppy
blindfold	anticipation	0.500	blyndoek
unbridled	anticipation	0.500	ûnbeheind
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	fleanfjild
reconciliation	anticipation	0.500	fersoening
advocacy	anticipation	0.500	advocacy
litigate	anticipation	0.500	prosedearje
sunny	anticipation	0.500	sinnich
intuitively	anticipation	0.500	yntuïtyf
hero	anticipation	0.500	held
ardent	anticipation	0.500	fûleindich
commemorate	anticipation	0.500	betinke
romantic	anticipation	0.500	romantysk
doomsday	anticipation	0.500	doomsday
ready	anticipation	0.500	klear
nascent	anticipation	0.500	ûntstean
invocation	anticipation	0.500	oprop
depart	anticipation	0.500	fuortgean
undisclosed	anticipation	0.500	undisclosed
attendance	anticipation	0.500	opkomst
peril	anticipation	0.500	gefaar
income	anticipation	0.500	ynkommen
calculation	anticipation	0.500	berekkening
zeal	anticipation	0.500	iver
eventuality	anticipation	0.500	eventualiteit
favorable	anticipation	0.500	geunstich
utopian	anticipation	0.500	utopysk
swim	anticipation	0.500	swimme
proceeding	anticipation	0.492	trochgean
eventual	anticipation	0.492	úteinlik
heyday	anticipation	0.492	bloeitiid
undertaking	anticipation	0.492	ûndernimming
improvise	anticipation	0.492	ymprovisearje
inauguration	anticipation	0.492	ynauguraasje
consequent	anticipation	0.492	konsekwint
perspective	anticipation	0.492	perspektyf
defense	anticipation	0.492	ferdigening
repay	anticipation	0.492	werombetelje
gaping	anticipation	0.492	gapjend
youth	anticipation	0.492	jeugd
parole	anticipation	0.492	parole
worry	anticipation	0.492	soargen
bless	anticipation	0.492	seinigje
restorative	anticipation	0.492	restorative
court	anticipation	0.492	rjochtbank
highest	anticipation	0.491	heechste
shortly	anticipation	0.484	koart
auspicious	anticipation	0.484	geunstich
princely	anticipation	0.484	prinslik
correspondence	anticipation	0.484	korrespondinsje
generosity	anticipation	0.484	grutmoedigens
sparkle	anticipation	0.484	sparkle
voluptuous	anticipation	0.484	wulpse
happen	anticipation	0.484	barre
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	letter
vow	anticipation	0.484	gelofte
sharpen	anticipation	0.484	skerpe
duel	anticipation	0.484	duel
conjure	anticipation	0.484	betoverje
threaten	anticipation	0.484	driigje
god	anticipation	0.484	god
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	ûnferklearber
contagion	anticipation	0.484	besmetting
glorify	anticipation	0.477	ferhearlikje
submit	anticipation	0.477	yntsjinje
enroll	anticipation	0.477	ynskriuwe
unification	anticipation	0.477	ienwurding
gravitate	anticipation	0.477	gravitearje
glide	anticipation	0.477	glide
accompaniment	anticipation	0.477	begelieding
cherish	anticipation	0.477	koesterje
adore	anticipation	0.477	oanbidde
powerful	anticipation	0.477	krêftich
clue	anticipation	0.477	oanwizing
medal	anticipation	0.477	medalje
contemplate	anticipation	0.477	betinke
perilous	anticipation	0.477	gefaarlik
determinate	anticipation	0.477	bepale
arbitration	anticipation	0.477	arbitraazje
recipient	anticipation	0.477	ûntfanger
onset	anticipation	0.477	oanset
predispose	anticipation	0.477	predisponearje
score	anticipation	0.477	skoare
torture	anticipation	0.477	marteling
glow	anticipation	0.477	gloed
praiseworthy	anticipation	0.473	priizge
football	anticipation	0.469	fuotbal
scare	anticipation	0.469	eangst
elite	anticipation	0.469	elite
unknown	anticipation	0.469	ûnbekend
precursor	anticipation	0.469	foarrinner
pry	anticipation	0.469	pry
providing	anticipation	0.469	foarsjen
sweets	anticipation	0.469	sweets
cautious	anticipation	0.469	foarsichtich
opera	anticipation	0.469	opera
motion	anticipation	0.469	moasje
cash	anticipation	0.469	cash
creeping	anticipation	0.469	krûpend
invoke	anticipation	0.469	oproppe
star	anticipation	0.469	stjer
shaky	anticipation	0.469	wankelich
production	anticipation	0.469	produksje
successful	anticipation	0.469	suksesfol
immediately	anticipation	0.469	fuortendaliks
dawn	anticipation	0.469	dage
starry	anticipation	0.469	stjerrebyld
unsurpassed	anticipation	0.469	onovertroffen
completion	anticipation	0.469	foltôging
hire	anticipation	0.469	hiere
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	commorative
shining	anticipation	0.461	shining
testament	anticipation	0.461	testamint
pay	anticipation	0.461	betelje
alive	anticipation	0.461	libben
plight	anticipation	0.461	pech
preliminary	anticipation	0.461	foarriedich
overture	anticipation	0.461	ouverture
sanctuary	anticipation	0.461	hillichdom
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	ûntwerp
synchronize	anticipation	0.461	syngronisearje
soundness	anticipation	0.461	soundness
extricate	anticipation	0.461	útlûke
excel	anticipation	0.461	útblinke
punt	anticipation	0.461	punt
untold	anticipation	0.461	ûnferteld
brilliant	anticipation	0.461	briljant
cheerfulness	anticipation	0.461	fleurichheid
jeopardy	anticipation	0.461	gefaar
friendly	anticipation	0.461	freonlik
mail	anticipation	0.461	post
unexpected	anticipation	0.453	ûnferwachts
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	ynaugurele
supremacy	anticipation	0.453	supremasy
rehabilitation	anticipation	0.453	revalidaasje
intimately	anticipation	0.453	yntym
career	anticipation	0.453	karriêre
prevention	anticipation	0.453	previnsje
renovate	anticipation	0.453	renovearje
compliment	anticipation	0.453	komplimint
prologue	anticipation	0.453	prolooch
elegance	anticipation	0.453	elegânsje
complement	anticipation	0.453	oanfolling
flinch	anticipation	0.453	flinkje
infinity	anticipation	0.453	ûneinigens
perpetuity	anticipation	0.453	ivichheid
sunset	anticipation	0.453	sinneûndergong
improve	anticipation	0.453	ferbetterje
fitting	anticipation	0.445	fitting
confidence	anticipation	0.445	betrouwen
concealment	anticipation	0.445	ferbergjen
sweet	anticipation	0.445	swiet
perfect	anticipation	0.445	perfekt
epidemic	anticipation	0.445	epidemy
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	frijwilliger
share	anticipation	0.445	diele
surround	anticipation	0.445	surround
conjecture	anticipation	0.445	gissing
sun	anticipation	0.445	sinne
veracity	anticipation	0.445	wierheid
serial	anticipation	0.438	serial
angel	anticipation	0.438	ingel
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	hillige
tickle	anticipation	0.438	tikkelje
superstitious	anticipation	0.438	byleauwich
ferment	anticipation	0.438	fermentearje
conservation	anticipation	0.438	behâld
devout	anticipation	0.438	fromme
respect	anticipation	0.438	respekt
reconstruction	anticipation	0.438	rekonstruksje
goodness	anticipation	0.438	goedens
reconstruct	anticipation	0.438	rekonstruearje
faith	anticipation	0.438	leauwe
recombination	anticipation	0.438	rekombinaasje
prepared	anticipation	0.438	taret
rabid	anticipation	0.438	rabid
plea	anticipation	0.438	pleit
medical	anticipation	0.438	medysk
passenger	anticipation	0.438	passazjier
charitable	anticipation	0.430	goeddiedige
tabulate	anticipation	0.430	tabulearje
peace	anticipation	0.430	frede
install	anticipation	0.430	ynstallearje
serenity	anticipation	0.430	serenity
venerable	anticipation	0.430	earbiedweardich
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrint
luscious	anticipation	0.430	hearlik
perpetuate	anticipation	0.430	perpetuate
strategist	anticipation	0.430	strateeg
unverified	anticipation	0.430	net ferifiearre
tribunal	anticipation	0.430	tribunaal
clap	anticipation	0.430	klap
peaceful	anticipation	0.422	freedsum
patience	anticipation	0.422	geduld
unresolved	anticipation	0.422	net oplost
worship	anticipation	0.422	oanbidding
edification	anticipation	0.422	opbou
oasis	anticipation	0.422	oaze
grin	anticipation	0.422	gryn
revere	anticipation	0.422	fereare
candid	anticipation	0.422	iepen
vista	anticipation	0.422	útsicht
conspirator	anticipation	0.422	gearspanner
adrift	anticipation	0.422	adrift
recognizable	anticipation	0.422	werkenber
volatility	anticipation	0.422	volatiliteit
forestall	anticipation	0.422	foarstelle
laughter	anticipation	0.422	laitsjen
continue	anticipation	0.414	trochgean
ongoing	anticipation	0.414	oanhâldend
astrologer	anticipation	0.414	astrolooch
mediate	anticipation	0.414	bemiddelje
punctual	anticipation	0.414	punctual
grant	anticipation	0.414	subsydzje
morn	anticipation	0.414	moarn
pretty	anticipation	0.414	skoander
withstand	anticipation	0.414	wjerstean
frisky	anticipation	0.414	frysk
thought	anticipation	0.414	tins
probation	anticipation	0.414	proeftiid
ordination	anticipation	0.414	ordinaasje
calls	anticipation	0.414	ropt
detainee	anticipation	0.414	detineard
craps	anticipation	0.414	craps
weigh	anticipation	0.414	weage
proficiency	anticipation	0.414	feardigens
sing	anticipation	0.411	sjonge
continuation	anticipation	0.406	fuortsetting
university	anticipation	0.406	universiteit
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nurture
mother	anticipation	0.406	mem
punished	anticipation	0.406	straft
twinkle	anticipation	0.406	glimke
confession	anticipation	0.406	belidenis
outdo	anticipation	0.406	outdo
prophylactic	anticipation	0.406	profylaktysk
proud	anticipation	0.406	grutsk
midwife	anticipation	0.406	ferloskundige
wizard	anticipation	0.406	wizard
headlight	anticipation	0.406	koplampe
long	anticipation	0.406	lang
banquet	anticipation	0.406	banket
comfort	anticipation	0.406	treast
navigable	anticipation	0.406	befarber
subscribe	anticipation	0.406	ynskriuwe
opponent	anticipation	0.406	tsjinstander
debenture	anticipation	0.406	skuldbrief
deal	anticipation	0.402	oerienkomst
symphony	anticipation	0.398	symfony
saintly	anticipation	0.398	hillich
judiciary	anticipation	0.398	rjochterlike macht
lettered	anticipation	0.398	letterlik
vigil	anticipation	0.398	wach
reliance	anticipation	0.398	fertrouwen
distracting	anticipation	0.398	ôfliedend
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	balsem
simmer	anticipation	0.398	simmer
top	anticipation	0.398	top
obliging	anticipation	0.398	ferplichte
efficient	anticipation	0.398	effisjint
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	fertsjintwurdigje
death	anticipation	0.398	dea
assurance	anticipation	0.391	assurance
familiarity	anticipation	0.391	bekendheid
depraved	anticipation	0.391	ferdreaun
condemnation	anticipation	0.391	feroardieling
undoubted	anticipation	0.391	sûnder twifel
sanctify	anticipation	0.391	hilligje
diplomacy	anticipation	0.391	diplomasy
antidote	anticipation	0.391	tsjingif
trust	anticipation	0.391	fertrouwe
linger	anticipation	0.391	lingje
objective	anticipation	0.391	objektyf
chuckle	anticipation	0.391	tsjokke
poke	anticipation	0.391	pyk
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	maternal
art	anticipation	0.391	keunst
unfulfilled	anticipation	0.391	ûnfoldwaande
inoculation	anticipation	0.384	ynenting
simplify	anticipation	0.383	ferienfâldigje
depend	anticipation	0.383	ôfhingje
chant	anticipation	0.383	chant
ram	anticipation	0.383	raam
banger	anticipation	0.383	banger
playground	anticipation	0.383	boarterstún
labor	anticipation	0.383	arbeid
scientist	anticipation	0.383	wittenskipper
good	anticipation	0.383	goed
humanitarian	anticipation	0.383	humanitêre
failing	anticipation	0.383	failing
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	dutyful
hymn	anticipation	0.383	hymne
ship	anticipation	0.383	skip
discretion	anticipation	0.383	diskresje
undecided	anticipation	0.383	ûnbeslist
gradual	anticipation	0.375	stadichoan
navigator	anticipation	0.375	navigator
track	anticipation	0.375	spoar
cradle	anticipation	0.375	widze
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	interim
clock	anticipation	0.375	klok
mountain	anticipation	0.375	berch
interminable	anticipation	0.375	interminable
public	anticipation	0.375	iepenbier
recurrent	anticipation	0.375	weromkommend
savor	anticipation	0.375	smakke
abide	anticipation	0.367	bliuwe
concealed	anticipation	0.367	ferburgen
spear	anticipation	0.367	spear
lesson	anticipation	0.367	les
instructions	anticipation	0.367	ynstruksjes
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	twajierlikse
convince	anticipation	0.367	oertsjûgje
whim	anticipation	0.367	whim
shiver	anticipation	0.367	huverje
towering	anticipation	0.367	tuorren
musical	anticipation	0.367	muzikaal
offset	anticipation	0.359	offset
theory	anticipation	0.359	teory
theology	anticipation	0.359	teology
undying	anticipation	0.359	ûnstjerlik
timidity	anticipation	0.359	timidity
plump	anticipation	0.359	molke
atone	anticipation	0.359	boete
audience	anticipation	0.357	publyk
dietary	anticipation	0.352	dieet
consecration	anticipation	0.352	wijing
localize	anticipation	0.352	lokalisearje
paragon	anticipation	0.352	paragon
store	anticipation	0.352	winkel
farm	anticipation	0.352	pleats
daily	anticipation	0.352	deistich
cramp	anticipation	0.352	kramp
nobility	anticipation	0.352	adel
closure	anticipation	0.352	sluting
edition	anticipation	0.352	edysje
kindred	anticipation	0.352	sibben
stripped	anticipation	0.344	stripped
errand	anticipation	0.344	opdracht
archaeology	anticipation	0.344	argeology
mutable	anticipation	0.344	feroarlik
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	meditearje
mobile	anticipation	0.344	mobyl
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	broederlik
lessen	anticipation	0.336	minder
unbeaten	anticipation	0.336	ûnferslein
pare	anticipation	0.336	pare
buddy	anticipation	0.336	maat
unaccountable	anticipation	0.336	ûnferantwurdlik
dove	anticipation	0.328	do
patient	anticipation	0.328	geduldich
secular	anticipation	0.328	sekulêr
digress	anticipation	0.328	digress
chastity	anticipation	0.328	keinens
council	anticipation	0.328	ried
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	lint
possess	anticipation	0.328	besitte
disposed	anticipation	0.320	ôfset
scrutinize	anticipation	0.320	scrutinize
immature	anticipation	0.320	ûnryp
mediator	anticipation	0.320	mediator
regularity	anticipation	0.320	regelmaat
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	bernemoard
paddle	anticipation	0.320	paddle
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	conserveermiddel
unpublished	anticipation	0.312	net publisearre
church	anticipation	0.312	tsjerke
bugle	anticipation	0.312	bugel
grim	anticipation	0.312	bartsk
denying	anticipation	0.312	ûntkenne
analyst	anticipation	0.312	analist
judicial	anticipation	0.305	rjochterlike
priesthood	anticipation	0.305	prysterskip
broadside	anticipation	0.305	breedside
mill	anticipation	0.305	mûne
dismay	anticipation	0.297	ferachting
cap	anticipation	0.297	hoed
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	sydrivier
instructor	anticipation	0.297	ynstrukteur
exhaustion	anticipation	0.297	útputting
saliva	anticipation	0.297	speeksel
cataract	anticipation	0.289	katarakt
network	anticipation	0.289	netwurk
visor	anticipation	0.289	vizier
shackle	anticipation	0.289	boei
wont	anticipation	0.289	wol
addresses	anticipation	0.289	adressen
discreet	anticipation	0.289	diskreet
noncompliance	anticipation	0.289	net-neilibjen
bruise	anticipation	0.289	kneuzing
homeless	anticipation	0.289	dakleas
astronomer	anticipation	0.281	astronoom
skewed	anticipation	0.281	skeef
neighbor	anticipation	0.281	buorman
holiness	anticipation	0.273	hilligens
devil	anticipation	0.273	duvel
picket	anticipation	0.273	piket
sentence	anticipation	0.273	sin
latent	anticipation	0.273	latent
cream	anticipation	0.273	rjemme
immaturity	anticipation	0.273	ûnrypheit
habitual	anticipation	0.266	gewoante
morals	anticipation	0.266	moraal
neighborhood	anticipation	0.266	buert
lull	anticipation	0.266	lulk
bye	anticipation	0.258	doei
weight	anticipation	0.258	gewicht
organ	anticipation	0.250	orgaan
clown	anticipation	0.250	clown
forearm	anticipation	0.250	foarearm
commonplace	anticipation	0.242	gewoanlik
quote	anticipation	0.242	quote
rail	anticipation	0.234	spoar
dictatorship	anticipation	0.234	diktatuer
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	board
tree	anticipation	0.227	beam
sundial	anticipation	0.227	sinnewizer
paralysis	anticipation	0.211	ferlamming
cement	anticipation	0.203	semint
worm	anticipation	0.203	wjirm
organization	anticipation	0.203	organisaasje
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	neutraal
cannibalism	disgust	0.953	kannibalisme
mutilation	disgust	0.930	ferminking
molestation	disgust	0.914	molestaasje
incest	disgust	0.914	ynsest
rape	disgust	0.906	koalsied
gonorrhea	disgust	0.906	gonorroe
cannibal	disgust	0.898	kannibaal
rot	disgust	0.891	rot
corpse	disgust	0.883	lyk
massacre	disgust	0.883	bloedbad
excrement	disgust	0.883	útwerpselen
barf	disgust	0.875	barf
slaughter	disgust	0.875	slachtsje
slaughterhouse	disgust	0.867	slachterij
incestuous	disgust	0.859	ynsestuous
sewerage	disgust	0.859	riolearring
filth	disgust	0.859	smoargens
bigot	disgust	0.859	bigot
rancid	disgust	0.859	ranzich
infestation	disgust	0.852	besmetting
plague	disgust	0.852	pleach
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	bloodthirsty
rotting	disgust	0.844	rotting
fecal	disgust	0.844	fecal
maggot	disgust	0.844	maggot
feces	disgust	0.844	feces
murder	disgust	0.839	moard
asshole	disgust	0.836	lulk
homicide	disgust	0.836	moard
enslaved	disgust	0.836	ferslave
infanticide	disgust	0.836	bernemoard
perverted	disgust	0.828	perverse
excretion	disgust	0.828	útskieding
gore	disgust	0.828	gore
slaughtering	disgust	0.828	slachting
torture	disgust	0.828	marteling
contaminate	disgust	0.821	fersmoargje
revolting	disgust	0.820	opstannich
gory	disgust	0.820	gory
shit	disgust	0.820	shit
terrorist	disgust	0.820	terrorist
murderer	disgust	0.820	moardner
repugnant	disgust	0.820	wjerstân
manure	disgust	0.820	dong
pervert	disgust	0.820	pervert
diarrhoea	disgust	0.820	diarree
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	ûntheiliging
faeces	disgust	0.812	feces
slavery	disgust	0.812	slavernij
sewer	disgust	0.812	rioel
cadaver	disgust	0.812	kadaver
manslaughter	disgust	0.812	deaslach
dismemberment	disgust	0.812	dismemberment
vomit	disgust	0.812	brekke
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	ôfwizend
hemorrhage	disgust	0.805	bloedearmoed
sewage	disgust	0.797	rioelwetter
filthy	disgust	0.797	smoargens
diseased	disgust	0.797	sike
depravity	disgust	0.797	ferfal
carcass	disgust	0.795	karkas
decompose	disgust	0.789	ôfbrekke
gruesome	disgust	0.789	grouwélich
mutilated	disgust	0.789	ferminkt
puke	disgust	0.789	pykje
herpes	disgust	0.789	herpes
decayed	disgust	0.789	ferfallen
dung	disgust	0.789	dong
vermin	disgust	0.789	fermin
murderous	disgust	0.789	moardlik
parasite	disgust	0.789	parasyt
horrific	disgust	0.789	ôfgryslik
carnage	disgust	0.781	bloedbad
malaria	disgust	0.781	malaria
slime	disgust	0.781	slym
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	pestilens
crap	disgust	0.781	crap
monstrosity	disgust	0.781	monstrosity
loathsome	disgust	0.773	ôfgryslik
toxic	disgust	0.773	giftich
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	ferrifeljend
cruel	disgust	0.766	wreed
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	miltvuur
xenophobia	disgust	0.766	xenofoby
repugnance	disgust	0.766	wjerstân
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	ôfwizing
whore	disgust	0.766	hoer
dissection	disgust	0.759	dissection
mucous	disgust	0.758	slym
canker	disgust	0.758	kanker
slum	disgust	0.758	slum
infectious	disgust	0.758	besmetlik
evil	disgust	0.758	kwea
phlegm	disgust	0.758	slijm
cruelty	disgust	0.758	wredens
perversion	disgust	0.758	perversion
sinister	disgust	0.750	sinister
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	korrupsje
decomposition	disgust	0.750	ôfbraak
abomination	disgust	0.742	grouwel
stinking	disgust	0.742	stjonkend
bile	disgust	0.742	bile
demonic	disgust	0.742	demonysk
deranged	disgust	0.742	deranged
abhorrence	disgust	0.742	ôfgriis
soiled	disgust	0.742	fersmoarge
mucus	disgust	0.742	slym
septic	disgust	0.742	septyske
sickening	disgust	0.742	sikenjend
demon	disgust	0.742	demon
cancer	disgust	0.734	kanker
obese	disgust	0.734	obese
degeneracy	disgust	0.734	degeneraasje
despicable	disgust	0.734	ferachtlik
atrocity	disgust	0.734	gruwelijkheid
foul	disgust	0.734	foul
sicken	disgust	0.734	siken
crucifixion	disgust	0.734	krusiging
terrorism	disgust	0.734	terrorisme
repulsion	disgust	0.727	ôfwiking
morbidity	disgust	0.727	morbiditeit
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	klysma
bacterium	disgust	0.727	baktearje
dirty	disgust	0.727	smoarch
adultery	disgust	0.727	oerhoer
contamination	disgust	0.727	fersmoarging
grisly	disgust	0.727	grimmitich
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbaarsk
vulgar	disgust	0.719	fulgêr
entrails	disgust	0.719	yngewanten
disgust	disgust	0.719	wearze
lewd	disgust	0.719	lewd
muck	disgust	0.719	muck
bowels	disgust	0.719	yngewanten
garbage	disgust	0.719	jiskefet
deterioration	disgust	0.719	efterútgong
contagion	disgust	0.719	besmetting
vicious	disgust	0.719	wreed
disfigured	disgust	0.719	misfoarme
pungent	disgust	0.719	skerpe
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	bloedferjitten
gag	disgust	0.711	gag
pollute	disgust	0.711	fersmoargje
nausea	disgust	0.711	wearze
tyrant	disgust	0.711	tiran
