English Word	Emotion	Emotion-Intensity-Score	Turkmen Word
slop	disgust	0.641	eňňit
malfeasance	disgust	0.641	ýalňyşlyk
spew	disgust	0.641	spew
pimple	disgust	0.641	düwürtik
criminality	disgust	0.641	jenaýat
indecency	disgust	0.641	biabraýlyk
cystic	disgust	0.641	kistiki
villainous	disgust	0.641	wagşy
queasy	disgust	0.633	nobat
mildew	disgust	0.633	ýumşak
oppressive	disgust	0.633	eziji
prostitution	disgust	0.633	jelepçilik
secrete	disgust	0.633	gizlin
ulcer	disgust	0.633	ýara
rat	disgust	0.633	syçan
bigoted	disgust	0.633	uly
perpetrator	disgust	0.633	günäkär
doomsday	disgust	0.633	Kyýamat güni
sinful	disgust	0.633	günäli
degrading	disgust	0.625	kemsidiji
ghastly	disgust	0.625	aljyraňňy
suffering	disgust	0.625	ejir çekýär
obscenity	disgust	0.625	biabraýlyk
devilish	disgust	0.625	iblis
disgraceful	disgust	0.625	masgara
persecution	disgust	0.625	yzarlamalar
contemptible	disgust	0.625	ýigrenji
cuckold	disgust	0.625	Kukold
stools	disgust	0.625	tabaklar
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	günä
gluttony	disgust	0.625	açgözlük
bloated	disgust	0.625	çişirildi
fungus	disgust	0.625	kömelek
aghast	disgust	0.625	aghast
diaper	disgust	0.617	bezi
malicious	disgust	0.617	zyýanly
polygamy	disgust	0.617	köp aýallylyk
dying	disgust	0.617	ölýär
termite	disgust	0.617	termit
fat	disgust	0.617	ýag
deceit	disgust	0.617	aldaw
atrocious	disgust	0.617	wagşy
guillotine	disgust	0.617	gillotin
tetanus	disgust	0.617	tetanoz
spoil	disgust	0.617	talamak
crusty	disgust	0.617	gabyk
sickly	disgust	0.617	näsag
louse	disgust	0.617	louse
strangle	disgust	0.617	bogmak
betrayal	disgust	0.617	dönüklik
loathe	disgust	0.617	ýigren
wench	disgust	0.617	wenç
infect	disgust	0.617	ýokaşdyrmak
violently	disgust	0.609	zorluk bilen
brothel	disgust	0.609	jelephana
drool	disgust	0.609	gurjak
bleeding	disgust	0.609	gan akma
deform	disgust	0.609	deformasiýa
ghetto	disgust	0.609	getto
sabotage	disgust	0.609	sabotaj
venomous	disgust	0.609	zäherli
abhor	disgust	0.609	ýigrenji
slander	disgust	0.609	töhmet
hostile	disgust	0.609	duşmançylykly
musty	disgust	0.602	hökman
illicit	disgust	0.602	bikanun
ugliness	disgust	0.602	nejislik
unwashed	disgust	0.602	ýuwulmadyk
swampy	disgust	0.602	batgalyk
deprivation	disgust	0.602	mahrum etmek
poaching	disgust	0.602	brakonerlik
hag	disgust	0.602	Hag
infidel	disgust	0.602	kapyr
imprisonment	disgust	0.602	azatlykdan mahrum etmek
traitor	disgust	0.602	dönük
lunacy	disgust	0.602	lunacy
queasiness	disgust	0.594	nobat
hostility	disgust	0.594	duşmançylyk
repelling	disgust	0.594	yzyna gaýtarmak
intoxicated	disgust	0.594	serhoş
thug	disgust	0.594	garakçy
catastrophe	disgust	0.594	betbagtçylyk
lunatic	disgust	0.594	lunatik
misery	disgust	0.594	betbagtlyk
venom	disgust	0.594	zäher
butcher	disgust	0.594	gassap
toilet	disgust	0.594	hajathana
blister	disgust	0.594	çişik
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	içege
sinner	disgust	0.594	günäkär
deceitful	disgust	0.594	aldawçy
epidemic	disgust	0.594	epidemiýa
deteriorated	disgust	0.586	ýaramazlaşdy
lavatory	disgust	0.586	hajathana
unclean	disgust	0.586	haram
prostitute	disgust	0.586	jelep
incubus	disgust	0.586	inkubus
appalling	disgust	0.586	elhenç
dreadful	disgust	0.586	gorkunç
pornography	disgust	0.586	pornografiýa
harass	disgust	0.586	azar bermek
squeamish	disgust	0.578	gysmak
expulsion	disgust	0.578	kowmak
unfaithful	disgust	0.578	biwepalyk
offensive	disgust	0.578	kemsidiji
hypocrite	disgust	0.578	ikiýüzli
humiliating	disgust	0.578	kemsidiji
larceny	disgust	0.578	gizlinlik
ruinous	disgust	0.578	weýran ediji
retard	disgust	0.578	yza çekmek
rash	disgust	0.578	dökülme
flea	disgust	0.578	garynja
debauchery	disgust	0.578	ahlaksyzlyk
fiend	disgust	0.578	gazaply
quagmire	disgust	0.578	dawa
conspirator	disgust	0.578	dildüwşük
sick	disgust	0.578	näsag
mangle	disgust	0.578	gümürtik
dogsick	disgust	0.570	it
egregious	disgust	0.570	gödek
flog	disgust	0.570	gamçy
despise	disgust	0.570	ýigrenmek
treacherous	disgust	0.570	dönük
oppress	disgust	0.570	sütem etmek
swamp	disgust	0.570	batgalyk
messy	disgust	0.570	bulaşyk
spit	disgust	0.570	tüýkürmek
dank	disgust	0.570	dank
bastard	disgust	0.570	samsyk
devastating	disgust	0.570	weýran ediji
serpent	disgust	0.570	ýylan
loo	disgust	0.562	loo
indecent	disgust	0.562	biabraýlyk
insanity	disgust	0.562	dälilik
stealing	disgust	0.562	ogurlamak
terrible	disgust	0.562	aýylganç
tyrannical	disgust	0.562	zalym
humiliation	disgust	0.562	masgaraçylyk
snake	disgust	0.562	ýylan
sloppy	disgust	0.562	samsyk
sinning	disgust	0.562	günä etmek
harmful	disgust	0.562	zyýanly
harlot	disgust	0.562	jelep
sordid	disgust	0.562	Sordid
enemy	disgust	0.562	duşman
alcoholism	disgust	0.562	arakhorluk
awful	disgust	0.562	aýylganç
ruthless	disgust	0.562	rehimsiz
scoundrel	disgust	0.562	kezzap
bloody	disgust	0.555	ganly
flabby	disgust	0.555	gümürtik
odious	disgust	0.555	erbet
beastly	disgust	0.555	haýwan
collusion	disgust	0.555	birleşmek
ridicule	disgust	0.555	gülmek
discriminating	disgust	0.555	kemsidiji
unattractive	disgust	0.555	özüne çekiji
insufferable	disgust	0.555	ýeterlik däl
segregate	disgust	0.555	bölmek
arsenic	disgust	0.555	arsen
threatening	disgust	0.555	haýbat atýar
atrophy	disgust	0.555	atrofiýa
varicella	disgust	0.555	varicella
slayer	disgust	0.555	ganhor
distaste	disgust	0.555	ýigrenmek
coward	disgust	0.555	gorkak
robbery	disgust	0.555	talaňçylyk
wickedness	disgust	0.555	erbetlik
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	erbet niýet
sty	disgust	0.547	sty
pillage	disgust	0.547	talaňçylyk
thief	disgust	0.547	ogry
suffocating	disgust	0.547	demikmek
condemnation	disgust	0.547	ýazgarmak
deleterious	disgust	0.547	öçürmek
slur	disgust	0.547	tüýdük
purgatory	disgust	0.547	purgatoriýa
attacking	disgust	0.547	hüjüm etmek
burglar	disgust	0.547	ogry
ogre	disgust	0.547	ogre
coercion	disgust	0.547	mejbur etmek
vesicular	disgust	0.547	wezikulýar
miserable	disgust	0.547	betbagt
bitterly	disgust	0.547	ajy
sneer	disgust	0.539	masgaralamak
greedy	disgust	0.539	açgöz
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	gabanjaň
drunken	disgust	0.539	serhoş
shame	disgust	0.539	utanç
thrash	disgust	0.539	zyňmak
fatty	disgust	0.539	ýagly
liar	disgust	0.539	ýalançy
imprisoned	disgust	0.539	türmä basyldy
sloth	disgust	0.539	ýalta
repudiation	disgust	0.539	ret etmek
disgrace	disgust	0.539	masgaraçylyk
infidelity	disgust	0.539	kapyrlyk
pig	disgust	0.539	doňuz
lethal	disgust	0.536	öldüriji
burnt	disgust	0.531	ýakyldy
brawl	disgust	0.531	dawa
withered	disgust	0.531	gurady
blemish	disgust	0.531	kemçilik
hydrocephalus	disgust	0.531	gidrosefali
aberration	disgust	0.531	aberasiýa
smuggler	disgust	0.531	kontrabandaçy
painful	disgust	0.531	agyryly
condescension	disgust	0.531	kondensasiýa
intolerant	disgust	0.531	çydamsyzlyk
blasphemous	disgust	0.531	Hudaýa dil ýetirmek
lying	disgust	0.531	ýalan sözleýär
hanging	disgust	0.531	asylýar
travesty	disgust	0.531	ýolagçy
ruined	disgust	0.531	weýran boldy
intrusive	disgust	0.531	çozuş
disintegrate	disgust	0.531	dargamak
destructive	disgust	0.531	weýran ediji
neurotic	disgust	0.531	newrotik
disparaging	disgust	0.523	kemsidiji
blighted	disgust	0.523	gümürtik
intolerance	disgust	0.523	çydamsyzlyk
mistress	disgust	0.523	hojaýyn
avarice	disgust	0.523	awarice
disgraced	disgust	0.523	masgara
derogation	disgust	0.523	kemsitmek
rubbish	disgust	0.523	zibil
accusation	disgust	0.523	aýyplama
incarceration	disgust	0.523	türme
tortious	disgust	0.516	gynandyryjy
dishonor	disgust	0.516	biabraýlyk
stink	disgust	0.516	porsy
grim	disgust	0.516	elhenç
rob	disgust	0.516	talamak
defraud	disgust	0.516	galplyk
sump	disgust	0.516	sump
cringe	disgust	0.516	aljyraňňy
vulture	disgust	0.516	möjek
deplorable	disgust	0.516	gynandyryjy
mite	disgust	0.516	mite
eradication	disgust	0.516	ýok etmek
degrade	disgust	0.516	peseltmek
gutter	disgust	0.516	içege
convict	disgust	0.516	iş kesilen
remains	disgust	0.516	galýar
betray	disgust	0.516	dönüklik
daemon	disgust	0.516	daemon
sham	disgust	0.509	galplyk
distasteful	disgust	0.508	ýigrenji
prisoner	disgust	0.508	tussag
dreadfully	disgust	0.508	gorkunç
worthless	disgust	0.508	biderek
crude	disgust	0.508	çig
delirium	disgust	0.508	delirium
incurable	disgust	0.508	bejerip bolmaýar
smelling	disgust	0.508	ys
idiocy	disgust	0.508	samsyklyk
resentment	disgust	0.508	gahar
bombed	disgust	0.508	bombalandy
blob	disgust	0.508	blob
cheat	disgust	0.508	aldamak
schizophrenia	disgust	0.508	şizofreniýa
rejection	disgust	0.508	ret etmek
belittle	disgust	0.508	kemsitmek
glut	disgust	0.508	glut
disaster	disgust	0.508	betbagtçylyk
distress	disgust	0.508	kynçylyk
pest	disgust	0.508	zyýan berijiler
endemic	disgust	0.508	endemik
theft	disgust	0.500	ogurlyk
banish	disgust	0.500	kowmak
mire	disgust	0.500	palçyk
flagrant	disgust	0.500	gödek
derision	disgust	0.500	gülmek
dirt	disgust	0.500	kir
screaming	disgust	0.500	diýip gygyrýar
offense	disgust	0.500	kemsitmek
jealousy	disgust	0.500	gabanjaňlyk
bribery	disgust	0.500	para
polemic	disgust	0.500	polemiki
blight	disgust	0.500	blight
impeach	disgust	0.500	impiç
bitterness	disgust	0.500	ajy
taboo	disgust	0.500	gadagan
duress	disgust	0.500	dowamlylygy
goblin	disgust	0.500	goblin
shackle	disgust	0.500	zynjyr
idolatry	disgust	0.500	butparazlyk
greed	disgust	0.500	açgözlik
impurity	disgust	0.500	haramlyk
tirade	disgust	0.500	tirade
idiot	disgust	0.492	samsyk
boil	disgust	0.492	gaýnatmaly
unconscionable	disgust	0.492	düşünjesiz
disreputable	disgust	0.492	abraýsyz
robber	disgust	0.492	garakçy
malign	disgust	0.492	erbet
wreck	disgust	0.492	heläkçilik
recession	disgust	0.492	çökgünlik
gorge	disgust	0.492	jülgesi
leer	disgust	0.492	leer
ill	disgust	0.492	näsag
squirm	disgust	0.492	gykylyk
raging	disgust	0.484	gaharly
servile	disgust	0.484	gul
mess	disgust	0.484	bulaşyklyk
nappy	disgust	0.484	nappy
possessed	disgust	0.484	eýe
unbearable	disgust	0.484	çydap bolmaýar
occult	disgust	0.484	okkult
contraband	disgust	0.484	kontrabanda
snarl	disgust	0.484	garagol
mutiny	disgust	0.484	gozgalaň
mad	disgust	0.484	däli
affliction	disgust	0.484	görgi
stain	disgust	0.484	menek
animosity	disgust	0.484	duşmançylyk
contempt	disgust	0.484	äsgermezlik
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	garyndaşparazlyk
disrespectful	disgust	0.484	hormatsyzlyk
defamation	disgust	0.484	töhmet
inexcusable	disgust	0.484	aklap bolmaýar
aversation	disgust	0.484	ýigrenç
wasteful	disgust	0.484	biderek
offender	disgust	0.484	jenaýatçy
subjugation	disgust	0.484	boýun egmek
illegality	disgust	0.477	bikanunlyk
dismal	disgust	0.477	erbet
criminal	disgust	0.477	jenaýatçy
unpleasant	disgust	0.477	ýakymsyz
palsy	disgust	0.477	ysmaz
antagonistic	disgust	0.477	garşydaş
pathetic	disgust	0.477	gynandyryjy
uncaring	disgust	0.477	biperwaý
suppression	disgust	0.477	basyş
immorality	disgust	0.477	ahlaksyzlyk
mockery	disgust	0.477	masgaralamak
outrage	disgust	0.469	gahar
mocking	disgust	0.469	masgaralamak
wallow	disgust	0.469	diwar
cough	disgust	0.469	üsgülewük
arrogant	disgust	0.469	ulumsy
angry	disgust	0.469	gaharly
poverty	disgust	0.469	garyplyk
grating	disgust	0.469	örtük
livid	disgust	0.469	janly
aggravation	disgust	0.469	agyrlaşdyrmak
repellent	disgust	0.469	ýigrenji
perspiration	disgust	0.469	derlemek
banishment	disgust	0.469	ýurtdan çykarmak
furious	disgust	0.469	gaharly
shoddy	disgust	0.469	keýpsiz
banshee	disgust	0.469	Banshee
deceive	disgust	0.461	aldamak
fool	disgust	0.461	samsyk
quack	disgust	0.461	quack
distorted	disgust	0.461	ýoýulan
spider	disgust	0.461	möý
unjustifiable	disgust	0.461	esassyz
deplore	disgust	0.461	gynanç
spurious	disgust	0.461	gaharly
perdition	disgust	0.461	heläkçilik
muddy	disgust	0.461	palçyk
fraudulent	disgust	0.461	kezzap
scar	disgust	0.461	yz
prick	disgust	0.461	prik
insulting	disgust	0.461	kemsidiji
plunder	disgust	0.461	talamak
recklessness	disgust	0.461	biperwaýlyk
stigma	disgust	0.453	stigma
disparage	disgust	0.453	tapawutlandyrmak
unthinkable	disgust	0.453	pikir edip bolmajak zat
disingenuous	disgust	0.453	tapawutly
bane	disgust	0.453	gadagan
dishonest	disgust	0.453	binamys
aphid	disgust	0.453	aphid
elimination	disgust	0.453	ýok etmek
cur	disgust	0.453	egrilik
selfish	disgust	0.453	egoist
eschew	disgust	0.453	gaç
dire	disgust	0.453	gorkunç
indignation	disgust	0.453	gahar
antipathy	disgust	0.453	antipatiýa
alienate	disgust	0.453	keseki
mosquito	disgust	0.445	çybyn
piles	disgust	0.445	üýşmek
pious	disgust	0.445	takwa adamlar
lie	disgust	0.445	ýalan
opium	disgust	0.445	tirýek
smell	disgust	0.445	ys
iniquity	disgust	0.445	zalymlyk
caries	disgust	0.445	karies
despair	disgust	0.445	umytsyzlyk
recalcitrant	disgust	0.445	gaýtadan işlemek
egotistical	disgust	0.445	ulumsylyk
wasted	disgust	0.445	biderek
vacuous	disgust	0.445	boş
bankruptcy	disgust	0.445	bankrot
garish	disgust	0.445	gar
obnoxious	disgust	0.438	obnoxious
ashamed	disgust	0.438	utandym
abject	disgust	0.438	kemsidiji
sticky	disgust	0.438	ýelmeşýär
scream	disgust	0.438	gygyr
hopelessness	disgust	0.438	umytsyzlyk
homeless	disgust	0.438	öýsüz
shun	disgust	0.438	gaç
inmate	disgust	0.438	tussag
alien	disgust	0.438	keseki
hog	disgust	0.438	doňuz
aversion	disgust	0.438	ýigrenç
abnormal	disgust	0.438	anormal
cursing	disgust	0.430	näletlemek
undesirable	disgust	0.430	islenmeýän
denounce	disgust	0.430	ýazgarmak
witch	disgust	0.430	jadygöý
creature	disgust	0.430	jandar
lusty	disgust	0.430	höwesli
illegal	disgust	0.430	bikanun
debris	disgust	0.430	galyndylar
callous	disgust	0.430	gülkünç
reflux	disgust	0.430	refleksi
adverse	disgust	0.430	ýaramaz
shameless	disgust	0.430	utançsyz
separatist	disgust	0.430	separatist
trickery	disgust	0.430	hile
falsity	disgust	0.430	galplyk
pall	disgust	0.430	pall
defiance	disgust	0.430	boýun egmezlik
incredulous	disgust	0.430	ajaýyp
curse	disgust	0.430	nälet bolsun
pompous	disgust	0.422	ulumsy
socialist	disgust	0.422	sosialist
mistrust	disgust	0.422	ynamsyzlyk
infantile	disgust	0.422	bäbek
wasting	disgust	0.422	biderek sarp etmek
hairy	disgust	0.422	tüýli
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	ýazgarmak
collapse	disgust	0.422	ýykylmagy
untidy	disgust	0.422	tertipli
ferocious	disgust	0.422	gazaply
ammonia	disgust	0.422	ammiak
carelessness	disgust	0.422	biperwaýlyk
impure	disgust	0.422	haram
contentious	disgust	0.422	jedelli
bum	disgust	0.422	bum
affront	disgust	0.422	garşy çykmak
offend	disgust	0.422	göwnüne degmek
tarnish	disgust	0.422	zaýalanmak
idiotic	disgust	0.422	samsyk
badness	disgust	0.422	erbetlik
delinquent	disgust	0.422	jenaýatkär
swarm	disgust	0.422	köp sanly
hypertrophy	disgust	0.422	gipertrofiýa
gush	disgust	0.422	Gush
tasteless	disgust	0.422	tagamsyz
bovine	disgust	0.422	iriň
slush	disgust	0.422	ýumşak
litigious	disgust	0.414	kazyýet işi
dishonesty	disgust	0.414	biwepalyk
vegetative	disgust	0.414	wegetatiw
unfavorable	disgust	0.414	amatsyz
displacency	disgust	0.414	göçürme
illegitimate	disgust	0.414	bikanun
sour	disgust	0.414	turş
socialism	disgust	0.414	sosializm
disobey	disgust	0.414	boýun egmezlik
drivel	disgust	0.414	sürmek
vampire	disgust	0.414	wampir
neglected	disgust	0.414	äsgerilmedik
murky	disgust	0.414	nägile
ignorant	disgust	0.406	nadan
disgruntled	disgust	0.406	nägile
discontinuity	disgust	0.406	kesilmegi
dislike	disgust	0.406	halamaz
unlawful	disgust	0.406	bikanun
wrongdoing	disgust	0.406	nädogry hereket
shoplifting	disgust	0.406	dükan
recidivism	disgust	0.406	recidivism
outcast	disgust	0.406	kowulan
bogus	disgust	0.406	galp
displeasure	disgust	0.406	nägilelik
repel	disgust	0.406	yzyna gaýtarmak
falsify	disgust	0.406	galplaşdyrmak
ungrateful	disgust	0.406	minnetdar
unkind	disgust	0.406	rehimsiz
phony	disgust	0.406	telefon
prosecution	disgust	0.406	kazyýet işi
woe	disgust	0.398	Waý!
averse	disgust	0.398	garşy
loon	disgust	0.398	loon
worsening	disgust	0.398	erbetleşýär
paucity	disgust	0.398	dymmak
unnatural	disgust	0.398	tebigy däl
amphetamines	disgust	0.398	amfetaminler
senseless	disgust	0.398	manysyz
rigor	disgust	0.398	berk
subvert	disgust	0.398	agdarmak
failure	disgust	0.398	şowsuzlyk
lick	disgust	0.398	ýala
unruly	disgust	0.398	tertipsiz
woefully	disgust	0.398	Waý
stingy	disgust	0.398	keýpsiz
crushing	disgust	0.398	ezmek
disdain	disgust	0.398	äsgermezlik
insult	disgust	0.393	kemsitmek
averseness	disgust	0.391	ýigrenç
disrelish	disgust	0.391	göwnüňizden turmaň
punished	disgust	0.391	jezalandyryldy
critter	disgust	0.391	kriter
damage	disgust	0.391	zyýan
scorpion	disgust	0.391	Çeçen
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muff
farcical	disgust	0.391	farcical
antisocial	disgust	0.391	jemgyýetçilik
hardened	disgust	0.391	gatylaşdy
punishment	disgust	0.391	jeza
bad	disgust	0.391	erbet
expel	disgust	0.391	kowmak
surly	disgust	0.383	surly
lament	disgust	0.383	aglamak
illiterate	disgust	0.383	sowatsyz
divorce	disgust	0.383	aýrylyşmak
teeming	disgust	0.383	gümürtik
plagiarism	disgust	0.383	göçürme
eviction	disgust	0.383	göçürmek
orc	disgust	0.383	orc
disappoint	disgust	0.383	lapykeç etmek
shabby	disgust	0.383	gümürtik
presumptuous	disgust	0.383	ulumsylyk
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	düşünişmezlik
guilt	disgust	0.383	günäkär
fugitive	disgust	0.383	gaçgak
irrational	disgust	0.383	manysyz
adder	disgust	0.383	mahabatçy
fulsome	disgust	0.383	Doly
sacrifices	disgust	0.383	gurban
hypocritical	disgust	0.383	ikiýüzli
shock	disgust	0.375	şok
alienation	disgust	0.375	keseki bolmak
scoff	disgust	0.375	masgara
plight	disgust	0.375	kynçylyk
irritation	disgust	0.375	gaharlanma
unworthy	disgust	0.375	mynasyp däl
misconduct	disgust	0.375	nädogry hereketler
defective	disgust	0.375	kemçilikli
blame	disgust	0.375	günäkär
depressing	disgust	0.375	gynandyryjy
dislocated	disgust	0.375	ýerleşdirildi
irritating	disgust	0.375	gaharlandyryjy
vainly	disgust	0.367	biderek
toad	disgust	0.367	palta
powerless	disgust	0.367	güýçsiz
coerce	disgust	0.367	mejbur etmek
shuddering	disgust	0.367	titremek
stripped	disgust	0.367	ýyrtyldy
revoke	disgust	0.367	ýatyrmak
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	saglyga zyýanly
exclusion	disgust	0.367	çykarmak
disillusionment	disgust	0.367	lapykeçlik
blatant	disgust	0.367	gödek
hurtful	disgust	0.367	zyýanly
hoax	disgust	0.367	aldaw
wimp	disgust	0.367	wimp
cad	disgust	0.367	kadr
pitfall	disgust	0.367	çukur
squelch	disgust	0.367	gykylyk
deserted	disgust	0.359	taşlandy
damn	disgust	0.359	nälet bolsun
incompatible	disgust	0.359	gabat gelmeýär
dispose	disgust	0.359	taşlaň
oddity	disgust	0.359	täsinlik
rebellion	disgust	0.359	gozgalaň
ineptitude	disgust	0.359	ukypsyzlyk
bug	disgust	0.359	bug
disobedience	disgust	0.359	boýun egmezlik
inept	disgust	0.352	inpt
litigate	disgust	0.352	kazyýet işi
dismissal	disgust	0.352	işden aýyrmak
cutting	disgust	0.352	kesmek
untoward	disgust	0.352	nädogry
displeased	disgust	0.352	nägile
censor	disgust	0.352	senzura
ridiculous	disgust	0.352	gülkünç
compost	disgust	0.352	kompost
frustrate	disgust	0.352	lapykeç etmek
misbehavior	disgust	0.352	nädogry hereket
lawyer	disgust	0.352	aklawçy
crushed	disgust	0.352	ezilen
flesh	disgust	0.352	et
uncertain	disgust	0.352	näbellidir
obi	disgust	0.352	obi
flinch	disgust	0.352	çişirmek
fierce	disgust	0.352	gazaply
wrongful	disgust	0.352	nädogry
depreciate	disgust	0.344	könelişmek
disapprove	disgust	0.344	oňlamaz
tearful	disgust	0.344	gözýaşly
grumble	disgust	0.336	närazy
unsettled	disgust	0.336	çözülmedik
annoy	disgust	0.336	bizar etmek
exigent	disgust	0.336	joşgunly
heartsick	disgust	0.336	ýürek bulanjy
lawsuit	disgust	0.336	kazyýet işi
discoloration	disgust	0.336	reňklemek
lumpy	disgust	0.336	birkemsiz
daft	disgust	0.336	daft
blunder	disgust	0.336	ýalňyşlyk
discontent	disgust	0.336	nägilelik
bickering	disgust	0.336	jedelleşmek
thoughtless	disgust	0.336	oýlanman
disliked	disgust	0.336	halamady
disinclination	disgust	0.336	dezinlýasiýa
distrust	disgust	0.336	ynamsyzlyk
disallowed	disgust	0.336	rugsat berilmedi
instability	disgust	0.328	durnuksyzlyk
hydrophobia	disgust	0.328	gidrofobiýa
whine	disgust	0.328	gykylyk
inhibit	disgust	0.328	saklamak
excluded	disgust	0.328	aýryldy
provoking	disgust	0.328	öjükdiriji
grievance	disgust	0.328	nägilelik
unmanageable	disgust	0.328	dolandyryp bolmaýar
sly	disgust	0.328	mekir
exasperation	disgust	0.328	gazap
cacophony	disgust	0.328	kakaoniýa
unsatisfactory	disgust	0.328	kanagatlanarly däl
disappointed	disgust	0.328	lapykeç
materialist	disgust	0.328	materialist
misleading	disgust	0.321	azdyryjy
mishap	disgust	0.320	näsazlyk
soot	disgust	0.320	köşeşdir
humbug	disgust	0.320	gujaklamak
disclaim	disgust	0.320	boýun gaçyrmak
annoyance	disgust	0.320	bizar etmek
disapproving	disgust	0.320	oňlamaz
disservice	disgust	0.320	disservice
reproach	disgust	0.320	masgaralamak
confined	disgust	0.320	çäklendirilen
unequal	disgust	0.320	deň däl
rags	disgust	0.320	eşikler
groan	disgust	0.320	iňňildemek
soil	disgust	0.312	toprak
inappropriate	disgust	0.312	ýerliksiz
criticize	disgust	0.312	tankyt et
disincline	disgust	0.312	kesmek
theism	disgust	0.312	teizm
depreciated	disgust	0.312	köneldi
inconsiderate	disgust	0.312	biperwaý
overpriced	disgust	0.312	aşa baha
stomach	disgust	0.312	aşgazan
burke	disgust	0.312	burke
sneeze	disgust	0.312	asgyrmak
gall	disgust	0.305	öt
bang	disgust	0.305	bang
inadmissible	disgust	0.305	ýol berilmeýär
unfriendly	disgust	0.305	dost däl
unaccountable	disgust	0.305	hasabat berilmeýär
disparity	disgust	0.305	deňsizlik
latent	disgust	0.305	gizlin
disliking	disgust	0.305	halamaýan
shack	disgust	0.305	gaby
grumpy	disgust	0.305	nägile
coop	disgust	0.304	ýatak
disappointment	disgust	0.297	lapykeçlik
scold	disgust	0.297	käýin
delay	disgust	0.297	gijikdirmek
congress	disgust	0.297	gurultaýy
growling	disgust	0.297	möňňürmek
backwards	disgust	0.297	yza
soreness	disgust	0.297	agyry
disregarded	disgust	0.297	äsgerilmedi
rogue	disgust	0.297	wagşy
lonely	disgust	0.297	ýalňyzlyk
notoriety	disgust	0.289	meşhurlyk
catechism	disgust	0.289	katekizm
flop	disgust	0.289	flop
infamous	disgust	0.289	abraýly
janitor	disgust	0.289	garawul
nettle	disgust	0.289	garynja
saturated	disgust	0.281	doýgun
prohibited	disgust	0.281	gadagan
gaby	disgust	0.281	Gaby
wince	disgust	0.281	wince
desist	disgust	0.281	bes et
unfair	disgust	0.281	adalatsyz
aftermath	disgust	0.281	netijesi
remiss	disgust	0.281	remiss
tribunal	disgust	0.273	tribunaly
discolored	disgust	0.273	reňksiz
wrangling	disgust	0.273	dawa
uneasy	disgust	0.273	biynjalyk
huff	disgust	0.273	huff
weird	disgust	0.266	geň
impolite	disgust	0.266	edepsiz
swig	disgust	0.266	swig
crawl	disgust	0.266	süýrenmek
unsatisfied	disgust	0.266	kanagatlanmaýar
inefficiency	disgust	0.266	netijesizligi
frantic	disgust	0.266	aljyraňňy
bureaucrat	disgust	0.266	býurokratlar
politic	disgust	0.266	syýasy
coldness	disgust	0.266	sowuklyk
gruff	disgust	0.258	gruff
octopus	disgust	0.258	sekiz
chagrin	disgust	0.258	Çagrin
barrow	disgust	0.258	ok
copycat	disgust	0.258	göçürme
incase	disgust	0.258	birdan
rascal	disgust	0.258	gödek
sarcasm	disgust	0.258	gödek sözler
instinctive	disgust	0.258	instinkt
misconception	disgust	0.250	ýalňyş düşünje
disinclined	disgust	0.250	göwünsiz
john	disgust	0.250	john
hulk	disgust	0.250	hulk
baboon	disgust	0.250	babon
shanghai	disgust	0.250	Şanhaý
cupping	disgust	0.250	käse
lose	disgust	0.250	ýitirmek
rook	disgust	0.242	rook
entangled	disgust	0.242	gümürtik
gratuitous	disgust	0.242	mugt
scrub	disgust	0.242	süpüriň
opponent	disgust	0.242	garşydaş
tariff	disgust	0.242	nyrh
questionable	disgust	0.234	şübheli
prolong	disgust	0.234	uzaltmak
reluctance	disgust	0.234	göwünsizlik
lagging	disgust	0.234	yza galmak
misstatement	disgust	0.234	ýalňyş maglumat
resign	disgust	0.234	işden git
unlucky	disgust	0.234	bagtsyz
backwardness	disgust	0.234	yza galaklyk
ineffectual	disgust	0.227	netijesiz
disqualified	disgust	0.227	hünärsiz
subsidy	disgust	0.227	subsidiýa
reversal	disgust	0.227	tersine
default	disgust	0.227	gaýybana
fussy	disgust	0.227	aljyraňňy
unpopular	disgust	0.227	meşhur däl
petroleum	disgust	0.219	nebit
intense	disgust	0.219	güýçli
evade	disgust	0.219	gaçmak
frowning	disgust	0.219	gaşlary
weight	disgust	0.219	agramy
dame	disgust	0.219	dame
donkey	disgust	0.211	eşek
actionable	disgust	0.211	hereketli
tawny	disgust	0.211	tawny
unhappy	disgust	0.211	bagtsyz
dandy	disgust	0.203	dandy
birch	disgust	0.203	gaýa
speck	disgust	0.203	menek
hood	disgust	0.203	kapot
owing	disgust	0.203	bergisi
desert	disgust	0.203	çöl
indifference	disgust	0.203	biperwaýlyk
awkwardness	disgust	0.203	oňaýsyzlyk
rave	disgust	0.203	tolkun
gnome	disgust	0.203	gnome
