English Word	Emotion	Emotion-Intensity-Score	Romanian Word
polygamy	disgust	0.617	poligamie
dying	disgust	0.617	moarte
termite	disgust	0.617	termita
fat	disgust	0.617	gras
deceit	disgust	0.617	înşelăciune
atrocious	disgust	0.617	atroce
guillotine	disgust	0.617	ghilotină
tetanus	disgust	0.617	tetanos
spoil	disgust	0.617	strica
crusty	disgust	0.617	crustă
sickly	disgust	0.617	bolnăvicios
louse	disgust	0.617	păduche
strangle	disgust	0.617	sugruma
betrayal	disgust	0.617	trădare
loathe	disgust	0.617	detesta
wench	disgust	0.617	fecioara
infect	disgust	0.617	infecta
violently	disgust	0.609	violent
brothel	disgust	0.609	bordel
drool	disgust	0.609	Bale
bleeding	disgust	0.609	sângerare
deform	disgust	0.609	deforma
ghetto	disgust	0.609	ghetou
sabotage	disgust	0.609	sabotaj
venomous	disgust	0.609	veninos
abhor	disgust	0.609	detesta
slander	disgust	0.609	calomnie
hostile	disgust	0.609	ostil
musty	disgust	0.602	mucegăit
illicit	disgust	0.602	ilicit
ugliness	disgust	0.602	urâţenie
unwashed	disgust	0.602	nespălat
swampy	disgust	0.602	mlăştinos
deprivation	disgust	0.602	privare
poaching	disgust	0.602	braconaj
hag	disgust	0.602	hag
infidel	disgust	0.602	necredincios
imprisonment	disgust	0.602	pedeapsa cu închisoarea
traitor	disgust	0.602	trădător
lunacy	disgust	0.602	nebunie
queasiness	disgust	0.594	greaţă
hostility	disgust	0.594	ostilitate
repelling	disgust	0.594	respingând
intoxicated	disgust	0.594	în stare de ebrietate
thug	disgust	0.594	asasin
catastrophe	disgust	0.594	catastrofă
lunatic	disgust	0.594	nebun
misery	disgust	0.594	mizerie
venom	disgust	0.594	venin
butcher	disgust	0.594	măcelar
toilet	disgust	0.594	toaletă
blister	disgust	0.594	blister
lurid	disgust	0.594	groaznic
slug	disgust	0.594	melc
gut	disgust	0.594	intestin
sinner	disgust	0.594	păcătos
deceitful	disgust	0.594	înşelător
epidemic	disgust	0.594	epidemic
deteriorated	disgust	0.586	deteriorat
lavatory	disgust	0.586	toaletă
unclean	disgust	0.586	necurat
prostitute	disgust	0.586	prostituată
incubus	disgust	0.586	incubus
appalling	disgust	0.586	îngrozitor
dreadful	disgust	0.586	îngrozitor
pornography	disgust	0.586	pornografie
harass	disgust	0.586	hărțui
squeamish	disgust	0.578	zguduitor
expulsion	disgust	0.578	expulzare
unfaithful	disgust	0.578	necredincios
offensive	disgust	0.578	ofensator
hypocrite	disgust	0.578	ipocrit
humiliating	disgust	0.578	umilitor
larceny	disgust	0.578	furt
ruinous	disgust	0.578	ruinatoare
retard	disgust	0.578	întârzia
rash	disgust	0.578	eczemă
flea	disgust	0.578	purice
debauchery	disgust	0.578	depravare
fiend	disgust	0.578	dracului
quagmire	disgust	0.578	mlaştină
conspirator	disgust	0.578	conspirator
sick	disgust	0.578	bolnav
mangle	disgust	0.578	calandru
dogsick	disgust	0.570	rău de câine
egregious	disgust	0.570	extraordinar
flog	disgust	0.570	biciui
despise	disgust	0.570	dispreţui
treacherous	disgust	0.570	perfid
oppress	disgust	0.570	asupri
swamp	disgust	0.570	mlaştină
messy	disgust	0.570	murdar
spit	disgust	0.570	scuipat
dank	disgust	0.570	umed
bastard	disgust	0.570	Bastard
devastating	disgust	0.570	devastator
serpent	disgust	0.570	şarpe
loo	disgust	0.562	loo
indecent	disgust	0.562	indecent
insanity	disgust	0.562	nebunie
stealing	disgust	0.562	furtul
terrible	disgust	0.562	teribil
tyrannical	disgust	0.562	tiranic
humiliation	disgust	0.562	umilire
snake	disgust	0.562	şarpe
sloppy	disgust	0.562	neglijent
sinning	disgust	0.562	păcătuind
harmful	disgust	0.562	dăunătoare
harlot	disgust	0.562	desfrânată
sordid	disgust	0.562	sordid
enemy	disgust	0.562	dusman
alcoholism	disgust	0.562	alcoolism
awful	disgust	0.562	îngrozitor
ruthless	disgust	0.562	nemilos
scoundrel	disgust	0.562	ticălos
bloody	disgust	0.555	sângeros
flabby	disgust	0.555	flasc
odious	disgust	0.555	odios
beastly	disgust	0.555	bestial
collusion	disgust	0.555	coluziune
ridicule	disgust	0.555	ridicol
discriminating	disgust	0.555	discriminare
unattractive	disgust	0.555	neatractiv
insufferable	disgust	0.555	insuportabil
segregate	disgust	0.555	separa
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	amenintatoare
atrophy	disgust	0.555	atrofie
varicella	disgust	0.555	varicela
slayer	disgust	0.555	ucigaș
distaste	disgust	0.555	dezgust
coward	disgust	0.555	laş
robbery	disgust	0.555	jaf
wickedness	disgust	0.555	răutatea
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	răuvoitor
sty	disgust	0.547	sty
pillage	disgust	0.547	jefuirea
thief	disgust	0.547	hoţ
suffocating	disgust	0.547	sufocant
condemnation	disgust	0.547	condamnare
deleterious	disgust	0.547	dăunătoare
slur	disgust	0.547	Insulta
purgatory	disgust	0.547	purgatoriu
attacking	disgust	0.547	atacând
burglar	disgust	0.547	hoț
ogre	disgust	0.547	căpcăun
coercion	disgust	0.547	constrângere
vesicular	disgust	0.547	veziculoasă
miserable	disgust	0.547	mizerabil
bitterly	disgust	0.547	amar
sneer	disgust	0.539	insinuare
greedy	disgust	0.539	lacom
gob	disgust	0.539	gob
repellant	disgust	0.539	respingător
jealous	disgust	0.539	gelos
drunken	disgust	0.539	beat
shame	disgust	0.539	rușine
thrash	disgust	0.539	thrash
fatty	disgust	0.539	gras
liar	disgust	0.539	mincinos
imprisoned	disgust	0.539	închis
sloth	disgust	0.539	Lene
repudiation	disgust	0.539	repudiere
disgrace	disgust	0.539	ruşine
infidelity	disgust	0.539	infidelitate
pig	disgust	0.539	porc
lethal	disgust	0.536	mortal
burnt	disgust	0.531	ars
brawl	disgust	0.531	certa
withered	disgust	0.531	ofilit
blemish	disgust	0.531	cusur
hydrocephalus	disgust	0.531	hidrocefalie
aberration	disgust	0.531	aberaţie
smuggler	disgust	0.531	contrabandist
painful	disgust	0.531	dureros
condescension	disgust	0.531	condescendenţă
intolerant	disgust	0.531	intoleranta
blasphemous	disgust	0.531	hulitor
lying	disgust	0.531	mincind
hanging	disgust	0.531	agăţat
travesty	disgust	0.531	parodie
ruined	disgust	0.531	ruinat
intrusive	disgust	0.531	intruziv
disintegrate	disgust	0.531	dezintegra
destructive	disgust	0.531	distructiv
neurotic	disgust	0.531	nevrotic
disparaging	disgust	0.523	disprețuitor
blighted	disgust	0.523	stricat
intolerance	disgust	0.523	intoleranţă
mistress	disgust	0.523	amantă
avarice	disgust	0.523	avariţia
disgraced	disgust	0.523	dezonorat
derogation	disgust	0.523	derogare
rubbish	disgust	0.523	gunoi
accusation	disgust	0.523	acuzare
incarceration	disgust	0.523	încarcerare
tortious	disgust	0.516	delictuos
dishonor	disgust	0.516	dezonoare
stink	disgust	0.516	putoare
grim	disgust	0.516	rău
rob	disgust	0.516	jefuiesc
defraud	disgust	0.516	frauda
sump	disgust	0.516	bazin
cringe	disgust	0.516	înfiorare
vulture	disgust	0.516	vultur
deplorable	disgust	0.516	deplorabil
mite	disgust	0.516	acarian
eradication	disgust	0.516	eradicare
degrade	disgust	0.516	degrada
gutter	disgust	0.516	jgheab
convict	disgust	0.516	condamna
remains	disgust	0.516	ramane
betray	disgust	0.516	trăda
daemon	disgust	0.516	demonul
sham	disgust	0.509	falsă
distasteful	disgust	0.508	dezagreabil
prisoner	disgust	0.508	prizonier
dreadfully	disgust	0.508	îngrozitor
worthless	disgust	0.508	fără valoare
crude	disgust	0.508	brut
delirium	disgust	0.508	delir
incurable	disgust	0.508	incurabil
smelling	disgust	0.508	mirosind
idiocy	disgust	0.508	idiotie
resentment	disgust	0.508	resentiment
bombed	disgust	0.508	bombardat
blob	disgust	0.508	blob
cheat	disgust	0.508	trișa
schizophrenia	disgust	0.508	schizofrenie
rejection	disgust	0.508	respingere
belittle	disgust	0.508	slăbici
glut	disgust	0.508	saturare
disaster	disgust	0.508	dezastru
distress	disgust	0.508	suferință
pest	disgust	0.508	dăunător
endemic	disgust	0.508	endemice
theft	disgust	0.500	furt
banish	disgust	0.500	alunga
mire	disgust	0.500	noroi
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	derizoriu
dirt	disgust	0.500	murdărie
screaming	disgust	0.500	țipând
offense	disgust	0.500	delict
jealousy	disgust	0.500	gelozie
bribery	disgust	0.500	mită
polemic	disgust	0.500	polemică
blight	disgust	0.500	pacoste
impeach	disgust	0.500	acuzare
bitterness	disgust	0.500	amărăciune
taboo	disgust	0.500	tabu
duress	disgust	0.500	constrângere
goblin	disgust	0.500	elf
shackle	disgust	0.500	cătuşe
idolatry	disgust	0.500	idolatrie
greed	disgust	0.500	lăcomie
impurity	disgust	0.500	impuritate
tirade	disgust	0.500	tiradă
idiot	disgust	0.492	idiot
boil	disgust	0.492	a fierbe
unconscionable	disgust	0.492	inadmisibil
disreputable	disgust	0.492	de nerespectat
robber	disgust	0.492	jefuitor
malign	disgust	0.492	malign
wreck	disgust	0.492	distruge
recession	disgust	0.492	recesiune
gorge	disgust	0.492	defileu
leer	disgust	0.492	leer
ill	disgust	0.492	bolnav
squirm	disgust	0.492	se agita
raging	disgust	0.484	furios
servile	disgust	0.484	servil
mess	disgust	0.484	mizerie
nappy	disgust	0.484	scutec
possessed	disgust	0.484	posedat
unbearable	disgust	0.484	insuportabil
occult	disgust	0.484	ocult
contraband	disgust	0.484	contrabandă
snarl	disgust	0.484	mârâit
mutiny	disgust	0.484	revoltă
mad	disgust	0.484	nebun
affliction	disgust	0.484	suferinta
stain	disgust	0.484	pata
animosity	disgust	0.484	animozitate
contempt	disgust	0.484	dispreţ
tramp	disgust	0.484	vagabond
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	lipsit de respect
defamation	disgust	0.484	defăimare
inexcusable	disgust	0.484	de neiertat
aversation	disgust	0.484	aversatie
wasteful	disgust	0.484	risipitor
offender	disgust	0.484	contravenient
subjugation	disgust	0.484	subjugare
illegality	disgust	0.477	nelegalitate
dismal	disgust	0.477	sumbru
criminal	disgust	0.477	penal
unpleasant	disgust	0.477	neplăcut
palsy	disgust	0.477	paralizie
antagonistic	disgust	0.477	antagonist
pathetic	disgust	0.477	jalnic
uncaring	disgust	0.477	nepăsător
suppression	disgust	0.477	suprimare
immorality	disgust	0.477	imoralitate
mockery	disgust	0.477	bătaie de joc
outrage	disgust	0.469	ultraj
mocking	disgust	0.469	batjocoritor
wallow	disgust	0.469	se bate
cough	disgust	0.469	tuse
arrogant	disgust	0.469	arogant
angry	disgust	0.469	furios
poverty	disgust	0.469	sărăcie
grating	disgust	0.469	grătar
livid	disgust	0.469	livid
aggravation	disgust	0.469	agravare
repellent	disgust	0.469	respingător
perspiration	disgust	0.469	transpiraţie
banishment	disgust	0.469	alungare
furious	disgust	0.469	furios
shoddy	disgust	0.469	nepotrivit
banshee	disgust	0.469	banshee
deceive	disgust	0.461	înşela
fool	disgust	0.461	prost
quack	disgust	0.461	vraci
distorted	disgust	0.461	distorsionat
spider	disgust	0.461	păianjen
unjustifiable	disgust	0.461	nejustificat
deplore	disgust	0.461	deplânge
spurious	disgust	0.461	fals
perdition	disgust	0.461	pierzanie
muddy	disgust	0.461	plin de noroi
fraudulent	disgust	0.461	necinstit
scar	disgust	0.461	cicatrice
prick	disgust	0.461	înţepătură
insulting	disgust	0.461	jignitoare
plunder	disgust	0.461	jaf
recklessness	disgust	0.461	nepăsare
stigma	disgust	0.453	stigmatizarea
disparage	disgust	0.453	discredita
unthinkable	disgust	0.453	de necrezut
disingenuous	disgust	0.453	necinstit
bane	disgust	0.453	nenorocire
dishonest	disgust	0.453	necinstit
aphid	disgust	0.453	afidă
elimination	disgust	0.453	eliminare
cur	disgust	0.453	cur
selfish	disgust	0.453	egoist
eschew	disgust	0.453	evita
dire	disgust	0.453	groaznic
indignation	disgust	0.453	indignare
antipathy	disgust	0.453	antipatie
alienate	disgust	0.453	înstrăina
mosquito	disgust	0.445	ţânţar
piles	disgust	0.445	grămezi
pious	disgust	0.445	pios
lie	disgust	0.445	minciună
opium	disgust	0.445	opiu
smell	disgust	0.445	miros
iniquity	disgust	0.445	nelegiuirea
caries	disgust	0.445	carie
despair	disgust	0.445	disperare
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	egoist
wasted	disgust	0.445	pierdut
vacuous	disgust	0.445	vid
bankruptcy	disgust	0.445	faliment
garish	disgust	0.445	bătător la ochi
obnoxious	disgust	0.438	dezastruoasă
ashamed	disgust	0.438	ruşinat
abject	disgust	0.438	abject
sticky	disgust	0.438	lipicios
scream	disgust	0.438	ţipăt
hopelessness	disgust	0.438	deznădejde
homeless	disgust	0.438	fără adăpost
shun	disgust	0.438	evita
inmate	disgust	0.438	deţinut
alien	disgust	0.438	străin
hog	disgust	0.438	porc
aversion	disgust	0.438	aversiune
abnormal	disgust	0.438	anormal
cursing	disgust	0.430	blestemând
undesirable	disgust	0.430	indezirabil
denounce	disgust	0.430	denunţa
witch	disgust	0.430	vrăjitoare
creature	disgust	0.430	creatură
lusty	disgust	0.430	lubric
illegal	disgust	0.430	ilegal
debris	disgust	0.430	resturi
callous	disgust	0.430	dur
reflux	disgust	0.430	reflux
adverse	disgust	0.430	advers
shameless	disgust	0.430	nerușinat
separatist	disgust	0.430	separatist
trickery	disgust	0.430	smecherie
falsity	disgust	0.430	falsitate
pall	disgust	0.430	pall
defiance	disgust	0.430	sfidare
incredulous	disgust	0.430	neîncrezător
curse	disgust	0.430	blestem
pompous	disgust	0.422	pompos
socialist	disgust	0.422	socialist
mistrust	disgust	0.422	neîncredere
infantile	disgust	0.422	infantil
wasting	disgust	0.422	risipirea
hairy	disgust	0.422	păros
nicotine	disgust	0.422	nicotină
denunciation	disgust	0.422	denunţare
collapse	disgust	0.422	colaps
untidy	disgust	0.422	neîngrijit
ferocious	disgust	0.422	feroce
ammonia	disgust	0.422	amoniac
carelessness	disgust	0.422	nepăsare
impure	disgust	0.422	impur
contentious	disgust	0.422	contencios
bum	disgust	0.422	vagabond
affront	disgust	0.422	afront
offend	disgust	0.422	jignesc
tarnish	disgust	0.422	păta
idiotic	disgust	0.422	idiot
badness	disgust	0.422	răutate
delinquent	disgust	0.422	delincvent
swarm	disgust	0.422	roi
hypertrophy	disgust	0.422	hipertrofie
gush	disgust	0.422	şuvoi
tasteless	disgust	0.422	lipsit de gust
bovine	disgust	0.422	bovin
slush	disgust	0.422	noroi
litigious	disgust	0.414	litigios
dishonesty	disgust	0.414	necinste
vegetative	disgust	0.414	vegetativ
unfavorable	disgust	0.414	nefavorabil
displacency	disgust	0.414	deplasare
illegitimate	disgust	0.414	nelegitim
sour	disgust	0.414	acru
socialism	disgust	0.414	socialism
disobey	disgust	0.414	neascultă
drivel	disgust	0.414	prostii
vampire	disgust	0.414	vampir
neglected	disgust	0.414	neglijat
murky	disgust	0.414	tulbure
ignorant	disgust	0.406	ignorant
disgruntled	disgust	0.406	nemulţumit
discontinuity	disgust	0.406	discontinuitate
dislike	disgust	0.406	antipatie
unlawful	disgust	0.406	ilegal
wrongdoing	disgust	0.406	nelegiuire
shoplifting	disgust	0.406	furtul din magazin
recidivism	disgust	0.406	recidivă
outcast	disgust	0.406	proscris
bogus	disgust	0.406	fals
displeasure	disgust	0.406	nemulțumire
repel	disgust	0.406	respinge
falsify	disgust	0.406	falsifica
ungrateful	disgust	0.406	nerecunoscător
unkind	disgust	0.406	aspru
phony	disgust	0.406	fals
prosecution	disgust	0.406	urmarire penala
woe	disgust	0.398	Vai
averse	disgust	0.398	potrivnic
loon	disgust	0.398	cufundar
worsening	disgust	0.398	înrăutățirea
paucity	disgust	0.398	sărăcie
unnatural	disgust	0.398	nefiresc
amphetamines	disgust	0.398	amfetaminele
senseless	disgust	0.398	lipsit de sens
rigor	disgust	0.398	rigoare
subvert	disgust	0.398	subvertiază
failure	disgust	0.398	eșec
lick	disgust	0.398	linge
unruly	disgust	0.398	nesupus
woefully	disgust	0.398	jalnic
stingy	disgust	0.398	zgârcit
crushing	disgust	0.398	strivire
disdain	disgust	0.398	dispreț
insult	disgust	0.393	insultă
averseness	disgust	0.391	aversiune
disrelish	disgust	0.391	dezgust
punished	disgust	0.391	pedepsit
critter	disgust	0.391	creatura
damage	disgust	0.391	deteriora
scorpion	disgust	0.391	scorpion
diatribe	disgust	0.391	diatribă
muff	disgust	0.391	manşon
farcical	disgust	0.391	farsă
antisocial	disgust	0.391	antisocial
hardened	disgust	0.391	întărit
punishment	disgust	0.391	pedeapsă
bad	disgust	0.391	rău
expel	disgust	0.391	expulza
surly	disgust	0.383	posac
lament	disgust	0.383	plânge
illiterate	disgust	0.383	analfabet
divorce	disgust	0.383	divorț
teeming	disgust	0.383	plin de foc
plagiarism	disgust	0.383	plagiat
eviction	disgust	0.383	evacuare
orc	disgust	0.383	orc
disappoint	disgust	0.383	dezamăgi
shabby	disgust	0.383	ponosit
presumptuous	disgust	0.383	prezumțios
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	discordie
guilt	disgust	0.383	vinovăţie
fugitive	disgust	0.383	fugar
irrational	disgust	0.383	iraţional
adder	disgust	0.383	sumator
fulsome	disgust	0.383	plin
sacrifices	disgust	0.383	sacrificii
hypocritical	disgust	0.383	ipocrit
shock	disgust	0.375	şoc
alienation	disgust	0.375	alienare
scoff	disgust	0.375	batjocoresc
plight	disgust	0.375	situație dificilă
irritation	disgust	0.375	iritație
unworthy	disgust	0.375	nevrednic
misconduct	disgust	0.375	abatere
defective	disgust	0.375	defect
blame	disgust	0.375	vina
depressing	disgust	0.375	deprimant
dislocated	disgust	0.375	dislocat
irritating	disgust	0.375	iritant
vainly	disgust	0.367	zadarnic
toad	disgust	0.367	broască râioasă
powerless	disgust	0.367	neputincios
coerce	disgust	0.367	constrânge
shuddering	disgust	0.367	tremurând
stripped	disgust	0.367	dezbrăcat
revoke	disgust	0.367	revoca
wimpy	disgust	0.367	slăbănog
unhealthy	disgust	0.367	nesănătos
exclusion	disgust	0.367	excludere
disillusionment	disgust	0.367	deziluzie
blatant	disgust	0.367	flagrant
hurtful	disgust	0.367	rănitoare
hoax	disgust	0.367	farsă
wimp	disgust	0.367	slăbănog
cad	disgust	0.367	cad
pitfall	disgust	0.367	capcană
squelch	disgust	0.367	squelch
deserted	disgust	0.359	pustiu
damn	disgust	0.359	La naiba
incompatible	disgust	0.359	incompatibil
dispose	disgust	0.359	dispune
oddity	disgust	0.359	ciudăţenie
rebellion	disgust	0.359	rebeliune
ineptitude	disgust	0.359	ineptitudine
bug	disgust	0.359	gândac
disobedience	disgust	0.359	nesupunere
inept	disgust	0.352	ineptă
litigate	disgust	0.352	a litiga
dismissal	disgust	0.352	concediere
cutting	disgust	0.352	tăiere
untoward	disgust	0.352	neplăcut
displeased	disgust	0.352	nemulțumit
censor	disgust	0.352	cenzura
ridiculous	disgust	0.352	ridicol
compost	disgust	0.352	compost
frustrate	disgust	0.352	frustra
misbehavior	disgust	0.352	abatere disciplinara
lawyer	disgust	0.352	avocat
crushed	disgust	0.352	zdrobit
flesh	disgust	0.352	carne
uncertain	disgust	0.352	incert
obi	disgust	0.352	obi
flinch	disgust	0.352	tresări
fierce	disgust	0.352	feroce
wrongful	disgust	0.352	nedreptăţit
depreciate	disgust	0.344	deprecia
disapprove	disgust	0.344	dezaproba
tearful	disgust	0.344	înlăcrimat
grumble	disgust	0.336	bâzâi
unsettled	disgust	0.336	neasezat
annoy	disgust	0.336	deranja
exigent	disgust	0.336	exigent
heartsick	disgust	0.336	bolnav de inimă
lawsuit	disgust	0.336	proces
discoloration	disgust	0.336	decolorare
lumpy	disgust	0.336	cocoloase
daft	disgust	0.336	nebun
blunder	disgust	0.336	gafă
discontent	disgust	0.336	nemulţumire
bickering	disgust	0.336	ciorovăială
thoughtless	disgust	0.336	necugetat
disliked	disgust	0.336	ne-a plăcut
disinclination	disgust	0.336	declinul
distrust	disgust	0.336	neîncredere
disallowed	disgust	0.336	interzisă
instability	disgust	0.328	instabilitate
hydrophobia	disgust	0.328	hidrofobie
whine	disgust	0.328	se văita
inhibit	disgust	0.328	inhiba
excluded	disgust	0.328	exclus
provoking	disgust	0.328	provocând
grievance	disgust	0.328	plângere
unmanageable	disgust	0.328	de necontrolat
sly	disgust	0.328	viclean
exasperation	disgust	0.328	exasperare
cacophony	disgust	0.328	cacofonie
unsatisfactory	disgust	0.328	nesatisfăcător
disappointed	disgust	0.328	dezamăgit
materialist	disgust	0.328	materialist
misleading	disgust	0.321	derutant
mishap	disgust	0.320	accident
soot	disgust	0.320	funingine
humbug	disgust	0.320	farfurie
disclaim	disgust	0.320	declina
annoyance	disgust	0.320	supărare
disapproving	disgust	0.320	dezaprobator
disservice	disgust	0.320	deserviciu
reproach	disgust	0.320	reproș
confined	disgust	0.320	închis
unequal	disgust	0.320	inegal
rags	disgust	0.320	zdrențe
groan	disgust	0.320	geme
soil	disgust	0.312	sol
inappropriate	disgust	0.312	nepotrivit
criticize	disgust	0.312	a critica
disincline	disgust	0.312	îndepărta de la
theism	disgust	0.312	teism
depreciated	disgust	0.312	amortizate
inconsiderate	disgust	0.312	nechibzuit
overpriced	disgust	0.312	prea scump
stomach	disgust	0.312	stomac
burke	disgust	0.312	burke
sneeze	disgust	0.312	strănut
gall	disgust	0.305	fiere
bang	disgust	0.305	bang
inadmissible	disgust	0.305	inadmisibil
unfriendly	disgust	0.305	neprietenos
unaccountable	disgust	0.305	inexplicabil
disparity	disgust	0.305	disparitate
latent	disgust	0.305	latent
disliking	disgust	0.305	antipatie
shack	disgust	0.305	baracă
grumpy	disgust	0.305	morocănos
coop	disgust	0.304	coop
disappointment	disgust	0.297	dezamăgire
scold	disgust	0.297	certa
delay	disgust	0.297	întârziere
congress	disgust	0.297	congres
growling	disgust	0.297	mârâind
backwards	disgust	0.297	înapoi
soreness	disgust	0.297	durere
disregarded	disgust	0.297	nesocotite
rogue	disgust	0.297	necinstiţi
lonely	disgust	0.297	singuratic
notoriety	disgust	0.289	notorietate
catechism	disgust	0.289	catehism
flop	disgust	0.289	chix
infamous	disgust	0.289	infam
janitor	disgust	0.289	portar
nettle	disgust	0.289	urzica
saturated	disgust	0.281	saturate
prohibited	disgust	0.281	interzisă
gaby	disgust	0.281	Gaby
wince	disgust	0.281	tresări
desist	disgust	0.281	desista
unfair	disgust	0.281	nedrept
aftermath	disgust	0.281	Urmări
remiss	disgust	0.281	neglijent
tribunal	disgust	0.273	tribunal
discolored	disgust	0.273	decolorat
wrangling	disgust	0.273	ceartă
uneasy	disgust	0.273	neliniştit
huff	disgust	0.273	acces de furie
weird	disgust	0.266	ciudat
impolite	disgust	0.266	nepoliticos
swig	disgust	0.266	înghiţitură
crawl	disgust	0.266	târâi
unsatisfied	disgust	0.266	nemultumit
inefficiency	disgust	0.266	ineficienta
frantic	disgust	0.266	frenetic
bureaucrat	disgust	0.266	birocrat
politic	disgust	0.266	politică
coldness	disgust	0.266	frig
gruff	disgust	0.258	aspru
octopus	disgust	0.258	caracatiță
chagrin	disgust	0.258	mâhnire
barrow	disgust	0.258	tumulă
copycat	disgust	0.258	imitator
incase	disgust	0.258	in caz
rascal	disgust	0.258	ticălos
sarcasm	disgust	0.258	sarcasm
instinctive	disgust	0.258	instinctiv
misconception	disgust	0.250	concepție greșită
disinclined	disgust	0.250	dezclinat
john	disgust	0.250	Ioan
hulk	disgust	0.250	hulk
baboon	disgust	0.250	babuin
shanghai	disgust	0.250	shanghai
cupping	disgust	0.250	cupând
lose	disgust	0.250	pierde
rook	disgust	0.242	turnul
entangled	disgust	0.242	încurcat
gratuitous	disgust	0.242	gratuit
scrub	disgust	0.242	frecat
opponent	disgust	0.242	adversar
tariff	disgust	0.242	tarifar
questionable	disgust	0.234	îndoielnic
prolong	disgust	0.234	prelungi
reluctance	disgust	0.234	reticenta
lagging	disgust	0.234	întârziat
misstatement	disgust	0.234	denaturare
resign	disgust	0.234	demisiona
unlucky	disgust	0.234	ghinionist
backwardness	disgust	0.234	înapoiere
ineffectual	disgust	0.227	ineficient
disqualified	disgust	0.227	descalificat
subsidy	disgust	0.227	subvenţie
reversal	disgust	0.227	inversare
default	disgust	0.227	Mod implicit
fussy	disgust	0.227	agitat
unpopular	disgust	0.227	nepopular
petroleum	disgust	0.219	petrol
intense	disgust	0.219	intens
evade	disgust	0.219	se sustrage
frowning	disgust	0.219	încruntat
weight	disgust	0.219	greutate
dame	disgust	0.219	doamnă
donkey	disgust	0.211	măgar
actionable	disgust	0.211	acționabilă
tawny	disgust	0.211	brunet
unhappy	disgust	0.211	nefericit
dandy	disgust	0.203	dandy
birch	disgust	0.203	mesteacăn
speck	disgust	0.203	pata
hood	disgust	0.203	glugă
owing	disgust	0.203	datorat
desert	disgust	0.203	deşert
indifference	disgust	0.203	indiferenţă
awkwardness	disgust	0.203	stangacie
rave	disgust	0.203	rave
gnome	disgust	0.203	gnom
inconvenient	disgust	0.203	incomod
howl	disgust	0.195	urla
dabbling	disgust	0.195	barbând
morals	disgust	0.195	morala
misguided	disgust	0.195	gresit
airs	disgust	0.195	aerisire
gelatin	disgust	0.195	gelatina
fleece	disgust	0.195	lână
monochrome	disgust	0.195	monocrom
lush	disgust	0.188	luxuriantă
celebrity	disgust	0.188	celebritate
avoid	disgust	0.188	evita
gent	disgust	0.188	gent
stalemate	disgust	0.188	impas
lesser	disgust	0.188	mai puțin
sunk	disgust	0.180	scufundat
nose	disgust	0.180	nas
laughable	disgust	0.180	ridicol
claimant	disgust	0.180	reclamant
possession	disgust	0.180	deţinere
larger	disgust	0.164	mai mare
pregnancy	disgust	0.164	sarcina
thrift	disgust	0.164	cumpătare
undoubted	disgust	0.164	fără îndoială
mouthful	disgust	0.164	îmbucătură
hoot	disgust	0.164	hoop
sentence	disgust	0.156	propoziție
misplace	disgust	0.156	gresit
clamor	disgust	0.156	gălăgie
parrot	disgust	0.156	papagal
obliging	disgust	0.156	obligator
nameless	disgust	0.148	fără nume
bummer	disgust	0.148	păcat
elf	disgust	0.141	elf
feeling	disgust	0.141	sentiment
excellence	disgust	0.141	excelenţă
gray	disgust	0.133	gri
asymmetry	disgust	0.133	asimetrie
turn	disgust	0.133	întoarce
clumsy	disgust	0.133	neîndemânatic
stall	disgust	0.133	stand
bran	disgust	0.125	tărâţe
finally	disgust	0.125	in cele din urma
lord	disgust	0.125	Lord
nurture	disgust	0.117	hrăni
savor	disgust	0.117	savura
cove	disgust	0.117	golfuleţ
winning	disgust	0.109	învingătoare
lemon	disgust	0.109	lămâie
powerful	disgust	0.102	puternic
glitter	disgust	0.094	sclipici
interior	disgust	0.086	interior
mind	disgust	0.086	minte
interested	disgust	0.078	interesat
treat	disgust	0.078	trata
abundance	disgust	0.078	abundenţă
honest	disgust	0.055	sincer
kite	disgust	0.055	zmeu
humble	disgust	0.047	umil
tree	disgust	0.039	copac
torture	fear	0.984	tortura
terrorist	fear	0.972	terorist
terrorists	fear	0.969	terorişti
horrific	fear	0.969	îngrozitor
terrorism	fear	0.969	terorism
suicidebombing	fear	0.967	atentat sinucigaș
kill	fear	0.962	ucide
homicidal	fear	0.959	ucigaș
catastrophe	fear	0.953	catastrofă
annihilate	fear	0.953	anihila
murderer	fear	0.953	criminal
terror	fear	0.953	teroare
dying	fear	0.948	moarte
war	fear	0.942	război
bombing	fear	0.938	bombardarea
bomb	fear	0.935	bombă
missiles	fear	0.934	rachete
horror	fear	0.923	groază
brutality	fear	0.922	brutalitate
terrorize	fear	0.922	teroriza
horrified	fear	0.922	îngrozit
bloodthirsty	fear	0.922	însetat de sânge
murderous	fear	0.920	criminală
massacre	fear	0.911	masacru
terrifying	fear	0.906	înfricoșător
fatality	fear	0.906	fatalitate
horrifying	fear	0.906	înfiorător
demon	fear	0.906	demon
