English Word	Emotion	Emotion-Intensity-Score	Tamil Word
flog	disgust	0.570	கசையடி
despise	disgust	0.570	வெறுக்கிறார்கள்
treacherous	disgust	0.570	துரோகமான
oppress	disgust	0.570	ஒடுக்கு
swamp	disgust	0.570	சதுப்பு நிலம்
messy	disgust	0.570	குழப்பமான
spit	disgust	0.570	துப்பும்
dank	disgust	0.570	dank
bastard	disgust	0.570	முறை தவறி பிறந்த குழந்தை
devastating	disgust	0.570	அழிவுகரமான
serpent	disgust	0.570	பாம்பு
loo	disgust	0.562	லூ
indecent	disgust	0.562	அநாகரீகமான
insanity	disgust	0.562	பைத்தியக்காரத்தனம்
stealing	disgust	0.562	திருடுதல்
terrible	disgust	0.562	பயங்கரமான
tyrannical	disgust	0.562	கொடுங்கோல்
humiliation	disgust	0.562	அவமானம்
snake	disgust	0.562	பாம்பு
sloppy	disgust	0.562	சேறும் சகதியுமான
sinning	disgust	0.562	பாவம்
harmful	disgust	0.562	தீங்கு விளைவிக்கும்
harlot	disgust	0.562	வேசி
sordid	disgust	0.562	இழிவான
enemy	disgust	0.562	எதிரி
alcoholism	disgust	0.562	மதுப்பழக்கம்
awful	disgust	0.562	மோசமான
ruthless	disgust	0.562	இரக்கமற்ற
scoundrel	disgust	0.562	அயோக்கியன்
bloody	disgust	0.555	இரத்தக்களரி
flabby	disgust	0.555	மந்தமான
odious	disgust	0.555	அருவருப்பான
beastly	disgust	0.555	மிருகத்தனமான
collusion	disgust	0.555	சதி
ridicule	disgust	0.555	கிண்டல்
discriminating	disgust	0.555	பாகுபாடு காட்டும்
unattractive	disgust	0.555	அழகற்ற
insufferable	disgust	0.555	தாங்க முடியாத
segregate	disgust	0.555	பிரிக்கவும்
arsenic	disgust	0.555	ஆர்சனிக்
threatening	disgust	0.555	அச்சுறுத்தும்
atrophy	disgust	0.555	சிதைவு
varicella	disgust	0.555	வெரிசெல்லா
slayer	disgust	0.555	கொலைகாரன்
distaste	disgust	0.555	வெறுப்பு
coward	disgust	0.555	கோழை
robbery	disgust	0.555	கொள்ளை
wickedness	disgust	0.555	அக்கிரமம்
anathema	disgust	0.547	அனாதிமா
malevolent	disgust	0.547	தீங்கிழைக்கும்
sty	disgust	0.547	நாகரீகமான
pillage	disgust	0.547	கொள்ளை
thief	disgust	0.547	திருடன்
suffocating	disgust	0.547	மூச்சுத்திணறல்
condemnation	disgust	0.547	கண்டனம்
deleterious	disgust	0.547	தீங்கு
slur	disgust	0.547	அவதூறு
purgatory	disgust	0.547	சுத்திகரிப்பு
attacking	disgust	0.547	தாக்குகிறது
burglar	disgust	0.547	திருடுபவர்
ogre	disgust	0.547	ஓக்ரே
coercion	disgust	0.547	வற்புறுத்தல்
vesicular	disgust	0.547	வெசிகுலர்
miserable	disgust	0.547	பரிதாபகரமான
bitterly	disgust	0.547	கசப்பான
sneer	disgust	0.539	ஏளனம் செய்
greedy	disgust	0.539	பேராசை
gob	disgust	0.539	gob
repellant	disgust	0.539	விரட்டி
jealous	disgust	0.539	பொறாமை
drunken	disgust	0.539	குடிபோதையில்
shame	disgust	0.539	அவமானம்
thrash	disgust	0.539	அடித்தல்
fatty	disgust	0.539	கொழுப்பு
liar	disgust	0.539	பொய்யர்
imprisoned	disgust	0.539	சிறையில் அடைக்கப்பட்டார்
sloth	disgust	0.539	சோம்பல்
repudiation	disgust	0.539	நிராகரிப்பு
disgrace	disgust	0.539	அவமானம்
infidelity	disgust	0.539	துரோகம்
pig	disgust	0.539	பன்றி
lethal	disgust	0.536	கொடியது
burnt	disgust	0.531	எரிக்கப்பட்டது
brawl	disgust	0.531	சண்டை
withered	disgust	0.531	வாடியது
blemish	disgust	0.531	களங்கம்
hydrocephalus	disgust	0.531	ஹைட்ரோகெபாலஸ்
aberration	disgust	0.531	பிறழ்வு
smuggler	disgust	0.531	கடத்தல்காரன்
painful	disgust	0.531	வலி
condescension	disgust	0.531	தாழ்வு மனப்பான்மை
intolerant	disgust	0.531	சகிப்புத்தன்மையற்ற
blasphemous	disgust	0.531	நிந்தனை
lying	disgust	0.531	பொய்
hanging	disgust	0.531	தொங்கும்
travesty	disgust	0.531	கேலிக்குரிய
ruined	disgust	0.531	பாழாக்கி
intrusive	disgust	0.531	ஊடுருவும்
disintegrate	disgust	0.531	சிதைந்துவிடும்
destructive	disgust	0.531	அழிவுகரமான
neurotic	disgust	0.531	நரம்பியல்
disparaging	disgust	0.523	இழிவுபடுத்தும்
blighted	disgust	0.523	கருகியது
intolerance	disgust	0.523	சகிப்பின்மை
mistress	disgust	0.523	எஜமானி
avarice	disgust	0.523	பேராசை
disgraced	disgust	0.523	அவமானப்படுத்தப்பட்டது
derogation	disgust	0.523	இழிவு
rubbish	disgust	0.523	குப்பை
accusation	disgust	0.523	குற்றச்சாட்டு
incarceration	disgust	0.523	சிறைவாசம்
tortious	disgust	0.516	கொடூரமான
dishonor	disgust	0.516	அவமதிப்பு
stink	disgust	0.516	துர்நாற்றம்
grim	disgust	0.516	கடுமையான
rob	disgust	0.516	கொள்ளையடிக்க
defraud	disgust	0.516	ஏமாற்று
sump	disgust	0.516	சம்ப்
cringe	disgust	0.516	பயமுறுத்தும்
vulture	disgust	0.516	கழுகு
deplorable	disgust	0.516	வருந்தத்தக்கது
mite	disgust	0.516	பூச்சி
eradication	disgust	0.516	ஒழிப்பு
degrade	disgust	0.516	சீரழியும்
gutter	disgust	0.516	சாக்கடை
convict	disgust	0.516	குற்றவாளி
remains	disgust	0.516	எஞ்சியுள்ளது
betray	disgust	0.516	காட்டிக்கொடுக்கின்றன
daemon	disgust	0.516	டீமான்
sham	disgust	0.509	போலி
distasteful	disgust	0.508	அருவருப்பானது
prisoner	disgust	0.508	கைதி
dreadfully	disgust	0.508	பயமின்றி
worthless	disgust	0.508	மதிப்பற்றது
crude	disgust	0.508	கச்சா
delirium	disgust	0.508	மயக்கம்
incurable	disgust	0.508	குணப்படுத்த முடியாதது
smelling	disgust	0.508	வாசனை
idiocy	disgust	0.508	முட்டாள்தனம்
resentment	disgust	0.508	மனக்கசப்பு
bombed	disgust	0.508	குண்டு வீசப்பட்டது
blob	disgust	0.508	பொட்டு
cheat	disgust	0.508	ஏமாற்று
schizophrenia	disgust	0.508	ஸ்கிசோஃப்ரினியா
rejection	disgust	0.508	நிராகரிப்பு
belittle	disgust	0.508	சிறியது
glut	disgust	0.508	பெருந்தீனி
disaster	disgust	0.508	பேரழிவு
distress	disgust	0.508	துன்பம்
pest	disgust	0.508	பூச்சி
endemic	disgust	0.508	உள்ளூர்
theft	disgust	0.500	திருட்டு
banish	disgust	0.500	விரட்டு
mire	disgust	0.500	சேற்று
flagrant	disgust	0.500	அப்பட்டமான
derision	disgust	0.500	ஏளனம்
dirt	disgust	0.500	அழுக்கு
screaming	disgust	0.500	அலறல்
offense	disgust	0.500	குற்றம்
jealousy	disgust	0.500	பொறாமை
bribery	disgust	0.500	லஞ்சம்
polemic	disgust	0.500	விவாதம்
blight	disgust	0.500	ப்ளைட்
impeach	disgust	0.500	குற்றச்சாட்டு
bitterness	disgust	0.500	கசப்பு
taboo	disgust	0.500	விலக்கப்பட்ட
duress	disgust	0.500	வற்புறுத்தல்
goblin	disgust	0.500	பூதம்
shackle	disgust	0.500	கட்டு
idolatry	disgust	0.500	உருவ வழிபாடு
greed	disgust	0.500	பேராசை
impurity	disgust	0.500	தூய்மையற்றது
tirade	disgust	0.500	சோர்வு
idiot	disgust	0.492	முட்டாள்
boil	disgust	0.492	கொதி
unconscionable	disgust	0.492	மனசாட்சியற்றது
disreputable	disgust	0.492	மதிப்பிற்குரிய
robber	disgust	0.492	கொள்ளைக்காரன்
malign	disgust	0.492	தீங்கான
wreck	disgust	0.492	சிதைவு
recession	disgust	0.492	மந்தநிலை
gorge	disgust	0.492	பள்ளத்தாக்கு
leer	disgust	0.492	லெயர்
ill	disgust	0.492	நோய்வாய்ப்பட்ட
squirm	disgust	0.492	நெளியும்
raging	disgust	0.484	பொங்கி எழுகிறது
servile	disgust	0.484	அடிமையான
mess	disgust	0.484	குழப்பம்
nappy	disgust	0.484	நாப்பி
possessed	disgust	0.484	உடையது
unbearable	disgust	0.484	தாங்க முடியாத
occult	disgust	0.484	அமானுஷ்யம்
contraband	disgust	0.484	கடத்தல்
snarl	disgust	0.484	உறுமல்
mutiny	disgust	0.484	கலகம்
mad	disgust	0.484	பைத்தியம்
affliction	disgust	0.484	துன்பம்
stain	disgust	0.484	கறை
animosity	disgust	0.484	பகைமை
contempt	disgust	0.484	அவமதிப்பு
tramp	disgust	0.484	நாடோடி
nepotism	disgust	0.484	உறவுமுறை
disrespectful	disgust	0.484	மரியாதையற்ற
defamation	disgust	0.484	அவதூறு
inexcusable	disgust	0.484	மன்னிக்க முடியாதது
aversation	disgust	0.484	வெறுப்பு
wasteful	disgust	0.484	வீண்
offender	disgust	0.484	குற்றவாளி
subjugation	disgust	0.484	அடிபணிதல்
illegality	disgust	0.477	சட்டவிரோதம்
dismal	disgust	0.477	அவலமான
criminal	disgust	0.477	குற்றவாளி
unpleasant	disgust	0.477	விரும்பத்தகாத
palsy	disgust	0.477	பக்கவாதம்
antagonistic	disgust	0.477	விரோதமான
pathetic	disgust	0.477	பரிதாபகரமான
uncaring	disgust	0.477	அக்கறையற்ற
suppression	disgust	0.477	அடக்குதல்
immorality	disgust	0.477	ஒழுக்கக்கேடு
mockery	disgust	0.477	கேலி
outrage	disgust	0.469	சீற்றம்
mocking	disgust	0.469	கிண்டல்
wallow	disgust	0.469	சுவர்
cough	disgust	0.469	இருமல்
arrogant	disgust	0.469	திமிர்பிடித்த
angry	disgust	0.469	கோபம்
poverty	disgust	0.469	வறுமை
grating	disgust	0.469	தட்டுதல்
livid	disgust	0.469	கொந்தளிப்பு
aggravation	disgust	0.469	தீவிரமடைதல்
repellent	disgust	0.469	விரட்டும்
perspiration	disgust	0.469	வியர்வை
banishment	disgust	0.469	நாடுகடத்தல்
furious	disgust	0.469	சீற்றம்
shoddy	disgust	0.469	தரமற்ற
banshee	disgust	0.469	பன்ஷி
deceive	disgust	0.461	ஏமாற்று
fool	disgust	0.461	முட்டாள்
quack	disgust	0.461	வேட்டைக்காரன்
distorted	disgust	0.461	சிதைக்கப்பட்டது
spider	disgust	0.461	சிலந்தி
unjustifiable	disgust	0.461	நியாயப்படுத்த முடியாதது
deplore	disgust	0.461	இரங்கல்
spurious	disgust	0.461	போலியான
perdition	disgust	0.461	அழிவு
muddy	disgust	0.461	சேறு நிறைந்த
fraudulent	disgust	0.461	மோசடியான
scar	disgust	0.461	வடு
prick	disgust	0.461	குத்துதல்
insulting	disgust	0.461	அவமதிப்பு
plunder	disgust	0.461	கொள்ளையடித்தல்
recklessness	disgust	0.461	பொறுப்பற்ற தன்மை
stigma	disgust	0.453	களங்கம்
disparage	disgust	0.453	இழிவு
unthinkable	disgust	0.453	சிந்திக்க முடியாதது
disingenuous	disgust	0.453	நேர்மையற்ற
bane	disgust	0.453	தடை
dishonest	disgust	0.453	நேர்மையற்ற
aphid	disgust	0.453	அசுவினி
elimination	disgust	0.453	நீக்குதல்
cur	disgust	0.453	கர்
selfish	disgust	0.453	சுயநலவாதி
eschew	disgust	0.453	தவிர்க்கவும்
dire	disgust	0.453	பயங்கரமான
indignation	disgust	0.453	கோபம்
antipathy	disgust	0.453	விரோதம்
alienate	disgust	0.453	அந்நியப்படுத்த
mosquito	disgust	0.445	கொசு
piles	disgust	0.445	மூலவியாதி
pious	disgust	0.445	பக்திமான்
lie	disgust	0.445	பொய்
opium	disgust	0.445	அபின்
smell	disgust	0.445	வாசனை
iniquity	disgust	0.445	அக்கிரமம்
caries	disgust	0.445	பூச்சிகள்
despair	disgust	0.445	விரக்தி
recalcitrant	disgust	0.445	மறுப்பவர்
egotistical	disgust	0.445	அகங்காரமான
wasted	disgust	0.445	வீணானது
vacuous	disgust	0.445	வெற்றிடமான
bankruptcy	disgust	0.445	திவால்
garish	disgust	0.445	அலங்காரமான
obnoxious	disgust	0.438	அருவருப்பான
ashamed	disgust	0.438	வெட்கப்பட்டான்
abject	disgust	0.438	கீழ்த்தரமான
sticky	disgust	0.438	ஒட்டும்
scream	disgust	0.438	அலறல்
hopelessness	disgust	0.438	நம்பிக்கையின்மை
homeless	disgust	0.438	வீடற்ற
shun	disgust	0.438	தவிர்க்கவும்
inmate	disgust	0.438	கைதி
alien	disgust	0.438	அன்னிய
hog	disgust	0.438	பன்றி
aversion	disgust	0.438	வெறுப்பு
abnormal	disgust	0.438	அசாதாரணமான
cursing	disgust	0.430	சபிப்பது
undesirable	disgust	0.430	விரும்பத்தகாத
denounce	disgust	0.430	கண்டிக்கிறார்கள்
witch	disgust	0.430	சூனியக்காரி
creature	disgust	0.430	உயிரினம்
lusty	disgust	0.430	காமம்
illegal	disgust	0.430	சட்டவிரோதமானது
debris	disgust	0.430	குப்பைகள்
callous	disgust	0.430	இரக்கமற்ற
reflux	disgust	0.430	ரிஃப்ளக்ஸ்
adverse	disgust	0.430	பாதகமான
shameless	disgust	0.430	வெட்கமற்ற
separatist	disgust	0.430	பிரிவினைவாதி
trickery	disgust	0.430	தந்திரம்
falsity	disgust	0.430	பொய்மை
pall	disgust	0.430	மங்கல்
defiance	disgust	0.430	எதிர்ப்பு
incredulous	disgust	0.430	நம்பமுடியாத
curse	disgust	0.430	சாபம்
pompous	disgust	0.422	ஆடம்பரமான
socialist	disgust	0.422	சோசலிஸ்ட்
mistrust	disgust	0.422	அவநம்பிக்கை
infantile	disgust	0.422	கைக்குழந்தை
wasting	disgust	0.422	வீணாகிறது
hairy	disgust	0.422	முடிகள் நிறைந்த
nicotine	disgust	0.422	நிகோடின்
denunciation	disgust	0.422	கண்டனம்
collapse	disgust	0.422	சரிவு
untidy	disgust	0.422	அசுத்தமான
ferocious	disgust	0.422	மூர்க்கமான
ammonia	disgust	0.422	அம்மோனியா
carelessness	disgust	0.422	கவனக்குறைவு
impure	disgust	0.422	தூய்மையற்ற
contentious	disgust	0.422	சர்ச்சைக்குரிய
bum	disgust	0.422	பம்
affront	disgust	0.422	அவமதிப்பு
offend	disgust	0.422	உள்ளத்தை புண்படுத்து
tarnish	disgust	0.422	களங்கப்படுத்து
idiotic	disgust	0.422	முட்டாள்
badness	disgust	0.422	கெட்டது
delinquent	disgust	0.422	குற்றமற்ற
swarm	disgust	0.422	திரள்
hypertrophy	disgust	0.422	அதிவிரைவு
gush	disgust	0.422	பொழிவு
tasteless	disgust	0.422	சுவையற்ற
bovine	disgust	0.422	பசு மாடு
slush	disgust	0.422	சேறு
litigious	disgust	0.414	வழக்குக்குரிய
dishonesty	disgust	0.414	நேர்மையின்மை
vegetative	disgust	0.414	தாவரவகை
unfavorable	disgust	0.414	சாதகமற்ற
displacency	disgust	0.414	இடப்பெயர்ச்சி
illegitimate	disgust	0.414	முறைகேடான
sour	disgust	0.414	புளிப்பான
socialism	disgust	0.414	சோசலிசம்
disobey	disgust	0.414	கீழ்ப்படியவில்லை
drivel	disgust	0.414	ஓட்டு
vampire	disgust	0.414	காட்டேரி
neglected	disgust	0.414	புறக்கணிக்கப்பட்டது
murky	disgust	0.414	இருண்ட
ignorant	disgust	0.406	அறியாமை
disgruntled	disgust	0.406	அதிருப்தி
discontinuity	disgust	0.406	தொடர்ச்சியின்மை
dislike	disgust	0.406	வெறுப்பு
unlawful	disgust	0.406	சட்டவிரோதமானது
wrongdoing	disgust	0.406	தவறு
shoplifting	disgust	0.406	கடையில் திருட்டு
recidivism	disgust	0.406	மறுபரிசீலனை
outcast	disgust	0.406	புறக்கணிக்கப்பட்ட
bogus	disgust	0.406	போலி
displeasure	disgust	0.406	அதிருப்தி
repel	disgust	0.406	விரட்டு
falsify	disgust	0.406	பொய்யாக்கு
ungrateful	disgust	0.406	நன்றியற்ற
unkind	disgust	0.406	இரக்கமற்ற
phony	disgust	0.406	போலியான
prosecution	disgust	0.406	வழக்கு
woe	disgust	0.398	ஐயோ
averse	disgust	0.398	வெறுப்பு
loon	disgust	0.398	லூன்
worsening	disgust	0.398	மோசமாகிறது
paucity	disgust	0.398	பற்றாக்குறை
unnatural	disgust	0.398	இயற்கைக்கு மாறான
amphetamines	disgust	0.398	ஆம்பெடமைன்கள்
senseless	disgust	0.398	உணர்வற்ற
rigor	disgust	0.398	கடுமை
subvert	disgust	0.398	அடிபணியச் செய்
failure	disgust	0.398	தோல்வி
lick	disgust	0.398	சுவைக்க
unruly	disgust	0.398	கட்டுக்கடங்காத
woefully	disgust	0.398	பரிதாபமாக
stingy	disgust	0.398	கஞ்சன்
crushing	disgust	0.398	நசுக்குகிறது
disdain	disgust	0.398	அலட்சியம்
insult	disgust	0.393	அவமதிப்பு
averseness	disgust	0.391	வெறுப்பு
disrelish	disgust	0.391	வெறுப்பின்றி
punished	disgust	0.391	தண்டிக்கப்பட்டது
critter	disgust	0.391	விலங்கு
damage	disgust	0.391	சேதம்
scorpion	disgust	0.391	தேள்
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	மஃப்
farcical	disgust	0.391	கேலிக்குரிய
antisocial	disgust	0.391	சமூக விரோதி
hardened	disgust	0.391	கடினமாக்கப்பட்டது
punishment	disgust	0.391	தண்டனை
bad	disgust	0.391	மோசமான
expel	disgust	0.391	வெளியேற்று
surly	disgust	0.383	அசுரத்தனமான
lament	disgust	0.383	புலம்புகின்றனர்
illiterate	disgust	0.383	படிப்பறிவில்லாத
divorce	disgust	0.383	விவாகரத்து
teeming	disgust	0.383	திரளும்
plagiarism	disgust	0.383	திருட்டு
eviction	disgust	0.383	வெளியேற்றம்
orc	disgust	0.383	orc
disappoint	disgust	0.383	ஏமாற்றம்
shabby	disgust	0.383	இழிவான
presumptuous	disgust	0.383	ஆணவமான
anaconda	disgust	0.383	அனகோண்டா
discord	disgust	0.383	முரண்பாடு
guilt	disgust	0.383	குற்ற உணர்வு
fugitive	disgust	0.383	தப்பியோடிய
irrational	disgust	0.383	பகுத்தறிவற்ற
adder	disgust	0.383	சேர்ப்பான்
fulsome	disgust	0.383	நிறைவான
sacrifices	disgust	0.383	தியாகங்கள்
hypocritical	disgust	0.383	பாசாங்குத்தனமான
shock	disgust	0.375	அதிர்ச்சி
alienation	disgust	0.375	அந்நியப்படுதல்
scoff	disgust	0.375	கிண்டல்
plight	disgust	0.375	அவல நிலை
irritation	disgust	0.375	எரிச்சல்
unworthy	disgust	0.375	தகுதியற்றது
misconduct	disgust	0.375	தவறான நடத்தை
defective	disgust	0.375	குறைபாடுள்ள
blame	disgust	0.375	பழி
depressing	disgust	0.375	மனச்சோர்வு
dislocated	disgust	0.375	இடப்பெயர்ச்சி
irritating	disgust	0.375	எரிச்சலூட்டும்
vainly	disgust	0.367	வீண்
toad	disgust	0.367	தேரை
powerless	disgust	0.367	சக்தியற்ற
coerce	disgust	0.367	வற்புறுத்துதல்
shuddering	disgust	0.367	நடுங்குகிறது
stripped	disgust	0.367	கழற்றப்பட்டது
revoke	disgust	0.367	திரும்பப் பெறு
wimpy	disgust	0.367	விம்பி
unhealthy	disgust	0.367	ஆரோக்கியமற்ற
exclusion	disgust	0.367	விலக்குதல்
disillusionment	disgust	0.367	ஏமாற்றம்
blatant	disgust	0.367	அப்பட்டமான
hurtful	disgust	0.367	புண்படுத்தும்
hoax	disgust	0.367	புரளி
wimp	disgust	0.367	பலவீனமானவன்
cad	disgust	0.367	கேட்
pitfall	disgust	0.367	பள்ளம்
squelch	disgust	0.367	squelch
deserted	disgust	0.359	வெறிச்சோடியது
damn	disgust	0.359	அடடா
incompatible	disgust	0.359	பொருந்தாத
dispose	disgust	0.359	அப்புறப்படுத்து
oddity	disgust	0.359	விந்தை
rebellion	disgust	0.359	கிளர்ச்சி
ineptitude	disgust	0.359	திறமையின்மை
bug	disgust	0.359	பிழை
disobedience	disgust	0.359	கீழ்ப்படியாமை
inept	disgust	0.352	தகுதியற்ற
litigate	disgust	0.352	வழக்காடு
dismissal	disgust	0.352	பணிநீக்கம்
cutting	disgust	0.352	வெட்டுதல்
untoward	disgust	0.352	விரும்பத்தகாத
displeased	disgust	0.352	அதிருப்தி
censor	disgust	0.352	தணிக்கை
ridiculous	disgust	0.352	அபத்தமானது
compost	disgust	0.352	உரம்
frustrate	disgust	0.352	ஏமாற்றம்
misbehavior	disgust	0.352	தவறான நடத்தை
lawyer	disgust	0.352	வழக்கறிஞர்
crushed	disgust	0.352	நசுக்கப்பட்டது
flesh	disgust	0.352	சதை
uncertain	disgust	0.352	நிச்சயமற்ற
obi	disgust	0.352	ஓபி
flinch	disgust	0.352	படபடப்பு
fierce	disgust	0.352	கடுமையான
wrongful	disgust	0.352	தவறான
depreciate	disgust	0.344	தேய்மானம்
disapprove	disgust	0.344	ஏற்கவில்லை
tearful	disgust	0.344	கண்ணீர்
grumble	disgust	0.336	முணுமுணுக்கவும்
unsettled	disgust	0.336	அமைதியற்ற
annoy	disgust	0.336	எரிச்சலூட்டு
exigent	disgust	0.336	தேவையான
heartsick	disgust	0.336	இதயநோய்
lawsuit	disgust	0.336	வழக்கு
discoloration	disgust	0.336	நிறமாற்றம்
lumpy	disgust	0.336	கட்டியான
daft	disgust	0.336	தட்டை
blunder	disgust	0.336	தவறு
discontent	disgust	0.336	அதிருப்தி
bickering	disgust	0.336	சச்சரவு
thoughtless	disgust	0.336	சிந்தனையற்ற
disliked	disgust	0.336	பிடிக்கவில்லை
disinclination	disgust	0.336	விருப்பமின்மை
distrust	disgust	0.336	அவநம்பிக்கை
disallowed	disgust	0.336	அனுமதிக்கப்படவில்லை
instability	disgust	0.328	உறுதியற்ற தன்மை
hydrophobia	disgust	0.328	ஹைட்ரோபோபியா
whine	disgust	0.328	சிணுங்க
inhibit	disgust	0.328	தடுக்கின்றன
excluded	disgust	0.328	விலக்கப்பட்டது
provoking	disgust	0.328	தூண்டும்
grievance	disgust	0.328	மனக்குறை
unmanageable	disgust	0.328	கையாள முடியாத
sly	disgust	0.328	தந்திரமான
exasperation	disgust	0.328	எரிச்சல்
cacophony	disgust	0.328	ககோபோனி
unsatisfactory	disgust	0.328	திருப்தியற்ற
disappointed	disgust	0.328	ஏமாற்றம்
materialist	disgust	0.328	பொருள்முதல்வாதி
misleading	disgust	0.321	தவறாக வழிநடத்தும்
mishap	disgust	0.320	விபத்து
soot	disgust	0.320	சூட்
humbug	disgust	0.320	ஹம்பக்
disclaim	disgust	0.320	மறுப்பு
annoyance	disgust	0.320	எரிச்சல்
disapproving	disgust	0.320	ஏற்காதது
disservice	disgust	0.320	அவமதிப்பு
reproach	disgust	0.320	பழிச்சொல்
confined	disgust	0.320	கட்டுப்படுத்தப்பட்டது
unequal	disgust	0.320	சமமற்ற
rags	disgust	0.320	கந்தல்கள்
groan	disgust	0.320	கூக்குரல்
soil	disgust	0.312	மண்
inappropriate	disgust	0.312	பொருத்தமற்ற
criticize	disgust	0.312	விமர்சிக்கிறார்கள்
disincline	disgust	0.312	விருப்பமின்மை
theism	disgust	0.312	இறையச்சம்
depreciated	disgust	0.312	தேய்மானம்
inconsiderate	disgust	0.312	கருத்தில் கொள்ளாத
overpriced	disgust	0.312	அதிக விலை
stomach	disgust	0.312	வயிறு
burke	disgust	0.312	பர்க்
sneeze	disgust	0.312	தும்மல்
gall	disgust	0.305	பித்தப்பை
bang	disgust	0.305	களமிறங்கினார்
inadmissible	disgust	0.305	அனுமதிக்க முடியாதது
unfriendly	disgust	0.305	நட்பற்ற
unaccountable	disgust	0.305	கணக்கிட முடியாத
disparity	disgust	0.305	ஏற்றத்தாழ்வு
latent	disgust	0.305	உள்ளுறை
disliking	disgust	0.305	பிடிக்காதது
shack	disgust	0.305	குடிசை
grumpy	disgust	0.305	எரிச்சலான
coop	disgust	0.304	கூட்டுறவு
disappointment	disgust	0.297	ஏமாற்றம்
scold	disgust	0.297	திட்டு
delay	disgust	0.297	தாமதம்
congress	disgust	0.297	காங்கிரஸ்
growling	disgust	0.297	உறுமுகிறது
backwards	disgust	0.297	பின்னோக்கி
soreness	disgust	0.297	புண்
disregarded	disgust	0.297	புறக்கணிக்கப்பட்டது
rogue	disgust	0.297	முரட்டுத்தனமான
lonely	disgust	0.297	தனிமை
notoriety	disgust	0.289	புகழ்
catechism	disgust	0.289	கேடிசிசம்
flop	disgust	0.289	தோல்வி
infamous	disgust	0.289	இழிவான
janitor	disgust	0.289	காவலாளி
nettle	disgust	0.289	தொட்டால் எரிச்சலூட்டுகிற ஒருவகை செடி
saturated	disgust	0.281	நிறைவுற்றது
prohibited	disgust	0.281	தடைசெய்யப்பட்டது
gaby	disgust	0.281	கேபி
wince	disgust	0.281	சிணுங்குகிறது
desist	disgust	0.281	விலக்கு
unfair	disgust	0.281	நியாயமற்ற
aftermath	disgust	0.281	பின்விளைவு
remiss	disgust	0.281	குறை
tribunal	disgust	0.273	தீர்ப்பாயம்
discolored	disgust	0.273	நிறம் மாறியது
wrangling	disgust	0.273	சண்டையிடுதல்
uneasy	disgust	0.273	அமைதியற்ற
huff	disgust	0.273	ஒலி
weird	disgust	0.266	வித்தியாசமான
impolite	disgust	0.266	நாகரீகமற்ற
swig	disgust	0.266	ஸ்விக்
crawl	disgust	0.266	வலம்
unsatisfied	disgust	0.266	திருப்தியற்ற
inefficiency	disgust	0.266	திறமையின்மை
frantic	disgust	0.266	வெறித்தனமான
bureaucrat	disgust	0.266	அதிகாரத்துவவாதி
politic	disgust	0.266	அரசியல்
coldness	disgust	0.266	குளிர்ச்சி
gruff	disgust	0.258	முரட்டுத்தனமான
octopus	disgust	0.258	ஆக்டோபஸ்
chagrin	disgust	0.258	வருத்தம்
barrow	disgust	0.258	பரோட்டா
copycat	disgust	0.258	நக்கல்
incase	disgust	0.258	ஒரு வேளை
rascal	disgust	0.258	அயோக்கியன்
sarcasm	disgust	0.258	கிண்டல்
instinctive	disgust	0.258	உள்ளுணர்வு
misconception	disgust	0.250	தவறான கருத்து
disinclined	disgust	0.250	விருப்பமின்மை
john	disgust	0.250	ஜான்
hulk	disgust	0.250	ஹல்க்
baboon	disgust	0.250	பபூன்
shanghai	disgust	0.250	ஷாங்காய்
cupping	disgust	0.250	கப்பிங்
lose	disgust	0.250	இழக்க
rook	disgust	0.242	கொக்கு
entangled	disgust	0.242	சிக்கிக்கொண்டது
gratuitous	disgust	0.242	இலவசம்
scrub	disgust	0.242	ஸ்க்ரப்
opponent	disgust	0.242	எதிர்ப்பாளர்
tariff	disgust	0.242	கட்டணம்
questionable	disgust	0.234	கேள்விக்குரியது
prolong	disgust	0.234	நீடிக்க
reluctance	disgust	0.234	தயக்கம்
lagging	disgust	0.234	பின்தங்கிய
misstatement	disgust	0.234	தவறான அறிக்கை
resign	disgust	0.234	ராஜினாமா
unlucky	disgust	0.234	துரதிர்ஷ்டவசமான
backwardness	disgust	0.234	பின்தங்கிய நிலை
ineffectual	disgust	0.227	பயனற்றது
disqualified	disgust	0.227	தகுதியற்றவர்
subsidy	disgust	0.227	மானியம்
reversal	disgust	0.227	தலைகீழ்
default	disgust	0.227	இயல்புநிலை
fussy	disgust	0.227	வம்பு
unpopular	disgust	0.227	பிரபலமற்ற
petroleum	disgust	0.219	பெட்ரோலியம்
intense	disgust	0.219	தீவிரமான
evade	disgust	0.219	தவிர்க்க
frowning	disgust	0.219	முகம் சுளிக்கிறது
weight	disgust	0.219	எடை
dame	disgust	0.219	டேம்
donkey	disgust	0.211	கழுதை
actionable	disgust	0.211	செயல்படக்கூடியது
tawny	disgust	0.211	பளபளப்பான
unhappy	disgust	0.211	மகிழ்ச்சியற்ற
dandy	disgust	0.203	சிறந்த
birch	disgust	0.203	பிர்ச்
speck	disgust	0.203	புள்ளி
hood	disgust	0.203	பேட்டை
owing	disgust	0.203	கடன்பட்டுள்ளது
desert	disgust	0.203	பாலைவனம்
