English Word	Emotion	Emotion-Intensity-Score	Mongolian Word
mail	anticipation	0.461	шуудан
unexpected	anticipation	0.453	гэнэтийн
basketball	anticipation	0.453	сагсан бөмбөг
inaugural	anticipation	0.453	нээлт
supremacy	anticipation	0.453	давамгайлал
rehabilitation	anticipation	0.453	нөхөн сэргээх
intimately	anticipation	0.453	дотно
career	anticipation	0.453	карьер
prevention	anticipation	0.453	урьдчилан сэргийлэх
renovate	anticipation	0.453	шинэчлэх
compliment	anticipation	0.453	магтаал
prologue	anticipation	0.453	пролог
elegance	anticipation	0.453	дэгжин байдал
complement	anticipation	0.453	нэмэлт
flinch	anticipation	0.453	цочирдох
infinity	anticipation	0.453	хязгааргүй
perpetuity	anticipation	0.453	үүрд мөнх
sunset	anticipation	0.453	нар жаргах
improve	anticipation	0.453	сайжруулах
fitting	anticipation	0.445	тохирох
confidence	anticipation	0.445	итгэл
concealment	anticipation	0.445	далдлах
sweet	anticipation	0.445	чихэрлэг
perfect	anticipation	0.445	төгс
epidemic	anticipation	0.445	халдвар дэгдэлт
fain	anticipation	0.445	сул
volunteer	anticipation	0.445	сайн дурын ажилтан
share	anticipation	0.445	хуваалцах
surround	anticipation	0.445	хүрээлэх
conjecture	anticipation	0.445	таамаг
sun	anticipation	0.445	нар
veracity	anticipation	0.445	үнэн зөв байдал
serial	anticipation	0.438	цуврал
angel	anticipation	0.438	сахиусан тэнгэр
aloha	anticipation	0.438	сайн уу
saint	anticipation	0.438	гэгээнтэн
tickle	anticipation	0.438	гижиг
superstitious	anticipation	0.438	мухар сүсэгтэй
ferment	anticipation	0.438	исгэх
conservation	anticipation	0.438	хамгаалал
devout	anticipation	0.438	сүсэгтэн
respect	anticipation	0.438	хүндэтгэх
reconstruction	anticipation	0.438	сэргээн босголт
goodness	anticipation	0.438	сайн сайхан
reconstruct	anticipation	0.438	сэргээн босгох
faith	anticipation	0.438	итгэл
recombination	anticipation	0.438	дахин нэгтгэх
prepared	anticipation	0.438	бэлтгэсэн
rabid	anticipation	0.438	галзуу
plea	anticipation	0.438	гуйх
medical	anticipation	0.438	эмнэлгийн
passenger	anticipation	0.438	зорчигч
charitable	anticipation	0.430	буяны
tabulate	anticipation	0.430	хүснэгтлэх
peace	anticipation	0.430	амар амгалан
install	anticipation	0.430	суулгах
serenity	anticipation	0.430	тайван байдал
venerable	anticipation	0.430	эрхэмсэг
spa	anticipation	0.430	рашаан сувилал
labyrinth	anticipation	0.430	лабиринт
luscious	anticipation	0.430	амттай
perpetuate	anticipation	0.430	мөнхжүүлэх
strategist	anticipation	0.430	стратегич
unverified	anticipation	0.430	баталгаажуулаагүй
tribunal	anticipation	0.430	шүүх
clap	anticipation	0.430	алга таших
peaceful	anticipation	0.422	тайван
patience	anticipation	0.422	тэвчээр
unresolved	anticipation	0.422	шийдэгдээгүй
worship	anticipation	0.422	шүтэх
edification	anticipation	0.422	боловсрол
oasis	anticipation	0.422	баян бүрд
grin	anticipation	0.422	инээх
revere	anticipation	0.422	хүндэлдэг
candid	anticipation	0.422	илэн далангүй
vista	anticipation	0.422	Vista
conspirator	anticipation	0.422	хуйвалдаан
adrift	anticipation	0.422	зөрөх
recognizable	anticipation	0.422	танигдах боломжтой
volatility	anticipation	0.422	тогтворгүй байдал
forestall	anticipation	0.422	урьдчилан сэргийлэх
laughter	anticipation	0.422	инээд
continue	anticipation	0.414	үргэлжлүүл
ongoing	anticipation	0.414	үргэлжилж байна
astrologer	anticipation	0.414	зурхайч
mediate	anticipation	0.414	зуучлах
punctual	anticipation	0.414	цаг баримталдаг
grant	anticipation	0.414	тэтгэлэг
morn	anticipation	0.414	өглөө
pretty	anticipation	0.414	хөөрхөн
withstand	anticipation	0.414	тэсвэрлэх
frisky	anticipation	0.414	ширүүн
thought	anticipation	0.414	бодлоо
probation	anticipation	0.414	туршилт
ordination	anticipation	0.414	томилолт
calls	anticipation	0.414	дуудлага
detainee	anticipation	0.414	хоригдол
craps	anticipation	0.414	хов жив
weigh	anticipation	0.414	жинлэх
proficiency	anticipation	0.414	ур чадвар
sing	anticipation	0.411	дуулах
continuation	anticipation	0.406	үргэлжлэл
university	anticipation	0.406	их сургууль
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	хүмүүжүүлэх
mother	anticipation	0.406	ээж
punished	anticipation	0.406	шийтгэгдсэн
twinkle	anticipation	0.406	гялалзах
confession	anticipation	0.406	гэм буруугаа хүлээх
outdo	anticipation	0.406	давсан
prophylactic	anticipation	0.406	урьдчилан сэргийлэх
proud	anticipation	0.406	бахархаж байна
midwife	anticipation	0.406	эх баригч
wizard	anticipation	0.406	шидтэн
headlight	anticipation	0.406	гэрэл
long	anticipation	0.406	урт
banquet	anticipation	0.406	хүлээн авалт
comfort	anticipation	0.406	тав тухтай
navigable	anticipation	0.406	навигаци хийх боломжтой
subscribe	anticipation	0.406	бүртгүүлэх
opponent	anticipation	0.406	өрсөлдөгч
debenture	anticipation	0.406	өрийн бичиг
deal	anticipation	0.402	гэрээ
symphony	anticipation	0.398	симфони
saintly	anticipation	0.398	гэгээнтэн
judiciary	anticipation	0.398	шүүх эрх мэдэл
lettered	anticipation	0.398	үсэгтэй
vigil	anticipation	0.398	сонор сэрэмж
reliance	anticipation	0.398	найдлага
distracting	anticipation	0.398	анхаарал сарниулах
mortification	anticipation	0.398	хорсол
balm	anticipation	0.398	бальзам
simmer	anticipation	0.398	буцалгана
top	anticipation	0.398	дээд
obliging	anticipation	0.398	үүрэг хариуцлага
efficient	anticipation	0.398	үр ашигтай
guillotine	anticipation	0.398	гильотин
representing	anticipation	0.398	төлөөлж байна
death	anticipation	0.398	үхэл
assurance	anticipation	0.391	баталгаа
familiarity	anticipation	0.391	танил тал
depraved	anticipation	0.391	завхарсан
condemnation	anticipation	0.391	зэмлэл
undoubted	anticipation	0.391	эргэлзээгүй
sanctify	anticipation	0.391	ариусгах
diplomacy	anticipation	0.391	дипломат ажиллагаа
antidote	anticipation	0.391	эсрэг эм
trust	anticipation	0.391	итгэл
linger	anticipation	0.391	саатах
objective	anticipation	0.391	зорилго
chuckle	anticipation	0.391	инээх
poke	anticipation	0.391	нудрах
abeyance	anticipation	0.391	завсарлага
maternal	anticipation	0.391	эхийн
art	anticipation	0.391	урлаг
unfulfilled	anticipation	0.391	биелэгдээгүй
inoculation	anticipation	0.384	тарих
simplify	anticipation	0.383	хялбарчлах
depend	anticipation	0.383	хамааралтай
chant	anticipation	0.383	дуулах
ram	anticipation	0.383	хуц
banger	anticipation	0.383	бангер
playground	anticipation	0.383	тоглоомын талбай
labor	anticipation	0.383	хөдөлмөр
scientist	anticipation	0.383	эрдэмтэн
good	anticipation	0.383	сайн
humanitarian	anticipation	0.383	хүмүүнлэгийн
failing	anticipation	0.383	бүтэлгүйтсэн
hap	anticipation	0.383	хап
dutiful	anticipation	0.383	хариуцлагатай
hymn	anticipation	0.383	дуулал
ship	anticipation	0.383	хөлөг онгоц
discretion	anticipation	0.383	үзэмж
undecided	anticipation	0.383	шийдэгдээгүй
gradual	anticipation	0.375	аажмаар
navigator	anticipation	0.375	навигатор
track	anticipation	0.375	мөр
cradle	anticipation	0.375	өлгий
sterling	anticipation	0.375	стерлинг
interim	anticipation	0.375	түр зуурын
clock	anticipation	0.375	цаг
mountain	anticipation	0.375	уул
interminable	anticipation	0.375	эцэс төгсгөлгүй
public	anticipation	0.375	олон нийтийн
recurrent	anticipation	0.375	давтагдах
savor	anticipation	0.375	амтлах
abide	anticipation	0.367	дагах
concealed	anticipation	0.367	далдлагдсан
spear	anticipation	0.367	жад
lesson	anticipation	0.367	хичээл
instructions	anticipation	0.367	зааварчилгаа
sonar	anticipation	0.367	сонар
biennial	anticipation	0.367	хоёр наст
convince	anticipation	0.367	итгүүлэх
whim	anticipation	0.367	хүсэл
shiver	anticipation	0.367	чичрэх
towering	anticipation	0.367	өндөрт өргөгдсөн
musical	anticipation	0.367	мюзикл
offset	anticipation	0.359	офсет
theory	anticipation	0.359	онол
theology	anticipation	0.359	теологи
undying	anticipation	0.359	мөнх бус
timidity	anticipation	0.359	аймхай байдал
plump	anticipation	0.359	махлаг
atone	anticipation	0.359	цагаатгах
audience	anticipation	0.357	үзэгчид
dietary	anticipation	0.352	хоолны дэглэм
consecration	anticipation	0.352	ариусгал
localize	anticipation	0.352	нутагшуулах
paragon	anticipation	0.352	үлгэр жишээ
store	anticipation	0.352	дэлгүүр
farm	anticipation	0.352	ферм
daily	anticipation	0.352	өдөр бүр
cramp	anticipation	0.352	базлалт
nobility	anticipation	0.352	язгууртан
closure	anticipation	0.352	хаалт
edition	anticipation	0.352	хэвлэл
kindred	anticipation	0.352	төрөл төрөгсөд
stripped	anticipation	0.344	хуулагдсан
errand	anticipation	0.344	даалгавар
archaeology	anticipation	0.344	археологи
mutable	anticipation	0.344	хувирамтгай
wireless	anticipation	0.344	утасгүй
meditate	anticipation	0.344	бясалгах
mobile	anticipation	0.344	гар утас
germ	anticipation	0.336	үр хөврөл
brotherly	anticipation	0.336	ах дүү
lessen	anticipation	0.336	багасгах
unbeaten	anticipation	0.336	хожигдоогүй
pare	anticipation	0.336	паре
buddy	anticipation	0.336	найз
unaccountable	anticipation	0.336	хариуцлагагүй
dove	anticipation	0.328	тагтаа
patient	anticipation	0.328	тэвчээртэй
secular	anticipation	0.328	шашингүй
digress	anticipation	0.328	ухрах
chastity	anticipation	0.328	ариун явдал
council	anticipation	0.328	зөвлөл
olfactory	anticipation	0.328	үнэрлэх
ribbon	anticipation	0.328	тууз
possess	anticipation	0.328	эзэмших
disposed	anticipation	0.320	устгасан
scrutinize	anticipation	0.320	нягталж үзэх
immature	anticipation	0.320	төлөвшөөгүй
mediator	anticipation	0.320	зуучлагч
regularity	anticipation	0.320	тогтмол байдал
cove	anticipation	0.320	булан
infanticide	anticipation	0.320	нярайн аллага
paddle	anticipation	0.320	сэлүүрт
heft	anticipation	0.320	хүнд
fancy	anticipation	0.320	сонирхолтой
preservative	anticipation	0.320	хадгалах бодис
unpublished	anticipation	0.312	хэвлэгдээгүй
church	anticipation	0.312	сүм
bugle	anticipation	0.312	хормой
grim	anticipation	0.312	баргар
denying	anticipation	0.312	үгүйсгэж байна
analyst	anticipation	0.312	шинжээч
judicial	anticipation	0.305	шүүх
priesthood	anticipation	0.305	санваартан
broadside	anticipation	0.305	өргөн талдаа
mill	anticipation	0.305	тээрэм
dismay	anticipation	0.297	айдас
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	термопар
tributary	anticipation	0.297	цутгал
instructor	anticipation	0.297	багш
exhaustion	anticipation	0.297	ядрах
saliva	anticipation	0.297	шүлс
cataract	anticipation	0.289	катаракт
network	anticipation	0.289	сүлжээ
visor	anticipation	0.289	халхавч
shackle	anticipation	0.289	дөнгө
wont	anticipation	0.289	болохгүй
addresses	anticipation	0.289	хаягууд
discreet	anticipation	0.289	болгоомжтой
noncompliance	anticipation	0.289	үл нийцэх
bruise	anticipation	0.289	хөхөрсөн
homeless	anticipation	0.289	орон гэргүй
astronomer	anticipation	0.281	одон орон судлаач
skewed	anticipation	0.281	хазайсан
neighbor	anticipation	0.281	хөрш
holiness	anticipation	0.273	ариун байдал
devil	anticipation	0.273	чөтгөр
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	өгүүлбэр
latent	anticipation	0.273	далд
cream	anticipation	0.273	цөцгий
immaturity	anticipation	0.273	төлөвшөөгүй байдал
habitual	anticipation	0.266	зуршилтай
morals	anticipation	0.266	ёс суртахуун
neighborhood	anticipation	0.266	хөрш
lull	anticipation	0.266	нам гүм
bye	anticipation	0.258	баяртай
weight	anticipation	0.258	жин
organ	anticipation	0.250	эрхтэн
clown	anticipation	0.250	алиалагч
forearm	anticipation	0.250	шуу
commonplace	anticipation	0.242	энгийн зүйл
quote	anticipation	0.242	иш татах
rail	anticipation	0.234	төмөр зам
dictatorship	anticipation	0.234	дарангуйлал
treadmill	anticipation	0.234	гүйлтийн зам
board	anticipation	0.234	самбар
tree	anticipation	0.227	мод
sundial	anticipation	0.227	нарны цаг
paralysis	anticipation	0.211	саажилт
cement	anticipation	0.203	цемент
worm	anticipation	0.203	өт
organization	anticipation	0.203	байгууллага
lagging	anticipation	0.180	хоцрогдолтой
neutral	anticipation	0.148	төвийг сахисан
cannibalism	disgust	0.953	каннибализм
mutilation	disgust	0.930	зэрэмдэглэх
molestation	disgust	0.914	хүчирхийлэл
incest	disgust	0.914	цус ойртолт
rape	disgust	0.906	хүчиндэх
gonorrhea	disgust	0.906	заг хүйтэн
cannibal	disgust	0.898	хүн иддэг
rot	disgust	0.891	ялзрах
corpse	disgust	0.883	цогцос
massacre	disgust	0.883	аллага
excrement	disgust	0.883	ялгадас
barf	disgust	0.875	барф
slaughter	disgust	0.875	нядалгаа
slaughterhouse	disgust	0.867	нядалгааны газар
incestuous	disgust	0.859	цус ойртолт
sewerage	disgust	0.859	ариутгах татуурга
filth	disgust	0.859	бузар
bigot	disgust	0.859	том хүн
rancid	disgust	0.859	зэвүүн
infestation	disgust	0.852	халдвар
plague	disgust	0.852	тахал
holocaust	disgust	0.852	Холокост
bloodthirsty	disgust	0.852	цуст
rotting	disgust	0.844	ялзрах
fecal	disgust	0.844	ялгадас
maggot	disgust	0.844	шавхай
feces	disgust	0.844	ялгадас
murder	disgust	0.839	аллага
asshole	disgust	0.836	новш
homicide	disgust	0.836	аллага
enslaved	disgust	0.836	боолчлогдсон
infanticide	disgust	0.836	нярайн аллага
perverted	disgust	0.828	гажуудсан
excretion	disgust	0.828	ялгадас
gore	disgust	0.828	гор
slaughtering	disgust	0.828	нядалгаа
torture	disgust	0.828	эрүү шүүлт
contaminate	disgust	0.821	бохирдуулах
revolting	disgust	0.820	эсэргүүцсэн
gory	disgust	0.820	Гори
shit	disgust	0.820	новш
terrorist	disgust	0.820	террорист
murderer	disgust	0.820	алуурчин
repugnant	disgust	0.820	зэвүүн
manure	disgust	0.820	бууц
pervert	disgust	0.820	гажуудсан
diarrhoea	disgust	0.820	суулгалт
grotesque	disgust	0.820	гротеск
desecration	disgust	0.820	гутаан доромжлол
faeces	disgust	0.812	ялгадас
slavery	disgust	0.812	боолчлол
sewer	disgust	0.812	ариутгах татуурга
cadaver	disgust	0.812	цогцос
manslaughter	disgust	0.812	хүний аминд хүрсэн
dismemberment	disgust	0.812	задлах
vomit	disgust	0.812	бөөлжих
perverse	disgust	0.805	гажуудсан
repulsive	disgust	0.805	зэвүүн
hemorrhage	disgust	0.805	цус алдалт
sewage	disgust	0.797	бохир ус
filthy	disgust	0.797	бузар
diseased	disgust	0.797	өвчтэй
depravity	disgust	0.797	завхрал
carcass	disgust	0.795	гулууз
decompose	disgust	0.789	задрах
gruesome	disgust	0.789	аймшигтай
mutilated	disgust	0.789	зэрэмдэглэсэн
puke	disgust	0.789	бөөлжих
herpes	disgust	0.789	герпес
decayed	disgust	0.789	ялзарсан
dung	disgust	0.789	аргал
vermin	disgust	0.789	хортон шавьж
murderous	disgust	0.789	алуурчин
parasite	disgust	0.789	шимэгч
horrific	disgust	0.789	аймшигтай
carnage	disgust	0.781	аллага
malaria	disgust	0.781	хумхаа
slime	disgust	0.781	нялцгай биет
flatulence	disgust	0.781	хий үүсэх
pestilence	disgust	0.781	тахал
crap	disgust	0.781	новш
monstrosity	disgust	0.781	аймшигт байдал
loathsome	disgust	0.773	зэвүүн
toxic	disgust	0.773	хортой
morgue	disgust	0.773	морг
pus	disgust	0.773	идээ
herpesvirus	disgust	0.773	герпес вирус
leprosy	disgust	0.773	уяман өвчин
insidious	disgust	0.773	зальтай
cruel	disgust	0.766	хэрцгий
regurgitation	disgust	0.766	регургитаци
anthrax	disgust	0.766	боом өвчин
xenophobia	disgust	0.766	гадаад үзэмж
repugnance	disgust	0.766	зэвүүцэл
lynch	disgust	0.766	Линч
revulsion	disgust	0.766	дургүйцэл
whore	disgust	0.766	янхан
dissection	disgust	0.759	задлах
mucous	disgust	0.758	салст
canker	disgust	0.758	хорт хавдар
slum	disgust	0.758	ядуусын хороолол
infectious	disgust	0.758	халдварт
evil	disgust	0.758	хорон муу
phlegm	disgust	0.758	цэр
cruelty	disgust	0.758	харгислал
perversion	disgust	0.758	гажуудал
sinister	disgust	0.750	харгис
leeches	disgust	0.750	хануур хорхой
corrupting	disgust	0.750	авилга
decomposition	disgust	0.750	задрал
abomination	disgust	0.742	жигшүүрт зүйл
stinking	disgust	0.742	өмхий
bile	disgust	0.742	цөс
demonic	disgust	0.742	чөтгөр
deranged	disgust	0.742	ухаан алдсан
abhorrence	disgust	0.742	жигшил
soiled	disgust	0.742	бохирдсон
mucus	disgust	0.742	салиа
septic	disgust	0.742	септик
sickening	disgust	0.742	өвдөж байна
demon	disgust	0.742	чөтгөр
cancer	disgust	0.734	хорт хавдар
obese	disgust	0.734	таргалалт
degeneracy	disgust	0.734	доройтол
despicable	disgust	0.734	жигшүүртэй
atrocity	disgust	0.734	харгислал
foul	disgust	0.734	бүдүүлэг
sicken	disgust	0.734	өвчтэй
crucifixion	disgust	0.734	цовдлолт
terrorism	disgust	0.734	терроризм
repulsion	disgust	0.727	түлхэлт
morbidity	disgust	0.727	өвчлөл
dysentery	disgust	0.727	цусан суулга
enema	disgust	0.727	бургуй
bacterium	disgust	0.727	бактери
dirty	disgust	0.727	бохир
adultery	disgust	0.727	завхайрал
contamination	disgust	0.727	бохирдол
grisly	disgust	0.727	аймшигтай
diabolical	disgust	0.727	диаболизм
autopsy	disgust	0.719	задлан шинжилгээ
barbaric	disgust	0.719	зэрлэг
vulgar	disgust	0.719	бүдүүлэг
entrails	disgust	0.719	гэдэс
disgust	disgust	0.719	зэвүүцэл
lewd	disgust	0.719	завхай
muck	disgust	0.719	бузар
bowels	disgust	0.719	гэдэс
garbage	disgust	0.719	хог
deterioration	disgust	0.719	муудах
contagion	disgust	0.719	халдвар
vicious	disgust	0.719	харгис
disfigured	disgust	0.719	гажигтай
pungent	disgust	0.719	хурц
gross	disgust	0.719	бүдүүлэг
bloodshed	disgust	0.714	цус урсгасан
gag	disgust	0.711	гаг
pollute	disgust	0.711	бохирдуулах
nausea	disgust	0.711	дотор муухайрах
tyrant	disgust	0.711	дарангуйлагч
wretched	disgust	0.711	хөөрхий
mortification	disgust	0.711	хорсол
violent	disgust	0.711	хүчирхийлэлтэй
poisoned	disgust	0.711	хордсон
nauseate	disgust	0.703	дотор муухайрах
slimy	disgust	0.703	нялцгай
grope	disgust	0.703	тэмтрэх
slut	disgust	0.703	завхай
nasty	disgust	0.703	муухай
disgusting	disgust	0.703	жигшүүртэй
depraved	disgust	0.703	завхарсан
porn	disgust	0.703	порно
hateful	disgust	0.703	үзэн ядсан
vulgarity	disgust	0.703	бүдүүлэг байдал
noxious	disgust	0.703	хортой
grime	disgust	0.703	бохир
constipation	disgust	0.703	өтгөн хатах
secretion	disgust	0.703	шүүрэл
poisoning	disgust	0.703	хордлого
despotism	disgust	0.703	деспотизм
measles	disgust	0.696	улаанбурхан
contagious	disgust	0.695	халдварладаг
obesity	disgust	0.695	таргалалт
wart	disgust	0.695	wart
hate	disgust	0.695	үзэн ядах
hellish	disgust	0.695	тамын
scum	disgust	0.695	хог хаягдал
suicidal	disgust	0.695	амиа хорлох
wretch	disgust	0.695	хөөрхий
abuse	disgust	0.695	хүчирхийлэл
waste	disgust	0.695	хог хаягдал
intestinal	disgust	0.695	гэдэс
heartworm	disgust	0.688	зүрхний хорхой
ooze	disgust	0.688	гоожих
treason	disgust	0.688	урвасан
contaminated	disgust	0.688	бохирдсон
smut	disgust	0.688	новш
disease	disgust	0.688	өвчин
rabid	disgust	0.688	галзуу
deformed	disgust	0.680	гажигтай
hell	disgust	0.680	там
soulless	disgust	0.680	сэтгэлгүй
cholera	disgust	0.680	холер
bestial	disgust	0.680	араатан
antichrist	disgust	0.680	Христийн эсрэг
freakish	disgust	0.680	галзуу
germ	disgust	0.680	үр хөврөл
detest	disgust	0.680	жигшдэг
pollution	disgust	0.680	бохирдол
grimy	disgust	0.680	бохир
abhorrent	disgust	0.680	жигшүүртэй
hatred	disgust	0.680	үзэн ядалт
abominate	disgust	0.680	жигшүүрт
sickness	disgust	0.680	өвчин
hideous	disgust	0.672	аймшигтай
dictatorship	disgust	0.672	дарангуйлал
loathful	disgust	0.672	зэвүүн
greasy	disgust	0.672	тослог
dilapidated	disgust	0.672	хуучирсан
inhuman	disgust	0.672	хүнлэг бус
loathing	disgust	0.672	үзэн ядах
obscene	disgust	0.672	садар самуун
cess	disgust	0.670	cess
devil	disgust	0.664	чөтгөр
deformity	disgust	0.664	хэв гажилт
nauseous	disgust	0.664	дотор муухайрах
deadly	disgust	0.664	үхлийн аюултай
swine	disgust	0.664	гахай
discrimination	disgust	0.664	ялгаварлан гадуурхах
abominable	disgust	0.664	жигшүүрт
masochism	disgust	0.664	мазохизм
heretic	disgust	0.664	тэрс үзэлтэн
latrines	disgust	0.656	жорлон
corruption	disgust	0.656	авлига
poisonous	disgust	0.656	хортой
horror	disgust	0.656	аймшиг
nefarious	disgust	0.656	харгис
bacteria	disgust	0.656	бактери
horrible	disgust	0.656	аймшигтай
trash	disgust	0.656	хог
abortion	disgust	0.656	үр хөндөлт
death	disgust	0.656	үхэл
prejudiced	disgust	0.656	өрөөсгөл
poison	disgust	0.656	хор
oppression	disgust	0.656	дарангуйлал
goo	disgust	0.656	сайхан
victimized	disgust	0.656	хохирогч болсон
mange	disgust	0.656	манж
sludge	disgust	0.648	лаг
trashy	disgust	0.648	хог хаягдал
vindictive	disgust	0.648	өс хонзонтой
horrid	disgust	0.648	аймшигтай
ugly	disgust	0.648	муухай
immoral	disgust	0.648	ёс суртахуунгүй
bitch	disgust	0.648	гичий
outhouse	disgust	0.648	гадна байшин
detestation	disgust	0.648	жигшил
horrifying	disgust	0.641	аймшигтай
laxative	disgust	0.641	тайвшруулах үйлчилгээтэй
unsightly	disgust	0.641	үзэмжгүй
derogatory	disgust	0.641	доромжилсон
slop	disgust	0.641	налуу
malfeasance	disgust	0.641	хууль бус үйлдэл
spew	disgust	0.641	цацах
pimple	disgust	0.641	батга
criminality	disgust	0.641	гэмт хэрэг
indecency	disgust	0.641	ёс зүйгүй байдал
cystic	disgust	0.641	уйланхай
villainous	disgust	0.641	хорон санаатай
queasy	disgust	0.633	зовиуртай
mildew	disgust	0.633	хөгц
oppressive	disgust	0.633	дарангуйлагч
prostitution	disgust	0.633	биеэ үнэлэх
secrete	disgust	0.633	нууцлах
ulcer	disgust	0.633	шархлаа
rat	disgust	0.633	харх
bigoted	disgust	0.633	мухардмал
perpetrator	disgust	0.633	гэмт хэрэгтэн
doomsday	disgust	0.633	сүйрлийн өдөр
sinful	disgust	0.633	нүгэлт
degrading	disgust	0.625	гутаах
ghastly	disgust	0.625	аймшигтай
suffering	disgust	0.625	зовлон
obscenity	disgust	0.625	садар самуун явдал
devilish	disgust	0.625	чөтгөр
disgraceful	disgust	0.625	гутамшигтай
persecution	disgust	0.625	хавчлага
contemptible	disgust	0.625	жигшил
cuckold	disgust	0.625	хөхөө
stools	disgust	0.625	өтгөн
dastardly	disgust	0.625	бүдүүлэг
sin	disgust	0.625	нүгэл
gluttony	disgust	0.625	шуналт
bloated	disgust	0.625	хавдсан
fungus	disgust	0.625	мөөгөнцөр
aghast	disgust	0.625	айсан
diaper	disgust	0.617	живх
malicious	disgust	0.617	хорлонтой
polygamy	disgust	0.617	олон эхнэртэй байх
dying	disgust	0.617	үхэж байна
termite	disgust	0.617	термит
fat	disgust	0.617	тарган
deceit	disgust	0.617	хууран мэхлэлт
atrocious	disgust	0.617	харгис
guillotine	disgust	0.617	гильотин
tetanus	disgust	0.617	татран
spoil	disgust	0.617	муудах
crusty	disgust	0.617	царцдастай
sickly	disgust	0.617	өвчтэй
louse	disgust	0.617	бөөс
strangle	disgust	0.617	боомилох
betrayal	disgust	0.617	урвалт
loathe	disgust	0.617	жигших
wench	disgust	0.617	венч
infect	disgust	0.617	халдварлах
violently	disgust	0.609	хүчирхийллээр
brothel	disgust	0.609	янхны газар
drool	disgust	0.609	ус гоожих
bleeding	disgust	0.609	цус алдалт
deform	disgust	0.609	хэв гажилт
ghetto	disgust	0.609	гетто
sabotage	disgust	0.609	хорлон сүйтгэх ажиллагаа
venomous	disgust	0.609	хортой
abhor	disgust	0.609	жигших
slander	disgust	0.609	гүтгэлэг
hostile	disgust	0.609	дайсагнасан
musty	disgust	0.602	хөгцтэй
illicit	disgust	0.602	хууль бус
ugliness	disgust	0.602	муухай байдал
unwashed	disgust	0.602	угаагаагүй
swampy	disgust	0.602	намаг
deprivation	disgust	0.602	гачигдал
poaching	disgust	0.602	хулгайн ан
hag	disgust	0.602	хаг
infidel	disgust	0.602	үл итгэгч
imprisonment	disgust	0.602	шоронд хорих
traitor	disgust	0.602	урвагч
lunacy	disgust	0.602	галзуурал
queasiness	disgust	0.594	дотор муухайрах
hostility	disgust	0.594	дайсагнал
repelling	disgust	0.594	няцаах
intoxicated	disgust	0.594	согтуу
thug	disgust	0.594	дээрэмчин
catastrophe	disgust	0.594	сүйрэл
lunatic	disgust	0.594	галзуу
misery	disgust	0.594	зовлон
venom	disgust	0.594	хор
butcher	disgust	0.594	яргачин
toilet	disgust	0.594	бие засах газар
blister	disgust	0.594	цэврүү
lurid	disgust	0.594	аймшигт
slug	disgust	0.594	лаг
gut	disgust	0.594	гэдэс
sinner	disgust	0.594	нүгэлтэн
deceitful	disgust	0.594	зальтай
epidemic	disgust	0.594	халдвар дэгдэлт
deteriorated	disgust	0.586	муудсан
lavatory	disgust	0.586	бие засах газар
unclean	disgust	0.586	бузар
prostitute	disgust	0.586	биеэ үнэлэгч
incubus	disgust	0.586	инкубус
appalling	disgust	0.586	аймшигтай
dreadful	disgust	0.586	аймшигтай
pornography	disgust	0.586	порнограф
harass	disgust	0.586	дарамтлах
squeamish	disgust	0.578	ширүүн
expulsion	disgust	0.578	хөөх
unfaithful	disgust	0.578	үнэнч бус
offensive	disgust	0.578	доромжилсон
hypocrite	disgust	0.578	хоёр нүүртэн
humiliating	disgust	0.578	доромжлох
larceny	disgust	0.578	хулгай
ruinous	disgust	0.578	сүйрсэн
retard	disgust	0.578	хоцрогдол
rash	disgust	0.578	тууралт
flea	disgust	0.578	бүүрэг
debauchery	disgust	0.578	завхайрал
fiend	disgust	0.578	золбин
quagmire	disgust	0.578	намаг
conspirator	disgust	0.578	хуйвалдаан
sick	disgust	0.578	өвчтэй
mangle	disgust	0.578	мангар
dogsick	disgust	0.570	нохой өвчтэй
egregious	disgust	0.570	аймшигтай
flog	disgust	0.570	ташуур
despise	disgust	0.570	жигших
treacherous	disgust	0.570	урвасан
oppress	disgust	0.570	дарамтлах
swamp	disgust	0.570	намаг
messy	disgust	0.570	замбараагүй
spit	disgust	0.570	нулимах
dank	disgust	0.570	чийгтэй
bastard	disgust	0.570	Новш
devastating	disgust	0.570	сүйрүүлэх
serpent	disgust	0.570	могой
loo	disgust	0.562	лоо
indecent	disgust	0.562	зохисгүй
insanity	disgust	0.562	галзуурал
stealing	disgust	0.562	хулгай хийх
terrible	disgust	0.562	аймшигтай
tyrannical	disgust	0.562	дарангуйлагч
humiliation	disgust	0.562	доромжлол
snake	disgust	0.562	могой
sloppy	disgust	0.562	хайнга
sinning	disgust	0.562	нүгэл үйлдэх
harmful	disgust	0.562	хортой
harlot	disgust	0.562	янхан
sordid	disgust	0.562	муухай
enemy	disgust	0.562	дайсан
alcoholism	disgust	0.562	архидалт
awful	disgust	0.562	аймшигтай
ruthless	disgust	0.562	хэрцгий
scoundrel	disgust	0.562	новш
bloody	disgust	0.555	цуст
flabby	disgust	0.555	сул дорой
odious	disgust	0.555	жигшүүртэй
beastly	disgust	0.555	араатан
collusion	disgust	0.555	хуйвалдаан
