English Word	Emotion	Emotion-Intensity-Score	Danish Word
matrimony	anticipation	0.609	ægteskab
magical	anticipation	0.609	magisk
alerts	anticipation	0.609	alarmer
winner	anticipation	0.602	vinder
applicant	anticipation	0.602	ansøger
fulfillment	anticipation	0.602	opfyldelse
deserve	anticipation	0.602	fortjener
inspire	anticipation	0.602	inspirere
foreseen	anticipation	0.602	forudset
intended	anticipation	0.602	tilsigtet
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	picnic
longing	anticipation	0.602	længes efter
revenge	anticipation	0.602	hævn
success	anticipation	0.602	succes
diagnosis	anticipation	0.602	diagnose
visionary	anticipation	0.602	visionær
prophetic	anticipation	0.602	profetisk
entertaining	anticipation	0.602	underholdende
nervous	anticipation	0.602	nervøs
illuminate	anticipation	0.594	belyse
accelerate	anticipation	0.594	fremskynde
advent	anticipation	0.594	advent
romance	anticipation	0.594	romantik
result	anticipation	0.594	resultat
arrive	anticipation	0.594	ankomme
momentum	anticipation	0.594	momentum
buzz	anticipation	0.594	summen
rekindle	anticipation	0.594	genoplive
preparedness	anticipation	0.594	beredskab
acquiring	anticipation	0.594	erhverver
luck	anticipation	0.594	held
marry	anticipation	0.594	gifte
predict	anticipation	0.589	forudsige
money	anticipation	0.586	penge
auspices	anticipation	0.586	regi
uplift	anticipation	0.586	opløftning
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	nyder
preparation	anticipation	0.586	forberedelse
raffle	anticipation	0.586	lodtrækning
investigation	anticipation	0.586	efterforskning
progression	anticipation	0.586	progression
overdue	anticipation	0.586	forsinket
crave	anticipation	0.586	higer efter
impatient	anticipation	0.586	utålmodig
enthusiast	anticipation	0.586	entusiast
flirt	anticipation	0.586	flirt
seek	anticipation	0.586	søge
sequel	anticipation	0.586	efterfølger
presumption	anticipation	0.586	antagelse
delightful	anticipation	0.586	dejlig
gambling	anticipation	0.586	gambling
immerse	anticipation	0.586	fordybe
endeavor	anticipation	0.586	bestræbelse
experiment	anticipation	0.580	eksperiment
enjoy	anticipation	0.578	god fornøjelse
completing	anticipation	0.578	fuldfører
clamor	anticipation	0.578	larm
angling	anticipation	0.578	lystfiskeri
majestic	anticipation	0.578	majestætisk
divination	anticipation	0.578	spådom
transcendence	anticipation	0.578	transcendens
thriving	anticipation	0.578	trives
excavation	anticipation	0.578	udgravning
thirst	anticipation	0.578	tørst
remedy	anticipation	0.578	afhjælpe
harvest	anticipation	0.578	høst
risk	anticipation	0.578	risiko
healing	anticipation	0.578	helbredelse
heavenly	anticipation	0.578	himmelske
inviting	anticipation	0.578	indbydende
precarious	anticipation	0.578	usikker
attainable	anticipation	0.578	opnåelige
blessing	anticipation	0.578	velsignelse
prosper	anticipation	0.578	trives
tease	anticipation	0.570	drille
plan	anticipation	0.570	plan
sweetheart	anticipation	0.570	kæreste
zest	anticipation	0.570	gejst
magnificence	anticipation	0.570	storslåethed
ultimate	anticipation	0.570	ultimative
emancipation	anticipation	0.570	frigørelse
restlessness	anticipation	0.570	rastløshed
finally	anticipation	0.570	langt om længe
intimate	anticipation	0.570	intim
omen	anticipation	0.570	varsel
matchmaker	anticipation	0.570	matchmaker
gambler	anticipation	0.570	spiller
prospectively	anticipation	0.570	fremadrettet
dare	anticipation	0.570	turde
warned	anticipation	0.570	advaret
invite	anticipation	0.570	invitere
mysterious	anticipation	0.562	mystisk
accolade	anticipation	0.562	anerkendelse
lover	anticipation	0.562	elsker
expose	anticipation	0.562	udsætte
enchant	anticipation	0.562	fortrylle
attempt	anticipation	0.562	forsøg
festival	anticipation	0.562	festival
exalt	anticipation	0.562	ophøje
rejoice	anticipation	0.562	Glæd dig
independence	anticipation	0.562	uafhængighed
expected	anticipation	0.562	forventet
fanfare	anticipation	0.562	fanfare
immortality	anticipation	0.562	udødelighed
quicken	anticipation	0.562	fremskynde
parade	anticipation	0.562	parade
fun	anticipation	0.562	sjovt
predilection	anticipation	0.562	forkærlighed
champion	anticipation	0.562	champion
forewarned	anticipation	0.562	advaret
hypothesis	anticipation	0.562	hypotese
trophy	anticipation	0.562	trofæ
shopping	anticipation	0.555	handle ind
salvation	anticipation	0.555	frelse
feeling	anticipation	0.555	følelse
speculative	anticipation	0.555	spekulative
oracle	anticipation	0.555	orakel
heroism	anticipation	0.555	heltemod
boisterous	anticipation	0.555	larmende
grasping	anticipation	0.555	fatte
uneasiness	anticipation	0.555	uro
curiosity	anticipation	0.555	nysgerrighed
happy	anticipation	0.555	lykkelig
rejoicing	anticipation	0.555	jubel
fate	anticipation	0.555	skæbne
liberty	anticipation	0.555	frihed
unfold	anticipation	0.555	udfolde sig
amour	anticipation	0.555	amour
lovely	anticipation	0.555	dejlig
splendor	anticipation	0.555	pragt
grow	anticipation	0.555	dyrke
glimmer	anticipation	0.547	glimt
incite	anticipation	0.547	tilskynde
abundance	anticipation	0.547	overflod
resultant	anticipation	0.547	resulterende
probability	anticipation	0.547	sandsynlighed
recreational	anticipation	0.547	rekreative
glory	anticipation	0.547	ære
agape	anticipation	0.547	agape
delighted	anticipation	0.547	glad
changeable	anticipation	0.547	foranderlig
convergence	anticipation	0.547	konvergens
bountiful	anticipation	0.547	rigelig
warn	anticipation	0.547	advare
monetary	anticipation	0.547	monetære
sorcery	anticipation	0.547	trolddom
morrow	anticipation	0.547	i morgen
apprehensive	anticipation	0.547	betænkelig
hungry	anticipation	0.547	sulten
vote	anticipation	0.547	stemme
suspicious	anticipation	0.547	mistænksom
pray	anticipation	0.547	bede
leisure	anticipation	0.547	fritid
hunting	anticipation	0.539	jagt
sensual	anticipation	0.539	sanselig
tempest	anticipation	0.539	storm
auction	anticipation	0.539	auktion
ballot	anticipation	0.539	afstemning
grandchildren	anticipation	0.539	børnebørn
hankering	anticipation	0.539	lyst
entertainment	anticipation	0.539	underholdning
merge	anticipation	0.539	fusionere
exceed	anticipation	0.539	overstige
vindication	anticipation	0.539	retfærdiggørelse
blessings	anticipation	0.539	velsignelser
inquiry	anticipation	0.539	forespørgsel
bounty	anticipation	0.539	dusør
worrying	anticipation	0.539	bekymrende
contingent	anticipation	0.539	kontingent
glad	anticipation	0.536	glad
harbinger	anticipation	0.531	varsel
magnificent	anticipation	0.531	storslået
virginity	anticipation	0.531	mødom
stealthy	anticipation	0.531	snigende
appeal	anticipation	0.531	appel
forming	anticipation	0.531	dannelse
celestial	anticipation	0.531	himmelsk
raving	anticipation	0.531	rablende
deliverance	anticipation	0.531	udfrielse
feat	anticipation	0.531	bedrift
cheer	anticipation	0.531	opmuntre
responsive	anticipation	0.531	lydhør
hurried	anticipation	0.531	skyndte sig
betrothed	anticipation	0.531	forlovet
overthrow	anticipation	0.531	styrte
spirits	anticipation	0.531	spiritus
dread	anticipation	0.531	rædsel
visitor	anticipation	0.531	besøgende
wait	anticipation	0.523	vente
revive	anticipation	0.523	genoplive
watch	anticipation	0.523	kigge på
hunter	anticipation	0.523	jæger
radiance	anticipation	0.523	udstråling
planning	anticipation	0.523	planlægning
germination	anticipation	0.523	spiring
competition	anticipation	0.523	konkurrence
preparatory	anticipation	0.523	forberedende
prognostic	anticipation	0.523	prognostisk
beaming	anticipation	0.523	strålende
cheery	anticipation	0.523	munter
prevail	anticipation	0.523	være fremherskende
importance	anticipation	0.523	betydning
notification	anticipation	0.523	notifikation
explosive	anticipation	0.523	eksplosiv
pleasant	anticipation	0.523	behagelig
ultimately	anticipation	0.523	ultimativt
child	anticipation	0.523	barn
haste	anticipation	0.523	hastværk
prophet	anticipation	0.523	profet
recreation	anticipation	0.516	rekreation
present	anticipation	0.516	til stede
time	anticipation	0.516	tid
sensuality	anticipation	0.516	sanselighed
owing	anticipation	0.516	skylder
loom	anticipation	0.516	væv
begun	anticipation	0.516	begyndt
salary	anticipation	0.516	løn
celebrity	anticipation	0.516	berømthed
treat	anticipation	0.516	behandle
chocolate	anticipation	0.516	chokolade
caution	anticipation	0.516	Advarsel
fermentation	anticipation	0.516	gæring
uncontrollable	anticipation	0.516	ustyrlig
precious	anticipation	0.516	kostbar
compensate	anticipation	0.516	kompensere
endanger	anticipation	0.516	fare
renovation	anticipation	0.516	renovation
signify	anticipation	0.508	betyde
vigilance	anticipation	0.508	årvågenhed
prerequisite	anticipation	0.508	forudsætning
perfection	anticipation	0.508	fuldkommenhed
cultivate	anticipation	0.508	dyrke
develop	anticipation	0.508	udvikle
cue	anticipation	0.508	stikord
exigent	anticipation	0.508	påkrævet
transitional	anticipation	0.508	overgang
commemoration	anticipation	0.508	mindehøjtidelighed
intermission	anticipation	0.508	pause
elevation	anticipation	0.508	højde
infant	anticipation	0.508	spædbarn
practise	anticipation	0.508	øve sig
contemplation	anticipation	0.508	overvejelse
dreadful	anticipation	0.508	forfærdelig
wilderness	anticipation	0.508	ødemark
horizon	anticipation	0.508	horisont
sneaking	anticipation	0.500	snige
uphill	anticipation	0.500	op ad bakke
puppy	anticipation	0.500	hundehvalp
blindfold	anticipation	0.500	bind for øjnene
unbridled	anticipation	0.500	uhæmmet
horoscope	anticipation	0.500	horoskop
airport	anticipation	0.500	lufthavn
reconciliation	anticipation	0.500	forsoning
advocacy	anticipation	0.500	fortalervirksomhed
litigate	anticipation	0.500	retsforfølge
sunny	anticipation	0.500	solrig
intuitively	anticipation	0.500	intuitivt
hero	anticipation	0.500	helt
ardent	anticipation	0.500	brændende
commemorate	anticipation	0.500	mindes
romantic	anticipation	0.500	romantisk
doomsday	anticipation	0.500	dommedag
ready	anticipation	0.500	parat
nascent	anticipation	0.500	begyndende
invocation	anticipation	0.500	påkaldelse
depart	anticipation	0.500	afrejse
undisclosed	anticipation	0.500	uoplyst
attendance	anticipation	0.500	tilstedeværelse
peril	anticipation	0.500	fare
income	anticipation	0.500	indkomst
calculation	anticipation	0.500	beregning
zeal	anticipation	0.500	iver
eventuality	anticipation	0.500	eventualitet
favorable	anticipation	0.500	gunstige
utopian	anticipation	0.500	utopisk
swim	anticipation	0.500	svømme
proceeding	anticipation	0.492	fortsætter
eventual	anticipation	0.492	eventuelt
heyday	anticipation	0.492	storhedstid
undertaking	anticipation	0.492	tilsagn
improvise	anticipation	0.492	improvisere
inauguration	anticipation	0.492	indvielse
consequent	anticipation	0.492	deraf følgende
perspective	anticipation	0.492	perspektiv
defense	anticipation	0.492	forsvar
repay	anticipation	0.492	tilbagebetale
gaping	anticipation	0.492	gabende
youth	anticipation	0.492	ungdom
parole	anticipation	0.492	prøveløsladelse
worry	anticipation	0.492	bekymre
bless	anticipation	0.492	velsigne
restorative	anticipation	0.492	genoprettende
court	anticipation	0.492	ret
highest	anticipation	0.491	højest
shortly	anticipation	0.484	om lidt
auspicious	anticipation	0.484	lovende
princely	anticipation	0.484	fyrstelige
correspondence	anticipation	0.484	korrespondance
generosity	anticipation	0.484	generøsitet
sparkle	anticipation	0.484	glimte
voluptuous	anticipation	0.484	vellystig
happen	anticipation	0.484	ske
tremor	anticipation	0.484	rysten
letter	anticipation	0.484	brev
vow	anticipation	0.484	løfte
sharpen	anticipation	0.484	skærpe
duel	anticipation	0.484	duel
conjure	anticipation	0.484	trylle
threaten	anticipation	0.484	true
god	anticipation	0.484	Gud
engulf	anticipation	0.484	opsluge
unexplained	anticipation	0.484	uforklaret
contagion	anticipation	0.484	smitte
glorify	anticipation	0.477	forherlige
submit	anticipation	0.477	Indsend
enroll	anticipation	0.477	indskrive
unification	anticipation	0.477	forening
gravitate	anticipation	0.477	tyngde
glide	anticipation	0.477	svæve
accompaniment	anticipation	0.477	akkompagnement
cherish	anticipation	0.477	værdsætte
adore	anticipation	0.477	tilbede
powerful	anticipation	0.477	magtfulde
clue	anticipation	0.477	nøgle
medal	anticipation	0.477	medalje
contemplate	anticipation	0.477	overveje
perilous	anticipation	0.477	faretruende
determinate	anticipation	0.477	beslutte
arbitration	anticipation	0.477	voldgift
recipient	anticipation	0.477	modtager
onset	anticipation	0.477	begyndelse
predispose	anticipation	0.477	disponere
score	anticipation	0.477	score
torture	anticipation	0.477	tortur
glow	anticipation	0.477	glød
praiseworthy	anticipation	0.473	prisværdigt
football	anticipation	0.469	fodbold
scare	anticipation	0.469	skræmme
elite	anticipation	0.469	elite
unknown	anticipation	0.469	ukendt
precursor	anticipation	0.469	forløber
pry	anticipation	0.469	lirke
providing	anticipation	0.469	at sørge for
sweets	anticipation	0.469	søde sager
cautious	anticipation	0.469	forsigtig
opera	anticipation	0.469	opera
motion	anticipation	0.469	bevægelse
cash	anticipation	0.469	kontanter
creeping	anticipation	0.469	krybende
invoke	anticipation	0.469	påberåbe sig
star	anticipation	0.469	stjerne
shaky	anticipation	0.469	rystende
production	anticipation	0.469	produktion
successful	anticipation	0.469	vellykket
immediately	anticipation	0.469	straks
dawn	anticipation	0.469	daggry
starry	anticipation	0.469	stjerneklar
unsurpassed	anticipation	0.469	uovertruffen
completion	anticipation	0.469	færdiggørelse
hire	anticipation	0.469	leje
fete	anticipation	0.469	fest
commemorative	anticipation	0.461	mindesmærke
shining	anticipation	0.461	skinner
testament	anticipation	0.461	testamente
pay	anticipation	0.461	betale
alive	anticipation	0.461	i live
plight	anticipation	0.461	situation
preliminary	anticipation	0.461	indledende
overture	anticipation	0.461	ouverture
sanctuary	anticipation	0.461	helligdom
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	udkast
synchronize	anticipation	0.461	synkronisere
soundness	anticipation	0.461	forsvarlighed
extricate	anticipation	0.461	frigøres
excel	anticipation	0.461	Excel
punt	anticipation	0.461	punkt
untold	anticipation	0.461	ufortalt
brilliant	anticipation	0.461	strålende
cheerfulness	anticipation	0.461	munterhed
jeopardy	anticipation	0.461	fare
friendly	anticipation	0.461	venlige
mail	anticipation	0.461	post
unexpected	anticipation	0.453	uventet
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	indvielse
supremacy	anticipation	0.453	overhøjhed
rehabilitation	anticipation	0.453	genoptræning
intimately	anticipation	0.453	intimt
career	anticipation	0.453	karriere
prevention	anticipation	0.453	forebyggelse
renovate	anticipation	0.453	forny
compliment	anticipation	0.453	kompliment
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	elegance
complement	anticipation	0.453	komplement
flinch	anticipation	0.453	vige
infinity	anticipation	0.453	uendelighed
perpetuity	anticipation	0.453	evighed
sunset	anticipation	0.453	solnedgang
improve	anticipation	0.453	forbedre
fitting	anticipation	0.445	montering
confidence	anticipation	0.445	tillid
concealment	anticipation	0.445	fortielse
sweet	anticipation	0.445	sød
perfect	anticipation	0.445	Perfekt
epidemic	anticipation	0.445	epidemi
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	frivillig
share	anticipation	0.445	del
surround	anticipation	0.445	omgive
conjecture	anticipation	0.445	formodning
sun	anticipation	0.445	sol
veracity	anticipation	0.445	sandhed
serial	anticipation	0.438	seriel
angel	anticipation	0.438	Engel
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	helgen
tickle	anticipation	0.438	kildre
superstitious	anticipation	0.438	overtroisk
ferment	anticipation	0.438	gære
conservation	anticipation	0.438	bevarelse
devout	anticipation	0.438	troende
respect	anticipation	0.438	respekt
reconstruction	anticipation	0.438	rekonstruktion
goodness	anticipation	0.438	godhed
reconstruct	anticipation	0.438	rekonstruere
faith	anticipation	0.438	tro
recombination	anticipation	0.438	rekombination
prepared	anticipation	0.438	forberedt
rabid	anticipation	0.438	rabiat
plea	anticipation	0.438	anbringende
medical	anticipation	0.438	medicinsk
passenger	anticipation	0.438	passager
charitable	anticipation	0.430	velgørende
tabulate	anticipation	0.430	tabulere
peace	anticipation	0.430	fred
install	anticipation	0.430	installere
serenity	anticipation	0.430	sindsro
venerable	anticipation	0.430	ærværdige
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrint
luscious	anticipation	0.430	lækker
perpetuate	anticipation	0.430	forevige
strategist	anticipation	0.430	strateg
unverified	anticipation	0.430	ubekræftet
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	klappe
peaceful	anticipation	0.422	fredelig
patience	anticipation	0.422	tålmodighed
unresolved	anticipation	0.422	uafklaret
worship	anticipation	0.422	tilbede
edification	anticipation	0.422	opbyggelse
oasis	anticipation	0.422	oase
grin	anticipation	0.422	grin
revere	anticipation	0.422	ære
candid	anticipation	0.422	oprigtig
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	konspirator
adrift	anticipation	0.422	på drift
recognizable	anticipation	0.422	genkendelige
volatility	anticipation	0.422	volatilitet
forestall	anticipation	0.422	foregribe
laughter	anticipation	0.422	latter
continue	anticipation	0.414	Blive ved
ongoing	anticipation	0.414	igangværende
astrologer	anticipation	0.414	astrolog
mediate	anticipation	0.414	mægle
punctual	anticipation	0.414	punktlig
grant	anticipation	0.414	give
morn	anticipation	0.414	morgen
pretty	anticipation	0.414	smuk
withstand	anticipation	0.414	modstå
frisky	anticipation	0.414	frisk
thought	anticipation	0.414	tanke
probation	anticipation	0.414	prøvetid
ordination	anticipation	0.414	ordination
calls	anticipation	0.414	opkald
detainee	anticipation	0.414	tilbageholdt
craps	anticipation	0.414	craps
weigh	anticipation	0.414	veje
proficiency	anticipation	0.414	dygtighed
sing	anticipation	0.411	synge
continuation	anticipation	0.406	fortsættelse
university	anticipation	0.406	universitet
chicane	anticipation	0.406	chikane
nurture	anticipation	0.406	pleje
mother	anticipation	0.406	mor
punished	anticipation	0.406	straffet
twinkle	anticipation	0.406	glimte
confession	anticipation	0.406	tilståelse
outdo	anticipation	0.406	overgå
prophylactic	anticipation	0.406	profylaktisk
proud	anticipation	0.406	stolt
midwife	anticipation	0.406	jordemoder
wizard	anticipation	0.406	guiden
headlight	anticipation	0.406	forlygte
long	anticipation	0.406	lang
banquet	anticipation	0.406	banket
comfort	anticipation	0.406	komfort
navigable	anticipation	0.406	sejlbar
subscribe	anticipation	0.406	abonnere
opponent	anticipation	0.406	modstander
debenture	anticipation	0.406	gældsbrev
deal	anticipation	0.402	del
symphony	anticipation	0.398	symfoni
saintly	anticipation	0.398	hellig
judiciary	anticipation	0.398	retsvæsen
lettered	anticipation	0.398	med bogstaver
vigil	anticipation	0.398	vagt
reliance	anticipation	0.398	afhængighed
distracting	anticipation	0.398	distraherende
mortification	anticipation	0.398	mortifikation
balm	anticipation	0.398	balsam
simmer	anticipation	0.398	simre
top	anticipation	0.398	top
obliging	anticipation	0.398	forpligtende
efficient	anticipation	0.398	effektiv
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	repræsenterer
death	anticipation	0.398	død
assurance	anticipation	0.391	forsikring
familiarity	anticipation	0.391	fortrolighed
depraved	anticipation	0.391	fordærvet
condemnation	anticipation	0.391	fordømmelse
undoubted	anticipation	0.391	utvivlsomt
sanctify	anticipation	0.391	hellige
diplomacy	anticipation	0.391	diplomati
antidote	anticipation	0.391	modgift
trust	anticipation	0.391	tillid
linger	anticipation	0.391	dvæle
objective	anticipation	0.391	objektiv
chuckle	anticipation	0.391	grine
poke	anticipation	0.391	prikke
abeyance	anticipation	0.391	afholdenhed
maternal	anticipation	0.391	moderlig
art	anticipation	0.391	kunst
unfulfilled	anticipation	0.391	uopfyldt
inoculation	anticipation	0.384	podning
simplify	anticipation	0.383	forenkle
depend	anticipation	0.383	afhænge af
chant	anticipation	0.383	sang
ram	anticipation	0.383	vædder
banger	anticipation	0.383	banger
playground	anticipation	0.383	legeplads
labor	anticipation	0.383	arbejdskraft
scientist	anticipation	0.383	videnskabsmand
good	anticipation	0.383	godt
humanitarian	anticipation	0.383	humanitære
failing	anticipation	0.383	fejler
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	pligtopfyldende
hymn	anticipation	0.383	salme
ship	anticipation	0.383	skib
discretion	anticipation	0.383	skøn
undecided	anticipation	0.383	uafklaret
gradual	anticipation	0.375	gradvist
navigator	anticipation	0.375	navigator
track	anticipation	0.375	spore
cradle	anticipation	0.375	vugge
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	midlertidig
clock	anticipation	0.375	ur
mountain	anticipation	0.375	bjerg
interminable	anticipation	0.375	uendelig
public	anticipation	0.375	offentlig
recurrent	anticipation	0.375	tilbagevendende
savor	anticipation	0.375	smage
abide	anticipation	0.367	overholde
concealed	anticipation	0.367	skjult
spear	anticipation	0.367	spyd
lesson	anticipation	0.367	lektie
instructions	anticipation	0.367	instruktioner
sonar	anticipation	0.367	ekkolod
biennial	anticipation	0.367	biennale
convince	anticipation	0.367	overbevise
whim	anticipation	0.367	indfald
shiver	anticipation	0.367	gyse
towering	anticipation	0.367	tårnhøje
musical	anticipation	0.367	musikalsk
offset	anticipation	0.359	offset
theory	anticipation	0.359	teori
theology	anticipation	0.359	teologi
undying	anticipation	0.359	udødelig
timidity	anticipation	0.359	frygtsomhed
plump	anticipation	0.359	buttet
atone	anticipation	0.359	sone
audience	anticipation	0.357	publikum
dietary	anticipation	0.352	diæt
consecration	anticipation	0.352	indvielse
localize	anticipation	0.352	lokalisere
paragon	anticipation	0.352	paragon
store	anticipation	0.352	butik
farm	anticipation	0.352	gård
daily	anticipation	0.352	daglige
cramp	anticipation	0.352	krampe
nobility	anticipation	0.352	adel
closure	anticipation	0.352	lukning
edition	anticipation	0.352	udgave
kindred	anticipation	0.352	slægtning
stripped	anticipation	0.344	strippet
errand	anticipation	0.344	ærinde
archaeology	anticipation	0.344	arkæologi
mutable	anticipation	0.344	foranderlig
wireless	anticipation	0.344	trådløs
meditate	anticipation	0.344	meditere
mobile	anticipation	0.344	mobil
germ	anticipation	0.336	kim
brotherly	anticipation	0.336	broderlig
lessen	anticipation	0.336	mindske
unbeaten	anticipation	0.336	ubesejret
pare	anticipation	0.336	pare
buddy	anticipation	0.336	kammerat
unaccountable	anticipation	0.336	uansvarlig
dove	anticipation	0.328	due
patient	anticipation	0.328	patient
secular	anticipation	0.328	sekulære
digress	anticipation	0.328	afvige
chastity	anticipation	0.328	kyskhed
council	anticipation	0.328	råd
olfactory	anticipation	0.328	lugte
ribbon	anticipation	0.328	bånd
possess	anticipation	0.328	have
disposed	anticipation	0.320	bortskaffes
scrutinize	anticipation	0.320	granske
immature	anticipation	0.320	umoden
mediator	anticipation	0.320	mægler
regularity	anticipation	0.320	regelmæssighed
cove	anticipation	0.320	bugt
infanticide	anticipation	0.320	barnemord
paddle	anticipation	0.320	padle
heft	anticipation	0.320	tyngde
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	konserveringsmiddel
unpublished	anticipation	0.312	upubliceret
church	anticipation	0.312	kirke
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	barsk
denying	anticipation	0.312	benægte
analyst	anticipation	0.312	analytiker
judicial	anticipation	0.305	retslige
priesthood	anticipation	0.305	præstedømmet
broadside	anticipation	0.305	bredside
mill	anticipation	0.305	mølle
dismay	anticipation	0.297	forfærdelse
cap	anticipation	0.297	kasket
thermocouple	anticipation	0.297	termoelement
tributary	anticipation	0.297	biflod
instructor	anticipation	0.297	instruktør
exhaustion	anticipation	0.297	udmattelse
saliva	anticipation	0.297	spyt
cataract	anticipation	0.289	grå stær
network	anticipation	0.289	netværk
visor	anticipation	0.289	visir
shackle	anticipation	0.289	lænke
wont	anticipation	0.289	plejer
addresses	anticipation	0.289	adresser
discreet	anticipation	0.289	diskret
noncompliance	anticipation	0.289	manglende overholdelse
bruise	anticipation	0.289	blåt mærke
homeless	anticipation	0.289	hjemløs
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	skævt
neighbor	anticipation	0.281	nabo
holiness	anticipation	0.273	hellighed
devil	anticipation	0.273	djævel
picket	anticipation	0.273	strejke
sentence	anticipation	0.273	dømme
latent	anticipation	0.273	latent
cream	anticipation	0.273	fløde
immaturity	anticipation	0.273	umodenhed
habitual	anticipation	0.266	sædvanlige
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	kvarter
lull	anticipation	0.266	lune
bye	anticipation	0.258	farvel
weight	anticipation	0.258	vægt
organ	anticipation	0.250	organ
clown	anticipation	0.250	klovn
forearm	anticipation	0.250	underarm
commonplace	anticipation	0.242	almindeligt
quote	anticipation	0.242	citere
rail	anticipation	0.234	skinne
dictatorship	anticipation	0.234	diktatur
treadmill	anticipation	0.234	løbebånd
board	anticipation	0.234	bestyrelse
tree	anticipation	0.227	træ
sundial	anticipation	0.227	solur
paralysis	anticipation	0.211	lammelse
cement	anticipation	0.203	cement
worm	anticipation	0.203	orm
organization	anticipation	0.203	organisation
lagging	anticipation	0.180	halter
neutral	anticipation	0.148	neutral
cannibalism	disgust	0.953	kannibalisme
mutilation	disgust	0.930	lemlæstelse
molestation	disgust	0.914	overgreb
incest	disgust	0.914	blodskam
rape	disgust	0.906	voldtage
gonorrhea	disgust	0.906	gonoré
cannibal	disgust	0.898	kannibal
rot	disgust	0.891	rådne
corpse	disgust	0.883	lig
massacre	disgust	0.883	massakre
excrement	disgust	0.883	ekskrementer
barf	disgust	0.875	opkast
slaughter	disgust	0.875	slagte
slaughterhouse	disgust	0.867	slagteri
incestuous	disgust	0.859	incestuøs
sewerage	disgust	0.859	kloakering
filth	disgust	0.859	snavs
bigot	disgust	0.859	bigot
rancid	disgust	0.859	harsk
infestation	disgust	0.852	angreb
plague	disgust	0.852	pest
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	blodtørstig
rotting	disgust	0.844	rådnende
fecal	disgust	0.844	fækal
maggot	disgust	0.844	maddike
feces	disgust	0.844	afføring
murder	disgust	0.839	mord
asshole	disgust	0.836	røvhul
homicide	disgust	0.836	drab
enslaved	disgust	0.836	slavegjort
infanticide	disgust	0.836	barnemord
perverted	disgust	0.828	perverteret
excretion	disgust	0.828	udskillelse
gore	disgust	0.828	gore
slaughtering	disgust	0.828	slagtning
torture	disgust	0.828	tortur
contaminate	disgust	0.821	forurene
revolting	disgust	0.820	oprørende
gory	disgust	0.820	blodig
shit	disgust	0.820	lort
terrorist	disgust	0.820	terrorist
murderer	disgust	0.820	morder
repugnant	disgust	0.820	frastødende
manure	disgust	0.820	gødning
pervert	disgust	0.820	pervers
diarrhoea	disgust	0.820	diarré
grotesque	disgust	0.820	grotesk
desecration	disgust	0.820	vanhelligelse
faeces	disgust	0.812	afføring
slavery	disgust	0.812	slaveri
sewer	disgust	0.812	kloak
cadaver	disgust	0.812	kadaver
manslaughter	disgust	0.812	manddrab
dismemberment	disgust	0.812	sønderdeling
vomit	disgust	0.812	opkastning
perverse	disgust	0.805	pervers
repulsive	disgust	0.805	frastødende
hemorrhage	disgust	0.805	blødning
sewage	disgust	0.797	spildevand
filthy	disgust	0.797	beskidt
diseased	disgust	0.797	syge
depravity	disgust	0.797	fordærv
carcass	disgust	0.795	slagtekrop
decompose	disgust	0.789	nedbrydes
gruesome	disgust	0.789	gruopvækkende
mutilated	disgust	0.789	lemlæstet
puke	disgust	0.789	brække sig
herpes	disgust	0.789	herpes
decayed	disgust	0.789	forfalden
dung	disgust	0.789	møg
vermin	disgust	0.789	skadedyr
murderous	disgust	0.789	morderisk
parasite	disgust	0.789	parasit
horrific	disgust	0.789	forfærdelige
carnage	disgust	0.781	blodbad
malaria	disgust	0.781	malaria
slime	disgust	0.781	slim
flatulence	disgust	0.781	flatulens
pestilence	disgust	0.781	pest
crap	disgust	0.781	lort
monstrosity	disgust	0.781	monstrøsitet
loathsome	disgust	0.773	afskyeligt
toxic	disgust	0.773	giftig
morgue	disgust	0.773	lighus
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	spedalskhed
insidious	disgust	0.773	lumsk
cruel	disgust	0.766	grusom
regurgitation	disgust	0.766	opstød
anthrax	disgust	0.766	miltbrand
xenophobia	disgust	0.766	fremmedhad
repugnance	disgust	0.766	modvilje
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	afsky
whore	disgust	0.766	luder
dissection	disgust	0.759	dissektion
mucous	disgust	0.758	slimet
