English Word	Emotion	Emotion-Intensity-Score	Somali Word
consecration	anticipation	0.352	quduus ka dhigid
localize	anticipation	0.352	degenaansho
paragon	anticipation	0.352	paragon
store	anticipation	0.352	dukaan
farm	anticipation	0.352	beeralayda
daily	anticipation	0.352	maalin walba
cramp	anticipation	0.352	casiraad
nobility	anticipation	0.352	gobnimo
closure	anticipation	0.352	xirid
edition	anticipation	0.352	daabacaad
kindred	anticipation	0.352	qaraabo
stripped	anticipation	0.344	qaawiyey
errand	anticipation	0.344	shaqo
archaeology	anticipation	0.344	qadiimiga
mutable	anticipation	0.344	la beddeli karo
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	ka fiirso
mobile	anticipation	0.344	mobilada
germ	anticipation	0.336	jeermiska
brotherly	anticipation	0.336	walaalnimo
lessen	anticipation	0.336	yaree
unbeaten	anticipation	0.336	aan laga badin
pare	anticipation	0.336	iska dhig
buddy	anticipation	0.336	saaxiib
unaccountable	anticipation	0.336	xisaab la'aan
dove	anticipation	0.328	qoolley
patient	anticipation	0.328	bukaan
secular	anticipation	0.328	cilmaani
digress	anticipation	0.328	daadin
chastity	anticipation	0.328	dhawrsanaansho
council	anticipation	0.328	golaha
olfactory	anticipation	0.328	udgoon
ribbon	anticipation	0.328	xarig
possess	anticipation	0.328	lahaansho
disposed	anticipation	0.320	la tuuray
scrutinize	anticipation	0.320	baarri
immature	anticipation	0.320	aan qaangaarin
mediator	anticipation	0.320	dhexdhexaadiye
regularity	anticipation	0.320	joogtaynta
cove	anticipation	0.320	damac
infanticide	anticipation	0.320	dhallaan dilid
paddle	anticipation	0.320	suuf
heft	anticipation	0.320	cufan
fancy	anticipation	0.320	qurux badan
preservative	anticipation	0.320	ilaaliye
unpublished	anticipation	0.312	aan la daabicin
church	anticipation	0.312	kaniisadda
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	murugo
denying	anticipation	0.312	beenin
analyst	anticipation	0.312	falanqeeye
judicial	anticipation	0.305	garsoor
priesthood	anticipation	0.305	wadaadnimada
broadside	anticipation	0.305	ballaaran
mill	anticipation	0.305	warshad
dismay	anticipation	0.297	naxdin
cap	anticipation	0.297	dabool
thermocouple	anticipation	0.297	heerkulbeegga
tributary	anticipation	0.297	qayb
instructor	anticipation	0.297	Macallin
exhaustion	anticipation	0.297	daal
saliva	anticipation	0.297	candhuuf
cataract	anticipation	0.289	cataract
network	anticipation	0.289	shabakad
visor	anticipation	0.289	muuqaal
shackle	anticipation	0.289	silsilado
wont	anticipation	0.289	ma yeelin
addresses	anticipation	0.289	ciwaanada
discreet	anticipation	0.289	caqli leh
noncompliance	anticipation	0.289	u hoggaansami la'aan
bruise	anticipation	0.289	nabar
homeless	anticipation	0.289	guri la'aan
astronomer	anticipation	0.281	cirbixiyeen
skewed	anticipation	0.281	qalloocan
neighbor	anticipation	0.281	deris
holiness	anticipation	0.273	quduusnimada
devil	anticipation	0.273	shaydaan
picket	anticipation	0.273	qaado
sentence	anticipation	0.273	xukun
latent	anticipation	0.273	qarsoon
cream	anticipation	0.273	kareem
immaturity	anticipation	0.273	qaan-gaarnimo
habitual	anticipation	0.266	caado u ah
morals	anticipation	0.266	anshaxa
neighborhood	anticipation	0.266	xaafad
lull	anticipation	0.266	lul
bye	anticipation	0.258	nabad gelyo
weight	anticipation	0.258	miisaanka
organ	anticipation	0.250	xubin
clown	anticipation	0.250	dharbaaxo
forearm	anticipation	0.250	dhudhun
commonplace	anticipation	0.242	meel caadi ah
quote	anticipation	0.242	xigasho
rail	anticipation	0.234	tareenka
dictatorship	anticipation	0.234	kalitalisnimo
treadmill	anticipation	0.234	mashiinka tumanka
board	anticipation	0.234	looxa
tree	anticipation	0.227	geed
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	curyaannimo
cement	anticipation	0.203	sibidh
worm	anticipation	0.203	dirxi
organization	anticipation	0.203	urur
lagging	anticipation	0.180	dib u dhac
neutral	anticipation	0.148	dhexdhexaad ah
cannibalism	disgust	0.953	dad cunnimo
mutilation	disgust	0.930	naafaynta
molestation	disgust	0.914	faraxumayn
incest	disgust	0.914	qaraabo kiil
rape	disgust	0.906	kufsi
gonorrhea	disgust	0.906	jabtada
cannibal	disgust	0.898	dad cun ah
rot	disgust	0.891	qudhuntay
corpse	disgust	0.883	mayd
massacre	disgust	0.883	xasuuq
excrement	disgust	0.883	xaar
barf	disgust	0.875	barf
slaughter	disgust	0.875	gowrac
slaughterhouse	disgust	0.867	kawaanka
incestuous	disgust	0.859	qaraabo ah
sewerage	disgust	0.859	bulaacadaha
filth	disgust	0.859	wasakh
bigot	disgust	0.859	nin weyn
rancid	disgust	0.859	rancid
infestation	disgust	0.852	duufsanaan
plague	disgust	0.852	balaayo
holocaust	disgust	0.852	xasuuq
bloodthirsty	disgust	0.852	dhiigyacab
rotting	disgust	0.844	qudhuntay
fecal	disgust	0.844	saxaro
maggot	disgust	0.844	dirxi
feces	disgust	0.844	saxaro
murder	disgust	0.839	dil
asshole	disgust	0.836	dabada
homicide	disgust	0.836	dil
enslaved	disgust	0.836	la adoonsado
infanticide	disgust	0.836	dhallaan dilid
perverted	disgust	0.828	qalloocan
excretion	disgust	0.828	soosaarid
gore	disgust	0.828	gore
slaughtering	disgust	0.828	gawraca
torture	disgust	0.828	jirdil
contaminate	disgust	0.821	wasakhaysan
revolting	disgust	0.820	gadoodsan
gory	disgust	0.820	gory
shit	disgust	0.820	xaar
terrorist	disgust	0.820	argagixisada
murderer	disgust	0.820	gacan ku dhiigle
repugnant	disgust	0.820	canaan badan
manure	disgust	0.820	digada
pervert	disgust	0.820	qalloocan
diarrhoea	disgust	0.820	shuban
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	ceebayn
faeces	disgust	0.812	saxaro
slavery	disgust	0.812	addoonsiga
sewer	disgust	0.812	bullaacadaha
cadaver	disgust	0.812	cadar
manslaughter	disgust	0.812	dilid
dismemberment	disgust	0.812	kala goyn
vomit	disgust	0.812	matag
perverse	disgust	0.805	qalloocan
repulsive	disgust	0.805	wax laga xumaado
hemorrhage	disgust	0.805	dhiigbax
sewage	disgust	0.797	bulaacadaha
filthy	disgust	0.797	wasakhaysan
diseased	disgust	0.797	buka
depravity	disgust	0.797	xumaan
carcass	disgust	0.795	bakhti
decompose	disgust	0.789	qudhun
gruesome	disgust	0.789	naxdin leh
mutilated	disgust	0.789	la googooyey
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	qudhuntay
dung	disgust	0.789	digo
vermin	disgust	0.789	cayayaan
murderous	disgust	0.789	dilaa ah
parasite	disgust	0.789	dulin
horrific	disgust	0.789	naxdin leh
carnage	disgust	0.781	xasuuq
malaria	disgust	0.781	duumada
slime	disgust	0.781	caato
flatulence	disgust	0.781	gaaska
pestilence	disgust	0.781	belaayo
crap	disgust	0.781	nacasnimo
monstrosity	disgust	0.781	bahalnimo
loathsome	disgust	0.773	karaahiyo
toxic	disgust	0.773	sun ah
morgue	disgust	0.773	qolka meydka
pus	disgust	0.773	malax
herpesvirus	disgust	0.773	fayraska herpes
leprosy	disgust	0.773	baras
insidious	disgust	0.773	khiyaano
cruel	disgust	0.766	naxariis daran
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	kudka
xenophobia	disgust	0.766	shisheeye nacayb
repugnance	disgust	0.766	canaan
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	aflagaado
whore	disgust	0.766	dhillo
dissection	disgust	0.759	kala qaybsanaan
mucous	disgust	0.758	xuub
canker	disgust	0.758	canker
slum	disgust	0.758	isku raran
infectious	disgust	0.758	faafa
evil	disgust	0.758	xumaan
phlegm	disgust	0.758	xaako
cruelty	disgust	0.758	naxariis darro
perversion	disgust	0.758	qalloocan
sinister	disgust	0.750	xumaan
leeches	disgust	0.750	caleenta
corrupting	disgust	0.750	musuqmaasuq
decomposition	disgust	0.750	burburid
abomination	disgust	0.742	karaahiyo
stinking	disgust	0.742	urayaan
bile	disgust	0.742	bile
demonic	disgust	0.742	jinni
deranged	disgust	0.742	qallafsanaan
abhorrence	disgust	0.742	karaahiyo
soiled	disgust	0.742	wasakhaysan
mucus	disgust	0.742	xab
septic	disgust	0.742	septic
sickening	disgust	0.742	buka
demon	disgust	0.742	jinni
cancer	disgust	0.734	kansarka
obese	disgust	0.734	cayilan
degeneracy	disgust	0.734	xumaan
despicable	disgust	0.734	la quudhsado
atrocity	disgust	0.734	bahalnimo
foul	disgust	0.734	xumaan
sicken	disgust	0.734	jirran
crucifixion	disgust	0.734	iskutallaabta
terrorism	disgust	0.734	argagixisada
repulsion	disgust	0.727	iska celin
morbidity	disgust	0.727	jirrada
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakteeriyada
dirty	disgust	0.727	wasakh ah
adultery	disgust	0.727	sino
contamination	disgust	0.727	faddarayn
grisly	disgust	0.727	si qallafsan
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	baaris
barbaric	disgust	0.719	barbaric
vulgar	disgust	0.719	afxumo
entrails	disgust	0.719	mindhicirka
disgust	disgust	0.719	karaahiyo
lewd	disgust	0.719	foolxumo
muck	disgust	0.719	dhuuqid
bowels	disgust	0.719	mindhicirka
garbage	disgust	0.719	qashinka
deterioration	disgust	0.719	xumaan
contagion	disgust	0.719	faafin
vicious	disgust	0.719	xumaan
disfigured	disgust	0.719	xumeeyey
pungent	disgust	0.719	bararsan
gross	disgust	0.719	guud
bloodshed	disgust	0.714	dhiig daata
gag	disgust	0.711	gag
pollute	disgust	0.711	wasakhaysan
nausea	disgust	0.711	lalabo
tyrant	disgust	0.711	daalim
wretched	disgust	0.711	xun
mortification	disgust	0.711	dilid
violent	disgust	0.711	gacan ka hadal
poisoned	disgust	0.711	sumaysan
nauseate	disgust	0.703	lalabo
slimy	disgust	0.703	caato ah
grope	disgust	0.703	haabhaab
slut	disgust	0.703	caajisnimo
nasty	disgust	0.703	xumaan
disgusting	disgust	0.703	karaahiyo
depraved	disgust	0.703	kharriban
porn	disgust	0.703	lulataaye
hateful	disgust	0.703	nacayb badan
vulgarity	disgust	0.703	foolxumo
noxious	disgust	0.703	naxsan
grime	disgust	0.703	xumaan
constipation	disgust	0.703	calool istaag
secretion	disgust	0.703	dheecaan
poisoning	disgust	0.703	sumayn
despotism	disgust	0.703	niyad jab
measles	disgust	0.696	jadeeco
contagious	disgust	0.695	faafitaan badan
obesity	disgust	0.695	cayilka
wart	disgust	0.695	burto
hate	disgust	0.695	nacayb
hellish	disgust	0.695	naarta
scum	disgust	0.695	wasaq
suicidal	disgust	0.695	isdilid
wretch	disgust	0.695	xun
abuse	disgust	0.695	xadgudub
waste	disgust	0.695	qashin
intestinal	disgust	0.695	mindhicirka
heartworm	disgust	0.688	Gooryaanka wadnaha
ooze	disgust	0.688	soo bax
treason	disgust	0.688	khiyaamo Qaran
contaminated	disgust	0.688	wasakhaysan
smut	disgust	0.688	xumeyn
disease	disgust	0.688	cudur
rabid	disgust	0.688	rabid
deformed	disgust	0.680	qalloocan
hell	disgust	0.680	cadaab
soulless	disgust	0.680	naf la'aan
cholera	disgust	0.680	daacuunka
bestial	disgust	0.680	bahalnimo
antichrist	disgust	0.680	ka gees ah
freakish	disgust	0.680	caadi ah
germ	disgust	0.680	jeermiska
detest	disgust	0.680	nacayb
pollution	disgust	0.680	wasakhowga
grimy	disgust	0.680	murugo leh
abhorrent	disgust	0.680	karaahiyo
hatred	disgust	0.680	nacayb
abominate	disgust	0.680	karaahiyo
sickness	disgust	0.680	jirro
hideous	disgust	0.672	foosha
dictatorship	disgust	0.672	kalitalisnimo
loathful	disgust	0.672	karaahiyo
greasy	disgust	0.672	dufan leh
dilapidated	disgust	0.672	dilaacsan
inhuman	disgust	0.672	bini'aadantinimada ka baxsan
loathing	disgust	0.672	nacayb
obscene	disgust	0.672	fisqi
cess	disgust	0.670	dhaaf
devil	disgust	0.664	shaydaan
deformity	disgust	0.664	qallafsanaan
nauseous	disgust	0.664	lalabo
deadly	disgust	0.664	dilaa ah
swine	disgust	0.664	doofaarka
discrimination	disgust	0.664	takoorid
abominable	disgust	0.664	karaahiyo
masochism	disgust	0.664	mashaqeysi
heretic	disgust	0.664	faasiqnimo
latrines	disgust	0.656	musqulaha
corruption	disgust	0.656	musuqmaasuqa
poisonous	disgust	0.656	sun ah
horror	disgust	0.656	argagax
nefarious	disgust	0.656	xumaan
bacteria	disgust	0.656	bakteeriyada
horrible	disgust	0.656	naxdin leh
trash	disgust	0.656	qashinka
abortion	disgust	0.656	ilmo iska soo ridid
death	disgust	0.656	dhimasho
prejudiced	disgust	0.656	cuqdad
poison	disgust	0.656	sun
oppression	disgust	0.656	dulmiga
goo	disgust	0.656	goo
victimized	disgust	0.656	dhibane
mange	disgust	0.656	manjo
sludge	disgust	0.648	dhoobo
trashy	disgust	0.648	qashinka
vindictive	disgust	0.648	aargudasho
horrid	disgust	0.648	horrid
ugly	disgust	0.648	fool xun
immoral	disgust	0.648	anshax xumo
bitch	disgust	0.648	qaniinyo
outhouse	disgust	0.648	dibadda
detestation	disgust	0.648	nacayb
horrifying	disgust	0.641	naxdin leh
laxative	disgust	0.641	calool jilciye
unsightly	disgust	0.641	aan qurxoonayn
derogatory	disgust	0.641	bahdilid
slop	disgust	0.641	dabac
malfeasance	disgust	0.641	xumaan
spew	disgust	0.641	tufid
pimple	disgust	0.641	finan
criminality	disgust	0.641	dambiile
indecency	disgust	0.641	edeb darro
cystic	disgust	0.641	cystic
villainous	disgust	0.641	xumaan
queasy	disgust	0.633	gaabsan
mildew	disgust	0.633	caariyaysi
oppressive	disgust	0.633	dulman
prostitution	disgust	0.633	dhillanimo
secrete	disgust	0.633	sir
ulcer	disgust	0.633	boog
rat	disgust	0.633	jiir
bigoted	disgust	0.633	nin jeclaysi
perpetrator	disgust	0.633	dembiilaha
doomsday	disgust	0.633	qiyaamaha
sinful	disgust	0.633	dembiile
degrading	disgust	0.625	hoos u dhigid
ghastly	disgust	0.625	si xun
suffering	disgust	0.625	silica
obscenity	disgust	0.625	fisqi
devilish	disgust	0.625	shaydaan
disgraceful	disgust	0.625	ceeb
persecution	disgust	0.625	cadaadis
contemptible	disgust	0.625	la quudhsado
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	saxaro
dastardly	disgust	0.625	caajisnimo
sin	disgust	0.625	dembi
gluttony	disgust	0.625	hunguri weyn
bloated	disgust	0.625	bararsan
fungus	disgust	0.625	fangaska
aghast	disgust	0.625	naxdin leh
diaper	disgust	0.617	xafaayadda
malicious	disgust	0.617	xaasidnimo
polygamy	disgust	0.617	guur badan
dying	disgust	0.617	dhimanaya
termite	disgust	0.617	bariis
fat	disgust	0.617	buuran
deceit	disgust	0.617	khiyaano
atrocious	disgust	0.617	bahalnimo
guillotine	disgust	0.617	guillotiin
tetanus	disgust	0.617	teetanada
spoil	disgust	0.617	kharribid
crusty	disgust	0.617	qolof leh
sickly	disgust	0.617	jirran
louse	disgust	0.617	injir
strangle	disgust	0.617	ceejin
betrayal	disgust	0.617	khiyaamo
loathe	disgust	0.617	nacayb
wench	disgust	0.617	wench
infect	disgust	0.617	qaadsiin
violently	disgust	0.609	gacan ka hadal
brothel	disgust	0.609	dhillo
drool	disgust	0.609	dharbaaxo
bleeding	disgust	0.609	dhiigbax
deform	disgust	0.609	qallafsanaan
ghetto	disgust	0.609	geeto
sabotage	disgust	0.609	qaran dumis
venomous	disgust	0.609	sun leh
abhor	disgust	0.609	karaahiyo
slander	disgust	0.609	aflagaado
hostile	disgust	0.609	colaadeed
musty	disgust	0.602	musty
illicit	disgust	0.602	xaaraan ah
ugliness	disgust	0.602	foolxumo
unwashed	disgust	0.602	aan la dhaqin
swampy	disgust	0.602	dhiiqo leh
deprivation	disgust	0.602	wax la'aan
poaching	disgust	0.602	ugaarsi
hag	disgust	0.602	hag
infidel	disgust	0.602	gaal
imprisonment	disgust	0.602	xadhig
traitor	disgust	0.602	khaa'inul waddan
lunacy	disgust	0.602	waalan
queasiness	disgust	0.594	gariir
hostility	disgust	0.594	cadaawad
repelling	disgust	0.594	iska celin
intoxicated	disgust	0.594	sakhraansan
thug	disgust	0.594	tuug
catastrophe	disgust	0.594	masiibo
lunatic	disgust	0.594	waalan
misery	disgust	0.594	darxumo
venom	disgust	0.594	sunta
butcher	disgust	0.594	hilible
toilet	disgust	0.594	musqusha
blister	disgust	0.594	finan
lurid	disgust	0.594	lurid
slug	disgust	0.594	caajisnimo
gut	disgust	0.594	mindhicirka
sinner	disgust	0.594	dembiile
deceitful	disgust	0.594	khiyaano badan
epidemic	disgust	0.594	xanuun saf-mar ah
deteriorated	disgust	0.586	xumaaday
lavatory	disgust	0.586	musqulaha
unclean	disgust	0.586	aan nadiif ahayn
prostitute	disgust	0.586	dhillo
incubus	disgust	0.586	incubus
appalling	disgust	0.586	naxdin leh
dreadful	disgust	0.586	laga cabsado
pornography	disgust	0.586	sawir qaawan
harass	disgust	0.586	dhibaatayn
squeamish	disgust	0.578	gariir
expulsion	disgust	0.578	cayrin
unfaithful	disgust	0.578	aan daacad ahayn
offensive	disgust	0.578	weerar
hypocrite	disgust	0.578	munaafaqnimo
humiliating	disgust	0.578	dullinimo
larceny	disgust	0.578	kharriban
ruinous	disgust	0.578	burburay
retard	disgust	0.578	dib u dhac
rash	disgust	0.578	finan
flea	disgust	0.578	boodada
debauchery	disgust	0.578	fusuqnimo
fiend	disgust	0.578	fiid
quagmire	disgust	0.578	gariir
conspirator	disgust	0.578	dhagar qabe
sick	disgust	0.578	buka
mangle	disgust	0.578	maangaab
dogsick	disgust	0.570	doyga
egregious	disgust	0.570	aad u xun
flog	disgust	0.570	karbaash
despise	disgust	0.570	quudhsan
treacherous	disgust	0.570	khiyaano badan
oppress	disgust	0.570	dulmi
swamp	disgust	0.570	dhiiqo
messy	disgust	0.570	qasan
spit	disgust	0.570	candhuuf
dank	disgust	0.570	dhaban
bastard	disgust	0.570	nacasnimo
devastating	disgust	0.570	halaagsamo
serpent	disgust	0.570	abeeso
loo	disgust	0.562	loo
indecent	disgust	0.562	anshax-xumo
insanity	disgust	0.562	waalli
stealing	disgust	0.562	xatooyo
terrible	disgust	0.562	laga cabsado
tyrannical	disgust	0.562	macangagnimo
humiliation	disgust	0.562	Dulli
snake	disgust	0.562	abeeso
sloppy	disgust	0.562	jilicsan
sinning	disgust	0.562	dembaabi
harmful	disgust	0.562	waxyeello leh
harlot	disgust	0.562	dhillo
sordid	disgust	0.562	sirdid
enemy	disgust	0.562	cadowga
alcoholism	disgust	0.562	khamriga
awful	disgust	0.562	aad u xun
ruthless	disgust	0.562	naxariis la'aan
scoundrel	disgust	0.562	faqash
bloody	disgust	0.555	dhiig leh
flabby	disgust	0.555	badhaadhe
odious	disgust	0.555	neceb
beastly	disgust	0.555	bahalnimo
collusion	disgust	0.555	wadashaqayn
ridicule	disgust	0.555	jeesjees
discriminating	disgust	0.555	takoorid
unattractive	disgust	0.555	aan soo jiidasho lahayn
insufferable	disgust	0.555	aan loo dulqaadan karin
segregate	disgust	0.555	kala saarid
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	hanjabaad
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	dilaa
distaste	disgust	0.555	nacayb
coward	disgust	0.555	fulay
robbery	disgust	0.555	dhac
wickedness	disgust	0.555	xumaan
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	xumaan
sty	disgust	0.547	sty
pillage	disgust	0.547	tuugo
thief	disgust	0.547	tuug
suffocating	disgust	0.547	caburin
condemnation	disgust	0.547	cambaarayn
deleterious	disgust	0.547	tir tiraya
slur	disgust	0.547	cay
purgatory	disgust	0.547	purgatory
attacking	disgust	0.547	weerar
burglar	disgust	0.547	tuug
ogre	disgust	0.547	og
coercion	disgust	0.547	jujuub
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	murugaysan
bitterly	disgust	0.547	qadhaadh
sneer	disgust	0.539	jeesjees
greedy	disgust	0.539	hunguri weyn
gob	disgust	0.539	gob
repellant	disgust	0.539	celisa
jealous	disgust	0.539	masayr
drunken	disgust	0.539	sakhraansan
shame	disgust	0.539	ceeb
thrash	disgust	0.539	cuncun
fatty	disgust	0.539	buuran
liar	disgust	0.539	beenaale
imprisoned	disgust	0.539	la xidhay
sloth	disgust	0.539	caajisnimo
repudiation	disgust	0.539	diidmo
disgrace	disgust	0.539	ceebayn
infidelity	disgust	0.539	gaalnimo
pig	disgust	0.539	doofaarka
lethal	disgust	0.536	Halis ah
burnt	disgust	0.531	gubtay
brawl	disgust	0.531	dagaal
withered	disgust	0.531	engegay
blemish	disgust	0.531	iin
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	wax laga xishoodo
smuggler	disgust	0.531	tahriibiye
painful	disgust	0.531	xanuun badan
condescension	disgust	0.531	is-hoosaysiin
intolerant	disgust	0.531	dulqaad lahayn
blasphemous	disgust	0.531	cay
lying	disgust	0.531	been sheegid
hanging	disgust	0.531	laadlaadsan
travesty	disgust	0.531	kharriban
ruined	disgust	0.531	burburay
intrusive	disgust	0.531	faragelin
disintegrate	disgust	0.531	kala daadsanaan
destructive	disgust	0.531	burburin
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	ceebayn
blighted	disgust	0.523	buray
intolerance	disgust	0.523	dulqaadasho
mistress	disgust	0.523	marwada
avarice	disgust	0.523	bahalnimo
disgraced	disgust	0.523	ceebayn
derogation	disgust	0.523	hoos u dhigid
rubbish	disgust	0.523	qashinka
accusation	disgust	0.523	eedayn
incarceration	disgust	0.523	xidhidh
tortious	disgust	0.516	jirdil badan
dishonor	disgust	0.516	sharaf dhac
stink	disgust	0.516	ur
grim	disgust	0.516	murugo
rob	disgust	0.516	dhac
defraud	disgust	0.516	khiyaamo
sump	disgust	0.516	sump
cringe	disgust	0.516	ciil
vulture	disgust	0.516	gorgorka
deplorable	disgust	0.516	wax laga xumaado
mite	disgust	0.516	caarada
eradication	disgust	0.516	ciribtirka
degrade	disgust	0.516	hoos u dhigid
gutter	disgust	0.516	biyo mareen
convict	disgust	0.516	xukun
remains	disgust	0.516	haray
betray	disgust	0.516	khiyaamo
daemon	disgust	0.516	daemon
sham	disgust	0.509	ceeb
distasteful	disgust	0.508	karaahiyo
prisoner	disgust	0.508	maxbuus
dreadfully	disgust	0.508	cabsi badan
worthless	disgust	0.508	aan qiimo lahayn
crude	disgust	0.508	cayriin
delirium	disgust	0.508	delirium
incurable	disgust	0.508	aan dawo lahayn
smelling	disgust	0.508	urinta
idiocy	disgust	0.508	nacasnimo
resentment	disgust	0.508	xanaaq
bombed	disgust	0.508	la duqeeyay
blob	disgust	0.508	buro
cheat	disgust	0.508	khiyaamo
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	diidmo
belittle	disgust	0.508	yaree
glut	disgust	0.508	hunguri weyn
disaster	disgust	0.508	masiibo
distress	disgust	0.508	cidhiidhi
pest	disgust	0.508	cayayaan
endemic	disgust	0.508	cidhiidhi
theft	disgust	0.500	xatooyo
banish	disgust	0.500	ka saarid
mire	disgust	0.500	dhoobo
flagrant	disgust	0.500	cad
derision	disgust	0.500	jeesjees
dirt	disgust	0.500	wasakh
screaming	disgust	0.500	qaylinaya
offense	disgust	0.500	gaf
jealousy	disgust	0.500	xaasidnimo
bribery	disgust	0.500	laaluush
polemic	disgust	0.500	caqiidada
blight	disgust	0.500	xanuun
impeach	disgust	0.500	xil ka qaadis
bitterness	disgust	0.500	qadhaadh
taboo	disgust	0.500	tabuu
duress	disgust	0.500	qasbid
goblin	disgust	0.500	goblin
shackle	disgust	0.500	silsilado
idolatry	disgust	0.500	sanam caabudid
greed	disgust	0.500	bakhaylnimo
impurity	disgust	0.500	wasakhnimo
tirade	disgust	0.500	tirade
idiot	disgust	0.492	doqon
boil	disgust	0.492	karkari
unconscionable	disgust	0.492	aan laga fiirsan
disreputable	disgust	0.492	sumcad xumo
robber	disgust	0.492	tuug
malign	disgust	0.492	xumaan
wreck	disgust	0.492	burburay
recession	disgust	0.492	hoos u dhac
gorge	disgust	0.492	waadi
leer	disgust	0.492	leer
ill	disgust	0.492	xanuunsan
squirm	disgust	0.492	gariir
raging	disgust	0.484	xanaaqsan
servile	disgust	0.484	adeegid
mess	disgust	0.484	qasan
nappy	disgust	0.484	xafaayad
possessed	disgust	0.484	hantiyey
unbearable	disgust	0.484	loo dulqaadan karin
occult	disgust	0.484	sixir
contraband	disgust	0.484	kontarabaanka
snarl	disgust	0.484	jahawareerin
mutiny	disgust	0.484	qallafsanaan
mad	disgust	0.484	waalan
affliction	disgust	0.484	dhibid
stain	disgust	0.484	wasakh
animosity	disgust	0.484	cadaawad
contempt	disgust	0.484	quudhsi
tramp	disgust	0.484	tuman
nepotism	disgust	0.484	qaraabo kiil
disrespectful	disgust	0.484	ixtiraam darro
defamation	disgust	0.484	sumcad dilid
inexcusable	disgust	0.484	cudurdaar la'aan
aversation	disgust	0.484	nacayb
wasteful	disgust	0.484	qashin
offender	disgust	0.484	dembiilaha
subjugation	disgust	0.484	hoosaysiin
illegality	disgust	0.477	sharci darro
dismal	disgust	0.477	xumaan
criminal	disgust	0.477	dambiile
unpleasant	disgust	0.477	aan fiicnayn
palsy	disgust	0.477	curyaan
antagonistic	disgust	0.477	iska soo horjeeda
pathetic	disgust	0.477	naxariis badan
uncaring	disgust	0.477	daryeel la'aan
suppression	disgust	0.477	cabudhinta
immorality	disgust	0.477	anshax xumo
mockery	disgust	0.477	jeesjees
outrage	disgust	0.469	xanaaq
mocking	disgust	0.469	jeesjees
wallow	disgust	0.469	wallow
cough	disgust	0.469	qufac
arrogant	disgust	0.469	kibirsan
angry	disgust	0.469	xanaaqsan
poverty	disgust	0.469	faqrinimo
grating	disgust	0.469	daadin
livid	disgust	0.469	livid
aggravation	disgust	0.469	sii xumaansho
repellent	disgust	0.469	celisa
perspiration	disgust	0.469	dhididka
banishment	disgust	0.469	ka saarid
furious	disgust	0.469	xanaaqsan
shoddy	disgust	0.469	xishood badan
banshee	disgust	0.469	banshee
deceive	disgust	0.461	khiyaamo
fool	disgust	0.461	doqon
quack	disgust	0.461	gariir
distorted	disgust	0.461	qalloocan
spider	disgust	0.461	caaro
unjustifiable	disgust	0.461	qiil la'aan
deplore	disgust	0.461	ka xumaado
spurious	disgust	0.461	khayaali
perdition	disgust	0.461	halaag
muddy	disgust	0.461	dhiiqo leh
fraudulent	disgust	0.461	khayaano
scar	disgust	0.461	nabar
prick	disgust	0.461	durid
insulting	disgust	0.461	cayda
plunder	disgust	0.461	dhaca
recklessness	disgust	0.461	taxadar la'aan
stigma	disgust	0.453	ceebayn
disparage	disgust	0.453	ceebayn
unthinkable	disgust	0.453	aan la malayn karin
disingenuous	disgust	0.453	caqli-xumo
bane	disgust	0.453	ban
dishonest	disgust	0.453	daacadnimo
aphid	disgust	0.453	aphid
elimination	disgust	0.453	tirtirid
cur	disgust	0.453	cur
selfish	disgust	0.453	danayste
eschew	disgust	0.453	ka baxso
dire	disgust	0.453	daran
indignation	disgust	0.453	cadho
antipathy	disgust	0.453	nacaybka
alienate	disgust	0.453	fogayn
mosquito	disgust	0.445	kaneecada
piles	disgust	0.445	tuulan
pious	disgust	0.445	cibaado leh
lie	disgust	0.445	been sheegid
opium	disgust	0.445	opium
smell	disgust	0.445	ur
iniquity	disgust	0.445	xumaan
caries	disgust	0.445	suuska
despair	disgust	0.445	quusasho
recalcitrant	disgust	0.445	cagajiid
egotistical	disgust	0.445	egotistical
wasted	disgust	0.445	khasaaray
vacuous	disgust	0.445	bannaan
bankruptcy	disgust	0.445	kiciyey
garish	disgust	0.445	garasho
obnoxious	disgust	0.438	foolxun
ashamed	disgust	0.438	xishood
