English Word	Emotion	Emotion-Intensity-Score	Kazakh Word
passenger	anticipation	0.438	жолаушы
charitable	anticipation	0.430	қайырымдылық
tabulate	anticipation	0.430	кестелеу
peace	anticipation	0.430	бейбітшілік
install	anticipation	0.430	орнату
serenity	anticipation	0.430	тыныштық
venerable	anticipation	0.430	құрметті
spa	anticipation	0.430	спа
labyrinth	anticipation	0.430	лабиринт
luscious	anticipation	0.430	тәтті
perpetuate	anticipation	0.430	мәңгі ету
strategist	anticipation	0.430	стратег
unverified	anticipation	0.430	тексерілмеген
tribunal	anticipation	0.430	трибунал
clap	anticipation	0.430	шапалақтау
peaceful	anticipation	0.422	бейбіт
patience	anticipation	0.422	шыдамдылық
unresolved	anticipation	0.422	шешілмеген
worship	anticipation	0.422	ғибадат ету
edification	anticipation	0.422	тәрбиелеу
oasis	anticipation	0.422	оазис
grin	anticipation	0.422	күлу
revere	anticipation	0.422	қастерлеу
candid	anticipation	0.422	ашық
vista	anticipation	0.422	көру
conspirator	anticipation	0.422	қастандық жасаушы
adrift	anticipation	0.422	адасқан
recognizable	anticipation	0.422	танылатын
volatility	anticipation	0.422	құбылмалылық
forestall	anticipation	0.422	алдын алу
laughter	anticipation	0.422	күлкі
continue	anticipation	0.414	жалғастыру
ongoing	anticipation	0.414	жалғасуда
astrologer	anticipation	0.414	астролог
mediate	anticipation	0.414	делдалдық
punctual	anticipation	0.414	ұқыпты
grant	anticipation	0.414	грант
morn	anticipation	0.414	таң
pretty	anticipation	0.414	әдемі
withstand	anticipation	0.414	қарсы тұру
frisky	anticipation	0.414	қызық
thought	anticipation	0.414	ой
probation	anticipation	0.414	сынақ мерзімі
ordination	anticipation	0.414	тағайындау
calls	anticipation	0.414	қоңыраулар
detainee	anticipation	0.414	ұсталған
craps	anticipation	0.414	крапс
weigh	anticipation	0.414	салмақ
proficiency	anticipation	0.414	шеберлік
sing	anticipation	0.411	ән айту
continuation	anticipation	0.406	жалғасы
university	anticipation	0.406	университет
chicane	anticipation	0.406	шикан
nurture	anticipation	0.406	тәрбиелеу
mother	anticipation	0.406	ана
punished	anticipation	0.406	жазаланды
twinkle	anticipation	0.406	жыпылықтау
confession	anticipation	0.406	мойындау
outdo	anticipation	0.406	асып кету
prophylactic	anticipation	0.406	профилактикалық
proud	anticipation	0.406	мақтаныш
midwife	anticipation	0.406	акушерка
wizard	anticipation	0.406	шебер
headlight	anticipation	0.406	фара
long	anticipation	0.406	ұзақ
banquet	anticipation	0.406	банкет
comfort	anticipation	0.406	жайлылық
navigable	anticipation	0.406	навигацияға жарамды
subscribe	anticipation	0.406	жазылу
opponent	anticipation	0.406	қарсылас
debenture	anticipation	0.406	облигация
deal	anticipation	0.402	мәміле
symphony	anticipation	0.398	симфония
saintly	anticipation	0.398	әулие
judiciary	anticipation	0.398	сот жүйесі
lettered	anticipation	0.398	әріппен жазылған
vigil	anticipation	0.398	сергектік
reliance	anticipation	0.398	тәуелділік
distracting	anticipation	0.398	алаңдатады
mortification	anticipation	0.398	ренжіту
balm	anticipation	0.398	бальзам
simmer	anticipation	0.398	қайнатыңыз
top	anticipation	0.398	жоғарғы
obliging	anticipation	0.398	міндеттеу
efficient	anticipation	0.398	нәтижелі
guillotine	anticipation	0.398	гильотина
representing	anticipation	0.398	білдіретін
death	anticipation	0.398	өлім
assurance	anticipation	0.391	кепілдік
familiarity	anticipation	0.391	танысу
depraved	anticipation	0.391	бұзылған
condemnation	anticipation	0.391	айыптау
undoubted	anticipation	0.391	сөзсіз
sanctify	anticipation	0.391	қасиетті ету
diplomacy	anticipation	0.391	дипломатия
antidote	anticipation	0.391	антидот
trust	anticipation	0.391	сенім
linger	anticipation	0.391	кідірту
objective	anticipation	0.391	объективті
chuckle	anticipation	0.391	күлу
poke	anticipation	0.391	келемеждеу
abeyance	anticipation	0.391	тоқтау
maternal	anticipation	0.391	аналық
art	anticipation	0.391	өнер
unfulfilled	anticipation	0.391	орындалмаған
inoculation	anticipation	0.384	егу
simplify	anticipation	0.383	жеңілдету
depend	anticipation	0.383	тәуелді
chant	anticipation	0.383	ән айту
ram	anticipation	0.383	Жедел Жадтау Құрылғысы
banger	anticipation	0.383	бангер
playground	anticipation	0.383	ойын алаңы
labor	anticipation	0.383	еңбек
scientist	anticipation	0.383	ғалым
good	anticipation	0.383	жақсы
humanitarian	anticipation	0.383	гуманитарлық
failing	anticipation	0.383	сәтсіздікке
hap	anticipation	0.383	хап
dutiful	anticipation	0.383	парызшыл
hymn	anticipation	0.383	гимн
ship	anticipation	0.383	кеме
discretion	anticipation	0.383	қалау
undecided	anticipation	0.383	шешілмеген
gradual	anticipation	0.375	біртіндеп
navigator	anticipation	0.375	навигатор
track	anticipation	0.375	трек
cradle	anticipation	0.375	бесік
sterling	anticipation	0.375	стерлинг
interim	anticipation	0.375	аралық
clock	anticipation	0.375	сағат
mountain	anticipation	0.375	тау
interminable	anticipation	0.375	бітпейтін
public	anticipation	0.375	қоғамдық
recurrent	anticipation	0.375	қайталанатын
savor	anticipation	0.375	дәмін тат
abide	anticipation	0.367	ұстану
concealed	anticipation	0.367	жасырын
spear	anticipation	0.367	найза
lesson	anticipation	0.367	сабақ
instructions	anticipation	0.367	нұсқаулар
sonar	anticipation	0.367	сонар
biennial	anticipation	0.367	екіжылдық
convince	anticipation	0.367	сендіру
whim	anticipation	0.367	қыңырлық
shiver	anticipation	0.367	қалтырап
towering	anticipation	0.367	биік
musical	anticipation	0.367	музыкалық
offset	anticipation	0.359	офсет
theory	anticipation	0.359	теория
theology	anticipation	0.359	теология
undying	anticipation	0.359	өлмейтін
timidity	anticipation	0.359	ұялшақтық
plump	anticipation	0.359	толық
atone	anticipation	0.359	өтеу
audience	anticipation	0.357	аудитория
dietary	anticipation	0.352	диеталық
consecration	anticipation	0.352	бағыштау
localize	anticipation	0.352	локализациялау
paragon	anticipation	0.352	парагон
store	anticipation	0.352	дүкен
farm	anticipation	0.352	ферма
daily	anticipation	0.352	күнделікті
cramp	anticipation	0.352	құрысу
nobility	anticipation	0.352	тектілік
closure	anticipation	0.352	жабу
edition	anticipation	0.352	басылым
kindred	anticipation	0.352	туысқан
stripped	anticipation	0.344	шешілген
errand	anticipation	0.344	тапсырма
archaeology	anticipation	0.344	археология
mutable	anticipation	0.344	өзгермелі
wireless	anticipation	0.344	сымсыз
meditate	anticipation	0.344	медитация жасау
mobile	anticipation	0.344	ұялы
germ	anticipation	0.336	микроб
brotherly	anticipation	0.336	бауырлас
lessen	anticipation	0.336	азайту
unbeaten	anticipation	0.336	жеңілмеген
pare	anticipation	0.336	паре
buddy	anticipation	0.336	дос
unaccountable	anticipation	0.336	жауапсыз
dove	anticipation	0.328	көгершін
patient	anticipation	0.328	пациент
secular	anticipation	0.328	зайырлы
digress	anticipation	0.328	шегіну
chastity	anticipation	0.328	пәктік
council	anticipation	0.328	кеңес
olfactory	anticipation	0.328	иіс сезу
ribbon	anticipation	0.328	таспа
possess	anticipation	0.328	ие болу
disposed	anticipation	0.320	кәдеге жаратылған
scrutinize	anticipation	0.320	мұқият қарап шығу
immature	anticipation	0.320	жетілмеген
mediator	anticipation	0.320	медиатор
regularity	anticipation	0.320	жүйелілік
cove	anticipation	0.320	бұғаз
infanticide	anticipation	0.320	нәресте өлтіру
paddle	anticipation	0.320	қалақ
heft	anticipation	0.320	ауыр
fancy	anticipation	0.320	сәнді
preservative	anticipation	0.320	консервант
unpublished	anticipation	0.312	жарияланбаған
church	anticipation	0.312	шіркеу
bugle	anticipation	0.312	буыл
grim	anticipation	0.312	сұмдық
denying	anticipation	0.312	жоққа шығару
analyst	anticipation	0.312	талдаушы
judicial	anticipation	0.305	сот
priesthood	anticipation	0.305	әулиелік
broadside	anticipation	0.305	кең жағы
mill	anticipation	0.305	диірмен
dismay	anticipation	0.297	үрей
cap	anticipation	0.297	қақпақ
thermocouple	anticipation	0.297	термопар
tributary	anticipation	0.297	ағыны
instructor	anticipation	0.297	нұсқаушы
exhaustion	anticipation	0.297	шаршау
saliva	anticipation	0.297	сілекей
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	желі
visor	anticipation	0.289	визор
shackle	anticipation	0.289	бұғау
wont	anticipation	0.289	болмайды
addresses	anticipation	0.289	мекенжайлар
discreet	anticipation	0.289	ақылды
noncompliance	anticipation	0.289	сәйкессіздік
bruise	anticipation	0.289	көгеру
homeless	anticipation	0.289	баспанасыз
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	қисайған
neighbor	anticipation	0.281	көрші
holiness	anticipation	0.273	киелілік
devil	anticipation	0.273	шайтан
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	сөйлем
latent	anticipation	0.273	жасырын
cream	anticipation	0.273	крем
immaturity	anticipation	0.273	жетілмегендік
habitual	anticipation	0.266	үйреншікті
morals	anticipation	0.266	мораль
neighborhood	anticipation	0.266	Көршілестік
lull	anticipation	0.266	тыныштық
bye	anticipation	0.258	сау бол
weight	anticipation	0.258	салмақ
organ	anticipation	0.250	орган
clown	anticipation	0.250	сайқымазақ
forearm	anticipation	0.250	білек
commonplace	anticipation	0.242	кәдімгі
quote	anticipation	0.242	дәйексөз
rail	anticipation	0.234	темір жол
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	жүгіру жолы
board	anticipation	0.234	тақта
tree	anticipation	0.227	ағаш
sundial	anticipation	0.227	күн сағаты
paralysis	anticipation	0.211	паралич
cement	anticipation	0.203	цемент
worm	anticipation	0.203	құрт
organization	anticipation	0.203	ұйымдастыру
lagging	anticipation	0.180	артта қалу
neutral	anticipation	0.148	бейтарап
cannibalism	disgust	0.953	каннибализм
mutilation	disgust	0.930	жарақаттау
molestation	disgust	0.914	зорлау
incest	disgust	0.914	инцест
rape	disgust	0.906	зорлау
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	каннибал
rot	disgust	0.891	шірік
corpse	disgust	0.883	мәйіт
massacre	disgust	0.883	қырғын
excrement	disgust	0.883	нәжіс
barf	disgust	0.875	барф
slaughter	disgust	0.875	сою
slaughterhouse	disgust	0.867	қасапхана
incestuous	disgust	0.859	туысқандық
sewerage	disgust	0.859	кәріз
filth	disgust	0.859	лас
bigot	disgust	0.859	фанат
rancid	disgust	0.859	ащы
infestation	disgust	0.852	инвазия
plague	disgust	0.852	оба
holocaust	disgust	0.852	Холокост
bloodthirsty	disgust	0.852	қанішер
rotting	disgust	0.844	шірік
fecal	disgust	0.844	нәжіс
maggot	disgust	0.844	құрт
feces	disgust	0.844	нәжіс
murder	disgust	0.839	кісі өлтіру
asshole	disgust	0.836	Нақұрыс
homicide	disgust	0.836	кісі өлтіру
enslaved	disgust	0.836	құлдықта
infanticide	disgust	0.836	нәресте өлтіру
perverted	disgust	0.828	бұрмаланған
excretion	disgust	0.828	экскреция
gore	disgust	0.828	гор
slaughtering	disgust	0.828	сою
torture	disgust	0.828	азаптау
contaminate	disgust	0.821	ластану
revolting	disgust	0.820	бүлікші
gory	disgust	0.820	горы
shit	disgust	0.820	боқ
terrorist	disgust	0.820	террорист
murderer	disgust	0.820	қанішер
repugnant	disgust	0.820	жиіркенішті
manure	disgust	0.820	көң
pervert	disgust	0.820	бұзық
diarrhoea	disgust	0.820	диарея
grotesque	disgust	0.820	гротеск
desecration	disgust	0.820	қорлау
faeces	disgust	0.812	нәжіс
slavery	disgust	0.812	құлдық
sewer	disgust	0.812	кәріз
cadaver	disgust	0.812	мәйіт
manslaughter	disgust	0.812	адам өлтіру
dismemberment	disgust	0.812	бөлшектеу
vomit	disgust	0.812	құсу
perverse	disgust	0.805	бұзық
repulsive	disgust	0.805	жиіркенішті
hemorrhage	disgust	0.805	қан кету
sewage	disgust	0.797	канализация
filthy	disgust	0.797	лас
diseased	disgust	0.797	ауру
depravity	disgust	0.797	азғындық
carcass	disgust	0.795	ұшасы
decompose	disgust	0.789	ыдырату
gruesome	disgust	0.789	қорқынышты
mutilated	disgust	0.789	кесілген
puke	disgust	0.789	құсу
herpes	disgust	0.789	герпес
decayed	disgust	0.789	шіріген
dung	disgust	0.789	тезек
vermin	disgust	0.789	зиянкестер
murderous	disgust	0.789	қанішер
parasite	disgust	0.789	паразит
horrific	disgust	0.789	қорқынышты
carnage	disgust	0.781	қырғын
malaria	disgust	0.781	безгек
slime	disgust	0.781	шлам
flatulence	disgust	0.781	метеоризм
pestilence	disgust	0.781	індет
crap	disgust	0.781	ақымақ
monstrosity	disgust	0.781	құбыжық
loathsome	disgust	0.773	жексұрын
toxic	disgust	0.773	улы
morgue	disgust	0.773	мәйітхана
pus	disgust	0.773	ірің
herpesvirus	disgust	0.773	герпес вирусы
leprosy	disgust	0.773	алапес
insidious	disgust	0.773	қулық
cruel	disgust	0.766	қатыгез
regurgitation	disgust	0.766	регургитация
anthrax	disgust	0.766	күйдіргі
xenophobia	disgust	0.766	ксенофобия
repugnance	disgust	0.766	жексұрындық
lynch	disgust	0.766	линч
revulsion	disgust	0.766	ренжіту
whore	disgust	0.766	жезөкше
dissection	disgust	0.759	диссекция
mucous	disgust	0.758	шырышты
canker	disgust	0.758	ісік
slum	disgust	0.758	қараңғы қала
infectious	disgust	0.758	жұқпалы
evil	disgust	0.758	жауыз
phlegm	disgust	0.758	қақырық
cruelty	disgust	0.758	қатыгездік
perversion	disgust	0.758	бұрмалау
sinister	disgust	0.750	қасіретті
leeches	disgust	0.750	сүлгілер
corrupting	disgust	0.750	бүлдіретін
decomposition	disgust	0.750	ыдырау
abomination	disgust	0.742	жексұрындық
stinking	disgust	0.742	сасық
bile	disgust	0.742	өт
demonic	disgust	0.742	жын
deranged	disgust	0.742	есінен танған
abhorrence	disgust	0.742	жек көрушілік
soiled	disgust	0.742	ластанған
mucus	disgust	0.742	шырыш
septic	disgust	0.742	септикалық
sickening	disgust	0.742	ауру
demon	disgust	0.742	жын
cancer	disgust	0.734	қатерлі ісік
obese	disgust	0.734	семіздік
degeneracy	disgust	0.734	дегенерация
despicable	disgust	0.734	жексұрын
atrocity	disgust	0.734	зұлымдық
foul	disgust	0.734	дөрекі
sicken	disgust	0.734	ауру
crucifixion	disgust	0.734	айқышқа шегелену
terrorism	disgust	0.734	терроризм
repulsion	disgust	0.727	итермелеу
morbidity	disgust	0.727	аурушаңдық
dysentery	disgust	0.727	дизентерия
enema	disgust	0.727	клизма
bacterium	disgust	0.727	бактерия
dirty	disgust	0.727	лас
adultery	disgust	0.727	зинақорлық
contamination	disgust	0.727	ластану
grisly	disgust	0.727	сұмдық
diabolical	disgust	0.727	шайтандық
autopsy	disgust	0.719	аутопсия
barbaric	disgust	0.719	варварлық
vulgar	disgust	0.719	дөрекі
entrails	disgust	0.719	ішектер
disgust	disgust	0.719	жиіркеніш
lewd	disgust	0.719	азғын
muck	disgust	0.719	мылжың
bowels	disgust	0.719	ішектер
garbage	disgust	0.719	қоқыс
deterioration	disgust	0.719	нашарлауы
contagion	disgust	0.719	жұқтыру
vicious	disgust	0.719	жауыз
disfigured	disgust	0.719	пішіні бұзылған
pungent	disgust	0.719	өткір
gross	disgust	0.719	өрескел
bloodshed	disgust	0.714	қантөгіс
gag	disgust	0.711	гаг
pollute	disgust	0.711	ластау
nausea	disgust	0.711	жүрек айнуы
tyrant	disgust	0.711	тиран
wretched	disgust	0.711	бейшара
mortification	disgust	0.711	ренжіту
violent	disgust	0.711	зорлық-зомбылық
poisoned	disgust	0.711	уланған
nauseate	disgust	0.703	жүрек айну
slimy	disgust	0.703	шырышты
grope	disgust	0.703	сырлау
slut	disgust	0.703	шлюха
nasty	disgust	0.703	жағымсыз
disgusting	disgust	0.703	жиіркенішті
depraved	disgust	0.703	бұзылған
porn	disgust	0.703	порно
hateful	disgust	0.703	жек көретін
vulgarity	disgust	0.703	тұрпайылық
noxious	disgust	0.703	зиянды
grime	disgust	0.703	кір
constipation	disgust	0.703	іш қату
secretion	disgust	0.703	секреция
poisoning	disgust	0.703	улану
despotism	disgust	0.703	деспотизм
measles	disgust	0.696	қызылша
contagious	disgust	0.695	жұқпалы
obesity	disgust	0.695	семіздік
wart	disgust	0.695	сүйел
hate	disgust	0.695	жек көру
hellish	disgust	0.695	тозақ
scum	disgust	0.695	қоқыс
suicidal	disgust	0.695	суицидтік
wretch	disgust	0.695	бейшара
abuse	disgust	0.695	теріс пайдалану
waste	disgust	0.695	жарату
intestinal	disgust	0.695	ішек
heartworm	disgust	0.688	жүрек құрты
ooze	disgust	0.688	ағын
treason	disgust	0.688	сатқындық
contaminated	disgust	0.688	ластанған
smut	disgust	0.688	мылжың
disease	disgust	0.688	ауру
rabid	disgust	0.688	құтырған
deformed	disgust	0.680	деформацияланған
hell	disgust	0.680	тозақ
soulless	disgust	0.680	жансыз
cholera	disgust	0.680	тырысқақ
bestial	disgust	0.680	хайуандық
antichrist	disgust	0.680	антихрист
freakish	disgust	0.680	таңқаларлық
germ	disgust	0.680	микроб
detest	disgust	0.680	жек көру
pollution	disgust	0.680	ластану
grimy	disgust	0.680	лас
abhorrent	disgust	0.680	жиренішті
hatred	disgust	0.680	өшпенділік
abominate	disgust	0.680	жексұрын
sickness	disgust	0.680	ауру
hideous	disgust	0.672	қорқынышты
dictatorship	disgust	0.672	диктатура
loathful	disgust	0.672	жиіркенішті
greasy	disgust	0.672	майлы
dilapidated	disgust	0.672	тозған
inhuman	disgust	0.672	адамгершілікке жатпайтын
loathing	disgust	0.672	жек көру
obscene	disgust	0.672	әдепсіз
cess	disgust	0.670	cess
devil	disgust	0.664	шайтан
deformity	disgust	0.664	деформация
nauseous	disgust	0.664	жүрек айну
deadly	disgust	0.664	өлімге әкелетін
swine	disgust	0.664	шошқа
discrimination	disgust	0.664	кемсітушілік
abominable	disgust	0.664	жексұрын
masochism	disgust	0.664	мазохизм
heretic	disgust	0.664	бидғатшы
latrines	disgust	0.656	дәретханалар
corruption	disgust	0.656	сыбайлас жемқорлық
poisonous	disgust	0.656	улы
horror	disgust	0.656	қорқыныш
nefarious	disgust	0.656	жауыз
bacteria	disgust	0.656	бактериялар
horrible	disgust	0.656	қорқынышты
trash	disgust	0.656	қоқыс
abortion	disgust	0.656	аборт
death	disgust	0.656	өлім
prejudiced	disgust	0.656	алдын ала қарау
poison	disgust	0.656	улану
oppression	disgust	0.656	езгі
goo	disgust	0.656	жақсы
victimized	disgust	0.656	құрбан болды
mange	disgust	0.656	қотыр
sludge	disgust	0.648	шлам
trashy	disgust	0.648	қоқыс
vindictive	disgust	0.648	кекшіл
horrid	disgust	0.648	қорқынышты
ugly	disgust	0.648	ұсқынсыз
immoral	disgust	0.648	әдепсіз
bitch	disgust	0.648	қаншық
outhouse	disgust	0.648	үйден тыс
detestation	disgust	0.648	жек көрушілік
horrifying	disgust	0.641	қорқынышты
laxative	disgust	0.641	іш жүргізетін
unsightly	disgust	0.641	көріксіз
derogatory	disgust	0.641	қорлайтын
slop	disgust	0.641	еңіс
malfeasance	disgust	0.641	теріс қылық
spew	disgust	0.641	шашу
pimple	disgust	0.641	безеу
criminality	disgust	0.641	қылмыстылық
indecency	disgust	0.641	әдепсіздік
cystic	disgust	0.641	кисталы
villainous	disgust	0.641	зұлым
queasy	disgust	0.633	ыңғайсыз
mildew	disgust	0.633	көгеру
oppressive	disgust	0.633	қысымшылық
prostitution	disgust	0.633	жезөкшелік
secrete	disgust	0.633	бөлу
ulcer	disgust	0.633	жара
rat	disgust	0.633	егеуқұйрық
bigoted	disgust	0.633	фанат
perpetrator	disgust	0.633	қылмыскер
doomsday	disgust	0.633	қиямет күні
sinful	disgust	0.633	күнәкар
degrading	disgust	0.625	қорлайтын
ghastly	disgust	0.625	сұмдық
suffering	disgust	0.625	азап
obscenity	disgust	0.625	ұятсыздық
devilish	disgust	0.625	шайтандық
disgraceful	disgust	0.625	масқара
persecution	disgust	0.625	қудалау
contemptible	disgust	0.625	жексұрын
cuckold	disgust	0.625	көкірекше
stools	disgust	0.625	нәжіс
dastardly	disgust	0.625	ақымақ
sin	disgust	0.625	күнә
gluttony	disgust	0.625	ашкөздік
bloated	disgust	0.625	ісінген
fungus	disgust	0.625	саңырауқұлақ
aghast	disgust	0.625	ашулы
diaper	disgust	0.617	жөргек
malicious	disgust	0.617	зиянды
polygamy	disgust	0.617	көп әйел алу
dying	disgust	0.617	өліп жатыр
termite	disgust	0.617	термит
fat	disgust	0.617	май
deceit	disgust	0.617	алдау
atrocious	disgust	0.617	қатыгез
guillotine	disgust	0.617	гильотина
tetanus	disgust	0.617	сіреспе
spoil	disgust	0.617	бүлдіру
crusty	disgust	0.617	қытырлақ
sickly	disgust	0.617	ауру
louse	disgust	0.617	бит
strangle	disgust	0.617	тұншықтырып өлтіру
betrayal	disgust	0.617	сатқындық
loathe	disgust	0.617	жек көру
wench	disgust	0.617	венч
infect	disgust	0.617	жұқтыру
violently	disgust	0.609	зорлықпен
brothel	disgust	0.609	жезөкшелер үйі
drool	disgust	0.609	аққу
bleeding	disgust	0.609	қан кету
deform	disgust	0.609	деформация
ghetto	disgust	0.609	гетто
sabotage	disgust	0.609	саботаж
venomous	disgust	0.609	улы
abhor	disgust	0.609	жек көру
slander	disgust	0.609	жала жабу
hostile	disgust	0.609	дұшпандық
musty	disgust	0.602	көгерген
illicit	disgust	0.602	заңсыз
ugliness	disgust	0.602	ұсқынсыздық
unwashed	disgust	0.602	жуылмаған
swampy	disgust	0.602	батпақты
deprivation	disgust	0.602	айыру
poaching	disgust	0.602	браконьерлік
hag	disgust	0.602	хаг
infidel	disgust	0.602	кәпір
imprisonment	disgust	0.602	бас бостандығынан айыру
traitor	disgust	0.602	сатқын
lunacy	disgust	0.602	жындылық
queasiness	disgust	0.594	ыңғайсыздық
hostility	disgust	0.594	дұшпандық
repelling	disgust	0.594	тойтару
intoxicated	disgust	0.594	мас
thug	disgust	0.594	бұзақы
catastrophe	disgust	0.594	апат
lunatic	disgust	0.594	жынды
misery	disgust	0.594	қасірет
venom	disgust	0.594	у
butcher	disgust	0.594	қасапшы
toilet	disgust	0.594	дәретхана
blister	disgust	0.594	көпіршік
lurid	disgust	0.594	сұмдық
slug	disgust	0.594	шлам
gut	disgust	0.594	ішек
sinner	disgust	0.594	күнәкар
deceitful	disgust	0.594	алдамшы
epidemic	disgust	0.594	эпидемия
deteriorated	disgust	0.586	нашарлады
lavatory	disgust	0.586	дәретхана
unclean	disgust	0.586	таза емес
prostitute	disgust	0.586	жезөкше
incubus	disgust	0.586	инкубус
appalling	disgust	0.586	қорқынышты
dreadful	disgust	0.586	қорқынышты
pornography	disgust	0.586	порнография
harass	disgust	0.586	қудалау
squeamish	disgust	0.578	қыңыр
expulsion	disgust	0.578	шығару
unfaithful	disgust	0.578	опасыз
offensive	disgust	0.578	шабуылдаушы
hypocrite	disgust	0.578	екіжүзді
humiliating	disgust	0.578	қорлау
larceny	disgust	0.578	ұрлық
ruinous	disgust	0.578	бүлдіргіш
retard	disgust	0.578	тежеу
rash	disgust	0.578	бөртпе
flea	disgust	0.578	бүрге
debauchery	disgust	0.578	азғындық
fiend	disgust	0.578	жын
quagmire	disgust	0.578	батпақ
conspirator	disgust	0.578	қастандық жасаушы
sick	disgust	0.578	ауру
mangle	disgust	0.578	мәңгүрт
dogsick	disgust	0.570	ит ауру
egregious	disgust	0.570	өрескел
flog	disgust	0.570	қамшы
despise	disgust	0.570	менсінбеу
treacherous	disgust	0.570	сатқын
oppress	disgust	0.570	қысым жасау
swamp	disgust	0.570	батпақ
messy	disgust	0.570	ретсіз
spit	disgust	0.570	түкіру
dank	disgust	0.570	дымқыл
bastard	disgust	0.570	Жетесіз
devastating	disgust	0.570	жойқын
serpent	disgust	0.570	жылан
loo	disgust	0.562	дәретхана
indecent	disgust	0.562	әдепсіз
insanity	disgust	0.562	ақылсыздық
stealing	disgust	0.562	ұрлау
terrible	disgust	0.562	қорқынышты
tyrannical	disgust	0.562	тираниялық
humiliation	disgust	0.562	қорлау
snake	disgust	0.562	жылан
sloppy	disgust	0.562	жалқау
sinning	disgust	0.562	күнә жасау
harmful	disgust	0.562	зиянды
harlot	disgust	0.562	жезөкше
sordid	disgust	0.562	сұмдық
enemy	disgust	0.562	жау
alcoholism	disgust	0.562	алкоголизм
awful	disgust	0.562	қорқынышты
ruthless	disgust	0.562	аяусыз
scoundrel	disgust	0.562	арамза
bloody	disgust	0.555	қанды
flabby	disgust	0.555	жалқау
odious	disgust	0.555	жексұрын
beastly	disgust	0.555	хайуандық
collusion	disgust	0.555	сөз байласу
ridicule	disgust	0.555	мазақ ету
discriminating	disgust	0.555	кемсітушілік
unattractive	disgust	0.555	тартымсыз
insufferable	disgust	0.555	төзгісіз
segregate	disgust	0.555	бөлу
arsenic	disgust	0.555	мышьяк
threatening	disgust	0.555	қорқыту
atrophy	disgust	0.555	атрофиясы
varicella	disgust	0.555	желшешек
slayer	disgust	0.555	өлтіруші
distaste	disgust	0.555	ұнатпау
coward	disgust	0.555	қорқақ
robbery	disgust	0.555	тонау
wickedness	disgust	0.555	зұлымдық
anathema	disgust	0.547	анатема
malevolent	disgust	0.547	зұлым
sty	disgust	0.547	ағаш
pillage	disgust	0.547	тонау
thief	disgust	0.547	ұры
suffocating	disgust	0.547	тұншықтырғыш
condemnation	disgust	0.547	айыптау
deleterious	disgust	0.547	зиянды
slur	disgust	0.547	былғау
purgatory	disgust	0.547	тазарту
attacking	disgust	0.547	шабуыл жасау
burglar	disgust	0.547	ұры
ogre	disgust	0.547	дәу
coercion	disgust	0.547	мәжбүрлеу
vesicular	disgust	0.547	везикулярлы
miserable	disgust	0.547	аянышты
bitterly	disgust	0.547	ащы
sneer	disgust	0.539	мысқылдау
greedy	disgust	0.539	ашкөз
gob	disgust	0.539	гоб
repellant	disgust	0.539	репеллент
jealous	disgust	0.539	қызғаныш
drunken	disgust	0.539	мас
shame	disgust	0.539	ұят
thrash	disgust	0.539	соққы
fatty	disgust	0.539	майлы
liar	disgust	0.539	өтірікші
imprisoned	disgust	0.539	түрмеге қамалды
sloth	disgust	0.539	жалқау
repudiation	disgust	0.539	бас тарту
disgrace	disgust	0.539	масқара
infidelity	disgust	0.539	опасыздық
pig	disgust	0.539	шошқа
lethal	disgust	0.536	өлімге әкелетін
burnt	disgust	0.531	өртенген
brawl	disgust	0.531	төбелес
withered	disgust	0.531	қурап қалды
blemish	disgust	0.531	дақ
hydrocephalus	disgust	0.531	гидроцефалия
aberration	disgust	0.531	ауытқу
smuggler	disgust	0.531	контрабандашы
painful	disgust	0.531	ауыртады
condescension	disgust	0.531	кемсіту
intolerant	disgust	0.531	төзімсіз
blasphemous	disgust	0.531	күпірлік
lying	disgust	0.531	өтірік айту
hanging	disgust	0.531	ілулі
travesty	disgust	0.531	травестия
ruined	disgust	0.531	қираған
intrusive	disgust	0.531	интрузивті
disintegrate	disgust	0.531	ыдырау
destructive	disgust	0.531	деструктивті
neurotic	disgust	0.531	невротикалық
disparaging	disgust	0.523	кемсіту
blighted	disgust	0.523	күйіп кеткен
intolerance	disgust	0.523	төзімсіздік
mistress	disgust	0.523	қожайын
avarice	disgust	0.523	сараңдық
disgraced	disgust	0.523	масқара болды
derogation	disgust	0.523	шектеу
rubbish	disgust	0.523	қоқыс
accusation	disgust	0.523	айыптау
incarceration	disgust	0.523	қамау
tortious	disgust	0.516	азапты
dishonor	disgust	0.516	абыройсыздық
stink	disgust	0.516	сасық
grim	disgust	0.516	сұмдық
rob	disgust	0.516	тонау
defraud	disgust	0.516	алдау
sump	disgust	0.516	шұңқыр
cringe	disgust	0.516	шылау
vulture	disgust	0.516	лашын
deplorable	disgust	0.516	аянышты
mite	disgust	0.516	кене
eradication	disgust	0.516	жою
degrade	disgust	0.516	нашарлату
gutter	disgust	0.516	арық
convict	disgust	0.516	сотталған
remains	disgust	0.516	қалады
betray	disgust	0.516	сатқындық
daemon	disgust	0.516	демон
