English Word	Emotion	Emotion-Intensity-Score	Swahili Word
firstborn	anticipation	0.633	mzaliwa wa kwanza
await	anticipation	0.633	kusubiri
triumphant	anticipation	0.625	mshindi
escape	anticipation	0.625	kutoroka
optimism	anticipation	0.625	matumaini
retirement	anticipation	0.625	kustaafu
foresee	anticipation	0.625	tazama
inspiration	anticipation	0.625	msukumo
ripen	anticipation	0.625	kuiva
gift	anticipation	0.625	zawadi
revival	anticipation	0.625	uamsho
lust	anticipation	0.625	tamaa
risky	anticipation	0.617	hatari
foreboding	anticipation	0.617	kutisha
bloom	anticipation	0.617	maua
verge	anticipation	0.617	ukingo
embrace	anticipation	0.617	kukumbatia
destined	anticipation	0.617	iliyokusudiwa
surprisingly	anticipation	0.617	cha kushangaza
ambition	anticipation	0.617	tamaa
simmering	anticipation	0.617	kuchemka
enchanting	anticipation	0.617	uchawi
foresight	anticipation	0.617	kuona mbele
lookout	anticipation	0.609	tazama
anxiety	anticipation	0.609	wasiwasi
forecast	anticipation	0.609	utabiri
seductive	anticipation	0.609	kuvutia
bonus	anticipation	0.609	ziada
succeeding	anticipation	0.609	kufanikiwa
matrimony	anticipation	0.609	ndoa
magical	anticipation	0.609	ya kichawi
alerts	anticipation	0.609	arifa
winner	anticipation	0.602	mshindi
applicant	anticipation	0.602	mwombaji
fulfillment	anticipation	0.602	utimilifu
deserve	anticipation	0.602	stahili
inspire	anticipation	0.602	kuhamasisha
foreseen	anticipation	0.602	kutabiriwa
intended	anticipation	0.602	iliyokusudiwa
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	picnic
longing	anticipation	0.602	hamu
revenge	anticipation	0.602	kulipiza kisasi
success	anticipation	0.602	mafanikio
diagnosis	anticipation	0.602	utambuzi
visionary	anticipation	0.602	mwenye maono
prophetic	anticipation	0.602	ya kinabii
entertaining	anticipation	0.602	kuburudisha
nervous	anticipation	0.602	neva
illuminate	anticipation	0.594	angaza
accelerate	anticipation	0.594	kuongeza kasi
advent	anticipation	0.594	ujio
romance	anticipation	0.594	mapenzi
result	anticipation	0.594	matokeo
arrive	anticipation	0.594	kufika
momentum	anticipation	0.594	kasi
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	kuwasha upya
preparedness	anticipation	0.594	utayari
acquiring	anticipation	0.594	kupata
luck	anticipation	0.594	bahati
marry	anticipation	0.594	kuoa
predict	anticipation	0.589	tabiri
money	anticipation	0.586	pesa
auspices	anticipation	0.586	mwavuli
uplift	anticipation	0.586	kuinua
fiesta	anticipation	0.586	Fiesta
enjoying	anticipation	0.586	kufurahia
preparation	anticipation	0.586	maandalizi
raffle	anticipation	0.586	bahati nasibu
investigation	anticipation	0.586	uchunguzi
progression	anticipation	0.586	mwendelezo
overdue	anticipation	0.586	imechelewa
crave	anticipation	0.586	tamaa
impatient	anticipation	0.586	papara
enthusiast	anticipation	0.586	mwenye shauku
flirt	anticipation	0.586	kutania
seek	anticipation	0.586	tafuta
sequel	anticipation	0.586	mwendelezo
presumption	anticipation	0.586	dhana
delightful	anticipation	0.586	ya kupendeza
gambling	anticipation	0.586	kamari
immerse	anticipation	0.586	tumbukiza
endeavor	anticipation	0.586	jitihada
experiment	anticipation	0.580	majaribio
enjoy	anticipation	0.578	kufurahia
completing	anticipation	0.578	kukamilisha
clamor	anticipation	0.578	kelele
angling	anticipation	0.578	kung'ang'ania
majestic	anticipation	0.578	mkuu
divination	anticipation	0.578	uaguzi
transcendence	anticipation	0.578	kuvuka mipaka
thriving	anticipation	0.578	kustawi
excavation	anticipation	0.578	kuchimba
thirst	anticipation	0.578	kiu
remedy	anticipation	0.578	dawa
harvest	anticipation	0.578	mavuno
risk	anticipation	0.578	hatari
healing	anticipation	0.578	uponyaji
heavenly	anticipation	0.578	mbinguni
inviting	anticipation	0.578	kukaribisha
precarious	anticipation	0.578	hatarishi
attainable	anticipation	0.578	kufikiwa
blessing	anticipation	0.578	baraka
prosper	anticipation	0.578	kufanikiwa
tease	anticipation	0.570	chezea
plan	anticipation	0.570	mpango
sweetheart	anticipation	0.570	mpenzi
zest	anticipation	0.570	zest
magnificence	anticipation	0.570	ukuu
ultimate	anticipation	0.570	mwisho
emancipation	anticipation	0.570	ukombozi
restlessness	anticipation	0.570	kutotulia
finally	anticipation	0.570	hatimaye
intimate	anticipation	0.570	wa karibu
omen	anticipation	0.570	ishara
matchmaker	anticipation	0.570	mshenga
gambler	anticipation	0.570	mcheza kamari
prospectively	anticipation	0.570	kwa matarajio
dare	anticipation	0.570	kuthubutu
warned	anticipation	0.570	alionya
invite	anticipation	0.570	kukaribisha
mysterious	anticipation	0.562	ya ajabu
accolade	anticipation	0.562	sifa
lover	anticipation	0.562	mpenzi
expose	anticipation	0.562	kufichua
enchant	anticipation	0.562	mchawi
attempt	anticipation	0.562	jaribio
festival	anticipation	0.562	tamasha
exalt	anticipation	0.562	kuinua
rejoice	anticipation	0.562	furahini
independence	anticipation	0.562	uhuru
expected	anticipation	0.562	inayotarajiwa
fanfare	anticipation	0.562	ushabiki
immortality	anticipation	0.562	kutokufa
quicken	anticipation	0.562	kuhuisha
parade	anticipation	0.562	gwaride
fun	anticipation	0.562	furaha
predilection	anticipation	0.562	upendeleo
champion	anticipation	0.562	bingwa
forewarned	anticipation	0.562	alionya
hypothesis	anticipation	0.562	hypothesis
trophy	anticipation	0.562	nyara
shopping	anticipation	0.555	ununuzi
salvation	anticipation	0.555	wokovu
feeling	anticipation	0.555	hisia
speculative	anticipation	0.555	kubahatisha
oracle	anticipation	0.555	chumba cha ndani
heroism	anticipation	0.555	ushujaa
boisterous	anticipation	0.555	mwenye kelele
grasping	anticipation	0.555	kushika
uneasiness	anticipation	0.555	kutokuwa na utulivu
curiosity	anticipation	0.555	udadisi
happy	anticipation	0.555	furaha
rejoicing	anticipation	0.555	kufurahi
fate	anticipation	0.555	hatima
liberty	anticipation	0.555	uhuru
unfold	anticipation	0.555	funua
amour	anticipation	0.555	upendo
lovely	anticipation	0.555	kupendeza
splendor	anticipation	0.555	fahari
grow	anticipation	0.555	kukua
glimmer	anticipation	0.547	mng'aro
incite	anticipation	0.547	chochea
abundance	anticipation	0.547	wingi
resultant	anticipation	0.547	matokeo
probability	anticipation	0.547	uwezekano
recreational	anticipation	0.547	burudani
glory	anticipation	0.547	utukufu
agape	anticipation	0.547	agape
delighted	anticipation	0.547	furaha
changeable	anticipation	0.547	kubadilika
convergence	anticipation	0.547	muunganiko
bountiful	anticipation	0.547	tele
warn	anticipation	0.547	onya
monetary	anticipation	0.547	ya fedha
sorcery	anticipation	0.547	uchawi
morrow	anticipation	0.547	kesho
apprehensive	anticipation	0.547	mwenye hofu
hungry	anticipation	0.547	njaa
vote	anticipation	0.547	piga kura
suspicious	anticipation	0.547	kutiliwa shaka
pray	anticipation	0.547	omba
leisure	anticipation	0.547	burudani
hunting	anticipation	0.539	uwindaji
sensual	anticipation	0.539	ya kimwili
tempest	anticipation	0.539	tufani
auction	anticipation	0.539	mnada
ballot	anticipation	0.539	kura
grandchildren	anticipation	0.539	wajukuu
hankering	anticipation	0.539	kuhangaika
entertainment	anticipation	0.539	burudani
merge	anticipation	0.539	kuunganisha
exceed	anticipation	0.539	zidi
vindication	anticipation	0.539	uthibitisho
blessings	anticipation	0.539	baraka
inquiry	anticipation	0.539	uchunguzi
bounty	anticipation	0.539	fadhila
worrying	anticipation	0.539	wasiwasi
contingent	anticipation	0.539	ya kutegemewa
glad	anticipation	0.536	furahi
harbinger	anticipation	0.531	mtangazaji
magnificent	anticipation	0.531	mzuri
virginity	anticipation	0.531	ubikira
stealthy	anticipation	0.531	mwizi
appeal	anticipation	0.531	rufaa
forming	anticipation	0.531	kutengeneza
celestial	anticipation	0.531	mbinguni
raving	anticipation	0.531	raving
deliverance	anticipation	0.531	ukombozi
feat	anticipation	0.531	feat
cheer	anticipation	0.531	furaha
responsive	anticipation	0.531	msikivu
hurried	anticipation	0.531	haraka
betrothed	anticipation	0.531	kuchumbiwa
overthrow	anticipation	0.531	kupindua
spirits	anticipation	0.531	roho
dread	anticipation	0.531	hofu
visitor	anticipation	0.531	mgeni
wait	anticipation	0.523	subiri
revive	anticipation	0.523	kufufua
watch	anticipation	0.523	kuangalia
hunter	anticipation	0.523	mwindaji
radiance	anticipation	0.523	mwangaza
planning	anticipation	0.523	kupanga
germination	anticipation	0.523	kuota
competition	anticipation	0.523	ushindani
preparatory	anticipation	0.523	maandalizi
prognostic	anticipation	0.523	ubashiri
beaming	anticipation	0.523	kuangaza
cheery	anticipation	0.523	furaha
prevail	anticipation	0.523	shinda
importance	anticipation	0.523	umuhimu
notification	anticipation	0.523	taarifa
explosive	anticipation	0.523	kulipuka
pleasant	anticipation	0.523	kupendeza
ultimately	anticipation	0.523	hatimaye
child	anticipation	0.523	mtoto
haste	anticipation	0.523	haraka
prophet	anticipation	0.523	nabii
recreation	anticipation	0.516	burudani
present	anticipation	0.516	sasa
time	anticipation	0.516	wakati
sensuality	anticipation	0.516	uasherati
owing	anticipation	0.516	deni
loom	anticipation	0.516	kitanzi
begun	anticipation	0.516	imeanza
salary	anticipation	0.516	mshahara
celebrity	anticipation	0.516	mtu Mashuhuri
treat	anticipation	0.516	kutibu
chocolate	anticipation	0.516	chokoleti
caution	anticipation	0.516	tahadhari
fermentation	anticipation	0.516	uchachushaji
uncontrollable	anticipation	0.516	isiyoweza kudhibitiwa
precious	anticipation	0.516	ya thamani
compensate	anticipation	0.516	fidia
endanger	anticipation	0.516	kuhatarisha
renovation	anticipation	0.516	ukarabati
signify	anticipation	0.508	ashiria
vigilance	anticipation	0.508	uangalifu
prerequisite	anticipation	0.508	sharti
perfection	anticipation	0.508	ukamilifu
cultivate	anticipation	0.508	kulima
develop	anticipation	0.508	kuendeleza
cue	anticipation	0.508	ishara
exigent	anticipation	0.508	exigent
transitional	anticipation	0.508	ya mpito
commemoration	anticipation	0.508	ukumbusho
intermission	anticipation	0.508	mapumziko
elevation	anticipation	0.508	mwinuko
infant	anticipation	0.508	mtoto mchanga
practise	anticipation	0.508	mazoezi
contemplation	anticipation	0.508	tafakuri
dreadful	anticipation	0.508	ya kutisha
wilderness	anticipation	0.508	Nyika
horizon	anticipation	0.508	upeo wa macho
sneaking	anticipation	0.500	kujipenyeza
uphill	anticipation	0.500	kupanda
puppy	anticipation	0.500	mtoto wa mbwa
blindfold	anticipation	0.500	kufumba macho
unbridled	anticipation	0.500	isiyodhibitiwa
horoscope	anticipation	0.500	nyota
airport	anticipation	0.500	uwanja wa ndege
reconciliation	anticipation	0.500	upatanisho
advocacy	anticipation	0.500	utetezi
litigate	anticipation	0.500	kesi
sunny	anticipation	0.500	jua
intuitively	anticipation	0.500	intuitively
hero	anticipation	0.500	shujaa
ardent	anticipation	0.500	mwenye bidii
commemorate	anticipation	0.500	kumbukumbu
romantic	anticipation	0.500	kimapenzi
doomsday	anticipation	0.500	siku ya mwisho
ready	anticipation	0.500	tayari
nascent	anticipation	0.500	changa
invocation	anticipation	0.500	maombi
depart	anticipation	0.500	kuondoka
undisclosed	anticipation	0.500	haijafichuliwa
attendance	anticipation	0.500	mahudhurio
peril	anticipation	0.500	hatari
income	anticipation	0.500	mapato
calculation	anticipation	0.500	hesabu
zeal	anticipation	0.500	bidii
eventuality	anticipation	0.500	hatima
favorable	anticipation	0.500	nzuri
utopian	anticipation	0.500	ndotoni
swim	anticipation	0.500	kuogelea
proceeding	anticipation	0.492	kuendelea
eventual	anticipation	0.492	hatimaye
heyday	anticipation	0.492	siku njema
undertaking	anticipation	0.492	kufanya
improvise	anticipation	0.492	boresha
inauguration	anticipation	0.492	uzinduzi
consequent	anticipation	0.492	matokeo
perspective	anticipation	0.492	mtazamo
defense	anticipation	0.492	ulinzi
repay	anticipation	0.492	kulipa
gaping	anticipation	0.492	pengo
youth	anticipation	0.492	vijana
parole	anticipation	0.492	parole
worry	anticipation	0.492	wasiwasi
bless	anticipation	0.492	bariki
restorative	anticipation	0.492	kurejesha
court	anticipation	0.492	mahakama
highest	anticipation	0.491	ya juu zaidi
shortly	anticipation	0.484	hivi punde
auspicious	anticipation	0.484	nzuri
princely	anticipation	0.484	kifalme
correspondence	anticipation	0.484	mawasiliano
generosity	anticipation	0.484	ukarimu
sparkle	anticipation	0.484	kung'aa
voluptuous	anticipation	0.484	mwenye kujitolea
happen	anticipation	0.484	kutokea
tremor	anticipation	0.484	tetemeko
letter	anticipation	0.484	barua
vow	anticipation	0.484	kiapo
sharpen	anticipation	0.484	kunoa
duel	anticipation	0.484	duwa
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	kutishia
god	anticipation	0.484	mungu
engulf	anticipation	0.484	kumeza
unexplained	anticipation	0.484	isiyoelezeka
contagion	anticipation	0.484	uambukizi
glorify	anticipation	0.477	tukuzeni
submit	anticipation	0.477	wasilisha
enroll	anticipation	0.477	kujiandikisha
unification	anticipation	0.477	umoja
gravitate	anticipation	0.477	mvuto
glide	anticipation	0.477	kuteleza
accompaniment	anticipation	0.477	kusindikiza
cherish	anticipation	0.477	thamini
adore	anticipation	0.477	kuabudu
powerful	anticipation	0.477	yenye nguvu
clue	anticipation	0.477	kidokezo
medal	anticipation	0.477	medali
contemplate	anticipation	0.477	tafakari
perilous	anticipation	0.477	hatari
determinate	anticipation	0.477	amua
arbitration	anticipation	0.477	usuluhishi
recipient	anticipation	0.477	mpokeaji
onset	anticipation	0.477	mwanzo
predispose	anticipation	0.477	predispose
score	anticipation	0.477	alama
torture	anticipation	0.477	mateso
glow	anticipation	0.477	mwanga
praiseworthy	anticipation	0.473	yenye kusifiwa
football	anticipation	0.469	soka
scare	anticipation	0.469	hofu
elite	anticipation	0.469	wasomi
unknown	anticipation	0.469	haijulikani
precursor	anticipation	0.469	mtangulizi
pry	anticipation	0.469	pry
providing	anticipation	0.469	kutoa
sweets	anticipation	0.469	pipi
cautious	anticipation	0.469	tahadhari
opera	anticipation	0.469	opera
motion	anticipation	0.469	mwendo
cash	anticipation	0.469	fedha taslimu
creeping	anticipation	0.469	kutambaa
invoke	anticipation	0.469	omba
star	anticipation	0.469	nyota
shaky	anticipation	0.469	kutikisika
production	anticipation	0.469	uzalishaji
successful	anticipation	0.469	mafanikio
immediately	anticipation	0.469	mara moja
dawn	anticipation	0.469	alfajiri
starry	anticipation	0.469	mwenye nyota
unsurpassed	anticipation	0.469	isiyo na kifani
completion	anticipation	0.469	kukamilika
hire	anticipation	0.469	kuajiri
fete	anticipation	0.469	sherehe
commemorative	anticipation	0.461	ukumbusho
shining	anticipation	0.461	kung'aa
testament	anticipation	0.461	agano
pay	anticipation	0.461	kulipa
alive	anticipation	0.461	hai
plight	anticipation	0.461	hali mbaya
preliminary	anticipation	0.461	awali
overture	anticipation	0.461	kupindua
sanctuary	anticipation	0.461	patakatifu
regatta	anticipation	0.461	kura
draft	anticipation	0.461	rasimu
synchronize	anticipation	0.461	landanisha
soundness	anticipation	0.461	uzima
extricate	anticipation	0.461	extricate
excel	anticipation	0.461	bora
punt	anticipation	0.461	punti
untold	anticipation	0.461	haijulikani
brilliant	anticipation	0.461	kipaji
cheerfulness	anticipation	0.461	uchangamfu
jeopardy	anticipation	0.461	hatarini
friendly	anticipation	0.461	kirafiki
mail	anticipation	0.461	barua
unexpected	anticipation	0.453	zisizotarajiwa
basketball	anticipation	0.453	mpira wa kikapu
inaugural	anticipation	0.453	uzinduzi
supremacy	anticipation	0.453	ukuu
rehabilitation	anticipation	0.453	ukarabati
intimately	anticipation	0.453	kwa karibu
career	anticipation	0.453	kazi
prevention	anticipation	0.453	kuzuia
renovate	anticipation	0.453	ukarabati
compliment	anticipation	0.453	pongezi
prologue	anticipation	0.453	dibaji
elegance	anticipation	0.453	umaridadi
complement	anticipation	0.453	kamilisha
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	usio na mwisho
perpetuity	anticipation	0.453	kudumu
sunset	anticipation	0.453	machweo
improve	anticipation	0.453	kuboresha
fitting	anticipation	0.445	kufaa
confidence	anticipation	0.445	kujiamini
concealment	anticipation	0.445	kuficha
sweet	anticipation	0.445	tamu
perfect	anticipation	0.445	kamili
epidemic	anticipation	0.445	janga
fain	anticipation	0.445	faini
volunteer	anticipation	0.445	kujitolea
share	anticipation	0.445	shiriki
surround	anticipation	0.445	kuzunguka
conjecture	anticipation	0.445	dhana
sun	anticipation	0.445	jua
veracity	anticipation	0.445	ukweli
serial	anticipation	0.438	mfululizo
angel	anticipation	0.438	malaika
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	mtakatifu
tickle	anticipation	0.438	tekenya
superstitious	anticipation	0.438	ushirikina
ferment	anticipation	0.438	chachuka
conservation	anticipation	0.438	uhifadhi
devout	anticipation	0.438	mcha Mungu
respect	anticipation	0.438	heshima
reconstruction	anticipation	0.438	ujenzi upya
goodness	anticipation	0.438	wema
reconstruct	anticipation	0.438	kujenga upya
faith	anticipation	0.438	imani
recombination	anticipation	0.438	ujumuishaji upya
prepared	anticipation	0.438	tayari
rabid	anticipation	0.438	kichaa
plea	anticipation	0.438	ombi
medical	anticipation	0.438	matibabu
passenger	anticipation	0.438	abiria
charitable	anticipation	0.430	hisani
tabulate	anticipation	0.430	weka jedwali
peace	anticipation	0.430	amani
install	anticipation	0.430	sakinisha
serenity	anticipation	0.430	Utulivu
venerable	anticipation	0.430	kuheshimiwa
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	ya kupendeza
perpetuate	anticipation	0.430	kuendeleza
strategist	anticipation	0.430	mwanamkakati
unverified	anticipation	0.430	haijathibitishwa
tribunal	anticipation	0.430	mahakama
clap	anticipation	0.430	kupiga makofi
peaceful	anticipation	0.422	yenye amani
patience	anticipation	0.422	subira
unresolved	anticipation	0.422	haijatatuliwa
worship	anticipation	0.422	ibada
edification	anticipation	0.422	ujengaji
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	tabasamu
revere	anticipation	0.422	heshima
candid	anticipation	0.422	wazi
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	mpanga njama
adrift	anticipation	0.422	adrift
recognizable	anticipation	0.422	kutambulika
volatility	anticipation	0.422	tete
forestall	anticipation	0.422	msitu
laughter	anticipation	0.422	kicheko
continue	anticipation	0.414	endelea
ongoing	anticipation	0.414	inayoendelea
astrologer	anticipation	0.414	mnajimu
mediate	anticipation	0.414	kupatanisha
punctual	anticipation	0.414	fika kwa wakati
grant	anticipation	0.414	ruzuku
morn	anticipation	0.414	asubuhi
pretty	anticipation	0.414	nzuri
withstand	anticipation	0.414	kuhimili
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	mawazo
probation	anticipation	0.414	majaribio
ordination	anticipation	0.414	kuwekwa wakfu
calls	anticipation	0.414	simu
detainee	anticipation	0.414	mfungwa
craps	anticipation	0.414	craps
weigh	anticipation	0.414	kupima
proficiency	anticipation	0.414	ustadi
sing	anticipation	0.411	imba
continuation	anticipation	0.406	muendelezo
university	anticipation	0.406	chuo kikuu
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	kulea
mother	anticipation	0.406	mama
punished	anticipation	0.406	kuadhibiwa
twinkle	anticipation	0.406	kufumba na kufumbua
confession	anticipation	0.406	ungamo
outdo	anticipation	0.406	nje
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	fahari
midwife	anticipation	0.406	mkunga
wizard	anticipation	0.406	mchawi
headlight	anticipation	0.406	taa ya mbele
long	anticipation	0.406	ndefu
banquet	anticipation	0.406	karamu
comfort	anticipation	0.406	faraja
navigable	anticipation	0.406	inayoweza kuabiri
subscribe	anticipation	0.406	jiandikishe
opponent	anticipation	0.406	mpinzani
debenture	anticipation	0.406	hati fungani
deal	anticipation	0.402	mpango
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	mtakatifu
judiciary	anticipation	0.398	mahakama
lettered	anticipation	0.398	barua
vigil	anticipation	0.398	mkesha
reliance	anticipation	0.398	kutegemewa
distracting	anticipation	0.398	kuvuruga
mortification	anticipation	0.398	unyogovu
balm	anticipation	0.398	zeri
simmer	anticipation	0.398	chemsha
top	anticipation	0.398	juu
obliging	anticipation	0.398	kulazimisha
efficient	anticipation	0.398	ufanisi
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	anayewakilisha
death	anticipation	0.398	kifo
assurance	anticipation	0.391	uhakika
familiarity	anticipation	0.391	kufahamiana
depraved	anticipation	0.391	potovu
condemnation	anticipation	0.391	hukumu
undoubted	anticipation	0.391	bila shaka
sanctify	anticipation	0.391	kutakasa
diplomacy	anticipation	0.391	diplomasia
antidote	anticipation	0.391	dawa
trust	anticipation	0.391	uaminifu
linger	anticipation	0.391	kawia
objective	anticipation	0.391	lengo
chuckle	anticipation	0.391	cheki
poke	anticipation	0.391	piga
abeyance	anticipation	0.391	kuacha
maternal	anticipation	0.391	mama
art	anticipation	0.391	sanaa
unfulfilled	anticipation	0.391	haijatimizwa
inoculation	anticipation	0.384	chanjo
simplify	anticipation	0.383	Rahisisha
depend	anticipation	0.383	hutegemea
chant	anticipation	0.383	wimbo
ram	anticipation	0.383	kondoo dume
banger	anticipation	0.383	banger
playground	anticipation	0.383	uwanja wa michezo
labor	anticipation	0.383	kazi
scientist	anticipation	0.383	mwanasayansi
good	anticipation	0.383	nzuri
humanitarian	anticipation	0.383	ya kibinadamu
failing	anticipation	0.383	kushindwa
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	wachamngu
hymn	anticipation	0.383	wimbo
ship	anticipation	0.383	meli
discretion	anticipation	0.383	busara
undecided	anticipation	0.383	bila kuamua
gradual	anticipation	0.375	taratibu
navigator	anticipation	0.375	navigator
track	anticipation	0.375	wimbo
cradle	anticipation	0.375	utoto
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	muda mfupi
clock	anticipation	0.375	saa
mountain	anticipation	0.375	mlima
interminable	anticipation	0.375	isiyoweza kukatika
public	anticipation	0.375	umma
recurrent	anticipation	0.375	mara kwa mara
savor	anticipation	0.375	harufu
abide	anticipation	0.367	Fuata
concealed	anticipation	0.367	kufichwa
spear	anticipation	0.367	mkuki
lesson	anticipation	0.367	somo
instructions	anticipation	0.367	maelekezo
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	miaka miwili
convince	anticipation	0.367	kushawishi
whim	anticipation	0.367	mshtuko
shiver	anticipation	0.367	kutetemeka
towering	anticipation	0.367	mnara
musical	anticipation	0.367	ya muziki
offset	anticipation	0.359	kukabiliana
theory	anticipation	0.359	nadharia
theology	anticipation	0.359	theolojia
undying	anticipation	0.359	isiyokufa
timidity	anticipation	0.359	woga
plump	anticipation	0.359	nono
atone	anticipation	0.359	upatanisho
audience	anticipation	0.357	watazamaji
dietary	anticipation	0.352	chakula
consecration	anticipation	0.352	kuwekwa wakfu
localize	anticipation	0.352	ujanibishe
paragon	anticipation	0.352	paragon
store	anticipation	0.352	duka
farm	anticipation	0.352	shamba
daily	anticipation	0.352	kila siku
cramp	anticipation	0.352	tumbo
nobility	anticipation	0.352	mtukufu
closure	anticipation	0.352	kufungwa
edition	anticipation	0.352	toleo
kindred	anticipation	0.352	jamaa
stripped	anticipation	0.344	kuvuliwa
errand	anticipation	0.344	kazi
archaeology	anticipation	0.344	akiolojia
mutable	anticipation	0.344	inayoweza kubadilika
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	tafakari
mobile	anticipation	0.344	rununu
germ	anticipation	0.336	kijidudu
brotherly	anticipation	0.336	ndugu
lessen	anticipation	0.336	punguza
unbeaten	anticipation	0.336	bila kushindwa
pare	anticipation	0.336	pare
buddy	anticipation	0.336	rafiki
unaccountable	anticipation	0.336	kutowajibika
dove	anticipation	0.328	hua
patient	anticipation	0.328	mgonjwa
secular	anticipation	0.328	kidunia
digress	anticipation	0.328	kushuka
chastity	anticipation	0.328	usafi wa moyo
council	anticipation	0.328	baraza
olfactory	anticipation	0.328	kunusa
ribbon	anticipation	0.328	utepe
possess	anticipation	0.328	kumiliki
disposed	anticipation	0.320	kutupwa
scrutinize	anticipation	0.320	chunguza
immature	anticipation	0.320	changa
mediator	anticipation	0.320	mpatanishi
regularity	anticipation	0.320	utaratibu
cove	anticipation	0.320	kutamani
infanticide	anticipation	0.320	mauaji ya watoto wachanga
paddle	anticipation	0.320	kasia
heft	anticipation	0.320	heft
fancy	anticipation	0.320	dhana
preservative	anticipation	0.320	kihifadhi
unpublished	anticipation	0.312	haijachapishwa
church	anticipation	0.312	kanisa
bugle	anticipation	0.312	hitilafu
grim	anticipation	0.312	mbaya
denying	anticipation	0.312	kukataa
analyst	anticipation	0.312	mchambuzi
judicial	anticipation	0.305	mahakama
priesthood	anticipation	0.305	ukuhani
broadside	anticipation	0.305	upana
mill	anticipation	0.305	kinu
dismay	anticipation	0.297	fadhaa
cap	anticipation	0.297	kofia
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tawimto
instructor	anticipation	0.297	mwalimu
exhaustion	anticipation	0.297	uchovu
saliva	anticipation	0.297	mate
cataract	anticipation	0.289	mtoto wa jicho
network	anticipation	0.289	mtandao
visor	anticipation	0.289	visor
shackle	anticipation	0.289	pingu
wont	anticipation	0.289	sijui
addresses	anticipation	0.289	anwani
discreet	anticipation	0.289	busara
noncompliance	anticipation	0.289	kutofuata sheria
bruise	anticipation	0.289	mchubuko
homeless	anticipation	0.289	wasio na makazi
astronomer	anticipation	0.281	mnajimu
skewed	anticipation	0.281	iliyopindishwa
neighbor	anticipation	0.281	jirani
holiness	anticipation	0.273	utakatifu
devil	anticipation	0.273	shetani
picket	anticipation	0.273	kachumbari
sentence	anticipation	0.273	sentensi
latent	anticipation	0.273	latent
cream	anticipation	0.273	cream
immaturity	anticipation	0.273	kutokomaa
habitual	anticipation	0.266	mazoea
morals	anticipation	0.266	maadili
neighborhood	anticipation	0.266	jirani
lull	anticipation	0.266	tulia
bye	anticipation	0.258	kwaheri
weight	anticipation	0.258	uzito
organ	anticipation	0.250	chombo
clown	anticipation	0.250	mcheshi
forearm	anticipation	0.250	mkono wa mbele
commonplace	anticipation	0.242	kawaida
quote	anticipation	0.242	nukuu
rail	anticipation	0.234	reli
dictatorship	anticipation	0.234	udikteta
treadmill	anticipation	0.234	kinu
board	anticipation	0.234	bodi
tree	anticipation	0.227	mti
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	kupooza
cement	anticipation	0.203	saruji
worm	anticipation	0.203	mdudu
organization	anticipation	0.203	shirika
lagging	anticipation	0.180	kuchelewa
neutral	anticipation	0.148	upande wowote
cannibalism	disgust	0.953	ulaji nyama
mutilation	disgust	0.930	ukeketaji
molestation	disgust	0.914	unyanyasaji
incest	disgust	0.914	kujamiiana
rape	disgust	0.906	ubakaji
gonorrhea	disgust	0.906	kisonono
cannibal	disgust	0.898	mla nyama
rot	disgust	0.891	kuoza
corpse	disgust	0.883	maiti
massacre	disgust	0.883	mauaji
excrement	disgust	0.883	kinyesi
barf	disgust	0.875	baa
slaughter	disgust	0.875	kuchinja
slaughterhouse	disgust	0.867	kichinjio
incestuous	disgust	0.859	mwenye kujamiiana
sewerage	disgust	0.859	maji taka
filth	disgust	0.859	uchafu
bigot	disgust	0.859	shupavu
rancid	disgust	0.859	kichaa
infestation	disgust	0.852	uvamizi
plague	disgust	0.852	tauni
holocaust	disgust	0.852	Holocaust
bloodthirsty	disgust	0.852	mwenye kiu ya damu
rotting	disgust	0.844	kuoza
fecal	disgust	0.844	kinyesi
maggot	disgust	0.844	funza
feces	disgust	0.844	kinyesi
murder	disgust	0.839	mauaji
asshole	disgust	0.836	punda
homicide	disgust	0.836	mauaji
enslaved	disgust	0.836	utumwani
infanticide	disgust	0.836	mauaji ya watoto wachanga
perverted	disgust	0.828	kupotoshwa
excretion	disgust	0.828	kinyesi
gore	disgust	0.828	gore
