English Word	Emotion	Emotion-Intensity-Score	Yiddish Word
feminism	anger	0.266	פעמיניזם
inoperative	anger	0.266	ינאָפּעראַטיווע
bear	anger	0.266	בער
inconvenient	anger	0.266	ומבאַקוועם
latent	anger	0.266	לייטאַנט
defendant	anger	0.266	באשולדיגונג
nopoint	anger	0.266	קיין פונט
rapping	anger	0.266	ראַפּינג
pry	anger	0.266	ויסקוקן
quandary	anger	0.266	קריגערייַ
interrupts	anger	0.265	ינטעראַפּץ
fluctuation	anger	0.265	פלאַקטשויישאַן
exaggerate	anger	0.263	איבערטריבן
lose	anger	0.261	פאַרלירן
patter	anger	0.258	פּאַטטער
furnace	anger	0.258	אויוון
stone	anger	0.258	שטיין
tease	anger	0.258	רייצנ זיך
shoplifting	anger	0.258	שאָפּליפטינג
soldier	anger	0.258	זעלנער
incompetent	anger	0.257	אוממעכטיק
indoctrination	anger	0.255	ינדאָקטרינאַטיאָן
rocket	anger	0.250	ראַקעט
skid	anger	0.250	גליטשן
noisy	anger	0.250	טומלדיק
notoriety	anger	0.250	נאָוטאָריאַטי
cane	anger	0.250	שטעקן
unfollow	anger	0.250	ונפאָלגן
tripping	anger	0.250	טריפּינג
attentionseeker	anger	0.250	ופמערקזאַמקייט
mastery	anger	0.250	מאַסטערי
socialist	anger	0.250	סאָציאַליסט
falsehood	anger	0.250	שקר
complicate	anger	0.250	קאָמפּליצירן
lawyer	anger	0.250	אדוואקאט
untrue	anger	0.250	נישט אמת
nonsense	anger	0.250	ומזין
pouting	anger	0.250	פּאָוטינג
witch	anger	0.242	מעכאַשייפע
detract	anger	0.242	אַראָפּרעכענען
obstacle	anger	0.242	שטערונג
halter	anger	0.242	האַלטער
fenced	anger	0.242	פענסט
capslock	anger	0.242	קאַפּסלאָקק
dontunderstand	anger	0.242	טאָן ניט פֿאַרשטיין
vampire	anger	0.242	וואַמפּיר
ringer	anger	0.242	רינגער
frowning	anger	0.239	קרימענ זיך
saber	anger	0.238	סייבער
hunger	anger	0.235	הונגער
shell	anger	0.234	שאָל
wokemeup	anger	0.234	וואָקעמעופּ
recession	anger	0.234	ריסעשאַן
failing	anger	0.234	פיילינג
dabbling	anger	0.234	דאַבלינג
politics	anger	0.234	פּאָליטיק
lava	anger	0.234	לאַוואַ
rascal	anger	0.234	רסקאל
imtryingtosleep	anger	0.234	פּרובירן צו שלאָפן
tariff	anger	0.234	צאָל
undesirable	anger	0.231	ונדעסיראַבלע
darkness	anger	0.227	פינצטערניש
versus	anger	0.227	קעגן
copycat	anger	0.227	copycat
resign	anger	0.227	רעזיגנירן
soaked	anger	0.226	אויסגעווייקט
unfulfilled	anger	0.225	אַנפולפילד
abandoned	anger	0.222	פארלאזט
unattainable	anger	0.221	אַנטאַיינאַבאַל
owing	anger	0.221	owing
bankruptcy	anger	0.221	באַנקראָט
misconception	anger	0.219	מיסקאַנסעפּשאַן
tool	anger	0.219	געצייַג
warden	anger	0.219	וועכטער
compress	anger	0.219	קאָמפּרעס
mosquito	anger	0.219	קאָמאַר
whiny	anger	0.219	קרעכצן
somethingigetalot	anger	0.219	עפּעס גוט
confusion	anger	0.219	צעמישונג
unhelpful	anger	0.219	אומגעהילפפול
twitching	anger	0.219	ציטשינג
nosey	anger	0.213	נייגעריג
overpriced	anger	0.212	אָוווערפּרייסט
adder	anger	0.212	אַדער
harry	anger	0.212	הארי
shortage	anger	0.212	דוחק
melodrama	anger	0.212	מעלאָדראַמאַ
possession	anger	0.206	פאַרמעגן
desert	anger	0.206	מדבר
overplayed	anger	0.206	איבערגעשפילט
unpaid	anger	0.203	ניט באַצאָלט
powerless	anger	0.203	קויכעס
sentence	anger	0.203	זאַץ
inefficient	anger	0.203	באַטלאָניש
arraignment	anger	0.203	אַרראַיגנמענט
pout	anger	0.203	פּאָוט
unlucky	anger	0.203	ומגליקלעך
rook	anger	0.203	רוק
backbone	anger	0.203	באַקבאָון
uninvited	anger	0.203	אומגעבעטן
court	anger	0.199	פּלאַץ
endless	anger	0.198	אָנ אַ סאָף
adverts	anger	0.197	אַדווערטס
distracted	anger	0.197	דיסטראַקטאַד
delay	anger	0.197	פאַרהאַלטן
misstatement	anger	0.197	מיססטייטמאַנט
misunderstanding	anger	0.195	מיסאַנדערסטאַנדינג
inadmissible	anger	0.191	ניט צונעמען
excite	anger	0.191	אָנצינדן
lightning	anger	0.189	בליץ
preclude	anger	0.188	ויסשליסן
mournful	anger	0.188	טרויעריק
insecure	anger	0.188	ומזיכער
incase	anger	0.188	טאָמער
mutter	anger	0.182	מורמלען
pare	anger	0.182	pare
rating	anger	0.182	שאַץ
claimant	anger	0.182	פאָדערן
insist	anger	0.182	באַשטיין
mistress	anger	0.182	מעטרעסע
distracting	anger	0.182	דיסטראַקטינג
opium	anger	0.180	אָפּיום
deserve	anger	0.176	פאַרדינען
willful	anger	0.176	ווילד
treat	anger	0.175	מייַכל
insists	anger	0.175	ינסיסץ
excitation	anger	0.172	יקסייטיישאַן
mighty	anger	0.172	גוואַלדיק
liberate	anger	0.172	באַפרייען
indecisive	anger	0.172	ניט באַשטימענדיק
hormonal	anger	0.172	כאָרמאָונאַל
peice	anger	0.172	פּיס
gibberish	anger	0.172	גיבעריש
misplace	anger	0.172	פאַרלייגן
fee	anger	0.172	אָפּצאָל
thanksalot	anger	0.172	א גרויסן ש 'כח
fleece	anger	0.172	פעל
yelp	anger	0.168	יאַפּ
mule	anger	0.167	מולע
unequal	anger	0.167	ומגליקלעך
hamstring	anger	0.167	האַמסטרינג
bargaining	anger	0.167	באַרגינינג
insufficiency	anger	0.167	ינסופפיסיענסי
insignificant	anger	0.167	נישטיק
attentionseekers	anger	0.163	ופמערקזאַמקייט סיקערז
coop	anger	0.156	קאָאָפּ
rheumatism	anger	0.156	רומאַטיזאַם
forearm	anger	0.156	פאָראַרם
indifference	anger	0.156	גלייַכגילטיגקייט
underpaid	anger	0.152	אונטער באַצאָלט
involvement	anger	0.152	ינוואַלוומאַנט
justthebeginning	anger	0.152	נאָר די אָנהייב
disinformation	anger	0.152	דיסינפאָרמאַטיאָן
uncertain	anger	0.152	ומזיכער
bee	anger	0.152	בין
attorney	anger	0.152	אַדוואָקאַט
pretending	anger	0.152	פּריטענדינג
campaigning	anger	0.151	קאַמפּיין
hopelessness	anger	0.149	כאָופּלאַסנאַס
feeling	anger	0.147	געפיל
legalized	anger	0.145	ליגאַלייזד
caution	anger	0.145	וואָרענען
sterling	anger	0.141	סטערלינג
morals	anger	0.141	מאָראַל
subsidy	anger	0.141	סובסידיע
obliging	anger	0.141	אַבליידזשד
wimpy	anger	0.140	ווימפּי
bummer	anger	0.139	באַמער
saloon	anger	0.136	שענק
blemish	anger	0.136	ויסמעסטונג
misspell	anger	0.136	מיספּעלל
repay	anger	0.136	צוריקצאָלן
surcharge	anger	0.136	סערטשאַרדזש
geez	anger	0.136	געעז
birch	anger	0.135	בערעזע
noob	anger	0.133	נאָאָב
honk	anger	0.133	האָנק
orchestra	anger	0.132	אָרקעסטער
wireless	anger	0.125	וויירליס
competitive	anger	0.125	קאַמפּעטיטיוו
standstill	anger	0.125	שטייענדיק
inattention	anger	0.121	אומאכטונג
reversal	anger	0.121	מאַפּאָלע
lace	anger	0.118	שנירל
elbow	anger	0.117	עלנבויגן
instinctive	anger	0.112	אינסטינקטיוו
chant	anger	0.111	געזאַנג
gnome	anger	0.109	שרעטל
lonely	anger	0.109	עלנט
tolerate	anger	0.106	דערלאָזן
management	anger	0.102	פאַרוואַלטונג
advocacy	anger	0.100	אַדוואַקאַסי
moral	anger	0.094	מאָראַליש
roadworks	anger	0.091	ראָודווערקס
honest	anger	0.087	ערלעך
gent	anger	0.076	gent
forgetful	anger	0.076	פארגעסן
liquor	anger	0.075	מאַשקע
money	anger	0.074	געלט
hood	anger	0.071	קאַפּטער
curriculum	anger	0.063	קעריקיאַלאַם
words	anger	0.062	ווערטער
smell	anger	0.061	שמעקן
playful	anger	0.061	שטיפעריש
opera	anger	0.061	אָפּעראַ
elf	anger	0.061	שרעטל
nurture	anger	0.059	נערטשער
trumpet	anger	0.059	שופר
counsellor	anger	0.059	קאָונסעלאָר
asleeep	anger	0.059	שלאָפנדיק
birthplace	anger	0.051	געבורט אָרט
ribbon	anger	0.047	בענד
youth	anger	0.045	יוגנט
vote	anger	0.045	שטימען
cash	anger	0.039	געלט
wannasleep	anger	0.031	וואַנסלעפן
waffle	anger	0.030	וואַפליע
dame	anger	0.030	דאַמע
buffet	anger	0.029	באַפיי
celebrity	anger	0.026	רום
sisterhood	anger	0.015	שוועסטערשאַפט
autocorrect	anger	0.015	אַוטאָקאָררעקט
musical	anger	0.011	מוזיקאַליש
tree	anger	0.000	בוים
anticipation	anticipation	0.859	אַנטיסאַפּיישאַן
excited	anticipation	0.859	יקסייטאַד
excitement	anticipation	0.820	יקסייטמאַנט
anticipate	anticipation	0.820	ריכטנ זיך
eagerness	anticipation	0.812	לאָעט
exciting	anticipation	0.797	יקסייטינג
expectant	anticipation	0.789	דערוואַרטן
thrilling	anticipation	0.781	טרילינג
hope	anticipation	0.773	האָפֿן
quest	anticipation	0.766	זוכן
countdown	anticipation	0.750	קאַונטדאַון
start	anticipation	0.750	אָנהייב
anticipatory	anticipation	0.750	אַנטיסאַפּאַטאָרי
adventure	anticipation	0.750	פּאַסירונג
expectance	anticipation	0.750	דערוואַרטונג
climax	anticipation	0.742	קלימאַקס
prophecy	anticipation	0.742	נבואה
expect	anticipation	0.742	דערוואַרטן
excite	anticipation	0.742	אָנצינדן
arouse	anticipation	0.742	אויפוועקן
eager	anticipation	0.742	לאָעט
ejaculation	anticipation	0.734	ידזשאַקיוליישאַן
birth	anticipation	0.734	געבורט
announcement	anticipation	0.734	מעלדן
expectancy	anticipation	0.727	יקספּעקטאַנסי
expecting	anticipation	0.727	דערוואַרטן
imminent	anticipation	0.727	אָט-אָט
liberation	anticipation	0.727	באַפרייַונג
urgent	anticipation	0.727	דרינגלעך
trepidation	anticipation	0.719	שרעק
reunion	anticipation	0.719	ווידעראום
prospection	anticipation	0.719	פּראָספּעקטיאָן
voyage	anticipation	0.719	נעסיע
prospect	anticipation	0.719	ויסקוק
aspire	anticipation	0.719	אַספּירירן
rapture	anticipation	0.711	היספּייַלעס
suspense	anticipation	0.711	שפּאַנונג
journey	anticipation	0.711	נסיעה
kiss	anticipation	0.711	קושן
enthusiasm	anticipation	0.711	ענטוזיאַזם
yearning	anticipation	0.711	בענקעניש
ecstasy	anticipation	0.711	עקסטאַז
mystery	anticipation	0.711	מיסטעריע
prospective	anticipation	0.703	פּראָספּעקטיוו
frantic	anticipation	0.703	פראַנטיק
destination	anticipation	0.703	דעסטיניישאַן
excitation	anticipation	0.703	יקסייטיישאַן
lottery	anticipation	0.703	לאָטעריע
hopeful	anticipation	0.703	האָפענונג
thrill	anticipation	0.703	ציטער
progress	anticipation	0.703	פּראָגרעס
urgency	anticipation	0.703	ערדזשאַנסי
tantalizing	anticipation	0.703	טאַנטאַליזינג
liberate	anticipation	0.695	באַפרייען
hurry	anticipation	0.695	ייַלן
explore	anticipation	0.695	ויספאָרשן
advance	anticipation	0.695	שטייַגן
vacation	anticipation	0.695	וואַקאַציע
sex	anticipation	0.695	געשלעכט
achievement	anticipation	0.695	דערגרייה
readiness	anticipation	0.695	גרייטקייט
expectation	anticipation	0.695	דערוואַרטונג
prediction	anticipation	0.695	פּראָגנאָז
arrival	anticipation	0.695	אָנקומען
allure	anticipation	0.688	פאַרנאַרן
ecstatic	anticipation	0.688	עקסטאַטיק
approaching	anticipation	0.688	דערנענטערט זיך
honeymoon	anticipation	0.680	האָניק - כוידעש
roulette	anticipation	0.680	רולעט
uprising	anticipation	0.680	אויפֿשטאַנד
holiday	anticipation	0.672	יום טוּב
crescendo	anticipation	0.672	קרעססענדאָ
celebrating	anticipation	0.672	סעלאַברייטינג
wishful	anticipation	0.672	ווינטשן
waiting	anticipation	0.664	ווארטן
invitation	anticipation	0.664	פאַרבעטונג
rescue	anticipation	0.664	ראַטעווען
impending	anticipation	0.664	ימפּענדינג
winning	anticipation	0.664	געווינען
craving	anticipation	0.664	באַגערן
winnings	anticipation	0.664	ווינינגז
triumph	anticipation	0.664	טריומף
orgasm	anticipation	0.664	אָרגאַזם
marriage	anticipation	0.656	חתונה
bridal	anticipation	0.656	ברידאַל
victory	anticipation	0.656	נצחון
courtship	anticipation	0.656	קאָורטשיפּ
gain	anticipation	0.656	געווינען
aspiring	anticipation	0.656	אַספּיירינג
strive	anticipation	0.656	שטרעבן
reward	anticipation	0.656	באלוינונג
celebration	anticipation	0.656	סימכע
jackpot	anticipation	0.656	דזשאַקפּאַט
bridegroom	anticipation	0.656	חתן
fortune	anticipation	0.656	רייכקייט
tomorrow	anticipation	0.648	מאָרגן
rising	anticipation	0.648	רייזינג
inheritance	anticipation	0.648	ירושה
alertness	anticipation	0.648	אַלערטנאַס
crowning	anticipation	0.648	קראַונינג
aspiration	anticipation	0.648	אַספּיראַטיאָן
delivery	anticipation	0.648	עקספּרעס
opportunity	anticipation	0.648	געלעגנהייט
intrigue	anticipation	0.648	ינטריג
prescient	anticipation	0.648	פּרעסיענט
treasure	anticipation	0.648	אוצר
erotic	anticipation	0.641	עראָטיש
revolution	anticipation	0.641	רעוואָלוציע
launch	anticipation	0.641	קאַטער
reckoning	anticipation	0.641	רעכענונג
prognosis	anticipation	0.641	פּראָגנאָסיס
happiness	anticipation	0.641	גליק
celebrated	anticipation	0.641	געפייערט
receiving	anticipation	0.641	באקומען
possibility	anticipation	0.641	מעגלעכקייט
expedition	anticipation	0.641	עקספּעדיטיאָן
bride	anticipation	0.641	כלה
engaged	anticipation	0.641	פאַרקנאַסט
anxious	anticipation	0.641	באַזאָרגט
hype	anticipation	0.641	כייפּ
spectacular	anticipation	0.641	ספּעקטאַקיאַלער
award	anticipation	0.641	אַוואָרד
prepare	anticipation	0.633	צוגרייטן
coming	anticipation	0.633	קומען
graduation	anticipation	0.633	גראַדזשאַוויישאַן
destiny	anticipation	0.633	צוקונפט
miracle	anticipation	0.633	נס
beware	anticipation	0.633	היט אייך
succeed	anticipation	0.633	מצליח זיין
passionate	anticipation	0.633	לייַדנשאַפטלעך
birthday	anticipation	0.633	דיין געבורסטאָג
passion	anticipation	0.633	לייַדנשאַפט
ominous	anticipation	0.633	אַמאַנאַס
captivate	anticipation	0.633	כאַפּן
vision	anticipation	0.633	זעאונג
delight	anticipation	0.633	דערפרייען
curious	anticipation	0.633	טשיקאַווע
firstborn	anticipation	0.633	ערשטגעבוירן
await	anticipation	0.633	דערוואַרטן
triumphant	anticipation	0.625	נצחון
escape	anticipation	0.625	אַנטלויפן
optimism	anticipation	0.625	אָפּטימיזם
retirement	anticipation	0.625	ריטייערמאַנט
foresee	anticipation	0.625	פאָרויסזאָגן
inspiration	anticipation	0.625	ינספּיראַציע
ripen	anticipation	0.625	ריפּען
gift	anticipation	0.625	טאַלאַנט
revival	anticipation	0.625	ופלעב
lust	anticipation	0.625	לוסט
risky	anticipation	0.617	ריזיקאַליש
foreboding	anticipation	0.617	פאָרבאָדינג
bloom	anticipation	0.617	בליען
verge	anticipation	0.617	גרענעץ
embrace	anticipation	0.617	אַרומנעמען
destined	anticipation	0.617	באַשערט
surprisingly	anticipation	0.617	סאַפּרייזינגלי
ambition	anticipation	0.617	אַמביציע
simmering	anticipation	0.617	סימערינג
enchanting	anticipation	0.617	ענטשאַנטינג
foresight	anticipation	0.617	פאָרסייט
lookout	anticipation	0.609	קוק ארויס
anxiety	anticipation	0.609	דייַגעס
forecast	anticipation	0.609	פאָרויסזאָגן
seductive	anticipation	0.609	פאַרפירעריש
bonus	anticipation	0.609	באָנוס
succeeding	anticipation	0.609	געראָטן
matrimony	anticipation	0.609	חתונה
magical	anticipation	0.609	מאַדזשיקאַל
alerts	anticipation	0.609	אַלערץ
winner	anticipation	0.602	געווינער
applicant	anticipation	0.602	אַפּליקאַנט
fulfillment	anticipation	0.602	מקיים
deserve	anticipation	0.602	פאַרדינען
inspire	anticipation	0.602	באַגייַסטערן
foreseen	anticipation	0.602	פארזען
intended	anticipation	0.602	בדעה
boomerang	anticipation	0.602	בומעראַנג
picnic	anticipation	0.602	מאַכנ אַ פּיקניק
longing	anticipation	0.602	בענקשאפט
revenge	anticipation	0.602	נקמה
success	anticipation	0.602	הצלחה
diagnosis	anticipation	0.602	דיאַגנאָסיס
visionary	anticipation	0.602	וויזשאַנערי
prophetic	anticipation	0.602	פּראַפעטיק
entertaining	anticipation	0.602	פֿאַרוויילערישע
nervous	anticipation	0.602	נערוועז
illuminate	anticipation	0.594	באלויכטן
accelerate	anticipation	0.594	פאַרגיכערן
advent	anticipation	0.594	אַדווענט
romance	anticipation	0.594	ראָמאַנס
result	anticipation	0.594	רעזולטאַט
arrive	anticipation	0.594	אנקומען
momentum	anticipation	0.594	מאָמענטום
buzz	anticipation	0.594	זשומען
rekindle	anticipation	0.594	ריצינדן
preparedness	anticipation	0.594	גרייטקייט
acquiring	anticipation	0.594	אַקוויירינג
luck	anticipation	0.594	גליק
marry	anticipation	0.594	חתונה
predict	anticipation	0.589	פאָרויסזאָגן
money	anticipation	0.586	געלט
auspices	anticipation	0.586	אָספּיסיז
uplift	anticipation	0.586	אויפהויבן
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	הנאה
preparation	anticipation	0.586	צוגרייטונג
raffle	anticipation	0.586	לאָטעריע
investigation	anticipation	0.586	ויספאָרשונג
progression	anticipation	0.586	פּראַגרעשאַן
overdue	anticipation	0.586	פאַרהאַלטן
crave	anticipation	0.586	באַגערן
impatient	anticipation	0.586	אומגעדולדיק
enthusiast	anticipation	0.586	ענטוזיאַסט
flirt	anticipation	0.586	פלירטעווען
seek	anticipation	0.586	זוכן
sequel	anticipation	0.586	סיקוואַל
presumption	anticipation	0.586	פּרעסומפּטיאָן
delightful	anticipation	0.586	דילייטפאַל
gambling	anticipation	0.586	גאַמבלינג
immerse	anticipation	0.586	ייַנטונקען
endeavor	anticipation	0.586	שטרעבונג
experiment	anticipation	0.580	עקספּערימענט
enjoy	anticipation	0.578	הנאה
completing	anticipation	0.578	פאַרענדיקן
clamor	anticipation	0.578	קלאַמערן
angling	anticipation	0.578	אַנגלינג
majestic	anticipation	0.578	מייַעסטעטיש
divination	anticipation	0.578	דיוואַניישאַן
transcendence	anticipation	0.578	טראַנססענדענסע
thriving	anticipation	0.578	בליענדיק
excavation	anticipation	0.578	עקסקאַוויישאַן
thirst	anticipation	0.578	דאָרשט
remedy	anticipation	0.578	סגולע
harvest	anticipation	0.578	שניט
risk	anticipation	0.578	ריזיקירן
healing	anticipation	0.578	היילונג
heavenly	anticipation	0.578	הימלישע
inviting	anticipation	0.578	ינווייטינג
precarious	anticipation	0.578	ומזיכער
attainable	anticipation	0.578	דערגרייכט
blessing	anticipation	0.578	בענטשונג
prosper	anticipation	0.578	וווילטאָג
tease	anticipation	0.570	רייצנ זיך
plan	anticipation	0.570	פּלאַן
sweetheart	anticipation	0.570	געליבטער
zest	anticipation	0.570	זעסט
magnificence	anticipation	0.570	פּראַכט
ultimate	anticipation	0.570	לעצט
emancipation	anticipation	0.570	עמאנציפאציע
restlessness	anticipation	0.570	ומרויק
finally	anticipation	0.570	צום סוף
intimate	anticipation	0.570	אָנווינקען
omen	anticipation	0.570	סימן
matchmaker	anticipation	0.570	שדכן
gambler	anticipation	0.570	גאַמבלער
prospectively	anticipation	0.570	פּראָספּעקטיוולי
dare	anticipation	0.570	אַרויספאָדערן
warned	anticipation	0.570	געווארנט
invite	anticipation	0.570	פאַרבעטן
mysterious	anticipation	0.562	מיסטעריעז
accolade	anticipation	0.562	אַקקאָלאַדע
lover	anticipation	0.562	ליבהאָבער
expose	anticipation	0.562	ויסשטעלן
enchant	anticipation	0.562	באַציִען
attempt	anticipation	0.562	פּרווון
festival	anticipation	0.562	פעסטיוואַל
exalt	anticipation	0.562	דערהויבן
rejoice	anticipation	0.562	פרייען זיך
independence	anticipation	0.562	זעלבסטשטענדיקייט
expected	anticipation	0.562	דערוואַרט
fanfare	anticipation	0.562	פאַנפער
immortality	anticipation	0.562	ימאָרטאַליטי
quicken	anticipation	0.562	שנעלן
parade	anticipation	0.562	פּאַראַד
fun	anticipation	0.562	שפּאַס
predilection	anticipation	0.562	פּרעדיקטיאָן
champion	anticipation	0.562	מייַסטער
forewarned	anticipation	0.562	פארווארנט
hypothesis	anticipation	0.562	כייפּאַטאַסאַס
trophy	anticipation	0.562	טראָופי
shopping	anticipation	0.555	שאַפּינג
salvation	anticipation	0.555	ישועה
feeling	anticipation	0.555	געפיל
speculative	anticipation	0.555	ספּעקולאַטיווע
oracle	anticipation	0.555	אָראַקלע
heroism	anticipation	0.555	העלדישקייט
boisterous	anticipation	0.555	טומלדיק
grasping	anticipation	0.555	אָנכאַפּן
uneasiness	anticipation	0.555	ומרויק
curiosity	anticipation	0.555	נייַגעריקייַט
happy	anticipation	0.555	גליקלעך
rejoicing	anticipation	0.555	זיך פרייען
fate	anticipation	0.555	גורל
liberty	anticipation	0.555	פרייהייט
unfold	anticipation	0.555	אַנטפּלעקן זיך
amour	anticipation	0.555	ליבהאָבער
lovely	anticipation	0.555	שיינע
splendor	anticipation	0.555	פּראַכט
grow	anticipation	0.555	וואַקסן
glimmer	anticipation	0.547	פינקלען
incite	anticipation	0.547	אָנצינדן
abundance	anticipation	0.547	זעט
resultant	anticipation	0.547	רעזולטאַט
probability	anticipation	0.547	מאַשמאָעס
recreational	anticipation	0.547	רעקרייישאַנאַל
glory	anticipation	0.547	כבוד
agape	anticipation	0.547	agape
delighted	anticipation	0.547	דילייטיד
changeable	anticipation	0.547	טשיינדזשאַבאַל
convergence	anticipation	0.547	קאַנווערדזשאַנס
bountiful	anticipation	0.547	ברייטהאַרציק
warn	anticipation	0.547	וואָרענען
monetary	anticipation	0.547	געלטיק
sorcery	anticipation	0.547	כישוף
morrow	anticipation	0.547	מאָרגן
apprehensive	anticipation	0.547	מודאג
hungry	anticipation	0.547	הונגעריק
vote	anticipation	0.547	שטימען
suspicious	anticipation	0.547	סאַספּישאַס
pray	anticipation	0.547	דאַוונען
leisure	anticipation	0.547	פרייַע צייַט
hunting	anticipation	0.539	גייעג
sensual	anticipation	0.539	כושיק
tempest	anticipation	0.539	שטורעם
auction	anticipation	0.539	ליציטאַציע
ballot	anticipation	0.539	שטימצעטל
grandchildren	anticipation	0.539	אייניקלעך
hankering	anticipation	0.539	כאַנגגינג
entertainment	anticipation	0.539	פאַרווייַלונג
merge	anticipation	0.539	צונויפגיסן
exceed	anticipation	0.539	יקסיד
vindication	anticipation	0.539	באַרעכטיקן
blessings	anticipation	0.539	ברכות
inquiry	anticipation	0.539	אָנפרעג
bounty	anticipation	0.539	ברייטהאַרציקייט
worrying	anticipation	0.539	זארגן
contingent	anticipation	0.539	קאָנטינגענט
glad	anticipation	0.536	צופרידן
harbinger	anticipation	0.531	האַרבינגער
magnificent	anticipation	0.531	פּרעכטיק
virginity	anticipation	0.531	בתולה
stealthy	anticipation	0.531	גנבענען
appeal	anticipation	0.531	אַפּעלירן
forming	anticipation	0.531	פאָרמינג
celestial	anticipation	0.531	הימלישע
raving	anticipation	0.531	ראַווינג
deliverance	anticipation	0.531	ישועה
feat	anticipation	0.531	קונץ
cheer	anticipation	0.531	אַפּלאָדירן
responsive	anticipation	0.531	אָפּרופיק
hurried	anticipation	0.531	געאײַלט
betrothed	anticipation	0.531	פאַרקנאַסט
overthrow	anticipation	0.531	אָוווערטראָו
spirits	anticipation	0.531	גייסטער
dread	anticipation	0.531	שרעק
visitor	anticipation	0.531	גאַסט
wait	anticipation	0.523	וואַרטן
revive	anticipation	0.523	ופלעבן
watch	anticipation	0.523	וואַך
hunter	anticipation	0.523	יעגער
radiance	anticipation	0.523	גלאַנץ
planning	anticipation	0.523	פּלאַנירונג
germination	anticipation	0.523	דזשערמאַניישאַן
competition	anticipation	0.523	פאַרמעסט
preparatory	anticipation	0.523	פּריפּעראַטאָרי
prognostic	anticipation	0.523	פּראָגנאָסטיק
beaming	anticipation	0.523	שטראַלנדיק
cheery	anticipation	0.523	פריילעך
prevail	anticipation	0.523	פּריווייל
importance	anticipation	0.523	וויכטיקייט
notification	anticipation	0.523	אָנזאָג
explosive	anticipation	0.523	יקספּלאָוסיוו
pleasant	anticipation	0.523	אָנגענעם
ultimately	anticipation	0.523	לעסאָף
child	anticipation	0.523	קינד
haste	anticipation	0.523	יאָגעניש
prophet	anticipation	0.523	נביא
recreation	anticipation	0.516	פאַרווייַלונג
present	anticipation	0.516	פאָרשטעלן
time	anticipation	0.516	צייַט
sensuality	anticipation	0.516	סענסואַליטי
owing	anticipation	0.516	owing
loom	anticipation	0.516	לום
begun	anticipation	0.516	אנגעהויבן
salary	anticipation	0.516	געצאָלט
celebrity	anticipation	0.516	רום
treat	anticipation	0.516	מייַכל
chocolate	anticipation	0.516	שאָקאָלאַד
caution	anticipation	0.516	וואָרענען
fermentation	anticipation	0.516	פערמאַנטיישאַן
uncontrollable	anticipation	0.516	אַנקאַנטראָולאַבאַל
precious	anticipation	0.516	טייַער
compensate	anticipation	0.516	פאַרגיטיקן
endanger	anticipation	0.516	סכנה
renovation	anticipation	0.516	רענאַוויישאַן
signify	anticipation	0.508	באַצייכענען
vigilance	anticipation	0.508	ווידזשאַלאַנס
prerequisite	anticipation	0.508	פּרירעקוואַזאַט
perfection	anticipation	0.508	שליימעס
cultivate	anticipation	0.508	האָדעווען
develop	anticipation	0.508	אַנטוויקלען
cue	anticipation	0.508	קיו
exigent	anticipation	0.508	נויטיק
transitional	anticipation	0.508	טראַנזישאַנאַל
commemoration	anticipation	0.508	קאַמעמעריישאַן
intermission	anticipation	0.508	ינטערמיסיע
elevation	anticipation	0.508	הייך
infant	anticipation	0.508	פּיצל קינד
practise	anticipation	0.508	פיר
contemplation	anticipation	0.508	באַטראַכטונג
dreadful	anticipation	0.508	שרעקלעך
wilderness	anticipation	0.508	מדבר
horizon	anticipation	0.508	האָריזאָנט
sneaking	anticipation	0.500	סניקינג
uphill	anticipation	0.500	בערגל
puppy	anticipation	0.500	הינטעלע
blindfold	anticipation	0.500	בלינדפאָלד
unbridled	anticipation	0.500	אומגעבראכט
horoscope	anticipation	0.500	כאָראַסקאָופּ
airport	anticipation	0.500	אַעראָפּאָרט
reconciliation	anticipation	0.500	ויסגלייַך
advocacy	anticipation	0.500	אַדוואַקאַסי
litigate	anticipation	0.500	ליטאַגירן
sunny	anticipation	0.500	זוניק
intuitively	anticipation	0.500	ינטואַטיוולי
hero	anticipation	0.500	העלד
ardent	anticipation	0.500	פאַרברענט
commemorate	anticipation	0.500	קאַמעמערייט
romantic	anticipation	0.500	ראָמאַנטיש
doomsday	anticipation	0.500	דוםסטאג
ready	anticipation	0.500	גרייט
nascent	anticipation	0.500	אָנהייב
invocation	anticipation	0.500	ינוואָקאַטיאָן
depart	anticipation	0.500	אוועקגיין
undisclosed	anticipation	0.500	אַנדיסקלאָוזד
attendance	anticipation	0.500	באַדינגונג
peril	anticipation	0.500	געפאַר
income	anticipation	0.500	האַכנאָסע
calculation	anticipation	0.500	חשבון
zeal	anticipation	0.500	ברען
eventuality	anticipation	0.500	עווענטואַליטעט
favorable	anticipation	0.500	גינציק
utopian	anticipation	0.500	וטאָפּיאַן
swim	anticipation	0.500	שווימען
proceeding	anticipation	0.492	פּראַסידינג
eventual	anticipation	0.492	עווענטועל
heyday	anticipation	0.492	כייאיי
undertaking	anticipation	0.492	אונטערנעמונג
improvise	anticipation	0.492	ימפּראַוויז
inauguration	anticipation	0.492	ייַנשווערונג
consequent	anticipation	0.492	קאָנסעקווענט
perspective	anticipation	0.492	פּערספּעקטיוו
defense	anticipation	0.492	פאַרטיידיקונג
