English Word	Emotion	Emotion-Intensity-Score	Welsh Word
wireless	anticipation	0.344	diwifr
meditate	anticipation	0.344	myfyrio
mobile	anticipation	0.344	symudol
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	brawdol
lessen	anticipation	0.336	lleihau
unbeaten	anticipation	0.336	diguro
pare	anticipation	0.336	par
buddy	anticipation	0.336	ffrind
unaccountable	anticipation	0.336	anatebol
dove	anticipation	0.328	colomen
patient	anticipation	0.328	claf
secular	anticipation	0.328	seciwlar
digress	anticipation	0.328	crwydro
chastity	anticipation	0.328	diweirdeb
council	anticipation	0.328	cyngor
olfactory	anticipation	0.328	arogleuol
ribbon	anticipation	0.328	rhuban
possess	anticipation	0.328	meddu
disposed	anticipation	0.320	gwarededig
scrutinize	anticipation	0.320	craffu
immature	anticipation	0.320	anaeddfed
mediator	anticipation	0.320	cyfryngwr
regularity	anticipation	0.320	rheoleidd-dra
cove	anticipation	0.320	cildraeth
infanticide	anticipation	0.320	babanladdiad
paddle	anticipation	0.320	padlo
heft	anticipation	0.320	heft
fancy	anticipation	0.320	ffansi
preservative	anticipation	0.320	cadwolyn
unpublished	anticipation	0.312	heb ei gyhoeddi
church	anticipation	0.312	eglwys
bugle	anticipation	0.312	bygl
grim	anticipation	0.312	grim
denying	anticipation	0.312	yn gwadu
analyst	anticipation	0.312	dadansoddwr
judicial	anticipation	0.305	barnwrol
priesthood	anticipation	0.305	offeiriadaeth
broadside	anticipation	0.305	ochr lydan
mill	anticipation	0.305	melin
dismay	anticipation	0.297	digalondid
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocwl
tributary	anticipation	0.297	llednant
instructor	anticipation	0.297	hyfforddwr
exhaustion	anticipation	0.297	lludded
saliva	anticipation	0.297	poer
cataract	anticipation	0.289	cataract
network	anticipation	0.289	rhwydwaith
visor	anticipation	0.289	fisor
shackle	anticipation	0.289	hualau
wont	anticipation	0.289	ni fydd
addresses	anticipation	0.289	Cyfeiriadau
discreet	anticipation	0.289	synhwyrol
noncompliance	anticipation	0.289	diffyg cydymffurfio
bruise	anticipation	0.289	clais
homeless	anticipation	0.289	digartref
astronomer	anticipation	0.281	seryddwr
skewed	anticipation	0.281	sgiw
neighbor	anticipation	0.281	cymydog
holiness	anticipation	0.273	sancteiddrwydd
devil	anticipation	0.273	diafol
picket	anticipation	0.273	piced
sentence	anticipation	0.273	brawddeg
latent	anticipation	0.273	cudd
cream	anticipation	0.273	hufen
immaturity	anticipation	0.273	anaeddfedrwydd
habitual	anticipation	0.266	arferol
morals	anticipation	0.266	moesau
neighborhood	anticipation	0.266	gymdogaeth
lull	anticipation	0.266	tawelwch
bye	anticipation	0.258	hwyl
weight	anticipation	0.258	pwysau
organ	anticipation	0.250	organ
clown	anticipation	0.250	clown
forearm	anticipation	0.250	blaenarf
commonplace	anticipation	0.242	cyffredin
quote	anticipation	0.242	dyfyniad
rail	anticipation	0.234	rheilen
dictatorship	anticipation	0.234	unbennaeth
treadmill	anticipation	0.234	melin draed
board	anticipation	0.234	bwrdd
tree	anticipation	0.227	coeden
sundial	anticipation	0.227	deial haul
paralysis	anticipation	0.211	parlys
cement	anticipation	0.203	sment
worm	anticipation	0.203	mwydyn
organization	anticipation	0.203	sefydliad
lagging	anticipation	0.180	lagio
neutral	anticipation	0.148	niwtral
cannibalism	disgust	0.953	canibaliaeth
mutilation	disgust	0.930	llurguniad
molestation	disgust	0.914	molestu
incest	disgust	0.914	llosgach
rape	disgust	0.906	treisio
gonorrhea	disgust	0.906	gonorea
cannibal	disgust	0.898	canibal
rot	disgust	0.891	pydredd
corpse	disgust	0.883	corff
massacre	disgust	0.883	cyflafan
excrement	disgust	0.883	carthion
barf	disgust	0.875	barf
slaughter	disgust	0.875	lladd
slaughterhouse	disgust	0.867	lladd-dy
incestuous	disgust	0.859	llosgach
sewerage	disgust	0.859	carthffosiaeth
filth	disgust	0.859	budreddi
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	pla
plague	disgust	0.852	pla
holocaust	disgust	0.852	holocost
bloodthirsty	disgust	0.852	gwaedlyd
rotting	disgust	0.844	pydru
fecal	disgust	0.844	fecal
maggot	disgust	0.844	cynrhon
feces	disgust	0.844	feces
murder	disgust	0.839	llofruddiaeth
asshole	disgust	0.836	asshole
homicide	disgust	0.836	lladdiad
enslaved	disgust	0.836	caethiwed
infanticide	disgust	0.836	babanladdiad
perverted	disgust	0.828	gwyrdroi
excretion	disgust	0.828	ysgarthiad
gore	disgust	0.828	gore
slaughtering	disgust	0.828	lladd
torture	disgust	0.828	artaith
contaminate	disgust	0.821	halogi
revolting	disgust	0.820	gwrthryfela
gory	disgust	0.820	gory
shit	disgust	0.820	cachu
terrorist	disgust	0.820	terfysgol
murderer	disgust	0.820	llofrudd
repugnant	disgust	0.820	gwrthun
manure	disgust	0.820	tail
pervert	disgust	0.820	gwyrdroi
diarrhoea	disgust	0.820	dolur rhydd
grotesque	disgust	0.820	grotesg
desecration	disgust	0.820	desecration
faeces	disgust	0.812	ysgarthion
slavery	disgust	0.812	caethwasiaeth
sewer	disgust	0.812	carthffos
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	dynladdiad
dismemberment	disgust	0.812	dadelfeniad
vomit	disgust	0.812	chwydu
perverse	disgust	0.805	gwrthnysig
repulsive	disgust	0.805	gwrthyrrol
hemorrhage	disgust	0.805	gwaedlif
sewage	disgust	0.797	carthion
filthy	disgust	0.797	budr
diseased	disgust	0.797	afiach
depravity	disgust	0.797	depravity
carcass	disgust	0.795	carcas
decompose	disgust	0.789	dadelfennu
gruesome	disgust	0.789	erchyll
mutilated	disgust	0.789	llurgunio
puke	disgust	0.789	pwc
herpes	disgust	0.789	herpes
decayed	disgust	0.789	pydru
dung	disgust	0.789	tail
vermin	disgust	0.789	fermin
murderous	disgust	0.789	llofruddiol
parasite	disgust	0.789	parasit
horrific	disgust	0.789	erchyll
carnage	disgust	0.781	lladdfa
malaria	disgust	0.781	malaria
slime	disgust	0.781	llysnafedd
flatulence	disgust	0.781	chwyndod
pestilence	disgust	0.781	bla
crap	disgust	0.781	crap
monstrosity	disgust	0.781	gwrthun
loathsome	disgust	0.773	cas
toxic	disgust	0.773	gwenwynig
morgue	disgust	0.773	morgue
pus	disgust	0.773	crawn
herpesvirus	disgust	0.773	herpesfeirws
leprosy	disgust	0.773	gwahanglwyf
insidious	disgust	0.773	llechwraidd
cruel	disgust	0.766	creulon
regurgitation	disgust	0.766	adfywiad
anthrax	disgust	0.766	anthracs
xenophobia	disgust	0.766	senoffobia
repugnance	disgust	0.766	gwrthun
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	revulsion
whore	disgust	0.766	butain
dissection	disgust	0.759	dyraniad
mucous	disgust	0.758	mwcaidd
canker	disgust	0.758	cancr
slum	disgust	0.758	slym
infectious	disgust	0.758	heintus
evil	disgust	0.758	drwg
phlegm	disgust	0.758	fflem
cruelty	disgust	0.758	creulondeb
perversion	disgust	0.758	gwyrdroi
sinister	disgust	0.750	sinistr
leeches	disgust	0.750	gelod
corrupting	disgust	0.750	llygru
decomposition	disgust	0.750	dadelfeniad
abomination	disgust	0.742	ffieidd-dra
stinking	disgust	0.742	drewllyd
bile	disgust	0.742	bustl
demonic	disgust	0.742	demonig
deranged	disgust	0.742	dirywiedig
abhorrence	disgust	0.742	ffieidd-dod
soiled	disgust	0.742	baeddu
mucus	disgust	0.742	mwcws
septic	disgust	0.742	septig
sickening	disgust	0.742	yn sâl
demon	disgust	0.742	cythraul
cancer	disgust	0.734	cancr
obese	disgust	0.734	gordew
degeneracy	disgust	0.734	dirywiol
despicable	disgust	0.734	dirmygus
atrocity	disgust	0.734	erchyllter
foul	disgust	0.734	aflan
sicken	disgust	0.734	sâl
crucifixion	disgust	0.734	croeshoeliad
terrorism	disgust	0.734	terfysgaeth
repulsion	disgust	0.727	gwrthyriad
morbidity	disgust	0.727	morbidrwydd
dysentery	disgust	0.727	dysentri
enema	disgust	0.727	enema
bacterium	disgust	0.727	bacteriwm
dirty	disgust	0.727	brwnt
adultery	disgust	0.727	godineb
contamination	disgust	0.727	halogiad
grisly	disgust	0.727	grislyd
diabolical	disgust	0.727	diabolaidd
autopsy	disgust	0.719	awtopsi
barbaric	disgust	0.719	barbaraidd
vulgar	disgust	0.719	di-chwaeth
entrails	disgust	0.719	entrail
disgust	disgust	0.719	ffieidd-dod
lewd	disgust	0.719	anllad
muck	disgust	0.719	tail
bowels	disgust	0.719	ymysgaroedd
garbage	disgust	0.719	sothach
deterioration	disgust	0.719	dirywiad
contagion	disgust	0.719	heintiad
vicious	disgust	0.719	dieflig
disfigured	disgust	0.719	anffurfiedig
pungent	disgust	0.719	pungent
gross	disgust	0.719	gros
bloodshed	disgust	0.714	tywallt gwaed
gag	disgust	0.711	gag
pollute	disgust	0.711	llygru
nausea	disgust	0.711	cyfog
tyrant	disgust	0.711	teyrn
wretched	disgust	0.711	druenus
mortification	disgust	0.711	mortification
violent	disgust	0.711	treisgar
poisoned	disgust	0.711	gwenwyno
nauseate	disgust	0.703	cyfoglyd
slimy	disgust	0.703	llysnafeddog
grope	disgust	0.703	ymbalfalu
slut	disgust	0.703	slwt
nasty	disgust	0.703	cas
disgusting	disgust	0.703	ffiaidd
depraved	disgust	0.703	digalon
porn	disgust	0.703	porn
hateful	disgust	0.703	atgas
vulgarity	disgust	0.703	aflednais
noxious	disgust	0.703	gwenwynig
grime	disgust	0.703	budreddi
constipation	disgust	0.703	rhwymedd
secretion	disgust	0.703	secretion
poisoning	disgust	0.703	gwenwyno
despotism	disgust	0.703	despotiaeth
measles	disgust	0.696	y frech goch
contagious	disgust	0.695	heintus
obesity	disgust	0.695	gordewdra
wart	disgust	0.695	dafadennau
hate	disgust	0.695	casineb
hellish	disgust	0.695	uffernol
scum	disgust	0.695	llysnafedd
suicidal	disgust	0.695	hunanladdol
wretch	disgust	0.695	druenus
abuse	disgust	0.695	cam-drin
waste	disgust	0.695	gwastraff
intestinal	disgust	0.695	berfeddol
heartworm	disgust	0.688	llyngyr y galon
ooze	disgust	0.688	diferu
treason	disgust	0.688	bradwriaeth
contaminated	disgust	0.688	halogedig
smut	disgust	0.688	smwt
disease	disgust	0.688	clefyd
rabid	disgust	0.688	cynddeiriog
deformed	disgust	0.680	anffurfiedig
hell	disgust	0.680	uffern
soulless	disgust	0.680	di-enaid
cholera	disgust	0.680	colera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	anghrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	germ
detest	disgust	0.680	ffieiddio
pollution	disgust	0.680	llygredd
grimy	disgust	0.680	grintachlyd
abhorrent	disgust	0.680	ffiaidd
hatred	disgust	0.680	casineb
abominate	disgust	0.680	ffiaidd
sickness	disgust	0.680	salwch
hideous	disgust	0.672	erchyll
dictatorship	disgust	0.672	unbennaeth
loathful	disgust	0.672	cas
greasy	disgust	0.672	seimllyd
dilapidated	disgust	0.672	adfeiliedig
inhuman	disgust	0.672	annynol
loathing	disgust	0.672	casineb
obscene	disgust	0.672	anllad
cess	disgust	0.670	carth
devil	disgust	0.664	diafol
deformity	disgust	0.664	anffurfiad
nauseous	disgust	0.664	cyfoglyd
deadly	disgust	0.664	marwol
swine	disgust	0.664	mochyn
discrimination	disgust	0.664	gwahaniaethu
abominable	disgust	0.664	ffiaidd
masochism	disgust	0.664	masochiaeth
heretic	disgust	0.664	heretic
latrines	disgust	0.656	tai bach
corruption	disgust	0.656	llygredd
poisonous	disgust	0.656	gwenwynig
horror	disgust	0.656	arswyd
nefarious	disgust	0.656	ysgeler
bacteria	disgust	0.656	bacteria
horrible	disgust	0.656	erchyll
trash	disgust	0.656	sbwriel
abortion	disgust	0.656	erthyliad
death	disgust	0.656	marwolaeth
prejudiced	disgust	0.656	rhagfarnllyd
poison	disgust	0.656	gwenwyn
oppression	disgust	0.656	gormes
goo	disgust	0.656	goo
victimized	disgust	0.656	erlid
mange	disgust	0.656	preseb
sludge	disgust	0.648	llaid
trashy	disgust	0.648	sbwriel
vindictive	disgust	0.648	dialgar
horrid	disgust	0.648	erchyll
ugly	disgust	0.648	hyll
immoral	disgust	0.648	anfoesol
bitch	disgust	0.648	ast
outhouse	disgust	0.648	ty allan
detestation	disgust	0.648	ffieidd-dod
horrifying	disgust	0.641	arswydus
laxative	disgust	0.641	carthydd
unsightly	disgust	0.641	hyll
derogatory	disgust	0.641	dirmygus
slop	disgust	0.641	slop
malfeasance	disgust	0.641	camwedd
spew	disgust	0.641	spew
pimple	disgust	0.641	pimple
criminality	disgust	0.641	troseddoldeb
indecency	disgust	0.641	anweddusrwydd
cystic	disgust	0.641	systig
villainous	disgust	0.641	dihiryn
queasy	disgust	0.633	queasy
mildew	disgust	0.633	llwydni
oppressive	disgust	0.633	gormesol
prostitution	disgust	0.633	puteindra
secrete	disgust	0.633	cyfrinach
ulcer	disgust	0.633	wlser
rat	disgust	0.633	Llygoden Fawr
bigoted	disgust	0.633	bigot
perpetrator	disgust	0.633	drwgweithredwr
doomsday	disgust	0.633	dydd dooms
sinful	disgust	0.633	pechadurus
degrading	disgust	0.625	diraddiol
ghastly	disgust	0.625	yn arswydus
suffering	disgust	0.625	dioddefaint
obscenity	disgust	0.625	anlladrwydd
devilish	disgust	0.625	cythreulig
disgraceful	disgust	0.625	gwarthus
persecution	disgust	0.625	erlidigaeth
contemptible	disgust	0.625	dirmygus
cuckold	disgust	0.625	gog
stools	disgust	0.625	stolion
dastardly	disgust	0.625	yn ddigalon
sin	disgust	0.625	pechod
gluttony	disgust	0.625	glwth
bloated	disgust	0.625	chwyddedig
fungus	disgust	0.625	ffwng
aghast	disgust	0.625	arswyd
diaper	disgust	0.617	diaper
malicious	disgust	0.617	maleisus
polygamy	disgust	0.617	polygami
dying	disgust	0.617	yn marw
termite	disgust	0.617	termite
fat	disgust	0.617	bloneg
deceit	disgust	0.617	twyll
atrocious	disgust	0.617	erchyll
guillotine	disgust	0.617	gilotîn
tetanus	disgust	0.617	tetanws
spoil	disgust	0.617	ysbail
crusty	disgust	0.617	crystiog
sickly	disgust	0.617	yn sâl
louse	disgust	0.617	lleuen
strangle	disgust	0.617	tagu
betrayal	disgust	0.617	brad
loathe	disgust	0.617	casau
wench	disgust	0.617	wench
infect	disgust	0.617	heintio
violently	disgust	0.609	yn dreisgar
brothel	disgust	0.609	puteindy
drool	disgust	0.609	drool
bleeding	disgust	0.609	gwaedu
deform	disgust	0.609	dadffurfio
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	gwenwynig
abhor	disgust	0.609	ffieiddio
slander	disgust	0.609	athrod
hostile	disgust	0.609	gelyniaethus
musty	disgust	0.602	mwslyd
illicit	disgust	0.602	anghyfreithlon
ugliness	disgust	0.602	hylltra
unwashed	disgust	0.602	heb ei olchi
swampy	disgust	0.602	corsiog
deprivation	disgust	0.602	amddifadedd
poaching	disgust	0.602	potsian
hag	disgust	0.602	hag
infidel	disgust	0.602	anffyddlon
imprisonment	disgust	0.602	carchar
traitor	disgust	0.602	bradwr
lunacy	disgust	0.602	gwallgofrwydd
queasiness	disgust	0.594	queasiness
hostility	disgust	0.594	gelyniaeth
repelling	disgust	0.594	ymlid
intoxicated	disgust	0.594	meddw
thug	disgust	0.594	thug
catastrophe	disgust	0.594	trychineb
lunatic	disgust	0.594	lloerig
misery	disgust	0.594	trallod
venom	disgust	0.594	gwenwyn
butcher	disgust	0.594	cigydd
toilet	disgust	0.594	toiled
blister	disgust	0.594	blister
lurid	disgust	0.594	lurid
slug	disgust	0.594	gwlithen
gut	disgust	0.594	perfedd
sinner	disgust	0.594	pechadur
deceitful	disgust	0.594	twyllodrus
epidemic	disgust	0.594	epidemig
deteriorated	disgust	0.586	dirywio
lavatory	disgust	0.586	toiled
unclean	disgust	0.586	aflan
prostitute	disgust	0.586	puteiniwr
incubus	disgust	0.586	incubus
appalling	disgust	0.586	echrydus
dreadful	disgust	0.586	ofnadwy
pornography	disgust	0.586	pornograffi
harass	disgust	0.586	aflonyddu
squeamish	disgust	0.578	gwichian
expulsion	disgust	0.578	diarddel
unfaithful	disgust	0.578	anffyddlon
offensive	disgust	0.578	sarhaus
hypocrite	disgust	0.578	rhagrithiwr
humiliating	disgust	0.578	gwaradwyddus
larceny	disgust	0.578	lladrata
ruinous	disgust	0.578	adfail
retard	disgust	0.578	retar
rash	disgust	0.578	brech
flea	disgust	0.578	chwain
debauchery	disgust	0.578	debauchery
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	gors
conspirator	disgust	0.578	cynllwynwr
sick	disgust	0.578	sâl
mangle	disgust	0.578	mangl
dogsick	disgust	0.570	ciach
egregious	disgust	0.570	egregious
flog	disgust	0.570	fflangell
despise	disgust	0.570	dirmygu
treacherous	disgust	0.570	bradwrus
oppress	disgust	0.570	gormes
swamp	disgust	0.570	cors
messy	disgust	0.570	blêr
spit	disgust	0.570	poeri
dank	disgust	0.570	dank
bastard	disgust	0.570	bastard
devastating	disgust	0.570	dinistriol
serpent	disgust	0.570	sarff
loo	disgust	0.562	toiled
indecent	disgust	0.562	anweddus
insanity	disgust	0.562	gwallgofrwydd
stealing	disgust	0.562	dwyn
terrible	disgust	0.562	ofnadwy
tyrannical	disgust	0.562	gormesol
humiliation	disgust	0.562	darostyngiad
snake	disgust	0.562	neidr
sloppy	disgust	0.562	blêr
sinning	disgust	0.562	pechu
harmful	disgust	0.562	niweidiol
harlot	disgust	0.562	butain
sordid	disgust	0.562	sordid
enemy	disgust	0.562	gelyn
alcoholism	disgust	0.562	alcoholiaeth
awful	disgust	0.562	ofnadwy
ruthless	disgust	0.562	didostur
scoundrel	disgust	0.562	gwarchae
bloody	disgust	0.555	gwaedlyd
flabby	disgust	0.555	flabby
odious	disgust	0.555	atgas
beastly	disgust	0.555	bwystfilaidd
collusion	disgust	0.555	cydgynllwynio
ridicule	disgust	0.555	gwawd
discriminating	disgust	0.555	gwahaniaethu
unattractive	disgust	0.555	anneniadol
insufferable	disgust	0.555	annioddefol
segregate	disgust	0.555	gwahanu
arsenic	disgust	0.555	arsenig
threatening	disgust	0.555	bygythiol
atrophy	disgust	0.555	atroffi
varicella	disgust	0.555	varicella
slayer	disgust	0.555	lladdwr
distaste	disgust	0.555	distawrwydd
coward	disgust	0.555	llwfrgi
robbery	disgust	0.555	lladrad
wickedness	disgust	0.555	drygioni
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	maleisus
sty	disgust	0.547	sty
pillage	disgust	0.547	ysbeilio
thief	disgust	0.547	lleidr
suffocating	disgust	0.547	mygu
condemnation	disgust	0.547	condemniad
deleterious	disgust	0.547	niweidiol
slur	disgust	0.547	slur
purgatory	disgust	0.547	purdan
attacking	disgust	0.547	ymosod
burglar	disgust	0.547	lladron
ogre	disgust	0.547	ogre
coercion	disgust	0.547	gorfodaeth
vesicular	disgust	0.547	pothellog
miserable	disgust	0.547	truenus
bitterly	disgust	0.547	chwerw
sneer	disgust	0.539	sneer
greedy	disgust	0.539	barus
gob	disgust	0.539	gob
repellant	disgust	0.539	ymlidiwr
jealous	disgust	0.539	genfigennus
drunken	disgust	0.539	meddw
shame	disgust	0.539	cywilydd
thrash	disgust	0.539	dyrnu
fatty	disgust	0.539	brasterog
liar	disgust	0.539	celwyddog
imprisoned	disgust	0.539	carcharu
sloth	disgust	0.539	sloth
repudiation	disgust	0.539	ymwadiad
disgrace	disgust	0.539	gwarth
infidelity	disgust	0.539	anffyddlondeb
pig	disgust	0.539	mochyn
lethal	disgust	0.536	angheuol
burnt	disgust	0.531	llosgi
brawl	disgust	0.531	ffrwgwd
withered	disgust	0.531	gwywedig
blemish	disgust	0.531	blemish
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	aberiad
smuggler	disgust	0.531	smyglwr
painful	disgust	0.531	poenus
condescension	disgust	0.531	cydweddiad
intolerant	disgust	0.531	anoddefgar
blasphemous	disgust	0.531	cableddus
lying	disgust	0.531	gorwedd
hanging	disgust	0.531	hongian
travesty	disgust	0.531	travesty
ruined	disgust	0.531	adfeiliedig
intrusive	disgust	0.531	ymwthiol
disintegrate	disgust	0.531	ymddatod
destructive	disgust	0.531	dinistriol
neurotic	disgust	0.531	niwrotig
disparaging	disgust	0.523	dirmygus
blighted	disgust	0.523	difetha
intolerance	disgust	0.523	anoddefgarwch
mistress	disgust	0.523	meistres
avarice	disgust	0.523	afaris
disgraced	disgust	0.523	gwarthus
derogation	disgust	0.523	rhanddirymiad
rubbish	disgust	0.523	sbwriel
accusation	disgust	0.523	cyhuddiad
incarceration	disgust	0.523	carcharu
tortious	disgust	0.516	arteithiol
dishonor	disgust	0.516	amarch
stink	disgust	0.516	drewdod
grim	disgust	0.516	grim
rob	disgust	0.516	lladrata
defraud	disgust	0.516	twyll
sump	disgust	0.516	swp
cringe	disgust	0.516	cringe
vulture	disgust	0.516	fwltur
deplorable	disgust	0.516	gresynus
mite	disgust	0.516	gwiddonyn
eradication	disgust	0.516	dileu
degrade	disgust	0.516	diraddio
gutter	disgust	0.516	gwter
convict	disgust	0.516	euogfarn
remains	disgust	0.516	olion
betray	disgust	0.516	bradychu
daemon	disgust	0.516	ellyll
sham	disgust	0.509	ffug
distasteful	disgust	0.508	atgas
prisoner	disgust	0.508	carcharor
dreadfully	disgust	0.508	yn ofnadwy
worthless	disgust	0.508	diwerth
crude	disgust	0.508	crai
delirium	disgust	0.508	deliriwm
incurable	disgust	0.508	anwelladwy
smelling	disgust	0.508	drewi
idiocy	disgust	0.508	idiocy
resentment	disgust	0.508	drwgdeimlad
bombed	disgust	0.508	bomio
blob	disgust	0.508	blob
cheat	disgust	0.508	twyllo
schizophrenia	disgust	0.508	sgitsoffrenia
rejection	disgust	0.508	gwrthod
belittle	disgust	0.508	bychanu
glut	disgust	0.508	glwt
disaster	disgust	0.508	trychineb
distress	disgust	0.508	trallod
pest	disgust	0.508	pla
endemic	disgust	0.508	endemig
theft	disgust	0.500	lladrad
banish	disgust	0.500	alltudio
mire	disgust	0.500	cors
flagrant	disgust	0.500	banerog
derision	disgust	0.500	gwawd
dirt	disgust	0.500	baw
screaming	disgust	0.500	sgrechian
offense	disgust	0.500	trosedd
jealousy	disgust	0.500	cenfigen
bribery	disgust	0.500	llwgrwobrwyo
polemic	disgust	0.500	polmig
blight	disgust	0.500	malltod
impeach	disgust	0.500	uchelgyhuddiad
bitterness	disgust	0.500	chwerwder
taboo	disgust	0.500	tabŵ
duress	disgust	0.500	gorfodaeth
goblin	disgust	0.500	goblin
shackle	disgust	0.500	hualau
idolatry	disgust	0.500	eilunaddoliaeth
greed	disgust	0.500	trachwant
impurity	disgust	0.500	amhuredd
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idiot
boil	disgust	0.492	berw
unconscionable	disgust	0.492	anymwybodol
disreputable	disgust	0.492	anfri
robber	disgust	0.492	lleidr
malign	disgust	0.492	malaen
wreck	disgust	0.492	llongddrylliad
recession	disgust	0.492	dirwasgiad
gorge	disgust	0.492	ceunant
leer	disgust	0.492	leer
ill	disgust	0.492	sâl
squirm	disgust	0.492	chwistrell
raging	disgust	0.484	cynddeiriog
servile	disgust	0.484	gwasaidd
mess	disgust	0.484	llanast
nappy	disgust	0.484	cewyn
possessed	disgust	0.484	meddu
unbearable	disgust	0.484	annioddefol
occult	disgust	0.484	ocwlt
contraband	disgust	0.484	contraband
snarl	disgust	0.484	snarl
mutiny	disgust	0.484	gwrthryfel
mad	disgust	0.484	gwallgof
affliction	disgust	0.484	cystudd
stain	disgust	0.484	staen
animosity	disgust	0.484	gelyniaeth
contempt	disgust	0.484	dirmyg
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	nepotiaeth
disrespectful	disgust	0.484	amharchus
defamation	disgust	0.484	difenwi
inexcusable	disgust	0.484	anfaddeuol
aversation	disgust	0.484	gwrthun
wasteful	disgust	0.484	gwastraffus
offender	disgust	0.484	troseddwr
subjugation	disgust	0.484	darostyngiad
illegality	disgust	0.477	anghyfreithlondeb
dismal	disgust	0.477	digalon
criminal	disgust	0.477	troseddol
unpleasant	disgust	0.477	annymunol
palsy	disgust	0.477	parlys
antagonistic	disgust	0.477	antagonist
pathetic	disgust	0.477	pathetig
uncaring	disgust	0.477	diofal
suppression	disgust	0.477	llethu
immorality	disgust	0.477	anfoesoldeb
mockery	disgust	0.477	gwatwar
outrage	disgust	0.469	dicter
mocking	disgust	0.469	gwatwar
wallow	disgust	0.469	walch
cough	disgust	0.469	peswch
arrogant	disgust	0.469	trahaus
angry	disgust	0.469	blin
poverty	disgust	0.469	tlodi
grating	disgust	0.469	gratio
livid	disgust	0.469	livid
aggravation	disgust	0.469	gwaethygiad
repellent	disgust	0.469	ymlid
perspiration	disgust	0.469	chwys
banishment	disgust	0.469	alltudiaeth
furious	disgust	0.469	gandryll
shoddy	disgust	0.469	shoddy
banshee	disgust	0.469	banshee
deceive	disgust	0.461	twyllo
fool	disgust	0.461	ffwl
quack	disgust	0.461	cwac
distorted	disgust	0.461	gwyrgam
spider	disgust	0.461	pry copyn
unjustifiable	disgust	0.461	anghyfiawn
deplore	disgust	0.461	gresynu
spurious	disgust	0.461	ysgeler
perdition	disgust	0.461	colledigaeth
muddy	disgust	0.461	mwdlyd
fraudulent	disgust	0.461	twyllodrus
scar	disgust	0.461	craith
prick	disgust	0.461	pric
insulting	disgust	0.461	sarhaus
plunder	disgust	0.461	ysbeilio
recklessness	disgust	0.461	di-hid
stigma	disgust	0.453	gwarth
disparage	disgust	0.453	dirmyg
unthinkable	disgust	0.453	annychmygol
disingenuous	disgust	0.453	annidwyll
bane	disgust	0.453	bane
dishonest	disgust	0.453	anonest
aphid	disgust	0.453	llyslau
elimination	disgust	0.453	dileu
cur	disgust	0.453	cyr
selfish	disgust	0.453	hunanol
eschew	disgust	0.453	eschew
dire	disgust	0.453	enbyd
indignation	disgust	0.453	digofaint
antipathy	disgust	0.453	gwrthun
alienate	disgust	0.453	dieithrwch
mosquito	disgust	0.445	mosgito
piles	disgust	0.445	pentyrrau
pious	disgust	0.445	dduwiol
lie	disgust	0.445	celwydd
opium	disgust	0.445	opiwm
smell	disgust	0.445	arogli
iniquity	disgust	0.445	anwiredd
caries	disgust	0.445	pydredd
despair	disgust	0.445	anobaith
recalcitrant	disgust	0.445	ystyfnig
egotistical	disgust	0.445	egotistaidd
wasted	disgust	0.445	gwastraffu
vacuous	disgust	0.445	gwag
bankruptcy	disgust	0.445	methdaliad
garish	disgust	0.445	garish
obnoxious	disgust	0.438	atgas
ashamed	disgust	0.438	cywilydd
abject	disgust	0.438	yn wrthun
sticky	disgust	0.438	gludiog
scream	disgust	0.438	sgrechian
hopelessness	disgust	0.438	anobaith
homeless	disgust	0.438	digartref
shun	disgust	0.438	shun
inmate	disgust	0.438	carcharor
alien	disgust	0.438	estron
hog	disgust	0.438	mochyn
aversion	disgust	0.438	gwrthwynebiad
abnormal	disgust	0.438	annormal
cursing	disgust	0.430	melltithio
undesirable	disgust	0.430	annymunol
denounce	disgust	0.430	gwadu
witch	disgust	0.430	gwrach
creature	disgust	0.430	creadur
lusty	disgust	0.430	chwantus
illegal	disgust	0.430	anghyfreithlon
debris	disgust	0.430	malurion
callous	disgust	0.430	dideimlad
reflux	disgust	0.430	adlif
adverse	disgust	0.430	anffafriol
shameless	disgust	0.430	digywilydd
separatist	disgust	0.430	ymwahanydd
trickery	disgust	0.430	dichellwaith
falsity	disgust	0.430	ffalsedd
pall	disgust	0.430	pall
defiance	disgust	0.430	herfeiddiad
incredulous	disgust	0.430	anhygoel
curse	disgust	0.430	melltith
pompous	disgust	0.422	rhwysgfawr
socialist	disgust	0.422	sosialaidd
mistrust	disgust	0.422	drwgdybiaeth
