English Word	Emotion	Emotion-Intensity-Score	Samoan Word
dung	disgust	0.789	otaota
vermin	disgust	0.789	mea leaga
murderous	disgust	0.789	fasioti tagata
parasite	disgust	0.789	parasite
horrific	disgust	0.789	mata'utia
carnage	disgust	0.781	fasiotiga tagata
malaria	disgust	0.781	malaria
slime	disgust	0.781	masi
flatulence	disgust	0.781	gugu
pestilence	disgust	0.781	fa'ama'i
crap	disgust	0.781	leaga
monstrosity	disgust	0.781	mata'utia
loathsome	disgust	0.773	inosia
toxic	disgust	0.773	oona
morgue	disgust	0.773	fale maliu
pus	disgust	0.773	nana
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lepela
insidious	disgust	0.773	taufaavalea
cruel	disgust	0.766	sauā
regurgitation	disgust	0.766	toe fa'afo'i
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	inoino
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	'ino'ino
whore	disgust	0.766	fafine talitane
dissection	disgust	0.759	vaevaeina
mucous	disgust	0.758	mucous
canker	disgust	0.758	faama'i
slum	disgust	0.758	fa'ato'aga
infectious	disgust	0.758	fa'ama'i
evil	disgust	0.758	leaga
phlegm	disgust	0.758	flegm
cruelty	disgust	0.758	sauā
perversion	disgust	0.758	fa'api'opi'o
sinister	disgust	0.750	amio leaga
leeches	disgust	0.750	lie
corrupting	disgust	0.750	faiga pi'opi'o
decomposition	disgust	0.750	pala
abomination	disgust	0.742	mea inosia
stinking	disgust	0.742	manogi
bile	disgust	0.742	ga'o
demonic	disgust	0.742	temoni
deranged	disgust	0.742	fa'aletonu
abhorrence	disgust	0.742	'ino'ino
soiled	disgust	0.742	eleelea
mucus	disgust	0.742	susu
septic	disgust	0.742	septic
sickening	disgust	0.742	ma'i
demon	disgust	0.742	temoni
cancer	disgust	0.734	kanesa
obese	disgust	0.734	lapo'a
degeneracy	disgust	0.734	fa'aleagaina
despicable	disgust	0.734	inosia
atrocity	disgust	0.734	sauā
foul	disgust	0.734	leaga
sicken	disgust	0.734	ma'i
crucifixion	disgust	0.734	faasatauroga
terrorism	disgust	0.734	faiga faatupu faalavelave
repulsion	disgust	0.727	tete'e
morbidity	disgust	0.727	ma'i
dysentery	disgust	0.727	fa'ama'i
enema	disgust	0.727	enema
bacterium	disgust	0.727	siama
dirty	disgust	0.727	palapala
adultery	disgust	0.727	mulilua
contamination	disgust	0.727	fa'aleagaina
grisly	disgust	0.727	mata'utia
diabolical	disgust	0.727	fa'aleaga
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	fa'atauvalea
vulgar	disgust	0.719	matagā
entrails	disgust	0.719	totoga
disgust	disgust	0.719	inoino
lewd	disgust	0.719	amio matagā
muck	disgust	0.719	palapala
bowels	disgust	0.719	manava
garbage	disgust	0.719	lapisi
deterioration	disgust	0.719	fa'aleagaina
contagion	disgust	0.719	fa'ama'i
vicious	disgust	0.719	sauā
disfigured	disgust	0.719	fa'aleaga
pungent	disgust	0.719	ma'i
gross	disgust	0.719	leaga
bloodshed	disgust	0.714	faamasaa toto
gag	disgust	0.711	gag
pollute	disgust	0.711	fa'aleaga
nausea	disgust	0.711	faafaufau
tyrant	disgust	0.711	sauā
wretched	disgust	0.711	malaia
mortification	disgust	0.711	fa'anoanoa
violent	disgust	0.711	sauā
poisoned	disgust	0.711	'ona
nauseate	disgust	0.703	faafaufau
slimy	disgust	0.703	mafolafola
grope	disgust	0.703	tautagotago
slut	disgust	0.703	tama'ita'i
nasty	disgust	0.703	leaga
disgusting	disgust	0.703	inosia
depraved	disgust	0.703	amio leaga
porn	disgust	0.703	porn
hateful	disgust	0.703	inoino
vulgarity	disgust	0.703	matagā
noxious	disgust	0.703	leaga
grime	disgust	0.703	palapala
constipation	disgust	0.703	susua
secretion	disgust	0.703	fa'alilo
poisoning	disgust	0.703	oona
despotism	disgust	0.703	fa'aleaga
measles	disgust	0.696	misela
contagious	disgust	0.695	pipisi
obesity	disgust	0.695	puta
wart	disgust	0.695	mata'i
hate	disgust	0.695	inoino
hellish	disgust	0.695	seoli
scum	disgust	0.695	otaota
suicidal	disgust	0.695	pule i le pule
wretch	disgust	0.695	leaga
abuse	disgust	0.695	faatautala
waste	disgust	0.695	otaota
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	anufe fatu
ooze	disgust	0.688	tafe
treason	disgust	0.688	faalata
contaminated	disgust	0.688	fa'aleagaina
smut	disgust	0.688	ulavale
disease	disgust	0.688	faama'i
rabid	disgust	0.688	fa'asā
deformed	disgust	0.680	fa'aletonu
hell	disgust	0.680	seoli
soulless	disgust	0.680	leai se agaga
cholera	disgust	0.680	kolera
bestial	disgust	0.680	manu
antichrist	disgust	0.680	anetikeriso
freakish	disgust	0.680	fa'afefe
germ	disgust	0.680	siama
detest	disgust	0.680	inoino
pollution	disgust	0.680	filogia
grimy	disgust	0.680	eleelea
abhorrent	disgust	0.680	inosia
hatred	disgust	0.680	inoino
abominate	disgust	0.680	inosia
sickness	disgust	0.680	ma'i
hideous	disgust	0.672	mata'utia
dictatorship	disgust	0.672	fa'apulepulega
loathful	disgust	0.672	'ino'ino
greasy	disgust	0.672	ga'o
dilapidated	disgust	0.672	malepe
inhuman	disgust	0.672	lē fa'aletagata
loathing	disgust	0.672	inoino
obscene	disgust	0.672	matagā
cess	disgust	0.670	cess
devil	disgust	0.664	tiapolo
deformity	disgust	0.664	fa'aletonu
nauseous	disgust	0.664	faafaufau
deadly	disgust	0.664	oti
swine	disgust	0.664	puaa
discrimination	disgust	0.664	fa'ailoga tagata
abominable	disgust	0.664	inosia
masochism	disgust	0.664	masochism
heretic	disgust	0.664	pepelo
latrines	disgust	0.656	faleese
corruption	disgust	0.656	faiga pi’opi’o
poisonous	disgust	0.656	oona
horror	disgust	0.656	mata'utia
nefarious	disgust	0.656	leaga
bacteria	disgust	0.656	siama
horrible	disgust	0.656	mata'utia
trash	disgust	0.656	lapisi
abortion	disgust	0.656	faapau pepe
death	disgust	0.656	oti
prejudiced	disgust	0.656	fa'aituau
poison	disgust	0.656	oona
oppression	disgust	0.656	sauaga
goo	disgust	0.656	goo
victimized	disgust	0.656	fa'aleagaina
mange	disgust	0.656	manumanu
sludge	disgust	0.648	palapala palapala
trashy	disgust	0.648	lapisi
vindictive	disgust	0.648	taui ma sui
horrid	disgust	0.648	mata'utia
ugly	disgust	0.648	matagā
immoral	disgust	0.648	le mama
bitch	disgust	0.648	faife'au
outhouse	disgust	0.648	fale i fafo
detestation	disgust	0.648	inosia
horrifying	disgust	0.641	mata'utia
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	matagā
derogatory	disgust	0.641	fa'alumaluma
slop	disgust	0.641	fa'ase'e
malfeasance	disgust	0.641	fa'aletonu
spew	disgust	0.641	luai
pimple	disgust	0.641	pimple
criminality	disgust	0.641	solitulafono
indecency	disgust	0.641	amio matagā
cystic	disgust	0.641	cystic
villainous	disgust	0.641	leaga
queasy	disgust	0.633	tiga
mildew	disgust	0.633	polopolo
oppressive	disgust	0.633	sauā
prostitution	disgust	0.633	talitane
secrete	disgust	0.633	lilo
ulcer	disgust	0.633	papala
rat	disgust	0.633	isumu
bigoted	disgust	0.633	mata'utia
perpetrator	disgust	0.633	tagata solitulafono
doomsday	disgust	0.633	aso oti
sinful	disgust	0.633	agasala
degrading	disgust	0.625	faalumaina
ghastly	disgust	0.625	mata'utia
suffering	disgust	0.625	puapuaga
obscenity	disgust	0.625	mea matagā
devilish	disgust	0.625	temoni
disgraceful	disgust	0.625	faalumaina
persecution	disgust	0.625	sauaga
contemptible	disgust	0.625	inosia
cuckold	disgust	0.625	tautane
stools	disgust	0.625	nofoa
dastardly	disgust	0.625	mata'utia
sin	disgust	0.625	agasala
gluttony	disgust	0.625	'ai'ai
bloated	disgust	0.625	fulafula
fungus	disgust	0.625	suli
aghast	disgust	0.625	te'i
diaper	disgust	0.617	napekini
malicious	disgust	0.617	leaga
polygamy	disgust	0.617	autaunonofo
dying	disgust	0.617	oti
termite	disgust	0.617	anai
fat	disgust	0.617	ga'o
deceit	disgust	0.617	fa'a'ole'ole
atrocious	disgust	0.617	mataga
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	fa'aleagaina
crusty	disgust	0.617	ga'o
sickly	disgust	0.617	ma'i
louse	disgust	0.617	louse
strangle	disgust	0.617	titina
betrayal	disgust	0.617	faalataina
loathe	disgust	0.617	'ino'ino
wench	disgust	0.617	fafine
infect	disgust	0.617	fa'ama'i
violently	disgust	0.609	sauā
brothel	disgust	0.609	fale talitane
drool	disgust	0.609	lilivau
bleeding	disgust	0.609	tafetotoi
deform	disgust	0.609	fa'aletonu
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	oona
abhor	disgust	0.609	'ino'ino
slander	disgust	0.609	taufaaleaga
hostile	disgust	0.609	fa'aleaga
musty	disgust	0.602	asu
illicit	disgust	0.602	faasolitulafono
ugliness	disgust	0.602	matagā
unwashed	disgust	0.602	e le'i fufuluina
swampy	disgust	0.602	taufusi
deprivation	disgust	0.602	le tagolima
poaching	disgust	0.602	fa'atauga
hag	disgust	0.602	hag
infidel	disgust	0.602	le talitonu
imprisonment	disgust	0.602	falepuipui
traitor	disgust	0.602	faalata
lunacy	disgust	0.602	valea
queasiness	disgust	0.594	fa'anoanoa
hostility	disgust	0.594	feitaga'i
repelling	disgust	0.594	tete'e
intoxicated	disgust	0.594	onana
thug	disgust	0.594	faomea
catastrophe	disgust	0.594	mala
lunatic	disgust	0.594	valea
misery	disgust	0.594	malaia
venom	disgust	0.594	oona
butcher	disgust	0.594	tagata fasi
toilet	disgust	0.594	faleuila
blister	disgust	0.594	pa'u
lurid	disgust	0.594	lurid
slug	disgust	0.594	ma'a
gut	disgust	0.594	gutu
sinner	disgust	0.594	tagata agasala
deceitful	disgust	0.594	fa'a'ole'ole
epidemic	disgust	0.594	fa'ama'i pipisi i se atunu'u
deteriorated	disgust	0.586	leaga
lavatory	disgust	0.586	faletaele
unclean	disgust	0.586	le mama
prostitute	disgust	0.586	fafine talitane
incubus	disgust	0.586	incubus
appalling	disgust	0.586	mata'utia
dreadful	disgust	0.586	mata'utia
pornography	disgust	0.586	ponokalafi
harass	disgust	0.586	fa'alavelave
squeamish	disgust	0.578	mata'utia
expulsion	disgust	0.578	tuliesea
unfaithful	disgust	0.578	le faamaoni
offensive	disgust	0.578	faatiga
hypocrite	disgust	0.578	pepelo
humiliating	disgust	0.578	faalumaina
larceny	disgust	0.578	gaoi
ruinous	disgust	0.578	fa'aleagaina
retard	disgust	0.578	tuai
rash	disgust	0.578	mageso
flea	disgust	0.578	fulu
debauchery	disgust	0.578	fa'atauva'a
fiend	disgust	0.578	faife'au
quagmire	disgust	0.578	malaia
conspirator	disgust	0.578	taupulepule
sick	disgust	0.578	ma'i
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	ma'i maile
egregious	disgust	0.570	mata'utia
flog	disgust	0.570	sasa
despise	disgust	0.570	inosia
treacherous	disgust	0.570	fa'a'ole'ole
oppress	disgust	0.570	faasaua
swamp	disgust	0.570	taufusi
messy	disgust	0.570	vevesi
spit	disgust	0.570	feanu
dank	disgust	0.570	mata'utia
bastard	disgust	0.570	tama'ita'i
devastating	disgust	0.570	faataumaoi
serpent	disgust	0.570	gata
loo	disgust	0.562	loo
indecent	disgust	0.562	matagā
insanity	disgust	0.562	valea
stealing	disgust	0.562	gaoi
terrible	disgust	0.562	mata'utia
tyrannical	disgust	0.562	sauā
humiliation	disgust	0.562	faalumaina
snake	disgust	0.562	gata
sloppy	disgust	0.562	fa'atauva'a
sinning	disgust	0.562	agasala
harmful	disgust	0.562	leaga
harlot	disgust	0.562	fafine talitane
sordid	disgust	0.562	leaga
enemy	disgust	0.562	fili
alcoholism	disgust	0.562	ava malosi
awful	disgust	0.562	mata'utia
ruthless	disgust	0.562	sauā
scoundrel	disgust	0.562	tagata ulavavale
bloody	disgust	0.555	toto
flabby	disgust	0.555	fa'alelei
odious	disgust	0.555	matagā
beastly	disgust	0.555	fa'amanu
collusion	disgust	0.555	taupulepulega
ridicule	disgust	0.555	tauemuga
discriminating	disgust	0.555	fa'ailoga tagata
unattractive	disgust	0.555	le manaia
insufferable	disgust	0.555	le onosaia
segregate	disgust	0.555	tuueseese
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	fa'amata'u
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	fasioti tagata
distaste	disgust	0.555	le fiafia
coward	disgust	0.555	pala'ai
robbery	disgust	0.555	faomea
wickedness	disgust	0.555	amio leaga
anathema	disgust	0.547	malaia
malevolent	disgust	0.547	leaga
sty	disgust	0.547	sty
pillage	disgust	0.547	faomea
thief	disgust	0.547	gaoi
suffocating	disgust	0.547	mānava
condemnation	disgust	0.547	fa'asala
deleterious	disgust	0.547	fa'aleaga
slur	disgust	0.547	fa'alumaluma
purgatory	disgust	0.547	pulekatolio
attacking	disgust	0.547	osofa'i
burglar	disgust	0.547	faomea
ogre	disgust	0.547	ogre
coercion	disgust	0.547	fai faamalosi
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	malaia
bitterly	disgust	0.547	oona
sneer	disgust	0.539	tauemu
greedy	disgust	0.539	matape'ape'a
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	lotoleaga
drunken	disgust	0.539	onana
shame	disgust	0.539	maasiasi
thrash	disgust	0.539	sasa
fatty	disgust	0.539	ga'o
liar	disgust	0.539	pepelo
imprisoned	disgust	0.539	falepuipui
sloth	disgust	0.539	paie
repudiation	disgust	0.539	faafitia
disgrace	disgust	0.539	faalumaina
infidelity	disgust	0.539	le faamaoni
pig	disgust	0.539	puaa
lethal	disgust	0.536	oti
burnt	disgust	0.531	mu
brawl	disgust	0.531	misa
withered	disgust	0.531	magumagu
blemish	disgust	0.531	ila
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	fa'aletonu
smuggler	disgust	0.531	tagata faanana
painful	disgust	0.531	tiga
condescension	disgust	0.531	faamaualalo
intolerant	disgust	0.531	le faapalepale
blasphemous	disgust	0.531	upu leaga
lying	disgust	0.531	pepelo
hanging	disgust	0.531	tautau
travesty	disgust	0.531	taufaaleaga
ruined	disgust	0.531	fa'aleagaina
intrusive	disgust	0.531	fa'alavelave
disintegrate	disgust	0.531	malepelepe
destructive	disgust	0.531	fa'aleagaina
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	fa'atauva'a
blighted	disgust	0.523	malaia
intolerance	disgust	0.523	le faapalepale
mistress	disgust	0.523	tama'ita'i
avarice	disgust	0.523	mana'o tele
disgraced	disgust	0.523	faalumaina
derogation	disgust	0.523	fa'atauva'a
rubbish	disgust	0.523	lapisi
accusation	disgust	0.523	tuuaiga
incarceration	disgust	0.523	falepuipui
tortious	disgust	0.516	tiga
dishonor	disgust	0.516	faalumaina
stink	disgust	0.516	manogi
grim	disgust	0.516	mata'utia
rob	disgust	0.516	faomea
defraud	disgust	0.516	taufaavalea
sump	disgust	0.516	sump
cringe	disgust	0.516	fa'anoanoa
vulture	disgust	0.516	vulture
deplorable	disgust	0.516	fa'anoanoa
mite	disgust	0.516	tupe iti
eradication	disgust	0.516	tafiesea
degrade	disgust	0.516	fa'aleaga
gutter	disgust	0.516	alavai
convict	disgust	0.516	nofosala
remains	disgust	0.516	tumau
betray	disgust	0.516	faalataina
daemon	disgust	0.516	temoni
sham	disgust	0.509	pepelo
distasteful	disgust	0.508	fa'anoanoa
prisoner	disgust	0.508	pagota
dreadfully	disgust	0.508	mata'utia
worthless	disgust	0.508	le aoga
crude	disgust	0.508	fa'atauva'a
delirium	disgust	0.508	fa'alavelave
incurable	disgust	0.508	e le mafai ona togafitia
smelling	disgust	0.508	manogi
idiocy	disgust	0.508	faavalevalea
resentment	disgust	0.508	ita
bombed	disgust	0.508	pomu
blob	disgust	0.508	pa'u
cheat	disgust	0.508	faimamago
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	teenaina
belittle	disgust	0.508	fa'atauva'a
glut	disgust	0.508	fiu
disaster	disgust	0.508	mala
distress	disgust	0.508	puapuaga
pest	disgust	0.508	fa'ama'i
endemic	disgust	0.508	fa'ama'i
theft	disgust	0.500	gaoi
banish	disgust	0.500	tulia
mire	disgust	0.500	palapala
flagrant	disgust	0.500	mata'utia
derision	disgust	0.500	tauemuga
dirt	disgust	0.500	palapala
screaming	disgust	0.500	'e'e
offense	disgust	0.500	solitulafono
jealousy	disgust	0.500	fuā
bribery	disgust	0.500	faiga faatogafalea
polemic	disgust	0.500	finauga
blight	disgust	0.500	malaia
impeach	disgust	0.500	fa'aleaga
bitterness	disgust	0.500	oona
taboo	disgust	0.500	tapu
duress	disgust	0.500	fai faamalosi
goblin	disgust	0.500	goblin
shackle	disgust	0.500	noanoa
idolatry	disgust	0.500	ifo i tupua
greed	disgust	0.500	matape'ape'a
impurity	disgust	0.500	le mama
tirade	disgust	0.500	ulavale
idiot	disgust	0.492	vale
boil	disgust	0.492	pupuna
unconscionable	disgust	0.492	lē magafagafa
disreputable	disgust	0.492	ta'uleagaina
robber	disgust	0.492	faomea
malign	disgust	0.492	leaga
wreck	disgust	0.492	malepelepe
recession	disgust	0.492	fa'aletonu
gorge	disgust	0.492	vanu
leer	disgust	0.492	leer
ill	disgust	0.492	ma'i
squirm	disgust	0.492	fe'ai
raging	disgust	0.484	ita
servile	disgust	0.484	pologa
mess	disgust	0.484	vevesi
nappy	disgust	0.484	nape
possessed	disgust	0.484	umia
unbearable	disgust	0.484	le gafatia
occult	disgust	0.484	fa'ataulāitu
contraband	disgust	0.484	mea fa'atau
snarl	disgust	0.484	uē
mutiny	disgust	0.484	fouvalega
mad	disgust	0.484	ita
affliction	disgust	0.484	puapuaga
stain	disgust	0.484	pisia
animosity	disgust	0.484	ita
contempt	disgust	0.484	inosia
tramp	disgust	0.484	tu'uvalea
nepotism	disgust	0.484	fa'aleaga
disrespectful	disgust	0.484	le fa'aaloalo
defamation	disgust	0.484	taufaaleaga
inexcusable	disgust	0.484	e le mafai ona faanoi
aversation	disgust	0.484	fa'alavelave
wasteful	disgust	0.484	maumau
offender	disgust	0.484	tagata solitulafono
subjugation	disgust	0.484	fa'ato'ilaloina
illegality	disgust	0.477	faasolitulafono
dismal	disgust	0.477	fa'anoanoa
criminal	disgust	0.477	solitulafono
unpleasant	disgust	0.477	le fiafia
palsy	disgust	0.477	supa
antagonistic	disgust	0.477	fa'afeagai
pathetic	disgust	0.477	fa'anoanoa
uncaring	disgust	0.477	le popole
suppression	disgust	0.477	taofiofia
immorality	disgust	0.477	amio le mama
mockery	disgust	0.477	tauemuga
outrage	disgust	0.469	ita
mocking	disgust	0.469	tauemu
wallow	disgust	0.469	talofa
cough	disgust	0.469	tale
arrogant	disgust	0.469	fa'amaualuga
angry	disgust	0.469	ita
poverty	disgust	0.469	mativa
grating	disgust	0.469	togitogiga
livid	disgust	0.469	ita
aggravation	disgust	0.469	fa'aleaga
repellent	disgust	0.469	tetee
perspiration	disgust	0.469	afu
banishment	disgust	0.469	fa'ate'a
furious	disgust	0.469	ita tele
shoddy	disgust	0.469	leaga
banshee	disgust	0.469	banshee
deceive	disgust	0.461	fa'a'ole'ole
fool	disgust	0.461	vale
quack	disgust	0.461	fa'atau
distorted	disgust	0.461	fa'aseseina
spider	disgust	0.461	apogaleveleve
unjustifiable	disgust	0.461	lē fa'asalaina
deplore	disgust	0.461	fa'anoanoa
spurious	disgust	0.461	pepelo
perdition	disgust	0.461	malaia
muddy	disgust	0.461	palapala
fraudulent	disgust	0.461	taufaasese
scar	disgust	0.461	ma'ila
prick	disgust	0.461	tui
insulting	disgust	0.461	taufaaleaga
plunder	disgust	0.461	faomea
recklessness	disgust	0.461	faatamala
stigma	disgust	0.453	fa'ailoga
disparage	disgust	0.453	fa'atauva'a
unthinkable	disgust	0.453	le mafaufauina
disingenuous	disgust	0.453	le faamaoni
bane	disgust	0.453	leaga
dishonest	disgust	0.453	le faamaoni
aphid	disgust	0.453	aphid
elimination	disgust	0.453	fa'ate'aina
cur	disgust	0.453	cur
selfish	disgust	0.453	manatu faapito
eschew	disgust	0.453	alo ese
dire	disgust	0.453	mata'utia
indignation	disgust	0.453	ita
antipathy	disgust	0.453	tete'e
alienate	disgust	0.453	faaesea
mosquito	disgust	0.445	namu
piles	disgust	0.445	faaputuga
pious	disgust	0.445	amioatua
lie	disgust	0.445	pepelo
opium	disgust	0.445	opiuma
smell	disgust	0.445	manogi
iniquity	disgust	0.445	amioletonu
caries	disgust	0.445	caries
despair	disgust	0.445	faanoanoa
recalcitrant	disgust	0.445	fa'alata
egotistical	disgust	0.445	fa'amaualuga
wasted	disgust	0.445	maumau
vacuous	disgust	0.445	gaogao
bankruptcy	disgust	0.445	gaumativa
garish	disgust	0.445	tausaafia
obnoxious	disgust	0.438	matagā
ashamed	disgust	0.438	maasiasi
abject	disgust	0.438	inosia
sticky	disgust	0.438	pipii
scream	disgust	0.438	ee
hopelessness	disgust	0.438	leai se faamoemoe
homeless	disgust	0.438	leai se aiga
shun	disgust	0.438	alo ese
inmate	disgust	0.438	pagota
alien	disgust	0.438	tagata ese
hog	disgust	0.438	pua'a
aversion	disgust	0.438	'ino'ino
abnormal	disgust	0.438	fa'aletonu
cursing	disgust	0.430	fetuu
undesirable	disgust	0.430	lē mana'omia
denounce	disgust	0.430	ta'uleagaina
witch	disgust	0.430	faataulaitu
creature	disgust	0.430	meaola
lusty	disgust	0.430	tu'inanau
illegal	disgust	0.430	faasolitulafono
debris	disgust	0.430	otaota
callous	disgust	0.430	fa'atauva'a
reflux	disgust	0.430	reflux
adverse	disgust	0.430	leaga
shameless	disgust	0.430	lē mā
separatist	disgust	0.430	separatist
trickery	disgust	0.430	togafiti
falsity	disgust	0.430	pepelo
pall	disgust	0.430	pall
defiance	disgust	0.430	tete'e
incredulous	disgust	0.430	le talitonuina
curse	disgust	0.430	fetuu
pompous	disgust	0.422	fa'amaualuga
socialist	disgust	0.422	fa'aagafesootai
mistrust	disgust	0.422	le talitonuina
infantile	disgust	0.422	tamameamea
wasting	disgust	0.422	faamaimauina
hairy	disgust	0.422	fulufulua
nicotine	disgust	0.422	nicotine
denunciation	disgust	0.422	fa'asalaina
collapse	disgust	0.422	pa'u
untidy	disgust	0.422	le mama
ferocious	disgust	0.422	sauā
ammonia	disgust	0.422	amonia
carelessness	disgust	0.422	faatamala
impure	disgust	0.422	le mama
contentious	disgust	0.422	misa
bum	disgust	0.422	tama'ita'i
affront	disgust	0.422	faalumaina
offend	disgust	0.422	faatiga
tarnish	disgust	0.422	fa'aleaga
idiotic	disgust	0.422	faavalevalea
badness	disgust	0.422	leaga
delinquent	disgust	0.422	solitulafono
swarm	disgust	0.422	lolofi
hypertrophy	disgust	0.422	hypertrophy
gush	disgust	0.422	puna
tasteless	disgust	0.422	leai se tofo
bovine	disgust	0.422	povi
slush	disgust	0.422	slush
litigious	disgust	0.414	fa'aletulafono
dishonesty	disgust	0.414	le faamaoni
vegetative	disgust	0.414	laau toto
unfavorable	disgust	0.414	le lelei
displacency	disgust	0.414	fe'avea'i
illegitimate	disgust	0.414	fa'aletulafono
sour	disgust	0.414	oona
socialism	disgust	0.414	fa'aagafesootai
disobey	disgust	0.414	le usitai
drivel	disgust	0.414	ta'avale
vampire	disgust	0.414	vampire
neglected	disgust	0.414	tuulafoaiina
murky	disgust	0.414	faanenefu
ignorant	disgust	0.406	valea
disgruntled	disgust	0.406	le fiafia
discontinuity	disgust	0.406	fa'aletonu
dislike	disgust	0.406	le fiafia
unlawful	disgust	0.406	faasolitulafono
wrongdoing	disgust	0.406	fai mea sese
shoplifting	disgust	0.406	gaoi i faleoloa
recidivism	disgust	0.406	toe fa'afo'isia
outcast	disgust	0.406	fa'ate'aina
bogus	disgust	0.406	pepelo
displeasure	disgust	0.406	le fiafia
repel	disgust	0.406	tetee
falsify	disgust	0.406	fa'asese
ungrateful	disgust	0.406	le fa'afetai
unkind	disgust	0.406	agaleaga
phony	disgust	0.406	pepelo
prosecution	disgust	0.406	moliaga
woe	disgust	0.398	talofa
averse	disgust	0.398	fa'anoanoa
loon	disgust	0.398	loon
worsening	disgust	0.398	faateteleina
paucity	disgust	0.398	utiuti
unnatural	disgust	0.398	e le masani ai
amphetamines	disgust	0.398	amphetamines
senseless	disgust	0.398	valea
rigor	disgust	0.398	malosi
subvert	disgust	0.398	fa'aleaga
failure	disgust	0.398	toilalo
lick	disgust	0.398	etoeto
unruly	disgust	0.398	le taupulea
woefully	disgust	0.398	fa'anoanoa lava
stingy	disgust	0.398	pipi'i
crushing	disgust	0.398	nutimomoia
disdain	disgust	0.398	'ino'ino
insult	disgust	0.393	fa'alumaluma
averseness	disgust	0.391	fa'anoanoa
disrelish	disgust	0.391	le fiafia
punished	disgust	0.391	fa'asalaina
critter	disgust	0.391	manu
damage	disgust	0.391	fa'aleagaina
scorpion	disgust	0.391	akarava
diatribe	disgust	0.391	mata'utia
muff	disgust	0.391	muff
farcical	disgust	0.391	fa'alia
antisocial	disgust	0.391	fa'afeagai
hardened	disgust	0.391	faamaaaina
punishment	disgust	0.391	fa'asalaga
bad	disgust	0.391	leaga
expel	disgust	0.391	tulia
surly	disgust	0.383	fa'afefe
lament	disgust	0.383	tagi
illiterate	disgust	0.383	lē iloa faitautusi
divorce	disgust	0.383	tatala faaipoipoga
teeming	disgust	0.383	tumu
plagiarism	disgust	0.383	fa'akomepiuta
eviction	disgust	0.383	tuliesea
orc	disgust	0.383	orc
disappoint	disgust	0.383	fa'anoanoa
shabby	disgust	0.383	leaga
presumptuous	disgust	0.383	fa'amaualuga
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	feeseeseaiga
guilt	disgust	0.383	tausalaina
fugitive	disgust	0.383	sola
irrational	disgust	0.383	le mafaufau
adder	disgust	0.383	fa'aopoopo
fulsome	disgust	0.383	tumu
sacrifices	disgust	0.383	taulaga
hypocritical	disgust	0.383	pepelo
shock	disgust	0.375	te'i
alienation	disgust	0.375	faaesea
scoff	disgust	0.375	tauemu
plight	disgust	0.375	puapuaga
irritation	disgust	0.375	ita
unworthy	disgust	0.375	lē agavaa
misconduct	disgust	0.375	amio leaga
defective	disgust	0.375	faaletonu
blame	disgust	0.375	tu'ua'i
depressing	disgust	0.375	fa'anoanoa
dislocated	disgust	0.375	se'ese
irritating	disgust	0.375	faaita
vainly	disgust	0.367	fua
toad	disgust	0.367	tod
powerless	disgust	0.367	leai se malosi
coerce	disgust	0.367	fa'amalosi
shuddering	disgust	0.367	gatete
stripped	disgust	0.367	to'esea
revoke	disgust	0.367	soloia
wimpy	disgust	0.367	fa'aleaga
unhealthy	disgust	0.367	le soifua maloloina
exclusion	disgust	0.367	tuuesea
disillusionment	disgust	0.367	fa'anoanoa
blatant	disgust	0.367	mata'utia
hurtful	disgust	0.367	faatiga
hoax	disgust	0.367	pepelo
wimp	disgust	0.367	wimp
cad	disgust	0.367	cad
pitfall	disgust	0.367	mailei
squelch	disgust	0.367	tineia
deserted	disgust	0.359	tuufua
damn	disgust	0.359	malaia
incompatible	disgust	0.359	le fetaui
dispose	disgust	0.359	lafoa'i
oddity	disgust	0.359	uiga ese
rebellion	disgust	0.359	fouvale
ineptitude	disgust	0.359	valea
bug	disgust	0.359	bug
disobedience	disgust	0.359	le usita'i
inept	disgust	0.352	lē agavaa
litigate	disgust	0.352	fa'amasinoga
dismissal	disgust	0.352	faate'aina
cutting	disgust	0.352	tipi
untoward	disgust	0.352	fa'aletonu
displeased	disgust	0.352	le fiafia
censor	disgust	0.352	tagavai
