English Word	Emotion	Emotion-Intensity-Score	Galician Word
vacation	anticipation	0.695	vacacións
sex	anticipation	0.695	sexo
achievement	anticipation	0.695	logro
readiness	anticipation	0.695	preparación
expectation	anticipation	0.695	expectativa
prediction	anticipation	0.695	Predición
arrival	anticipation	0.695	chegada
allure	anticipation	0.688	encanto
ecstatic	anticipation	0.688	extático
approaching	anticipation	0.688	inminente
honeymoon	anticipation	0.680	lúa de mel
roulette	anticipation	0.680	ruleta
uprising	anticipation	0.680	levantamento
holiday	anticipation	0.672	vacacións
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	celebrando
wishful	anticipation	0.672	desexoso
waiting	anticipation	0.664	agardando
invitation	anticipation	0.664	invitación
rescue	anticipation	0.664	rescate
impending	anticipation	0.664	inminente
winning	anticipation	0.664	gañando
craving	anticipation	0.664	ansia
winnings	anticipation	0.664	gañas
triumph	anticipation	0.664	triunfo
orgasm	anticipation	0.664	orgasmo
marriage	anticipation	0.656	matrimonio
bridal	anticipation	0.656	nupcial
victory	anticipation	0.656	vitoria
courtship	anticipation	0.656	cortexo
gain	anticipation	0.656	gañar
aspiring	anticipation	0.656	aspirante
strive	anticipation	0.656	esforzarse
reward	anticipation	0.656	recompensa
celebration	anticipation	0.656	celebración
jackpot	anticipation	0.656	bote
bridegroom	anticipation	0.656	noivo
fortune	anticipation	0.656	fortuna
tomorrow	anticipation	0.648	mañá
rising	anticipation	0.648	levantándose
inheritance	anticipation	0.648	herdanza
alertness	anticipation	0.648	alerta
crowning	anticipation	0.648	coroación
aspiration	anticipation	0.648	aspiración
delivery	anticipation	0.648	entrega
opportunity	anticipation	0.648	oportunidade
intrigue	anticipation	0.648	intriga
prescient	anticipation	0.648	previsor
treasure	anticipation	0.648	tesouro
erotic	anticipation	0.641	erótico
revolution	anticipation	0.641	revolución
launch	anticipation	0.641	lanzamento
reckoning	anticipation	0.641	contas
prognosis	anticipation	0.641	prognóstico
happiness	anticipation	0.641	felicidade
celebrated	anticipation	0.641	celebrado
receiving	anticipation	0.641	recibindo
possibility	anticipation	0.641	posibilidade
expedition	anticipation	0.641	expedición
bride	anticipation	0.641	noiva
engaged	anticipation	0.641	comprometido
anxious	anticipation	0.641	ansioso
hype	anticipation	0.641	bombo
spectacular	anticipation	0.641	espectacular
award	anticipation	0.641	premio
prepare	anticipation	0.633	preparar
coming	anticipation	0.633	chegando
graduation	anticipation	0.633	graduación
destiny	anticipation	0.633	destino
miracle	anticipation	0.633	milagre
beware	anticipation	0.633	coidado
succeed	anticipation	0.633	ter éxito
passionate	anticipation	0.633	apaixonado
birthday	anticipation	0.633	aniversario
passion	anticipation	0.633	paixón
ominous	anticipation	0.633	sinistro
captivate	anticipation	0.633	cativar
vision	anticipation	0.633	visión
delight	anticipation	0.633	deleite
curious	anticipation	0.633	curioso
firstborn	anticipation	0.633	primoxénito
await	anticipation	0.633	agardar
triumphant	anticipation	0.625	triunfante
escape	anticipation	0.625	escapar
optimism	anticipation	0.625	optimismo
retirement	anticipation	0.625	xubilación
foresee	anticipation	0.625	prever
inspiration	anticipation	0.625	inspiración
ripen	anticipation	0.625	madurar
gift	anticipation	0.625	agasallo
revival	anticipation	0.625	renacemento
lust	anticipation	0.625	luxuria
risky	anticipation	0.617	arriscado
foreboding	anticipation	0.617	presaxio
bloom	anticipation	0.617	florecer
verge	anticipation	0.617	beira
embrace	anticipation	0.617	abrazar
destined	anticipation	0.617	destinado
surprisingly	anticipation	0.617	sorprendentemente
ambition	anticipation	0.617	ambición
simmering	anticipation	0.617	a lume lento
enchanting	anticipation	0.617	encantador
foresight	anticipation	0.617	previsión
lookout	anticipation	0.609	miradoiro
anxiety	anticipation	0.609	ansiedade
forecast	anticipation	0.609	previsión
seductive	anticipation	0.609	sedutor
bonus	anticipation	0.609	bonificación
succeeding	anticipation	0.609	triunfando
matrimony	anticipation	0.609	matrimonio
magical	anticipation	0.609	máxico
alerts	anticipation	0.609	alertas
winner	anticipation	0.602	gañador
applicant	anticipation	0.602	solicitante
fulfillment	anticipation	0.602	cumprimento
deserve	anticipation	0.602	merecen
inspire	anticipation	0.602	inspirar
foreseen	anticipation	0.602	previsto
intended	anticipation	0.602	destinado
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	picnic
longing	anticipation	0.602	saudade
revenge	anticipation	0.602	vinganza
success	anticipation	0.602	éxito
diagnosis	anticipation	0.602	diagnóstico
visionary	anticipation	0.602	visionario
prophetic	anticipation	0.602	profético
entertaining	anticipation	0.602	entretido
nervous	anticipation	0.602	nervioso
illuminate	anticipation	0.594	iluminar
accelerate	anticipation	0.594	acelerar
advent	anticipation	0.594	advento
romance	anticipation	0.594	romance
result	anticipation	0.594	resultado
arrive	anticipation	0.594	chegar
momentum	anticipation	0.594	impulso
buzz	anticipation	0.594	zumbido
rekindle	anticipation	0.594	reavivar
preparedness	anticipation	0.594	preparación
acquiring	anticipation	0.594	adquirindo
luck	anticipation	0.594	sorte
marry	anticipation	0.594	casar
predict	anticipation	0.589	prever
money	anticipation	0.586	diñeiro
auspices	anticipation	0.586	auspicios
uplift	anticipation	0.586	elevación
fiesta	anticipation	0.586	festa
enjoying	anticipation	0.586	gozando
preparation	anticipation	0.586	preparación
raffle	anticipation	0.586	sorteo
investigation	anticipation	0.586	investigación
progression	anticipation	0.586	progresión
overdue	anticipation	0.586	atrasado
crave	anticipation	0.586	ansia
impatient	anticipation	0.586	impaciente
enthusiast	anticipation	0.586	entusiasta
flirt	anticipation	0.586	ligar
seek	anticipation	0.586	buscar
sequel	anticipation	0.586	secuela
presumption	anticipation	0.586	presunción
delightful	anticipation	0.586	delicioso
gambling	anticipation	0.586	xogos de azar
immerse	anticipation	0.586	mergullarse
endeavor	anticipation	0.586	esforzo
experiment	anticipation	0.580	experimento
enjoy	anticipation	0.578	gozar
completing	anticipation	0.578	completando
clamor	anticipation	0.578	clamor
angling	anticipation	0.578	pesca con caña
majestic	anticipation	0.578	maxestoso
divination	anticipation	0.578	adiviñación
transcendence	anticipation	0.578	transcendencia
thriving	anticipation	0.578	próspera
excavation	anticipation	0.578	escavación
thirst	anticipation	0.578	sede
remedy	anticipation	0.578	remedio
harvest	anticipation	0.578	colleita
risk	anticipation	0.578	risco
healing	anticipation	0.578	curación
heavenly	anticipation	0.578	celestial
inviting	anticipation	0.578	invitando
precarious	anticipation	0.578	precario
attainable	anticipation	0.578	alcanzable
blessing	anticipation	0.578	bendición
prosper	anticipation	0.578	prosperar
tease	anticipation	0.570	burlarse
plan	anticipation	0.570	plan
sweetheart	anticipation	0.570	cariño
zest	anticipation	0.570	raspadura
magnificence	anticipation	0.570	magnificencia
ultimate	anticipation	0.570	último
emancipation	anticipation	0.570	emancipación
restlessness	anticipation	0.570	inquietude
finally	anticipation	0.570	finalmente
intimate	anticipation	0.570	íntimo
omen	anticipation	0.570	presaxio
matchmaker	anticipation	0.570	casamentero
gambler	anticipation	0.570	xogador
prospectively	anticipation	0.570	prospectivamente
dare	anticipation	0.570	atreverse
warned	anticipation	0.570	avisou
invite	anticipation	0.570	invitar
mysterious	anticipation	0.562	misterioso
accolade	anticipation	0.562	eloxio
lover	anticipation	0.562	amante
expose	anticipation	0.562	expoñer
enchant	anticipation	0.562	encantar
attempt	anticipation	0.562	intento
festival	anticipation	0.562	festival
exalt	anticipation	0.562	exaltar
rejoice	anticipation	0.562	alegrarse
independence	anticipation	0.562	independencia
expected	anticipation	0.562	esperado
fanfare	anticipation	0.562	fanfarria
immortality	anticipation	0.562	inmortalidade
quicken	anticipation	0.562	acelerar
parade	anticipation	0.562	desfile
fun	anticipation	0.562	divertido
predilection	anticipation	0.562	predilección
champion	anticipation	0.562	campión
forewarned	anticipation	0.562	avisado
hypothesis	anticipation	0.562	hipótese
trophy	anticipation	0.562	trofeo
shopping	anticipation	0.555	compras
salvation	anticipation	0.555	salvación
feeling	anticipation	0.555	sentimento
speculative	anticipation	0.555	especulativo
oracle	anticipation	0.555	oráculo
heroism	anticipation	0.555	heroísmo
boisterous	anticipation	0.555	bulliciosa
grasping	anticipation	0.555	agarrando
uneasiness	anticipation	0.555	desacougo
curiosity	anticipation	0.555	curiosidade
happy	anticipation	0.555	feliz
rejoicing	anticipation	0.555	alegrándose
fate	anticipation	0.555	destino
liberty	anticipation	0.555	liberdade
unfold	anticipation	0.555	despregar
amour	anticipation	0.555	amor
lovely	anticipation	0.555	encantador
splendor	anticipation	0.555	esplendor
grow	anticipation	0.555	medrar
glimmer	anticipation	0.547	brillo
incite	anticipation	0.547	incitar
abundance	anticipation	0.547	abundancia
resultant	anticipation	0.547	resultante
probability	anticipation	0.547	probabilidade
recreational	anticipation	0.547	recreativo
glory	anticipation	0.547	gloria
agape	anticipation	0.547	ágape
delighted	anticipation	0.547	encantado
changeable	anticipation	0.547	cambiable
convergence	anticipation	0.547	converxencia
bountiful	anticipation	0.547	abundante
warn	anticipation	0.547	avisar
monetary	anticipation	0.547	monetaria
sorcery	anticipation	0.547	feiticería
morrow	anticipation	0.547	mañá
apprehensive	anticipation	0.547	aprensivo
hungry	anticipation	0.547	con fame
vote	anticipation	0.547	votar
suspicious	anticipation	0.547	sospeitoso
pray	anticipation	0.547	rezar
leisure	anticipation	0.547	lecer
hunting	anticipation	0.539	cazar
sensual	anticipation	0.539	sensual
tempest	anticipation	0.539	tempestade
auction	anticipation	0.539	poxa
ballot	anticipation	0.539	papeleta
grandchildren	anticipation	0.539	netos
hankering	anticipation	0.539	ansia
entertainment	anticipation	0.539	entretemento
merge	anticipation	0.539	fusionar
exceed	anticipation	0.539	exceder
vindication	anticipation	0.539	reivindicación
blessings	anticipation	0.539	bendicións
inquiry	anticipation	0.539	indagación
bounty	anticipation	0.539	recompensa
worrying	anticipation	0.539	preocupante
contingent	anticipation	0.539	continxente
glad	anticipation	0.536	contento
harbinger	anticipation	0.531	presaxio
magnificent	anticipation	0.531	magnífico
virginity	anticipation	0.531	virxindade
stealthy	anticipation	0.531	furtivo
appeal	anticipation	0.531	recurso
forming	anticipation	0.531	formando
celestial	anticipation	0.531	celestial
raving	anticipation	0.531	delirando
deliverance	anticipation	0.531	liberación
feat	anticipation	0.531	feat
cheer	anticipation	0.531	ánimo
responsive	anticipation	0.531	sensible
hurried	anticipation	0.531	apresurouse
betrothed	anticipation	0.531	prometido
overthrow	anticipation	0.531	derrubar
spirits	anticipation	0.531	espíritos
dread	anticipation	0.531	medo
visitor	anticipation	0.531	visitante
wait	anticipation	0.523	agardar
revive	anticipation	0.523	revivir
watch	anticipation	0.523	ver
hunter	anticipation	0.523	cazador
radiance	anticipation	0.523	resplandor
planning	anticipation	0.523	planificación
germination	anticipation	0.523	xerminación
competition	anticipation	0.523	competencia
preparatory	anticipation	0.523	preparatoria
prognostic	anticipation	0.523	prognóstico
beaming	anticipation	0.523	radiante
cheery	anticipation	0.523	alegre
prevail	anticipation	0.523	prevalecer
importance	anticipation	0.523	importancia
notification	anticipation	0.523	notificación
explosive	anticipation	0.523	explosivo
pleasant	anticipation	0.523	agradable
ultimately	anticipation	0.523	en definitiva
child	anticipation	0.523	neno
haste	anticipation	0.523	présa
prophet	anticipation	0.523	profeta
recreation	anticipation	0.516	recreación
present	anticipation	0.516	presente
time	anticipation	0.516	tempo
sensuality	anticipation	0.516	sensualidade
owing	anticipation	0.516	debido
loom	anticipation	0.516	tear
begun	anticipation	0.516	comezado
salary	anticipation	0.516	salario
celebrity	anticipation	0.516	celebridade
treat	anticipation	0.516	tratar
chocolate	anticipation	0.516	chocolate
caution	anticipation	0.516	precaución
fermentation	anticipation	0.516	fermentación
uncontrollable	anticipation	0.516	incontrolable
precious	anticipation	0.516	precioso
compensate	anticipation	0.516	compensar
endanger	anticipation	0.516	poñer en perigo
renovation	anticipation	0.516	renovación
signify	anticipation	0.508	significar
vigilance	anticipation	0.508	vixilancia
prerequisite	anticipation	0.508	requisito previo
perfection	anticipation	0.508	perfección
cultivate	anticipation	0.508	cultivar
develop	anticipation	0.508	desenvolver
cue	anticipation	0.508	taco
exigent	anticipation	0.508	esixente
transitional	anticipation	0.508	transitoria
commemoration	anticipation	0.508	conmemoración
intermission	anticipation	0.508	intermedio
elevation	anticipation	0.508	elevación
infant	anticipation	0.508	infantil
practise	anticipation	0.508	práctica
contemplation	anticipation	0.508	contemplación
dreadful	anticipation	0.508	terrible
wilderness	anticipation	0.508	deserto
horizon	anticipation	0.508	horizonte
sneaking	anticipation	0.500	furtivamente
uphill	anticipation	0.500	costa arriba
puppy	anticipation	0.500	cachorro
blindfold	anticipation	0.500	venda dos ollos
unbridled	anticipation	0.500	desenfreado
horoscope	anticipation	0.500	horóscopo
airport	anticipation	0.500	aeroporto
reconciliation	anticipation	0.500	reconciliación
advocacy	anticipation	0.500	avogacía
litigate	anticipation	0.500	litigar
sunny	anticipation	0.500	soleado
intuitively	anticipation	0.500	intuitivamente
hero	anticipation	0.500	heroe
ardent	anticipation	0.500	ardente
commemorate	anticipation	0.500	conmemorar
romantic	anticipation	0.500	romántico
doomsday	anticipation	0.500	día do final
ready	anticipation	0.500	listo
nascent	anticipation	0.500	nacente
invocation	anticipation	0.500	invocación
depart	anticipation	0.500	partir
undisclosed	anticipation	0.500	non revelado
attendance	anticipation	0.500	asistencia
peril	anticipation	0.500	perigo
income	anticipation	0.500	ingresos
calculation	anticipation	0.500	cálculo
zeal	anticipation	0.500	celo
eventuality	anticipation	0.500	eventualidade
favorable	anticipation	0.500	favorable
utopian	anticipation	0.500	utópico
swim	anticipation	0.500	nadar
proceeding	anticipation	0.492	procedendo
eventual	anticipation	0.492	eventual
heyday	anticipation	0.492	apoxeo
undertaking	anticipation	0.492	empresa
improvise	anticipation	0.492	improvisar
inauguration	anticipation	0.492	inauguración
consequent	anticipation	0.492	consecuente
perspective	anticipation	0.492	perspectiva
defense	anticipation	0.492	defensa
repay	anticipation	0.492	devolver
gaping	anticipation	0.492	boquiabierto
youth	anticipation	0.492	xuventude
parole	anticipation	0.492	liberdade condicional
worry	anticipation	0.492	preocuparse
bless	anticipation	0.492	bendicir
restorative	anticipation	0.492	restaurador
court	anticipation	0.492	tribunal
highest	anticipation	0.491	máis alto
shortly	anticipation	0.484	en breve
auspicious	anticipation	0.484	auspicioso
princely	anticipation	0.484	principesco
correspondence	anticipation	0.484	correspondencia
generosity	anticipation	0.484	xenerosidade
sparkle	anticipation	0.484	brillo
voluptuous	anticipation	0.484	voluptuoso
happen	anticipation	0.484	ocorrer
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	letra
vow	anticipation	0.484	voto
sharpen	anticipation	0.484	afinar
duel	anticipation	0.484	duelo
conjure	anticipation	0.484	conxurar
threaten	anticipation	0.484	ameazar
god	anticipation	0.484	deus
engulf	anticipation	0.484	engulir
unexplained	anticipation	0.484	inexplicable
contagion	anticipation	0.484	contaxio
glorify	anticipation	0.477	glorificar
submit	anticipation	0.477	enviar
enroll	anticipation	0.477	inscribirse
unification	anticipation	0.477	unificación
gravitate	anticipation	0.477	gravitar
glide	anticipation	0.477	deslizar
accompaniment	anticipation	0.477	acompañamento
cherish	anticipation	0.477	apreciar
adore	anticipation	0.477	adorar
powerful	anticipation	0.477	poderoso
clue	anticipation	0.477	pista
medal	anticipation	0.477	medalla
contemplate	anticipation	0.477	contemplar
perilous	anticipation	0.477	perigoso
determinate	anticipation	0.477	determinado
arbitration	anticipation	0.477	arbitraxe
recipient	anticipation	0.477	recipiente
onset	anticipation	0.477	inicio
predispose	anticipation	0.477	predispoñer
score	anticipation	0.477	puntuación
torture	anticipation	0.477	tortura
glow	anticipation	0.477	brillo
praiseworthy	anticipation	0.473	loable
football	anticipation	0.469	fútbol
scare	anticipation	0.469	susto
elite	anticipation	0.469	elite
unknown	anticipation	0.469	descoñecido
precursor	anticipation	0.469	precursor
pry	anticipation	0.469	palanca
providing	anticipation	0.469	proporcionando
sweets	anticipation	0.469	doces
cautious	anticipation	0.469	cauteloso
opera	anticipation	0.469	ópera
motion	anticipation	0.469	movemento
cash	anticipation	0.469	diñeiro en efectivo
creeping	anticipation	0.469	arrastrando
invoke	anticipation	0.469	invocar
star	anticipation	0.469	estrela
shaky	anticipation	0.469	tremente
production	anticipation	0.469	produción
successful	anticipation	0.469	exitoso
immediately	anticipation	0.469	inmediatamente
dawn	anticipation	0.469	amencer
starry	anticipation	0.469	estrelado
unsurpassed	anticipation	0.469	insuperable
completion	anticipation	0.469	finalización
hire	anticipation	0.469	contratar
fete	anticipation	0.469	festa
commemorative	anticipation	0.461	conmemorativo
shining	anticipation	0.461	brillando
testament	anticipation	0.461	testamento
pay	anticipation	0.461	pagar
alive	anticipation	0.461	vivo
plight	anticipation	0.461	situación
preliminary	anticipation	0.461	preliminar
overture	anticipation	0.461	obertura
sanctuary	anticipation	0.461	santuario
regatta	anticipation	0.461	regata
draft	anticipation	0.461	borrador
synchronize	anticipation	0.461	sincronizar
soundness	anticipation	0.461	solidez
extricate	anticipation	0.461	desenterrar
excel	anticipation	0.461	excel
punt	anticipation	0.461	punteo
untold	anticipation	0.461	sen contar
brilliant	anticipation	0.461	brillante
cheerfulness	anticipation	0.461	alegría
jeopardy	anticipation	0.461	perigo
friendly	anticipation	0.461	amigable
mail	anticipation	0.461	correo
unexpected	anticipation	0.453	inesperado
basketball	anticipation	0.453	baloncesto
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	supremacía
rehabilitation	anticipation	0.453	rehabilitación
intimately	anticipation	0.453	intimamente
career	anticipation	0.453	carreira
prevention	anticipation	0.453	prevención
renovate	anticipation	0.453	renovar
compliment	anticipation	0.453	eloxio
prologue	anticipation	0.453	prólogo
elegance	anticipation	0.453	elegancia
complement	anticipation	0.453	complemento
flinch	anticipation	0.453	estremecer
infinity	anticipation	0.453	infinito
perpetuity	anticipation	0.453	perpetuidade
sunset	anticipation	0.453	posta de sol
improve	anticipation	0.453	mellorar
fitting	anticipation	0.445	axuste
confidence	anticipation	0.445	confianza
concealment	anticipation	0.445	ocultación
sweet	anticipation	0.445	doce
perfect	anticipation	0.445	perfecto
epidemic	anticipation	0.445	epidemia
fain	anticipation	0.445	faino
volunteer	anticipation	0.445	voluntario
share	anticipation	0.445	compartir
surround	anticipation	0.445	rodear
conjecture	anticipation	0.445	conxectura
sun	anticipation	0.445	sol
veracity	anticipation	0.445	veracidade
serial	anticipation	0.438	serie
angel	anticipation	0.438	anxo
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	santo
tickle	anticipation	0.438	cóxegas
superstitious	anticipation	0.438	supersticioso
ferment	anticipation	0.438	fermentar
conservation	anticipation	0.438	conservación
devout	anticipation	0.438	devoto
respect	anticipation	0.438	respecto
reconstruction	anticipation	0.438	reconstrución
goodness	anticipation	0.438	bondade
reconstruct	anticipation	0.438	reconstruír
faith	anticipation	0.438	fe
recombination	anticipation	0.438	recombinación
prepared	anticipation	0.438	preparado
rabid	anticipation	0.438	rabioso
plea	anticipation	0.438	súplica
medical	anticipation	0.438	médico
passenger	anticipation	0.438	pasaxeiro
charitable	anticipation	0.430	caritativo
tabulate	anticipation	0.430	tabular
peace	anticipation	0.430	paz
install	anticipation	0.430	instalar
serenity	anticipation	0.430	serenidade
venerable	anticipation	0.430	venerable
spa	anticipation	0.430	balneario
labyrinth	anticipation	0.430	labirinto
luscious	anticipation	0.430	delicioso
perpetuate	anticipation	0.430	perpetuar
strategist	anticipation	0.430	estratega
unverified	anticipation	0.430	sen verificar
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	aplaudir
peaceful	anticipation	0.422	pacífico
patience	anticipation	0.422	paciencia
unresolved	anticipation	0.422	sen resolver
worship	anticipation	0.422	adoración
edification	anticipation	0.422	edificación
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	sorriso
revere	anticipation	0.422	reverenciar
candid	anticipation	0.422	sincero
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	conspirador
adrift	anticipation	0.422	á deriva
recognizable	anticipation	0.422	recoñecible
volatility	anticipation	0.422	volatilidade
forestall	anticipation	0.422	previr
laughter	anticipation	0.422	risas
continue	anticipation	0.414	continuar
ongoing	anticipation	0.414	en curso
astrologer	anticipation	0.414	astrólogo
mediate	anticipation	0.414	mediar
punctual	anticipation	0.414	puntual
grant	anticipation	0.414	conceder
morn	anticipation	0.414	mañá
pretty	anticipation	0.414	fermosa
withstand	anticipation	0.414	soportar
frisky	anticipation	0.414	xurro
thought	anticipation	0.414	pensou
probation	anticipation	0.414	liberdade condicional
ordination	anticipation	0.414	ordenación
calls	anticipation	0.414	chamadas
detainee	anticipation	0.414	detido
craps	anticipation	0.414	merdos
weigh	anticipation	0.414	pesar
proficiency	anticipation	0.414	competencia
sing	anticipation	0.411	cantar
continuation	anticipation	0.406	continuación
university	anticipation	0.406	universidade
chicane	anticipation	0.406	chicana
nurture	anticipation	0.406	nutrir
mother	anticipation	0.406	nai
punished	anticipation	0.406	castigado
twinkle	anticipation	0.406	intermitencia
confession	anticipation	0.406	confesión
outdo	anticipation	0.406	superar
prophylactic	anticipation	0.406	profiláctico
proud	anticipation	0.406	orgulloso
midwife	anticipation	0.406	matrona
wizard	anticipation	0.406	asistente
headlight	anticipation	0.406	faro
long	anticipation	0.406	longo
banquet	anticipation	0.406	banquete
comfort	anticipation	0.406	confort
navigable	anticipation	0.406	navegable
subscribe	anticipation	0.406	subscribirse
opponent	anticipation	0.406	opoñente
debenture	anticipation	0.406	obrigación
deal	anticipation	0.402	trato
symphony	anticipation	0.398	sinfonía
saintly	anticipation	0.398	santo
judiciary	anticipation	0.398	poder xudicial
lettered	anticipation	0.398	letras
vigil	anticipation	0.398	vixilia
reliance	anticipation	0.398	dependencia
distracting	anticipation	0.398	distraer
mortification	anticipation	0.398	mortificación
balm	anticipation	0.398	bálsamo
simmer	anticipation	0.398	ferver a lume lento
top	anticipation	0.398	arriba
obliging	anticipation	0.398	obrigado
efficient	anticipation	0.398	eficiente
guillotine	anticipation	0.398	guillotina
representing	anticipation	0.398	representando
death	anticipation	0.398	morte
assurance	anticipation	0.391	garantía
familiarity	anticipation	0.391	familiaridade
depraved	anticipation	0.391	depravado
condemnation	anticipation	0.391	condena
undoubted	anticipation	0.391	indubidable
sanctify	anticipation	0.391	santificar
diplomacy	anticipation	0.391	diplomacia
antidote	anticipation	0.391	antídoto
trust	anticipation	0.391	confiar
linger	anticipation	0.391	demorar
objective	anticipation	0.391	obxectivo
chuckle	anticipation	0.391	risa
poke	anticipation	0.391	picar
abeyance	anticipation	0.391	suspenso
maternal	anticipation	0.391	materno
art	anticipation	0.391	art
unfulfilled	anticipation	0.391	incumprido
inoculation	anticipation	0.384	inoculación
simplify	anticipation	0.383	simplificar
depend	anticipation	0.383	depender
chant	anticipation	0.383	cantar
ram	anticipation	0.383	RAM
banger	anticipation	0.383	banger
playground	anticipation	0.383	parque infantil
labor	anticipation	0.383	laboral
scientist	anticipation	0.383	científica
good	anticipation	0.383	bo
humanitarian	anticipation	0.383	humanitaria
failing	anticipation	0.383	fallando
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	obedientes
hymn	anticipation	0.383	himno
ship	anticipation	0.383	barco
discretion	anticipation	0.383	discreción
undecided	anticipation	0.383	indeciso
gradual	anticipation	0.375	gradual
navigator	anticipation	0.375	navegador
track	anticipation	0.375	pista
cradle	anticipation	0.375	berce
sterling	anticipation	0.375	esterlina
interim	anticipation	0.375	interino
clock	anticipation	0.375	reloxo
mountain	anticipation	0.375	montaña
interminable	anticipation	0.375	interminable
public	anticipation	0.375	público
recurrent	anticipation	0.375	recorrente
savor	anticipation	0.375	saborear
abide	anticipation	0.367	acatar
concealed	anticipation	0.367	encuberto
spear	anticipation	0.367	lanza
lesson	anticipation	0.367	lección
instructions	anticipation	0.367	instrucións
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	bienal
convince	anticipation	0.367	convencer
whim	anticipation	0.367	capricho
shiver	anticipation	0.367	tremer
towering	anticipation	0.367	imponente
musical	anticipation	0.367	musical
offset	anticipation	0.359	compensar
theory	anticipation	0.359	teoría
theology	anticipation	0.359	teoloxía
undying	anticipation	0.359	eterno
timidity	anticipation	0.359	timidez
plump	anticipation	0.359	rechoncho
atone	anticipation	0.359	expiar
audience	anticipation	0.357	público
dietary	anticipation	0.352	dietética
consecration	anticipation	0.352	consagración
localize	anticipation	0.352	localizar
paragon	anticipation	0.352	modelo
store	anticipation	0.352	tenda
farm	anticipation	0.352	granxa
daily	anticipation	0.352	diariamente
cramp	anticipation	0.352	calambre
nobility	anticipation	0.352	nobreza
closure	anticipation	0.352	peche
edition	anticipation	0.352	edición
kindred	anticipation	0.352	parentesco
stripped	anticipation	0.344	desposuído
errand	anticipation	0.344	recado
archaeology	anticipation	0.344	arqueoloxía
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	sen fíos
meditate	anticipation	0.344	meditar
mobile	anticipation	0.344	móbil
germ	anticipation	0.336	xerme
brotherly	anticipation	0.336	fraternal
lessen	anticipation	0.336	diminuír
unbeaten	anticipation	0.336	invicto
pare	anticipation	0.336	pare
buddy	anticipation	0.336	compañeiro
unaccountable	anticipation	0.336	inexplicable
dove	anticipation	0.328	pomba
patient	anticipation	0.328	paciente
secular	anticipation	0.328	secular
digress	anticipation	0.328	divagación
chastity	anticipation	0.328	castidade
council	anticipation	0.328	concello
olfactory	anticipation	0.328	olfativo
ribbon	anticipation	0.328	cinta
possess	anticipation	0.328	posuír
disposed	anticipation	0.320	disposto
scrutinize	anticipation	0.320	escrutar
immature	anticipation	0.320	inmaduros
mediator	anticipation	0.320	mediador
regularity	anticipation	0.320	regularidade
cove	anticipation	0.320	enseada
infanticide	anticipation	0.320	infanticidio
paddle	anticipation	0.320	remo
heft	anticipation	0.320	peso
fancy	anticipation	0.320	fantasía
preservative	anticipation	0.320	conservante
unpublished	anticipation	0.312	inédito
church	anticipation	0.312	igrexa
bugle	anticipation	0.312	corneta
grim	anticipation	0.312	sombrío
denying	anticipation	0.312	negando
analyst	anticipation	0.312	analista
judicial	anticipation	0.305	xudicial
priesthood	anticipation	0.305	sacerdocio
broadside	anticipation	0.305	costado
mill	anticipation	0.305	muíño
dismay	anticipation	0.297	consternación
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	termopar
tributary	anticipation	0.297	afluente
instructor	anticipation	0.297	instrutor
exhaustion	anticipation	0.297	esgotamento
saliva	anticipation	0.297	saliva
cataract	anticipation	0.289	catarata
network	anticipation	0.289	rede
visor	anticipation	0.289	viseira
shackle	anticipation	0.289	grillete
wont	anticipation	0.289	non
addresses	anticipation	0.289	enderezos
discreet	anticipation	0.289	discreto
noncompliance	anticipation	0.289	incumprimento
bruise	anticipation	0.289	hematoma
homeless	anticipation	0.289	sen fogar
astronomer	anticipation	0.281	astrónomo
skewed	anticipation	0.281	sesgado
neighbor	anticipation	0.281	veciño
holiness	anticipation	0.273	santidade
devil	anticipation	0.273	demo
picket	anticipation	0.273	piquete
sentence	anticipation	0.273	sentenza
latent	anticipation	0.273	latente
cream	anticipation	0.273	crema
immaturity	anticipation	0.273	inmadurez
habitual	anticipation	0.266	habitual
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	barrio
lull	anticipation	0.266	calma
bye	anticipation	0.258	adeus
weight	anticipation	0.258	peso
organ	anticipation	0.250	órgano
clown	anticipation	0.250	pallaso
forearm	anticipation	0.250	antebrazo
commonplace	anticipation	0.242	lugar común
quote	anticipation	0.242	cita
rail	anticipation	0.234	ferroviario
dictatorship	anticipation	0.234	ditadura
treadmill	anticipation	0.234	cinta de correr
board	anticipation	0.234	taboleiro
tree	anticipation	0.227	árbore
sundial	anticipation	0.227	reloxo de sol
paralysis	anticipation	0.211	parálise
cement	anticipation	0.203	cemento
worm	anticipation	0.203	verme
