English Word	Emotion	Emotion-Intensity-Score	Cebuano Word
seductive	anticipation	0.609	madanihon
bonus	anticipation	0.609	bonus
succeeding	anticipation	0.609	nagmalampuson
matrimony	anticipation	0.609	kaminyoon
magical	anticipation	0.609	mahika
alerts	anticipation	0.609	mga alerto
winner	anticipation	0.602	mananaog
applicant	anticipation	0.602	aplikante
fulfillment	anticipation	0.602	katumanan
deserve	anticipation	0.602	angay
inspire	anticipation	0.602	makapadasig
foreseen	anticipation	0.602	gipaabot
intended	anticipation	0.602	gituyo
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	piknik
longing	anticipation	0.602	pangandoy
revenge	anticipation	0.602	panimalos
success	anticipation	0.602	kalampusan
diagnosis	anticipation	0.602	diagnosis
visionary	anticipation	0.602	panan-awon
prophetic	anticipation	0.602	matagnaon
entertaining	anticipation	0.602	makalingaw
nervous	anticipation	0.602	gikulbaan
illuminate	anticipation	0.594	modan-ag
accelerate	anticipation	0.594	pagpadali
advent	anticipation	0.594	pag-abot
romance	anticipation	0.594	romansa
result	anticipation	0.594	resulta
arrive	anticipation	0.594	moabot
momentum	anticipation	0.594	momentum
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	sugdi pag-usab
preparedness	anticipation	0.594	pagpangandam
acquiring	anticipation	0.594	pagbaton
luck	anticipation	0.594	suwerte
marry	anticipation	0.594	pagminyo
predict	anticipation	0.589	panagna
money	anticipation	0.586	kwarta
auspices	anticipation	0.586	mga panabang
uplift	anticipation	0.586	pagbayaw
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	nalingaw
preparation	anticipation	0.586	pagpangandam
raffle	anticipation	0.586	raffle
investigation	anticipation	0.586	imbestigasyon
progression	anticipation	0.586	pag-uswag
overdue	anticipation	0.586	overdue na
crave	anticipation	0.586	nangandoy
impatient	anticipation	0.586	walay pailub
enthusiast	anticipation	0.586	mahiligon
flirt	anticipation	0.586	flirt
seek	anticipation	0.586	pangitaa
sequel	anticipation	0.586	sumpay
presumption	anticipation	0.586	pangagpas
delightful	anticipation	0.586	makapalipay
gambling	anticipation	0.586	sugal
immerse	anticipation	0.586	isawsaw
endeavor	anticipation	0.586	paningkamot
experiment	anticipation	0.580	eksperimento
enjoy	anticipation	0.578	malingaw
completing	anticipation	0.578	pagkompleto
clamor	anticipation	0.578	singgit
angling	anticipation	0.578	pagpangisda
majestic	anticipation	0.578	halangdon
divination	anticipation	0.578	pagpanag-an
transcendence	anticipation	0.578	transendence
thriving	anticipation	0.578	mauswagon
excavation	anticipation	0.578	pagpangubkob
thirst	anticipation	0.578	kauhaw
remedy	anticipation	0.578	tambal
harvest	anticipation	0.578	ani
risk	anticipation	0.578	risgo
healing	anticipation	0.578	pag-ayo
heavenly	anticipation	0.578	langitnon
inviting	anticipation	0.578	pagdapit
precarious	anticipation	0.578	delikado
attainable	anticipation	0.578	makab-ot
blessing	anticipation	0.578	panalangin
prosper	anticipation	0.578	mouswag
tease	anticipation	0.570	pagbiaybiay
plan	anticipation	0.570	plano
sweetheart	anticipation	0.570	hinigugma
zest	anticipation	0.570	kahinam
magnificence	anticipation	0.570	kahalangdon
ultimate	anticipation	0.570	katapusan
emancipation	anticipation	0.570	pagpalingkawas
restlessness	anticipation	0.570	kasamok
finally	anticipation	0.570	sa katapusan
intimate	anticipation	0.570	suod
omen	anticipation	0.570	tilimad-on
matchmaker	anticipation	0.570	tighimog posporo
gambler	anticipation	0.570	sugarol
prospectively	anticipation	0.570	sa umaabot
dare	anticipation	0.570	mangahas
warned	anticipation	0.570	gipasidan-an
invite	anticipation	0.570	imbitar
mysterious	anticipation	0.562	misteryoso
accolade	anticipation	0.562	pasidungog
lover	anticipation	0.562	mahigugmaon
expose	anticipation	0.562	ibutyag
enchant	anticipation	0.562	pagdani
attempt	anticipation	0.562	pagsulay
festival	anticipation	0.562	pista
exalt	anticipation	0.562	pagbayaw
rejoice	anticipation	0.562	magmaya
independence	anticipation	0.562	kagawasan
expected	anticipation	0.562	gipaabot
fanfare	anticipation	0.562	lingawlingaw
immortality	anticipation	0.562	pagka-imortal
quicken	anticipation	0.562	pagpadali
parade	anticipation	0.562	parada
fun	anticipation	0.562	lingaw
predilection	anticipation	0.562	predileksiyon
champion	anticipation	0.562	kampeon
forewarned	anticipation	0.562	gipasidan-an nang daan
hypothesis	anticipation	0.562	pangagpas
trophy	anticipation	0.562	tropeyo
shopping	anticipation	0.555	pagpamalit
salvation	anticipation	0.555	kaluwasan
feeling	anticipation	0.555	pagbati
speculative	anticipation	0.555	pangagpas
oracle	anticipation	0.555	orakulo
heroism	anticipation	0.555	pagkabayanihon
boisterous	anticipation	0.555	sabaan
grasping	anticipation	0.555	paghawid
uneasiness	anticipation	0.555	pagkabalaka
curiosity	anticipation	0.555	pagkamausisaon
happy	anticipation	0.555	malipayon
rejoicing	anticipation	0.555	pagmaya
fate	anticipation	0.555	kapalaran
liberty	anticipation	0.555	kagawasan
unfold	anticipation	0.555	ibuklad
amour	anticipation	0.555	gugma
lovely	anticipation	0.555	nindot
splendor	anticipation	0.555	kahalangdon
grow	anticipation	0.555	motubo
glimmer	anticipation	0.547	glimmer
incite	anticipation	0.547	pagdasig
abundance	anticipation	0.547	kadagaya
resultant	anticipation	0.547	resulta
probability	anticipation	0.547	kalagmitan
recreational	anticipation	0.547	kalingawan
glory	anticipation	0.547	himaya
agape	anticipation	0.547	agape
delighted	anticipation	0.547	nalipay
changeable	anticipation	0.547	mabag-o
convergence	anticipation	0.547	panagtapok
bountiful	anticipation	0.547	madagayaon
warn	anticipation	0.547	pahimangno
monetary	anticipation	0.547	kwarta
sorcery	anticipation	0.547	pamarang
morrow	anticipation	0.547	ugma
apprehensive	anticipation	0.547	nahadlok
hungry	anticipation	0.547	gigutom
vote	anticipation	0.547	boto
suspicious	anticipation	0.547	makaduda
pray	anticipation	0.547	ampo
leisure	anticipation	0.547	kalingawan
hunting	anticipation	0.539	pagpangayam
sensual	anticipation	0.539	mahilayon
tempest	anticipation	0.539	unos
auction	anticipation	0.539	subasta
ballot	anticipation	0.539	balota
grandchildren	anticipation	0.539	mga apo
hankering	anticipation	0.539	naghandom
entertainment	anticipation	0.539	kalingawan
merge	anticipation	0.539	paghiusa
exceed	anticipation	0.539	molapas
vindication	anticipation	0.539	pagpanghimatuod
blessings	anticipation	0.539	mga panalangin
inquiry	anticipation	0.539	pangutana
bounty	anticipation	0.539	gasa
worrying	anticipation	0.539	nabalaka
contingent	anticipation	0.539	contingent
glad	anticipation	0.536	malipayon
harbinger	anticipation	0.531	tigpahibalo
magnificent	anticipation	0.531	halangdon
virginity	anticipation	0.531	pagkaulay
stealthy	anticipation	0.531	tago
appeal	anticipation	0.531	apela
forming	anticipation	0.531	pagporma
celestial	anticipation	0.531	celestial
raving	anticipation	0.531	nagyawyaw
deliverance	anticipation	0.531	pagluwas
feat	anticipation	0.531	feat
cheer	anticipation	0.531	lipaya
responsive	anticipation	0.531	mosanong
hurried	anticipation	0.531	nagdali
betrothed	anticipation	0.531	kaslonon
overthrow	anticipation	0.531	pagpukan
spirits	anticipation	0.531	mga espiritu
dread	anticipation	0.531	kahadlok
visitor	anticipation	0.531	bisita
wait	anticipation	0.523	paghulat
revive	anticipation	0.523	buhion
watch	anticipation	0.523	tan-awa
hunter	anticipation	0.523	mangangayam
radiance	anticipation	0.523	kahayag
planning	anticipation	0.523	pagplano
germination	anticipation	0.523	pagturok
competition	anticipation	0.523	kompetisyon
preparatory	anticipation	0.523	pangandam
prognostic	anticipation	0.523	prognostic
beaming	anticipation	0.523	nagsanag
cheery	anticipation	0.523	malipayon
prevail	anticipation	0.523	mopatigbabaw
importance	anticipation	0.523	kamahinungdanon
notification	anticipation	0.523	pahibalo
explosive	anticipation	0.523	eksplosibo
pleasant	anticipation	0.523	makapahimuot
ultimately	anticipation	0.523	sa katapusan
child	anticipation	0.523	bata
haste	anticipation	0.523	pagdali
prophet	anticipation	0.523	propeta
recreation	anticipation	0.516	kalingawan
present	anticipation	0.516	presente
time	anticipation	0.516	panahon
sensuality	anticipation	0.516	kahilayan
owing	anticipation	0.516	utang
loom	anticipation	0.516	hablanan
begun	anticipation	0.516	nagsugod
salary	anticipation	0.516	sweldo
celebrity	anticipation	0.516	celebrity
treat	anticipation	0.516	pagtratar
chocolate	anticipation	0.516	tsokolate
caution	anticipation	0.516	pagbantay
fermentation	anticipation	0.516	fermentation
uncontrollable	anticipation	0.516	dili mapugngan
precious	anticipation	0.516	bililhon
compensate	anticipation	0.516	bayad
endanger	anticipation	0.516	peligro
renovation	anticipation	0.516	renovation
signify	anticipation	0.508	nagpasabot
vigilance	anticipation	0.508	pagbantay
prerequisite	anticipation	0.508	gikinahanglan
perfection	anticipation	0.508	kahingpitan
cultivate	anticipation	0.508	pag-ugmad
develop	anticipation	0.508	pagpalambo
cue	anticipation	0.508	pahibalo
exigent	anticipation	0.508	gikinahanglan
transitional	anticipation	0.508	transisyonal
commemoration	anticipation	0.508	paghandom
intermission	anticipation	0.508	intermisyon
elevation	anticipation	0.508	kahitas-an
infant	anticipation	0.508	masuso
practise	anticipation	0.508	praktis
contemplation	anticipation	0.508	pagpamalandong
dreadful	anticipation	0.508	makalilisang
wilderness	anticipation	0.508	kamingawan
horizon	anticipation	0.508	kapunawpunawan
sneaking	anticipation	0.500	nagtikaw-tikaw
uphill	anticipation	0.500	pataas
puppy	anticipation	0.500	itoy
blindfold	anticipation	0.500	taptap sa mata
unbridled	anticipation	0.500	walay pugong
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	airport
reconciliation	anticipation	0.500	pakig-uli
advocacy	anticipation	0.500	adbokasiya
litigate	anticipation	0.500	pagkiha
sunny	anticipation	0.500	sunny
intuitively	anticipation	0.500	intuitive nga paagi
hero	anticipation	0.500	bayani
ardent	anticipation	0.500	madasigon
commemorate	anticipation	0.500	paghandom
romantic	anticipation	0.500	romantiko
doomsday	anticipation	0.500	adlaw sa kalaglagan
ready	anticipation	0.500	andam
nascent	anticipation	0.500	natawo
invocation	anticipation	0.500	pag-ampo
depart	anticipation	0.500	mobiya
undisclosed	anticipation	0.500	wala gibutyag
attendance	anticipation	0.500	pagtambong
peril	anticipation	0.500	peligro
income	anticipation	0.500	kita
calculation	anticipation	0.500	kalkulasyon
zeal	anticipation	0.500	kasibot
eventuality	anticipation	0.500	panghitabo
favorable	anticipation	0.500	paborable
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	paglangoy
proceeding	anticipation	0.492	nagpadayon
eventual	anticipation	0.492	sa katapusan
heyday	anticipation	0.492	maayong adlaw
undertaking	anticipation	0.492	kalihokan
improvise	anticipation	0.492	improvise
inauguration	anticipation	0.492	inagurasyon
consequent	anticipation	0.492	sangpotanan
perspective	anticipation	0.492	panglantaw
defense	anticipation	0.492	depensa
repay	anticipation	0.492	mubayad
gaping	anticipation	0.492	nagnganga
youth	anticipation	0.492	kabatan-onan
parole	anticipation	0.492	parol
worry	anticipation	0.492	kabalaka
bless	anticipation	0.492	panalangini
restorative	anticipation	0.492	pagpasig-uli
court	anticipation	0.492	korte
highest	anticipation	0.491	pinakataas
shortly	anticipation	0.484	sa dili madugay
auspicious	anticipation	0.484	mapalad
princely	anticipation	0.484	prinsipe
correspondence	anticipation	0.484	sulat
generosity	anticipation	0.484	pagkamanggihatagon
sparkle	anticipation	0.484	kidlat
voluptuous	anticipation	0.484	mabulukon
happen	anticipation	0.484	mahitabo
tremor	anticipation	0.484	pagkurog
letter	anticipation	0.484	sulat
vow	anticipation	0.484	panaad
sharpen	anticipation	0.484	pagpahait
duel	anticipation	0.484	duwa
conjure	anticipation	0.484	magpahimangno
threaten	anticipation	0.484	manghulga
god	anticipation	0.484	Dios
engulf	anticipation	0.484	lamyon
unexplained	anticipation	0.484	wala mapasabot
contagion	anticipation	0.484	contagion
glorify	anticipation	0.477	himayaon
submit	anticipation	0.477	isumiter
enroll	anticipation	0.477	magpalista
unification	anticipation	0.477	panaghiusa
gravitate	anticipation	0.477	gravitate
glide	anticipation	0.477	molupad
accompaniment	anticipation	0.477	duyog
cherish	anticipation	0.477	mahalon
adore	anticipation	0.477	simbahon
powerful	anticipation	0.477	gamhanan
clue	anticipation	0.477	timailhan
medal	anticipation	0.477	medalya
contemplate	anticipation	0.477	pamalandong
perilous	anticipation	0.477	delikado
determinate	anticipation	0.477	determinado
arbitration	anticipation	0.477	arbitrasyon
recipient	anticipation	0.477	tigdawat
onset	anticipation	0.477	pagsugod
predispose	anticipation	0.477	predispose
score	anticipation	0.477	iskor
torture	anticipation	0.477	pagsakit
glow	anticipation	0.477	kahayag
praiseworthy	anticipation	0.473	dalaygon
football	anticipation	0.469	football
scare	anticipation	0.469	kahadlok
elite	anticipation	0.469	elite
unknown	anticipation	0.469	wala mailhi
precursor	anticipation	0.469	pasiuna
pry	anticipation	0.469	pry
providing	anticipation	0.469	paghatag
sweets	anticipation	0.469	tam-is
cautious	anticipation	0.469	mabinantayon
opera	anticipation	0.469	opera
motion	anticipation	0.469	lihok
cash	anticipation	0.469	kwarta
creeping	anticipation	0.469	nagkamang
invoke	anticipation	0.469	pagsangpit
star	anticipation	0.469	bituon
shaky	anticipation	0.469	nagkurog
production	anticipation	0.469	produksyon
successful	anticipation	0.469	malampuson
immediately	anticipation	0.469	dayon
dawn	anticipation	0.469	kaadlawon
starry	anticipation	0.469	bituon
unsurpassed	anticipation	0.469	dili hitupngan
completion	anticipation	0.469	pagkompleto
hire	anticipation	0.469	suhol
fete	anticipation	0.469	piyesta
commemorative	anticipation	0.461	commemorative
shining	anticipation	0.461	nagsidlak
testament	anticipation	0.461	testamento
pay	anticipation	0.461	pagbayad
alive	anticipation	0.461	buhi
plight	anticipation	0.461	kahimtang
preliminary	anticipation	0.461	pasiuna
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	santwaryo
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	draft
synchronize	anticipation	0.461	i-synchronize
soundness	anticipation	0.461	pagkamaayo
extricate	anticipation	0.461	ipagawas
excel	anticipation	0.461	excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	dili masulti
brilliant	anticipation	0.461	hayag
cheerfulness	anticipation	0.461	kasadya
jeopardy	anticipation	0.461	peligro
friendly	anticipation	0.461	mahigalaon
mail	anticipation	0.461	mail
unexpected	anticipation	0.453	wala damha
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	pagkalabaw
rehabilitation	anticipation	0.453	rehabilitasyon
intimately	anticipation	0.453	suod
career	anticipation	0.453	karera
prevention	anticipation	0.453	pagpugong
renovate	anticipation	0.453	pag-ayo
compliment	anticipation	0.453	pagdayeg
prologue	anticipation	0.453	pasiuna
elegance	anticipation	0.453	kaanindot
complement	anticipation	0.453	komplemento
flinch	anticipation	0.453	magkurog
infinity	anticipation	0.453	walay katapusan
perpetuity	anticipation	0.453	kahangturan
sunset	anticipation	0.453	pagsalop sa adlaw
improve	anticipation	0.453	sa pagpalambo sa
fitting	anticipation	0.445	angay
confidence	anticipation	0.445	pagsalig
concealment	anticipation	0.445	pagtago
sweet	anticipation	0.445	tam-is
perfect	anticipation	0.445	perpekto
epidemic	anticipation	0.445	epidemya
fain	anticipation	0.445	lingaw
volunteer	anticipation	0.445	boluntaryo
share	anticipation	0.445	share
surround	anticipation	0.445	palibut
conjecture	anticipation	0.445	pangagpas
sun	anticipation	0.445	adlaw
veracity	anticipation	0.445	kamatuoran
serial	anticipation	0.438	Serial
angel	anticipation	0.438	anghel
aloha	anticipation	0.438	gugma
saint	anticipation	0.438	santos
tickle	anticipation	0.438	kiliti
superstitious	anticipation	0.438	patuotuo
ferment	anticipation	0.438	pag-ferment
conservation	anticipation	0.438	konserbasyon
devout	anticipation	0.438	debotado
respect	anticipation	0.438	pagtahud
reconstruction	anticipation	0.438	pagtukod pag-usab
goodness	anticipation	0.438	kaayo
reconstruct	anticipation	0.438	pagtukod pag-usab
faith	anticipation	0.438	pagtoo
recombination	anticipation	0.438	rekombinasyon
prepared	anticipation	0.438	giandam
rabid	anticipation	0.438	masupilon
plea	anticipation	0.438	hangyo
medical	anticipation	0.438	medikal
passenger	anticipation	0.438	pasahero
charitable	anticipation	0.430	manggihatagon
tabulate	anticipation	0.430	tabulate
peace	anticipation	0.430	kalinaw
install	anticipation	0.430	instalar
serenity	anticipation	0.430	kalinaw
venerable	anticipation	0.430	talahuron
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirint
luscious	anticipation	0.430	lamian
perpetuate	anticipation	0.430	magpadayon
strategist	anticipation	0.430	strategist
unverified	anticipation	0.430	wala mapamatud-an
tribunal	anticipation	0.430	hukmanan
clap	anticipation	0.430	pakpak
peaceful	anticipation	0.422	malinawon
patience	anticipation	0.422	pasensya
unresolved	anticipation	0.422	wala masulbad
worship	anticipation	0.422	pagsimba
edification	anticipation	0.422	pagpalig-on
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	ngisi
revere	anticipation	0.422	pagtahud
candid	anticipation	0.422	prangka
vista	anticipation	0.422	talan-awon
conspirator	anticipation	0.422	nagkunsabo
adrift	anticipation	0.422	naanod
recognizable	anticipation	0.422	mailhan
volatility	anticipation	0.422	volatility
forestall	anticipation	0.422	paghunong
laughter	anticipation	0.422	katawa
continue	anticipation	0.414	magpadayon
ongoing	anticipation	0.414	nagpadayon
astrologer	anticipation	0.414	astrologo
mediate	anticipation	0.414	magpataliwala
punctual	anticipation	0.414	punctual
grant	anticipation	0.414	paghatag
morn	anticipation	0.414	buntag
pretty	anticipation	0.414	gwapa
withstand	anticipation	0.414	makaagwanta
frisky	anticipation	0.414	maliputon
thought	anticipation	0.414	naghunahuna
probation	anticipation	0.414	pagsulay
ordination	anticipation	0.414	ordinasyon
calls	anticipation	0.414	mga tawag
detainee	anticipation	0.414	piniriso
craps	anticipation	0.414	mga hugaw
weigh	anticipation	0.414	timbangon
proficiency	anticipation	0.414	kahanas
sing	anticipation	0.411	mokanta
continuation	anticipation	0.406	pagpadayon
university	anticipation	0.406	unibersidad
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	pag-amuma
mother	anticipation	0.406	inahan
punished	anticipation	0.406	gisilotan
twinkle	anticipation	0.406	kidlap
confession	anticipation	0.406	pagkumpisal
outdo	anticipation	0.406	labaw
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	mapahitas-on
midwife	anticipation	0.406	mananabang
wizard	anticipation	0.406	wizard
headlight	anticipation	0.406	headlight
long	anticipation	0.406	dugay
banquet	anticipation	0.406	bangkete
comfort	anticipation	0.406	kaharuhay
navigable	anticipation	0.406	malawigan
subscribe	anticipation	0.406	subscribe
opponent	anticipation	0.406	kontra
debenture	anticipation	0.406	utang
deal	anticipation	0.402	deal
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	santos
judiciary	anticipation	0.398	hudikatura
lettered	anticipation	0.398	gisulat
vigil	anticipation	0.398	pagbantay
reliance	anticipation	0.398	pagsalig
distracting	anticipation	0.398	makabalda
mortification	anticipation	0.398	kasubo
balm	anticipation	0.398	balsamo
simmer	anticipation	0.398	simmer
top	anticipation	0.398	ibabaw
obliging	anticipation	0.398	obligado
efficient	anticipation	0.398	episyente
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	nagrepresentar
death	anticipation	0.398	kamatayon
assurance	anticipation	0.391	kasigurohan
familiarity	anticipation	0.391	pagkapamilyar
depraved	anticipation	0.391	daotan
condemnation	anticipation	0.391	pagkondenar
undoubted	anticipation	0.391	walay duhaduha
sanctify	anticipation	0.391	pagbalaan
diplomacy	anticipation	0.391	diplomasya
antidote	anticipation	0.391	tambal
trust	anticipation	0.391	pagsalig
linger	anticipation	0.391	magdugay
objective	anticipation	0.391	tumong
chuckle	anticipation	0.391	katawa
poke	anticipation	0.391	tusok
abeyance	anticipation	0.391	pagpaubos
maternal	anticipation	0.391	inahan
art	anticipation	0.391	arte
unfulfilled	anticipation	0.391	wala matuman
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	pasimplehon
depend	anticipation	0.383	depende
chant	anticipation	0.383	awit
ram	anticipation	0.383	laking karnero
banger	anticipation	0.383	banger
playground	anticipation	0.383	dulaanan
labor	anticipation	0.383	paghago
scientist	anticipation	0.383	siyentista
good	anticipation	0.383	maayo
humanitarian	anticipation	0.383	humanitarian
failing	anticipation	0.383	napakyas
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	matinabangon
hymn	anticipation	0.383	himno
ship	anticipation	0.383	barko
discretion	anticipation	0.383	pagkabuotan
undecided	anticipation	0.383	wala makahukom
gradual	anticipation	0.375	inanay
navigator	anticipation	0.375	nabigador
track	anticipation	0.375	track
cradle	anticipation	0.375	duyan
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	interim
clock	anticipation	0.375	orasan
mountain	anticipation	0.375	bukid
interminable	anticipation	0.375	walay katapusan
public	anticipation	0.375	publiko
recurrent	anticipation	0.375	nagbalikbalik
savor	anticipation	0.375	lami
abide	anticipation	0.367	magpabilin
concealed	anticipation	0.367	gitagoan
spear	anticipation	0.367	bangkaw
lesson	anticipation	0.367	leksyon
instructions	anticipation	0.367	mga instruksyon
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	kombinsihon
whim	anticipation	0.367	kapritso
shiver	anticipation	0.367	mangurog
towering	anticipation	0.367	habog
musical	anticipation	0.367	musikal
offset	anticipation	0.359	offset
theory	anticipation	0.359	teorya
theology	anticipation	0.359	teolohiya
undying	anticipation	0.359	walay kamatayon
timidity	anticipation	0.359	pagkamaulawon
plump	anticipation	0.359	matambok
atone	anticipation	0.359	pag-ula
audience	anticipation	0.357	mamiminaw
dietary	anticipation	0.352	pagkaon
consecration	anticipation	0.352	pagkonsagrar
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	tindahan
farm	anticipation	0.352	umahan
daily	anticipation	0.352	adlaw-adlaw
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	pagkahalangdon
closure	anticipation	0.352	pagsira
edition	anticipation	0.352	edisyon
kindred	anticipation	0.352	kabanay
stripped	anticipation	0.344	gihuboan
errand	anticipation	0.344	buluhaton
archaeology	anticipation	0.344	arkeolohiya
mutable	anticipation	0.344	mabalhinon
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	mamalandong
mobile	anticipation	0.344	mobile
germ	anticipation	0.336	kagaw
brotherly	anticipation	0.336	igsuon
lessen	anticipation	0.336	pagminus
unbeaten	anticipation	0.336	walay pildi
pare	anticipation	0.336	pare
buddy	anticipation	0.336	higala
unaccountable	anticipation	0.336	walay tulubagon
dove	anticipation	0.328	salampati
patient	anticipation	0.328	pasyente
secular	anticipation	0.328	sekular
digress	anticipation	0.328	pagtipas
chastity	anticipation	0.328	kaputli
council	anticipation	0.328	konseho
olfactory	anticipation	0.328	olpaktoryo
ribbon	anticipation	0.328	laso
possess	anticipation	0.328	pagpanag-iya
disposed	anticipation	0.320	gilabay
scrutinize	anticipation	0.320	susiha
immature	anticipation	0.320	immature
mediator	anticipation	0.320	tigpataliwala
regularity	anticipation	0.320	regularidad
cove	anticipation	0.320	luok
infanticide	anticipation	0.320	pagpatay sa bata
paddle	anticipation	0.320	bugsay
heft	anticipation	0.320	gibug-aton
fancy	anticipation	0.320	nindot
preservative	anticipation	0.320	preserbatibo
unpublished	anticipation	0.312	wala mamantala
church	anticipation	0.312	simbahan
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	ngil-ad
denying	anticipation	0.312	pagpanghimakak
analyst	anticipation	0.312	analista
judicial	anticipation	0.305	hudisyal
priesthood	anticipation	0.305	pagkapari
broadside	anticipation	0.305	lapad nga bahin
mill	anticipation	0.305	galingan
dismay	anticipation	0.297	kalibog
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributary
instructor	anticipation	0.297	instruktor
exhaustion	anticipation	0.297	kakapoy
saliva	anticipation	0.297	laway
cataract	anticipation	0.289	katarata
network	anticipation	0.289	network
visor	anticipation	0.289	visor
shackle	anticipation	0.289	gapos
wont	anticipation	0.289	dili
addresses	anticipation	0.289	mga adres
discreet	anticipation	0.289	maalamon
noncompliance	anticipation	0.289	dili pagsunod
bruise	anticipation	0.289	bun-og
homeless	anticipation	0.289	walay balay
astronomer	anticipation	0.281	astronomo
skewed	anticipation	0.281	nagtipas
neighbor	anticipation	0.281	silingan
holiness	anticipation	0.273	pagkabalaan
devil	anticipation	0.273	yawa
picket	anticipation	0.273	piket
sentence	anticipation	0.273	sentensiya
latent	anticipation	0.273	tinago
cream	anticipation	0.273	krema
immaturity	anticipation	0.273	pagka immature
habitual	anticipation	0.266	naandan
morals	anticipation	0.266	moralidad
neighborhood	anticipation	0.266	kasilinganan
lull	anticipation	0.266	lull
bye	anticipation	0.258	bye
weight	anticipation	0.258	gibug-aton
organ	anticipation	0.250	organo
clown	anticipation	0.250	clown
forearm	anticipation	0.250	bukton
commonplace	anticipation	0.242	komon nga dapit
quote	anticipation	0.242	kinutlo
rail	anticipation	0.234	riles
dictatorship	anticipation	0.234	diktadurya
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	tabla
tree	anticipation	0.227	kahoy
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	paralisis
cement	anticipation	0.203	semento
worm	anticipation	0.203	ulod
organization	anticipation	0.203	organisasyon
lagging	anticipation	0.180	pagkalayo
neutral	anticipation	0.148	neyutral
cannibalism	disgust	0.953	kanibalismo
mutilation	disgust	0.930	pagputol
molestation	disgust	0.914	pagmolestiya
incest	disgust	0.914	incest
rape	disgust	0.906	pagpanglugos
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	madunot
corpse	disgust	0.883	bangkay
massacre	disgust	0.883	masaker
excrement	disgust	0.883	hugaw
barf	disgust	0.875	barf
slaughter	disgust	0.875	pagpamatay
slaughterhouse	disgust	0.867	ihawan
incestuous	disgust	0.859	incest
sewerage	disgust	0.859	imburnal
filth	disgust	0.859	hugaw
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	infestation
plague	disgust	0.852	hampak
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	uhaw sa dugo
rotting	disgust	0.844	pagkadunot
fecal	disgust	0.844	fecal
maggot	disgust	0.844	ulod
feces	disgust	0.844	hugaw
murder	disgust	0.839	pagpatay
asshole	disgust	0.836	asshole
homicide	disgust	0.836	pagpatay
enslaved	disgust	0.836	naulipon
infanticide	disgust	0.836	pagpatay sa bata
perverted	disgust	0.828	hiwi
excretion	disgust	0.828	pagpagawas
gore	disgust	0.828	dungag
slaughtering	disgust	0.828	pag-ihaw
torture	disgust	0.828	pagsakit
contaminate	disgust	0.821	makahugaw
revolting	disgust	0.820	makasukol
gory	disgust	0.820	dugmok
shit	disgust	0.820	shit
terrorist	disgust	0.820	terorista
murderer	disgust	0.820	mamumuno
repugnant	disgust	0.820	salawayon
manure	disgust	0.820	abono
pervert	disgust	0.820	tuis
diarrhoea	disgust	0.820	kalibanga
grotesque	disgust	0.820	katingad-an
desecration	disgust	0.820	pagpasipala
faeces	disgust	0.812	mga hugaw
slavery	disgust	0.812	pagkaulipon
sewer	disgust	0.812	imburnal
cadaver	disgust	0.812	bangkay
manslaughter	disgust	0.812	pagpamatay
dismemberment	disgust	0.812	pagkaputol
vomit	disgust	0.812	pagsuka
perverse	disgust	0.805	hiwi
repulsive	disgust	0.805	salawayon
hemorrhage	disgust	0.805	pagdugo
sewage	disgust	0.797	hugaw
filthy	disgust	0.797	hugaw
diseased	disgust	0.797	masakiton
depravity	disgust	0.797	pagkadaotan
