English Word	Emotion	Emotion-Intensity-Score	Bulgarian Word
atone	anticipation	0.359	изкупвам се
audience	anticipation	0.357	публика
dietary	anticipation	0.352	диетичен
consecration	anticipation	0.352	освещаване
localize	anticipation	0.352	локализирам
paragon	anticipation	0.352	образец
store	anticipation	0.352	магазин
farm	anticipation	0.352	ферма
daily	anticipation	0.352	ежедневно
cramp	anticipation	0.352	крампи
nobility	anticipation	0.352	благородство
closure	anticipation	0.352	закриване
edition	anticipation	0.352	издание
kindred	anticipation	0.352	роднина
stripped	anticipation	0.344	съблечен
errand	anticipation	0.344	поръчка
archaeology	anticipation	0.344	археология
mutable	anticipation	0.344	променлив
wireless	anticipation	0.344	безжичен
meditate	anticipation	0.344	медитирам
mobile	anticipation	0.344	Подвижен
germ	anticipation	0.336	зародиш
brotherly	anticipation	0.336	братски
lessen	anticipation	0.336	намалявам
unbeaten	anticipation	0.336	непобеден
pare	anticipation	0.336	подравнявам
buddy	anticipation	0.336	приятелю
unaccountable	anticipation	0.336	безотчетен
dove	anticipation	0.328	гълъб
patient	anticipation	0.328	търпелив
secular	anticipation	0.328	светски
digress	anticipation	0.328	отклонявам се
chastity	anticipation	0.328	целомъдрие
council	anticipation	0.328	съвет
olfactory	anticipation	0.328	обонятелни
ribbon	anticipation	0.328	панделка
possess	anticipation	0.328	притежавам
disposed	anticipation	0.320	изхвърлени
scrutinize	anticipation	0.320	разглеждам внимателно
immature	anticipation	0.320	незрял
mediator	anticipation	0.320	посредник
regularity	anticipation	0.320	редовност
cove	anticipation	0.320	заливче
infanticide	anticipation	0.320	детеубийство
paddle	anticipation	0.320	гребло
heft	anticipation	0.320	тежест
fancy	anticipation	0.320	фантазия
preservative	anticipation	0.320	консервант
unpublished	anticipation	0.312	непубликуван
church	anticipation	0.312	църква
bugle	anticipation	0.312	стеклярус
grim	anticipation	0.312	мрачен
denying	anticipation	0.312	отричане
analyst	anticipation	0.312	анализатор
judicial	anticipation	0.305	съдебно
priesthood	anticipation	0.305	свещеничество
broadside	anticipation	0.305	широк борд
mill	anticipation	0.305	мелница
dismay	anticipation	0.297	ужас
cap	anticipation	0.297	шапка с козирка
thermocouple	anticipation	0.297	термодвойка
tributary	anticipation	0.297	приток
instructor	anticipation	0.297	инструктор
exhaustion	anticipation	0.297	изтощение
saliva	anticipation	0.297	слюнка
cataract	anticipation	0.289	катаракта
network	anticipation	0.289	мрежа
visor	anticipation	0.289	козирка
shackle	anticipation	0.289	окови
wont	anticipation	0.289	обичам
addresses	anticipation	0.289	адреси
discreet	anticipation	0.289	дискретен
noncompliance	anticipation	0.289	несъответствие
bruise	anticipation	0.289	натъртване
homeless	anticipation	0.289	бездомен
astronomer	anticipation	0.281	астроном
skewed	anticipation	0.281	изкривена
neighbor	anticipation	0.281	съсед
holiness	anticipation	0.273	святост
devil	anticipation	0.273	дявол
picket	anticipation	0.273	пикет
sentence	anticipation	0.273	изречение
latent	anticipation	0.273	латентен
cream	anticipation	0.273	сметана
immaturity	anticipation	0.273	незрялост
habitual	anticipation	0.266	обичаен
morals	anticipation	0.266	морал
neighborhood	anticipation	0.266	квартал
lull	anticipation	0.266	затишие
bye	anticipation	0.258	чао
weight	anticipation	0.258	тегло
organ	anticipation	0.250	орган
clown	anticipation	0.250	клоун
forearm	anticipation	0.250	предмишницата
commonplace	anticipation	0.242	често срещано явление
quote	anticipation	0.242	цитат
rail	anticipation	0.234	релса
dictatorship	anticipation	0.234	диктатура
treadmill	anticipation	0.234	бягаща пътека
board	anticipation	0.234	дъска
tree	anticipation	0.227	дърво
sundial	anticipation	0.227	слънчев часовник
paralysis	anticipation	0.211	парализа
cement	anticipation	0.203	цимент
worm	anticipation	0.203	червей
organization	anticipation	0.203	организация
lagging	anticipation	0.180	изоставащ
neutral	anticipation	0.148	неутрален
cannibalism	disgust	0.953	канибализъм
mutilation	disgust	0.930	осакатяване
molestation	disgust	0.914	тормоз
incest	disgust	0.914	кръвосмешение
rape	disgust	0.906	изнасилване
gonorrhea	disgust	0.906	гонорея
cannibal	disgust	0.898	човекоядец
rot	disgust	0.891	гниене
corpse	disgust	0.883	труп
massacre	disgust	0.883	клане
excrement	disgust	0.883	екскременти
barf	disgust	0.875	барф
slaughter	disgust	0.875	клане
slaughterhouse	disgust	0.867	кланица
incestuous	disgust	0.859	кръвосмесителен
sewerage	disgust	0.859	канализация
filth	disgust	0.859	мръсотия
bigot	disgust	0.859	фанатик
rancid	disgust	0.859	гранясал
infestation	disgust	0.852	заразяване
plague	disgust	0.852	чума
holocaust	disgust	0.852	холокост
bloodthirsty	disgust	0.852	кръвожаден
rotting	disgust	0.844	Гниещ
fecal	disgust	0.844	фекален
maggot	disgust	0.844	личинка
feces	disgust	0.844	изпражнения
murder	disgust	0.839	убийство
asshole	disgust	0.836	задник
homicide	disgust	0.836	убийство
enslaved	disgust	0.836	поробени
infanticide	disgust	0.836	детеубийство
perverted	disgust	0.828	перверзен
excretion	disgust	0.828	екскреция
gore	disgust	0.828	кръв
slaughtering	disgust	0.828	клане
torture	disgust	0.828	мъчение
contaminate	disgust	0.821	замърсявам
revolting	disgust	0.820	отвратително
gory	disgust	0.820	кървав
shit	disgust	0.820	мамка му
terrorist	disgust	0.820	терорист
murderer	disgust	0.820	убиец
repugnant	disgust	0.820	отвратителен
manure	disgust	0.820	тор
pervert	disgust	0.820	перверзник
diarrhoea	disgust	0.820	диария
grotesque	disgust	0.820	гротеска
desecration	disgust	0.820	оскверняване
faeces	disgust	0.812	фекалии
slavery	disgust	0.812	робство
sewer	disgust	0.812	канализация
cadaver	disgust	0.812	труп
manslaughter	disgust	0.812	непредумишлено убийство
dismemberment	disgust	0.812	разчленяване
vomit	disgust	0.812	повръщане
perverse	disgust	0.805	перверзен
repulsive	disgust	0.805	отблъскващ
hemorrhage	disgust	0.805	кръвоизлив
sewage	disgust	0.797	канализация
filthy	disgust	0.797	мръсен
diseased	disgust	0.797	болен
depravity	disgust	0.797	поквара
carcass	disgust	0.795	мърша
decompose	disgust	0.789	разграждат се
gruesome	disgust	0.789	ужасно
mutilated	disgust	0.789	осакатен
puke	disgust	0.789	повръщам
herpes	disgust	0.789	херпес
decayed	disgust	0.789	разложен
dung	disgust	0.789	тор
vermin	disgust	0.789	паразити
murderous	disgust	0.789	убийствен
parasite	disgust	0.789	паразит
horrific	disgust	0.789	ужасяващо
carnage	disgust	0.781	касапница
malaria	disgust	0.781	малария
slime	disgust	0.781	слуз
flatulence	disgust	0.781	метеоризъм
pestilence	disgust	0.781	мор
crap	disgust	0.781	глупости
monstrosity	disgust	0.781	чудовищност
loathsome	disgust	0.773	отвратителен
toxic	disgust	0.773	токсичен
morgue	disgust	0.773	морга
pus	disgust	0.773	гной
herpesvirus	disgust	0.773	херпесен вирус
leprosy	disgust	0.773	проказа
insidious	disgust	0.773	коварен
cruel	disgust	0.766	жесток
regurgitation	disgust	0.766	регургитация
anthrax	disgust	0.766	антракс
xenophobia	disgust	0.766	ксенофобия
repugnance	disgust	0.766	отвращение
lynch	disgust	0.766	линч
revulsion	disgust	0.766	отвращение
whore	disgust	0.766	курва
dissection	disgust	0.759	дисекция
mucous	disgust	0.758	лигавица
canker	disgust	0.758	язва
slum	disgust	0.758	беден квартал
infectious	disgust	0.758	инфекциозен
evil	disgust	0.758	зло
phlegm	disgust	0.758	храчки
cruelty	disgust	0.758	жестокост
perversion	disgust	0.758	перверзия
sinister	disgust	0.750	зловещ
leeches	disgust	0.750	пиявици
corrupting	disgust	0.750	развращаващ
decomposition	disgust	0.750	разграждане
abomination	disgust	0.742	мерзост
stinking	disgust	0.742	воняща
bile	disgust	0.742	жлъчката
demonic	disgust	0.742	демоничен
deranged	disgust	0.742	обезумял
abhorrence	disgust	0.742	отвращение
soiled	disgust	0.742	замърсени
mucus	disgust	0.742	слуз
septic	disgust	0.742	септичен
sickening	disgust	0.742	отвратително
demon	disgust	0.742	демон
cancer	disgust	0.734	рак
obese	disgust	0.734	затлъстели
degeneracy	disgust	0.734	израждане
despicable	disgust	0.734	презрян
atrocity	disgust	0.734	зверство
foul	disgust	0.734	фал
sicken	disgust	0.734	разболявам се
crucifixion	disgust	0.734	разпъване на кръст
terrorism	disgust	0.734	тероризъм
repulsion	disgust	0.727	отблъскване
morbidity	disgust	0.727	заболеваемост
dysentery	disgust	0.727	дизентерия
enema	disgust	0.727	клизма
bacterium	disgust	0.727	бактерия
dirty	disgust	0.727	мръсен
adultery	disgust	0.727	прелюбодеяние
contamination	disgust	0.727	замърсяване
grisly	disgust	0.727	ужасно
diabolical	disgust	0.727	дяволски
autopsy	disgust	0.719	аутопсия
barbaric	disgust	0.719	варварски
vulgar	disgust	0.719	вулгарен
entrails	disgust	0.719	вътрешности
disgust	disgust	0.719	отвращение
lewd	disgust	0.719	похотлив
muck	disgust	0.719	мръсотия
bowels	disgust	0.719	червата
garbage	disgust	0.719	боклуци
deterioration	disgust	0.719	влошаване
contagion	disgust	0.719	зараза
vicious	disgust	0.719	порочен
disfigured	disgust	0.719	обезобразен
pungent	disgust	0.719	остър
gross	disgust	0.719	бруто
bloodshed	disgust	0.714	кръвопролитие
gag	disgust	0.711	гага
pollute	disgust	0.711	замърсявам
nausea	disgust	0.711	гадене
tyrant	disgust	0.711	тиранин
wretched	disgust	0.711	окаян
mortification	disgust	0.711	умъртвяване
violent	disgust	0.711	насилствен
poisoned	disgust	0.711	отровен
nauseate	disgust	0.703	гадене
slimy	disgust	0.703	лигав
grope	disgust	0.703	опипвам
slut	disgust	0.703	уличница
nasty	disgust	0.703	гаден
disgusting	disgust	0.703	отвратително
depraved	disgust	0.703	развратен
porn	disgust	0.703	порно
hateful	disgust	0.703	омразен
vulgarity	disgust	0.703	вулгарност
noxious	disgust	0.703	вреден
grime	disgust	0.703	мръсотия
constipation	disgust	0.703	запек
secretion	disgust	0.703	секреция
poisoning	disgust	0.703	отравяне
despotism	disgust	0.703	деспотизъм
measles	disgust	0.696	дребна шарка
contagious	disgust	0.695	заразен
obesity	disgust	0.695	затлъстяване
wart	disgust	0.695	брадавица
hate	disgust	0.695	омраза
hellish	disgust	0.695	адски
scum	disgust	0.695	измет
suicidal	disgust	0.695	суициден
wretch	disgust	0.695	нещастник
abuse	disgust	0.695	злоупотреба
waste	disgust	0.695	отпадъци
intestinal	disgust	0.695	чревни
heartworm	disgust	0.688	дирофилария
ooze	disgust	0.688	тиня
treason	disgust	0.688	предателство
contaminated	disgust	0.688	замърсени
smut	disgust	0.688	мръсотия
disease	disgust	0.688	заболяване
rabid	disgust	0.688	бесен
deformed	disgust	0.680	деформиран
hell	disgust	0.680	по дяволите
soulless	disgust	0.680	бездушен
cholera	disgust	0.680	холера
bestial	disgust	0.680	зверски
antichrist	disgust	0.680	антихрист
freakish	disgust	0.680	странно
germ	disgust	0.680	зародиш
detest	disgust	0.680	ненавиждам
pollution	disgust	0.680	замърсяване
grimy	disgust	0.680	мръсен
abhorrent	disgust	0.680	отвратителен
hatred	disgust	0.680	ненавист
abominate	disgust	0.680	отвратителен
sickness	disgust	0.680	болест
hideous	disgust	0.672	отвратителен
dictatorship	disgust	0.672	диктатура
loathful	disgust	0.672	отвратителен
greasy	disgust	0.672	мазна
dilapidated	disgust	0.672	полуразрушен
inhuman	disgust	0.672	нечовешки
loathing	disgust	0.672	омраза
obscene	disgust	0.672	неприлично
cess	disgust	0.670	цех
devil	disgust	0.664	дявол
deformity	disgust	0.664	деформация
nauseous	disgust	0.664	гадене
deadly	disgust	0.664	смъртоносен
swine	disgust	0.664	свине
discrimination	disgust	0.664	дискриминация
abominable	disgust	0.664	отвратителен
masochism	disgust	0.664	мазохизъм
heretic	disgust	0.664	еретик
latrines	disgust	0.656	тоалетни
corruption	disgust	0.656	корупция
poisonous	disgust	0.656	отровни
horror	disgust	0.656	ужас
nefarious	disgust	0.656	подъл
bacteria	disgust	0.656	бактерии
horrible	disgust	0.656	ужасен
trash	disgust	0.656	боклук
abortion	disgust	0.656	аборт
death	disgust	0.656	смърт
prejudiced	disgust	0.656	предубедени
poison	disgust	0.656	отрова
oppression	disgust	0.656	потисничество
goo	disgust	0.656	слуз
victimized	disgust	0.656	жертва
mange	disgust	0.656	краста
sludge	disgust	0.648	утайка
trashy	disgust	0.648	боклук
vindictive	disgust	0.648	отмъстителен
horrid	disgust	0.648	ужасен
ugly	disgust	0.648	грозен
immoral	disgust	0.648	неморален
bitch	disgust	0.648	кучка
outhouse	disgust	0.648	пристройка
detestation	disgust	0.648	отвращение
horrifying	disgust	0.641	ужасяващо
laxative	disgust	0.641	слабително
unsightly	disgust	0.641	грозен
derogatory	disgust	0.641	унизително
slop	disgust	0.641	помия
malfeasance	disgust	0.641	длъжностно престъпление
spew	disgust	0.641	бълвам
pimple	disgust	0.641	пъпка
criminality	disgust	0.641	престъпност
indecency	disgust	0.641	неприличие
cystic	disgust	0.641	кистозна
villainous	disgust	0.641	злодей
queasy	disgust	0.633	гадене
mildew	disgust	0.633	мана
oppressive	disgust	0.633	потискащ
prostitution	disgust	0.633	проституция
secrete	disgust	0.633	секретирам
ulcer	disgust	0.633	язва
rat	disgust	0.633	плъх
bigoted	disgust	0.633	фанатичен
perpetrator	disgust	0.633	извършител
doomsday	disgust	0.633	страшния съд
sinful	disgust	0.633	грешен
degrading	disgust	0.625	унизително
ghastly	disgust	0.625	ужасно
suffering	disgust	0.625	страдание
obscenity	disgust	0.625	непристойност
devilish	disgust	0.625	дяволски
disgraceful	disgust	0.625	позорно
persecution	disgust	0.625	преследване
contemptible	disgust	0.625	презрителен
cuckold	disgust	0.625	рогоносец
stools	disgust	0.625	изпражнения
dastardly	disgust	0.625	подло
sin	disgust	0.625	грях
gluttony	disgust	0.625	лакомия
bloated	disgust	0.625	подути
fungus	disgust	0.625	гъбички
aghast	disgust	0.625	ужасен
diaper	disgust	0.617	пелена
malicious	disgust	0.617	злонамерен
polygamy	disgust	0.617	полигамия
dying	disgust	0.617	умиращ
termite	disgust	0.617	термит
fat	disgust	0.617	дебел
deceit	disgust	0.617	измама
atrocious	disgust	0.617	зверски
guillotine	disgust	0.617	гилотина
tetanus	disgust	0.617	тетанус
spoil	disgust	0.617	развалят се
crusty	disgust	0.617	хрупкава
sickly	disgust	0.617	болнав
louse	disgust	0.617	въшка
strangle	disgust	0.617	удушавам
betrayal	disgust	0.617	предателство
loathe	disgust	0.617	ненавиждам
wench	disgust	0.617	момиченце
infect	disgust	0.617	заразяват
violently	disgust	0.609	насилствено
brothel	disgust	0.609	публичен дом
drool	disgust	0.609	лигавене
bleeding	disgust	0.609	кървене
deform	disgust	0.609	деформирам
ghetto	disgust	0.609	гето
sabotage	disgust	0.609	саботаж
venomous	disgust	0.609	отровен
abhor	disgust	0.609	отвращавам се
slander	disgust	0.609	клевета
hostile	disgust	0.609	враждебен
musty	disgust	0.602	мухлясал
illicit	disgust	0.602	незаконно
ugliness	disgust	0.602	грозота
unwashed	disgust	0.602	немити
swampy	disgust	0.602	блатиста
deprivation	disgust	0.602	лишения
poaching	disgust	0.602	бракониерство
hag	disgust	0.602	вещица
infidel	disgust	0.602	неверник
imprisonment	disgust	0.602	лишаване от свобода
traitor	disgust	0.602	предател
lunacy	disgust	0.602	лудост
queasiness	disgust	0.594	гадене
hostility	disgust	0.594	враждебност
repelling	disgust	0.594	отблъскващ
intoxicated	disgust	0.594	в нетрезво състояние
thug	disgust	0.594	гангстер
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	лунатик
misery	disgust	0.594	мизерия
venom	disgust	0.594	отрова
butcher	disgust	0.594	касапин
toilet	disgust	0.594	тоалетна
blister	disgust	0.594	блистер
lurid	disgust	0.594	зловещ
slug	disgust	0.594	плужек
gut	disgust	0.594	червата
sinner	disgust	0.594	грешник
deceitful	disgust	0.594	измамен
epidemic	disgust	0.594	епидемия
deteriorated	disgust	0.586	влошени
lavatory	disgust	0.586	тоалетна
unclean	disgust	0.586	нечисти
prostitute	disgust	0.586	проститутка
incubus	disgust	0.586	инкуб
appalling	disgust	0.586	ужасяващо
dreadful	disgust	0.586	ужасно
pornography	disgust	0.586	порнография
harass	disgust	0.586	тормозя
squeamish	disgust	0.578	гнуслив
expulsion	disgust	0.578	експулсиране
unfaithful	disgust	0.578	неверен
offensive	disgust	0.578	обидно
hypocrite	disgust	0.578	лицемер
humiliating	disgust	0.578	унизително
larceny	disgust	0.578	кражба
ruinous	disgust	0.578	съсипващ
retard	disgust	0.578	изостанал
rash	disgust	0.578	обрив
flea	disgust	0.578	бълха
debauchery	disgust	0.578	разврат
fiend	disgust	0.578	злодей
quagmire	disgust	0.578	блато
conspirator	disgust	0.578	конспиратор
sick	disgust	0.578	болен
mangle	disgust	0.578	изкривявам
dogsick	disgust	0.570	кучешка болест
egregious	disgust	0.570	впечатляващо
flog	disgust	0.570	бич
despise	disgust	0.570	презирам
treacherous	disgust	0.570	предателски
oppress	disgust	0.570	потискам
swamp	disgust	0.570	блато
messy	disgust	0.570	разхвърлян
spit	disgust	0.570	плюе
dank	disgust	0.570	влажно
bastard	disgust	0.570	копеле
devastating	disgust	0.570	опустошителен
serpent	disgust	0.570	змия
loo	disgust	0.562	тоалетна
indecent	disgust	0.562	неприлично
insanity	disgust	0.562	лудост
stealing	disgust	0.562	кражба
terrible	disgust	0.562	ужасно
tyrannical	disgust	0.562	тираничен
humiliation	disgust	0.562	унижение
snake	disgust	0.562	змия
sloppy	disgust	0.562	помия
sinning	disgust	0.562	съгрешаване
harmful	disgust	0.562	вреден
harlot	disgust	0.562	блудница
sordid	disgust	0.562	мръсен
enemy	disgust	0.562	враг
alcoholism	disgust	0.562	алкохолизъм
awful	disgust	0.562	ужасно
ruthless	disgust	0.562	безмилостен
scoundrel	disgust	0.562	негодник
bloody	disgust	0.555	кървав
flabby	disgust	0.555	отпуснат
odious	disgust	0.555	омразен
beastly	disgust	0.555	зверски
collusion	disgust	0.555	тайно споразумение
ridicule	disgust	0.555	подигравка
discriminating	disgust	0.555	дискриминиращ
unattractive	disgust	0.555	непривлекателен
insufferable	disgust	0.555	непоносимо
segregate	disgust	0.555	отделят се
arsenic	disgust	0.555	арсен
threatening	disgust	0.555	заплашителен
atrophy	disgust	0.555	атрофия
varicella	disgust	0.555	варицела
slayer	disgust	0.555	убиец
distaste	disgust	0.555	отвращение
coward	disgust	0.555	страхливец
robbery	disgust	0.555	обир
wickedness	disgust	0.555	нечестие
anathema	disgust	0.547	анатема
malevolent	disgust	0.547	злонамерен
sty	disgust	0.547	кочина
pillage	disgust	0.547	ограбване
thief	disgust	0.547	крадец
suffocating	disgust	0.547	задушаващ
condemnation	disgust	0.547	осъждане
deleterious	disgust	0.547	вредно
slur	disgust	0.547	обида
purgatory	disgust	0.547	чистилище
attacking	disgust	0.547	атакуващ
burglar	disgust	0.547	крадец с взлом
ogre	disgust	0.547	чудовище
coercion	disgust	0.547	принуда
vesicular	disgust	0.547	мехурчеста
miserable	disgust	0.547	жалък
bitterly	disgust	0.547	горчиво
sneer	disgust	0.539	подигравка
greedy	disgust	0.539	алчен
gob	disgust	0.539	глътка
repellant	disgust	0.539	репелент
jealous	disgust	0.539	ревнив
drunken	disgust	0.539	пиян
shame	disgust	0.539	срам
thrash	disgust	0.539	траш
fatty	disgust	0.539	мазни
liar	disgust	0.539	лъжец
imprisoned	disgust	0.539	затворен
sloth	disgust	0.539	ленивец
repudiation	disgust	0.539	отричане
disgrace	disgust	0.539	позор
infidelity	disgust	0.539	изневяра
pig	disgust	0.539	прасе
lethal	disgust	0.536	смъртоносен
burnt	disgust	0.531	изгорени
brawl	disgust	0.531	кавга
withered	disgust	0.531	изсъхнал
blemish	disgust	0.531	петно
hydrocephalus	disgust	0.531	хидроцефалия
aberration	disgust	0.531	аберация
smuggler	disgust	0.531	контрабандист
painful	disgust	0.531	болезнено
condescension	disgust	0.531	снизхождение
intolerant	disgust	0.531	нетолерантен
blasphemous	disgust	0.531	богохулство
lying	disgust	0.531	лъжа
hanging	disgust	0.531	обесване
travesty	disgust	0.531	пародия
ruined	disgust	0.531	съсипан
intrusive	disgust	0.531	натрапчив
disintegrate	disgust	0.531	разпадат се
destructive	disgust	0.531	разрушителен
neurotic	disgust	0.531	невротичен
disparaging	disgust	0.523	пренебрежително
blighted	disgust	0.523	повреден
intolerance	disgust	0.523	непоносимост
mistress	disgust	0.523	любовница
avarice	disgust	0.523	алчност
disgraced	disgust	0.523	опозорен
derogation	disgust	0.523	дерогация
rubbish	disgust	0.523	боклуци
accusation	disgust	0.523	обвинение
incarceration	disgust	0.523	лишаване от свобода
tortious	disgust	0.516	непозволено увреждане
dishonor	disgust	0.516	безчестие
stink	disgust	0.516	воня
grim	disgust	0.516	мрачен
rob	disgust	0.516	грабя
defraud	disgust	0.516	измамвам
sump	disgust	0.516	картер
cringe	disgust	0.516	Странен
vulture	disgust	0.516	лешояд
deplorable	disgust	0.516	плачевно
mite	disgust	0.516	акар
eradication	disgust	0.516	изкореняване
degrade	disgust	0.516	деградирам
gutter	disgust	0.516	улук
convict	disgust	0.516	осъден
remains	disgust	0.516	остава
betray	disgust	0.516	предавам
daemon	disgust	0.516	демон
sham	disgust	0.509	фалшив
distasteful	disgust	0.508	неприятно
prisoner	disgust	0.508	затворник
dreadfully	disgust	0.508	ужасно
worthless	disgust	0.508	безполезен
crude	disgust	0.508	суров
delirium	disgust	0.508	делириум
incurable	disgust	0.508	нелечимо
smelling	disgust	0.508	миришещи
idiocy	disgust	0.508	идиотизъм
resentment	disgust	0.508	негодувание
bombed	disgust	0.508	бомбардиран
blob	disgust	0.508	петно
cheat	disgust	0.508	мамят
schizophrenia	disgust	0.508	шизофрения
rejection	disgust	0.508	отхвърляне
belittle	disgust	0.508	омаловажавам
glut	disgust	0.508	пренасищане
disaster	disgust	0.508	бедствие
distress	disgust	0.508	дистрес
pest	disgust	0.508	вредител
endemic	disgust	0.508	ендемичен
theft	disgust	0.500	кражба
banish	disgust	0.500	прогонвам
mire	disgust	0.500	блато
flagrant	disgust	0.500	крещящо
derision	disgust	0.500	подигравка
dirt	disgust	0.500	мръсотия
screaming	disgust	0.500	крещене
offense	disgust	0.500	нарушение
jealousy	disgust	0.500	ревност
bribery	disgust	0.500	подкупване
polemic	disgust	0.500	полемика
blight	disgust	0.500	мана
impeach	disgust	0.500	импийчмънт
bitterness	disgust	0.500	горчивина
taboo	disgust	0.500	табу
duress	disgust	0.500	принуда
goblin	disgust	0.500	гоблин
shackle	disgust	0.500	окови
idolatry	disgust	0.500	идолопоклонство
greed	disgust	0.500	алчност
impurity	disgust	0.500	нечистота
tirade	disgust	0.500	тирада
idiot	disgust	0.492	идиот
boil	disgust	0.492	кипене
unconscionable	disgust	0.492	безсъвестен
disreputable	disgust	0.492	неуважаван
robber	disgust	0.492	разбойник
malign	disgust	0.492	злокачествен
wreck	disgust	0.492	развалина
recession	disgust	0.492	рецесия
gorge	disgust	0.492	дефиле
leer	disgust	0.492	подигравателно
ill	disgust	0.492	аз ще
squirm	disgust	0.492	извивам се
raging	disgust	0.484	бушуващ
servile	disgust	0.484	сервилен
mess	disgust	0.484	бъркотия
nappy	disgust	0.484	пелена
possessed	disgust	0.484	обладан
unbearable	disgust	0.484	непоносимо
occult	disgust	0.484	окултно
contraband	disgust	0.484	контрабанда
snarl	disgust	0.484	изръмжавам
mutiny	disgust	0.484	бунт
mad	disgust	0.484	луд
affliction	disgust	0.484	страдание
stain	disgust	0.484	петно
animosity	disgust	0.484	враждебност
contempt	disgust	0.484	презрение
tramp	disgust	0.484	скитник
nepotism	disgust	0.484	непотизъм
disrespectful	disgust	0.484	неуважително
defamation	disgust	0.484	клевета
inexcusable	disgust	0.484	непростимо
aversation	disgust	0.484	отвращение
wasteful	disgust	0.484	разточителен
offender	disgust	0.484	нарушител
subjugation	disgust	0.484	подчинение
illegality	disgust	0.477	незаконност
dismal	disgust	0.477	мрачен
criminal	disgust	0.477	престъпник
unpleasant	disgust	0.477	неприятно
palsy	disgust	0.477	парализа
antagonistic	disgust	0.477	антагонистичен
pathetic	disgust	0.477	жалко
uncaring	disgust	0.477	безразличен
suppression	disgust	0.477	потискане
immorality	disgust	0.477	безнравственост
mockery	disgust	0.477	подигравка
outrage	disgust	0.469	възмущение
mocking	disgust	0.469	подигравателен
wallow	disgust	0.469	валя се
cough	disgust	0.469	кашлица
arrogant	disgust	0.469	арогантен
angry	disgust	0.469	ядосан
poverty	disgust	0.469	бедност
grating	disgust	0.469	решетка
livid	disgust	0.469	сивкав
aggravation	disgust	0.469	влошаване
repellent	disgust	0.469	репелент
perspiration	disgust	0.469	изпотяване
banishment	disgust	0.469	прогонване
furious	disgust	0.469	бесен
shoddy	disgust	0.469	калпав
banshee	disgust	0.469	банши
deceive	disgust	0.461	заблуждавам
fool	disgust	0.461	глупак
quack	disgust	0.461	шарлатанин
distorted	disgust	0.461	изкривен
spider	disgust	0.461	паяк
unjustifiable	disgust	0.461	неоправдано
deplore	disgust	0.461	съжалявам
spurious	disgust	0.461	фалшив
perdition	disgust	0.461	гибел
muddy	disgust	0.461	кален
fraudulent	disgust	0.461	измамнически
scar	disgust	0.461	белег
prick	disgust	0.461	убождане
insulting	disgust	0.461	обидно
plunder	disgust	0.461	грабеж
recklessness	disgust	0.461	безразсъдство
stigma	disgust	0.453	стигма
disparage	disgust	0.453	опозоряване
unthinkable	disgust	0.453	немислимо
disingenuous	disgust	0.453	неискрен
bane	disgust	0.453	проклятие
dishonest	disgust	0.453	нечестен
aphid	disgust	0.453	листна въшка
elimination	disgust	0.453	елиминиране
cur	disgust	0.453	cur
selfish	disgust	0.453	егоистичен
eschew	disgust	0.453	избягвам
dire	disgust	0.453	ужасно
indignation	disgust	0.453	възмущение
antipathy	disgust	0.453	антипатия
alienate	disgust	0.453	отчуждавам
mosquito	disgust	0.445	комар
piles	disgust	0.445	купчини
pious	disgust	0.445	благочестив
lie	disgust	0.445	лъжа
opium	disgust	0.445	опиум
smell	disgust	0.445	миризма
iniquity	disgust	0.445	беззаконие
caries	disgust	0.445	кариес
despair	disgust	0.445	отчаяние
recalcitrant	disgust	0.445	непокорен
egotistical	disgust	0.445	егоистичен
wasted	disgust	0.445	пропилян
vacuous	disgust	0.445	празен
bankruptcy	disgust	0.445	фалит
garish	disgust	0.445	крещящ
obnoxious	disgust	0.438	противен
ashamed	disgust	0.438	срамувам се
abject	disgust	0.438	жалко
sticky	disgust	0.438	лепкава
scream	disgust	0.438	вик
hopelessness	disgust	0.438	безнадеждност
homeless	disgust	0.438	бездомен
shun	disgust	0.438	избягвам
inmate	disgust	0.438	затворник
alien	disgust	0.438	извънземно
hog	disgust	0.438	свиня
aversion	disgust	0.438	отвращение
abnormal	disgust	0.438	ненормален
cursing	disgust	0.430	проклинане
undesirable	disgust	0.430	нежелателно
denounce	disgust	0.430	изобличавам
witch	disgust	0.430	вещица
creature	disgust	0.430	създание
lusty	disgust	0.430	похотлив
illegal	disgust	0.430	незаконно
debris	disgust	0.430	отломки
callous	disgust	0.430	безчувствен
reflux	disgust	0.430	рефлукс
adverse	disgust	0.430	неблагоприятен
shameless	disgust	0.430	безсрамен
separatist	disgust	0.430	сепаратист
trickery	disgust	0.430	измама
falsity	disgust	0.430	фалшивост
pall	disgust	0.430	пал
defiance	disgust	0.430	предизвикателство
incredulous	disgust	0.430	недоверчив
curse	disgust	0.430	проклятие
pompous	disgust	0.422	помпозен
socialist	disgust	0.422	социалистически
mistrust	disgust	0.422	недоверие
infantile	disgust	0.422	инфантилен
wasting	disgust	0.422	губене
hairy	disgust	0.422	космат
nicotine	disgust	0.422	никотин
denunciation	disgust	0.422	донос
collapse	disgust	0.422	колапс
untidy	disgust	0.422	неподреден
ferocious	disgust	0.422	свиреп
ammonia	disgust	0.422	амоняк
