English Word	Emotion	Emotion-Intensity-Score	Malagasy Word
reconstruction	anticipation	0.438	fanorenana indray
goodness	anticipation	0.438	hatsaran-toetra
reconstruct	anticipation	0.438	Manarina
faith	anticipation	0.438	finoana
recombination	anticipation	0.438	recombination
prepared	anticipation	0.438	vonona
rabid	anticipation	0.438	romotra
plea	anticipation	0.438	fangatahana
medical	anticipation	0.438	FITSABOANA
passenger	anticipation	0.438	mpandeha
charitable	anticipation	0.430	mpanao asa soa
tabulate	anticipation	0.430	tabilao
peace	anticipation	0.430	fandriampahalemana
install	anticipation	0.430	hametraka
serenity	anticipation	0.430	fahatoniana
venerable	anticipation	0.430	mendri-kaja
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	luscious
perpetuate	anticipation	0.430	hampaharitra
strategist	anticipation	0.430	tetikady
unverified	anticipation	0.430	voamarina
tribunal	anticipation	0.430	fitsarana
clap	anticipation	0.430	Miteha
peaceful	anticipation	0.422	am-pilaminana
patience	anticipation	0.422	FAHARETANA
unresolved	anticipation	0.422	voavaha
worship	anticipation	0.422	fanompoam-pivavahana
edification	anticipation	0.422	fampandrosoana
oasis	anticipation	0.422	lonaka
grin	anticipation	0.422	tsiky
revere	anticipation	0.422	manaja
candid	anticipation	0.422	ahiahinao
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	mpikomy
adrift	anticipation	0.422	mirenireny
recognizable	anticipation	0.422	fantatra
volatility	anticipation	0.422	volatility
forestall	anticipation	0.422	hahasakana
laughter	anticipation	0.422	fihomehezana
continue	anticipation	0.414	hanohy
ongoing	anticipation	0.414	mitohy
astrologer	anticipation	0.414	mpanandro
mediate	anticipation	0.414	mikatroka
punctual	anticipation	0.414	marim-potoana
grant	anticipation	0.414	manome
morn	anticipation	0.414	maraina
pretty	anticipation	0.414	tsara tarehy
withstand	anticipation	0.414	hanohitra
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	eritreritra
probation	anticipation	0.414	fisedrana
ordination	anticipation	0.414	fanendrena
calls	anticipation	0.414	antso
detainee	anticipation	0.414	gadra
craps	anticipation	0.414	craps
weigh	anticipation	0.414	mandanja
proficiency	anticipation	0.414	fahaizany
sing	anticipation	0.411	Mihirà
continuation	anticipation	0.406	fitohizan'ny
university	anticipation	0.406	Oniversite
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	fanabeazana
mother	anticipation	0.406	rENY
punished	anticipation	0.406	voasazy
twinkle	anticipation	0.406	namiratra
confession	anticipation	0.406	fiaiken-keloka
outdo	anticipation	0.406	hihoatra ny
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	mpiavonavona
midwife	anticipation	0.406	mpampivelona
wizard	anticipation	0.406	Magicien
headlight	anticipation	0.406	jiro
long	anticipation	0.406	ela
banquet	anticipation	0.406	fanasana
comfort	anticipation	0.406	Ampionòny
navigable	anticipation	0.406	azo zahana
subscribe	anticipation	0.406	famandrihana
opponent	anticipation	0.406	mpifanandrina
debenture	anticipation	0.406	debenture
deal	anticipation	0.402	fifanarahana
symphony	anticipation	0.398	symphonie
saintly	anticipation	0.398	masina
judiciary	anticipation	0.398	fitsarana
lettered	anticipation	0.398	soratra
vigil	anticipation	0.398	fiaretan-tory
reliance	anticipation	0.398	ny fianteherana
distracting	anticipation	0.398	mahavarimbariana
mortification	anticipation	0.398	hampijalian-tena
balm	anticipation	0.398	balsama
simmer	anticipation	0.398	madinidinika
top	anticipation	0.398	ambony
obliging	anticipation	0.398	manery ny
efficient	anticipation	0.398	MAHOMBY
guillotine	anticipation	0.398	Tapahina ireo taratasim
representing	anticipation	0.398	nisolo tena
death	anticipation	0.398	FAHAFATESANA
assurance	anticipation	0.391	fanomezan-toky
familiarity	anticipation	0.391	mahazatra
depraved	anticipation	0.391	ratsy fitondran-tena
condemnation	anticipation	0.391	fanamelohana
undoubted	anticipation	0.391	tsy isalasalana
sanctify	anticipation	0.391	Manamasina ny
diplomacy	anticipation	0.391	diplaomasia
antidote	anticipation	0.391	fanefitry
trust	anticipation	0.391	fahatokiana
linger	anticipation	0.391	Mijanòna
objective	anticipation	0.391	tanjona
chuckle	anticipation	0.391	nihomehy
poke	anticipation	0.391	Kitika
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	reny
art	anticipation	0.391	kanto
unfulfilled	anticipation	0.391	tanteraka
inoculation	anticipation	0.384	inoculation
simplify	anticipation	0.383	Tsorina ny
depend	anticipation	0.383	miankina
chant	anticipation	0.383	mivovo
ram	anticipation	0.383	ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	tokotanin-tsekoly
labor	anticipation	0.383	asa
scientist	anticipation	0.383	mpahay siansa
good	anticipation	0.383	tsara
humanitarian	anticipation	0.383	maha-olona
failing	anticipation	0.383	mahomby
hap	anticipation	0.383	sendra tonga
dutiful	anticipation	0.383	fanaovana adidy
hymn	anticipation	0.383	hira
ship	anticipation	0.383	sambo
discretion	anticipation	0.383	ny fisainana mazava,
undecided	anticipation	0.383	tapa-kevitra
gradual	anticipation	0.375	tsikelikely
navigator	anticipation	0.375	tantsambo
track	anticipation	0.375	manara-maso
cradle	anticipation	0.375	fandrian-jaza
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	vonjimaika
clock	anticipation	0.375	famantaranandro
mountain	anticipation	0.375	TENDROMBOHITR'ANDRIAMANITRA
interminable	anticipation	0.375	tsy manam-petra
public	anticipation	0.375	-bahoaka
recurrent	anticipation	0.375	miverimberina
savor	anticipation	0.375	ankasitrahana
abide	anticipation	0.367	Mitoera
concealed	anticipation	0.367	miafina
spear	anticipation	0.367	lefona
lesson	anticipation	0.367	lesona
instructions	anticipation	0.367	torolalana
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	roa taona
convince	anticipation	0.367	handresy lahatra
whim	anticipation	0.367	haitraitra fotsiny
shiver	anticipation	0.367	Nangorintsina
towering	anticipation	0.367	mijoalajoala
musical	anticipation	0.367	mozika
offset	anticipation	0.359	offset
theory	anticipation	0.359	-kevitra
theology	anticipation	0.359	Ny teolojia
undying	anticipation	0.359	tsy mety lefy
timidity	anticipation	0.359	henatra
plump	anticipation	0.359	miboboka
atone	anticipation	0.359	Fampihavanana ou fanavotana
audience	anticipation	0.357	mpihaino
dietary	anticipation	0.352	sakafo
consecration	anticipation	0.352	fanokanana
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	fivarotana
farm	anticipation	0.352	toeram-pambolena
daily	anticipation	0.352	isan'andro
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	ambony
closure	anticipation	0.352	fanakatonana
edition	anticipation	0.352	fanontana
kindred	anticipation	0.352	havanao
stripped	anticipation	0.344	nesoriny ny akanjony
errand	anticipation	0.344	raharahako
archaeology	anticipation	0.344	arkeolojia
mutable	anticipation	0.344	miovaova
wireless	anticipation	0.344	Wireless
meditate	anticipation	0.344	Saintsaino
mobile	anticipation	0.344	Mobile
germ	anticipation	0.336	mikraoba
brotherly	anticipation	0.336	rahalahy
lessen	anticipation	0.336	hampihenana
unbeaten	anticipation	0.336	tsy resy
pare	anticipation	0.336	alàny
buddy	anticipation	0.336	akama
unaccountable	anticipation	0.336	tsy tambo isaina
dove	anticipation	0.328	voromailala
patient	anticipation	0.328	marary
secular	anticipation	0.328	tsy ara-pivavahana
digress	anticipation	0.328	manalavitra
chastity	anticipation	0.328	fahadiovam-pitiavana
council	anticipation	0.328	Filan-kevitra
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	kofehy
possess	anticipation	0.328	manana
disposed	anticipation	0.320	vonona
scrutinize	anticipation	0.320	dinihinao tsara
immature	anticipation	0.320	matoy
mediator	anticipation	0.320	mpanelanelana
regularity	anticipation	0.320	tapaka
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	zazalahy hebreo
paddle	anticipation	0.320	fivoy
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	miaro
unpublished	anticipation	0.312	tsy navoaka
church	anticipation	0.312	fiangonana
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	mampalahelo
denying	anticipation	0.312	fandavana
analyst	anticipation	0.312	mpandalina
judicial	anticipation	0.305	fitsarana
priesthood	anticipation	0.305	FISORONANA
broadside	anticipation	0.305	broadside
mill	anticipation	0.305	bary
dismay	anticipation	0.297	raiki-tahotra
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	miankin-doha
instructor	anticipation	0.297	MPAMPIANATRA
exhaustion	anticipation	0.297	harerahana
saliva	anticipation	0.297	rora
cataract	anticipation	0.289	katarakta
network	anticipation	0.289	tambajotra
visor	anticipation	0.289	visor
shackle	anticipation	0.289	gadra
wont	anticipation	0.289	fanaony
addresses	anticipation	0.289	adiresy
discreet	anticipation	0.289	manan-tsaina
noncompliance	anticipation	0.289	tsy fanarahan-dalàna
bruise	anticipation	0.289	hanorotoro
homeless	anticipation	0.289	tsy manan-kialofana
astronomer	anticipation	0.281	astronoma
skewed	anticipation	0.281	miolikolika
neighbor	anticipation	0.281	mpiara-belona
holiness	anticipation	0.273	FAHAMASINANA
devil	anticipation	0.273	DEVOLY
picket	anticipation	0.273	picket
sentence	anticipation	0.273	didim-pitsarana
latent	anticipation	0.273	miseho
cream	anticipation	0.273	fanosotra
immaturity	anticipation	0.273	tsy fahamatorana
habitual	anticipation	0.266	fahazarana
morals	anticipation	0.266	fitondran-tena
neighborhood	anticipation	0.266	Manodidina
lull	anticipation	0.266	mampitony
bye	anticipation	0.258	veloma
weight	anticipation	0.258	lanja
organ	anticipation	0.250	taova
clown	anticipation	0.250	mpanao hatsikana
forearm	anticipation	0.250	forearm
commonplace	anticipation	0.242	mahazatra
quote	anticipation	0.242	notsongaina
rail	anticipation	0.234	lalamby
dictatorship	anticipation	0.234	didy jadona
treadmill	anticipation	0.234	milina fitotoana
board	anticipation	0.234	BIRAO, BIRAO
tree	anticipation	0.227	HAZO
sundial	anticipation	0.227	masoandro
paralysis	anticipation	0.211	nalemy
cement	anticipation	0.203	simenitra
worm	anticipation	0.203	kankana
organization	anticipation	0.203	fikambanana
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	tsy miandany
cannibalism	disgust	0.953	mihinana olona
mutilation	disgust	0.930	fanapahana rantsambatana
molestation	disgust	0.914	fametavetana
incest	disgust	0.914	firaisana amin'olom-pady
rape	disgust	0.906	fanolanana
gonorrhea	disgust	0.906	angatra
cannibal	disgust	0.898	mpihinan'olona
rot	disgust	0.891	lo
corpse	disgust	0.883	faty
massacre	disgust	0.883	fandripahana
excrement	disgust	0.883	dikiny
barf	disgust	0.875	barf
slaughter	disgust	0.875	hamonoana
slaughterhouse	disgust	0.867	trano famonoana
incestuous	disgust	0.859	olom-pady
sewerage	disgust	0.859	tatatra maloto
filth	disgust	0.859	fahalotoana
bigot	disgust	0.859	be vava
rancid	disgust	0.859	rancid
infestation	disgust	0.852	voakaikitry
plague	disgust	0.852	areti-mandringana
holocaust	disgust	0.852	Famonoana Tambabe
bloodthirsty	disgust	0.852	mpandatsa-drà
rotting	disgust	0.844	lo
fecal	disgust	0.844	fecal
maggot	disgust	0.844	olitra
feces	disgust	0.844	fivalanana
murder	disgust	0.839	vonoan-olona
asshole	disgust	0.836	Dondrom-belona
homicide	disgust	0.836	vono olona
enslaved	disgust	0.836	handevozin'ny
infanticide	disgust	0.836	zazalahy hebreo
perverted	disgust	0.828	miangatra
excretion	disgust	0.828	fivoahana
gore	disgust	0.828	feno herisetra
slaughtering	disgust	0.828	famonoana
torture	disgust	0.828	hazo
contaminate	disgust	0.821	ho nitera-pahavoazana
revolting	disgust	0.820	maditra
gory	disgust	0.820	Góry
shit	disgust	0.820	diky
terrorist	disgust	0.820	MPAMPIHOROHORO
murderer	disgust	0.820	mpamono olona
repugnant	disgust	0.820	maharikoriko
manure	disgust	0.820	zezika
pervert	disgust	0.820	mba mamadika ny
diarrhoea	disgust	0.820	aretim-pivalanana
grotesque	disgust	0.820	hafahafa
desecration	disgust	0.820	fanimbazimbana
faeces	disgust	0.812	faeces
slavery	disgust	0.812	fanandevozana
sewer	disgust	0.812	tatatra
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	tsy nahy
dismemberment	disgust	0.812	fanapahana
vomit	disgust	0.812	loa
perverse	disgust	0.805	efa nivadika
repulsive	disgust	0.805	maharikoriko
hemorrhage	disgust	0.805	fandatsahan-drà
sewage	disgust	0.797	maloto
filthy	disgust	0.797	maloto
diseased	disgust	0.797	marary
depravity	disgust	0.797	fitondran-tena maloto
carcass	disgust	0.795	fatin-javatra
decompose	disgust	0.789	potipotika
gruesome	disgust	0.789	mampihoro-koditra
mutilated	disgust	0.789	azo ampiasaina
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	simba
dung	disgust	0.789	tain-drorohany
vermin	disgust	0.789	bibikely
murderous	disgust	0.789	mpamono olona
parasite	disgust	0.789	katsentsitra
horrific	disgust	0.789	mampihoron-koditra
carnage	disgust	0.781	fandripahana
malaria	disgust	0.781	tazomoka
slime	disgust	0.781	fota
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	areti-mandringana
crap	disgust	0.781	misy dikany izany
monstrosity	disgust	0.781	habibiana
loathsome	disgust	0.773	maharikoriko
toxic	disgust	0.773	misy poizina
morgue	disgust	0.773	tranom-paty
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	habokana
insidious	disgust	0.773	mampidi-doza
cruel	disgust	0.766	Ratsy Fanahy
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	ny vain'omby
xenophobia	disgust	0.766	fankahalana vahiny
repugnance	disgust	0.766	rikorikon'ny
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	tsy tiako maizina àry
whore	disgust	0.766	vehivavy janga
dissection	disgust	0.759	fandidiana faty
mucous	disgust	0.758	mucous
canker	disgust	0.758	hanimba
slum	disgust	0.758	ambanivohitra
infectious	disgust	0.758	mifindra
evil	disgust	0.758	RATSY
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	herisetra
perversion	disgust	0.758	fady
sinister	disgust	0.750	Zavaboary Ratsy
leeches	disgust	0.750	dinta
corrupting	disgust	0.750	dratsy
decomposition	disgust	0.750	lo
abomination	disgust	0.742	fahavetavetana
stinking	disgust	0.742	maimbo
bile	disgust	0.742	bile
demonic	disgust	0.742	demonia
deranged	disgust	0.742	very hevitra
abhorrence	disgust	0.742	rikoriko
soiled	disgust	0.742	maloto
mucus	disgust	0.742	mucus
septic	disgust	0.742	septic
sickening	disgust	0.742	Mankaloiloy
demon	disgust	0.742	demonia
cancer	disgust	0.734	cancer
obese	disgust	0.734	matavy loatra
degeneracy	disgust	0.734	fitontongananan'ny
despicable	disgust	0.734	maharikoriko
atrocity	disgust	0.734	habibiana
foul	disgust	0.734	maimbo
sicken	disgust	0.734	marary
crucifixion	disgust	0.734	fanomboana
terrorism	disgust	0.734	ASA fampihorohoroana
repulsion	disgust	0.727	hankaloiloy
morbidity	disgust	0.727	aretina
dysentery	disgust	0.727	nivalan-dra
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakteria
dirty	disgust	0.727	maloto
adultery	disgust	0.727	ny fanitsakitsaham-bady
contamination	disgust	0.727	fandotoana
grisly	disgust	0.727	Nampihoron-koditra
diabolical	disgust	0.727	devoly
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	feno habibiana
vulgar	disgust	0.719	teny
entrails	disgust	0.719	tsinainy
disgust	disgust	0.719	rikoriko
lewd	disgust	0.719	fahavetavetana
muck	disgust	0.719	muck
bowels	disgust	0.719	kibony
garbage	disgust	0.719	fako
deterioration	disgust	0.719	fahasimban'ny
contagion	disgust	0.719	areti-mifindra
vicious	disgust	0.719	masiaka
disfigured	disgust	0.719	Simba Tarehy
pungent	disgust	0.719	Mahery be
gross	disgust	0.719	lehibe
bloodshed	disgust	0.714	fandatsahan-drà
gag	disgust	0.711	gag
pollute	disgust	0.711	handoto
nausea	disgust	0.711	maloiloy
tyrant	disgust	0.711	mpanao jadona
wretched	disgust	0.711	ory
mortification	disgust	0.711	hampijalian-tena
violent	disgust	0.711	NAHERY
poisoned	disgust	0.711	misy poizina
nauseate	disgust	0.703	maloiloy
slimy	disgust	0.703	manify
grope	disgust	0.703	hitsapatsapa
slut	disgust	0.703	slut
nasty	disgust	0.703	ratsy
disgusting	disgust	0.703	mahatsiravina
depraved	disgust	0.703	ratsy fitondran-tena
porn	disgust	0.703	mamoafady
hateful	disgust	0.703	feno fankahalana
vulgarity	disgust	0.703	baranahina fanaony hatrizay
noxious	disgust	0.703	gazy mahafaty
grime	disgust	0.703	loto
constipation	disgust	0.703	fitohanana
secretion	disgust	0.703	secretion
poisoning	disgust	0.703	fanapoizinana
despotism	disgust	0.703	fanjakazakana
measles	disgust	0.696	kitrotro
contagious	disgust	0.695	mifindra
obesity	disgust	0.695	matavy loatra
wart	disgust	0.695	wart
hate	disgust	0.695	fankahalana
hellish	disgust	0.695	helo
scum	disgust	0.695	fahalovan'izao tntolo
suicidal	disgust	0.695	hamono tena
wretch	disgust	0.695	ny olo-mahantra
abuse	disgust	0.695	fanararaotana
waste	disgust	0.695	mandany
intestinal	disgust	0.695	tsinay
heartworm	disgust	0.688	kankana fo
ooze	disgust	0.688	ooze
treason	disgust	0.688	mpamadika
contaminated	disgust	0.688	voaloto
smut	disgust	0.688	smut
disease	disgust	0.688	aretina
rabid	disgust	0.688	romotra
deformed	disgust	0.680	sembana
hell	disgust	0.680	helo
soulless	disgust	0.680	tsy misy fanahy
cholera	disgust	0.680	Kôlera
bestial	disgust	0.680	biby
antichrist	disgust	0.680	ANTIKRISTY
freakish	disgust	0.680	freakish
germ	disgust	0.680	mikraoba
detest	disgust	0.680	mankahala
pollution	disgust	0.680	fandotoana
grimy	disgust	0.680	maloto
abhorrent	disgust	0.680	maharikoriko
hatred	disgust	0.680	ny fankahalana
abominate	disgust	0.680	zava-betaveta
sickness	disgust	0.680	aretina
hideous	disgust	0.672	mahatsiravina
dictatorship	disgust	0.672	didy jadona
loathful	disgust	0.672	maharikoriko
greasy	disgust	0.672	matavy
dilapidated	disgust	0.672	efa ratsy be
inhuman	disgust	0.672	maha-olombelona
loathing	disgust	0.672	tsinontsinona
obscene	disgust	0.672	mamoafady
cess	disgust	0.670	cess
devil	disgust	0.664	DEVOLY
deformity	disgust	0.664	deformation
nauseous	disgust	0.664	maloiloy
deadly	disgust	0.664	mahafaty
swine	disgust	0.664	kisoa
discrimination	disgust	0.664	FANAVAKAVAHANA
abominable	disgust	0.664	fahavetavetana
masochism	disgust	0.664	masochisme
heretic	disgust	0.664	Mpivadi-pinoana
latrines	disgust	0.656	lava-piringa
corruption	disgust	0.656	KOLIKOLY
poisonous	disgust	0.656	misy poizina
horror	disgust	0.656	horohoro
nefarious	disgust	0.656	ratsy
bacteria	disgust	0.656	bakteria
horrible	disgust	0.656	mahatsiravina
trash	disgust	0.656	fako
abortion	disgust	0.656	fanalan-jaza
death	disgust	0.656	FAHAFATESANA
prejudiced	disgust	0.656	manavakavaka
poison	disgust	0.656	poizina
oppression	disgust	0.656	famoretana
goo	disgust	0.656	goo
victimized	disgust	0.656	iharan'ireo
mange	disgust	0.656	mange
sludge	disgust	0.648	fotaka
trashy	disgust	0.648	fako
vindictive	disgust	0.648	tia namaly faty
horrid	disgust	0.648	nahatsiravina
ugly	disgust	0.648	ratsy tarehy
immoral	disgust	0.648	fitondran-tena maloto
bitch	disgust	0.648	bitch
outhouse	disgust	0.648	trano ivelany
detestation	disgust	0.648	fankahalana
horrifying	disgust	0.641	mampivarahontsana
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	ratsy tarehy
derogatory	disgust	0.641	fanambaniana
slop	disgust	0.641	slop
malfeasance	disgust	0.641	fahadisoam-panantenana
spew	disgust	0.641	mandroaka
pimple	disgust	0.641	pimple
criminality	disgust	0.641	heloka bevava
indecency	disgust	0.641	ambony ny tsy fahamaontinana
cystic	disgust	0.641	kista
villainous	disgust	0.641	ratsy fanahy
queasy	disgust	0.633	mahakivy
mildew	disgust	0.633	maty fotsy
oppressive	disgust	0.633	nampahory
prostitution	disgust	0.633	fivarotan-tena
secrete	disgust	0.633	hanafina
ulcer	disgust	0.633	fery
rat	disgust	0.633	voalavo
bigoted	disgust	0.633	tery saina
perpetrator	disgust	0.633	nahavita
doomsday	disgust	0.633	Olona ny Fara Andro
sinful	disgust	0.633	mpanota
degrading	disgust	0.625	manimba
ghastly	disgust	0.625	mahatsiravina
suffering	disgust	0.625	fijaliana
obscenity	disgust	0.625	fahavetavetana
devilish	disgust	0.625	araka ny an'ny demonia
disgraceful	disgust	0.625	-baraka
persecution	disgust	0.625	fanenjehana
contemptible	disgust	0.625	tsinontsinona
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	fipetrahany
dastardly	disgust	0.625	manjavozavo
sin	disgust	0.625	fahotana
gluttony	disgust	0.625	hatendan-kanina
bloated	disgust	0.625	mibontsina
fungus	disgust	0.625	holatra
aghast	disgust	0.625	mahatahotra
diaper	disgust	0.617	diaper
malicious	disgust	0.617	ratsy toetra
polygamy	disgust	0.617	fananana vady maro
dying	disgust	0.617	maty
termite	disgust	0.617	vitsikazo taloha
fat	disgust	0.617	matavy
deceit	disgust	0.617	fitaka
atrocious	disgust	0.617	mahatsiravina
guillotine	disgust	0.617	Tapahina ireo taratasim
tetanus	disgust	0.617	tetanosy
spoil	disgust	0.617	babo
crusty	disgust	0.617	crusty
sickly	disgust	0.617	farofy
louse	disgust	0.617	hao
strangle	disgust	0.617	hahasempotra
betrayal	disgust	0.617	famadihana
loathe	disgust	0.617	Maharikoriko
wench	disgust	0.617	vavy
infect	disgust	0.617	hanan-kery eo
violently	disgust	0.609	-keriny
brothel	disgust	0.609	trano fivarotan-tena
drool	disgust	0.609	drool
bleeding	disgust	0.609	Mandeha ra
deform	disgust	0.609	hanaratsy
ghetto	disgust	0.609	faritanàna voatokana ho
sabotage	disgust	0.609	nanelingelina
venomous	disgust	0.609	bibilava
abhor	disgust	0.609	mankahalà
slander	disgust	0.609	fanendrikendrehana
hostile	disgust	0.609	feno fankahalana
musty	disgust	0.602	maloto
illicit	disgust	0.602	tsy ara-dalàna
ugliness	disgust	0.602	haratsian'ny
unwashed	disgust	0.602	tsy misasa
swampy	disgust	0.602	heniheny
deprivation	disgust	0.602	tsy fananana
poaching	disgust	0.602	fihazana
hag	disgust	0.602	Hg
infidel	disgust	0.602	mino aza
imprisonment	disgust	0.602	am-ponja
traitor	disgust	0.602	mpamadika
lunacy	disgust	0.602	fahadalana
queasiness	disgust	0.594	fahanginana
hostility	disgust	0.594	fankahalana
repelling	disgust	0.594	vaika
intoxicated	disgust	0.594	mamo
thug	disgust	0.594	jiolahimboto
catastrophe	disgust	0.594	loza
lunatic	disgust	0.594	adala
misery	disgust	0.594	fahoriana
venom	disgust	0.594	poizina
butcher	disgust	0.594	mpivaro-kena
toilet	disgust	0.594	trano fidiovana
blister	disgust	0.594	blister
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	esory tsara ny taovany
sinner	disgust	0.594	mpanota
deceitful	disgust	0.594	fitaka
epidemic	disgust	0.594	areti-mifindra
deteriorated	disgust	0.586	niharatsy
lavatory	disgust	0.586	lavazy
unclean	disgust	0.586	maloto
prostitute	disgust	0.586	mpivaro-tena
incubus	disgust	0.586	incubus
appalling	disgust	0.586	mahatsiravina
dreadful	disgust	0.586	mahatahotra
pornography	disgust	0.586	mijery sary vetaveta
harass	disgust	0.586	Rafeso
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	fandroahana
unfaithful	disgust	0.578	tsy nahatoky
offensive	disgust	0.578	manafintohina
hypocrite	disgust	0.578	Ry mpihatsaravelatsihy
humiliating	disgust	0.578	manala baraka
larceny	disgust	0.578	fandrobana
ruinous	disgust	0.578	mpandringana
retard	disgust	0.578	hahavaha
rash	disgust	0.578	maimaika
flea	disgust	0.578	parasy
debauchery	disgust	0.578	mitarika ho amin'ny filibana
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	honahona
conspirator	disgust	0.578	mpikomy
sick	disgust	0.578	marary
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	marary alika
egregious	disgust	0.570	mahatsiravina
flog	disgust	0.570	kapoka
despise	disgust	0.570	manamavo ny
treacherous	disgust	0.570	mpivadika
oppress	disgust	0.570	mampahory
swamp	disgust	0.570	honahona
messy	disgust	0.570	tsy hoatr'izany
spit	disgust	0.570	nororana
dank	disgust	0.570	dank
bastard	disgust	0.570	Kindindrenin'ialahy ialahy
devastating	disgust	0.570	nampivaloharika
serpent	disgust	0.570	serpent
loo	disgust	0.562	loo
indecent	disgust	0.562	mendrika
insanity	disgust	0.562	adala
stealing	disgust	0.562	nangalatra
terrible	disgust	0.562	mahatsiravina
tyrannical	disgust	0.562	lozabe
humiliation	disgust	0.562	fanalam-baraka
snake	disgust	0.562	MENARANA
sloppy	disgust	0.562	misavoritaka
sinning	disgust	0.562	manota
harmful	disgust	0.562	mampidi-doza
harlot	disgust	0.562	vehivavy janga
sordid	disgust	0.562	maloto
enemy	disgust	0.562	fahavalo
alcoholism	disgust	0.562	fisotroan-toaka
awful	disgust	0.562	mahatsiravina
ruthless	disgust	0.562	indrafo
scoundrel	disgust	0.562	olona ratsy fanahy
bloody	disgust	0.555	ra mandriaka
flabby	disgust	0.555	flabby
odious	disgust	0.555	nampangidy hoditra
beastly	disgust	0.555	bibidia
collusion	disgust	0.555	tsikombakomba
ridicule	disgust	0.555	maneso
discriminating	disgust	0.555	hizaha tavan'olona na
unattractive	disgust	0.555	ratsy tarehy
insufferable	disgust	0.555	tsy mahazaka
segregate	disgust	0.555	manasaraka
arsenic	disgust	0.555	arsenika
threatening	disgust	0.555	mandrahona
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	Nendram-
slayer	disgust	0.555	an'izay nahafaty olona
distaste	disgust	0.555	fankahalana
coward	disgust	0.555	kanosa
robbery	disgust	0.555	halatra
wickedness	disgust	0.555	ratsy
anathema	disgust	0.547	voaozona
malevolent	disgust	0.547	ratsy fanahy
sty	disgust	0.547	sty
pillage	disgust	0.547	horobain'ireo
thief	disgust	0.547	mpangalatra
suffocating	disgust	0.547	manempotra
condemnation	disgust	0.547	fanamelohana
deleterious	disgust	0.547	zarizary
slur	disgust	0.547	manevateva
purgatory	disgust	0.547	afofandiovana
attacking	disgust	0.547	manafika
burglar	disgust	0.547	mpangalatra
ogre	disgust	0.547	ogre
coercion	disgust	0.547	faneriterena
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	fadiranovana
bitterly	disgust	0.547	mafy
sneer	disgust	0.539	maneso
greedy	disgust	0.539	tendan-kanina
gob	disgust	0.539	Goba
repellant	disgust	0.539	repellant
jealous	disgust	0.539	saro-piaro
drunken	disgust	0.539	mamo
shame	disgust	0.539	henatra
thrash	disgust	0.539	thrash
fatty	disgust	0.539	matavy
liar	disgust	0.539	mpandainga
imprisoned	disgust	0.539	naiditra am-ponja
sloth	disgust	0.539	kamo
repudiation	disgust	0.539	fanipahana marindrano
disgrace	disgust	0.539	afa-baraka
infidelity	disgust	0.539	fanitsakitsaham-bady
pig	disgust	0.539	kisoa
lethal	disgust	0.536	mahafaty
burnt	disgust	0.531	fanatitra
brawl	disgust	0.531	ady
withered	disgust	0.531	maty
blemish	disgust	0.531	misy kilema
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	fiovaovana
smuggler	disgust	0.531	mpanondrana an-tsokosoko
painful	disgust	0.531	maharary
condescension	disgust	0.531	fiambanian
intolerant	disgust	0.531	fandeferana
