English Word	Emotion	Emotion-Intensity-Score	Slovenian Word
scum	disgust	0.695	izmeček
suicidal	disgust	0.695	samomorilno
wretch	disgust	0.695	reva
abuse	disgust	0.695	zloraba
waste	disgust	0.695	odpadki
intestinal	disgust	0.695	črevesni
heartworm	disgust	0.688	srčna glista
ooze	disgust	0.688	izcedek
treason	disgust	0.688	izdaja
contaminated	disgust	0.688	onesnažena
smut	disgust	0.688	smuti
disease	disgust	0.688	bolezen
rabid	disgust	0.688	besen
deformed	disgust	0.680	deformiran
hell	disgust	0.680	pekel
soulless	disgust	0.680	brez duše
cholera	disgust	0.680	kolera
bestial	disgust	0.680	živalski
antichrist	disgust	0.680	antikrist
freakish	disgust	0.680	čudaško
germ	disgust	0.680	kalček
detest	disgust	0.680	sovražiti
pollution	disgust	0.680	onesnaženje
grimy	disgust	0.680	umazan
abhorrent	disgust	0.680	gnusno
hatred	disgust	0.680	sovraštvo
abominate	disgust	0.680	odvraten
sickness	disgust	0.680	bolezen
hideous	disgust	0.672	ostudno
dictatorship	disgust	0.672	diktatura
loathful	disgust	0.672	zoprno
greasy	disgust	0.672	masten
dilapidated	disgust	0.672	dotrajan
inhuman	disgust	0.672	nečloveško
loathing	disgust	0.672	sovraštvo
obscene	disgust	0.672	nespodobno
cess	disgust	0.670	ces
devil	disgust	0.664	Hudič
deformity	disgust	0.664	deformacija
nauseous	disgust	0.664	slabost
deadly	disgust	0.664	smrtonosno
swine	disgust	0.664	prašiči
discrimination	disgust	0.664	diskriminacija
abominable	disgust	0.664	gnusno
masochism	disgust	0.664	mazohizem
heretic	disgust	0.664	heretik
latrines	disgust	0.656	stranišča
corruption	disgust	0.656	korupcija
poisonous	disgust	0.656	strupeno
horror	disgust	0.656	groza
nefarious	disgust	0.656	zloben
bacteria	disgust	0.656	bakterije
horrible	disgust	0.656	grozno
trash	disgust	0.656	smeti
abortion	disgust	0.656	splav
death	disgust	0.656	smrt
prejudiced	disgust	0.656	predsodki
poison	disgust	0.656	strup
oppression	disgust	0.656	zatiranje
goo	disgust	0.656	goo
victimized	disgust	0.656	žrtev
mange	disgust	0.656	mange
sludge	disgust	0.648	blato
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	maščevalen
horrid	disgust	0.648	grozno
ugly	disgust	0.648	grda
immoral	disgust	0.648	nemoralno
bitch	disgust	0.648	prasica
outhouse	disgust	0.648	gospodarska hiša
detestation	disgust	0.648	sovraštvo
horrifying	disgust	0.641	grozljivo
laxative	disgust	0.641	odvajalo
unsightly	disgust	0.641	grdo
derogatory	disgust	0.641	slabšalno
slop	disgust	0.641	slop
malfeasance	disgust	0.641	zloraba
spew	disgust	0.641	bruhati
pimple	disgust	0.641	mozolj
criminality	disgust	0.641	kriminaliteta
indecency	disgust	0.641	nespodobnost
cystic	disgust	0.641	cistična
villainous	disgust	0.641	zlobnež
queasy	disgust	0.633	slabost
mildew	disgust	0.633	plesen
oppressive	disgust	0.633	zatiralsko
prostitution	disgust	0.633	prostitucija
secrete	disgust	0.633	izločati
ulcer	disgust	0.633	razjeda
rat	disgust	0.633	podgana
bigoted	disgust	0.633	fanatični
perpetrator	disgust	0.633	storilec
doomsday	disgust	0.633	sodni dan
sinful	disgust	0.633	grešen
degrading	disgust	0.625	ponižujoče
ghastly	disgust	0.625	grozljivo
suffering	disgust	0.625	trpljenje
obscenity	disgust	0.625	nespodobnost
devilish	disgust	0.625	hudičevo
disgraceful	disgust	0.625	sramotno
persecution	disgust	0.625	preganjanje
contemptible	disgust	0.625	zaničljivo
cuckold	disgust	0.625	rogonosec
stools	disgust	0.625	blato
dastardly	disgust	0.625	podlo
sin	disgust	0.625	greh
gluttony	disgust	0.625	požrešnost
bloated	disgust	0.625	napihnjena
fungus	disgust	0.625	glivica
aghast	disgust	0.625	zgrožen
diaper	disgust	0.617	plenica
malicious	disgust	0.617	zlonamerno
polygamy	disgust	0.617	poligamija
dying	disgust	0.617	umiranje
termite	disgust	0.617	termit
fat	disgust	0.617	maščoba
deceit	disgust	0.617	prevara
atrocious	disgust	0.617	grozno
guillotine	disgust	0.617	giljotina
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	pokvariti
crusty	disgust	0.617	skorja
sickly	disgust	0.617	bolehno
louse	disgust	0.617	uš
strangle	disgust	0.617	zadaviti
betrayal	disgust	0.617	izdaja
loathe	disgust	0.617	prezirati
wench	disgust	0.617	deklica
infect	disgust	0.617	okužiti
violently	disgust	0.609	nasilno
brothel	disgust	0.609	bordel
drool	disgust	0.609	slinjenje
bleeding	disgust	0.609	krvavitev
deform	disgust	0.609	deformirati
ghetto	disgust	0.609	geto
sabotage	disgust	0.609	sabotaža
venomous	disgust	0.609	strupena
abhor	disgust	0.609	gnusiti se
slander	disgust	0.609	obrekovanje
hostile	disgust	0.609	sovražno
musty	disgust	0.602	plesniv
illicit	disgust	0.602	nedovoljeno
ugliness	disgust	0.602	grdota
unwashed	disgust	0.602	neoprano
swampy	disgust	0.602	močvirnato
deprivation	disgust	0.602	prikrajšanje
poaching	disgust	0.602	krivolov
hag	disgust	0.602	hag
infidel	disgust	0.602	nevernik
imprisonment	disgust	0.602	zaporna kazen
traitor	disgust	0.602	izdajalec
lunacy	disgust	0.602	norost
queasiness	disgust	0.594	slabost
hostility	disgust	0.594	sovražnost
repelling	disgust	0.594	odbijajoče
intoxicated	disgust	0.594	vinjen
thug	disgust	0.594	razbojnik
catastrophe	disgust	0.594	katastrofa
lunatic	disgust	0.594	norec
misery	disgust	0.594	beda
venom	disgust	0.594	strup
butcher	disgust	0.594	mesar
toilet	disgust	0.594	stranišče
blister	disgust	0.594	pretisni omot
lurid	disgust	0.594	strašno
slug	disgust	0.594	polž
gut	disgust	0.594	črevesje
sinner	disgust	0.594	grešnik
deceitful	disgust	0.594	zavajajoče
epidemic	disgust	0.594	epidemija
deteriorated	disgust	0.586	poslabšalo
lavatory	disgust	0.586	stranišče
unclean	disgust	0.586	nečisto
prostitute	disgust	0.586	prostitutka
incubus	disgust	0.586	inkub
appalling	disgust	0.586	grozljivo
dreadful	disgust	0.586	grozljivo
pornography	disgust	0.586	pornografija
harass	disgust	0.586	nadlegovati
squeamish	disgust	0.578	škrtav
expulsion	disgust	0.578	izgon
unfaithful	disgust	0.578	nezvest
offensive	disgust	0.578	žaljivo
hypocrite	disgust	0.578	hinavec
humiliating	disgust	0.578	ponižujoče
larceny	disgust	0.578	tatvina
ruinous	disgust	0.578	pogubno
retard	disgust	0.578	retardiran
rash	disgust	0.578	izpuščaj
flea	disgust	0.578	bolha
debauchery	disgust	0.578	razuzdanost
fiend	disgust	0.578	hudič
quagmire	disgust	0.578	močvirje
conspirator	disgust	0.578	zarotnik
sick	disgust	0.578	bolan
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	pasja slabost
egregious	disgust	0.570	nenavadno
flog	disgust	0.570	bičati
despise	disgust	0.570	prezirati
treacherous	disgust	0.570	zahrbten
oppress	disgust	0.570	zatirati
swamp	disgust	0.570	močvirje
messy	disgust	0.570	neurejeno
spit	disgust	0.570	pljuvati
dank	disgust	0.570	vlažno
bastard	disgust	0.570	baraba
devastating	disgust	0.570	uničujoče
serpent	disgust	0.570	kača
loo	disgust	0.562	loo
indecent	disgust	0.562	nespodobno
insanity	disgust	0.562	norost
stealing	disgust	0.562	krasti
terrible	disgust	0.562	grozno
tyrannical	disgust	0.562	tiranski
humiliation	disgust	0.562	ponižanje
snake	disgust	0.562	kača
sloppy	disgust	0.562	površen
sinning	disgust	0.562	grešiti
harmful	disgust	0.562	škodljivo
harlot	disgust	0.562	vlačuga
sordid	disgust	0.562	umazan
enemy	disgust	0.562	sovražnik
alcoholism	disgust	0.562	alkoholizem
awful	disgust	0.562	grozno
ruthless	disgust	0.562	neusmiljen
scoundrel	disgust	0.562	podlež
bloody	disgust	0.555	krvav
flabby	disgust	0.555	mlahavo
odious	disgust	0.555	odvraten
beastly	disgust	0.555	zversko
collusion	disgust	0.555	tajno dogovarjanje
ridicule	disgust	0.555	posmeh
discriminating	disgust	0.555	diskriminatoren
unattractive	disgust	0.555	neprivlačna
insufferable	disgust	0.555	nevzdržno
segregate	disgust	0.555	ločiti
arsenic	disgust	0.555	arzen
threatening	disgust	0.555	grozeče
atrophy	disgust	0.555	atrofija
varicella	disgust	0.555	norice
slayer	disgust	0.555	ubijalec
distaste	disgust	0.555	gnus
coward	disgust	0.555	strahopetec
robbery	disgust	0.555	rop
wickedness	disgust	0.555	hudobija
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	zlonamerno
sty	disgust	0.547	hleva
pillage	disgust	0.547	ropanje
thief	disgust	0.547	tat
suffocating	disgust	0.547	zadušljivo
condemnation	disgust	0.547	obsojanje
deleterious	disgust	0.547	škodljivo
slur	disgust	0.547	blatiti
purgatory	disgust	0.547	čistilnica
attacking	disgust	0.547	napadajoč
burglar	disgust	0.547	vlomilec
ogre	disgust	0.547	oger
coercion	disgust	0.547	prisila
vesicular	disgust	0.547	vezikularni
miserable	disgust	0.547	bedno
bitterly	disgust	0.547	grenko
sneer	disgust	0.539	posmeh
greedy	disgust	0.539	požrešen
gob	disgust	0.539	gob
repellant	disgust	0.539	repelent
jealous	disgust	0.539	ljubosumen
drunken	disgust	0.539	pijana
shame	disgust	0.539	sramota
thrash	disgust	0.539	mlatiti
fatty	disgust	0.539	maščobna
liar	disgust	0.539	lažnivec
imprisoned	disgust	0.539	zaprt
sloth	disgust	0.539	lenuh
repudiation	disgust	0.539	zavračanje
disgrace	disgust	0.539	sramota
infidelity	disgust	0.539	nezvestoba
pig	disgust	0.539	prašič
lethal	disgust	0.536	smrtonosno
burnt	disgust	0.531	zažgan
brawl	disgust	0.531	prepir
withered	disgust	0.531	ovenel
blemish	disgust	0.531	madež
hydrocephalus	disgust	0.531	hidrocefalus
aberration	disgust	0.531	aberacija
smuggler	disgust	0.531	tihotapec
painful	disgust	0.531	boleče
condescension	disgust	0.531	prizanesljivost
intolerant	disgust	0.531	nestrpen
blasphemous	disgust	0.531	bogokletno
lying	disgust	0.531	laganje
hanging	disgust	0.531	visi
travesty	disgust	0.531	travestija
ruined	disgust	0.531	uničen
intrusive	disgust	0.531	vsiljiv
disintegrate	disgust	0.531	razpadejo
destructive	disgust	0.531	uničujoče
neurotic	disgust	0.531	nevrotik
disparaging	disgust	0.523	zaničevalen
blighted	disgust	0.523	pokvarjeno
intolerance	disgust	0.523	nestrpnost
mistress	disgust	0.523	ljubica
avarice	disgust	0.523	pohlep
disgraced	disgust	0.523	osramočen
derogation	disgust	0.523	odstopanje
rubbish	disgust	0.523	smeti
accusation	disgust	0.523	obtožba
incarceration	disgust	0.523	zaprtje
tortious	disgust	0.516	deliktna
dishonor	disgust	0.516	nečast
stink	disgust	0.516	smrad
grim	disgust	0.516	mračno
rob	disgust	0.516	oropati
defraud	disgust	0.516	ogoljufati
sump	disgust	0.516	zbiralnik
cringe	disgust	0.516	zgroziti se
vulture	disgust	0.516	jastreb
deplorable	disgust	0.516	obžalovanja vredno
mite	disgust	0.516	pršica
eradication	disgust	0.516	izkoreninjenje
degrade	disgust	0.516	degradirati
gutter	disgust	0.516	žleb
convict	disgust	0.516	obsojenec
remains	disgust	0.516	ostanki
betray	disgust	0.516	izdati
daemon	disgust	0.516	daemon
sham	disgust	0.509	lažna
distasteful	disgust	0.508	neokusno
prisoner	disgust	0.508	zapornik
dreadfully	disgust	0.508	grozljivo
worthless	disgust	0.508	ničvredno
crude	disgust	0.508	surovo
delirium	disgust	0.508	delirij
incurable	disgust	0.508	neozdravljivo
smelling	disgust	0.508	vonj
idiocy	disgust	0.508	idiotizem
resentment	disgust	0.508	zamera
bombed	disgust	0.508	bombardiran
blob	disgust	0.508	madež
cheat	disgust	0.508	goljufati
schizophrenia	disgust	0.508	shizofrenija
rejection	disgust	0.508	zavrnitev
belittle	disgust	0.508	omalovaževati
glut	disgust	0.508	prenasičenost
disaster	disgust	0.508	nesreča
distress	disgust	0.508	stiska
pest	disgust	0.508	škodljivec
endemic	disgust	0.508	endemična
theft	disgust	0.500	tatvina
banish	disgust	0.500	izgnati
mire	disgust	0.500	mire
flagrant	disgust	0.500	očiten
derision	disgust	0.500	posmeh
dirt	disgust	0.500	umazanija
screaming	disgust	0.500	kričanje
offense	disgust	0.500	prekršek
jealousy	disgust	0.500	ljubosumje
bribery	disgust	0.500	podkupovanje
polemic	disgust	0.500	polemika
blight	disgust	0.500	okvaro
impeach	disgust	0.500	obtožba
bitterness	disgust	0.500	grenkoba
taboo	disgust	0.500	tabu
duress	disgust	0.500	prisila
goblin	disgust	0.500	goblin
shackle	disgust	0.500	okov
idolatry	disgust	0.500	malikovalstvo
greed	disgust	0.500	pohlep
impurity	disgust	0.500	nečistoča
tirade	disgust	0.500	tirada
idiot	disgust	0.492	idiot
boil	disgust	0.492	zavreti
unconscionable	disgust	0.492	brezvestno
disreputable	disgust	0.492	neugleden
robber	disgust	0.492	ropar
malign	disgust	0.492	maligni
wreck	disgust	0.492	razbitina
recession	disgust	0.492	recesija
gorge	disgust	0.492	soteska
leer	disgust	0.492	leer
ill	disgust	0.492	bolan
squirm	disgust	0.492	zvijati se
raging	disgust	0.484	divjanje
servile	disgust	0.484	servilen
mess	disgust	0.484	nered
nappy	disgust	0.484	plenička
possessed	disgust	0.484	obseden
unbearable	disgust	0.484	neznosen
occult	disgust	0.484	okultno
contraband	disgust	0.484	tihotapsko blago
snarl	disgust	0.484	zarežati
mutiny	disgust	0.484	upor
mad	disgust	0.484	nora
affliction	disgust	0.484	nadloga
stain	disgust	0.484	madež
animosity	disgust	0.484	sovražnost
contempt	disgust	0.484	prezir
tramp	disgust	0.484	potepuh
nepotism	disgust	0.484	nepotizem
disrespectful	disgust	0.484	nespoštljivo
defamation	disgust	0.484	obrekovanje
inexcusable	disgust	0.484	neopravičljivo
aversation	disgust	0.484	odpor
wasteful	disgust	0.484	potraten
offender	disgust	0.484	storilec
subjugation	disgust	0.484	podrejanje
illegality	disgust	0.477	nezakonitost
dismal	disgust	0.477	žalosten
criminal	disgust	0.477	zločinec
unpleasant	disgust	0.477	neprijetno
palsy	disgust	0.477	paraliza
antagonistic	disgust	0.477	antagonistično
pathetic	disgust	0.477	pomilovanja vreden
uncaring	disgust	0.477	brezbrižen
suppression	disgust	0.477	zatiranje
immorality	disgust	0.477	nemoralnost
mockery	disgust	0.477	norčevanje
outrage	disgust	0.469	ogorčenje
mocking	disgust	0.469	posmehljiv
wallow	disgust	0.469	valjati se
cough	disgust	0.469	kašelj
arrogant	disgust	0.469	aroganten
angry	disgust	0.469	jezen
poverty	disgust	0.469	revščina
grating	disgust	0.469	rešetka
livid	disgust	0.469	lividen
aggravation	disgust	0.469	poslabšanje
repellent	disgust	0.469	repelent
perspiration	disgust	0.469	potenje
banishment	disgust	0.469	izgon
furious	disgust	0.469	besen
shoddy	disgust	0.469	zanič
banshee	disgust	0.469	banshee
deceive	disgust	0.461	zavajati
fool	disgust	0.461	norec
quack	disgust	0.461	šarlatan
distorted	disgust	0.461	izkrivljeno
spider	disgust	0.461	pajek
unjustifiable	disgust	0.461	neupravičeno
deplore	disgust	0.461	obžalovati
spurious	disgust	0.461	lažno
perdition	disgust	0.461	poguba
muddy	disgust	0.461	blatno
fraudulent	disgust	0.461	goljufivo
scar	disgust	0.461	brazgotina
prick	disgust	0.461	vbod
insulting	disgust	0.461	žaljivo
plunder	disgust	0.461	pleniti
recklessness	disgust	0.461	nepremišljenost
stigma	disgust	0.453	stigma
disparage	disgust	0.453	omalovaževanje
unthinkable	disgust	0.453	nepredstavljivo
disingenuous	disgust	0.453	neiskren
bane	disgust	0.453	poguba
dishonest	disgust	0.453	nepošten
aphid	disgust	0.453	listna uš
elimination	disgust	0.453	izločanje
cur	disgust	0.453	cur
selfish	disgust	0.453	sebičen
eschew	disgust	0.453	izogibati se
dire	disgust	0.453	hudo
indignation	disgust	0.453	ogorčenje
antipathy	disgust	0.453	antipatija
alienate	disgust	0.453	odtujiti
mosquito	disgust	0.445	komar
piles	disgust	0.445	kupčki
pious	disgust	0.445	pobožen
lie	disgust	0.445	laž
opium	disgust	0.445	opij
smell	disgust	0.445	vonj
iniquity	disgust	0.445	krivica
caries	disgust	0.445	kariesa
despair	disgust	0.445	obup
recalcitrant	disgust	0.445	preračunljiv
egotistical	disgust	0.445	egoističen
wasted	disgust	0.445	zapravljen
vacuous	disgust	0.445	prazen
bankruptcy	disgust	0.445	bankrot
garish	disgust	0.445	kričeč
obnoxious	disgust	0.438	neprijeten
ashamed	disgust	0.438	sramovati se
abject	disgust	0.438	abject
sticky	disgust	0.438	lepljivo
scream	disgust	0.438	kričati
hopelessness	disgust	0.438	brezupnost
homeless	disgust	0.438	brezdomec
shun	disgust	0.438	izogibati se
inmate	disgust	0.438	zapornik
alien	disgust	0.438	tujec
hog	disgust	0.438	prašič
aversion	disgust	0.438	odpor
abnormal	disgust	0.438	nenormalno
cursing	disgust	0.430	preklinjanje
undesirable	disgust	0.430	nezaželeno
denounce	disgust	0.430	obtožiti
witch	disgust	0.430	čarovnica
creature	disgust	0.430	bitje
lusty	disgust	0.430	poželen
illegal	disgust	0.430	nezakonito
debris	disgust	0.430	ostanki
callous	disgust	0.430	brezčuten
reflux	disgust	0.430	refluks
adverse	disgust	0.430	neugoden
shameless	disgust	0.430	brez sramu
separatist	disgust	0.430	separatist
trickery	disgust	0.430	zvijača
falsity	disgust	0.430	lažnost
pall	disgust	0.430	pall
defiance	disgust	0.430	kljubovanje
incredulous	disgust	0.430	nejeveren
curse	disgust	0.430	prekletstvo
pompous	disgust	0.422	pompozno
socialist	disgust	0.422	socialist
mistrust	disgust	0.422	nezaupanje
infantile	disgust	0.422	infantilno
wasting	disgust	0.422	zapravljanje
hairy	disgust	0.422	poraščen
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	odpoved
collapse	disgust	0.422	kolaps
untidy	disgust	0.422	neurejeno
ferocious	disgust	0.422	divji
ammonia	disgust	0.422	amoniak
carelessness	disgust	0.422	malomarnost
impure	disgust	0.422	nečisto
contentious	disgust	0.422	sporen
bum	disgust	0.422	potepuh
affront	disgust	0.422	žalitev
offend	disgust	0.422	užaliti
tarnish	disgust	0.422	očrniti
idiotic	disgust	0.422	idiotski
badness	disgust	0.422	slabost
delinquent	disgust	0.422	prestopnik
swarm	disgust	0.422	roj
hypertrophy	disgust	0.422	hipertrofija
gush	disgust	0.422	bruhati
tasteless	disgust	0.422	brez okusa
bovine	disgust	0.422	goveji
slush	disgust	0.422	brozga
litigious	disgust	0.414	pravdni
dishonesty	disgust	0.414	nepoštenost
vegetative	disgust	0.414	vegetativno
unfavorable	disgust	0.414	neugoden
displacency	disgust	0.414	izpodrivanje
illegitimate	disgust	0.414	nelegitimen
sour	disgust	0.414	kislo
socialism	disgust	0.414	socializem
disobey	disgust	0.414	ne ubogati
drivel	disgust	0.414	neumnost
vampire	disgust	0.414	vampir
neglected	disgust	0.414	zanemarjen
murky	disgust	0.414	mračno
ignorant	disgust	0.406	nevedni
disgruntled	disgust	0.406	nezadovoljen
discontinuity	disgust	0.406	diskontinuiteta
dislike	disgust	0.406	ne maram
unlawful	disgust	0.406	nezakonito
wrongdoing	disgust	0.406	napačno ravnanje
shoplifting	disgust	0.406	kraje v trgovinah
recidivism	disgust	0.406	recidivizem
outcast	disgust	0.406	izobčenec
bogus	disgust	0.406	lažno
displeasure	disgust	0.406	nezadovoljstvo
repel	disgust	0.406	odbijati
falsify	disgust	0.406	ponarejati
ungrateful	disgust	0.406	nehvaležen
unkind	disgust	0.406	neprijazen
phony	disgust	0.406	lažno
prosecution	disgust	0.406	pregon
woe	disgust	0.398	gorje
averse	disgust	0.398	nenaklonjen
loon	disgust	0.398	loon
worsening	disgust	0.398	poslabšanje
paucity	disgust	0.398	pomanjkljivost
unnatural	disgust	0.398	nenaravno
amphetamines	disgust	0.398	amfetamini
senseless	disgust	0.398	nesmiselno
rigor	disgust	0.398	strogost
subvert	disgust	0.398	podrejati
failure	disgust	0.398	neuspeh
lick	disgust	0.398	lizati
unruly	disgust	0.398	neukrotljiv
woefully	disgust	0.398	žalostno
stingy	disgust	0.398	skop
crushing	disgust	0.398	drobljenje
disdain	disgust	0.398	prezir
insult	disgust	0.393	žalitev
averseness	disgust	0.391	averznost
disrelish	disgust	0.391	nesramnost
punished	disgust	0.391	kaznovan
critter	disgust	0.391	bitja
damage	disgust	0.391	poškodbe
scorpion	disgust	0.391	škorpijon
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muf
farcical	disgust	0.391	farsično
antisocial	disgust	0.391	antisocialno
hardened	disgust	0.391	utrjena
punishment	disgust	0.391	kazen
bad	disgust	0.391	slab
expel	disgust	0.391	izgnati
surly	disgust	0.383	surly
lament	disgust	0.383	objokovati
illiterate	disgust	0.383	nepismen
divorce	disgust	0.383	ločitev
teeming	disgust	0.383	kipi
plagiarism	disgust	0.383	plagiat
eviction	disgust	0.383	izselitev
orc	disgust	0.383	orc
disappoint	disgust	0.383	razočarati
shabby	disgust	0.383	zanikrno
presumptuous	disgust	0.383	prevzeten
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	razdor
guilt	disgust	0.383	krivda
fugitive	disgust	0.383	ubežnik
irrational	disgust	0.383	neracionalno
adder	disgust	0.383	seštevalnik
fulsome	disgust	0.383	fulsome
sacrifices	disgust	0.383	žrtve
hypocritical	disgust	0.383	hinavski
shock	disgust	0.375	šok
alienation	disgust	0.375	odtujenost
scoff	disgust	0.375	posmehovati se
plight	disgust	0.375	stiski
irritation	disgust	0.375	draženje
unworthy	disgust	0.375	nevreden
misconduct	disgust	0.375	neprimerno vedenje
defective	disgust	0.375	okvarjen
blame	disgust	0.375	krivda
depressing	disgust	0.375	depresivno
dislocated	disgust	0.375	dislocirano
irritating	disgust	0.375	razdražljiv
vainly	disgust	0.367	zaman
toad	disgust	0.367	krastača
powerless	disgust	0.367	nemočen
coerce	disgust	0.367	prisiliti
shuddering	disgust	0.367	drgetanje
stripped	disgust	0.367	slečen
revoke	disgust	0.367	preklicati
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	nezdravo
exclusion	disgust	0.367	izključitev
disillusionment	disgust	0.367	razočaranje
blatant	disgust	0.367	očitno
hurtful	disgust	0.367	boleče
hoax	disgust	0.367	potegavščina
wimp	disgust	0.367	slabec
cad	disgust	0.367	kad
pitfall	disgust	0.367	past
squelch	disgust	0.367	dušenje
deserted	disgust	0.359	zapuščen
damn	disgust	0.359	prekleto
incompatible	disgust	0.359	nezdružljivo
dispose	disgust	0.359	odstraniti
oddity	disgust	0.359	nenavadnost
rebellion	disgust	0.359	upor
ineptitude	disgust	0.359	nesposobnost
bug	disgust	0.359	napaka
disobedience	disgust	0.359	neposlušnost
inept	disgust	0.352	nesposoben
litigate	disgust	0.352	soditi
dismissal	disgust	0.352	odpuščanje
cutting	disgust	0.352	rezanje
untoward	disgust	0.352	neprijazen
displeased	disgust	0.352	nezadovoljen
censor	disgust	0.352	cenzor
ridiculous	disgust	0.352	smešno
compost	disgust	0.352	kompost
frustrate	disgust	0.352	frustrirati
misbehavior	disgust	0.352	neprimerno vedenje
lawyer	disgust	0.352	odvetnik
crushed	disgust	0.352	zdrobljen
flesh	disgust	0.352	meso
uncertain	disgust	0.352	negotova
obi	disgust	0.352	obi
flinch	disgust	0.352	zdrzniti
fierce	disgust	0.352	hud
wrongful	disgust	0.352	nezakonito
depreciate	disgust	0.344	amortizirati
disapprove	disgust	0.344	ne odobravajo
tearful	disgust	0.344	solzne
grumble	disgust	0.336	godrnjati
unsettled	disgust	0.336	neurejeno
annoy	disgust	0.336	nagajati
exigent	disgust	0.336	zahteven
heartsick	disgust	0.336	srčna
lawsuit	disgust	0.336	tožba
discoloration	disgust	0.336	razbarvanje
lumpy	disgust	0.336	grudast
daft	disgust	0.336	neumen
blunder	disgust	0.336	zmota
discontent	disgust	0.336	nezadovoljstvo
bickering	disgust	0.336	prepiranje
thoughtless	disgust	0.336	nepremišljeno
disliked	disgust	0.336	ni všeč
disinclination	disgust	0.336	nenaklonjenost
distrust	disgust	0.336	nezaupanje
disallowed	disgust	0.336	nedovoljeno
instability	disgust	0.328	nestabilnost
hydrophobia	disgust	0.328	hidrofobija
whine	disgust	0.328	cviliti
inhibit	disgust	0.328	zavirati
excluded	disgust	0.328	izključena
provoking	disgust	0.328	provociranje
grievance	disgust	0.328	pritožba
unmanageable	disgust	0.328	neobvladljiv
sly	disgust	0.328	zvit
exasperation	disgust	0.328	ogorčenje
cacophony	disgust	0.328	kakofonija
unsatisfactory	disgust	0.328	nezadovoljivo
disappointed	disgust	0.328	razočaran
materialist	disgust	0.328	materialist
misleading	disgust	0.321	zavajajoče
mishap	disgust	0.320	nesreča
soot	disgust	0.320	saje
humbug	disgust	0.320	ponaredek
disclaim	disgust	0.320	zavrniti
annoyance	disgust	0.320	sitnost
disapproving	disgust	0.320	neodobravanje
disservice	disgust	0.320	medvedja storitev
reproach	disgust	0.320	očitek
confined	disgust	0.320	zaprta
unequal	disgust	0.320	neenakopravni
rags	disgust	0.320	cunje
groan	disgust	0.320	stokanje
soil	disgust	0.312	prst
inappropriate	disgust	0.312	neprimerno
criticize	disgust	0.312	kritizirati
disincline	disgust	0.312	nenaklonjenost
theism	disgust	0.312	teizem
depreciated	disgust	0.312	amortizirano
inconsiderate	disgust	0.312	brezobzirno
overpriced	disgust	0.312	precenjen
stomach	disgust	0.312	želodec
burke	disgust	0.312	burke
sneeze	disgust	0.312	kihanje
gall	disgust	0.305	žolč
bang	disgust	0.305	pok
inadmissible	disgust	0.305	nedopustno
unfriendly	disgust	0.305	neprijazen
unaccountable	disgust	0.305	neodgovoren
disparity	disgust	0.305	nesorazmerje
latent	disgust	0.305	latentno
disliking	disgust	0.305	ne maram
shack	disgust	0.305	baraka
grumpy	disgust	0.305	čemeren
coop	disgust	0.304	coop
disappointment	disgust	0.297	razočaranje
scold	disgust	0.297	grajati
delay	disgust	0.297	zamuda
congress	disgust	0.297	kongresu
growling	disgust	0.297	renčanje
backwards	disgust	0.297	nazaj
soreness	disgust	0.297	bolečina
disregarded	disgust	0.297	neupoštevati
rogue	disgust	0.297	lopov
lonely	disgust	0.297	osamljen
notoriety	disgust	0.289	razvpitost
catechism	disgust	0.289	katekizem
flop	disgust	0.289	flop
infamous	disgust	0.289	zloglasno
janitor	disgust	0.289	hišnik
nettle	disgust	0.289	kopriva
saturated	disgust	0.281	nasičen
prohibited	disgust	0.281	prepovedano
gaby	disgust	0.281	gaby
wince	disgust	0.281	zdrzniti
desist	disgust	0.281	opustiti
unfair	disgust	0.281	nepošteno
aftermath	disgust	0.281	posledice
remiss	disgust	0.281	remiss
tribunal	disgust	0.273	razsodišče
discolored	disgust	0.273	razbarvan
wrangling	disgust	0.273	prepir
uneasy	disgust	0.273	nelagodno
huff	disgust	0.273	huff
weird	disgust	0.266	čudno
impolite	disgust	0.266	nevljuden
swig	disgust	0.266	požirek
crawl	disgust	0.266	plaziti se
unsatisfied	disgust	0.266	nezadovoljen
inefficiency	disgust	0.266	neučinkovitost
frantic	disgust	0.266	podivjan
bureaucrat	disgust	0.266	birokrat
politic	disgust	0.266	politika
coldness	disgust	0.266	hladnost
gruff	disgust	0.258	osorno
octopus	disgust	0.258	hobotnica
chagrin	disgust	0.258	žalost
barrow	disgust	0.258	barrow
copycat	disgust	0.258	posnemalec
incase	disgust	0.258	v primeru
rascal	disgust	0.258	nesramnik
sarcasm	disgust	0.258	sarkazem
instinctive	disgust	0.258	instinktivno
misconception	disgust	0.250	napačno prepričanje
disinclined	disgust	0.250	nenaklonjen
john	disgust	0.250	Janez
hulk	disgust	0.250	hulk
baboon	disgust	0.250	pavijan
shanghai	disgust	0.250	Šanghaj
