English Word	Emotion	Emotion-Intensity-Score	Chinese-Simplified Word
prepared	anticipation	0.438	准备好的
rabid	anticipation	0.438	狂热的
plea	anticipation	0.438	恳求
medical	anticipation	0.438	医疗的
passenger	anticipation	0.438	乘客
charitable	anticipation	0.430	慈善
tabulate	anticipation	0.430	制表
peace	anticipation	0.430	和平
install	anticipation	0.430	安装
serenity	anticipation	0.430	宁静
venerable	anticipation	0.430	可敬
spa	anticipation	0.430	温泉
labyrinth	anticipation	0.430	迷宫
luscious	anticipation	0.430	甜美
perpetuate	anticipation	0.430	延续
strategist	anticipation	0.430	战略家
unverified	anticipation	0.430	未经验证
tribunal	anticipation	0.430	法庭
clap	anticipation	0.430	拍
peaceful	anticipation	0.422	平静的
patience	anticipation	0.422	耐心
unresolved	anticipation	0.422	未解决
worship	anticipation	0.422	崇拜
edification	anticipation	0.422	熏陶
oasis	anticipation	0.422	绿洲
grin	anticipation	0.422	咧嘴笑
revere	anticipation	0.422	尊敬
candid	anticipation	0.422	坦率
vista	anticipation	0.422	远景
conspirator	anticipation	0.422	同谋
adrift	anticipation	0.422	漂流
recognizable	anticipation	0.422	可识别的
volatility	anticipation	0.422	挥发性
forestall	anticipation	0.422	垄断
laughter	anticipation	0.422	笑声
continue	anticipation	0.414	继续
ongoing	anticipation	0.414	进行中
astrologer	anticipation	0.414	占星家
mediate	anticipation	0.414	调解
punctual	anticipation	0.414	准时
grant	anticipation	0.414	授予
morn	anticipation	0.414	早晨
pretty	anticipation	0.414	漂亮的
withstand	anticipation	0.414	经受
frisky	anticipation	0.414	活泼的
thought	anticipation	0.414	想法
probation	anticipation	0.414	缓刑
ordination	anticipation	0.414	受戒
calls	anticipation	0.414	来电
detainee	anticipation	0.414	被拘留者
craps	anticipation	0.414	掷骰子
weigh	anticipation	0.414	称重
proficiency	anticipation	0.414	熟练度
sing	anticipation	0.411	唱歌
continuation	anticipation	0.406	继续
university	anticipation	0.406	大学
chicane	anticipation	0.406	弯道
nurture	anticipation	0.406	培育
mother	anticipation	0.406	母亲
punished	anticipation	0.406	受到惩罚
twinkle	anticipation	0.406	闪烁
confession	anticipation	0.406	忏悔
outdo	anticipation	0.406	超越
prophylactic	anticipation	0.406	预防性的
proud	anticipation	0.406	自豪的
midwife	anticipation	0.406	助产士
wizard	anticipation	0.406	向导
headlight	anticipation	0.406	大灯
long	anticipation	0.406	长
banquet	anticipation	0.406	宴会
comfort	anticipation	0.406	舒适
navigable	anticipation	0.406	可通航
subscribe	anticipation	0.406	订阅
opponent	anticipation	0.406	对手
debenture	anticipation	0.406	债券
deal	anticipation	0.402	交易
symphony	anticipation	0.398	交响乐
saintly	anticipation	0.398	圣洁的
judiciary	anticipation	0.398	司法
lettered	anticipation	0.398	字母
vigil	anticipation	0.398	守夜
reliance	anticipation	0.398	依赖
distracting	anticipation	0.398	分散注意力
mortification	anticipation	0.398	屈辱
balm	anticipation	0.398	香脂
simmer	anticipation	0.398	煨
top	anticipation	0.398	最佳
obliging	anticipation	0.398	有义务的
efficient	anticipation	0.398	高效的
guillotine	anticipation	0.398	断头台
representing	anticipation	0.398	代表
death	anticipation	0.398	死亡
assurance	anticipation	0.391	保证
familiarity	anticipation	0.391	熟悉度
depraved	anticipation	0.391	堕落的
condemnation	anticipation	0.391	谴责
undoubted	anticipation	0.391	毫无疑问
sanctify	anticipation	0.391	成圣
diplomacy	anticipation	0.391	外交
antidote	anticipation	0.391	解毒剂
trust	anticipation	0.391	相信
linger	anticipation	0.391	萦绕
objective	anticipation	0.391	客观的
chuckle	anticipation	0.391	轻笑
poke	anticipation	0.391	戳
abeyance	anticipation	0.391	暂停
maternal	anticipation	0.391	母体
art	anticipation	0.391	艺术
unfulfilled	anticipation	0.391	未完成
inoculation	anticipation	0.384	接种
simplify	anticipation	0.383	简化
depend	anticipation	0.383	依靠
chant	anticipation	0.383	呗
ram	anticipation	0.383	内存
banger	anticipation	0.383	砰砰
playground	anticipation	0.383	操场
labor	anticipation	0.383	劳动
scientist	anticipation	0.383	科学家
good	anticipation	0.383	好的
humanitarian	anticipation	0.383	人道主义
failing	anticipation	0.383	失败
hap	anticipation	0.383	快乐
dutiful	anticipation	0.383	尽职尽责
hymn	anticipation	0.383	圣歌
ship	anticipation	0.383	船
discretion	anticipation	0.383	审慎
undecided	anticipation	0.383	未定
gradual	anticipation	0.375	渐进的
navigator	anticipation	0.375	航海家
track	anticipation	0.375	追踪
cradle	anticipation	0.375	摇篮
sterling	anticipation	0.375	英镑
interim	anticipation	0.375	临时
clock	anticipation	0.375	钟
mountain	anticipation	0.375	山
interminable	anticipation	0.375	没完没了
public	anticipation	0.375	上市
recurrent	anticipation	0.375	经常性的
savor	anticipation	0.375	品尝
abide	anticipation	0.367	遵守
concealed	anticipation	0.367	暗
spear	anticipation	0.367	矛
lesson	anticipation	0.367	课
instructions	anticipation	0.367	指示
sonar	anticipation	0.367	声纳
biennial	anticipation	0.367	双年展
convince	anticipation	0.367	说服
whim	anticipation	0.367	心血来潮
shiver	anticipation	0.367	颤抖
towering	anticipation	0.367	参天
musical	anticipation	0.367	音乐
offset	anticipation	0.359	抵消
theory	anticipation	0.359	理论
theology	anticipation	0.359	神学
undying	anticipation	0.359	不朽
timidity	anticipation	0.359	胆怯
plump	anticipation	0.359	丰满
atone	anticipation	0.359	赎罪
audience	anticipation	0.357	观众
dietary	anticipation	0.352	饮食
consecration	anticipation	0.352	奉献
localize	anticipation	0.352	本地化
paragon	anticipation	0.352	模范
store	anticipation	0.352	店铺
farm	anticipation	0.352	农场
daily	anticipation	0.352	日常的
cramp	anticipation	0.352	抽筋
nobility	anticipation	0.352	贵族
closure	anticipation	0.352	关闭
edition	anticipation	0.352	版
kindred	anticipation	0.352	亲属
stripped	anticipation	0.344	剥离
errand	anticipation	0.344	差事
archaeology	anticipation	0.344	考古学
mutable	anticipation	0.344	可变的
wireless	anticipation	0.344	无线
meditate	anticipation	0.344	幽思
mobile	anticipation	0.344	移动的
germ	anticipation	0.336	胚芽
brotherly	anticipation	0.336	兄弟般的
lessen	anticipation	0.336	减少
unbeaten	anticipation	0.336	不败
pare	anticipation	0.336	削减
buddy	anticipation	0.336	伙伴
unaccountable	anticipation	0.336	不负责任的
dove	anticipation	0.328	鸽子
patient	anticipation	0.328	病人
secular	anticipation	0.328	世俗
digress	anticipation	0.328	离题
chastity	anticipation	0.328	贞洁
council	anticipation	0.328	理事会
olfactory	anticipation	0.328	嗅觉
ribbon	anticipation	0.328	丝带
possess	anticipation	0.328	具有
disposed	anticipation	0.320	处置
scrutinize	anticipation	0.320	细看
immature	anticipation	0.320	不成熟
mediator	anticipation	0.320	调解员
regularity	anticipation	0.320	规律性
cove	anticipation	0.320	湾
infanticide	anticipation	0.320	杀婴
paddle	anticipation	0.320	桨
heft	anticipation	0.320	重量
fancy	anticipation	0.320	想要
preservative	anticipation	0.320	防腐剂
unpublished	anticipation	0.312	未发表
church	anticipation	0.312	教会
bugle	anticipation	0.312	号角
grim	anticipation	0.312	严峻
denying	anticipation	0.312	否认
analyst	anticipation	0.312	分析师
judicial	anticipation	0.305	司法
priesthood	anticipation	0.305	圣职
broadside	anticipation	0.305	宽边
mill	anticipation	0.305	磨
dismay	anticipation	0.297	沮丧
cap	anticipation	0.297	帽
thermocouple	anticipation	0.297	热电偶
tributary	anticipation	0.297	支流
instructor	anticipation	0.297	讲师
exhaustion	anticipation	0.297	筋疲力尽
saliva	anticipation	0.297	唾液
cataract	anticipation	0.289	白内障
network	anticipation	0.289	网络
visor	anticipation	0.289	遮阳板
shackle	anticipation	0.289	枷锁
wont	anticipation	0.289	惯于
addresses	anticipation	0.289	地址
discreet	anticipation	0.289	慎重
noncompliance	anticipation	0.289	不合规
bruise	anticipation	0.289	挫伤
homeless	anticipation	0.289	无家可归
astronomer	anticipation	0.281	天文学家
skewed	anticipation	0.281	歪斜的
neighbor	anticipation	0.281	邻居
holiness	anticipation	0.273	圣洁
devil	anticipation	0.273	魔鬼
picket	anticipation	0.273	纠察
sentence	anticipation	0.273	句子
latent	anticipation	0.273	潜
cream	anticipation	0.273	奶油
immaturity	anticipation	0.273	不成熟
habitual	anticipation	0.266	习惯性的
morals	anticipation	0.266	德
neighborhood	anticipation	0.266	邻里
lull	anticipation	0.266	麻痹
bye	anticipation	0.258	再见
weight	anticipation	0.258	重量
organ	anticipation	0.250	器官
clown	anticipation	0.250	小丑
forearm	anticipation	0.250	前臂
commonplace	anticipation	0.242	平凡
quote	anticipation	0.242	引用
rail	anticipation	0.234	轨
dictatorship	anticipation	0.234	专政
treadmill	anticipation	0.234	跑步机
board	anticipation	0.234	木板
tree	anticipation	0.227	树
sundial	anticipation	0.227	晷
paralysis	anticipation	0.211	麻痹
cement	anticipation	0.203	水泥
worm	anticipation	0.203	虫
organization	anticipation	0.203	组织
lagging	anticipation	0.180	落后
neutral	anticipation	0.148	中性的
cannibalism	disgust	0.953	自相残杀
mutilation	disgust	0.930	肢解
molestation	disgust	0.914	骚扰
incest	disgust	0.914	乱伦
rape	disgust	0.906	强奸
gonorrhea	disgust	0.906	淋病
cannibal	disgust	0.898	食人族
rot	disgust	0.891	腐烂
corpse	disgust	0.883	尸体
massacre	disgust	0.883	屠杀
excrement	disgust	0.883	粪便
barf	disgust	0.875	呕吐物
slaughter	disgust	0.875	屠宰
slaughterhouse	disgust	0.867	屠宰场
incestuous	disgust	0.859	乱伦的
sewerage	disgust	0.859	下水道
filth	disgust	0.859	污秽
bigot	disgust	0.859	偏执狂
rancid	disgust	0.859	馊
infestation	disgust	0.852	侵染
plague	disgust	0.852	瘟疫
holocaust	disgust	0.852	大屠杀
bloodthirsty	disgust	0.852	嗜血的
rotting	disgust	0.844	腐烂
fecal	disgust	0.844	粪便
maggot	disgust	0.844	蛆
feces	disgust	0.844	屎
murder	disgust	0.839	谋杀
asshole	disgust	0.836	混蛋
homicide	disgust	0.836	杀人
enslaved	disgust	0.836	被奴役
infanticide	disgust	0.836	杀婴
perverted	disgust	0.828	变态
excretion	disgust	0.828	排泄
gore	disgust	0.828	血块
slaughtering	disgust	0.828	屠宰
torture	disgust	0.828	折磨
contaminate	disgust	0.821	污染
revolting	disgust	0.820	令人反感
gory	disgust	0.820	血腥
shit	disgust	0.820	拉屎
terrorist	disgust	0.820	恐怖分子
murderer	disgust	0.820	凶手
repugnant	disgust	0.820	令人反感的
manure	disgust	0.820	肥料
pervert	disgust	0.820	变态
diarrhoea	disgust	0.820	腹泻
grotesque	disgust	0.820	怪诞的
desecration	disgust	0.820	亵渎
faeces	disgust	0.812	粪便
slavery	disgust	0.812	奴隶制
sewer	disgust	0.812	下水道
cadaver	disgust	0.812	尸体
manslaughter	disgust	0.812	误杀
dismemberment	disgust	0.812	肢解
vomit	disgust	0.812	呕吐
perverse	disgust	0.805	反常的
repulsive	disgust	0.805	丑恶
hemorrhage	disgust	0.805	出血
sewage	disgust	0.797	污水
filthy	disgust	0.797	污秽
diseased	disgust	0.797	病态的
depravity	disgust	0.797	堕落
carcass	disgust	0.795	胴体
decompose	disgust	0.789	分解
gruesome	disgust	0.789	可怕的
mutilated	disgust	0.789	残缺不全
puke	disgust	0.789	呕吐
herpes	disgust	0.789	疱疹
decayed	disgust	0.789	腐烂的
dung	disgust	0.789	粪
vermin	disgust	0.789	害虫
murderous	disgust	0.789	杀气腾腾
parasite	disgust	0.789	寄生虫
horrific	disgust	0.789	可怕的
carnage	disgust	0.781	大屠杀
malaria	disgust	0.781	疟疾
slime	disgust	0.781	粘液
flatulence	disgust	0.781	胀气
pestilence	disgust	0.781	瘟疫
crap	disgust	0.781	废话
monstrosity	disgust	0.781	怪物
loathsome	disgust	0.773	讨厌的
toxic	disgust	0.773	有毒的
morgue	disgust	0.773	停尸房
pus	disgust	0.773	脓
herpesvirus	disgust	0.773	疱疹病毒
leprosy	disgust	0.773	麻风
insidious	disgust	0.773	阴险
cruel	disgust	0.766	残忍的
regurgitation	disgust	0.766	反流
anthrax	disgust	0.766	炭疽病
xenophobia	disgust	0.766	仇外心理
repugnance	disgust	0.766	反感
lynch	disgust	0.766	私刑
revulsion	disgust	0.766	反感
whore	disgust	0.766	妓女
dissection	disgust	0.759	解剖
mucous	disgust	0.758	粘液
canker	disgust	0.758	溃疡
slum	disgust	0.758	贫民窟
infectious	disgust	0.758	传染性
evil	disgust	0.758	邪恶的
phlegm	disgust	0.758	痰
cruelty	disgust	0.758	残酷
perversion	disgust	0.758	变态
sinister	disgust	0.750	险恶
leeches	disgust	0.750	水蛭
corrupting	disgust	0.750	腐败的
decomposition	disgust	0.750	分解
abomination	disgust	0.742	厌恶
stinking	disgust	0.742	臭
bile	disgust	0.742	胆汁
demonic	disgust	0.742	恶魔般的
deranged	disgust	0.742	精神错乱
abhorrence	disgust	0.742	憎恶
soiled	disgust	0.742	弄脏了
mucus	disgust	0.742	粘液
septic	disgust	0.742	化粪池
sickening	disgust	0.742	令人作呕
demon	disgust	0.742	恶魔
cancer	disgust	0.734	癌症
obese	disgust	0.734	肥胖
degeneracy	disgust	0.734	退化
despicable	disgust	0.734	卑鄙
atrocity	disgust	0.734	暴行
foul	disgust	0.734	犯规
sicken	disgust	0.734	恶心
crucifixion	disgust	0.734	钉十字架
terrorism	disgust	0.734	恐怖主义
repulsion	disgust	0.727	排斥力
morbidity	disgust	0.727	发病率
dysentery	disgust	0.727	痢
enema	disgust	0.727	灌肠
bacterium	disgust	0.727	细菌
dirty	disgust	0.727	肮脏的
adultery	disgust	0.727	通奸
contamination	disgust	0.727	污染
grisly	disgust	0.727	可怕的
diabolical	disgust	0.727	恶魔般的
autopsy	disgust	0.719	尸检
barbaric	disgust	0.719	野蛮
vulgar	disgust	0.719	庸俗
entrails	disgust	0.719	内脏
disgust	disgust	0.719	厌恶
lewd	disgust	0.719	猥亵
muck	disgust	0.719	渣
bowels	disgust	0.719	肠子
garbage	disgust	0.719	垃圾
deterioration	disgust	0.719	恶化
contagion	disgust	0.719	传染
vicious	disgust	0.719	恶毒
disfigured	disgust	0.719	毁容
pungent	disgust	0.719	泼辣
gross	disgust	0.719	总的
bloodshed	disgust	0.714	流血事件
gag	disgust	0.711	插科打诨
pollute	disgust	0.711	污染
nausea	disgust	0.711	恶心
tyrant	disgust	0.711	暴君
wretched	disgust	0.711	可怜
mortification	disgust	0.711	屈辱
violent	disgust	0.711	暴力
poisoned	disgust	0.711	中毒
nauseate	disgust	0.703	恶心
slimy	disgust	0.703	黏糊糊的
grope	disgust	0.703	摸索
slut	disgust	0.703	荡妇
nasty	disgust	0.703	讨厌
disgusting	disgust	0.703	恶心
depraved	disgust	0.703	堕落的
porn	disgust	0.703	A片
hateful	disgust	0.703	可恶
vulgarity	disgust	0.703	粗俗
noxious	disgust	0.703	有害的
grime	disgust	0.703	污垢
constipation	disgust	0.703	便秘
secretion	disgust	0.703	分泌
poisoning	disgust	0.703	中毒
despotism	disgust	0.703	专制
measles	disgust	0.696	麻疹
contagious	disgust	0.695	传染性的
obesity	disgust	0.695	肥胖
wart	disgust	0.695	疣
hate	disgust	0.695	恨
hellish	disgust	0.695	地狱般的
scum	disgust	0.695	浮渣
suicidal	disgust	0.695	自杀的
wretch	disgust	0.695	可怜的
abuse	disgust	0.695	虐待
waste	disgust	0.695	浪费
intestinal	disgust	0.695	肠
heartworm	disgust	0.688	心丝虫
ooze	disgust	0.688	软泥
treason	disgust	0.688	叛国罪
contaminated	disgust	0.688	污染
smut	disgust	0.688	黑穗病
disease	disgust	0.688	疾病
rabid	disgust	0.688	狂热的
deformed	disgust	0.680	变形
hell	disgust	0.680	地狱
soulless	disgust	0.680	没有灵魂的
cholera	disgust	0.680	霍乱
bestial	disgust	0.680	兽性
antichrist	disgust	0.680	敌基督
freakish	disgust	0.680	怪诞的
germ	disgust	0.680	胚芽
detest	disgust	0.680	厌恶
pollution	disgust	0.680	污染
grimy	disgust	0.680	肮脏的
abhorrent	disgust	0.680	可恶的
hatred	disgust	0.680	仇恨
abominate	disgust	0.680	鄙弃
sickness	disgust	0.680	疾病
hideous	disgust	0.672	可怕
dictatorship	disgust	0.672	专政
loathful	disgust	0.672	作呕
greasy	disgust	0.672	腻
dilapidated	disgust	0.672	破旧的
inhuman	disgust	0.672	不人道
loathing	disgust	0.672	厌恶
obscene	disgust	0.672	猥亵
cess	disgust	0.670	过程
devil	disgust	0.664	魔鬼
deformity	disgust	0.664	畸形
nauseous	disgust	0.664	恶心
deadly	disgust	0.664	致命
swine	disgust	0.664	猪
discrimination	disgust	0.664	歧视
abominable	disgust	0.664	可恶
masochism	disgust	0.664	受虐狂
heretic	disgust	0.664	异教徒
latrines	disgust	0.656	厕所
corruption	disgust	0.656	腐败
poisonous	disgust	0.656	有毒
horror	disgust	0.656	恐怖
nefarious	disgust	0.656	邪恶
bacteria	disgust	0.656	细菌
horrible	disgust	0.656	可怕
trash	disgust	0.656	垃圾
abortion	disgust	0.656	流产
death	disgust	0.656	死亡
prejudiced	disgust	0.656	有偏见的
poison	disgust	0.656	毒
oppression	disgust	0.656	压迫
goo	disgust	0.656	粘性物
victimized	disgust	0.656	受害
mange	disgust	0.656	疥疮
sludge	disgust	0.648	污泥
trashy	disgust	0.648	垃圾
vindictive	disgust	0.648	斗气
horrid	disgust	0.648	可怕的
ugly	disgust	0.648	丑陋的
immoral	disgust	0.648	不道德
bitch	disgust	0.648	婊子
outhouse	disgust	0.648	外屋
detestation	disgust	0.648	厌恶
horrifying	disgust	0.641	可怕的
laxative	disgust	0.641	泻药
unsightly	disgust	0.641	难看的
derogatory	disgust	0.641	贬
slop	disgust	0.641	斜坡
malfeasance	disgust	0.641	渎职
spew	disgust	0.641	吐出
pimple	disgust	0.641	疙瘩
criminality	disgust	0.641	犯罪
indecency	disgust	0.641	猥亵
cystic	disgust	0.641	囊性
villainous	disgust	0.641	恶毒的
queasy	disgust	0.633	恶心
mildew	disgust	0.633	霉菌
oppressive	disgust	0.633	压迫性的
prostitution	disgust	0.633	卖淫
secrete	disgust	0.633	分泌
ulcer	disgust	0.633	溃疡
rat	disgust	0.633	鼠
bigoted	disgust	0.633	偏执的
perpetrator	disgust	0.633	肇事者
doomsday	disgust	0.633	末日
sinful	disgust	0.633	有罪的
degrading	disgust	0.625	有辱人格的
ghastly	disgust	0.625	阴森
suffering	disgust	0.625	痛苦
obscenity	disgust	0.625	淫秽
devilish	disgust	0.625	恶魔般的
disgraceful	disgust	0.625	可耻
persecution	disgust	0.625	迫害
contemptible	disgust	0.625	可鄙
cuckold	disgust	0.625	乌龟
stools	disgust	0.625	凳子
dastardly	disgust	0.625	卑鄙地
sin	disgust	0.625	罪
gluttony	disgust	0.625	暴食
bloated	disgust	0.625	臃肿
fungus	disgust	0.625	菌
aghast	disgust	0.625	吓坏了
diaper	disgust	0.617	尿布
malicious	disgust	0.617	恶意的
polygamy	disgust	0.617	一夫多妻制
dying	disgust	0.617	垂死
termite	disgust	0.617	白蚁
fat	disgust	0.617	胖的
deceit	disgust	0.617	欺骗
atrocious	disgust	0.617	残暴
guillotine	disgust	0.617	断头台
tetanus	disgust	0.617	破伤风
spoil	disgust	0.617	宠坏
crusty	disgust	0.617	硬皮
sickly	disgust	0.617	病态的
louse	disgust	0.617	虱
strangle	disgust	0.617	扼杀
betrayal	disgust	0.617	背叛
loathe	disgust	0.617	厌恶
wench	disgust	0.617	丫头
infect	disgust	0.617	感染
violently	disgust	0.609	猛烈地
brothel	disgust	0.609	妓院
drool	disgust	0.609	流口水
bleeding	disgust	0.609	流血的
deform	disgust	0.609	变形
ghetto	disgust	0.609	隔都
sabotage	disgust	0.609	破坏
venomous	disgust	0.609	有毒
abhor	disgust	0.609	痛恨
slander	disgust	0.609	诽谤
hostile	disgust	0.609	敌对的
musty	disgust	0.602	发霉的
illicit	disgust	0.602	非法的
ugliness	disgust	0.602	丑陋
unwashed	disgust	0.602	未洗
swampy	disgust	0.602	沼泽
deprivation	disgust	0.602	剥夺
poaching	disgust	0.602	偷猎
hag	disgust	0.602	魔女
infidel	disgust	0.602	异教徒
imprisonment	disgust	0.602	监禁
traitor	disgust	0.602	叛徒
lunacy	disgust	0.602	疯癫
queasiness	disgust	0.594	恶心
hostility	disgust	0.594	敌意
repelling	disgust	0.594	排斥
intoxicated	disgust	0.594	酣
thug	disgust	0.594	暴徒
catastrophe	disgust	0.594	灾难
lunatic	disgust	0.594	疯子
misery	disgust	0.594	苦难
venom	disgust	0.594	毒液
butcher	disgust	0.594	屠夫
toilet	disgust	0.594	洗手间
blister	disgust	0.594	水疱
lurid	disgust	0.594	耸人听闻
slug	disgust	0.594	蛞蝓
gut	disgust	0.594	肠道
sinner	disgust	0.594	罪人
deceitful	disgust	0.594	骗人的
epidemic	disgust	0.594	流行性
deteriorated	disgust	0.586	恶化
lavatory	disgust	0.586	厕
unclean	disgust	0.586	不洁
prostitute	disgust	0.586	妓女
incubus	disgust	0.586	梦魇
appalling	disgust	0.586	骇人听闻
dreadful	disgust	0.586	可怕
pornography	disgust	0.586	色情
harass	disgust	0.586	骚扰
squeamish	disgust	0.578	娇气
expulsion	disgust	0.578	开除
unfaithful	disgust	0.578	不忠
offensive	disgust	0.578	进攻
hypocrite	disgust	0.578	伪君子
humiliating	disgust	0.578	羞辱
larceny	disgust	0.578	盗窃罪
ruinous	disgust	0.578	毁灭性的
retard	disgust	0.578	减速
rash	disgust	0.578	皮疹
flea	disgust	0.578	跳蚤
debauchery	disgust	0.578	放荡
fiend	disgust	0.578	恶魔
quagmire	disgust	0.578	泥潭
conspirator	disgust	0.578	同谋
sick	disgust	0.578	生病的
mangle	disgust	0.578	破坏
dogsick	disgust	0.570	狗病
egregious	disgust	0.570	令人震惊的
flog	disgust	0.570	鞭打
despise	disgust	0.570	讨厌
treacherous	disgust	0.570	奸诈
oppress	disgust	0.570	压迫
swamp	disgust	0.570	沼泽
messy	disgust	0.570	凌乱
spit	disgust	0.570	吐
dank	disgust	0.570	潮湿
bastard	disgust	0.570	混蛋
devastating	disgust	0.570	毁灭性的
serpent	disgust	0.570	蛇
loo	disgust	0.562	厕所
indecent	disgust	0.562	不雅的
insanity	disgust	0.562	疯狂
stealing	disgust	0.562	偷窃
terrible	disgust	0.562	糟糕的
tyrannical	disgust	0.562	强横
humiliation	disgust	0.562	屈辱
snake	disgust	0.562	蛇
sloppy	disgust	0.562	邋遢
sinning	disgust	0.562	犯罪
harmful	disgust	0.562	有害
harlot	disgust	0.562	妓女
sordid	disgust	0.562	肮脏的
enemy	disgust	0.562	敌人
alcoholism	disgust	0.562	酗酒
awful	disgust	0.562	可怕
ruthless	disgust	0.562	无情
scoundrel	disgust	0.562	恶棍
bloody	disgust	0.555	血腥
flabby	disgust	0.555	松弛
odious	disgust	0.555	可恶的
beastly	disgust	0.555	兽
collusion	disgust	0.555	共谋
ridicule	disgust	0.555	嘲笑
discriminating	disgust	0.555	歧视的
unattractive	disgust	0.555	没有吸引力
insufferable	disgust	0.555	难以忍受
segregate	disgust	0.555	分离
arsenic	disgust	0.555	砷
threatening	disgust	0.555	威胁的
atrophy	disgust	0.555	萎缩
varicella	disgust	0.555	水痘
slayer	disgust	0.555	杀手
distaste	disgust	0.555	厌恶
coward	disgust	0.555	懦夫
robbery	disgust	0.555	抢劫
wickedness	disgust	0.555	邪恶
anathema	disgust	0.547	诅咒
malevolent	disgust	0.547	恶毒的
sty	disgust	0.547	麦粒肿
pillage	disgust	0.547	掠夺
thief	disgust	0.547	贼
suffocating	disgust	0.547	令人窒息的
condemnation	disgust	0.547	谴责
deleterious	disgust	0.547	有害的
slur	disgust	0.547	诽谤
purgatory	disgust	0.547	炼狱
attacking	disgust	0.547	进攻
burglar	disgust	0.547	窃贼
ogre	disgust	0.547	食人魔
coercion	disgust	0.547	强迫
vesicular	disgust	0.547	泡状
miserable	disgust	0.547	悲惨的
bitterly	disgust	0.547	苦涩
sneer	disgust	0.539	冷笑
greedy	disgust	0.539	贪婪的
gob	disgust	0.539	采空区
repellant	disgust	0.539	驱虫剂
jealous	disgust	0.539	嫉妒的
drunken	disgust	0.539	醉
shame	disgust	0.539	耻辱
thrash	disgust	0.539	捶打
fatty	disgust	0.539	脂肪
liar	disgust	0.539	说谎者
imprisoned	disgust	0.539	被监禁
sloth	disgust	0.539	懒惰
repudiation	disgust	0.539	否认
disgrace	disgust	0.539	耻辱
infidelity	disgust	0.539	不忠
pig	disgust	0.539	猪
lethal	disgust	0.536	致命
burnt	disgust	0.531	烧焦
brawl	disgust	0.531	争吵
withered	disgust	0.531	干枯
blemish	disgust	0.531	缺陷
hydrocephalus	disgust	0.531	脑积水
aberration	disgust	0.531	像差
smuggler	disgust	0.531	走私者
painful	disgust	0.531	痛苦
condescension	disgust	0.531	屈尊俯就
intolerant	disgust	0.531	不可忍耐
blasphemous	disgust	0.531	亵渎神明的
lying	disgust	0.531	说谎
hanging	disgust	0.531	绞刑
travesty	disgust	0.531	讽刺
ruined	disgust	0.531	毁了
intrusive	disgust	0.531	侵入性的
disintegrate	disgust	0.531	瓦解
destructive	disgust	0.531	破坏性的
neurotic	disgust	0.531	神经质
disparaging	disgust	0.523	贬低
blighted	disgust	0.523	秕
intolerance	disgust	0.523	不宽容
mistress	disgust	0.523	情妇
avarice	disgust	0.523	贪婪
disgraced	disgust	0.523	丢脸
derogation	disgust	0.523	减损
rubbish	disgust	0.523	垃圾
accusation	disgust	0.523	指控
incarceration	disgust	0.523	监禁
tortious	disgust	0.516	侵权的
dishonor	disgust	0.516	羞辱
stink	disgust	0.516	臭
grim	disgust	0.516	严峻
rob	disgust	0.516	抢
defraud	disgust	0.516	骗取
sump	disgust	0.516	油底壳
cringe	disgust	0.516	畏缩
vulture	disgust	0.516	秃鹫
deplorable	disgust	0.516	可悲的
mite	disgust	0.516	螨虫
eradication	disgust	0.516	根除
degrade	disgust	0.516	降级
gutter	disgust	0.516	排水沟
convict	disgust	0.516	定罪
remains	disgust	0.516	遗迹
betray	disgust	0.516	背叛
daemon	disgust	0.516	守护进程
sham	disgust	0.509	假
distasteful	disgust	0.508	令人反感
prisoner	disgust	0.508	囚犯
dreadfully	disgust	0.508	可怕地
worthless	disgust	0.508	一文不值
crude	disgust	0.508	原油
delirium	disgust	0.508	谵妄
incurable	disgust	0.508	无法治愈的
smelling	disgust	0.508	闻
idiocy	disgust	0.508	白痴
resentment	disgust	0.508	怨恨
bombed	disgust	0.508	轰炸
blob	disgust	0.508	斑点
cheat	disgust	0.508	欺骗
schizophrenia	disgust	0.508	精神分裂症
rejection	disgust	0.508	拒绝
belittle	disgust	0.508	贬低
glut	disgust	0.508	过剩
disaster	disgust	0.508	灾难
distress	disgust	0.508	苦恼
pest	disgust	0.508	害虫
endemic	disgust	0.508	地方病
theft	disgust	0.500	盗窃
banish	disgust	0.500	放逐
mire	disgust	0.500	泥潭
flagrant	disgust	0.500	明目张胆
derision	disgust	0.500	嘲笑
dirt	disgust	0.500	污垢
screaming	disgust	0.500	尖叫
offense	disgust	0.500	罪行
jealousy	disgust	0.500	妒忌
bribery	disgust	0.500	受贿
polemic	disgust	0.500	论战
blight	disgust	0.500	枯萎病
impeach	disgust	0.500	劾
bitterness	disgust	0.500	苦味
taboo	disgust	0.500	忌讳
duress	disgust	0.500	胁迫
goblin	disgust	0.500	地精
shackle	disgust	0.500	枷锁
idolatry	disgust	0.500	偶像崇拜
greed	disgust	0.500	贪婪
impurity	disgust	0.500	不纯
tirade	disgust	0.500	长篇大论
idiot	disgust	0.492	笨蛋
boil	disgust	0.492	熬
unconscionable	disgust	0.492	不合情理的
disreputable	disgust	0.492	声名狼藉
robber	disgust	0.492	强盗
malign	disgust	0.492	诽谤
wreck	disgust	0.492	破坏
recession	disgust	0.492	经济衰退
gorge	disgust	0.492	峡谷
leer	disgust	0.492	斜视
