English Word	Emotion	Emotion-Intensity-Score	Maori Word
cradle	anticipation	0.375	pourakau
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	wā
clock	anticipation	0.375	karaka
mountain	anticipation	0.375	maunga
interminable	anticipation	0.375	mutunga kore
public	anticipation	0.375	tūmatanui
recurrent	anticipation	0.375	hohou
savor	anticipation	0.375	kakara
abide	anticipation	0.367	noho
concealed	anticipation	0.367	huna
spear	anticipation	0.367	tao
lesson	anticipation	0.367	akoranga
instructions	anticipation	0.367	tohutohu
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	rua tau
convince	anticipation	0.367	whakatenatena
whim	anticipation	0.367	hikaka
shiver	anticipation	0.367	wiri
towering	anticipation	0.367	teitei
musical	anticipation	0.367	waiata
offset	anticipation	0.359	whakatiki
theory	anticipation	0.359	ariā
theology	anticipation	0.359	whakapono
undying	anticipation	0.359	matekore
timidity	anticipation	0.359	te whakama
plump	anticipation	0.359	mōmona
atone	anticipation	0.359	taraehara
audience	anticipation	0.357	minenga
dietary	anticipation	0.352	kai
consecration	anticipation	0.352	whakataputanga
localize	anticipation	0.352	roherohe
paragon	anticipation	0.352	whakatauira
store	anticipation	0.352	toa
farm	anticipation	0.352	pāmu
daily	anticipation	0.352	ia rā
cramp	anticipation	0.352	kopikopiko
nobility	anticipation	0.352	rangatira
closure	anticipation	0.352	katinga
edition	anticipation	0.352	putanga
kindred	anticipation	0.352	whanaunga
stripped	anticipation	0.344	huia
errand	anticipation	0.344	mahi
archaeology	anticipation	0.344	whaipara tangata
mutable	anticipation	0.344	hurihuri
wireless	anticipation	0.344	ahokore
meditate	anticipation	0.344	whakaaroaro
mobile	anticipation	0.344	pūkoro
germ	anticipation	0.336	iroriki
brotherly	anticipation	0.336	teina
lessen	anticipation	0.336	whakaiti
unbeaten	anticipation	0.336	kaore i hinga
pare	anticipation	0.336	pare
buddy	anticipation	0.336	hoa
unaccountable	anticipation	0.336	kore e taea te korero
dove	anticipation	0.328	kukupa
patient	anticipation	0.328	manawanui
secular	anticipation	0.328	aorangi
digress	anticipation	0.328	whakapohehe
chastity	anticipation	0.328	te viivii ore
council	anticipation	0.328	kaunihera
olfactory	anticipation	0.328	hongi
ribbon	anticipation	0.328	riipene
possess	anticipation	0.328	riro
disposed	anticipation	0.320	tuku
scrutinize	anticipation	0.320	tirotirohia
immature	anticipation	0.320	te pakeke
mediator	anticipation	0.320	takawaenga
regularity	anticipation	0.320	auau
cove	anticipation	0.320	kokoru
infanticide	anticipation	0.320	kohungahunga
paddle	anticipation	0.320	hoe
heft	anticipation	0.320	heft
fancy	anticipation	0.320	rerehua
preservative	anticipation	0.320	tiaki
unpublished	anticipation	0.312	kaore i panuitia
church	anticipation	0.312	whare karakia
bugle	anticipation	0.312	pūoro
grim	anticipation	0.312	pouri
denying	anticipation	0.312	te whakakahore
analyst	anticipation	0.312	kaitātari
judicial	anticipation	0.305	whakawa
priesthood	anticipation	0.305	tohungatanga
broadside	anticipation	0.305	taha whanui
mill	anticipation	0.305	mira
dismay	anticipation	0.297	whakapouri
cap	anticipation	0.297	potae
thermocouple	anticipation	0.297	te whakamahau
tributary	anticipation	0.297	awa
instructor	anticipation	0.297	kaiwhakaako
exhaustion	anticipation	0.297	ngenge
saliva	anticipation	0.297	huware
cataract	anticipation	0.289	katakata
network	anticipation	0.289	whatunga
visor	anticipation	0.289	matakite
shackle	anticipation	0.289	herea
wont	anticipation	0.289	kare
addresses	anticipation	0.289	wāhitau
discreet	anticipation	0.289	whai whakaaro
noncompliance	anticipation	0.289	kore tautukunga
bruise	anticipation	0.289	marumaru
homeless	anticipation	0.289	kore kainga
astronomer	anticipation	0.281	tohunga arorangi
skewed	anticipation	0.281	pikopiko
neighbor	anticipation	0.281	hoa tata
holiness	anticipation	0.273	tapu
devil	anticipation	0.273	rewera
picket	anticipation	0.273	piketi
sentence	anticipation	0.273	rerenga korero
latent	anticipation	0.273	huna
cream	anticipation	0.273	kirīmi
immaturity	anticipation	0.273	te pakeketanga
habitual	anticipation	0.266	tikanga
morals	anticipation	0.266	morare
neighborhood	anticipation	0.266	noho tata
lull	anticipation	0.266	whakamoe
bye	anticipation	0.258	kia ora
weight	anticipation	0.258	taumaha
organ	anticipation	0.250	okana
clown	anticipation	0.250	hangareka
forearm	anticipation	0.250	ringaringa
commonplace	anticipation	0.242	wahi noa
quote	anticipation	0.242	korero
rail	anticipation	0.234	tereina
dictatorship	anticipation	0.234	mana whakahaere
treadmill	anticipation	0.234	takawaenga
board	anticipation	0.234	poari
tree	anticipation	0.227	rakau
sundial	anticipation	0.227	rā
paralysis	anticipation	0.211	pararutiki
cement	anticipation	0.203	sima
worm	anticipation	0.203	noke
organization	anticipation	0.203	whakahaere
lagging	anticipation	0.180	takamuri
neutral	anticipation	0.148	kūpapa
cannibalism	disgust	0.953	kai tangata
mutilation	disgust	0.930	whakakino
molestation	disgust	0.914	whakakino
incest	disgust	0.914	iramutu
rape	disgust	0.906	raupatu
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	kai tangata
rot	disgust	0.891	pirau
corpse	disgust	0.883	tūpāpaku
massacre	disgust	0.883	kohuru
excrement	disgust	0.883	paru
barf	disgust	0.875	pae
slaughter	disgust	0.875	kohuru
slaughterhouse	disgust	0.867	whare patu
incestuous	disgust	0.859	puremu
sewerage	disgust	0.859	parakaingaki
filth	disgust	0.859	poke
bigot	disgust	0.859	nui
rancid	disgust	0.859	rancid
infestation	disgust	0.852	whakakinotanga
plague	disgust	0.852	whiu
holocaust	disgust	0.852	tahunga tinana
bloodthirsty	disgust	0.852	matewai toto
rotting	disgust	0.844	pirau
fecal	disgust	0.844	fecal
maggot	disgust	0.844	kutukutu
feces	disgust	0.844	taima
murder	disgust	0.839	kohuru
asshole	disgust	0.836	pouaru
homicide	disgust	0.836	kohuru
enslaved	disgust	0.836	taurekareka
infanticide	disgust	0.836	kohungahunga
perverted	disgust	0.828	parori ke
excretion	disgust	0.828	tukunga
gore	disgust	0.828	karekau
slaughtering	disgust	0.828	patupatu
torture	disgust	0.828	whakamamae
contaminate	disgust	0.821	whakakino
revolting	disgust	0.820	whakakeke
gory	disgust	0.820	pouri
shit	disgust	0.820	poha
terrorist	disgust	0.820	kaiwhakatuma
murderer	disgust	0.820	kohuru
repugnant	disgust	0.820	whakarihariha
manure	disgust	0.820	hamuti
pervert	disgust	0.820	whanoke
diarrhoea	disgust	0.820	korere
grotesque	disgust	0.820	rorirori
desecration	disgust	0.820	whakakino
faeces	disgust	0.812	feeces
slavery	disgust	0.812	taurekareka
sewer	disgust	0.812	puna wai
cadaver	disgust	0.812	tūpāpaku
manslaughter	disgust	0.812	kohuru
dismemberment	disgust	0.812	te wetewete
vomit	disgust	0.812	ruaki
perverse	disgust	0.805	parori ke
repulsive	disgust	0.805	whakakino
hemorrhage	disgust	0.805	whakaheke toto
sewage	disgust	0.797	parakaingaki
filthy	disgust	0.797	poke
diseased	disgust	0.797	mate
depravity	disgust	0.797	kino
carcass	disgust	0.795	tinana
decompose	disgust	0.789	pirau
gruesome	disgust	0.789	whakamataku
mutilated	disgust	0.789	whakamotitia
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	kua pirau
dung	disgust	0.789	paru
vermin	disgust	0.789	ngarara
murderous	disgust	0.789	kohuru
parasite	disgust	0.789	parapara
horrific	disgust	0.789	whakamataku
carnage	disgust	0.781	kohuru
malaria	disgust	0.781	malaria
slime	disgust	0.781	parawai
flatulence	disgust	0.781	te pupuhi
pestilence	disgust	0.781	mate uruta
crap	disgust	0.781	karekau
monstrosity	disgust	0.781	taikaha
loathsome	disgust	0.773	whakarihariha
toxic	disgust	0.773	paitini
morgue	disgust	0.773	whare mate
pus	disgust	0.773	pana
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	repera
insidious	disgust	0.773	hianga
cruel	disgust	0.766	nanakia
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	whakapoipoia
repugnance	disgust	0.766	whakahaehae
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	whakatakariri
whore	disgust	0.766	kairau
dissection	disgust	0.759	wehewehenga
mucous	disgust	0.758	hūpē
canker	disgust	0.758	mate pukupuku
slum	disgust	0.758	pāmamae
infectious	disgust	0.758	hopuhopu
evil	disgust	0.758	kino
phlegm	disgust	0.758	kohu
cruelty	disgust	0.758	nanakia
perversion	disgust	0.758	whanoke
sinister	disgust	0.750	kino
leeches	disgust	0.750	nga riaka
corrupting	disgust	0.750	pirau
decomposition	disgust	0.750	pirau
abomination	disgust	0.742	mea whakarihariha
stinking	disgust	0.742	piro
bile	disgust	0.742	rewharewha
demonic	disgust	0.742	rewera
deranged	disgust	0.742	porangi
abhorrence	disgust	0.742	whakarihariha
soiled	disgust	0.742	poke
mucus	disgust	0.742	hūpē
septic	disgust	0.742	septic
sickening	disgust	0.742	mamae
demon	disgust	0.742	rewera
cancer	disgust	0.734	mate pukupuku
obese	disgust	0.734	mōmona
degeneracy	disgust	0.734	whakahekenga
despicable	disgust	0.734	whakahāwea
atrocity	disgust	0.734	mahi nanakia
foul	disgust	0.734	piro
sicken	disgust	0.734	māuiui
crucifixion	disgust	0.734	ripekatia
terrorism	disgust	0.734	whakawetiweti
repulsion	disgust	0.727	whakahē
morbidity	disgust	0.727	mate mate
dysentery	disgust	0.727	mate koriri
enema	disgust	0.727	enema
bacterium	disgust	0.727	huakita
dirty	disgust	0.727	paru
adultery	disgust	0.727	puremu
contamination	disgust	0.727	poke
grisly	disgust	0.727	kino rawa
diabolical	disgust	0.727	rewera
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	tauhou
vulgar	disgust	0.719	kino
entrails	disgust	0.719	whekau
disgust	disgust	0.719	whakarihariha
lewd	disgust	0.719	moepuku
muck	disgust	0.719	paru
bowels	disgust	0.719	whekau
garbage	disgust	0.719	paru
deterioration	disgust	0.719	te paheketanga
contagion	disgust	0.719	te mate
vicious	disgust	0.719	nanakia
disfigured	disgust	0.719	whakakino
pungent	disgust	0.719	kawa
gross	disgust	0.719	kerekere
bloodshed	disgust	0.714	whakaheke toto
gag	disgust	0.711	kake
pollute	disgust	0.711	whakakino
nausea	disgust	0.711	whakapairuaki
tyrant	disgust	0.711	nanakia
wretched	disgust	0.711	pouri
mortification	disgust	0.711	whakapouri
violent	disgust	0.711	tutu
poisoned	disgust	0.711	kawa
nauseate	disgust	0.703	nausea
slimy	disgust	0.703	pīwari
grope	disgust	0.703	whawha
slut	disgust	0.703	wahine kairau
nasty	disgust	0.703	kino
disgusting	disgust	0.703	whakarihariha
depraved	disgust	0.703	kino
porn	disgust	0.703	porn
hateful	disgust	0.703	mauahara
vulgarity	disgust	0.703	whakakino
noxious	disgust	0.703	kino
grime	disgust	0.703	paru
constipation	disgust	0.703	kōroke
secretion	disgust	0.703	hunanga
poisoning	disgust	0.703	paihana
despotism	disgust	0.703	whakahaehae
measles	disgust	0.696	mate karawaka
contagious	disgust	0.695	hopuhopu
obesity	disgust	0.695	mōmona
wart	disgust	0.695	kiritona
hate	disgust	0.695	mauahara
hellish	disgust	0.695	reinga
scum	disgust	0.695	paru
suicidal	disgust	0.695	whakamomori
wretch	disgust	0.695	kino
abuse	disgust	0.695	tūkino
waste	disgust	0.695	ururua
intestinal	disgust	0.695	whekau
heartworm	disgust	0.688	noke ngakau
ooze	disgust	0.688	pupuhi
treason	disgust	0.688	te tinihanga
contaminated	disgust	0.688	pokea
smut	disgust	0.688	whakakino
disease	disgust	0.688	mate
rabid	disgust	0.688	nanakia
deformed	disgust	0.680	heke
hell	disgust	0.680	reinga
soulless	disgust	0.680	kore wairua
cholera	disgust	0.680	kolera
bestial	disgust	0.680	kararehe
antichrist	disgust	0.680	anatikaraiti
freakish	disgust	0.680	ohorere
germ	disgust	0.680	iroriki
detest	disgust	0.680	whakarihariha
pollution	disgust	0.680	poke
grimy	disgust	0.680	poke
abhorrent	disgust	0.680	whakarihariha
hatred	disgust	0.680	mauahara
abominate	disgust	0.680	mea whakarihariha
sickness	disgust	0.680	mate
hideous	disgust	0.672	whakamataku
dictatorship	disgust	0.672	mana whakahaere
loathful	disgust	0.672	whakarihariha
greasy	disgust	0.672	hinuhinu
dilapidated	disgust	0.672	kua pakarukaru
inhuman	disgust	0.672	kore tangata
loathing	disgust	0.672	whakarihariha
obscene	disgust	0.672	faufau
cess	disgust	0.670	cess
devil	disgust	0.664	rewera
deformity	disgust	0.664	whakakino
nauseous	disgust	0.664	nausea
deadly	disgust	0.664	whakamate
swine	disgust	0.664	poaka
discrimination	disgust	0.664	whakahāwea
abominable	disgust	0.664	mea whakarihariha
masochism	disgust	0.664	matohi
heretic	disgust	0.664	titorehanga
latrines	disgust	0.656	wharepaku
corruption	disgust	0.656	pirau
poisonous	disgust	0.656	paihana
horror	disgust	0.656	whakamataku
nefarious	disgust	0.656	kino
bacteria	disgust	0.656	huakita
horrible	disgust	0.656	whakamataku
trash	disgust	0.656	paru
abortion	disgust	0.656	materoto
death	disgust	0.656	mate
prejudiced	disgust	0.656	whakahāwea
poison	disgust	0.656	paihana
oppression	disgust	0.656	tukino
goo	disgust	0.656	goo
victimized	disgust	0.656	patua
mange	disgust	0.656	mange
sludge	disgust	0.648	paru
trashy	disgust	0.648	paru
vindictive	disgust	0.648	ngahuru
horrid	disgust	0.648	whakamataku
ugly	disgust	0.648	kino
immoral	disgust	0.648	moepuku
bitch	disgust	0.648	uwha
outhouse	disgust	0.648	whare waho
detestation	disgust	0.648	whakakino
horrifying	disgust	0.641	whakamataku
laxative	disgust	0.641	whakamau
unsightly	disgust	0.641	ahua kino
derogatory	disgust	0.641	whakahāwea
slop	disgust	0.641	paopao
malfeasance	disgust	0.641	mahi kino
spew	disgust	0.641	ruaki
pimple	disgust	0.641	pire
criminality	disgust	0.641	hara
indecency	disgust	0.641	whakakino
cystic	disgust	0.641	kirikiri
villainous	disgust	0.641	kino
queasy	disgust	0.633	matewai
mildew	disgust	0.633	koriri
oppressive	disgust	0.633	tukino
prostitution	disgust	0.633	moepuku
secrete	disgust	0.633	huna
ulcer	disgust	0.633	whewhe
rat	disgust	0.633	kiore
bigoted	disgust	0.633	nanakia
perpetrator	disgust	0.633	tangata hara
doomsday	disgust	0.633	maminga
sinful	disgust	0.633	hara
degrading	disgust	0.625	whakaheke
ghastly	disgust	0.625	whakamataku
suffering	disgust	0.625	mamae
obscenity	disgust	0.625	faufau
devilish	disgust	0.625	rewera
disgraceful	disgust	0.625	whakama
persecution	disgust	0.625	whakatoi
contemptible	disgust	0.625	whakahāwea
cuckold	disgust	0.625	karekau
stools	disgust	0.625	kumete
dastardly	disgust	0.625	whakapouri
sin	disgust	0.625	hara
gluttony	disgust	0.625	kakai
bloated	disgust	0.625	pupuhi
fungus	disgust	0.625	harore
aghast	disgust	0.625	whakapouri
diaper	disgust	0.617	kope
malicious	disgust	0.617	kino
polygamy	disgust	0.617	wahine maha
dying	disgust	0.617	ka mate
termite	disgust	0.617	ngarara
fat	disgust	0.617	ngako
deceit	disgust	0.617	tinihanga
atrocious	disgust	0.617	kino
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	pahua
crusty	disgust	0.617	kirikiri
sickly	disgust	0.617	māuiui
louse	disgust	0.617	kutu
strangle	disgust	0.617	whakawiri
betrayal	disgust	0.617	tinihanga
loathe	disgust	0.617	whakarihariha
wench	disgust	0.617	wahine wahine
infect	disgust	0.617	whakakino
violently	disgust	0.609	tutu
brothel	disgust	0.609	whare puremu
drool	disgust	0.609	wairere
bleeding	disgust	0.609	whakaheke toto
deform	disgust	0.609	whakakino
ghetto	disgust	0.609	kēhua
sabotage	disgust	0.609	whakawetiweti
venomous	disgust	0.609	kawa
abhor	disgust	0.609	whakarihariha
slander	disgust	0.609	kohukohu
hostile	disgust	0.609	whakakino
musty	disgust	0.602	pupū
illicit	disgust	0.602	pokanoa
ugliness	disgust	0.602	kino
unwashed	disgust	0.602	kahore i horoia
swampy	disgust	0.602	reporepo
deprivation	disgust	0.602	te korenga
poaching	disgust	0.602	patupatu
hag	disgust	0.602	hag
infidel	disgust	0.602	tangata whakaponokore
imprisonment	disgust	0.602	whare herehere
traitor	disgust	0.602	kaitukino
lunacy	disgust	0.602	haurangi
queasiness	disgust	0.594	matewai
hostility	disgust	0.594	te mauahara
repelling	disgust	0.594	whakakeke
intoxicated	disgust	0.594	haurangi
thug	disgust	0.594	kaipahua
catastrophe	disgust	0.594	aitua
lunatic	disgust	0.594	porangi
misery	disgust	0.594	pouri
venom	disgust	0.594	paihana
butcher	disgust	0.594	kaipatu
toilet	disgust	0.594	wharepaku
blister	disgust	0.594	pupuhi
lurid	disgust	0.594	pouri
slug	disgust	0.594	tukituki
gut	disgust	0.594	puku
sinner	disgust	0.594	tangata hara
deceitful	disgust	0.594	tinihanga
epidemic	disgust	0.594	mate urutā
deteriorated	disgust	0.586	kua kino
lavatory	disgust	0.586	wharepaku
unclean	disgust	0.586	poke
prostitute	disgust	0.586	wahine kairau
incubus	disgust	0.586	incubus
appalling	disgust	0.586	whakamataku
dreadful	disgust	0.586	whakamataku
pornography	disgust	0.586	hoho'a faufau
harass	disgust	0.586	whakakino
squeamish	disgust	0.578	wiwi
expulsion	disgust	0.578	pananga
unfaithful	disgust	0.578	whakaponokore
offensive	disgust	0.578	whakakino
hypocrite	disgust	0.578	tangata tinihanga
humiliating	disgust	0.578	whakama
larceny	disgust	0.578	tahae
ruinous	disgust	0.578	whakakino
retard	disgust	0.578	whakamuri
rash	disgust	0.578	porangirangi
flea	disgust	0.578	puruhi
debauchery	disgust	0.578	whakakino
fiend	disgust	0.578	kino
quagmire	disgust	0.578	kohuru
conspirator	disgust	0.578	kaiwhakatakoto whakaaro
sick	disgust	0.578	mate
mangle	disgust	0.578	mangere
dogsick	disgust	0.570	mate kurī
egregious	disgust	0.570	kino
flog	disgust	0.570	whiu
despise	disgust	0.570	whakahāwea
treacherous	disgust	0.570	tinihanga
oppress	disgust	0.570	tukino
swamp	disgust	0.570	repo
messy	disgust	0.570	pōrohe
spit	disgust	0.570	tuwha
dank	disgust	0.570	haumanu
bastard	disgust	0.570	poriro
devastating	disgust	0.570	whakakino
serpent	disgust	0.570	nakahi
loo	disgust	0.562	loo
indecent	disgust	0.562	kino
insanity	disgust	0.562	porangi
stealing	disgust	0.562	tahae
terrible	disgust	0.562	whakamataku
tyrannical	disgust	0.562	nanakia
humiliation	disgust	0.562	whakaitinga
snake	disgust	0.562	nakahi
sloppy	disgust	0.562	pohehe
sinning	disgust	0.562	hara
harmful	disgust	0.562	kino
harlot	disgust	0.562	wahine kairau
sordid	disgust	0.562	kino
enemy	disgust	0.562	hoariri
alcoholism	disgust	0.562	waipiro
awful	disgust	0.562	whakamataku
ruthless	disgust	0.562	nanakia
scoundrel	disgust	0.562	tangata kino
bloody	disgust	0.555	toto
flabby	disgust	0.555	pahekeheke
odious	disgust	0.555	whakarihariha
beastly	disgust	0.555	mohoao
collusion	disgust	0.555	mahi tahi
ridicule	disgust	0.555	tawai
discriminating	disgust	0.555	whakahāwea
unattractive	disgust	0.555	karekau
insufferable	disgust	0.555	korekore
segregate	disgust	0.555	wehewehe
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	whakatuma
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	kaipatu
distaste	disgust	0.555	whakakino
coward	disgust	0.555	whakapouri
robbery	disgust	0.555	pahua
wickedness	disgust	0.555	kino
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	kino
sty	disgust	0.547	sty
pillage	disgust	0.547	pahua
thief	disgust	0.547	tahae
suffocating	disgust	0.547	whakamomoka
condemnation	disgust	0.547	whakahenga
deleterious	disgust	0.547	whakakino
slur	disgust	0.547	tanga
purgatory	disgust	0.547	Purgatori
attacking	disgust	0.547	whakaeke
burglar	disgust	0.547	tahae
ogre	disgust	0.547	ogre
coercion	disgust	0.547	tohenga
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	pouri
bitterly	disgust	0.547	kawa
sneer	disgust	0.539	whakahi
greedy	disgust	0.539	apo
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	hae
drunken	disgust	0.539	haurangi
shame	disgust	0.539	whakama
thrash	disgust	0.539	whiu
fatty	disgust	0.539	ngako
liar	disgust	0.539	teka
imprisoned	disgust	0.539	ka mauheretia
sloth	disgust	0.539	mangere
repudiation	disgust	0.539	whakahē
disgrace	disgust	0.539	whakama
infidelity	disgust	0.539	whakateka
pig	disgust	0.539	poaka
lethal	disgust	0.536	whakamate
burnt	disgust	0.531	tahuna
brawl	disgust	0.531	ngangau
withered	disgust	0.531	kua maroke
blemish	disgust	0.531	koha
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	hē
smuggler	disgust	0.531	kaipahua
painful	disgust	0.531	mamae
condescension	disgust	0.531	whakahaehae
intolerant	disgust	0.531	kārekau
blasphemous	disgust	0.531	kohukohu
lying	disgust	0.531	teka
hanging	disgust	0.531	iri
travesty	disgust	0.531	whakakino
ruined	disgust	0.531	kua pakaru
intrusive	disgust	0.531	pokanoa
disintegrate	disgust	0.531	pakaru
destructive	disgust	0.531	whakakino
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	whakakino
blighted	disgust	0.523	kua pakaru
intolerance	disgust	0.523	te manawanui
mistress	disgust	0.523	rangatira wahine
avarice	disgust	0.523	mokemoke
disgraced	disgust	0.523	whakama
derogation	disgust	0.523	whakahekenga
rubbish	disgust	0.523	paru
accusation	disgust	0.523	whakapae
incarceration	disgust	0.523	mauhere
tortious	disgust	0.516	tortie
dishonor	disgust	0.516	whakama
stink	disgust	0.516	piro
grim	disgust	0.516	pouri
rob	disgust	0.516	pahua
defraud	disgust	0.516	tinihanga
sump	disgust	0.516	puna
cringe	disgust	0.516	whakapouri
vulture	disgust	0.516	ekara
deplorable	disgust	0.516	whakapouri
mite	disgust	0.516	mite
eradication	disgust	0.516	whakakorenga
degrade	disgust	0.516	whakaheke
gutter	disgust	0.516	awaawa
convict	disgust	0.516	whakaharahara
remains	disgust	0.516	noho tonu
betray	disgust	0.516	tuku
daemon	disgust	0.516	tiamona
sham	disgust	0.509	whakama
distasteful	disgust	0.508	whakakino
prisoner	disgust	0.508	herehere
dreadfully	disgust	0.508	whakamataku
worthless	disgust	0.508	horekau
crude	disgust	0.508	marua
delirium	disgust	0.508	irirangi
incurable	disgust	0.508	e kore e taea te rongoa
smelling	disgust	0.508	hongi
idiocy	disgust	0.508	porangi
resentment	disgust	0.508	te mauahara
bombed	disgust	0.508	poma
blob	disgust	0.508	pupuhi
cheat	disgust	0.508	tinihanga
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	whakakāhoretanga
belittle	disgust	0.508	whakaiti
glut	disgust	0.508	kai
disaster	disgust	0.508	aitua
distress	disgust	0.508	pouri
pest	disgust	0.508	riha
endemic	disgust	0.508	puta noa
theft	disgust	0.500	tahae
banish	disgust	0.500	panaia
mire	disgust	0.500	repo
flagrant	disgust	0.500	whakahihiri
derision	disgust	0.500	whakahi
dirt	disgust	0.500	paru
screaming	disgust	0.500	te hamama
offense	disgust	0.500	hara
jealousy	disgust	0.500	puhaehae
bribery	disgust	0.500	whakapati
polemic	disgust	0.500	polemic
blight	disgust	0.500	ngingio
impeach	disgust	0.500	whakahē
bitterness	disgust	0.500	kawa
taboo	disgust	0.500	tabu
duress	disgust	0.500	tohe
goblin	disgust	0.500	kākarere
shackle	disgust	0.500	herea
idolatry	disgust	0.500	karakia whakapakoko
greed	disgust	0.500	apo
impurity	disgust	0.500	poke
tirade	disgust	0.500	whakakino
idiot	disgust	0.492	porangi
boil	disgust	0.492	whewhe
unconscionable	disgust	0.492	kore whakaaro
disreputable	disgust	0.492	whakakino
robber	disgust	0.492	tahae
malign	disgust	0.492	kino
wreck	disgust	0.492	pakaru
recession	disgust	0.492	paheketanga
gorge	disgust	0.492	awaawa
leer	disgust	0.492	riihi
ill	disgust	0.492	māuiui
squirm	disgust	0.492	wiwi
raging	disgust	0.484	riri ana
servile	disgust	0.484	pononga
mess	disgust	0.484	raruraru
nappy	disgust	0.484	kope
possessed	disgust	0.484	whai rawa
unbearable	disgust	0.484	kore e mau
occult	disgust	0.484	karakia
contraband	disgust	0.484	te hoko taonga
snarl	disgust	0.484	ngongo
mutiny	disgust	0.484	whakakeke
mad	disgust	0.484	haurangi
affliction	disgust	0.484	mamae
stain	disgust	0.484	poke
animosity	disgust	0.484	te mauahara
contempt	disgust	0.484	whakahāwea
tramp	disgust	0.484	takahanga
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	whakaute
defamation	disgust	0.484	whakakino
inexcusable	disgust	0.484	korekore
aversation	disgust	0.484	whakaparahako
wasteful	disgust	0.484	moumou
offender	disgust	0.484	tangata hara
subjugation	disgust	0.484	tukunga
illegality	disgust	0.477	kore ture
dismal	disgust	0.477	pouri
criminal	disgust	0.477	taihara
unpleasant	disgust	0.477	kino
palsy	disgust	0.477	pararutiki
antagonistic	disgust	0.477	whakatakariri
pathetic	disgust	0.477	whakapouri
uncaring	disgust	0.477	kāre e manaaki
suppression	disgust	0.477	pehanga
immorality	disgust	0.477	moepuku
mockery	disgust	0.477	tawai
outrage	disgust	0.469	riri
mocking	disgust	0.469	tawai
wallow	disgust	0.469	takakau
cough	disgust	0.469	maremare
arrogant	disgust	0.469	whakahihi
angry	disgust	0.469	riri
poverty	disgust	0.469	te rawakore
grating	disgust	0.469	pae kupenga
livid	disgust	0.469	riri
aggravation	disgust	0.469	whakakino
repellent	disgust	0.469	whakaahuru
perspiration	disgust	0.469	werawera
banishment	disgust	0.469	panaia
furious	disgust	0.469	riri
shoddy	disgust	0.469	ware
banshee	disgust	0.469	banshee
deceive	disgust	0.461	whakapohehe
fool	disgust	0.461	wairangi
quack	disgust	0.461	karekau
distorted	disgust	0.461	parori ke
spider	disgust	0.461	pūngāwerewere
unjustifiable	disgust	0.461	e kore e tika
deplore	disgust	0.461	pouri
spurious	disgust	0.461	horihori
perdition	disgust	0.461	mate
muddy	disgust	0.461	paru
fraudulent	disgust	0.461	tinihanga
scar	disgust	0.461	nawe
prick	disgust	0.461	wero
insulting	disgust	0.461	whakakino
plunder	disgust	0.461	pahua
recklessness	disgust	0.461	te whakaarokore
stigma	disgust	0.453	whakahāwea
disparage	disgust	0.453	whakakino
unthinkable	disgust	0.453	e kore e taea te whakaaro
disingenuous	disgust	0.453	karekau
bane	disgust	0.453	tukituki
dishonest	disgust	0.453	whakapohehe
aphid	disgust	0.453	aphid
elimination	disgust	0.453	whakakorenga
cur	disgust	0.453	cur
selfish	disgust	0.453	pipiri
eschew	disgust	0.453	mawehe atu
dire	disgust	0.453	kino
indignation	disgust	0.453	riri
antipathy	disgust	0.453	te riri
alienate	disgust	0.453	whakaatea
mosquito	disgust	0.445	waeroa
piles	disgust	0.445	puranga
pious	disgust	0.445	tangata karakia
lie	disgust	0.445	teka
opium	disgust	0.445	opiuma
smell	disgust	0.445	kakara
iniquity	disgust	0.445	kino
caries	disgust	0.445	mate huka
despair	disgust	0.445	pouri
recalcitrant	disgust	0.445	whakakeke
egotistical	disgust	0.445	whakaaro nui
wasted	disgust	0.445	moumou
vacuous	disgust	0.445	waatea
bankruptcy	disgust	0.445	kaihau
garish	disgust	0.445	rorirori
obnoxious	disgust	0.438	whakapouri
ashamed	disgust	0.438	whakama
abject	disgust	0.438	whakahāwea
sticky	disgust	0.438	tāpiapia
scream	disgust	0.438	hamama
hopelessness	disgust	0.438	te kore tumanako
homeless	disgust	0.438	kore kainga
