English Word	Emotion	Emotion-Intensity-Score	Portuguese Word
beaming	anticipation	0.523	radiante
cheery	anticipation	0.523	alegre
prevail	anticipation	0.523	prevalecer
importance	anticipation	0.523	importância
notification	anticipation	0.523	notificação
explosive	anticipation	0.523	explosivo
pleasant	anticipation	0.523	prazeroso
ultimately	anticipation	0.523	em última análise
child	anticipation	0.523	filho
haste	anticipation	0.523	pressa
prophet	anticipation	0.523	profeta
recreation	anticipation	0.516	lazer
present	anticipation	0.516	presente
time	anticipation	0.516	Tempo
sensuality	anticipation	0.516	sensualidade
owing	anticipation	0.516	devido
loom	anticipation	0.516	tear
begun	anticipation	0.516	começou
salary	anticipation	0.516	salário
celebrity	anticipation	0.516	celebridade
treat	anticipation	0.516	tratar
chocolate	anticipation	0.516	chocolate
caution	anticipation	0.516	Cuidado
fermentation	anticipation	0.516	fermentação
uncontrollable	anticipation	0.516	incontrolável
precious	anticipation	0.516	precioso
compensate	anticipation	0.516	compensar
endanger	anticipation	0.516	pôr em perigo
renovation	anticipation	0.516	renovação
signify	anticipation	0.508	significar
vigilance	anticipation	0.508	vigilância
prerequisite	anticipation	0.508	pré-requisito
perfection	anticipation	0.508	perfeição
cultivate	anticipation	0.508	cultivar
develop	anticipation	0.508	desenvolve
cue	anticipation	0.508	deixa
exigent	anticipation	0.508	exigente
transitional	anticipation	0.508	transitório
commemoration	anticipation	0.508	comemoração
intermission	anticipation	0.508	intervalo
elevation	anticipation	0.508	elevação
infant	anticipation	0.508	infantil
practise	anticipation	0.508	prática
contemplation	anticipation	0.508	contemplação
dreadful	anticipation	0.508	terrível
wilderness	anticipation	0.508	região selvagem
horizon	anticipation	0.508	horizonte
sneaking	anticipation	0.500	esgueirar-se
uphill	anticipation	0.500	subida
puppy	anticipation	0.500	cachorro
blindfold	anticipation	0.500	de olhos vendados
unbridled	anticipation	0.500	desenfreado
horoscope	anticipation	0.500	horóscopo
airport	anticipation	0.500	aeroporto
reconciliation	anticipation	0.500	reconciliação
advocacy	anticipation	0.500	advocacia
litigate	anticipation	0.500	litigar
sunny	anticipation	0.500	ensolarado
intuitively	anticipation	0.500	intuitivamente
hero	anticipation	0.500	herói
ardent	anticipation	0.500	ardente
commemorate	anticipation	0.500	comemorar
romantic	anticipation	0.500	romântico
doomsday	anticipation	0.500	Apocalipse
ready	anticipation	0.500	pronto
nascent	anticipation	0.500	nascente
invocation	anticipation	0.500	invocação
depart	anticipation	0.500	partir
undisclosed	anticipation	0.500	não revelado
attendance	anticipation	0.500	comparecimento
peril	anticipation	0.500	perigo
income	anticipation	0.500	renda
calculation	anticipation	0.500	Cálculo
zeal	anticipation	0.500	zelo
eventuality	anticipation	0.500	eventualidade
favorable	anticipation	0.500	favorável
utopian	anticipation	0.500	utópico
swim	anticipation	0.500	nadar
proceeding	anticipation	0.492	processo
eventual	anticipation	0.492	eventual
heyday	anticipation	0.492	auge
undertaking	anticipation	0.492	empresa
improvise	anticipation	0.492	improvisar
inauguration	anticipation	0.492	inauguração
consequent	anticipation	0.492	conseqüente
perspective	anticipation	0.492	perspectiva
defense	anticipation	0.492	defesa
repay	anticipation	0.492	reembolsar
gaping	anticipation	0.492	escancarado
youth	anticipation	0.492	juventude
parole	anticipation	0.492	liberdade condicional
worry	anticipation	0.492	preocupar
bless	anticipation	0.492	abençoar
restorative	anticipation	0.492	restaurador
court	anticipation	0.492	quadra
highest	anticipation	0.491	Altíssima
shortly	anticipation	0.484	Em breve
auspicious	anticipation	0.484	auspicioso
princely	anticipation	0.484	principesco
correspondence	anticipation	0.484	correspondência
generosity	anticipation	0.484	generosidade
sparkle	anticipation	0.484	brilhar
voluptuous	anticipation	0.484	voluptuoso
happen	anticipation	0.484	acontecer
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	carta
vow	anticipation	0.484	juramento
sharpen	anticipation	0.484	afiado
duel	anticipation	0.484	duelo
conjure	anticipation	0.484	conjurar
threaten	anticipation	0.484	ameaçar
god	anticipation	0.484	Deus
engulf	anticipation	0.484	engolir
unexplained	anticipation	0.484	inexplicável
contagion	anticipation	0.484	contágio
glorify	anticipation	0.477	glorificar
submit	anticipation	0.477	enviar
enroll	anticipation	0.477	matricular
unification	anticipation	0.477	unificação
gravitate	anticipation	0.477	gravitar
glide	anticipation	0.477	deslizar
accompaniment	anticipation	0.477	acompanhamento
cherish	anticipation	0.477	estimar
adore	anticipation	0.477	adorar
powerful	anticipation	0.477	poderoso
clue	anticipation	0.477	dica
medal	anticipation	0.477	medalha
contemplate	anticipation	0.477	contemplar
perilous	anticipation	0.477	perigoso
determinate	anticipation	0.477	determinado
arbitration	anticipation	0.477	arbitragem
recipient	anticipation	0.477	destinatário
onset	anticipation	0.477	início
predispose	anticipation	0.477	predispor
score	anticipation	0.477	pontuação
torture	anticipation	0.477	tortura
glow	anticipation	0.477	brilho
praiseworthy	anticipation	0.473	louvável
football	anticipation	0.469	futebol
scare	anticipation	0.469	susto
elite	anticipation	0.469	elite
unknown	anticipation	0.469	desconhecido
precursor	anticipation	0.469	precursor
pry	anticipation	0.469	alavanca
providing	anticipation	0.469	fornecendo
sweets	anticipation	0.469	doces
cautious	anticipation	0.469	cauteloso
opera	anticipation	0.469	ópera
motion	anticipation	0.469	movimento
cash	anticipation	0.469	dinheiro
creeping	anticipation	0.469	rastejante
invoke	anticipation	0.469	invocar
star	anticipation	0.469	Estrela
shaky	anticipation	0.469	instável
production	anticipation	0.469	Produção
successful	anticipation	0.469	bem sucedido
immediately	anticipation	0.469	imediatamente
dawn	anticipation	0.469	alvorecer
starry	anticipation	0.469	estrelado
unsurpassed	anticipation	0.469	insuperável
completion	anticipation	0.469	conclusão
hire	anticipation	0.469	contratar
fete	anticipation	0.469	festa
commemorative	anticipation	0.461	comemorativo
shining	anticipation	0.461	brilhando
testament	anticipation	0.461	testamento
pay	anticipation	0.461	pagar
alive	anticipation	0.461	vivo
plight	anticipation	0.461	situação
preliminary	anticipation	0.461	preliminares
overture	anticipation	0.461	abertura
sanctuary	anticipation	0.461	santuário
regatta	anticipation	0.461	regata
draft	anticipation	0.461	rascunho
synchronize	anticipation	0.461	sincronizar
soundness	anticipation	0.461	solidez
extricate	anticipation	0.461	libertar
excel	anticipation	0.461	sobressair
punt	anticipation	0.461	pontapé
untold	anticipation	0.461	incalculável
brilliant	anticipation	0.461	brilhante
cheerfulness	anticipation	0.461	alegria
jeopardy	anticipation	0.461	perigo
friendly	anticipation	0.461	amigáveis
mail	anticipation	0.461	correspondência
unexpected	anticipation	0.453	inesperado
basketball	anticipation	0.453	basquetebol
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	supremacia
rehabilitation	anticipation	0.453	reabilitação
intimately	anticipation	0.453	intimamente
career	anticipation	0.453	carreira
prevention	anticipation	0.453	prevenção
renovate	anticipation	0.453	renovar
compliment	anticipation	0.453	elogio
prologue	anticipation	0.453	prólogo
elegance	anticipation	0.453	elegância
complement	anticipation	0.453	complemento
flinch	anticipation	0.453	Vacilar
infinity	anticipation	0.453	infinidade
perpetuity	anticipation	0.453	perpetuidade
sunset	anticipation	0.453	pôr do sol
improve	anticipation	0.453	melhorar
fitting	anticipation	0.445	apropriado
confidence	anticipation	0.445	confiança
concealment	anticipation	0.445	ocultação
sweet	anticipation	0.445	doce
perfect	anticipation	0.445	perfeito
epidemic	anticipation	0.445	epidemia
fain	anticipation	0.445	faminto
volunteer	anticipation	0.445	voluntário
share	anticipation	0.445	compartilhar
surround	anticipation	0.445	cercar
conjecture	anticipation	0.445	conjetura
sun	anticipation	0.445	Sol
veracity	anticipation	0.445	veracidade
serial	anticipation	0.438	serial
angel	anticipation	0.438	anjo
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	santo
tickle	anticipation	0.438	cócegas
superstitious	anticipation	0.438	supersticioso
ferment	anticipation	0.438	fermentar
conservation	anticipation	0.438	conservação
devout	anticipation	0.438	devoto
respect	anticipation	0.438	respeito
reconstruction	anticipation	0.438	reconstrução
goodness	anticipation	0.438	bondade
reconstruct	anticipation	0.438	reconstruir
faith	anticipation	0.438	fé
recombination	anticipation	0.438	recombinação
prepared	anticipation	0.438	preparado
rabid	anticipation	0.438	raivoso
plea	anticipation	0.438	declarar
medical	anticipation	0.438	médico
passenger	anticipation	0.438	passageiro
charitable	anticipation	0.430	caridoso
tabulate	anticipation	0.430	tabular
peace	anticipation	0.430	Paz
install	anticipation	0.430	instalar
serenity	anticipation	0.430	serenidade
venerable	anticipation	0.430	venerável
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirinto
luscious	anticipation	0.430	delicioso
perpetuate	anticipation	0.430	perpetuar
strategist	anticipation	0.430	estrategista
unverified	anticipation	0.430	não verificado
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	aplaudir
peaceful	anticipation	0.422	pacífico
patience	anticipation	0.422	paciência
unresolved	anticipation	0.422	não resolvido
worship	anticipation	0.422	adoração
edification	anticipation	0.422	edificação
oasis	anticipation	0.422	oásis
grin	anticipation	0.422	sorriso
revere	anticipation	0.422	reverenciar
candid	anticipation	0.422	sincero
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	conspirador
adrift	anticipation	0.422	à deriva
recognizable	anticipation	0.422	reconhecível
volatility	anticipation	0.422	volatilidade
forestall	anticipation	0.422	prevenir
laughter	anticipation	0.422	risada
continue	anticipation	0.414	Prosseguir
ongoing	anticipation	0.414	em progresso
astrologer	anticipation	0.414	astrólogo
mediate	anticipation	0.414	mediar
punctual	anticipation	0.414	pontual
grant	anticipation	0.414	conceder
morn	anticipation	0.414	manhã
pretty	anticipation	0.414	bonito
withstand	anticipation	0.414	suportar
frisky	anticipation	0.414	brincalhão
thought	anticipation	0.414	pensamento
probation	anticipation	0.414	liberdade condicional
ordination	anticipation	0.414	ordenação
calls	anticipation	0.414	chamadas
detainee	anticipation	0.414	detido
craps	anticipation	0.414	craps
weigh	anticipation	0.414	pesar
proficiency	anticipation	0.414	competência
sing	anticipation	0.411	canta
continuation	anticipation	0.406	continuação
university	anticipation	0.406	universidade
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nutrir
mother	anticipation	0.406	mãe
punished	anticipation	0.406	punido
twinkle	anticipation	0.406	cintilação
confession	anticipation	0.406	confissão
outdo	anticipation	0.406	superar
prophylactic	anticipation	0.406	profilático
proud	anticipation	0.406	orgulhoso
midwife	anticipation	0.406	parteira
wizard	anticipation	0.406	bruxo
headlight	anticipation	0.406	Farol
long	anticipation	0.406	grandes
banquet	anticipation	0.406	banquete
comfort	anticipation	0.406	conforto
navigable	anticipation	0.406	navegável
subscribe	anticipation	0.406	se inscrever
opponent	anticipation	0.406	oponente
debenture	anticipation	0.406	debênture
deal	anticipation	0.402	acordo
symphony	anticipation	0.398	sinfonia
saintly	anticipation	0.398	santo
judiciary	anticipation	0.398	judiciário
lettered	anticipation	0.398	com letras
vigil	anticipation	0.398	vigília
reliance	anticipation	0.398	confiança
distracting	anticipation	0.398	perturbador
mortification	anticipation	0.398	mortificação
balm	anticipation	0.398	bálsamo
simmer	anticipation	0.398	ferver
top	anticipation	0.398	topo
obliging	anticipation	0.398	prestativo
efficient	anticipation	0.398	eficiente
guillotine	anticipation	0.398	guilhotina
representing	anticipation	0.398	representando
death	anticipation	0.398	morte
assurance	anticipation	0.391	garantia
familiarity	anticipation	0.391	familiaridade
depraved	anticipation	0.391	depravado
condemnation	anticipation	0.391	condenação
undoubted	anticipation	0.391	indubitável
sanctify	anticipation	0.391	santificar
diplomacy	anticipation	0.391	diplomacia
antidote	anticipation	0.391	antídoto
trust	anticipation	0.391	Confiar em
linger	anticipation	0.391	permanecer
objective	anticipation	0.391	objetivo
chuckle	anticipation	0.391	rir
poke	anticipation	0.391	cutucar
abeyance	anticipation	0.391	suspensão
maternal	anticipation	0.391	materno
art	anticipation	0.391	arte
unfulfilled	anticipation	0.391	insatisfeito
inoculation	anticipation	0.384	inoculação
simplify	anticipation	0.383	simplificar
depend	anticipation	0.383	depender
chant	anticipation	0.383	canto
ram	anticipation	0.383	RAM
banger	anticipation	0.383	estrondoso
playground	anticipation	0.383	Parque infantil
labor	anticipation	0.383	trabalho
scientist	anticipation	0.383	cientista
good	anticipation	0.383	Boa
humanitarian	anticipation	0.383	humanitário
failing	anticipation	0.383	falhando
hap	anticipation	0.383	feliz
dutiful	anticipation	0.383	obediente
hymn	anticipation	0.383	hino
ship	anticipation	0.383	navio
discretion	anticipation	0.383	critério
undecided	anticipation	0.383	indeciso
gradual	anticipation	0.375	gradual
navigator	anticipation	0.375	navegador
track	anticipation	0.375	acompanhar
cradle	anticipation	0.375	berço
sterling	anticipation	0.375	libras esterlinas
interim	anticipation	0.375	provisório
clock	anticipation	0.375	relógio
mountain	anticipation	0.375	montanha
interminable	anticipation	0.375	interminável
public	anticipation	0.375	público
recurrent	anticipation	0.375	recorrente
savor	anticipation	0.375	saborear
abide	anticipation	0.367	residir
concealed	anticipation	0.367	escondido
spear	anticipation	0.367	lança
lesson	anticipation	0.367	lição
instructions	anticipation	0.367	instruções
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	bienal
convince	anticipation	0.367	convencer
whim	anticipation	0.367	capricho
shiver	anticipation	0.367	arrepio
towering	anticipation	0.367	imponente
musical	anticipation	0.367	musical
offset	anticipation	0.359	Deslocamento
theory	anticipation	0.359	teoria
theology	anticipation	0.359	teologia
undying	anticipation	0.359	imortal
timidity	anticipation	0.359	timidez
plump	anticipation	0.359	gordo
atone	anticipation	0.359	expiar
audience	anticipation	0.357	público
dietary	anticipation	0.352	dietético
consecration	anticipation	0.352	consagração
localize	anticipation	0.352	localizar
paragon	anticipation	0.352	modelo
store	anticipation	0.352	armazenar
farm	anticipation	0.352	Fazenda
daily	anticipation	0.352	diário
cramp	anticipation	0.352	cãibra
nobility	anticipation	0.352	nobreza
closure	anticipation	0.352	fecho
edition	anticipation	0.352	edição
kindred	anticipation	0.352	parentesco
stripped	anticipation	0.344	despojado
errand	anticipation	0.344	incumbência
archaeology	anticipation	0.344	arqueologia
mutable	anticipation	0.344	mutável
wireless	anticipation	0.344	sem fio
meditate	anticipation	0.344	meditar
mobile	anticipation	0.344	Móvel
germ	anticipation	0.336	germe
brotherly	anticipation	0.336	fraternal
lessen	anticipation	0.336	diminuir
unbeaten	anticipation	0.336	invicto
pare	anticipation	0.336	aparar
buddy	anticipation	0.336	camarada
unaccountable	anticipation	0.336	inexplicável
dove	anticipation	0.328	pomba
patient	anticipation	0.328	paciente
secular	anticipation	0.328	secular
digress	anticipation	0.328	divagar
chastity	anticipation	0.328	castidade
council	anticipation	0.328	conselho
olfactory	anticipation	0.328	olfativo
ribbon	anticipation	0.328	fita
possess	anticipation	0.328	possuir
disposed	anticipation	0.320	descartado
scrutinize	anticipation	0.320	examinar minuciosamente
immature	anticipation	0.320	imaturo
mediator	anticipation	0.320	mediador
regularity	anticipation	0.320	regularidade
cove	anticipation	0.320	enseada
infanticide	anticipation	0.320	infanticídio
paddle	anticipation	0.320	remo
heft	anticipation	0.320	peso
fancy	anticipation	0.320	gostar
preservative	anticipation	0.320	conservante
unpublished	anticipation	0.312	inédito
church	anticipation	0.312	igreja
bugle	anticipation	0.312	cornetim
grim	anticipation	0.312	sinistro
denying	anticipation	0.312	negando
analyst	anticipation	0.312	analista
judicial	anticipation	0.305	judicial
priesthood	anticipation	0.305	sacerdócio
broadside	anticipation	0.305	costado
mill	anticipation	0.305	moinho
dismay	anticipation	0.297	desânimo
cap	anticipation	0.297	boné
thermocouple	anticipation	0.297	par termoelétrico
tributary	anticipation	0.297	afluente
instructor	anticipation	0.297	instrutor
exhaustion	anticipation	0.297	exaustão
saliva	anticipation	0.297	saliva
cataract	anticipation	0.289	catarata
network	anticipation	0.289	rede
visor	anticipation	0.289	viseira
shackle	anticipation	0.289	algemar
wont	anticipation	0.289	não vai
addresses	anticipation	0.289	endereços
discreet	anticipation	0.289	discreto
noncompliance	anticipation	0.289	descumprimento
bruise	anticipation	0.289	hematoma
homeless	anticipation	0.289	sem teto
astronomer	anticipation	0.281	astrônomo
skewed	anticipation	0.281	torto
neighbor	anticipation	0.281	vizinho
holiness	anticipation	0.273	santidade
devil	anticipation	0.273	diabo
picket	anticipation	0.273	piquete
sentence	anticipation	0.273	frase
latent	anticipation	0.273	latente
cream	anticipation	0.273	creme
immaturity	anticipation	0.273	imaturidade
habitual	anticipation	0.266	habitual
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	vizinhança
lull	anticipation	0.266	calmaria
bye	anticipation	0.258	tchau
weight	anticipation	0.258	peso
organ	anticipation	0.250	órgão
clown	anticipation	0.250	palhaço
forearm	anticipation	0.250	antebraço
commonplace	anticipation	0.242	comum
quote	anticipation	0.242	citar
rail	anticipation	0.234	trilho
dictatorship	anticipation	0.234	ditadura
treadmill	anticipation	0.234	esteira
board	anticipation	0.234	quadro
tree	anticipation	0.227	árvore
sundial	anticipation	0.227	relógio de sol
paralysis	anticipation	0.211	paralisia
cement	anticipation	0.203	cimento
worm	anticipation	0.203	minhoca
organization	anticipation	0.203	organização
lagging	anticipation	0.180	atrasado
neutral	anticipation	0.148	neutro
cannibalism	disgust	0.953	canibalismo
mutilation	disgust	0.930	mutilação
molestation	disgust	0.914	molestação
incest	disgust	0.914	incesto
rape	disgust	0.906	estupro
gonorrhea	disgust	0.906	gonorréia
cannibal	disgust	0.898	canibal
rot	disgust	0.891	podridão
corpse	disgust	0.883	cadáver
massacre	disgust	0.883	massacre
excrement	disgust	0.883	excremento
barf	disgust	0.875	vomitar
slaughter	disgust	0.875	abate
slaughterhouse	disgust	0.867	matadouro
incestuous	disgust	0.859	incestuoso
sewerage	disgust	0.859	sistema de esgoto
filth	disgust	0.859	sujeira
bigot	disgust	0.859	intolerante
rancid	disgust	0.859	rançoso
infestation	disgust	0.852	infestação
plague	disgust	0.852	praga
holocaust	disgust	0.852	holocausto
bloodthirsty	disgust	0.852	sanguinário
rotting	disgust	0.844	apodrecendo
fecal	disgust	0.844	fecal
maggot	disgust	0.844	larva
feces	disgust	0.844	fezes
murder	disgust	0.839	assassinato
asshole	disgust	0.836	Idiota
homicide	disgust	0.836	homicídio
enslaved	disgust	0.836	escravizado
infanticide	disgust	0.836	infanticídio
perverted	disgust	0.828	pervertido
excretion	disgust	0.828	excreção
gore	disgust	0.828	sangue
slaughtering	disgust	0.828	abate
torture	disgust	0.828	tortura
contaminate	disgust	0.821	contaminar
revolting	disgust	0.820	revoltante
gory	disgust	0.820	sangrento
shit	disgust	0.820	merda
terrorist	disgust	0.820	terrorista
murderer	disgust	0.820	assassino
repugnant	disgust	0.820	repugnante
manure	disgust	0.820	estrume
pervert	disgust	0.820	perverter
diarrhoea	disgust	0.820	diarréia
grotesque	disgust	0.820	grotesco
desecration	disgust	0.820	profanação
faeces	disgust	0.812	fezes
slavery	disgust	0.812	escravidão
sewer	disgust	0.812	esgoto
cadaver	disgust	0.812	cadáver
manslaughter	disgust	0.812	homicídio culposo
dismemberment	disgust	0.812	desmembramento
vomit	disgust	0.812	vomitar
perverse	disgust	0.805	perverso
repulsive	disgust	0.805	repulsivo
hemorrhage	disgust	0.805	hemorragia
sewage	disgust	0.797	esgoto
filthy	disgust	0.797	imundo
diseased	disgust	0.797	doente
depravity	disgust	0.797	depravação
carcass	disgust	0.795	carcaça
decompose	disgust	0.789	decompor
gruesome	disgust	0.789	horrível
mutilated	disgust	0.789	mutilado
puke	disgust	0.789	vomitar
herpes	disgust	0.789	herpes
decayed	disgust	0.789	deteriorado
dung	disgust	0.789	estrume
vermin	disgust	0.789	verme
murderous	disgust	0.789	assassino
parasite	disgust	0.789	parasita
horrific	disgust	0.789	horrível
carnage	disgust	0.781	carnificina
malaria	disgust	0.781	malária
slime	disgust	0.781	lodo
flatulence	disgust	0.781	flatulência
pestilence	disgust	0.781	peste
crap	disgust	0.781	porcaria
monstrosity	disgust	0.781	monstruosidade
loathsome	disgust	0.773	repugnante
toxic	disgust	0.773	tóxico
morgue	disgust	0.773	necrotério
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvírus
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	insidioso
cruel	disgust	0.766	cruel
regurgitation	disgust	0.766	regurgitação
anthrax	disgust	0.766	antraz
xenophobia	disgust	0.766	xenofobia
repugnance	disgust	0.766	repugnância
lynch	disgust	0.766	linchamento
revulsion	disgust	0.766	repulsa
whore	disgust	0.766	prostituta
dissection	disgust	0.759	dissecação
mucous	disgust	0.758	mucoso
canker	disgust	0.758	corroer
slum	disgust	0.758	favela
infectious	disgust	0.758	infeccioso
evil	disgust	0.758	mal
phlegm	disgust	0.758	catarro
cruelty	disgust	0.758	crueldade
perversion	disgust	0.758	perversão
sinister	disgust	0.750	sinistro
leeches	disgust	0.750	sanguessugas
corrupting	disgust	0.750	corrompendo
decomposition	disgust	0.750	decomposição
abomination	disgust	0.742	abominação
stinking	disgust	0.742	fedorento
bile	disgust	0.742	bile
demonic	disgust	0.742	demoníaco
deranged	disgust	0.742	perturbado
abhorrence	disgust	0.742	aversão
soiled	disgust	0.742	sujo
mucus	disgust	0.742	muco
septic	disgust	0.742	séptico
sickening	disgust	0.742	doentio
demon	disgust	0.742	demônio
cancer	disgust	0.734	Câncer
obese	disgust	0.734	obeso
degeneracy	disgust	0.734	degeneração
despicable	disgust	0.734	desprezível
atrocity	disgust	0.734	atrocidade
foul	disgust	0.734	falta
sicken	disgust	0.734	adoecer
crucifixion	disgust	0.734	crucificação
terrorism	disgust	0.734	terrorismo
repulsion	disgust	0.727	repulsão
morbidity	disgust	0.727	morbidade
dysentery	disgust	0.727	disenteria
enema	disgust	0.727	enema
bacterium	disgust	0.727	bactéria
dirty	disgust	0.727	sujo
adultery	disgust	0.727	adultério
contamination	disgust	0.727	contaminação
grisly	disgust	0.727	terrível
diabolical	disgust	0.727	diabólico
autopsy	disgust	0.719	autópsia
barbaric	disgust	0.719	bárbaro
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	entranhas
disgust	disgust	0.719	desgosto
lewd	disgust	0.719	sensual
muck	disgust	0.719	sujeira
bowels	disgust	0.719	entranhas
garbage	disgust	0.719	lixo
deterioration	disgust	0.719	deterioração
contagion	disgust	0.719	contágio
vicious	disgust	0.719	vicioso
disfigured	disgust	0.719	desfigurado
pungent	disgust	0.719	pungente
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	derramamento de sangue
gag	disgust	0.711	mordaça
pollute	disgust	0.711	poluir
nausea	disgust	0.711	náusea
tyrant	disgust	0.711	tirano
wretched	disgust	0.711	miserável
mortification	disgust	0.711	mortificação
violent	disgust	0.711	violento
poisoned	disgust	0.711	envenenado
nauseate	disgust	0.703	enjoar
slimy	disgust	0.703	viscoso
grope	disgust	0.703	tatear
slut	disgust	0.703	vagabunda
nasty	disgust	0.703	desagradável
disgusting	disgust	0.703	repugnante
depraved	disgust	0.703	depravado
porn	disgust	0.703	pornô
hateful	disgust	0.703	odioso
vulgarity	disgust	0.703	vulgaridade
noxious	disgust	0.703	nocivo
grime	disgust	0.703	sujeira
constipation	disgust	0.703	constipação
secretion	disgust	0.703	secreção
poisoning	disgust	0.703	envenenamento
despotism	disgust	0.703	despotismo
measles	disgust	0.696	sarampo
contagious	disgust	0.695	transmissível
obesity	disgust	0.695	obesidade
wart	disgust	0.695	verruga
hate	disgust	0.695	odiar
hellish	disgust	0.695	infernal
scum	disgust	0.695	escumalha
suicidal	disgust	0.695	suicida
wretch	disgust	0.695	miserável
abuse	disgust	0.695	Abuso
waste	disgust	0.695	desperdício
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	dirofilariose
ooze	disgust	0.688	escorrer
treason	disgust	0.688	traição
contaminated	disgust	0.688	contaminado
smut	disgust	0.688	obscenidade
disease	disgust	0.688	doença
rabid	disgust	0.688	raivoso
deformed	disgust	0.680	deformado
hell	disgust	0.680	inferno
soulless	disgust	0.680	Desumano
cholera	disgust	0.680	cólera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	anticristo
freakish	disgust	0.680	esquisito
germ	disgust	0.680	germe
detest	disgust	0.680	detestar
pollution	disgust	0.680	poluição
grimy	disgust	0.680	sujo
abhorrent	disgust	0.680	abominável
hatred	disgust	0.680	ódio
abominate	disgust	0.680	abominar
sickness	disgust	0.680	doença
hideous	disgust	0.672	medonho
dictatorship	disgust	0.672	ditadura
loathful	disgust	0.672	repugnante
greasy	disgust	0.672	gorduroso
dilapidated	disgust	0.672	dilapidado
inhuman	disgust	0.672	desumano
loathing	disgust	0.672	repugnância
obscene	disgust	0.672	obsceno
cess	disgust	0.670	cesso
devil	disgust	0.664	diabo
deformity	disgust	0.664	deformidade
nauseous	disgust	0.664	nauseante
deadly	disgust	0.664	mortal
swine	disgust	0.664	porco
discrimination	disgust	0.664	discriminação
abominable	disgust	0.664	abominável
masochism	disgust	0.664	masoquismo
heretic	disgust	0.664	herege
latrines	disgust	0.656	latrinas
corruption	disgust	0.656	corrupção
poisonous	disgust	0.656	venenoso
horror	disgust	0.656	Horror
nefarious	disgust	0.656	nefasto
bacteria	disgust	0.656	bactérias
horrible	disgust	0.656	horrível
trash	disgust	0.656	lixo
abortion	disgust	0.656	aborto
death	disgust	0.656	morte
prejudiced	disgust	0.656	preconceituoso
poison	disgust	0.656	tóxico
oppression	disgust	0.656	opressão
goo	disgust	0.656	gosma
victimized	disgust	0.656	vitimizado
mange	disgust	0.656	sarna
sludge	disgust	0.648	lama
trashy	disgust	0.648	inútil
vindictive	disgust	0.648	vingativo
horrid	disgust	0.648	horrível
ugly	disgust	0.648	feio
immoral	disgust	0.648	imoral
bitch	disgust	0.648	cadela
outhouse	disgust	0.648	casinha
detestation	disgust	0.648	detestação
horrifying	disgust	0.641	horripilante
laxative	disgust	0.641	laxante
unsightly	disgust	0.641	feio
derogatory	disgust	0.641	depreciativo
slop	disgust	0.641	despejar
malfeasance	disgust	0.641	prevaricação
spew	disgust	0.641	vomitar
pimple	disgust	0.641	espinha
criminality	disgust	0.641	criminalidade
indecency	disgust	0.641	indecência
cystic	disgust	0.641	cístico
villainous	disgust	0.641	vilão
queasy	disgust	0.633	enjoado
mildew	disgust	0.633	mofo
oppressive	disgust	0.633	opressivo
prostitution	disgust	0.633	prostituição
secrete	disgust	0.633	secretar
ulcer	disgust	0.633	úlcera
rat	disgust	0.633	rato
bigoted	disgust	0.633	intolerante
perpetrator	disgust	0.633	autor
doomsday	disgust	0.633	Apocalipse
sinful	disgust	0.633	pecaminoso
degrading	disgust	0.625	degradante
ghastly	disgust	0.625	medonho
suffering	disgust	0.625	Sofrimento
obscenity	disgust	0.625	obscenidade
devilish	disgust	0.625	diabólico
disgraceful	disgust	0.625	vergonhoso
persecution	disgust	0.625	perseguição
contemptible	disgust	0.625	desprezível
cuckold	disgust	0.625	corno
stools	disgust	0.625	fezes
dastardly	disgust	0.625	covarde
sin	disgust	0.625	pecado
gluttony	disgust	0.625	gula
bloated	disgust	0.625	inchado
fungus	disgust	0.625	fungo
aghast	disgust	0.625	horrorizado
diaper	disgust	0.617	fralda
malicious	disgust	0.617	malicioso
polygamy	disgust	0.617	poligamia
dying	disgust	0.617	moribundo
termite	disgust	0.617	cupim
fat	disgust	0.617	gordo
deceit	disgust	0.617	engano
atrocious	disgust	0.617	atroz
guillotine	disgust	0.617	guilhotina
tetanus	disgust	0.617	tétano
spoil	disgust	0.617	estragar
crusty	disgust	0.617	duro
sickly	disgust	0.617	doentio
louse	disgust	0.617	piolho
strangle	disgust	0.617	estrangular
betrayal	disgust	0.617	traição
loathe	disgust	0.617	detestar
wench	disgust	0.617	moça
infect	disgust	0.617	infectar
violently	disgust	0.609	violentamente
brothel	disgust	0.609	bordel
drool	disgust	0.609	babar
