English Word	Emotion	Emotion-Intensity-Score	Irish Word
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	bagairt
god	anticipation	0.484	dhia
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	gan mhíniú
contagion	anticipation	0.484	contagion
glorify	anticipation	0.477	glóirigh
submit	anticipation	0.477	cuir isteach
enroll	anticipation	0.477	clárú
unification	anticipation	0.477	aontú
gravitate	anticipation	0.477	imtharraingt
glide	anticipation	0.477	Sleamhnaigh
accompaniment	anticipation	0.477	tionlacan
cherish	anticipation	0.477	chothaímid
adore	anticipation	0.477	adhair
powerful	anticipation	0.477	cumhachtach
clue	anticipation	0.477	clue
medal	anticipation	0.477	bonn
contemplate	anticipation	0.477	machnamh
perilous	anticipation	0.477	contúirteach
determinate	anticipation	0.477	chinneadh
arbitration	anticipation	0.477	Eadrána
recipient	anticipation	0.477	faighteoir
onset	anticipation	0.477	tosaigh
predispose	anticipation	0.477	predispose
score	anticipation	0.477	scór
torture	anticipation	0.477	chéasadh
glow	anticipation	0.477	glow
praiseworthy	anticipation	0.473	inmholta
football	anticipation	0.469	peil
scare	anticipation	0.469	scanradh
elite	anticipation	0.469	mionlach
unknown	anticipation	0.469	anaithnid
precursor	anticipation	0.469	réamhtheachtaithe
pry	anticipation	0.469	prionsa
providing	anticipation	0.469	ag soláthar
sweets	anticipation	0.469	milseáin
cautious	anticipation	0.469	aireach
opera	anticipation	0.469	ceoldráma
motion	anticipation	0.469	tairiscint
cash	anticipation	0.469	airgead
creeping	anticipation	0.469	ag crith
invoke	anticipation	0.469	agairt
star	anticipation	0.469	réalta
shaky	anticipation	0.469	croitheadh
production	anticipation	0.469	táirgeadh
successful	anticipation	0.469	rathúil
immediately	anticipation	0.469	láithreach
dawn	anticipation	0.469	breacadh an lae
starry	anticipation	0.469	réalt
unsurpassed	anticipation	0.469	gan sárú
completion	anticipation	0.469	críochnú
hire	anticipation	0.469	fruiliú
fete	anticipation	0.469	féile
commemorative	anticipation	0.461	comórtha
shining	anticipation	0.461	ag lonrú
testament	anticipation	0.461	tiomna
pay	anticipation	0.461	pá
alive	anticipation	0.461	beo
plight	anticipation	0.461	staid
preliminary	anticipation	0.461	tosaigh
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	tearmann
regatta	anticipation	0.461	regata
draft	anticipation	0.461	dréacht
synchronize	anticipation	0.461	sioncronaigh
soundness	anticipation	0.461	fóntacht
extricate	anticipation	0.461	extricate
excel	anticipation	0.461	ar fheabhas
punt	anticipation	0.461	punt
untold	anticipation	0.461	adubhairt
brilliant	anticipation	0.461	thar cionn
cheerfulness	anticipation	0.461	cheerfulness
jeopardy	anticipation	0.461	contúirt
friendly	anticipation	0.461	cairdiúil
mail	anticipation	0.461	phost
unexpected	anticipation	0.453	gan choinne
basketball	anticipation	0.453	cispheil
inaugural	anticipation	0.453	tionscnaimh
supremacy	anticipation	0.453	ardcheannas
rehabilitation	anticipation	0.453	athshlánú
intimately	anticipation	0.453	go dlúth
career	anticipation	0.453	gairme
prevention	anticipation	0.453	chosc
renovate	anticipation	0.453	athnuachan
compliment	anticipation	0.453	moladh
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	galántacht
complement	anticipation	0.453	comhlánú
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	éigríoch
perpetuity	anticipation	0.453	suthain
sunset	anticipation	0.453	luí na gréine
improve	anticipation	0.453	feabhas
fitting	anticipation	0.445	feistiú
confidence	anticipation	0.445	muinín
concealment	anticipation	0.445	ceilt
sweet	anticipation	0.445	milis
perfect	anticipation	0.445	foirfe
epidemic	anticipation	0.445	eipidéim
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	deonach
share	anticipation	0.445	sciar
surround	anticipation	0.445	timpeall
conjecture	anticipation	0.445	tuairimíocht
sun	anticipation	0.445	ghrian
veracity	anticipation	0.445	fírinneacht
serial	anticipation	0.438	sraitheach
angel	anticipation	0.438	aingeal
aloha	anticipation	0.438	aló
saint	anticipation	0.438	naomh
tickle	anticipation	0.438	tickle
superstitious	anticipation	0.438	piseog
ferment	anticipation	0.438	coipeadh
conservation	anticipation	0.438	caomhnú
devout	anticipation	0.438	diabhail
respect	anticipation	0.438	meas
reconstruction	anticipation	0.438	atógáil
goodness	anticipation	0.438	maitheas
reconstruct	anticipation	0.438	athchruthaigh
faith	anticipation	0.438	Creideamh
recombination	anticipation	0.438	athmheascadh
prepared	anticipation	0.438	ullmhaithe
rabid	anticipation	0.438	rabid
plea	anticipation	0.438	phléadáil
medical	anticipation	0.438	leighis
passenger	anticipation	0.438	paisinéir
charitable	anticipation	0.430	carthanachta
tabulate	anticipation	0.430	tábla
peace	anticipation	0.430	síocháin
install	anticipation	0.430	shuiteáil
serenity	anticipation	0.430	suaimhneas
venerable	anticipation	0.430	venerable
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinth
luscious	anticipation	0.430	lusach
perpetuate	anticipation	0.430	buan
strategist	anticipation	0.430	straiteoir
unverified	anticipation	0.430	neamhfhíoraithe
tribunal	anticipation	0.430	binse
clap	anticipation	0.430	bualadh bos
peaceful	anticipation	0.422	suaimhneach
patience	anticipation	0.422	foighne
unresolved	anticipation	0.422	gan réiteach
worship	anticipation	0.422	adhradh
edification	anticipation	0.422	eagna
oasis	anticipation	0.422	ósais
grin	anticipation	0.422	grin
revere	anticipation	0.422	urraim
candid	anticipation	0.422	cantalach
vista	anticipation	0.422	radharc
conspirator	anticipation	0.422	comhcheilg
adrift	anticipation	0.422	sruth
recognizable	anticipation	0.422	inaitheanta
volatility	anticipation	0.422	luaineacht
forestall	anticipation	0.422	foraois
laughter	anticipation	0.422	gáire
continue	anticipation	0.414	leanúint ar aghaidh
ongoing	anticipation	0.414	leanúnach
astrologer	anticipation	0.414	réalteolaí
mediate	anticipation	0.414	idirghabháil
punctual	anticipation	0.414	poncúil
grant	anticipation	0.414	deontas
morn	anticipation	0.414	maidin
pretty	anticipation	0.414	deas
withstand	anticipation	0.414	sheasamh
frisky	anticipation	0.414	friscach
thought	anticipation	0.414	smaoinigh
probation	anticipation	0.414	promhaidh
ordination	anticipation	0.414	ordú
calls	anticipation	0.414	glaonna
detainee	anticipation	0.414	coinneálaí
craps	anticipation	0.414	craps
weigh	anticipation	0.414	meáigh
proficiency	anticipation	0.414	oilteacht
sing	anticipation	0.411	canadh
continuation	anticipation	0.406	leanúint
university	anticipation	0.406	ollscoile
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	chothú
mother	anticipation	0.406	Máthair
punished	anticipation	0.406	phionósú
twinkle	anticipation	0.406	tintreach
confession	anticipation	0.406	admháil
outdo	anticipation	0.406	amuigh
prophylactic	anticipation	0.406	próifiolacsach
proud	anticipation	0.406	bródúil
midwife	anticipation	0.406	cnáimhseach
wizard	anticipation	0.406	draoi
headlight	anticipation	0.406	ceannlampa
long	anticipation	0.406	fada
banquet	anticipation	0.406	féasta
comfort	anticipation	0.406	compord
navigable	anticipation	0.406	inseolta
subscribe	anticipation	0.406	liostáil
opponent	anticipation	0.406	comhraic
debenture	anticipation	0.406	bintiúir
deal	anticipation	0.402	déileáil
symphony	anticipation	0.398	shiansach
saintly	anticipation	0.398	naofa
judiciary	anticipation	0.398	breithiúna
lettered	anticipation	0.398	litreach
vigil	anticipation	0.398	faire
reliance	anticipation	0.398	brath
distracting	anticipation	0.398	ag seachrán
mortification	anticipation	0.398	mortadh
balm	anticipation	0.398	balm
simmer	anticipation	0.398	suanbhruith
top	anticipation	0.398	barr
obliging	anticipation	0.398	oibleagáid
efficient	anticipation	0.398	éifeachtach
guillotine	anticipation	0.398	gilitín
representing	anticipation	0.398	ag déanamh ionadaíochta
death	anticipation	0.398	bás
assurance	anticipation	0.391	dearbhaithe
familiarity	anticipation	0.391	aithne
depraved	anticipation	0.391	depraved
condemnation	anticipation	0.391	cáineadh
undoubted	anticipation	0.391	gan dabht
sanctify	anticipation	0.391	naomhaigh
diplomacy	anticipation	0.391	taidhleoireacht
antidote	anticipation	0.391	frithcheann
trust	anticipation	0.391	muinín
linger	anticipation	0.391	fhanann
objective	anticipation	0.391	cuspóir
chuckle	anticipation	0.391	béic
poke	anticipation	0.391	poc
abeyance	anticipation	0.391	ar seachrán
maternal	anticipation	0.391	mháthar
art	anticipation	0.391	ealaín
unfulfilled	anticipation	0.391	neamhchomhlíonta
inoculation	anticipation	0.384	ionaclaithe
simplify	anticipation	0.383	shimpliú
depend	anticipation	0.383	ag brath
chant	anticipation	0.383	cantaireacht
ram	anticipation	0.383	Ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	clós súgartha
labor	anticipation	0.383	saothair
scientist	anticipation	0.383	eolaí
good	anticipation	0.383	maith
humanitarian	anticipation	0.383	daonnúla
failing	anticipation	0.383	ag teip
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	dualgasach
hymn	anticipation	0.383	iomann
ship	anticipation	0.383	long
discretion	anticipation	0.383	discréid
undecided	anticipation	0.383	gan cinneadh
gradual	anticipation	0.375	de réir a chéile
navigator	anticipation	0.375	loingseoir
track	anticipation	0.375	rian
cradle	anticipation	0.375	chliabhán
sterling	anticipation	0.375	steirling
interim	anticipation	0.375	eatramhach
clock	anticipation	0.375	clog
mountain	anticipation	0.375	sliabh
interminable	anticipation	0.375	eatartha
public	anticipation	0.375	poiblí
recurrent	anticipation	0.375	athfhillteach
savor	anticipation	0.375	bhlaiseadh
abide	anticipation	0.367	cloí
concealed	anticipation	0.367	folaithe
spear	anticipation	0.367	speir
lesson	anticipation	0.367	ceacht
instructions	anticipation	0.367	treoracha
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	débhliantúil
convince	anticipation	0.367	Cuir ina luí air
whim	anticipation	0.367	whim
shiver	anticipation	0.367	crith
towering	anticipation	0.367	arda
musical	anticipation	0.367	ceolmhar
offset	anticipation	0.359	fhritháireamh
theory	anticipation	0.359	teoiric
theology	anticipation	0.359	diagacht
undying	anticipation	0.359	undying
timidity	anticipation	0.359	timidity
plump	anticipation	0.359	plump
atone	anticipation	0.359	atóin
audience	anticipation	0.357	lucht féachana
dietary	anticipation	0.352	aiste bia
consecration	anticipation	0.352	coisrigeadh
localize	anticipation	0.352	logánú
paragon	anticipation	0.352	paragon
store	anticipation	0.352	stór
farm	anticipation	0.352	feirm
daily	anticipation	0.352	laethúil
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	uaisle
closure	anticipation	0.352	dúnadh
edition	anticipation	0.352	eagrán
kindred	anticipation	0.352	gaolta
stripped	anticipation	0.344	stripped
errand	anticipation	0.344	earráid
archaeology	anticipation	0.344	seandálaíocht
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	Gan sreang
meditate	anticipation	0.344	meditate
mobile	anticipation	0.344	soghluaiste
germ	anticipation	0.336	frídín
brotherly	anticipation	0.336	deartháracha
lessen	anticipation	0.336	laghdú
unbeaten	anticipation	0.336	gan buille
pare	anticipation	0.336	par
buddy	anticipation	0.336	cara
unaccountable	anticipation	0.336	neamhfhreagrach
dove	anticipation	0.328	colm
patient	anticipation	0.328	othar
secular	anticipation	0.328	tuata
digress	anticipation	0.328	digress
chastity	anticipation	0.328	diamhaireacht
council	anticipation	0.328	comhairle
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	ribín
possess	anticipation	0.328	seilbh
disposed	anticipation	0.320	diúscartha
scrutinize	anticipation	0.320	grinnscrúdú
immature	anticipation	0.320	neamhaibí
mediator	anticipation	0.320	idirghabhálaí
regularity	anticipation	0.320	rialtacht
cove	anticipation	0.320	cuas
infanticide	anticipation	0.320	naíonmharú
paddle	anticipation	0.320	stuáil
heft	anticipation	0.320	heft
fancy	anticipation	0.320	mhaisiúil
preservative	anticipation	0.320	leasaitheach
unpublished	anticipation	0.312	neamhfhoilsithe
church	anticipation	0.312	eaglais
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	gruama
denying	anticipation	0.312	ag séanadh
analyst	anticipation	0.312	anailísí
judicial	anticipation	0.305	breithiúnach
priesthood	anticipation	0.305	sagartacht
broadside	anticipation	0.305	leathann
mill	anticipation	0.305	muileann
dismay	anticipation	0.297	diomailt
cap	anticipation	0.297	caipín
thermocouple	anticipation	0.297	teirmeachúpla
tributary	anticipation	0.297	fo-abhainn
instructor	anticipation	0.297	teagascóir
exhaustion	anticipation	0.297	traochta
saliva	anticipation	0.297	seile
cataract	anticipation	0.289	catarachta
network	anticipation	0.289	líonra
visor	anticipation	0.289	scáthlán
shackle	anticipation	0.289	geimhle
wont	anticipation	0.289	ní bheidh
addresses	anticipation	0.289	seoltaí
discreet	anticipation	0.289	discréideach
noncompliance	anticipation	0.289	neamhchomhlíonadh
bruise	anticipation	0.289	bruise
homeless	anticipation	0.289	gan dídean
astronomer	anticipation	0.281	réalteolaí
skewed	anticipation	0.281	sceabhach
neighbor	anticipation	0.281	comharsa
holiness	anticipation	0.273	beannaitheacht
devil	anticipation	0.273	diabhal
picket	anticipation	0.273	picéad
sentence	anticipation	0.273	abairt
latent	anticipation	0.273	Folaigh
cream	anticipation	0.273	uachtar
immaturity	anticipation	0.273	neamhaibíocht
habitual	anticipation	0.266	gnáthach
morals	anticipation	0.266	mhoráltacht
neighborhood	anticipation	0.266	comharsanacht
lull	anticipation	0.266	lull
bye	anticipation	0.258	slán
weight	anticipation	0.258	meáchan
organ	anticipation	0.250	orgán
clown	anticipation	0.250	clown
forearm	anticipation	0.250	forearm
commonplace	anticipation	0.242	coitianta
quote	anticipation	0.242	cuóta
rail	anticipation	0.234	iarnród
dictatorship	anticipation	0.234	deachtóireacht
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	bord
tree	anticipation	0.227	crann
sundial	anticipation	0.227	scairt gréine
paralysis	anticipation	0.211	pairilis
cement	anticipation	0.203	stroighin
worm	anticipation	0.203	péist
organization	anticipation	0.203	eagraíocht
lagging	anticipation	0.180	tite
neutral	anticipation	0.148	neodrach
cannibalism	disgust	0.953	cannibalism
mutilation	disgust	0.930	ciorrú
molestation	disgust	0.914	molestation
incest	disgust	0.914	ciorrú coil
rape	disgust	0.906	éigniú
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	cannibal
rot	disgust	0.891	lobhadh
corpse	disgust	0.883	corp
massacre	disgust	0.883	masla
excrement	disgust	0.883	eisfhearadh
barf	disgust	0.875	barf
slaughter	disgust	0.875	maraithe
slaughterhouse	disgust	0.867	seamlas
incestuous	disgust	0.859	ionramhacha
sewerage	disgust	0.859	séarachais
filth	disgust	0.859	filth
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rannta
infestation	disgust	0.852	inmhíolú
plague	disgust	0.852	phlá
holocaust	disgust	0.852	uileloscadh
bloodthirsty	disgust	0.852	tart fola
rotting	disgust	0.844	ag lobhadh
fecal	disgust	0.844	fecal
maggot	disgust	0.844	draoithe
feces	disgust	0.844	feces
murder	disgust	0.839	dúnmharú
asshole	disgust	0.836	asshole
homicide	disgust	0.836	dúnmharú
enslaved	disgust	0.836	sclábhaithe
infanticide	disgust	0.836	naíonmharú
perverted	disgust	0.828	shaobhadh
excretion	disgust	0.828	eisfhearadh
gore	disgust	0.828	goire
slaughtering	disgust	0.828	marú
torture	disgust	0.828	chéasadh
contaminate	disgust	0.821	éilliú
revolting	disgust	0.820	ag éirí amach
gory	disgust	0.820	gory
shit	disgust	0.820	cac
terrorist	disgust	0.820	sceimhlitheoir
murderer	disgust	0.820	dúnmharfóir
repugnant	disgust	0.820	repugnant
manure	disgust	0.820	aoileach
pervert	disgust	0.820	shaobhadh
diarrhoea	disgust	0.820	buinneach
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	desecration
faeces	disgust	0.812	faecas
slavery	disgust	0.812	sclábhaíocht
sewer	disgust	0.812	séarach
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	dúnorgain
dismemberment	disgust	0.812	dismemberment
vomit	disgust	0.812	urlacan
perverse	disgust	0.805	claon
repulsive	disgust	0.805	repulsive
hemorrhage	disgust	0.805	hemorrhage
sewage	disgust	0.797	séarachais
filthy	disgust	0.797	scagach
diseased	disgust	0.797	ghalraithe
depravity	disgust	0.797	depravity
carcass	disgust	0.795	conablach
decompose	disgust	0.789	dhianscaoileann
gruesome	disgust	0.789	uafásach
mutilated	disgust	0.789	loit
puke	disgust	0.789	puc
herpes	disgust	0.789	deir
decayed	disgust	0.789	lofa
dung	disgust	0.789	aoiligh
vermin	disgust	0.789	míolra
murderous	disgust	0.789	dúnmharfach
parasite	disgust	0.789	seadán
horrific	disgust	0.789	uafásach
carnage	disgust	0.781	carnage
malaria	disgust	0.781	maláire
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	plaigh
crap	disgust	0.781	cacamas
monstrosity	disgust	0.781	monstrosity
loathsome	disgust	0.773	loathsome
toxic	disgust	0.773	tocsaineach
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lobhra
insidious	disgust	0.773	insidious
cruel	disgust	0.766	cruálach
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	antrax
xenophobia	disgust	0.766	seineafóibe
repugnance	disgust	0.766	repugnance
lynch	disgust	0.766	lions
revulsion	disgust	0.766	revulsion
whore	disgust	0.766	fraochÚn
dissection	disgust	0.759	deighilt
mucous	disgust	0.758	múcasacha
canker	disgust	0.758	cancair
slum	disgust	0.758	sluma
infectious	disgust	0.758	tógálach
evil	disgust	0.758	olc
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	cruálacht
perversion	disgust	0.758	perversion
sinister	disgust	0.750	sinister
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	truaillithe
decomposition	disgust	0.750	lobhadh
abomination	disgust	0.742	abomination
stinking	disgust	0.742	ag teannadh
bile	disgust	0.742	bile
demonic	disgust	0.742	diamhanach
deranged	disgust	0.742	deranged
abhorrence	disgust	0.742	fuath
soiled	disgust	0.742	salach
mucus	disgust	0.742	mucus
septic	disgust	0.742	seipteach
sickening	disgust	0.742	tinn
demon	disgust	0.742	deamhan
cancer	disgust	0.734	ailse
obese	disgust	0.734	murtallach
degeneracy	disgust	0.734	degeneracy
despicable	disgust	0.734	suarach
atrocity	disgust	0.734	achrann
foul	disgust	0.734	bréan
sicken	disgust	0.734	tinn
crucifixion	disgust	0.734	céasadh
terrorism	disgust	0.734	sceimhlitheoireacht
repulsion	disgust	0.727	éaradh
morbidity	disgust	0.727	galracht
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	baictéar
dirty	disgust	0.727	salach
adultery	disgust	0.727	adhaltranas
contamination	disgust	0.727	éilliú
grisly	disgust	0.727	gríosach
diabolical	disgust	0.727	diabolach
autopsy	disgust	0.719	uathóipse
barbaric	disgust	0.719	barbarach
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	iontráil
disgust	disgust	0.719	disgust
lewd	disgust	0.719	lag
muck	disgust	0.719	muic
bowels	disgust	0.719	bputóg
garbage	disgust	0.719	truflais
deterioration	disgust	0.719	meath
contagion	disgust	0.719	contagion
vicious	disgust	0.719	fí
disfigured	disgust	0.719	disfigured
pungent	disgust	0.719	pungent
gross	disgust	0.719	comhlán
bloodshed	disgust	0.714	doirteadh fola
gag	disgust	0.711	gobán
pollute	disgust	0.711	truaillithe
nausea	disgust	0.711	nausea
tyrant	disgust	0.711	anfhlaith
wretched	disgust	0.711	truagh
mortification	disgust	0.711	mortadh
violent	disgust	0.711	foréigneach
poisoned	disgust	0.711	nimhe
nauseate	disgust	0.703	nauseate
slimy	disgust	0.703	caol
grope	disgust	0.703	grope
slut	disgust	0.703	slut
nasty	disgust	0.703	dána
disgusting	disgust	0.703	disgusting
depraved	disgust	0.703	depraved
porn	disgust	0.703	porn
hateful	disgust	0.703	fuathmhar
vulgarity	disgust	0.703	leochaileacht
noxious	disgust	0.703	urchóideach
grime	disgust	0.703	gruaim
constipation	disgust	0.703	constipation
secretion	disgust	0.703	rún
poisoning	disgust	0.703	nimhiú
despotism	disgust	0.703	despotism
measles	disgust	0.696	an bhruitíneach
contagious	disgust	0.695	tógálach
obesity	disgust	0.695	raimhre
wart	disgust	0.695	wart
hate	disgust	0.695	fuath
hellish	disgust	0.695	ifreann
scum	disgust	0.695	scum
suicidal	disgust	0.695	féinmharfach
wretch	disgust	0.695	truaigh
abuse	disgust	0.695	mí-úsáid
waste	disgust	0.695	dramhaíl
intestinal	disgust	0.695	stéigeach
heartworm	disgust	0.688	péist croí
ooze	disgust	0.688	ooze
treason	disgust	0.688	tréas
contaminated	disgust	0.688	éillithe
smut	disgust	0.688	smut
disease	disgust	0.688	galar
rabid	disgust	0.688	rabid
deformed	disgust	0.680	dífhoirmithe
hell	disgust	0.680	ifreann
soulless	disgust	0.680	gan anam
cholera	disgust	0.680	calar
bestial	disgust	0.680	fearrial
antichrist	disgust	0.680	frithchríost
freakish	disgust	0.680	anchúinse
germ	disgust	0.680	frídín
detest	disgust	0.680	truaigh
pollution	disgust	0.680	truailliú
grimy	disgust	0.680	gruaim
abhorrent	disgust	0.680	uaigneach
hatred	disgust	0.680	fuath
abominate	disgust	0.680	abominate
sickness	disgust	0.680	breoiteachta
hideous	disgust	0.672	folach
dictatorship	disgust	0.672	deachtóireacht
loathful	disgust	0.672	loathful
greasy	disgust	0.672	ramhar
dilapidated	disgust	0.672	dilapidated
inhuman	disgust	0.672	mídhaonna
loathing	disgust	0.672	loathing
obscene	disgust	0.672	gáirsiúil
cess	disgust	0.670	scoir
devil	disgust	0.664	diabhal
deformity	disgust	0.664	deformity
nauseous	disgust	0.664	suarach
deadly	disgust	0.664	marfach
swine	disgust	0.664	muc
discrimination	disgust	0.664	leithcheal
abominable	disgust	0.664	abominable
masochism	disgust	0.664	masochism
heretic	disgust	0.664	heretic
latrines	disgust	0.656	leithris
corruption	disgust	0.656	caimiléireacht
poisonous	disgust	0.656	nimhiúil
horror	disgust	0.656	uafás
nefarious	disgust	0.656	nimhneach
bacteria	disgust	0.656	baictéir
horrible	disgust	0.656	uafás
trash	disgust	0.656	bruscar
abortion	disgust	0.656	ginmhilleadh
death	disgust	0.656	bás
prejudiced	disgust	0.656	dochar
poison	disgust	0.656	nimhe
oppression	disgust	0.656	cos ar bolg
goo	disgust	0.656	goo
victimized	disgust	0.656	íospairt
mange	disgust	0.656	mange
sludge	disgust	0.648	sloda
trashy	disgust	0.648	bruscar
vindictive	disgust	0.648	díchreidmheach
horrid	disgust	0.648	uafás
ugly	disgust	0.648	gránna
immoral	disgust	0.648	mímhorálta
bitch	disgust	0.648	soith
outhouse	disgust	0.648	teach amuigh
detestation	disgust	0.648	léirscrios
horrifying	disgust	0.641	uafás
laxative	disgust	0.641	purgóideach bheith mar thoradh
unsightly	disgust	0.641	mímhaiseach
derogatory	disgust	0.641	dímheasúil
slop	disgust	0.641	slop
malfeasance	disgust	0.641	drochmheas
spew	disgust	0.641	spew
pimple	disgust	0.641	pimple
criminality	disgust	0.641	choiriúlacht
indecency	disgust	0.641	mígheanasacht
cystic	disgust	0.641	chisteach
villainous	disgust	0.641	villainous
queasy	disgust	0.633	queasy
mildew	disgust	0.633	liathroid
oppressive	disgust	0.633	leatromach
prostitution	disgust	0.633	striapachas
secrete	disgust	0.633	rún
ulcer	disgust	0.633	ulcer
rat	disgust	0.633	francach
bigoted	disgust	0.633	bigoted
perpetrator	disgust	0.633	coire
doomsday	disgust	0.633	doomsday
sinful	disgust	0.633	peacach
degrading	disgust	0.625	táireach
ghastly	disgust	0.625	go hainnis
suffering	disgust	0.625	fulaingt
obscenity	disgust	0.625	graostacht
devilish	disgust	0.625	diabhail
disgraceful	disgust	0.625	náireach
persecution	disgust	0.625	géarleanúint
contemptible	disgust	0.625	suarach
cuckold	disgust	0.625	cuach
stools	disgust	0.625	stóil
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	peaca
gluttony	disgust	0.625	gliondar
bloated	disgust	0.625	faoi bhláth
fungus	disgust	0.625	fungas
aghast	disgust	0.625	suarach
diaper	disgust	0.617	diaper
malicious	disgust	0.617	mailíseach
polygamy	disgust	0.617	polygamy
dying	disgust	0.617	ag fáil bháis
termite	disgust	0.617	téarmaite
fat	disgust	0.617	saille
deceit	disgust	0.617	cealg
atrocious	disgust	0.617	uafásach
guillotine	disgust	0.617	gilitín
tetanus	disgust	0.617	teiteanas
spoil	disgust	0.617	millte
crusty	disgust	0.617	crústa
sickly	disgust	0.617	tinn
louse	disgust	0.617	mionlach
strangle	disgust	0.617	stríoc
betrayal	disgust	0.617	feall
loathe	disgust	0.617	fuath
wench	disgust	0.617	wench
infect	disgust	0.617	infect
violently	disgust	0.609	go foréigneach
brothel	disgust	0.609	drúthlann
drool	disgust	0.609	drool
bleeding	disgust	0.609	fuiliú
deform	disgust	0.609	deform
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	venomous
abhor	disgust	0.609	fuath
slander	disgust	0.609	clúmhilleadh
hostile	disgust	0.609	naimhdeach
musty	disgust	0.602	musty
illicit	disgust	0.602	aindleathach
ugliness	disgust	0.602	gránna
unwashed	disgust	0.602	gan nite
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	díothacht
poaching	disgust	0.602	póitseáil
hag	disgust	0.602	cailleach
infidel	disgust	0.602	infidel
imprisonment	disgust	0.602	príosúnacht
traitor	disgust	0.602	fealltóir
lunacy	disgust	0.602	gealtachta
queasiness	disgust	0.594	uaigneas
hostility	disgust	0.594	naimhdeas
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	ar meisce
thug	disgust	0.594	thug
catastrophe	disgust	0.594	tubaiste
lunatic	disgust	0.594	gealtachta
misery	disgust	0.594	truaighe
venom	disgust	0.594	venom
butcher	disgust	0.594	búistéir
toilet	disgust	0.594	leithreas
blister	disgust	0.594	blister
lurid	disgust	0.594	lurid
slug	disgust	0.594	sluga
gut	disgust	0.594	guta
sinner	disgust	0.594	peacach
deceitful	disgust	0.594	mealltach
epidemic	disgust	0.594	eipidéim
deteriorated	disgust	0.586	meathlaithe
lavatory	disgust	0.586	leithris
unclean	disgust	0.586	neamhghlan
prostitute	disgust	0.586	striapach
incubus	disgust	0.586	incubus
appalling	disgust	0.586	uafásach
dreadful	disgust	0.586	suarach
pornography	disgust	0.586	pornagrafaíocht
harass	disgust	0.586	ciapadh
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	díbirt
unfaithful	disgust	0.578	mídhlisteanach
offensive	disgust	0.578	maslach
hypocrite	disgust	0.578	hypocrite
humiliating	disgust	0.578	náireach
larceny	disgust	0.578	larceny
ruinous	disgust	0.578	fothrach
retard	disgust	0.578	retard
rash	disgust	0.578	gríos
flea	disgust	0.578	fleá
debauchery	disgust	0.578	debauchery
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	sceithire
conspirator	disgust	0.578	comhcheilg
sick	disgust	0.578	tinn
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	coinín
egregious	disgust	0.570	uafásach
flog	disgust	0.570	flog
despise	disgust	0.570	ghrain
treacherous	disgust	0.570	fealltach
oppress	disgust	0.570	leatrom
swamp	disgust	0.570	luascadh
messy	disgust	0.570	praiseach
spit	disgust	0.570	spit
dank	disgust	0.570	dana
bastard	disgust	0.570	bastaird
devastating	disgust	0.570	tubaisteach
serpent	disgust	0.570	nathair
loo	disgust	0.562	loo
indecent	disgust	0.562	mígheanasach
insanity	disgust	0.562	gealtachta
stealing	disgust	0.562	ag goid
terrible	disgust	0.562	uafásach
tyrannical	disgust	0.562	tíoránta
humiliation	disgust	0.562	náiriú
snake	disgust	0.562	nathair
sloppy	disgust	0.562	slopach
