English Word	Emotion	Emotion-Intensity-Score	Filipino Word
adventure	anticipation	0.750	pakikipagsapalaran
expectance	anticipation	0.750	pag-asa
climax	anticipation	0.742	kasukdulan
prophecy	anticipation	0.742	propesiya
expect	anticipation	0.742	asahan
excite	anticipation	0.742	excite
arouse	anticipation	0.742	pukawin
eager	anticipation	0.742	sabik
ejaculation	anticipation	0.734	bulalas
birth	anticipation	0.734	kapanganakan
announcement	anticipation	0.734	anunsyo
expectancy	anticipation	0.727	pag-asa
expecting	anticipation	0.727	umaasa
imminent	anticipation	0.727	nalalapit na
liberation	anticipation	0.727	pagpapalaya
urgent	anticipation	0.727	apurahan
trepidation	anticipation	0.719	kaba
reunion	anticipation	0.719	reunion
prospection	anticipation	0.719	pag-asam
voyage	anticipation	0.719	paglalayag
prospect	anticipation	0.719	inaasam-asam
aspire	anticipation	0.719	maghangad
rapture	anticipation	0.711	rapture
suspense	anticipation	0.711	pananabik
journey	anticipation	0.711	paglalakbay
kiss	anticipation	0.711	halikan
enthusiasm	anticipation	0.711	sigasig
yearning	anticipation	0.711	pananabik
ecstasy	anticipation	0.711	lubos na kaligayahan
mystery	anticipation	0.711	misteryo
prospective	anticipation	0.703	prospective
frantic	anticipation	0.703	galit na galit
destination	anticipation	0.703	patutunguhan
excitation	anticipation	0.703	kaguluhan
lottery	anticipation	0.703	lottery
hopeful	anticipation	0.703	umaasa
thrill	anticipation	0.703	kiligin
progress	anticipation	0.703	pag-unlad
urgency	anticipation	0.703	pagmamadali
tantalizing	anticipation	0.703	mapanukso
liberate	anticipation	0.695	palayain
hurry	anticipation	0.695	magmadali
explore	anticipation	0.695	galugarin
advance	anticipation	0.695	advance
vacation	anticipation	0.695	bakasyon
sex	anticipation	0.695	kasarian
achievement	anticipation	0.695	tagumpay
readiness	anticipation	0.695	kahandaan
expectation	anticipation	0.695	inaasahan
prediction	anticipation	0.695	hula
arrival	anticipation	0.695	pagdating
allure	anticipation	0.688	pang-akit
ecstatic	anticipation	0.688	tuwang-tuwa
approaching	anticipation	0.688	papalapit
honeymoon	anticipation	0.680	hanimun
roulette	anticipation	0.680	roulette
uprising	anticipation	0.680	pag-aalsa
holiday	anticipation	0.672	holiday
crescendo	anticipation	0.672	crescendo
celebrating	anticipation	0.672	nagdiriwang
wishful	anticipation	0.672	nagnanais
waiting	anticipation	0.664	naghihintay
invitation	anticipation	0.664	imbitasyon
rescue	anticipation	0.664	iligtas
impending	anticipation	0.664	nalalapit
winning	anticipation	0.664	panalo
craving	anticipation	0.664	pananabik
winnings	anticipation	0.664	panalo
triumph	anticipation	0.664	pagtatagumpay
orgasm	anticipation	0.664	orgasm
marriage	anticipation	0.656	kasal
bridal	anticipation	0.656	pangkasal
victory	anticipation	0.656	tagumpay
courtship	anticipation	0.656	panliligaw
gain	anticipation	0.656	makakuha
aspiring	anticipation	0.656	naghahangad
strive	anticipation	0.656	magsikap
reward	anticipation	0.656	gantimpala
celebration	anticipation	0.656	pagdiriwang
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	kasintahang lalaki
fortune	anticipation	0.656	swerte
tomorrow	anticipation	0.648	bukas
rising	anticipation	0.648	tumataas
inheritance	anticipation	0.648	mana
alertness	anticipation	0.648	pagiging alerto
crowning	anticipation	0.648	pagpaparangal
aspiration	anticipation	0.648	hangad
delivery	anticipation	0.648	paghahatid
opportunity	anticipation	0.648	pagkakataon
intrigue	anticipation	0.648	intriga
prescient	anticipation	0.648	prescient
treasure	anticipation	0.648	kayamanan
erotic	anticipation	0.641	erotiko
revolution	anticipation	0.641	rebolusyon
launch	anticipation	0.641	ilunsad
reckoning	anticipation	0.641	pagtutuos
prognosis	anticipation	0.641	pagbabala
happiness	anticipation	0.641	kaligayahan
celebrated	anticipation	0.641	ipinagdiwang
receiving	anticipation	0.641	tumatanggap
possibility	anticipation	0.641	posibilidad
expedition	anticipation	0.641	ekspedisyon
bride	anticipation	0.641	nobya
engaged	anticipation	0.641	engaged
anxious	anticipation	0.641	balisa
hype	anticipation	0.641	hype
spectacular	anticipation	0.641	kagila-gilalas
award	anticipation	0.641	parangal
prepare	anticipation	0.633	maghanda
coming	anticipation	0.633	pagdating
graduation	anticipation	0.633	graduation
destiny	anticipation	0.633	tadhana
miracle	anticipation	0.633	himala
beware	anticipation	0.633	mag-ingat
succeed	anticipation	0.633	magtagumpay
passionate	anticipation	0.633	madamdamin
birthday	anticipation	0.633	kaarawan
passion	anticipation	0.633	pagsinta
ominous	anticipation	0.633	nagbabala
captivate	anticipation	0.633	mabihag
vision	anticipation	0.633	pangitain
delight	anticipation	0.633	galak
curious	anticipation	0.633	mausisa
firstborn	anticipation	0.633	panganay
await	anticipation	0.633	maghintay
triumphant	anticipation	0.625	nagtatagumpay
escape	anticipation	0.625	tumakas
optimism	anticipation	0.625	optimismo
retirement	anticipation	0.625	pagreretiro
foresee	anticipation	0.625	mahulaan
inspiration	anticipation	0.625	inspirasyon
ripen	anticipation	0.625	pahinugin
gift	anticipation	0.625	regalo
revival	anticipation	0.625	muling pagbabangon
lust	anticipation	0.625	pagnanasa
risky	anticipation	0.617	delikado
foreboding	anticipation	0.617	pag-iisip
bloom	anticipation	0.617	namumulaklak
verge	anticipation	0.617	gilid
embrace	anticipation	0.617	yakapin
destined	anticipation	0.617	nakatadhana
surprisingly	anticipation	0.617	nakakagulat
ambition	anticipation	0.617	ambisyon
simmering	anticipation	0.617	kumukulo
enchanting	anticipation	0.617	kaakit-akit
foresight	anticipation	0.617	pananaw sa kinabukasan
lookout	anticipation	0.609	pagbabantay
anxiety	anticipation	0.609	pagkabalisa
forecast	anticipation	0.609	pagtataya
seductive	anticipation	0.609	mapang-akit
bonus	anticipation	0.609	bonus
succeeding	anticipation	0.609	nagtatagumpay
matrimony	anticipation	0.609	matrimonyo
magical	anticipation	0.609	mahiwaga
alerts	anticipation	0.609	mga alerto
winner	anticipation	0.602	nagwagi
applicant	anticipation	0.602	aplikante
fulfillment	anticipation	0.602	katuparan
deserve	anticipation	0.602	nararapat
inspire	anticipation	0.602	magbigay ng inspirasyon
foreseen	anticipation	0.602	nahuhulaan
intended	anticipation	0.602	sinadya
boomerang	anticipation	0.602	boomerang
picnic	anticipation	0.602	piknik
longing	anticipation	0.602	pananabik
revenge	anticipation	0.602	paghihiganti
success	anticipation	0.602	tagumpay
diagnosis	anticipation	0.602	diagnosis
visionary	anticipation	0.602	visionary
prophetic	anticipation	0.602	makahulang
entertaining	anticipation	0.602	kawili-wili
nervous	anticipation	0.602	kinakabahan
illuminate	anticipation	0.594	lumiwanag
accelerate	anticipation	0.594	pabilisin
advent	anticipation	0.594	pagdating
romance	anticipation	0.594	pagmamahalan
result	anticipation	0.594	resulta
arrive	anticipation	0.594	dumating
momentum	anticipation	0.594	momentum
buzz	anticipation	0.594	buzz
rekindle	anticipation	0.594	muling magpainit
preparedness	anticipation	0.594	paghahanda
acquiring	anticipation	0.594	pagkuha
luck	anticipation	0.594	swerte
marry	anticipation	0.594	magpakasal
predict	anticipation	0.589	hulaan
money	anticipation	0.586	pera
auspices	anticipation	0.586	tangkilikin
uplift	anticipation	0.586	pagtaas
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	tinatangkilik
preparation	anticipation	0.586	paghahanda
raffle	anticipation	0.586	raffle
investigation	anticipation	0.586	pagsisiyasat
progression	anticipation	0.586	pag-unlad
overdue	anticipation	0.586	overdue na
crave	anticipation	0.586	manabik nang labis
impatient	anticipation	0.586	naiinip
enthusiast	anticipation	0.586	mahilig
flirt	anticipation	0.586	lumandi
seek	anticipation	0.586	Humanap
sequel	anticipation	0.586	sumunod na pangyayari
presumption	anticipation	0.586	pagpapalagay
delightful	anticipation	0.586	nakakatuwa
gambling	anticipation	0.586	pagsusugal
immerse	anticipation	0.586	isawsaw
endeavor	anticipation	0.586	pagsusumikap
experiment	anticipation	0.580	eksperimento
enjoy	anticipation	0.578	magsaya
completing	anticipation	0.578	pagkumpleto
clamor	anticipation	0.578	hiyawan
angling	anticipation	0.578	pangingisda
majestic	anticipation	0.578	maringal
divination	anticipation	0.578	panghuhula
transcendence	anticipation	0.578	transendence
thriving	anticipation	0.578	umuunlad
excavation	anticipation	0.578	paghuhukay
thirst	anticipation	0.578	pagkauhaw
remedy	anticipation	0.578	lunas
harvest	anticipation	0.578	ani
risk	anticipation	0.578	panganib
healing	anticipation	0.578	paglunas
heavenly	anticipation	0.578	makalangit
inviting	anticipation	0.578	nag-aanyaya
precarious	anticipation	0.578	walang katiyakan
attainable	anticipation	0.578	maaabot
blessing	anticipation	0.578	pagpapala
prosper	anticipation	0.578	umunlad
tease	anticipation	0.570	panunukso
plan	anticipation	0.570	plano
sweetheart	anticipation	0.570	syota
zest	anticipation	0.570	sarap
magnificence	anticipation	0.570	kadakilaan
ultimate	anticipation	0.570	panghuli
emancipation	anticipation	0.570	pagpapalaya
restlessness	anticipation	0.570	pagkabalisa
finally	anticipation	0.570	sa wakas
intimate	anticipation	0.570	intimate
omen	anticipation	0.570	tanda
matchmaker	anticipation	0.570	matchmaker
gambler	anticipation	0.570	sugarol
prospectively	anticipation	0.570	prospectively
dare	anticipation	0.570	maglakas-loob
warned	anticipation	0.570	binalaan
invite	anticipation	0.570	mag-anyaya
mysterious	anticipation	0.562	mahiwaga
accolade	anticipation	0.562	parangal
lover	anticipation	0.562	magkasintahan
expose	anticipation	0.562	ilantad
enchant	anticipation	0.562	mang-akit
attempt	anticipation	0.562	tangka
festival	anticipation	0.562	pagdiriwang
exalt	anticipation	0.562	dakilain
rejoice	anticipation	0.562	magalak
independence	anticipation	0.562	pagsasarili
expected	anticipation	0.562	inaasahan
fanfare	anticipation	0.562	katuwaan
immortality	anticipation	0.562	imortalidad
quicken	anticipation	0.562	pabilisin
parade	anticipation	0.562	parada
fun	anticipation	0.562	masaya
predilection	anticipation	0.562	predilection
champion	anticipation	0.562	kampeon
forewarned	anticipation	0.562	paunang babala
hypothesis	anticipation	0.562	hypothesis
trophy	anticipation	0.562	tropeo
shopping	anticipation	0.555	pamimili
salvation	anticipation	0.555	kaligtasan
feeling	anticipation	0.555	pakiramdam
speculative	anticipation	0.555	haka-haka
oracle	anticipation	0.555	orakulo
heroism	anticipation	0.555	kabayanihan
boisterous	anticipation	0.555	maingay
grasping	anticipation	0.555	paghawak
uneasiness	anticipation	0.555	pagkabalisa
curiosity	anticipation	0.555	kuryusidad
happy	anticipation	0.555	masaya
rejoicing	anticipation	0.555	nagsasaya
fate	anticipation	0.555	kapalaran
liberty	anticipation	0.555	kalayaan
unfold	anticipation	0.555	ibuka
amour	anticipation	0.555	pagmamahalan
lovely	anticipation	0.555	kaibig-ibig
splendor	anticipation	0.555	karingalan
grow	anticipation	0.555	lumaki
glimmer	anticipation	0.547	kumislap
incite	anticipation	0.547	mag-udyok
abundance	anticipation	0.547	kasaganaan
resultant	anticipation	0.547	resulta
probability	anticipation	0.547	probabilidad
recreational	anticipation	0.547	libangan
glory	anticipation	0.547	kaluwalhatian
agape	anticipation	0.547	agape
delighted	anticipation	0.547	natutuwa
changeable	anticipation	0.547	nababago
convergence	anticipation	0.547	convergence
bountiful	anticipation	0.547	masagana
warn	anticipation	0.547	balaan
monetary	anticipation	0.547	pera
sorcery	anticipation	0.547	pangkukulam
morrow	anticipation	0.547	kinabukasan
apprehensive	anticipation	0.547	nangangamba
hungry	anticipation	0.547	gutom
vote	anticipation	0.547	bumoto
suspicious	anticipation	0.547	kahina-hinala
pray	anticipation	0.547	manalangin
leisure	anticipation	0.547	paglilibang
hunting	anticipation	0.539	pangangaso
sensual	anticipation	0.539	sensual
tempest	anticipation	0.539	unos
auction	anticipation	0.539	subasta
ballot	anticipation	0.539	balota
grandchildren	anticipation	0.539	mga apo
hankering	anticipation	0.539	pagnanasa
entertainment	anticipation	0.539	Aliwan
merge	anticipation	0.539	pagsamahin
exceed	anticipation	0.539	lumampas
vindication	anticipation	0.539	pagpapatunay
blessings	anticipation	0.539	pagpapala
inquiry	anticipation	0.539	pagtatanong
bounty	anticipation	0.539	bounty
worrying	anticipation	0.539	nag-aalala
contingent	anticipation	0.539	contingent
glad	anticipation	0.536	masaya
harbinger	anticipation	0.531	tagapagbalita
magnificent	anticipation	0.531	kahanga-hanga
virginity	anticipation	0.531	pagkabirhen
stealthy	anticipation	0.531	patago
appeal	anticipation	0.531	apela
forming	anticipation	0.531	bumubuo
celestial	anticipation	0.531	makalangit
raving	anticipation	0.531	nagra-raving
deliverance	anticipation	0.531	pagpapalaya
feat	anticipation	0.531	feat
cheer	anticipation	0.531	magsaya
responsive	anticipation	0.531	tumutugon
hurried	anticipation	0.531	nagmamadali
betrothed	anticipation	0.531	katipan
overthrow	anticipation	0.531	ibagsak
spirits	anticipation	0.531	mga espiritu
dread	anticipation	0.531	pangamba
visitor	anticipation	0.531	bisita
wait	anticipation	0.523	maghintay
revive	anticipation	0.523	buhayin
watch	anticipation	0.523	panoorin
hunter	anticipation	0.523	mangangaso
radiance	anticipation	0.523	ningning
planning	anticipation	0.523	pagpaplano
germination	anticipation	0.523	pagsibol
competition	anticipation	0.523	kompetisyon
preparatory	anticipation	0.523	paghahanda
prognostic	anticipation	0.523	prognostic
beaming	anticipation	0.523	kumikinang
cheery	anticipation	0.523	masayahin
prevail	anticipation	0.523	mananaig
importance	anticipation	0.523	kahalagahan
notification	anticipation	0.523	abiso
explosive	anticipation	0.523	pampasabog
pleasant	anticipation	0.523	kaaya-aya
ultimately	anticipation	0.523	sa huli
child	anticipation	0.523	bata
haste	anticipation	0.523	pagmamadali
prophet	anticipation	0.523	propeta
recreation	anticipation	0.516	libangan
present	anticipation	0.516	kasalukuyan
time	anticipation	0.516	oras
sensuality	anticipation	0.516	kahalayan
owing	anticipation	0.516	utang
loom	anticipation	0.516	habihan
begun	anticipation	0.516	nagsimula
salary	anticipation	0.516	suweldo
celebrity	anticipation	0.516	tanyag na tao
treat	anticipation	0.516	gamutin
chocolate	anticipation	0.516	tsokolate
caution	anticipation	0.516	pag-iingat
fermentation	anticipation	0.516	pagbuburo
uncontrollable	anticipation	0.516	hindi mapigil
precious	anticipation	0.516	mahalaga
compensate	anticipation	0.516	bayaran
endanger	anticipation	0.516	nanganganib
renovation	anticipation	0.516	pagsasaayos
signify	anticipation	0.508	magpahiwatig
vigilance	anticipation	0.508	pagbabantay
prerequisite	anticipation	0.508	kinakailangan
perfection	anticipation	0.508	pagiging perpekto
cultivate	anticipation	0.508	linangin
develop	anticipation	0.508	bumuo
cue	anticipation	0.508	pahiwatig
exigent	anticipation	0.508	kailangan
transitional	anticipation	0.508	transisyonal
commemoration	anticipation	0.508	paggunita
intermission	anticipation	0.508	intermission
elevation	anticipation	0.508	elevation
infant	anticipation	0.508	sanggol
practise	anticipation	0.508	pagsasanay
contemplation	anticipation	0.508	pagmumuni-muni
dreadful	anticipation	0.508	kakila-kilabot
wilderness	anticipation	0.508	ilang
horizon	anticipation	0.508	abot-tanaw
sneaking	anticipation	0.500	pagnanakaw
uphill	anticipation	0.500	paakyat
puppy	anticipation	0.500	tuta
blindfold	anticipation	0.500	takip ng mata
unbridled	anticipation	0.500	walang pigil
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	paliparan
reconciliation	anticipation	0.500	pagkakasundo
advocacy	anticipation	0.500	adbokasiya
litigate	anticipation	0.500	litisin
sunny	anticipation	0.500	maaraw
intuitively	anticipation	0.500	intuitively
hero	anticipation	0.500	bayani
ardent	anticipation	0.500	masigasig
commemorate	anticipation	0.500	gunitain
romantic	anticipation	0.500	romantiko
doomsday	anticipation	0.500	araw ng katapusan
ready	anticipation	0.500	handa na
nascent	anticipation	0.500	pagsilang
invocation	anticipation	0.500	panawagan
depart	anticipation	0.500	umalis
undisclosed	anticipation	0.500	hindi isiniwalat
attendance	anticipation	0.500	pagdalo
peril	anticipation	0.500	panganib
income	anticipation	0.500	kita
calculation	anticipation	0.500	pagkalkula
zeal	anticipation	0.500	kasigasigan
eventuality	anticipation	0.500	kaganapan
favorable	anticipation	0.500	kanais-nais
utopian	anticipation	0.500	utopiya
swim	anticipation	0.500	lumangoy
proceeding	anticipation	0.492	nagpapatuloy
eventual	anticipation	0.492	sa wakas
heyday	anticipation	0.492	kaarawan
undertaking	anticipation	0.492	pagsasagawa
improvise	anticipation	0.492	mag-improvise
inauguration	anticipation	0.492	inagurasyon
consequent	anticipation	0.492	kinahinatnan
perspective	anticipation	0.492	pananaw
defense	anticipation	0.492	pagtatanggol
repay	anticipation	0.492	bayaran
gaping	anticipation	0.492	nakanganga
youth	anticipation	0.492	kabataan
parole	anticipation	0.492	parol
worry	anticipation	0.492	mag-alala
bless	anticipation	0.492	pagpalain
restorative	anticipation	0.492	pambawi
court	anticipation	0.492	hukuman
highest	anticipation	0.491	pinakamataas
shortly	anticipation	0.484	maya-maya
auspicious	anticipation	0.484	mapalad
princely	anticipation	0.484	prinsipe
correspondence	anticipation	0.484	pagsusulatan
generosity	anticipation	0.484	pagkabukas-palad
sparkle	anticipation	0.484	kislap
voluptuous	anticipation	0.484	masigla
happen	anticipation	0.484	mangyari
tremor	anticipation	0.484	panginginig
letter	anticipation	0.484	sulat
vow	anticipation	0.484	panata
sharpen	anticipation	0.484	patalasin
duel	anticipation	0.484	tunggalian
conjure	anticipation	0.484	mag-isip
threaten	anticipation	0.484	pagbabanta
god	anticipation	0.484	diyos
engulf	anticipation	0.484	lamunin
unexplained	anticipation	0.484	hindi maipaliwanag
contagion	anticipation	0.484	pagkahawa
glorify	anticipation	0.477	luwalhatiin
submit	anticipation	0.477	ipasa
enroll	anticipation	0.477	magpatala
unification	anticipation	0.477	pagkakaisa
gravitate	anticipation	0.477	mag-gravitate
glide	anticipation	0.477	dumausdos
accompaniment	anticipation	0.477	saliw
cherish	anticipation	0.477	pahalagahan
adore	anticipation	0.477	sambahin
powerful	anticipation	0.477	makapangyarihan
clue	anticipation	0.477	bakas
medal	anticipation	0.477	medalya
contemplate	anticipation	0.477	pag-isipan
perilous	anticipation	0.477	delikado
determinate	anticipation	0.477	determinado
arbitration	anticipation	0.477	arbitrasyon
recipient	anticipation	0.477	tatanggap
onset	anticipation	0.477	simula
predispose	anticipation	0.477	predispose
score	anticipation	0.477	puntos
torture	anticipation	0.477	pagpapahirap
glow	anticipation	0.477	mamula
praiseworthy	anticipation	0.473	kapuri-puri
football	anticipation	0.469	football
scare	anticipation	0.469	takutin
elite	anticipation	0.469	piling tao
unknown	anticipation	0.469	hindi kilala
precursor	anticipation	0.469	pasimula
pry	anticipation	0.469	sikmurain
providing	anticipation	0.469	pagbibigay
sweets	anticipation	0.469	matamis
cautious	anticipation	0.469	maingat
opera	anticipation	0.469	opera
motion	anticipation	0.469	galaw
cash	anticipation	0.469	cash
creeping	anticipation	0.469	gumagapang
invoke	anticipation	0.469	panawagan
star	anticipation	0.469	bituin
shaky	anticipation	0.469	nanginginig
production	anticipation	0.469	produksyon
successful	anticipation	0.469	matagumpay
immediately	anticipation	0.469	kaagad
dawn	anticipation	0.469	madaling araw
starry	anticipation	0.469	mabituin
unsurpassed	anticipation	0.469	walang kapantay
completion	anticipation	0.469	pagkumpleto
hire	anticipation	0.469	upa
fete	anticipation	0.469	pista
commemorative	anticipation	0.461	commemorative
shining	anticipation	0.461	nagniningning
testament	anticipation	0.461	testamento
pay	anticipation	0.461	magbayad
alive	anticipation	0.461	buhay
plight	anticipation	0.461	kalagayan
preliminary	anticipation	0.461	paunang
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	santuwaryo
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	burador
synchronize	anticipation	0.461	pagsabayin
soundness	anticipation	0.461	kagalingan
extricate	anticipation	0.461	paalisin
excel	anticipation	0.461	excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	hindi masabi
brilliant	anticipation	0.461	napakatalino
cheerfulness	anticipation	0.461	pagiging masayahin
jeopardy	anticipation	0.461	panganib
friendly	anticipation	0.461	palakaibigan
mail	anticipation	0.461	mail
unexpected	anticipation	0.453	hindi inaasahan
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	inaugural
supremacy	anticipation	0.453	pangingibabaw
rehabilitation	anticipation	0.453	rehabilitasyon
intimately	anticipation	0.453	intimately
career	anticipation	0.453	karera
prevention	anticipation	0.453	pag-iwas
renovate	anticipation	0.453	ayusin
compliment	anticipation	0.453	papuri
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	kakisigan
complement	anticipation	0.453	pandagdag
flinch	anticipation	0.453	kumindat
infinity	anticipation	0.453	kawalang-hanggan
perpetuity	anticipation	0.453	walang hanggan
sunset	anticipation	0.453	paglubog ng araw
improve	anticipation	0.453	mapabuti
fitting	anticipation	0.445	angkop
confidence	anticipation	0.445	kumpiyansa
concealment	anticipation	0.445	pagtatago
sweet	anticipation	0.445	matamis
perfect	anticipation	0.445	perpekto
epidemic	anticipation	0.445	epidemya
fain	anticipation	0.445	malabo
volunteer	anticipation	0.445	boluntaryo
share	anticipation	0.445	ibahagi
surround	anticipation	0.445	palibutan
conjecture	anticipation	0.445	haka-haka
sun	anticipation	0.445	araw
veracity	anticipation	0.445	katotohanan
serial	anticipation	0.438	serial
angel	anticipation	0.438	anghel
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	santo
tickle	anticipation	0.438	kiliti
superstitious	anticipation	0.438	mapamahiin
ferment	anticipation	0.438	umasim
conservation	anticipation	0.438	konserbasyon
devout	anticipation	0.438	madasalin
respect	anticipation	0.438	paggalang
reconstruction	anticipation	0.438	muling pagtatayo
goodness	anticipation	0.438	kabutihan
reconstruct	anticipation	0.438	muling buuin
faith	anticipation	0.438	pananampalataya
recombination	anticipation	0.438	recombination
prepared	anticipation	0.438	pinaghandaan
rabid	anticipation	0.438	galit na galit
plea	anticipation	0.438	pagsusumamo
medical	anticipation	0.438	medikal
passenger	anticipation	0.438	pasahero
charitable	anticipation	0.430	kawanggawa
tabulate	anticipation	0.430	mag-tabulate
peace	anticipation	0.430	kapayapaan
install	anticipation	0.430	i-install
serenity	anticipation	0.430	katahimikan
venerable	anticipation	0.430	kagalang-galang
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirint
luscious	anticipation	0.430	masarap
perpetuate	anticipation	0.430	ipagpatuloy
strategist	anticipation	0.430	strategist
unverified	anticipation	0.430	hindi na-verify
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	pumalakpak
peaceful	anticipation	0.422	mapayapa
patience	anticipation	0.422	pasensya
unresolved	anticipation	0.422	hindi nalutas
worship	anticipation	0.422	pagsamba
edification	anticipation	0.422	pagpapatibay
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	ngumisi
revere	anticipation	0.422	igalang
candid	anticipation	0.422	tapat
vista	anticipation	0.422	tanawin
conspirator	anticipation	0.422	kasabwat
adrift	anticipation	0.422	naaanod
recognizable	anticipation	0.422	nakikilala
volatility	anticipation	0.422	pagkasumpungin
forestall	anticipation	0.422	maunahan
laughter	anticipation	0.422	tawa
continue	anticipation	0.414	magpatuloy
ongoing	anticipation	0.414	patuloy
astrologer	anticipation	0.414	astrologo
mediate	anticipation	0.414	mamagitan
punctual	anticipation	0.414	maagap
grant	anticipation	0.414	bigyan
morn	anticipation	0.414	umaga
pretty	anticipation	0.414	maganda
withstand	anticipation	0.414	makatiis
frisky	anticipation	0.414	malikot
thought	anticipation	0.414	naisip
probation	anticipation	0.414	probasyon
ordination	anticipation	0.414	ordinasyon
calls	anticipation	0.414	mga tawag
detainee	anticipation	0.414	nakakulong
craps	anticipation	0.414	mga dumi
weigh	anticipation	0.414	timbangin
proficiency	anticipation	0.414	kahusayan
sing	anticipation	0.411	kumanta
continuation	anticipation	0.406	pagpapatuloy
university	anticipation	0.406	unibersidad
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	pagyamanin
mother	anticipation	0.406	ina
punished	anticipation	0.406	pinarusahan
twinkle	anticipation	0.406	kumislap
confession	anticipation	0.406	pagtatapat
outdo	anticipation	0.406	malampasan
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	ipinagmamalaki
midwife	anticipation	0.406	komadrona
wizard	anticipation	0.406	wizard
headlight	anticipation	0.406	headlight
long	anticipation	0.406	mahaba
banquet	anticipation	0.406	piging
comfort	anticipation	0.406	kaginhawaan
navigable	anticipation	0.406	navigable
subscribe	anticipation	0.406	mag-subscribe
opponent	anticipation	0.406	kalaban
debenture	anticipation	0.406	utang
deal	anticipation	0.402	deal
symphony	anticipation	0.398	symphony
saintly	anticipation	0.398	banal
judiciary	anticipation	0.398	hudikatura
lettered	anticipation	0.398	may sulat
vigil	anticipation	0.398	pagpupuyat
reliance	anticipation	0.398	pagtitiwala
distracting	anticipation	0.398	nakakagambala
mortification	anticipation	0.398	kahihiyan
balm	anticipation	0.398	balsamo
simmer	anticipation	0.398	kumulo
top	anticipation	0.398	itaas
obliging	anticipation	0.398	nagpapautang
efficient	anticipation	0.398	mabisa
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	kumakatawan
death	anticipation	0.398	kamatayan
assurance	anticipation	0.391	katiyakan
familiarity	anticipation	0.391	pagiging pamilyar
depraved	anticipation	0.391	masama ang loob
condemnation	anticipation	0.391	pagkondena
undoubted	anticipation	0.391	walang alinlangan
sanctify	anticipation	0.391	magpabanal
diplomacy	anticipation	0.391	diplomasya
antidote	anticipation	0.391	panlunas
trust	anticipation	0.391	magtiwala
linger	anticipation	0.391	magtagal
objective	anticipation	0.391	layunin
chuckle	anticipation	0.391	tumawa
poke	anticipation	0.391	sundutin
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	maternal
art	anticipation	0.391	sining
unfulfilled	anticipation	0.391	hindi natupad
inoculation	anticipation	0.384	pagbabakuna
simplify	anticipation	0.383	pasimplehin
depend	anticipation	0.383	depende
chant	anticipation	0.383	umawit
ram	anticipation	0.383	tupa
banger	anticipation	0.383	banger
playground	anticipation	0.383	palaruan
labor	anticipation	0.383	paggawa
scientist	anticipation	0.383	siyentipiko
good	anticipation	0.383	mabuti
humanitarian	anticipation	0.383	makatao
failing	anticipation	0.383	nabigo
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	masunurin
hymn	anticipation	0.383	himno
ship	anticipation	0.383	barko
discretion	anticipation	0.383	pagpapasya
undecided	anticipation	0.383	undecided
gradual	anticipation	0.375	unti-unti
navigator	anticipation	0.375	navigator
track	anticipation	0.375	subaybayan
cradle	anticipation	0.375	duyan
sterling	anticipation	0.375	esterlina
interim	anticipation	0.375	pansamantala
clock	anticipation	0.375	orasan
mountain	anticipation	0.375	bundok
interminable	anticipation	0.375	walang katapusan
public	anticipation	0.375	pampubliko
recurrent	anticipation	0.375	paulit-ulit
savor	anticipation	0.375	sarap
abide	anticipation	0.367	manatili
concealed	anticipation	0.367	nakatago
spear	anticipation	0.367	sibat
lesson	anticipation	0.367	aralin
instructions	anticipation	0.367	mga tagubilin
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	kumbinsihin
whim	anticipation	0.367	kapritso
shiver	anticipation	0.367	nanginginig
towering	anticipation	0.367	matayog
musical	anticipation	0.367	musikal
offset	anticipation	0.359	offset
theory	anticipation	0.359	teorya
theology	anticipation	0.359	teolohiya
undying	anticipation	0.359	walang kamatayan
timidity	anticipation	0.359	pagkamahiyain
plump	anticipation	0.359	matambok
atone	anticipation	0.359	magbayad-sala
audience	anticipation	0.357	madla
dietary	anticipation	0.352	pandiyeta
consecration	anticipation	0.352	pagtatalaga
localize	anticipation	0.352	i-localize
paragon	anticipation	0.352	huwaran
store	anticipation	0.352	tindahan
farm	anticipation	0.352	sakahan
daily	anticipation	0.352	araw-araw
cramp	anticipation	0.352	cramp
