English Word	Emotion	Emotion-Intensity-Score	Esperanto Word
inaugural	anticipation	0.453	inaŭgura
supremacy	anticipation	0.453	supereco
rehabilitation	anticipation	0.453	rehabilitado
intimately	anticipation	0.453	intime
career	anticipation	0.453	kariero
prevention	anticipation	0.453	prevento
renovate	anticipation	0.453	renovigi
compliment	anticipation	0.453	komplimento
prologue	anticipation	0.453	prologo
elegance	anticipation	0.453	eleganteco
complement	anticipation	0.453	komplemento
flinch	anticipation	0.453	ektiri
infinity	anticipation	0.453	senfineco
perpetuity	anticipation	0.453	eterneco
sunset	anticipation	0.453	sunsubiro
improve	anticipation	0.453	plibonigi
fitting	anticipation	0.445	konvena
confidence	anticipation	0.445	konfido
concealment	anticipation	0.445	kaŝado
sweet	anticipation	0.445	dolĉa
perfect	anticipation	0.445	perfekta
epidemic	anticipation	0.445	epidemia
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	volontulo
share	anticipation	0.445	kunhavigi
surround	anticipation	0.445	ĉirkaŭi
conjecture	anticipation	0.445	konjekto
sun	anticipation	0.445	sunon
veracity	anticipation	0.445	vereco
serial	anticipation	0.438	serialo
angel	anticipation	0.438	anĝelo
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	sanktulo
tickle	anticipation	0.438	tikli
superstitious	anticipation	0.438	superstiĉa
ferment	anticipation	0.438	fermenti
conservation	anticipation	0.438	konservado
devout	anticipation	0.438	devota
respect	anticipation	0.438	respekto
reconstruction	anticipation	0.438	rekonstruo
goodness	anticipation	0.438	bono
reconstruct	anticipation	0.438	rekonstrui
faith	anticipation	0.438	fido
recombination	anticipation	0.438	rekombino
prepared	anticipation	0.438	preparita
rabid	anticipation	0.438	rabia
plea	anticipation	0.438	pledo
medical	anticipation	0.438	medicina
passenger	anticipation	0.438	pasaĝero
charitable	anticipation	0.430	bonfara
tabulate	anticipation	0.430	tabeligi
peace	anticipation	0.430	pacon
install	anticipation	0.430	instali
serenity	anticipation	0.430	sereneco
venerable	anticipation	0.430	respektinda
spa	anticipation	0.430	banurbo
labyrinth	anticipation	0.430	labirinto
luscious	anticipation	0.430	bongusta
perpetuate	anticipation	0.430	eternigi
strategist	anticipation	0.430	strategiisto
unverified	anticipation	0.430	nekontrolita
tribunal	anticipation	0.430	tribunalo
clap	anticipation	0.430	aplaŭdi
peaceful	anticipation	0.422	paca
patience	anticipation	0.422	pacienco
unresolved	anticipation	0.422	nesolvita
worship	anticipation	0.422	adori
edification	anticipation	0.422	edifo
oasis	anticipation	0.422	oazo
grin	anticipation	0.422	grin
revere	anticipation	0.422	revere
candid	anticipation	0.422	sincera
vista	anticipation	0.422	vido
conspirator	anticipation	0.422	konspiranto
adrift	anticipation	0.422	deriva
recognizable	anticipation	0.422	rekonebla
volatility	anticipation	0.422	volatilo
forestall	anticipation	0.422	preventi
laughter	anticipation	0.422	ridado
continue	anticipation	0.414	daŭrigi
ongoing	anticipation	0.414	daŭranta
astrologer	anticipation	0.414	astrologo
mediate	anticipation	0.414	peri
punctual	anticipation	0.414	akurata
grant	anticipation	0.414	subvencion
morn	anticipation	0.414	mateno
pretty	anticipation	0.414	bela
withstand	anticipation	0.414	elteni
frisky	anticipation	0.414	ŝanceliĝema
thought	anticipation	0.414	pensis
probation	anticipation	0.414	provtempo
ordination	anticipation	0.414	ordigo
calls	anticipation	0.414	vokoj
detainee	anticipation	0.414	arestito
craps	anticipation	0.414	krapoj
weigh	anticipation	0.414	pezi
proficiency	anticipation	0.414	scipovo
sing	anticipation	0.411	kanti
continuation	anticipation	0.406	daŭrigo
university	anticipation	0.406	universitato
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nutri
mother	anticipation	0.406	patrino
punished	anticipation	0.406	punita
twinkle	anticipation	0.406	brili
confession	anticipation	0.406	konfeso
outdo	anticipation	0.406	superas
prophylactic	anticipation	0.406	profilaksa
proud	anticipation	0.406	fiera
midwife	anticipation	0.406	akuŝistino
wizard	anticipation	0.406	sorĉisto
headlight	anticipation	0.406	antaŭlumo
long	anticipation	0.406	longa
banquet	anticipation	0.406	bankedo
comfort	anticipation	0.406	komforto
navigable	anticipation	0.406	navigebla
subscribe	anticipation	0.406	aboni
opponent	anticipation	0.406	kontraŭulo
debenture	anticipation	0.406	obligacio
deal	anticipation	0.402	interkonsento
symphony	anticipation	0.398	simfonio
saintly	anticipation	0.398	sankta
judiciary	anticipation	0.398	juĝistaro
lettered	anticipation	0.398	literigita
vigil	anticipation	0.398	vigilo
reliance	anticipation	0.398	dependeco
distracting	anticipation	0.398	distrante
mortification	anticipation	0.398	mortiĝo
balm	anticipation	0.398	balzamo
simmer	anticipation	0.398	boligu
top	anticipation	0.398	supro
obliging	anticipation	0.398	kompatema
efficient	anticipation	0.398	efika
guillotine	anticipation	0.398	gilotino
representing	anticipation	0.398	reprezentanta
death	anticipation	0.398	morto
assurance	anticipation	0.391	certigo
familiarity	anticipation	0.391	familiareco
depraved	anticipation	0.391	depravado
condemnation	anticipation	0.391	kondamno
undoubted	anticipation	0.391	sendube
sanctify	anticipation	0.391	sanktigi
diplomacy	anticipation	0.391	diplomatio
antidote	anticipation	0.391	antidoto
trust	anticipation	0.391	konfidi
linger	anticipation	0.391	restadi
objective	anticipation	0.391	objektivo
chuckle	anticipation	0.391	rideti
poke	anticipation	0.391	piki
abeyance	anticipation	0.391	haltigo
maternal	anticipation	0.391	patrina
art	anticipation	0.391	arto
unfulfilled	anticipation	0.391	neplenumitaj
inoculation	anticipation	0.384	inokulado
simplify	anticipation	0.383	simpligi
depend	anticipation	0.383	dependas
chant	anticipation	0.383	ĉanti
ram	anticipation	0.383	virŝafo
banger	anticipation	0.383	banger
playground	anticipation	0.383	ludejo
labor	anticipation	0.383	laboro
scientist	anticipation	0.383	sciencisto
good	anticipation	0.383	bona
humanitarian	anticipation	0.383	humanitara
failing	anticipation	0.383	malsukcesante
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	obeema
hymn	anticipation	0.383	himno
ship	anticipation	0.383	ŝipo
discretion	anticipation	0.383	diskreteco
undecided	anticipation	0.383	nedecidita
gradual	anticipation	0.375	laŭgrada
navigator	anticipation	0.375	navigisto
track	anticipation	0.375	trako
cradle	anticipation	0.375	lulilo
sterling	anticipation	0.375	sterlingo
interim	anticipation	0.375	provizora
clock	anticipation	0.375	horloĝo
mountain	anticipation	0.375	monto
interminable	anticipation	0.375	senfina
public	anticipation	0.375	publiko
recurrent	anticipation	0.375	ripetiĝanta
savor	anticipation	0.375	gustumi
abide	anticipation	0.367	restadi
concealed	anticipation	0.367	kaŝita
spear	anticipation	0.367	lanco
lesson	anticipation	0.367	leciono
instructions	anticipation	0.367	instrukcioj
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	dujara
convince	anticipation	0.367	konvinki
whim	anticipation	0.367	kaprico
shiver	anticipation	0.367	tremeto
towering	anticipation	0.367	altega
musical	anticipation	0.367	muzika
offset	anticipation	0.359	ofseto
theory	anticipation	0.359	teorio
theology	anticipation	0.359	teologio
undying	anticipation	0.359	senmorta
timidity	anticipation	0.359	timemo
plump	anticipation	0.359	plumpa
atone	anticipation	0.359	pekliberigi
audience	anticipation	0.357	publiko
dietary	anticipation	0.352	dietaj
consecration	anticipation	0.352	konsekro
localize	anticipation	0.352	lokalizi
paragon	anticipation	0.352	paragon
store	anticipation	0.352	vendejo
farm	anticipation	0.352	bieno
daily	anticipation	0.352	ĉiutage
cramp	anticipation	0.352	krampo
nobility	anticipation	0.352	nobelaro
closure	anticipation	0.352	fermo
edition	anticipation	0.352	eldono
kindred	anticipation	0.352	parencaro
stripped	anticipation	0.344	nudigita
errand	anticipation	0.344	komisio
archaeology	anticipation	0.344	arkeologio
mutable	anticipation	0.344	ŝanĝebla
wireless	anticipation	0.344	sendrata
meditate	anticipation	0.344	mediti
mobile	anticipation	0.344	movebla
germ	anticipation	0.336	ĝermo
brotherly	anticipation	0.336	frate
lessen	anticipation	0.336	malpliigi
unbeaten	anticipation	0.336	nevenkita
pare	anticipation	0.336	pare
buddy	anticipation	0.336	kamarado
unaccountable	anticipation	0.336	nerespondebla
dove	anticipation	0.328	kolombo
patient	anticipation	0.328	paciento
secular	anticipation	0.328	sekulara
digress	anticipation	0.328	digresi
chastity	anticipation	0.328	ĉasteco
council	anticipation	0.328	konsilio
olfactory	anticipation	0.328	flara
ribbon	anticipation	0.328	rubando
possess	anticipation	0.328	posedi
disposed	anticipation	0.320	disponis
scrutinize	anticipation	0.320	ekzameni
immature	anticipation	0.320	nematura
mediator	anticipation	0.320	mediatoro
regularity	anticipation	0.320	reguleco
cove	anticipation	0.320	golfeto
infanticide	anticipation	0.320	infanmurdo
paddle	anticipation	0.320	padel
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fantazio
preservative	anticipation	0.320	konservativo
unpublished	anticipation	0.312	neeldonita
church	anticipation	0.312	preĝejo
bugle	anticipation	0.312	klariono
grim	anticipation	0.312	malgaja
denying	anticipation	0.312	neante
analyst	anticipation	0.312	analizisto
judicial	anticipation	0.305	juĝa
priesthood	anticipation	0.305	pastraro
broadside	anticipation	0.305	larĝflanko
mill	anticipation	0.305	muelejo
dismay	anticipation	0.297	teruro
cap	anticipation	0.297	ĉapo
thermocouple	anticipation	0.297	termoparo
tributary	anticipation	0.297	alfluanto
instructor	anticipation	0.297	instruisto
exhaustion	anticipation	0.297	elĉerpiĝo
saliva	anticipation	0.297	salivo
cataract	anticipation	0.289	katarakto
network	anticipation	0.289	reto
visor	anticipation	0.289	viziero
shackle	anticipation	0.289	kateno
wont	anticipation	0.289	ne
addresses	anticipation	0.289	adresoj
discreet	anticipation	0.289	diskreta
noncompliance	anticipation	0.289	nekonformeco
bruise	anticipation	0.289	kontuzo
homeless	anticipation	0.289	senhejma
astronomer	anticipation	0.281	astronomo
skewed	anticipation	0.281	distordita
neighbor	anticipation	0.281	najbaro
holiness	anticipation	0.273	sankteco
devil	anticipation	0.273	diablo
picket	anticipation	0.273	piketo
sentence	anticipation	0.273	frazo
latent	anticipation	0.273	latenta
cream	anticipation	0.273	kremo
immaturity	anticipation	0.273	nematureco
habitual	anticipation	0.266	kutima
morals	anticipation	0.266	moralo
neighborhood	anticipation	0.266	kvartalo
lull	anticipation	0.266	paŭzo
bye	anticipation	0.258	adiaŭ
weight	anticipation	0.258	pezo
organ	anticipation	0.250	orgeno
clown	anticipation	0.250	klaŭno
forearm	anticipation	0.250	antaŭbrako
commonplace	anticipation	0.242	ordinara
quote	anticipation	0.242	citaĵo
rail	anticipation	0.234	relo
dictatorship	anticipation	0.234	diktatoreco
treadmill	anticipation	0.234	tretmuelejo
board	anticipation	0.234	tabulo
tree	anticipation	0.227	arbo
sundial	anticipation	0.227	sunhorloĝo
paralysis	anticipation	0.211	paralizo
cement	anticipation	0.203	cemento
worm	anticipation	0.203	vermo
organization	anticipation	0.203	organizo
lagging	anticipation	0.180	postrestinte
neutral	anticipation	0.148	neŭtrala
cannibalism	disgust	0.953	kanibalismo
mutilation	disgust	0.930	kripligo
molestation	disgust	0.914	molestado
incest	disgust	0.914	incesto
rape	disgust	0.906	seksperforto
gonorrhea	disgust	0.906	gonoreo
cannibal	disgust	0.898	kanibalo
rot	disgust	0.891	putri
corpse	disgust	0.883	kadavro
massacre	disgust	0.883	masakro
excrement	disgust	0.883	ekskremento
barf	disgust	0.875	barf
slaughter	disgust	0.875	buĉado
slaughterhouse	disgust	0.867	buĉejo
incestuous	disgust	0.859	incestaj
sewerage	disgust	0.859	kloakigo
filth	disgust	0.859	malpureco
bigot	disgust	0.859	bigoto
rancid	disgust	0.859	rancida
infestation	disgust	0.852	infestiĝo
plague	disgust	0.852	plago
holocaust	disgust	0.852	holokaŭsto
bloodthirsty	disgust	0.852	sangavida
rotting	disgust	0.844	putriĝanta
fecal	disgust	0.844	feka
maggot	disgust	0.844	larvo
feces	disgust	0.844	feko
murder	disgust	0.839	murdo
asshole	disgust	0.836	pugo
homicide	disgust	0.836	hommortigo
enslaved	disgust	0.836	sklavigita
infanticide	disgust	0.836	infanmurdo
perverted	disgust	0.828	perversigita
excretion	disgust	0.828	ekskrecio
gore	disgust	0.828	gore
slaughtering	disgust	0.828	buĉado
torture	disgust	0.828	torturo
contaminate	disgust	0.821	polui
revolting	disgust	0.820	ribelanta
gory	disgust	0.820	sanga
shit	disgust	0.820	merdo
terrorist	disgust	0.820	teroristo
murderer	disgust	0.820	murdisto
repugnant	disgust	0.820	abomeninda
manure	disgust	0.820	sterko
pervert	disgust	0.820	perverso
diarrhoea	disgust	0.820	diareo
grotesque	disgust	0.820	groteska
desecration	disgust	0.820	profanigo
faeces	disgust	0.812	fekoj
slavery	disgust	0.812	sklaveco
sewer	disgust	0.812	kloako
cadaver	disgust	0.812	kadavro
manslaughter	disgust	0.812	mortigo
dismemberment	disgust	0.812	dismembrigo
vomit	disgust	0.812	vomi
perverse	disgust	0.805	perversa
repulsive	disgust	0.805	repuŝa
hemorrhage	disgust	0.805	hemoragio
sewage	disgust	0.797	kloakaĵo
filthy	disgust	0.797	malpura
diseased	disgust	0.797	malsana
depravity	disgust	0.797	malvirteco
carcass	disgust	0.795	kadavro
decompose	disgust	0.789	malkomponi
gruesome	disgust	0.789	terura
mutilated	disgust	0.789	mutilita
puke	disgust	0.789	vomi
herpes	disgust	0.789	herpeto
decayed	disgust	0.789	kadukiĝis
dung	disgust	0.789	sterko
vermin	disgust	0.789	fibesto
murderous	disgust	0.789	murdema
parasite	disgust	0.789	parazito
horrific	disgust	0.789	terura
carnage	disgust	0.781	buĉado
malaria	disgust	0.781	malario
slime	disgust	0.781	ŝlimo
flatulence	disgust	0.781	flatulenco
pestilence	disgust	0.781	pesto
crap	disgust	0.781	aĉaĵo
monstrosity	disgust	0.781	monstreco
loathsome	disgust	0.773	abomeninda
toxic	disgust	0.773	venena
morgue	disgust	0.773	kadavrodeponejo
pus	disgust	0.773	puso
herpesvirus	disgust	0.773	herpesviruso
leprosy	disgust	0.773	lepro
insidious	disgust	0.773	insida
cruel	disgust	0.766	kruela
regurgitation	disgust	0.766	regurgitado
anthrax	disgust	0.766	antrakso
xenophobia	disgust	0.766	ksenofobio
repugnance	disgust	0.766	abomeno
lynch	disgust	0.766	linĉo
revulsion	disgust	0.766	abomeno
whore	disgust	0.766	putinino
dissection	disgust	0.759	dissekcio
mucous	disgust	0.758	mukoza
canker	disgust	0.758	kankro
slum	disgust	0.758	slumo
infectious	disgust	0.758	infekta
evil	disgust	0.758	malbono
phlegm	disgust	0.758	flegmo
cruelty	disgust	0.758	krueleco
perversion	disgust	0.758	perverseco
sinister	disgust	0.750	sinistra
leeches	disgust	0.750	hirudoj
corrupting	disgust	0.750	korupti
decomposition	disgust	0.750	putriĝo
abomination	disgust	0.742	abomeno
stinking	disgust	0.742	fetora
bile	disgust	0.742	galo
demonic	disgust	0.742	demona
deranged	disgust	0.742	konfuzita
abhorrence	disgust	0.742	abomeno
soiled	disgust	0.742	malpurigita
mucus	disgust	0.742	muko
septic	disgust	0.742	sepsa
sickening	disgust	0.742	malsaniga
demon	disgust	0.742	demono
cancer	disgust	0.734	kancero
obese	disgust	0.734	obeza
degeneracy	disgust	0.734	degenero
despicable	disgust	0.734	malestiminda
atrocity	disgust	0.734	abomenaĵo
foul	disgust	0.734	malica
sicken	disgust	0.734	malsana
crucifixion	disgust	0.734	krucumo
terrorism	disgust	0.734	terorismo
repulsion	disgust	0.727	repuŝo
morbidity	disgust	0.727	malsaneco
dysentery	disgust	0.727	disenterio
enema	disgust	0.727	klistero
bacterium	disgust	0.727	bakterio
dirty	disgust	0.727	malpura
adultery	disgust	0.727	adulto
contamination	disgust	0.727	poluado
grisly	disgust	0.727	terura
diabolical	disgust	0.727	diabla
autopsy	disgust	0.719	nekropsio
barbaric	disgust	0.719	barbara
vulgar	disgust	0.719	vulgara
entrails	disgust	0.719	internaĵoj
disgust	disgust	0.719	abomeno
lewd	disgust	0.719	lasciva
muck	disgust	0.719	muck
bowels	disgust	0.719	intestoj
garbage	disgust	0.719	rubo
deterioration	disgust	0.719	difekto
contagion	disgust	0.719	kontaĝo
vicious	disgust	0.719	malvirta
disfigured	disgust	0.719	malbeligita
pungent	disgust	0.719	akra
gross	disgust	0.719	malpura
bloodshed	disgust	0.714	sangoverŝado
gag	disgust	0.711	gag
pollute	disgust	0.711	polui
nausea	disgust	0.711	naŭzo
tyrant	disgust	0.711	tirano
wretched	disgust	0.711	mizera
mortification	disgust	0.711	mortiĝo
violent	disgust	0.711	perforta
poisoned	disgust	0.711	venenita
nauseate	disgust	0.703	naŭzo
slimy	disgust	0.703	ŝlima
grope	disgust	0.703	palpi
slut	disgust	0.703	malĉastulino
nasty	disgust	0.703	aĉa
disgusting	disgust	0.703	abomeninda
depraved	disgust	0.703	depravado
porn	disgust	0.703	porno
hateful	disgust	0.703	malamindaj
vulgarity	disgust	0.703	vulgareco
noxious	disgust	0.703	malutila
grime	disgust	0.703	grime
constipation	disgust	0.703	estreñimiento
secretion	disgust	0.703	sekrecio
poisoning	disgust	0.703	venenado
despotism	disgust	0.703	despotismo
measles	disgust	0.696	morbilo
contagious	disgust	0.695	kontaĝa
obesity	disgust	0.695	obezeco
wart	disgust	0.695	veruko
hate	disgust	0.695	malamo
hellish	disgust	0.695	infera
scum	disgust	0.695	ŝaŭmo
suicidal	disgust	0.695	memmortiga
wretch	disgust	0.695	mizerulo
abuse	disgust	0.695	misuzo
waste	disgust	0.695	malŝparo
intestinal	disgust	0.695	intesta
heartworm	disgust	0.688	korvermo
ooze	disgust	0.688	elflui
treason	disgust	0.688	perfido
contaminated	disgust	0.688	poluita
smut	disgust	0.688	smut
disease	disgust	0.688	malsano
rabid	disgust	0.688	rabia
deformed	disgust	0.680	misformita
hell	disgust	0.680	infero
soulless	disgust	0.680	senanima
cholera	disgust	0.680	ĥolero
bestial	disgust	0.680	besta
antichrist	disgust	0.680	antikristo
freakish	disgust	0.680	freneza
germ	disgust	0.680	ĝermo
detest	disgust	0.680	abomenas
pollution	disgust	0.680	poluo
grimy	disgust	0.680	malpura
abhorrent	disgust	0.680	abomeninda
hatred	disgust	0.680	malamo
abominate	disgust	0.680	abomena
sickness	disgust	0.680	malsano
hideous	disgust	0.672	malbelega
dictatorship	disgust	0.672	diktatoreco
loathful	disgust	0.672	abomeninda
greasy	disgust	0.672	grasa
dilapidated	disgust	0.672	kaduka
inhuman	disgust	0.672	malhoma
loathing	disgust	0.672	abomeno
obscene	disgust	0.672	obscena
cess	disgust	0.670	cess
devil	disgust	0.664	diablo
deformity	disgust	0.664	misformiĝo
nauseous	disgust	0.664	naŭza
deadly	disgust	0.664	mortiga
swine	disgust	0.664	porko
discrimination	disgust	0.664	diskriminacio
abominable	disgust	0.664	abomeninda
masochism	disgust	0.664	masoĥismo
heretic	disgust	0.664	herezulo
latrines	disgust	0.656	latrinoj
corruption	disgust	0.656	korupto
poisonous	disgust	0.656	venena
horror	disgust	0.656	teruro
nefarious	disgust	0.656	malbonvola
bacteria	disgust	0.656	bakterioj
horrible	disgust	0.656	terura
trash	disgust	0.656	rubujo
abortion	disgust	0.656	abortigo
death	disgust	0.656	morto
prejudiced	disgust	0.656	antaŭjuĝema
poison	disgust	0.656	veneno
oppression	disgust	0.656	subpremo
goo	disgust	0.656	goo
victimized	disgust	0.656	viktimigita
mange	disgust	0.656	mange
sludge	disgust	0.648	ŝlimo
trashy	disgust	0.648	rubo
vindictive	disgust	0.648	venĝema
horrid	disgust	0.648	terura
ugly	disgust	0.648	malbela
immoral	disgust	0.648	malmorala
bitch	disgust	0.648	hundino
outhouse	disgust	0.648	eksterdomo
detestation	disgust	0.648	abomeno
horrifying	disgust	0.641	terura
laxative	disgust	0.641	laksativo
unsightly	disgust	0.641	malbela
derogatory	disgust	0.641	malestima
slop	disgust	0.641	deklivo
malfeasance	disgust	0.641	misfaro
spew	disgust	0.641	sputi
pimple	disgust	0.641	pimple
criminality	disgust	0.641	krimeco
indecency	disgust	0.641	maldececo
cystic	disgust	0.641	kistika
villainous	disgust	0.641	fiulo
queasy	disgust	0.633	ĝena
mildew	disgust	0.633	milduo
oppressive	disgust	0.633	subprema
prostitution	disgust	0.633	prostituado
secrete	disgust	0.633	sekreti
ulcer	disgust	0.633	ulcero
rat	disgust	0.633	rato
bigoted	disgust	0.633	bigota
perpetrator	disgust	0.633	kriminto
doomsday	disgust	0.633	finjuĝo
sinful	disgust	0.633	pekema
degrading	disgust	0.625	degradante
ghastly	disgust	0.625	terura
suffering	disgust	0.625	sufero
obscenity	disgust	0.625	obsceneco
devilish	disgust	0.625	diablaj
disgraceful	disgust	0.625	malhonora
persecution	disgust	0.625	persekuto
contemptible	disgust	0.625	malestiminda
cuckold	disgust	0.625	kornulo
stools	disgust	0.625	taburetoj
dastardly	disgust	0.625	aĉa
sin	disgust	0.625	peko
gluttony	disgust	0.625	glutemo
bloated	disgust	0.625	ŝveligita
fungus	disgust	0.625	fungo
aghast	disgust	0.625	konsternita
diaper	disgust	0.617	vindotuko
malicious	disgust	0.617	malica
polygamy	disgust	0.617	poligamio
dying	disgust	0.617	mortante
termite	disgust	0.617	termito
fat	disgust	0.617	graso
deceit	disgust	0.617	trompo
atrocious	disgust	0.617	terura
guillotine	disgust	0.617	gilotino
tetanus	disgust	0.617	tetanuso
spoil	disgust	0.617	ruinigi
crusty	disgust	0.617	krusteca
sickly	disgust	0.617	malsane
louse	disgust	0.617	pediko
strangle	disgust	0.617	strangoli
betrayal	disgust	0.617	perfido
loathe	disgust	0.617	abomenas
wench	disgust	0.617	knabino
infect	disgust	0.617	infekti
violently	disgust	0.609	perforte
brothel	disgust	0.609	bordelo
drool	disgust	0.609	bavi
bleeding	disgust	0.609	sanganta
deform	disgust	0.609	misformigi
ghetto	disgust	0.609	geto
sabotage	disgust	0.609	sabotado
venomous	disgust	0.609	venenaj
abhor	disgust	0.609	abomeno
slander	disgust	0.609	kalumnii
hostile	disgust	0.609	malamika
musty	disgust	0.602	muŝa
illicit	disgust	0.602	kontraŭleĝa
ugliness	disgust	0.602	malbeleco
unwashed	disgust	0.602	nelavita
swampy	disgust	0.602	marĉa
deprivation	disgust	0.602	senigo
poaching	disgust	0.602	ŝtelĉasado
hag	disgust	0.602	hag
infidel	disgust	0.602	malfidela
imprisonment	disgust	0.602	malliberigo
traitor	disgust	0.602	perfidulo
lunacy	disgust	0.602	frenezeco
queasiness	disgust	0.594	maltrankvileco
hostility	disgust	0.594	malamikeco
repelling	disgust	0.594	forpuŝante
intoxicated	disgust	0.594	ebria
thug	disgust	0.594	brutulo
catastrophe	disgust	0.594	katastrofo
lunatic	disgust	0.594	frenezulo
misery	disgust	0.594	mizero
venom	disgust	0.594	veneno
butcher	disgust	0.594	buĉisto
toilet	disgust	0.594	necesejo
blister	disgust	0.594	veziketo
lurid	disgust	0.594	sensacia
slug	disgust	0.594	limako
gut	disgust	0.594	intesto
sinner	disgust	0.594	pekulo
deceitful	disgust	0.594	trompa
epidemic	disgust	0.594	epidemia
deteriorated	disgust	0.586	difektis
lavatory	disgust	0.586	necesejo
unclean	disgust	0.586	malpura
prostitute	disgust	0.586	prostituitino
incubus	disgust	0.586	inkubo
appalling	disgust	0.586	terura
dreadful	disgust	0.586	terura
pornography	disgust	0.586	pornografio
harass	disgust	0.586	ĉikani
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	elpelo
unfaithful	disgust	0.578	malfidela
offensive	disgust	0.578	ofensivo
hypocrite	disgust	0.578	hipokritulo
humiliating	disgust	0.578	humiliga
larceny	disgust	0.578	ŝtelo
ruinous	disgust	0.578	ruiniga
retard	disgust	0.578	prokrasto
rash	disgust	0.578	erupcio
flea	disgust	0.578	pulo
debauchery	disgust	0.578	diboĉo
fiend	disgust	0.578	diablo
quagmire	disgust	0.578	marĉo
conspirator	disgust	0.578	konspiranto
sick	disgust	0.578	malsana
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	hundomalsana
egregious	disgust	0.570	flagra
flog	disgust	0.570	skurĝi
despise	disgust	0.570	malestimi
treacherous	disgust	0.570	perfida
oppress	disgust	0.570	subpremi
swamp	disgust	0.570	marĉo
messy	disgust	0.570	senorda
spit	disgust	0.570	kraĉi
dank	disgust	0.570	malseka
bastard	disgust	0.570	bastardo
devastating	disgust	0.570	ruiniga
serpent	disgust	0.570	serpento
loo	disgust	0.562	loo
indecent	disgust	0.562	maldeca
insanity	disgust	0.562	frenezo
stealing	disgust	0.562	ŝtelado
terrible	disgust	0.562	terura
tyrannical	disgust	0.562	tirana
humiliation	disgust	0.562	humiligo
snake	disgust	0.562	serpento
sloppy	disgust	0.562	malzorgema
sinning	disgust	0.562	pekanta
harmful	disgust	0.562	malutila
harlot	disgust	0.562	malĉastistino
sordid	disgust	0.562	sorda
enemy	disgust	0.562	malamiko
alcoholism	disgust	0.562	alkoholismo
awful	disgust	0.562	terura
ruthless	disgust	0.562	senkompata
scoundrel	disgust	0.562	kanajlo
bloody	disgust	0.555	sanga
flabby	disgust	0.555	flaska
odious	disgust	0.555	abomeninda
beastly	disgust	0.555	besta
collusion	disgust	0.555	koluzioj
ridicule	disgust	0.555	ridindigi
discriminating	disgust	0.555	diskriminacia
unattractive	disgust	0.555	nealloga
insufferable	disgust	0.555	netolerebla
segregate	disgust	0.555	apartigi
arsenic	disgust	0.555	arseniko
threatening	disgust	0.555	minacante
atrophy	disgust	0.555	atrofio
varicella	disgust	0.555	varicela
slayer	disgust	0.555	mortiginto
distaste	disgust	0.555	abomeno
coward	disgust	0.555	malkuraĝulo
robbery	disgust	0.555	rabo
wickedness	disgust	0.555	malboneco
anathema	disgust	0.547	anatemo
malevolent	disgust	0.547	malbonvola
sty	disgust	0.547	porkulo
pillage	disgust	0.547	rabado
thief	disgust	0.547	ŝtelisto
suffocating	disgust	0.547	sufokanta
condemnation	disgust	0.547	kondamno
deleterious	disgust	0.547	malutila
slur	disgust	0.547	kalumnio
purgatory	disgust	0.547	purgatorio
attacking	disgust	0.547	atakante
burglar	disgust	0.547	rompŝtelisto
ogre	disgust	0.547	ogro
coercion	disgust	0.547	devigo
vesicular	disgust	0.547	vezikula
miserable	disgust	0.547	mizera
bitterly	disgust	0.547	amare
sneer	disgust	0.539	rikani
greedy	disgust	0.539	avida
gob	disgust	0.539	gob
repellant	disgust	0.539	repelanto
jealous	disgust	0.539	ĵaluza
drunken	disgust	0.539	ebria
shame	disgust	0.539	honto
thrash	disgust	0.539	draŝi
fatty	disgust	0.539	dika
liar	disgust	0.539	mensoganto
imprisoned	disgust	0.539	malliberigita
sloth	disgust	0.539	bradipo
repudiation	disgust	0.539	repudio
disgrace	disgust	0.539	malhonoro
infidelity	disgust	0.539	malfideleco
pig	disgust	0.539	porko
lethal	disgust	0.536	mortiga
burnt	disgust	0.531	bruligita
brawl	disgust	0.531	kvereli
withered	disgust	0.531	velkis
blemish	disgust	0.531	makulo
hydrocephalus	disgust	0.531	hidrocefalo
aberration	disgust	0.531	aberacio
smuggler	disgust	0.531	kontrabandisto
painful	disgust	0.531	dolora
condescension	disgust	0.531	kondescendeco
intolerant	disgust	0.531	netolerema
blasphemous	disgust	0.531	blasfema
lying	disgust	0.531	mensoge
hanging	disgust	0.531	pendanta
travesty	disgust	0.531	parodia
ruined	disgust	0.531	ruinigita
intrusive	disgust	0.531	trudema
disintegrate	disgust	0.531	diseriĝi
destructive	disgust	0.531	detrua
neurotic	disgust	0.531	neŭroza
disparaging	disgust	0.523	malestimante
blighted	disgust	0.523	difektita
intolerance	disgust	0.523	maltoleremo
mistress	disgust	0.523	mastrino
avarice	disgust	0.523	avareco
disgraced	disgust	0.523	malhonorita
derogation	disgust	0.523	derogado
rubbish	disgust	0.523	rubo
accusation	disgust	0.523	akuzo
incarceration	disgust	0.523	malliberigo
