English Word	Emotion	Emotion-Intensity-Score	Kinyarwanda Word
compensate	anticipation	0.516	indishyi
endanger	anticipation	0.516	akaga
renovation	anticipation	0.516	kuvugurura
signify	anticipation	0.508	Sobanura
vigilance	anticipation	0.508	kuba maso
prerequisite	anticipation	0.508	ibisabwa
perfection	anticipation	0.508	gutungana
cultivate	anticipation	0.508	guhinga
develop	anticipation	0.508	kwiteza imbere
cue	anticipation	0.508	umurongo
exigent	anticipation	0.508	exigent
transitional	anticipation	0.508	inzibacyuho
commemoration	anticipation	0.508	kwibuka
intermission	anticipation	0.508	ikiruhuko
elevation	anticipation	0.508	ubutumburuke
infant	anticipation	0.508	uruhinja
practise	anticipation	0.508	imyitozo
contemplation	anticipation	0.508	gutekereza
dreadful	anticipation	0.508	biteye ubwoba
wilderness	anticipation	0.508	ubutayu
horizon	anticipation	0.508	horizon
sneaking	anticipation	0.500	kunyerera
uphill	anticipation	0.500	kuzamuka
puppy	anticipation	0.500	imbwa
blindfold	anticipation	0.500	guhuma
unbridled	anticipation	0.500	idahwitse
horoscope	anticipation	0.500	horoscope
airport	anticipation	0.500	ikibuga cyindege
reconciliation	anticipation	0.500	ubwiyunge
advocacy	anticipation	0.500	ubuvugizi
litigate	anticipation	0.500	kuburana
sunny	anticipation	0.500	izuba
intuitively	anticipation	0.500	mu buryo bwimbitse
hero	anticipation	0.500	intwari
ardent	anticipation	0.500	ardent
commemorate	anticipation	0.500	kwibuka
romantic	anticipation	0.500	urukundo
doomsday	anticipation	0.500	umunsi w'imperuka
ready	anticipation	0.500	biteguye
nascent	anticipation	0.500	kuvuka
invocation	anticipation	0.500	gutabaza
depart	anticipation	0.500	genda
undisclosed	anticipation	0.500	bitamenyekanye
attendance	anticipation	0.500	kwitabira
peril	anticipation	0.500	akaga
income	anticipation	0.500	amafaranga yinjiza
calculation	anticipation	0.500	kubara
zeal	anticipation	0.500	ishyaka
eventuality	anticipation	0.500	amaherezo
favorable	anticipation	0.500	byiza
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	koga
proceeding	anticipation	0.492	gukomeza
eventual	anticipation	0.492	amaherezo
heyday	anticipation	0.492	heyday
undertaking	anticipation	0.492	kwiyemeza
improvise	anticipation	0.492	Impinduka
inauguration	anticipation	0.492	gutangiza
consequent	anticipation	0.492	inkurikizi
perspective	anticipation	0.492	icyerekezo
defense	anticipation	0.492	kwirwanaho
repay	anticipation	0.492	kwishyura
gaping	anticipation	0.492	icyuho
youth	anticipation	0.492	rubyiruko
parole	anticipation	0.492	by'agateganyo
worry	anticipation	0.492	impungenge
bless	anticipation	0.492	mugisha
restorative	anticipation	0.492	kugarura
court	anticipation	0.492	rukiko
highest	anticipation	0.491	hejuru
shortly	anticipation	0.484	vuba
auspicious	anticipation	0.484	byiza
princely	anticipation	0.484	igikomangoma
correspondence	anticipation	0.484	inzandiko
generosity	anticipation	0.484	ubuntu
sparkle	anticipation	0.484	urumuri
voluptuous	anticipation	0.484	ubushake
happen	anticipation	0.484	bibaho
tremor	anticipation	0.484	guhinda umushyitsi
letter	anticipation	0.484	ibaruwa
vow	anticipation	0.484	indahiro
sharpen	anticipation	0.484	gutyaza
duel	anticipation	0.484	duel
conjure	anticipation	0.484	conjure
threaten	anticipation	0.484	iterabwoba
god	anticipation	0.484	imana
engulf	anticipation	0.484	engulf
unexplained	anticipation	0.484	bidasobanutse
contagion	anticipation	0.484	kwandura
glorify	anticipation	0.477	uhimbaze
submit	anticipation	0.477	tanga
enroll	anticipation	0.477	kwiyandikisha
unification	anticipation	0.477	ubumwe
gravitate	anticipation	0.477	rukuruzi
glide	anticipation	0.477	glide
accompaniment	anticipation	0.477	guherekeza
cherish	anticipation	0.477	gaciro
adore	anticipation	0.477	kuramya
powerful	anticipation	0.477	ikomeye
clue	anticipation	0.477	ibimenyetso
medal	anticipation	0.477	umudari
contemplate	anticipation	0.477	tekereza
perilous	anticipation	0.477	akaga
determinate	anticipation	0.477	Kugena
arbitration	anticipation	0.477	ubukemurampaka
recipient	anticipation	0.477	uwahawe
onset	anticipation	0.477	gutangira
predispose	anticipation	0.477	guteganya
score	anticipation	0.477	amanota
torture	anticipation	0.477	iyicarubozo
glow	anticipation	0.477	kumurika
praiseworthy	anticipation	0.473	gushimwa
football	anticipation	0.469	umupira wamaguru
scare	anticipation	0.469	ubwoba
elite	anticipation	0.469	intore
unknown	anticipation	0.469	bitazwi
precursor	anticipation	0.469	ibanziriza
pry	anticipation	0.469	pry
providing	anticipation	0.469	gutanga
sweets	anticipation	0.469	ibiryohereye
cautious	anticipation	0.469	ubwitonzi
opera	anticipation	0.469	opera
motion	anticipation	0.469	icyerekezo
cash	anticipation	0.469	amafaranga
creeping	anticipation	0.469	kunyerera
invoke	anticipation	0.469	kwiyambaza
star	anticipation	0.469	inyenyeri
shaky	anticipation	0.469	kunyeganyega
production	anticipation	0.469	umusaruro
successful	anticipation	0.469	gutsinda
immediately	anticipation	0.469	ako kanya
dawn	anticipation	0.469	umuseke
starry	anticipation	0.469	inyenyeri
unsurpassed	anticipation	0.469	ntagereranywa
completion	anticipation	0.469	kurangiza
hire	anticipation	0.469	hire
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	kwibuka
shining	anticipation	0.461	kumurika
testament	anticipation	0.461	isezerano
pay	anticipation	0.461	kwishyura
alive	anticipation	0.461	muzima
plight	anticipation	0.461	ibibazo
preliminary	anticipation	0.461	ibanzirizasuzuma
overture	anticipation	0.461	kurengana
sanctuary	anticipation	0.461	ahera
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	umushinga
synchronize	anticipation	0.461	guhuza
soundness	anticipation	0.461	ubuzima bwiza
extricate	anticipation	0.461	Gukuramo
excel	anticipation	0.461	indashyikirwa
punt	anticipation	0.461	punt
untold	anticipation	0.461	bitavuzwe
brilliant	anticipation	0.461	byiza
cheerfulness	anticipation	0.461	kwishima
jeopardy	anticipation	0.461	akaga
friendly	anticipation	0.461	urugwiro
mail	anticipation	0.461	amabaruwa
unexpected	anticipation	0.453	bitunguranye
basketball	anticipation	0.453	basketball
inaugural	anticipation	0.453	gutangiza
supremacy	anticipation	0.453	ubukuru
rehabilitation	anticipation	0.453	gusubiza mu buzima busanzwe
intimately	anticipation	0.453	hafi
career	anticipation	0.453	umwuga
prevention	anticipation	0.453	gukumira
renovate	anticipation	0.453	kuvugurura
compliment	anticipation	0.453	ishimwe
prologue	anticipation	0.453	prologue
elegance	anticipation	0.453	elegance
complement	anticipation	0.453	kuzuzanya
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	ubuziraherezo
perpetuity	anticipation	0.453	ubuziraherezo
sunset	anticipation	0.453	izuba rirenze
improve	anticipation	0.453	gutera imbere
fitting	anticipation	0.445	bikwiye
confidence	anticipation	0.445	icyizere
concealment	anticipation	0.445	guhisha
sweet	anticipation	0.445	biryoshye
perfect	anticipation	0.445	biratunganye
epidemic	anticipation	0.445	icyorezo
fain	anticipation	0.445	gucika intege
volunteer	anticipation	0.445	umukorerabushake
share	anticipation	0.445	kugabana
surround	anticipation	0.445	kuzenguruka
conjecture	anticipation	0.445	gushidikanya
sun	anticipation	0.445	izuba
veracity	anticipation	0.445	Ukuri
serial	anticipation	0.438	Urukurikirane
angel	anticipation	0.438	marayika
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	umutagatifu
tickle	anticipation	0.438	amatiku
superstitious	anticipation	0.438	imiziririzo
ferment	anticipation	0.438	ferment
conservation	anticipation	0.438	kubungabunga
devout	anticipation	0.438	abihaye Imana
respect	anticipation	0.438	kubaha
reconstruction	anticipation	0.438	kwiyubaka
goodness	anticipation	0.438	ibyiza
reconstruct	anticipation	0.438	kwiyubaka
faith	anticipation	0.438	kwizera
recombination	anticipation	0.438	recombination
prepared	anticipation	0.438	byateguwe
rabid	anticipation	0.438	rabid
plea	anticipation	0.438	kwinginga
medical	anticipation	0.438	ubuvuzi
passenger	anticipation	0.438	umugenzi
charitable	anticipation	0.430	abagiraneza
tabulate	anticipation	0.430	Imbonerahamwe
peace	anticipation	0.430	amahoro
install	anticipation	0.430	shyiramo
serenity	anticipation	0.430	umutuzo
venerable	anticipation	0.430	icyubahiro
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrint
luscious	anticipation	0.430	luscious
perpetuate	anticipation	0.430	Komeza
strategist	anticipation	0.430	ingamba
unverified	anticipation	0.430	Kutagenzurwa
tribunal	anticipation	0.430	rukiko
clap	anticipation	0.430	bakoma amashyi
peaceful	anticipation	0.422	amahoro
patience	anticipation	0.422	kwihangana
unresolved	anticipation	0.422	kidakemutse
worship	anticipation	0.422	kuramya
edification	anticipation	0.422	kubaka
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	asya
revere	anticipation	0.422	kubaha
candid	anticipation	0.422	kandidatire
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	umugambi mubisha
adrift	anticipation	0.422	adrift
recognizable	anticipation	0.422	kumenyekana
volatility	anticipation	0.422	guhindagurika
forestall	anticipation	0.422	ishyamba
laughter	anticipation	0.422	urwenya
continue	anticipation	0.414	komeza
ongoing	anticipation	0.414	birakomeje
astrologer	anticipation	0.414	kuraguza inyenyeri
mediate	anticipation	0.414	umuhuza
punctual	anticipation	0.414	igihe
grant	anticipation	0.414	inkunga
morn	anticipation	0.414	mugitondo
pretty	anticipation	0.414	byiza
withstand	anticipation	0.414	kwihanganira
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	yatekereje
probation	anticipation	0.414	igeragezwa
ordination	anticipation	0.414	Gushiraho
calls	anticipation	0.414	guhamagara
detainee	anticipation	0.414	ufunzwe
craps	anticipation	0.414	inshyi
weigh	anticipation	0.414	gupima
proficiency	anticipation	0.414	ubuhanga
sing	anticipation	0.411	kuririmba
continuation	anticipation	0.406	gukomeza
university	anticipation	0.406	kaminuza
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	kurera
mother	anticipation	0.406	nyina
punished	anticipation	0.406	yahaniwe
twinkle	anticipation	0.406	twinkle
confession	anticipation	0.406	kwatura
outdo	anticipation	0.406	hanze
prophylactic	anticipation	0.406	gukingira
proud	anticipation	0.406	ishema
midwife	anticipation	0.406	umubyaza
wizard	anticipation	0.406	wizard
headlight	anticipation	0.406	itara
long	anticipation	0.406	kirekire
banquet	anticipation	0.406	ibirori
comfort	anticipation	0.406	humura
navigable	anticipation	0.406	kugendagenda
subscribe	anticipation	0.406	kwiyandikisha
opponent	anticipation	0.406	uwo duhanganye
debenture	anticipation	0.406	inguzanyo
deal	anticipation	0.402	amasezerano
symphony	anticipation	0.398	simfoni
saintly	anticipation	0.398	mutagatifu
judiciary	anticipation	0.398	ubucamanza
lettered	anticipation	0.398	ibaruwa
vigil	anticipation	0.398	kuba maso
reliance	anticipation	0.398	kwishingikiriza
distracting	anticipation	0.398	kurangaza
mortification	anticipation	0.398	gupfa
balm	anticipation	0.398	amavuta
simmer	anticipation	0.398	gucanira
top	anticipation	0.398	hejuru
obliging	anticipation	0.398	itegeko
efficient	anticipation	0.398	gukora neza
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	guhagararira
death	anticipation	0.398	urupfu
assurance	anticipation	0.391	ibyiringiro
familiarity	anticipation	0.391	ikimenyane
depraved	anticipation	0.391	yangiritse
condemnation	anticipation	0.391	gucirwaho iteka
undoubted	anticipation	0.391	nta gushidikanya
sanctify	anticipation	0.391	kweza
diplomacy	anticipation	0.391	diplomacy
antidote	anticipation	0.391	antidote
trust	anticipation	0.391	kwizerana
linger	anticipation	0.391	gutinda
objective	anticipation	0.391	intego
chuckle	anticipation	0.391	aseka
poke	anticipation	0.391	poke
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	umubyeyi
art	anticipation	0.391	ubuhanzi
unfulfilled	anticipation	0.391	bituzuye
inoculation	anticipation	0.384	gukingirwa
simplify	anticipation	0.383	koroshya
depend	anticipation	0.383	biterwa
chant	anticipation	0.383	kuririmba
ram	anticipation	0.383	impfizi y'intama
banger	anticipation	0.383	banger
playground	anticipation	0.383	ikibuga
labor	anticipation	0.383	umurimo
scientist	anticipation	0.383	umuhanga
good	anticipation	0.383	byiza
humanitarian	anticipation	0.383	ubumuntu
failing	anticipation	0.383	kunanirwa
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	inshingano
hymn	anticipation	0.383	indirimbo
ship	anticipation	0.383	ubwato
discretion	anticipation	0.383	ubushishozi
undecided	anticipation	0.383	umwanzuro
gradual	anticipation	0.375	buhoro buhoro
navigator	anticipation	0.375	navigator
track	anticipation	0.375	inzira
cradle	anticipation	0.375	ingobyi
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	by'agateganyo
clock	anticipation	0.375	isaha
mountain	anticipation	0.375	umusozi
interminable	anticipation	0.375	interminable
public	anticipation	0.375	rusange
recurrent	anticipation	0.375	Gusubiramo
savor	anticipation	0.375	impumuro nziza
abide	anticipation	0.367	guma
concealed	anticipation	0.367	guhishwa
spear	anticipation	0.367	icumu
lesson	anticipation	0.367	isomo
instructions	anticipation	0.367	amabwiriza
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	kabiri
convince	anticipation	0.367	kwemeza
whim	anticipation	0.367	icyifuzo
shiver	anticipation	0.367	guhinda umushyitsi
towering	anticipation	0.367	umunara
musical	anticipation	0.367	umuziki
offset	anticipation	0.359	offset
theory	anticipation	0.359	inyigisho
theology	anticipation	0.359	tewolojiya
undying	anticipation	0.359	Undying
timidity	anticipation	0.359	gutinyuka
plump	anticipation	0.359	pompe
atone	anticipation	0.359	impongano
audience	anticipation	0.357	abumva
dietary	anticipation	0.352	imirire
consecration	anticipation	0.352	kwiyegurira Imana
localize	anticipation	0.352	baho
paragon	anticipation	0.352	paragon
store	anticipation	0.352	ububiko
farm	anticipation	0.352	umurima
daily	anticipation	0.352	buri munsi
cramp	anticipation	0.352	impagarara
nobility	anticipation	0.352	abanyacyubahiro
closure	anticipation	0.352	gufunga
edition	anticipation	0.352	integuro
kindred	anticipation	0.352	bene wabo
stripped	anticipation	0.344	kwiyambura
errand	anticipation	0.344	errand
archaeology	anticipation	0.344	Ubucukumbuzi
mutable	anticipation	0.344	ihinduka
wireless	anticipation	0.344	umugozi
meditate	anticipation	0.344	tekereza
mobile	anticipation	0.344	mobile
germ	anticipation	0.336	mikorobe
brotherly	anticipation	0.336	ubuvandimwe
lessen	anticipation	0.336	kugabanya
unbeaten	anticipation	0.336	idatsinzwe
pare	anticipation	0.336	pare
buddy	anticipation	0.336	nshuti
unaccountable	anticipation	0.336	kubara
dove	anticipation	0.328	inuma
patient	anticipation	0.328	ihangane
secular	anticipation	0.328	isi
digress	anticipation	0.328	gusubira inyuma
chastity	anticipation	0.328	ubudakemwa
council	anticipation	0.328	inama
olfactory	anticipation	0.328	amavuta
ribbon	anticipation	0.328	lente
possess	anticipation	0.328	gutunga
disposed	anticipation	0.320	yajugunywe
scrutinize	anticipation	0.320	gusuzuma
immature	anticipation	0.320	idakuze
mediator	anticipation	0.320	umuhuza
regularity	anticipation	0.320	burigihe
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	infantide
paddle	anticipation	0.320	paddle
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	kubungabunga
unpublished	anticipation	0.312	bitaratangazwa
church	anticipation	0.312	Itorero
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	grim
denying	anticipation	0.312	guhakana
analyst	anticipation	0.312	umusesenguzi
judicial	anticipation	0.305	ubutabera
priesthood	anticipation	0.305	ubupadiri
broadside	anticipation	0.305	mugari
mill	anticipation	0.305	urusyo
dismay	anticipation	0.297	ubwoba
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	inzuzi
instructor	anticipation	0.297	umwigisha
exhaustion	anticipation	0.297	umunaniro
saliva	anticipation	0.297	amacandwe
cataract	anticipation	0.289	cataract
network	anticipation	0.289	umuyoboro
visor	anticipation	0.289	visor
shackle	anticipation	0.289	ingoyi
wont	anticipation	0.289	wont
addresses	anticipation	0.289	aderesi
discreet	anticipation	0.289	umunyabwenge
noncompliance	anticipation	0.289	kutubahiriza
bruise	anticipation	0.289	igikomere
homeless	anticipation	0.289	abadafite aho baba
astronomer	anticipation	0.281	umuhanga mu bumenyi bw'ikirere
skewed	anticipation	0.281	skewed
neighbor	anticipation	0.281	umuturanyi
holiness	anticipation	0.273	kwera
devil	anticipation	0.273	satani
picket	anticipation	0.273	piketi
sentence	anticipation	0.273	interuro
latent	anticipation	0.273	rwihishwa
cream	anticipation	0.273	cream
immaturity	anticipation	0.273	kudakura
habitual	anticipation	0.266	akamenyero
morals	anticipation	0.266	imico
neighborhood	anticipation	0.266	abaturanyi
lull	anticipation	0.266	gutuza
bye	anticipation	0.258	muraho
weight	anticipation	0.258	uburemere
organ	anticipation	0.250	urugingo
clown	anticipation	0.250	clown
forearm	anticipation	0.250	ukuboko
commonplace	anticipation	0.242	ibisanzwe
quote	anticipation	0.242	amagambo
rail	anticipation	0.234	gari ya moshi
dictatorship	anticipation	0.234	igitugu
treadmill	anticipation	0.234	gukandagira
board	anticipation	0.234	ikibaho
tree	anticipation	0.227	igiti
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	kumugara
cement	anticipation	0.203	sima
worm	anticipation	0.203	inyo
organization	anticipation	0.203	ishyirahamwe
lagging	anticipation	0.180	gutinda
neutral	anticipation	0.148	kutabogama
cannibalism	disgust	0.953	kurya abantu
mutilation	disgust	0.930	gutemagurwa
molestation	disgust	0.914	gusambanywa
incest	disgust	0.914	kuryamana
rape	disgust	0.906	gufata ku ngufu
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	kurya abantu
rot	disgust	0.891	kubora
corpse	disgust	0.883	umurambo
massacre	disgust	0.883	ubwicanyi
excrement	disgust	0.883	imyanda
barf	disgust	0.875	barf
slaughter	disgust	0.875	kubaga
slaughterhouse	disgust	0.867	ibagiro
incestuous	disgust	0.859	kuryamana
sewerage	disgust	0.859	umwanda
filth	disgust	0.859	umwanda
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	kwandura
plague	disgust	0.852	icyorezo
holocaust	disgust	0.852	itsembabwoko
bloodthirsty	disgust	0.852	kumena amaraso
rotting	disgust	0.844	kubora
fecal	disgust	0.844	fecal
maggot	disgust	0.844	maggot
feces	disgust	0.844	umwanda
murder	disgust	0.839	ubwicanyi
asshole	disgust	0.836	inkweto
homicide	disgust	0.836	ubwicanyi
enslaved	disgust	0.836	imbata
infanticide	disgust	0.836	infantide
perverted	disgust	0.828	kugoreka
excretion	disgust	0.828	gusohoka
gore	disgust	0.828	gore
slaughtering	disgust	0.828	kubaga
torture	disgust	0.828	iyicarubozo
contaminate	disgust	0.821	kwanduza
revolting	disgust	0.820	kwigomeka
gory	disgust	0.820	gory
shit	disgust	0.820	shit
terrorist	disgust	0.820	iterabwoba
murderer	disgust	0.820	umwicanyi
repugnant	disgust	0.820	iteye ishozi
manure	disgust	0.820	ifumbire
pervert	disgust	0.820	kugoreka
diarrhoea	disgust	0.820	impiswi
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	gutukwa
faeces	disgust	0.812	umwanda
slavery	disgust	0.812	ubucakara
sewer	disgust	0.812	umwanda
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	ubwicanyi
dismemberment	disgust	0.812	gutandukana
vomit	disgust	0.812	kuruka
perverse	disgust	0.805	kugoreka
repulsive	disgust	0.805	biteye ishozi
hemorrhage	disgust	0.805	kuva amaraso
sewage	disgust	0.797	umwanda
filthy	disgust	0.797	umwanda
diseased	disgust	0.797	barwaye
depravity	disgust	0.797	ububi
carcass	disgust	0.795	umurambo
decompose	disgust	0.789	kubora
gruesome	disgust	0.789	biteye ubwoba
mutilated	disgust	0.789	yatemaguwe
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	kubora
dung	disgust	0.789	amase
vermin	disgust	0.789	vermin
murderous	disgust	0.789	umwicanyi
parasite	disgust	0.789	parasite
horrific	disgust	0.789	biteye ubwoba
carnage	disgust	0.781	ubwicanyi
malaria	disgust	0.781	malariya
slime	disgust	0.781	slime
flatulence	disgust	0.781	kubeshya
pestilence	disgust	0.781	icyorezo
crap	disgust	0.781	crap
monstrosity	disgust	0.781	monstrosity
loathsome	disgust	0.773	biteye ishozi
toxic	disgust	0.773	uburozi
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	ibibembe
insidious	disgust	0.773	amayeri
cruel	disgust	0.766	ubugome
regurgitation	disgust	0.766	kwiyubaka
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	abanyamahanga
repugnance	disgust	0.766	kwanga
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	kwanga
whore	disgust	0.766	indaya
dissection	disgust	0.759	gutandukana
mucous	disgust	0.758	mucous
canker	disgust	0.758	canker
slum	disgust	0.758	akazu
infectious	disgust	0.758	yanduye
evil	disgust	0.758	ikibi
phlegm	disgust	0.758	flegm
cruelty	disgust	0.758	ubugome
perversion	disgust	0.758	kugoreka
sinister	disgust	0.750	sinister
leeches	disgust	0.750	imisatsi
corrupting	disgust	0.750	ruswa
decomposition	disgust	0.750	kubora
abomination	disgust	0.742	ikizira
stinking	disgust	0.742	kunuka
bile	disgust	0.742	umura
demonic	disgust	0.742	abadayimoni
deranged	disgust	0.742	yataye umutwe
abhorrence	disgust	0.742	amahano
soiled	disgust	0.742	yanduye
mucus	disgust	0.742	mucus
septic	disgust	0.742	septike
sickening	disgust	0.742	kurwara
demon	disgust	0.742	umudayimoni
cancer	disgust	0.734	kanseri
obese	disgust	0.734	umubyibuho ukabije
degeneracy	disgust	0.734	kwangirika
despicable	disgust	0.734	agasuzuguro
atrocity	disgust	0.734	amarorerwa
foul	disgust	0.734	nabi
sicken	disgust	0.734	uburwayi
crucifixion	disgust	0.734	kubambwa
terrorism	disgust	0.734	iterabwoba
repulsion	disgust	0.727	kwanga
morbidity	disgust	0.727	uburwayi
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	bagiteri
dirty	disgust	0.727	umwanda
adultery	disgust	0.727	gusambana
contamination	disgust	0.727	kwanduza
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	diabolical
autopsy	disgust	0.719	autopsie
barbaric	disgust	0.719	ubugome
vulgar	disgust	0.719	bubi
entrails	disgust	0.719	amara
disgust	disgust	0.719	amahano
lewd	disgust	0.719	ibiteye isoni
muck	disgust	0.719	muck
bowels	disgust	0.719	amara
garbage	disgust	0.719	imyanda
deterioration	disgust	0.719	kwangirika
contagion	disgust	0.719	kwandura
vicious	disgust	0.719	mubi
disfigured	disgust	0.719	Byahinduwe
pungent	disgust	0.719	birakaze
gross	disgust	0.719	rusange
bloodshed	disgust	0.714	kumena amaraso
gag	disgust	0.711	gag
pollute	disgust	0.711	umwanda
nausea	disgust	0.711	isesemi
tyrant	disgust	0.711	umunyagitugu
wretched	disgust	0.711	birababaje
mortification	disgust	0.711	gupfa
violent	disgust	0.711	urugomo
poisoned	disgust	0.711	uburozi
nauseate	disgust	0.703	isesemi
slimy	disgust	0.703	slimy
grope	disgust	0.703	grope
slut	disgust	0.703	igituba
nasty	disgust	0.703	birababaje
disgusting	disgust	0.703	biteye ishozi
depraved	disgust	0.703	yangiritse
porn	disgust	0.703	porunogarafiya
hateful	disgust	0.703	urwango
vulgarity	disgust	0.703	ububi
noxious	disgust	0.703	uburozi
grime	disgust	0.703	grime
constipation	disgust	0.703	kuribwa mu nda
secretion	disgust	0.703	gusohora
poisoning	disgust	0.703	uburozi
despotism	disgust	0.703	kwiheba
measles	disgust	0.696	iseru
contagious	disgust	0.695	yandura
obesity	disgust	0.695	umubyibuho ukabije
wart	disgust	0.695	wart
hate	disgust	0.695	urwango
hellish	disgust	0.695	ikuzimu
scum	disgust	0.695	scum
suicidal	disgust	0.695	kwiyahura
wretch	disgust	0.695	ishyano
abuse	disgust	0.695	guhohoterwa
waste	disgust	0.695	imyanda
intestinal	disgust	0.695	amara
heartworm	disgust	0.688	umutima
ooze	disgust	0.688	ooze
treason	disgust	0.688	ubuhemu
contaminated	disgust	0.688	yanduye
smut	disgust	0.688	smut
disease	disgust	0.688	indwara
rabid	disgust	0.688	rabid
deformed	disgust	0.680	yahinduwe
hell	disgust	0.680	ikuzimu
soulless	disgust	0.680	nta bugingo
cholera	disgust	0.680	kolera
bestial	disgust	0.680	ibyiza
antichrist	disgust	0.680	antikristo
freakish	disgust	0.680	kubuntu
germ	disgust	0.680	mikorobe
detest	disgust	0.680	urwango
pollution	disgust	0.680	umwanda
grimy	disgust	0.680	grimy
abhorrent	disgust	0.680	ikizira
hatred	disgust	0.680	inzangano
abominate	disgust	0.680	ikizira
sickness	disgust	0.680	indwara
hideous	disgust	0.672	bihishe
dictatorship	disgust	0.672	igitugu
loathful	disgust	0.672	biteye ishozi
greasy	disgust	0.672	amavuta
dilapidated	disgust	0.672	yarangiritse
inhuman	disgust	0.672	ubumuntu
loathing	disgust	0.672	urunuka
obscene	disgust	0.672	biteye isoni
cess	disgust	0.670	cess
devil	disgust	0.664	satani
deformity	disgust	0.664	ubumuga
nauseous	disgust	0.664	isesemi
deadly	disgust	0.664	byica
swine	disgust	0.664	ingurube
discrimination	disgust	0.664	ivangura
abominable	disgust	0.664	ikizira
masochism	disgust	0.664	maschism
heretic	disgust	0.664	abahakanyi
latrines	disgust	0.656	imisarani
corruption	disgust	0.656	ruswa
poisonous	disgust	0.656	uburozi
horror	disgust	0.656	ubwoba
nefarious	disgust	0.656	mubi
bacteria	disgust	0.656	bagiteri
horrible	disgust	0.656	biteye ubwoba
trash	disgust	0.656	imyanda
abortion	disgust	0.656	gukuramo inda
death	disgust	0.656	urupfu
prejudiced	disgust	0.656	urwikekwe
poison	disgust	0.656	uburozi
oppression	disgust	0.656	gukandamizwa
goo	disgust	0.656	goo
victimized	disgust	0.656	abahohotewe
mange	disgust	0.656	mange
sludge	disgust	0.648	sludge
trashy	disgust	0.648	imyanda
vindictive	disgust	0.648	kwihorera
horrid	disgust	0.648	biteye ubwoba
ugly	disgust	0.648	mubi
immoral	disgust	0.648	ubwiyandarike
bitch	disgust	0.648	igituba
outhouse	disgust	0.648	hanze
detestation	disgust	0.648	urwango
horrifying	disgust	0.641	biteye ubwoba
laxative	disgust	0.641	kurwara
unsightly	disgust	0.641	mu buryo butagaragara
derogatory	disgust	0.641	gusebanya
slop	disgust	0.641	ahahanamye
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	spw
pimple	disgust	0.641	pimple
criminality	disgust	0.641	ubugizi bwa nabi
indecency	disgust	0.641	amahano
cystic	disgust	0.641	cystic
villainous	disgust	0.641	umugome
queasy	disgust	0.633	queasy
mildew	disgust	0.633	Indwara
oppressive	disgust	0.633	gukandamiza
prostitution	disgust	0.633	uburaya
secrete	disgust	0.633	ibanga
ulcer	disgust	0.633	ibisebe
rat	disgust	0.633	imbeba
bigoted	disgust	0.633	bigoted
perpetrator	disgust	0.633	nyirabayazana
doomsday	disgust	0.633	umunsi w'imperuka
sinful	disgust	0.633	icyaha
degrading	disgust	0.625	gutesha agaciro
ghastly	disgust	0.625	bikabije
suffering	disgust	0.625	kubabara
obscenity	disgust	0.625	amahano
devilish	disgust	0.625	shitani
disgraceful	disgust	0.625	biteye isoni
persecution	disgust	0.625	gutotezwa
contemptible	disgust	0.625	agasuzuguro
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	intebe
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	icyaha
gluttony	disgust	0.625	umururumba
bloated	disgust	0.625	yabyimbye
