English Word	Emotion	Emotion-Intensity-Score	Zulu Word
abide	anticipation	0.367	hlala
concealed	anticipation	0.367	kufihliwe
spear	anticipation	0.367	umkhonto
lesson	anticipation	0.367	isifundo
instructions	anticipation	0.367	imiyalelo
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	iminyaka emibili
convince	anticipation	0.367	kholisa
whim	anticipation	0.367	ukuphapha
shiver	anticipation	0.367	ukuqhaqhazela
towering	anticipation	0.367	ubude
musical	anticipation	0.367	okomculo
offset	anticipation	0.359	offset
theory	anticipation	0.359	umbono
theology	anticipation	0.359	imfundiso yenkolo
undying	anticipation	0.359	engafi
timidity	anticipation	0.359	uvalo
plump	anticipation	0.359	gcwele
atone	anticipation	0.359	hlawulela
audience	anticipation	0.357	izethameli
dietary	anticipation	0.352	ukudla
consecration	anticipation	0.352	ukungcweliswa
localize	anticipation	0.352	yenza okwasendaweni
paragon	anticipation	0.352	ipharagoni
store	anticipation	0.352	isitolo
farm	anticipation	0.352	ipulazi
daily	anticipation	0.352	nsuku zonke
cramp	anticipation	0.352	amajaqamba
nobility	anticipation	0.352	izicukuthwane
closure	anticipation	0.352	ukuvala
edition	anticipation	0.352	uhlelo
kindred	anticipation	0.352	izihlobo
stripped	anticipation	0.344	khunyuliwe
errand	anticipation	0.344	umsebenzi
archaeology	anticipation	0.344	imivubukulo
mutable	anticipation	0.344	eguquguqukayo
wireless	anticipation	0.344	okungenantambo
meditate	anticipation	0.344	zindla
mobile	anticipation	0.344	iselula
germ	anticipation	0.336	igciwane
brotherly	anticipation	0.336	ubuzalwane
lessen	anticipation	0.336	nciphisa
unbeaten	anticipation	0.336	engahluliwe
pare	anticipation	0.336	pare
buddy	anticipation	0.336	umngane
unaccountable	anticipation	0.336	ongenakuziphendulela
dove	anticipation	0.328	ijuba
patient	anticipation	0.328	isiguli
secular	anticipation	0.328	okwezwe
digress	anticipation	0.328	hlehla
chastity	anticipation	0.328	ubumsulwa
council	anticipation	0.328	umkhandlu
olfactory	anticipation	0.328	iphunga
ribbon	anticipation	0.328	iribhoni
possess	anticipation	0.328	phatha
disposed	anticipation	0.320	ilahliwe
scrutinize	anticipation	0.320	hlolisisa
immature	anticipation	0.320	engavuthiwe
mediator	anticipation	0.320	umlamuleli
regularity	anticipation	0.320	njalo
cove	anticipation	0.320	thanda
infanticide	anticipation	0.320	ukubulawa kwezinsana
paddle	anticipation	0.320	gwedla
heft	anticipation	0.320	i-heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	isilondolozi
unpublished	anticipation	0.312	akushicilelwe
church	anticipation	0.312	ibandla
bugle	anticipation	0.312	iphutha
grim	anticipation	0.312	kubuhlungu
denying	anticipation	0.312	ukuphika
analyst	anticipation	0.312	umhlaziyi
judicial	anticipation	0.305	zokwahlulela
priesthood	anticipation	0.305	ubupristi
broadside	anticipation	0.305	ububanzi
mill	anticipation	0.305	isigayo
dismay	anticipation	0.297	ukudumala
cap	anticipation	0.297	isigqoko
thermocouple	anticipation	0.297	i-thermocouple
tributary	anticipation	0.297	i-tributary
instructor	anticipation	0.297	umfundisi
exhaustion	anticipation	0.297	ukukhathala
saliva	anticipation	0.297	amathe
cataract	anticipation	0.289	i-cataract
network	anticipation	0.289	inethiwekhi
visor	anticipation	0.289	i-visor
shackle	anticipation	0.289	intambo
wont	anticipation	0.289	ngeke
addresses	anticipation	0.289	amakheli
discreet	anticipation	0.289	oqondayo
noncompliance	anticipation	0.289	ukungathobeli
bruise	anticipation	0.289	inxeba
homeless	anticipation	0.289	abangenakhaya
astronomer	anticipation	0.281	isazi sezinkanyezi
skewed	anticipation	0.281	etshekile
neighbor	anticipation	0.281	umakhelwane
holiness	anticipation	0.273	ubungcwele
devil	anticipation	0.273	usathane
picket	anticipation	0.273	ipiki
sentence	anticipation	0.273	umusho
latent	anticipation	0.273	kufihlile
cream	anticipation	0.273	ukhilimu
immaturity	anticipation	0.273	ukungavuthwa
habitual	anticipation	0.266	okwejwayezi
morals	anticipation	0.266	ukuziphatha
neighborhood	anticipation	0.266	umakhelwane
lull	anticipation	0.266	thula
bye	anticipation	0.258	usale kahle
weight	anticipation	0.258	isisindo
organ	anticipation	0.250	isitho
clown	anticipation	0.250	umlingisi
forearm	anticipation	0.250	umphambili
commonplace	anticipation	0.242	indawo evamile
quote	anticipation	0.242	caphuna
rail	anticipation	0.234	ujantshi
dictatorship	anticipation	0.234	ubushiqela
treadmill	anticipation	0.234	i-treadmill
board	anticipation	0.234	ibhodi
tree	anticipation	0.227	umuthi
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	ukukhubazeka
cement	anticipation	0.203	usimende
worm	anticipation	0.203	isibungu
organization	anticipation	0.203	inhlangano
lagging	anticipation	0.180	ukusalela
neutral	anticipation	0.148	ukungathathi hlangothi
cannibalism	disgust	0.953	ubuzimuzimu
mutilation	disgust	0.930	ukucwiywa kwezitho
molestation	disgust	0.914	ukunukubeza
incest	disgust	0.914	ukulalana kwezihlobo
rape	disgust	0.906	ukudlwengula
gonorrhea	disgust	0.906	isifo sohudo
cannibal	disgust	0.898	amazimuzimu
rot	disgust	0.891	ukubola
corpse	disgust	0.883	isidumbu
massacre	disgust	0.883	isibhicongo
excrement	disgust	0.883	indle
barf	disgust	0.875	ibhafu
slaughter	disgust	0.875	hlaba
slaughterhouse	disgust	0.867	isilaha
incestuous	disgust	0.859	izihlobo
sewerage	disgust	0.859	indle
filth	disgust	0.859	ukungcola
bigot	disgust	0.859	umkhulungwane
rancid	disgust	0.859	i-rancid
infestation	disgust	0.852	ukuhlasela
plague	disgust	0.852	isifo
holocaust	disgust	0.852	ukuqothulwa kwesizwe
bloodthirsty	disgust	0.852	abomele igazi
rotting	disgust	0.844	ukubola
fecal	disgust	0.844	indle
maggot	disgust	0.844	izimpethu
feces	disgust	0.844	indle
murder	disgust	0.839	ukubulala
asshole	disgust	0.836	isiduli
homicide	disgust	0.836	ukubulala
enslaved	disgust	0.836	gqilaziwe
infanticide	disgust	0.836	ukubulawa kwezinsana
perverted	disgust	0.828	ihlanekezelwe
excretion	disgust	0.828	indle
gore	disgust	0.828	unyaka
slaughtering	disgust	0.828	ukuhlaba
torture	disgust	0.828	ukuhlukunyezwa
contaminate	disgust	0.821	ngcolisa
revolting	disgust	0.820	ehlubukayo
gory	disgust	0.820	gory
shit	disgust	0.820	shit
terrorist	disgust	0.820	amaphekula
murderer	disgust	0.820	umbulali
repugnant	disgust	0.820	enyanyekayo
manure	disgust	0.820	umquba
pervert	disgust	0.820	phendukezela
diarrhoea	disgust	0.820	isifo sohudo
grotesque	disgust	0.820	esabekayo
desecration	disgust	0.820	ukucekelwa phansi
faeces	disgust	0.812	indle
slavery	disgust	0.812	ubugqila
sewer	disgust	0.812	indle
cadaver	disgust	0.812	i-cadaver
manslaughter	disgust	0.812	ukubulawa kwabantu
dismemberment	disgust	0.812	ukuhlakazwa
vomit	disgust	0.812	hlanza
perverse	disgust	0.805	phambene
repulsive	disgust	0.805	enyanyekayo
hemorrhage	disgust	0.805	ukopha
sewage	disgust	0.797	indle
filthy	disgust	0.797	engcolile
diseased	disgust	0.797	nesifo
depravity	disgust	0.797	ukonakala
carcass	disgust	0.795	isidumbu
decompose	disgust	0.789	ukubola
gruesome	disgust	0.789	ezesabekayo
mutilated	disgust	0.789	zicwiywe izitho zomzimba
puke	disgust	0.789	phuqa
herpes	disgust	0.789	i-herpes
decayed	disgust	0.789	ibolile
dung	disgust	0.789	ubulongwe
vermin	disgust	0.789	izilokazane
murderous	disgust	0.789	bulalayo
parasite	disgust	0.789	i-parasite
horrific	disgust	0.789	esabekayo
carnage	disgust	0.781	ukubulawa kwabantu
malaria	disgust	0.781	umalaleveva
slime	disgust	0.781	i-slime
flatulence	disgust	0.781	ukuqunjelwa
pestilence	disgust	0.781	isifo esiwumshayabhuqe
crap	disgust	0.781	uhlanya
monstrosity	disgust	0.781	ubuhlanya
loathsome	disgust	0.773	enyanyekayo
toxic	disgust	0.773	ezinobuthi
morgue	disgust	0.773	indawo yokugcina izidumbu
pus	disgust	0.773	ubomvu
herpesvirus	disgust	0.773	i-herpesvirus
leprosy	disgust	0.773	uchoko
insidious	disgust	0.773	ngobuqili
cruel	disgust	0.766	enonya
regurgitation	disgust	0.766	ukuphindaphinda
anthrax	disgust	0.766	i-anthrax
xenophobia	disgust	0.766	ukucwaswa kwabokufika
repugnance	disgust	0.766	ukwenyanya
lynch	disgust	0.766	i-lynch
revulsion	disgust	0.766	ukucasuka
whore	disgust	0.766	isifebe
dissection	disgust	0.759	ukuqaqa
mucous	disgust	0.758	amafinyila
canker	disgust	0.758	umdlavuza
slum	disgust	0.758	imijondolo
infectious	disgust	0.758	esithathelwanayo
evil	disgust	0.758	okubi
phlegm	disgust	0.758	i-phlegm
cruelty	disgust	0.758	unya
perversion	disgust	0.758	ukuhlanekezela
sinister	disgust	0.750	okubi
leeches	disgust	0.750	iminyundu
corrupting	disgust	0.750	ukonakalisa
decomposition	disgust	0.750	ukubola
abomination	disgust	0.742	amanyala
stinking	disgust	0.742	ezinukayo
bile	disgust	0.742	ibile
demonic	disgust	0.742	enobudemoni
deranged	disgust	0.742	udidekile
abhorrence	disgust	0.742	ukwenyanya
soiled	disgust	0.742	engcolile
mucus	disgust	0.742	amafinyila
septic	disgust	0.742	i-septic
sickening	disgust	0.742	ukugula
demon	disgust	0.742	idimoni
cancer	disgust	0.734	umdlavuza
obese	disgust	0.734	ukhuluphele
degeneracy	disgust	0.734	ukuwohloka
despicable	disgust	0.734	edelelekile
atrocity	disgust	0.734	unya
foul	disgust	0.734	kubi
sicken	disgust	0.734	gula
crucifixion	disgust	0.734	ukubethelwa
terrorism	disgust	0.734	ubuphekula
repulsion	disgust	0.727	ukwenyanya
morbidity	disgust	0.727	ukugula
dysentery	disgust	0.727	isifo sohudo
enema	disgust	0.727	i-enema
bacterium	disgust	0.727	igciwane
dirty	disgust	0.727	engcolile
adultery	disgust	0.727	ukuphinga
contamination	disgust	0.727	ukungcola
grisly	disgust	0.727	ngokucasuka
diabolical	disgust	0.727	kadeveli
autopsy	disgust	0.719	ukuhlolwa kwesidumbu
barbaric	disgust	0.719	iqaba
vulgar	disgust	0.719	inhlamba
entrails	disgust	0.719	izibilini
disgust	disgust	0.719	ukunengeka
lewd	disgust	0.719	amanyala
muck	disgust	0.719	muck
bowels	disgust	0.719	amathumbu
garbage	disgust	0.719	udoti
deterioration	disgust	0.719	ukuwohloka
contagion	disgust	0.719	ukutheleleka
vicious	disgust	0.719	enonya
disfigured	disgust	0.719	onakele
pungent	disgust	0.719	okubabayo
gross	disgust	0.719	gross
bloodshed	disgust	0.714	ukuchitheka kwegazi
gag	disgust	0.711	gag
pollute	disgust	0.711	ngcolisa
nausea	disgust	0.711	isicanucanu
tyrant	disgust	0.711	umashiqela
wretched	disgust	0.711	lusizi
mortification	disgust	0.711	ukuhlukumezeka
violent	disgust	0.711	enodlame
poisoned	disgust	0.711	enoshevu
nauseate	disgust	0.703	isicanucanu
slimy	disgust	0.703	slimy
grope	disgust	0.703	phumputha
slut	disgust	0.703	ihule
nasty	disgust	0.703	kubi
disgusting	disgust	0.703	enengekayo
depraved	disgust	0.703	okonakele
porn	disgust	0.703	izithombe zocansi
hateful	disgust	0.703	enenzondo
vulgarity	disgust	0.703	inhlamba
noxious	disgust	0.703	eyingozi
grime	disgust	0.703	inhlabathi
constipation	disgust	0.703	ukuqunjelwa
secretion	disgust	0.703	imfihlo
poisoning	disgust	0.703	ubuthi
despotism	disgust	0.703	ubudlwangudlwangu
measles	disgust	0.696	isimungumungwane
contagious	disgust	0.695	iyathathelana
obesity	disgust	0.695	ukukhuluphala ngokweqile
wart	disgust	0.695	insumpa
hate	disgust	0.695	inzondo
hellish	disgust	0.695	isihogo
scum	disgust	0.695	udoti
suicidal	disgust	0.695	zokuzibulala
wretch	disgust	0.695	usizi
abuse	disgust	0.695	ukuhlukunyezwa
waste	disgust	0.695	imfucuza
intestinal	disgust	0.695	amathumbu
heartworm	disgust	0.688	inhliziyo
ooze	disgust	0.688	awu
treason	disgust	0.688	ukuvukela umbuso
contaminated	disgust	0.688	ongcolile
smut	disgust	0.688	smut
disease	disgust	0.688	isifo
rabid	disgust	0.688	ethukuthele
deformed	disgust	0.680	khubazekile
hell	disgust	0.680	isihogo
soulless	disgust	0.680	engenamphefumulo
cholera	disgust	0.680	ikholera
bestial	disgust	0.680	izilwane
antichrist	disgust	0.680	umphikukristu
freakish	disgust	0.680	hlanya
germ	disgust	0.680	igciwane
detest	disgust	0.680	inzondo
pollution	disgust	0.680	ukungcola
grimy	disgust	0.680	kubuhlungu
abhorrent	disgust	0.680	enyanyekayo
hatred	disgust	0.680	inzondo
abominate	disgust	0.680	enyanyekayo
sickness	disgust	0.680	ukugula
hideous	disgust	0.672	esabekayo
dictatorship	disgust	0.672	ubushiqela
loathful	disgust	0.672	enengekayo
greasy	disgust	0.672	namafutha
dilapidated	disgust	0.672	edlile
inhuman	disgust	0.672	ongenabuntu
loathing	disgust	0.672	ukwenyanya
obscene	disgust	0.672	amanyala
cess	disgust	0.670	cess
devil	disgust	0.664	usathane
deformity	disgust	0.664	ukukhubazeka
nauseous	disgust	0.664	isicanucanu
deadly	disgust	0.664	ebulalayo
swine	disgust	0.664	izingulube
discrimination	disgust	0.664	ukucwasa
abominable	disgust	0.664	enengekayo
masochism	disgust	0.664	i-masochism
heretic	disgust	0.664	imbuka
latrines	disgust	0.656	izindlu zangasese
corruption	disgust	0.656	inkohlakalo
poisonous	disgust	0.656	enoshevu
horror	disgust	0.656	ukwesaba
nefarious	disgust	0.656	enonya
bacteria	disgust	0.656	amagciwane
horrible	disgust	0.656	esabekayo
trash	disgust	0.656	udoti
abortion	disgust	0.656	ukukhipha isisu
death	disgust	0.656	ukufa
prejudiced	disgust	0.656	ubandlululo
poison	disgust	0.656	ubuthi
oppression	disgust	0.656	ukucindezelwa
goo	disgust	0.656	goo
victimized	disgust	0.656	abahlukumezekile
mange	disgust	0.656	umange
sludge	disgust	0.648	udaka
trashy	disgust	0.648	udoti
vindictive	disgust	0.648	ukuziphindiselela
horrid	disgust	0.648	kabi
ugly	disgust	0.648	kubi
immoral	disgust	0.648	oziphethe kabi
bitch	disgust	0.648	nondindwa
outhouse	disgust	0.648	indlu yangaphandle
detestation	disgust	0.648	ukunengeka
horrifying	disgust	0.641	ethusayo
laxative	disgust	0.641	i-laxative
unsightly	disgust	0.641	engabukeki
derogatory	disgust	0.641	edelelayo
slop	disgust	0.641	i-slop
malfeasance	disgust	0.641	ukungasebenzi kahle
spew	disgust	0.641	Hlaza
pimple	disgust	0.641	induna
criminality	disgust	0.641	ubugebengu
indecency	disgust	0.641	amanyala
cystic	disgust	0.641	i-cystic
villainous	disgust	0.641	ononya
queasy	disgust	0.633	queasy
mildew	disgust	0.633	isikhutha
oppressive	disgust	0.633	ocindezelayo
prostitution	disgust	0.633	ubufebe
secrete	disgust	0.633	yimfihlo
ulcer	disgust	0.633	isilonda
rat	disgust	0.633	igundane
bigoted	disgust	0.633	khulu
perpetrator	disgust	0.633	umenzi wobubi
doomsday	disgust	0.633	usuku lwembubhiso
sinful	disgust	0.633	onesono
degrading	disgust	0.625	ehlisa isithunzi
ghastly	disgust	0.625	ngokushaqisayo
suffering	disgust	0.625	ukuhlupheka
obscenity	disgust	0.625	amanyala
devilish	disgust	0.625	enodeveli
disgraceful	disgust	0.625	okuyichilo
persecution	disgust	0.625	ukushushiswa
contemptible	disgust	0.625	kudelelekile
cuckold	disgust	0.625	i-cuckold
stools	disgust	0.625	indle
dastardly	disgust	0.625	ngokudabukisayo
sin	disgust	0.625	isono
gluttony	disgust	0.625	ukuminza
bloated	disgust	0.625	equmbile
fungus	disgust	0.625	ukhunta
aghast	disgust	0.625	ukwesaba
diaper	disgust	0.617	inabukeni
malicious	disgust	0.617	enonya
polygamy	disgust	0.617	isithembu
dying	disgust	0.617	efa
termite	disgust	0.617	umuhlwa
fat	disgust	0.617	amafutha
deceit	disgust	0.617	inkohliso
atrocious	disgust	0.617	enonya
guillotine	disgust	0.617	i-guillotine
tetanus	disgust	0.617	itetanus
spoil	disgust	0.617	chitha
crusty	disgust	0.617	uqweqwe
sickly	disgust	0.617	ngokugula
louse	disgust	0.617	intwala
strangle	disgust	0.617	klinya
betrayal	disgust	0.617	ukukhaphela
loathe	disgust	0.617	nyanya
wench	disgust	0.617	wench
infect	disgust	0.617	ukuthelela
violently	disgust	0.609	ngobudlova
brothel	disgust	0.609	indlu yezifebe
drool	disgust	0.609	drool
bleeding	disgust	0.609	ukopha
deform	disgust	0.609	khubaza
ghetto	disgust	0.609	ighetto
sabotage	disgust	0.609	ukucekela phansi
venomous	disgust	0.609	enobuthi
abhor	disgust	0.609	nyanya
slander	disgust	0.609	ukunyundela
hostile	disgust	0.609	enobutha
musty	disgust	0.602	ukhuni
illicit	disgust	0.602	engekho emthethweni
ugliness	disgust	0.602	ubunuku
unwashed	disgust	0.602	engageziwe
swampy	disgust	0.602	ixhaphozi
deprivation	disgust	0.602	ukuswela
poaching	disgust	0.602	ukuzingela ngokungemthetho
hag	disgust	0.602	hag
infidel	disgust	0.602	ongakholwayo
imprisonment	disgust	0.602	ukuboshwa
traitor	disgust	0.602	imbuka
lunacy	disgust	0.602	ubuhlanya
queasiness	disgust	0.594	ukuthukuthela
hostility	disgust	0.594	ubutha
repelling	disgust	0.594	exosha
intoxicated	disgust	0.594	edakiwe
thug	disgust	0.594	isigebengu
catastrophe	disgust	0.594	inhlekelele
lunatic	disgust	0.594	uhlanya
misery	disgust	0.594	usizi
venom	disgust	0.594	ubuthi
butcher	disgust	0.594	ukuhlaba inyama
toilet	disgust	0.594	indlu yangasese
blister	disgust	0.594	ibhamuza
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	amathumbu
sinner	disgust	0.594	isoni
deceitful	disgust	0.594	onenkohliso
epidemic	disgust	0.594	umqedazwe
deteriorated	disgust	0.586	iwohloka
lavatory	disgust	0.586	indlu yangasese
unclean	disgust	0.586	engcolile
prostitute	disgust	0.586	isifebe
incubus	disgust	0.586	incubus
appalling	disgust	0.586	esabekayo
dreadful	disgust	0.586	eyesabekayo
pornography	disgust	0.586	izithombe zobulili ezingcolile
harass	disgust	0.586	hlukumeza
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	ukuxoshwa
unfaithful	disgust	0.578	ongathembekile
offensive	disgust	0.578	ecasulayo
hypocrite	disgust	0.578	umzenzisi
humiliating	disgust	0.578	ukululaza
larceny	disgust	0.578	ubugebengu
ruinous	disgust	0.578	yingozi
retard	disgust	0.578	hlehla
rash	disgust	0.578	ukuqubuka
flea	disgust	0.578	izeze
debauchery	disgust	0.578	ubuxhwanguxhwangu
fiend	disgust	0.578	funa
quagmire	disgust	0.578	i-quagmire
conspirator	disgust	0.578	uzungu
sick	disgust	0.578	abagulayo
mangle	disgust	0.578	umhluzi
dogsick	disgust	0.570	ukugula
egregious	disgust	0.570	enkulu
flog	disgust	0.570	bhaxabula
despise	disgust	0.570	delela
treacherous	disgust	0.570	khohlisayo
oppress	disgust	0.570	cindezela
swamp	disgust	0.570	ixhaphozi
messy	disgust	0.570	ngcolile
spit	disgust	0.570	amathe
dank	disgust	0.570	dank
bastard	disgust	0.570	Udoti
devastating	disgust	0.570	elimazayo
serpent	disgust	0.570	inyoka
loo	disgust	0.562	loo
indecent	disgust	0.562	engcolile
insanity	disgust	0.562	ukusangana
stealing	disgust	0.562	ukweba
terrible	disgust	0.562	kabi
tyrannical	disgust	0.562	ononya
humiliation	disgust	0.562	ukuthotshiswa
snake	disgust	0.562	inyoka
sloppy	disgust	0.562	budlabha
sinning	disgust	0.562	ukona
harmful	disgust	0.562	eziyingozi
harlot	disgust	0.562	isifebe
sordid	disgust	0.562	i-sordid
enemy	disgust	0.562	isitha
alcoholism	disgust	0.562	uphuzo oludakayo
awful	disgust	0.562	kabi
ruthless	disgust	0.562	abangenazwelo
scoundrel	disgust	0.562	utsotsi
bloody	disgust	0.555	igazi
flabby	disgust	0.555	flabby
odious	disgust	0.555	enyanyisayo
beastly	disgust	0.555	ngesilo
collusion	disgust	0.555	ukusebenzisana
ridicule	disgust	0.555	ukuhleka usulu
discriminating	disgust	0.555	ukubandlulula
unattractive	disgust	0.555	engakhangi
insufferable	disgust	0.555	engabekezeleleki
segregate	disgust	0.555	hlukanisa
arsenic	disgust	0.555	i-arsenic
threatening	disgust	0.555	ezisongelayo
atrophy	disgust	0.555	i-atrophy
varicella	disgust	0.555	i-varicella
slayer	disgust	0.555	umbulali
distaste	disgust	0.555	ukucasuka
coward	disgust	0.555	igwala
robbery	disgust	0.555	ukugebenga
wickedness	disgust	0.555	ububi
anathema	disgust	0.547	inhlamba
malevolent	disgust	0.547	ononya
sty	disgust	0.547	sty
pillage	disgust	0.547	ukuphanga
thief	disgust	0.547	isela
suffocating	disgust	0.547	ukuminyanisa
condemnation	disgust	0.547	ukulahlwa
deleterious	disgust	0.547	ezisusayo
slur	disgust	0.547	slur
purgatory	disgust	0.547	isihlanzo
attacking	disgust	0.547	ehlasela
burglar	disgust	0.547	umgqekezi
ogre	disgust	0.547	i-ogre
coercion	disgust	0.547	ukuphoqa
vesicular	disgust	0.547	i-vesicular
miserable	disgust	0.547	lusizi
bitterly	disgust	0.547	kabuhlungu
sneer	disgust	0.539	ukubhuqa
greedy	disgust	0.539	abahahayo
gob	disgust	0.539	gob
repellant	disgust	0.539	oxoshayo
jealous	disgust	0.539	enomona
drunken	disgust	0.539	udakiwe
shame	disgust	0.539	amahloni
thrash	disgust	0.539	qhuqha
fatty	disgust	0.539	amafutha
liar	disgust	0.539	umqambimanga
imprisoned	disgust	0.539	eboshiwe
sloth	disgust	0.539	ubuvila
repudiation	disgust	0.539	ukwenqaba
disgrace	disgust	0.539	ihlazo
infidelity	disgust	0.539	ukungathembeki
pig	disgust	0.539	ingulube
lethal	disgust	0.536	ezibulalayo
burnt	disgust	0.531	zishile
brawl	disgust	0.531	ukubhebha
withered	disgust	0.531	ibunile
blemish	disgust	0.531	sici
hydrocephalus	disgust	0.531	i-hydrocephalus
aberration	disgust	0.531	ukuhoxa
smuggler	disgust	0.531	umshushumbisi
painful	disgust	0.531	okubuhlungu
condescension	disgust	0.531	ukuzithoba
intolerant	disgust	0.531	ongabekezeleli
blasphemous	disgust	0.531	ohlambalazayo
lying	disgust	0.531	ukuqamba amanga
hanging	disgust	0.531	ukulenga
travesty	disgust	0.531	ukuhlukunyezwa
ruined	disgust	0.531	yonakele
intrusive	disgust	0.531	ukugxambukela
disintegrate	disgust	0.531	hlakazeka
destructive	disgust	0.531	elimazayo
neurotic	disgust	0.531	i-neurotic
disparaging	disgust	0.523	ukululaza
blighted	disgust	0.523	onakele
intolerance	disgust	0.523	ukungabekezelelani
mistress	disgust	0.523	unkosikazi
avarice	disgust	0.523	inkanuko
disgraced	disgust	0.523	ehlazekile
derogation	disgust	0.523	ukubukela phansi
rubbish	disgust	0.523	udoti
accusation	disgust	0.523	icala
incarceration	disgust	0.523	ukuboshwa
tortious	disgust	0.516	hlupha
dishonor	disgust	0.516	ihlazo
stink	disgust	0.516	ukunuka
grim	disgust	0.516	kubuhlungu
rob	disgust	0.516	phanga
defraud	disgust	0.516	khwabanisa
sump	disgust	0.516	sump
cringe	disgust	0.516	hlehla
vulture	disgust	0.516	inqe
deplorable	disgust	0.516	edabukisayo
mite	disgust	0.516	izimbuzane
eradication	disgust	0.516	ukuqedwa
degrade	disgust	0.516	yehlisa isithunzi
gutter	disgust	0.516	udoti
convict	disgust	0.516	ogwetshiwe
remains	disgust	0.516	izinsalela
betray	disgust	0.516	khaphela
daemon	disgust	0.516	idaemon
sham	disgust	0.509	sham
distasteful	disgust	0.508	enengekayo
prisoner	disgust	0.508	isiboshwa
dreadfully	disgust	0.508	ngokwesabekayo
worthless	disgust	0.508	engenamsebenzi walutho
crude	disgust	0.508	luhlaza
delirium	disgust	0.508	i-delirium
incurable	disgust	0.508	engelapheki
smelling	disgust	0.508	ukuhogela
idiocy	disgust	0.508	ubulima
resentment	disgust	0.508	ukucasuka
bombed	disgust	0.508	ibhomu
blob	disgust	0.508	ibhulobhu
cheat	disgust	0.508	khohlisa
schizophrenia	disgust	0.508	i-schizophrenia
rejection	disgust	0.508	ukwenqatshwa
belittle	disgust	0.508	lulaza
glut	disgust	0.508	glut
disaster	disgust	0.508	inhlekelele
distress	disgust	0.508	usizi
pest	disgust	0.508	inkathazo
endemic	disgust	0.508	i-endmic
theft	disgust	0.500	ubusela
banish	disgust	0.500	dingisa
mire	disgust	0.500	udaka
flagrant	disgust	0.500	ebabazekayo
derision	disgust	0.500	ukuhleka usulu
dirt	disgust	0.500	ukungcola
screaming	disgust	0.500	ukuklabalasa
offense	disgust	0.500	icala
jealousy	disgust	0.500	umona
bribery	disgust	0.500	ukufumbathisa
polemic	disgust	0.500	i-polemic
blight	disgust	0.500	isilonda
impeach	disgust	0.500	icala
bitterness	disgust	0.500	umunyu
taboo	disgust	0.500	ihlazo
duress	disgust	0.500	ukuphoqa
goblin	disgust	0.500	goblin
shackle	disgust	0.500	intambo
idolatry	disgust	0.500	ukukhonza izithombe
greed	disgust	0.500	ukuhaha
impurity	disgust	0.500	ukungcola
tirade	disgust	0.500	tirade
idiot	disgust	0.492	isilima
boil	disgust	0.492	thumba
unconscionable	disgust	0.492	ongenanembeza
disreputable	disgust	0.492	onedumela elibi
robber	disgust	0.492	umphangi
malign	disgust	0.492	kabi
wreck	disgust	0.492	ukuphahlazeka
recession	disgust	0.492	ukwehla komnotho
gorge	disgust	0.492	umhosha
leer	disgust	0.492	leer
ill	disgust	0.492	ngiyagula
squirm	disgust	0.492	squirm
raging	disgust	0.484	ethukuthele
servile	disgust	0.484	servile
mess	disgust	0.484	isiphithiphithi
nappy	disgust	0.484	inabukeni
possessed	disgust	0.484	enomoya
unbearable	disgust	0.484	engabekezeleleki
occult	disgust	0.484	ukusebenzelana nemimoya
contraband	disgust	0.484	izinto ezingekho emthethweni
snarl	disgust	0.484	thuka
mutiny	disgust	0.484	ukuvukela umbuso
mad	disgust	0.484	hlanya
affliction	disgust	0.484	usizi
stain	disgust	0.484	ibala
animosity	disgust	0.484	ubutha
contempt	disgust	0.484	ukwedelela
tramp	disgust	0.484	i-tramp
nepotism	disgust	0.484	ubandlululo
disrespectful	disgust	0.484	ngokungahloniphi
defamation	disgust	0.484	ukuhlambalaza
inexcusable	disgust	0.484	engenazaba
aversation	disgust	0.484	ukuphikisa
wasteful	disgust	0.484	okumoshayo
offender	disgust	0.484	umenzi wobubi
subjugation	disgust	0.484	ukuzithoba
illegality	disgust	0.477	ukungabi semthethweni
dismal	disgust	0.477	kabi
criminal	disgust	0.477	isigebengu
unpleasant	disgust	0.477	engathandeki
palsy	disgust	0.477	okhubazekile
antagonistic	disgust	0.477	ophikisayo
pathetic	disgust	0.477	edabukisayo
uncaring	disgust	0.477	ongenandaba
suppression	disgust	0.477	ukucindezelwa
immorality	disgust	0.477	ukuziphatha okubi
mockery	disgust	0.477	inhlekisa
outrage	disgust	0.469	ukuthukuthela
mocking	disgust	0.469	ukubhuqa
wallow	disgust	0.469	ququda
cough	disgust	0.469	ukukhwehlela
arrogant	disgust	0.469	ezikhukhumezayo
angry	disgust	0.469	ethukuthele
poverty	disgust	0.469	ubumpofu
grating	disgust	0.469	ukugaya
livid	disgust	0.469	livid
aggravation	disgust	0.469	ukuhlukunyezwa
repellent	disgust	0.469	oxoshayo
perspiration	disgust	0.469	umjuluko
banishment	disgust	0.469	ukudingiswa
furious	disgust	0.469	ethukuthele
shoddy	disgust	0.469	shoddy
banshee	disgust	0.469	banshee
deceive	disgust	0.461	khohlisa
