English Word	Emotion	Emotion-Intensity-Score	Macedonian Word
contemptible	disgust	0.625	презирен
cuckold	disgust	0.625	кукавица
stools	disgust	0.625	столици
dastardly	disgust	0.625	гадно
sin	disgust	0.625	грев
gluttony	disgust	0.625	ненаситност
bloated	disgust	0.625	подуени
fungus	disgust	0.625	габа
aghast	disgust	0.625	вознемирен
diaper	disgust	0.617	пелена
malicious	disgust	0.617	злонамерен
polygamy	disgust	0.617	полигамијата
dying	disgust	0.617	умирање
termite	disgust	0.617	термит
fat	disgust	0.617	масти
deceit	disgust	0.617	измама
atrocious	disgust	0.617	ѕверски
guillotine	disgust	0.617	гилотина
tetanus	disgust	0.617	тетанус
spoil	disgust	0.617	расипуваат
crusty	disgust	0.617	кора
sickly	disgust	0.617	болен
louse	disgust	0.617	вошка
strangle	disgust	0.617	задави
betrayal	disgust	0.617	предавство
loathe	disgust	0.617	омрази
wench	disgust	0.617	венч
infect	disgust	0.617	зарази
violently	disgust	0.609	насилно
brothel	disgust	0.609	бордел
drool	disgust	0.609	лигавење
bleeding	disgust	0.609	крварење
deform	disgust	0.609	деформираат
ghetto	disgust	0.609	гето
sabotage	disgust	0.609	саботажа
venomous	disgust	0.609	отровно
abhor	disgust	0.609	одвратност
slander	disgust	0.609	клевета
hostile	disgust	0.609	непријателски
musty	disgust	0.602	мувлосана
illicit	disgust	0.602	недозволено
ugliness	disgust	0.602	грдоста
unwashed	disgust	0.602	неизмиени
swampy	disgust	0.602	мочурлив
deprivation	disgust	0.602	лишување
poaching	disgust	0.602	ловокрадство
hag	disgust	0.602	хаг
infidel	disgust	0.602	неверник
imprisonment	disgust	0.602	затворска казна
traitor	disgust	0.602	предавник
lunacy	disgust	0.602	лудост
queasiness	disgust	0.594	гадење
hostility	disgust	0.594	непријателство
repelling	disgust	0.594	одбивајќи
intoxicated	disgust	0.594	опиен
thug	disgust	0.594	криминалец
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	лудак
misery	disgust	0.594	мизерија
venom	disgust	0.594	отров
butcher	disgust	0.594	Месар
toilet	disgust	0.594	тоалет
blister	disgust	0.594	блистер
lurid	disgust	0.594	бурно
slug	disgust	0.594	голтка
gut	disgust	0.594	црево
sinner	disgust	0.594	грешник
deceitful	disgust	0.594	измамнички
epidemic	disgust	0.594	епидемиски
deteriorated	disgust	0.586	влошена
lavatory	disgust	0.586	тоалет
unclean	disgust	0.586	нечист
prostitute	disgust	0.586	проститутка
incubus	disgust	0.586	инкубус
appalling	disgust	0.586	ужасно
dreadful	disgust	0.586	страшна
pornography	disgust	0.586	порнографија
harass	disgust	0.586	вознемируваат
squeamish	disgust	0.578	пискав
expulsion	disgust	0.578	протерување
unfaithful	disgust	0.578	неверен
offensive	disgust	0.578	навредливи
hypocrite	disgust	0.578	лицемерен
humiliating	disgust	0.578	понижувачки
larceny	disgust	0.578	кражба
ruinous	disgust	0.578	разорен
retard	disgust	0.578	ретардиран
rash	disgust	0.578	осип
flea	disgust	0.578	болвата
debauchery	disgust	0.578	разврат
fiend	disgust	0.578	неверник
quagmire	disgust	0.578	мочуриште
conspirator	disgust	0.578	заговорник
sick	disgust	0.578	болен
mangle	disgust	0.578	магла
dogsick	disgust	0.570	кучешки
egregious	disgust	0.570	застрашувачки
flog	disgust	0.570	камшикување
despise	disgust	0.570	презираат
treacherous	disgust	0.570	предавнички
oppress	disgust	0.570	угнетуваат
swamp	disgust	0.570	мочуриште
messy	disgust	0.570	неуредна
spit	disgust	0.570	плукаат
dank	disgust	0.570	тенок
bastard	disgust	0.570	копиле
devastating	disgust	0.570	разорувачки
serpent	disgust	0.570	змија
loo	disgust	0.562	тоалет
indecent	disgust	0.562	непристојни
insanity	disgust	0.562	лудило
stealing	disgust	0.562	крадење
terrible	disgust	0.562	страшно
tyrannical	disgust	0.562	тирански
humiliation	disgust	0.562	понижување
snake	disgust	0.562	змија
sloppy	disgust	0.562	невешт
sinning	disgust	0.562	греши
harmful	disgust	0.562	штетни
harlot	disgust	0.562	блудница
sordid	disgust	0.562	гаден
enemy	disgust	0.562	непријател
alcoholism	disgust	0.562	алкохолизам
awful	disgust	0.562	Ужасно
ruthless	disgust	0.562	безмилосен
scoundrel	disgust	0.562	подлец
bloody	disgust	0.555	крвави
flabby	disgust	0.555	млитава
odious	disgust	0.555	омразен
beastly	disgust	0.555	ѕверски
collusion	disgust	0.555	дослух
ridicule	disgust	0.555	исмејување
discriminating	disgust	0.555	дискриминирачки
unattractive	disgust	0.555	непривлечна
insufferable	disgust	0.555	неиздржлив
segregate	disgust	0.555	сегрегира
arsenic	disgust	0.555	арсен
threatening	disgust	0.555	заканувачки
atrophy	disgust	0.555	атрофија
varicella	disgust	0.555	варичела
slayer	disgust	0.555	убиец
distaste	disgust	0.555	одвратност
coward	disgust	0.555	кукавица
robbery	disgust	0.555	кражба
wickedness	disgust	0.555	злоба
anathema	disgust	0.547	анатема
malevolent	disgust	0.547	злонамерен
sty	disgust	0.547	стебла
pillage	disgust	0.547	грабеж
thief	disgust	0.547	крадец
suffocating	disgust	0.547	задушувачки
condemnation	disgust	0.547	осуда
deleterious	disgust	0.547	штетен
slur	disgust	0.547	клевета
purgatory	disgust	0.547	чистилиште
attacking	disgust	0.547	напаѓајќи
burglar	disgust	0.547	крадец
ogre	disgust	0.547	огр
coercion	disgust	0.547	принуда
vesicular	disgust	0.547	везикуларен
miserable	disgust	0.547	мизерен
bitterly	disgust	0.547	горчливо
sneer	disgust	0.539	потсмев
greedy	disgust	0.539	алчен
gob	disgust	0.539	гобам
repellant	disgust	0.539	отвратителен
jealous	disgust	0.539	љубоморен
drunken	disgust	0.539	пијан
shame	disgust	0.539	срам
thrash	disgust	0.539	ѓубре
fatty	disgust	0.539	масни
liar	disgust	0.539	лажго
imprisoned	disgust	0.539	затворен
sloth	disgust	0.539	мрзливост
repudiation	disgust	0.539	отфрлање
disgrace	disgust	0.539	срам
infidelity	disgust	0.539	неверство
pig	disgust	0.539	свиња
lethal	disgust	0.536	смртоносна
burnt	disgust	0.531	изгорен
brawl	disgust	0.531	тепачка
withered	disgust	0.531	исушен
blemish	disgust	0.531	дамка
hydrocephalus	disgust	0.531	хидроцефалус
aberration	disgust	0.531	аберација
smuggler	disgust	0.531	шверцер
painful	disgust	0.531	болно
condescension	disgust	0.531	снисходење
intolerant	disgust	0.531	нетолерантен
blasphemous	disgust	0.531	богохулни
lying	disgust	0.531	лажење
hanging	disgust	0.531	виси
travesty	disgust	0.531	травестија
ruined	disgust	0.531	руиниран
intrusive	disgust	0.531	нападни
disintegrate	disgust	0.531	распаѓаат
destructive	disgust	0.531	деструктивни
neurotic	disgust	0.531	невротични
disparaging	disgust	0.523	омаловажувачки
blighted	disgust	0.523	избледени
intolerance	disgust	0.523	нетолеранција
mistress	disgust	0.523	љубовница
avarice	disgust	0.523	среброљубие
disgraced	disgust	0.523	посрамен
derogation	disgust	0.523	отстапување
rubbish	disgust	0.523	ѓубре
accusation	disgust	0.523	обвинение
incarceration	disgust	0.523	затворање
tortious	disgust	0.516	деликвен
dishonor	disgust	0.516	обесчестување
stink	disgust	0.516	смрдеа
grim	disgust	0.516	мрачен
rob	disgust	0.516	ограби
defraud	disgust	0.516	измами
sump	disgust	0.516	кантар
cringe	disgust	0.516	згрчена
vulture	disgust	0.516	мршојадец
deplorable	disgust	0.516	жално
mite	disgust	0.516	грини
eradication	disgust	0.516	искоренување
degrade	disgust	0.516	деградираат
gutter	disgust	0.516	олук
convict	disgust	0.516	осуденик
remains	disgust	0.516	останува
betray	disgust	0.516	изневерува
daemon	disgust	0.516	демон
sham	disgust	0.509	лажна
distasteful	disgust	0.508	невкусно
prisoner	disgust	0.508	затвореник
dreadfully	disgust	0.508	страшно
worthless	disgust	0.508	безвредни
crude	disgust	0.508	сурова
delirium	disgust	0.508	делириум
incurable	disgust	0.508	неизлечива
smelling	disgust	0.508	мирисајќи
idiocy	disgust	0.508	идиотизам
resentment	disgust	0.508	незадоволство
bombed	disgust	0.508	бомбардиран
blob	disgust	0.508	дупка
cheat	disgust	0.508	измамник
schizophrenia	disgust	0.508	шизофренија
rejection	disgust	0.508	одбивање
belittle	disgust	0.508	омаловажуваат
glut	disgust	0.508	презаситеност
disaster	disgust	0.508	катастрофа
distress	disgust	0.508	вознемиреност
pest	disgust	0.508	штетник
endemic	disgust	0.508	ендемични
theft	disgust	0.500	кражба
banish	disgust	0.500	протеруваат
mire	disgust	0.500	кал
flagrant	disgust	0.500	флагрантен
derision	disgust	0.500	потсмев
dirt	disgust	0.500	нечистотија
screaming	disgust	0.500	врескање
offense	disgust	0.500	прекршок
jealousy	disgust	0.500	љубомора
bribery	disgust	0.500	поткуп
polemic	disgust	0.500	полемика
blight	disgust	0.500	лошо влијание
impeach	disgust	0.500	импичмент
bitterness	disgust	0.500	горчина
taboo	disgust	0.500	табу
duress	disgust	0.500	принуда
goblin	disgust	0.500	гоблин
shackle	disgust	0.500	окови
idolatry	disgust	0.500	идолопоклонство
greed	disgust	0.500	алчноста
impurity	disgust	0.500	нечистотија
tirade	disgust	0.500	тирада
idiot	disgust	0.492	идиот
boil	disgust	0.492	се вари
unconscionable	disgust	0.492	несовесно
disreputable	disgust	0.492	неугледен
robber	disgust	0.492	крадец
malign	disgust	0.492	малигни
wreck	disgust	0.492	руина
recession	disgust	0.492	рецесија
gorge	disgust	0.492	клисура
leer	disgust	0.492	научат
ill	disgust	0.492	болен
squirm	disgust	0.492	извиткуваат
raging	disgust	0.484	беснее
servile	disgust	0.484	сервилен
mess	disgust	0.484	хаос
nappy	disgust	0.484	пелена
possessed	disgust	0.484	опседнат
unbearable	disgust	0.484	неподнослива
occult	disgust	0.484	окултни
contraband	disgust	0.484	шверцувана
snarl	disgust	0.484	рикаат
mutiny	disgust	0.484	бунт
mad	disgust	0.484	луд
affliction	disgust	0.484	мака
stain	disgust	0.484	дамка
animosity	disgust	0.484	непријателство
contempt	disgust	0.484	презир
tramp	disgust	0.484	скитник
nepotism	disgust	0.484	непотизам
disrespectful	disgust	0.484	непочитување
defamation	disgust	0.484	клевета
inexcusable	disgust	0.484	неоправдано
aversation	disgust	0.484	аверзија
wasteful	disgust	0.484	расипнички
offender	disgust	0.484	престапник
subjugation	disgust	0.484	потчинување
illegality	disgust	0.477	незаконитоста
dismal	disgust	0.477	лош
criminal	disgust	0.477	криминалец
unpleasant	disgust	0.477	непријатен
palsy	disgust	0.477	парализа
antagonistic	disgust	0.477	антагонистички
pathetic	disgust	0.477	патетично
uncaring	disgust	0.477	невнимателен
suppression	disgust	0.477	потиснување
immorality	disgust	0.477	неморал
mockery	disgust	0.477	исмејување
outrage	disgust	0.469	бес
mocking	disgust	0.469	потсмевање
wallow	disgust	0.469	валкаат
cough	disgust	0.469	кашлица
arrogant	disgust	0.469	арогантен
angry	disgust	0.469	лути
poverty	disgust	0.469	сиромаштија
grating	disgust	0.469	решетка
livid	disgust	0.469	жестока
aggravation	disgust	0.469	влошување
repellent	disgust	0.469	отвратителен
perspiration	disgust	0.469	потење
banishment	disgust	0.469	протерување
furious	disgust	0.469	бесен
shoddy	disgust	0.469	неквалитетен
banshee	disgust	0.469	банши
deceive	disgust	0.461	измами
fool	disgust	0.461	будала
quack	disgust	0.461	надрилекар
distorted	disgust	0.461	искривени
spider	disgust	0.461	пајак
unjustifiable	disgust	0.461	неоправдано
deplore	disgust	0.461	жалат
spurious	disgust	0.461	лажни
perdition	disgust	0.461	пропаст
muddy	disgust	0.461	калливи
fraudulent	disgust	0.461	измамнички
scar	disgust	0.461	лузна
prick	disgust	0.461	боцкање
insulting	disgust	0.461	навредлив
plunder	disgust	0.461	грабеж
recklessness	disgust	0.461	непромисленост
stigma	disgust	0.453	стигмата
disparage	disgust	0.453	омаловажување
unthinkable	disgust	0.453	незамисливо
disingenuous	disgust	0.453	неискрен
bane	disgust	0.453	пропаст
dishonest	disgust	0.453	нечесен
aphid	disgust	0.453	вошка вошка
elimination	disgust	0.453	елиминација
cur	disgust	0.453	кур
selfish	disgust	0.453	себичен
eschew	disgust	0.453	избегнувај
dire	disgust	0.453	страшно
indignation	disgust	0.453	огорченост
antipathy	disgust	0.453	антипатија
alienate	disgust	0.453	отуѓуваат
mosquito	disgust	0.445	комарец
piles	disgust	0.445	купови
pious	disgust	0.445	побожни
lie	disgust	0.445	лага
opium	disgust	0.445	опиум
smell	disgust	0.445	мирис
iniquity	disgust	0.445	беззаконие
caries	disgust	0.445	кариес
despair	disgust	0.445	очај
recalcitrant	disgust	0.445	непослушен
egotistical	disgust	0.445	егоистичен
wasted	disgust	0.445	потрошени
vacuous	disgust	0.445	празно
bankruptcy	disgust	0.445	стечај
garish	disgust	0.445	горчлив
obnoxious	disgust	0.438	одвратно
ashamed	disgust	0.438	засрамен
abject	disgust	0.438	беден
sticky	disgust	0.438	леплива
scream	disgust	0.438	врескаат
hopelessness	disgust	0.438	безнадежност
homeless	disgust	0.438	бездомник
shun	disgust	0.438	избегнуваат
inmate	disgust	0.438	затвореник
alien	disgust	0.438	вонземјанин
hog	disgust	0.438	свиња
aversion	disgust	0.438	аверзија
abnormal	disgust	0.438	ненормални
cursing	disgust	0.430	пцуејќи
undesirable	disgust	0.430	непожелни
denounce	disgust	0.430	осудува
witch	disgust	0.430	вештерка
creature	disgust	0.430	суштество
lusty	disgust	0.430	похотлив
illegal	disgust	0.430	незаконски
debris	disgust	0.430	остатоци
callous	disgust	0.430	бесчувствителен
reflux	disgust	0.430	рефлукс
adverse	disgust	0.430	неповолни
shameless	disgust	0.430	бесрамен
separatist	disgust	0.430	сепаратистички
trickery	disgust	0.430	измама
falsity	disgust	0.430	лажност
pall	disgust	0.430	бледило
defiance	disgust	0.430	пркос
incredulous	disgust	0.430	недоверлив
curse	disgust	0.430	проклетство
pompous	disgust	0.422	помпезни
socialist	disgust	0.422	социјалистички
mistrust	disgust	0.422	недоверба
infantile	disgust	0.422	инфантилна
wasting	disgust	0.422	трошење
hairy	disgust	0.422	влакнести
nicotine	disgust	0.422	никотин
denunciation	disgust	0.422	отказ
collapse	disgust	0.422	колапс
untidy	disgust	0.422	неуредна
ferocious	disgust	0.422	жесток
ammonia	disgust	0.422	амонијак
carelessness	disgust	0.422	невнимание
impure	disgust	0.422	нечист
contentious	disgust	0.422	спорни
bum	disgust	0.422	клошар
affront	disgust	0.422	навреда
offend	disgust	0.422	навреди
tarnish	disgust	0.422	оцрнуваат
idiotic	disgust	0.422	идиотски
badness	disgust	0.422	лошотија
delinquent	disgust	0.422	деликвентен
swarm	disgust	0.422	рој
hypertrophy	disgust	0.422	хипертрофија
gush	disgust	0.422	бликаат
tasteless	disgust	0.422	невкусно
bovine	disgust	0.422	говеда
slush	disgust	0.422	кашест снег
litigious	disgust	0.414	парнична
dishonesty	disgust	0.414	нечесност
vegetative	disgust	0.414	вегетативна
unfavorable	disgust	0.414	неповолни
displacency	disgust	0.414	поместување
illegitimate	disgust	0.414	нелегитимни
sour	disgust	0.414	кисело
socialism	disgust	0.414	социјализмот
disobey	disgust	0.414	непослушни
drivel	disgust	0.414	возење
vampire	disgust	0.414	вампир
neglected	disgust	0.414	запоставени
murky	disgust	0.414	матно
ignorant	disgust	0.406	неуки
disgruntled	disgust	0.406	незадоволен
discontinuity	disgust	0.406	дисконтинуитет
dislike	disgust	0.406	не им се допаѓаат
unlawful	disgust	0.406	незаконски
wrongdoing	disgust	0.406	погрешно постапување
shoplifting	disgust	0.406	кражба во продавници
recidivism	disgust	0.406	рецидивизам
outcast	disgust	0.406	отфрлен
bogus	disgust	0.406	лажен
displeasure	disgust	0.406	незадоволство
repel	disgust	0.406	одвратат
falsify	disgust	0.406	фалсификува
ungrateful	disgust	0.406	неблагодарен
unkind	disgust	0.406	нељубезни
phony	disgust	0.406	лажни
prosecution	disgust	0.406	гонење
woe	disgust	0.398	тешко
averse	disgust	0.398	аверс
loon	disgust	0.398	лун
worsening	disgust	0.398	влошување
paucity	disgust	0.398	недостиг
unnatural	disgust	0.398	неприродна
amphetamines	disgust	0.398	амфетамини
senseless	disgust	0.398	бесмислено
rigor	disgust	0.398	строгост
subvert	disgust	0.398	превртуваат
failure	disgust	0.398	неуспех
lick	disgust	0.398	лижат
unruly	disgust	0.398	непослушните
woefully	disgust	0.398	тажно
stingy	disgust	0.398	скржавиот
crushing	disgust	0.398	дробење
disdain	disgust	0.398	презир
insult	disgust	0.393	навреда
averseness	disgust	0.391	аверсност
disrelish	disgust	0.391	незадоволуваат
punished	disgust	0.391	казнет
critter	disgust	0.391	животни
damage	disgust	0.391	оштетување
scorpion	disgust	0.391	скорпија
diatribe	disgust	0.391	дијатриба
muff	disgust	0.391	муф
farcical	disgust	0.391	фарсично
antisocial	disgust	0.391	асоцијални
hardened	disgust	0.391	стврднат
punishment	disgust	0.391	казна
bad	disgust	0.391	лошо
expel	disgust	0.391	избрка
surly	disgust	0.383	грозоморен
lament	disgust	0.383	оплакуваат
illiterate	disgust	0.383	неписмени
divorce	disgust	0.383	развод
teeming	disgust	0.383	преполнување
plagiarism	disgust	0.383	плагијат
eviction	disgust	0.383	иселување
orc	disgust	0.383	орк
disappoint	disgust	0.383	разочара
shabby	disgust	0.383	излитена
presumptuous	disgust	0.383	дрско
anaconda	disgust	0.383	анаконда
discord	disgust	0.383	раздор
guilt	disgust	0.383	вина
fugitive	disgust	0.383	бегалец
irrational	disgust	0.383	ирационален
adder	disgust	0.383	собирач
fulsome	disgust	0.383	полна
sacrifices	disgust	0.383	жртви
hypocritical	disgust	0.383	лицемерен
shock	disgust	0.375	шок
alienation	disgust	0.375	отуѓување
scoff	disgust	0.375	потсмев
plight	disgust	0.375	неволја
irritation	disgust	0.375	иритација
unworthy	disgust	0.375	недостојни
misconduct	disgust	0.375	недолично однесување
defective	disgust	0.375	неисправни
blame	disgust	0.375	Вина
depressing	disgust	0.375	депресивно
dislocated	disgust	0.375	дислоциран
irritating	disgust	0.375	иритирачки
vainly	disgust	0.367	залудно
toad	disgust	0.367	крастава жаба
powerless	disgust	0.367	немоќен
coerce	disgust	0.367	принуда
shuddering	disgust	0.367	тресејќи се
stripped	disgust	0.367	соголени
revoke	disgust	0.367	отповика
wimpy	disgust	0.367	лут
unhealthy	disgust	0.367	нездраво
exclusion	disgust	0.367	исклучување
disillusionment	disgust	0.367	разочарување
blatant	disgust	0.367	бесрамно
hurtful	disgust	0.367	повреден
hoax	disgust	0.367	измама
wimp	disgust	0.367	вим
cad	disgust	0.367	кад
pitfall	disgust	0.367	замка
squelch	disgust	0.367	стискање
deserted	disgust	0.359	напуштен
damn	disgust	0.359	проклето
incompatible	disgust	0.359	некомпатибилни
dispose	disgust	0.359	располага
oddity	disgust	0.359	необичноста
rebellion	disgust	0.359	бунт
ineptitude	disgust	0.359	неспособност
bug	disgust	0.359	бубачка
disobedience	disgust	0.359	непослушност
inept	disgust	0.352	неспособен
litigate	disgust	0.352	водат судски спор
dismissal	disgust	0.352	отказ
cutting	disgust	0.352	сечење
untoward	disgust	0.352	непријатно
displeased	disgust	0.352	незадоволен
censor	disgust	0.352	цензурира
ridiculous	disgust	0.352	смешно
compost	disgust	0.352	компост
frustrate	disgust	0.352	фрустрира
misbehavior	disgust	0.352	недолично однесување
lawyer	disgust	0.352	адвокат
crushed	disgust	0.352	здробени
flesh	disgust	0.352	месо
uncertain	disgust	0.352	неизвесна
obi	disgust	0.352	оби
flinch	disgust	0.352	трепкаат
fierce	disgust	0.352	жесток
wrongful	disgust	0.352	погрешно
depreciate	disgust	0.344	амортизираат
disapprove	disgust	0.344	неодобруваат
tearful	disgust	0.344	плачлив
grumble	disgust	0.336	мрморат
unsettled	disgust	0.336	несмирен
annoy	disgust	0.336	досадуваат
exigent	disgust	0.336	изобилство
heartsick	disgust	0.336	болно срце
lawsuit	disgust	0.336	тужба
discoloration	disgust	0.336	промена на бојата
lumpy	disgust	0.336	груткаста
daft	disgust	0.336	даф
blunder	disgust	0.336	грешка
discontent	disgust	0.336	незадоволство
bickering	disgust	0.336	карање
thoughtless	disgust	0.336	непромислено
disliked	disgust	0.336	не им се допадна
disinclination	disgust	0.336	ненаклонетост
distrust	disgust	0.336	недоверба
disallowed	disgust	0.336	забрането
instability	disgust	0.328	нестабилност
hydrophobia	disgust	0.328	хидрофобија
whine	disgust	0.328	лелекаат
inhibit	disgust	0.328	инхибираат
excluded	disgust	0.328	исклучени
provoking	disgust	0.328	провоцирајќи
grievance	disgust	0.328	поплака
unmanageable	disgust	0.328	неуправлив
sly	disgust	0.328	итар
exasperation	disgust	0.328	огорченост
cacophony	disgust	0.328	какофонија
unsatisfactory	disgust	0.328	незадоволителен
disappointed	disgust	0.328	разочаран
materialist	disgust	0.328	материјалистички
misleading	disgust	0.321	погрешно
mishap	disgust	0.320	несреќа
soot	disgust	0.320	саѓи
humbug	disgust	0.320	смирен
disclaim	disgust	0.320	одрекување
annoyance	disgust	0.320	вознемиреност
disapproving	disgust	0.320	неодобрување
disservice	disgust	0.320	лоша услуга
reproach	disgust	0.320	прекор
confined	disgust	0.320	ограничен
unequal	disgust	0.320	нееднаков
rags	disgust	0.320	партали
groan	disgust	0.320	стенкање
soil	disgust	0.312	почвата
inappropriate	disgust	0.312	несоодветни
criticize	disgust	0.312	критикуваат
disincline	disgust	0.312	ненаклонети
theism	disgust	0.312	теизам
depreciated	disgust	0.312	амортизирана
inconsiderate	disgust	0.312	невнимателен
overpriced	disgust	0.312	прескапи
stomach	disgust	0.312	стомакот
burke	disgust	0.312	бурк
sneeze	disgust	0.312	кивање
gall	disgust	0.305	жолчка
bang	disgust	0.305	тресне
inadmissible	disgust	0.305	недозволиво
unfriendly	disgust	0.305	непријателски
unaccountable	disgust	0.305	неодговорен
disparity	disgust	0.305	нееднаквост
latent	disgust	0.305	латентен
disliking	disgust	0.305	несакање
shack	disgust	0.305	барака
grumpy	disgust	0.305	пргавост
coop	disgust	0.304	кокошарник
disappointment	disgust	0.297	разочарување
scold	disgust	0.297	карање
delay	disgust	0.297	одложување
congress	disgust	0.297	конгресот
growling	disgust	0.297	ржење
backwards	disgust	0.297	наназад
soreness	disgust	0.297	болка
disregarded	disgust	0.297	занемарен
rogue	disgust	0.297	непријателските
lonely	disgust	0.297	осамен
notoriety	disgust	0.289	озлогласеност
catechism	disgust	0.289	катехизам
flop	disgust	0.289	флоп
infamous	disgust	0.289	озлогласен
janitor	disgust	0.289	служител
nettle	disgust	0.289	коприва
saturated	disgust	0.281	заситен
prohibited	disgust	0.281	забрането
gaby	disgust	0.281	габи
wince	disgust	0.281	навивам
desist	disgust	0.281	се откаже
unfair	disgust	0.281	нефер
aftermath	disgust	0.281	последователни последици
remiss	disgust	0.281	пропушти
tribunal	disgust	0.273	трибунал
discolored	disgust	0.273	обезцветен
wrangling	disgust	0.273	расправија
uneasy	disgust	0.273	непријатно
huff	disgust	0.273	хаф
weird	disgust	0.266	чудно
impolite	disgust	0.266	неучтиви
swig	disgust	0.266	лулка
crawl	disgust	0.266	ползи
unsatisfied	disgust	0.266	незадоволни
inefficiency	disgust	0.266	неефикасност
frantic	disgust	0.266	избезумени
bureaucrat	disgust	0.266	бирократ
politic	disgust	0.266	политички
coldness	disgust	0.266	студенило
gruff	disgust	0.258	груб
octopus	disgust	0.258	октопод
chagrin	disgust	0.258	жалење
barrow	disgust	0.258	бароу
copycat	disgust	0.258	копираат
incase	disgust	0.258	во случај
rascal	disgust	0.258	раскал
sarcasm	disgust	0.258	сарказам
instinctive	disgust	0.258	инстинктивно
misconception	disgust	0.250	заблуда
disinclined	disgust	0.250	ненаклонети
john	disgust	0.250	Џон
hulk	disgust	0.250	халк
baboon	disgust	0.250	бабун
shanghai	disgust	0.250	шангај
cupping	disgust	0.250	вендузи
lose	disgust	0.250	изгуби
rook	disgust	0.242	вртоглавица
entangled	disgust	0.242	заплеткана
gratuitous	disgust	0.242	бесплатна
scrub	disgust	0.242	пилинг
opponent	disgust	0.242	противник
tariff	disgust	0.242	тарифа
questionable	disgust	0.234	сомнително
prolong	disgust	0.234	продолжи
reluctance	disgust	0.234	неподготвеност
lagging	disgust	0.234	заостануваат
misstatement	disgust	0.234	погрешна изјава
resign	disgust	0.234	оставка
unlucky	disgust	0.234	несреќен
backwardness	disgust	0.234	заостанатост
ineffectual	disgust	0.227	неефективен
disqualified	disgust	0.227	дисквалификуван
subsidy	disgust	0.227	субвенција
reversal	disgust	0.227	пресврт
default	disgust	0.227	стандардно
fussy	disgust	0.227	претрупан
unpopular	disgust	0.227	непопуларен
petroleum	disgust	0.219	нафта
intense	disgust	0.219	интензивна
evade	disgust	0.219	избегнуваат
frowning	disgust	0.219	намуртено
weight	disgust	0.219	Тежина
dame	disgust	0.219	дама
donkey	disgust	0.211	магаре
actionable	disgust	0.211	активна
tawny	disgust	0.211	кафеаво
unhappy	disgust	0.211	несреќен
dandy	disgust	0.203	денди
birch	disgust	0.203	бреза
speck	disgust	0.203	дамка
hood	disgust	0.203	хауба
owing	disgust	0.203	должи
desert	disgust	0.203	пустина
indifference	disgust	0.203	рамнодушност
awkwardness	disgust	0.203	незгодност
rave	disgust	0.203	рејв
gnome	disgust	0.203	гном
inconvenient	disgust	0.203	незгодно
howl	disgust	0.195	завива
dabbling	disgust	0.195	замавнување
morals	disgust	0.195	моралот
misguided	disgust	0.195	погрешно
airs	disgust	0.195	проветрува
gelatin	disgust	0.195	желатин
fleece	disgust	0.195	руно
monochrome	disgust	0.195	монохроматски
lush	disgust	0.188	бујна
celebrity	disgust	0.188	славна личност
avoid	disgust	0.188	избегнувајте
gent	disgust	0.188	господин
stalemate	disgust	0.188	ќор-сокак
lesser	disgust	0.188	помала
sunk	disgust	0.180	потонат
nose	disgust	0.180	носот
laughable	disgust	0.180	смешен
claimant	disgust	0.180	барателот
possession	disgust	0.180	поседување
larger	disgust	0.164	поголема
pregnancy	disgust	0.164	бременост
thrift	disgust	0.164	штедливост
undoubted	disgust	0.164	несомнено
mouthful	disgust	0.164	залак
hoot	disgust	0.164	шутнат
sentence	disgust	0.156	реченица
misplace	disgust	0.156	погрешно место
clamor	disgust	0.156	џагор
parrot	disgust	0.156	папагалот
obliging	disgust	0.156	обврзувачки
nameless	disgust	0.148	безимени
bummer	disgust	0.148	лош
elf	disgust	0.141	елф
feeling	disgust	0.141	чувство
excellence	disgust	0.141	извонредност
gray	disgust	0.133	сиво
asymmetry	disgust	0.133	асиметрија
turn	disgust	0.133	врти
clumsy	disgust	0.133	несмасна
stall	disgust	0.133	штанд
bran	disgust	0.125	трици
finally	disgust	0.125	конечно
lord	disgust	0.125	господ
nurture	disgust	0.117	негуваат
savor	disgust	0.117	арома
cove	disgust	0.117	заливот
winning	disgust	0.109	победувајќи
lemon	disgust	0.109	лимон
powerful	disgust	0.102	моќен
glitter	disgust	0.094	сјајот
interior	disgust	0.086	внатрешни работи
mind	disgust	0.086	умот
interested	disgust	0.078	заинтересирани
treat	disgust	0.078	третираат
abundance	disgust	0.078	изобилство
honest	disgust	0.055	искрен
kite	disgust	0.055	змејот
humble	disgust	0.047	смирен
tree	disgust	0.039	дрво
torture	fear	0.984	мачење
terrorist	fear	0.972	терорист
terrorists	fear	0.969	терористите
horrific	fear	0.969	ужасно
terrorism	fear	0.969	тероризам
suicidebombing	fear	0.967	самоубиствен бомбашки напад
kill	fear	0.962	убие
homicidal	fear	0.959	убиствен
catastrophe	fear	0.953	катастрофа
annihilate	fear	0.953	уништи
murderer	fear	0.953	убиец
terror	fear	0.953	терор
dying	fear	0.948	умирање
war	fear	0.942	војна
bombing	fear	0.938	бомбардирање
bomb	fear	0.935	бомба
missiles	fear	0.934	проектили
horror	fear	0.923	ужас
brutality	fear	0.922	бруталност
terrorize	fear	0.922	тероризираат
horrified	fear	0.922	ужаснат
