English Word	Emotion	Emotion-Intensity-Score	Chinese-Traditional Word
abundance	anticipation	0.547	豐富
resultant	anticipation	0.547	結果
probability	anticipation	0.547	可能性
recreational	anticipation	0.547	休閒的
glory	anticipation	0.547	榮耀
agape	anticipation	0.547	阿加佩
delighted	anticipation	0.547	高興極了
changeable	anticipation	0.547	多變
convergence	anticipation	0.547	收斂
bountiful	anticipation	0.547	豐富
warn	anticipation	0.547	警告
monetary	anticipation	0.547	貨幣
sorcery	anticipation	0.547	巫術
morrow	anticipation	0.547	明天
apprehensive	anticipation	0.547	憂慮
hungry	anticipation	0.547	飢餓的
vote	anticipation	0.547	投票
suspicious	anticipation	0.547	可疑的
pray	anticipation	0.547	祈禱
leisure	anticipation	0.547	閒暇
hunting	anticipation	0.539	打獵
sensual	anticipation	0.539	感性的
tempest	anticipation	0.539	暴風雨
auction	anticipation	0.539	拍賣
ballot	anticipation	0.539	選票
grandchildren	anticipation	0.539	孫子
hankering	anticipation	0.539	渴望
entertainment	anticipation	0.539	娛樂
merge	anticipation	0.539	合併
exceed	anticipation	0.539	超出
vindication	anticipation	0.539	平反
blessings	anticipation	0.539	祝福
inquiry	anticipation	0.539	詢問
bounty	anticipation	0.539	賞金
worrying	anticipation	0.539	令人擔憂
contingent	anticipation	0.539	隊伍
glad	anticipation	0.536	高興的
harbinger	anticipation	0.531	預兆
magnificent	anticipation	0.531	壯麗的
virginity	anticipation	0.531	童貞
stealthy	anticipation	0.531	隱秘的
appeal	anticipation	0.531	上訴
forming	anticipation	0.531	成型
celestial	anticipation	0.531	天上的
raving	anticipation	0.531	狂言
deliverance	anticipation	0.531	釋放
feat	anticipation	0.531	壯舉
cheer	anticipation	0.531	歡呼
responsive	anticipation	0.531	反應靈敏
hurried	anticipation	0.531	慌忙
betrothed	anticipation	0.531	訂婚的
overthrow	anticipation	0.531	推翻
spirits	anticipation	0.531	精神
dread	anticipation	0.531	恐懼
visitor	anticipation	0.531	遊客
wait	anticipation	0.523	等待
revive	anticipation	0.523	復活
watch	anticipation	0.523	手錶
hunter	anticipation	0.523	獵人
radiance	anticipation	0.523	輻射
planning	anticipation	0.523	規劃
germination	anticipation	0.523	發芽
competition	anticipation	0.523	競賽
preparatory	anticipation	0.523	預備
prognostic	anticipation	0.523	預後
beaming	anticipation	0.523	喜氣洋洋
cheery	anticipation	0.523	愉快的
prevail	anticipation	0.523	佔上風
importance	anticipation	0.523	重要性
notification	anticipation	0.523	通知
explosive	anticipation	0.523	爆炸性的
pleasant	anticipation	0.523	令人愉快的
ultimately	anticipation	0.523	最終
child	anticipation	0.523	孩子
haste	anticipation	0.523	匆忙
prophet	anticipation	0.523	預言家
recreation	anticipation	0.516	娛樂
present	anticipation	0.516	當下
time	anticipation	0.516	時間
sensuality	anticipation	0.516	肉慾
owing	anticipation	0.516	欠
loom	anticipation	0.516	織機
begun	anticipation	0.516	開始
salary	anticipation	0.516	薪水
celebrity	anticipation	0.516	名人
treat	anticipation	0.516	對待
chocolate	anticipation	0.516	巧克力
caution	anticipation	0.516	警告
fermentation	anticipation	0.516	發酵
uncontrollable	anticipation	0.516	不可控
precious	anticipation	0.516	寶貴的
compensate	anticipation	0.516	補償
endanger	anticipation	0.516	危害
renovation	anticipation	0.516	裝修
signify	anticipation	0.508	表示
vigilance	anticipation	0.508	警覺
prerequisite	anticipation	0.508	先決條件
perfection	anticipation	0.508	完美
cultivate	anticipation	0.508	培育
develop	anticipation	0.508	開發
cue	anticipation	0.508	提示
exigent	anticipation	0.508	緊急
transitional	anticipation	0.508	過渡的
commemoration	anticipation	0.508	紀念
intermission	anticipation	0.508	中場休息
elevation	anticipation	0.508	海拔
infant	anticipation	0.508	嬰兒
practise	anticipation	0.508	實踐
contemplation	anticipation	0.508	沉思
dreadful	anticipation	0.508	可怕
wilderness	anticipation	0.508	荒野
horizon	anticipation	0.508	地平線
sneaking	anticipation	0.500	鬼鬼祟祟
uphill	anticipation	0.500	上坡
puppy	anticipation	0.500	小狗
blindfold	anticipation	0.500	眼罩
unbridled	anticipation	0.500	肆無忌憚
horoscope	anticipation	0.500	星座運勢
airport	anticipation	0.500	飛機場
reconciliation	anticipation	0.500	和解
advocacy	anticipation	0.500	倡導
litigate	anticipation	0.500	訴訟
sunny	anticipation	0.500	晴天
intuitively	anticipation	0.500	直觀地
hero	anticipation	0.500	英雄
ardent	anticipation	0.500	熱心
commemorate	anticipation	0.500	紀念
romantic	anticipation	0.500	浪漫的
doomsday	anticipation	0.500	末日
ready	anticipation	0.500	準備好
nascent	anticipation	0.500	新生
invocation	anticipation	0.500	調用
depart	anticipation	0.500	離開
undisclosed	anticipation	0.500	未公開
attendance	anticipation	0.500	出席
peril	anticipation	0.500	危險
income	anticipation	0.500	收入
calculation	anticipation	0.500	計算
zeal	anticipation	0.500	熱情
eventuality	anticipation	0.500	可能性
favorable	anticipation	0.500	有利
utopian	anticipation	0.500	烏托邦
swim	anticipation	0.500	游泳
proceeding	anticipation	0.492	進行中
eventual	anticipation	0.492	最終
heyday	anticipation	0.492	鼎盛時期
undertaking	anticipation	0.492	承諾
improvise	anticipation	0.492	湊合
inauguration	anticipation	0.492	就職典禮
consequent	anticipation	0.492	結果
perspective	anticipation	0.492	看法
defense	anticipation	0.492	防禦
repay	anticipation	0.492	償還
gaping	anticipation	0.492	張開
youth	anticipation	0.492	青年
parole	anticipation	0.492	言語
worry	anticipation	0.492	擔心
bless	anticipation	0.492	保佑
restorative	anticipation	0.492	恢復性
court	anticipation	0.492	法庭
highest	anticipation	0.491	最高
shortly	anticipation	0.484	不久
auspicious	anticipation	0.484	吉祥
princely	anticipation	0.484	王侯的
correspondence	anticipation	0.484	一致
generosity	anticipation	0.484	慷慨
sparkle	anticipation	0.484	火花
voluptuous	anticipation	0.484	妖嬈
happen	anticipation	0.484	發生
tremor	anticipation	0.484	震顫
letter	anticipation	0.484	信
vow	anticipation	0.484	發誓
sharpen	anticipation	0.484	銳化
duel	anticipation	0.484	決鬥
conjure	anticipation	0.484	變戲法
threaten	anticipation	0.484	威脅
god	anticipation	0.484	上帝
engulf	anticipation	0.484	吞噬
unexplained	anticipation	0.484	無法解釋
contagion	anticipation	0.484	傳染
glorify	anticipation	0.477	美化
submit	anticipation	0.477	提交
enroll	anticipation	0.477	註冊
unification	anticipation	0.477	統一
gravitate	anticipation	0.477	受引力作用
glide	anticipation	0.477	滑行
accompaniment	anticipation	0.477	伴奏
cherish	anticipation	0.477	珍惜
adore	anticipation	0.477	崇拜
powerful	anticipation	0.477	強大的
clue	anticipation	0.477	線索
medal	anticipation	0.477	勳章
contemplate	anticipation	0.477	沉思
perilous	anticipation	0.477	危險的
determinate	anticipation	0.477	確定的
arbitration	anticipation	0.477	仲裁
recipient	anticipation	0.477	接受者
onset	anticipation	0.477	發作
predispose	anticipation	0.477	傾向
score	anticipation	0.477	分數
torture	anticipation	0.477	折磨
glow	anticipation	0.477	輝光
praiseworthy	anticipation	0.473	值得稱道
football	anticipation	0.469	足球
scare	anticipation	0.469	嚇
elite	anticipation	0.469	精英
unknown	anticipation	0.469	未知
precursor	anticipation	0.469	前體
pry	anticipation	0.469	撬
providing	anticipation	0.469	提供
sweets	anticipation	0.469	糖果
cautious	anticipation	0.469	謹慎
opera	anticipation	0.469	歌劇
motion	anticipation	0.469	運動
cash	anticipation	0.469	現金
creeping	anticipation	0.469	爬行
invoke	anticipation	0.469	調用
star	anticipation	0.469	星星
shaky	anticipation	0.469	搖搖欲墜
production	anticipation	0.469	生產
successful	anticipation	0.469	成功的
immediately	anticipation	0.469	立即地
dawn	anticipation	0.469	黎明
starry	anticipation	0.469	繁星點點
unsurpassed	anticipation	0.469	無與倫比
completion	anticipation	0.469	完成
hire	anticipation	0.469	聘請
fete	anticipation	0.469	宴請
commemorative	anticipation	0.461	紀念
shining	anticipation	0.461	閃亮的
testament	anticipation	0.461	遺囑
pay	anticipation	0.461	支付
alive	anticipation	0.461	活
plight	anticipation	0.461	困境
preliminary	anticipation	0.461	初步的
overture	anticipation	0.461	序曲
sanctuary	anticipation	0.461	避難所
regatta	anticipation	0.461	帆船賽
draft	anticipation	0.461	草稿
synchronize	anticipation	0.461	同步
soundness	anticipation	0.461	健全性
extricate	anticipation	0.461	解脫
excel	anticipation	0.461	擅長
punt	anticipation	0.461	平底船
untold	anticipation	0.461	數不清的
brilliant	anticipation	0.461	傑出的
cheerfulness	anticipation	0.461	快樂
jeopardy	anticipation	0.461	危險
friendly	anticipation	0.461	友誼賽
mail	anticipation	0.461	郵件
unexpected	anticipation	0.453	意外
basketball	anticipation	0.453	籃球
inaugural	anticipation	0.453	就職典禮
supremacy	anticipation	0.453	霸權
rehabilitation	anticipation	0.453	復原
intimately	anticipation	0.453	親密地
career	anticipation	0.453	職業
prevention	anticipation	0.453	預防
renovate	anticipation	0.453	翻新
compliment	anticipation	0.453	讚揚
prologue	anticipation	0.453	序幕
elegance	anticipation	0.453	優雅
complement	anticipation	0.453	補充
flinch	anticipation	0.453	退縮
infinity	anticipation	0.453	無窮
perpetuity	anticipation	0.453	永續性
sunset	anticipation	0.453	日落
improve	anticipation	0.453	提升
fitting	anticipation	0.445	配件
confidence	anticipation	0.445	信心
concealment	anticipation	0.445	隱瞞
sweet	anticipation	0.445	甜的
perfect	anticipation	0.445	完美的
epidemic	anticipation	0.445	流行性
fain	anticipation	0.445	欣然
volunteer	anticipation	0.445	志願者
share	anticipation	0.445	分享
surround	anticipation	0.445	環繞
conjecture	anticipation	0.445	推測
sun	anticipation	0.445	太陽
veracity	anticipation	0.445	真實性
serial	anticipation	0.438	串行
angel	anticipation	0.438	天使
aloha	anticipation	0.438	阿羅哈
saint	anticipation	0.438	聖
tickle	anticipation	0.438	癢癢
superstitious	anticipation	0.438	迷信的
ferment	anticipation	0.438	發酵
conservation	anticipation	0.438	保護
devout	anticipation	0.438	虔誠的
respect	anticipation	0.438	尊重
reconstruction	anticipation	0.438	重建
goodness	anticipation	0.438	善良
reconstruct	anticipation	0.438	重建
faith	anticipation	0.438	信仰
recombination	anticipation	0.438	重組
prepared	anticipation	0.438	準備好的
rabid	anticipation	0.438	狂熱的
plea	anticipation	0.438	懇求
medical	anticipation	0.438	醫療的
passenger	anticipation	0.438	乘客
charitable	anticipation	0.430	慈善
tabulate	anticipation	0.430	製表
peace	anticipation	0.430	和平
install	anticipation	0.430	安裝
serenity	anticipation	0.430	寧靜
venerable	anticipation	0.430	可敬
spa	anticipation	0.430	溫泉
labyrinth	anticipation	0.430	迷宮
luscious	anticipation	0.430	甜美
perpetuate	anticipation	0.430	延續
strategist	anticipation	0.430	戰略家
unverified	anticipation	0.430	未經驗證
tribunal	anticipation	0.430	法庭
clap	anticipation	0.430	拍
peaceful	anticipation	0.422	平靜的
patience	anticipation	0.422	耐心
unresolved	anticipation	0.422	未解決
worship	anticipation	0.422	崇拜
edification	anticipation	0.422	熏陶
oasis	anticipation	0.422	綠洲
grin	anticipation	0.422	咧嘴笑
revere	anticipation	0.422	尊敬
candid	anticipation	0.422	坦率
vista	anticipation	0.422	遠景
conspirator	anticipation	0.422	同謀
adrift	anticipation	0.422	漂流
recognizable	anticipation	0.422	可識別的
volatility	anticipation	0.422	揮發性
forestall	anticipation	0.422	壟斷
laughter	anticipation	0.422	笑聲
continue	anticipation	0.414	繼續
ongoing	anticipation	0.414	進行中
astrologer	anticipation	0.414	占星家
mediate	anticipation	0.414	調解
punctual	anticipation	0.414	準時
grant	anticipation	0.414	授予
morn	anticipation	0.414	早晨
pretty	anticipation	0.414	漂亮的
withstand	anticipation	0.414	經受
frisky	anticipation	0.414	活潑的
thought	anticipation	0.414	想法
probation	anticipation	0.414	緩刑
ordination	anticipation	0.414	受戒
calls	anticipation	0.414	來電
detainee	anticipation	0.414	被拘留者
craps	anticipation	0.414	擲骰子
weigh	anticipation	0.414	稱重
proficiency	anticipation	0.414	熟練度
sing	anticipation	0.411	唱歌
continuation	anticipation	0.406	繼續
university	anticipation	0.406	大學
chicane	anticipation	0.406	彎道
nurture	anticipation	0.406	培育
mother	anticipation	0.406	母親
punished	anticipation	0.406	受到懲罰
twinkle	anticipation	0.406	閃爍
confession	anticipation	0.406	懺悔
outdo	anticipation	0.406	超越
prophylactic	anticipation	0.406	預防性的
proud	anticipation	0.406	自豪的
midwife	anticipation	0.406	助產士
wizard	anticipation	0.406	嚮導
headlight	anticipation	0.406	大燈
long	anticipation	0.406	長
banquet	anticipation	0.406	宴會
comfort	anticipation	0.406	舒適
navigable	anticipation	0.406	可通航
subscribe	anticipation	0.406	訂閱
opponent	anticipation	0.406	對手
debenture	anticipation	0.406	債券
deal	anticipation	0.402	交易
symphony	anticipation	0.398	交響樂
saintly	anticipation	0.398	聖潔的
judiciary	anticipation	0.398	司法
lettered	anticipation	0.398	字母
vigil	anticipation	0.398	守夜
reliance	anticipation	0.398	依賴
distracting	anticipation	0.398	分散注意力
mortification	anticipation	0.398	屈辱
balm	anticipation	0.398	香脂
simmer	anticipation	0.398	煨
top	anticipation	0.398	最佳
obliging	anticipation	0.398	有義務的
efficient	anticipation	0.398	高效的
guillotine	anticipation	0.398	斷頭台
representing	anticipation	0.398	代表
death	anticipation	0.398	死亡
assurance	anticipation	0.391	保證
familiarity	anticipation	0.391	熟悉度
depraved	anticipation	0.391	墮落的
condemnation	anticipation	0.391	譴責
undoubted	anticipation	0.391	毫無疑問
sanctify	anticipation	0.391	成聖
diplomacy	anticipation	0.391	外交
antidote	anticipation	0.391	解毒劑
trust	anticipation	0.391	相信
linger	anticipation	0.391	縈繞
objective	anticipation	0.391	客觀的
chuckle	anticipation	0.391	輕笑
poke	anticipation	0.391	戳
abeyance	anticipation	0.391	暫停
maternal	anticipation	0.391	母體
art	anticipation	0.391	藝術
unfulfilled	anticipation	0.391	未完成
inoculation	anticipation	0.384	接種
simplify	anticipation	0.383	簡化
depend	anticipation	0.383	依靠
chant	anticipation	0.383	唄
ram	anticipation	0.383	內存
banger	anticipation	0.383	砰砰
playground	anticipation	0.383	操場
labor	anticipation	0.383	勞動
scientist	anticipation	0.383	科學家
good	anticipation	0.383	好的
humanitarian	anticipation	0.383	人道主義
failing	anticipation	0.383	失敗
hap	anticipation	0.383	快樂
dutiful	anticipation	0.383	盡職盡責
hymn	anticipation	0.383	聖歌
ship	anticipation	0.383	船
discretion	anticipation	0.383	審慎
undecided	anticipation	0.383	未定
gradual	anticipation	0.375	漸進的
navigator	anticipation	0.375	航海家
track	anticipation	0.375	追踪
cradle	anticipation	0.375	搖籃
sterling	anticipation	0.375	英鎊
interim	anticipation	0.375	臨時
clock	anticipation	0.375	鐘
mountain	anticipation	0.375	山
interminable	anticipation	0.375	沒完沒了
public	anticipation	0.375	上市
recurrent	anticipation	0.375	經常性的
savor	anticipation	0.375	品嚐
abide	anticipation	0.367	遵守
concealed	anticipation	0.367	暗
spear	anticipation	0.367	矛
lesson	anticipation	0.367	課
instructions	anticipation	0.367	指示
sonar	anticipation	0.367	聲納
biennial	anticipation	0.367	雙年展
convince	anticipation	0.367	說服
whim	anticipation	0.367	心血來潮
shiver	anticipation	0.367	顫抖
towering	anticipation	0.367	參天
musical	anticipation	0.367	音樂
offset	anticipation	0.359	抵消
theory	anticipation	0.359	理論
theology	anticipation	0.359	神學
undying	anticipation	0.359	不朽
timidity	anticipation	0.359	膽怯
plump	anticipation	0.359	豐滿
atone	anticipation	0.359	贖罪
audience	anticipation	0.357	觀眾
dietary	anticipation	0.352	飲食
consecration	anticipation	0.352	奉獻
localize	anticipation	0.352	本地化
paragon	anticipation	0.352	模範
store	anticipation	0.352	店鋪
farm	anticipation	0.352	農場
daily	anticipation	0.352	日常的
cramp	anticipation	0.352	抽筋
nobility	anticipation	0.352	貴族
closure	anticipation	0.352	關閉
edition	anticipation	0.352	版
kindred	anticipation	0.352	親屬
stripped	anticipation	0.344	剝離
errand	anticipation	0.344	差事
archaeology	anticipation	0.344	考古學
mutable	anticipation	0.344	可變的
wireless	anticipation	0.344	無線
meditate	anticipation	0.344	幽思
mobile	anticipation	0.344	移動的
germ	anticipation	0.336	胚芽
brotherly	anticipation	0.336	兄弟般的
lessen	anticipation	0.336	減少
unbeaten	anticipation	0.336	不敗
pare	anticipation	0.336	削減
buddy	anticipation	0.336	夥伴
unaccountable	anticipation	0.336	不負責任的
dove	anticipation	0.328	鴿子
patient	anticipation	0.328	病人
secular	anticipation	0.328	世俗
digress	anticipation	0.328	離題
chastity	anticipation	0.328	貞潔
council	anticipation	0.328	理事會
olfactory	anticipation	0.328	嗅覺
ribbon	anticipation	0.328	絲帶
possess	anticipation	0.328	具有
disposed	anticipation	0.320	處置
scrutinize	anticipation	0.320	細看
immature	anticipation	0.320	不成熟
mediator	anticipation	0.320	調解員
regularity	anticipation	0.320	規律性
cove	anticipation	0.320	灣
infanticide	anticipation	0.320	殺嬰
paddle	anticipation	0.320	槳
heft	anticipation	0.320	重量
fancy	anticipation	0.320	想要
preservative	anticipation	0.320	防腐劑
unpublished	anticipation	0.312	未發表
church	anticipation	0.312	教會
bugle	anticipation	0.312	號角
grim	anticipation	0.312	嚴峻
denying	anticipation	0.312	否認
analyst	anticipation	0.312	分析師
judicial	anticipation	0.305	司法
priesthood	anticipation	0.305	聖職
broadside	anticipation	0.305	寬邊
mill	anticipation	0.305	磨
dismay	anticipation	0.297	沮喪
cap	anticipation	0.297	帽
thermocouple	anticipation	0.297	熱電偶
tributary	anticipation	0.297	支流
instructor	anticipation	0.297	講師
exhaustion	anticipation	0.297	筋疲力盡
saliva	anticipation	0.297	唾液
cataract	anticipation	0.289	白內障
network	anticipation	0.289	網絡
visor	anticipation	0.289	遮陽板
shackle	anticipation	0.289	枷鎖
wont	anticipation	0.289	慣於
addresses	anticipation	0.289	地址
discreet	anticipation	0.289	慎重
noncompliance	anticipation	0.289	不合規
bruise	anticipation	0.289	挫傷
homeless	anticipation	0.289	無家可歸
astronomer	anticipation	0.281	天文學家
skewed	anticipation	0.281	歪斜的
neighbor	anticipation	0.281	鄰居
holiness	anticipation	0.273	聖潔
devil	anticipation	0.273	魔鬼
picket	anticipation	0.273	糾察
sentence	anticipation	0.273	句子
latent	anticipation	0.273	潛
cream	anticipation	0.273	奶油
immaturity	anticipation	0.273	不成熟
habitual	anticipation	0.266	習慣性的
morals	anticipation	0.266	德
neighborhood	anticipation	0.266	鄰里
lull	anticipation	0.266	麻痺
bye	anticipation	0.258	再見
weight	anticipation	0.258	重量
organ	anticipation	0.250	器官
clown	anticipation	0.250	小丑
forearm	anticipation	0.250	前臂
commonplace	anticipation	0.242	平凡
quote	anticipation	0.242	引用
rail	anticipation	0.234	軌
dictatorship	anticipation	0.234	專政
treadmill	anticipation	0.234	跑步機
board	anticipation	0.234	木板
tree	anticipation	0.227	樹
sundial	anticipation	0.227	晷
paralysis	anticipation	0.211	麻痺
cement	anticipation	0.203	水泥
worm	anticipation	0.203	蟲
organization	anticipation	0.203	組織
lagging	anticipation	0.180	落後
neutral	anticipation	0.148	中性的
cannibalism	disgust	0.953	自相殘殺
mutilation	disgust	0.930	肢解
molestation	disgust	0.914	騷擾
incest	disgust	0.914	亂倫
rape	disgust	0.906	強姦
gonorrhea	disgust	0.906	淋病
cannibal	disgust	0.898	食人族
rot	disgust	0.891	腐爛
corpse	disgust	0.883	屍體
massacre	disgust	0.883	屠殺
excrement	disgust	0.883	糞便
barf	disgust	0.875	嘔吐物
slaughter	disgust	0.875	屠宰
slaughterhouse	disgust	0.867	屠宰場
incestuous	disgust	0.859	亂倫的
sewerage	disgust	0.859	下水道
filth	disgust	0.859	污穢
bigot	disgust	0.859	偏執狂
rancid	disgust	0.859	餿
infestation	disgust	0.852	侵染
plague	disgust	0.852	瘟疫
holocaust	disgust	0.852	大屠殺
bloodthirsty	disgust	0.852	嗜血的
rotting	disgust	0.844	腐爛
fecal	disgust	0.844	糞便
maggot	disgust	0.844	蛆
feces	disgust	0.844	屎
murder	disgust	0.839	謀殺
asshole	disgust	0.836	混蛋
homicide	disgust	0.836	殺人
enslaved	disgust	0.836	被奴役
infanticide	disgust	0.836	殺嬰
perverted	disgust	0.828	變態
excretion	disgust	0.828	排泄
gore	disgust	0.828	血塊
slaughtering	disgust	0.828	屠宰
torture	disgust	0.828	折磨
contaminate	disgust	0.821	污染
revolting	disgust	0.820	令人反感
gory	disgust	0.820	血腥
shit	disgust	0.820	拉屎
terrorist	disgust	0.820	恐怖分子
murderer	disgust	0.820	兇手
repugnant	disgust	0.820	令人反感的
manure	disgust	0.820	肥料
pervert	disgust	0.820	變態
diarrhoea	disgust	0.820	腹瀉
grotesque	disgust	0.820	怪誕的
desecration	disgust	0.820	褻瀆
faeces	disgust	0.812	糞便
slavery	disgust	0.812	奴隸制
sewer	disgust	0.812	下水道
cadaver	disgust	0.812	屍體
manslaughter	disgust	0.812	誤殺
dismemberment	disgust	0.812	肢解
vomit	disgust	0.812	嘔吐
perverse	disgust	0.805	反常的
repulsive	disgust	0.805	醜惡
hemorrhage	disgust	0.805	出血
sewage	disgust	0.797	污水
filthy	disgust	0.797	污穢
diseased	disgust	0.797	病態的
depravity	disgust	0.797	墮落
carcass	disgust	0.795	胴體
decompose	disgust	0.789	分解
gruesome	disgust	0.789	可怕的
mutilated	disgust	0.789	殘缺不全
puke	disgust	0.789	嘔吐
herpes	disgust	0.789	皰疹
decayed	disgust	0.789	腐爛的
dung	disgust	0.789	糞
vermin	disgust	0.789	害蟲
murderous	disgust	0.789	殺氣騰騰
parasite	disgust	0.789	寄生蟲
horrific	disgust	0.789	可怕的
carnage	disgust	0.781	大屠殺
malaria	disgust	0.781	瘧疾
slime	disgust	0.781	粘液
flatulence	disgust	0.781	脹氣
pestilence	disgust	0.781	瘟疫
crap	disgust	0.781	廢話
monstrosity	disgust	0.781	怪物
loathsome	disgust	0.773	討厭的
toxic	disgust	0.773	有毒的
morgue	disgust	0.773	停屍房
pus	disgust	0.773	膿
herpesvirus	disgust	0.773	皰疹病毒
leprosy	disgust	0.773	麻風
insidious	disgust	0.773	陰險
cruel	disgust	0.766	殘忍的
regurgitation	disgust	0.766	反流
anthrax	disgust	0.766	炭疽病
xenophobia	disgust	0.766	仇外心理
repugnance	disgust	0.766	反感
lynch	disgust	0.766	私刑
revulsion	disgust	0.766	反感
whore	disgust	0.766	妓女
dissection	disgust	0.759	解剖
mucous	disgust	0.758	粘液
canker	disgust	0.758	潰瘍
slum	disgust	0.758	貧民窟
infectious	disgust	0.758	傳染性
evil	disgust	0.758	邪惡的
phlegm	disgust	0.758	痰
cruelty	disgust	0.758	殘酷
perversion	disgust	0.758	變態
sinister	disgust	0.750	險惡
leeches	disgust	0.750	水蛭
corrupting	disgust	0.750	腐敗的
decomposition	disgust	0.750	分解
abomination	disgust	0.742	厭惡
stinking	disgust	0.742	臭
bile	disgust	0.742	膽汁
demonic	disgust	0.742	惡魔般的
deranged	disgust	0.742	精神錯亂
abhorrence	disgust	0.742	憎惡
soiled	disgust	0.742	弄髒了
mucus	disgust	0.742	粘液
septic	disgust	0.742	化糞池
sickening	disgust	0.742	令人作嘔
demon	disgust	0.742	惡魔
cancer	disgust	0.734	癌症
obese	disgust	0.734	肥胖
degeneracy	disgust	0.734	退化
despicable	disgust	0.734	卑鄙
atrocity	disgust	0.734	暴行
foul	disgust	0.734	犯規
sicken	disgust	0.734	噁心
crucifixion	disgust	0.734	釘十字架
terrorism	disgust	0.734	恐怖主義
repulsion	disgust	0.727	排斥力
morbidity	disgust	0.727	發病率
dysentery	disgust	0.727	痢
enema	disgust	0.727	灌腸
bacterium	disgust	0.727	細菌
dirty	disgust	0.727	骯髒的
adultery	disgust	0.727	通姦
contamination	disgust	0.727	污染
grisly	disgust	0.727	可怕的
diabolical	disgust	0.727	惡魔般的
autopsy	disgust	0.719	屍檢
barbaric	disgust	0.719	野蠻
vulgar	disgust	0.719	庸俗
entrails	disgust	0.719	內臟
disgust	disgust	0.719	厭惡
lewd	disgust	0.719	猥褻
muck	disgust	0.719	渣
bowels	disgust	0.719	腸子
garbage	disgust	0.719	垃圾
deterioration	disgust	0.719	惡化
contagion	disgust	0.719	傳染
vicious	disgust	0.719	惡毒
disfigured	disgust	0.719	毀容
pungent	disgust	0.719	潑辣
gross	disgust	0.719	總的
bloodshed	disgust	0.714	流血事件
gag	disgust	0.711	插科打諢
pollute	disgust	0.711	污染
nausea	disgust	0.711	噁心
tyrant	disgust	0.711	暴君
wretched	disgust	0.711	可憐
mortification	disgust	0.711	屈辱
violent	disgust	0.711	暴力
poisoned	disgust	0.711	中毒
nauseate	disgust	0.703	噁心
slimy	disgust	0.703	黏糊糊的
grope	disgust	0.703	摸索
slut	disgust	0.703	蕩婦
nasty	disgust	0.703	討厭
disgusting	disgust	0.703	噁心
depraved	disgust	0.703	墮落的
porn	disgust	0.703	A片
hateful	disgust	0.703	可惡
vulgarity	disgust	0.703	粗俗
noxious	disgust	0.703	有害的
grime	disgust	0.703	污垢
constipation	disgust	0.703	便秘
secretion	disgust	0.703	分泌
poisoning	disgust	0.703	中毒
despotism	disgust	0.703	專制
measles	disgust	0.696	麻疹
contagious	disgust	0.695	傳染性的
obesity	disgust	0.695	肥胖
wart	disgust	0.695	疣
hate	disgust	0.695	恨
hellish	disgust	0.695	地獄般的
scum	disgust	0.695	浮渣
suicidal	disgust	0.695	自殺的
wretch	disgust	0.695	可憐的
abuse	disgust	0.695	虐待
waste	disgust	0.695	浪費
intestinal	disgust	0.695	腸
heartworm	disgust	0.688	心絲蟲
ooze	disgust	0.688	軟泥
treason	disgust	0.688	叛國罪
contaminated	disgust	0.688	污染
smut	disgust	0.688	黑穗病
disease	disgust	0.688	疾病
rabid	disgust	0.688	狂熱的
deformed	disgust	0.680	變形
hell	disgust	0.680	地獄
soulless	disgust	0.680	沒有靈魂的
cholera	disgust	0.680	霍亂
bestial	disgust	0.680	獸性
antichrist	disgust	0.680	敵基督
freakish	disgust	0.680	怪誕的
germ	disgust	0.680	胚芽
detest	disgust	0.680	厭惡
pollution	disgust	0.680	污染
grimy	disgust	0.680	骯髒的
abhorrent	disgust	0.680	可惡的
hatred	disgust	0.680	仇恨
abominate	disgust	0.680	鄙棄
sickness	disgust	0.680	疾病
hideous	disgust	0.672	可怕
dictatorship	disgust	0.672	專政
loathful	disgust	0.672	作嘔
greasy	disgust	0.672	膩
dilapidated	disgust	0.672	破舊的
inhuman	disgust	0.672	不人道
loathing	disgust	0.672	厭惡
obscene	disgust	0.672	猥褻
cess	disgust	0.670	過程
devil	disgust	0.664	魔鬼
deformity	disgust	0.664	畸形
nauseous	disgust	0.664	噁心
deadly	disgust	0.664	致命
swine	disgust	0.664	豬
discrimination	disgust	0.664	歧視
abominable	disgust	0.664	可惡
masochism	disgust	0.664	受虐狂
heretic	disgust	0.664	異教徒
latrines	disgust	0.656	廁所
corruption	disgust	0.656	腐敗
poisonous	disgust	0.656	有毒
horror	disgust	0.656	恐怖
nefarious	disgust	0.656	邪惡
bacteria	disgust	0.656	細菌
horrible	disgust	0.656	可怕
trash	disgust	0.656	垃圾
abortion	disgust	0.656	流產
death	disgust	0.656	死亡
prejudiced	disgust	0.656	有偏見的
poison	disgust	0.656	毒
oppression	disgust	0.656	壓迫
goo	disgust	0.656	粘性物
victimized	disgust	0.656	受害
mange	disgust	0.656	疥瘡
sludge	disgust	0.648	污泥
trashy	disgust	0.648	垃圾
vindictive	disgust	0.648	鬥氣
horrid	disgust	0.648	可怕的
ugly	disgust	0.648	醜陋的
immoral	disgust	0.648	不道德
bitch	disgust	0.648	婊子
outhouse	disgust	0.648	外屋
detestation	disgust	0.648	厭惡
horrifying	disgust	0.641	可怕的
laxative	disgust	0.641	瀉藥
unsightly	disgust	0.641	難看的
derogatory	disgust	0.641	貶
slop	disgust	0.641	斜坡
