English Word	Emotion	Emotion-Intensity-Score	Bosnian Word
punished	anticipation	0.406	kažnjen
twinkle	anticipation	0.406	treperenje
confession	anticipation	0.406	priznanje
outdo	anticipation	0.406	nadmašiti
prophylactic	anticipation	0.406	profilaktički
proud	anticipation	0.406	ponosan
midwife	anticipation	0.406	babica
wizard	anticipation	0.406	čarobnjak
headlight	anticipation	0.406	far
long	anticipation	0.406	dugo
banquet	anticipation	0.406	banket
comfort	anticipation	0.406	udobnost
navigable	anticipation	0.406	plovni
subscribe	anticipation	0.406	pretplatite se
opponent	anticipation	0.406	protivnik
debenture	anticipation	0.406	zadužnica
deal	anticipation	0.402	dogovor
symphony	anticipation	0.398	simfonija
saintly	anticipation	0.398	svetački
judiciary	anticipation	0.398	pravosuđe
lettered	anticipation	0.398	sa slovima
vigil	anticipation	0.398	bdjenje
reliance	anticipation	0.398	oslanjanje
distracting	anticipation	0.398	ometajući
mortification	anticipation	0.398	mortification
balm	anticipation	0.398	balzam
simmer	anticipation	0.398	simmer
top	anticipation	0.398	top
obliging	anticipation	0.398	obavezan
efficient	anticipation	0.398	efikasan
guillotine	anticipation	0.398	giljotina
representing	anticipation	0.398	predstavljanje
death	anticipation	0.398	smrt
assurance	anticipation	0.391	osiguranje
familiarity	anticipation	0.391	familijarnost
depraved	anticipation	0.391	izopačen
condemnation	anticipation	0.391	osuda
undoubted	anticipation	0.391	nesumnjivo
sanctify	anticipation	0.391	posvetiti
diplomacy	anticipation	0.391	diplomatija
antidote	anticipation	0.391	protuotrov
trust	anticipation	0.391	povjerenje
linger	anticipation	0.391	zadržati se
objective	anticipation	0.391	objektivan
chuckle	anticipation	0.391	chuckle
poke	anticipation	0.391	poke
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	majčinski
art	anticipation	0.391	art
unfulfilled	anticipation	0.391	neispunjeno
inoculation	anticipation	0.384	inokulacija
simplify	anticipation	0.383	pojednostaviti
depend	anticipation	0.383	zavisiti
chant	anticipation	0.383	pjevanje
ram	anticipation	0.383	RAM
banger	anticipation	0.383	banger
playground	anticipation	0.383	igralište
labor	anticipation	0.383	rad
scientist	anticipation	0.383	naučnik
good	anticipation	0.383	dobro
humanitarian	anticipation	0.383	humanitarno
failing	anticipation	0.383	neuspješno
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	dutiful
hymn	anticipation	0.383	hymn
ship	anticipation	0.383	brod
discretion	anticipation	0.383	diskrecija
undecided	anticipation	0.383	neodlučan
gradual	anticipation	0.375	postepeno
navigator	anticipation	0.375	navigator
track	anticipation	0.375	track
cradle	anticipation	0.375	kolevka
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	privremeni
clock	anticipation	0.375	sat
mountain	anticipation	0.375	planina
interminable	anticipation	0.375	beskrajno
public	anticipation	0.375	javnosti
recurrent	anticipation	0.375	ponavljajuća
savor	anticipation	0.375	savor
abide	anticipation	0.367	pridržavati se
concealed	anticipation	0.367	skriveno
spear	anticipation	0.367	koplje
lesson	anticipation	0.367	lekcija
instructions	anticipation	0.367	instrukcije
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	bijenale
convince	anticipation	0.367	uvjeriti
whim	anticipation	0.367	hir
shiver	anticipation	0.367	drhtati
towering	anticipation	0.367	towering
musical	anticipation	0.367	muzički
offset	anticipation	0.359	offset
theory	anticipation	0.359	teorija
theology	anticipation	0.359	teologija
undying	anticipation	0.359	undying
timidity	anticipation	0.359	plašljivost
plump	anticipation	0.359	plump
atone	anticipation	0.359	iskupiti
audience	anticipation	0.357	publika
dietary	anticipation	0.352	dijetetski
consecration	anticipation	0.352	posvećenje
localize	anticipation	0.352	lokalizirati
paragon	anticipation	0.352	paragon
store	anticipation	0.352	prodavnica
farm	anticipation	0.352	farma
daily	anticipation	0.352	dnevno
cramp	anticipation	0.352	grč
nobility	anticipation	0.352	plemstvo
closure	anticipation	0.352	zatvaranje
edition	anticipation	0.352	izdanje
kindred	anticipation	0.352	rod
stripped	anticipation	0.344	ogoljen
errand	anticipation	0.344	errand
archaeology	anticipation	0.344	arheologija
mutable	anticipation	0.344	promjenjiv
wireless	anticipation	0.344	bežični
meditate	anticipation	0.344	meditirati
mobile	anticipation	0.344	mobilni
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	bratski
lessen	anticipation	0.336	smanjiti
unbeaten	anticipation	0.336	neporažen
pare	anticipation	0.336	pare
buddy	anticipation	0.336	druže
unaccountable	anticipation	0.336	neuračunljiv
dove	anticipation	0.328	golubica
patient	anticipation	0.328	pacijent
secular	anticipation	0.328	sekularni
digress	anticipation	0.328	digress
chastity	anticipation	0.328	čednost
council	anticipation	0.328	savjet
olfactory	anticipation	0.328	olfaktorno
ribbon	anticipation	0.328	traka
possess	anticipation	0.328	posjedovati
disposed	anticipation	0.320	disposed
scrutinize	anticipation	0.320	ispitati
immature	anticipation	0.320	nezreo
mediator	anticipation	0.320	posrednik
regularity	anticipation	0.320	regularnost
cove	anticipation	0.320	uvala
infanticide	anticipation	0.320	čedomorstvo
paddle	anticipation	0.320	veslo
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	konzervans
unpublished	anticipation	0.312	neobjavljeno
church	anticipation	0.312	crkva
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	mračan
denying	anticipation	0.312	poricanje
analyst	anticipation	0.312	analitičar
judicial	anticipation	0.305	sudski
priesthood	anticipation	0.305	sveštenstvo
broadside	anticipation	0.305	broadside
mill	anticipation	0.305	mlin
dismay	anticipation	0.297	užasnutost
cap	anticipation	0.297	kapa
thermocouple	anticipation	0.297	termoelement
tributary	anticipation	0.297	pritoka
instructor	anticipation	0.297	instruktor
exhaustion	anticipation	0.297	iscrpljenost
saliva	anticipation	0.297	pljuvačke
cataract	anticipation	0.289	katarakta
network	anticipation	0.289	mreže
visor	anticipation	0.289	vizir
shackle	anticipation	0.289	okov
wont	anticipation	0.289	običaj
addresses	anticipation	0.289	adrese
discreet	anticipation	0.289	diskretno
noncompliance	anticipation	0.289	neusklađenost
bruise	anticipation	0.289	modrica
homeless	anticipation	0.289	beskućnici
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	iskrivljeno
neighbor	anticipation	0.281	komšija
holiness	anticipation	0.273	svetost
devil	anticipation	0.273	đavola
picket	anticipation	0.273	picket
sentence	anticipation	0.273	rečenica
latent	anticipation	0.273	latentno
cream	anticipation	0.273	krema
immaturity	anticipation	0.273	nezrelosti
habitual	anticipation	0.266	habitual
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	susjedstvo
lull	anticipation	0.266	zatišje
bye	anticipation	0.258	ćao
weight	anticipation	0.258	težina
organ	anticipation	0.250	organ
clown	anticipation	0.250	klovn
forearm	anticipation	0.250	podlaktica
commonplace	anticipation	0.242	uobičajeno
quote	anticipation	0.242	citat
rail	anticipation	0.234	šina
dictatorship	anticipation	0.234	diktatura
treadmill	anticipation	0.234	traka za trčanje
board	anticipation	0.234	board
tree	anticipation	0.227	drvo
sundial	anticipation	0.227	sunčani sat
paralysis	anticipation	0.211	paraliza
cement	anticipation	0.203	cement
worm	anticipation	0.203	crv
organization	anticipation	0.203	organizacija
lagging	anticipation	0.180	zaostajanje
neutral	anticipation	0.148	neutralan
cannibalism	disgust	0.953	kanibalizam
mutilation	disgust	0.930	sakaćenje
molestation	disgust	0.914	zlostavljanje
incest	disgust	0.914	incest
rape	disgust	0.906	silovanje
gonorrhea	disgust	0.906	gonoreja
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	truleži
corpse	disgust	0.883	leš
massacre	disgust	0.883	masakr
excrement	disgust	0.883	izmet
barf	disgust	0.875	barf
slaughter	disgust	0.875	klanje
slaughterhouse	disgust	0.867	klaonica
incestuous	disgust	0.859	incestuozan
sewerage	disgust	0.859	kanalizacija
filth	disgust	0.859	prljavština
bigot	disgust	0.859	bigot
rancid	disgust	0.859	užeglo
infestation	disgust	0.852	infestacija
plague	disgust	0.852	kuga
holocaust	disgust	0.852	holokaust
bloodthirsty	disgust	0.852	krvožedan
rotting	disgust	0.844	truljenje
fecal	disgust	0.844	fekalni
maggot	disgust	0.844	crv
feces	disgust	0.844	feces
murder	disgust	0.839	ubistvo
asshole	disgust	0.836	seronjo
homicide	disgust	0.836	ubistvo
enslaved	disgust	0.836	porobljen
infanticide	disgust	0.836	čedomorstvo
perverted	disgust	0.828	izopačen
excretion	disgust	0.828	izlučivanje
gore	disgust	0.828	gore
slaughtering	disgust	0.828	klanje
torture	disgust	0.828	mučenje
contaminate	disgust	0.821	kontaminirati
revolting	disgust	0.820	revoltiran
gory	disgust	0.820	gory
shit	disgust	0.820	sranje
terrorist	disgust	0.820	terorista
murderer	disgust	0.820	ubica
repugnant	disgust	0.820	odvratan
manure	disgust	0.820	stajnjak
pervert	disgust	0.820	pervert
diarrhoea	disgust	0.820	dijareja
grotesque	disgust	0.820	groteskno
desecration	disgust	0.820	skrnavljenje
faeces	disgust	0.812	feces
slavery	disgust	0.812	ropstvo
sewer	disgust	0.812	kanalizacija
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	ubistvo iz nehata
dismemberment	disgust	0.812	rasparčavanje
vomit	disgust	0.812	povraćati
perverse	disgust	0.805	perverzno
repulsive	disgust	0.805	odbojan
hemorrhage	disgust	0.805	hemoragija
sewage	disgust	0.797	kanalizacija
filthy	disgust	0.797	prljavo
diseased	disgust	0.797	bolestan
depravity	disgust	0.797	izopačenost
carcass	disgust	0.795	trup
decompose	disgust	0.789	razgraditi
gruesome	disgust	0.789	jezivo
mutilated	disgust	0.789	osakaćen
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	raspadalo
dung	disgust	0.789	izmet
vermin	disgust	0.789	gamad
murderous	disgust	0.789	ubilački
parasite	disgust	0.789	parazit
horrific	disgust	0.789	užasno
carnage	disgust	0.781	carnage
malaria	disgust	0.781	malarija
slime	disgust	0.781	sluzi
flatulence	disgust	0.781	nadutost
pestilence	disgust	0.781	kuga
crap	disgust	0.781	sranje
monstrosity	disgust	0.781	monstruoznost
loathsome	disgust	0.773	odvratno
toxic	disgust	0.773	toksično
morgue	disgust	0.773	mrtvačnica
pus	disgust	0.773	gnoj
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	guba
insidious	disgust	0.773	podmukao
cruel	disgust	0.766	okrutno
regurgitation	disgust	0.766	regurgitacija
anthrax	disgust	0.766	antraks
xenophobia	disgust	0.766	ksenofobija
repugnance	disgust	0.766	odbojnost
lynch	disgust	0.766	linč
revulsion	disgust	0.766	odbojnost
whore	disgust	0.766	kurva
dissection	disgust	0.759	disekcija
mucous	disgust	0.758	sluzokože
canker	disgust	0.758	rak
slum	disgust	0.758	slam
infectious	disgust	0.758	zarazna
evil	disgust	0.758	zlo
phlegm	disgust	0.758	sluz
cruelty	disgust	0.758	okrutnost
perversion	disgust	0.758	perverzija
sinister	disgust	0.750	zlokobno
leeches	disgust	0.750	pijavice
corrupting	disgust	0.750	korumpirajuće
decomposition	disgust	0.750	raspadanje
abomination	disgust	0.742	odvratnost
stinking	disgust	0.742	smrdljiv
bile	disgust	0.742	žuč
demonic	disgust	0.742	demonski
deranged	disgust	0.742	poremećen
abhorrence	disgust	0.742	zgražanje
soiled	disgust	0.742	zaprljano
mucus	disgust	0.742	sluz
septic	disgust	0.742	septička
sickening	disgust	0.742	bolesno
demon	disgust	0.742	demon
cancer	disgust	0.734	rak
obese	disgust	0.734	gojazan
degeneracy	disgust	0.734	degeneracija
despicable	disgust	0.734	preziran
atrocity	disgust	0.734	zvjerstvo
foul	disgust	0.734	faul
sicken	disgust	0.734	bolestan
crucifixion	disgust	0.734	raspeće
terrorism	disgust	0.734	terorizam
repulsion	disgust	0.727	odbojnost
morbidity	disgust	0.727	morbiditet
dysentery	disgust	0.727	dizenterija
enema	disgust	0.727	klistir
bacterium	disgust	0.727	bakterija
dirty	disgust	0.727	prljavo
adultery	disgust	0.727	preljuba
contamination	disgust	0.727	kontaminacije
grisly	disgust	0.727	grozno
diabolical	disgust	0.727	đavolski
autopsy	disgust	0.719	autopsija
barbaric	disgust	0.719	varvarski
vulgar	disgust	0.719	vulgarno
entrails	disgust	0.719	iznutrice
disgust	disgust	0.719	gađenje
lewd	disgust	0.719	razvratan
muck	disgust	0.719	muck
bowels	disgust	0.719	crijeva
garbage	disgust	0.719	smeće
deterioration	disgust	0.719	pogoršanje
contagion	disgust	0.719	zaraza
vicious	disgust	0.719	zlobni
disfigured	disgust	0.719	unakažena
pungent	disgust	0.719	opor
gross	disgust	0.719	bruto
bloodshed	disgust	0.714	krvoproliće
gag	disgust	0.711	gag
pollute	disgust	0.711	zagaditi
nausea	disgust	0.711	mučnina
tyrant	disgust	0.711	tiranin
wretched	disgust	0.711	jadan
mortification	disgust	0.711	mortification
violent	disgust	0.711	nasilan
poisoned	disgust	0.711	otrovan
nauseate	disgust	0.703	mučnina
slimy	disgust	0.703	ljigav
grope	disgust	0.703	opipajte
slut	disgust	0.703	drolja
nasty	disgust	0.703	gadno
disgusting	disgust	0.703	odvratno
depraved	disgust	0.703	izopačen
porn	disgust	0.703	porno
hateful	disgust	0.703	mrski
vulgarity	disgust	0.703	vulgarnost
noxious	disgust	0.703	štetno
grime	disgust	0.703	prljavština
constipation	disgust	0.703	zatvor
secretion	disgust	0.703	sekrecija
poisoning	disgust	0.703	trovanja
despotism	disgust	0.703	despotizam
measles	disgust	0.696	boginje
contagious	disgust	0.695	zarazni
obesity	disgust	0.695	gojaznost
wart	disgust	0.695	bradavica
hate	disgust	0.695	mržnja
hellish	disgust	0.695	pakleno
scum	disgust	0.695	ološ
suicidal	disgust	0.695	samoubilački
wretch	disgust	0.695	bednik
abuse	disgust	0.695	zlostavljanje
waste	disgust	0.695	otpad
intestinal	disgust	0.695	crijevni
heartworm	disgust	0.688	srčani crv
ooze	disgust	0.688	ooze
treason	disgust	0.688	izdaja
contaminated	disgust	0.688	kontaminiran
smut	disgust	0.688	smut
disease	disgust	0.688	bolest
rabid	disgust	0.688	bijesan
deformed	disgust	0.680	deformisan
hell	disgust	0.680	pakao
soulless	disgust	0.680	bez duše
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antihrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	germ
detest	disgust	0.680	mrzim
pollution	disgust	0.680	zagađenje
grimy	disgust	0.680	prljav
abhorrent	disgust	0.680	odvratno
hatred	disgust	0.680	mržnja
abominate	disgust	0.680	odvratno
sickness	disgust	0.680	bolest
hideous	disgust	0.672	odvratno
dictatorship	disgust	0.672	diktatura
loathful	disgust	0.672	mrsko
greasy	disgust	0.672	masno
dilapidated	disgust	0.672	oronulo
inhuman	disgust	0.672	neljudski
loathing	disgust	0.672	gnušanje
obscene	disgust	0.672	opscene
cess	disgust	0.670	cess
devil	disgust	0.664	đavola
deformity	disgust	0.664	deformitet
nauseous	disgust	0.664	mučnina
deadly	disgust	0.664	smrtonosna
swine	disgust	0.664	svinje
discrimination	disgust	0.664	diskriminacija
abominable	disgust	0.664	odvratno
masochism	disgust	0.664	mazohizam
heretic	disgust	0.664	heretik
latrines	disgust	0.656	toaleti
corruption	disgust	0.656	korupcija
poisonous	disgust	0.656	otrovno
horror	disgust	0.656	horor
nefarious	disgust	0.656	podlo
bacteria	disgust	0.656	bakterije
horrible	disgust	0.656	užasno
trash	disgust	0.656	smeće
abortion	disgust	0.656	abortus
death	disgust	0.656	smrt
prejudiced	disgust	0.656	predrasude
poison	disgust	0.656	otrov
oppression	disgust	0.656	ugnjetavanje
goo	disgust	0.656	goo
victimized	disgust	0.656	viktimiziran
mange	disgust	0.656	šuga
sludge	disgust	0.648	mulj
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	osvetoljubiv
horrid	disgust	0.648	užasno
ugly	disgust	0.648	ružan
immoral	disgust	0.648	nemoralno
bitch	disgust	0.648	kučko
outhouse	disgust	0.648	vanjska zgrada
detestation	disgust	0.648	odvratnost
horrifying	disgust	0.641	užasno
laxative	disgust	0.641	laksativ
unsightly	disgust	0.641	neugledno
derogatory	disgust	0.641	pogrdno
slop	disgust	0.641	slop
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	spw
pimple	disgust	0.641	bubuljica
criminality	disgust	0.641	kriminalitet
indecency	disgust	0.641	nepristojnost
cystic	disgust	0.641	cistična
villainous	disgust	0.641	negativan
queasy	disgust	0.633	mučno
mildew	disgust	0.633	plijesan
oppressive	disgust	0.633	opresivno
prostitution	disgust	0.633	prostitucija
secrete	disgust	0.633	tajiti
ulcer	disgust	0.633	čir
rat	disgust	0.633	pacov
bigoted	disgust	0.633	fanatičan
perpetrator	disgust	0.633	izvršilac
doomsday	disgust	0.633	sudnji dan
sinful	disgust	0.633	grešna
degrading	disgust	0.625	ponižavajuće
ghastly	disgust	0.625	grozno
suffering	disgust	0.625	patnja
obscenity	disgust	0.625	opscenost
devilish	disgust	0.625	đavolski
disgraceful	disgust	0.625	sramotno
persecution	disgust	0.625	progon
contemptible	disgust	0.625	prezira
cuckold	disgust	0.625	rogonja
stools	disgust	0.625	stolice
dastardly	disgust	0.625	podlo
sin	disgust	0.625	grijeh
gluttony	disgust	0.625	proždrljivost
bloated	disgust	0.625	nadut
fungus	disgust	0.625	gljiva
aghast	disgust	0.625	zgrožen
diaper	disgust	0.617	pelene
malicious	disgust	0.617	zlonamjeran
polygamy	disgust	0.617	poligamija
dying	disgust	0.617	umire
termite	disgust	0.617	termite
fat	disgust	0.617	debeo
deceit	disgust	0.617	prevara
atrocious	disgust	0.617	grozno
guillotine	disgust	0.617	giljotina
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	razmaziti
crusty	disgust	0.617	crusty
sickly	disgust	0.617	bolesno
louse	disgust	0.617	uš
strangle	disgust	0.617	zadaviti
betrayal	disgust	0.617	izdaja
loathe	disgust	0.617	mrzim
wench	disgust	0.617	wench
infect	disgust	0.617	zaraziti
violently	disgust	0.609	nasilno
brothel	disgust	0.609	bordel
drool	disgust	0.609	sliniti
bleeding	disgust	0.609	krvarenje
deform	disgust	0.609	deformisati
ghetto	disgust	0.609	geto
sabotage	disgust	0.609	sabotaža
venomous	disgust	0.609	otrovan
abhor	disgust	0.609	gnušati se
slander	disgust	0.609	kleveta
hostile	disgust	0.609	neprijateljski
musty	disgust	0.602	pljesniv
illicit	disgust	0.602	nedozvoljeno
ugliness	disgust	0.602	ružnoća
unwashed	disgust	0.602	neoprano
swampy	disgust	0.602	močvarno
deprivation	disgust	0.602	deprivacija
poaching	disgust	0.602	krivolov
hag	disgust	0.602	hag
infidel	disgust	0.602	nevjernik
imprisonment	disgust	0.602	zatvor
traitor	disgust	0.602	izdajica
lunacy	disgust	0.602	ludilo
queasiness	disgust	0.594	mučnina
hostility	disgust	0.594	neprijateljstvo
repelling	disgust	0.594	odbijajući
intoxicated	disgust	0.594	opijen
thug	disgust	0.594	nasilnik
catastrophe	disgust	0.594	katastrofa
lunatic	disgust	0.594	ludak
misery	disgust	0.594	bijeda
venom	disgust	0.594	otrov
butcher	disgust	0.594	mesar
toilet	disgust	0.594	toalet
blister	disgust	0.594	blister
lurid	disgust	0.594	lurid
slug	disgust	0.594	puž
gut	disgust	0.594	crijeva
sinner	disgust	0.594	grešnik
deceitful	disgust	0.594	varljiv
epidemic	disgust	0.594	epidemija
deteriorated	disgust	0.586	pogoršala
lavatory	disgust	0.586	toalet
unclean	disgust	0.586	nečisti
prostitute	disgust	0.586	prostitutka
incubus	disgust	0.586	incubus
appalling	disgust	0.586	užasno
dreadful	disgust	0.586	strašno
pornography	disgust	0.586	pornografija
harass	disgust	0.586	uznemiravati
squeamish	disgust	0.578	gadljiv
expulsion	disgust	0.578	protjerivanje
unfaithful	disgust	0.578	neveran
offensive	disgust	0.578	ofanzivno
hypocrite	disgust	0.578	licemjer
humiliating	disgust	0.578	ponižavajuće
larceny	disgust	0.578	krađa
ruinous	disgust	0.578	ruinous
retard	disgust	0.578	retard
rash	disgust	0.578	osip
flea	disgust	0.578	buva
debauchery	disgust	0.578	razvrat
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	močvara
conspirator	disgust	0.578	konspirator
sick	disgust	0.578	bolestan
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	dogsick
egregious	disgust	0.570	egregious
flog	disgust	0.570	bičevati
despise	disgust	0.570	prezirati
treacherous	disgust	0.570	izdajnički
oppress	disgust	0.570	ugnjetavati
swamp	disgust	0.570	močvara
messy	disgust	0.570	neuredan
spit	disgust	0.570	pljunuti
dank	disgust	0.570	dank
bastard	disgust	0.570	kopile
devastating	disgust	0.570	razorno
serpent	disgust	0.570	zmija
loo	disgust	0.562	loo
indecent	disgust	0.562	nepristojan
insanity	disgust	0.562	ludilo
stealing	disgust	0.562	krađu
terrible	disgust	0.562	strašno
tyrannical	disgust	0.562	tiranski
humiliation	disgust	0.562	poniženje
snake	disgust	0.562	zmija
sloppy	disgust	0.562	aljkavo
sinning	disgust	0.562	griješiti
harmful	disgust	0.562	štetno
harlot	disgust	0.562	bludnica
sordid	disgust	0.562	pokvaren
enemy	disgust	0.562	neprijatelja
alcoholism	disgust	0.562	alkoholizam
awful	disgust	0.562	grozno
ruthless	disgust	0.562	nemilosrdni
scoundrel	disgust	0.562	nitkov
bloody	disgust	0.555	krvavo
flabby	disgust	0.555	mlohav
odious	disgust	0.555	odious
beastly	disgust	0.555	zverski
collusion	disgust	0.555	dosluh
ridicule	disgust	0.555	ismijavanje
discriminating	disgust	0.555	diskriminirajući
unattractive	disgust	0.555	neprivlačan
insufferable	disgust	0.555	nepodnošljivo
segregate	disgust	0.555	segregirati
arsenic	disgust	0.555	arsenik
threatening	disgust	0.555	prijeteći
atrophy	disgust	0.555	atrofija
varicella	disgust	0.555	varičela
slayer	disgust	0.555	ubica
distaste	disgust	0.555	odvratnost
coward	disgust	0.555	kukavica
robbery	disgust	0.555	pljačka
wickedness	disgust	0.555	opačina
anathema	disgust	0.547	anatema
malevolent	disgust	0.547	zlonamjeran
sty	disgust	0.547	sty
pillage	disgust	0.547	pljačke
thief	disgust	0.547	lopov
suffocating	disgust	0.547	gušeći se
condemnation	disgust	0.547	osuda
deleterious	disgust	0.547	štetno
slur	disgust	0.547	uvreda
purgatory	disgust	0.547	čistilište
attacking	disgust	0.547	napadajući
burglar	disgust	0.547	provalnik
ogre	disgust	0.547	ogre
coercion	disgust	0.547	prinuda
vesicular	disgust	0.547	vezikularno
miserable	disgust	0.547	mizeran
bitterly	disgust	0.547	gorko
sneer	disgust	0.539	podrugljivo
greedy	disgust	0.539	pohlepan
gob	disgust	0.539	gob
repellant	disgust	0.539	repelent
jealous	disgust	0.539	ljubomoran
drunken	disgust	0.539	pijan
shame	disgust	0.539	sramota
thrash	disgust	0.539	thrash
fatty	disgust	0.539	masno
liar	disgust	0.539	lažljivac
imprisoned	disgust	0.539	zatvoren
sloth	disgust	0.539	lenjivost
repudiation	disgust	0.539	odbacivanje
disgrace	disgust	0.539	sramota
infidelity	disgust	0.539	neverstvo
pig	disgust	0.539	svinja
lethal	disgust	0.536	smrtonosna
burnt	disgust	0.531	spržen
brawl	disgust	0.531	svađa
withered	disgust	0.531	uvenuo
blemish	disgust	0.531	mrlja
hydrocephalus	disgust	0.531	hidrocefalus
aberration	disgust	0.531	aberacija
smuggler	disgust	0.531	krijumčar
painful	disgust	0.531	bolno
condescension	disgust	0.531	snishodljivost
intolerant	disgust	0.531	netolerantna
blasphemous	disgust	0.531	bogohulno
lying	disgust	0.531	laganje
hanging	disgust	0.531	visi
travesty	disgust	0.531	travestija
ruined	disgust	0.531	upropastio
intrusive	disgust	0.531	nametljiv
disintegrate	disgust	0.531	dezintegrisati
destructive	disgust	0.531	destruktivno
neurotic	disgust	0.531	neurotično
disparaging	disgust	0.523	omalovažavajući
blighted	disgust	0.523	blighted
intolerance	disgust	0.523	netolerancija
mistress	disgust	0.523	ljubavnica
avarice	disgust	0.523	srebroljublje
disgraced	disgust	0.523	osramoćen
derogation	disgust	0.523	derogacija
rubbish	disgust	0.523	smeće
accusation	disgust	0.523	optužba
incarceration	disgust	0.523	zatvaranje
tortious	disgust	0.516	deliktno
dishonor	disgust	0.516	sramota
stink	disgust	0.516	smrad
grim	disgust	0.516	mračan
rob	disgust	0.516	rob
defraud	disgust	0.516	prevara
sump	disgust	0.516	sump
cringe	disgust	0.516	ježiti se
vulture	disgust	0.516	sup
deplorable	disgust	0.516	žalosno
mite	disgust	0.516	grinja
eradication	disgust	0.516	eradication
degrade	disgust	0.516	degradirati
gutter	disgust	0.516	oluk
convict	disgust	0.516	osuđenik
remains	disgust	0.516	ostaci
betray	disgust	0.516	izdati
daemon	disgust	0.516	daemon
sham	disgust	0.509	lažno
distasteful	disgust	0.508	neukusno
prisoner	disgust	0.508	zatvorenik
dreadfully	disgust	0.508	strašno
worthless	disgust	0.508	bezvrijedan
crude	disgust	0.508	sirovo
delirium	disgust	0.508	delirijum
incurable	disgust	0.508	neizlječiv
smelling	disgust	0.508	mirišući
idiocy	disgust	0.508	idiotizam
resentment	disgust	0.508	ogorčenost
bombed	disgust	0.508	bombardovan
blob	disgust	0.508	mrlja
cheat	disgust	0.508	cheat
schizophrenia	disgust	0.508	shizofrenija
rejection	disgust	0.508	odbacivanje
belittle	disgust	0.508	omalovažavati
glut	disgust	0.508	prezasićenost
disaster	disgust	0.508	katastrofa
distress	disgust	0.508	nevolja
pest	disgust	0.508	štetočina
endemic	disgust	0.508	endemski
theft	disgust	0.500	krađa
banish	disgust	0.500	protjerati
mire	disgust	0.500	mire
flagrant	disgust	0.500	flagrantno
derision	disgust	0.500	ruganje
dirt	disgust	0.500	prljavština
screaming	disgust	0.500	vrišti
offense	disgust	0.500	prekršaj
jealousy	disgust	0.500	ljubomora
bribery	disgust	0.500	mito
polemic	disgust	0.500	polemika
blight	disgust	0.500	blight
impeach	disgust	0.500	opoziv
bitterness	disgust	0.500	gorčina
taboo	disgust	0.500	tabu
duress	disgust	0.500	prisila
goblin	disgust	0.500	goblin
shackle	disgust	0.500	okov
idolatry	disgust	0.500	idolopoklonstvo
greed	disgust	0.500	pohlepa
impurity	disgust	0.500	nečistoća
tirade	disgust	0.500	tirada
idiot	disgust	0.492	idiote
boil	disgust	0.492	prokuhati
unconscionable	disgust	0.492	nesavesno
disreputable	disgust	0.492	disreputable
robber	disgust	0.492	pljačkaš
malign	disgust	0.492	maligni
wreck	disgust	0.492	olupina
recession	disgust	0.492	recesija
gorge	disgust	0.492	klisura
leer	disgust	0.492	leer
ill	disgust	0.492	ill
squirm	disgust	0.492	migoljiti se
raging	disgust	0.484	besni
servile	disgust	0.484	sluganski
mess	disgust	0.484	nered
nappy	disgust	0.484	pelena
possessed	disgust	0.484	opsjednut
unbearable	disgust	0.484	nepodnošljivo
occult	disgust	0.484	okultno
contraband	disgust	0.484	krijumčarenje
snarl	disgust	0.484	zarežati
mutiny	disgust	0.484	pobuna
mad	disgust	0.484	lud
affliction	disgust	0.484	nevolja
stain	disgust	0.484	mrlja
animosity	disgust	0.484	animozitet
contempt	disgust	0.484	prezir
tramp	disgust	0.484	skitnica
nepotism	disgust	0.484	nepotizam
disrespectful	disgust	0.484	nepoštovanje
defamation	disgust	0.484	kleveta
inexcusable	disgust	0.484	neoprostivo
aversation	disgust	0.484	aversation
wasteful	disgust	0.484	rasipnički
offender	disgust	0.484	prestupnik
subjugation	disgust	0.484	potčinjavanje
illegality	disgust	0.477	nezakonitosti
dismal	disgust	0.477	turobno
criminal	disgust	0.477	kriminalac
unpleasant	disgust	0.477	neprijatno
palsy	disgust	0.477	paraliza
antagonistic	disgust	0.477	antagonistički
pathetic	disgust	0.477	patetično
