English Word	Emotion	Emotion-Intensity-Score	Shona Word
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	gutsikana
whim	anticipation	0.367	whim
shiver	anticipation	0.367	kudedera
towering	anticipation	0.367	towering
musical	anticipation	0.367	musical
offset	anticipation	0.359	offset
theory	anticipation	0.359	dzidziso
theology	anticipation	0.359	dzidzo yebhaibheri
undying	anticipation	0.359	undying
timidity	anticipation	0.359	kutya
plump	anticipation	0.359	plump
atone	anticipation	0.359	atone
audience	anticipation	0.357	vateereri
dietary	anticipation	0.352	dietary
consecration	anticipation	0.352	kutsaurira
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	store
farm	anticipation	0.352	farm
daily	anticipation	0.352	zuva nezuva
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	nobility
closure	anticipation	0.352	kuvhara
edition	anticipation	0.352	edition
kindred	anticipation	0.352	hama
stripped	anticipation	0.344	stripped
errand	anticipation	0.344	errand
archaeology	anticipation	0.344	kuchera matongo
mutable	anticipation	0.344	mutable
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	fungisisa
mobile	anticipation	0.344	mobile
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	hama
lessen	anticipation	0.336	kuderedza
unbeaten	anticipation	0.336	asina kurohwa
pare	anticipation	0.336	pare
buddy	anticipation	0.336	shamwari
unaccountable	anticipation	0.336	unaccountable
dove	anticipation	0.328	njiva
patient	anticipation	0.328	murwere
secular	anticipation	0.328	zvekunyika
digress	anticipation	0.328	digress
chastity	anticipation	0.328	kuchena
council	anticipation	0.328	kanzuru
olfactory	anticipation	0.328	olfactory
ribbon	anticipation	0.328	ribhoni
possess	anticipation	0.328	possess
disposed	anticipation	0.320	disposed
scrutinize	anticipation	0.320	ongorora
immature	anticipation	0.320	immature
mediator	anticipation	0.320	murevereri
regularity	anticipation	0.320	nguva dzose
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	kuuraya vana
paddle	anticipation	0.320	paddle
heft	anticipation	0.320	heft
fancy	anticipation	0.320	fancy
preservative	anticipation	0.320	kuchengetedza
unpublished	anticipation	0.312	isina kudhindwa
church	anticipation	0.312	chechi
bugle	anticipation	0.312	bugle
grim	anticipation	0.312	grim
denying	anticipation	0.312	kuramba
analyst	anticipation	0.312	muongorori
judicial	anticipation	0.305	zvekutonga
priesthood	anticipation	0.305	uprista
broadside	anticipation	0.305	broadside
mill	anticipation	0.305	chigayo
dismay	anticipation	0.297	kushungurudzika
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributary
instructor	anticipation	0.297	mudzidzisi
exhaustion	anticipation	0.297	kupera simba
saliva	anticipation	0.297	mate
cataract	anticipation	0.289	cataract
network	anticipation	0.289	network
visor	anticipation	0.289	visor
shackle	anticipation	0.289	shackle
wont	anticipation	0.289	wont
addresses	anticipation	0.289	kero
discreet	anticipation	0.289	vakangwara
noncompliance	anticipation	0.289	kusateerera
bruise	anticipation	0.289	bruise
homeless	anticipation	0.289	vasina pokugara
astronomer	anticipation	0.281	nyanzvi yenyeredzi
skewed	anticipation	0.281	skewed
neighbor	anticipation	0.281	muvakidzani
holiness	anticipation	0.273	utsvene
devil	anticipation	0.273	dhiyabhorosi
picket	anticipation	0.273	picket
sentence	anticipation	0.273	chirevo
latent	anticipation	0.273	latent
cream	anticipation	0.273	cream
immaturity	anticipation	0.273	kusakura
habitual	anticipation	0.266	tsika
morals	anticipation	0.266	tsika
neighborhood	anticipation	0.266	nharaunda
lull	anticipation	0.266	lull
bye	anticipation	0.258	chisarai
weight	anticipation	0.258	uremu
organ	anticipation	0.250	nhengo
clown	anticipation	0.250	clown
forearm	anticipation	0.250	forearm
commonplace	anticipation	0.242	commonplace
quote	anticipation	0.242	quote
rail	anticipation	0.234	njanji
dictatorship	anticipation	0.234	udzvanyiriri
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	board
tree	anticipation	0.227	muti
sundial	anticipation	0.227	sundial
paralysis	anticipation	0.211	kuoma mitezo
cement	anticipation	0.203	simende
worm	anticipation	0.203	worm
organization	anticipation	0.203	sangano
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	kwaakarerekera
cannibalism	disgust	0.953	kudya nyama yevanhu
mutilation	disgust	0.930	kuchekeresa
molestation	disgust	0.914	kushungurudza
incest	disgust	0.914	makunakuna
rape	disgust	0.906	kubata chibharo
gonorrhea	disgust	0.906	gonorrhea
cannibal	disgust	0.898	cannibal
rot	disgust	0.891	kuora
corpse	disgust	0.883	chitunha
massacre	disgust	0.883	kuuraya
excrement	disgust	0.883	tsvina
barf	disgust	0.875	barf
slaughter	disgust	0.875	kuuraya
slaughterhouse	disgust	0.867	imba yokuurayira
incestuous	disgust	0.859	makunakuna
sewerage	disgust	0.859	masuweji
filth	disgust	0.859	tsvina
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	infestation
plague	disgust	0.852	denda
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	vane nyota yeropa
rotting	disgust	0.844	kuora
fecal	disgust	0.844	fecal
maggot	disgust	0.844	magot
feces	disgust	0.844	tsvina
murder	disgust	0.839	kuuraya
asshole	disgust	0.836	mbichana
homicide	disgust	0.836	kuuraya
enslaved	disgust	0.836	varanda
infanticide	disgust	0.836	kuuraya vana
perverted	disgust	0.828	kutsveyamiswa
excretion	disgust	0.828	excretion
gore	disgust	0.828	gore
slaughtering	disgust	0.828	kuuraya
torture	disgust	0.828	kutambudza
contaminate	disgust	0.821	contaminate
revolting	disgust	0.820	kumukira
gory	disgust	0.820	gory
shit	disgust	0.820	shit
terrorist	disgust	0.820	gandanga
murderer	disgust	0.820	mhondi
repugnant	disgust	0.820	repugnant
manure	disgust	0.820	manyowa
pervert	disgust	0.820	kutsveyamisa
diarrhoea	disgust	0.820	manyoka
grotesque	disgust	0.820	grotesque
desecration	disgust	0.820	desecration
faeces	disgust	0.812	tsvina
slavery	disgust	0.812	uranda
sewer	disgust	0.812	seweji
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	kuuraya
dismemberment	disgust	0.812	kugurwa
vomit	disgust	0.812	marutsi
perverse	disgust	0.805	kukanganisa
repulsive	disgust	0.805	zvinosemesa
hemorrhage	disgust	0.805	kubuda ropa
sewage	disgust	0.797	tsvina
filthy	disgust	0.797	tsvina
diseased	disgust	0.797	kurwara
depravity	disgust	0.797	uori
carcass	disgust	0.795	chitunha
decompose	disgust	0.789	kuora
gruesome	disgust	0.789	zvinotyisa
mutilated	disgust	0.789	mutilated
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	yakaora
dung	disgust	0.789	ndove
vermin	disgust	0.789	vermin
murderous	disgust	0.789	mhondi
parasite	disgust	0.789	utachiona
horrific	disgust	0.789	zvinotyisa
carnage	disgust	0.781	carnage
malaria	disgust	0.781	marariya
slime	disgust	0.781	slime
flatulence	disgust	0.781	flatulence
pestilence	disgust	0.781	denda
crap	disgust	0.781	crap
monstrosity	disgust	0.781	monstrosity
loathsome	disgust	0.773	zvinosemesa
toxic	disgust	0.773	toxic
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	maperembudzi
insidious	disgust	0.773	insidious
cruel	disgust	0.766	hutsinye
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	chigwadara
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	repugnance
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	revulsion
whore	disgust	0.766	hure
dissection	disgust	0.759	dissection
mucous	disgust	0.758	mucous
canker	disgust	0.758	canker
slum	disgust	0.758	slum
infectious	disgust	0.758	kutapukira
evil	disgust	0.758	zvakaipa
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	utsinye
perversion	disgust	0.758	kutsveyamisa
sinister	disgust	0.750	sinister
leeches	disgust	0.750	leeches
corrupting	disgust	0.750	uori
decomposition	disgust	0.750	kuora
abomination	disgust	0.742	chinonyangadza
stinking	disgust	0.742	kunhuwa
bile	disgust	0.742	bile
demonic	disgust	0.742	zvemadhimoni
deranged	disgust	0.742	deranged
abhorrence	disgust	0.742	kuvenga
soiled	disgust	0.742	soiled
mucus	disgust	0.742	mucus
septic	disgust	0.742	septic
sickening	disgust	0.742	kurwara
demon	disgust	0.742	dhimoni
cancer	disgust	0.734	kenza
obese	disgust	0.734	obese
degeneracy	disgust	0.734	degeneracy
despicable	disgust	0.734	zvinoshoreka
atrocity	disgust	0.734	hutsinye
foul	disgust	0.734	tsvina
sicken	disgust	0.734	sicken
crucifixion	disgust	0.734	kurovererwa
terrorism	disgust	0.734	ugandanga
repulsion	disgust	0.727	repulsion
morbidity	disgust	0.727	chirwere
dysentery	disgust	0.727	dysentery
enema	disgust	0.727	enema
bacterium	disgust	0.727	utachiona
dirty	disgust	0.727	tsvina
adultery	disgust	0.727	upombwe
contamination	disgust	0.727	kusvibiswa
grisly	disgust	0.727	grisly
diabolical	disgust	0.727	dhiyabhorosi
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbaric
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	entrails
disgust	disgust	0.719	kusemesa
lewd	disgust	0.719	unzenza
muck	disgust	0.719	muck
bowels	disgust	0.719	ura
garbage	disgust	0.719	marara
deterioration	disgust	0.719	kuora
contagion	disgust	0.719	kutapukira
vicious	disgust	0.719	utsinye
disfigured	disgust	0.719	disfigured
pungent	disgust	0.719	pungent
gross	disgust	0.719	gross
bloodshed	disgust	0.714	kudeuka kweropa
gag	disgust	0.711	gag
pollute	disgust	0.711	kusvibisa
nausea	disgust	0.711	kuda kurutsa
tyrant	disgust	0.711	mudzvinyiriri
wretched	disgust	0.711	wretched
mortification	disgust	0.711	mortification
violent	disgust	0.711	zvechisimba
poisoned	disgust	0.711	poisoned
nauseate	disgust	0.703	kusvotwa
slimy	disgust	0.703	slimy
grope	disgust	0.703	kutsvangadzira
slut	disgust	0.703	hure
nasty	disgust	0.703	nasty
disgusting	disgust	0.703	zvinosemesa
depraved	disgust	0.703	depraved
porn	disgust	0.703	zvinonyadzisira
hateful	disgust	0.703	kuvenga
vulgarity	disgust	0.703	vulgarity
noxious	disgust	0.703	noxious
grime	disgust	0.703	grime
constipation	disgust	0.703	kuvimbiswa
secretion	disgust	0.703	secretion
poisoning	disgust	0.703	chepfu
despotism	disgust	0.703	kudzvinyirira
measles	disgust	0.696	gwirikwiti
contagious	disgust	0.695	kutapukira nyore nyore
obesity	disgust	0.695	kufutisa
wart	disgust	0.695	wart
hate	disgust	0.695	hate
hellish	disgust	0.695	hellish
scum	disgust	0.695	scum
suicidal	disgust	0.695	kuzviuraya
wretch	disgust	0.695	wretch
abuse	disgust	0.695	kushungurudzwa
waste	disgust	0.695	waste
intestinal	disgust	0.695	intestinal
heartworm	disgust	0.688	heartworm
ooze	disgust	0.688	ooze
treason	disgust	0.688	kupandukira
contaminated	disgust	0.688	yakasvibiswa
smut	disgust	0.688	smut
disease	disgust	0.688	chirwere
rabid	disgust	0.688	rabid
deformed	disgust	0.680	deformed
hell	disgust	0.680	gehena
soulless	disgust	0.680	vasina mweya
cholera	disgust	0.680	korera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	munhu anopesana naKristu
freakish	disgust	0.680	freakish
germ	disgust	0.680	germ
detest	disgust	0.680	detest
pollution	disgust	0.680	kusvibiswa
grimy	disgust	0.680	grimy
abhorrent	disgust	0.680	zvinosemesa
hatred	disgust	0.680	ruvengo
abominate	disgust	0.680	anonyangadza
sickness	disgust	0.680	chirwere
hideous	disgust	0.672	hideous
dictatorship	disgust	0.672	udzvanyiriri
loathful	disgust	0.672	zvinosemesa
greasy	disgust	0.672	girisi
dilapidated	disgust	0.672	dilapidated
inhuman	disgust	0.672	vasina munhu
loathing	disgust	0.672	kusemesa
obscene	disgust	0.672	zvinonyadzisa
cess	disgust	0.670	cess
devil	disgust	0.664	dhiyabhorosi
deformity	disgust	0.664	kuremara
nauseous	disgust	0.664	kusvotwa
deadly	disgust	0.664	zvinouraya
swine	disgust	0.664	nguruve
discrimination	disgust	0.664	rusarura
abominable	disgust	0.664	zvinonyangadza
masochism	disgust	0.664	masochism
heretic	disgust	0.664	munyengeri
latrines	disgust	0.656	zvimbuzi
corruption	disgust	0.656	huori
poisonous	disgust	0.656	chepfu
horror	disgust	0.656	horror
nefarious	disgust	0.656	nefarious
bacteria	disgust	0.656	utachiona
horrible	disgust	0.656	zvinotyisa
trash	disgust	0.656	tsvina
abortion	disgust	0.656	kubvisa pamuviri
death	disgust	0.656	rufu
prejudiced	disgust	0.656	rusaruro
poison	disgust	0.656	poison
oppression	disgust	0.656	kudzvinyirirwa
goo	disgust	0.656	goo
victimized	disgust	0.656	victimized
mange	disgust	0.656	mange
sludge	disgust	0.648	sludge
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	kutsiva
horrid	disgust	0.648	horid
ugly	disgust	0.648	zvakashata
immoral	disgust	0.648	unzenza
bitch	disgust	0.648	hure
outhouse	disgust	0.648	outhouse
detestation	disgust	0.648	detestation
horrifying	disgust	0.641	zvinotyisa
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	zvisingatarisike
derogatory	disgust	0.641	derogatory
slop	disgust	0.641	slop
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	spew
pimple	disgust	0.641	mburwa
criminality	disgust	0.641	utsotsi
indecency	disgust	0.641	kusazvibata
cystic	disgust	0.641	cystic
villainous	disgust	0.641	akaipa
queasy	disgust	0.633	queasy
mildew	disgust	0.633	chakuvhe
oppressive	disgust	0.633	anodzvinyirira
prostitution	disgust	0.633	chipfambi
secrete	disgust	0.633	secrete
ulcer	disgust	0.633	chironda
rat	disgust	0.633	rat
bigoted	disgust	0.633	bigoted
perpetrator	disgust	0.633	mutadzi
doomsday	disgust	0.633	doomsday
sinful	disgust	0.633	mutadzi
degrading	disgust	0.625	kudzikisira
ghastly	disgust	0.625	zvakaipa
suffering	disgust	0.625	kutambura
obscenity	disgust	0.625	zvinyadzi
devilish	disgust	0.625	dhiyabhorosi
disgraceful	disgust	0.625	zvinonyadzisa
persecution	disgust	0.625	kutambudzwa
contemptible	disgust	0.625	zvinoshoreka
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	stools
dastardly	disgust	0.625	dastardly
sin	disgust	0.625	chivi
gluttony	disgust	0.625	gluttony
bloated	disgust	0.625	bloated
fungus	disgust	0.625	fungus
aghast	disgust	0.625	aghast
diaper	disgust	0.617	manapukeni
malicious	disgust	0.617	zvakashata
polygamy	disgust	0.617	barika
dying	disgust	0.617	kufa
termite	disgust	0.617	mujuru
fat	disgust	0.617	mafuta
deceit	disgust	0.617	kunyengera
atrocious	disgust	0.617	atrocious
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	spoil
crusty	disgust	0.617	crusty
sickly	disgust	0.617	kurwara
louse	disgust	0.617	inda
strangle	disgust	0.617	dzipa
betrayal	disgust	0.617	kutengesa
loathe	disgust	0.617	venga
wench	disgust	0.617	wench
infect	disgust	0.617	kutapurira
violently	disgust	0.609	nechisimba
brothel	disgust	0.609	chipfambi
drool	disgust	0.609	drool
bleeding	disgust	0.609	kubuda ropa
deform	disgust	0.609	deform
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	uturu
abhor	disgust	0.609	sema
slander	disgust	0.609	kuchera
hostile	disgust	0.609	ruvengo
musty	disgust	0.602	musty
illicit	disgust	0.602	zvisiri pamutemo
ugliness	disgust	0.602	kushata
unwashed	disgust	0.602	isina kugezwa
swampy	disgust	0.602	swampy
deprivation	disgust	0.602	kunyimwa
poaching	disgust	0.602	poaching
hag	disgust	0.602	hag
infidel	disgust	0.602	infidel
imprisonment	disgust	0.602	kusungwa
traitor	disgust	0.602	mutengesi
lunacy	disgust	0.602	lunacy
queasiness	disgust	0.594	queasiness
hostility	disgust	0.594	ruvengo
repelling	disgust	0.594	repelling
intoxicated	disgust	0.594	intoxicated
thug	disgust	0.594	thug
catastrophe	disgust	0.594	njodzi
lunatic	disgust	0.594	lunatic
misery	disgust	0.594	nhamo
venom	disgust	0.594	uturu
butcher	disgust	0.594	bhucha
toilet	disgust	0.594	chimbuzi
blister	disgust	0.594	blister
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	gut
sinner	disgust	0.594	mutadzi
deceitful	disgust	0.594	anonyengera
epidemic	disgust	0.594	chirwere chapararira munzvimbo
deteriorated	disgust	0.586	deteriorated
lavatory	disgust	0.586	imba yekugezera
unclean	disgust	0.586	asina kuchena
prostitute	disgust	0.586	pfambi
incubus	disgust	0.586	incubus
appalling	disgust	0.586	zvinotyisa
dreadful	disgust	0.586	zvinotyisa
pornography	disgust	0.586	zvinonyadzisira
harass	disgust	0.586	shungurudza
squeamish	disgust	0.578	squeamish
expulsion	disgust	0.578	kudzingwa
unfaithful	disgust	0.578	vasina kutendeka
offensive	disgust	0.578	zvinogumbura
hypocrite	disgust	0.578	munyengeri
humiliating	disgust	0.578	zvinonyadzisa
larceny	disgust	0.578	larceny
ruinous	disgust	0.578	zvinoparadza
retard	disgust	0.578	retard
rash	disgust	0.578	mapundu
flea	disgust	0.578	nhata
debauchery	disgust	0.578	unzenza
fiend	disgust	0.578	fiend
quagmire	disgust	0.578	quagmire
conspirator	disgust	0.578	murongi
sick	disgust	0.578	kurwara
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	dogsick
egregious	disgust	0.570	egregious
flog	disgust	0.570	rova
despise	disgust	0.570	zvidza
treacherous	disgust	0.570	anonyengera
oppress	disgust	0.570	dzvanyirira
swamp	disgust	0.570	swamp
messy	disgust	0.570	messy
spit	disgust	0.570	pfira
dank	disgust	0.570	dank
bastard	disgust	0.570	bastard
devastating	disgust	0.570	kuparadza
serpent	disgust	0.570	nyoka
loo	disgust	0.562	loo
indecent	disgust	0.562	zvisina kunaka
insanity	disgust	0.562	kupenga
stealing	disgust	0.562	kuba
terrible	disgust	0.562	zvakaipa
tyrannical	disgust	0.562	dzvinyiriri
humiliation	disgust	0.562	kunyadziswa
snake	disgust	0.562	nyoka
sloppy	disgust	0.562	sloppy
sinning	disgust	0.562	kutadza
harmful	disgust	0.562	zvinokuvadza
harlot	disgust	0.562	hure
sordid	disgust	0.562	sordid
enemy	disgust	0.562	muvengi
alcoholism	disgust	0.562	udhakwa
awful	disgust	0.562	zvakaipa
ruthless	disgust	0.562	vasina tsitsi
scoundrel	disgust	0.562	scoundrel
bloody	disgust	0.555	ropa
flabby	disgust	0.555	flabby
odious	disgust	0.555	zvinosemesa
beastly	disgust	0.555	chikara
collusion	disgust	0.555	kubatana
ridicule	disgust	0.555	kuseka
discriminating	disgust	0.555	kusarura
unattractive	disgust	0.555	zvisingafadzi
insufferable	disgust	0.555	isingagoneki
segregate	disgust	0.555	segregate
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	kutyisidzira
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	muurayi
distaste	disgust	0.555	distaste
coward	disgust	0.555	gwara
robbery	disgust	0.555	umbavha
wickedness	disgust	0.555	uipi
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	malevolent
sty	disgust	0.547	sty
pillage	disgust	0.547	kupamba
thief	disgust	0.547	mbavha
suffocating	disgust	0.547	kudzipwa
condemnation	disgust	0.547	kutongwa
deleterious	disgust	0.547	deleterious
slur	disgust	0.547	slur
purgatory	disgust	0.547	purigatori
attacking	disgust	0.547	kurwisa
burglar	disgust	0.547	burglar
ogre	disgust	0.547	ogre
coercion	disgust	0.547	kumanikidza
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	nhamo
bitterly	disgust	0.547	zvinovava
sneer	disgust	0.539	kuseka
greedy	disgust	0.539	kukara
gob	disgust	0.539	gob
repellant	disgust	0.539	repellant
jealous	disgust	0.539	godo
drunken	disgust	0.539	akadhakwa
shame	disgust	0.539	shame
thrash	disgust	0.539	thrash
fatty	disgust	0.539	mafuta
liar	disgust	0.539	murevi wenhema
imprisoned	disgust	0.539	kusungwa
sloth	disgust	0.539	simbe
repudiation	disgust	0.539	repudiation
disgrace	disgust	0.539	kunyadziswa
infidelity	disgust	0.539	kusavimbika
pig	disgust	0.539	nguruve
lethal	disgust	0.536	zvinouraya
burnt	disgust	0.531	kupiswa
brawl	disgust	0.531	brawl
withered	disgust	0.531	dzakasvava
blemish	disgust	0.531	blemish
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	aberration
smuggler	disgust	0.531	smuggler
painful	disgust	0.531	zvinorwadza
condescension	disgust	0.531	kuzvideredza
intolerant	disgust	0.531	vasingashiviriri
blasphemous	disgust	0.531	kumhura Mwari
lying	disgust	0.531	kureva nhema
hanging	disgust	0.531	kurembera
travesty	disgust	0.531	travesty
ruined	disgust	0.531	kuparadzwa
intrusive	disgust	0.531	intrusive
disintegrate	disgust	0.531	disintegrate
destructive	disgust	0.531	zvinoparadza
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	kuzvidza
blighted	disgust	0.523	blighted
intolerance	disgust	0.523	kusashivirira
mistress	disgust	0.523	tenzikadzi
avarice	disgust	0.523	avarice
disgraced	disgust	0.523	kunyadziswa
derogation	disgust	0.523	derogation
rubbish	disgust	0.523	marara
accusation	disgust	0.523	mhosva
incarceration	disgust	0.523	kusungwa
tortious	disgust	0.516	tortious
dishonor	disgust	0.516	kunyadziswa
stink	disgust	0.516	kunhuwa
grim	disgust	0.516	grim
rob	disgust	0.516	rob
defraud	disgust	0.516	kubiridzira
sump	disgust	0.516	sump
cringe	disgust	0.516	cringe
vulture	disgust	0.516	gora
deplorable	disgust	0.516	zvinosiririsa
mite	disgust	0.516	mite
eradication	disgust	0.516	eradication
degrade	disgust	0.516	degrade
gutter	disgust	0.516	gutter
convict	disgust	0.516	musungwa
remains	disgust	0.516	zvinosara
betray	disgust	0.516	tengesa
daemon	disgust	0.516	daemon
sham	disgust	0.509	sham
distasteful	disgust	0.508	distasteful
prisoner	disgust	0.508	musungwa
dreadfully	disgust	0.508	zvinotyisa
worthless	disgust	0.508	zvisina maturo
crude	disgust	0.508	crude
delirium	disgust	0.508	delirium
incurable	disgust	0.508	isingarapike
smelling	disgust	0.508	kunhuwa
idiocy	disgust	0.508	idiocy
resentment	disgust	0.508	kugumbuka
bombed	disgust	0.508	bhomba
blob	disgust	0.508	blob
cheat	disgust	0.508	cheat
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	kurambwa
belittle	disgust	0.508	kudzikisira
glut	disgust	0.508	glut
disaster	disgust	0.508	njodzi
distress	disgust	0.508	kushungurudzika
pest	disgust	0.508	pest
endemic	disgust	0.508	endemic
theft	disgust	0.500	kuba
banish	disgust	0.500	dzinga
mire	disgust	0.500	mire
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	kunyomba
dirt	disgust	0.500	tsvina
screaming	disgust	0.500	kuchema
offense	disgust	0.500	mhosva
jealousy	disgust	0.500	godo
bribery	disgust	0.500	chiokomuhomwe
polemic	disgust	0.500	polemic
blight	disgust	0.500	blight
impeach	disgust	0.500	impeach
bitterness	disgust	0.500	kuvava
taboo	disgust	0.500	taboo
duress	disgust	0.500	kumanikidza
goblin	disgust	0.500	goblin
shackle	disgust	0.500	shackle
idolatry	disgust	0.500	kunamata zvifananidzo
greed	disgust	0.500	kukara
impurity	disgust	0.500	kusachena
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idiot
boil	disgust	0.492	boil
unconscionable	disgust	0.492	unconsciousness
disreputable	disgust	0.492	asina mukurumbira
robber	disgust	0.492	gororo
malign	disgust	0.492	zvakaipa
wreck	disgust	0.492	wreck
recession	disgust	0.492	kudzikira
gorge	disgust	0.492	gorge
leer	disgust	0.492	leer
ill	disgust	0.492	kurwara
squirm	disgust	0.492	squirm
raging	disgust	0.484	nehasha
servile	disgust	0.484	servile
mess	disgust	0.484	mess
nappy	disgust	0.484	nappy
possessed	disgust	0.484	ane mweya
unbearable	disgust	0.484	zvisingatsungiririki
occult	disgust	0.484	zvemashiripiti
contraband	disgust	0.484	contraband
snarl	disgust	0.484	snarl
mutiny	disgust	0.484	mutiny
mad	disgust	0.484	mad
affliction	disgust	0.484	kutambudzika
stain	disgust	0.484	tsvina
animosity	disgust	0.484	ruvengo
contempt	disgust	0.484	kuzvidza
tramp	disgust	0.484	tramp
nepotism	disgust	0.484	nepotism
disrespectful	disgust	0.484	kusaremekedza
defamation	disgust	0.484	kusvibisa zita
inexcusable	disgust	0.484	zvisina pembedzo
aversation	disgust	0.484	aversation
wasteful	disgust	0.484	kupambadza
offender	disgust	0.484	mutadzi
subjugation	disgust	0.484	kuzviisa pasi
illegality	disgust	0.477	zvisiri pamutemo
dismal	disgust	0.477	dismal
criminal	disgust	0.477	tsotsi
unpleasant	disgust	0.477	zvisina kunaka
palsy	disgust	0.477	palsy
antagonistic	disgust	0.477	anopikisa
pathetic	disgust	0.477	pathetic
uncaring	disgust	0.477	asina hanya
suppression	disgust	0.477	kudzvinyirira
immorality	disgust	0.477	unzenza
mockery	disgust	0.477	mockery
outrage	disgust	0.469	kutsamwa
mocking	disgust	0.469	vachinyomba
wallow	disgust	0.469	wallow
cough	disgust	0.469	kukosora
arrogant	disgust	0.469	vanozvikudza
angry	disgust	0.469	akatsamwa
poverty	disgust	0.469	urombo
grating	disgust	0.469	grating
livid	disgust	0.469	livid
aggravation	disgust	0.469	aggravation
repellent	disgust	0.469	repellent
perspiration	disgust	0.469	dikita
banishment	disgust	0.469	kudzingwa
furious	disgust	0.469	nehasha
shoddy	disgust	0.469	shoddy
banshee	disgust	0.469	banshee
deceive	disgust	0.461	nyengedza
fool	disgust	0.461	benzi
quack	disgust	0.461	quack
distorted	disgust	0.461	distorted
spider	disgust	0.461	dandemutande
unjustifiable	disgust	0.461	unjustfiable
deplore	disgust	0.461	deplore
spurious	disgust	0.461	manyepo
perdition	disgust	0.461	kuparadzwa
muddy	disgust	0.461	madhaka
fraudulent	disgust	0.461	chitsotsi
scar	disgust	0.461	vanga
prick	disgust	0.461	prick
insulting	disgust	0.461	vachituka
plunder	disgust	0.461	kupamba
recklessness	disgust	0.461	kusava nehanya
stigma	disgust	0.453	stigma
disparage	disgust	0.453	kushora
unthinkable	disgust	0.453	zvisingafungiki
disingenuous	disgust	0.453	diingenuous
bane	disgust	0.453	bane
dishonest	disgust	0.453	kusatendeseka
aphid	disgust	0.453	aphid
elimination	disgust	0.453	kubvisa
cur	disgust	0.453	cur
selfish	disgust	0.453	udyire
eschew	disgust	0.453	eschew
dire	disgust	0.453	dire
indignation	disgust	0.453	kutsamwa
antipathy	disgust	0.453	kusafarira
alienate	disgust	0.453	alienate
mosquito	disgust	0.445	mosquito
piles	disgust	0.445	mirwi
pious	disgust	0.445	mwari
lie	disgust	0.445	kunyepa
opium	disgust	0.445	opium
smell	disgust	0.445	munhuwi
iniquity	disgust	0.445	uipi
caries	disgust	0.445	caries
despair	disgust	0.445	kupererwa
recalcitrant	disgust	0.445	recalcitrant
egotistical	disgust	0.445	egotistical
wasted	disgust	0.445	wasted
vacuous	disgust	0.445	vacuous
bankruptcy	disgust	0.445	kubhuroka
garish	disgust	0.445	garish
obnoxious	disgust	0.438	zvinosemesa
ashamed	disgust	0.438	kunyara
abject	disgust	0.438	abject
sticky	disgust	0.438	sticky
scream	disgust	0.438	mhere
hopelessness	disgust	0.438	kushaya tariro
homeless	disgust	0.438	vasina pokugara
shun	disgust	0.438	shun
inmate	disgust	0.438	musungwa
