English Word	Emotion	Emotion-Intensity-Score	Javanese Word
ultimately	anticipation	0.523	wekasanipun
child	anticipation	0.523	bocah
haste	anticipation	0.523	kesusu
prophet	anticipation	0.523	nabi
recreation	anticipation	0.516	rekreasi
present	anticipation	0.516	saiki
time	anticipation	0.516	wektu
sensuality	anticipation	0.516	sensualitas
owing	anticipation	0.516	utang
loom	anticipation	0.516	tenun
begun	anticipation	0.516	diwiwiti
salary	anticipation	0.516	gaji
celebrity	anticipation	0.516	selebriti
treat	anticipation	0.516	nambani
chocolate	anticipation	0.516	coklat
caution	anticipation	0.516	ati-ati
fermentation	anticipation	0.516	fermentasi
uncontrollable	anticipation	0.516	ora bisa dikendhaleni
precious	anticipation	0.516	larang regane
compensate	anticipation	0.516	menehi ganti rugi
endanger	anticipation	0.516	mbebayani
renovation	anticipation	0.516	renovasi
signify	anticipation	0.508	tegese
vigilance	anticipation	0.508	waspada
prerequisite	anticipation	0.508	prasyarat
perfection	anticipation	0.508	kasampurnan
cultivate	anticipation	0.508	mbudidaya
develop	anticipation	0.508	berkembang
cue	anticipation	0.508	isyarat
exigent	anticipation	0.508	eksigent
transitional	anticipation	0.508	transisi
commemoration	anticipation	0.508	pengetan
intermission	anticipation	0.508	istirahat
elevation	anticipation	0.508	elevasi
infant	anticipation	0.508	bayi
practise	anticipation	0.508	laku
contemplation	anticipation	0.508	kontemplasi
dreadful	anticipation	0.508	ngeri
wilderness	anticipation	0.508	ara-ara samun
horizon	anticipation	0.508	cakrawala
sneaking	anticipation	0.500	nyusup
uphill	anticipation	0.500	munggah gunung
puppy	anticipation	0.500	kirik
blindfold	anticipation	0.500	nutup mripat
unbridled	anticipation	0.500	ora kendhat
horoscope	anticipation	0.500	horoskop
airport	anticipation	0.500	bandara
reconciliation	anticipation	0.500	rekonsiliasi
advocacy	anticipation	0.500	advokasi
litigate	anticipation	0.500	gugatan
sunny	anticipation	0.500	srengenge
intuitively	anticipation	0.500	kanthi intuisi
hero	anticipation	0.500	pahlawan
ardent	anticipation	0.500	semangat
commemorate	anticipation	0.500	mengeti
romantic	anticipation	0.500	romantis
doomsday	anticipation	0.500	kiamat
ready	anticipation	0.500	siap
nascent	anticipation	0.500	lair
invocation	anticipation	0.500	panyuwunan
depart	anticipation	0.500	budhal
undisclosed	anticipation	0.500	ora diwedharake
attendance	anticipation	0.500	rawuh
peril	anticipation	0.500	bebaya
income	anticipation	0.500	penghasilan
calculation	anticipation	0.500	pitungan
zeal	anticipation	0.500	sregep
eventuality	anticipation	0.500	kedadean
favorable	anticipation	0.500	nguntungake
utopian	anticipation	0.500	utopia
swim	anticipation	0.500	nglangi
proceeding	anticipation	0.492	nerusake
eventual	anticipation	0.492	pungkasane
heyday	anticipation	0.492	wayahe
undertaking	anticipation	0.492	usaha
improvise	anticipation	0.492	gawe improvisasi
inauguration	anticipation	0.492	peresmian
consequent	anticipation	0.492	akibate
perspective	anticipation	0.492	perspektif
defense	anticipation	0.492	pertahanan
repay	anticipation	0.492	mbayar maneh
gaping	anticipation	0.492	nganga
youth	anticipation	0.492	mudha
parole	anticipation	0.492	parole
worry	anticipation	0.492	kuwatir
bless	anticipation	0.492	mberkahi
restorative	anticipation	0.492	restoratif
court	anticipation	0.492	pengadilan
highest	anticipation	0.491	paling dhuwur
shortly	anticipation	0.484	sakcepete
auspicious	anticipation	0.484	wilujeng
princely	anticipation	0.484	pangeran
correspondence	anticipation	0.484	korespondensi
generosity	anticipation	0.484	loman
sparkle	anticipation	0.484	cemlorot
voluptuous	anticipation	0.484	greget
happen	anticipation	0.484	kelakon
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	layang
vow	anticipation	0.484	sumpah
sharpen	anticipation	0.484	ngasah
duel	anticipation	0.484	tandhing
conjure	anticipation	0.484	nyumurupi
threaten	anticipation	0.484	ngancam
god	anticipation	0.484	Pengeran
engulf	anticipation	0.484	nglumpuk
unexplained	anticipation	0.484	ora diterangake
contagion	anticipation	0.484	nulari
glorify	anticipation	0.477	ngluhurake
submit	anticipation	0.477	ngirim
enroll	anticipation	0.477	ndaftar
unification	anticipation	0.477	manunggal
gravitate	anticipation	0.477	gravitasi
glide	anticipation	0.477	ngleyang
accompaniment	anticipation	0.477	iringan
cherish	anticipation	0.477	ngurmati
adore	anticipation	0.477	sujud
powerful	anticipation	0.477	kuwat
clue	anticipation	0.477	pitunjuk
medal	anticipation	0.477	medal
contemplate	anticipation	0.477	mikir
perilous	anticipation	0.477	mbebayani
determinate	anticipation	0.477	tekad
arbitration	anticipation	0.477	arbitrase
recipient	anticipation	0.477	panampa
onset	anticipation	0.477	wiwitan
predispose	anticipation	0.477	predispose
score	anticipation	0.477	skor
torture	anticipation	0.477	nyiksa
glow	anticipation	0.477	sumunar
praiseworthy	anticipation	0.473	pinuji
football	anticipation	0.469	bal-balan
scare	anticipation	0.469	medeni
elite	anticipation	0.469	elit
unknown	anticipation	0.469	ora dingerteni
precursor	anticipation	0.469	prekursor
pry	anticipation	0.469	pry
providing	anticipation	0.469	nyediakake
sweets	anticipation	0.469	manisan
cautious	anticipation	0.469	ngati-ati
opera	anticipation	0.469	opera
motion	anticipation	0.469	obah
cash	anticipation	0.469	awis
creeping	anticipation	0.469	merayap
invoke	anticipation	0.469	ngundang
star	anticipation	0.469	lintang
shaky	anticipation	0.469	goyah
production	anticipation	0.469	produksi
successful	anticipation	0.469	sukses
immediately	anticipation	0.469	langsung
dawn	anticipation	0.469	subuh
starry	anticipation	0.469	lintang
unsurpassed	anticipation	0.469	ora bisa ditandingi
completion	anticipation	0.469	rampung
hire	anticipation	0.469	nyewa
fete	anticipation	0.469	pesta
commemorative	anticipation	0.461	pengetan
shining	anticipation	0.461	sumunar
testament	anticipation	0.461	wasiat
pay	anticipation	0.461	mbayar
alive	anticipation	0.461	urip
plight	anticipation	0.461	kasangsaran
preliminary	anticipation	0.461	pambuka
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	papan suci
regatta	anticipation	0.461	regata
draft	anticipation	0.461	konsep
synchronize	anticipation	0.461	nyelarasake
soundness	anticipation	0.461	kesarasan
extricate	anticipation	0.461	ngilangake
excel	anticipation	0.461	unggul
punt	anticipation	0.461	punt
untold	anticipation	0.461	ora dicritakake
brilliant	anticipation	0.461	sarwa
cheerfulness	anticipation	0.461	kasenengan
jeopardy	anticipation	0.461	bebaya
friendly	anticipation	0.461	grapyak
mail	anticipation	0.461	layang
unexpected	anticipation	0.453	ora dikarepke
basketball	anticipation	0.453	basket
inaugural	anticipation	0.453	peresmian
supremacy	anticipation	0.453	supremasi
rehabilitation	anticipation	0.453	rehabilitasi
intimately	anticipation	0.453	raket
career	anticipation	0.453	karir
prevention	anticipation	0.453	pencegahan
renovate	anticipation	0.453	ndandani
compliment	anticipation	0.453	pujian
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	keanggunan
complement	anticipation	0.453	ngompliti
flinch	anticipation	0.453	nglirik
infinity	anticipation	0.453	tanpa wates
perpetuity	anticipation	0.453	langgeng
sunset	anticipation	0.453	surup
improve	anticipation	0.453	nambah
fitting	anticipation	0.445	pas
confidence	anticipation	0.445	kapercayan
concealment	anticipation	0.445	ndhelikake
sweet	anticipation	0.445	manis
perfect	anticipation	0.445	sempurno
epidemic	anticipation	0.445	wabah
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	sukarelawan
share	anticipation	0.445	nuduhake
surround	anticipation	0.445	ngubengi
conjecture	anticipation	0.445	prasangka
sun	anticipation	0.445	srengenge
veracity	anticipation	0.445	kabeneran
serial	anticipation	0.438	serial
angel	anticipation	0.438	malaikat
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	suci
tickle	anticipation	0.438	ngece
superstitious	anticipation	0.438	takhayul
ferment	anticipation	0.438	fermentasi
conservation	anticipation	0.438	konservasi
devout	anticipation	0.438	mukmin
respect	anticipation	0.438	ngurmati
reconstruction	anticipation	0.438	rekonstruksi
goodness	anticipation	0.438	kabecikan
reconstruct	anticipation	0.438	mbangun maneh
faith	anticipation	0.438	iman
recombination	anticipation	0.438	rekombinasi
prepared	anticipation	0.438	disiapake
rabid	anticipation	0.438	rabid
plea	anticipation	0.438	panjaluk
medical	anticipation	0.438	medis
passenger	anticipation	0.438	penumpang
charitable	anticipation	0.430	amal
tabulate	anticipation	0.430	tabulasi
peace	anticipation	0.430	tentrem
install	anticipation	0.430	nginstal
serenity	anticipation	0.430	katentreman
venerable	anticipation	0.430	kinurmatan
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labirin
luscious	anticipation	0.430	enak-enak
perpetuate	anticipation	0.430	nglajengake
strategist	anticipation	0.430	ahli strategi
unverified	anticipation	0.430	durung diverifikasi
tribunal	anticipation	0.430	pengadilan
clap	anticipation	0.430	keplok
peaceful	anticipation	0.422	tentrem
patience	anticipation	0.422	sabar
unresolved	anticipation	0.422	ora ditanggulangi
worship	anticipation	0.422	ngibadah
edification	anticipation	0.422	mbangun
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	nyengir
revere	anticipation	0.422	ngurmati
candid	anticipation	0.422	jujur
vista	anticipation	0.422	pemandangan
conspirator	anticipation	0.422	konspirator
adrift	anticipation	0.422	mabur
recognizable	anticipation	0.422	dikenali
volatility	anticipation	0.422	volatilitas
forestall	anticipation	0.422	nyegah
laughter	anticipation	0.422	ngguyu
continue	anticipation	0.414	terus
ongoing	anticipation	0.414	lumaku
astrologer	anticipation	0.414	ahli nujum
mediate	anticipation	0.414	mediasi
punctual	anticipation	0.414	pas wektune
grant	anticipation	0.414	maringi
morn	anticipation	0.414	esuk
pretty	anticipation	0.414	ayu
withstand	anticipation	0.414	tahan
frisky	anticipation	0.414	lincah
thought	anticipation	0.414	panginten
probation	anticipation	0.414	wektu percobaan
ordination	anticipation	0.414	penahbisan
calls	anticipation	0.414	telpon
detainee	anticipation	0.414	tahanan
craps	anticipation	0.414	craps
weigh	anticipation	0.414	nimbang
proficiency	anticipation	0.414	kaprigelan
sing	anticipation	0.411	sing
continuation	anticipation	0.406	tutugan
university	anticipation	0.406	universitas
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nurture
mother	anticipation	0.406	ibu
punished	anticipation	0.406	diukum
twinkle	anticipation	0.406	kelip-kelip
confession	anticipation	0.406	ngaku
outdo	anticipation	0.406	ngluwihi
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	bangga
midwife	anticipation	0.406	bidan
wizard	anticipation	0.406	penyihir
headlight	anticipation	0.406	lampu ngarep
long	anticipation	0.406	dawa
banquet	anticipation	0.406	pesta
comfort	anticipation	0.406	panglipur
navigable	anticipation	0.406	bisa dilayari
subscribe	anticipation	0.406	langganan
opponent	anticipation	0.406	mungsuh
debenture	anticipation	0.406	obligasi
deal	anticipation	0.402	menehi hasil
symphony	anticipation	0.398	simfoni
saintly	anticipation	0.398	suci
judiciary	anticipation	0.398	pengadilan
lettered	anticipation	0.398	layang
vigil	anticipation	0.398	waspada
reliance	anticipation	0.398	percoyo
distracting	anticipation	0.398	ngganggu
mortification	anticipation	0.398	mortifikasi
balm	anticipation	0.398	balsem
simmer	anticipation	0.398	nggodhok
top	anticipation	0.398	ndhuwur
obliging	anticipation	0.398	wajib
efficient	anticipation	0.398	efisien
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	makili
death	anticipation	0.398	pati
assurance	anticipation	0.391	jaminan
familiarity	anticipation	0.391	akrab
depraved	anticipation	0.391	nasar
condemnation	anticipation	0.391	paukuman
undoubted	anticipation	0.391	ora mangu-mangu
sanctify	anticipation	0.391	nucèkaké
diplomacy	anticipation	0.391	diplomasi
antidote	anticipation	0.391	penangkal racun
trust	anticipation	0.391	dipercaya
linger	anticipation	0.391	lingguh
objective	anticipation	0.391	objektif
chuckle	anticipation	0.391	ngguyu
poke	anticipation	0.391	nyocot
abeyance	anticipation	0.391	abeyance
maternal	anticipation	0.391	ibu
art	anticipation	0.391	seni
unfulfilled	anticipation	0.391	durung kaleksanan
inoculation	anticipation	0.384	inokulasi
simplify	anticipation	0.383	nyederhanakake
depend	anticipation	0.383	gumantung
chant	anticipation	0.383	tembang
ram	anticipation	0.383	Ram
banger	anticipation	0.383	banger
playground	anticipation	0.383	papan dolanan
labor	anticipation	0.383	tenaga kerja
scientist	anticipation	0.383	ilmuwan
good	anticipation	0.383	apik
humanitarian	anticipation	0.383	kamanungsan
failing	anticipation	0.383	gagal
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	manut
hymn	anticipation	0.383	kidung pamuji
ship	anticipation	0.383	kapal
discretion	anticipation	0.383	kawicaksanan
undecided	anticipation	0.383	ora mutusake
gradual	anticipation	0.375	bertahap
navigator	anticipation	0.375	navigator
track	anticipation	0.375	trek
cradle	anticipation	0.375	bandulan
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	interim
clock	anticipation	0.375	jam
mountain	anticipation	0.375	gunung
interminable	anticipation	0.375	interminable
public	anticipation	0.375	umum
recurrent	anticipation	0.375	ambalan
savor	anticipation	0.375	rasane
abide	anticipation	0.367	tetep
concealed	anticipation	0.367	didhelikake
spear	anticipation	0.367	tumbak
lesson	anticipation	0.367	wulangan
instructions	anticipation	0.367	instruksi
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennial
convince	anticipation	0.367	ngyakinake
whim	anticipation	0.367	karep
shiver	anticipation	0.367	gemeter
towering	anticipation	0.367	inggil
musical	anticipation	0.367	musike
offset	anticipation	0.359	ngimbangi
theory	anticipation	0.359	teori
theology	anticipation	0.359	teologi
undying	anticipation	0.359	langgeng
timidity	anticipation	0.359	isin
plump	anticipation	0.359	gembul
atone	anticipation	0.359	atone
audience	anticipation	0.357	pamirsa
dietary	anticipation	0.352	dietary
consecration	anticipation	0.352	pasucian
localize	anticipation	0.352	lokalisasi
paragon	anticipation	0.352	paraga
store	anticipation	0.352	nyimpen
farm	anticipation	0.352	tegalan
daily	anticipation	0.352	saben dina
cramp	anticipation	0.352	kram
nobility	anticipation	0.352	bangsawan
closure	anticipation	0.352	penutupan
edition	anticipation	0.352	edisi
kindred	anticipation	0.352	sederek
stripped	anticipation	0.344	diudani
errand	anticipation	0.344	tugas
archaeology	anticipation	0.344	arkeologi
mutable	anticipation	0.344	bisa owah
wireless	anticipation	0.344	nirkabel
meditate	anticipation	0.344	tapa
mobile	anticipation	0.344	mobile
germ	anticipation	0.336	kuman
brotherly	anticipation	0.336	sedulur
lessen	anticipation	0.336	nyuda
unbeaten	anticipation	0.336	ora kalah
pare	anticipation	0.336	pare
buddy	anticipation	0.336	konco
unaccountable	anticipation	0.336	ora tanggung jawab
dove	anticipation	0.328	manuk dara
patient	anticipation	0.328	sabar
secular	anticipation	0.328	sekuler
digress	anticipation	0.328	nyimpang
chastity	anticipation	0.328	kasucian
council	anticipation	0.328	dewan
olfactory	anticipation	0.328	penciuman
ribbon	anticipation	0.328	pita
possess	anticipation	0.328	nduweni
disposed	anticipation	0.320	dibuwang
scrutinize	anticipation	0.320	nliti
immature	anticipation	0.320	durung diwasa
mediator	anticipation	0.320	mediator
regularity	anticipation	0.320	teratur
cove	anticipation	0.320	teluk
infanticide	anticipation	0.320	pembunuhan bayi
paddle	anticipation	0.320	dayung
heft	anticipation	0.320	heft
fancy	anticipation	0.320	apikan
preservative	anticipation	0.320	pengawet
unpublished	anticipation	0.312	ora diterbitake
church	anticipation	0.312	pasamuwan
bugle	anticipation	0.312	bugel
grim	anticipation	0.312	surem
denying	anticipation	0.312	nolak
analyst	anticipation	0.312	analis
judicial	anticipation	0.305	yudisial
priesthood	anticipation	0.305	imam
broadside	anticipation	0.305	broadside
mill	anticipation	0.305	gilingan
dismay	anticipation	0.297	kuciwane
cap	anticipation	0.297	kap
thermocouple	anticipation	0.297	termokopel
tributary	anticipation	0.297	anak kali
instructor	anticipation	0.297	instruktur
exhaustion	anticipation	0.297	kekeselen
saliva	anticipation	0.297	idu
cataract	anticipation	0.289	katarak
network	anticipation	0.289	jaringan
visor	anticipation	0.289	visor
shackle	anticipation	0.289	belenggu
wont	anticipation	0.289	ora gelem
addresses	anticipation	0.289	alamat
discreet	anticipation	0.289	wicaksana
noncompliance	anticipation	0.289	noncompliance
bruise	anticipation	0.289	bruise
homeless	anticipation	0.289	ora duwe omah
astronomer	anticipation	0.281	ahli astronomi
skewed	anticipation	0.281	miring
neighbor	anticipation	0.281	tanggane
holiness	anticipation	0.273	kasucian
devil	anticipation	0.273	setan
picket	anticipation	0.273	piket
sentence	anticipation	0.273	ukara
latent	anticipation	0.273	laten
cream	anticipation	0.273	krim
immaturity	anticipation	0.273	durung diwasa
habitual	anticipation	0.266	kebiasaan
morals	anticipation	0.266	moral
neighborhood	anticipation	0.266	tetanggan
lull	anticipation	0.266	ngaso
bye	anticipation	0.258	bye
weight	anticipation	0.258	bobot
organ	anticipation	0.250	organ
clown	anticipation	0.250	badut
forearm	anticipation	0.250	lengen
commonplace	anticipation	0.242	lumrah
quote	anticipation	0.242	kutipan
rail	anticipation	0.234	rel
dictatorship	anticipation	0.234	kediktatoran
treadmill	anticipation	0.234	treadmill
board	anticipation	0.234	papan
tree	anticipation	0.227	wit
sundial	anticipation	0.227	jam srengenge
paralysis	anticipation	0.211	lumpuh
cement	anticipation	0.203	semen
worm	anticipation	0.203	cacing
organization	anticipation	0.203	organisasi
lagging	anticipation	0.180	lagging
neutral	anticipation	0.148	netral
cannibalism	disgust	0.953	kanibalisme
mutilation	disgust	0.930	mutilasi
molestation	disgust	0.914	nganiaya
incest	disgust	0.914	incest
rape	disgust	0.906	rudo pekso
gonorrhea	disgust	0.906	gonore
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	bosok
corpse	disgust	0.883	mayit
massacre	disgust	0.883	ontran-ontran
excrement	disgust	0.883	kotoran
barf	disgust	0.875	barongan
slaughter	disgust	0.875	nyembelih
slaughterhouse	disgust	0.867	rumah jagal
incestuous	disgust	0.859	inses
sewerage	disgust	0.859	saluran pembuangan
filth	disgust	0.859	reged
bigot	disgust	0.859	bajingan
rancid	disgust	0.859	tengik
infestation	disgust	0.852	infestasi
plague	disgust	0.852	pageblug
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	ngelak getih
rotting	disgust	0.844	bosok
fecal	disgust	0.844	fekal
maggot	disgust	0.844	uler
feces	disgust	0.844	najis
murder	disgust	0.839	rajapati
asshole	disgust	0.836	bajingan
homicide	disgust	0.836	rajapati
enslaved	disgust	0.836	diperbudak
infanticide	disgust	0.836	pembunuhan bayi
perverted	disgust	0.828	keblinger
excretion	disgust	0.828	ekskresi
gore	disgust	0.828	gore
slaughtering	disgust	0.828	nyembelih
torture	disgust	0.828	nyiksa
contaminate	disgust	0.821	ngrusak
revolting	disgust	0.820	mbrontak
gory	disgust	0.820	gory
shit	disgust	0.820	telek
terrorist	disgust	0.820	teroris
murderer	disgust	0.820	tukang mateni
repugnant	disgust	0.820	nistha
manure	disgust	0.820	pupuk kandang
pervert	disgust	0.820	nyimpang
diarrhoea	disgust	0.820	diare
grotesque	disgust	0.820	ngeri
desecration	disgust	0.820	najisake
faeces	disgust	0.812	najis
slavery	disgust	0.812	perbudakan
sewer	disgust	0.812	selokan
cadaver	disgust	0.812	mayat
manslaughter	disgust	0.812	rajapati
dismemberment	disgust	0.812	dismemberment
vomit	disgust	0.812	muntahake
perverse	disgust	0.805	kleru
repulsive	disgust	0.805	njijiki
hemorrhage	disgust	0.805	getihen
sewage	disgust	0.797	limbah
filthy	disgust	0.797	reged
diseased	disgust	0.797	lara
depravity	disgust	0.797	kadurjanan
carcass	disgust	0.795	bangkai
decompose	disgust	0.789	ngrusak
gruesome	disgust	0.789	ngeri
mutilated	disgust	0.789	dirusak
puke	disgust	0.789	muntah
herpes	disgust	0.789	herpes
decayed	disgust	0.789	bosok
dung	disgust	0.789	dung
vermin	disgust	0.789	hama
murderous	disgust	0.789	mateni
parasite	disgust	0.789	parasit
horrific	disgust	0.789	nggegirisi
carnage	disgust	0.781	pembantaian
malaria	disgust	0.781	malaria
slime	disgust	0.781	lendhut
flatulence	disgust	0.781	kembung
pestilence	disgust	0.781	pageblug
crap	disgust	0.781	jebule
monstrosity	disgust	0.781	monster
loathsome	disgust	0.773	njijiki
toxic	disgust	0.773	beracun
morgue	disgust	0.773	kamar mayat
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	virus herpes
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	insidious
cruel	disgust	0.766	kejem
regurgitation	disgust	0.766	regurgitasi
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	repugnancy
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	revulsi
whore	disgust	0.766	sundel
dissection	disgust	0.759	dissection
mucous	disgust	0.758	mucous
canker	disgust	0.758	sareh
slum	disgust	0.758	kumuh
infectious	disgust	0.758	infèksius
evil	disgust	0.758	ala
phlegm	disgust	0.758	phlegm
cruelty	disgust	0.758	kekejeman
perversion	disgust	0.758	keblinger
sinister	disgust	0.750	serem
leeches	disgust	0.750	lintah
corrupting	disgust	0.750	ngrusak
decomposition	disgust	0.750	dekomposisi
abomination	disgust	0.742	nistha
stinking	disgust	0.742	mambu
bile	disgust	0.742	empedu
demonic	disgust	0.742	setan
deranged	disgust	0.742	bingung
abhorrence	disgust	0.742	nistha
soiled	disgust	0.742	reged
mucus	disgust	0.742	lendhut
septic	disgust	0.742	septik
sickening	disgust	0.742	nglarani
demon	disgust	0.742	setan
cancer	disgust	0.734	kanker
obese	disgust	0.734	lemu
degeneracy	disgust	0.734	degenerasi
despicable	disgust	0.734	nistha
atrocity	disgust	0.734	kekejeman
foul	disgust	0.734	gawe salah
sicken	disgust	0.734	lara
crucifixion	disgust	0.734	panyaliban
terrorism	disgust	0.734	terorisme
repulsion	disgust	0.727	penolakan
morbidity	disgust	0.727	morbiditas
dysentery	disgust	0.727	disentri
enema	disgust	0.727	enema
bacterium	disgust	0.727	bakteri
dirty	disgust	0.727	reged
adultery	disgust	0.727	laku jina
contamination	disgust	0.727	kontaminasi
grisly	disgust	0.727	ngeri
diabolical	disgust	0.727	setan
autopsy	disgust	0.719	otopsi
barbaric	disgust	0.719	barbar
vulgar	disgust	0.719	vulgar
entrails	disgust	0.719	jeroan
disgust	disgust	0.719	jijik
lewd	disgust	0.719	nakal
muck	disgust	0.719	mumet
bowels	disgust	0.719	weteng
garbage	disgust	0.719	uwuh
deterioration	disgust	0.719	rusake
contagion	disgust	0.719	nulari
vicious	disgust	0.719	ganas
disfigured	disgust	0.719	cacad
pungent	disgust	0.719	nyenyet
gross	disgust	0.719	reged
bloodshed	disgust	0.714	getihen
gag	disgust	0.711	gag
pollute	disgust	0.711	ngrusak
nausea	disgust	0.711	mual
tyrant	disgust	0.711	tiran
wretched	disgust	0.711	celaka
mortification	disgust	0.711	mortifikasi
violent	disgust	0.711	kasar
poisoned	disgust	0.711	keracunan
nauseate	disgust	0.703	mual
slimy	disgust	0.703	lendhut
grope	disgust	0.703	grop
slut	disgust	0.703	pelacur
nasty	disgust	0.703	nakal
disgusting	disgust	0.703	njijiki
depraved	disgust	0.703	nasar
porn	disgust	0.703	saru
hateful	disgust	0.703	sengit
vulgarity	disgust	0.703	vulgar
noxious	disgust	0.703	mbebayani
grime	disgust	0.703	rereged
constipation	disgust	0.703	konstipasi
secretion	disgust	0.703	sekresi
poisoning	disgust	0.703	keracunan
despotism	disgust	0.703	despotisme
measles	disgust	0.696	campak
contagious	disgust	0.695	nular
obesity	disgust	0.695	kelemon
wart	disgust	0.695	kutil
hate	disgust	0.695	sengit
hellish	disgust	0.695	naraka
scum	disgust	0.695	sampah
suicidal	disgust	0.695	lampus
wretch	disgust	0.695	ala
abuse	disgust	0.695	penyalahgunaan
waste	disgust	0.695	sampah
intestinal	disgust	0.695	usus
heartworm	disgust	0.688	heartworm
ooze	disgust	0.688	ooze
treason	disgust	0.688	khianat
contaminated	disgust	0.688	terkontaminasi
smut	disgust	0.688	smut
disease	disgust	0.688	penyakit
rabid	disgust	0.688	rabid
deformed	disgust	0.680	cacat
hell	disgust	0.680	neraka
soulless	disgust	0.680	tanpa nyawa
cholera	disgust	0.680	kolera
bestial	disgust	0.680	kewan
antichrist	disgust	0.680	antikristus
freakish	disgust	0.680	aneh
germ	disgust	0.680	kuman
detest	disgust	0.680	jijik
pollution	disgust	0.680	polusi
grimy	disgust	0.680	grimis
abhorrent	disgust	0.680	nistha
hatred	disgust	0.680	gething
abominate	disgust	0.680	nistha
sickness	disgust	0.680	penyakit
hideous	disgust	0.672	ngeri
dictatorship	disgust	0.672	kediktatoran
loathful	disgust	0.672	kangen
greasy	disgust	0.672	lemu
dilapidated	disgust	0.672	bobrok
inhuman	disgust	0.672	ora manungsa
loathing	disgust	0.672	kangen
obscene	disgust	0.672	saru
cess	disgust	0.670	cess
devil	disgust	0.664	setan
deformity	disgust	0.664	deformitas
nauseous	disgust	0.664	mual
deadly	disgust	0.664	agawe
swine	disgust	0.664	babi
discrimination	disgust	0.664	diskriminasi
abominable	disgust	0.664	nistha
masochism	disgust	0.664	masokisme
heretic	disgust	0.664	sesat
latrines	disgust	0.656	jamban
corruption	disgust	0.656	korupsi
poisonous	disgust	0.656	beracun
horror	disgust	0.656	medeni
nefarious	disgust	0.656	nakal
bacteria	disgust	0.656	bakteri
horrible	disgust	0.656	nggegirisi
trash	disgust	0.656	sampah
abortion	disgust	0.656	aborsi
death	disgust	0.656	pati
prejudiced	disgust	0.656	prasangka
poison	disgust	0.656	racun
oppression	disgust	0.656	penindasan
goo	disgust	0.656	goo
victimized	disgust	0.656	korban
mange	disgust	0.656	mange
sludge	disgust	0.648	endhas
trashy	disgust	0.648	sampah
vindictive	disgust	0.648	dendam
horrid	disgust	0.648	ngeri
ugly	disgust	0.648	elek
immoral	disgust	0.648	ora sopan
bitch	disgust	0.648	asu
outhouse	disgust	0.648	outhouse
detestation	disgust	0.648	jijik
horrifying	disgust	0.641	nggegirisi
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	ora katon
derogatory	disgust	0.641	ngremehake
slop	disgust	0.641	slop
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	nyembur
pimple	disgust	0.641	kukul
criminality	disgust	0.641	kriminalitas
indecency	disgust	0.641	ora sopan
cystic	disgust	0.641	kistik
villainous	disgust	0.641	nakal
queasy	disgust	0.633	mual
mildew	disgust	0.633	jamuran
oppressive	disgust	0.633	nindhes
prostitution	disgust	0.633	prostitusi
secrete	disgust	0.633	ndhelik
ulcer	disgust	0.633	maag
rat	disgust	0.633	tikus
bigoted	disgust	0.633	fanatik
perpetrator	disgust	0.633	pelaku
doomsday	disgust	0.633	kiamat
sinful	disgust	0.633	dosa
degrading	disgust	0.625	ngremehake
ghastly	disgust	0.625	ngeri
suffering	disgust	0.625	kasangsaran
obscenity	disgust	0.625	saru
devilish	disgust	0.625	setan
disgraceful	disgust	0.625	nistha
persecution	disgust	0.625	buron
contemptible	disgust	0.625	nistha
cuckold	disgust	0.625	culik
stools	disgust	0.625	bangkekan
dastardly	disgust	0.625	kejem
sin	disgust	0.625	dosa
gluttony	disgust	0.625	rakus
bloated	disgust	0.625	kembung
fungus	disgust	0.625	jamur
aghast	disgust	0.625	gumun
diaper	disgust	0.617	popok
malicious	disgust	0.617	angkoro
polygamy	disgust	0.617	poligami
dying	disgust	0.617	sekarat
termite	disgust	0.617	rayap
fat	disgust	0.617	lemu
deceit	disgust	0.617	ngapusi
atrocious	disgust	0.617	kejem
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	ngrusak
crusty	disgust	0.617	kerak
sickly	disgust	0.617	sakit-sakitan
louse	disgust	0.617	kutu
strangle	disgust	0.617	nyekek
