English Word	Emotion	Emotion-Intensity-Score	Hausa Word
cholera	disgust	0.680	kwalara
bestial	disgust	0.680	na dabbobi
antichrist	disgust	0.680	maƙiyin Kristi
freakish	disgust	0.680	m
germ	disgust	0.680	kwayoyin cuta
detest	disgust	0.680	kyama
pollution	disgust	0.680	gurbacewa
grimy	disgust	0.680	m
abhorrent	disgust	0.680	abin ƙyama
hatred	disgust	0.680	ƙiyayya
abominate	disgust	0.680	ƙazanta
sickness	disgust	0.680	rashin lafiya
hideous	disgust	0.672	m
dictatorship	disgust	0.672	mulkin kama-karya
loathful	disgust	0.672	m
greasy	disgust	0.672	m
dilapidated	disgust	0.672	lalace
inhuman	disgust	0.672	rashin mutuntaka
loathing	disgust	0.672	abin ƙyama
obscene	disgust	0.672	batsa
cess	disgust	0.670	cess
devil	disgust	0.664	shaidan
deformity	disgust	0.664	nakasa
nauseous	disgust	0.664	tashin zuciya
deadly	disgust	0.664	m
swine	disgust	0.664	alade
discrimination	disgust	0.664	nuna bambanci
abominable	disgust	0.664	abin ƙyama
masochism	disgust	0.664	masochism
heretic	disgust	0.664	bidi'a
latrines	disgust	0.656	ɗakin bayan gida
corruption	disgust	0.656	cin hanci da rashawa
poisonous	disgust	0.656	guba
horror	disgust	0.656	tsoro
nefarious	disgust	0.656	m
bacteria	disgust	0.656	kwayoyin cuta
horrible	disgust	0.656	m
trash	disgust	0.656	shara
abortion	disgust	0.656	zubar da ciki
death	disgust	0.656	mutuwa
prejudiced	disgust	0.656	son zuciya
poison	disgust	0.656	guba
oppression	disgust	0.656	zalunci
goo	disgust	0.656	goyi
victimized	disgust	0.656	wanda aka azabtar
mange	disgust	0.656	mangare
sludge	disgust	0.648	sludge
trashy	disgust	0.648	shara
vindictive	disgust	0.648	m
horrid	disgust	0.648	tsoro
ugly	disgust	0.648	mummuna
immoral	disgust	0.648	m
bitch	disgust	0.648	mace
outhouse	disgust	0.648	gidan waje
detestation	disgust	0.648	ƙiyayya
horrifying	disgust	0.641	mai ban tsoro
laxative	disgust	0.641	laxative
unsightly	disgust	0.641	mara kyau
derogatory	disgust	0.641	cin mutunci
slop	disgust	0.641	gangara
malfeasance	disgust	0.641	malfeasance
spew	disgust	0.641	zufa
pimple	disgust	0.641	pimple
criminality	disgust	0.641	laifi
indecency	disgust	0.641	rashin ladabi
cystic	disgust	0.641	cystic
villainous	disgust	0.641	mugu
queasy	disgust	0.633	m
mildew	disgust	0.633	mildew
oppressive	disgust	0.633	zalunci
prostitution	disgust	0.633	karuwanci
secrete	disgust	0.633	boye
ulcer	disgust	0.633	miki
rat	disgust	0.633	bera
bigoted	disgust	0.633	girman kai
perpetrator	disgust	0.633	mai laifi
doomsday	disgust	0.633	kiyama
sinful	disgust	0.633	mai zunubi
degrading	disgust	0.625	wulakanci
ghastly	disgust	0.625	m
suffering	disgust	0.625	wahala
obscenity	disgust	0.625	batsa
devilish	disgust	0.625	shaidan
disgraceful	disgust	0.625	m
persecution	disgust	0.625	zalunci
contemptible	disgust	0.625	m
cuckold	disgust	0.625	cuckold
stools	disgust	0.625	stools
dastardly	disgust	0.625	ban tsoro
sin	disgust	0.625	zunubi
gluttony	disgust	0.625	cin gindi
bloated	disgust	0.625	kumburi
fungus	disgust	0.625	naman gwari
aghast	disgust	0.625	firgita
diaper	disgust	0.617	diaper
malicious	disgust	0.617	m
polygamy	disgust	0.617	auren mata fiye da daya
dying	disgust	0.617	mutuwa
termite	disgust	0.617	kusoshi
fat	disgust	0.617	mai
deceit	disgust	0.617	yaudara
atrocious	disgust	0.617	m
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	lalacewa
crusty	disgust	0.617	ɓawon burodi
sickly	disgust	0.617	mara lafiya
louse	disgust	0.617	lemu
strangle	disgust	0.617	makare
betrayal	disgust	0.617	cin amana
loathe	disgust	0.617	qyama
wench	disgust	0.617	wench
infect	disgust	0.617	harba
violently	disgust	0.609	tashin hankali
brothel	disgust	0.609	gidan karuwai
drool	disgust	0.609	faduwa
bleeding	disgust	0.609	zub da jini
deform	disgust	0.609	nakasar
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	m
abhor	disgust	0.609	kyama
slander	disgust	0.609	batanci
hostile	disgust	0.609	m
musty	disgust	0.602	musty
illicit	disgust	0.602	haram
ugliness	disgust	0.602	rashin kunya
unwashed	disgust	0.602	ba a wanke ba
swampy	disgust	0.602	fadama
deprivation	disgust	0.602	rashi
poaching	disgust	0.602	farauta
hag	disgust	0.602	hag
infidel	disgust	0.602	kafiri
imprisonment	disgust	0.602	dauri
traitor	disgust	0.602	maci amana
lunacy	disgust	0.602	hauka
queasiness	disgust	0.594	damuwa
hostility	disgust	0.594	adawa
repelling	disgust	0.594	tunkudewa
intoxicated	disgust	0.594	maye
thug	disgust	0.594	dan daba
catastrophe	disgust	0.594	bala'i
lunatic	disgust	0.594	mahaukaci
misery	disgust	0.594	wahala
venom	disgust	0.594	dafin
butcher	disgust	0.594	mahauci
toilet	disgust	0.594	bayan gida
blister	disgust	0.594	kumburi
lurid	disgust	0.594	lurid
slug	disgust	0.594	slug
gut	disgust	0.594	hanji
sinner	disgust	0.594	mai zunubi
deceitful	disgust	0.594	mayaudari
epidemic	disgust	0.594	annoba
deteriorated	disgust	0.586	tabarbarewar
lavatory	disgust	0.586	dakin wanka
unclean	disgust	0.586	marar tsarki
prostitute	disgust	0.586	karuwa
incubus	disgust	0.586	incubus
appalling	disgust	0.586	m
dreadful	disgust	0.586	m
pornography	disgust	0.586	batsa
harass	disgust	0.586	hargitsi
squeamish	disgust	0.578	tsutsa
expulsion	disgust	0.578	kora
unfaithful	disgust	0.578	rashin aminci
offensive	disgust	0.578	m
hypocrite	disgust	0.578	munafuki
humiliating	disgust	0.578	wulakanci
larceny	disgust	0.578	lalata
ruinous	disgust	0.578	m
retard	disgust	0.578	jinkirta
rash	disgust	0.578	kurji
flea	disgust	0.578	ƙuma
debauchery	disgust	0.578	lalata
fiend	disgust	0.578	fidda
quagmire	disgust	0.578	kwarjini
conspirator	disgust	0.578	maƙarƙashiya
sick	disgust	0.578	mara lafiya
mangle	disgust	0.578	mangwaro
dogsick	disgust	0.570	doki
egregious	disgust	0.570	m
flog	disgust	0.570	bulala
despise	disgust	0.570	raina
treacherous	disgust	0.570	mayaudara
oppress	disgust	0.570	zalunci
swamp	disgust	0.570	fadama
messy	disgust	0.570	m
spit	disgust	0.570	tofa
dank	disgust	0.570	dank
bastard	disgust	0.570	dan iska
devastating	disgust	0.570	m
serpent	disgust	0.570	maciji
loo	disgust	0.562	ku
indecent	disgust	0.562	rashin mutunci
insanity	disgust	0.562	hauka
stealing	disgust	0.562	sata
terrible	disgust	0.562	m
tyrannical	disgust	0.562	azzalumi
humiliation	disgust	0.562	wulakanci
snake	disgust	0.562	maciji
sloppy	disgust	0.562	m
sinning	disgust	0.562	zunubi
harmful	disgust	0.562	cutarwa
harlot	disgust	0.562	karuwa
sordid	disgust	0.562	mara kyau
enemy	disgust	0.562	abokan gaba
alcoholism	disgust	0.562	shaye-shaye
awful	disgust	0.562	m
ruthless	disgust	0.562	m
scoundrel	disgust	0.562	zagi
bloody	disgust	0.555	mai jini
flabby	disgust	0.555	flabby
odious	disgust	0.555	m
beastly	disgust	0.555	na dabba
collusion	disgust	0.555	hada baki
ridicule	disgust	0.555	ba'a
discriminating	disgust	0.555	nuna bambanci
unattractive	disgust	0.555	m
insufferable	disgust	0.555	m
segregate	disgust	0.555	ware
arsenic	disgust	0.555	arsenic
threatening	disgust	0.555	barazana
atrophy	disgust	0.555	atrophy
varicella	disgust	0.555	varicella
slayer	disgust	0.555	kisa
distaste	disgust	0.555	rashin jin daɗi
coward	disgust	0.555	matsoraci
robbery	disgust	0.555	fashi
wickedness	disgust	0.555	mugunta
anathema	disgust	0.547	rashin lafiya
malevolent	disgust	0.547	m
sty	disgust	0.547	sty
pillage	disgust	0.547	fashi
thief	disgust	0.547	barawo
suffocating	disgust	0.547	shakewa
condemnation	disgust	0.547	hukunci
deleterious	disgust	0.547	m
slur	disgust	0.547	slur
purgatory	disgust	0.547	purgatory
attacking	disgust	0.547	kai hari
burglar	disgust	0.547	mai fashi
ogre	disgust	0.547	ogre
coercion	disgust	0.547	tilastawa
vesicular	disgust	0.547	vesicular
miserable	disgust	0.547	bakin ciki
bitterly	disgust	0.547	daci
sneer	disgust	0.539	ba'a
greedy	disgust	0.539	m
gob	disgust	0.539	gob
repellant	disgust	0.539	m
jealous	disgust	0.539	kishi
drunken	disgust	0.539	buguwa
shame	disgust	0.539	kunya
thrash	disgust	0.539	bugu
fatty	disgust	0.539	m
liar	disgust	0.539	maƙaryaci
imprisoned	disgust	0.539	daure
sloth	disgust	0.539	rashi
repudiation	disgust	0.539	kin amincewa
disgrace	disgust	0.539	abin kunya
infidelity	disgust	0.539	kafirci
pig	disgust	0.539	alade
lethal	disgust	0.536	m
burnt	disgust	0.531	kone
brawl	disgust	0.531	fada
withered	disgust	0.531	bushe
blemish	disgust	0.531	aibi
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	aberration
smuggler	disgust	0.531	dan fasa kwauri
painful	disgust	0.531	mai zafi
condescension	disgust	0.531	tawali'u
intolerant	disgust	0.531	m
blasphemous	disgust	0.531	sabo
lying	disgust	0.531	karya
hanging	disgust	0.531	rataye
travesty	disgust	0.531	cin amana
ruined	disgust	0.531	lalace
intrusive	disgust	0.531	m
disintegrate	disgust	0.531	tarwatse
destructive	disgust	0.531	m
neurotic	disgust	0.531	neurotic
disparaging	disgust	0.523	wulakantacce
blighted	disgust	0.523	blighted
intolerance	disgust	0.523	rashin haƙuri
mistress	disgust	0.523	uwar gida
avarice	disgust	0.523	rashin kunya
disgraced	disgust	0.523	a kunyace
derogation	disgust	0.523	ragewa
rubbish	disgust	0.523	shara
accusation	disgust	0.523	zargi
incarceration	disgust	0.523	ɗaurin kurkuku
tortious	disgust	0.516	m
dishonor	disgust	0.516	rashin mutunci
stink	disgust	0.516	yi wari
grim	disgust	0.516	m
rob	disgust	0.516	fashi
defraud	disgust	0.516	zamba
sump	disgust	0.516	sump
cringe	disgust	0.516	girgiza
vulture	disgust	0.516	ungulu
deplorable	disgust	0.516	abin takaici
mite	disgust	0.516	mite
eradication	disgust	0.516	shafewa
degrade	disgust	0.516	kaskantar da kai
gutter	disgust	0.516	gutter
convict	disgust	0.516	mai laifi
remains	disgust	0.516	ragowar
betray	disgust	0.516	cin amana
daemon	disgust	0.516	daemon
sham	disgust	0.509	sham
distasteful	disgust	0.508	m
prisoner	disgust	0.508	fursuna
dreadfully	disgust	0.508	da ban tsoro
worthless	disgust	0.508	mara amfani
crude	disgust	0.508	danyen mai
delirium	disgust	0.508	delirium
incurable	disgust	0.508	m
smelling	disgust	0.508	wari
idiocy	disgust	0.508	rashin hankali
resentment	disgust	0.508	bacin rai
bombed	disgust	0.508	bam
blob	disgust	0.508	kumburi
cheat	disgust	0.508	yaudara
schizophrenia	disgust	0.508	schizophrenia
rejection	disgust	0.508	kin amincewa
belittle	disgust	0.508	kadan
glut	disgust	0.508	glut
disaster	disgust	0.508	bala'i
distress	disgust	0.508	wahala
pest	disgust	0.508	kwaro
endemic	disgust	0.508	cututtuka
theft	disgust	0.500	sata
banish	disgust	0.500	kore
mire	disgust	0.500	kara
flagrant	disgust	0.500	m
derision	disgust	0.500	ba'a
dirt	disgust	0.500	datti
screaming	disgust	0.500	kururuwa
offense	disgust	0.500	laifi
jealousy	disgust	0.500	kishi
bribery	disgust	0.500	cin hanci
polemic	disgust	0.500	m
blight	disgust	0.500	rashin lafiya
impeach	disgust	0.500	tsigewa
bitterness	disgust	0.500	haushi
taboo	disgust	0.500	haramun
duress	disgust	0.500	tilas
goblin	disgust	0.500	goblin
shackle	disgust	0.500	dauri
idolatry	disgust	0.500	bautar gumaka
greed	disgust	0.500	kwadayi
impurity	disgust	0.500	kazanta
tirade	disgust	0.500	tirade
idiot	disgust	0.492	wawa
boil	disgust	0.492	tafasa
unconscionable	disgust	0.492	rashin hankali
disreputable	disgust	0.492	rashin mutunci
robber	disgust	0.492	dan fashi
malign	disgust	0.492	m
wreck	disgust	0.492	rugujewa
recession	disgust	0.492	koma bayan tattalin arziki
gorge	disgust	0.492	kwazazzabo
leer	disgust	0.492	ledar
ill	disgust	0.492	rashin lafiya
squirm	disgust	0.492	tsuguna
raging	disgust	0.484	fushi
servile	disgust	0.484	mai hidima
mess	disgust	0.484	rikici
nappy	disgust	0.484	napi
possessed	disgust	0.484	mallaka
unbearable	disgust	0.484	m
occult	disgust	0.484	asiri
contraband	disgust	0.484	haramtacciyar hanya
snarl	disgust	0.484	zage-zage
mutiny	disgust	0.484	mutin
mad	disgust	0.484	mahaukaci
affliction	disgust	0.484	wahala
stain	disgust	0.484	tabo
animosity	disgust	0.484	gaba
contempt	disgust	0.484	raini
tramp	disgust	0.484	tarko
nepotism	disgust	0.484	son zuciya
disrespectful	disgust	0.484	rashin mutunci
defamation	disgust	0.484	bata suna
inexcusable	disgust	0.484	m
aversation	disgust	0.484	kyama
wasteful	disgust	0.484	almubazzaranci
offender	disgust	0.484	mai laifi
subjugation	disgust	0.484	sarauta
illegality	disgust	0.477	haramun
dismal	disgust	0.477	m
criminal	disgust	0.477	mai laifi
unpleasant	disgust	0.477	m
palsy	disgust	0.477	palsy
antagonistic	disgust	0.477	adawa
pathetic	disgust	0.477	m
uncaring	disgust	0.477	rashin kula
suppression	disgust	0.477	danniya
immorality	disgust	0.477	lalata
mockery	disgust	0.477	ba'a
outrage	disgust	0.469	bacin rai
mocking	disgust	0.469	ba'a
wallow	disgust	0.469	rawa
cough	disgust	0.469	tari
arrogant	disgust	0.469	girman kai
angry	disgust	0.469	fushi
poverty	disgust	0.469	talauci
grating	disgust	0.469	grating
livid	disgust	0.469	livid
aggravation	disgust	0.469	kara tsananta
repellent	disgust	0.469	m
perspiration	disgust	0.469	zufa
banishment	disgust	0.469	kora
furious	disgust	0.469	fushi
shoddy	disgust	0.469	m
banshee	disgust	0.469	banshi
deceive	disgust	0.461	yaudara
fool	disgust	0.461	wawa
quack	disgust	0.461	kwakkwara
distorted	disgust	0.461	gurbatattu
spider	disgust	0.461	gizo-gizo
unjustifiable	disgust	0.461	rashin hujja
deplore	disgust	0.461	takaici
spurious	disgust	0.461	m
perdition	disgust	0.461	halaka
muddy	disgust	0.461	laka
fraudulent	disgust	0.461	zamba
scar	disgust	0.461	tabo
prick	disgust	0.461	soki
insulting	disgust	0.461	zagi
plunder	disgust	0.461	ganima
recklessness	disgust	0.461	rashin kulawa
stigma	disgust	0.453	abin kunya
disparage	disgust	0.453	rashin mutunci
unthinkable	disgust	0.453	wanda ba a iya tsammani
disingenuous	disgust	0.453	m
bane	disgust	0.453	ban
dishonest	disgust	0.453	rashin gaskiya
aphid	disgust	0.453	aphid
elimination	disgust	0.453	kawarwa
cur	disgust	0.453	kur
selfish	disgust	0.453	son kai
eschew	disgust	0.453	eshe
dire	disgust	0.453	dire
indignation	disgust	0.453	fushi
antipathy	disgust	0.453	rashin tausayi
alienate	disgust	0.453	nisantar da kai
mosquito	disgust	0.445	sauro
piles	disgust	0.445	tara
pious	disgust	0.445	masu tsoron Allah
lie	disgust	0.445	karya
opium	disgust	0.445	opium
smell	disgust	0.445	wari
iniquity	disgust	0.445	zalunci
caries	disgust	0.445	caries
despair	disgust	0.445	yanke kauna
recalcitrant	disgust	0.445	m
egotistical	disgust	0.445	son kai
wasted	disgust	0.445	a banza
vacuous	disgust	0.445	m
bankruptcy	disgust	0.445	fatarar kudi
garish	disgust	0.445	gashi
obnoxious	disgust	0.438	m
ashamed	disgust	0.438	kunya
abject	disgust	0.438	zance
sticky	disgust	0.438	m
scream	disgust	0.438	kururuwa
hopelessness	disgust	0.438	rashin bege
homeless	disgust	0.438	marasa gida
shun	disgust	0.438	guje
inmate	disgust	0.438	fursuna
alien	disgust	0.438	baƙo
hog	disgust	0.438	alade
aversion	disgust	0.438	kyama
abnormal	disgust	0.438	na al'ada
cursing	disgust	0.430	zagi
undesirable	disgust	0.430	wanda ba a so
denounce	disgust	0.430	zargi
witch	disgust	0.430	mayya
creature	disgust	0.430	halitta
lusty	disgust	0.430	m
illegal	disgust	0.430	haramun ne
debris	disgust	0.430	tarkace
callous	disgust	0.430	m
reflux	disgust	0.430	reflux
adverse	disgust	0.430	m
shameless	disgust	0.430	mara kunya
separatist	disgust	0.430	'yan aware
trickery	disgust	0.430	yaudara
falsity	disgust	0.430	karya
pall	disgust	0.430	pall
defiance	disgust	0.430	rashin amincewa
incredulous	disgust	0.430	m
curse	disgust	0.430	tsinewa
pompous	disgust	0.422	pompous
socialist	disgust	0.422	gurguzu
mistrust	disgust	0.422	rashin yarda
infantile	disgust	0.422	jariri
wasting	disgust	0.422	batawa
hairy	disgust	0.422	mai gashi
nicotine	disgust	0.422	nicotine
denunciation	disgust	0.422	zargi
collapse	disgust	0.422	rugujewa
untidy	disgust	0.422	rashin tsabta
ferocious	disgust	0.422	m
ammonia	disgust	0.422	ammoniya
carelessness	disgust	0.422	rashin kulawa
impure	disgust	0.422	najasa
contentious	disgust	0.422	m
bum	disgust	0.422	bum
affront	disgust	0.422	cin zarafi
offend	disgust	0.422	laifi
tarnish	disgust	0.422	bata
idiotic	disgust	0.422	wawa
badness	disgust	0.422	mugunta
delinquent	disgust	0.422	m
swarm	disgust	0.422	taro
hypertrophy	disgust	0.422	hypertrophy
gush	disgust	0.422	gushe
tasteless	disgust	0.422	m
bovine	disgust	0.422	dabba
slush	disgust	0.422	sulusi
litigious	disgust	0.414	m
dishonesty	disgust	0.414	rashin gaskiya
vegetative	disgust	0.414	kayan lambu
unfavorable	disgust	0.414	m
displacency	disgust	0.414	ƙaura
illegitimate	disgust	0.414	shege
sour	disgust	0.414	m
socialism	disgust	0.414	zamantakewa
disobey	disgust	0.414	rashin biyayya
drivel	disgust	0.414	direban
vampire	disgust	0.414	vampire
neglected	disgust	0.414	sakaci
murky	disgust	0.414	m
ignorant	disgust	0.406	jahilai
disgruntled	disgust	0.406	takaici
discontinuity	disgust	0.406	katsewa
dislike	disgust	0.406	ƙi
unlawful	disgust	0.406	haramun
wrongdoing	disgust	0.406	zalunci
shoplifting	disgust	0.406	satar kaya
recidivism	disgust	0.406	sake komawa
outcast	disgust	0.406	bararre
bogus	disgust	0.406	bogi
displeasure	disgust	0.406	rashin jin daɗi
repel	disgust	0.406	tunkude
falsify	disgust	0.406	karya
ungrateful	disgust	0.406	rashin godiya
unkind	disgust	0.406	rashin alheri
phony	disgust	0.406	m
prosecution	disgust	0.406	tuhuma
woe	disgust	0.398	bala'i
averse	disgust	0.398	kyama
loon	disgust	0.398	loon
worsening	disgust	0.398	kara muni
paucity	disgust	0.398	rashin ƙarfi
unnatural	disgust	0.398	m
amphetamines	disgust	0.398	amphetamines
senseless	disgust	0.398	rashin hankali
rigor	disgust	0.398	tsauri
subvert	disgust	0.398	juzu'i
failure	disgust	0.398	gazawa
lick	disgust	0.398	lasa
unruly	disgust	0.398	rashin da'a
woefully	disgust	0.398	bala'i
stingy	disgust	0.398	m
crushing	disgust	0.398	murkushewa
disdain	disgust	0.398	raini
insult	disgust	0.393	zagi
averseness	disgust	0.391	kyama
disrelish	disgust	0.391	rashin jin daɗi
punished	disgust	0.391	azabtarwa
critter	disgust	0.391	critter
damage	disgust	0.391	lalacewa
scorpion	disgust	0.391	kunama
diatribe	disgust	0.391	ditribe
muff	disgust	0.391	muff
farcical	disgust	0.391	m
antisocial	disgust	0.391	rashin zaman lafiya
hardened	disgust	0.391	taurare
punishment	disgust	0.391	hukunci
bad	disgust	0.391	mara kyau
expel	disgust	0.391	fitar
surly	disgust	0.383	zalla
lament	disgust	0.383	kuka
illiterate	disgust	0.383	m
divorce	disgust	0.383	saki
teeming	disgust	0.383	tashin hankali
plagiarism	disgust	0.383	plagiarism
eviction	disgust	0.383	fitarwa
orc	disgust	0.383	Orc
disappoint	disgust	0.383	takaici
shabby	disgust	0.383	shabby
presumptuous	disgust	0.383	girman kai
anaconda	disgust	0.383	anaconda
discord	disgust	0.383	sabani
guilt	disgust	0.383	laifi
fugitive	disgust	0.383	mai gudun hijira
irrational	disgust	0.383	rashin hankali
adder	disgust	0.383	ƙara
fulsome	disgust	0.383	m
sacrifices	disgust	0.383	sadaukarwa
hypocritical	disgust	0.383	munafunci
shock	disgust	0.375	gigice
alienation	disgust	0.375	ware
scoff	disgust	0.375	ba'a
plight	disgust	0.375	yanayi
irritation	disgust	0.375	haushi
unworthy	disgust	0.375	rashin cancanta
misconduct	disgust	0.375	rashin da'a
defective	disgust	0.375	m
blame	disgust	0.375	zargi
depressing	disgust	0.375	damuwa
dislocated	disgust	0.375	rabu
irritating	disgust	0.375	mai ban haushi
vainly	disgust	0.367	banza
toad	disgust	0.367	toad
powerless	disgust	0.367	mara iko
coerce	disgust	0.367	tilastawa
shuddering	disgust	0.367	rawar jiki
stripped	disgust	0.367	tsiri
revoke	disgust	0.367	soke
wimpy	disgust	0.367	wimpy
unhealthy	disgust	0.367	mara lafiya
exclusion	disgust	0.367	ware
disillusionment	disgust	0.367	rashin kunya
blatant	disgust	0.367	m
hurtful	disgust	0.367	m
hoax	disgust	0.367	yaudara
wimp	disgust	0.367	murza
cad	disgust	0.367	kad
pitfall	disgust	0.367	rami
squelch	disgust	0.367	tsutsa
deserted	disgust	0.359	ba kowa
damn	disgust	0.359	Tsine
incompatible	disgust	0.359	m
dispose	disgust	0.359	jefar
oddity	disgust	0.359	ban mamaki
rebellion	disgust	0.359	tawaye
ineptitude	disgust	0.359	rashin kuskure
bug	disgust	0.359	kwaro
disobedience	disgust	0.359	rashin biyayya
inept	disgust	0.352	inept
litigate	disgust	0.352	yi shari'a
dismissal	disgust	0.352	sallama
cutting	disgust	0.352	yankan
untoward	disgust	0.352	karkata zuwa ga
displeased	disgust	0.352	rashin jin daɗi
censor	disgust	0.352	tace
ridiculous	disgust	0.352	m
compost	disgust	0.352	taki
frustrate	disgust	0.352	takaici
misbehavior	disgust	0.352	rashin ɗabi'a
lawyer	disgust	0.352	lauya
crushed	disgust	0.352	murkushe
flesh	disgust	0.352	nama
uncertain	disgust	0.352	rashin tabbas
obi	disgust	0.352	obi
flinch	disgust	0.352	karkarwa
fierce	disgust	0.352	m
wrongful	disgust	0.352	ba daidai ba
depreciate	disgust	0.344	rage daraja
disapprove	disgust	0.344	rashin yarda
tearful	disgust	0.344	hawaye
grumble	disgust	0.336	gunaguni
unsettled	disgust	0.336	rashin kwanciyar hankali
annoy	disgust	0.336	haushi
exigent	disgust	0.336	m
heartsick	disgust	0.336	ciwon zuciya
lawsuit	disgust	0.336	kara
discoloration	disgust	0.336	canza launi
lumpy	disgust	0.336	dunƙule
daft	disgust	0.336	daft
blunder	disgust	0.336	kuskure
discontent	disgust	0.336	rashin gamsuwa
bickering	disgust	0.336	husuma
thoughtless	disgust	0.336	rashin tunani
disliked	disgust	0.336	ba a so
disinclination	disgust	0.336	disinclination
distrust	disgust	0.336	rashin yarda
disallowed	disgust	0.336	hana
instability	disgust	0.328	rashin zaman lafiya
hydrophobia	disgust	0.328	hydrophobia
whine	disgust	0.328	yi kuka
inhibit	disgust	0.328	hana
excluded	disgust	0.328	cire
provoking	disgust	0.328	tsokana
grievance	disgust	0.328	korafi
unmanageable	disgust	0.328	m
sly	disgust	0.328	wayo
exasperation	disgust	0.328	fushi
cacophony	disgust	0.328	cacophony
unsatisfactory	disgust	0.328	rashin gamsuwa
disappointed	disgust	0.328	takaici
materialist	disgust	0.328	dan jari-hujja
misleading	disgust	0.321	yaudara
mishap	disgust	0.320	rashin gaskiya
soot	disgust	0.320	zubo
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	rashin yarda
annoyance	disgust	0.320	bacin rai
disapproving	disgust	0.320	rashin yarda
disservice	disgust	0.320	rashin hidima
reproach	disgust	0.320	zargi
confined	disgust	0.320	tsare
unequal	disgust	0.320	rashin daidaito
rags	disgust	0.320	ragama
groan	disgust	0.320	yi nishi
soil	disgust	0.312	ƙasa
inappropriate	disgust	0.312	bai dace ba
criticize	disgust	0.312	suka
disincline	disgust	0.312	rashin hankali
theism	disgust	0.312	ilimin addini
depreciated	disgust	0.312	rage daraja
inconsiderate	disgust	0.312	rashin la'akari
overpriced	disgust	0.312	fiye da kima
stomach	disgust	0.312	ciki
burke	disgust	0.312	burke
sneeze	disgust	0.312	atishawa
gall	disgust	0.305	zafi
bang	disgust	0.305	bang
inadmissible	disgust	0.305	m
unfriendly	disgust	0.305	rashin abokantaka
unaccountable	disgust	0.305	m
disparity	disgust	0.305	sabani
latent	disgust	0.305	latent
disliking	disgust	0.305	rashin son
shack	disgust	0.305	shake
grumpy	disgust	0.305	m
coop	disgust	0.304	coop
disappointment	disgust	0.297	jin kunya
scold	disgust	0.297	tsawa
delay	disgust	0.297	jinkiri
congress	disgust	0.297	majalisa
growling	disgust	0.297	gunaguni
backwards	disgust	0.297	baya
soreness	disgust	0.297	ciwo
disregarded	disgust	0.297	rashin kula
rogue	disgust	0.297	dan damfara
lonely	disgust	0.297	kadaici
notoriety	disgust	0.289	sananne
catechism	disgust	0.289	catechism
flop	disgust	0.289	flop
infamous	disgust	0.289	m
janitor	disgust	0.289	mai kula
nettle	disgust	0.289	nettle
saturated	disgust	0.281	cikakken
prohibited	disgust	0.281	haramta
gaby	disgust	0.281	gaba
wince	disgust	0.281	lashe
desist	disgust	0.281	dena
unfair	disgust	0.281	rashin adalci
aftermath	disgust	0.281	bayan
remiss	disgust	0.281	remis
tribunal	disgust	0.273	kotu
discolored	disgust	0.273	canza launi
wrangling	disgust	0.273	rigima
uneasy	disgust	0.273	m
huff	disgust	0.273	huff
weird	disgust	0.266	m
impolite	disgust	0.266	rashin mutunci
swig	disgust	0.266	swig
crawl	disgust	0.266	rarrafe
unsatisfied	disgust	0.266	rashin gamsuwa
inefficiency	disgust	0.266	rashin iya aiki
frantic	disgust	0.266	tashin hankali
bureaucrat	disgust	0.266	shugaba
politic	disgust	0.266	siyasa
coldness	disgust	0.266	sanyi
gruff	disgust	0.258	gruff
octopus	disgust	0.258	kifin teku mai kafa takwas
chagrin	disgust	0.258	takaici
barrow	disgust	0.258	barrow
copycat	disgust	0.258	kwafi
incase	disgust	0.258	incase
rascal	disgust	0.258	raskanci
sarcasm	disgust	0.258	zagi
instinctive	disgust	0.258	ilhami
misconception	disgust	0.250	rashin fahimta
disinclined	disgust	0.250	rashin hankali
john	disgust	0.250	john
hulk	disgust	0.250	huk
baboon	disgust	0.250	babban
shanghai	disgust	0.250	shanghai
cupping	disgust	0.250	cin abinci
lose	disgust	0.250	rasa
rook	disgust	0.242	rok
entangled	disgust	0.242	hade
gratuitous	disgust	0.242	m
scrub	disgust	0.242	goge
opponent	disgust	0.242	abokin hamayya
tariff	disgust	0.242	jadawalin kuɗin fito
questionable	disgust	0.234	abin tambaya
prolong	disgust	0.234	tsawaita
reluctance	disgust	0.234	rashin so
lagging	disgust	0.234	lagging
misstatement	disgust	0.234	kuskure
resign	disgust	0.234	murabus
unlucky	disgust	0.234	rashin sa'a
backwardness	disgust	0.234	ci baya
ineffectual	disgust	0.227	m
disqualified	disgust	0.227	rashin cancanta
subsidy	disgust	0.227	tallafi
reversal	disgust	0.227	juyawa
default	disgust	0.227	tsoho
fussy	disgust	0.227	m
unpopular	disgust	0.227	maras so
petroleum	disgust	0.219	man fetur
intense	disgust	0.219	mai tsanani
evade	disgust	0.219	kaucewa
frowning	disgust	0.219	yamutsa fuska
weight	disgust	0.219	nauyi
dame	disgust	0.219	dame
donkey	disgust	0.211	jaki
actionable	disgust	0.211	m
tawny	disgust	0.211	tawny
