English Word	Emotion	Emotion-Intensity-Score	Croatian Word
arouse	anticipation	0.742	pobuditi
eager	anticipation	0.742	željan
ejaculation	anticipation	0.734	ejakulacija
birth	anticipation	0.734	rođenje
announcement	anticipation	0.734	Obavijest
expectancy	anticipation	0.727	očekivano trajanje
expecting	anticipation	0.727	očekujući
imminent	anticipation	0.727	neizbježna
liberation	anticipation	0.727	oslobođenje
urgent	anticipation	0.727	hitno
trepidation	anticipation	0.719	strah
reunion	anticipation	0.719	ponovno sjedinjenje
prospection	anticipation	0.719	prospekcija
voyage	anticipation	0.719	putovanje
prospect	anticipation	0.719	perspektiva
aspire	anticipation	0.719	težiti
rapture	anticipation	0.711	zanos
suspense	anticipation	0.711	suspenzija
journey	anticipation	0.711	putovanje
kiss	anticipation	0.711	poljubac
enthusiasm	anticipation	0.711	entuzijazam
yearning	anticipation	0.711	čežnja
ecstasy	anticipation	0.711	ekstaza
mystery	anticipation	0.711	misterija
prospective	anticipation	0.703	perspektivan
frantic	anticipation	0.703	izbezumljen
destination	anticipation	0.703	odredište
excitation	anticipation	0.703	uzbuđenje
lottery	anticipation	0.703	lutrija
hopeful	anticipation	0.703	pun nade
thrill	anticipation	0.703	uzbuđenje
progress	anticipation	0.703	napredak
urgency	anticipation	0.703	hitnost
tantalizing	anticipation	0.703	primamljiv
liberate	anticipation	0.695	osloboditi
hurry	anticipation	0.695	žuri
explore	anticipation	0.695	istražiti
advance	anticipation	0.695	unaprijed
vacation	anticipation	0.695	odmor
sex	anticipation	0.695	seks
achievement	anticipation	0.695	postignuće
readiness	anticipation	0.695	spremnost
expectation	anticipation	0.695	očekivanje
prediction	anticipation	0.695	predviđanje
arrival	anticipation	0.695	dolazak
allure	anticipation	0.688	vabiti
ecstatic	anticipation	0.688	ekstatičan
approaching	anticipation	0.688	približavanje
honeymoon	anticipation	0.680	medeni mjesec
roulette	anticipation	0.680	rulet
uprising	anticipation	0.680	ustanak
holiday	anticipation	0.672	odmor
crescendo	anticipation	0.672	krešendo
celebrating	anticipation	0.672	slaveći
wishful	anticipation	0.672	priželjkivan
waiting	anticipation	0.664	čekajući
invitation	anticipation	0.664	poziv
rescue	anticipation	0.664	spasiti
impending	anticipation	0.664	nadnesen
winning	anticipation	0.664	osvajanjem
craving	anticipation	0.664	žudnja
winnings	anticipation	0.664	dobitak
triumph	anticipation	0.664	trijumf
orgasm	anticipation	0.664	orgazam
marriage	anticipation	0.656	brak
bridal	anticipation	0.656	svadbeni
victory	anticipation	0.656	pobjeda
courtship	anticipation	0.656	udvaranje
gain	anticipation	0.656	dobiti
aspiring	anticipation	0.656	težeći
strive	anticipation	0.656	težiti
reward	anticipation	0.656	nagrada
celebration	anticipation	0.656	Proslava
jackpot	anticipation	0.656	jackpot
bridegroom	anticipation	0.656	mladoženja
fortune	anticipation	0.656	bogatstvo
tomorrow	anticipation	0.648	sutra
rising	anticipation	0.648	dižući se
inheritance	anticipation	0.648	nasljedstvo
alertness	anticipation	0.648	budnost
crowning	anticipation	0.648	krunidba
aspiration	anticipation	0.648	aspiracija
delivery	anticipation	0.648	dostava
opportunity	anticipation	0.648	prilika
intrigue	anticipation	0.648	intriga
prescient	anticipation	0.648	dalekovidan
treasure	anticipation	0.648	blago
erotic	anticipation	0.641	erotski
revolution	anticipation	0.641	revolucija
launch	anticipation	0.641	lansirati
reckoning	anticipation	0.641	računanje
prognosis	anticipation	0.641	prognoza
happiness	anticipation	0.641	sreća
celebrated	anticipation	0.641	slavio
receiving	anticipation	0.641	primanje
possibility	anticipation	0.641	mogućnost
expedition	anticipation	0.641	ekspedicija
bride	anticipation	0.641	nevjesta
engaged	anticipation	0.641	angažiran
anxious	anticipation	0.641	tjeskoban
hype	anticipation	0.641	hype
spectacular	anticipation	0.641	spektakularan
award	anticipation	0.641	dodijeliti
prepare	anticipation	0.633	pripremiti
coming	anticipation	0.633	dolazak
graduation	anticipation	0.633	matura
destiny	anticipation	0.633	sudbina
miracle	anticipation	0.633	čudo
beware	anticipation	0.633	čuvajte se
succeed	anticipation	0.633	uspjeti
passionate	anticipation	0.633	strastvena
birthday	anticipation	0.633	rođendan
passion	anticipation	0.633	strast
ominous	anticipation	0.633	zlokoban
captivate	anticipation	0.633	zarobiti
vision	anticipation	0.633	vizija
delight	anticipation	0.633	oduševljenje
curious	anticipation	0.633	znatiželjan
firstborn	anticipation	0.633	prvorođenac
await	anticipation	0.633	čekati
triumphant	anticipation	0.625	pobjednički
escape	anticipation	0.625	pobjeći
optimism	anticipation	0.625	optimizam
retirement	anticipation	0.625	odlazak u mirovinu
foresee	anticipation	0.625	predvidjeti
inspiration	anticipation	0.625	inspiracija
ripen	anticipation	0.625	sazrijevati
gift	anticipation	0.625	dar
revival	anticipation	0.625	oživljavanje
lust	anticipation	0.625	požuda
risky	anticipation	0.617	riskantno
foreboding	anticipation	0.617	slutnja
bloom	anticipation	0.617	cvjetati
verge	anticipation	0.617	ivica
embrace	anticipation	0.617	zagrljaj
destined	anticipation	0.617	suđeno
surprisingly	anticipation	0.617	iznenađujuče
ambition	anticipation	0.617	ambicija
simmering	anticipation	0.617	krčkanje
enchanting	anticipation	0.617	očaravajući
foresight	anticipation	0.617	predviđanje
lookout	anticipation	0.609	pazi
anxiety	anticipation	0.609	anksioznost
forecast	anticipation	0.609	prognoza
seductive	anticipation	0.609	zavodljiv
bonus	anticipation	0.609	bonus
succeeding	anticipation	0.609	uspjevši
matrimony	anticipation	0.609	brak
magical	anticipation	0.609	čarobni
alerts	anticipation	0.609	upozorenja
winner	anticipation	0.602	pobjednik
applicant	anticipation	0.602	podnositelj zahtjeva
fulfillment	anticipation	0.602	ispunjenje
deserve	anticipation	0.602	zaslužiti
inspire	anticipation	0.602	nadahnuti
foreseen	anticipation	0.602	predviđeno
intended	anticipation	0.602	namijenjeni
boomerang	anticipation	0.602	bumerang
picnic	anticipation	0.602	piknik
longing	anticipation	0.602	čežnja
revenge	anticipation	0.602	osveta
success	anticipation	0.602	uspjeh
diagnosis	anticipation	0.602	dijagnoza
visionary	anticipation	0.602	vizionar
prophetic	anticipation	0.602	proročki
entertaining	anticipation	0.602	zabavna
nervous	anticipation	0.602	živčani
illuminate	anticipation	0.594	osvijetliti
accelerate	anticipation	0.594	ubrzati
advent	anticipation	0.594	dolazak
romance	anticipation	0.594	romantika
result	anticipation	0.594	proizlaziti
arrive	anticipation	0.594	stići
momentum	anticipation	0.594	zamah
buzz	anticipation	0.594	zujati
rekindle	anticipation	0.594	ponovo zapaliti
preparedness	anticipation	0.594	spremnost
acquiring	anticipation	0.594	stjecanje
luck	anticipation	0.594	sreća
marry	anticipation	0.594	oženiti se
predict	anticipation	0.589	predvidjeti
money	anticipation	0.586	novac
auspices	anticipation	0.586	okrilje
uplift	anticipation	0.586	uzdizanje
fiesta	anticipation	0.586	fešta
enjoying	anticipation	0.586	uživajući
preparation	anticipation	0.586	priprema
raffle	anticipation	0.586	lutrija
investigation	anticipation	0.586	istraga
progression	anticipation	0.586	napredovanje
overdue	anticipation	0.586	zakašnjeli
crave	anticipation	0.586	žudjeti
impatient	anticipation	0.586	nestrpljiv
enthusiast	anticipation	0.586	entuzijasta
flirt	anticipation	0.586	koketirati
seek	anticipation	0.586	tražiti
sequel	anticipation	0.586	nastavak
presumption	anticipation	0.586	pretpostavka
delightful	anticipation	0.586	divan
gambling	anticipation	0.586	Kockanje
immerse	anticipation	0.586	zaroniti
endeavor	anticipation	0.586	nastojati
experiment	anticipation	0.580	eksperiment
enjoy	anticipation	0.578	uživati
completing	anticipation	0.578	dovršavajući
clamor	anticipation	0.578	vika
angling	anticipation	0.578	ribolov
majestic	anticipation	0.578	veličanstven
divination	anticipation	0.578	predviđanje
transcendence	anticipation	0.578	transcendencija
thriving	anticipation	0.578	uspješan
excavation	anticipation	0.578	iskopavanje
thirst	anticipation	0.578	žeđ
remedy	anticipation	0.578	lijek
harvest	anticipation	0.578	žetva
risk	anticipation	0.578	rizik
healing	anticipation	0.578	iscjeljivanje
heavenly	anticipation	0.578	nebeski
inviting	anticipation	0.578	pozivajući
precarious	anticipation	0.578	prekaran
attainable	anticipation	0.578	ostvarljiv
blessing	anticipation	0.578	blagoslov
prosper	anticipation	0.578	napredovati
tease	anticipation	0.570	zafrkavati
plan	anticipation	0.570	plan
sweetheart	anticipation	0.570	dušo
zest	anticipation	0.570	poletnost
magnificence	anticipation	0.570	veličanstvenost
ultimate	anticipation	0.570	ultimativno
emancipation	anticipation	0.570	emancipacija
restlessness	anticipation	0.570	nemir
finally	anticipation	0.570	konačno
intimate	anticipation	0.570	intiman
omen	anticipation	0.570	znak
matchmaker	anticipation	0.570	provodadžija
gambler	anticipation	0.570	kockar
prospectively	anticipation	0.570	prospektivno
dare	anticipation	0.570	usuditi se
warned	anticipation	0.570	upozorio
invite	anticipation	0.570	pozvati
mysterious	anticipation	0.562	tajanstvena
accolade	anticipation	0.562	priznanje
lover	anticipation	0.562	ljubavnik
expose	anticipation	0.562	izložiti
enchant	anticipation	0.562	očarati
attempt	anticipation	0.562	pokušaj
festival	anticipation	0.562	festival
exalt	anticipation	0.562	uzdizati
rejoice	anticipation	0.562	veseliti se
independence	anticipation	0.562	neovisnost
expected	anticipation	0.562	očekivano
fanfare	anticipation	0.562	fanfare
immortality	anticipation	0.562	besmrtnost
quicken	anticipation	0.562	ubrzati
parade	anticipation	0.562	parada
fun	anticipation	0.562	zabava
predilection	anticipation	0.562	sklonost
champion	anticipation	0.562	prvak
forewarned	anticipation	0.562	unaprijed upozoren
hypothesis	anticipation	0.562	hipoteza
trophy	anticipation	0.562	trofej
shopping	anticipation	0.555	shopping
salvation	anticipation	0.555	spasenje
feeling	anticipation	0.555	osjećaj
speculative	anticipation	0.555	špekulativno
oracle	anticipation	0.555	proročište
heroism	anticipation	0.555	junaštvo
boisterous	anticipation	0.555	bučan
grasping	anticipation	0.555	hvatanje
uneasiness	anticipation	0.555	nelagoda
curiosity	anticipation	0.555	znatiželja
happy	anticipation	0.555	sretan
rejoicing	anticipation	0.555	radost
fate	anticipation	0.555	sudbina
liberty	anticipation	0.555	sloboda
unfold	anticipation	0.555	razmotati se
amour	anticipation	0.555	ljubav
lovely	anticipation	0.555	lijep
splendor	anticipation	0.555	sjaj
grow	anticipation	0.555	rasti
glimmer	anticipation	0.547	svjetlucanje
incite	anticipation	0.547	poticati
abundance	anticipation	0.547	obilje
resultant	anticipation	0.547	rezultanta
probability	anticipation	0.547	vjerojatnost
recreational	anticipation	0.547	rekreativno
glory	anticipation	0.547	slava
agape	anticipation	0.547	agape
delighted	anticipation	0.547	oduševljena
changeable	anticipation	0.547	promjenjiv
convergence	anticipation	0.547	konvergencija
bountiful	anticipation	0.547	izdašan
warn	anticipation	0.547	upozoriti
monetary	anticipation	0.547	monetarni
sorcery	anticipation	0.547	čarobnjaštvo
morrow	anticipation	0.547	sutra
apprehensive	anticipation	0.547	prestrašen
hungry	anticipation	0.547	gladan
vote	anticipation	0.547	glasanje
suspicious	anticipation	0.547	sumnjivo
pray	anticipation	0.547	moliti
leisure	anticipation	0.547	slobodno vrijeme
hunting	anticipation	0.539	lov
sensual	anticipation	0.539	senzualan
tempest	anticipation	0.539	oluja
auction	anticipation	0.539	aukcija
ballot	anticipation	0.539	glasački listić
grandchildren	anticipation	0.539	unuci
hankering	anticipation	0.539	žudnja
entertainment	anticipation	0.539	Zabava
merge	anticipation	0.539	sjediniti
exceed	anticipation	0.539	premašiti
vindication	anticipation	0.539	opravdanje
blessings	anticipation	0.539	blagoslovi
inquiry	anticipation	0.539	upit
bounty	anticipation	0.539	nagrada
worrying	anticipation	0.539	zabrinjavajuće
contingent	anticipation	0.539	kontingent
glad	anticipation	0.536	radostan
harbinger	anticipation	0.531	vjesnik
magnificent	anticipation	0.531	veličanstvena
virginity	anticipation	0.531	nevinost
stealthy	anticipation	0.531	nečujan
appeal	anticipation	0.531	apel
forming	anticipation	0.531	formiranje
celestial	anticipation	0.531	nebeski
raving	anticipation	0.531	buncanje
deliverance	anticipation	0.531	oslobođenje
feat	anticipation	0.531	podvig
cheer	anticipation	0.531	bodriti
responsive	anticipation	0.531	uzvratni
hurried	anticipation	0.531	požurio
betrothed	anticipation	0.531	zaručnica
overthrow	anticipation	0.531	svrgnuti
spirits	anticipation	0.531	duhovi
dread	anticipation	0.531	bojati se
visitor	anticipation	0.531	posjetitelj
wait	anticipation	0.523	čekati
revive	anticipation	0.523	oživjeti
watch	anticipation	0.523	Gledati
hunter	anticipation	0.523	Lovac
radiance	anticipation	0.523	sjaj
planning	anticipation	0.523	planiranje
germination	anticipation	0.523	klijanje
competition	anticipation	0.523	natjecanje
preparatory	anticipation	0.523	pripremni
prognostic	anticipation	0.523	prognostički
beaming	anticipation	0.523	ozaren
cheery	anticipation	0.523	živahno
prevail	anticipation	0.523	prevladati
importance	anticipation	0.523	važnost
notification	anticipation	0.523	obavijest
explosive	anticipation	0.523	Eksplozivno
pleasant	anticipation	0.523	ugodan
ultimately	anticipation	0.523	u konačnici
child	anticipation	0.523	dijete
haste	anticipation	0.523	žurba
prophet	anticipation	0.523	prorok
recreation	anticipation	0.516	rekreacija
present	anticipation	0.516	predstaviti
time	anticipation	0.516	vrijeme
sensuality	anticipation	0.516	senzualnost
owing	anticipation	0.516	dugujući
loom	anticipation	0.516	razboj
begun	anticipation	0.516	započeto
salary	anticipation	0.516	plaća
celebrity	anticipation	0.516	slavna osoba
treat	anticipation	0.516	liječiti
chocolate	anticipation	0.516	čokolada
caution	anticipation	0.516	Oprez
fermentation	anticipation	0.516	vrenje
uncontrollable	anticipation	0.516	nekontroliran
precious	anticipation	0.516	dragocjen
compensate	anticipation	0.516	nadoknaditi
endanger	anticipation	0.516	ugroziti
renovation	anticipation	0.516	obnova
signify	anticipation	0.508	označavati
vigilance	anticipation	0.508	budnost
prerequisite	anticipation	0.508	preduvjet
perfection	anticipation	0.508	savršenstvo
cultivate	anticipation	0.508	kultivirati
develop	anticipation	0.508	razviti
cue	anticipation	0.508	znak
exigent	anticipation	0.508	zahtjevan
transitional	anticipation	0.508	prijelazni
commemoration	anticipation	0.508	komemoracija
intermission	anticipation	0.508	prekid
elevation	anticipation	0.508	uzvisina
infant	anticipation	0.508	dječji
practise	anticipation	0.508	praksa
contemplation	anticipation	0.508	kontemplacija
dreadful	anticipation	0.508	užasan
wilderness	anticipation	0.508	divljina
horizon	anticipation	0.508	horizont
sneaking	anticipation	0.500	puzav
uphill	anticipation	0.500	uzbrdo
puppy	anticipation	0.500	štene
blindfold	anticipation	0.500	povez preko očiju
unbridled	anticipation	0.500	neobuzdana
horoscope	anticipation	0.500	horoskop
airport	anticipation	0.500	zračna luka
reconciliation	anticipation	0.500	pomirenje
advocacy	anticipation	0.500	zagovaranje
litigate	anticipation	0.500	parničiti se
sunny	anticipation	0.500	sunčano
intuitively	anticipation	0.500	intuitivno
hero	anticipation	0.500	junak
ardent	anticipation	0.500	gorljiv
commemorate	anticipation	0.500	komemorirati
romantic	anticipation	0.500	romantičan
doomsday	anticipation	0.500	Sudnji dan
ready	anticipation	0.500	spreman
nascent	anticipation	0.500	nastajući
invocation	anticipation	0.500	zazivanje
depart	anticipation	0.500	otići
undisclosed	anticipation	0.500	neotkriveno
attendance	anticipation	0.500	pohađanje
peril	anticipation	0.500	opasnost
income	anticipation	0.500	prihod
calculation	anticipation	0.500	izračun
zeal	anticipation	0.500	revnost
eventuality	anticipation	0.500	mogućnost
favorable	anticipation	0.500	povoljan
utopian	anticipation	0.500	utopijski
swim	anticipation	0.500	plivati
proceeding	anticipation	0.492	postupak
eventual	anticipation	0.492	eventualni
heyday	anticipation	0.492	zenit
undertaking	anticipation	0.492	poduzeće
improvise	anticipation	0.492	improvizirati
inauguration	anticipation	0.492	inauguracija
consequent	anticipation	0.492	posljedično
perspective	anticipation	0.492	perspektiva
defense	anticipation	0.492	obrana
repay	anticipation	0.492	otplaćivati
gaping	anticipation	0.492	zjapeći
youth	anticipation	0.492	mladosti
parole	anticipation	0.492	uvjetni otpust
worry	anticipation	0.492	brinuti se
bless	anticipation	0.492	blagosloviti
restorative	anticipation	0.492	obnoviteljski
court	anticipation	0.492	sud
highest	anticipation	0.491	najviši
shortly	anticipation	0.484	ukratko
auspicious	anticipation	0.484	povoljan
princely	anticipation	0.484	kneževski
correspondence	anticipation	0.484	Dopisivanje
generosity	anticipation	0.484	velikodušnost
sparkle	anticipation	0.484	svjetlucati
voluptuous	anticipation	0.484	pohotan
happen	anticipation	0.484	dogoditi se
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	pismo
vow	anticipation	0.484	zavjet
sharpen	anticipation	0.484	izoštriti
duel	anticipation	0.484	dvoboj
conjure	anticipation	0.484	dočarati
threaten	anticipation	0.484	ugroziti
god	anticipation	0.484	bog
engulf	anticipation	0.484	progutati
unexplained	anticipation	0.484	neobjašnjen
contagion	anticipation	0.484	zaraza
glorify	anticipation	0.477	slaviti
submit	anticipation	0.477	podnijeti
enroll	anticipation	0.477	upisati
unification	anticipation	0.477	ujedinjenje
gravitate	anticipation	0.477	gravitirati
glide	anticipation	0.477	kliziti
accompaniment	anticipation	0.477	pratnja
cherish	anticipation	0.477	njegovati
adore	anticipation	0.477	obožavati
powerful	anticipation	0.477	snažan
clue	anticipation	0.477	trag
medal	anticipation	0.477	medalja
contemplate	anticipation	0.477	kontemplirati
perilous	anticipation	0.477	opasan
determinate	anticipation	0.477	određen
arbitration	anticipation	0.477	arbitraža
recipient	anticipation	0.477	primatelj
onset	anticipation	0.477	početak
predispose	anticipation	0.477	predisponirati
score	anticipation	0.477	postići
torture	anticipation	0.477	mučenje
glow	anticipation	0.477	sjaj
praiseworthy	anticipation	0.473	hvalevrijedan
football	anticipation	0.469	nogomet
scare	anticipation	0.469	uplašiti
elite	anticipation	0.469	elita
unknown	anticipation	0.469	nepoznato
precursor	anticipation	0.469	prethodnik
pry	anticipation	0.469	provaljivati
providing	anticipation	0.469	pružanje
sweets	anticipation	0.469	slatkiši
cautious	anticipation	0.469	oprezan
opera	anticipation	0.469	opera
motion	anticipation	0.469	pokret
cash	anticipation	0.469	unovčiti
creeping	anticipation	0.469	puzanje
invoke	anticipation	0.469	prizivati
star	anticipation	0.469	zvijezda
shaky	anticipation	0.469	klimav
production	anticipation	0.469	proizvodnja
successful	anticipation	0.469	uspješan
immediately	anticipation	0.469	odmah
dawn	anticipation	0.469	zora
starry	anticipation	0.469	zvjezdani
unsurpassed	anticipation	0.469	nenadmašan
completion	anticipation	0.469	završetak
hire	anticipation	0.469	najam
fete	anticipation	0.469	svečanost
commemorative	anticipation	0.461	komemorativni
shining	anticipation	0.461	blistavo
testament	anticipation	0.461	zavjet
pay	anticipation	0.461	platiti
alive	anticipation	0.461	živ
plight	anticipation	0.461	nevolja
preliminary	anticipation	0.461	preliminarni
overture	anticipation	0.461	uvertira
sanctuary	anticipation	0.461	svetilište
regatta	anticipation	0.461	regata
draft	anticipation	0.461	Nacrt
synchronize	anticipation	0.461	sinkronizirati
soundness	anticipation	0.461	zvučnost
extricate	anticipation	0.461	izvući se
excel	anticipation	0.461	excel
punt	anticipation	0.461	čun
untold	anticipation	0.461	neispričan
brilliant	anticipation	0.461	briljantan
cheerfulness	anticipation	0.461	vedrina
jeopardy	anticipation	0.461	opasnost
friendly	anticipation	0.461	prijateljski
mail	anticipation	0.461	pošta
unexpected	anticipation	0.453	neočekivano
basketball	anticipation	0.453	košarka
inaugural	anticipation	0.453	inauguracijski
supremacy	anticipation	0.453	nadmoći
rehabilitation	anticipation	0.453	rehabilitacija
intimately	anticipation	0.453	prisno
career	anticipation	0.453	karijera
prevention	anticipation	0.453	prevencija
renovate	anticipation	0.453	obnoviti
compliment	anticipation	0.453	kompliment
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	elegancija
complement	anticipation	0.453	upotpuniti, dopuna
flinch	anticipation	0.453	trgnuti se
infinity	anticipation	0.453	beskonačnost
perpetuity	anticipation	0.453	vječnost
sunset	anticipation	0.453	zalazak sunca
improve	anticipation	0.453	poboljšati
fitting	anticipation	0.445	pristajanje
confidence	anticipation	0.445	samouvjerenost
concealment	anticipation	0.445	prikrivanje
sweet	anticipation	0.445	slatko
perfect	anticipation	0.445	savršen
epidemic	anticipation	0.445	epidemija
fain	anticipation	0.445	prinuđen
volunteer	anticipation	0.445	dobrovoljac
share	anticipation	0.445	udio
surround	anticipation	0.445	okružuju
conjecture	anticipation	0.445	nagađanje
sun	anticipation	0.445	Sunce
veracity	anticipation	0.445	istinitost
serial	anticipation	0.438	serijski
angel	anticipation	0.438	anđeo
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	svetac
tickle	anticipation	0.438	golicati
superstitious	anticipation	0.438	praznovjeran
ferment	anticipation	0.438	kvasac
conservation	anticipation	0.438	očuvanje
devout	anticipation	0.438	pobožan
respect	anticipation	0.438	poštovanje
reconstruction	anticipation	0.438	rekonstrukcija
goodness	anticipation	0.438	dobrota
reconstruct	anticipation	0.438	rekonstruirati
faith	anticipation	0.438	vjera
recombination	anticipation	0.438	rekombinacija
prepared	anticipation	0.438	pripremljeni
rabid	anticipation	0.438	bijesan
plea	anticipation	0.438	molba
medical	anticipation	0.438	medicinski
passenger	anticipation	0.438	putnik
charitable	anticipation	0.430	dobrotvorna
tabulate	anticipation	0.430	tabelirati
peace	anticipation	0.430	mir
install	anticipation	0.430	instalirati
serenity	anticipation	0.430	spokoj
venerable	anticipation	0.430	časni
spa	anticipation	0.430	lječilište
labyrinth	anticipation	0.430	labirint
luscious	anticipation	0.430	preslatka
perpetuate	anticipation	0.430	ovjekovječiti
strategist	anticipation	0.430	strateg
unverified	anticipation	0.430	neprovjereno
tribunal	anticipation	0.430	sud
clap	anticipation	0.430	pljeskati
peaceful	anticipation	0.422	mirno
patience	anticipation	0.422	strpljenje
unresolved	anticipation	0.422	neriješena
worship	anticipation	0.422	štovati
edification	anticipation	0.422	poučavanje
oasis	anticipation	0.422	oaza
grin	anticipation	0.422	osmijeh
revere	anticipation	0.422	duboko poštovati
candid	anticipation	0.422	iskren
vista	anticipation	0.422	vidik
conspirator	anticipation	0.422	zavjerenik
adrift	anticipation	0.422	zalutati
recognizable	anticipation	0.422	prepoznatljiv
volatility	anticipation	0.422	volatilnost
forestall	anticipation	0.422	spriječiti
laughter	anticipation	0.422	smijeh
continue	anticipation	0.414	nastaviti
ongoing	anticipation	0.414	u tijeku
astrologer	anticipation	0.414	astrolog
mediate	anticipation	0.414	posredovati
punctual	anticipation	0.414	točan
grant	anticipation	0.414	odobriti
morn	anticipation	0.414	jutro
pretty	anticipation	0.414	prilično
withstand	anticipation	0.414	izdržati
frisky	anticipation	0.414	nestašan
thought	anticipation	0.414	misao
probation	anticipation	0.414	uvjetna kazna
ordination	anticipation	0.414	ređenje
calls	anticipation	0.414	poziva
detainee	anticipation	0.414	pritvorenik
craps	anticipation	0.414	craps
weigh	anticipation	0.414	vagati
proficiency	anticipation	0.414	stručnost
sing	anticipation	0.411	pjevati
continuation	anticipation	0.406	nastavak
university	anticipation	0.406	sveučilište
chicane	anticipation	0.406	varati
nurture	anticipation	0.406	njegovati
mother	anticipation	0.406	majka
punished	anticipation	0.406	kažnjen
twinkle	anticipation	0.406	svjetlucati
confession	anticipation	0.406	ispovijed
outdo	anticipation	0.406	nadmašiti
prophylactic	anticipation	0.406	profilaktički
proud	anticipation	0.406	ponos
midwife	anticipation	0.406	primalja
wizard	anticipation	0.406	čarobnjak
headlight	anticipation	0.406	prednje svjetlo
long	anticipation	0.406	dugo
banquet	anticipation	0.406	banket
comfort	anticipation	0.406	udobnost
navigable	anticipation	0.406	plovan
subscribe	anticipation	0.406	pretplatiti se
opponent	anticipation	0.406	protivnik
debenture	anticipation	0.406	zadužnica
deal	anticipation	0.402	Dogovor
symphony	anticipation	0.398	simfonija
saintly	anticipation	0.398	svetački
judiciary	anticipation	0.398	sudstvo
lettered	anticipation	0.398	ispisan slovima
vigil	anticipation	0.398	bdijenje
reliance	anticipation	0.398	oslanjanje
distracting	anticipation	0.398	zbunjujući
mortification	anticipation	0.398	mrtvljenje
balm	anticipation	0.398	balzam
simmer	anticipation	0.398	kuhati na laganoj vatri
top	anticipation	0.398	vrh
obliging	anticipation	0.398	uslužan
efficient	anticipation	0.398	učinkovit
guillotine	anticipation	0.398	giljotina
representing	anticipation	0.398	predstavljanje
death	anticipation	0.398	smrt
assurance	anticipation	0.391	osiguranje
familiarity	anticipation	0.391	familijarnost
depraved	anticipation	0.391	razvratan
condemnation	anticipation	0.391	osuda
undoubted	anticipation	0.391	nesumnjivo
sanctify	anticipation	0.391	posvetiti
diplomacy	anticipation	0.391	diplomacija
antidote	anticipation	0.391	protuotrov
trust	anticipation	0.391	povjerenje
linger	anticipation	0.391	zadržavati se
objective	anticipation	0.391	cilj
chuckle	anticipation	0.391	cerekanje
poke	anticipation	0.391	bocnuti
abeyance	anticipation	0.391	mirovanje
maternal	anticipation	0.391	materinski
art	anticipation	0.391	umjetnost
unfulfilled	anticipation	0.391	neispunjeno
inoculation	anticipation	0.384	inokulacija
simplify	anticipation	0.383	pojednostaviti
depend	anticipation	0.383	ovisiti
chant	anticipation	0.383	pjevati
ram	anticipation	0.383	radna memorija
banger	anticipation	0.383	udarač
playground	anticipation	0.383	igralište
labor	anticipation	0.383	rad
scientist	anticipation	0.383	znanstvenik
good	anticipation	0.383	dobro
humanitarian	anticipation	0.383	humanitarni
failing	anticipation	0.383	neuspješno
hap	anticipation	0.383	hap
dutiful	anticipation	0.383	dužan
hymn	anticipation	0.383	hvalospjev
ship	anticipation	0.383	brod
discretion	anticipation	0.383	diskrecija
undecided	anticipation	0.383	neodlučan
gradual	anticipation	0.375	postupan
navigator	anticipation	0.375	navigator
track	anticipation	0.375	staza
cradle	anticipation	0.375	kolijevka
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	privremeni
clock	anticipation	0.375	sat
mountain	anticipation	0.375	planina
interminable	anticipation	0.375	beskrajan
public	anticipation	0.375	javnost
recurrent	anticipation	0.375	ponavljajući
savor	anticipation	0.375	uživati
abide	anticipation	0.367	pridržavati se
concealed	anticipation	0.367	skriveno
spear	anticipation	0.367	koplje
lesson	anticipation	0.367	lekcija
instructions	anticipation	0.367	upute
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	dvogodišnji
convince	anticipation	0.367	uvjeriti
whim	anticipation	0.367	hir
shiver	anticipation	0.367	drhtaj
towering	anticipation	0.367	veoma visok
musical	anticipation	0.367	glazbeni
offset	anticipation	0.359	pomaknuti
theory	anticipation	0.359	teorija
theology	anticipation	0.359	teologija
undying	anticipation	0.359	besmrtan
timidity	anticipation	0.359	bojažljivost
plump	anticipation	0.359	bucmast
atone	anticipation	0.359	iskupiti se
audience	anticipation	0.357	publika
dietary	anticipation	0.352	dijetetski
consecration	anticipation	0.352	posvećenje
localize	anticipation	0.352	ograničiti
paragon	anticipation	0.352	uzor
store	anticipation	0.352	trgovina
farm	anticipation	0.352	farma
daily	anticipation	0.352	dnevno
cramp	anticipation	0.352	grč
nobility	anticipation	0.352	plemstvo
closure	anticipation	0.352	zatvaranje
edition	anticipation	0.352	izdanje
kindred	anticipation	0.352	rodbina
stripped	anticipation	0.344	ogoljen
errand	anticipation	0.344	zadatak
archaeology	anticipation	0.344	arheologija
mutable	anticipation	0.344	promjenjiv
wireless	anticipation	0.344	bežični
meditate	anticipation	0.344	meditirati
mobile	anticipation	0.344	mobilni
germ	anticipation	0.336	klica
brotherly	anticipation	0.336	bratski
lessen	anticipation	0.336	smanjiti
unbeaten	anticipation	0.336	nepobijeđen
pare	anticipation	0.336	oljuštiti
buddy	anticipation	0.336	prijatelj
unaccountable	anticipation	0.336	neuračunljiv
dove	anticipation	0.328	golubica
