English Word	Emotion	Emotion-Intensity-Score	Norwegian Word
vulgar	disgust	0.719	vulgær
entrails	disgust	0.719	innvoller
disgust	disgust	0.719	avsky
lewd	disgust	0.719	utuktig
muck	disgust	0.719	møkk
bowels	disgust	0.719	Tarmer
garbage	disgust	0.719	søppel
deterioration	disgust	0.719	forverring
contagion	disgust	0.719	smitte
vicious	disgust	0.719	ond
disfigured	disgust	0.719	vansiret
pungent	disgust	0.719	stikkende
gross	disgust	0.719	ekkelt
bloodshed	disgust	0.714	blodsutgytelse
gag	disgust	0.711	kneble
pollute	disgust	0.711	forurense
nausea	disgust	0.711	kvalme
tyrant	disgust	0.711	tyrann
wretched	disgust	0.711	elendig
mortification	disgust	0.711	mortifikasjon
violent	disgust	0.711	voldelig
poisoned	disgust	0.711	forgiftet
nauseate	disgust	0.703	kvalme
slimy	disgust	0.703	slimete
grope	disgust	0.703	famle
slut	disgust	0.703	ludder
nasty	disgust	0.703	ekkel
disgusting	disgust	0.703	motbydelig
depraved	disgust	0.703	fordervet
porn	disgust	0.703	porno
hateful	disgust	0.703	hatefull
vulgarity	disgust	0.703	vulgaritet
noxious	disgust	0.703	skadelig
grime	disgust	0.703	skitt
constipation	disgust	0.703	forstoppelse
secretion	disgust	0.703	sekresjon
poisoning	disgust	0.703	forgiftning
despotism	disgust	0.703	despotisme
measles	disgust	0.696	meslinger
contagious	disgust	0.695	smittsom
obesity	disgust	0.695	fedme
wart	disgust	0.695	vorte
hate	disgust	0.695	hat
hellish	disgust	0.695	helvetes
scum	disgust	0.695	avskum
suicidal	disgust	0.695	suicidal
wretch	disgust	0.695	elendig
abuse	disgust	0.695	misbruke
waste	disgust	0.695	Avfall
intestinal	disgust	0.695	tarm
heartworm	disgust	0.688	hjerteorm
ooze	disgust	0.688	oser
treason	disgust	0.688	forræderi
contaminated	disgust	0.688	forurenset
smut	disgust	0.688	smut
disease	disgust	0.688	sykdom
rabid	disgust	0.688	rabiat
deformed	disgust	0.680	deformert
hell	disgust	0.680	helvete
soulless	disgust	0.680	sjelløs
cholera	disgust	0.680	kolera
bestial	disgust	0.680	bestialsk
antichrist	disgust	0.680	antikrist
freakish	disgust	0.680	freakish
germ	disgust	0.680	kim
detest	disgust	0.680	avsky
pollution	disgust	0.680	forurensing
grimy	disgust	0.680	sotete
abhorrent	disgust	0.680	avskyelig
hatred	disgust	0.680	hat
abominate	disgust	0.680	avskyelig
sickness	disgust	0.680	sykdom
hideous	disgust	0.672	skrekkelig
dictatorship	disgust	0.672	diktatur
loathful	disgust	0.672	avskyelig
greasy	disgust	0.672	fettete
dilapidated	disgust	0.672	falleferdig
inhuman	disgust	0.672	umenneskelig
loathing	disgust	0.672	avsky
obscene	disgust	0.672	obskøn
cess	disgust	0.670	cess
devil	disgust	0.664	djevel
deformity	disgust	0.664	misdannelse
nauseous	disgust	0.664	kvalm
deadly	disgust	0.664	dødelig
swine	disgust	0.664	svin
discrimination	disgust	0.664	diskriminering
abominable	disgust	0.664	avskyelig
masochism	disgust	0.664	masochisme
heretic	disgust	0.664	kjetter
latrines	disgust	0.656	latriner
corruption	disgust	0.656	korrupsjon
poisonous	disgust	0.656	giftig
horror	disgust	0.656	skrekk
nefarious	disgust	0.656	forbrytersk
bacteria	disgust	0.656	bakterie
horrible	disgust	0.656	fryktelig
trash	disgust	0.656	søppel
abortion	disgust	0.656	abort
death	disgust	0.656	død
prejudiced	disgust	0.656	fordomsfull
poison	disgust	0.656	gift
oppression	disgust	0.656	undertrykkelse
goo	disgust	0.656	goo
victimized	disgust	0.656	utsatt
mange	disgust	0.656	mange
sludge	disgust	0.648	slam
trashy	disgust	0.648	søppel
vindictive	disgust	0.648	hevngjerrig
horrid	disgust	0.648	grusomt
ugly	disgust	0.648	stygg
immoral	disgust	0.648	umoralsk
bitch	disgust	0.648	tispe
outhouse	disgust	0.648	uthus
detestation	disgust	0.648	avsky
horrifying	disgust	0.641	skremmende
laxative	disgust	0.641	avføringsmiddel
unsightly	disgust	0.641	skjemmende
derogatory	disgust	0.641	nedsettende
slop	disgust	0.641	pytt
malfeasance	disgust	0.641	funksjonsfeil
spew	disgust	0.641	spy
pimple	disgust	0.641	Kvise
criminality	disgust	0.641	kriminalitet
indecency	disgust	0.641	uanstendighet
cystic	disgust	0.641	cystisk
villainous	disgust	0.641	skurkaktig
queasy	disgust	0.633	kvalm
mildew	disgust	0.633	mugg
oppressive	disgust	0.633	undertrykkende
prostitution	disgust	0.633	prostitusjon
secrete	disgust	0.633	utskille
ulcer	disgust	0.633	magesår
rat	disgust	0.633	rotte
bigoted	disgust	0.633	bigott
perpetrator	disgust	0.633	gjerningspersonen
doomsday	disgust	0.633	dommedag
sinful	disgust	0.633	syndig
degrading	disgust	0.625	nedverdigende
ghastly	disgust	0.625	forferdelig
suffering	disgust	0.625	lidelse
obscenity	disgust	0.625	obskønitet
devilish	disgust	0.625	djevelsk
disgraceful	disgust	0.625	skammelig
persecution	disgust	0.625	forfølgelse
contemptible	disgust	0.625	foraktelig
cuckold	disgust	0.625	hanekold
stools	disgust	0.625	avføring
dastardly	disgust	0.625	elendig
sin	disgust	0.625	synd
gluttony	disgust	0.625	fråtsing
bloated	disgust	0.625	oppblåst
fungus	disgust	0.625	sopp
aghast	disgust	0.625	forferdet
diaper	disgust	0.617	bleie
malicious	disgust	0.617	ondsinnet
polygamy	disgust	0.617	polygami
dying	disgust	0.617	døende
termite	disgust	0.617	termitt
fat	disgust	0.617	fett
deceit	disgust	0.617	bedrageri
atrocious	disgust	0.617	grusomt
guillotine	disgust	0.617	giljotin
tetanus	disgust	0.617	stivkrampe
spoil	disgust	0.617	skjemme bort
crusty	disgust	0.617	sprø
sickly	disgust	0.617	sykelig
louse	disgust	0.617	lus
strangle	disgust	0.617	kvele
betrayal	disgust	0.617	forræderi
loathe	disgust	0.617	avsky
wench	disgust	0.617	venn
infect	disgust	0.617	infisere
violently	disgust	0.609	voldelig
brothel	disgust	0.609	bordell
drool	disgust	0.609	sikle
bleeding	disgust	0.609	blør
deform	disgust	0.609	deformeres
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotasje
venomous	disgust	0.609	giftig
abhor	disgust	0.609	avsky
slander	disgust	0.609	bakvaskelse
hostile	disgust	0.609	fiendtlig
musty	disgust	0.602	muggen
illicit	disgust	0.602	ulovlig
ugliness	disgust	0.602	stygghet
unwashed	disgust	0.602	uvasket
swampy	disgust	0.602	sumpete
deprivation	disgust	0.602	deprivasjon
poaching	disgust	0.602	krypskyting
hag	disgust	0.602	hag
infidel	disgust	0.602	vantro
imprisonment	disgust	0.602	fengsling
traitor	disgust	0.602	forræder
lunacy	disgust	0.602	galskap
queasiness	disgust	0.594	kvalme
hostility	disgust	0.594	fiendtlighet
repelling	disgust	0.594	frastøtende
intoxicated	disgust	0.594	beruset
thug	disgust	0.594	bølle
catastrophe	disgust	0.594	katastrofe
lunatic	disgust	0.594	galning
misery	disgust	0.594	elendighet
venom	disgust	0.594	gift
butcher	disgust	0.594	slakter
toilet	disgust	0.594	toalett
blister	disgust	0.594	blemme
lurid	disgust	0.594	uhyggelig
slug	disgust	0.594	mordersnegle
gut	disgust	0.594	mage
sinner	disgust	0.594	synder
deceitful	disgust	0.594	bedragersk
epidemic	disgust	0.594	epidemi
deteriorated	disgust	0.586	forverret seg
lavatory	disgust	0.586	toalett
unclean	disgust	0.586	urent
prostitute	disgust	0.586	prostituert
incubus	disgust	0.586	inkubus
appalling	disgust	0.586	forferdelig
dreadful	disgust	0.586	fryktelig
pornography	disgust	0.586	pornografi
harass	disgust	0.586	trakassere
squeamish	disgust	0.578	pysete
expulsion	disgust	0.578	utvisning
unfaithful	disgust	0.578	utro
offensive	disgust	0.578	støtende
hypocrite	disgust	0.578	hykler
humiliating	disgust	0.578	ydmykende
larceny	disgust	0.578	tyveri
ruinous	disgust	0.578	ødeleggende
retard	disgust	0.578	tilbakestående
rash	disgust	0.578	utslett
flea	disgust	0.578	loppe
debauchery	disgust	0.578	utskeielser
fiend	disgust	0.578	djevel
quagmire	disgust	0.578	hengemyr
conspirator	disgust	0.578	konspirator
sick	disgust	0.578	syk
mangle	disgust	0.578	mangle
dogsick	disgust	0.570	hundesyk
egregious	disgust	0.570	uhyggelig
flog	disgust	0.570	piske
despise	disgust	0.570	forakte
treacherous	disgust	0.570	forrædersk
oppress	disgust	0.570	undertrykke
swamp	disgust	0.570	sump
messy	disgust	0.570	rotete
spit	disgust	0.570	spytte
dank	disgust	0.570	klam
bastard	disgust	0.570	jævel
devastating	disgust	0.570	ødeleggende
serpent	disgust	0.570	slange
loo	disgust	0.562	loo
indecent	disgust	0.562	uanstendig
insanity	disgust	0.562	galskap
stealing	disgust	0.562	stjele
terrible	disgust	0.562	fryktelig
tyrannical	disgust	0.562	tyrannisk
humiliation	disgust	0.562	ydmykelse
snake	disgust	0.562	slange
sloppy	disgust	0.562	slurvet
sinning	disgust	0.562	synde
harmful	disgust	0.562	skadelig
harlot	disgust	0.562	skjøge
sordid	disgust	0.562	kjipt
enemy	disgust	0.562	fiende
alcoholism	disgust	0.562	alkoholisme
awful	disgust	0.562	fryktelig
ruthless	disgust	0.562	hensynsløs
scoundrel	disgust	0.562	kjeltring
bloody	disgust	0.555	blodig
flabby	disgust	0.555	slapp
odious	disgust	0.555	avskyelig
beastly	disgust	0.555	dyrisk
collusion	disgust	0.555	samarbeid
ridicule	disgust	0.555	latterlig
discriminating	disgust	0.555	diskriminerende
unattractive	disgust	0.555	uattraktiv
insufferable	disgust	0.555	uutholdelig
segregate	disgust	0.555	segregere
arsenic	disgust	0.555	arsenikk
threatening	disgust	0.555	truende
atrophy	disgust	0.555	atrofi
varicella	disgust	0.555	vannkopper
slayer	disgust	0.555	slakter
distaste	disgust	0.555	avsmak
coward	disgust	0.555	feiging
robbery	disgust	0.555	ran
wickedness	disgust	0.555	ondskap
anathema	disgust	0.547	anathema
malevolent	disgust	0.547	ondsinnet
sty	disgust	0.547	sty
pillage	disgust	0.547	plyndring
thief	disgust	0.547	tyv
suffocating	disgust	0.547	kveles
condemnation	disgust	0.547	fordømmelse
deleterious	disgust	0.547	skadelig
slur	disgust	0.547	Sladder
purgatory	disgust	0.547	skjærsilden
attacking	disgust	0.547	angripende
burglar	disgust	0.547	innbruddstyv
ogre	disgust	0.547	ogre
coercion	disgust	0.547	tvang
vesicular	disgust	0.547	vesikulær
miserable	disgust	0.547	elendig
bitterly	disgust	0.547	bittert
sneer	disgust	0.539	hån
greedy	disgust	0.539	grådig
gob	disgust	0.539	gob
repellant	disgust	0.539	frastøtende middel
jealous	disgust	0.539	sjalu
drunken	disgust	0.539	beruset
shame	disgust	0.539	skam
thrash	disgust	0.539	søppel
fatty	disgust	0.539	fet
liar	disgust	0.539	løgner
imprisoned	disgust	0.539	fengslet
sloth	disgust	0.539	dovendyr
repudiation	disgust	0.539	avvisning
disgrace	disgust	0.539	vanære
infidelity	disgust	0.539	utroskap
pig	disgust	0.539	gris
lethal	disgust	0.536	dødelig
burnt	disgust	0.531	brent
brawl	disgust	0.531	slåsskamp
withered	disgust	0.531	visnet
blemish	disgust	0.531	lyte
hydrocephalus	disgust	0.531	hydrocephalus
aberration	disgust	0.531	aberrasjon
smuggler	disgust	0.531	smugler
painful	disgust	0.531	smertefullt
condescension	disgust	0.531	nedlatenhet
intolerant	disgust	0.531	intolerant
blasphemous	disgust	0.531	blasfemisk
lying	disgust	0.531	lyver
hanging	disgust	0.531	hengende
travesty	disgust	0.531	parodi
ruined	disgust	0.531	ruinert
intrusive	disgust	0.531	påtrengende
disintegrate	disgust	0.531	gå i oppløsning
destructive	disgust	0.531	ødeleggende
neurotic	disgust	0.531	nevrotisk
disparaging	disgust	0.523	nedsettende
blighted	disgust	0.523	ødelagt
intolerance	disgust	0.523	intoleranse
mistress	disgust	0.523	elskerinne
avarice	disgust	0.523	grådighet
disgraced	disgust	0.523	vanæret
derogation	disgust	0.523	unntak
rubbish	disgust	0.523	søppel
accusation	disgust	0.523	anklage
incarceration	disgust	0.523	fengsling
tortious	disgust	0.516	skadevoldende
dishonor	disgust	0.516	vanære
stink	disgust	0.516	stinke
grim	disgust	0.516	uhyggelig
rob	disgust	0.516	rane
defraud	disgust	0.516	bedra
sump	disgust	0.516	sump
cringe	disgust	0.516	kleint
vulture	disgust	0.516	gribb
deplorable	disgust	0.516	beklagelig
mite	disgust	0.516	midd
eradication	disgust	0.516	utryddelse
degrade	disgust	0.516	forringe
gutter	disgust	0.516	takrenne
convict	disgust	0.516	dømme
remains	disgust	0.516	rester
betray	disgust	0.516	forråde
daemon	disgust	0.516	demon
sham	disgust	0.509	humbug
distasteful	disgust	0.508	usmakelig
prisoner	disgust	0.508	fange
dreadfully	disgust	0.508	fryktelig
worthless	disgust	0.508	verdiløs
crude	disgust	0.508	grov
delirium	disgust	0.508	delirium
incurable	disgust	0.508	uhelbredelig
smelling	disgust	0.508	luktende
idiocy	disgust	0.508	idioti
resentment	disgust	0.508	harme
bombed	disgust	0.508	bombet
blob	disgust	0.508	blob
cheat	disgust	0.508	jukse
schizophrenia	disgust	0.508	schizofreni
rejection	disgust	0.508	avslag
belittle	disgust	0.508	bagatellisere
glut	disgust	0.508	overflod
disaster	disgust	0.508	katastrofe
distress	disgust	0.508	nød
pest	disgust	0.508	skadedyr
endemic	disgust	0.508	endemisk
theft	disgust	0.500	tyveri
banish	disgust	0.500	forvise
mire	disgust	0.500	myr
flagrant	disgust	0.500	flagrant
derision	disgust	0.500	hån
dirt	disgust	0.500	skitt
screaming	disgust	0.500	skriking
offense	disgust	0.500	fornærmelse
jealousy	disgust	0.500	sjalusi
bribery	disgust	0.500	bestikkelser
polemic	disgust	0.500	polemikk
blight	disgust	0.500	sykdom
impeach	disgust	0.500	riksrett
bitterness	disgust	0.500	bitterhet
taboo	disgust	0.500	tabu
duress	disgust	0.500	tvang
goblin	disgust	0.500	nisse
shackle	disgust	0.500	lenke
idolatry	disgust	0.500	avgudsdyrkelse
greed	disgust	0.500	grådighet
impurity	disgust	0.500	urenhet
tirade	disgust	0.500	tirade
idiot	disgust	0.492	idiot
boil	disgust	0.492	Kok opp
unconscionable	disgust	0.492	samvittighetsløs
disreputable	disgust	0.492	uanstendig
robber	disgust	0.492	raner
malign	disgust	0.492	ondartet
wreck	disgust	0.492	vrak
recession	disgust	0.492	resesjon
gorge	disgust	0.492	kløft
leer	disgust	0.492	leer
ill	disgust	0.492	jeg vil
squirm	disgust	0.492	vri seg
raging	disgust	0.484	rasende
servile	disgust	0.484	servile
mess	disgust	0.484	rot
nappy	disgust	0.484	bleie
possessed	disgust	0.484	besatt
unbearable	disgust	0.484	uutholdelig
occult	disgust	0.484	okkult
contraband	disgust	0.484	smuglergods
snarl	disgust	0.484	snerre
mutiny	disgust	0.484	mytteri
mad	disgust	0.484	gal
affliction	disgust	0.484	lidelse
stain	disgust	0.484	flekk
animosity	disgust	0.484	fiendtlighet
contempt	disgust	0.484	forakt
tramp	disgust	0.484	landstryker
nepotism	disgust	0.484	nepotisme
disrespectful	disgust	0.484	respektløs
defamation	disgust	0.484	ærekrenkelse
inexcusable	disgust	0.484	utilgivelig
aversation	disgust	0.484	averasjon
wasteful	disgust	0.484	uøkonomisk
offender	disgust	0.484	lovbryteren
subjugation	disgust	0.484	underkastelse
illegality	disgust	0.477	ulovlighet
dismal	disgust	0.477	dystert
criminal	disgust	0.477	forbryter
unpleasant	disgust	0.477	ubehagelig
palsy	disgust	0.477	parese
antagonistic	disgust	0.477	antagonistisk
pathetic	disgust	0.477	patetisk
uncaring	disgust	0.477	upassende
suppression	disgust	0.477	undertrykkelse
immorality	disgust	0.477	umoral
mockery	disgust	0.477	hån
outrage	disgust	0.469	raseri
mocking	disgust	0.469	gjøre narr av
wallow	disgust	0.469	velte seg
cough	disgust	0.469	hoste
arrogant	disgust	0.469	arrogant
angry	disgust	0.469	sint
poverty	disgust	0.469	fattigdom
grating	disgust	0.469	rist
livid	disgust	0.469	livlig
aggravation	disgust	0.469	forverring
repellent	disgust	0.469	frastøtende
perspiration	disgust	0.469	svette
banishment	disgust	0.469	forvisning
furious	disgust	0.469	rasende
shoddy	disgust	0.469	lurt
banshee	disgust	0.469	banshee
deceive	disgust	0.461	lure
fool	disgust	0.461	lure
quack	disgust	0.461	kvakk
distorted	disgust	0.461	forvrengt
spider	disgust	0.461	edderkopp
unjustifiable	disgust	0.461	utilbørlig
deplore	disgust	0.461	beklager
spurious	disgust	0.461	falsk
perdition	disgust	0.461	fortapelse
muddy	disgust	0.461	gjørmete
fraudulent	disgust	0.461	uredelig
scar	disgust	0.461	arr
prick	disgust	0.461	stikk
insulting	disgust	0.461	fornærmende
plunder	disgust	0.461	plyndre
recklessness	disgust	0.461	hensynsløshet
stigma	disgust	0.453	stigma
disparage	disgust	0.453	nedsettende
unthinkable	disgust	0.453	utenkelig
disingenuous	disgust	0.453	uærlig
bane	disgust	0.453	bane
dishonest	disgust	0.453	uærlig
aphid	disgust	0.453	bladlus
elimination	disgust	0.453	eliminering
cur	disgust	0.453	cur
selfish	disgust	0.453	selvopptatt
eschew	disgust	0.453	unnvike
dire	disgust	0.453	forferdelig
indignation	disgust	0.453	indignasjon
antipathy	disgust	0.453	antipati
alienate	disgust	0.453	fremmedgjøre
mosquito	disgust	0.445	mygg
piles	disgust	0.445	hauger
pious	disgust	0.445	from
lie	disgust	0.445	å ligge
opium	disgust	0.445	opium
smell	disgust	0.445	lukt
iniquity	disgust	0.445	urettferdighet
caries	disgust	0.445	karies
despair	disgust	0.445	fortvilelse
recalcitrant	disgust	0.445	motstridende
egotistical	disgust	0.445	egoistisk
wasted	disgust	0.445	drita full
vacuous	disgust	0.445	tomrom
bankruptcy	disgust	0.445	konkurser
garish	disgust	0.445	glorete
obnoxious	disgust	0.438	motbydelig
ashamed	disgust	0.438	skammer seg
abject	disgust	0.438	uhyggelig
sticky	disgust	0.438	klissete
scream	disgust	0.438	hyle
hopelessness	disgust	0.438	håpløshet
homeless	disgust	0.438	hjemløs
shun	disgust	0.438	sky
inmate	disgust	0.438	innsatt
alien	disgust	0.438	romvesen
hog	disgust	0.438	svin
aversion	disgust	0.438	aversjon
abnormal	disgust	0.438	unormal
cursing	disgust	0.430	banning
undesirable	disgust	0.430	uønsket
denounce	disgust	0.430	fordømme
witch	disgust	0.430	heks
creature	disgust	0.430	skapning
lusty	disgust	0.430	lystig
illegal	disgust	0.430	ulovlig
debris	disgust	0.430	rester
callous	disgust	0.430	ufølsom
reflux	disgust	0.430	refluks
adverse	disgust	0.430	uheldig
shameless	disgust	0.430	skamløs
separatist	disgust	0.430	separatist
trickery	disgust	0.430	lureri
falsity	disgust	0.430	falskhet
pall	disgust	0.430	pall
defiance	disgust	0.430	trass
incredulous	disgust	0.430	vantro
curse	disgust	0.430	forbannelse
pompous	disgust	0.422	pompøs
socialist	disgust	0.422	sosialist
mistrust	disgust	0.422	mistillit
infantile	disgust	0.422	infantil
wasting	disgust	0.422	sløsing
hairy	disgust	0.422	hårete
nicotine	disgust	0.422	nikotin
denunciation	disgust	0.422	oppsigelse
collapse	disgust	0.422	kollapse
untidy	disgust	0.422	uryddig
ferocious	disgust	0.422	glupsk
ammonia	disgust	0.422	ammoniakk
carelessness	disgust	0.422	uforsiktighet
impure	disgust	0.422	uren
contentious	disgust	0.422	omstridt
bum	disgust	0.422	boms
affront	disgust	0.422	fornærmelse
offend	disgust	0.422	fornærme
tarnish	disgust	0.422	anløpe
idiotic	disgust	0.422	idiotisk
badness	disgust	0.422	ondskap
delinquent	disgust	0.422	kriminell
swarm	disgust	0.422	sverm
hypertrophy	disgust	0.422	hypertrofi
gush	disgust	0.422	fosse
tasteless	disgust	0.422	smakløs
bovine	disgust	0.422	storfe
slush	disgust	0.422	slaps
litigious	disgust	0.414	rettslig
dishonesty	disgust	0.414	uærlighet
vegetative	disgust	0.414	vegetativ
unfavorable	disgust	0.414	ugunstig
displacency	disgust	0.414	fortrengning
illegitimate	disgust	0.414	uekte
sour	disgust	0.414	sur
socialism	disgust	0.414	sosialisme
disobey	disgust	0.414	ikke adlyde
drivel	disgust	0.414	dravel
vampire	disgust	0.414	vampyr
neglected	disgust	0.414	forsømt
murky	disgust	0.414	grumsete
ignorant	disgust	0.406	uvitende
disgruntled	disgust	0.406	misfornøyd
discontinuity	disgust	0.406	diskontinuitet
dislike	disgust	0.406	misliker
unlawful	disgust	0.406	ulovlig
wrongdoing	disgust	0.406	feilhandling
shoplifting	disgust	0.406	butikktyveri
recidivism	disgust	0.406	tilbakefall
outcast	disgust	0.406	utstøtt
bogus	disgust	0.406	tull
displeasure	disgust	0.406	misnøye
repel	disgust	0.406	drive tilbake
falsify	disgust	0.406	forfalske
ungrateful	disgust	0.406	utakknemlig
unkind	disgust	0.406	uvennlig
phony	disgust	0.406	falsk
prosecution	disgust	0.406	tiltale
woe	disgust	0.398	ve
averse	disgust	0.398	uvillig
loon	disgust	0.398	loon
worsening	disgust	0.398	forverring
paucity	disgust	0.398	knapphet
unnatural	disgust	0.398	unaturlig
amphetamines	disgust	0.398	amfetamin
senseless	disgust	0.398	meningsløs
rigor	disgust	0.398	strenghet
subvert	disgust	0.398	undergrave
failure	disgust	0.398	feil
lick	disgust	0.398	slikke
unruly	disgust	0.398	uregjerlig
woefully	disgust	0.398	sørgelig
stingy	disgust	0.398	stikkende
crushing	disgust	0.398	knusende
disdain	disgust	0.398	forakt
insult	disgust	0.393	fornærmelse
averseness	disgust	0.391	motvilje
disrelish	disgust	0.391	disrelish
punished	disgust	0.391	straffet
critter	disgust	0.391	critter
damage	disgust	0.391	skader
scorpion	disgust	0.391	skorpion
diatribe	disgust	0.391	diatribe
muff	disgust	0.391	muff
farcical	disgust	0.391	farseaktig
antisocial	disgust	0.391	asosial
hardened	disgust	0.391	herdet
punishment	disgust	0.391	avstraffelse
bad	disgust	0.391	dårlig
expel	disgust	0.391	utvise
surly	disgust	0.383	surt
lament	disgust	0.383	beklage
illiterate	disgust	0.383	analfabet
divorce	disgust	0.383	skilsmisse
teeming	disgust	0.383	yrende
plagiarism	disgust	0.383	plagiat
eviction	disgust	0.383	utkastelse
orc	disgust	0.383	orc
disappoint	disgust	0.383	skuffe
shabby	disgust	0.383	shabby
presumptuous	disgust	0.383	formastelig
anaconda	disgust	0.383	anakonda
discord	disgust	0.383	uenighet
guilt	disgust	0.383	skyldfølelse
fugitive	disgust	0.383	rømling
irrational	disgust	0.383	irrasjonell
adder	disgust	0.383	huggorm
fulsome	disgust	0.383	fyldig
sacrifices	disgust	0.383	ofre
hypocritical	disgust	0.383	hyklersk
shock	disgust	0.375	sjokk
alienation	disgust	0.375	fremmedgjøring
scoff	disgust	0.375	hån
plight	disgust	0.375	vanskelig situasjon
irritation	disgust	0.375	irritasjon
unworthy	disgust	0.375	uverdig
misconduct	disgust	0.375	dårlig oppførsel
defective	disgust	0.375	defekt
blame	disgust	0.375	skylde på
depressing	disgust	0.375	deprimerende
dislocated	disgust	0.375	forstuet
irritating	disgust	0.375	irriterende
vainly	disgust	0.367	forgjeves
toad	disgust	0.367	padde
powerless	disgust	0.367	maktesløs
coerce	disgust	0.367	tvinge
shuddering	disgust	0.367	grøsser
stripped	disgust	0.367	strippet
revoke	disgust	0.367	tilbakekalle
wimpy	disgust	0.367	pysete
unhealthy	disgust	0.367	usunn
exclusion	disgust	0.367	utelukkelse
disillusionment	disgust	0.367	desillusjon
blatant	disgust	0.367	åpenbart
hurtful	disgust	0.367	sårende
hoax	disgust	0.367	bløff
wimp	disgust	0.367	pyse
cad	disgust	0.367	cad
pitfall	disgust	0.367	fallgruve
squelch	disgust	0.367	squelch
deserted	disgust	0.359	forlatt
damn	disgust	0.359	faen
incompatible	disgust	0.359	uforenlig
dispose	disgust	0.359	kaste
oddity	disgust	0.359	raritet
rebellion	disgust	0.359	opprør
ineptitude	disgust	0.359	udugelighet
bug	disgust	0.359	feil
disobedience	disgust	0.359	ulydighet
inept	disgust	0.352	udugelig
litigate	disgust	0.352	saksøke
dismissal	disgust	0.352	avskjedigelse
cutting	disgust	0.352	kutting
untoward	disgust	0.352	uheldig
displeased	disgust	0.352	misfornøyd
censor	disgust	0.352	sensor
ridiculous	disgust	0.352	latterlig
compost	disgust	0.352	kompost
frustrate	disgust	0.352	frustrere
misbehavior	disgust	0.352	feil oppførsel
lawyer	disgust	0.352	advokat
crushed	disgust	0.352	knust
flesh	disgust	0.352	kjøtt
uncertain	disgust	0.352	usikker
obi	disgust	0.352	obi
flinch	disgust	0.352	rykke til
fierce	disgust	0.352	voldsom
wrongful	disgust	0.352	urettmessig
depreciate	disgust	0.344	avskrive
disapprove	disgust	0.344	mislike
tearful	disgust	0.344	tårevåt
grumble	disgust	0.336	beklage
unsettled	disgust	0.336	uoppgjort
annoy	disgust	0.336	irritere
exigent	disgust	0.336	krevende
heartsick	disgust	0.336	hjertesyk
lawsuit	disgust	0.336	rettssak
discoloration	disgust	0.336	misfarging
lumpy	disgust	0.336	klumpete
daft	disgust	0.336	tåpelig
blunder	disgust	0.336	tabbe
discontent	disgust	0.336	misnøye
bickering	disgust	0.336	krangling
thoughtless	disgust	0.336	tankeløs
disliked	disgust	0.336	mislikte
disinclination	disgust	0.336	disinklinasjon
distrust	disgust	0.336	mistro
disallowed	disgust	0.336	ikke tillatt
instability	disgust	0.328	ustabilitet
hydrophobia	disgust	0.328	hydrofobi
whine	disgust	0.328	sutre
inhibit	disgust	0.328	hemme
excluded	disgust	0.328	ekskludert
provoking	disgust	0.328	provoserende
grievance	disgust	0.328	klagemål
unmanageable	disgust	0.328	uhåndterlig
sly	disgust	0.328	slu
exasperation	disgust	0.328	fortvilelse
cacophony	disgust	0.328	kakofoni
unsatisfactory	disgust	0.328	utilfredsstillende
disappointed	disgust	0.328	skuffet
materialist	disgust	0.328	materialist
misleading	disgust	0.321	villedende
mishap	disgust	0.320	uhell
soot	disgust	0.320	sot
humbug	disgust	0.320	humbug
disclaim	disgust	0.320	fraskrive seg
annoyance	disgust	0.320	irritasjon
disapproving	disgust	0.320	misbilligende
disservice	disgust	0.320	bjørnetjeneste
reproach	disgust	0.320	bebreidelse
confined	disgust	0.320	innesperret
unequal	disgust	0.320	ulik
rags	disgust	0.320	filler
groan	disgust	0.320	stønn
soil	disgust	0.312	jord
inappropriate	disgust	0.312	upassende
criticize	disgust	0.312	kritisere
disincline	disgust	0.312	disincline
theism	disgust	0.312	teisme
depreciated	disgust	0.312	avskrevet
inconsiderate	disgust	0.312	hensynsløs
overpriced	disgust	0.312	overpriset
stomach	disgust	0.312	mage
burke	disgust	0.312	burke
sneeze	disgust	0.312	nyse
gall	disgust	0.305	galle
bang	disgust	0.305	bang
inadmissible	disgust	0.305	ikke tillatt
unfriendly	disgust	0.305	uvennlig
unaccountable	disgust	0.305	uansvarlig
disparity	disgust	0.305	misforhold
latent	disgust	0.305	latent
disliking	disgust	0.305	misliker
shack	disgust	0.305	skur
grumpy	disgust	0.305	grinete
coop	disgust	0.304	coop
disappointment	disgust	0.297	skuffelse
scold	disgust	0.297	skjenne
delay	disgust	0.297	forsinkelse
congress	disgust	0.297	kongress
growling	disgust	0.297	knurring
backwards	disgust	0.297	bakover
soreness	disgust	0.297	sårhet
disregarded	disgust	0.297	sett bort fra
rogue	disgust	0.297	useriøs
lonely	disgust	0.297	ensom
notoriety	disgust	0.289	beryktethet
catechism	disgust	0.289	katekisme
flop	disgust	0.289	flopp
infamous	disgust	0.289	beryktet
janitor	disgust	0.289	vaktmester
nettle	disgust	0.289	brennesle
saturated	disgust	0.281	mettet
prohibited	disgust	0.281	forbudt
gaby	disgust	0.281	gaby
wince	disgust	0.281	krympe
desist	disgust	0.281	avstå
unfair	disgust	0.281	urettferdig
