English Word	Emotion	Emotion-Intensity-Score	Czech Word
prescient	anticipation	0.648	prozíravý
treasure	anticipation	0.648	poklad
erotic	anticipation	0.641	erotický
revolution	anticipation	0.641	revoluce
launch	anticipation	0.641	zahájení
reckoning	anticipation	0.641	zúčtování
prognosis	anticipation	0.641	prognóza
happiness	anticipation	0.641	štěstí
celebrated	anticipation	0.641	oslavil
receiving	anticipation	0.641	přijímání
possibility	anticipation	0.641	možnost
expedition	anticipation	0.641	expedice
bride	anticipation	0.641	nevěsta
engaged	anticipation	0.641	zasnoubený
anxious	anticipation	0.641	úzkostný
hype	anticipation	0.641	humbuk
spectacular	anticipation	0.641	okázalý
award	anticipation	0.641	cena
prepare	anticipation	0.633	připravit
coming	anticipation	0.633	příchod
graduation	anticipation	0.633	promoce
destiny	anticipation	0.633	osud
miracle	anticipation	0.633	zázrak
beware	anticipation	0.633	pozor
succeed	anticipation	0.633	povést se
passionate	anticipation	0.633	vášnivý
birthday	anticipation	0.633	narozeniny
passion	anticipation	0.633	vášeň
ominous	anticipation	0.633	zlověstný
captivate	anticipation	0.633	upoutat
vision	anticipation	0.633	vidění
delight	anticipation	0.633	rozkoš
curious	anticipation	0.633	zvědavý
firstborn	anticipation	0.633	prvorozený
await	anticipation	0.633	čekat
triumphant	anticipation	0.625	triumfální
escape	anticipation	0.625	uniknout
optimism	anticipation	0.625	optimismus
retirement	anticipation	0.625	odchod do důchodu
foresee	anticipation	0.625	předvídat
inspiration	anticipation	0.625	inspirace
ripen	anticipation	0.625	dozrát
gift	anticipation	0.625	dárek
revival	anticipation	0.625	obrození
lust	anticipation	0.625	chtíč
risky	anticipation	0.617	riskantní
foreboding	anticipation	0.617	předtucha
bloom	anticipation	0.617	květ
verge	anticipation	0.617	krajnice
embrace	anticipation	0.617	objetí
destined	anticipation	0.617	určený
surprisingly	anticipation	0.617	překvapivě
ambition	anticipation	0.617	ctižádost
simmering	anticipation	0.617	dusit
enchanting	anticipation	0.617	okouzlující
foresight	anticipation	0.617	předvídavost
lookout	anticipation	0.609	pozor
anxiety	anticipation	0.609	úzkost
forecast	anticipation	0.609	předpověď
seductive	anticipation	0.609	svůdný
bonus	anticipation	0.609	bonus
succeeding	anticipation	0.609	uspět
matrimony	anticipation	0.609	manželství
magical	anticipation	0.609	magický
alerts	anticipation	0.609	upozornění
winner	anticipation	0.602	vítěz
applicant	anticipation	0.602	žadatel
fulfillment	anticipation	0.602	splnění
deserve	anticipation	0.602	zasloužit si
inspire	anticipation	0.602	inspirovat
foreseen	anticipation	0.602	předvídané
intended	anticipation	0.602	zamýšlený
boomerang	anticipation	0.602	bumerang
picnic	anticipation	0.602	piknik
longing	anticipation	0.602	touha
revenge	anticipation	0.602	pomsta
success	anticipation	0.602	úspěch
diagnosis	anticipation	0.602	diagnóza
visionary	anticipation	0.602	vizionář
prophetic	anticipation	0.602	prorocký
entertaining	anticipation	0.602	zábavný
nervous	anticipation	0.602	nervový
illuminate	anticipation	0.594	osvětlit
accelerate	anticipation	0.594	urychlit
advent	anticipation	0.594	příchod
romance	anticipation	0.594	romantika
result	anticipation	0.594	výsledek
arrive	anticipation	0.594	přijet
momentum	anticipation	0.594	hybnost
buzz	anticipation	0.594	bzučet
rekindle	anticipation	0.594	znovu zapálit
preparedness	anticipation	0.594	připravenost
acquiring	anticipation	0.594	získávání
luck	anticipation	0.594	štěstí
marry	anticipation	0.594	vdávat se
predict	anticipation	0.589	předpovědět
money	anticipation	0.586	peníze
auspices	anticipation	0.586	záštity
uplift	anticipation	0.586	povznesení
fiesta	anticipation	0.586	fiesta
enjoying	anticipation	0.586	užívat si
preparation	anticipation	0.586	příprava
raffle	anticipation	0.586	tombola
investigation	anticipation	0.586	vyšetřování
progression	anticipation	0.586	postup
overdue	anticipation	0.586	zpožděný
crave	anticipation	0.586	toužit
impatient	anticipation	0.586	netrpělivý
enthusiast	anticipation	0.586	nadšenec
flirt	anticipation	0.586	flirtovat
seek	anticipation	0.586	hledat
sequel	anticipation	0.586	pokračování
presumption	anticipation	0.586	předpoklad
delightful	anticipation	0.586	rozkošný
gambling	anticipation	0.586	hazardní hry
immerse	anticipation	0.586	ponořit
endeavor	anticipation	0.586	usilovat
experiment	anticipation	0.580	experiment
enjoy	anticipation	0.578	užívat si
completing	anticipation	0.578	dokončení
clamor	anticipation	0.578	křik
angling	anticipation	0.578	rybaření
majestic	anticipation	0.578	majestátní
divination	anticipation	0.578	věštění
transcendence	anticipation	0.578	transcendence
thriving	anticipation	0.578	prosperující
excavation	anticipation	0.578	vykopávka
thirst	anticipation	0.578	žízeň
remedy	anticipation	0.578	lék
harvest	anticipation	0.578	sklizeň
risk	anticipation	0.578	riziko
healing	anticipation	0.578	léčení
heavenly	anticipation	0.578	nebeský
inviting	anticipation	0.578	zvoucí
precarious	anticipation	0.578	nejistý
attainable	anticipation	0.578	dosažitelný
blessing	anticipation	0.578	požehnání
prosper	anticipation	0.578	prosperovat
tease	anticipation	0.570	vtipálek
plan	anticipation	0.570	plán
sweetheart	anticipation	0.570	miláček
zest	anticipation	0.570	říz
magnificence	anticipation	0.570	velkolepost
ultimate	anticipation	0.570	Ultimátni
emancipation	anticipation	0.570	emancipace
restlessness	anticipation	0.570	neklid
finally	anticipation	0.570	Konečně
intimate	anticipation	0.570	intimní
omen	anticipation	0.570	znamení
matchmaker	anticipation	0.570	dohazovač
gambler	anticipation	0.570	hazardní hráč
prospectively	anticipation	0.570	výhledově
dare	anticipation	0.570	odvážit se
warned	anticipation	0.570	varoval
invite	anticipation	0.570	pozvat
mysterious	anticipation	0.562	tajemný
accolade	anticipation	0.562	vyznamenání
lover	anticipation	0.562	milenec
expose	anticipation	0.562	odhalit
enchant	anticipation	0.562	okouzlit
attempt	anticipation	0.562	pokus
festival	anticipation	0.562	festival
exalt	anticipation	0.562	oslavovat
rejoice	anticipation	0.562	radovat se
independence	anticipation	0.562	nezávislost
expected	anticipation	0.562	očekávaný
fanfare	anticipation	0.562	fanfára
immortality	anticipation	0.562	nesmrtelnost
quicken	anticipation	0.562	zrychlit
parade	anticipation	0.562	průvod
fun	anticipation	0.562	zábava
predilection	anticipation	0.562	záliba
champion	anticipation	0.562	mistr
forewarned	anticipation	0.562	předem varován
hypothesis	anticipation	0.562	hypotéza
trophy	anticipation	0.562	trofej
shopping	anticipation	0.555	nakupování
salvation	anticipation	0.555	spása
feeling	anticipation	0.555	pocit
speculative	anticipation	0.555	spekulativní
oracle	anticipation	0.555	věštec
heroism	anticipation	0.555	hrdinství
boisterous	anticipation	0.555	bouřlivý
grasping	anticipation	0.555	uchopení
uneasiness	anticipation	0.555	neklid
curiosity	anticipation	0.555	zvědavost
happy	anticipation	0.555	šťastný
rejoicing	anticipation	0.555	radovat se
fate	anticipation	0.555	osud
liberty	anticipation	0.555	svoboda
unfold	anticipation	0.555	rozvinout
amour	anticipation	0.555	amour
lovely	anticipation	0.555	půvabný
splendor	anticipation	0.555	nádhera
grow	anticipation	0.555	růst
glimmer	anticipation	0.547	záblesk
incite	anticipation	0.547	podněcovat
abundance	anticipation	0.547	hojnost
resultant	anticipation	0.547	výsledný
probability	anticipation	0.547	pravděpodobnost
recreational	anticipation	0.547	rekreační
glory	anticipation	0.547	sláva
agape	anticipation	0.547	agapé
delighted	anticipation	0.547	potěšen
changeable	anticipation	0.547	měnitelný
convergence	anticipation	0.547	konvergence
bountiful	anticipation	0.547	bohatý
warn	anticipation	0.547	varovat
monetary	anticipation	0.547	měnový
sorcery	anticipation	0.547	čarodějnictví
morrow	anticipation	0.547	zítřek
apprehensive	anticipation	0.547	obavami
hungry	anticipation	0.547	hladový
vote	anticipation	0.547	hlasování
suspicious	anticipation	0.547	podezřelý
pray	anticipation	0.547	modlit se
leisure	anticipation	0.547	volný čas
hunting	anticipation	0.539	lov
sensual	anticipation	0.539	smyslný
tempest	anticipation	0.539	bouře
auction	anticipation	0.539	aukce
ballot	anticipation	0.539	hlasování
grandchildren	anticipation	0.539	vnoučata
hankering	anticipation	0.539	toužení
entertainment	anticipation	0.539	zábava
merge	anticipation	0.539	spojit
exceed	anticipation	0.539	překročit
vindication	anticipation	0.539	ospravedlnění
blessings	anticipation	0.539	požehnání
inquiry	anticipation	0.539	poptávka
bounty	anticipation	0.539	odměna
worrying	anticipation	0.539	znepokojující
contingent	anticipation	0.539	kontingent
glad	anticipation	0.536	rád
harbinger	anticipation	0.531	předzvěst
magnificent	anticipation	0.531	velkolepý
virginity	anticipation	0.531	panenství
stealthy	anticipation	0.531	kradmý
appeal	anticipation	0.531	odvolání
forming	anticipation	0.531	formování
celestial	anticipation	0.531	nebeský
raving	anticipation	0.531	nepříčetný
deliverance	anticipation	0.531	vysvobození
feat	anticipation	0.531	výkon
cheer	anticipation	0.531	jásot
responsive	anticipation	0.531	citlivý
hurried	anticipation	0.531	spěchal
betrothed	anticipation	0.531	snoubenec
overthrow	anticipation	0.531	svržení
spirits	anticipation	0.531	duchy
dread	anticipation	0.531	strach
visitor	anticipation	0.531	návštěvník
wait	anticipation	0.523	Počkejte
revive	anticipation	0.523	oživit
watch	anticipation	0.523	hodinky
hunter	anticipation	0.523	lovec
radiance	anticipation	0.523	záře
planning	anticipation	0.523	plánování
germination	anticipation	0.523	klíčení
competition	anticipation	0.523	soutěž
preparatory	anticipation	0.523	přípravný
prognostic	anticipation	0.523	prognostický
beaming	anticipation	0.523	zářící
cheery	anticipation	0.523	radostný
prevail	anticipation	0.523	převažovat
importance	anticipation	0.523	důležitost
notification	anticipation	0.523	oznámení
explosive	anticipation	0.523	explozivní
pleasant	anticipation	0.523	příjemný
ultimately	anticipation	0.523	nakonec
child	anticipation	0.523	dítě
haste	anticipation	0.523	spěch
prophet	anticipation	0.523	prorok
recreation	anticipation	0.516	rekreace
present	anticipation	0.516	současnost, dárek
time	anticipation	0.516	čas
sensuality	anticipation	0.516	smyslnost
owing	anticipation	0.516	dlužno
loom	anticipation	0.516	tkalcovský stav
begun	anticipation	0.516	začalo
salary	anticipation	0.516	plat
celebrity	anticipation	0.516	osobnost
treat	anticipation	0.516	zacházet
chocolate	anticipation	0.516	čokoláda
caution	anticipation	0.516	Pozor
fermentation	anticipation	0.516	kvašení
uncontrollable	anticipation	0.516	neovladatelný
precious	anticipation	0.516	drahocenný
compensate	anticipation	0.516	kompenzovat
endanger	anticipation	0.516	ohrozit
renovation	anticipation	0.516	renovace
signify	anticipation	0.508	znamenat
vigilance	anticipation	0.508	bdělost
prerequisite	anticipation	0.508	předpoklad
perfection	anticipation	0.508	dokonalost
cultivate	anticipation	0.508	kultivovat
develop	anticipation	0.508	rozvíjet
cue	anticipation	0.508	tágo
exigent	anticipation	0.508	naléhavý
transitional	anticipation	0.508	přechodný
commemoration	anticipation	0.508	připomenutí
intermission	anticipation	0.508	přestávka
elevation	anticipation	0.508	nadmořská výška
infant	anticipation	0.508	kojenec
practise	anticipation	0.508	praxe
contemplation	anticipation	0.508	rozjímání
dreadful	anticipation	0.508	strašlivý
wilderness	anticipation	0.508	divočina
horizon	anticipation	0.508	horizont
sneaking	anticipation	0.500	plížení
uphill	anticipation	0.500	do kopce
puppy	anticipation	0.500	štěně
blindfold	anticipation	0.500	páska přes oči
unbridled	anticipation	0.500	nespoutaný
horoscope	anticipation	0.500	horoskop
airport	anticipation	0.500	LETIŠTĚ
reconciliation	anticipation	0.500	smíření
advocacy	anticipation	0.500	obhajoba
litigate	anticipation	0.500	soudní spor
sunny	anticipation	0.500	slunný
intuitively	anticipation	0.500	intuitivně
hero	anticipation	0.500	hrdina
ardent	anticipation	0.500	vroucí
commemorate	anticipation	0.500	připomínat
romantic	anticipation	0.500	romantický
doomsday	anticipation	0.500	soudný den
ready	anticipation	0.500	připraven
nascent	anticipation	0.500	rodící se
invocation	anticipation	0.500	vyvolání
depart	anticipation	0.500	odejít
undisclosed	anticipation	0.500	nezveřejněno
attendance	anticipation	0.500	účast
peril	anticipation	0.500	nebezpečí
income	anticipation	0.500	příjem
calculation	anticipation	0.500	výpočet
zeal	anticipation	0.500	horlivost
eventuality	anticipation	0.500	možnost
favorable	anticipation	0.500	příznivý
utopian	anticipation	0.500	utopista
swim	anticipation	0.500	plavat
proceeding	anticipation	0.492	řízení
eventual	anticipation	0.492	eventuální
heyday	anticipation	0.492	rozkvět
undertaking	anticipation	0.492	závazek
improvise	anticipation	0.492	improvizovat
inauguration	anticipation	0.492	inaugurace
consequent	anticipation	0.492	následný
perspective	anticipation	0.492	perspektivní
defense	anticipation	0.492	obrana
repay	anticipation	0.492	splatit
gaping	anticipation	0.492	zející
youth	anticipation	0.492	mládí
parole	anticipation	0.492	čestné slovo
worry	anticipation	0.492	trápit se
bless	anticipation	0.492	žehnat
restorative	anticipation	0.492	obnovující
court	anticipation	0.492	soud
highest	anticipation	0.491	nejvyšší
shortly	anticipation	0.484	zakrátko
auspicious	anticipation	0.484	příznivý
princely	anticipation	0.484	knížecí
correspondence	anticipation	0.484	korespondence
generosity	anticipation	0.484	velkorysost
sparkle	anticipation	0.484	Jiskra
voluptuous	anticipation	0.484	smyslný
happen	anticipation	0.484	stát se
tremor	anticipation	0.484	třes
letter	anticipation	0.484	dopis
vow	anticipation	0.484	slib
sharpen	anticipation	0.484	zaostřit
duel	anticipation	0.484	souboj
conjure	anticipation	0.484	vykouzlit
threaten	anticipation	0.484	vyhrožovat
god	anticipation	0.484	Bůh
engulf	anticipation	0.484	pohltit
unexplained	anticipation	0.484	nevysvětlitelné
contagion	anticipation	0.484	nákaza
glorify	anticipation	0.477	velebit
submit	anticipation	0.477	Předložit
enroll	anticipation	0.477	zapsat
unification	anticipation	0.477	unifikace
gravitate	anticipation	0.477	přitahovat
glide	anticipation	0.477	klouzat
accompaniment	anticipation	0.477	doprovod
cherish	anticipation	0.477	milovat
adore	anticipation	0.477	uctívat
powerful	anticipation	0.477	silný
clue	anticipation	0.477	vodítko
medal	anticipation	0.477	medaile
contemplate	anticipation	0.477	rozjímat
perilous	anticipation	0.477	nebezpečný
determinate	anticipation	0.477	určit
arbitration	anticipation	0.477	arbitráž
recipient	anticipation	0.477	příjemce
onset	anticipation	0.477	počátek
predispose	anticipation	0.477	učinit náchylným
score	anticipation	0.477	skóre
torture	anticipation	0.477	mučení
glow	anticipation	0.477	záře
praiseworthy	anticipation	0.473	chvályhodný
football	anticipation	0.469	Fotbal
scare	anticipation	0.469	vyděsit
elite	anticipation	0.469	elita
unknown	anticipation	0.469	neznámý
precursor	anticipation	0.469	předchůdce
pry	anticipation	0.469	vypáčit
providing	anticipation	0.469	poskytování
sweets	anticipation	0.469	cukroví
cautious	anticipation	0.469	opatrný
opera	anticipation	0.469	opera
motion	anticipation	0.469	pohyb
cash	anticipation	0.469	hotovost
creeping	anticipation	0.469	plíživý
invoke	anticipation	0.469	vyvolat
star	anticipation	0.469	hvězda
shaky	anticipation	0.469	nejistý
production	anticipation	0.469	Výroba
successful	anticipation	0.469	úspěšný
immediately	anticipation	0.469	ihned
dawn	anticipation	0.469	svítání
starry	anticipation	0.469	hvězdnatý
unsurpassed	anticipation	0.469	nepřekonatelné
completion	anticipation	0.469	dokončení
hire	anticipation	0.469	pronájem
fete	anticipation	0.469	slavnost
commemorative	anticipation	0.461	pamětní
shining	anticipation	0.461	zářící
testament	anticipation	0.461	testament
pay	anticipation	0.461	platit
alive	anticipation	0.461	naživu
plight	anticipation	0.461	vážná situace
preliminary	anticipation	0.461	předběžný
overture	anticipation	0.461	předehra
sanctuary	anticipation	0.461	svatyně
regatta	anticipation	0.461	regata
draft	anticipation	0.461	návrh
synchronize	anticipation	0.461	synchronizovat
soundness	anticipation	0.461	solidnost
extricate	anticipation	0.461	vyprostit
excel	anticipation	0.461	vynikat
punt	anticipation	0.461	pramice
untold	anticipation	0.461	nevýslovný
brilliant	anticipation	0.461	brilantní
cheerfulness	anticipation	0.461	veselí
jeopardy	anticipation	0.461	ohrožení
friendly	anticipation	0.461	přátelský
mail	anticipation	0.461	pošta
unexpected	anticipation	0.453	neočekávané
basketball	anticipation	0.453	Basketball
inaugural	anticipation	0.453	inaugurační
supremacy	anticipation	0.453	svrchovanost
rehabilitation	anticipation	0.453	rehabilitace
intimately	anticipation	0.453	důvěrně
career	anticipation	0.453	kariéra
prevention	anticipation	0.453	prevence
renovate	anticipation	0.453	renovovat
compliment	anticipation	0.453	kompliment
prologue	anticipation	0.453	prolog
elegance	anticipation	0.453	elegance
complement	anticipation	0.453	doplněk
flinch	anticipation	0.453	ucuknout
infinity	anticipation	0.453	nekonečno
perpetuity	anticipation	0.453	věčnost
sunset	anticipation	0.453	západ slunce
improve	anticipation	0.453	zlepšit
fitting	anticipation	0.445	kování
confidence	anticipation	0.445	důvěra
concealment	anticipation	0.445	zatajení
sweet	anticipation	0.445	bonbón
perfect	anticipation	0.445	perfektní
epidemic	anticipation	0.445	epidemický
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	dobrovolník
share	anticipation	0.445	podíl
surround	anticipation	0.445	obklopit
conjecture	anticipation	0.445	dohad
sun	anticipation	0.445	slunce
veracity	anticipation	0.445	pravdivost
serial	anticipation	0.438	seriál
angel	anticipation	0.438	anděl
aloha	anticipation	0.438	aloha
saint	anticipation	0.438	svatý
tickle	anticipation	0.438	šimrání
superstitious	anticipation	0.438	pověrčivý
ferment	anticipation	0.438	kvasit
conservation	anticipation	0.438	zachování
devout	anticipation	0.438	zbožný
respect	anticipation	0.438	úcta
reconstruction	anticipation	0.438	rekonstrukce
goodness	anticipation	0.438	dobrota
reconstruct	anticipation	0.438	rekonstruovat
faith	anticipation	0.438	víra
recombination	anticipation	0.438	rekombinace
prepared	anticipation	0.438	připravený
rabid	anticipation	0.438	vzteklý
plea	anticipation	0.438	prosba
medical	anticipation	0.438	lékařský
passenger	anticipation	0.438	cestující
charitable	anticipation	0.430	charitativní
tabulate	anticipation	0.430	tabelovat
peace	anticipation	0.430	mír
install	anticipation	0.430	Nainstalujte
serenity	anticipation	0.430	klid
venerable	anticipation	0.430	ctihodný
spa	anticipation	0.430	lázně
labyrinth	anticipation	0.430	labyrint
luscious	anticipation	0.430	lahodný
perpetuate	anticipation	0.430	zvěčnit
strategist	anticipation	0.430	stratég
unverified	anticipation	0.430	neověřeno
tribunal	anticipation	0.430	tribunál
clap	anticipation	0.430	tleskat
peaceful	anticipation	0.422	klidný
patience	anticipation	0.422	trpělivost
unresolved	anticipation	0.422	nevyřešené
worship	anticipation	0.422	uctívání
edification	anticipation	0.422	poučení
oasis	anticipation	0.422	oáza
grin	anticipation	0.422	úsměv
revere	anticipation	0.422	ctít
candid	anticipation	0.422	upřímný
vista	anticipation	0.422	průhled
conspirator	anticipation	0.422	spiklenec
adrift	anticipation	0.422	unášení
recognizable	anticipation	0.422	rozpoznatelný
volatility	anticipation	0.422	volatilita
forestall	anticipation	0.422	předejít
laughter	anticipation	0.422	smích
continue	anticipation	0.414	pokračovat
ongoing	anticipation	0.414	pokračující
astrologer	anticipation	0.414	astrolog
mediate	anticipation	0.414	zprostředkující
punctual	anticipation	0.414	přesný
grant	anticipation	0.414	grant
morn	anticipation	0.414	jitro
pretty	anticipation	0.414	pěkný
withstand	anticipation	0.414	odolat
frisky	anticipation	0.414	skotačivý
thought	anticipation	0.414	myslel
probation	anticipation	0.414	zkušební doba
ordination	anticipation	0.414	vysvěcení
calls	anticipation	0.414	hovory
detainee	anticipation	0.414	zadržená osoba
craps	anticipation	0.414	kecy
weigh	anticipation	0.414	vážit
proficiency	anticipation	0.414	odbornost
sing	anticipation	0.411	zpívat
continuation	anticipation	0.406	pokračování
university	anticipation	0.406	univerzita
chicane	anticipation	0.406	šikana
nurture	anticipation	0.406	živit
mother	anticipation	0.406	matka
punished	anticipation	0.406	potrestán
twinkle	anticipation	0.406	blikat
confession	anticipation	0.406	zpověď
outdo	anticipation	0.406	překonat
prophylactic	anticipation	0.406	profylaktický
proud	anticipation	0.406	hrdý
midwife	anticipation	0.406	porodní asistentka
wizard	anticipation	0.406	kouzelník
headlight	anticipation	0.406	světlomet
long	anticipation	0.406	dlouho
banquet	anticipation	0.406	hostina
comfort	anticipation	0.406	pohodlí
navigable	anticipation	0.406	splavný
subscribe	anticipation	0.406	předplatit
opponent	anticipation	0.406	oponent
debenture	anticipation	0.406	dluhopis
deal	anticipation	0.402	obchod
symphony	anticipation	0.398	symfonie
saintly	anticipation	0.398	svatý
judiciary	anticipation	0.398	justiční
lettered	anticipation	0.398	s písmeny
vigil	anticipation	0.398	bdění
reliance	anticipation	0.398	důvěra
distracting	anticipation	0.398	rozptylující
mortification	anticipation	0.398	umrtvování
balm	anticipation	0.398	balzám
simmer	anticipation	0.398	vřít
top	anticipation	0.398	horní
obliging	anticipation	0.398	zavazující
efficient	anticipation	0.398	účinný
guillotine	anticipation	0.398	gilotina
representing	anticipation	0.398	zastupující
death	anticipation	0.398	smrt
assurance	anticipation	0.391	ujištění
familiarity	anticipation	0.391	obeznámenost
depraved	anticipation	0.391	zhýralý
condemnation	anticipation	0.391	odsouzení
undoubted	anticipation	0.391	nesporný
sanctify	anticipation	0.391	posvětit
diplomacy	anticipation	0.391	diplomacie
antidote	anticipation	0.391	protijed
trust	anticipation	0.391	důvěra
linger	anticipation	0.391	prodlévat
objective	anticipation	0.391	objektivní
chuckle	anticipation	0.391	smát se
poke	anticipation	0.391	strčit
abeyance	anticipation	0.391	suspenze
maternal	anticipation	0.391	mateřský
art	anticipation	0.391	umění
unfulfilled	anticipation	0.391	nesplněno
inoculation	anticipation	0.384	očkování
simplify	anticipation	0.383	zjednodušit
depend	anticipation	0.383	záviset
chant	anticipation	0.383	zpívat
ram	anticipation	0.383	RAM
banger	anticipation	0.383	petarda
playground	anticipation	0.383	hřiště
labor	anticipation	0.383	práce
scientist	anticipation	0.383	vědec
good	anticipation	0.383	dobrý
humanitarian	anticipation	0.383	humanitární
failing	anticipation	0.383	selhávající
hap	anticipation	0.383	dobře
dutiful	anticipation	0.383	svědomitý
hymn	anticipation	0.383	hymnus
ship	anticipation	0.383	loď
discretion	anticipation	0.383	uvážení
undecided	anticipation	0.383	nerozhodný
gradual	anticipation	0.375	postupný
navigator	anticipation	0.375	navigátor
track	anticipation	0.375	dráha
cradle	anticipation	0.375	kolébka
sterling	anticipation	0.375	sterling
interim	anticipation	0.375	prozatímní
clock	anticipation	0.375	hodiny
mountain	anticipation	0.375	hora
interminable	anticipation	0.375	nekonečný
public	anticipation	0.375	veřejnost
recurrent	anticipation	0.375	opakující se
savor	anticipation	0.375	vychutnat
abide	anticipation	0.367	dodržet
concealed	anticipation	0.367	skrytý
spear	anticipation	0.367	kopí
lesson	anticipation	0.367	lekce
instructions	anticipation	0.367	instrukce
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	dvouletý
convince	anticipation	0.367	přesvědčit
whim	anticipation	0.367	rozmar
shiver	anticipation	0.367	zachvění
towering	anticipation	0.367	tyčící se
musical	anticipation	0.367	hudební
offset	anticipation	0.359	offset
theory	anticipation	0.359	teorie
theology	anticipation	0.359	teologie
undying	anticipation	0.359	nehynoucí
timidity	anticipation	0.359	plachost
plump	anticipation	0.359	baculatý
atone	anticipation	0.359	odčinit
audience	anticipation	0.357	publikum
dietary	anticipation	0.352	dietní
consecration	anticipation	0.352	zasvěcení
localize	anticipation	0.352	lokalizovat
paragon	anticipation	0.352	vzor
store	anticipation	0.352	ukládat
farm	anticipation	0.352	farma
daily	anticipation	0.352	denně
cramp	anticipation	0.352	křeč
nobility	anticipation	0.352	šlechta
closure	anticipation	0.352	uzavření
edition	anticipation	0.352	edice
kindred	anticipation	0.352	příbuzenství
stripped	anticipation	0.344	svlékl
errand	anticipation	0.344	pochůzka
archaeology	anticipation	0.344	archeologie
mutable	anticipation	0.344	proměnlivý
wireless	anticipation	0.344	bezdrátový
meditate	anticipation	0.344	přemýšlet
mobile	anticipation	0.344	mobilní, pohybliví
germ	anticipation	0.336	zárodek
brotherly	anticipation	0.336	bratrský
lessen	anticipation	0.336	snížit
unbeaten	anticipation	0.336	neporažený
pare	anticipation	0.336	pare
buddy	anticipation	0.336	kamarád
unaccountable	anticipation	0.336	nevysvětlitelný
dove	anticipation	0.328	holubice
patient	anticipation	0.328	trpěliví
secular	anticipation	0.328	světský
digress	anticipation	0.328	odbočit
chastity	anticipation	0.328	cudnost
council	anticipation	0.328	rada
olfactory	anticipation	0.328	čichový
ribbon	anticipation	0.328	stuha
possess	anticipation	0.328	mít
disposed	anticipation	0.320	zlikvidován
scrutinize	anticipation	0.320	zkoumat
immature	anticipation	0.320	nezralý
mediator	anticipation	0.320	prostředník
regularity	anticipation	0.320	pravidelnost
cove	anticipation	0.320	zátoka
infanticide	anticipation	0.320	infanticida
paddle	anticipation	0.320	pádlo
heft	anticipation	0.320	tíha
fancy	anticipation	0.320	ozdobný
preservative	anticipation	0.320	konzervační
unpublished	anticipation	0.312	nepublikovaný
church	anticipation	0.312	kostel
bugle	anticipation	0.312	polnice
grim	anticipation	0.312	ponurý
denying	anticipation	0.312	popírání
analyst	anticipation	0.312	analytik
judicial	anticipation	0.305	soudní
priesthood	anticipation	0.305	kněžství
broadside	anticipation	0.305	široká strana
mill	anticipation	0.305	mlýn
dismay	anticipation	0.297	zděšení
cap	anticipation	0.297	víčko
thermocouple	anticipation	0.297	termočlánek
tributary	anticipation	0.297	přítok
instructor	anticipation	0.297	instruktor
exhaustion	anticipation	0.297	vyčerpání
saliva	anticipation	0.297	sliny
cataract	anticipation	0.289	šedý zákal
network	anticipation	0.289	síť
visor	anticipation	0.289	hledí
shackle	anticipation	0.289	spoutat
wont	anticipation	0.289	zvyklý
addresses	anticipation	0.289	adresy
discreet	anticipation	0.289	diskrétní
noncompliance	anticipation	0.289	nedodržení
bruise	anticipation	0.289	pohmoždit
homeless	anticipation	0.289	bez domova
astronomer	anticipation	0.281	astronom
skewed	anticipation	0.281	zkreslený
neighbor	anticipation	0.281	soused
holiness	anticipation	0.273	svatost
devil	anticipation	0.273	ďábel
picket	anticipation	0.273	hlídka
sentence	anticipation	0.273	věta
latent	anticipation	0.273	latentní
cream	anticipation	0.273	krém
immaturity	anticipation	0.273	nezralost
habitual	anticipation	0.266	obvyklé
morals	anticipation	0.266	morálky
neighborhood	anticipation	0.266	sousedství
lull	anticipation	0.266	přestávka
bye	anticipation	0.258	sbohem
weight	anticipation	0.258	hmotnost
organ	anticipation	0.250	orgán
clown	anticipation	0.250	klaun
forearm	anticipation	0.250	předloktí
commonplace	anticipation	0.242	všední
quote	anticipation	0.242	citát
rail	anticipation	0.234	železniční
dictatorship	anticipation	0.234	diktatura
treadmill	anticipation	0.234	běžecký pás
board	anticipation	0.234	prkno
tree	anticipation	0.227	strom
sundial	anticipation	0.227	sluneční hodiny
paralysis	anticipation	0.211	ochrnutí
cement	anticipation	0.203	cement
worm	anticipation	0.203	červ
organization	anticipation	0.203	organizace
lagging	anticipation	0.180	zaostávající
neutral	anticipation	0.148	neutrální
cannibalism	disgust	0.953	kanibalismus
mutilation	disgust	0.930	zmrzačení
molestation	disgust	0.914	obtěžování
incest	disgust	0.914	incest
rape	disgust	0.906	znásilnění
gonorrhea	disgust	0.906	kapavka
cannibal	disgust	0.898	kanibal
rot	disgust	0.891	trouchnivění
corpse	disgust	0.883	mrtvola
massacre	disgust	0.883	masakr
excrement	disgust	0.883	exkrementy
barf	disgust	0.875	barf
slaughter	disgust	0.875	porážka
slaughterhouse	disgust	0.867	jatky
incestuous	disgust	0.859	incestní
sewerage	disgust	0.859	kanalizace
filth	disgust	0.859	špína
bigot	disgust	0.859	náboženský fanatik
rancid	disgust	0.859	zatuchlý
infestation	disgust	0.852	zamoření
plague	disgust	0.852	mor
holocaust	disgust	0.852	holocaust
bloodthirsty	disgust	0.852	krvežíznivý
