English Word	Emotion	Emotion-Intensity-Score	Latin Word
romantic	anticipation	0.500	romantic
doomsday	anticipation	0.500	superi
ready	anticipation	0.500	paratus
nascent	anticipation	0.500	nascentes
invocation	anticipation	0.500	invocatio
depart	anticipation	0.500	discedere
undisclosed	anticipation	0.500	clausa
attendance	anticipation	0.500	auscultatio
peril	anticipation	0.500	periculum
income	anticipation	0.500	reditus
calculation	anticipation	0.500	calculum
zeal	anticipation	0.500	zelus
eventuality	anticipation	0.500	casus
favorable	anticipation	0.500	placabilis
utopian	anticipation	0.500	utopian
swim	anticipation	0.500	natare
proceeding	anticipation	0.492	procedens
eventual	anticipation	0.492	eventual
heyday	anticipation	0.492	flos
undertaking	anticipation	0.492	inceptio
improvise	anticipation	0.492	improvise
inauguration	anticipation	0.492	inauguratio
consequent	anticipation	0.492	consequentis
perspective	anticipation	0.492	perspective
defense	anticipation	0.492	defensio
repay	anticipation	0.492	retribuere
gaping	anticipation	0.492	hians
youth	anticipation	0.492	adulescens
parole	anticipation	0.492	fidem
worry	anticipation	0.492	anxietas
bless	anticipation	0.492	benedicite
restorative	anticipation	0.492	reficiat
court	anticipation	0.492	atrium
highest	anticipation	0.491	summum
shortly	anticipation	0.484	mox
auspicious	anticipation	0.484	faustum
princely	anticipation	0.484	principaliter
correspondence	anticipation	0.484	correspondentia
generosity	anticipation	0.484	liberalitas
sparkle	anticipation	0.484	coruscent
voluptuous	anticipation	0.484	luxuriosus
happen	anticipation	0.484	fiet
tremor	anticipation	0.484	tremor
letter	anticipation	0.484	littera
vow	anticipation	0.484	votum
sharpen	anticipation	0.484	acuere
duel	anticipation	0.484	duellum
conjure	anticipation	0.484	obtestor
threaten	anticipation	0.484	comminatur
god	anticipation	0.484	Deus
engulf	anticipation	0.484	absorbeo
unexplained	anticipation	0.484	explicata
contagion	anticipation	0.484	contagione
glorify	anticipation	0.477	glorificate
submit	anticipation	0.477	submittere
enroll	anticipation	0.477	scribere
unification	anticipation	0.477	adunatio
gravitate	anticipation	0.477	gravitate
glide	anticipation	0.477	labatur
accompaniment	anticipation	0.477	comitante
cherish	anticipation	0.477	foveam
adore	anticipation	0.477	adorare
powerful	anticipation	0.477	potens
clue	anticipation	0.477	clue
medal	anticipation	0.477	numisma
contemplate	anticipation	0.477	contemplatio
perilous	anticipation	0.477	periculosum
determinate	anticipation	0.477	determinate
arbitration	anticipation	0.477	arbitrium
recipient	anticipation	0.477	recipiens
onset	anticipation	0.477	concursus
predispose	anticipation	0.477	disponere
score	anticipation	0.477	score
torture	anticipation	0.477	tormentum
glow	anticipation	0.477	rutilans
praiseworthy	anticipation	0.473	laudabile
football	anticipation	0.469	eu
scare	anticipation	0.469	terrent
elite	anticipation	0.469	electi
unknown	anticipation	0.469	ignotus
precursor	anticipation	0.469	praecursor
pry	anticipation	0.469	deprecari
providing	anticipation	0.469	providing
sweets	anticipation	0.469	dulcia
cautious	anticipation	0.469	cautus
opera	anticipation	0.469	opera
motion	anticipation	0.469	motus
cash	anticipation	0.469	cash
creeping	anticipation	0.469	reptile
invoke	anticipation	0.469	invocare
star	anticipation	0.469	stella
shaky	anticipation	0.469	instabilitate
production	anticipation	0.469	Fabricatio
successful	anticipation	0.469	felix
immediately	anticipation	0.469	statim
dawn	anticipation	0.469	aurora
starry	anticipation	0.469	sidereum
unsurpassed	anticipation	0.469	intrepidus
completion	anticipation	0.469	complementum
hire	anticipation	0.469	pretium
fete	anticipation	0.469	fete
commemorative	anticipation	0.461	commemorativum
shining	anticipation	0.461	lucens
testament	anticipation	0.461	testament
pay	anticipation	0.461	stipendium
alive	anticipation	0.461	vivus
plight	anticipation	0.461	fortuna
preliminary	anticipation	0.461	prolusio
overture	anticipation	0.461	overture
sanctuary	anticipation	0.461	sanctuarium
regatta	anticipation	0.461	regatta
draft	anticipation	0.461	captura
synchronize	anticipation	0.461	synchronize
soundness	anticipation	0.461	sanitas
extricate	anticipation	0.461	extricare
excel	anticipation	0.461	excel
punt	anticipation	0.461	punt
untold	anticipation	0.461	innumerabilis
brilliant	anticipation	0.461	egregie
cheerfulness	anticipation	0.461	hilaritas
jeopardy	anticipation	0.461	periculum
friendly	anticipation	0.461	amicissimum
mail	anticipation	0.461	mail
unexpected	anticipation	0.453	inopinatum
basketball	anticipation	0.453	ultrices
inaugural	anticipation	0.453	inaugurale
supremacy	anticipation	0.453	principatus
rehabilitation	anticipation	0.453	semper
intimately	anticipation	0.453	intime
career	anticipation	0.453	curriculo
prevention	anticipation	0.453	praeventionis
renovate	anticipation	0.453	renovare
compliment	anticipation	0.453	honorificum
prologue	anticipation	0.453	prologus
elegance	anticipation	0.453	elegantia
complement	anticipation	0.453	complement
flinch	anticipation	0.453	flinch
infinity	anticipation	0.453	infinitum
perpetuity	anticipation	0.453	perpetuum
sunset	anticipation	0.453	occasus solis
improve	anticipation	0.453	meliorem
fitting	anticipation	0.445	decet
confidence	anticipation	0.445	fiducia
concealment	anticipation	0.445	occultatio
sweet	anticipation	0.445	dulcis
perfect	anticipation	0.445	perfectus
epidemic	anticipation	0.445	epidemia
fain	anticipation	0.445	fain
volunteer	anticipation	0.445	Voluntarius
share	anticipation	0.445	participes
surround	anticipation	0.445	circumdare
conjecture	anticipation	0.445	coniectura
sun	anticipation	0.445	solis
veracity	anticipation	0.445	veritas
serial	anticipation	0.438	Vide
angel	anticipation	0.438	angelus
aloha	anticipation	0.438	Dei
saint	anticipation	0.438	sanctus
tickle	anticipation	0.438	titillatio
superstitious	anticipation	0.438	superstitiosus
ferment	anticipation	0.438	ferment
conservation	anticipation	0.438	conservationem
devout	anticipation	0.438	devotus
respect	anticipation	0.438	respect
reconstruction	anticipation	0.438	refectionem
goodness	anticipation	0.438	bonitas
reconstruct	anticipation	0.438	reconstruct
faith	anticipation	0.438	fidem
recombination	anticipation	0.438	recombinationem
prepared	anticipation	0.438	paratus
rabid	anticipation	0.438	rabidi
plea	anticipation	0.438	causa
medical	anticipation	0.438	medical
passenger	anticipation	0.438	viatoribus
charitable	anticipation	0.430	caritativa
tabulate	anticipation	0.430	tabulatum
peace	anticipation	0.430	pax
install	anticipation	0.430	install
serenity	anticipation	0.430	serenitatem
venerable	anticipation	0.430	venerabilis
spa	anticipation	0.430	spa
labyrinth	anticipation	0.430	labyrinthum
luscious	anticipation	0.430	decoctionis
perpetuate	anticipation	0.430	perpetuare
strategist	anticipation	0.430	strategist
unverified	anticipation	0.430	sine verificatione
tribunal	anticipation	0.430	tribunal
clap	anticipation	0.430	plaudere
peaceful	anticipation	0.422	pacificus
patience	anticipation	0.422	patientia
unresolved	anticipation	0.422	dubitatur
worship	anticipation	0.422	cultus
edification	anticipation	0.422	aedificatio
oasis	anticipation	0.422	oasis
grin	anticipation	0.422	subridere
revere	anticipation	0.422	venerari
candid	anticipation	0.422	candid
vista	anticipation	0.422	vista
conspirator	anticipation	0.422	coniurator
adrift	anticipation	0.422	exilii
recognizable	anticipation	0.422	cognoscibilia
volatility	anticipation	0.422	LEVITAS
forestall	anticipation	0.422	praevenire
laughter	anticipation	0.422	risus
continue	anticipation	0.414	continue
ongoing	anticipation	0.414	ongoing
astrologer	anticipation	0.414	mathematicus
mediate	anticipation	0.414	medius
punctual	anticipation	0.414	punctual
grant	anticipation	0.414	da
morn	anticipation	0.414	mane
pretty	anticipation	0.414	satis
withstand	anticipation	0.414	sustinere
frisky	anticipation	0.414	frisky
thought	anticipation	0.414	cogitatio
probation	anticipation	0.414	probationis
ordination	anticipation	0.414	ordinationis
calls	anticipation	0.414	vocat
detainee	anticipation	0.414	detainee
craps	anticipation	0.414	craps
weigh	anticipation	0.414	ponderare
proficiency	anticipation	0.414	progressus sum
sing	anticipation	0.411	cantare
continuation	anticipation	0.406	continuatio
university	anticipation	0.406	universitates
chicane	anticipation	0.406	chicane
nurture	anticipation	0.406	nutrire
mother	anticipation	0.406	mater
punished	anticipation	0.406	poenas
twinkle	anticipation	0.406	scintillare
confession	anticipation	0.406	confessio
outdo	anticipation	0.406	superare
prophylactic	anticipation	0.406	prophylactic
proud	anticipation	0.406	superbus
midwife	anticipation	0.406	obstetrix
wizard	anticipation	0.406	veneficus
headlight	anticipation	0.406	headlight
long	anticipation	0.406	diu
banquet	anticipation	0.406	convivium
comfort	anticipation	0.406	consolatio
navigable	anticipation	0.406	navigabilis
subscribe	anticipation	0.406	subscribe
opponent	anticipation	0.406	adversarius
debenture	anticipation	0.406	debenture
deal	anticipation	0.402	paciscor
symphony	anticipation	0.398	symphonia
saintly	anticipation	0.398	sanctus
judiciary	anticipation	0.398	iudiciarius
lettered	anticipation	0.398	litteratus
vigil	anticipation	0.398	vigilia
reliance	anticipation	0.398	fiducia
distracting	anticipation	0.398	distracting
mortification	anticipation	0.398	mortificationem
balm	anticipation	0.398	balsamum
simmer	anticipation	0.398	wisi
top	anticipation	0.398	top
obliging	anticipation	0.398	officiosus
efficient	anticipation	0.398	efficientis
guillotine	anticipation	0.398	guillotine
representing	anticipation	0.398	representing
death	anticipation	0.398	mortem
assurance	anticipation	0.391	fides
familiarity	anticipation	0.391	familiaritas
depraved	anticipation	0.391	improbus
condemnation	anticipation	0.391	damnatio
undoubted	anticipation	0.391	indubitatum
sanctify	anticipation	0.391	sanctificare
diplomacy	anticipation	0.391	legatio
antidote	anticipation	0.391	antidotum
trust	anticipation	0.391	confido
linger	anticipation	0.391	morari
objective	anticipation	0.391	objectum
chuckle	anticipation	0.391	chuckle
poke	anticipation	0.391	poke
abeyance	anticipation	0.391	abstinentia
maternal	anticipation	0.391	maternus
art	anticipation	0.391	artem
unfulfilled	anticipation	0.391	inexpleta
inoculation	anticipation	0.384	Ammonium
simplify	anticipation	0.383	simpliciorem
depend	anticipation	0.383	depend
chant	anticipation	0.383	cantus
ram	anticipation	0.383	aries
banger	anticipation	0.383	banger
playground	anticipation	0.383	playground
labor	anticipation	0.383	labor
scientist	anticipation	0.383	physicus
good	anticipation	0.383	bonum
humanitarian	anticipation	0.383	humanitarium
failing	anticipation	0.383	defectio
hap	anticipation	0.383	ha
dutiful	anticipation	0.383	officiosus
hymn	anticipation	0.383	hymn
ship	anticipation	0.383	navis
discretion	anticipation	0.383	discretione
undecided	anticipation	0.383	iniudicatus
gradual	anticipation	0.375	gradatim
navigator	anticipation	0.375	navigator
track	anticipation	0.375	track
cradle	anticipation	0.375	cunabula
sterling	anticipation	0.375	sterlingorum
interim	anticipation	0.375	interim
clock	anticipation	0.375	horologium
mountain	anticipation	0.375	mons
interminable	anticipation	0.375	interminabilis
public	anticipation	0.375	public
recurrent	anticipation	0.375	recurrentes
savor	anticipation	0.375	odor
abide	anticipation	0.367	manere
concealed	anticipation	0.367	absconditus
spear	anticipation	0.367	hasta
lesson	anticipation	0.367	lectio
instructions	anticipation	0.367	instructiones
sonar	anticipation	0.367	sonar
biennial	anticipation	0.367	biennis
convince	anticipation	0.367	arguere
whim	anticipation	0.367	arbitrio
shiver	anticipation	0.367	tremere
towering	anticipation	0.367	arduus
musical	anticipation	0.367	musicale
offset	anticipation	0.359	offset
theory	anticipation	0.359	doctrina
theology	anticipation	0.359	theologia
undying	anticipation	0.359	immortali
timidity	anticipation	0.359	timiditas
plump	anticipation	0.359	denso
atone	anticipation	0.359	expiare
audience	anticipation	0.357	auditorium
dietary	anticipation	0.352	puritate alimentorum
consecration	anticipation	0.352	consecratio
localize	anticipation	0.352	localize
paragon	anticipation	0.352	paragon
store	anticipation	0.352	copia
farm	anticipation	0.352	villam
daily	anticipation	0.352	cotidie
cramp	anticipation	0.352	cramp
nobility	anticipation	0.352	nobilitas
closure	anticipation	0.352	clausurae
edition	anticipation	0.352	ed
kindred	anticipation	0.352	cognatio
stripped	anticipation	0.344	spoliatus
errand	anticipation	0.344	verbum
archaeology	anticipation	0.344	archaeologiae
mutable	anticipation	0.344	mutabilis
wireless	anticipation	0.344	wireless
meditate	anticipation	0.344	meditari
mobile	anticipation	0.344	mobile
germ	anticipation	0.336	germ
brotherly	anticipation	0.336	fraterna
lessen	anticipation	0.336	minuere
unbeaten	anticipation	0.336	invictus
pare	anticipation	0.336	pare
buddy	anticipation	0.336	buddy
unaccountable	anticipation	0.336	inexplicabilis
dove	anticipation	0.328	columba
patient	anticipation	0.328	patiente
secular	anticipation	0.328	saeculari
digress	anticipation	0.328	digredi
chastity	anticipation	0.328	pudicitia
council	anticipation	0.328	concilium
olfactory	anticipation	0.328	olfactorius
ribbon	anticipation	0.328	uitta
possess	anticipation	0.328	possess
disposed	anticipation	0.320	dispositus
scrutinize	anticipation	0.320	scrutari
immature	anticipation	0.320	immatura
mediator	anticipation	0.320	mediator
regularity	anticipation	0.320	certa
cove	anticipation	0.320	cove
infanticide	anticipation	0.320	infanticidium
paddle	anticipation	0.320	paxillum
heft	anticipation	0.320	heft
fancy	anticipation	0.320	ludo mentis
preservative	anticipation	0.320	conservans
unpublished	anticipation	0.312	ineditis
church	anticipation	0.312	ecclesia
bugle	anticipation	0.312	litui
grim	anticipation	0.312	torva
denying	anticipation	0.312	negando
analyst	anticipation	0.312	analyst
judicial	anticipation	0.305	iudicialis
priesthood	anticipation	0.305	sacerdotium
broadside	anticipation	0.305	broadside
mill	anticipation	0.305	molendinum
dismay	anticipation	0.297	angustia
cap	anticipation	0.297	cap
thermocouple	anticipation	0.297	thermocouple
tributary	anticipation	0.297	tributarius
instructor	anticipation	0.297	instructor
exhaustion	anticipation	0.297	defatigatio
saliva	anticipation	0.297	saliva
cataract	anticipation	0.289	suffusio
network	anticipation	0.289	network
visor	anticipation	0.289	visor
shackle	anticipation	0.289	alliges
wont	anticipation	0.289	adleviata
addresses	anticipation	0.289	oratio
discreet	anticipation	0.289	prudens
noncompliance	anticipation	0.289	noncompliance
bruise	anticipation	0.289	cicatrix
homeless	anticipation	0.289	profugo
astronomer	anticipation	0.281	astrologus
skewed	anticipation	0.281	DECLINIS
neighbor	anticipation	0.281	vicinus
holiness	anticipation	0.273	sanctitas
devil	anticipation	0.273	diaboli
picket	anticipation	0.273	stationem
sentence	anticipation	0.273	sententia
latent	anticipation	0.273	latens
cream	anticipation	0.273	crepito
immaturity	anticipation	0.273	immaturitas
habitual	anticipation	0.266	habituale
morals	anticipation	0.266	mores
neighborhood	anticipation	0.266	vicinia
lull	anticipation	0.266	otium
bye	anticipation	0.258	vale
weight	anticipation	0.258	pondus
organ	anticipation	0.250	organum
clown	anticipation	0.250	Corydon
forearm	anticipation	0.250	bracchium
commonplace	anticipation	0.242	commune
quote	anticipation	0.242	quote
rail	anticipation	0.234	rail
dictatorship	anticipation	0.234	dictatura
treadmill	anticipation	0.234	antliam
board	anticipation	0.234	tabula
tree	anticipation	0.227	Arbor
sundial	anticipation	0.227	horologium
paralysis	anticipation	0.211	paralysis
cement	anticipation	0.203	caementum
worm	anticipation	0.203	vermis
organization	anticipation	0.203	organization
lagging	anticipation	0.180	pigri
neutral	anticipation	0.148	neutrum
cannibalism	disgust	0.953	cannibalism
mutilation	disgust	0.930	mutilatio
molestation	disgust	0.914	molestatio
incest	disgust	0.914	incestus
rape	disgust	0.906	rapere
gonorrhea	disgust	0.906	gonorrhoea
cannibal	disgust	0.898	anthropophagi
rot	disgust	0.891	putrescere
corpse	disgust	0.883	cadaver
massacre	disgust	0.883	caedes
excrement	disgust	0.883	excrementum
barf	disgust	0.875	barf
slaughter	disgust	0.875	caedes
slaughterhouse	disgust	0.867	MACELLUM
incestuous	disgust	0.859	incestus
sewerage	disgust	0.859	sewerage
filth	disgust	0.859	sordes
bigot	disgust	0.859	bigot
rancid	disgust	0.859	rancid
infestation	disgust	0.852	infestatio
plague	disgust	0.852	plaga
holocaust	disgust	0.852	holocaustum
bloodthirsty	disgust	0.852	sanguinarius
rotting	disgust	0.844	putridum
fecal	disgust	0.844	fecal
maggot	disgust	0.844	vermis
feces	disgust	0.844	feces
murder	disgust	0.839	caedes
asshole	disgust	0.836	podex
homicide	disgust	0.836	homicidium
enslaved	disgust	0.836	servitus
infanticide	disgust	0.836	infanticidium
perverted	disgust	0.828	perversus
excretion	disgust	0.828	excretion
gore	disgust	0.828	cruor
slaughtering	disgust	0.828	mactatio
torture	disgust	0.828	tormentum
contaminate	disgust	0.821	contaminare
revolting	disgust	0.820	detrectare
gory	disgust	0.820	gory
shit	disgust	0.820	cacas
terrorist	disgust	0.820	terroristis
murderer	disgust	0.820	homicida
repugnant	disgust	0.820	repugnantes
manure	disgust	0.820	sterquilinium
pervert	disgust	0.820	pervertere
diarrhoea	disgust	0.820	fluxus ventris
grotesque	disgust	0.820	deridiculo
desecration	disgust	0.820	pollutio
faeces	disgust	0.812	interponuntur nonnumquam
slavery	disgust	0.812	servitus
sewer	disgust	0.812	cloaca
cadaver	disgust	0.812	cadaver
manslaughter	disgust	0.812	caedes
dismemberment	disgust	0.812	discerptio
vomit	disgust	0.812	vomitus
perverse	disgust	0.805	perversus
repulsive	disgust	0.805	repulsiva
hemorrhage	disgust	0.805	sanguinis
sewage	disgust	0.797	purgamentorum
filthy	disgust	0.797	spurcus
diseased	disgust	0.797	morbidus
depravity	disgust	0.797	pravitas
carcass	disgust	0.795	cadaver
decompose	disgust	0.789	putrescere
gruesome	disgust	0.789	atrox
mutilated	disgust	0.789	mutilatus
puke	disgust	0.789	puke
herpes	disgust	0.789	herpes
decayed	disgust	0.789	debilis
dung	disgust	0.789	stercus
vermin	disgust	0.789	vermini
murderous	disgust	0.789	parricidalis
parasite	disgust	0.789	parasitus
horrific	disgust	0.789	horrifico
carnage	disgust	0.781	caedes
malaria	disgust	0.781	malaria
slime	disgust	0.781	bitumen
flatulence	disgust	0.781	inflationes
pestilence	disgust	0.781	pestilentia
crap	disgust	0.781	crap
monstrosity	disgust	0.781	monstrum
loathsome	disgust	0.773	fedum
toxic	disgust	0.773	toxicus
morgue	disgust	0.773	morgue
pus	disgust	0.773	pus
herpesvirus	disgust	0.773	herpesvirus
leprosy	disgust	0.773	lepra
insidious	disgust	0.773	insidiosa
cruel	disgust	0.766	crudelis
regurgitation	disgust	0.766	regurgitation
anthrax	disgust	0.766	anthrax
xenophobia	disgust	0.766	xenophobia
repugnance	disgust	0.766	repugnantia
lynch	disgust	0.766	lynch
revulsion	disgust	0.766	fastidium
whore	disgust	0.766	meretrix
dissection	disgust	0.759	dissectio
mucous	disgust	0.758	mucosae
canker	disgust	0.758	cancro
slum	disgust	0.758	slum
infectious	disgust	0.758	contagione
evil	disgust	0.758	malum
phlegm	disgust	0.758	pituita
cruelty	disgust	0.758	crudelitas
perversion	disgust	0.758	perversio
sinister	disgust	0.750	sinistrum
leeches	disgust	0.750	hirudines
corrupting	disgust	0.750	corrumpens
decomposition	disgust	0.750	compositione
abomination	disgust	0.742	abominatio
stinking	disgust	0.742	putidus
bile	disgust	0.742	bilis
demonic	disgust	0.742	daemonium
deranged	disgust	0.742	vecordiae
abhorrence	disgust	0.742	abominatio
soiled	disgust	0.742	immundus
mucus	disgust	0.742	mucus
septic	disgust	0.742	septic
sickening	disgust	0.742	teter
demon	disgust	0.742	daemonium
cancer	disgust	0.734	cancer
obese	disgust	0.734	obesus
degeneracy	disgust	0.734	degeneratum
despicable	disgust	0.734	despectus
atrocity	disgust	0.734	atrocitas
foul	disgust	0.734	turpi
sicken	disgust	0.734	sicken
crucifixion	disgust	0.734	crucifixio
terrorism	disgust	0.734	terrorism
repulsion	disgust	0.727	repulsio
morbidity	disgust	0.727	imbecillitas
dysentery	disgust	0.727	dysenteria
enema	disgust	0.727	hostilis
bacterium	disgust	0.727	bacterium
dirty	disgust	0.727	sordida
adultery	disgust	0.727	adulterium
contamination	disgust	0.727	contagione
grisly	disgust	0.727	marum
diabolical	disgust	0.727	diabolicus
autopsy	disgust	0.719	autopsy
barbaric	disgust	0.719	barbarica
vulgar	disgust	0.719	vulgaris
entrails	disgust	0.719	visceribus
disgust	disgust	0.719	fastidium
lewd	disgust	0.719	impudicitia
muck	disgust	0.719	muck
bowels	disgust	0.719	viscera
garbage	disgust	0.719	quisquiliarum
deterioration	disgust	0.719	depravatio
contagion	disgust	0.719	contagione
vicious	disgust	0.719	vitiosus
disfigured	disgust	0.719	deformis
pungent	disgust	0.719	acria
gross	disgust	0.719	crassa
bloodshed	disgust	0.714	sanguis
gag	disgust	0.711	iocatio
pollute	disgust	0.711	polluere
nausea	disgust	0.711	nauseam
tyrant	disgust	0.711	tyrannus
wretched	disgust	0.711	miseros
mortification	disgust	0.711	mortificationem
violent	disgust	0.711	vehemens
poisoned	disgust	0.711	venenatum
nauseate	disgust	0.703	nauseat
slimy	disgust	0.703	limosa
grope	disgust	0.703	grope
slut	disgust	0.703	cunnus
nasty	disgust	0.703	malus
disgusting	disgust	0.703	abominatio
depraved	disgust	0.703	improbus
porn	disgust	0.703	porna
hateful	disgust	0.703	detestabilis
vulgarity	disgust	0.703	vulgarity
noxious	disgust	0.703	noxium
grime	disgust	0.703	squalore
constipation	disgust	0.703	constipatio
secretion	disgust	0.703	secretio
poisoning	disgust	0.703	veneficium
despotism	disgust	0.703	dominationi
measles	disgust	0.696	rubellam
contagious	disgust	0.695	pestilens
obesity	disgust	0.695	dolore magna
wart	disgust	0.695	verruca
hate	disgust	0.695	odium
hellish	disgust	0.695	tartareus
scum	disgust	0.695	spumae
suicidal	disgust	0.695	funesta
wretch	disgust	0.695	miser
abuse	disgust	0.695	abusu
waste	disgust	0.695	vastum
intestinal	disgust	0.695	intestinorum
heartworm	disgust	0.688	heartworm
ooze	disgust	0.688	uligo
treason	disgust	0.688	perduellionis
contaminated	disgust	0.688	contaminari
smut	disgust	0.688	obductus
disease	disgust	0.688	morbus
rabid	disgust	0.688	rabidi
deformed	disgust	0.680	deformis
hell	disgust	0.680	gehenna
soulless	disgust	0.680	sine anima
cholera	disgust	0.680	cholera
bestial	disgust	0.680	bestial
antichrist	disgust	0.680	antichristus
freakish	disgust	0.680	lusus naturae
germ	disgust	0.680	germ
detest	disgust	0.680	detestor
pollution	disgust	0.680	pollutio
grimy	disgust	0.680	sordidus
abhorrent	disgust	0.680	abominabilis
hatred	disgust	0.680	odium
abominate	disgust	0.680	abominatus
sickness	disgust	0.680	languor
hideous	disgust	0.672	deformis
dictatorship	disgust	0.672	dictatura
loathful	disgust	0.672	abominabilis
greasy	disgust	0.672	pinguia
dilapidated	disgust	0.672	dilapidated
inhuman	disgust	0.672	inhumanus
loathing	disgust	0.672	fastidium
obscene	disgust	0.672	obscenus
cess	disgust	0.670	infirmitate
devil	disgust	0.664	diaboli
deformity	disgust	0.664	deformitas
nauseous	disgust	0.664	tetri
deadly	disgust	0.664	mortiferum
swine	disgust	0.664	porcos
discrimination	disgust	0.664	discrimen
abominable	disgust	0.664	abominabilis
masochism	disgust	0.664	masochism
heretic	disgust	0.664	hereticus
latrines	disgust	0.656	latrinae
corruption	disgust	0.656	corruptio
poisonous	disgust	0.656	venenatum
horror	disgust	0.656	horror
nefarious	disgust	0.656	nefarium
bacteria	disgust	0.656	bacteria
horrible	disgust	0.656	horribilis
trash	disgust	0.656	quisquiliae
abortion	disgust	0.656	abortum
death	disgust	0.656	mortem
prejudiced	disgust	0.656	praeiudicium
poison	disgust	0.656	venenum
oppression	disgust	0.656	calumnia
goo	disgust	0.656	goo
victimized	disgust	0.656	pertulit
mange	disgust	0.656	alopecias
sludge	disgust	0.648	pituitae
trashy	disgust	0.648	trashy
vindictive	disgust	0.648	vindicativa
horrid	disgust	0.648	horrida
ugly	disgust	0.648	deformis
immoral	disgust	0.648	sceleratus
bitch	disgust	0.648	bitch
outhouse	disgust	0.648	outhouse
detestation	disgust	0.648	detestatio
horrifying	disgust	0.641	horribile
laxative	disgust	0.641	alvum
unsightly	disgust	0.641	deforme
derogatory	disgust	0.641	derogare
slop	disgust	0.641	slop
malfeasance	disgust	0.641	maleficium
spew	disgust	0.641	vomite
pimple	disgust	0.641	papulae
criminality	disgust	0.641	scelus
indecency	disgust	0.641	turpitudo
cystic	disgust	0.641	cystic
villainous	disgust	0.641	scelestus
queasy	disgust	0.633	queasy
mildew	disgust	0.633	aurugine
oppressive	disgust	0.633	gravis
prostitution	disgust	0.633	fornicatio
secrete	disgust	0.633	secrete
ulcer	disgust	0.633	ulceris
rat	disgust	0.633	rat
bigoted	disgust	0.633	bigoted
perpetrator	disgust	0.633	auctor
doomsday	disgust	0.633	superi
sinful	disgust	0.633	peccatrici
degrading	disgust	0.625	sordidum
ghastly	disgust	0.625	luridum
suffering	disgust	0.625	patiens
obscenity	disgust	0.625	turpitudo
devilish	disgust	0.625	diabolicus
disgraceful	disgust	0.625	turpe
persecution	disgust	0.625	persecutio
contemptible	disgust	0.625	despectus
cuckold	disgust	0.625	incestum
stools	disgust	0.625	scamnum
dastardly	disgust	0.625	ignave
sin	disgust	0.625	peccatum
gluttony	disgust	0.625	gula
bloated	disgust	0.625	bloated
fungus	disgust	0.625	fungus
aghast	disgust	0.625	obstipuere
diaper	disgust	0.617	diaper
malicious	disgust	0.617	malignis
polygamy	disgust	0.617	polygamia
dying	disgust	0.617	mori
termite	disgust	0.617	termite
fat	disgust	0.617	pinguis
deceit	disgust	0.617	fallacia
atrocious	disgust	0.617	atrox
guillotine	disgust	0.617	guillotine
tetanus	disgust	0.617	tetanus
spoil	disgust	0.617	spolia
crusty	disgust	0.617	tetricis dicerer
sickly	disgust	0.617	morbidus
louse	disgust	0.617	pediculus
strangle	disgust	0.617	suffocare
betrayal	disgust	0.617	proditio
loathe	disgust	0.617	fastidire
wench	disgust	0.617	wench
infect	disgust	0.617	inficiat
violently	disgust	0.609	vi
brothel	disgust	0.609	lupanar
drool	disgust	0.609	drool
bleeding	disgust	0.609	cruentis
deform	disgust	0.609	deform
ghetto	disgust	0.609	ghetto
sabotage	disgust	0.609	sabotage
venomous	disgust	0.609	venenatus
abhor	disgust	0.609	abominari
slander	disgust	0.609	calumniare
hostile	disgust	0.609	hostilis
musty	disgust	0.602	putridum
illicit	disgust	0.602	illicitus
ugliness	disgust	0.602	deformitas
unwashed	disgust	0.602	non lotis
swampy	disgust	0.602	palustria
deprivation	disgust	0.602	privatio
poaching	disgust	0.602	assa
hag	disgust	0.602	anus
infidel	disgust	0.602	infidelis
imprisonment	disgust	0.602	custodia
traitor	disgust	0.602	proditor
lunacy	disgust	0.602	insania
queasiness	disgust	0.594	queasiness
hostility	disgust	0.594	inimicitiae
repelling	disgust	0.594	repellens
intoxicated	disgust	0.594	inebriatus
thug	disgust	0.594	thug
catastrophe	disgust	0.594	malum
lunatic	disgust	0.594	lunaticus
misery	disgust	0.594	miseriae
venom	disgust	0.594	venenum
butcher	disgust	0.594	carnifex
toilet	disgust	0.594	CULTUS
blister	disgust	0.594	pustula
lurid	disgust	0.594	lurid
slug	disgust	0.594	limax
gut	disgust	0.594	ventrem
sinner	disgust	0.594	peccator
deceitful	disgust	0.594	dolosus
epidemic	disgust	0.594	epidemia
deteriorated	disgust	0.586	deterioratus
lavatory	disgust	0.586	lavatorium
unclean	disgust	0.586	immundus
prostitute	disgust	0.586	meretrix
incubus	disgust	0.586	incubus
appalling	disgust	0.586	horribilis
dreadful	disgust	0.586	horribilis
pornography	disgust	0.586	dolor
harass	disgust	0.586	vexare
squeamish	disgust	0.578	fastidiosus
expulsion	disgust	0.578	expulsio
unfaithful	disgust	0.578	infidelis
offensive	disgust	0.578	ingrata
hypocrite	disgust	0.578	hypocrita
humiliating	disgust	0.578	ignominiosa
larceny	disgust	0.578	latrocinium
ruinous	disgust	0.578	perniciosus
retard	disgust	0.578	retardare
rash	disgust	0.578	temeritas
flea	disgust	0.578	pulicis
debauchery	disgust	0.578	stuprum
fiend	disgust	0.578	furia
quagmire	disgust	0.578	uorago
conspirator	disgust	0.578	coniurator
sick	disgust	0.578	infirmum
mangle	disgust	0.578	laniare
dogsick	disgust	0.570	canes
