English Word	Emotion	Emotion-Intensity-Score	Belarusian Word
treason	disgust	0.688	здрада
contaminated	disgust	0.688	забруджаныя
smut	disgust	0.688	галава
disease	disgust	0.688	хвароба
rabid	disgust	0.688	шалёны
deformed	disgust	0.680	дэфармаваны
hell	disgust	0.680	пекла
soulless	disgust	0.680	бяздушны
cholera	disgust	0.680	халера
bestial	disgust	0.680	звярыны
antichrist	disgust	0.680	антыхрыст
freakish	disgust	0.680	дзівацкі
germ	disgust	0.680	зародак
detest	disgust	0.680	ненавідзець
pollution	disgust	0.680	забруджванне
grimy	disgust	0.680	брудны
abhorrent	disgust	0.680	агідны
hatred	disgust	0.680	нянавісць
abominate	disgust	0.680	агідны
sickness	disgust	0.680	хвароба
hideous	disgust	0.672	агідны
dictatorship	disgust	0.672	дыктатура
loathful	disgust	0.672	ненавісны
greasy	disgust	0.672	тлусты
dilapidated	disgust	0.672	напаўразбураны
inhuman	disgust	0.672	бесчалавечны
loathing	disgust	0.672	нянавісць
obscene	disgust	0.672	непрыстойны
cess	disgust	0.670	цэс
devil	disgust	0.664	д'ябал
deformity	disgust	0.664	дэфармацыя
nauseous	disgust	0.664	млосны
deadly	disgust	0.664	смяротна небяспечны
swine	disgust	0.664	свіней
discrimination	disgust	0.664	дыскрымінацыя
abominable	disgust	0.664	агідны
masochism	disgust	0.664	мазахізм
heretic	disgust	0.664	ерэтык
latrines	disgust	0.656	прыбіральні
corruption	disgust	0.656	карупцыя
poisonous	disgust	0.656	атрутныя
horror	disgust	0.656	жах
nefarious	disgust	0.656	гнюсны
bacteria	disgust	0.656	бактэрыі
horrible	disgust	0.656	жахлівы
trash	disgust	0.656	смецце
abortion	disgust	0.656	аборт
death	disgust	0.656	смерць
prejudiced	disgust	0.656	прадузята
poison	disgust	0.656	яд
oppression	disgust	0.656	прыгнёт
goo	disgust	0.656	ліпка
victimized	disgust	0.656	ахвярамі
mange	disgust	0.656	кароста
sludge	disgust	0.648	асадак
trashy	disgust	0.648	смеццевы
vindictive	disgust	0.648	помслівы
horrid	disgust	0.648	жахлівы
ugly	disgust	0.648	непрыгожы
immoral	disgust	0.648	амаральны
bitch	disgust	0.648	сука
outhouse	disgust	0.648	флігель
detestation	disgust	0.648	агіда
horrifying	disgust	0.641	жахлівы
laxative	disgust	0.641	слабільнае
unsightly	disgust	0.641	непрывабны
derogatory	disgust	0.641	прыніжальна
slop	disgust	0.641	памыі
malfeasance	disgust	0.641	службовае злачынства
spew	disgust	0.641	вывяргаць
pimple	disgust	0.641	прышчык
criminality	disgust	0.641	злачыннасць
indecency	disgust	0.641	непрыстойнасць
cystic	disgust	0.641	кістозная
villainous	disgust	0.641	зладзейскі
queasy	disgust	0.633	млосны
mildew	disgust	0.633	цвіль
oppressive	disgust	0.633	гнятлівы
prostitution	disgust	0.633	прастытуцыя
secrete	disgust	0.633	вылучаць
ulcer	disgust	0.633	язва
rat	disgust	0.633	пацук
bigoted	disgust	0.633	фанатычны
perpetrator	disgust	0.633	злачынца
doomsday	disgust	0.633	судны дзень
sinful	disgust	0.633	грэшны
degrading	disgust	0.625	прыніжаючы годнасць
ghastly	disgust	0.625	жудасны
suffering	disgust	0.625	пакуты
obscenity	disgust	0.625	непрыстойнасць
devilish	disgust	0.625	д'ябальскі
disgraceful	disgust	0.625	ганебны
persecution	disgust	0.625	ганенні
contemptible	disgust	0.625	пагардлівы
cuckold	disgust	0.625	раганосец
stools	disgust	0.625	зэдлікі
dastardly	disgust	0.625	падла
sin	disgust	0.625	грэх
gluttony	disgust	0.625	абжорства
bloated	disgust	0.625	надзьмуты
fungus	disgust	0.625	грыбок
aghast	disgust	0.625	у жаху
diaper	disgust	0.617	падгузнік
malicious	disgust	0.617	шкоднасныя
polygamy	disgust	0.617	шматжонства
dying	disgust	0.617	паміраючы
termite	disgust	0.617	тэрмітнік
fat	disgust	0.617	тлушч
deceit	disgust	0.617	падман
atrocious	disgust	0.617	зверскі
guillotine	disgust	0.617	гільяціна
tetanus	disgust	0.617	слупняк
spoil	disgust	0.617	псаваць
crusty	disgust	0.617	скарыначкай
sickly	disgust	0.617	хваравіты
louse	disgust	0.617	вош
strangle	disgust	0.617	задушыць
betrayal	disgust	0.617	здрада
loathe	disgust	0.617	ненавідзець
wench	disgust	0.617	дзяўка
infect	disgust	0.617	заразіць
violently	disgust	0.609	гвалтоўна
brothel	disgust	0.609	бардэль
drool	disgust	0.609	слінацёк
bleeding	disgust	0.609	крывацёк
deform	disgust	0.609	дэфармаваць
ghetto	disgust	0.609	гета
sabotage	disgust	0.609	сабатаж
venomous	disgust	0.609	атрутныя
abhor	disgust	0.609	гідзіцца
slander	disgust	0.609	паклёпнічаць
hostile	disgust	0.609	варожы
musty	disgust	0.602	затхлы
illicit	disgust	0.602	нелегальны
ugliness	disgust	0.602	пачварнасць
unwashed	disgust	0.602	нямыты
swampy	disgust	0.602	забалочаны
deprivation	disgust	0.602	пазбаўлення
poaching	disgust	0.602	браканьерства
hag	disgust	0.602	дзядзька
infidel	disgust	0.602	няверны
imprisonment	disgust	0.602	пазбаўленне волі
traitor	disgust	0.602	здраднік
lunacy	disgust	0.602	вар'яцтва
queasiness	disgust	0.594	млоснасць
hostility	disgust	0.594	варожасць
repelling	disgust	0.594	адштурхвае
intoxicated	disgust	0.594	у нецвярозым стане
thug	disgust	0.594	бандыт
catastrophe	disgust	0.594	катастрофа
lunatic	disgust	0.594	вар'ят
misery	disgust	0.594	няшчасце
venom	disgust	0.594	яд
butcher	disgust	0.594	мяснік
toilet	disgust	0.594	туалет
blister	disgust	0.594	пухір
lurid	disgust	0.594	змрочны
slug	disgust	0.594	смоўж
gut	disgust	0.594	кішка
sinner	disgust	0.594	грэшнік
deceitful	disgust	0.594	падманлівы
epidemic	disgust	0.594	эпідэмія
deteriorated	disgust	0.586	пагоршыўся
lavatory	disgust	0.586	туалет
unclean	disgust	0.586	нячысты
prostitute	disgust	0.586	прастытутка
incubus	disgust	0.586	інкуб
appalling	disgust	0.586	жахлівы
dreadful	disgust	0.586	жудасны
pornography	disgust	0.586	парнаграфія
harass	disgust	0.586	пераследваць
squeamish	disgust	0.578	брыдлівы
expulsion	disgust	0.578	выгнанне
unfaithful	disgust	0.578	няверны
offensive	disgust	0.578	наступальныя
hypocrite	disgust	0.578	крывадушнік
humiliating	disgust	0.578	зневажальна
larceny	disgust	0.578	крадзеж
ruinous	disgust	0.578	разбуральны
retard	disgust	0.578	адсталы
rash	disgust	0.578	сып
flea	disgust	0.578	блыха
debauchery	disgust	0.578	распуста
fiend	disgust	0.578	нячысцік
quagmire	disgust	0.578	дрыгва
conspirator	disgust	0.578	змоўшчык
sick	disgust	0.578	хворы
mangle	disgust	0.578	калечыць
dogsick	disgust	0.570	сабачая хвароба
egregious	disgust	0.570	абуральны
flog	disgust	0.570	бічаваць
despise	disgust	0.570	пагарджаць
treacherous	disgust	0.570	вераломны
oppress	disgust	0.570	прыгнятаць
swamp	disgust	0.570	балота
messy	disgust	0.570	брудны
spit	disgust	0.570	плюнуць
dank	disgust	0.570	вільготны
bastard	disgust	0.570	сволач
devastating	disgust	0.570	разбуральны
serpent	disgust	0.570	змяя
loo	disgust	0.562	туалет
indecent	disgust	0.562	непрыстойна
insanity	disgust	0.562	вар'яцтва
stealing	disgust	0.562	крадзеж
terrible	disgust	0.562	жудасны
tyrannical	disgust	0.562	тыранічны
humiliation	disgust	0.562	прыніжэнне
snake	disgust	0.562	змяя
sloppy	disgust	0.562	неахайны
sinning	disgust	0.562	грашыць
harmful	disgust	0.562	шкодны
harlot	disgust	0.562	распусніца
sordid	disgust	0.562	паскудны
enemy	disgust	0.562	вораг
alcoholism	disgust	0.562	алкагалізм
awful	disgust	0.562	жудасны
ruthless	disgust	0.562	бязлітасны
scoundrel	disgust	0.562	нягоднік
bloody	disgust	0.555	крывавы
flabby	disgust	0.555	адрузлы
odious	disgust	0.555	адыёзны
beastly	disgust	0.555	звярыны
collusion	disgust	0.555	змова
ridicule	disgust	0.555	насмешкі
discriminating	disgust	0.555	дыскрымінацыйны
unattractive	disgust	0.555	непрывабны
insufferable	disgust	0.555	невыносны
segregate	disgust	0.555	аддзяляць
arsenic	disgust	0.555	мыш'як
threatening	disgust	0.555	пагрозлівы
atrophy	disgust	0.555	атрафія
varicella	disgust	0.555	ветраная воспа
slayer	disgust	0.555	забойца
distaste	disgust	0.555	агіда
coward	disgust	0.555	баязлівец
robbery	disgust	0.555	рабаванне
wickedness	disgust	0.555	бязбожнасць
anathema	disgust	0.547	анафеме
malevolent	disgust	0.547	зламысны
sty	disgust	0.547	стыл
pillage	disgust	0.547	рабаванне
thief	disgust	0.547	злодзей
suffocating	disgust	0.547	задушлівы
condemnation	disgust	0.547	асуджэнне
deleterious	disgust	0.547	шкодны
slur	disgust	0.547	брыдкасловіць
purgatory	disgust	0.547	чысцец
attacking	disgust	0.547	атакуючы
burglar	disgust	0.547	узломшчык
ogre	disgust	0.547	агр
coercion	disgust	0.547	прымус
vesicular	disgust	0.547	пузырчатый
miserable	disgust	0.547	няшчасны
bitterly	disgust	0.547	горка
sneer	disgust	0.539	насміхацца
greedy	disgust	0.539	прагны
gob	disgust	0.539	глыток
repellant	disgust	0.539	рэпелент
jealous	disgust	0.539	раўнівы
drunken	disgust	0.539	п'яны
shame	disgust	0.539	ганьба
thrash	disgust	0.539	трэш
fatty	disgust	0.539	тлустае
liar	disgust	0.539	хлус
imprisoned	disgust	0.539	зняволены
sloth	disgust	0.539	лайдак
repudiation	disgust	0.539	адмова
disgrace	disgust	0.539	ганьба
infidelity	disgust	0.539	няслушнасць
pig	disgust	0.539	свіння
lethal	disgust	0.536	смяротны
burnt	disgust	0.531	спалены
brawl	disgust	0.531	бойка
withered	disgust	0.531	засохлы
blemish	disgust	0.531	загана
hydrocephalus	disgust	0.531	гідрацэфалія
aberration	disgust	0.531	аберацыя
smuggler	disgust	0.531	кантрабандыст
painful	disgust	0.531	балючы
condescension	disgust	0.531	паблажлівасць
intolerant	disgust	0.531	нецярпімы
blasphemous	disgust	0.531	блюзнерскі
lying	disgust	0.531	хлуслівы
hanging	disgust	0.531	вісіць
travesty	disgust	0.531	пародыя
ruined	disgust	0.531	разбураны
intrusive	disgust	0.531	назойлівы
disintegrate	disgust	0.531	распадацца
destructive	disgust	0.531	разбуральны
neurotic	disgust	0.531	неўратычны
disparaging	disgust	0.523	грэбліва
blighted	disgust	0.523	сапсаваны
intolerance	disgust	0.523	непераноснасць
mistress	disgust	0.523	гаспадыня
avarice	disgust	0.523	скупасць
disgraced	disgust	0.523	зганьбаваны
derogation	disgust	0.523	адступленне
rubbish	disgust	0.523	смецце
accusation	disgust	0.523	абвінавачванне
incarceration	disgust	0.523	пазбаўленне волі
tortious	disgust	0.516	дэліктны
dishonor	disgust	0.516	ганьба
stink	disgust	0.516	смурод
grim	disgust	0.516	змрочны
rob	disgust	0.516	рабаваць
defraud	disgust	0.516	падмануць
sump	disgust	0.516	адстойнік
cringe	disgust	0.516	курчыцца
vulture	disgust	0.516	грыф
deplorable	disgust	0.516	варты жалю
mite	disgust	0.516	клешч
eradication	disgust	0.516	выкараненне
degrade	disgust	0.516	дэградаваць
gutter	disgust	0.516	жолаб
convict	disgust	0.516	асуджаны
remains	disgust	0.516	застаецца
betray	disgust	0.516	здрадзіць
daemon	disgust	0.516	дэман
sham	disgust	0.509	бутафорыя
distasteful	disgust	0.508	нясмачны
prisoner	disgust	0.508	вязень
dreadfully	disgust	0.508	жудасна
worthless	disgust	0.508	нікчэмны
crude	disgust	0.508	сырая
delirium	disgust	0.508	трызненне
incurable	disgust	0.508	невылечны
smelling	disgust	0.508	пахнуць
idiocy	disgust	0.508	ідыятызм
resentment	disgust	0.508	крыўда
bombed	disgust	0.508	разбамбілі
blob	disgust	0.508	кропля
cheat	disgust	0.508	падмануць
schizophrenia	disgust	0.508	шызафрэнія
rejection	disgust	0.508	адмова
belittle	disgust	0.508	прыніжаць
glut	disgust	0.508	перанасычэнне
disaster	disgust	0.508	катастрофа
distress	disgust	0.508	пакуты
pest	disgust	0.508	шкоднік
endemic	disgust	0.508	эндэмічных
theft	disgust	0.500	крадзеж
banish	disgust	0.500	выгнаць
mire	disgust	0.500	балота
flagrant	disgust	0.500	абуральны
derision	disgust	0.500	насмешка
dirt	disgust	0.500	бруд
screaming	disgust	0.500	крычаць
offense	disgust	0.500	крыўда
jealousy	disgust	0.500	рэўнасць
bribery	disgust	0.500	хабарніцтва
polemic	disgust	0.500	палемічны
blight	disgust	0.500	параза
impeach	disgust	0.500	імпічмент
bitterness	disgust	0.500	горыч
taboo	disgust	0.500	табу
duress	disgust	0.500	прымус
goblin	disgust	0.500	гоблін
shackle	disgust	0.500	хамут
idolatry	disgust	0.500	ідалапаклонства
greed	disgust	0.500	прагнасць
impurity	disgust	0.500	прымешка
tirade	disgust	0.500	тырада
idiot	disgust	0.492	ідыёт
boil	disgust	0.492	кіпяціць
unconscionable	disgust	0.492	бессумленны
disreputable	disgust	0.492	несамастойны
robber	disgust	0.492	разбойнік
malign	disgust	0.492	злаякасны
wreck	disgust	0.492	крушэнне
recession	disgust	0.492	рэцэсія
gorge	disgust	0.492	цясніна
leer	disgust	0.492	усмешка
ill	disgust	0.492	хворы
squirm	disgust	0.492	курчыцца
raging	disgust	0.484	бушуе
servile	disgust	0.484	прыгонны
mess	disgust	0.484	беспарадак
nappy	disgust	0.484	падгузнік
possessed	disgust	0.484	валодаў
unbearable	disgust	0.484	невыносны
occult	disgust	0.484	акультны
contraband	disgust	0.484	кантрабанда
snarl	disgust	0.484	гыркнуць
mutiny	disgust	0.484	мяцеж
mad	disgust	0.484	шалёны
affliction	disgust	0.484	пакута
stain	disgust	0.484	пляма
animosity	disgust	0.484	варожасць
contempt	disgust	0.484	пагарда
tramp	disgust	0.484	валацуга
nepotism	disgust	0.484	кумаўство
disrespectful	disgust	0.484	непаважліва
defamation	disgust	0.484	паклёп
inexcusable	disgust	0.484	недаравальна
aversation	disgust	0.484	аверсія
wasteful	disgust	0.484	марнатраўны
offender	disgust	0.484	злачынец
subjugation	disgust	0.484	падпарадкаванне
illegality	disgust	0.477	незаконнасць
dismal	disgust	0.477	змрочны
criminal	disgust	0.477	крымінальны
unpleasant	disgust	0.477	непрыемны
palsy	disgust	0.477	параліч
antagonistic	disgust	0.477	антаганістычны
pathetic	disgust	0.477	пафасны
uncaring	disgust	0.477	няўважлівы
suppression	disgust	0.477	падаўленне
immorality	disgust	0.477	амаральнасць
mockery	disgust	0.477	здзек
outrage	disgust	0.469	абурэнне
mocking	disgust	0.469	здзеклівы
wallow	disgust	0.469	валяцца
cough	disgust	0.469	кашаль
arrogant	disgust	0.469	пыхлівы
angry	disgust	0.469	злы
poverty	disgust	0.469	беднасць
grating	disgust	0.469	краты
livid	disgust	0.469	лідавы
aggravation	disgust	0.469	абвастрэнне
repellent	disgust	0.469	рэпеленты
perspiration	disgust	0.469	потлівасць
banishment	disgust	0.469	выгнанне
furious	disgust	0.469	люты
shoddy	disgust	0.469	кепскі
banshee	disgust	0.469	баншы
deceive	disgust	0.461	падмануць
fool	disgust	0.461	дурань
quack	disgust	0.461	квактуха
distorted	disgust	0.461	скажоны
spider	disgust	0.461	павук
unjustifiable	disgust	0.461	неапраўдана
deplore	disgust	0.461	шкадаваць
spurious	disgust	0.461	ілжывы
perdition	disgust	0.461	пагібель
muddy	disgust	0.461	каламутны
fraudulent	disgust	0.461	ашуканскі
scar	disgust	0.461	шнар
prick	disgust	0.461	калоць
insulting	disgust	0.461	абразлівы
plunder	disgust	0.461	рабаваць
recklessness	disgust	0.461	неразважлівасць
stigma	disgust	0.453	стыгма
disparage	disgust	0.453	зневажаць
unthinkable	disgust	0.453	неймаверна
disingenuous	disgust	0.453	няшчыры
bane	disgust	0.453	праклён
dishonest	disgust	0.453	несумленны
aphid	disgust	0.453	тля
elimination	disgust	0.453	ліквідацыя
cur	disgust	0.453	кучар
selfish	disgust	0.453	эгаістычны
eschew	disgust	0.453	пазбягаць
dire	disgust	0.453	страшны
indignation	disgust	0.453	абурэнне
antipathy	disgust	0.453	антыпатыя
alienate	disgust	0.453	адчужаць
mosquito	disgust	0.445	камар
piles	disgust	0.445	палі
pious	disgust	0.445	набожны
lie	disgust	0.445	хлусня
opium	disgust	0.445	опіум
smell	disgust	0.445	пах
iniquity	disgust	0.445	беззаконне
caries	disgust	0.445	карыес
despair	disgust	0.445	адчай
recalcitrant	disgust	0.445	непакорлівы
egotistical	disgust	0.445	эгаістычны
wasted	disgust	0.445	змарнаваны
vacuous	disgust	0.445	пустая
bankruptcy	disgust	0.445	банкруцтва
garish	disgust	0.445	яркі
obnoxious	disgust	0.438	непрыемны
ashamed	disgust	0.438	сорамна
abject	disgust	0.438	панізна
sticky	disgust	0.438	ліпкі
scream	disgust	0.438	крычаць
hopelessness	disgust	0.438	безвыходнасць
homeless	disgust	0.438	бяздомныя
shun	disgust	0.438	цурацца
inmate	disgust	0.438	зняволены
alien	disgust	0.438	іншапланецянін
hog	disgust	0.438	свіння
aversion	disgust	0.438	агіда
abnormal	disgust	0.438	ненармальны
cursing	disgust	0.430	лаяцца
undesirable	disgust	0.430	непажадана
denounce	disgust	0.430	дэнансаваць
witch	disgust	0.430	ведзьма
creature	disgust	0.430	істота
lusty	disgust	0.430	юрлівы
illegal	disgust	0.430	незаконны
debris	disgust	0.430	смецце
callous	disgust	0.430	чэрствы
reflux	disgust	0.430	рэфлюкс
adverse	disgust	0.430	неспрыяльны
shameless	disgust	0.430	бессаромны
separatist	disgust	0.430	сепаратыст
trickery	disgust	0.430	хітрасць
falsity	disgust	0.430	ілжывасць
pall	disgust	0.430	пал
defiance	disgust	0.430	непадпарадкаванне
incredulous	disgust	0.430	недаверлівы
curse	disgust	0.430	праклён
pompous	disgust	0.422	пампезны
socialist	disgust	0.422	сацыялістычная
mistrust	disgust	0.422	недавер
infantile	disgust	0.422	інфантыльны
wasting	disgust	0.422	марнаваць
hairy	disgust	0.422	валасаты
nicotine	disgust	0.422	нікацін
denunciation	disgust	0.422	данос
collapse	disgust	0.422	калапс
untidy	disgust	0.422	неахайны
ferocious	disgust	0.422	люты
ammonia	disgust	0.422	нашатырны спірт
carelessness	disgust	0.422	неасцярожнасць
impure	disgust	0.422	нячысты
contentious	disgust	0.422	спрэчным
bum	disgust	0.422	задніца
affront	disgust	0.422	абражаць
offend	disgust	0.422	пакрыўдзіць
tarnish	disgust	0.422	запляміць
idiotic	disgust	0.422	ідыёцкі
badness	disgust	0.422	дрэннасць
delinquent	disgust	0.422	правапарушальнік
swarm	disgust	0.422	рой
hypertrophy	disgust	0.422	гіпертрафія
gush	disgust	0.422	хлынуць
tasteless	disgust	0.422	безгустоўны
bovine	disgust	0.422	бычыны
slush	disgust	0.422	слякота
litigious	disgust	0.414	судовых
dishonesty	disgust	0.414	несумленнасць
vegetative	disgust	0.414	вегетатыўныя
unfavorable	disgust	0.414	неспрыяльны
displacency	disgust	0.414	выцясненне
illegitimate	disgust	0.414	нелегітымны
sour	disgust	0.414	кіслы
socialism	disgust	0.414	сацыялізму
disobey	disgust	0.414	не падпарадкоўвацца
drivel	disgust	0.414	дурань
vampire	disgust	0.414	вампір
neglected	disgust	0.414	занядбаны
murky	disgust	0.414	каламутны
ignorant	disgust	0.406	невуцкі
disgruntled	disgust	0.406	незадаволены
discontinuity	disgust	0.406	разрывістасць
dislike	disgust	0.406	нелюбоў
unlawful	disgust	0.406	незаконны
wrongdoing	disgust	0.406	правіны
shoplifting	disgust	0.406	крамныя крадзяжы
recidivism	disgust	0.406	рэцыдыўнай злачыннасці
outcast	disgust	0.406	ізгой
bogus	disgust	0.406	фальшывы
displeasure	disgust	0.406	незадаволенасць
repel	disgust	0.406	адштурхнуць
falsify	disgust	0.406	фальсіфікаваць
ungrateful	disgust	0.406	няўдзячны
unkind	disgust	0.406	нядобры
phony	disgust	0.406	фальшывы
prosecution	disgust	0.406	судовы пераслед
woe	disgust	0.398	гора
averse	disgust	0.398	непрыязны
loon	disgust	0.398	гагара
worsening	disgust	0.398	пагаршэнне
paucity	disgust	0.398	нешматлікасць
unnatural	disgust	0.398	ненатуральны
amphetamines	disgust	0.398	амфетаміны
senseless	disgust	0.398	бессэнсоўны
rigor	disgust	0.398	строгасць
subvert	disgust	0.398	падрываць
failure	disgust	0.398	правал
lick	disgust	0.398	лізаць
unruly	disgust	0.398	непакорлівы
woefully	disgust	0.398	горасна
stingy	disgust	0.398	скупы
crushing	disgust	0.398	драбненне
disdain	disgust	0.398	пагарджаць
insult	disgust	0.393	абраза
averseness	disgust	0.391	непрыязнасць
disrelish	disgust	0.391	непрыязнасць
punished	disgust	0.391	пакараны
critter	disgust	0.391	стварэнне
damage	disgust	0.391	пашкоджанне
scorpion	disgust	0.391	скарпіён
diatribe	disgust	0.391	дыятрыба
muff	disgust	0.391	муфта
farcical	disgust	0.391	фарсавыя
antisocial	disgust	0.391	асацыяльныя
hardened	disgust	0.391	загартаваны
punishment	disgust	0.391	пакаранне
bad	disgust	0.391	дрэнна
expel	disgust	0.391	выгнаць
surly	disgust	0.383	панылы
lament	disgust	0.383	наракаць
illiterate	disgust	0.383	непісьменны
divorce	disgust	0.383	развод
teeming	disgust	0.383	кіпіць
plagiarism	disgust	0.383	плагіят
eviction	disgust	0.383	высяленне
orc	disgust	0.383	орк
disappoint	disgust	0.383	расчараваць
shabby	disgust	0.383	пашарпаны
presumptuous	disgust	0.383	саманадзейны
anaconda	disgust	0.383	анаконда
discord	disgust	0.383	разлад
guilt	disgust	0.383	пачуццё віны
fugitive	disgust	0.383	уцякач
irrational	disgust	0.383	нерацыянальны
adder	disgust	0.383	суматар
fulsome	disgust	0.383	узніклае
sacrifices	disgust	0.383	ахвяры
hypocritical	disgust	0.383	крывадушны
shock	disgust	0.375	шок
alienation	disgust	0.375	адчужэнне
scoff	disgust	0.375	кпіць
plight	disgust	0.375	цяжкае становішча
irritation	disgust	0.375	раздражненне
unworthy	disgust	0.375	нягодны
misconduct	disgust	0.375	неправамерныя паводзіны
defective	disgust	0.375	дэфектны
blame	disgust	0.375	вінаваціць
depressing	disgust	0.375	дэпрэсіўны
dislocated	disgust	0.375	вывіхнуць
irritating	disgust	0.375	раздражняльны
vainly	disgust	0.367	дарэмна
toad	disgust	0.367	жаба
powerless	disgust	0.367	бяссільны
coerce	disgust	0.367	прымусіць
shuddering	disgust	0.367	уздрыгваючы
stripped	disgust	0.367	распрануты
revoke	disgust	0.367	адклікаць
wimpy	disgust	0.367	слабак
unhealthy	disgust	0.367	нездаровы
exclusion	disgust	0.367	выключэнне
disillusionment	disgust	0.367	расчараванне
blatant	disgust	0.367	абуральны
hurtful	disgust	0.367	крыўдна
hoax	disgust	0.367	падман
wimp	disgust	0.367	слабак
cad	disgust	0.367	кад
pitfall	disgust	0.367	падводны камень
squelch	disgust	0.367	глушыцель
deserted	disgust	0.359	бязлюдны
damn	disgust	0.359	пракляты
incompatible	disgust	0.359	несумяшчальны
dispose	disgust	0.359	распараджацца
oddity	disgust	0.359	дзівацтва
rebellion	disgust	0.359	паўстанне
ineptitude	disgust	0.359	бяздарнасць
bug	disgust	0.359	памылка
disobedience	disgust	0.359	непаслушэнства
inept	disgust	0.352	бяздарны
litigate	disgust	0.352	судзіцца
dismissal	disgust	0.352	звальненне
cutting	disgust	0.352	рэзка
untoward	disgust	0.352	непрыстойны
displeased	disgust	0.352	незадаволены
censor	disgust	0.352	цэнзар
ridiculous	disgust	0.352	смешна
compost	disgust	0.352	кампост
frustrate	disgust	0.352	сарваць
misbehavior	disgust	0.352	няправільнае паводзіны
lawyer	disgust	0.352	адвакат
crushed	disgust	0.352	здробнены
flesh	disgust	0.352	плоць
uncertain	disgust	0.352	нявызначаны
obi	disgust	0.352	абі
flinch	disgust	0.352	здрыгануцца
fierce	disgust	0.352	люты
wrongful	disgust	0.352	супрацьпраўны
depreciate	disgust	0.344	абясцэньвацца
disapprove	disgust	0.344	не ўхваляць
tearful	disgust	0.344	слязлівы
grumble	disgust	0.336	бурчаць
unsettled	disgust	0.336	неўрэгуляваны
annoy	disgust	0.336	раздражняць
exigent	disgust	0.336	патрабавальны
heartsick	disgust	0.336	душэўны
lawsuit	disgust	0.336	пазоў
discoloration	disgust	0.336	змяненне колеру
lumpy	disgust	0.336	камяком
daft	disgust	0.336	дурны
blunder	disgust	0.336	ляп
discontent	disgust	0.336	незадаволенасць
bickering	disgust	0.336	сваркі
thoughtless	disgust	0.336	бяздумны
disliked	disgust	0.336	не спадабаўся
disinclination	disgust	0.336	нежаданне
distrust	disgust	0.336	недавер
disallowed	disgust	0.336	забаронены
instability	disgust	0.328	нестабільнасць
hydrophobia	disgust	0.328	гідрафабія
whine	disgust	0.328	скуголіць
inhibit	disgust	0.328	тармазіць
excluded	disgust	0.328	выключаны
provoking	disgust	0.328	правакуючы
grievance	disgust	0.328	крыўда
unmanageable	disgust	0.328	некіравальны
sly	disgust	0.328	хітры
exasperation	disgust	0.328	раздражненне
cacophony	disgust	0.328	какафонія
unsatisfactory	disgust	0.328	нездавальняюча
disappointed	disgust	0.328	расчараваны
materialist	disgust	0.328	матэрыяліст
misleading	disgust	0.321	уводзіць у зман
mishap	disgust	0.320	няшчасны выпадак
soot	disgust	0.320	сажа
humbug	disgust	0.320	падман
disclaim	disgust	0.320	адмовіцца ад адказнасці
annoyance	disgust	0.320	раздражненне
disapproving	disgust	0.320	няўхвальна
disservice	disgust	0.320	мядзведжая паслуга
reproach	disgust	0.320	папрок
confined	disgust	0.320	абмежаваны
unequal	disgust	0.320	няроўныя
rags	disgust	0.320	анучы
groan	disgust	0.320	стогн
soil	disgust	0.312	глеба
inappropriate	disgust	0.312	недарэчны
criticize	disgust	0.312	крытыкаваць
disincline	disgust	0.312	нясхільнасць
theism	disgust	0.312	тэізм
depreciated	disgust	0.312	абясцэнены
inconsiderate	disgust	0.312	няўважлівы
overpriced	disgust	0.312	завышаная цана
stomach	disgust	0.312	страўнік
burke	disgust	0.312	Берк
sneeze	disgust	0.312	чхаць
gall	disgust	0.305	жоўць
bang	disgust	0.305	выбух
inadmissible	disgust	0.305	недапушчальна
unfriendly	disgust	0.305	непрыязна
unaccountable	disgust	0.305	непадсправаздачны
disparity	disgust	0.305	дыспрапорцыя
latent	disgust	0.305	латэнтны
disliking	disgust	0.305	нелюбоў
shack	disgust	0.305	халупа
grumpy	disgust	0.305	сварлівы
coop	disgust	0.304	куратнік
disappointment	disgust	0.297	расчараванне
scold	disgust	0.297	лаяць
delay	disgust	0.297	затрымка
congress	disgust	0.297	кангрэс
growling	disgust	0.297	бурчанне
backwards	disgust	0.297	назад
soreness	disgust	0.297	хваравітасць
disregarded	disgust	0.297	ігнараваць
rogue	disgust	0.297	ізгоі
lonely	disgust	0.297	самотны
notoriety	disgust	0.289	вядомасць
catechism	disgust	0.289	катэхізіс
flop	disgust	0.289	флоп
infamous	disgust	0.289	сумна вядомы
janitor	disgust	0.289	дворнік
nettle	disgust	0.289	крапіва
saturated	disgust	0.281	насычаны
prohibited	disgust	0.281	забаронены
gaby	disgust	0.281	Габі
wince	disgust	0.281	паморшчыцца
desist	disgust	0.281	адмовіцца
unfair	disgust	0.281	несправядлівы
aftermath	disgust	0.281	наступствы
remiss	disgust	0.281	недапушчэнне
tribunal	disgust	0.273	трыбунал
discolored	disgust	0.273	абескаляроўваецца
wrangling	disgust	0.273	спрэчкі
uneasy	disgust	0.273	няпроста
huff	disgust	0.273	крыўляцца
weird	disgust	0.266	дзіўна
impolite	disgust	0.266	няветлівы
swig	disgust	0.266	глыток
crawl	disgust	0.266	поўзаць
unsatisfied	disgust	0.266	незадаволены
inefficiency	disgust	0.266	неэфектыўнасць
frantic	disgust	0.266	апантаны
